econ_tradebal_reference_month,econ_tradebal_reporting_country_iso2,econ_tradebal_partner_area_code,econ_tradebal_flow_direction,econ_tradebal_hs2_code,econ_tradebal_product_group,econ_tradebal_trade_value_eur,econ_tradebal_trade_quantity_kg,econ_tradebal_trade_value_index,econ_tradebal_unit_value_index,econ_tradebal_intra_eu_flag,econ_tradebal_extra_eu_flag,econ_tradebal_mode_of_transport_code,econ_tradebal_incoterms_code,econ_tradebal_customs_procedure_code,econ_tradebal_sanctions_regime_flag,econ_tradebal_current_account_balance_eur,econ_tradebal_financial_account_balance_eur,econ_tradebal_eurostat_table_code,econ_tradebal_data_extract_date
2026-11,PL,LATAM,IMPORT,11,AGRI_FOOD,34431360.39,52271.78,109.888,121.781,0,1,PIPE,EXW,5100,0,5018136984.61,1523920399.96,ext_lt_intratrd,2025-05-26
2018-04,AT,AFR,EXPORT,28,SERVICES_EST,34531796.3,52413.89,110.416,122.382,0,1,RAIL,CIF,6100,0,2071655735.59,-5876281203.46,bop_q_c,2025-11-28
2019-09,EE,MEA,IMPORT,45,ELECTRONICS,34611674.43,52529.23,110.638,122.471,0,1,ROAD,CFR,7100,0,6877537020.05,2741901320.67,bop_q_g,2025-06-30
2020-02,IT,TUR,EXPORT,62,METALS,34717218.97,52681.89,112.495,122.348,0,1,AIR,FOB,A123,0,1519515370.0,-2740401601.37,ext_lt_extratrd,2025-10-25
2021-07,PT,RUS,IMPORT,79,TEXTILES,34877732.25,52810.15,111.834,122.444,0,1,SEA,DDP,4000,1,4512700581.44,-3080759832.95,bop_q_f,2024-07-05
2022-12,BE,CHN,EXPORT,96,PHARMA,34930515.23,52911.81,112.294,122.69,0,1,POST,DPU,4200,0,4591502477.08,2147405426.18,ext_lt_intratrd,2024-09-16
2023-05,FI,USA,IMPORT,14,VEHICLES,35010819.31,53024.72,112.808,123.716,0,1,PIPE,DAP,5100,0,7883197063.56,1664822541.81,bop_q_c,2024-01-04
2024-10,LV,UK,EXPORT,31,MACHINERY,35119216.99,53156.51,113.076,123.921,0,1,RAIL,CIP,6100,0,-290474567.76,706434869.9,bop_q_g,2025-11-10
2025-03,RO,EFTA,IMPORT,48,CHEMICALS,35204610.62,53301.05,114.874,124.092,1,0,ROAD,CPT,7100,0,4082954813.44,6672745571.34,ext_lt_extratrd,2024-01-08
2026-08,BG,EA20,EXPORT,65,ENERGY,35350438.53,53507.99,114.422,124.88,1,0,AIR,FCA,A123,0,4207191155.07,-5386086766.78,bop_q_f,2025-07-08
2018-01,FR,EU27_2020,IMPORT,82,AGRI_FOOD,35379920.42,53565.2,114.644,125.604,0,1,SEA,EXW,4000,0,-4787258064.86,6884710158.87,ext_lt_intratrd,2025-02-15
2019-06,LT,APAC,EXPORT,99,SERVICES_EST,35544014.06,53687.03,115.256,126.461,0,1,POST,CIF,4200,0,5784457557.21,-2170919492.92,bop_q_c,2025-07-19
2020-11,SK,LATAM,IMPORT,17,ELECTRONICS,35638007.12,53838.21,116.434,126.097,0,1,PIPE,CFR,5100,0,1077791079.54,918334869.54,bop_q_g,2026-01-03
2021-04,HR,AFR,EXPORT,34,METALS,35722388.09,53990.9,116.81,126.506,0,1,RAIL,FOB,6100,0,-3877904736.19,4799944541.47,ext_lt_extratrd,2024-08-29
2022-09,DE,MEA,IMPORT,51,TEXTILES,35820469.46,54139.71,116.128,126.616,0,1,ROAD,DDP,7100,0,755866604.9,7055297032.82,bop_q_f,2026-02-20
2023-02,LU,TUR,EXPORT,68,PHARMA,35888243.97,54303.75,116.475,128.061,0,1,AIR,DPU,A123,0,4914728961.13,7089433946.21,ext_lt_intratrd,2025-10-26
2024-07,SI,RUS,IMPORT,85,VEHICLES,36001644.24,54422.58,117.719,128.339,0,1,SEA,DAP,4000,0,3468015080.51,-3983272843.71,bop_q_c,2026-02-03
2025-12,CY,CHN,EXPORT,03,MACHINERY,36094856.68,54532.51,118.049,128.825,0,1,POST,CIP,4200,0,-4371288996.23,176199799.98,bop_q_g,2025-06-12
2026-05,GR,USA,IMPORT,20,CHEMICALS,36198550.32,54649.78,118.343,128.858,0,1,PIPE,CPT,5100,0,6206482787.32,4255550732.08,ext_lt_extratrd,2025-09-28
2018-10,MT,UK,EXPORT,37,ENERGY,36294173.79,54811.67,119.039,129.905,0,1,RAIL,FCA,6100,0,-121019714.39,6050922225.57,bop_q_f,2026-02-11
2019-03,ES,EFTA,IMPORT,54,AGRI_FOOD,36332695.19,54938.35,118.785,129.081,0,1,ROAD,EXW,7100,0,4357731031.6,5942097626.11,ext_lt_intratrd,2024-05-18
2020-08,CZ,EA20,EXPORT,71,SERVICES_EST,36409249.11,55100.66,120.196,130.365,0,1,AIR,CIF,A123,0,2133678403.96,1178581640.28,bop_q_c,2025-06-14
2021-01,HU,EU27_2020,IMPORT,88,ELECTRONICS,36564164.4,55226.09,119.954,131.198,1,1,SEA,CFR,4000,0,1332218886.76,3552970884.4,bop_q_g,2025-08-09
2022-06,NL,APAC,EXPORT,06,METALS,36625261.21,55333.89,121.619,130.836,0,1,POST,FOB,4200,0,2856109692.18,6955308993.44,ext_lt_extratrd,2025-09-19
2023-11,SE,LATAM,IMPORT,23,TEXTILES,36689405.41,55459.46,121.755,131.62,0,1,PIPE,DDP,5100,0,736968892.71,-5073062455.46,bop_q_f,2025-05-16
2024-04,DK,AFR,EXPORT,40,PHARMA,36779961.1,55576.77,122.174,131.209,0,1,RAIL,DPU,6100,0,7432943010.41,-5657451933.01,ext_lt_intratrd,2025-07-02
2025-09,IE,MEA,IMPORT,57,VEHICLES,36952851.24,55776.46,121.669,132.249,0,1,ROAD,DAP,7100,0,-4088445714.0,-1786102769.55,bop_q_c,2024-05-08
2026-02,PL,TUR,EXPORT,74,MACHINERY,36998082.43,55917.08,123.367,132.571,0,1,AIR,CIP,A123,0,-1842850322.29,3038807544.87,bop_q_g,2024-11-14
2018-07,AT,RUS,IMPORT,91,CHEMICALS,37110653.19,56028.6,123.329,133.119,0,1,SEA,CPT,4000,1,844938561.11,174483197.16,ext_lt_extratrd,2025-01-19
2019-12,EE,CHN,EXPORT,09,ENERGY,37213559.98,56188.83,123.851,132.683,0,1,POST,FCA,4200,0,-2425056952.58,1557409331.48,bop_q_f,2024-10-08
2020-05,IT,USA,IMPORT,26,AGRI_FOOD,37269799.35,56289.98,124.538,133.938,0,1,PIPE,EXW,5100,0,5159424772.43,-1996207098.45,ext_lt_intratrd,2025-10-03
2021-10,PT,UK,EXPORT,43,SERVICES_EST,37347279.9,56396.45,124.319,134.046,0,1,RAIL,CIF,6100,0,5057579288.88,4371655484.41,bop_q_c,2025-12-21
2022-03,BE,EFTA,IMPORT,60,ELECTRONICS,37468052.65,56534.69,125.592,134.164,1,0,ROAD,CFR,7100,0,7748827958.43,-4582853240.2,bop_q_g,2024-12-07
2023-08,FI,EA20,EXPORT,77,METALS,37542899.74,56716.38,125.765,134.569,1,0,AIR,FOB,A123,0,-4536212301.37,7426899926.03,ext_lt_extratrd,2024-06-26
2024-01,LV,EU27_2020,IMPORT,94,TEXTILES,37716602.36,56880.48,125.945,136.035,1,0,SEA,DDP,4000,0,478279669.62,-354017363.24,bop_q_f,2025-02-24
2025-06,RO,APAC,EXPORT,12,PHARMA,37803706.47,56964.0,126.603,136.279,0,1,POST,DPU,4200,0,6134517156.67,4506079246.95,ext_lt_intratrd,2024-04-15
2026-11,BG,LATAM,IMPORT,29,VEHICLES,37885977.71,57143.62,127.175,136.62,0,1,PIPE,DAP,5100,0,-3233052292.29,3759058430.86,bop_q_c,2024-10-01
2018-04,FR,AFR,EXPORT,46,MACHINERY,37942126.76,57252.63,127.617,136.976,0,1,RAIL,CIP,6100,0,3371021254.45,1527809370.37,bop_q_g,2025-08-25
2019-09,LT,MEA,IMPORT,63,CHEMICALS,38039000.61,57413.62,127.564,137.883,0,1,ROAD,CPT,7100,0,7742965026.99,-3552651443.41,ext_lt_extratrd,2025-08-11
2020-02,SK,TUR,EXPORT,80,ENERGY,38142885.7,57502.76,127.99,137.524,0,1,AIR,FCA,A123,0,5908370889.63,-852181626.06,bop_q_f,2024-03-06
2021-07,HR,RUS,IMPORT,97,AGRI_FOOD,38292913.54,57674.58,128.053,138.655,0,1,SEA,EXW,4000,1,6182304627.44,-2407885434.99,ext_lt_intratrd,2025-08-13
2022-12,DE,CHN,EXPORT,15,SERVICES_EST,38343821.93,57789.52,128.789,138.463,0,1,POST,CIF,4200,0,-1175375068.36,-294588579.58,bop_q_c,2026-02-01
2023-05,LU,USA,IMPORT,32,ELECTRONICS,38470200.23,57933.01,129.22,138.764,0,1,PIPE,CFR,5100,0,8374112330.09,-1023545764.85,bop_q_g,2025-06-27
2024-10,SI,UK,EXPORT,49,METALS,38561224.77,58080.52,129.09,139.026,0,1,RAIL,FOB,6100,0,4142699954.7,-2776447103.95,ext_lt_extratrd,2025-01-23
2025-03,CY,EFTA,IMPORT,66,TEXTILES,38676399.57,58185.87,129.545,139.873,1,0,ROAD,DDP,7100,0,-1175408700.42,5318534627.1,bop_q_f,2025-12-04
2026-08,GR,EA20,EXPORT,83,PHARMA,38729556.04,58307.68,130.899,140.39,1,0,AIR,DPU,A123,0,1949802843.41,-2546819351.27,ext_lt_intratrd,2024-08-14
2018-01,MT,EU27_2020,IMPORT,01,VEHICLES,38867180.11,58415.35,130.522,140.171,0,1,SEA,DAP,4000,0,-727225770.23,-3097195598.45,bop_q_c,2026-02-07
2019-06,ES,APAC,EXPORT,18,MACHINERY,38938217.5,58566.8,131.295,140.179,0,1,POST,CIP,4200,0,267250431.6,-1343032839.79,bop_q_g,2024-01-28
2020-11,CZ,LATAM,IMPORT,35,CHEMICALS,39036879.9,58727.98,131.806,141.921,0,1,PIPE,CPT,5100,0,1896627800.0,1277858704.23,ext_lt_extratrd,2024-10-22
2021-04,HU,AFR,EXPORT,52,ENERGY,39131464.16,58883.3,132.387,142.301,0,1,RAIL,FCA,6100,0,3992019384.75,-4436886527.48,bop_q_f,2024-11-01
2022-09,NL,MEA,IMPORT,69,AGRI_FOOD,39204185.01,59031.07,133.658,142.582,0,1,ROAD,EXW,7100,0,8317829607.48,1214351433.3,ext_lt_intratrd,2025-06-28
2023-02,SE,TUR,EXPORT,86,SERVICES_EST,39273679.71,59176.38,133.417,143.212,0,1,AIR,CIF,A123,0,1021964329.45,6924003101.03,bop_q_c,2025-10-28
2024-07,DK,RUS,IMPORT,04,ELECTRONICS,39406039.0,59224.32,133.637,143.533,0,1,SEA,CFR,4000,1,-2541553882.83,4447099993.93,bop_q_g,2026-01-04
2025-12,IE,CHN,EXPORT,21,METALS,39446686.9,59447.27,134.405,143.074,0,1,POST,FOB,4200,0,2675504679.85,371829018.81,ext_lt_extratrd,2024-10-05
2026-05,PL,USA,IMPORT,38,TEXTILES,39615267.75,59526.97,135.091,143.813,0,1,PIPE,DDP,5100,0,3827318886.94,7232739484.59,bop_q_f,2025-02-09
2018-10,AT,UK,EXPORT,55,PHARMA,39671591.36,59628.29,134.786,143.645,0,1,RAIL,DPU,6100,0,6228722028.87,2990114019.2,ext_lt_intratrd,2026-01-25
2019-03,EE,EFTA,IMPORT,72,VEHICLES,39786808.49,59809.31,136.475,144.855,0,1,ROAD,DAP,7100,0,4754764077.43,920965036.9,bop_q_c,2025-09-15
2020-08,IT,EA20,EXPORT,89,MACHINERY,39834036.07,59982.26,135.907,145.189,1,0,AIR,CIP,A123,0,8491793838.97,-1928499846.25,bop_q_g,2025-01-04
2021-01,PT,EU27_2020,IMPORT,07,CHEMICALS,39922827.15,60105.29,136.307,145.75,0,1,SEA,CPT,4000,0,-4076434841.58,3474391521.81,ext_lt_extratrd,2025-06-12
2022-06,BE,APAC,EXPORT,24,ENERGY,40048265.08,60252.57,137.562,145.427,0,1,POST,FCA,4200,0,-2540024334.19,8027099956.0,bop_q_f,2025-10-29
2023-11,FI,LATAM,IMPORT,41,AGRI_FOOD,40180658.54,60380.27,137.738,146.926,0,1,PIPE,EXW,5100,0,-2634820431.72,6573875845.73,ext_lt_intratrd,2024-09-04
2024-04,LV,AFR,EXPORT,58,SERVICES_EST,40266554.22,60521.22,138.453,146.042,0,1,RAIL,CIF,6100,0,213580169.78,-4298964252.81,bop_q_c,2025-06-24
2025-09,RO,MEA,IMPORT,75,ELECTRONICS,40371373.05,60584.48,138.788,147.419,0,1,ROAD,CFR,7100,0,6604791948.96,2678183590.19,bop_q_g,2024-11-19
2026-02,BG,TUR,EXPORT,92,METALS,40481240.51,60724.12,138.105,147.838,0,1,AIR,FOB,A123,0,5451452985.71,-1887324290.26,ext_lt_extratrd,2024-11-12
2018-07,FR,RUS,IMPORT,10,TEXTILES,40559581.45,60894.79,139.312,147.719,0,1,SEA,DDP,4000,1,-4305090978.06,-4623455440.76,bop_q_f,2025-09-05
2019-12,LT,CHN,EXPORT,27,PHARMA,40586374.51,61062.81,139.448,148.461,0,1,POST,DPU,4200,0,-2982495309.68,3759203900.26,ext_lt_intratrd,2024-12-28
2020-05,SK,USA,IMPORT,44,VEHICLES,40752427.68,61120.49,140.236,148.997,0,1,PIPE,DAP,5100,0,-4124920230.66,-5294022772.43,bop_q_c,2024-01-19
2021-10,HR,UK,EXPORT,61,MACHINERY,40853322.39,61256.68,140.318,149.067,0,1,RAIL,CIP,6100,0,3477950425.55,-3346097055.77,bop_q_g,2026-02-16
2022-03,DE,EFTA,IMPORT,78,CHEMICALS,40953203.2,61414.13,141.694,149.902,1,0,ROAD,CPT,7100,0,1798733501.14,558160358.79,ext_lt_extratrd,2025-09-29
2023-08,LU,EA20,EXPORT,95,ENERGY,40996857.89,61608.88,142.004,150.863,1,0,AIR,FCA,A123,0,1882385330.69,1674265922.87,bop_q_f,2024-02-01
2024-01,SI,EU27_2020,IMPORT,13,AGRI_FOOD,41127692.18,61718.4,142.115,151.266,1,0,SEA,EXW,4000,0,4648196497.66,-4711447390.93,ext_lt_intratrd,2024-02-20
2025-06,CY,APAC,EXPORT,30,SERVICES_EST,41166082.56,61878.07,142.661,150.674,0,1,POST,CIF,4200,0,-268281450.01,-5729190963.83,bop_q_c,2024-07-05
2026-11,GR,LATAM,IMPORT,47,ELECTRONICS,41329699.22,62015.28,142.999,152.137,0,1,PIPE,CFR,5100,0,-2051522427.4,779967831.78,bop_q_g,2025-12-31
2018-04,MT,AFR,EXPORT,64,METALS,41347763.13,62113.78,143.298,151.343,0,1,RAIL,FOB,6100,0,-2615518927.66,-6585346378.86,ext_lt_extratrd,2024-10-06
2019-09,ES,MEA,IMPORT,81,TEXTILES,41436754.76,62286.8,144.277,152.342,0,1,ROAD,DDP,7100,0,968347245.21,-6632281821.3,bop_q_f,2025-11-05
2020-02,CZ,TUR,EXPORT,98,PHARMA,41609065.75,62356.4,144.395,152.352,0,1,AIR,DPU,A123,0,6337520760.12,1315959600.28,ext_lt_intratrd,2025-06-11
2021-07,HU,RUS,IMPORT,16,VEHICLES,41632226.93,62558.33,144.06,152.351,0,1,SEA,DAP,4000,1,684569992.05,-2832441590.33,bop_q_c,2024-07-04
2022-12,NL,CHN,EXPORT,33,MACHINERY,41734807.95,62599.17,145.187,153.321,0,1,POST,CIP,4200,0,-481713970.42,-3338585593.89,bop_q_g,2024-05-14
2023-05,SE,USA,IMPORT,50,CHEMICALS,41874472.39,62795.69,146.168,153.874,0,1,PIPE,CPT,5100,0,-2963239653.89,840920539.61,ext_lt_extratrd,2026-01-14
2024-10,DK,UK,EXPORT,67,ENERGY,41993815.13,62963.44,146.824,153.952,0,1,RAIL,FCA,6100,0,2319148034.67,2119719918.89,bop_q_f,2025-10-02
2025-03,IE,EFTA,IMPORT,84,AGRI_FOOD,42014334.08,63002.14,147.129,155.078,1,0,ROAD,EXW,7100,0,-4063864820.37,-2489302544.39,ext_lt_intratrd,2024-01-06
2026-08,PL,EA20,EXPORT,02,SERVICES_EST,42178579.67,63233.79,147.178,154.561,1,0,AIR,CIF,A123,0,-2066717301.47,4398210791.47,bop_q_c,2025-09-13
2018-01,AT,EU27_2020,IMPORT,19,ELECTRONICS,42220250.88,63312.96,146.974,155.26,0,1,SEA,CFR,4000,0,6979641374.65,2578779514.23,bop_q_g,2025-09-19
2019-06,EE,APAC,EXPORT,36,METALS,42292169.41,63462.11,147.975,155.507,0,1,POST,FOB,4200,0,177276760.82,1574204714.56,ext_lt_extratrd,2024-04-07
2020-11,IT,LATAM,IMPORT,53,TEXTILES,42478190.55,63603.07,148.435,156.507,0,1,PIPE,DDP,5100,0,1681013508.53,2796482154.49,bop_q_f,2024-01-10
2021-04,PT,AFR,EXPORT,70,PHARMA,42519515.67,63702.09,148.125,157.309,0,1,RAIL,DPU,6100,0,6310643854.93,7053139771.04,ext_lt_intratrd,2025-08-25
2022-09,BE,MEA,IMPORT,87,VEHICLES,42622829.02,63820.94,148.644,157.817,0,1,ROAD,DAP,7100,0,-11445717.06,2095251573.3,bop_q_c,2025-02-22
2023-02,FI,TUR,EXPORT,05,MACHINERY,42749151.83,64037.84,149.89,157.926,0,1,AIR,CIP,A123,0,8774720542.89,584841899.94,bop_q_g,2025-01-26
2024-07,LV,RUS,IMPORT,22,CHEMICALS,42795405.74,64175.98,150.852,158.428,0,1,SEA,CPT,4000,1,1496643796.42,-3119093692.59,ext_lt_extratrd,2025-07-26
2025-12,RO,CHN,EXPORT,39,ENERGY,42872380.61,64264.73,150.428,158.489,0,1,POST,FCA,4200,0,1204045834.97,-3009184138.23,bop_q_f,2024-05-25
2026-05,BG,USA,IMPORT,56,AGRI_FOOD,42956996.22,64386.56,151.446,159.059,0,1,PIPE,EXW,5100,0,5323770418.71,-5529478627.72,ext_lt_intratrd,2025-03-02
2018-10,FR,UK,EXPORT,73,SERVICES_EST,43125890.31,64525.27,151.299,159.973,0,1,RAIL,CIF,6100,0,3258389310.54,1606096307.92,bop_q_c,2024-06-05
2019-03,LT,EFTA,IMPORT,90,ELECTRONICS,43199254.54,64655.83,151.885,160.255,0,1,ROAD,CFR,7100,0,8280367687.72,-6554665817.31,bop_q_g,2025-02-02
2020-08,SK,EA20,EXPORT,08,METALS,43272198.84,64814.12,151.851,161.015,1,0,AIR,FOB,A123,0,682880298.39,2467815576.93,ext_lt_extratrd,2025-06-18
2021-01,HR,EU27_2020,IMPORT,25,TEXTILES,43362977.89,64967.3,152.111,160.51,1,0,SEA,DDP,4000,0,-2523077784.35,-831605168.36,bop_q_f,2024-08-24
2022-06,DE,APAC,EXPORT,42,PHARMA,43438529.64,65047.94,152.58,161.382,0,1,POST,DPU,4200,0,-3443317410.9,5903542207.49,ext_lt_intratrd,2025-02-06
2023-11,LU,LATAM,IMPORT,59,VEHICLES,43526970.57,65216.39,154.438,162.095,0,1,PIPE,DAP,5100,0,-3783166264.77,-3633366220.15,bop_q_c,2024-04-05
2024-04,SI,AFR,EXPORT,76,MACHINERY,43676044.72,65304.4,154.008,161.357,0,1,RAIL,CIP,6100,0,668133331.82,6968916501.93,bop_q_g,2025-05-24
2025-09,CY,MEA,IMPORT,93,CHEMICALS,43749872.15,65466.03,154.033,162.01,0,1,ROAD,CPT,7100,0,4205428686.9,397124301.86,ext_lt_extratrd,2024-09-27
2026-02,GR,TUR,EXPORT,11,ENERGY,43849859.27,65593.45,154.786,163.486,0,1,AIR,FCA,A123,0,8572047894.64,1389009528.89,bop_q_f,2025-04-13
2018-07,MT,RUS,IMPORT,28,AGRI_FOOD,43909693.87,65705.07,155.786,162.996,0,1,SEA,EXW,4000,1,8617222996.88,2045551092.2,ext_lt_intratrd,2025-10-15
2019-12,ES,CHN,EXPORT,45,SERVICES_EST,44036008.37,65919.06,155.578,163.556,0,1,POST,CIF,4200,0,1668502962.87,-3000237735.53,bop_q_c,2025-03-11
2020-05,CZ,USA,IMPORT,62,ELECTRONICS,44169263.34,66053.64,155.855,163.34,0,1,PIPE,CFR,5100,0,2171442102.57,1008795058.57,bop_q_g,2026-02-08
2021-10,HU,UK,EXPORT,79,METALS,44282038.56,66184.09,156.579,165.247,0,1,RAIL,FOB,6100,0,3338872439.31,-5950612384.42,ext_lt_extratrd,2026-02-22
2022-03,NL,EFTA,IMPORT,96,TEXTILES,44336532.03,66280.19,156.704,165.003,1,0,ROAD,DDP,7100,0,-1721754844.67,-3815144973.1,bop_q_f,2025-12-25
2023-08,SE,EA20,EXPORT,14,PHARMA,44468633.04,66436.34,157.995,164.612,1,0,AIR,DPU,A123,0,1039195622.22,2217597079.6,ext_lt_intratrd,2026-01-09
2024-01,DK,EU27_2020,IMPORT,31,VEHICLES,44516280.67,66574.59,158.26,166.005,1,0,SEA,DAP,4000,0,1463317319.05,4634334884.14,bop_q_c,2025-09-05
2025-06,IE,APAC,EXPORT,48,MACHINERY,44629862.31,66724.56,158.72,165.42,0,1,POST,CIP,4200,0,-1138235644.03,845844236.41,bop_q_g,2025-07-23
2026-11,PL,LATAM,IMPORT,65,CHEMICALS,44748552.2,66818.84,159.324,166.366,0,1,PIPE,CPT,5100,0,-3440453367.53,69538620.15,ext_lt_extratrd,2026-01-26
2018-04,AT,AFR,EXPORT,82,ENERGY,44818911.51,67012.86,159.185,166.359,0,1,RAIL,FCA,6100,0,877317121.14,18367134.4,bop_q_f,2025-03-03
2019-09,EE,MEA,IMPORT,99,AGRI_FOOD,44885743.63,67052.93,160.452,167.408,0,1,ROAD,EXW,7100,0,-23815934.78,1439304773.32,ext_lt_intratrd,2024-03-02
2020-02,IT,TUR,EXPORT,17,SERVICES_EST,44980465.0,67199.81,160.693,167.73,0,1,AIR,CIF,A123,0,-3207403657.07,3489373430.93,bop_q_c,2024-02-14
2021-07,PT,RUS,IMPORT,34,ELECTRONICS,45123120.1,67372.53,161.414,168.189,0,1,SEA,CFR,4000,1,-1980346974.97,-983601504.98,bop_q_g,2025-01-23
2022-12,BE,CHN,EXPORT,51,METALS,45148953.11,67546.41,161.064,169.087,0,1,POST,FOB,4200,0,3158633768.39,4043610695.77,ext_lt_extratrd,2024-08-24
2023-05,FI,USA,IMPORT,68,TEXTILES,45320835.35,67619.69,162.094,169.064,0,1,PIPE,DDP,5100,0,2706734917.76,5762796057.85,bop_q_f,2024-03-07
2024-10,LV,UK,EXPORT,85,PHARMA,45404276.89,67805.25,163.047,169.766,0,1,RAIL,DPU,6100,0,1388775174.28,1444375412.59,ext_lt_intratrd,2025-03-30
2025-03,RO,EFTA,IMPORT,03,VEHICLES,45445001.05,67917.74,162.685,169.845,1,0,ROAD,DAP,7100,0,1049430984.01,-4626251581.16,bop_q_c,2024-01-05
2026-08,BG,EA20,EXPORT,20,MACHINERY,45521198.76,68055.28,162.62,170.799,1,0,AIR,CIP,A123,0,7064360096.67,-4583795304.95,bop_q_g,2025-01-29
2018-01,FR,EU27_2020,IMPORT,37,CHEMICALS,45677377.41,68170.89,163.486,170.461,1,1,SEA,CPT,4000,0,-1160412600.88,1623273628.4,ext_lt_extratrd,2025-05-31
2019-06,LT,APAC,EXPORT,54,ENERGY,45782401.76,68350.17,163.849,171.928,0,1,POST,FCA,4200,0,4193600456.82,5715982990.86,bop_q_f,2025-02-22
2020-11,SK,LATAM,IMPORT,71,AGRI_FOOD,45896012.11,68483.79,164.814,171.712,0,1,PIPE,EXW,5100,0,3004090800.96,4226845138.86,ext_lt_intratrd,2026-01-11
2021-04,HR,AFR,EXPORT,88,SERVICES_EST,45930971.98,68539.76,165.104,172.779,0,1,RAIL,CIF,6100,0,5990646398.64,-819709483.16,bop_q_c,2024-05-03
2022-09,DE,MEA,IMPORT,06,ELECTRONICS,45991152.22,68731.56,165.743,172.005,0,1,ROAD,CFR,7100,0,-511633704.94,-5123560769.79,bop_q_g,2025-07-23
2023-02,LU,TUR,EXPORT,23,METALS,46109296.57,68806.99,165.628,172.198,0,1,AIR,FOB,A123,0,5483697603.14,6435695775.92,ext_lt_extratrd,2024-08-20
2024-07,SI,RUS,IMPORT,40,TEXTILES,46180481.23,69003.08,165.923,173.91,0,1,SEA,DDP,4000,1,-1184068360.07,6912332955.51,bop_q_f,2025-03-12
2025-12,CY,CHN,EXPORT,57,PHARMA,46356065.66,69160.71,167.45,174.443,0,1,POST,DPU,4200,0,4224741358.56,1412082081.71,ext_lt_intratrd,2026-02-22
2026-05,GR,USA,IMPORT,74,VEHICLES,46432303.08,69269.19,166.718,173.688,0,1,PIPE,DAP,5100,0,3960530037.94,-3721209186.29,bop_q_c,2025-10-19
2018-10,MT,UK,EXPORT,91,MACHINERY,46521941.65,69382.23,167.876,174.726,0,1,RAIL,CIP,6100,0,4404362054.52,-440034282.63,bop_q_g,2025-03-25
2019-03,ES,EFTA,IMPORT,09,CHEMICALS,46630441.45,69530.16,167.547,174.346,0,1,ROAD,CPT,7100,0,7857161843.56,-2079806158.76,ext_lt_extratrd,2026-01-18
2020-08,CZ,EA20,EXPORT,26,ENERGY,46733967.14,69701.99,169.243,175.46,1,0,AIR,FCA,A123,0,2376095904.42,2914108992.67,bop_q_f,2024-07-29
2021-01,HU,EU27_2020,IMPORT,43,AGRI_FOOD,46833085.36,69753.43,169.027,74.849,1,0,SEA,EXW,4000,0,-2208236031.67,-2888050667.67,ext_lt_intratrd,2025-06-13
2022-06,NL,APAC,EXPORT,60,SERVICES_EST,46923799.82,69937.81,169.892,75.28,0,1,POST,CIF,4200,0,2383176262.46,-44713584.49,bop_q_c,2024-05-05
2023-11,SE,LATAM,IMPORT,77,ELECTRONICS,47007829.34,70021.26,170.538,75.476,0,1,PIPE,CFR,5100,0,4810103170.23,6147610965.51,bop_q_g,2025-01-21
2024-04,DK,AFR,EXPORT,94,METALS,47047045.97,70183.43,170.051,75.877,0,1,RAIL,FOB,6100,0,-274741774.28,-2036234578.89,ext_lt_extratrd,2024-09-28
2025-09,IE,MEA,IMPORT,12,TEXTILES,47228639.82,70331.5,170.257,76.356,0,1,ROAD,DDP,7100,0,4268000510.05,5446432652.47,bop_q_f,2025-12-01
2026-02,PL,TUR,EXPORT,29,PHARMA,47241181.58,70460.33,170.759,77.273,0,1,AIR,DPU,A123,0,-295754883.6,-4172477342.31,ext_lt_intratrd,2024-11-24
2018-07,AT,RUS,IMPORT,46,VEHICLES,47327892.01,70638.42,170.92,77.944,0,1,SEA,DAP,4000,1,3310300297.65,-2711735141.0,bop_q_c,2024-07-02
2019-12,EE,CHN,EXPORT,63,MACHINERY,47468388.48,70783.71,172.288,78.488,0,1,POST,CIP,4200,0,1633177824.26,2286428958.76,bop_q_g,2026-01-26
2020-05,IT,USA,IMPORT,80,CHEMICALS,47546839.44,70864.32,172.732,77.874,0,1,PIPE,CPT,5100,0,-2617268691.36,3050758890.05,ext_lt_extratrd,2024-11-22
2021-10,PT,UK,EXPORT,97,ENERGY,47656361.91,71014.41,173.805,78.033,0,1,RAIL,FCA,6100,0,6060533675.3,-4098482492.7,bop_q_f,2026-02-01
2022-03,BE,EFTA,IMPORT,15,AGRI_FOOD,47743665.48,71163.52,173.764,79.942,1,0,ROAD,EXW,7100,0,5613821912.08,3037070537.69,ext_lt_intratrd,2024-06-29
2023-08,FI,EA20,EXPORT,32,SERVICES_EST,47831259.26,71296.89,173.74,78.931,1,0,AIR,CIF,A123,0,1759754496.04,6889498736.99,bop_q_c,2026-01-21
2024-01,LV,EU27_2020,IMPORT,49,ELECTRONICS,47914375.8,71455.19,174.876,79.841,1,0,SEA,CFR,4000,0,1534176848.35,6745352673.15,bop_q_g,2024-02-09
2025-06,RO,APAC,EXPORT,66,METALS,48069614.19,71598.79,174.368,80.673,0,1,POST,FOB,4200,0,-3321717648.09,6109398140.67,ext_lt_extratrd,2024-03-20
2026-11,BG,LATAM,IMPORT,83,TEXTILES,48100842.44,71691.58,175.865,81.526,0,1,PIPE,DDP,5100,0,5041518401.17,7429439872.6,bop_q_f,2025-06-25
