tax_customs_reference_month,tax_customs_country_iso2,tax_customs_customs_office_code,tax_customs_partner_country_iso2,tax_customs_hs2_code,tax_customs_tariff_rate_pct,tax_customs_customs_value_eur,tax_customs_duty_collected_eur,tax_customs_antidumping_duty_flag,tax_customs_sanctions_goods_flag,tax_customs_risk_channel_code,tax_customs_phytosanitary_control_flag,tax_customs_security_safety_declaration_flag,tax_customs_clearance_time_hours_median,tax_customs_post_clearance_audit_flag,tax_customs_infringement_case_count,tax_customs_aep_authorised_economic_operator_flag,tax_customs_import_one_stop_shop_ioss_flag,tax_customs_data_source,tax_customs_data_extract_date
2023-07,FR,FRCUST019,US,34,11.67,27608495.85,2124396.22,0,0,GREEN,0,1,35.0,0,14,0,0,TARIC_ANALYTICS,2025-04-08
2023-08,HU,HUCUST020,CA,45,7.23,27632303.3,974700.57,0,0,YELLOW,0,1,76.82,0,38,1,1,FRAUD_RISK_SYSTEM,2025-10-08
2023-09,LV,LVCUST021,AU,56,3.557,27707859.52,947401.74,0,0,RED,0,1,80.3,0,42,0,1,NATIONAL_CUSTOMS_ADMIN,2025-07-20
2023-10,MT,MTCUST022,DK,67,11.192,27767879.06,2660587.54,0,0,GREEN,0,1,67.14,0,17,0,1,ICS2_AGGREGATE,2025-11-09
2023-11,PT,PTCUST023,IE,78,6.844,27788891.87,1452984.07,0,0,YELLOW,0,1,37.51,1,11,0,0,TARIC_ANALYTICS,2025-06-03
2023-12,SI,SICUST024,PL,89,15.418,27873654.99,4598926.88,0,0,RED,0,1,82.21,1,19,0,1,FRAUD_RISK_SYSTEM,2025-01-20
2024-01,AT,ATCUST025,US,01,8.586,27925492.47,1959342.87,0,0,GREEN,0,1,53.21,0,23,1,1,NATIONAL_CUSTOMS_ADMIN,2024-10-08
2024-02,HR,HRCUST026,CA,12,15.506,27962204.52,2626862.38,0,0,YELLOW,1,1,2.0,1,23,0,0,ICS2_AGGREGATE,2024-07-24
2024-03,DK,DKCUST027,AU,23,2.044,28027593.33,556522.34,0,0,RED,1,1,31.67,1,45,0,1,TARIC_ANALYTICS,2024-07-27
2024-04,FR,FRCUST028,DK,34,8.669,28087938.0,2649918.54,0,0,GREEN,0,0,27.82,0,24,0,0,FRAUD_RISK_SYSTEM,2024-12-24
2024-05,HU,HUCUST029,IE,45,3.813,28132264.07,827881.87,0,0,YELLOW,0,1,53.26,1,40,0,0,NATIONAL_CUSTOMS_ADMIN,2024-01-17
2024-06,LV,LVCUST030,PL,56,6.655,28213626.38,1807082.32,0,0,RED,0,0,59.75,0,41,0,0,ICS2_AGGREGATE,2024-04-22
2024-07,MT,MTCUST031,US,67,9.209,28249154.29,2718871.73,0,0,GREEN,1,0,3.11,0,20,0,1,TARIC_ANALYTICS,2025-07-08
2024-08,PT,PTCUST032,CA,78,12.68,28322158.15,2292337.75,0,0,YELLOW,0,1,61.54,0,44,0,1,FRAUD_RISK_SYSTEM,2025-08-01
2024-09,SI,SICUST033,AU,89,15.929,28342656.03,2741144.03,0,0,RED,0,1,41.46,1,13,1,0,NATIONAL_CUSTOMS_ADMIN,2024-11-21
2024-10,AT,ATCUST034,DK,01,2.667,28414878.24,547164.34,0,0,GREEN,1,1,29.06,0,22,0,1,ICS2_AGGREGATE,2025-02-01
2024-11,HR,HRCUST035,IE,12,1.39,28459771.86,407124.83,0,0,YELLOW,0,1,21.25,1,4,0,0,TARIC_ANALYTICS,2024-01-15
2024-12,DK,DKCUST036,PL,23,7.141,28537175.49,1503711.0,0,0,RED,0,1,51.03,1,27,0,0,FRAUD_RISK_SYSTEM,2025-06-09
2025-01,FR,FRCUST037,US,34,2.454,28597553.25,606643.36,0,0,GREEN,0,1,49.9,1,24,0,0,NATIONAL_CUSTOMS_ADMIN,2024-04-27
2025-02,HU,HUCUST038,CA,45,9.871,28617771.05,1403943.22,0,1,YELLOW,0,1,84.17,0,20,0,1,ICS2_AGGREGATE,2025-07-13
2025-03,LV,LVCUST039,AU,56,12.359,28701842.74,1611105.35,0,0,RED,0,1,64.99,0,43,0,0,TARIC_ANALYTICS,2024-10-07
2025-04,MT,MTCUST040,DK,67,13.454,28750227.36,2152642.47,0,1,GREEN,0,1,51.17,0,28,1,1,FRAUD_RISK_SYSTEM,2026-01-09
2025-05,PT,PTCUST041,IE,78,15.252,28816922.34,2497160.47,0,0,YELLOW,0,0,57.18,0,14,0,1,NATIONAL_CUSTOMS_ADMIN,2024-07-23
2025-06,SI,SICUST042,PL,89,10.528,28858868.64,1783623.79,0,0,RED,0,0,21.72,1,21,1,0,ICS2_AGGREGATE,2026-02-10
2025-07,AT,ATCUST043,US,01,6.681,28920329.49,1374173.05,0,0,GREEN,0,1,4.69,0,44,0,1,TARIC_ANALYTICS,2025-09-15
2025-08,HR,HRCUST044,CA,12,12.48,28952984.35,2266189.04,0,0,YELLOW,0,1,17.43,0,16,0,1,FRAUD_RISK_SYSTEM,2025-01-07
2025-09,DK,DKCUST045,AU,23,14.591,29041727.24,2165478.2,0,0,RED,1,1,56.59,1,21,0,1,NATIONAL_CUSTOMS_ADMIN,2026-02-19
2025-10,FR,FRCUST046,DK,34,4.968,29062842.61,1231801.04,0,0,GREEN,0,0,2.62,1,38,1,0,ICS2_AGGREGATE,2025-01-27
2025-11,HU,HUCUST047,IE,45,10.393,29136799.76,2231894.89,0,0,YELLOW,0,0,69.77,1,4,0,1,TARIC_ANALYTICS,2025-07-06
2025-12,LV,LVCUST048,PL,56,15.782,29175011.43,3125426.38,0,0,RED,0,1,92.35,1,31,1,1,FRAUD_RISK_SYSTEM,2026-02-14
2026-01,MT,MTCUST049,US,67,16.081,29223755.97,4241504.35,0,0,GREEN,0,1,60.2,1,21,1,1,NATIONAL_CUSTOMS_ADMIN,2024-01-12
2026-02,PT,PTCUST050,CA,78,12.71,29280065.67,3800237.89,0,0,YELLOW,0,0,67.88,1,38,0,1,ICS2_AGGREGATE,2024-11-20
2026-03,SI,SICUST051,AU,89,13.805,29356116.81,2145615.54,0,0,RED,0,0,105.93,1,43,0,0,TARIC_ANALYTICS,2024-06-06
2026-04,AT,ATCUST052,DK,01,6.824,29382271.33,1567692.71,0,0,GREEN,0,1,5.6,0,29,0,0,FRAUD_RISK_SYSTEM,2025-05-10
2026-05,HR,HRCUST053,IE,12,15.443,29465627.65,2315897.88,0,0,YELLOW,0,1,81.99,1,45,0,0,NATIONAL_CUSTOMS_ADMIN,2024-03-04
2026-06,DK,DKCUST054,PL,23,8.685,29505799.52,2790804.56,0,0,RED,0,0,56.33,1,50,0,1,ICS2_AGGREGATE,2024-01-05
2026-07,FR,FRCUST055,US,34,11.922,29579443.88,3301184.69,0,0,GREEN,1,1,2.06,1,1,0,0,TARIC_ANALYTICS,2024-11-15
2026-08,HU,HUCUST056,CA,45,2.851,29635083.43,857181.14,0,0,YELLOW,0,1,20.29,1,12,0,1,FRAUD_RISK_SYSTEM,2025-02-19
2026-09,LV,LVCUST057,AU,56,12.239,29689746.49,2983285.86,0,0,RED,0,1,75.3,1,16,0,0,NATIONAL_CUSTOMS_ADMIN,2025-01-19
2026-10,MT,MTCUST058,DK,67,7.486,29713602.69,1382341.35,0,0,GREEN,1,1,13.75,0,11,1,0,ICS2_AGGREGATE,2024-08-19
2026-11,PT,PTCUST059,IE,78,15.167,29773267.92,2262971.12,0,0,YELLOW,0,1,49.37,1,31,0,0,TARIC_ANALYTICS,2024-08-23
2026-12,SI,SICUST060,PL,89,12.63,29863068.99,2790001.41,0,0,RED,0,1,77.26,0,4,0,0,FRAUD_RISK_SYSTEM,2025-02-04
2018-01,AT,ATCUST061,US,01,15.853,29911602.05,4912340.98,0,0,GREEN,1,1,56.13,0,31,0,0,NATIONAL_CUSTOMS_ADMIN,2026-01-23
2018-02,HR,HRCUST062,CA,12,2.372,29933487.56,692516.89,0,0,YELLOW,0,1,40.94,0,19,1,0,ICS2_AGGREGATE,2025-07-15
2018-03,DK,DKCUST063,AU,23,16.244,29987043.66,2644482.09,0,1,RED,0,1,55.23,1,40,0,1,TARIC_ANALYTICS,2024-11-19
2018-04,FR,FRCUST064,DK,34,6.992,30048675.43,1579669.01,0,0,GREEN,0,1,22.23,1,4,0,0,FRAUD_RISK_SYSTEM,2025-10-18
2018-05,HU,HUCUST065,IE,45,11.718,30129240.21,1917055.78,0,0,YELLOW,0,1,36.99,0,3,0,0,NATIONAL_CUSTOMS_ADMIN,2025-12-21
2018-06,LV,LVCUST066,PL,56,11.969,30195929.72,3542922.87,0,0,RED,0,1,49.18,0,35,0,0,ICS2_AGGREGATE,2024-01-04
2018-07,MT,MTCUST067,US,67,11.915,30219455.88,2593119.85,1,0,GREEN,0,1,10.7,0,5,0,1,TARIC_ANALYTICS,2024-02-23
2018-08,PT,PTCUST068,CA,78,4.515,30261046.33,1103649.24,0,0,YELLOW,1,0,71.48,0,41,0,0,FRAUD_RISK_SYSTEM,2025-12-03
2018-09,SI,SICUST069,AU,89,10.735,30326401.93,1860611.65,0,0,RED,1,1,86.52,0,10,0,0,NATIONAL_CUSTOMS_ADMIN,2024-05-10
2018-10,AT,ATCUST070,DK,01,15.282,30417257.73,3458971.61,0,0,GREEN,1,1,35.64,0,31,1,1,ICS2_AGGREGATE,2024-08-11
2018-11,HR,HRCUST071,IE,12,1.581,30450322.09,229536.85,0,0,YELLOW,0,1,0.9,0,44,0,1,TARIC_ANALYTICS,2025-05-12
2018-12,DK,DKCUST072,PL,23,3.995,30488172.52,802757.17,0,0,RED,0,0,76.76,1,48,0,0,FRAUD_RISK_SYSTEM,2025-08-25
2019-01,FR,FRCUST073,US,34,4.764,30573685.95,1453522.64,0,1,GREEN,0,1,12.36,0,23,0,0,NATIONAL_CUSTOMS_ADMIN,2024-12-09
2019-02,HU,HUCUST074,CA,45,0.993,30599521.26,155278.1,0,0,YELLOW,0,1,89.06,0,6,0,0,ICS2_AGGREGATE,2025-11-30
2019-03,LV,LVCUST075,AU,56,1.368,30689910.28,357249.02,0,0,RED,1,1,45.72,0,44,1,0,TARIC_ANALYTICS,2024-10-22
2019-04,MT,MTCUST076,DK,67,12.914,30701233.04,1832110.28,0,0,GREEN,0,1,42.71,1,0,0,1,FRAUD_RISK_SYSTEM,2025-10-05
2019-05,PT,PTCUST077,IE,78,13.231,30759536.71,4132723.88,1,0,YELLOW,0,1,4.09,0,26,0,1,NATIONAL_CUSTOMS_ADMIN,2025-03-06
2019-06,SI,SICUST078,PL,89,14.358,30820389.02,3319542.23,0,0,RED,0,1,87.92,0,35,1,0,ICS2_AGGREGATE,2024-07-05
2019-07,AT,ATCUST079,US,01,8.467,30866188.27,1267549.54,0,0,GREEN,1,1,0.65,0,19,0,1,TARIC_ANALYTICS,2025-07-20
2019-08,HR,HRCUST080,CA,12,4.119,30957248.59,1109265.92,0,0,YELLOW,0,1,54.05,0,32,1,0,FRAUD_RISK_SYSTEM,2024-06-03
2019-09,DK,DKCUST081,AU,23,8.788,31012577.77,1627696.68,0,0,RED,1,1,102.8,1,24,0,1,NATIONAL_CUSTOMS_ADMIN,2024-02-17
2019-10,FR,FRCUST082,DK,34,3.427,31039530.79,810914.26,0,0,GREEN,0,1,46.82,0,44,0,1,ICS2_AGGREGATE,2025-03-01
2019-11,HU,HUCUST083,IE,45,11.95,31113426.67,1756939.61,0,0,YELLOW,0,0,5.9,0,35,1,1,TARIC_ANALYTICS,2025-02-15
2019-12,LV,LVCUST084,PL,56,4.101,31186258.39,1299135.27,0,0,RED,0,1,24.16,0,44,0,0,FRAUD_RISK_SYSTEM,2025-08-11
2020-01,MT,MTCUST085,US,67,8.044,31222366.51,2568131.25,0,0,GREEN,0,1,14.22,0,4,0,1,NATIONAL_CUSTOMS_ADMIN,2024-04-24
2020-02,PT,PTCUST086,CA,78,13.676,31298618.71,2282048.8,0,0,YELLOW,0,1,82.22,0,25,0,1,ICS2_AGGREGATE,2026-02-15
2020-03,SI,SICUST087,AU,89,8.798,31342853.23,1762533.23,0,0,RED,0,1,38.73,0,39,0,1,TARIC_ANALYTICS,2026-01-26
2020-04,AT,ATCUST088,DK,01,0.736,31382600.06,208637.4,0,0,GREEN,0,1,28.92,1,13,0,1,FRAUD_RISK_SYSTEM,2025-01-31
2020-05,HR,HRCUST089,IE,12,11.445,31425775.03,1731014.69,0,0,YELLOW,0,1,78.54,0,22,1,0,NATIONAL_CUSTOMS_ADMIN,2024-06-13
2020-06,DK,DKCUST090,PL,23,4.039,31513898.06,980238.45,0,0,RED,1,1,69.57,0,25,1,1,ICS2_AGGREGATE,2025-07-03
2020-07,FR,FRCUST091,US,34,9.0,31531804.38,1496049.75,0,0,GREEN,0,1,8.45,0,22,0,0,TARIC_ANALYTICS,2025-04-08
2020-08,HU,HUCUST092,CA,45,16.39,31604899.9,2615598.6,0,0,YELLOW,0,1,26.24,1,21,1,1,FRAUD_RISK_SYSTEM,2024-08-12
2020-09,LV,LVCUST093,AU,56,6.489,31653041.84,1973452.46,0,0,RED,0,1,126.3,0,18,0,0,NATIONAL_CUSTOMS_ADMIN,2024-01-06
2020-10,MT,MTCUST094,DK,67,15.092,31710040.02,2761800.87,0,0,GREEN,0,1,10.86,0,35,1,1,ICS2_AGGREGATE,2024-07-14
2020-11,PT,PTCUST095,IE,78,0.344,31766597.44,83123.82,0,0,YELLOW,0,1,33.77,0,7,0,0,TARIC_ANALYTICS,2025-12-14
2020-12,SI,SICUST096,PL,89,13.794,31811638.78,2178505.69,1,0,RED,1,1,98.46,0,30,0,0,FRAUD_RISK_SYSTEM,2025-10-28
2021-01,AT,ATCUST097,US,01,15.489,31868426.79,4777659.09,0,0,GREEN,1,0,16.32,1,13,0,0,NATIONAL_CUSTOMS_ADMIN,2024-11-15
2021-02,HR,HRCUST098,CA,12,8.26,31930208.42,1308178.56,0,0,YELLOW,1,1,37.08,0,13,0,1,ICS2_AGGREGATE,2025-06-27
2021-03,DK,DKCUST099,AU,23,12.336,31976695.95,4181935.56,0,0,RED,0,0,39.31,1,15,0,0,TARIC_ANALYTICS,2024-05-19
2021-04,FR,FRCUST100,DK,34,10.684,32057930.16,1891572.11,1,0,GREEN,0,1,9.82,0,24,0,1,FRAUD_RISK_SYSTEM,2024-04-06
2021-05,HU,HUCUST101,IE,45,14.979,32079189.3,2634339.78,0,0,YELLOW,0,0,78.93,0,40,0,1,NATIONAL_CUSTOMS_ADMIN,2025-04-01
2021-06,LV,LVCUST102,PL,56,15.403,32150717.01,3176619.29,0,0,RED,0,1,25.04,1,43,1,1,ICS2_AGGREGATE,2025-01-11
2021-07,MT,MTCUST103,US,67,3.374,32195968.69,1172759.34,0,0,GREEN,0,0,64.21,0,2,0,1,TARIC_ANALYTICS,2024-05-23
2021-08,PT,PTCUST104,CA,78,2.883,32261738.14,782023.53,0,0,YELLOW,0,1,87.01,1,24,0,0,FRAUD_RISK_SYSTEM,2024-05-28
2021-09,SI,SICUST105,AU,89,2.713,32311984.17,802044.96,0,0,RED,1,1,84.02,0,10,0,1,NATIONAL_CUSTOMS_ADMIN,2025-02-25
2021-10,AT,ATCUST106,DK,01,6.418,32397007.48,1753802.02,0,0,GREEN,1,1,7.75,0,11,0,0,ICS2_AGGREGATE,2026-01-01
2021-11,HR,HRCUST107,IE,12,4.801,32439879.06,757213.11,0,0,YELLOW,0,1,24.97,0,5,0,0,TARIC_ANALYTICS,2025-06-27
2021-12,DK,DKCUST108,PL,23,15.091,32482137.69,4213935.57,0,0,RED,0,1,8.27,0,19,0,1,FRAUD_RISK_SYSTEM,2024-06-10
2022-01,FR,FRCUST109,US,34,10.042,32538866.87,1694547.75,0,0,GREEN,1,1,71.28,1,31,0,0,NATIONAL_CUSTOMS_ADMIN,2025-09-13
2022-02,HU,HUCUST110,CA,45,14.476,32585539.92,3015605.25,0,0,YELLOW,0,1,21.77,1,8,0,0,ICS2_AGGREGATE,2024-02-08
2022-03,LV,LVCUST111,AU,56,5.445,32663403.98,1907526.93,0,0,RED,0,1,9.07,1,32,0,0,TARIC_ANALYTICS,2024-12-15
2022-04,MT,MTCUST112,DK,67,1.226,32686756.11,383383.25,0,0,GREEN,0,1,6.28,0,9,0,0,FRAUD_RISK_SYSTEM,2024-03-30
2022-05,PT,PTCUST113,IE,78,16.667,32744760.35,3487894.98,0,0,YELLOW,1,1,61.21,0,40,0,0,NATIONAL_CUSTOMS_ADMIN,2026-01-31
2022-06,SI,SICUST114,PL,89,15.374,32809912.7,3748926.81,0,0,RED,0,1,72.76,1,37,0,1,ICS2_AGGREGATE,2024-07-22
2022-07,AT,ATCUST115,US,01,8.282,32883275.97,2368819.34,0,0,GREEN,0,0,70.47,0,18,0,0,TARIC_ANALYTICS,2026-01-19
2022-08,HR,HRCUST116,CA,12,16.05,32934213.32,2712849.07,0,0,YELLOW,1,0,54.77,1,18,1,0,FRAUD_RISK_SYSTEM,2025-11-04
2022-09,DK,DKCUST117,AU,23,6.683,33003741.6,1436132.24,0,0,RED,1,1,28.29,1,27,0,0,NATIONAL_CUSTOMS_ADMIN,2025-03-30
2022-10,FR,FRCUST118,DK,34,1.073,33018336.34,303869.79,0,0,GREEN,0,1,23.96,0,21,0,1,ICS2_AGGREGATE,2024-09-12
2022-11,HU,HUCUST119,IE,45,10.551,33102839.13,2476549.07,0,0,YELLOW,1,1,73.83,0,43,0,1,TARIC_ANALYTICS,2025-12-26
2022-12,LV,LVCUST120,PL,56,9.714,33154516.38,1742717.08,0,0,RED,0,1,114.48,0,24,0,0,FRAUD_RISK_SYSTEM,2025-12-01
2023-01,MT,MTCUST001,US,67,9.775,33209026.88,2491815.07,0,0,GREEN,1,1,11.63,0,34,1,0,NATIONAL_CUSTOMS_ADMIN,2025-11-13
2023-02,PT,PTCUST002,CA,78,10.356,33275779.64,3466513.16,0,0,YELLOW,0,0,88.24,0,2,0,1,ICS2_AGGREGATE,2025-04-12
2023-03,SI,SICUST003,AU,89,3.419,33289710.28,1170996.82,0,0,RED,0,1,1.87,0,38,0,1,TARIC_ANALYTICS,2025-12-25
2023-04,AT,ATCUST004,DK,01,13.288,33355640.41,2630666.38,0,0,GREEN,1,1,68.37,0,43,1,1,FRAUD_RISK_SYSTEM,2024-02-04
2023-05,HR,HRCUST005,IE,12,14.564,33440439.25,2564658.3,0,0,YELLOW,1,1,3.4,1,12,0,0,NATIONAL_CUSTOMS_ADMIN,2025-11-14
2023-06,DK,DKCUST006,PL,23,15.204,33472761.02,3172197.32,0,0,RED,1,1,61.26,0,30,1,1,ICS2_AGGREGATE,2025-10-07
2023-07,FR,FRCUST007,US,34,4.078,33515536.34,1103966.38,0,0,GREEN,0,1,68.37,0,31,1,0,TARIC_ANALYTICS,2025-12-25
2023-08,HU,HUCUST008,CA,45,9.654,33602043.77,2134537.59,0,0,YELLOW,0,1,81.15,0,17,0,0,FRAUD_RISK_SYSTEM,2025-12-28
2023-09,LV,LVCUST009,AU,56,14.394,33638059.74,2930997.76,0,0,RED,0,1,84.47,1,26,0,1,NATIONAL_CUSTOMS_ADMIN,2024-02-25
2023-10,MT,MTCUST010,DK,67,16.616,33678791.67,5584172.8,0,0,GREEN,0,1,50.45,1,26,1,1,ICS2_AGGREGATE,2025-07-18
2023-11,PT,PTCUST011,IE,78,6.057,33773217.19,1160752.6,0,0,YELLOW,0,1,34.57,0,28,1,0,TARIC_ANALYTICS,2025-09-30
2023-12,SI,SICUST012,PL,89,5.532,33810064.7,2047722.93,0,0,RED,0,1,99.06,1,32,0,1,FRAUD_RISK_SYSTEM,2024-06-11
2024-01,AT,ATCUST013,US,01,14.613,33853208.71,4294784.24,1,0,GREEN,1,1,35.15,1,29,0,0,NATIONAL_CUSTOMS_ADMIN,2024-08-20
2024-02,HR,HRCUST014,CA,12,4.998,33906102.43,920959.67,0,0,YELLOW,0,1,51.92,0,21,1,0,ICS2_AGGREGATE,2024-05-22
2024-03,DK,DKCUST015,AU,23,15.808,33962373.43,3015078.62,0,0,RED,0,1,79.53,0,26,0,1,TARIC_ANALYTICS,2024-08-15
2024-04,FR,FRCUST016,DK,34,1.868,34006689.15,590187.82,0,1,GREEN,0,1,23.19,0,13,1,1,FRAUD_RISK_SYSTEM,2024-02-04
2024-05,HU,HUCUST017,IE,45,8.158,34064558.92,2948286.7,0,0,YELLOW,0,0,61.07,0,23,1,0,NATIONAL_CUSTOMS_ADMIN,2025-11-17
2024-06,LV,LVCUST018,PL,56,4.806,34139411.86,767033.77,0,0,RED,0,1,111.61,0,24,1,0,ICS2_AGGREGATE,2025-12-27
2024-07,MT,MTCUST019,US,67,5.467,34177117.48,1695259.25,1,0,GREEN,0,0,45.3,1,27,0,1,TARIC_ANALYTICS,2024-07-03
2024-08,PT,PTCUST020,CA,78,8.785,34242831.52,2230697.76,0,0,YELLOW,0,1,3.78,1,43,0,1,FRAUD_RISK_SYSTEM,2024-03-27
2024-09,SI,SICUST021,AU,89,1.742,34276671.61,408373.8,0,1,RED,0,0,72.94,1,9,1,0,NATIONAL_CUSTOMS_ADMIN,2025-08-26
2024-10,AT,ATCUST022,DK,01,9.456,34335782.91,1728059.07,0,0,GREEN,1,1,63.68,1,33,0,0,ICS2_AGGREGATE,2024-09-20
2024-11,HR,HRCUST023,IE,12,1.307,34426058.85,244853.16,0,1,YELLOW,1,0,46.9,1,34,0,0,TARIC_ANALYTICS,2025-02-09
2024-12,DK,DKCUST024,PL,23,16.835,34457687.58,3534244.53,0,1,RED,0,0,39.19,1,2,0,0,FRAUD_RISK_SYSTEM,2025-03-01
2025-01,FR,FRCUST025,US,34,15.999,34510857.65,3350773.46,0,0,GREEN,0,1,51.44,0,1,0,1,NATIONAL_CUSTOMS_ADMIN,2024-01-15
2025-02,HU,HUCUST026,CA,45,3.941,34555176.45,987440.37,0,0,YELLOW,0,1,13.04,0,29,0,1,ICS2_AGGREGATE,2024-03-28
2025-03,LV,LVCUST027,AU,56,2.523,34617715.07,517994.83,0,0,RED,0,1,89.69,1,43,0,0,TARIC_ANALYTICS,2024-10-11
2025-04,MT,MTCUST028,DK,67,4.845,34684431.68,1030076.19,0,0,GREEN,0,1,57.65,0,37,0,0,FRAUD_RISK_SYSTEM,2026-01-15
2025-05,PT,PTCUST029,IE,78,16.811,34726340.89,4473048.97,0,0,YELLOW,0,1,19.58,1,12,0,0,NATIONAL_CUSTOMS_ADMIN,2024-12-14
2025-06,SI,SICUST030,PL,89,2.76,34773224.32,544977.92,0,0,RED,0,1,85.31,0,31,0,1,ICS2_AGGREGATE,2024-07-15
2025-07,AT,ATCUST031,US,01,15.91,34845362.67,2627246.03,0,0,GREEN,0,1,52.21,0,5,1,1,TARIC_ANALYTICS,2025-02-14
2025-08,HR,HRCUST032,CA,12,9.646,34890697.1,1547601.65,0,0,YELLOW,0,1,46.54,0,7,0,0,FRAUD_RISK_SYSTEM,2025-12-29
2025-09,DK,DKCUST033,AU,23,3.977,34967634.27,994666.43,0,0,RED,1,1,94.48,0,23,0,1,NATIONAL_CUSTOMS_ADMIN,2024-03-17
2025-10,FR,FRCUST034,DK,34,15.843,34991637.15,4530936.52,0,0,GREEN,0,1,70.32,0,15,1,0,ICS2_AGGREGATE,2025-03-13
2025-11,HU,HUCUST035,IE,45,7.82,35069618.79,1473647.92,0,0,YELLOW,0,1,52.42,0,33,1,0,TARIC_ANALYTICS,2025-01-12
2025-12,LV,LVCUST036,PL,56,0.237,35102594.38,53393.31,0,0,RED,1,1,15.84,0,40,0,0,FRAUD_RISK_SYSTEM,2024-03-25
2026-01,MT,MTCUST037,US,67,1.613,35203148.87,333592.4,0,0,GREEN,0,1,47.2,1,30,0,1,NATIONAL_CUSTOMS_ADMIN,2024-03-20
2026-02,PT,PTCUST038,CA,78,2.858,35218643.85,998418.56,0,0,YELLOW,0,0,24.68,1,43,0,0,ICS2_AGGREGATE,2025-07-23
2026-03,SI,SICUST039,AU,89,5.443,35269302.73,1874332.06,0,0,RED,0,1,80.9,0,45,0,0,TARIC_ANALYTICS,2024-09-06
2026-04,AT,ATCUST040,DK,01,15.355,35363160.68,3689715.28,0,0,GREEN,0,1,17.02,1,28,0,1,FRAUD_RISK_SYSTEM,2026-01-31
2026-05,HR,HRCUST041,IE,12,8.558,35412623.92,2762743.14,0,0,YELLOW,0,0,67.83,0,26,1,0,NATIONAL_CUSTOMS_ADMIN,2025-08-05
2026-06,DK,DKCUST042,PL,23,3.529,35454221.04,631697.47,0,0,RED,0,1,118.87,0,20,0,0,ICS2_AGGREGATE,2026-01-14
2026-07,FR,FRCUST043,US,34,12.851,35486429.11,2258017.95,0,0,GREEN,0,1,62.51,0,10,0,0,TARIC_ANALYTICS,2025-04-10
2026-08,HU,HUCUST044,CA,45,14.521,35565470.12,5183012.64,1,0,YELLOW,0,0,77.21,0,38,0,1,FRAUD_RISK_SYSTEM,2025-11-14
2026-09,LV,LVCUST045,AU,56,7.204,35626071.55,2681812.39,0,0,RED,0,1,123.39,0,1,1,0,NATIONAL_CUSTOMS_ADMIN,2026-01-22
2026-10,MT,MTCUST046,DK,67,16.009,35697945.9,3171808.4,0,1,GREEN,0,1,2.4,0,24,1,0,ICS2_AGGREGATE,2025-03-16
2026-11,PT,PTCUST047,IE,78,8.541,35723058.74,3105814.05,0,0,YELLOW,1,0,41.47,1,8,0,0,TARIC_ANALYTICS,2025-04-23
2026-12,SI,SICUST048,PL,89,0.459,35775240.94,156112.34,0,0,RED,0,1,11.33,1,45,0,0,FRAUD_RISK_SYSTEM,2026-02-08
2018-01,AT,ATCUST049,US,01,13.299,35825593.16,4156294.68,0,0,GREEN,1,1,19.12,1,32,0,0,NATIONAL_CUSTOMS_ADMIN,2024-05-26
2018-02,HR,HRCUST050,CA,12,9.138,35891980.54,2227682.19,0,0,YELLOW,0,1,12.79,0,31,0,1,ICS2_AGGREGATE,2024-07-09
2018-03,DK,DKCUST051,AU,23,7.586,35968153.41,2032784.6,0,0,RED,1,1,29.21,0,19,1,0,TARIC_ANALYTICS,2024-03-28
2018-04,FR,FRCUST052,DK,34,16.94,36015970.17,4457099.5,0,0,GREEN,1,1,18.13,0,15,0,1,FRAUD_RISK_SYSTEM,2025-03-16
2018-05,HU,HUCUST053,IE,45,2.996,36045560.92,535215.2,0,0,YELLOW,0,1,9.36,0,35,0,0,NATIONAL_CUSTOMS_ADMIN,2025-01-13
2018-06,LV,LVCUST054,PL,56,10.776,36103565.5,2690526.8,0,0,RED,0,1,67.09,0,22,0,0,ICS2_AGGREGATE,2025-07-05
2018-07,MT,MTCUST055,US,67,15.005,36156543.68,5119824.36,0,0,GREEN,0,1,34.85,1,20,1,0,TARIC_ANALYTICS,2024-07-02
2018-08,PT,PTCUST056,CA,78,15.413,36237038.25,4943353.99,0,0,YELLOW,1,1,9.27,0,42,0,1,FRAUD_RISK_SYSTEM,2025-06-18
2018-09,SI,SICUST057,AU,89,0.149,36267765.25,58171.81,1,0,RED,0,1,100.72,1,53,1,1,NATIONAL_CUSTOMS_ADMIN,2024-03-03
2018-10,AT,ATCUST058,DK,01,0.332,36340750.88,98353.94,0,1,GREEN,1,1,25.91,0,10,1,0,ICS2_AGGREGATE,2025-02-02
2018-11,HR,HRCUST059,IE,12,16.087,36405777.01,2930027.31,0,0,YELLOW,1,1,3.79,0,10,1,1,TARIC_ANALYTICS,2025-09-05
2018-12,DK,DKCUST060,PL,23,15.309,36422197.63,3952571.0,0,0,RED,1,1,31.92,0,50,0,1,FRAUD_RISK_SYSTEM,2024-10-26
2019-01,FR,FRCUST061,US,34,8.742,36491320.0,2884179.57,0,0,GREEN,0,1,70.34,0,33,0,0,NATIONAL_CUSTOMS_ADMIN,2024-06-11
2019-02,HU,HUCUST062,CA,45,11.868,36578479.04,2113375.0,0,0,YELLOW,0,0,23.91,0,22,0,0,ICS2_AGGREGATE,2024-05-02
