tech_infra_project_start_date,tech_infra_project_id,tech_infra_project_type_code,tech_infra_funding_source_code,tech_infra_total_budget_inr,tech_infra_matching_funds_inr,tech_infra_km_fiber_planned,tech_infra_km_fiber_completed,tech_infra_locations_planned,tech_infra_locations_connected,tech_infra_construction_status_code,tech_infra_permits_issued_count,tech_infra_right_of_way_delay_days,tech_infra_contractor_id,tech_infra_workforce_local_hire_pct,tech_infra_equipment_supply_risk_score,tech_infra_open_access_policy_flag,tech_infra_community_anchor_sites_connected,tech_infra_performance_milestone_met_flag,tech_infra_project_closeout_date
2021-12-08,INFMK6BJR5LYI,LAST_MILE,MDB_LOAN,48861472,15574292,738.5,150.6,33431,26206,IN_PROGRESS,1204,61,CON3032877,17.8,0.45,0,2941,0,
2023-04-06,INFTN090VBH7Y,FIBER_BACKBONE,PRIVATE_CAPEX,76163810,18563363,690.2,272.1,147448,20179,ON_HOLD,358,329,CON4781530,52.3,0.856,0,1872,1,
2025-06-17,INF202MC6IV30,COMMUNITY_WIFI,USOF,152686093,12169085,508.6,50.4,161147,154926,IN_PROGRESS,303,252,CON7877567,12.7,0.719,0,1926,0,
2022-02-20,INFDPB421EH1I,LAST_MILE,PPP,187459073,38546963,610.4,345.9,187484,37507,COMPLETED,1229,286,CON4157474,0.4,0.204,1,2366,0,2023-11-05
2025-01-10,INFWPAUZUTPPA,TOWER_UPGRADE,PPP,195498528,2447955,295.3,147.3,103599,63299,COMPLETED,443,279,CON1627833,64.8,0.656,1,309,0,2021-09-29
2025-01-10,INFU27P8T5N6W,LAST_MILE,MDB_LOAN,175882295,3625762,932.7,229.0,106970,36096,CANCELLED,388,79,CON5761341,6.8,0.808,0,2274,0,2020-10-14
2024-10-18,INFRS2U1UZD7T,FIBER_BACKBONE,PPP,213858829,73239139,479.8,131.1,104580,35183,ON_HOLD,656,122,CON1983955,14.3,0.313,0,2035,0,
2022-12-22,INF4MI8IY5Q2O,FIBER_BACKBONE,USOF,130569967,53410344,890.1,550.9,171901,66175,ON_HOLD,965,211,CON6734756,9.4,0.335,0,4,0,
2019-07-11,INFOGY0WZYO9Z,FIBER_BACKBONE,STATE_GRANT,129399150,57150529,360.6,111.5,186585,34920,IN_PROGRESS,803,192,CON8528421,22.1,0.46,1,1824,0,
2022-12-26,INF3GR8TH193X,TOWER_UPGRADE,MDB_LOAN,171262694,40219769,1223.1,1019.7,53290,53129,PLANNED,75,186,CON2129700,74.2,0.866,0,1527,1,
2022-07-07,INF1IRV7C32MJ,TOWER_UPGRADE,PRIVATE_CAPEX,104317904,66136322,1172.5,784.9,124362,92188,COMPLETED,970,328,CON9278819,9.2,0.326,1,2859,1,2024-09-17
2025-02-17,INFVKW3Q5P60V,COMMUNITY_WIFI,PPP,192412308,119393255,632.9,143.8,50826,50414,ON_HOLD,1161,105,CON8078094,79.6,0.695,0,1893,1,
2024-03-03,INFGSA3U9O3DX,COMMUNITY_WIFI,PRIVATE_CAPEX,166679530,112604481,1265.1,294.7,132231,20377,ON_HOLD,979,104,CON6275852,55.8,0.884,1,2089,0,
2023-09-14,INFN5VZS5CBVH,SAT_GATEWAY,MDB_LOAN,184065304,48660507,1413.7,1403.5,225436,2942,COMPLETED,1359,24,CON4988805,0.1,0.586,1,1898,1,2020-07-03
2023-06-30,INFO5W33P9YY2,COMMUNITY_WIFI,PRIVATE_CAPEX,8199258,2933832,355.3,66.9,189019,51440,COMPLETED,886,23,CON6276616,48.8,0.716,1,188,0,2020-09-17
2025-11-07,INFRKYOESYTE0,TOWER_UPGRADE,USOF,228790760,109474471,1368.1,430.7,59955,59824,COMPLETED,840,195,CON3323552,59.8,0.453,0,1600,0,2023-05-16
2023-12-04,INFVJ7WJOPTVF,SAT_GATEWAY,STATE_GRANT,16832830,698836,427.2,424.9,135958,123319,PLANNED,702,350,CON7970744,82.7,0.397,1,2695,0,
2019-08-07,INF0UPRPQ6V8J,SAT_GATEWAY,USOF,183306323,90753386,644.6,53.1,93896,92912,ON_HOLD,919,111,CON3084091,18.9,0.151,1,2135,0,
2023-10-17,INFKFKS8FZMA4,FIBER_BACKBONE,PPP,111703478,31358336,408.6,278.1,85670,34401,IN_PROGRESS,694,23,CON1160594,46.6,0.26,0,538,0,
2024-08-03,INFYW0H5K9X4J,LAST_MILE,USOF,202715281,31957917,836.7,183.0,63505,13477,IN_PROGRESS,512,108,CON0668418,18.4,0.774,0,1614,1,
2026-02-03,INFI089G0OUHE,TOWER_UPGRADE,STATE_GRANT,78430903,29458758,1059.0,778.1,234648,232540,IN_PROGRESS,25,172,CON1590050,69.0,0.223,0,1488,0,
2022-08-29,INFOTZ4MAX9XD,TOWER_UPGRADE,STATE_GRANT,100338259,1941401,1172.6,52.0,65567,26479,PLANNED,1317,317,CON1959614,28.4,0.033,1,1928,0,
2025-08-31,INF8JICGIWALU,SAT_GATEWAY,PRIVATE_CAPEX,248460452,140225126,1470.2,887.4,86992,12164,COMPLETED,17,253,CON3666468,67.4,0.141,0,115,1,2025-05-28
2025-04-17,INFL8YCVZWHTG,SAT_GATEWAY,STATE_GRANT,217698295,109035075,1286.0,789.6,241153,190237,CANCELLED,241,148,CON6257149,25.3,0.959,0,2115,0,2024-04-04
2023-04-19,INFG86A0N87D6,COMMUNITY_WIFI,STATE_GRANT,86996928,26103958,764.1,71.4,230912,142917,CANCELLED,350,6,CON6079917,35.9,0.231,0,2356,0,2022-10-08
2020-07-03,INFMT3FYLDMJD,SAT_GATEWAY,PPP,198311502,100586492,717.7,254.4,60585,13311,ON_HOLD,850,313,CON0054681,51.7,0.275,1,125,1,
2025-01-09,INFS9MF7P2AWE,SAT_GATEWAY,STATE_GRANT,78405578,6575415,242.8,123.4,156963,146079,IN_PROGRESS,6,307,CON5229854,15.3,0.058,0,2195,1,
2026-01-02,INFP9ZTWI24YR,FIBER_BACKBONE,PRIVATE_CAPEX,212704700,45834922,1100.8,199.6,32867,12966,IN_PROGRESS,540,169,CON0753284,81.2,0.959,0,2193,0,
2020-02-21,INFARTU4Y42FI,SAT_GATEWAY,MDB_LOAN,11700688,4484190,292.2,26.8,89455,30821,COMPLETED,990,246,CON4697546,54.4,0.182,0,147,1,2025-03-12
2025-01-15,INFWI8HVXDM2N,COMMUNITY_WIFI,PRIVATE_CAPEX,249210695,141272208,772.3,301.9,218278,22147,IN_PROGRESS,1034,145,CON3584389,94.5,0.518,0,1447,0,
2020-04-24,INFNE9DCIECUM,TOWER_UPGRADE,STATE_GRANT,74087875,39227811,1234.0,1184.3,17597,12576,COMPLETED,1311,198,CON2706909,51.3,0.684,0,1646,0,2021-11-13
2025-12-07,INFHAJ7D5BGFX,FIBER_BACKBONE,MDB_LOAN,121116005,16987601,1198.8,514.0,75704,19843,CANCELLED,851,111,CON3679854,22.4,0.975,0,2549,0,2025-08-05
2025-10-18,INFMGZCIGYLQK,FIBER_BACKBONE,USOF,118111050,82136053,1351.6,1133.3,232054,25847,IN_PROGRESS,980,257,CON3675809,25.1,0.335,1,709,0,
2025-10-11,INF2NCKMO31DJ,TOWER_UPGRADE,MDB_LOAN,77682250,11362481,246.7,11.6,230225,49976,ON_HOLD,631,196,CON6424103,41.9,0.127,0,1957,0,
2025-04-04,INFPBBWLLSFXC,FIBER_BACKBONE,PPP,227635603,82518973,939.5,598.2,72726,12280,CANCELLED,69,250,CON5438979,18.0,0.942,1,1453,1,2020-04-09
2022-10-05,INFWBU5PONNP0,COMMUNITY_WIFI,USOF,112486088,27316826,729.1,334.4,19475,17335,COMPLETED,1419,55,CON4354258,21.7,0.838,0,1454,1,2025-04-13
2023-09-14,INFMTR9502D4U,FIBER_BACKBONE,MDB_LOAN,191251333,86387665,787.6,414.3,141992,64355,IN_PROGRESS,639,213,CON8027935,71.9,0.997,0,929,1,
2024-02-05,INFBJ5ME5J42I,COMMUNITY_WIFI,PPP,71609682,966367,1232.9,1018.8,207537,5868,IN_PROGRESS,250,134,CON2888656,54.8,0.189,1,580,1,
2025-04-27,INFWNHTMVLR9A,SAT_GATEWAY,STATE_GRANT,165914277,84008480,312.7,43.7,201861,183352,IN_PROGRESS,346,338,CON1130198,28.9,0.437,1,1498,1,
2021-02-24,INF1KRS4LRFVW,FIBER_BACKBONE,MDB_LOAN,116158374,7168425,577.9,418.4,79667,26541,PLANNED,1461,304,CON0884460,13.1,0.468,1,966,0,
2025-01-21,INFSQX4TFVIMT,LAST_MILE,USOF,59614501,18371042,203.3,9.2,204023,179065,ON_HOLD,371,353,CON5756948,81.6,0.454,0,2989,1,
2021-09-20,INF0XYBU90FNE,TOWER_UPGRADE,STATE_GRANT,240748954,135659068,1193.2,520.4,199966,151700,PLANNED,151,165,CON9703988,4.9,0.162,1,1261,0,
2020-12-12,INF7Z719GOK4U,TOWER_UPGRADE,USOF,7734510,625893,20.0,11.2,218447,187695,COMPLETED,395,321,CON5306137,90.5,0.244,1,374,1,2024-04-19
2020-11-21,INFNFOT9061P7,LAST_MILE,MDB_LOAN,244785740,150813401,886.2,130.8,81540,56276,PLANNED,255,3,CON6655815,41.5,0.644,0,1765,0,
2019-09-19,INFDD9BSLRQ8U,FIBER_BACKBONE,MDB_LOAN,51217963,4222669,528.8,354.4,42351,40046,COMPLETED,184,240,CON0039906,6.0,0.277,0,2182,0,2021-01-31
2020-09-13,INFNTA0F4WG1Y,COMMUNITY_WIFI,PPP,19233793,4950865,500.7,283.3,115124,66751,CANCELLED,739,334,CON6430438,93.3,0.957,0,1255,1,2024-10-23
2024-11-09,INF7S2OQXH923,LAST_MILE,MDB_LOAN,32308858,20463675,271.8,85.8,233232,174305,CANCELLED,743,141,CON7309512,59.0,0.007,0,1914,0,2024-10-11
2022-03-30,INFI7S9MM9M3E,TOWER_UPGRADE,PRIVATE_CAPEX,113038112,31517341,509.7,381.1,10407,4275,COMPLETED,1326,14,CON6941563,33.2,0.611,0,1310,1,2020-03-04
2024-06-19,INFSBA6IHW342,SAT_GATEWAY,PRIVATE_CAPEX,247983124,30435880,1211.7,865.6,45484,8429,CANCELLED,389,50,CON4258723,77.9,0.279,0,1497,1,2020-07-08
2024-07-13,INFG24QXZW2J6,SAT_GATEWAY,MDB_LOAN,97166912,35507013,646.2,263.7,168990,96779,ON_HOLD,230,202,CON8875045,58.9,0.087,1,2900,0,
2025-09-22,INFFQO17NGV7Z,FIBER_BACKBONE,STATE_GRANT,56162210,38158747,379.4,123.5,58607,6185,CANCELLED,777,286,CON9494413,25.2,0.568,0,795,0,2022-11-18
2022-01-05,INF53VN8KE5JX,LAST_MILE,USOF,164377343,5057440,240.5,86.2,18489,17718,IN_PROGRESS,232,135,CON6053090,80.0,0.336,0,235,0,
2020-06-09,INFRHKAMYLMAZ,SAT_GATEWAY,STATE_GRANT,14443604,89291,651.2,159.4,188621,54593,PLANNED,523,47,CON6988826,33.1,0.588,1,870,1,
2025-11-03,INFL26G5BWNXJ,SAT_GATEWAY,USOF,191666610,83422197,561.5,305.2,179504,42596,COMPLETED,1247,239,CON3594559,73.5,0.13,0,705,1,2022-06-10
2020-08-14,INFT0H1G7FUEI,COMMUNITY_WIFI,PRIVATE_CAPEX,225129176,52809089,1438.0,1329.5,80322,52461,COMPLETED,407,88,CON0415907,35.5,0.252,1,2799,0,2021-05-12
2023-03-13,INFPZC1QQNP8D,COMMUNITY_WIFI,MDB_LOAN,151872375,8884676,835.1,671.7,164845,49986,ON_HOLD,1419,209,CON7912197,45.2,0.812,0,1426,0,
2023-05-05,INF197EBW7V78,FIBER_BACKBONE,STATE_GRANT,209160282,12308875,1035.8,423.0,100518,52146,PLANNED,1168,90,CON6157005,68.5,0.556,0,1483,0,
2019-06-14,INFGFV60LNRUX,TOWER_UPGRADE,STATE_GRANT,90594394,55047395,657.3,402.2,225213,134398,IN_PROGRESS,820,276,CON6582757,31.7,0.616,1,1887,0,
2019-05-29,INFERGWVH0ZRY,SAT_GATEWAY,MDB_LOAN,78220346,23233279,924.0,359.6,92021,70307,ON_HOLD,566,235,CON4951306,59.8,0.815,0,1371,1,
2019-10-06,INFX7ZA6C9F6U,LAST_MILE,USOF,34553561,22571748,1295.3,1282.6,190930,99182,COMPLETED,1381,126,CON7116305,31.3,0.595,0,83,1,2022-05-14
2019-09-05,INFIONU0VJP1B,SAT_GATEWAY,STATE_GRANT,5491068,1638779,1088.7,445.9,96506,30151,ON_HOLD,223,266,CON9591982,92.5,0.679,0,1502,0,
2026-01-20,INF1OV398EXDE,COMMUNITY_WIFI,MDB_LOAN,242119660,55427412,856.3,692.3,44195,3984,COMPLETED,1033,159,CON5926980,83.6,0.122,1,2168,0,2026-01-23
2025-04-06,INFDMJQSURDIQ,FIBER_BACKBONE,STATE_GRANT,46724571,17124150,385.8,74.8,26798,6943,IN_PROGRESS,1014,122,CON1190396,20.6,0.067,1,1066,1,
2025-09-10,INF6I4TI9MBA1,FIBER_BACKBONE,STATE_GRANT,20265586,8944980,397.8,393.8,193108,88991,ON_HOLD,67,337,CON0949239,36.2,0.809,0,2553,0,
2020-09-03,INFLN0Y4Y3IFX,FIBER_BACKBONE,STATE_GRANT,120116249,44995585,411.1,377.7,183468,130851,ON_HOLD,928,327,CON8145635,47.2,0.8,1,63,0,
2022-04-23,INFLTSTSP2F54,LAST_MILE,PPP,24238593,6198014,1383.1,662.5,31270,12231,PLANNED,1224,220,CON6290744,27.1,0.328,1,1315,1,
2023-02-19,INFAE7011GPL8,LAST_MILE,USOF,91000430,16970831,495.6,424.6,190722,188941,ON_HOLD,588,3,CON2394276,87.3,0.809,0,2011,0,
2019-02-02,INFY1AQJG0NFG,LAST_MILE,PPP,4735743,2362535,411.5,134.0,193505,1681,IN_PROGRESS,220,256,CON6486624,42.1,0.516,0,2639,1,
2020-11-27,INFB4XYCU8KU1,COMMUNITY_WIFI,PPP,43847722,1561014,1132.5,968.4,238426,38048,ON_HOLD,427,326,CON4846204,60.9,0.889,0,745,0,
2023-10-24,INF5H7MHW1E34,LAST_MILE,STATE_GRANT,87226952,37887869,684.9,116.8,174944,14646,CANCELLED,526,232,CON3395331,94.0,0.008,0,918,0,2021-08-20
2025-08-25,INFUYSY7ZN6AE,TOWER_UPGRADE,USOF,110319434,36006448,796.5,687.0,84356,57084,IN_PROGRESS,1352,220,CON5991324,28.8,0.465,1,2051,1,
2019-10-08,INFFF3CASEMW0,COMMUNITY_WIFI,PPP,83044912,44869726,876.2,86.1,230862,71402,ON_HOLD,365,259,CON2341222,80.7,0.384,0,1700,0,
2025-07-30,INFM9W7WM2FZA,TOWER_UPGRADE,PPP,163288056,6320390,296.1,66.1,12694,7786,CANCELLED,1290,334,CON8734382,88.0,0.854,1,1133,1,2021-01-25
2024-08-13,INFOVYJB0WVKN,FIBER_BACKBONE,PRIVATE_CAPEX,209562734,110653672,969.8,123.6,160533,89310,CANCELLED,1500,91,CON5140604,41.9,0.203,0,981,1,2024-04-30
2021-12-01,INFCYM9PIL3FH,FIBER_BACKBONE,USOF,149653687,42152588,1472.3,1315.1,160699,49664,IN_PROGRESS,30,154,CON5631619,13.8,0.583,0,2590,0,
2022-09-13,INF9JGNFN7L93,LAST_MILE,USOF,141442387,79723792,1390.9,1313.1,131944,34808,ON_HOLD,700,261,CON0633969,13.2,0.702,0,1316,0,
2024-02-07,INFLML8YWELXV,FIBER_BACKBONE,USOF,20081735,12163821,1287.0,1051.2,4971,3610,COMPLETED,993,206,CON2958356,65.5,0.792,0,31,0,2020-04-26
2020-01-21,INFC93K2B5UUV,COMMUNITY_WIFI,STATE_GRANT,202798561,42365391,173.0,79.4,191852,115621,PLANNED,222,337,CON9220585,2.6,0.958,0,2463,0,
2022-09-22,INFYCIRZJ6O83,COMMUNITY_WIFI,MDB_LOAN,217387154,86251854,895.1,224.1,79321,53349,IN_PROGRESS,939,71,CON9272790,2.2,0.324,0,1339,0,
2024-08-26,INF1MEWPK081S,LAST_MILE,PPP,12783114,287481,1332.8,689.6,23075,19133,CANCELLED,532,154,CON1014579,5.5,0.487,0,2320,0,2020-09-04
2023-03-26,INFDPRJ13GBJJ,TOWER_UPGRADE,PRIVATE_CAPEX,172583104,103477922,1215.1,786.7,52307,14275,IN_PROGRESS,1428,9,CON0328015,77.4,0.822,0,274,0,
2022-08-16,INFZ60NKCFJI9,TOWER_UPGRADE,PPP,40365390,16443463,131.4,32.6,48083,30984,PLANNED,1102,8,CON4045053,44.1,0.974,1,757,0,
2019-03-17,INFW4Z8VVAO1B,TOWER_UPGRADE,STATE_GRANT,96185414,22447575,1358.3,1217.8,244937,63465,PLANNED,945,206,CON3650793,92.9,0.708,0,1914,0,
2023-10-29,INFNS5AQ79PDE,TOWER_UPGRADE,MDB_LOAN,70040079,10675619,901.4,433.9,243967,24929,CANCELLED,1007,29,CON1326658,98.6,0.462,0,588,0,2024-01-25
2019-04-28,INF27ZYK2Y02D,SAT_GATEWAY,PRIVATE_CAPEX,53210836,7984973,1068.4,2.0,96739,46786,CANCELLED,1048,158,CON9821004,80.1,0.654,0,2347,0,2025-06-16
2021-03-30,INF2NR0HV4GYP,FIBER_BACKBONE,PRIVATE_CAPEX,142907604,81231194,720.6,451.8,32134,28316,CANCELLED,1057,318,CON2297143,10.9,0.167,0,2216,0,2022-08-05
2022-01-07,INFVMLNBDEV9F,TOWER_UPGRADE,PPP,99744858,39412693,1107.6,0.3,55937,46482,CANCELLED,1089,211,CON2873214,18.8,0.592,1,2789,0,2025-04-11
2024-12-14,INFNXU87JV2D9,LAST_MILE,USOF,64029367,10524589,1406.5,183.2,44603,21213,COMPLETED,253,193,CON2578109,30.3,0.403,0,1235,1,2022-06-07
2021-10-27,INFHWVFMU4I5V,SAT_GATEWAY,STATE_GRANT,113536164,51570463,626.2,268.2,35451,14059,ON_HOLD,1265,40,CON8267012,54.0,0.458,0,430,1,
2022-10-12,INFR74KI2HVQL,TOWER_UPGRADE,STATE_GRANT,188374602,64963079,1049.5,379.4,147259,81799,ON_HOLD,520,339,CON9357142,47.4,0.521,0,100,0,
2023-07-26,INFJEIK4I2VOO,TOWER_UPGRADE,PPP,54182939,29193974,646.9,555.2,134102,26173,PLANNED,1454,32,CON0682313,11.8,0.981,0,1201,0,
2025-08-07,INFWOJEEBEVHB,SAT_GATEWAY,STATE_GRANT,130802354,63494341,1316.9,1216.4,171721,58766,CANCELLED,428,157,CON0786713,99.1,0.705,1,791,0,2022-08-27
2025-08-29,INF72K64OEKN7,LAST_MILE,USOF,150575578,39112694,686.1,389.9,98779,80192,IN_PROGRESS,146,137,CON5461513,49.6,0.666,0,802,1,
2025-11-11,INFEE52WQROBG,LAST_MILE,PPP,6940137,666996,517.5,196.5,180209,164423,PLANNED,706,332,CON2857015,18.3,0.966,0,2657,0,
2019-12-01,INF2WGAV8D0JN,SAT_GATEWAY,PPP,133540246,38904375,834.1,395.7,175120,96103,ON_HOLD,213,214,CON9840486,12.7,0.718,0,2534,1,
2025-06-04,INFT5DOF4X7CN,FIBER_BACKBONE,MDB_LOAN,183321418,55605098,1469.2,461.4,54619,18424,CANCELLED,78,67,CON4990111,31.1,0.424,0,2877,0,2022-06-19
2023-04-01,INFYFNRRPFDJR,COMMUNITY_WIFI,USOF,224690980,78253430,1214.5,1081.0,59909,58153,CANCELLED,1292,235,CON3036208,22.5,0.265,0,428,1,2020-06-19
2025-02-04,INFQ0T80YT63W,SAT_GATEWAY,USOF,76589063,28355354,844.3,160.4,49654,17357,CANCELLED,428,146,CON8182359,75.2,0.319,1,2078,0,2021-05-12
2021-01-19,INF312PAQ3HQT,COMMUNITY_WIFI,PRIVATE_CAPEX,106551521,49804350,157.1,100.8,99165,7221,PLANNED,588,21,CON7849283,4.4,0.04,0,1418,0,
2021-08-12,INFI0BJZ52DQ4,LAST_MILE,MDB_LOAN,79354698,33892597,174.3,94.5,146708,131625,IN_PROGRESS,802,135,CON0507808,60.9,0.4,0,2532,0,
2019-05-05,INFUZDNEJ5PT4,FIBER_BACKBONE,USOF,117005479,68594882,694.7,463.8,29850,11066,ON_HOLD,377,179,CON2808381,26.1,0.087,1,1707,0,
2020-08-25,INFAV2HZSKQQZ,LAST_MILE,PRIVATE_CAPEX,235364448,3564800,1109.5,506.7,35775,34487,PLANNED,433,293,CON6124230,64.4,0.209,1,894,0,
2019-08-09,INF8NO2NKTLGG,FIBER_BACKBONE,USOF,21335975,6247420,477.7,375.0,204816,4275,CANCELLED,764,45,CON4840196,12.3,0.525,1,854,0,2021-08-19
2025-12-21,INFYCNONFBHOS,SAT_GATEWAY,PRIVATE_CAPEX,170061478,21459992,1493.1,720.6,241189,208930,IN_PROGRESS,1478,132,CON7956937,85.1,0.675,0,2102,1,
2020-08-01,INFJ54VRA3WBM,TOWER_UPGRADE,MDB_LOAN,121781458,72029197,210.4,176.2,16740,8968,ON_HOLD,1006,353,CON4082647,67.0,0.541,0,2438,1,
2020-12-02,INFLN2O52N5ZS,LAST_MILE,MDB_LOAN,158204380,103397985,1056.2,169.9,40887,14290,IN_PROGRESS,1093,302,CON8660453,1.9,0.573,1,10,0,
2023-05-21,INFY4F0KOFC40,LAST_MILE,PRIVATE_CAPEX,200447949,35707692,1371.0,377.7,16345,14468,ON_HOLD,79,156,CON8695354,3.9,0.134,0,219,0,
2019-04-26,INFCQEPHKEP1G,FIBER_BACKBONE,MDB_LOAN,224021205,33460739,130.8,127.2,54793,41713,IN_PROGRESS,131,276,CON6966065,80.5,0.836,1,1005,0,
2023-01-31,INFW1VGCI8K3C,LAST_MILE,USOF,4559481,643812,976.2,48.3,26366,11725,PLANNED,305,237,CON4535597,18.6,0.789,0,695,0,
2023-09-27,INF2D09J4A8FX,COMMUNITY_WIFI,MDB_LOAN,29869529,102434,836.9,721.2,193529,145093,PLANNED,617,216,CON2012646,11.2,0.916,1,914,0,
2020-10-28,INFLEHXO8FMQ0,TOWER_UPGRADE,MDB_LOAN,170214225,54656444,811.7,174.3,35086,4708,CANCELLED,101,137,CON4514683,17.6,0.394,0,2985,0,2025-09-27
2021-06-27,INFASU0Q44NDM,SAT_GATEWAY,PRIVATE_CAPEX,15802650,1823687,852.9,683.2,231095,106268,CANCELLED,318,258,CON5800700,94.7,0.096,0,2047,0,2021-04-07
2022-07-01,INFO9XO4D2FYN,TOWER_UPGRADE,PPP,45099666,19036855,1341.3,1173.4,78623,69738,IN_PROGRESS,791,331,CON3802135,42.8,0.033,1,2796,0,
2025-11-24,INF71RK5QRL7J,LAST_MILE,USOF,168544541,5788090,476.3,332.0,164705,676,IN_PROGRESS,948,158,CON0528210,33.4,0.629,1,2513,0,
2019-01-18,INFBDP595Z5EB,SAT_GATEWAY,STATE_GRANT,242907127,29072532,724.3,577.1,239920,27771,ON_HOLD,655,261,CON3409007,99.9,0.571,0,467,1,
2025-09-10,INFJYE9QVZMIU,SAT_GATEWAY,USOF,188685926,93584030,1194.0,877.8,14815,10838,IN_PROGRESS,23,54,CON6046208,3.3,0.299,0,1808,1,
2020-10-03,INF0VPE8QUJ9E,LAST_MILE,USOF,221890024,16030441,1323.6,1116.8,62889,760,PLANNED,563,6,CON3778393,39.1,0.871,1,2262,0,
2021-09-16,INF96VPPTD24S,COMMUNITY_WIFI,MDB_LOAN,154298460,35848534,491.4,328.2,206511,110415,PLANNED,917,115,CON7676383,51.3,0.662,0,1566,1,
2025-04-30,INF70UI3TNJ2X,SAT_GATEWAY,STATE_GRANT,140283704,12267875,518.0,352.4,175336,40700,COMPLETED,1085,136,CON3139695,5.7,0.752,0,651,1,2025-03-10
2026-01-21,INFOILLVPYZ82,SAT_GATEWAY,PPP,179319076,111723131,1360.6,1318.3,172988,126178,PLANNED,1023,70,CON9704394,70.9,0.375,1,2261,0,
2025-01-29,INFWVS3F76X2R,TOWER_UPGRADE,STATE_GRANT,182545236,25575548,388.1,377.6,17574,4068,CANCELLED,614,64,CON8375300,93.5,0.32,0,1398,0,2020-01-06
2025-03-01,INFESKSTFQCXZ,COMMUNITY_WIFI,STATE_GRANT,125444597,41423753,793.6,684.6,147960,57611,CANCELLED,1424,279,CON9251847,12.2,0.883,0,2511,0,2024-10-19
2021-03-23,INFMKV8RVFVDM,FIBER_BACKBONE,USOF,227207105,92341937,831.6,633.8,179558,21892,IN_PROGRESS,1304,49,CON7050020,66.3,0.543,0,2141,1,
2024-01-05,INFRYCGZ94KL3,TOWER_UPGRADE,PRIVATE_CAPEX,164448789,48411426,1338.0,790.2,219188,107517,IN_PROGRESS,1465,24,CON4028513,66.2,0.702,0,30,1,
2019-06-13,INFY74W6NVQGJ,LAST_MILE,MDB_LOAN,130491544,17232958,279.4,39.0,37171,26408,PLANNED,1173,304,CON6172763,91.4,0.974,1,2603,0,
2020-05-10,INFIR4D9MI5DL,FIBER_BACKBONE,MDB_LOAN,211259210,48097391,1371.2,272.1,163671,70255,IN_PROGRESS,189,251,CON4638850,63.8,0.292,1,2199,0,
2024-12-24,INFZVDTIXZS24,TOWER_UPGRADE,STATE_GRANT,196700459,43471518,143.6,19.1,3501,1806,ON_HOLD,1142,71,CON3257374,68.8,0.277,0,2519,0,
2021-01-27,INFYKGY9H23OK,SAT_GATEWAY,STATE_GRANT,216875939,29683742,924.3,412.2,5215,761,COMPLETED,1426,130,CON5921771,92.8,0.766,1,1431,1,2023-10-28
2021-12-13,INF1OVLIN2VRG,COMMUNITY_WIFI,PRIVATE_CAPEX,101082126,22123072,103.7,56.0,102227,54032,ON_HOLD,999,146,CON8127446,77.0,0.839,1,2554,0,
2023-11-05,INF8MSR57H6E4,FIBER_BACKBONE,PPP,144927929,55122326,854.0,441.2,507,180,COMPLETED,449,213,CON8089591,74.4,0.912,1,2450,1,2021-01-19
2022-12-07,INFZ9S2LLT6J9,LAST_MILE,PRIVATE_CAPEX,184799637,126440986,690.4,599.3,232286,137794,ON_HOLD,680,2,CON5883661,51.4,0.24,0,1028,1,
2021-03-20,INF9A3VECO9HD,COMMUNITY_WIFI,STATE_GRANT,138731393,84475552,7.7,4.7,174041,76187,ON_HOLD,231,332,CON9054066,0.4,0.686,0,1945,0,
2020-03-07,INF74TV6J0FUQ,LAST_MILE,STATE_GRANT,31237922,4629862,166.0,121.8,230099,126354,ON_HOLD,290,81,CON8485449,69.9,0.637,1,880,0,
2026-01-09,INF5ZNZRDNVGG,TOWER_UPGRADE,USOF,127440751,1065618,1121.0,544.3,207902,171583,IN_PROGRESS,1270,209,CON7526400,87.2,0.024,1,1199,0,
2019-08-10,INFALF9HWPCMX,COMMUNITY_WIFI,MDB_LOAN,180391488,120482336,869.9,816.4,52353,19139,COMPLETED,1225,131,CON9930045,92.3,0.644,1,1703,1,2020-08-29
2025-01-23,INF2ZYZPMSSE1,LAST_MILE,USOF,119453617,19351382,771.1,443.9,88538,66110,CANCELLED,636,86,CON0106651,88.0,0.472,0,1087,0,2025-01-16
2022-10-28,INF3N2GU4RB95,SAT_GATEWAY,PRIVATE_CAPEX,79288301,19404707,1259.9,881.9,87053,26206,IN_PROGRESS,437,181,CON4031455,40.8,0.562,1,2134,0,
2023-01-26,INFFUXPILB91M,COMMUNITY_WIFI,PPP,160137326,55447207,28.4,16.0,157690,150278,COMPLETED,975,355,CON2619227,15.1,0.99,0,516,1,2025-09-25
2021-09-22,INFVFI86USSL5,LAST_MILE,PRIVATE_CAPEX,75484945,29193186,681.2,287.8,95042,74155,IN_PROGRESS,302,218,CON6858508,68.5,0.236,0,2678,1,
2019-07-25,INFJ3W3TPGZ6S,LAST_MILE,STATE_GRANT,52521181,3130705,322.9,278.1,82100,22823,PLANNED,714,323,CON1176130,71.5,0.677,0,796,0,
2025-12-04,INFXSN3JQP5XB,SAT_GATEWAY,USOF,112574471,47540634,933.6,538.6,236997,185547,COMPLETED,1279,133,CON6045198,55.6,0.293,0,592,1,2023-09-18
