civic_district_plan_id,civic_district_plan_effective_year,civic_district_district_number,civic_district_district_type_code,civic_district_population_total_ideal,civic_district_population_deviation_pct,civic_district_voting_age_population,civic_district_citizen_vap,civic_district_minority_vap_share_pct,civic_district_compactness_polsby_popper,civic_district_compactness_reock,civic_district_contiguity_flag,civic_district_split_count_county,civic_district_split_count_tract,civic_district_incumbent_residence_flag,civic_district_communities_of_interest_index,civic_district_partisan_lean_metric,civic_district_election_competitiveness_score,civic_district_public_comment_count,civic_district_litigation_risk_flag
PLAN2021-JESGQ4,2021,316,LOKSABHA,1574551,5.17,1181215,1154002,28.03,0.202,0.43,1,1,2,1,80.7,-13.66,2.3,14,0
PLAN2022-KLDF4H,2022,131,PANCHAYAT_WARD,2219781,6.18,1722716,1599970,23.14,0.082,0.35,1,0,3,1,75.8,5.75,50.1,12,0
PLAN2014-IN0XGN,2014,185,MUNICIPAL_WARD,1341095,5.54,928705,884475,12.5,0.158,0.127,1,1,4,1,77.4,2.44,77.5,15,0
PLAN2013-GMY4IQ,2013,102,LOKSABHA,897789,4.64,586562,580392,20.61,0.215,0.102,1,2,4,1,69.6,-3.12,73.7,20,0
PLAN2015-DF08UP,2015,481,MUNICIPAL_WARD,1207895,1.01,787914,759098,31.06,0.579,0.398,1,2,0,0,80.7,-14.97,22.2,14,0
PLAN2022-2PZ6NT,2022,56,PANCHAYAT_WARD,2193544,-0.04,1507145,1438298,14.42,0.178,0.148,1,4,3,0,35.1,-14.67,99.0,19,0
PLAN2020-RKUPCJ,2020,339,MUNICIPAL_WARD,407430,-3.08,295361,272523,38.88,0.627,0.265,1,2,3,0,43.5,-8.85,23.0,21,0
PLAN2008-RSI7EA,2008,297,LOKSABHA,721137,-3.86,537446,511044,21.23,0.365,0.162,1,1,0,1,60.3,-5.7,34.1,18,0
PLAN2021-UXQ9NJ,2021,36,LOKSABHA,2165013,1.66,1684857,1650530,35.73,0.314,0.416,1,1,1,0,51.0,-7.44,36.6,16,0
PLAN2017-8XUEBH,2017,325,MUNICIPAL_WARD,841936,-2.49,559976,534951,5.01,0.117,0.662,1,0,2,0,26.0,-1.53,40.9,13,0
PLAN2014-EZAC2E,2014,459,MUNICIPAL_WARD,1622925,3.39,1193101,1145016,16.82,0.31,0.141,1,1,2,0,77.5,5.57,81.5,16,1
PLAN2020-VA5E74,2020,252,VIDHANSABHA,1377419,0.27,888455,869182,20.4,0.413,0.508,1,0,2,0,26.2,-13.81,38.0,20,0
PLAN2016-GRRDNW,2016,120,LOKSABHA,206167,-5.47,138011,133414,15.11,0.537,0.366,1,1,2,0,48.1,6.12,40.0,20,0
PLAN2024-FES5CS,2024,125,LOKSABHA,584926,-2.42,365449,354723,42.57,0.287,0.528,1,3,1,1,55.9,8.23,9.3,19,0
PLAN2019-UI14NI,2019,379,MUNICIPAL_WARD,455006,-2.85,325978,316896,28.86,0.28,0.489,1,2,3,1,61.4,-10.97,24.0,13,0
PLAN2009-O1BLOG,2009,329,MUNICIPAL_WARD,2008862,5.68,1297988,1258324,35.51,0.604,0.151,1,0,5,0,79.5,2.53,30.1,19,0
PLAN2009-OV50EW,2009,5,PANCHAYAT_WARD,1623971,2.32,1225604,1144643,13.36,0.544,0.204,1,1,3,1,85.1,5.76,31.7,21,0
PLAN2012-X1FVK1,2012,449,PANCHAYAT_WARD,1687570,0.83,1092207,1007870,21.85,0.258,0.394,1,2,4,1,86.6,12.91,68.5,22,0
PLAN2016-VPUZ11,2016,149,LOKSABHA,676511,-0.71,503327,488203,34.39,0.547,0.684,1,0,1,1,15.2,14.5,61.4,13,0
PLAN2010-NOQ37K,2010,525,MUNICIPAL_WARD,347989,-6.45,259651,242416,19.26,0.368,0.201,1,1,6,1,25.1,-1.03,95.4,19,0
PLAN2025-74QR14,2025,273,VIDHANSABHA,134630,2.68,98954,91540,24.28,0.386,0.449,1,1,3,0,82.1,-2.35,52.5,13,1
PLAN2012-QDRMSW,2012,172,MUNICIPAL_WARD,716397,-3.28,519715,497066,28.76,0.069,0.156,1,2,3,1,44.1,-9.56,24.8,17,0
PLAN2023-W75VI7,2023,15,MUNICIPAL_WARD,1261852,-1.18,852704,791568,7.46,0.068,0.796,1,0,4,1,87.0,-1.27,95.3,14,0
PLAN2015-6UML3S,2015,145,PANCHAYAT_WARD,2004057,2.25,1544942,1432480,10.69,0.456,0.542,1,2,5,0,83.1,6.98,7.4,17,0
PLAN2008-KVYGW2,2008,328,MUNICIPAL_WARD,1683117,5.59,1170318,1147117,39.18,0.085,0.647,1,0,3,1,15.0,-10.07,94.8,21,0
PLAN2022-GYZTHQ,2022,66,VIDHANSABHA,745732,-1.58,525802,509422,38.47,0.222,0.735,1,1,2,0,91.2,10.75,17.2,25,0
PLAN2010-E0KIVW,2010,364,MUNICIPAL_WARD,1971516,-2.28,1464971,1351437,14.84,0.601,0.31,1,1,4,1,29.3,-10.48,42.6,16,0
PLAN2022-GXRIRJ,2022,119,PANCHAYAT_WARD,1274862,3.49,882184,816044,33.95,0.346,0.321,1,1,2,0,59.6,-5.4,70.3,17,0
PLAN2019-TFVJ83,2019,84,PANCHAYAT_WARD,1447877,-2.51,1016891,972583,20.99,0.123,0.348,1,2,3,1,92.1,-0.98,99.6,28,0
PLAN2016-AG77Q9,2016,479,MUNICIPAL_WARD,304233,1.19,213434,208844,40.36,0.471,0.118,1,4,1,1,32.6,5.05,79.9,17,0
PLAN2016-SPJ9WR,2016,480,LOKSABHA,139987,-3.82,95761,90395,34.73,0.166,0.567,1,1,1,0,55.7,-13.64,51.1,21,0
PLAN2022-RNEGN2,2022,72,LOKSABHA,1576590,-6.21,1040124,1015985,29.13,0.219,0.689,1,1,5,0,53.8,6.81,52.0,18,0
PLAN2013-BCDTED,2013,205,PANCHAYAT_WARD,1233200,-3.36,903054,885806,19.45,0.054,0.199,1,0,2,0,82.7,0.67,93.6,21,0
PLAN2017-H6UAMW,2017,171,MUNICIPAL_WARD,145985,-2.28,109715,103028,8.97,0.381,0.19,1,1,2,1,61.0,1.77,93.1,26,0
PLAN2024-KIHV17,2024,245,MUNICIPAL_WARD,2157523,4.48,1339431,1232467,16.03,0.526,0.745,1,1,4,0,80.5,-13.85,69.1,13,0
PLAN2018-4FTLH3,2018,508,PANCHAYAT_WARD,1541468,-5.88,1002924,977287,7.56,0.128,0.237,1,0,5,0,32.7,1.28,15.8,10,0
PLAN2008-HW8D09,2008,369,MUNICIPAL_WARD,332176,0.38,218151,201098,13.83,0.46,0.701,1,1,4,0,20.3,0.07,71.8,14,0
PLAN2023-3EIOIV,2023,173,VIDHANSABHA,1744492,2.5,1165904,1099940,9.57,0.619,0.133,1,3,2,1,29.2,-12.88,8.4,16,0
PLAN2023-7KAYP4,2023,426,PANCHAYAT_WARD,1968094,-1.25,1236634,1166379,17.8,0.525,0.459,1,2,1,1,71.4,7.78,9.6,18,0
PLAN2008-QI4OPF,2008,11,PANCHAYAT_WARD,1956010,-1.59,1508506,1423605,40.59,0.531,0.426,1,2,5,1,14.0,-9.97,58.4,20,0
PLAN2009-41A1HY,2009,332,PANCHAYAT_WARD,1029256,2.08,730788,678340,12.6,0.302,0.705,1,0,4,0,25.2,-12.2,49.4,19,0
PLAN2020-2SLRW4,2020,190,VIDHANSABHA,1588480,1.17,1119079,1103543,30.29,0.514,0.165,1,4,4,1,38.0,-11.31,32.3,23,0
PLAN2024-NZVZN2,2024,149,VIDHANSABHA,2283037,4.84,1436452,1356156,15.04,0.289,0.436,1,2,1,0,35.9,4.44,1.8,6,1
PLAN2010-HMJZ6N,2010,178,PANCHAYAT_WARD,1775079,4.17,1176208,1091992,20.52,0.386,0.317,1,0,3,0,85.2,-1.66,92.5,18,1
PLAN2023-8YUXCZ,2023,72,LOKSABHA,158071,-6.22,109087,106891,42.74,0.59,0.781,1,0,3,1,77.2,-6.92,90.4,14,0
PLAN2018-NMNR06,2018,476,LOKSABHA,898743,-1.14,674617,627453,22.46,0.366,0.359,1,2,1,1,31.9,-11.98,20.5,19,0
PLAN2009-PMJ6JF,2009,114,VIDHANSABHA,2076902,-6.31,1538706,1441585,41.73,0.133,0.38,1,1,4,0,32.8,6.7,26.2,16,0
PLAN2009-4XV349,2009,394,MUNICIPAL_WARD,1183440,-1.11,867576,833076,35.35,0.241,0.537,1,0,4,0,36.2,14.06,44.6,23,0
PLAN2013-BIZFWT,2013,246,MUNICIPAL_WARD,2341080,-1.82,1717932,1582864,37.92,0.3,0.429,1,3,2,1,61.7,-1.73,28.4,17,0
PLAN2009-C7QK4K,2009,92,VIDHANSABHA,1417209,3.92,920842,889567,30.66,0.433,0.715,1,1,0,1,18.8,-0.63,50.9,17,0
PLAN2008-ILSIDB,2008,73,VIDHANSABHA,2047606,-4.84,1489698,1393784,6.44,0.22,0.308,1,1,1,0,16.8,-2.96,97.0,13,0
PLAN2010-KQPGA8,2010,446,LOKSABHA,1346052,-1.61,1011627,979020,20.2,0.632,0.122,1,1,2,0,22.7,-13.57,15.9,24,0
PLAN2010-CD3GEQ,2010,61,MUNICIPAL_WARD,2165908,5.71,1599274,1564737,24.59,0.286,0.556,1,1,2,1,19.9,12.45,74.2,12,0
PLAN2020-0F7IA4,2020,426,MUNICIPAL_WARD,368140,4.42,248577,239691,25.56,0.208,0.332,1,1,2,1,46.9,2.08,16.2,16,0
PLAN2008-SASCEB,2008,26,VIDHANSABHA,627807,3.0,470072,441142,39.03,0.548,0.699,1,0,3,0,90.8,9.0,28.8,18,0
PLAN2013-4IVN2Q,2013,472,PANCHAYAT_WARD,277448,-1.6,203630,195659,6.65,0.176,0.585,1,1,1,1,51.5,-4.46,13.6,17,0
PLAN2018-GDIX1C,2018,344,PANCHAYAT_WARD,213146,-1.45,151220,148027,5.12,0.37,0.379,1,1,3,0,45.5,-9.12,10.0,16,0
PLAN2008-EKTR1T,2008,76,PANCHAYAT_WARD,1230662,3.0,795557,734148,25.56,0.248,0.13,1,0,0,0,52.3,-1.48,36.0,23,0
PLAN2025-5QXS2U,2025,58,PANCHAYAT_WARD,934253,4.65,629765,618508,16.7,0.158,0.504,1,1,3,1,26.5,4.85,76.3,16,0
PLAN2020-1SOSR2,2020,47,VIDHANSABHA,754245,-3.09,543042,522923,26.3,0.511,0.67,1,0,1,1,21.7,11.36,20.3,16,0
PLAN2019-C94E6N,2019,50,MUNICIPAL_WARD,1593516,0.31,1039178,1023889,27.63,0.581,0.204,1,3,0,1,69.4,9.22,29.6,10,0
PLAN2014-NLHAPW,2014,40,VIDHANSABHA,1898260,-4.09,1338829,1278750,20.4,0.372,0.305,1,1,2,1,13.5,1.45,87.0,24,0
PLAN2016-QV1F2O,2016,125,VIDHANSABHA,2288868,0.37,1553399,1470249,6.95,0.294,0.213,1,1,8,1,26.5,3.55,51.4,12,1
PLAN2011-AIPRQQ,2011,183,VIDHANSABHA,2390598,-0.11,1797121,1695926,26.73,0.454,0.381,1,0,1,0,74.6,-11.65,89.9,18,0
PLAN2018-QOB867,2018,114,MUNICIPAL_WARD,445795,-5.27,324979,301960,33.77,0.617,0.631,1,1,4,0,57.2,2.01,86.0,17,0
PLAN2025-NM655C,2025,504,MUNICIPAL_WARD,1317196,-5.48,860285,834475,31.65,0.455,0.735,1,4,3,1,48.5,-0.93,1.1,15,0
PLAN2025-MSR75R,2025,498,MUNICIPAL_WARD,991452,-2.69,635514,591987,17.23,0.09,0.645,1,1,2,0,73.0,11.62,20.5,22,0
PLAN2018-LLSAD0,2018,79,MUNICIPAL_WARD,1724143,-4.42,1321096,1255231,42.32,0.57,0.562,1,0,3,1,10.5,-2.49,33.4,19,0
PLAN2009-CSWNQM,2009,325,PANCHAYAT_WARD,1150853,-6.18,891803,840445,24.87,0.301,0.726,1,0,2,1,94.8,-4.27,27.7,16,0
PLAN2024-MLN2V5,2024,441,PANCHAYAT_WARD,398933,5.61,294774,281320,21.17,0.606,0.314,1,2,3,1,94.9,6.54,47.1,15,0
PLAN2015-PSXT0S,2015,271,VIDHANSABHA,1538991,0.74,1196613,1122144,42.56,0.139,0.178,1,0,3,0,15.5,12.78,79.5,18,0
PLAN2015-7NXP0J,2015,279,VIDHANSABHA,2381455,-4.22,1849546,1733398,42.23,0.561,0.741,1,0,2,1,23.3,5.57,51.2,26,0
PLAN2018-1HWJHB,2018,485,LOKSABHA,682751,5.21,496785,489071,30.92,0.629,0.407,1,1,0,0,53.4,-2.08,54.0,16,0
PLAN2017-8HUP3F,2017,274,MUNICIPAL_WARD,1578231,-2.98,1032604,981871,18.61,0.305,0.666,1,0,5,1,22.6,6.39,98.6,29,0
PLAN2018-9H9FB0,2018,296,LOKSABHA,573500,1.47,365285,350695,33.3,0.192,0.578,1,0,2,1,80.0,-14.75,12.2,16,0
PLAN2025-H6FYEY,2025,203,MUNICIPAL_WARD,440906,2.55,311466,300098,6.05,0.133,0.486,1,2,2,1,22.3,0.46,83.8,12,0
PLAN2008-W948JU,2008,245,MUNICIPAL_WARD,1741627,6.29,1216275,1148818,40.76,0.567,0.126,1,2,2,0,35.5,14.75,5.4,16,0
PLAN2016-WLFYZS,2016,87,MUNICIPAL_WARD,1880720,2.51,1274366,1189740,15.75,0.218,0.693,0,2,2,1,20.3,9.74,64.8,19,1
PLAN2011-32I3PJ,2011,234,MUNICIPAL_WARD,423689,6.32,268757,261209,6.99,0.49,0.723,1,1,1,1,68.4,-1.41,85.4,13,0
PLAN2015-R0O8K5,2015,99,LOKSABHA,558896,-1.95,381587,374954,11.79,0.217,0.45,1,2,1,1,38.5,3.25,83.2,16,0
PLAN2013-3T4H8Q,2013,420,VIDHANSABHA,370411,-5.15,270159,264035,36.82,0.313,0.733,1,1,4,0,32.0,-12.96,20.4,13,0
PLAN2021-7ZSOOU,2021,339,MUNICIPAL_WARD,1625185,3.89,1221004,1195852,31.94,0.496,0.512,1,0,1,1,90.6,9.43,99.2,8,0
PLAN2014-CFR7CL,2014,376,LOKSABHA,2228805,-3.62,1647904,1538121,39.78,0.553,0.651,1,0,1,0,15.4,-11.23,26.1,21,1
PLAN2020-P3FRB7,2020,46,LOKSABHA,1078337,-6.25,684713,634670,30.91,0.248,0.406,1,0,1,0,22.3,-2.7,67.0,16,0
PLAN2023-LR97OH,2023,220,PANCHAYAT_WARD,1926768,-5.33,1409566,1358811,11.83,0.125,0.3,1,0,3,1,66.4,-10.86,81.7,10,0
PLAN2010-4KVFFL,2010,283,PANCHAYAT_WARD,1728608,4.89,1172460,1154273,7.57,0.609,0.74,1,2,5,0,40.2,-13.84,27.0,19,1
PLAN2008-4DC0FP,2008,377,LOKSABHA,987545,3.09,650198,631796,39.34,0.372,0.594,0,0,2,1,33.5,10.37,56.1,16,0
PLAN2019-72ZFBQ,2019,194,LOKSABHA,1946564,1.48,1321117,1254509,30.18,0.154,0.679,1,0,0,0,74.6,-11.77,37.2,10,0
PLAN2020-E9NY3M,2020,376,LOKSABHA,1658994,3.34,1142290,1081590,13.57,0.244,0.352,1,0,2,1,71.0,1.92,45.0,20,0
PLAN2018-B6LBU9,2018,269,LOKSABHA,1687890,-2.16,1232606,1206866,10.98,0.563,0.728,1,0,2,1,58.4,-0.18,21.4,19,0
PLAN2009-3GGO9D,2009,34,MUNICIPAL_WARD,338185,3.43,249780,239970,12.56,0.112,0.353,1,1,4,1,46.3,-1.22,78.3,14,0
PLAN2018-WS3KCV,2018,337,MUNICIPAL_WARD,1923877,-3.8,1222672,1195688,11.8,0.268,0.101,1,2,1,1,40.1,-9.39,80.1,15,0
PLAN2013-F1SRIK,2013,400,PANCHAYAT_WARD,1907702,-3.4,1257363,1168563,9.63,0.351,0.758,1,1,6,0,93.9,4.67,14.9,21,0
PLAN2018-4XZ3MS,2018,248,MUNICIPAL_WARD,1672782,-1.71,1212337,1126259,23.53,0.394,0.735,1,0,3,0,36.7,4.88,6.6,19,0
PLAN2008-X3P724,2008,510,MUNICIPAL_WARD,2053540,2.74,1299873,1220291,29.93,0.616,0.535,1,5,2,1,46.6,-14.33,80.3,17,0
PLAN2008-HQZBC5,2008,173,VIDHANSABHA,709206,2.48,485087,471729,20.79,0.222,0.773,1,1,1,1,94.7,2.68,72.4,21,0
PLAN2009-DQFC1Y,2009,148,VIDHANSABHA,1754006,4.94,1204170,1132703,29.32,0.485,0.22,1,0,3,0,94.5,9.89,44.4,10,0
PLAN2017-ZPEX7T,2017,511,MUNICIPAL_WARD,1988984,2.74,1308966,1264583,23.35,0.146,0.463,1,0,7,0,57.2,12.83,5.4,18,0
PLAN2021-7HRBFG,2021,117,LOKSABHA,2176529,-0.6,1601319,1515724,14.78,0.208,0.557,1,0,2,1,42.2,12.05,70.9,22,0
PLAN2013-B42O3Q,2013,177,PANCHAYAT_WARD,483482,4.44,304366,288759,7.66,0.447,0.328,1,0,3,0,60.4,13.72,55.3,21,0
PLAN2009-25Q30Z,2009,403,MUNICIPAL_WARD,1412001,-2.35,914215,877310,36.39,0.62,0.586,1,2,1,1,76.7,-14.78,22.5,17,0
PLAN2020-815G5F,2020,233,MUNICIPAL_WARD,918306,-3.83,579256,564987,29.9,0.532,0.497,1,3,3,0,23.7,-4.3,56.3,13,0
PLAN2008-OR9F5I,2008,70,PANCHAYAT_WARD,161934,0.65,123804,121355,27.25,0.144,0.771,1,1,3,1,16.5,-13.33,32.5,13,0
PLAN2024-86ZP1W,2024,201,MUNICIPAL_WARD,706749,0.09,513283,488442,21.16,0.635,0.669,1,1,3,1,77.2,-5.97,28.9,15,0
PLAN2016-2NAR3S,2016,431,VIDHANSABHA,1885951,0.29,1232204,1208527,7.08,0.28,0.697,1,3,0,1,34.4,5.0,49.4,18,0
PLAN2012-FY40JO,2012,129,VIDHANSABHA,1119772,-0.79,698496,668591,13.56,0.29,0.72,1,1,3,1,70.5,-2.74,88.9,8,0
PLAN2009-P82QZT,2009,495,PANCHAYAT_WARD,648280,2.64,484556,472358,4.18,0.608,0.6,1,2,4,0,34.5,3.1,46.4,16,0
PLAN2013-BLOW2R,2013,19,PANCHAYAT_WARD,585308,6.05,446476,416383,18.09,0.501,0.784,1,0,2,0,63.9,0.45,12.1,13,0
PLAN2017-76VILV,2017,496,PANCHAYAT_WARD,387436,5.95,265994,251610,27.65,0.367,0.416,1,0,3,0,68.5,-1.28,73.0,17,0
PLAN2015-J643YU,2015,221,PANCHAYAT_WARD,847664,2.84,564322,549414,31.35,0.177,0.135,1,0,4,0,94.2,8.04,26.2,18,0
PLAN2013-JTB8QO,2013,23,PANCHAYAT_WARD,602505,3.66,458962,435331,20.29,0.603,0.338,1,1,5,1,33.0,-5.25,68.9,12,1
PLAN2022-BC2T67,2022,472,LOKSABHA,2255895,-3.4,1433850,1350166,42.46,0.266,0.229,1,1,3,1,85.3,3.14,1.6,27,0
PLAN2021-S82XLV,2021,250,LOKSABHA,1937879,2.51,1341234,1264057,38.52,0.362,0.648,1,1,3,0,83.3,-8.08,10.9,16,0
PLAN2017-RUTT24,2017,64,PANCHAYAT_WARD,938278,6.37,701734,649058,30.5,0.327,0.678,1,0,3,1,42.5,-13.81,81.9,17,0
PLAN2018-ULTHYC,2018,141,VIDHANSABHA,1775113,2.14,1202757,1177946,22.25,0.372,0.722,1,1,3,1,21.5,2.76,72.7,14,0
PLAN2011-8AE0JX,2011,450,MUNICIPAL_WARD,442797,-6.09,279289,259515,25.9,0.177,0.695,0,1,1,0,33.6,-11.98,91.2,12,0
PLAN2023-O6HFD7,2023,4,MUNICIPAL_WARD,408412,0.28,298720,292446,9.91,0.564,0.169,1,2,2,1,55.1,5.56,48.7,20,0
PLAN2013-9YXCFE,2013,474,LOKSABHA,829031,0.98,578096,562405,20.67,0.516,0.632,1,0,2,1,31.6,-8.39,17.2,21,0
PLAN2013-8C11JG,2013,232,PANCHAYAT_WARD,2389281,6.23,1644656,1627970,13.6,0.122,0.799,1,1,1,1,72.6,3.64,62.8,16,0
PLAN2019-MS4TSR,2019,240,MUNICIPAL_WARD,2240726,-0.87,1582440,1535448,10.26,0.167,0.134,1,2,4,1,83.6,-11.55,75.5,23,0
PLAN2008-2MDG3T,2008,36,MUNICIPAL_WARD,1653000,4.55,1144396,1087138,42.22,0.611,0.125,1,0,2,0,71.8,4.24,90.3,18,0
PLAN2013-06W819,2013,72,VIDHANSABHA,783580,2.83,598332,578962,23.89,0.198,0.412,1,1,3,0,92.8,-10.22,78.9,24,0
PLAN2009-FF3TR7,2009,253,MUNICIPAL_WARD,1211167,-5.27,808190,752475,33.93,0.454,0.195,1,1,0,0,28.3,5.55,86.1,14,0
PLAN2011-B42P31,2011,381,PANCHAYAT_WARD,2369062,0.21,1790905,1719913,44.82,0.066,0.453,1,1,7,1,67.0,10.72,64.9,17,1
PLAN2022-HGW10C,2022,205,VIDHANSABHA,1600573,-1.83,1044462,976187,6.18,0.437,0.36,1,1,2,0,62.3,14.8,8.2,22,0
PLAN2014-472UQL,2014,330,MUNICIPAL_WARD,1653236,4.11,1205453,1181675,12.35,0.422,0.696,1,2,1,1,60.7,7.21,8.6,17,0
PLAN2021-HBQAM9,2021,82,MUNICIPAL_WARD,1040989,-3.18,784745,748600,43.84,0.14,0.177,0,1,4,0,47.7,-12.03,90.6,23,0
PLAN2015-XO485D,2015,274,LOKSABHA,1595847,-4.55,1225565,1201756,41.21,0.125,0.746,1,2,1,1,36.9,-11.41,71.0,18,0
PLAN2023-VUEER9,2023,111,MUNICIPAL_WARD,1533021,-5.34,1185485,1163397,39.7,0.524,0.544,1,2,3,1,88.6,8.63,36.9,10,0
PLAN2025-E32WIT,2025,410,PANCHAYAT_WARD,1775975,-0.77,1128021,1102218,37.73,0.357,0.501,1,0,1,0,68.0,6.84,44.4,15,0
PLAN2025-K4BK8E,2025,41,MUNICIPAL_WARD,1303547,2.77,865880,804270,29.97,0.337,0.116,1,1,4,0,36.5,-12.46,11.4,23,0
PLAN2012-39K499,2012,84,MUNICIPAL_WARD,579165,-2.6,406329,377454,31.44,0.247,0.761,1,1,1,1,54.2,-14.72,74.4,7,0
PLAN2016-CLKA9L,2016,101,LOKSABHA,2399281,-6.25,1594307,1551529,22.94,0.563,0.201,1,1,0,0,64.1,-8.34,14.6,19,0
PLAN2020-57V4ND,2020,157,MUNICIPAL_WARD,671010,-2.15,449159,437676,44.44,0.65,0.37,1,0,2,1,41.1,-5.94,92.8,24,0
PLAN2019-1LEUUC,2019,378,LOKSABHA,192365,-5.37,126885,122559,34.88,0.215,0.384,1,0,4,1,48.9,11.16,54.5,22,0
PLAN2010-J4TT43,2010,346,MUNICIPAL_WARD,1642643,-2.34,1151099,1107596,34.23,0.548,0.461,1,0,3,1,63.3,-0.55,27.2,20,0
PLAN2025-6XDO7L,2025,214,PANCHAYAT_WARD,2195765,-2.09,1680626,1634866,40.42,0.556,0.421,1,0,2,0,69.2,-0.53,0.9,23,0
PLAN2010-DL0ED8,2010,36,LOKSABHA,1982549,-0.11,1453134,1417969,3.04,0.459,0.769,1,3,2,1,10.7,10.29,90.3,13,0
PLAN2020-DRQNTJ,2020,302,VIDHANSABHA,1052136,-1.42,802961,788815,25.29,0.398,0.102,1,3,1,1,72.1,12.65,50.2,12,0
PLAN2019-CGXU5W,2019,150,LOKSABHA,1787731,4.56,1214406,1140160,34.32,0.29,0.594,1,1,3,1,14.4,-12.87,7.6,32,0
PLAN2021-Q0E03Y,2021,522,VIDHANSABHA,2104208,-4.09,1407188,1388151,34.83,0.589,0.24,1,2,0,1,66.9,-8.59,44.1,20,0
PLAN2011-9ASJ21,2011,7,VIDHANSABHA,1403639,1.64,947589,879084,37.71,0.35,0.298,1,1,2,1,31.9,4.41,19.2,19,0
PLAN2016-RIPWN3,2016,444,MUNICIPAL_WARD,235379,-2.6,146016,136638,20.57,0.327,0.286,1,1,4,1,83.3,13.95,37.7,13,0
PLAN2008-MOV6KI,2008,440,LOKSABHA,354709,-4.4,248051,239888,16.47,0.335,0.344,1,3,2,1,32.1,10.45,29.8,12,0
PLAN2020-ZJVAEV,2020,532,MUNICIPAL_WARD,1073082,-4.04,681045,643484,31.01,0.123,0.433,1,2,4,0,58.8,12.9,7.1,20,0
PLAN2021-YU3U8I,2021,156,LOKSABHA,2298213,-4.3,1457543,1424489,10.77,0.47,0.609,1,2,2,0,54.2,9.19,30.6,15,0
PLAN2022-IIBCO8,2022,492,MUNICIPAL_WARD,2244768,0.82,1433979,1381821,31.49,0.292,0.519,1,2,3,1,76.0,1.6,5.5,18,0
PLAN2013-8UXZ3A,2013,383,LOKSABHA,2125104,1.04,1470761,1443541,24.04,0.217,0.606,1,2,2,1,65.3,11.77,17.8,22,0
PLAN2024-MQFXEN,2024,363,PANCHAYAT_WARD,2168277,0.44,1598640,1519533,19.49,0.055,0.765,1,3,4,1,93.9,-4.27,36.5,23,1
PLAN2018-NSJX4F,2018,512,PANCHAYAT_WARD,2260731,0.25,1669486,1613339,31.2,0.36,0.536,1,2,2,1,25.4,1.22,72.1,20,0
PLAN2020-M54XR8,2020,71,PANCHAYAT_WARD,1319290,3.39,879078,817588,10.18,0.456,0.42,1,0,4,0,59.5,0.73,41.1,18,0
PLAN2019-BAQC6C,2019,356,PANCHAYAT_WARD,1121282,2.71,698764,678346,9.28,0.641,0.458,0,3,3,0,92.9,5.3,98.2,14,0
PLAN2018-SHDKKG,2018,223,LOKSABHA,1534271,-5.35,1180621,1153594,39.83,0.313,0.601,1,2,3,0,16.5,-1.41,44.2,16,0
PLAN2018-R1CQKI,2018,344,VIDHANSABHA,517884,-0.46,363886,360232,32.28,0.126,0.489,1,1,6,0,70.2,-2.79,88.9,18,0
PLAN2013-YJROFH,2013,498,VIDHANSABHA,1575291,-6.12,988440,944608,32.73,0.64,0.209,1,1,2,0,25.5,-0.64,13.2,16,0
PLAN2011-AIRH8S,2011,281,VIDHANSABHA,2355912,3.62,1792093,1690904,10.25,0.461,0.581,1,3,3,1,85.6,-13.87,39.9,17,0
PLAN2009-DZSYJX,2009,243,MUNICIPAL_WARD,1537732,1.42,1141180,1112233,30.46,0.442,0.432,1,0,1,1,72.1,-1.71,50.8,23,0
PLAN2012-0AU5IK,2012,56,VIDHANSABHA,2290760,-4.89,1721683,1675592,10.97,0.377,0.296,1,0,3,1,46.5,4.39,33.3,15,0
PLAN2016-1YUW2T,2016,216,VIDHANSABHA,1581614,5.4,1127224,1049221,21.99,0.304,0.309,1,0,4,0,89.8,-3.54,92.4,24,0
PLAN2011-W9A8LY,2011,73,PANCHAYAT_WARD,1771848,-3.87,1297317,1221689,24.68,0.244,0.551,1,1,2,0,14.0,-11.88,56.5,14,0
PLAN2013-UAGDL1,2013,516,MUNICIPAL_WARD,849416,-0.56,586730,575046,4.99,0.213,0.715,1,0,5,1,37.8,4.26,44.9,16,0
PLAN2018-ZJHO4V,2018,187,MUNICIPAL_WARD,2321489,-5.56,1692924,1655939,37.95,0.443,0.276,1,2,3,0,75.4,-0.65,51.4,24,0
PLAN2025-DQHIBM,2025,191,PANCHAYAT_WARD,688565,0.81,478861,462943,23.32,0.54,0.387,1,0,2,1,69.2,-8.56,4.4,17,0
PLAN2023-1TRPUY,2023,167,LOKSABHA,1073355,-0.25,705863,657487,17.71,0.073,0.217,1,1,4,0,34.8,5.12,25.8,17,0
PLAN2013-UEOBQT,2013,230,LOKSABHA,1498823,5.34,1093335,1053226,13.4,0.607,0.112,1,0,4,1,24.8,-1.08,1.5,19,0
PLAN2020-D9TZHH,2020,71,MUNICIPAL_WARD,1830471,0.83,1376923,1360295,44.31,0.114,0.487,1,2,1,0,68.9,-0.86,66.0,25,0
PLAN2018-DJ7O9X,2018,489,PANCHAYAT_WARD,1605897,2.57,1181785,1106340,8.27,0.623,0.342,1,2,3,0,70.2,1.23,96.6,12,0
