safe_emergency_reference_month,safe_emergency_country_iso2,safe_emergency_region_nuts_code,safe_emergency_call_type_code,safe_emergency_calls_received_count,safe_emergency_calls_answered_within_10s_pct,safe_emergency_dispatch_time_seconds_median,safe_emergency_response_time_minutes_median,safe_emergency_incident_location_type_code,safe_emergency_ambulance_dispatch_count,safe_emergency_fire_dispatch_count,safe_emergency_police_dispatch_count,safe_emergency_cross_border_assistance_flag,safe_emergency_major_incident_flag,safe_emergency_critical_care_transfers_count,safe_emergency_air_ambulance_missions_count,safe_emergency_emergency_alert_system_used_flag,safe_emergency_data_source,safe_emergency_data_quality_flag,safe_emergency_data_extract_date
2022-04,HR,CZ1,FIRE,319963,65.56,107.18,37.71,MOUNTAIN,44203,117568,34518,0,0,1025,210,0,POLICE_DISPATCH_SYSTEM,1,2025-02-21
2022-05,DE,ES946,PUBLIC_ORDER,636878,58.69,152.42,28.82,COASTAL,50837,75298,123902,0,0,1140,417,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-03-19
2022-06,LU,PT16,POLICE,421855,84.48,246.8,11.05,MOTORWAY,77415,19620,166785,0,0,2144,79,0,NATIONAL_EMS_ADMIN,1,2025-03-23
2022-07,SI,MT993,OTHER,411919,81.13,88.5,24.11,RURAL,21297,42121,22656,0,0,1597,484,0,FIRE_SERVICE_REPORT,1,2025-08-07
2022-08,CY,IE749,TRAFFIC_ACCIDENT,514609,74.68,41.74,43.44,SUBURBAN,147151,167709,122226,0,0,2639,75,0,POLICE_DISPATCH_SYSTEM,1,2025-08-02
2022-09,GR,HU719,MEDICAL,503639,95.35,337.31,21.92,URBAN,150418,35726,81859,0,0,502,226,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-08-21
2022-10,MT,EE69,RESCUE,666870,66.95,230.9,29.04,INDUSTRIAL_ZONE,193643,132414,37532,0,0,2022,66,0,NATIONAL_EMS_ADMIN,1,2024-05-30
2022-11,ES,LV4,FIRE,595329,59.31,505.33,18.52,MOUNTAIN,69954,128573,46220,0,0,1675,186,0,FIRE_SERVICE_REPORT,1,2024-01-15
2022-12,CZ,PL704,PUBLIC_ORDER,436785,69.68,317.5,19.54,COASTAL,85974,31934,86198,0,0,445,68,0,POLICE_DISPATCH_SYSTEM,1,2024-06-27
2023-01,HU,ES28,POLICE,204709,64.1,315.82,15.1,MOTORWAY,24474,11677,98846,0,0,1662,79,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-06-19
2023-02,NL,EE236,OTHER,1091113,72.02,308.06,10.73,RURAL,235701,58317,88298,0,0,3273,190,0,NATIONAL_EMS_ADMIN,1,2025-05-13
2023-03,SE,HR323,TRAFFIC_ACCIDENT,229499,95.18,286.07,16.43,SUBURBAN,117536,77785,70309,1,0,2446,246,0,FIRE_SERVICE_REPORT,1,2025-02-06
2023-04,DK,DK732,MEDICAL,484428,68.93,518.74,11.64,URBAN,195410,55580,43176,1,0,2681,182,0,POLICE_DISPATCH_SYSTEM,1,2024-08-20
2023-05,IE,FR939,RESCUE,981568,78.39,291.46,39.27,INDUSTRIAL_ZONE,292094,190497,103676,1,0,2552,209,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-11-07
2023-06,PL,SK61,FIRE,330996,85.49,98.93,18.33,MOUNTAIN,54084,41446,34208,0,1,377,316,1,NATIONAL_EMS_ADMIN,1,2025-04-05
2023-07,AT,DK3,PUBLIC_ORDER,221097,55.94,119.45,14.01,COASTAL,34039,24935,28773,0,0,2078,210,0,FIRE_SERVICE_REPORT,1,2024-10-15
2023-08,EE,IT2,POLICE,778974,77.46,303.1,25.72,MOTORWAY,165955,85574,132798,1,0,3019,119,0,POLICE_DISPATCH_SYSTEM,1,2026-01-14
2023-09,IT,LV3,OTHER,367814,75.08,269.95,17.46,RURAL,36309,24784,63036,0,0,2723,188,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-03-10
2023-10,PT,CY58,TRAFFIC_ACCIDENT,204081,64.27,467.76,14.68,SUBURBAN,78203,38929,99312,0,0,2085,167,0,NATIONAL_EMS_ADMIN,1,2025-11-03
2023-11,BE,SE27,MEDICAL,561714,97.63,304.31,26.34,URBAN,288429,34275,74271,0,0,4593,31,0,FIRE_SERVICE_REPORT,1,2024-01-09
2023-12,FI,MT528,RESCUE,874946,89.46,155.52,36.5,INDUSTRIAL_ZONE,408793,328136,74635,0,0,707,216,0,POLICE_DISPATCH_SYSTEM,1,2024-05-16
2024-01,LV,BG873,FIRE,198856,74.23,207.65,15.01,MOUNTAIN,35274,60609,26776,0,0,58,214,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-08-10
2024-02,RO,CY63,PUBLIC_ORDER,52153,61.59,354.3,8.07,COASTAL,10148,5559,6732,0,0,2193,110,0,NATIONAL_EMS_ADMIN,1,2024-10-29
2024-03,BG,MT3,POLICE,852877,79.48,180.15,31.6,MOTORWAY,59517,26913,277105,0,0,1628,219,0,FIRE_SERVICE_REPORT,1,2025-04-09
2024-04,FR,SI467,OTHER,913671,73.88,173.47,19.09,RURAL,150091,90685,41452,0,0,1532,391,0,POLICE_DISPATCH_SYSTEM,1,2026-01-13
2024-05,LT,EE78,TRAFFIC_ACCIDENT,427079,86.19,183.09,44.81,SUBURBAN,78892,89231,198670,0,0,2633,154,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-07-10
2024-06,SK,HR6,MEDICAL,988475,61.37,169.25,31.23,URBAN,472849,58319,76747,0,0,5269,68,0,NATIONAL_EMS_ADMIN,1,2024-07-05
2024-07,HR,SI490,RESCUE,143039,78.31,283.52,46.37,INDUSTRIAL_ZONE,66597,54755,6368,0,0,590,197,1,FIRE_SERVICE_REPORT,1,2024-04-28
2024-08,DE,GR908,FIRE,231080,88.22,59.24,30.8,MOUNTAIN,25190,19577,28965,0,0,2962,366,0,POLICE_DISPATCH_SYSTEM,1,2024-10-26
2024-09,LU,IE347,PUBLIC_ORDER,794875,67.55,45.47,11.28,COASTAL,114083,25208,254942,0,0,1767,407,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-11-15
2024-10,SI,ES64,POLICE,28692,71.54,354.62,7.68,MOTORWAY,6192,2427,3244,1,0,1102,25,0,NATIONAL_EMS_ADMIN,1,2024-03-02
2024-11,CY,NL26,OTHER,421142,74.71,223.79,26.05,RURAL,73989,40305,59015,0,0,1066,371,1,FIRE_SERVICE_REPORT,1,2025-01-24
2024-12,GR,FR91,TRAFFIC_ACCIDENT,199044,67.62,422.47,13.79,SUBURBAN,75036,48643,39952,0,0,2443,85,0,POLICE_DISPATCH_SYSTEM,1,2024-12-20
2025-01,MT,RO328,MEDICAL,366402,67.0,455.04,25.18,URBAN,198912,37063,35455,0,0,714,162,1,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-02-15
2025-02,ES,CZ572,RESCUE,1091297,69.41,364.61,41.26,INDUSTRIAL_ZONE,576490,131780,110753,0,0,948,177,0,NATIONAL_EMS_ADMIN,1,2025-12-19
2025-03,CZ,IE104,FIRE,782290,69.6,319.78,21.8,MOUNTAIN,50950,124187,36470,0,0,2874,4,0,FIRE_SERVICE_REPORT,1,2025-10-27
2025-04,HU,MT5,PUBLIC_ORDER,287173,67.26,55.51,30.64,COASTAL,45533,18692,122668,0,0,2454,316,0,POLICE_DISPATCH_SYSTEM,1,2024-12-10
2025-05,NL,PT4,POLICE,1243715,81.67,93.22,12.78,MOTORWAY,173340,97777,581463,0,0,3025,188,0,112_PUBLIC_SAFETY_ANSWERING_POINT,0,2024-02-22
2025-06,SE,SE26,OTHER,220392,88.72,207.36,6.42,RURAL,39322,15329,10254,0,0,1239,171,1,NATIONAL_EMS_ADMIN,1,2025-09-22
2025-07,DK,SE639,TRAFFIC_ACCIDENT,743683,73.97,81.73,29.88,SUBURBAN,193076,210036,395712,0,0,1596,200,0,FIRE_SERVICE_REPORT,1,2025-07-11
2025-08,IE,NL9,MEDICAL,245671,67.08,171.2,34.32,URBAN,54461,20395,41903,0,0,5512,93,0,POLICE_DISPATCH_SYSTEM,1,2024-03-03
2025-09,PL,HR269,RESCUE,279096,77.22,200.12,15.39,INDUSTRIAL_ZONE,123490,33180,34540,0,0,348,45,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-09-29
2025-10,AT,ES450,FIRE,1242638,67.97,97.54,44.43,MOUNTAIN,120440,253932,56230,0,0,876,487,1,NATIONAL_EMS_ADMIN,1,2024-07-19
2025-11,EE,RO573,PUBLIC_ORDER,16480,66.78,482.03,16.13,COASTAL,1357,1408,5342,1,0,592,75,0,FIRE_SERVICE_REPORT,1,2025-07-24
2025-12,IT,SI3,POLICE,314622,96.01,128.21,23.19,MOTORWAY,18183,35164,103139,0,0,2341,26,0,POLICE_DISPATCH_SYSTEM,1,2024-08-24
2026-01,PT,DE9,OTHER,473179,55.03,209.63,7.25,RURAL,37022,17001,21502,0,0,2278,438,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-02-02
2026-02,BE,CZ13,TRAFFIC_ACCIDENT,676544,77.5,54.67,26.13,SUBURBAN,163447,240506,114064,0,0,1899,213,0,NATIONAL_EMS_ADMIN,1,2024-06-15
2026-03,FI,RO134,MEDICAL,878671,59.7,97.11,27.83,URBAN,196791,60783,57336,0,1,3204,128,0,FIRE_SERVICE_REPORT,1,2024-03-24
2026-04,LV,DE6,RESCUE,900406,87.25,231.88,9.67,INDUSTRIAL_ZONE,292912,298950,67118,0,0,99,82,0,POLICE_DISPATCH_SYSTEM,1,2024-09-25
2026-05,RO,BE549,FIRE,955942,89.55,59.42,44.14,MOUNTAIN,137127,152766,91798,0,0,202,208,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-09-17
2026-06,BG,HR46,PUBLIC_ORDER,455642,60.15,354.62,10.04,COASTAL,23516,15998,146470,0,0,2951,163,0,NATIONAL_EMS_ADMIN,1,2024-05-28
2026-07,FR,GR87,POLICE,1086359,87.59,350.99,33.42,MOTORWAY,126659,41205,547778,0,0,2209,84,0,FIRE_SERVICE_REPORT,1,2024-06-08
2026-08,LT,IT347,OTHER,984703,90.15,154.53,19.93,RURAL,102382,36576,177011,0,0,135,472,0,POLICE_DISPATCH_SYSTEM,1,2024-12-20
2026-09,SK,SI851,TRAFFIC_ACCIDENT,72239,72.51,340.72,46.36,SUBURBAN,27853,9356,18135,0,0,2185,233,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-07-08
2026-10,HR,ES592,MEDICAL,465573,60.85,147.52,13.62,URBAN,216711,18909,20236,0,0,1747,80,1,NATIONAL_EMS_ADMIN,1,2024-12-17
2026-11,DE,PL69,RESCUE,358420,62.45,323.86,15.58,INDUSTRIAL_ZONE,125438,35652,17172,0,0,3260,131,0,FIRE_SERVICE_REPORT,1,2024-07-28
2026-12,LU,NL950,FIRE,277088,74.13,277.87,42.95,MOUNTAIN,38332,78634,29875,0,0,1466,341,0,POLICE_DISPATCH_SYSTEM,1,2024-03-27
2016-01,SI,EE101,PUBLIC_ORDER,300827,87.24,175.96,24.96,COASTAL,59290,17563,141148,0,0,2841,282,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-11-18
2016-02,CY,LU20,POLICE,222497,71.49,55.68,33.55,MOTORWAY,26390,26209,112413,0,0,892,97,0,NATIONAL_EMS_ADMIN,1,2025-12-10
2016-03,GR,BE850,OTHER,928825,59.38,62.6,26.87,RURAL,178557,38051,90497,0,0,1372,288,0,FIRE_SERVICE_REPORT,1,2024-02-01
2016-04,MT,SE76,TRAFFIC_ACCIDENT,642120,95.34,80.81,37.47,SUBURBAN,208609,166649,268774,0,0,1155,249,0,POLICE_DISPATCH_SYSTEM,1,2025-02-25
2016-05,ES,LT431,MEDICAL,356555,94.74,213.94,12.89,URBAN,80169,42407,45516,0,0,1005,100,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2026-02-14
2016-06,CZ,EE64,RESCUE,691363,73.2,331.03,36.02,INDUSTRIAL_ZONE,132094,130132,50774,0,0,1304,48,0,NATIONAL_EMS_ADMIN,1,2024-05-14
2016-07,HU,SI44,FIRE,218300,85.49,163.68,38.7,MOUNTAIN,23352,61398,33103,0,0,220,297,0,FIRE_SERVICE_REPORT,1,2026-02-06
2016-08,NL,DK198,PUBLIC_ORDER,461909,71.35,140.15,7.58,COASTAL,61674,37419,114542,0,0,180,256,1,POLICE_DISPATCH_SYSTEM,1,2024-06-02
2016-09,SE,LU529,POLICE,850474,89.87,226.84,18.39,MOTORWAY,180092,69132,206705,1,0,1617,141,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-09-15
2016-10,DK,MT196,OTHER,376709,81.99,327.22,25.99,RURAL,37980,19061,38413,0,1,2088,239,1,NATIONAL_EMS_ADMIN,0,2024-05-08
2016-11,IE,GR30,TRAFFIC_ACCIDENT,674037,72.48,163.86,43.79,SUBURBAN,188216,259894,239777,1,0,3135,54,0,FIRE_SERVICE_REPORT,1,2025-10-18
2016-12,PL,CZ17,MEDICAL,566673,67.49,432.15,30.59,URBAN,128402,34788,26904,0,0,6578,34,0,POLICE_DISPATCH_SYSTEM,1,2025-02-23
2017-01,AT,EE55,RESCUE,874706,61.44,133.9,39.56,INDUSTRIAL_ZONE,168067,147295,77099,0,0,2315,108,0,112_PUBLIC_SAFETY_ANSWERING_POINT,0,2026-02-09
2017-02,EE,AT236,FIRE,223152,91.43,200.76,30.92,MOUNTAIN,17196,65513,19687,0,0,2861,69,0,NATIONAL_EMS_ADMIN,1,2025-11-09
2017-03,IT,CY16,PUBLIC_ORDER,358140,90.22,303.14,14.46,COASTAL,18067,25394,98410,0,0,1375,173,0,FIRE_SERVICE_REPORT,1,2024-07-02
2017-04,PT,LU4,POLICE,98142,88.27,70.05,23.61,MOTORWAY,15301,7202,19781,0,1,2019,17,1,POLICE_DISPATCH_SYSTEM,0,2024-02-05
2017-05,BE,EE91,OTHER,491344,92.48,277.38,23.77,RURAL,76178,34570,26820,0,0,1684,344,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-11-17
2017-06,FI,DK1,TRAFFIC_ACCIDENT,11024,61.67,129.16,7.81,SUBURBAN,5666,2187,4251,0,0,3093,57,0,NATIONAL_EMS_ADMIN,1,2025-04-10
2017-07,LV,SI45,MEDICAL,610698,84.69,174.82,12.55,URBAN,150930,56417,105094,1,0,7100,36,0,FIRE_SERVICE_REPORT,1,2024-04-03
2017-08,RO,AT239,RESCUE,665291,65.1,297.9,33.0,INDUSTRIAL_ZONE,225911,247783,95757,0,0,2731,143,0,POLICE_DISPATCH_SYSTEM,1,2025-05-25
2017-09,BG,DK28,FIRE,384433,57.77,508.95,28.33,MOUNTAIN,22227,143438,51182,0,0,2450,234,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-12-27
2017-10,FR,BE857,PUBLIC_ORDER,320761,75.57,252.91,6.32,COASTAL,27829,28622,91512,0,0,1347,468,1,NATIONAL_EMS_ADMIN,0,2025-09-10
2017-11,LT,EE45,POLICE,9657,83.53,98.2,12.69,MOTORWAY,1058,944,5304,0,0,1044,192,0,FIRE_SERVICE_REPORT,1,2024-11-05
2017-12,SK,FR854,OTHER,431683,97.04,157.71,34.54,RURAL,35586,26720,27025,0,0,1480,366,0,POLICE_DISPATCH_SYSTEM,1,2024-05-28
2018-01,HR,BG530,TRAFFIC_ACCIDENT,499689,92.27,35.08,43.76,SUBURBAN,149627,135298,166106,0,0,1192,165,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-11-12
2018-02,DE,LV7,MEDICAL,390490,61.9,490.93,23.82,URBAN,115972,13669,16520,0,0,4190,224,0,NATIONAL_EMS_ADMIN,1,2024-07-26
2018-03,LU,PT213,RESCUE,189678,62.28,190.1,42.34,INDUSTRIAL_ZONE,55160,68151,14271,0,0,3290,132,0,FIRE_SERVICE_REPORT,1,2025-07-05
2018-04,SI,NL50,FIRE,328006,66.04,256.94,12.89,MOUNTAIN,57876,38791,52571,1,0,2656,432,0,POLICE_DISPATCH_SYSTEM,1,2024-03-04
2018-05,CY,LV333,PUBLIC_ORDER,63008,77.29,208.77,27.29,COASTAL,6243,5356,13585,0,0,633,491,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-10-01
2018-06,GR,IT599,POLICE,1160047,69.22,166.13,26.99,MOTORWAY,147738,45388,296635,0,0,3066,204,0,NATIONAL_EMS_ADMIN,1,2024-02-16
2018-07,MT,LU31,OTHER,6160,60.64,453.02,19.9,RURAL,602,485,916,0,0,1771,392,0,FIRE_SERVICE_REPORT,1,2025-05-10
2018-08,ES,GR27,TRAFFIC_ACCIDENT,102930,85.48,292.95,25.73,SUBURBAN,52153,16999,23823,1,0,1775,106,0,POLICE_DISPATCH_SYSTEM,1,2024-04-17
2018-09,CZ,NL59,MEDICAL,846661,69.16,271.24,19.06,URBAN,373422,94729,92145,0,0,6651,36,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-10-18
2018-10,HU,BG3,RESCUE,223112,63.87,509.23,37.69,INDUSTRIAL_ZONE,94338,71433,20356,0,0,112,54,0,NATIONAL_EMS_ADMIN,1,2026-01-22
2018-11,NL,ES18,FIRE,513107,62.57,297.45,16.91,MOUNTAIN,46550,192891,65790,0,0,895,422,0,FIRE_SERVICE_REPORT,1,2024-04-30
2018-12,SE,BG28,PUBLIC_ORDER,1109813,64.2,119.7,14.23,COASTAL,137693,54871,401137,0,0,668,45,0,POLICE_DISPATCH_SYSTEM,1,2025-04-22
2019-01,DK,SE4,POLICE,745483,62.56,393.71,30.89,MOTORWAY,42708,38965,114772,1,0,1590,148,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-05-30
2019-02,IE,IE56,OTHER,1024266,60.21,114.98,7.59,RURAL,67840,31217,125874,0,0,1588,196,0,NATIONAL_EMS_ADMIN,1,2025-11-20
2019-03,PL,LU484,TRAFFIC_ACCIDENT,109638,57.98,456.49,34.96,SUBURBAN,31981,38465,56699,0,0,1904,143,0,FIRE_SERVICE_REPORT,1,2024-12-02
2019-04,AT,BE41,MEDICAL,514182,90.31,296.67,34.23,URBAN,199912,54999,50226,0,0,1823,251,0,POLICE_DISPATCH_SYSTEM,1,2024-07-14
2019-05,EE,CY91,RESCUE,1091639,86.88,189.28,45.29,INDUSTRIAL_ZONE,460039,187631,71398,1,0,1965,33,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-05-24
2019-06,IT,PL969,FIRE,384381,96.4,195.64,38.98,MOUNTAIN,44265,31929,30621,0,0,1393,118,0,NATIONAL_EMS_ADMIN,1,2024-08-11
2019-07,PT,LT58,PUBLIC_ORDER,177360,83.96,159.86,26.67,COASTAL,30348,19852,68785,0,0,1854,437,0,FIRE_SERVICE_REPORT,1,2024-01-13
2019-08,BE,ES7,POLICE,290219,57.59,305.91,18.93,MOTORWAY,39677,24462,128556,0,0,181,160,0,POLICE_DISPATCH_SYSTEM,1,2024-01-29
2019-09,FI,SI985,OTHER,186360,93.95,184.77,28.29,RURAL,21197,20977,13065,0,0,144,343,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-12-13
2019-10,LV,FR7,TRAFFIC_ACCIDENT,594336,55.01,169.46,46.22,SUBURBAN,305059,235709,272086,0,0,1039,19,0,NATIONAL_EMS_ADMIN,1,2024-06-27
2019-11,RO,HR780,MEDICAL,71473,86.37,189.1,16.36,URBAN,32989,6057,8184,0,0,3918,118,0,FIRE_SERVICE_REPORT,1,2025-03-26
2019-12,BG,PL8,RESCUE,407998,80.9,206.86,36.24,INDUSTRIAL_ZONE,169465,97121,23382,0,0,1924,55,0,POLICE_DISPATCH_SYSTEM,1,2024-03-26
2020-01,FR,LU5,FIRE,90127,74.94,322.35,8.86,MOUNTAIN,8473,13736,3824,0,0,2561,175,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-01-27
2020-02,LT,AT625,PUBLIC_ORDER,219588,64.7,266.45,8.66,COASTAL,42279,25920,31306,0,0,1911,406,0,NATIONAL_EMS_ADMIN,1,2025-04-12
2020-03,SK,DK472,POLICE,917758,96.93,179.61,13.07,MOTORWAY,175977,33142,206892,0,0,3273,209,0,FIRE_SERVICE_REPORT,1,2024-02-11
2020-04,HR,PT7,OTHER,304746,84.64,356.07,32.73,RURAL,46883,17377,13409,0,0,2561,364,0,POLICE_DISPATCH_SYSTEM,1,2025-09-30
2020-05,DE,LT8,TRAFFIC_ACCIDENT,448196,58.34,465.12,27.48,SUBURBAN,236869,139903,80166,0,1,2690,19,1,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-01-15
2020-06,LU,RO8,MEDICAL,580371,59.88,345.3,30.03,URBAN,230599,23892,50399,0,0,4505,69,0,NATIONAL_EMS_ADMIN,1,2024-12-28
2020-07,SI,CY8,RESCUE,636146,65.14,217.74,24.47,INDUSTRIAL_ZONE,312048,108574,73066,0,1,1124,65,0,FIRE_SERVICE_REPORT,1,2025-10-31
2020-08,CY,FI6,FIRE,678556,81.4,230.41,18.83,MOUNTAIN,36250,63681,121568,0,0,1243,492,1,POLICE_DISPATCH_SYSTEM,1,2025-11-02
2020-09,GR,FI8,PUBLIC_ORDER,705402,60.87,393.24,19.78,COASTAL,69035,57285,116960,0,0,2199,362,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-04-16
2020-10,MT,EE277,POLICE,808419,84.57,197.26,32.26,MOTORWAY,110284,33204,364507,0,1,2369,68,1,NATIONAL_EMS_ADMIN,1,2025-04-18
2020-11,ES,SK58,OTHER,246464,87.1,77.56,6.14,RURAL,44367,18234,43910,0,0,238,237,0,FIRE_SERVICE_REPORT,1,2024-02-25
2020-12,CZ,DE8,TRAFFIC_ACCIDENT,689515,71.85,76.1,20.03,SUBURBAN,126773,70221,377550,0,0,703,162,0,POLICE_DISPATCH_SYSTEM,1,2025-12-06
2021-01,HU,NL72,MEDICAL,287505,56.25,83.24,27.89,URBAN,108647,26240,29481,0,0,1548,188,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-12-07
2021-02,NL,LV518,RESCUE,247755,97.85,166.9,37.75,INDUSTRIAL_ZONE,103467,68692,25849,0,0,2282,89,0,NATIONAL_EMS_ADMIN,1,2025-06-03
2021-03,SE,GR92,FIRE,497117,85.25,111.28,30.63,MOUNTAIN,44403,116925,24133,0,0,419,321,0,FIRE_SERVICE_REPORT,1,2024-06-11
2021-04,DK,FI93,PUBLIC_ORDER,518772,56.83,225.23,16.44,COASTAL,29028,57857,271636,0,0,2546,248,0,POLICE_DISPATCH_SYSTEM,1,2024-06-11
2021-05,IE,HU1,POLICE,797328,96.73,305.09,9.78,MOTORWAY,115100,45175,155102,0,0,3244,89,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-05-11
2021-06,PL,MT10,OTHER,121566,75.84,212.74,24.52,RURAL,16726,14213,5845,0,0,1742,345,0,NATIONAL_EMS_ADMIN,1,2024-03-02
2021-07,AT,SI388,TRAFFIC_ACCIDENT,957340,88.17,123.33,23.16,SUBURBAN,488998,124765,222820,0,0,1077,19,0,FIRE_SERVICE_REPORT,1,2025-04-02
2021-08,EE,FI1,MEDICAL,232419,86.31,168.96,16.41,URBAN,104035,8563,11209,0,0,6927,98,0,POLICE_DISPATCH_SYSTEM,1,2024-02-20
2021-09,IT,HR7,RESCUE,491064,75.06,327.43,45.77,INDUSTRIAL_ZONE,114538,136036,55094,0,0,1565,127,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-09-26
2021-10,PT,GR82,FIRE,844161,56.83,446.11,28.62,MOUNTAIN,120010,269846,65629,0,0,2673,64,0,NATIONAL_EMS_ADMIN,1,2024-11-18
2021-11,BE,LT193,PUBLIC_ORDER,367634,63.84,430.11,34.98,COASTAL,77691,27063,114975,0,0,537,468,0,FIRE_SERVICE_REPORT,1,2024-06-19
2021-12,FI,LT48,POLICE,22449,65.71,157.53,32.36,MOTORWAY,2422,1928,10281,0,0,2763,195,0,POLICE_DISPATCH_SYSTEM,1,2024-06-17
2022-01,LV,DE2,OTHER,286108,83.99,302.44,15.88,RURAL,53346,22263,23754,0,0,2148,39,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-01-02
2022-02,RO,DE919,TRAFFIC_ACCIDENT,607033,79.42,293.92,16.74,SUBURBAN,158473,86241,177922,0,1,363,121,0,NATIONAL_EMS_ADMIN,1,2025-05-29
2022-03,BG,SK56,MEDICAL,89341,88.93,281.32,14.36,URBAN,27237,4178,11449,0,1,998,234,1,FIRE_SERVICE_REPORT,1,2024-08-06
2022-04,FR,LU81,RESCUE,574793,73.54,32.24,39.8,INDUSTRIAL_ZONE,277983,153656,82796,0,0,2933,163,0,POLICE_DISPATCH_SYSTEM,1,2024-12-01
2022-05,LT,NL6,FIRE,1062420,59.19,182.74,14.51,MOUNTAIN,131837,122555,126019,0,0,1743,351,1,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-12-03
2022-06,SK,AT339,PUBLIC_ORDER,553599,57.47,512.27,33.45,COASTAL,103961,29153,282766,0,0,491,447,0,NATIONAL_EMS_ADMIN,1,2024-01-19
2022-07,HR,IT17,POLICE,813767,63.82,165.31,22.62,MOTORWAY,49720,38909,253820,0,0,249,14,0,FIRE_SERVICE_REPORT,1,2026-02-20
2022-08,DE,DK34,OTHER,357835,87.68,351.38,6.1,RURAL,20983,40269,21384,0,1,1432,478,0,POLICE_DISPATCH_SYSTEM,1,2025-05-17
2022-09,LU,PL2,TRAFFIC_ACCIDENT,663595,58.45,520.56,28.27,SUBURBAN,187174,86369,225903,1,0,760,20,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-12-01
2022-10,SI,DE786,MEDICAL,1018793,75.93,193.8,13.84,URBAN,302748,62056,59828,0,0,4748,160,1,NATIONAL_EMS_ADMIN,1,2024-03-07
2022-11,CY,CZ3,RESCUE,850754,65.5,100.55,14.19,INDUSTRIAL_ZONE,267984,150264,115572,0,0,719,14,0,FIRE_SERVICE_REPORT,1,2024-09-11
2022-12,GR,SI7,FIRE,617219,93.09,142.67,26.31,MOUNTAIN,48584,114361,110592,0,0,2775,382,0,POLICE_DISPATCH_SYSTEM,1,2025-02-20
2023-01,MT,PL7,PUBLIC_ORDER,779750,72.68,185.71,21.74,COASTAL,117522,48633,219250,0,0,378,333,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-06-05
2023-02,ES,RO466,POLICE,300726,87.9,114.23,20.07,MOTORWAY,52796,35467,162692,0,0,2978,148,0,NATIONAL_EMS_ADMIN,1,2024-08-16
2023-03,CZ,LU61,OTHER,294119,92.16,32.67,19.04,RURAL,34843,23130,19038,0,0,2172,144,0,FIRE_SERVICE_REPORT,1,2024-07-07
2023-04,HU,MT59,TRAFFIC_ACCIDENT,467585,83.12,80.34,43.22,SUBURBAN,88305,97836,184976,1,0,2666,136,0,POLICE_DISPATCH_SYSTEM,1,2024-02-11
2023-05,NL,PL4,MEDICAL,296277,85.4,91.67,30.4,URBAN,159757,18301,18535,0,0,6561,15,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-05-18
2023-06,SE,LT5,RESCUE,782399,86.53,78.27,35.77,INDUSTRIAL_ZONE,368065,114368,121753,0,0,2431,191,0,NATIONAL_EMS_ADMIN,1,2025-11-09
2023-07,DK,HR5,FIRE,286262,70.78,286.03,33.33,MOUNTAIN,50904,68495,23080,0,0,2326,303,0,FIRE_SERVICE_REPORT,1,2024-10-31
2023-08,IE,SI371,PUBLIC_ORDER,62314,57.81,154.84,14.54,COASTAL,3639,4291,13744,0,0,2731,427,0,POLICE_DISPATCH_SYSTEM,1,2024-03-01
