travel_intl_arrival_year,travel_intl_arrival_month,travel_intl_port_of_entry_air_sea,travel_intl_visitor_country_code,travel_intl_visitor_region_code,travel_intl_purpose_of_trip_code,travel_intl_length_of_stay_days_median,travel_intl_visitor_spend_inr_total,travel_intl_visitor_spend_retail_inr,travel_intl_visitor_spend_lodging_inr,travel_intl_visitor_spend_food_inr,travel_intl_visitor_spend_entertainment_inr,travel_intl_payment_method_share_cash,travel_intl_payment_method_share_card,travel_intl_group_tour_flag,travel_intl_business_travel_flag,travel_intl_visa_waiver_eligible_flag,travel_intl_repeat_visitor_flag,travel_intl_satisfaction_score,travel_intl_exchange_rate_index
2016,4,AMD_AIR,KEN,OCEANIA,BUSINESS,2,361993,766,73961,156305,148941,0.52,0.11,1,1,1,1,4.4,105.91
2020,7,HYD_AIR,IND,OCEANIA,PILGRIMAGE,16,453965,98469,133467,58989,163324,0.7,0.3,1,1,0,0,6.6,88.21
2022,1,DEL_AIR,USA,AFRICA,MEDICAL,8,828182,22449,485763,138139,53364,0.65,0.11,0,1,0,0,5.8,65.37
2016,5,MAA_AIR,ITA,ASIA,PILGRIMAGE,17,262263,283707,444953,242481,39937,0.28,0.42,1,0,0,1,1.5,103.09
2015,10,HYD_AIR,CAN,ASIA,CONFERENCE,12,282756,25797,187882,81229,101353,0.48,0.13,1,0,1,1,9.2,65.04
2020,10,CCU_AIR,JPN,N_AMERICA,VFR,15,1104040,64811,399156,204889,127447,0.17,0.73,0,0,0,0,9.1,127.15
2019,9,MAA_AIR,VNM,N_AMERICA,BUSINESS,45,966823,124321,384739,117213,161211,0.71,0.21,0,1,1,0,3.7,90.02
2024,8,MAA_AIR,JPN,N_AMERICA,EDUCATION,8,1073408,345139,270305,83132,107858,0.22,0.59,1,0,1,1,2.2,80.37
2018,9,AMD_AIR,BTN,MIDDLE_EAST,CONFERENCE,17,844037,190345,542910,214769,137981,0.89,0.1,1,0,1,0,1.9,74.58
2022,2,HYD_AIR,CHN,MIDDLE_EAST,MEDICAL,23,84447,64558,510855,173901,8128,0.88,0.11,0,0,0,1,8.6,65.21
2024,6,DEL_AIR,SGP,N_AMERICA,BUSINESS,15,114538,157243,455957,80223,133658,0.19,0.06,1,1,0,0,6.3,109.57
2024,2,BOM_SEA,GBR,OCEANIA,LEISURE,20,587493,261391,291028,45063,44171,0.06,0.65,1,1,1,0,4.4,129.34
2020,6,COK_AIR,SAU,AFRICA,EDUCATION,37,196060,265249,364984,161792,141990,0.15,0.71,0,1,0,0,4.1,92.14
2019,4,AMD_AIR,MDV,AFRICA,LEISURE,10,94400,347675,333886,49026,187324,0.4,0.08,0,1,0,0,5.9,109.32
2025,5,GOI_AIR,PAK,ASIA,LEISURE,7,809886,30945,199362,92889,71376,0.71,0.18,0,0,0,1,3.4,93.91
2019,5,AMD_AIR,ARE,AFRICA,PILGRIMAGE,4,326847,256902,18047,246270,33330,0.77,0.08,0,1,1,0,1.2,88.33
2024,12,MAA_AIR,JPN,ASIA,PILGRIMAGE,13,637372,58568,96402,180917,188280,0.46,0.15,1,1,1,1,4.7,85.39
2021,7,CCU_AIR,CAN,MIDDLE_EAST,PILGRIMAGE,24,521019,78392,130339,137976,153645,0.79,0.18,1,1,1,0,8.9,122.65
2022,5,DEL_AIR,AUS,S_AMERICA,VFR,32,348192,267896,89668,74400,182285,0.8,0.12,1,1,1,1,8.2,113.23
2016,10,CCU_AIR,ITA,MIDDLE_EAST,CONFERENCE,2,988826,194329,101847,136714,11101,0.56,0.12,1,0,0,1,9.2,120.12
2022,1,MUM_SEA,BGD,EUROPE,MEDICAL,21,934025,282449,504521,120135,36953,0.34,0.51,1,1,0,0,7.0,66.76
2018,6,GOI_AIR,RUS,N_AMERICA,VFR,35,232410,69758,101008,60673,61263,0.68,0.29,0,1,0,1,1.4,85.35
2021,12,COK_AIR,FRA,EUROPE,VFR,8,919388,310217,327763,24432,108447,0.62,0.27,0,1,1,0,5.2,74.6
2015,9,DEL_AIR,MYS,AFRICA,BUSINESS,24,1095437,83121,410260,122731,15622,0.45,0.51,0,1,1,1,1.2,71.99
2019,11,MAA_AIR,ARE,ASIA,BUSINESS,38,409112,276647,407038,160712,98986,0.7,0.12,1,0,0,0,9.7,121.73
2015,7,BOM_AIR,KEN,AFRICA,CONFERENCE,38,256261,301212,256551,216260,90944,0.75,0.14,1,1,0,1,7.1,122.24
2020,5,MAA_AIR,GBR,MIDDLE_EAST,EDUCATION,9,68703,139661,525670,104018,114905,0.6,0.09,1,0,1,1,1.1,100.03
2022,7,KOCHI_SEA,RUS,OCEANIA,VFR,16,399575,55845,597025,201080,99997,0.06,0.12,0,0,1,0,9.7,78.15
2019,4,MUM_SEA,AFG,ASIA,CONFERENCE,44,532126,194567,17732,149487,132344,0.45,0.25,1,0,0,1,4.4,128.24
2018,11,BOM_SEA,ETH,OCEANIA,MEDICAL,16,724515,383132,49754,44554,157209,0.42,0.41,0,0,1,1,2.3,67.69
2023,7,GOI_AIR,MMR,ASIA,LEISURE,42,450931,187346,283117,117108,193450,0.81,0.16,0,1,0,0,7.6,114.37
2017,7,BLR_AIR,DEU,N_AMERICA,VFR,4,676311,21926,58679,195280,88380,0.48,0.12,1,1,1,1,2.4,83.02
2019,7,BOM_AIR,ETH,ASIA,BUSINESS,44,528224,322045,195554,44773,101683,0.37,0.41,0,0,1,1,3.0,88.19
2018,9,BLR_AIR,KOR,N_AMERICA,EDUCATION,18,90149,263843,486231,244971,112568,0.32,0.38,0,0,1,0,1.8,116.06
2019,1,AMD_AIR,ESP,N_AMERICA,LEISURE,29,21450,330419,95092,204192,112541,0.56,0.37,1,0,0,0,7.3,62.54
2020,4,BOM_AIR,ESP,AFRICA,PILGRIMAGE,25,1001614,136437,596154,67455,167331,0.11,0.66,0,0,1,1,2.9,92.8
2017,1,DEL_AIR,NGA,MIDDLE_EAST,PILGRIMAGE,8,135790,21265,69454,108504,152010,0.79,0.13,0,1,1,1,8.3,88.7
2016,9,BLR_AIR,PAK,OCEANIA,PILGRIMAGE,31,1001289,42014,499846,199635,86833,0.58,0.14,0,1,1,1,6.6,78.36
2022,7,HYD_AIR,BTN,S_AMERICA,LEISURE,28,797833,174827,397016,149006,75213,0.26,0.66,0,1,0,1,4.5,127.44
2019,6,AMD_AIR,RUS,MIDDLE_EAST,BUSINESS,4,802672,266299,187112,235095,156171,0.29,0.16,0,0,0,1,9.7,94.82
2015,1,HYD_AIR,MYS,EUROPE,CONFERENCE,42,1028807,9895,133587,226637,82205,0.82,0.08,1,0,1,0,2.8,90.42
2018,1,HYD_AIR,NPL,N_AMERICA,EDUCATION,4,34379,337402,370792,23313,67534,0.08,0.64,0,0,0,0,7.9,108.26
2019,12,KOCHI_SEA,LKA,N_AMERICA,VFR,36,862130,155502,241502,199725,149157,0.31,0.39,1,0,0,0,2.4,112.05
2025,6,BOM_AIR,THA,MIDDLE_EAST,VFR,13,352741,100541,529709,144860,67052,0.3,0.12,0,0,0,0,3.0,78.38
2020,3,MUM_SEA,DEU,MIDDLE_EAST,VFR,41,824204,174812,379945,26145,186105,0.68,0.18,0,1,0,1,2.2,81.22
2019,1,AMD_AIR,THA,AFRICA,LEISURE,29,389747,39905,74692,236531,173270,0.22,0.14,1,1,1,1,9.4,62.66
2019,3,AMD_AIR,ESP,N_AMERICA,MEDICAL,38,910126,26694,214502,179844,165065,0.11,0.14,1,1,0,1,5.3,129.43
2023,4,KOCHI_SEA,SGP,MIDDLE_EAST,CONFERENCE,43,155023,190449,194303,210125,161342,0.38,0.2,0,1,0,1,8.5,60.01
2024,3,MAA_AIR,RUS,MIDDLE_EAST,LEISURE,33,614803,228466,241715,145866,154652,0.66,0.1,1,1,1,1,1.5,93.6
2023,6,MUM_SEA,ESP,EUROPE,EDUCATION,2,1187793,276181,261163,19975,176566,0.1,0.89,1,1,0,0,6.3,91.14
2025,6,GOI_AIR,LKA,AFRICA,PILGRIMAGE,3,1172481,254416,57717,137368,55542,0.2,0.77,1,0,1,0,5.1,116.33
2020,12,COK_AIR,CHN,EUROPE,BUSINESS,40,124816,45950,413607,145648,178880,0.59,0.31,0,1,1,0,9.9,64.86
2018,5,MUM_SEA,FRA,ASIA,MEDICAL,19,1199231,267167,466752,189162,11731,0.65,0.3,1,1,1,1,8.1,81.81
2025,5,DEL_AIR,DEU,AFRICA,LEISURE,43,575782,215746,46014,82853,69211,0.05,0.86,0,0,0,1,9.3,110.56
2023,5,HYD_AIR,USA,OCEANIA,BUSINESS,13,217102,110719,26930,154097,75358,0.85,0.1,0,0,0,0,5.3,128.56
2022,1,DEL_AIR,GBR,EUROPE,PILGRIMAGE,14,326411,130395,187034,97683,79999,0.37,0.52,0,1,0,0,8.3,129.73
2021,5,AMD_AIR,BGD,S_AMERICA,BUSINESS,34,828875,350902,267476,233719,164541,0.36,0.58,1,1,1,1,2.9,72.6
2019,7,MUM_SEA,FRA,EUROPE,PILGRIMAGE,5,561512,231401,46609,5658,157262,0.76,0.06,1,1,1,1,7.3,65.01
2016,3,CCU_AIR,NPL,MIDDLE_EAST,MEDICAL,15,369968,332174,423294,78490,42111,0.14,0.7,0,0,0,1,9.7,94.44
2016,3,BLR_AIR,AUS,AFRICA,LEISURE,14,284117,171580,374073,6134,140107,0.25,0.11,0,0,0,1,6.5,62.48
2015,9,CCU_AIR,GBR,S_AMERICA,LEISURE,45,300190,236070,144036,60529,117622,0.78,0.21,1,0,1,0,1.2,92.88
2016,9,CCU_AIR,AUS,OCEANIA,PILGRIMAGE,4,1149561,141845,523312,168205,53026,0.53,0.33,1,1,1,1,4.1,126.13
2025,10,MUM_SEA,BGD,S_AMERICA,CONFERENCE,35,312373,202642,158805,242788,172083,0.57,0.43,0,1,0,1,6.4,118.95
2019,11,DEL_AIR,LKA,AFRICA,CONFERENCE,42,679092,228540,284220,8983,169284,0.31,0.31,1,0,1,0,2.0,63.21
2021,10,AMD_AIR,SGP,EUROPE,BUSINESS,42,35397,92849,171726,96126,46068,0.5,0.44,0,0,0,0,4.6,61.55
2020,9,MAA_AIR,NPL,N_AMERICA,CONFERENCE,8,255119,148187,213606,21644,73472,0.76,0.23,1,0,0,0,5.1,89.35
2024,7,BLR_AIR,KEN,OCEANIA,MEDICAL,9,715417,301329,48440,168144,226,0.88,0.07,1,1,1,1,8.9,67.75
2015,3,MAA_AIR,SAU,N_AMERICA,VFR,37,172645,302837,345037,183048,125365,0.38,0.54,0,0,1,1,6.1,85.91
2023,6,BOM_AIR,SGP,MIDDLE_EAST,CONFERENCE,26,450015,2876,302419,57928,62700,0.19,0.33,1,0,0,0,5.9,108.87
2023,7,BLR_AIR,KOR,EUROPE,LEISURE,7,33368,255916,149067,34058,123666,0.36,0.3,1,1,0,0,4.3,83.5
2019,7,KOCHI_SEA,RUS,AFRICA,LEISURE,35,295470,373514,103928,239225,44100,0.34,0.58,0,0,0,1,4.5,85.55
2019,1,BOM_SEA,KEN,S_AMERICA,EDUCATION,21,208651,151052,76604,39024,162956,0.35,0.37,0,1,1,0,6.1,65.58
2018,7,MUM_SEA,PAK,ASIA,BUSINESS,13,250675,137894,116969,74071,138308,0.27,0.33,0,0,1,0,2.5,123.28
2025,12,BLR_AIR,ETH,S_AMERICA,CONFERENCE,35,788896,49601,313324,77712,88359,0.51,0.12,1,0,0,0,5.2,117.84
2025,9,GOI_AIR,USA,MIDDLE_EAST,EDUCATION,33,114532,146722,530792,115513,174532,0.87,0.08,1,1,1,0,5.6,86.38
2019,11,BOM_SEA,RUS,ASIA,MEDICAL,18,1136379,87901,206417,110689,139501,0.1,0.67,1,0,1,0,7.2,98.99
2023,9,COK_AIR,ITA,MIDDLE_EAST,BUSINESS,16,294156,357979,216611,57020,18661,0.54,0.33,1,0,1,0,6.4,94.52
2024,1,DEL_AIR,KEN,EUROPE,VFR,43,874950,69408,188622,176549,192305,0.86,0.12,1,0,1,0,3.9,75.11
2020,3,BOM_AIR,RUS,MIDDLE_EAST,MEDICAL,15,196473,111838,385294,28198,126595,0.41,0.46,1,0,1,0,5.8,76.14
2025,6,GOI_AIR,BGD,ASIA,BUSINESS,8,761247,261150,417850,191652,192121,0.51,0.21,0,0,0,0,1.2,94.96
2016,1,MUM_SEA,MDV,AFRICA,BUSINESS,28,918483,156105,316647,142676,56558,0.14,0.73,1,1,0,0,7.2,89.65
2016,5,BOM_AIR,DEU,AFRICA,CONFERENCE,33,446306,339217,231500,17133,91661,0.55,0.07,0,1,0,0,3.1,88.41
2020,7,DEL_AIR,KOR,OCEANIA,EDUCATION,17,857484,326976,51094,102532,85519,0.38,0.07,0,0,1,1,8.5,118.62
2017,7,HYD_AIR,NGA,S_AMERICA,VFR,28,327762,318128,354267,96162,26688,0.67,0.32,1,0,0,1,7.5,61.64
2023,3,MAA_AIR,LKA,AFRICA,VFR,16,626312,104078,490693,121481,71536,0.48,0.46,1,1,1,0,2.4,127.28
2017,5,MAA_AIR,RUS,OCEANIA,MEDICAL,19,484810,240191,178863,30990,127334,0.14,0.38,1,1,0,0,3.9,115.41
2020,5,MUM_SEA,KOR,N_AMERICA,LEISURE,17,881011,62726,105527,61717,46737,0.18,0.7,1,0,1,1,7.7,122.64
2017,8,BLR_AIR,THA,OCEANIA,EDUCATION,44,956408,332088,116711,107297,188879,0.8,0.15,1,0,0,0,7.3,105.35
2022,1,AMD_AIR,USA,OCEANIA,PILGRIMAGE,42,447883,99452,524584,34344,39272,0.56,0.12,1,1,1,1,5.8,79.88
2022,4,DEL_AIR,VNM,S_AMERICA,CONFERENCE,10,1076725,326995,13028,96001,128621,0.11,0.43,1,0,1,1,3.7,96.51
2019,9,CCU_AIR,THA,S_AMERICA,EDUCATION,45,861340,289328,188093,20347,85982,0.31,0.09,1,0,0,1,5.7,91.23
2017,11,MAA_AIR,BTN,OCEANIA,LEISURE,19,714320,233343,261452,23727,154299,0.69,0.14,1,0,1,1,9.9,72.4
2016,7,AMD_AIR,SGP,MIDDLE_EAST,PILGRIMAGE,1,1097542,212903,194552,153892,67343,0.54,0.13,1,1,0,0,4.6,128.47
2020,4,MAA_AIR,SGP,N_AMERICA,PILGRIMAGE,44,1134546,289547,462417,118299,67775,0.8,0.17,1,1,1,0,5.7,81.15
2015,3,HYD_AIR,ETH,N_AMERICA,EDUCATION,36,646085,157192,259643,25523,137044,0.29,0.54,1,1,1,0,8.2,62.92
2024,8,MAA_AIR,THA,EUROPE,LEISURE,14,325831,203724,467635,132183,104688,0.79,0.06,1,1,0,1,1.3,94.2
2015,2,AMD_AIR,MYS,EUROPE,MEDICAL,5,360615,249570,497155,201112,165720,0.41,0.34,1,0,0,0,9.3,67.52
2023,11,AMD_AIR,MYS,EUROPE,PILGRIMAGE,12,428519,130293,350486,159747,259,0.88,0.1,1,1,1,1,8.6,117.93
2019,2,KOCHI_SEA,IND,ASIA,BUSINESS,23,1084097,218105,576297,62655,102390,0.77,0.16,1,0,0,1,5.9,62.31
2021,4,BOM_AIR,ESP,S_AMERICA,PILGRIMAGE,36,224037,4599,472568,28574,155301,0.83,0.06,1,1,0,0,5.8,63.57
2019,8,BOM_SEA,ESP,AFRICA,BUSINESS,8,510139,387714,237738,87373,44439,0.76,0.09,0,1,1,1,9.2,115.32
2022,11,DEL_AIR,BGD,MIDDLE_EAST,VFR,23,582019,216362,276832,122462,105541,0.68,0.15,0,0,1,1,7.3,68.89
2023,12,MAA_AIR,LKA,S_AMERICA,EDUCATION,41,540271,280035,419161,24083,6760,0.73,0.08,0,1,1,1,7.9,99.44
2019,12,BOM_SEA,MDV,N_AMERICA,EDUCATION,15,252842,307222,377673,173204,115974,0.52,0.11,1,1,0,1,3.1,103.73
2023,8,MUM_SEA,LKA,OCEANIA,EDUCATION,29,1042637,44629,106086,20437,44523,0.38,0.27,1,0,0,0,1.1,129.66
2019,10,HYD_AIR,BTN,AFRICA,BUSINESS,21,1054833,235790,591537,56368,61400,0.4,0.32,0,0,0,0,5.0,77.81
2022,3,HYD_AIR,THA,ASIA,BUSINESS,25,638575,197421,325208,231850,86669,0.41,0.09,1,1,1,1,2.0,80.71
2022,12,COK_AIR,THA,AFRICA,PILGRIMAGE,37,928546,51961,497159,223394,136355,0.48,0.39,0,0,1,0,4.7,64.61
2022,7,MAA_AIR,AUS,AFRICA,BUSINESS,8,654272,256350,529544,29861,197055,0.63,0.22,1,0,0,1,6.7,63.52
2018,2,BOM_AIR,NPL,AFRICA,VFR,38,830248,310252,197106,210824,40179,0.36,0.62,0,0,0,0,6.4,88.66
2019,11,MAA_AIR,CHN,S_AMERICA,LEISURE,24,198192,133133,548549,155435,25322,0.63,0.14,1,0,0,0,7.2,106.11
2016,10,DEL_AIR,VNM,S_AMERICA,LEISURE,31,452682,273373,518003,192047,85035,0.34,0.21,0,1,1,1,2.3,106.35
2016,3,AMD_AIR,THA,OCEANIA,EDUCATION,22,1117513,124975,456602,181635,6901,0.54,0.19,1,0,0,1,3.2,114.37
2017,3,MUM_SEA,FRA,MIDDLE_EAST,LEISURE,28,216674,255788,553428,149388,35652,0.61,0.23,1,0,1,1,7.3,97.78
2024,6,AMD_AIR,THA,EUROPE,LEISURE,27,940382,6295,433086,129716,4299,0.38,0.22,0,1,1,0,2.7,115.53
2023,8,MAA_AIR,CHN,AFRICA,BUSINESS,35,258755,299956,460920,165331,138622,0.51,0.18,0,0,0,1,2.9,72.63
2017,11,HYD_AIR,VNM,S_AMERICA,BUSINESS,38,1129947,116242,439435,39735,78531,0.06,0.81,1,1,1,0,7.1,104.39
2016,6,BOM_SEA,NGA,MIDDLE_EAST,LEISURE,3,520217,374662,266016,85599,185117,0.45,0.1,1,0,1,1,7.5,114.48
2020,11,AMD_AIR,USA,ASIA,CONFERENCE,44,1071947,196413,562178,107774,108914,0.75,0.15,0,0,1,1,3.6,99.97
2018,6,BOM_SEA,THA,S_AMERICA,LEISURE,10,353562,186092,16549,224555,4764,0.3,0.54,1,1,0,0,8.8,110.67
2024,10,DEL_AIR,CAN,N_AMERICA,EDUCATION,40,830513,127615,168190,74671,199125,0.28,0.69,1,1,1,0,8.5,69.91
2020,12,HYD_AIR,CAN,AFRICA,VFR,21,997071,325969,50120,141690,131043,0.71,0.26,1,1,0,1,6.4,91.01
2020,4,CCU_AIR,ETH,EUROPE,BUSINESS,28,205337,5937,467236,145160,152384,0.32,0.18,0,0,0,1,8.4,119.59
2015,4,MUM_SEA,AFG,AFRICA,BUSINESS,6,291716,75130,146787,152780,179750,0.38,0.31,1,1,0,1,9.8,82.25
2016,4,DEL_AIR,CHN,N_AMERICA,CONFERENCE,29,355104,314430,138211,167859,42393,0.75,0.17,1,0,1,0,9.5,122.93
2023,9,HYD_AIR,SAU,N_AMERICA,EDUCATION,5,524304,231345,503740,136246,110682,0.1,0.33,1,0,0,1,2.1,129.16
2016,5,MAA_AIR,DEU,S_AMERICA,BUSINESS,26,409999,358858,204793,39074,28424,0.84,0.09,0,0,0,0,4.4,69.76
2024,9,CCU_AIR,MYS,N_AMERICA,VFR,38,498027,338328,299176,7598,133575,0.22,0.19,0,1,0,0,7.5,70.34
2025,8,BOM_AIR,VNM,AFRICA,EDUCATION,27,680781,356646,58456,188742,187441,0.23,0.09,1,1,0,0,1.8,86.24
2019,5,KOCHI_SEA,BTN,ASIA,MEDICAL,17,430602,319069,222840,26616,146605,0.71,0.24,1,1,1,1,2.2,99.41
2020,6,BLR_AIR,ETH,EUROPE,PILGRIMAGE,36,666484,94219,364188,131803,138649,0.15,0.41,1,0,1,1,4.6,113.4
2025,10,CCU_AIR,SAU,ASIA,BUSINESS,27,1144227,383727,324227,136157,91918,0.17,0.73,1,1,0,1,1.1,64.72
2020,4,CCU_AIR,FRA,ASIA,LEISURE,37,370159,244820,471961,218366,32254,0.13,0.21,1,1,1,0,5.0,114.71
2025,2,GOI_AIR,IND,N_AMERICA,LEISURE,41,998722,235446,323217,122046,186939,0.56,0.19,1,1,1,0,4.5,71.45
2022,6,AMD_AIR,CAN,S_AMERICA,CONFERENCE,27,691126,26953,12662,157610,123591,0.77,0.11,1,0,0,0,7.4,65.95
2018,10,MAA_AIR,THA,MIDDLE_EAST,EDUCATION,18,40147,304609,33132,189666,186369,0.2,0.5,1,1,0,0,1.8,102.2
2019,1,AMD_AIR,ESP,ASIA,LEISURE,8,711966,157400,20287,61332,12381,0.39,0.32,1,0,1,0,5.0,65.4
2016,1,BLR_AIR,ESP,N_AMERICA,MEDICAL,22,337269,249802,413596,26892,197547,0.63,0.24,0,1,0,0,9.7,65.12
2023,5,CCU_AIR,ESP,ASIA,MEDICAL,34,126122,395620,440743,182791,11940,0.31,0.28,0,0,0,0,8.9,103.23
2022,2,BOM_SEA,BTN,ASIA,CONFERENCE,45,603498,210746,133256,115114,73717,0.22,0.74,1,1,1,1,7.4,108.91
2021,2,AMD_AIR,SAU,AFRICA,MEDICAL,23,735919,94421,116707,113005,130437,0.82,0.17,0,0,0,1,9.8,124.35
2020,6,BOM_AIR,MDV,AFRICA,MEDICAL,45,64037,217488,78682,9563,78408,0.65,0.28,1,0,1,0,1.8,127.02
2025,9,BLR_AIR,IND,AFRICA,EDUCATION,35,897029,51576,231340,226752,164981,0.84,0.16,0,0,1,1,3.3,93.39
2019,4,BOM_SEA,AUS,ASIA,VFR,14,900913,3051,189368,25053,55516,0.71,0.1,1,1,1,1,2.3,105.07
2020,6,BLR_AIR,JPN,S_AMERICA,CONFERENCE,45,645867,309859,180767,153505,89904,0.35,0.31,0,1,1,1,7.9,114.47
2024,1,HYD_AIR,ESP,MIDDLE_EAST,PILGRIMAGE,16,1097457,116732,5363,26715,167224,0.07,0.61,0,0,1,1,8.7,124.62
2016,6,MUM_SEA,CHN,EUROPE,EDUCATION,25,872663,391707,159183,182734,142227,0.45,0.24,1,1,1,0,6.8,61.55
2019,10,BLR_AIR,ITA,OCEANIA,PILGRIMAGE,22,482016,377642,144630,78887,50797,0.36,0.18,0,0,1,0,3.3,75.27
2017,1,BOM_AIR,KOR,N_AMERICA,BUSINESS,33,144264,78964,364132,191281,27519,0.48,0.07,0,1,0,1,2.1,96.71
2015,2,COK_AIR,RUS,S_AMERICA,LEISURE,17,1135255,151088,65723,15610,28920,0.06,0.89,0,1,0,1,5.9,76.22
2017,9,AMD_AIR,FRA,EUROPE,MEDICAL,15,654665,280558,275897,13860,55993,0.5,0.15,1,1,0,0,2.3,96.18
2021,4,HYD_AIR,VNM,S_AMERICA,BUSINESS,44,899899,208299,206042,110491,113020,0.4,0.31,0,0,1,0,2.5,107.54
2024,8,MAA_AIR,CAN,EUROPE,CONFERENCE,35,935538,67566,530983,20273,54066,0.63,0.06,1,0,0,1,6.0,113.87
2015,4,MAA_AIR,BGD,AFRICA,BUSINESS,29,171290,74424,47926,217142,152963,0.28,0.41,1,0,1,1,1.9,118.51
2016,1,DEL_AIR,BGD,N_AMERICA,VFR,26,1007803,262669,105786,239260,190916,0.75,0.22,1,1,0,0,9.2,129.62
2020,4,AMD_AIR,PAK,S_AMERICA,EDUCATION,23,140236,154522,463782,58307,182948,0.84,0.1,0,1,0,1,2.9,121.57
2021,8,MUM_SEA,PAK,S_AMERICA,LEISURE,44,587085,269367,118124,202377,15026,0.19,0.74,1,0,1,0,8.4,84.32
2023,4,AMD_AIR,MDV,EUROPE,PILGRIMAGE,18,1028959,393590,244643,96991,41406,0.6,0.12,0,1,0,0,6.2,80.33
2022,4,DEL_AIR,GBR,N_AMERICA,MEDICAL,32,157529,320734,406147,230875,59449,0.59,0.12,1,0,0,1,2.4,81.14
2022,5,BLR_AIR,RUS,ASIA,MEDICAL,43,908146,15534,214470,212223,124938,0.34,0.42,0,1,1,1,9.8,66.44
2025,4,CCU_AIR,ITA,EUROPE,VFR,5,117347,387979,49318,176236,34575,0.15,0.7,0,0,1,0,5.7,106.41
2022,6,DEL_AIR,KEN,EUROPE,VFR,20,1172665,364417,183138,192578,184346,0.62,0.05,0,1,1,0,3.2,60.74
2019,9,HYD_AIR,KEN,S_AMERICA,MEDICAL,16,1083187,72789,487408,70016,73746,0.44,0.18,1,0,0,1,3.0,80.47
2021,3,BLR_AIR,NPL,EUROPE,PILGRIMAGE,4,411348,371783,228712,147933,42393,0.21,0.23,1,1,1,1,2.2,113.69
2025,1,BLR_AIR,SGP,AFRICA,CONFERENCE,37,565196,196623,175950,236228,112359,0.1,0.49,0,0,0,0,6.0,92.84
2019,8,DEL_AIR,NPL,N_AMERICA,MEDICAL,24,506228,53912,153637,171719,175295,0.85,0.11,1,0,0,0,6.6,88.91
2023,4,BOM_SEA,RUS,EUROPE,MEDICAL,14,771549,380802,530741,134181,88098,0.4,0.35,1,1,0,1,6.2,115.03
2019,9,BOM_AIR,IND,OCEANIA,VFR,8,303582,142301,110928,218969,35548,0.69,0.11,1,1,0,1,8.6,88.17
2020,5,GOI_AIR,USA,EUROPE,BUSINESS,4,355242,287089,345374,72677,86100,0.17,0.73,0,1,0,1,1.6,93.15
2016,1,GOI_AIR,SAU,MIDDLE_EAST,BUSINESS,35,500906,213681,368289,20281,63839,0.58,0.34,0,1,1,0,1.3,94.54
2015,6,CCU_AIR,KEN,AFRICA,EDUCATION,40,53407,376156,218441,157103,182997,0.07,0.61,0,1,0,1,8.6,95.43
2022,12,BOM_SEA,THA,EUROPE,LEISURE,35,946155,347780,79501,37798,158287,0.41,0.25,0,1,1,0,2.1,67.11
2023,8,DEL_AIR,PAK,AFRICA,BUSINESS,21,224415,359251,208884,199035,72128,0.26,0.28,1,0,0,0,2.3,96.97
2020,8,DEL_AIR,LKA,EUROPE,PILGRIMAGE,8,125987,91328,252550,185925,7905,0.34,0.5,1,0,1,0,5.8,87.09
2017,10,AMD_AIR,CAN,S_AMERICA,PILGRIMAGE,13,182046,58399,270376,127463,55,0.58,0.1,1,0,1,0,4.7,122.98
2025,12,KOCHI_SEA,USA,EUROPE,MEDICAL,44,387623,74524,583674,184087,148610,0.35,0.07,1,0,1,1,7.0,60.88
2023,9,MAA_AIR,NPL,S_AMERICA,CONFERENCE,22,441912,168726,14945,168689,186084,0.26,0.72,0,0,0,0,2.7,96.15
2015,8,COK_AIR,IND,MIDDLE_EAST,VFR,24,939008,244937,131529,180560,146255,0.66,0.33,1,1,0,1,8.6,128.22
2020,11,HYD_AIR,MDV,MIDDLE_EAST,MEDICAL,36,125964,308107,11702,182821,151963,0.51,0.46,1,1,1,1,3.0,61.07
2025,8,COK_AIR,THA,MIDDLE_EAST,MEDICAL,19,461041,117218,98233,243971,58012,0.58,0.25,1,0,0,1,4.9,108.36
2021,1,CCU_AIR,MDV,AFRICA,PILGRIMAGE,33,1141447,342190,593680,72635,117128,0.38,0.11,0,1,1,0,1.2,62.09
2016,11,MUM_SEA,BGD,EUROPE,MEDICAL,39,335085,90568,391864,9476,19247,0.27,0.39,1,0,1,1,9.7,120.37
2019,2,HYD_AIR,RUS,N_AMERICA,LEISURE,10,568274,392266,595622,124417,194277,0.26,0.3,1,0,0,0,3.6,73.75
2023,5,MAA_AIR,JPN,EUROPE,PILGRIMAGE,12,986287,123786,248969,10716,20171,0.89,0.08,1,0,1,1,5.8,117.76
2017,8,BOM_SEA,BTN,MIDDLE_EAST,CONFERENCE,39,977593,309669,539587,188792,91419,0.62,0.35,1,1,1,0,5.3,124.16
2020,1,HYD_AIR,CAN,S_AMERICA,LEISURE,18,462926,252282,349265,232929,137540,0.13,0.43,1,1,0,1,4.6,69.53
2017,11,MAA_AIR,IND,EUROPE,PILGRIMAGE,18,132698,332483,218679,168213,161981,0.6,0.34,0,0,0,0,2.6,66.88
2025,10,BOM_SEA,MDV,EUROPE,VFR,25,463404,211410,315580,139925,100210,0.14,0.45,1,0,1,1,6.6,118.56
2022,7,COK_AIR,RUS,S_AMERICA,PILGRIMAGE,25,137470,151060,219173,120751,98251,0.3,0.67,1,1,1,1,6.0,72.26
