health_chronic_surveillance_year,health_chronic_small_area_id,health_chronic_condition_code,health_chronic_prevalence_rate_pct,health_chronic_incidence_rate_per_100k,health_chronic_hospitalization_rate_per_100k,health_chronic_mortality_rate_per_100k,health_chronic_comorbidity_index,health_chronic_risk_factor_smoking_rate,health_chronic_risk_factor_obesity_rate,health_chronic_risk_factor_diabetes_rate,health_chronic_physical_activity_rate,health_chronic_diet_quality_score,health_chronic_medication_adherence_rate,health_chronic_preventive_screening_rate,health_chronic_avoidable_ed_visit_rate,health_chronic_healthcare_access_barrier_index,health_chronic_ncoioeconomic_deprivation_index,health_chronic_age_adjustment_standard,health_chronic_confidence_interval_width
2021,LGD-SA-3094621,CVD,28.09,1103.42,302.29,1756.88,13.99,43.77,20.24,8.72,83.07,80.88,60.83,14.76,104.32,11.11,80.25,Census2011,12.05
2017,LGD-SA-1363577,CANC,23.75,1304.77,982.19,679.07,7.63,12.79,18.63,30.85,53.3,59.2,43.76,86.73,22.61,32.01,33.47,WHO2000,8.923
2018,LGD-SA-2874186,COPD,31.16,3492.6,1251.3,1738.93,0.39,31.71,17.5,32.04,76.83,92.77,39.6,17.83,39.78,20.01,80.26,WHO2000,11.014
2017,LGD-SA-6838412,DM2,5.9,1152.56,2114.83,988.73,8.2,24.01,32.65,24.43,88.79,39.96,74.38,54.45,136.36,21.52,28.95,India2011,12.755
2023,LGD-SA-7833560,OBES,35.34,2156.45,1782.01,1377.17,5.43,39.28,17.17,4.1,20.26,74.6,32.92,63.1,70.74,5.6,62.99,Census2011,12.037
2015,LGD-SA-4996668,OBES,39.06,804.4,1122.21,607.5,0.81,8.32,19.64,18.68,46.17,99.93,50.45,40.55,34.4,47.57,77.19,GBDStd,12.032
2019,LGD-SA-7477180,ASTH,37.73,3390.65,179.98,444.59,2.43,1.42,23.83,15.57,38.93,94.11,59.72,33.27,141.29,89.01,10.77,GBDStd,11.799
2019,LGD-SA-6624126,HTN,42.25,849.48,1290.84,104.71,8.85,43.19,26.11,11.13,54.06,13.63,43.61,84.08,106.18,28.76,42.18,GBDStd,9.517
2024,LGD-SA-9214546,NCD_MULTI,13.06,3029.5,211.14,927.96,8.51,26.52,9.79,18.34,11.11,65.47,44.86,88.45,56.65,73.92,81.97,WHO2000,8.937
2018,LGD-SA-6509156,ASTH,43.33,1559.52,1685.91,1717.55,11.66,18.47,21.23,4.3,23.6,43.16,69.75,54.34,2.73,47.96,39.78,WHO2000,5.382
2018,LGD-SA-3751937,CVD,28.61,2231.88,657.93,799.06,10.38,6.19,29.15,8.77,50.97,32.6,75.95,23.78,50.59,3.15,25.34,Census2011,2.075
2016,LGD-SA-2008651,CKD,23.26,3105.72,984.67,723.12,13.82,9.02,22.53,2.6,85.92,77.59,94.25,8.19,115.16,8.71,92.23,India2011,10.837
2017,LGD-SA-1027575,HTN,7.26,281.11,1226.78,206.34,11.64,5.89,28.61,11.98,79.54,72.8,74.55,65.57,56.14,0.84,70.09,Census2011,1.742
2018,LGD-SA-1838806,OBES,24.57,631.77,1978.88,1638.81,1.37,30.64,20.06,5.2,63.25,34.41,51.6,87.4,18.56,1.68,96.23,India2011,9.451
2020,LGD-SA-7653982,NCD_MULTI,13.27,1051.28,1745.15,128.29,14.16,41.51,11.98,21.72,57.76,24.38,90.88,44.98,108.19,12.94,19.76,WHO2000,0.308
2022,LGD-SA-3249915,ASTH,5.54,1965.59,184.51,449.44,7.18,29.73,18.04,20.98,68.64,99.84,77.24,33.81,44.32,31.25,99.14,GBDStd,0.761
2016,LGD-SA-3074897,DM2,18.41,2533.2,732.98,491.65,10.87,19.27,34.24,8.62,61.72,23.24,48.77,2.71,90.73,14.81,36.87,GBDStd,7.711
2016,LGD-SA-3597739,COPD,26.51,1372.08,445.46,1759.96,8.29,16.83,1.07,30.61,67.48,2.56,33.0,30.47,9.04,14.5,46.13,Census2011,4.193
2022,LGD-SA-3549647,CKD,24.82,1488.83,2088.14,153.19,8.07,3.4,14.17,29.17,12.23,97.36,74.16,40.58,33.85,91.41,96.49,GBDStd,4.923
2019,LGD-SA-2907185,STROKE,4.38,3037.53,430.61,1175.49,4.67,6.89,30.26,33.83,47.7,47.94,29.57,9.85,26.79,17.72,64.24,WHO2000,13.382
2016,LGD-SA-5981393,CKD,7.85,1056.17,301.41,593.88,8.47,11.05,51.86,7.22,37.94,14.7,65.84,15.74,126.88,28.13,99.81,India2011,3.388
2020,LGD-SA-3808422,CKD,10.45,2839.62,1037.14,1352.73,1.75,1.54,52.74,26.93,81.85,35.13,52.81,75.1,83.42,45.05,41.25,GBDStd,8.849
2024,LGD-SA-4435671,NCD_MULTI,9.54,2054.04,1628.52,981.47,14.33,37.41,25.43,34.08,27.1,26.07,79.64,35.08,93.2,62.76,18.42,India2011,4.592
2018,LGD-SA-9704985,CVD,35.26,2306.0,2107.76,438.27,10.32,15.06,43.12,34.68,89.56,14.69,45.35,11.1,157.82,43.35,74.92,GBDStd,4.616
2020,LGD-SA-8011563,CKD,9.37,2637.0,976.68,945.99,11.61,29.59,22.94,16.71,69.31,80.57,44.54,5.7,141.57,11.65,15.39,GBDStd,11.258
2024,LGD-SA-8367802,ASTH,8.21,2427.62,642.07,927.11,2.62,36.54,36.26,33.54,47.13,9.29,97.42,94.7,101.43,26.69,97.75,Census2011,6.883
2019,LGD-SA-6577944,CKD,26.05,152.53,1531.1,814.41,3.74,3.42,2.47,23.38,24.85,95.04,33.35,30.83,84.69,61.41,26.55,India2011,14.062
2018,LGD-SA-9870071,CKD,30.05,3447.07,950.63,464.91,6.55,8.86,2.65,3.26,22.34,33.06,62.57,93.39,145.62,42.08,98.15,India2011,9.916
2019,LGD-SA-7052957,NCD_MULTI,35.71,1234.99,46.97,381.39,5.61,31.11,43.02,13.42,60.51,62.04,69.43,87.13,43.96,60.8,67.25,GBDStd,3.108
2019,LGD-SA-5345489,NCD_MULTI,34.09,3371.17,487.02,1553.56,9.32,15.66,47.74,17.96,65.96,21.71,64.96,94.53,173.91,67.88,12.02,WHO2000,14.887
2025,LGD-SA-1598960,HTN,38.0,713.8,1185.92,729.13,0.25,20.41,28.75,18.57,69.54,15.53,91.58,85.93,85.73,33.96,34.17,GBDStd,12.38
2022,LGD-SA-8906632,CANC,9.48,2186.76,437.6,1378.35,3.16,14.3,41.78,1.21,45.77,30.42,54.38,41.97,117.28,63.84,92.78,GBDStd,3.983
2021,LGD-SA-3014706,STROKE,6.67,1386.73,1009.91,544.24,6.61,29.13,34.31,14.04,51.41,1.37,65.39,53.17,115.3,67.08,82.16,GBDStd,8.981
2016,LGD-SA-1566448,STROKE,6.56,1929.21,1094.85,1162.71,7.95,34.34,27.42,2.58,31.29,56.83,95.19,50.59,91.32,8.78,93.49,Census2011,14.499
2018,LGD-SA-6532980,CANC,13.22,1192.04,1996.24,920.16,5.99,42.02,29.18,7.69,39.77,29.37,52.42,45.34,90.71,91.42,2.03,WHO2000,3.148
2025,LGD-SA-1296829,OBES,8.29,1195.92,427.29,604.15,3.38,5.8,4.14,7.79,52.73,79.55,85.66,10.96,162.53,58.3,47.9,India2011,13.681
2015,LGD-SA-3134989,TB_SEQ,35.35,1802.36,810.45,62.77,14.86,34.04,42.63,9.01,19.67,17.96,64.12,71.0,120.97,79.6,88.41,Census2011,13.28
2020,LGD-SA-7448894,CKD,28.32,16.49,1961.02,558.63,8.89,34.13,41.43,31.06,25.42,96.5,33.07,49.58,112.69,20.52,7.67,WHO2000,5.614
2020,LGD-SA-8823617,ASTH,41.85,3192.72,1807.93,1605.25,3.99,36.9,49.84,29.23,49.0,23.38,88.42,31.04,0.9,51.31,27.43,India2011,2.273
2020,LGD-SA-7490859,TB_SEQ,16.2,2251.89,679.14,1572.07,7.26,18.8,6.01,23.47,13.28,51.69,26.64,29.15,2.81,25.48,71.73,India2011,6.059
2019,LGD-SA-9442930,HTN,36.93,2834.19,681.89,478.37,4.53,14.2,4.19,9.85,33.58,27.24,44.48,23.58,112.61,69.73,61.16,India2011,0.58
2024,LGD-SA-7291451,CKD,2.78,2608.59,841.17,622.79,8.4,31.28,7.64,8.56,20.93,52.55,74.83,57.78,104.74,85.12,27.58,GBDStd,8.18
2018,LGD-SA-2676224,HTN,28.36,565.2,440.23,1019.47,1.96,40.35,30.07,32.59,89.62,97.71,85.75,60.9,33.19,44.54,87.42,Census2011,2.521
2020,LGD-SA-8263489,STROKE,1.71,2978.54,1290.24,364.54,2.82,18.27,40.21,24.57,21.23,24.98,27.97,38.58,150.53,23.21,47.55,India2011,11.133
2022,LGD-SA-1013600,CKD,7.88,377.45,1218.31,1105.2,4.43,40.38,25.13,13.73,75.72,85.91,38.71,34.19,57.72,73.44,45.02,Census2011,13.987
2021,LGD-SA-3053281,COPD,30.95,2901.47,1924.75,203.03,8.81,30.56,19.02,9.39,73.58,97.78,52.23,10.77,127.27,23.69,98.16,GBDStd,7.933
2024,LGD-SA-4668744,CANC,20.14,1172.01,371.32,1719.23,5.81,32.92,31.27,24.89,50.8,90.92,26.26,67.9,83.41,46.05,3.32,WHO2000,4.988
2022,LGD-SA-3933971,COPD,7.91,3365.15,1015.62,1224.32,13.05,12.24,36.33,29.84,74.09,13.03,89.75,36.64,103.74,33.26,58.09,GBDStd,9.577
2021,LGD-SA-4086394,CANC,0.56,992.63,106.24,336.05,12.15,39.15,49.73,30.76,47.0,80.04,37.71,27.82,70.81,91.3,59.34,Census2011,11.264
2016,LGD-SA-8753401,HTN,8.77,765.64,1012.35,72.08,10.76,22.37,21.43,31.87,86.51,15.3,21.89,50.83,178.18,11.56,62.76,Census2011,14.275
2018,LGD-SA-2645554,CKD,34.97,1637.24,1961.5,1090.22,14.67,16.86,24.67,26.01,81.25,87.73,33.66,34.94,97.17,80.99,92.98,WHO2000,2.823
2024,LGD-SA-1061587,HTN,23.57,3106.09,1533.36,1450.65,10.51,37.23,16.75,2.87,87.8,83.8,94.38,6.2,142.15,34.88,2.63,GBDStd,1.82
2019,LGD-SA-2252469,CANC,10.09,1242.52,1470.8,527.04,4.0,2.62,37.52,33.85,89.76,8.57,67.02,20.73,30.35,56.88,49.65,India2011,7.947
2023,LGD-SA-8490345,NCD_MULTI,21.25,2576.67,1043.19,235.83,3.03,28.01,6.61,14.02,26.47,30.42,95.92,45.51,94.93,91.25,90.65,Census2011,5.898
2016,LGD-SA-6952407,NCD_MULTI,6.8,1193.12,2121.17,35.15,4.05,29.63,2.07,22.26,46.74,84.62,81.4,94.52,79.61,73.37,94.41,WHO2000,2.555
2023,LGD-SA-8472005,CANC,22.01,489.49,1625.03,123.68,4.99,40.83,1.7,19.98,83.28,6.38,35.36,68.75,59.48,96.1,49.93,India2011,10.166
2024,LGD-SA-5766498,OBES,17.07,3453.5,1700.01,347.78,10.69,6.51,1.83,24.47,43.25,65.29,75.12,56.91,69.03,45.87,85.94,GBDStd,0.803
2020,LGD-SA-8754311,CANC,16.9,3479.22,190.4,1596.04,4.71,39.7,27.6,6.2,35.59,38.92,24.21,82.47,6.15,82.53,10.69,WHO2000,14.275
2024,LGD-SA-3852026,STROKE,27.39,2196.97,1229.26,55.74,4.29,8.82,4.14,34.48,74.52,28.06,60.51,65.13,96.15,65.57,77.36,India2011,2.502
2025,LGD-SA-6524741,TB_SEQ,32.05,3262.63,437.67,1608.26,3.29,34.44,39.15,25.58,10.49,44.41,50.17,38.17,86.33,14.14,9.95,WHO2000,5.358
2025,LGD-SA-2943105,STROKE,6.01,675.88,1232.43,345.12,5.19,33.37,2.43,26.25,63.32,97.17,39.08,8.26,137.31,89.59,32.11,GBDStd,7.452
2024,LGD-SA-3008803,HTN,16.29,3444.23,863.39,965.49,3.86,2.45,4.59,21.87,84.79,34.2,40.05,87.33,130.3,64.01,17.16,WHO2000,3.785
2015,LGD-SA-5917278,ASTH,14.6,1319.18,880.0,1488.17,8.78,14.67,24.08,11.09,87.83,13.71,24.78,71.57,177.0,89.78,23.74,India2011,9.953
2024,LGD-SA-3374703,CANC,44.05,1771.95,482.19,115.12,0.36,26.72,1.74,27.15,59.95,37.07,90.37,62.85,69.81,29.05,96.62,WHO2000,3.983
2018,LGD-SA-5314047,CKD,24.93,2085.23,1310.99,460.01,4.91,35.84,34.29,8.96,27.53,58.62,58.48,19.41,20.01,24.75,87.61,GBDStd,10.534
2023,LGD-SA-5345367,NCD_MULTI,21.71,2867.59,456.08,1227.37,13.45,42.75,8.53,13.12,59.04,52.1,62.17,23.34,89.72,89.22,33.88,India2011,10.844
2017,LGD-SA-9932426,TB_SEQ,1.04,2678.51,969.82,1770.72,11.53,4.23,15.85,1.54,24.68,52.31,48.16,20.4,20.9,25.4,64.8,GBDStd,7.908
2021,LGD-SA-5835631,NCD_MULTI,8.68,1402.81,501.32,1181.91,7.64,14.72,13.88,2.62,13.44,96.47,20.79,15.02,47.85,8.74,42.58,India2011,13.729
2024,LGD-SA-5314514,DM2,3.34,1899.93,1598.98,1602.06,6.85,4.77,51.77,19.76,83.41,72.26,88.55,38.65,71.75,22.06,23.4,Census2011,1.207
2018,LGD-SA-9637988,COPD,15.38,2364.8,1084.69,708.41,0.03,16.27,8.17,26.94,74.6,4.23,21.49,70.73,155.24,23.41,95.7,India2011,11.901
2015,LGD-SA-5986100,NCD_MULTI,26.69,1905.61,1593.62,779.46,9.26,24.45,48.46,3.02,46.04,14.21,90.83,70.5,63.84,97.12,83.41,WHO2000,11.165
2015,LGD-SA-9551246,CVD,38.66,2654.08,764.15,45.46,13.98,35.33,53.63,14.61,51.27,55.81,86.74,43.26,178.45,72.0,25.29,GBDStd,1.503
2022,LGD-SA-1310357,CKD,35.74,2480.38,244.09,317.31,3.57,32.43,49.65,17.98,35.14,9.26,93.48,73.29,37.73,84.83,24.84,Census2011,10.326
2024,LGD-SA-8315911,CANC,20.64,917.7,329.31,1502.62,1.42,38.39,49.47,28.49,75.08,62.0,80.99,55.58,130.68,18.77,52.54,WHO2000,1.582
2020,LGD-SA-7999953,HTN,8.9,105.16,531.1,1583.31,5.6,41.91,36.48,2.05,76.01,80.12,93.66,68.09,121.02,47.55,53.04,GBDStd,5.005
2019,LGD-SA-5939787,DM2,18.35,2949.07,1341.32,1549.19,5.52,7.9,24.29,12.25,13.38,53.38,72.41,21.95,77.59,94.51,40.56,India2011,13.075
2020,LGD-SA-9138819,STROKE,23.05,2305.79,376.36,710.02,0.27,20.28,10.05,1.7,54.24,0.28,68.11,60.12,173.44,11.91,88.95,WHO2000,5.334
2016,LGD-SA-1282898,COPD,4.98,1490.37,1659.56,934.74,2.63,1.36,4.36,31.21,33.44,64.05,69.0,23.2,107.08,15.99,14.04,India2011,11.706
2024,LGD-SA-5484871,COPD,7.45,1404.79,499.95,574.94,4.75,16.13,34.35,20.28,45.89,29.62,85.39,94.35,108.63,11.36,64.83,WHO2000,1.357
2024,LGD-SA-5980046,CKD,20.8,383.67,608.11,500.7,5.64,32.11,12.62,8.46,88.14,30.65,33.18,76.98,125.61,9.42,88.64,India2011,11.554
2023,LGD-SA-9854235,OBES,22.89,3396.23,793.76,321.44,3.97,43.05,15.46,30.8,60.79,48.6,89.13,67.63,89.92,35.89,87.84,WHO2000,8.011
2023,LGD-SA-4054801,OBES,20.8,155.88,1875.87,595.4,2.55,23.68,17.2,13.32,42.68,57.11,81.14,34.06,13.16,8.02,99.99,India2011,1.938
2017,LGD-SA-7267610,ASTH,15.01,2915.34,369.37,551.23,2.46,30.75,13.43,33.37,86.83,12.15,49.63,74.53,94.63,47.53,77.36,India2011,1.422
2019,LGD-SA-1934724,ASTH,21.96,2651.3,984.16,1210.06,0.27,18.46,8.93,20.17,22.22,61.97,78.96,50.6,17.17,6.79,57.16,India2011,6.376
2022,LGD-SA-5256756,HTN,26.09,2522.73,463.69,1511.97,2.14,21.94,4.45,3.02,25.62,26.54,85.34,50.15,164.54,86.76,27.16,GBDStd,0.945
2023,LGD-SA-4223976,CKD,39.46,1215.71,1478.84,67.7,11.63,19.66,6.43,13.41,47.16,28.5,49.38,20.75,25.86,55.9,63.12,WHO2000,1.063
2025,LGD-SA-7113628,CKD,43.81,544.59,2169.79,356.68,2.59,40.18,2.91,13.83,66.16,91.51,85.8,34.29,158.69,19.93,51.14,WHO2000,2.89
2017,LGD-SA-2250792,STROKE,43.18,2064.93,1622.04,887.62,13.64,20.3,15.16,5.47,58.33,18.72,89.44,84.72,72.22,94.39,75.14,Census2011,0.264
2019,LGD-SA-6345683,ASTH,5.97,1302.36,762.09,1537.58,7.06,1.12,36.0,11.83,16.96,52.96,82.75,93.22,130.68,98.95,36.35,India2011,9.796
2017,LGD-SA-2226448,HTN,42.86,1007.4,367.89,1603.64,0.72,28.7,3.28,11.33,37.52,28.86,46.0,44.44,16.2,58.44,53.26,WHO2000,13.902
2016,LGD-SA-2837473,TB_SEQ,40.94,326.77,1239.7,544.57,11.26,27.58,4.18,20.81,38.87,72.18,71.75,27.81,120.16,99.56,43.92,GBDStd,12.486
2019,LGD-SA-9455547,DM2,26.58,1554.33,1328.69,1468.64,5.55,39.94,34.06,5.6,59.86,65.38,21.0,86.15,35.78,75.32,8.08,Census2011,13.877
2015,LGD-SA-2574888,CANC,3.95,1690.11,322.28,1247.9,3.79,43.94,11.28,8.03,69.48,56.11,28.64,44.65,161.94,13.32,2.45,GBDStd,3.726
2017,LGD-SA-3790735,TB_SEQ,39.91,1833.9,1758.16,757.45,3.93,33.61,49.18,26.42,88.93,70.73,27.0,70.25,3.43,46.42,70.21,Census2011,2.643
2024,LGD-SA-3908112,HTN,7.62,2882.44,145.99,212.3,6.82,7.27,2.65,34.75,12.56,96.51,42.55,21.32,39.3,51.24,53.69,GBDStd,8.469
2021,LGD-SA-9589952,TB_SEQ,5.26,1645.94,644.36,1729.78,11.6,13.77,35.73,26.06,49.55,30.91,53.29,9.54,177.18,48.09,95.34,India2011,11.684
2024,LGD-SA-7681251,NCD_MULTI,10.17,3154.09,1513.11,1669.89,11.57,5.23,39.25,12.28,74.84,72.14,84.78,56.17,65.51,87.43,66.21,India2011,8.675
2016,LGD-SA-8752631,OBES,1.43,1241.04,2197.84,1469.52,5.55,22.89,2.62,34.36,82.88,21.13,50.72,43.23,105.52,40.62,78.77,Census2011,3.569
2015,LGD-SA-2541982,CKD,22.17,1405.39,39.14,1062.01,3.92,40.4,16.9,30.93,19.25,84.3,76.53,25.18,141.06,91.86,42.01,India2011,11.581
2022,LGD-SA-7465924,ASTH,0.81,716.27,1222.76,82.62,13.27,7.49,19.17,17.21,11.07,88.73,74.25,42.46,83.57,15.02,67.61,India2011,0.394
2018,LGD-SA-4922167,STROKE,38.33,2569.06,549.1,994.45,9.76,21.63,11.41,2.66,22.32,98.53,52.72,63.62,66.25,86.56,41.74,GBDStd,11.15
2025,LGD-SA-8562277,NCD_MULTI,24.47,2790.08,1117.73,159.16,4.88,22.56,51.83,1.36,19.2,47.14,29.84,0.59,53.28,36.68,39.79,Census2011,12.094
2018,LGD-SA-8893802,DM2,25.15,1157.22,1273.7,1204.82,8.67,3.57,4.74,5.78,85.22,67.73,83.66,41.26,130.83,46.26,94.81,Census2011,14.769
2021,LGD-SA-4843679,TB_SEQ,38.37,2179.07,1076.51,590.88,13.62,21.63,23.04,11.98,47.11,23.59,62.53,77.1,19.92,7.72,5.64,GBDStd,4.694
2021,LGD-SA-8771505,CKD,3.25,3109.08,800.39,1249.52,8.37,10.11,39.78,3.69,72.34,53.38,74.51,44.24,140.63,78.15,37.28,India2011,13.371
2015,LGD-SA-2774420,STROKE,9.65,1964.02,1762.56,1527.08,11.78,3.02,41.77,3.92,45.08,79.52,93.04,61.8,95.98,2.51,83.24,India2011,10.616
2019,LGD-SA-5881546,CKD,44.35,2269.52,1701.14,393.48,4.15,19.12,39.19,30.66,89.09,28.98,62.6,8.53,112.6,99.16,69.85,India2011,1.409
2017,LGD-SA-8747161,TB_SEQ,10.29,554.36,411.4,1487.04,13.7,16.33,37.48,1.73,48.19,38.32,85.36,30.12,160.44,93.5,29.97,GBDStd,10.217
2019,LGD-SA-3187915,NCD_MULTI,42.84,1394.7,2174.42,1263.95,3.48,17.9,12.08,32.81,74.45,75.46,92.67,57.86,162.37,95.15,16.28,India2011,9.493
2020,LGD-SA-1133149,NCD_MULTI,4.91,3304.4,235.66,1038.39,5.5,17.53,16.82,30.91,77.04,97.37,64.33,12.15,161.62,58.53,18.19,WHO2000,7.807
2019,LGD-SA-3892185,OBES,19.27,1108.67,1920.44,334.88,3.85,28.59,3.54,31.68,23.43,21.21,39.07,13.01,85.46,66.14,53.48,Census2011,5.956
2023,LGD-SA-1565846,STROKE,28.58,579.23,463.94,1420.26,8.58,44.66,16.21,24.08,58.9,15.8,76.87,44.81,141.71,57.59,74.17,India2011,1.789
2020,LGD-SA-8634770,TB_SEQ,43.57,1332.89,328.29,1408.74,1.6,19.7,8.23,16.29,45.24,59.6,45.11,73.85,159.08,22.08,74.73,GBDStd,4.481
2023,LGD-SA-9141642,DM2,26.02,2336.28,1975.25,193.01,14.06,28.03,7.68,21.69,46.04,73.21,48.04,24.08,147.68,82.99,56.8,WHO2000,7.477
2018,LGD-SA-5584624,COPD,5.51,2231.94,1875.98,803.47,4.36,40.6,39.34,5.56,12.54,85.17,64.24,17.69,125.38,82.2,72.17,WHO2000,13.08
2021,LGD-SA-2683681,COPD,41.93,1162.39,1011.31,1349.6,2.89,23.49,24.82,25.47,34.54,61.68,50.38,6.32,42.34,69.58,37.28,India2011,12.787
2022,LGD-SA-3475580,DM2,21.89,953.68,223.21,701.01,4.53,19.42,39.08,21.94,80.43,30.19,87.1,3.5,64.46,3.55,6.99,GBDStd,5.894
2016,LGD-SA-9200354,CVD,15.64,507.14,972.98,1606.12,9.13,22.26,23.88,5.58,20.74,41.24,51.32,5.33,163.19,17.95,58.58,WHO2000,12.209
2022,LGD-SA-3187651,CVD,26.53,1308.44,1901.12,897.72,8.04,28.8,42.55,20.87,77.32,71.91,70.48,10.75,77.36,50.19,29.38,WHO2000,11.389
2017,LGD-SA-7863369,OBES,42.35,1581.82,1043.7,84.3,8.01,20.37,6.06,8.02,46.05,12.29,62.85,39.82,138.52,89.38,17.45,GBDStd,7.229
2016,LGD-SA-5564301,CKD,41.16,2609.27,1946.81,74.81,0.69,34.59,9.01,15.98,76.54,44.73,50.03,92.49,35.53,34.64,80.63,Census2011,9.449
2015,LGD-SA-3679776,OBES,34.54,2613.74,2159.03,468.17,9.33,36.85,30.99,22.02,36.72,64.68,55.71,83.33,140.05,27.68,12.28,WHO2000,0.786
2019,LGD-SA-5567243,NCD_MULTI,5.12,1644.8,771.71,423.79,3.02,12.83,38.31,15.7,41.68,26.82,48.31,6.37,107.08,96.22,64.86,GBDStd,3.137
2022,LGD-SA-6438030,COPD,33.72,247.64,524.77,962.82,10.65,21.64,54.68,24.82,88.94,30.29,32.67,1.26,101.87,49.22,67.54,GBDStd,6.434
2025,LGD-SA-2837357,STROKE,13.95,190.77,1316.21,1107.52,10.45,1.95,40.36,17.79,39.83,22.7,23.25,33.79,96.57,96.6,59.67,India2011,8.342
2025,LGD-SA-4261806,DM2,21.09,1197.73,1944.94,469.08,9.11,2.72,39.25,6.88,34.78,21.39,93.65,14.85,140.48,50.86,83.31,WHO2000,8.402
2017,LGD-SA-9522201,OBES,34.56,2117.04,367.35,1682.22,11.76,36.38,23.1,13.18,44.38,49.4,32.84,91.87,119.08,27.68,41.19,GBDStd,4.422
2025,LGD-SA-1514447,COPD,9.54,1422.77,1638.48,551.7,1.24,23.06,26.45,4.31,19.19,12.21,96.47,5.91,85.87,69.63,88.01,Census2011,8.74
2023,LGD-SA-2239945,DM2,3.85,2538.85,521.28,1175.87,12.43,22.95,53.29,27.36,20.17,99.23,73.19,43.53,72.55,74.72,37.08,Census2011,4.834
2016,LGD-SA-1991709,CKD,32.48,33.16,721.42,1251.33,0.87,9.47,49.86,6.65,84.7,16.64,90.98,70.55,116.6,18.87,43.83,WHO2000,14.031
2025,LGD-SA-4796474,TB_SEQ,6.69,2836.91,1370.92,1357.1,1.93,24.71,43.64,33.19,72.28,78.18,24.68,1.74,40.88,29.51,58.77,India2011,1.054
2015,LGD-SA-9905386,CVD,23.29,236.82,1770.68,1792.5,12.33,3.71,26.08,12.73,65.83,32.11,28.66,81.96,11.88,9.25,47.93,India2011,3.576
2015,LGD-SA-4763922,CKD,0.8,3288.54,1425.33,1793.12,9.79,32.05,39.09,12.42,46.02,78.23,80.08,54.86,130.25,59.11,37.52,India2011,2.857
2025,LGD-SA-7136215,OBES,42.69,2715.01,980.59,338.46,4.21,28.88,23.84,33.81,80.55,63.6,27.31,22.65,69.75,97.1,77.26,GBDStd,6.542
2021,LGD-SA-8640879,DM2,28.95,891.18,723.38,1072.55,5.89,27.84,37.32,22.69,42.2,71.99,26.07,7.47,68.73,18.61,0.05,WHO2000,9.997
2020,LGD-SA-4614753,TB_SEQ,34.43,1913.19,1034.14,654.83,6.62,41.56,46.01,9.51,32.26,52.1,53.38,82.56,51.78,84.33,66.12,India2011,1.698
2018,LGD-SA-6653588,STROKE,10.77,1020.46,511.79,349.94,0.09,33.48,33.0,16.81,31.27,80.39,40.88,41.34,86.64,95.5,97.05,Census2011,7.618
2015,LGD-SA-3906368,OBES,19.87,2522.79,1680.83,167.42,1.92,26.57,23.9,20.54,53.19,3.8,44.91,71.24,139.2,18.06,41.44,WHO2000,13.487
2023,LGD-SA-6941876,NCD_MULTI,5.46,2517.83,314.17,1226.64,12.11,2.52,29.86,13.59,16.29,40.36,67.25,62.74,86.02,14.18,92.91,GBDStd,13.883
2017,LGD-SA-2040982,CKD,9.59,1853.39,416.75,306.4,0.32,4.54,36.59,24.57,66.62,81.64,30.85,59.6,97.09,11.99,93.15,India2011,14.107
2023,LGD-SA-5999885,TB_SEQ,11.33,376.11,741.95,899.7,3.45,24.87,11.78,28.46,87.54,31.34,36.36,50.63,143.0,99.44,42.98,India2011,8.5
2022,LGD-SA-5453861,CANC,19.87,3267.32,1604.78,1312.46,6.78,3.39,11.9,24.95,70.64,50.18,77.74,90.51,11.97,58.61,11.8,WHO2000,1.038
2022,LGD-SA-1815213,CANC,12.46,648.6,1615.03,680.56,3.71,40.99,52.83,4.95,26.2,97.01,69.59,38.27,132.97,74.73,13.84,WHO2000,8.81
2019,LGD-SA-7681623,ASTH,13.85,1712.95,170.26,80.59,2.21,40.45,54.71,22.38,65.81,43.93,37.93,14.61,157.44,74.81,53.69,India2011,8.389
2024,LGD-SA-8820742,STROKE,32.93,2863.21,1304.97,820.31,4.33,16.01,1.95,24.74,80.74,8.26,84.86,48.66,63.9,95.08,77.48,GBDStd,4.193
2018,LGD-SA-9683839,COPD,26.61,1262.88,432.41,657.97,10.68,27.87,16.29,12.67,56.34,47.35,62.7,72.16,137.41,64.55,4.41,WHO2000,12.48
2016,LGD-SA-2290477,TB_SEQ,35.26,1855.39,1006.62,379.08,9.29,40.34,28.89,25.47,73.17,81.57,85.45,46.29,20.79,27.26,60.96,GBDStd,13.348
2017,LGD-SA-2185517,COPD,38.14,243.49,453.25,1154.8,1.88,4.3,12.65,3.69,21.28,2.56,81.01,74.84,164.09,12.71,32.21,Census2011,1.108
2021,LGD-SA-5541372,OBES,1.61,833.72,1346.0,1722.24,11.67,19.27,23.06,24.56,52.84,9.74,32.91,11.88,28.9,29.77,89.04,Census2011,7.724
2024,LGD-SA-2285107,OBES,5.48,3252.36,1965.97,1264.05,10.99,37.67,22.51,25.96,52.03,11.03,91.72,84.93,89.18,81.83,36.1,India2011,14.872
2018,LGD-SA-5634252,CANC,1.85,2713.21,217.32,1009.61,12.81,24.44,53.88,30.95,83.85,20.15,34.69,22.83,110.21,45.97,80.78,India2011,7.173
