env_ghg_reference_year,env_ghg_country_iso2,env_ghg_sector_ipcc_code,env_ghg_subsector_code,env_ghg_emissions_co2e_tonnes,env_ghg_emissions_ch4_tonnes,env_ghg_emissions_n2o_tonnes,env_ghg_lulucf_net_sink_co2e_tonnes,env_ghg_per_capita_co2e_tonnes,env_ghg_emissions_intensity_per_gdp,env_ghg_national_target_2030_pct,env_ghg_fit55_alignment_flag,env_ghg_policy_measure_count,env_ghg_energy_efficiency_contribution_pct,env_ghg_renewables_contribution_pct,env_ghg_transport_contribution_pct,env_ghg_agriculture_contribution_pct,env_ghg_data_source_eea_inventory,env_ghg_methodology_version,env_ghg_data_extract_date
2007,IT,1_ENERGY,1A4_BUILDINGS,267533294.13,183239.4322,18470.59257,-731356.43,7.521,0.2664,-35.98,1,150,41.73,38.5,23.05,7.49,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-05-02
2008,PT,1_ENERGY,1B_FUGITIVE,144371157.47,70100.1499,11021.9367,-187398.3,8.593,0.1038,-34.39,0,151,21.61,36.25,22.14,2.24,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-07-03
2009,BE,1_ENERGY,1A1_ENERGY_INDUSTRIES,36440544.63,10600.2027,2349.93795,-476340.91,15.826,0.5777,-51.71,1,148,28.11,44.4,10.32,11.69,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-09-03
2010,FI,1_ENERGY,1A2_MANUFACTURING,209255047.77,34232.8613,16485.23803,-581115.2,15.352,0.1957,-39.08,0,137,7.76,18.6,10.49,24.37,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-03-26
2011,LV,1_ENERGY,1A3_TRANSPORT,131424017.7,43049.2779,10290.24034,-423479.06,12.166,0.1199,-30.22,0,152,24.7,51.67,35.75,4.75,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-06-14
2012,RO,1_ENERGY,1A4_BUILDINGS,9540908.1,3079.8592,132.05474,-811695.74,8.626,0.4238,-57.0,1,145,27.82,9.76,38.99,24.79,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-12-04
2013,BG,1_ENERGY,1B_FUGITIVE,391979976.41,174713.6062,11070.64126,-997699.86,7.089,0.1901,-61.59,1,168,15.04,51.5,37.71,20.11,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-12-23
2014,FR,1_ENERGY,1A1_ENERGY_INDUSTRIES,434650405.77,103455.929,11328.12546,-493667.49,7.766,0.4633,-47.9,1,21,40.02,19.75,11.39,17.68,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-07-11
2015,LT,1_ENERGY,1A2_MANUFACTURING,296262125.57,15472.9654,9353.3716,-542033.99,5.662,0.5021,-39.25,1,20,8.08,46.18,16.95,7.56,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-06-17
2016,SK,1_ENERGY,1A3_TRANSPORT,272552385.93,46385.0375,2424.40792,-42984.36,4.29,0.1832,-51.19,1,23,9.21,25.03,33.7,5.79,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-01-24
2017,HR,1_ENERGY,1A4_BUILDINGS,349413280.08,130580.5764,3542.87995,-698717.18,17.054,0.1578,-64.74,1,55,37.3,17.53,32.56,6.8,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-03-14
2018,DE,1_ENERGY,1B_FUGITIVE,42180704.15,20813.0081,2223.4677,-497043.06,5.892,0.4498,-60.81,1,25,20.05,50.68,15.71,15.45,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-05-27
2019,LU,1_ENERGY,1A1_ENERGY_INDUSTRIES,134878940.75,52199.2325,3674.9992,-608128.62,15.546,0.157,-53.56,1,10,17.5,34.74,22.37,11.33,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2026-02-12
2020,SI,1_ENERGY,1A2_MANUFACTURING,216976896.2,91572.9065,6772.79078,-283924.29,5.751,0.5818,-31.52,1,34,30.8,21.81,34.87,13.13,EEA_GHG_INVENTORY,IPCC_2006_GPG,2026-01-02
2021,CY,1_ENERGY,1A3_TRANSPORT,64926486.0,18212.0709,3665.9971,-491817.93,15.891,0.5353,-64.64,1,38,6.33,11.97,14.79,16.96,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-09-04
2022,GR,1_ENERGY,1A4_BUILDINGS,140341166.76,70955.2514,2978.71318,-121667.1,17.984,0.4262,-32.91,0,50,10.53,25.76,33.76,8.41,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-11-15
2023,MT,1_ENERGY,1B_FUGITIVE,193394360.68,38051.1359,4735.86797,-801445.34,7.831,0.2719,-58.24,1,35,43.23,31.02,25.6,3.69,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-04-13
2024,ES,1_ENERGY,1A1_ENERGY_INDUSTRIES,386008973.63,239279.9907,30512.55841,-595893.53,6.021,0.5137,-36.93,0,41,29.91,14.05,22.29,22.28,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-01-30
2025,CZ,1_ENERGY,1A2_MANUFACTURING,397995640.84,240222.9117,10526.24891,-654121.52,4.156,0.3324,-49.79,1,39,33.56,38.01,14.81,10.6,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-05-01
1995,HU,1_ENERGY,1A3_TRANSPORT,361267333.06,180602.3525,14574.90713,-991168.88,6.875,0.2225,-37.36,1,27,40.19,33.08,5.71,15.92,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-01-09
1996,NL,1_ENERGY,1A4_BUILDINGS,592634645.93,248486.944,46431.77492,-464696.02,6.226,0.4184,-55.22,0,26,37.66,53.19,21.13,15.32,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2026-02-12
1997,SE,1_ENERGY,1B_FUGITIVE,401356521.61,96280.8657,15205.14145,-468122.36,7.971,0.1509,-48.67,1,28,38.08,35.81,20.94,20.28,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-07-03
1998,DK,1_ENERGY,1A1_ENERGY_INDUSTRIES,100424711.41,13620.9861,6913.04748,-861622.71,17.524,0.3497,-30.17,1,53,11.09,15.0,34.91,24.03,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-04-13
1999,IE,1_ENERGY,1A2_MANUFACTURING,304163848.62,140115.1881,11862.45329,-341025.52,6.829,0.3644,-34.47,0,69,25.81,25.86,7.91,9.87,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-12-03
2000,PL,1_ENERGY,1A3_TRANSPORT,64767311.13,30760.4112,4928.80143,-787639.4,6.322,0.2819,-63.88,1,25,40.61,13.56,12.7,11.23,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-12-17
2001,AT,1_ENERGY,1A4_BUILDINGS,246898450.93,148069.1611,8463.54804,-76259.05,2.315,0.144,-57.53,0,60,12.68,35.31,30.29,10.94,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-08-21
2002,EE,1_ENERGY,1B_FUGITIVE,267302854.75,178944.6811,20191.90968,-702227.09,6.295,0.0779,-52.74,1,66,19.3,47.56,25.61,22.98,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-06-14
2003,IT,1_ENERGY,1A1_ENERGY_INDUSTRIES,599419494.96,127996.9492,24478.06341,-142289.59,13.613,0.3936,-40.21,0,59,19.63,36.11,37.44,6.08,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-04-28
2004,PT,1_ENERGY,1A2_MANUFACTURING,17640177.45,800.1769,167.25543,-148432.48,5.465,0.4138,-46.52,0,47,6.09,10.03,13.03,10.64,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-11-08
2005,BE,1_ENERGY,1A3_TRANSPORT,33047329.47,17161.3245,1199.9495,-586711.3,14.401,0.5159,-39.99,1,35,26.85,44.1,10.28,20.58,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-06-11
2006,FI,1_ENERGY,1A4_BUILDINGS,410473156.08,72650.2623,7876.83314,-880327.89,2.751,0.1249,-46.76,0,55,30.22,14.38,14.17,9.1,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-06-23
2007,LV,1_ENERGY,1B_FUGITIVE,263008043.59,60148.6165,6575.10924,-99518.81,5.01,0.4195,-41.08,0,42,22.06,31.26,32.09,3.37,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-02-24
2008,RO,1_ENERGY,1A1_ENERGY_INDUSTRIES,373234731.79,180735.6765,21733.9741,-701603.24,8.338,0.1,-64.47,1,46,11.61,44.1,33.73,10.34,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-04-10
2009,BG,1_ENERGY,1A2_MANUFACTURING,461584508.55,249905.1911,21398.32116,-181107.16,13.866,0.395,-64.2,1,69,23.0,40.69,38.6,5.18,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-06-02
2010,FR,1_ENERGY,1A3_TRANSPORT,296531473.53,81379.6998,10530.53637,-872421.67,12.469,0.6028,-49.8,1,67,16.13,9.14,5.64,6.66,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-11-24
2011,LT,1_ENERGY,1A4_BUILDINGS,346708144.43,86217.9739,408.96775,-145442.61,13.083,0.4922,-56.84,1,42,9.95,25.49,30.24,20.09,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-09-08
2012,SK,1_ENERGY,1B_FUGITIVE,181855612.13,123116.0039,10995.53427,-484632.95,4.233,0.2491,-41.51,1,72,17.2,36.87,15.22,8.08,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-02-28
2013,HR,1_ENERGY,1A1_ENERGY_INDUSTRIES,249144257.22,21456.1105,18635.63789,-864949.44,3.215,0.5772,-40.65,0,49,21.57,12.03,39.88,19.22,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-06-24
2014,DE,1_ENERGY,1A2_MANUFACTURING,141552006.57,77035.334,6470.63691,-21502.51,3.925,0.291,-47.87,1,52,15.62,22.77,35.05,22.69,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-10-28
2015,LU,1_ENERGY,1A3_TRANSPORT,95285188.73,40321.2366,6870.91657,-207001.72,9.343,0.2531,-51.68,0,68,23.77,16.06,30.92,3.51,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-01-09
2016,SI,1_ENERGY,1A4_BUILDINGS,242540306.28,95637.7438,12056.82591,-697333.72,7.532,0.5533,-55.83,1,78,18.49,48.99,6.13,23.0,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-04-20
2017,CY,1_ENERGY,1B_FUGITIVE,527125223.22,213619.2294,16191.61409,-161034.25,4.016,0.6396,-33.47,1,84,9.55,38.3,6.93,8.24,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-05-06
2018,GR,1_ENERGY,1A1_ENERGY_INDUSTRIES,72023655.51,42884.3238,1751.55116,-479799.59,6.681,0.3192,-61.76,0,49,16.75,7.29,37.22,21.61,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-10-04
2019,MT,1_ENERGY,1A2_MANUFACTURING,352013224.71,193066.9278,11935.94987,-192490.95,8.648,0.1111,-41.43,1,60,15.73,42.58,32.46,12.15,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-02-09
2020,ES,1_ENERGY,1A3_TRANSPORT,542529051.44,159616.4543,8383.44058,-635145.12,5.215,0.3528,-55.31,1,75,28.43,6.84,29.58,12.11,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-05-09
2021,CZ,1_ENERGY,1A4_BUILDINGS,178445805.49,85052.2932,4327.98858,-525949.06,13.157,0.2468,-55.93,1,56,35.53,44.04,26.02,23.92,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-06-01
2022,HU,1_ENERGY,1B_FUGITIVE,252215445.36,111317.1164,16612.71696,-789368.12,7.614,0.3991,-64.69,0,67,25.85,23.45,29.79,3.21,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-08-25
2023,NL,1_ENERGY,1A1_ENERGY_INDUSTRIES,165138510.72,28179.2048,483.39931,-938935.03,14.006,0.2307,-43.75,1,92,34.39,30.08,13.06,18.92,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-11-06
2024,SE,1_ENERGY,1A2_MANUFACTURING,509262328.17,225765.4671,7039.24909,-308105.06,13.04,0.1243,-42.33,1,67,43.15,7.89,22.83,6.94,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-05-29
2025,DK,1_ENERGY,1A3_TRANSPORT,553865393.11,117816.3944,24420.66439,-824031.71,4.786,0.1598,-33.45,0,65,29.78,33.49,10.5,24.38,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-02-08
1995,IE,1_ENERGY,1A4_BUILDINGS,368413629.54,28849.7545,1980.33699,-638893.3,3.713,0.5274,-32.65,0,48,22.11,42.73,28.53,2.53,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-09-06
1996,PL,1_ENERGY,1B_FUGITIVE,42425054.8,9035.2073,3011.65079,-923269.99,8.623,0.2389,-48.02,1,89,34.46,48.56,5.78,11.81,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-04-13
1997,AT,1_ENERGY,1A1_ENERGY_INDUSTRIES,23946496.92,6568.3259,1879.07475,-897602.32,8.835,0.5027,-31.46,0,85,41.64,26.55,12.61,2.87,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-04-07
1998,EE,1_ENERGY,1A2_MANUFACTURING,103808147.19,15005.2347,913.57319,-120376.96,12.901,0.2901,-38.65,1,72,17.79,7.26,14.55,24.17,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-07-15
1999,IT,1_ENERGY,1A3_TRANSPORT,547127410.47,301004.366,30897.6755,-917845.43,15.184,0.4061,-30.11,1,74,38.36,53.82,36.99,16.44,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-02-25
2000,PT,1_ENERGY,1A4_BUILDINGS,126053874.64,47185.681,8907.70471,-15986.58,7.061,0.3307,-44.69,1,62,28.73,43.07,18.27,24.15,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-09-20
2001,BE,1_ENERGY,1B_FUGITIVE,392225600.71,210901.0346,8553.35046,-296783.94,6.879,0.6137,-32.55,0,95,36.33,52.65,10.05,10.71,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-08-24
2002,FI,1_ENERGY,1A1_ENERGY_INDUSTRIES,345592227.08,154433.3985,17524.0879,-547263.28,15.48,0.6086,-51.46,1,95,38.73,46.89,9.22,13.48,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-11-02
2003,LV,1_ENERGY,1A2_MANUFACTURING,173637689.77,78859.8775,6688.53804,-352034.59,11.883,0.0879,-56.91,0,82,44.97,11.87,19.0,10.75,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-02-10
2004,RO,1_ENERGY,1A3_TRANSPORT,97233388.18,10382.3162,7586.58716,-106405.95,17.474,0.2067,-60.59,1,106,43.24,8.76,5.52,15.56,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2026-02-12
2005,BG,1_ENERGY,1A4_BUILDINGS,26718055.89,1504.2486,1511.76064,-190695.98,17.554,0.5327,-50.39,1,81,40.17,18.59,8.2,17.66,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-06-08
2006,FR,1_ENERGY,1B_FUGITIVE,13952963.96,3273.3965,25.97753,-939239.97,14.023,0.0767,-32.39,1,64,39.2,14.2,32.69,4.09,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-07-25
2007,LT,1_ENERGY,1A1_ENERGY_INDUSTRIES,395837995.46,16043.1214,6683.67653,-769332.26,12.146,0.175,-48.89,1,90,25.72,21.36,31.96,21.89,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-08-28
2008,SK,1_ENERGY,1A2_MANUFACTURING,248561795.05,108574.8189,5424.1555,-22030.12,16.427,0.4036,-33.06,1,87,7.8,27.35,27.48,14.96,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-03-16
2009,HR,1_ENERGY,1A3_TRANSPORT,434002163.12,47086.7156,33956.74644,-662211.05,11.83,0.3245,-48.29,1,66,20.76,10.95,30.66,10.8,EEA_GHG_INVENTORY,IPCC_2006_GPG,2026-02-07
2010,DE,1_ENERGY,1A4_BUILDINGS,166160706.1,113243.8483,11054.40481,-158295.54,2.792,0.2571,-33.92,1,93,27.17,12.6,17.37,7.24,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-06-15
2011,LU,1_ENERGY,1B_FUGITIVE,77205081.06,32601.4188,2130.79832,-789872.72,3.269,0.5214,-48.84,1,83,12.03,48.94,29.24,23.84,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2026-01-29
2012,SI,1_ENERGY,1A1_ENERGY_INDUSTRIES,129771293.04,61265.9148,10245.98073,-429288.25,5.814,0.4116,-31.35,0,101,25.68,31.75,6.17,7.56,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-03-06
2013,CY,1_ENERGY,1A2_MANUFACTURING,46294214.09,1056.3513,1911.65011,-813869.79,4.956,0.5819,-57.01,1,112,7.71,42.41,8.4,5.78,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-09-13
2014,GR,1_ENERGY,1A3_TRANSPORT,340526937.38,209847.8758,9715.32876,-726463.16,8.329,0.2694,-53.18,1,100,38.83,37.89,22.79,8.46,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2026-02-06
2015,MT,1_ENERGY,1A4_BUILDINGS,232093255.52,33084.5826,1229.61977,-857177.01,10.325,0.5111,-44.72,1,100,9.78,15.69,15.15,23.87,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-04-02
2016,ES,1_ENERGY,1B_FUGITIVE,326029526.99,26503.1592,16180.7003,-344566.51,9.306,0.5375,-50.59,1,94,12.14,48.89,5.65,19.52,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2026-01-05
2017,CZ,1_ENERGY,1A1_ENERGY_INDUSTRIES,64832091.26,24529.5537,4524.36691,-34114.73,4.961,0.4008,-62.84,1,84,27.14,40.81,14.53,21.63,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-06-02
2018,HU,1_ENERGY,1A2_MANUFACTURING,331771961.51,123510.1892,3810.55137,-847046.02,3.876,0.6041,-39.22,1,97,38.7,9.79,15.85,16.22,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-06-27
2019,NL,1_ENERGY,1A3_TRANSPORT,270416396.97,22116.6397,2198.35839,-615302.57,9.455,0.1575,-30.36,1,75,34.75,37.35,24.83,14.89,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-08-12
2020,SE,1_ENERGY,1A4_BUILDINGS,282856684.23,195552.1135,16029.0697,-882505.99,15.375,0.215,-30.19,1,108,12.27,39.4,12.44,4.03,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-03-07
2021,DK,1_ENERGY,1B_FUGITIVE,18609617.31,379.378,1446.69231,-317420.47,5.47,0.0997,-46.12,0,122,42.41,44.0,38.1,2.69,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-08-16
2022,IE,1_ENERGY,1A1_ENERGY_INDUSTRIES,339931346.1,189734.0819,14687.12578,-355646.29,14.573,0.0892,-44.99,1,114,43.13,49.52,9.88,7.4,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-08-30
2023,PL,1_ENERGY,1A2_MANUFACTURING,333546061.81,168494.3459,19417.81816,-858601.7,2.736,0.3319,-43.15,1,100,33.56,49.0,26.49,15.74,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-10-31
2024,AT,1_ENERGY,1A3_TRANSPORT,115652283.84,52700.0884,9043.02997,-797440.64,7.7,0.0576,-44.02,1,94,18.38,29.14,6.5,17.4,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-06-27
2025,EE,1_ENERGY,1A4_BUILDINGS,247283929.86,69184.089,12131.26645,-92022.06,4.668,0.3922,-56.33,1,96,13.54,54.85,27.57,2.59,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2026-02-04
1995,IT,1_ENERGY,1B_FUGITIVE,97392287.69,55675.8879,1443.94593,-414478.04,5.038,0.1935,-34.81,1,108,27.8,6.8,17.13,12.65,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-05-18
1996,PT,1_ENERGY,1A1_ENERGY_INDUSTRIES,368530410.47,185018.7612,21578.78119,-989083.83,13.328,0.2055,-53.55,0,120,21.94,11.81,20.92,23.9,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-10-24
1997,BE,1_ENERGY,1A2_MANUFACTURING,25089849.09,17217.4102,1482.2306,-82805.39,4.0,0.2441,-53.03,0,85,27.55,29.7,5.02,2.35,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-03-03
1998,FI,1_ENERGY,1A3_TRANSPORT,20633619.39,12729.3436,1642.81528,-516775.91,17.858,0.47,-40.92,0,131,17.22,53.55,23.48,8.63,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-08-18
1999,LV,1_ENERGY,1A4_BUILDINGS,203634062.06,92756.9338,14804.12514,-61187.44,15.194,0.2171,-47.66,1,119,29.61,23.74,5.2,17.73,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-03-10
2000,RO,1_ENERGY,1B_FUGITIVE,53668823.35,2815.9924,294.94467,-870848.33,14.042,0.2902,-58.54,1,131,19.84,17.42,24.26,13.49,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-09-06
2001,BG,1_ENERGY,1A1_ENERGY_INDUSTRIES,500041727.41,98523.1361,12194.15812,-887086.68,6.665,0.0666,-52.26,0,128,22.51,23.18,30.44,9.39,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-05-15
2002,FR,1_ENERGY,1A2_MANUFACTURING,65503819.12,9982.5051,2159.98809,-443347.11,13.311,0.3614,-64.71,1,120,33.27,17.11,38.27,4.1,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-10-14
2003,LT,1_ENERGY,1A3_TRANSPORT,36356683.0,20743.3017,2100.601,-692558.63,10.24,0.1184,-53.84,1,97,7.77,52.62,17.3,5.36,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-09-12
2004,SK,1_ENERGY,1A4_BUILDINGS,446160903.28,191250.3647,5041.92702,-372350.08,11.793,0.3958,-64.56,0,125,30.05,53.73,26.67,5.27,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-10-28
2005,HR,1_ENERGY,1B_FUGITIVE,148512749.39,94806.964,11285.24342,-531715.33,4.554,0.1636,-43.22,1,96,40.7,8.01,36.56,5.98,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-10-04
2006,DE,1_ENERGY,1A1_ENERGY_INDUSTRIES,149941242.17,79098.9048,10801.63025,-254365.57,12.961,0.1314,-53.17,0,127,32.45,20.4,38.38,8.57,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-01-23
2007,LU,1_ENERGY,1A2_MANUFACTURING,548762116.69,296772.4917,12728.47287,-606950.32,9.807,0.5173,-30.37,1,94,31.63,45.16,21.33,2.7,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2026-01-04
2008,SI,1_ENERGY,1A3_TRANSPORT,29755678.08,17502.3087,198.55715,-592169.59,12.727,0.4124,-50.54,1,98,41.55,18.51,35.89,20.4,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-10-26
2009,CY,1_ENERGY,1A4_BUILDINGS,252209927.21,126772.9078,17894.2999,-412780.49,9.824,0.4315,-57.35,0,133,25.08,16.65,26.08,20.37,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-09-27
2010,GR,1_ENERGY,1B_FUGITIVE,271153808.28,95542.781,4941.14928,-52054.17,8.707,0.4836,-49.59,1,143,18.9,45.59,20.16,20.58,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-08-26
2011,MT,1_ENERGY,1A1_ENERGY_INDUSTRIES,326436597.42,54585.0571,2249.83983,-326456.64,7.254,0.3785,-48.24,1,125,15.55,45.27,32.18,6.96,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-02-18
2012,ES,1_ENERGY,1A2_MANUFACTURING,106782215.88,72452.7205,5403.92875,-171894.42,4.054,0.3068,-43.19,0,112,43.57,53.47,33.18,16.02,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-09-06
2013,CZ,1_ENERGY,1A3_TRANSPORT,154258613.56,64401.6312,9360.8794,-209988.21,6.948,0.5957,-64.24,1,112,19.88,40.11,24.72,18.8,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2026-02-20
2014,HU,1_ENERGY,1A4_BUILDINGS,279530683.38,16231.0752,20744.83271,-789688.01,2.684,0.4289,-62.37,1,122,36.13,14.22,22.49,20.68,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-11-21
2015,NL,1_ENERGY,1B_FUGITIVE,277909585.13,165359.244,20986.21799,-305932.71,6.218,0.602,-41.2,0,106,21.86,35.14,14.5,23.45,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-02-12
2016,SE,1_ENERGY,1A1_ENERGY_INDUSTRIES,126320749.07,76745.6739,9610.79832,-189857.91,5.586,0.431,-36.34,1,111,22.7,29.2,38.45,9.94,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-11-26
2017,DK,1_ENERGY,1A2_MANUFACTURING,22865391.35,6298.3712,218.44819,-840787.86,11.128,0.3715,-62.82,1,115,28.45,8.02,11.45,10.84,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-12-21
2018,IE,1_ENERGY,1A3_TRANSPORT,294073039.71,107490.5533,4648.32403,-560721.09,3.341,0.6011,-48.53,1,112,7.3,28.02,16.92,18.3,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-07-13
2019,PL,1_ENERGY,1A4_BUILDINGS,268531898.33,26075.2639,19092.3039,-644899.54,7.747,0.2859,-47.72,0,121,20.12,54.13,19.32,2.36,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-02-24
2020,AT,1_ENERGY,1B_FUGITIVE,197970546.91,107226.684,6046.17402,-252711.0,12.709,0.1819,-31.48,1,135,25.82,39.32,21.22,7.58,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-10-31
2021,EE,1_ENERGY,1A1_ENERGY_INDUSTRIES,393469284.92,152110.6127,17087.66937,-354996.51,7.983,0.3779,-64.53,1,110,26.64,51.22,22.04,24.27,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-10-01
2022,IT,1_ENERGY,1A2_MANUFACTURING,185763101.94,66673.5221,10635.69314,-448525.18,15.795,0.0645,-33.19,1,130,30.05,24.52,11.84,5.77,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-03-02
2023,PT,1_ENERGY,1A3_TRANSPORT,390946687.98,244988.6611,27251.76198,-123633.69,15.17,0.3871,-43.06,1,154,11.29,26.1,28.8,10.71,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-06-24
