demo_popproj_projection_year,demo_popproj_geography_geoid,demo_popproj_age_cohort_5yr,demo_popproj_sex_at_birth,demo_popproj_race_ethnicity_group,demo_popproj_population_base_estimate,demo_popproj_population_projected_mid,demo_popproj_population_projected_low,demo_popproj_population_projected_high,demo_popproj_net_births_assumption,demo_popproj_net_deaths_assumption,demo_popproj_domestic_migration_assumption,demo_popproj_international_migration_assumption,demo_popproj_housing_units_baseline,demo_popproj_group_quarters_population,demo_popproj_cohort_survival_rate,demo_popproj_fertility_rate_assumption,demo_popproj_migration_rate_assumption,demo_popproj_release_vintage,demo_popproj_methodology_code
2043,03096,55-59,F,NH_NHPI,946022,1123419,1103115,1158818,15.26,17.09,-0.84,-3.43,953023,5615,0.9322,1.393,0.0062,2022,TREND_EXTRAP
2037,03097,70-74,F,NH_AI_AN,2414015,2603819,2508920,2648346,5.07,6.42,12.61,-3.82,1048572,10468,0.8815,1.53,0.0276,2024,HYBRID_SCEN
2034,03098,75-79,M,NH_White,598404,622906,598336,666376,2.21,2.56,-21.62,6.37,450670,10879,0.854,1.914,0.0231,2023,MICROSIM
2041,03099,35-39,F,NH_Asian,117341,132054,125692,139612,11.28,21.59,-14.14,1.73,657774,31955,0.9572,1.633,-0.0235,2025,COHORT_COMP
2042,03100,25-29,F,Hispanic,1713922,1777995,1736211,1839379,8.11,21.61,-1.87,7.19,785383,51996,0.853,2.213,-0.014,2023,MICROSIM
2021,03101,35-39,F,NH_Asian,170434,174571,165246,184940,7.96,9.56,5.21,19.9,74270,13078,0.995,2.06,0.02,2025,COHORT_COMP
2050,03102,5-9,F,NH_AI_AN,1632234,1716594,1671982,1803859,9.72,2.51,-8.04,15.77,836501,54775,0.883,1.321,0.0195,2025,HYBRID_SCEN
2046,03103,85+,F,NH_AI_AN,1135770,1185925,1164724,1253995,6.82,16.55,-10.08,-9.77,952932,4590,0.9489,1.949,-0.0135,2019,HYBRID_SCEN
2029,03104,50-54,M,NH_AI_AN,237568,260079,247445,275400,11.46,18.62,-22.93,-8.48,265599,54100,0.9148,1.336,0.0138,2023,TREND_EXTRAP
2021,03105,80-84,F,NH_Asian,830788,858915,844589,871870,1.03,4.5,-23.37,8.3,907110,10910,0.8589,1.506,0.0103,2022,MICROSIM
2045,03106,45-49,M,NH_AI_AN,2199059,2364224,2226309,2476237,17.47,4.71,-11.07,8.79,733377,44895,0.9204,1.413,-0.0016,2024,TREND_EXTRAP
2036,03107,5-9,M,NH_White,1604743,1870644,1843780,1890112,16.68,18.44,1.53,16.35,565010,31976,0.927,1.408,-0.0179,2025,HYBRID_SCEN
2027,03108,5-9,M,NH_AI_AN,851661,917518,867896,929085,16.87,20.44,2.82,8.87,982854,21574,0.9773,1.94,0.0233,2023,MICROSIM
2020,03109,25-29,M,NH_Black,1285576,1492559,1451197,1588439,6.89,17.82,-0.3,-3.17,555185,40652,0.9591,1.876,0.0107,2023,COHORT_COMP
2028,03110,80-84,F,NH_Multiracial,579141,661450,630033,689001,9.81,6.01,-4.51,4.06,928426,22716,0.8618,1.411,-0.0199,2020,TREND_EXTRAP
2030,03111,55-59,M,NH_Asian,705856,780339,766158,822597,17.2,10.23,-12.39,14.27,888568,33430,0.8812,2.388,0.0123,2020,HYBRID_SCEN
2041,03112,20-24,M,NH_Black,1849539,1939705,1873008,2056688,16.29,14.02,-4.97,17.68,458896,8199,0.8965,1.706,0.0145,2024,COHORT_COMP
2035,03113,5-9,F,NH_AI_AN,1639346,1856445,1757611,1980780,14.33,5.21,-18.06,-2.89,124135,55627,0.8673,1.316,0.0232,2025,HYBRID_SCEN
2026,03114,40-44,F,NH_White,37183,39228,37994,41666,7.63,6.21,-19.24,6.19,16229,52239,0.9181,1.345,-0.0166,2020,COHORT_COMP
2048,03115,5-9,F,Hispanic,2215449,2370263,2276386,2462700,10.38,7.66,-10.0,-5.23,243733,53913,0.9967,1.901,0.0293,2021,TREND_EXTRAP
2029,03116,65-69,M,NH_NHPI,1459910,1591027,1548184,1639009,14.38,12.19,24.77,4.91,470458,33436,0.9267,2.375,-0.0208,2020,COHORT_COMP
2042,03117,70-74,F,NH_Multiracial,325434,348109,342572,354816,5.28,12.22,-8.68,-7.3,510053,27740,0.9605,1.886,0.006,2021,MICROSIM
2045,03118,5-9,F,NH_NHPI,1802966,1851256,1778074,1914234,11.46,18.29,21.82,18.25,613207,9477,0.9518,2.339,0.0094,2024,COHORT_COMP
2022,03119,85+,M,NH_AI_AN,2383365,2331822,2225710,2406416,14.99,17.06,-5.39,9.14,88699,52772,0.9766,1.733,-0.0049,2021,HYBRID_SCEN
2037,03120,55-59,F,NH_Multiracial,798083,899876,846536,939087,12.88,20.27,-3.05,15.63,625871,160,0.8821,1.723,-0.0015,2024,COHORT_COMP
2044,03121,30-34,F,NH_Multiracial,464810,513252,497208,538878,8.89,18.66,14.85,19.95,1187975,43358,0.9623,1.8,0.0235,2022,TREND_EXTRAP
2043,03122,75-79,F,NH_White,1239322,1198131,1150342,1280442,10.73,7.08,-20.32,-4.52,441198,44205,0.9813,2.037,0.0087,2020,HYBRID_SCEN
2032,03123,10-14,F,NH_Multiracial,557742,571793,548196,602500,17.8,8.63,-15.88,10.82,215016,6460,0.8756,1.641,-0.0002,2023,HYBRID_SCEN
2047,03124,70-74,M,NH_Asian,768723,830792,788543,871189,11.03,12.01,23.69,16.61,809345,16401,0.9017,2.237,-0.0223,2025,HYBRID_SCEN
2045,03125,70-74,F,NH_Black,109873,120481,115842,124108,14.25,2.29,0.3,7.28,790496,35301,0.9945,1.235,-0.0296,2019,HYBRID_SCEN
2026,03126,30-34,F,NH_Black,559488,547678,541775,554288,13.22,20.08,-22.78,9.19,641689,22894,0.9663,1.728,-0.0225,2025,MICROSIM
2044,03127,35-39,M,NH_Black,1011040,1076399,1027840,1105771,12.78,2.89,-22.63,2.23,72446,37214,0.8921,1.813,0.0274,2023,HYBRID_SCEN
2023,03128,30-34,F,NH_Asian,1172804,1292874,1254068,1365413,13.04,8.45,20.36,10.24,949066,59919,0.934,1.928,0.0158,2020,HYBRID_SCEN
2032,03129,10-14,M,NH_NHPI,2034148,2133636,2088454,2181250,8.45,13.38,18.67,1.87,294724,45927,0.9102,1.531,0.028,2023,HYBRID_SCEN
2039,03130,85+,F,NH_White,1644409,1784758,1744525,1878870,8.8,12.36,-2.08,4.3,41484,38322,0.923,1.713,-0.0279,2020,TREND_EXTRAP
2020,03131,30-34,M,NH_Multiracial,1480134,1540444,1473340,1609435,8.69,15.09,-16.84,-6.91,211194,48036,0.9029,1.781,0.0108,2025,TREND_EXTRAP
2027,03132,20-24,M,NH_Asian,914924,1028879,998571,1049776,1.08,12.55,16.51,-9.77,648044,43277,0.8916,2.024,-0.0273,2020,HYBRID_SCEN
2033,03133,60-64,M,NH_Black,866991,886101,871536,908871,4.72,6.58,-8.77,-8.35,1104053,2918,0.9505,2.128,0.0169,2023,MICROSIM
2035,03134,5-9,M,NH_AI_AN,1575245,1577568,1484132,1640320,3.2,6.02,-4.05,-4.22,1064092,46147,0.966,2.085,-0.0071,2021,COHORT_COMP
2033,03135,85+,F,Hispanic,1999617,2143060,2061166,2218286,16.01,20.14,9.12,3.7,942167,25629,0.9802,1.61,-0.0243,2022,MICROSIM
2031,03136,15-19,M,NH_Multiracial,919634,904909,860761,956229,5.31,7.28,-7.33,-9.37,674648,16699,0.8731,2.399,0.0041,2022,HYBRID_SCEN
2038,03137,15-19,F,NH_Asian,1856297,1751775,1680708,1846483,2.92,7.62,6.43,-5.32,393200,46900,0.9726,2.218,-0.0132,2022,HYBRID_SCEN
2042,03138,35-39,M,NH_Asian,1437303,1631373,1567422,1703927,2.6,10.26,19.26,13.44,366908,53984,0.888,1.512,0.0096,2022,MICROSIM
2034,03139,50-54,M,NH_White,2185711,2209636,2159551,2340748,12.75,4.79,14.87,12.86,1015049,51363,0.9137,1.434,0.0095,2019,HYBRID_SCEN
2047,03140,0-4,M,NH_White,442636,438201,413964,457376,0.61,12.15,-5.92,13.69,185021,7069,0.9843,1.577,0.0123,2024,COHORT_COMP
2021,03141,40-44,F,NH_Asian,1682752,1718585,1659515,1835213,8.75,15.3,-10.6,17.65,109996,41279,0.9177,1.743,0.0295,2020,TREND_EXTRAP
2021,03142,25-29,M,NH_Black,2295955,2338661,2264314,2392528,2.58,17.72,-10.72,-6.43,1148203,54285,0.8794,2.221,-0.0068,2019,COHORT_COMP
2042,03143,15-19,F,Hispanic,511662,543115,523947,571817,15.37,16.23,-7.57,-5.11,996670,39190,0.8738,2.134,-0.0021,2022,COHORT_COMP
2050,03144,25-29,F,NH_Multiracial,2426777,2437432,2380380,2515909,17.27,4.95,-0.32,0.01,981260,4527,0.9205,2.221,0.0183,2022,COHORT_COMP
2041,03145,60-64,F,NH_White,907883,998572,957819,1025271,17.28,11.12,-4.17,17.45,342879,19099,0.9636,1.526,0.0047,2025,MICROSIM
2038,03146,40-44,F,NH_Multiracial,1131048,1254076,1238084,1280189,8.23,2.77,-18.35,13.26,613343,57977,0.9986,1.912,-0.0278,2023,MICROSIM
2044,03147,65-69,F,NH_Black,1386705,1377692,1328219,1437139,11.78,2.36,-16.83,-0.28,676260,15622,0.9673,1.54,0.0206,2022,COHORT_COMP
2045,03148,55-59,F,NH_Multiracial,2279542,2354571,2280544,2408556,10.99,10.8,-7.85,-7.37,814265,26281,0.9807,1.331,-0.0269,2020,MICROSIM
2050,03149,15-19,F,NH_AI_AN,947936,984542,966107,1006222,6.63,7.06,3.1,8.49,1048692,39433,0.9614,2.021,-0.0198,2025,HYBRID_SCEN
2049,03150,35-39,F,NH_White,1318121,1397339,1332728,1494358,8.27,15.67,4.63,-2.3,117158,39875,0.9834,1.372,-0.0239,2022,TREND_EXTRAP
2048,03151,80-84,F,NH_Black,2215125,2514080,2372688,2660160,1.63,16.48,-0.69,5.93,237697,15531,0.8614,2.001,-0.0253,2022,MICROSIM
2041,03152,20-24,M,NH_Black,2368393,2696223,2629866,2844236,14.42,19.91,11.94,18.25,810687,5132,0.9886,1.978,-0.0285,2019,MICROSIM
2045,03153,10-14,M,Hispanic,1440851,1757740,1694726,1859062,4.71,17.21,11.86,7.18,412058,29396,0.9091,2.172,-0.0267,2020,COHORT_COMP
2045,03154,15-19,M,Hispanic,1572336,1468306,1446024,1568349,8.56,2.96,-3.62,17.72,451690,58016,0.9873,1.367,-0.0035,2021,TREND_EXTRAP
2041,03155,35-39,M,NH_AI_AN,1899417,1927038,1906098,2012591,8.91,9.43,-18.78,1.79,668733,43239,0.8613,2.14,-0.0148,2023,HYBRID_SCEN
2036,03156,75-79,M,NH_Black,859323,1013004,972438,1036520,10.31,7.46,1.51,9.0,531513,41430,0.9566,2.399,-0.0224,2021,HYBRID_SCEN
2039,03157,50-54,F,NH_NHPI,740074,711920,683992,755868,14.81,9.72,-5.93,16.82,539341,27807,0.9596,2.221,0.0095,2024,TREND_EXTRAP
2029,03158,5-9,F,NH_Black,325937,383782,368583,404722,12.61,5.2,-18.1,7.64,226760,39550,0.9985,2.102,-0.0164,2019,HYBRID_SCEN
2025,03159,35-39,F,Hispanic,1817260,1960534,1874716,2028875,12.1,3.95,24.09,8.45,404742,51759,0.9646,1.995,-0.0289,2022,TREND_EXTRAP
2034,03160,30-34,F,NH_NHPI,2091513,2261025,2213734,2347880,9.72,12.42,-6.51,11.49,396879,52484,0.907,1.706,-0.0049,2023,COHORT_COMP
2041,03161,0-4,F,NH_White,2254529,2239225,2189849,2316870,2.18,16.41,6.29,16.46,884768,27196,0.933,2.077,-0.0114,2024,HYBRID_SCEN
2030,03162,5-9,F,NH_White,1797501,1874668,1807052,1998014,7.54,16.04,-0.49,-7.35,647784,15993,0.9046,2.069,-0.0109,2024,HYBRID_SCEN
2047,03163,60-64,F,NH_Multiracial,873334,1026029,966758,1057437,17.25,11.02,-17.86,0.11,1030396,53849,0.8792,1.958,-0.0033,2020,TREND_EXTRAP
2024,03164,50-54,M,NH_Asian,1849587,1973766,1885889,2107605,17.92,12.45,-22.22,1.93,538563,25958,0.887,2.156,0.0101,2023,HYBRID_SCEN
2020,03165,10-14,M,Hispanic,443566,462785,441781,492688,13.28,12.33,6.29,17.29,880877,47358,0.8831,1.739,0.007,2024,MICROSIM
2027,03166,5-9,M,NH_Asian,2432575,2662071,2610305,2789401,4.48,15.83,-12.65,18.68,305659,39513,0.9318,1.346,0.0262,2019,COHORT_COMP
2040,03167,75-79,M,NH_NHPI,620196,656456,619943,685858,2.28,2.96,-12.82,-6.39,1152021,38402,0.985,1.871,0.0011,2022,HYBRID_SCEN
2047,03168,0-4,F,Hispanic,1693970,1847628,1811199,1907131,7.76,16.2,22.85,-6.43,16210,45335,0.986,1.518,-0.0016,2019,HYBRID_SCEN
2031,03169,30-34,F,NH_AI_AN,120562,122854,119593,124217,15.49,13.64,-1.91,18.05,197705,39028,0.8582,1.661,-0.0172,2025,HYBRID_SCEN
2031,03170,10-14,F,NH_Black,1368241,1457684,1423606,1483422,13.13,5.96,-23.53,-1.13,368892,14945,0.8619,1.221,0.0153,2024,TREND_EXTRAP
2024,03171,75-79,M,NH_AI_AN,1032999,1065575,1024668,1124452,15.97,2.98,-8.01,-2.75,299659,17569,0.8865,1.659,-0.0216,2020,COHORT_COMP
2026,03172,25-29,F,NH_NHPI,1864945,1793633,1746973,1862315,11.28,4.17,4.22,-8.93,948234,23379,0.888,2.171,-0.0005,2021,COHORT_COMP
2023,03173,65-69,F,Hispanic,2331848,2562508,2486789,2611170,2.78,12.49,-8.57,-1.73,496976,59254,0.8641,1.851,-0.0047,2022,HYBRID_SCEN
2025,03174,50-54,F,NH_NHPI,208109,207271,202804,212626,2.51,17.17,-23.66,10.81,880071,38877,0.9079,1.212,0.0095,2022,HYBRID_SCEN
2032,03175,0-4,M,NH_Black,2013255,2134282,2053901,2277001,1.34,8.69,-2.78,2.78,604754,22825,0.9376,1.764,0.0251,2019,TREND_EXTRAP
2039,03176,60-64,F,NH_White,283506,319104,307501,329324,10.42,9.58,-19.7,5.51,617922,915,0.9361,1.55,0.0268,2019,COHORT_COMP
2049,03177,40-44,M,NH_White,2371465,2324346,2259679,2474175,4.75,20.68,5.96,17.52,540418,23848,0.931,1.773,-0.0199,2019,MICROSIM
2034,03178,50-54,M,NH_NHPI,1851424,2048195,1936371,2106114,13.35,6.26,5.98,-6.56,917314,50769,0.9005,1.686,-0.0143,2024,HYBRID_SCEN
2022,03179,0-4,M,NH_Asian,2370674,2493975,2398735,2600201,12.51,4.07,-23.11,-7.86,686542,13669,0.9553,2.318,0.0187,2022,MICROSIM
2042,03180,60-64,M,Hispanic,1614599,1633988,1615356,1652335,6.07,8.87,-10.47,15.56,5578,9875,0.9731,1.249,0.0011,2019,MICROSIM
2027,03181,0-4,F,Hispanic,2378727,2833956,2669239,2951033,3.59,16.92,-4.32,13.25,833034,14853,0.9016,2.02,-0.0028,2025,COHORT_COMP
2039,03182,10-14,M,NH_White,1141952,1221850,1167844,1280763,2.29,14.52,2.51,-2.09,957145,2425,0.8627,2.221,0.0126,2023,MICROSIM
2035,03183,80-84,M,NH_Multiracial,1356756,1405483,1343227,1439296,13.4,10.32,-10.2,-0.27,1128488,32440,0.8942,2.351,0.0061,2024,HYBRID_SCEN
2032,03184,20-24,F,NH_AI_AN,1231296,1259846,1224158,1316206,8.38,21.3,-10.61,-0.69,651555,33193,0.8705,1.413,0.0282,2024,HYBRID_SCEN
2037,03185,25-29,F,NH_Multiracial,114436,128496,121465,134770,6.16,16.7,24.15,9.43,992619,34555,0.9196,1.838,0.005,2023,TREND_EXTRAP
2047,03186,80-84,M,NH_Black,16779,17337,16841,18224,15.49,3.24,-22.91,-8.16,905316,35352,0.8732,1.252,-0.002,2023,COHORT_COMP
2029,03187,45-49,F,NH_AI_AN,1120462,1249753,1180706,1320469,10.89,16.89,24.45,4.68,93304,37416,0.919,1.799,0.0026,2024,COHORT_COMP
2049,03188,50-54,M,NH_AI_AN,86624,92674,87553,95331,9.57,2.48,-22.61,-5.98,809397,16552,0.8829,1.351,0.0185,2022,MICROSIM
2038,03189,60-64,M,NH_NHPI,1416970,1611054,1573047,1682047,13.51,15.01,-10.58,14.59,714613,33282,0.9601,2.205,0.0068,2019,HYBRID_SCEN
2036,03190,45-49,M,NH_White,1912993,1927240,1842839,2060016,14.77,6.21,-0.32,1.42,489754,36203,0.8541,1.337,0.0088,2025,HYBRID_SCEN
2043,03191,65-69,M,NH_Multiracial,2433851,2472345,2444830,2630299,12.51,15.93,-17.84,5.83,416612,37293,0.9327,1.816,0.0283,2020,TREND_EXTRAP
2050,03192,60-64,F,NH_Multiracial,2189563,2305915,2171866,2460780,8.2,8.2,-18.26,-9.12,1195316,19000,0.8753,1.825,0.0071,2019,MICROSIM
2038,03193,15-19,M,NH_White,994478,1052273,1012555,1087174,7.14,19.46,-12.18,-8.25,1143161,30802,0.8501,2.366,-0.0072,2022,HYBRID_SCEN
2047,03194,80-84,F,NH_Multiracial,447744,469561,444043,496427,14.0,8.74,23.68,10.25,364993,10569,0.9795,1.986,0.0115,2023,COHORT_COMP
2045,03195,85+,F,NH_White,1270170,1559624,1493447,1633228,9.56,14.39,-5.99,13.0,651006,25266,0.9501,1.545,0.0096,2022,TREND_EXTRAP
2042,03196,50-54,F,NH_NHPI,2473688,2953075,2923281,2997265,12.83,7.72,3.3,11.3,334926,3204,0.8647,1.489,-0.0292,2019,COHORT_COMP
2045,03197,45-49,F,NH_Asian,2058212,2239217,2204379,2372313,16.08,20.34,10.21,12.11,135458,7765,0.9489,1.354,-0.002,2025,TREND_EXTRAP
2024,03198,85+,M,NH_AI_AN,238223,260858,245836,274064,16.53,17.62,12.11,-6.86,370501,10696,0.9411,2.108,0.0146,2022,COHORT_COMP
2045,03199,40-44,F,NH_NHPI,1460400,1541910,1492819,1575731,5.36,6.87,9.4,10.8,595992,24928,0.9205,2.029,-0.0001,2020,MICROSIM
2040,03200,20-24,M,Hispanic,839427,845311,821972,857808,3.79,20.98,-8.15,-4.55,1159536,48910,0.9125,1.932,0.0168,2022,HYBRID_SCEN
2049,04001,0-4,F,NH_Black,83306,88227,83857,93540,5.07,9.14,-19.41,-7.06,1031506,14679,0.9822,1.249,-0.0029,2021,COHORT_COMP
2042,04002,20-24,F,NH_Asian,1279173,1427898,1352583,1448936,13.65,15.04,-10.91,12.71,1039113,33885,0.8865,2.115,0.029,2022,MICROSIM
2050,04003,10-14,M,Hispanic,974834,1119438,1102891,1136768,6.98,16.86,-14.49,16.68,703871,34173,0.9093,1.97,-0.0124,2019,COHORT_COMP
2028,04004,0-4,M,NH_AI_AN,992644,1121432,1108469,1161404,3.53,2.46,-18.19,11.5,1055163,44899,0.899,2.357,-0.0245,2021,MICROSIM
2031,04005,25-29,M,NH_Multiracial,2295130,2247881,2224490,2288540,2.22,21.18,-23.78,14.17,548882,47865,0.9649,1.905,-0.0042,2023,TREND_EXTRAP
2040,04006,45-49,F,NH_White,1738960,1830509,1792961,1949162,6.23,8.89,21.79,19.73,339171,38182,0.9866,1.565,0.0025,2019,MICROSIM
2020,04007,20-24,F,NH_AI_AN,490209,481320,468408,499714,2.88,5.8,21.05,-5.96,373454,39109,0.9766,1.658,-0.0091,2024,COHORT_COMP
2045,04008,55-59,M,NH_NHPI,1738321,1981912,1897257,2069411,3.24,19.01,-22.48,18.95,947797,4174,0.9689,1.411,-0.0155,2020,HYBRID_SCEN
2045,04009,55-59,M,NH_Black,438085,457911,434360,487989,12.47,16.06,-16.35,8.04,187908,17061,0.997,2.067,0.0103,2022,TREND_EXTRAP
2020,04010,80-84,M,NH_NHPI,2455198,2620121,2473260,2729683,0.85,3.73,-18.02,14.4,461562,41510,0.9539,2.049,-0.0074,2022,TREND_EXTRAP
2034,04011,5-9,M,NH_Asian,817608,898390,875629,926433,2.56,4.34,-10.94,9.51,35441,25395,0.9619,1.441,0.0079,2019,MICROSIM
2021,04012,65-69,F,NH_Asian,851025,1051840,1029999,1112667,15.28,16.3,-14.8,7.1,1077113,213,0.9964,1.39,0.0167,2022,COHORT_COMP
2049,04013,55-59,M,NH_Black,1490056,1618344,1588117,1677528,15.29,3.5,22.29,11.11,887624,34434,0.851,1.292,0.0157,2022,MICROSIM
2041,04014,60-64,M,Hispanic,2279523,2406500,2372058,2476548,6.26,20.34,-20.79,-0.39,951762,13276,0.9445,2.294,-0.0075,2023,TREND_EXTRAP
2035,04015,20-24,M,Hispanic,2439210,2428324,2389462,2557981,2.04,16.83,-14.42,17.73,469179,9085,0.9601,1.48,0.0041,2022,HYBRID_SCEN
2044,04016,20-24,M,NH_Asian,499012,577615,571831,611172,12.84,8.71,-20.96,-6.54,57650,53406,0.9868,1.613,-0.003,2022,MICROSIM
2027,04017,80-84,F,NH_Asian,767942,813328,774453,860096,6.8,9.26,24.02,-0.46,969463,45036,0.9817,1.537,0.0222,2023,COHORT_COMP
2032,04018,20-24,M,NH_Multiracial,475778,556388,544239,594589,1.3,12.13,20.92,-9.07,1108305,28481,0.9755,1.696,0.0227,2024,MICROSIM
2040,04019,15-19,F,NH_White,1930940,2194198,2126886,2319706,3.26,9.22,10.83,-1.86,817966,51938,0.9909,2.057,-0.0094,2022,MICROSIM
2020,04020,30-34,M,NH_Multiracial,2391719,2492703,2375701,2632782,2.9,17.67,-3.7,-3.45,587940,31276,0.9301,2.245,-0.0245,2024,MICROSIM
2035,04021,80-84,M,NH_Multiracial,380093,374947,370858,397987,10.81,21.49,-15.49,-8.51,771936,59592,0.851,1.419,-0.0199,2023,HYBRID_SCEN
2048,04022,50-54,F,Hispanic,495455,538239,530108,543627,16.22,13.69,-13.93,4.75,893650,24597,0.8516,2.024,-0.008,2020,COHORT_COMP
2026,04023,25-29,M,NH_Black,1285074,1327617,1256490,1369763,14.38,10.92,-2.85,4.06,325462,22244,0.9312,1.623,0.0039,2022,COHORT_COMP
2050,04024,60-64,F,Hispanic,1520680,1630717,1535006,1719193,10.06,6.46,13.41,-7.67,1134039,30601,0.9149,2.377,0.0094,2019,TREND_EXTRAP
2024,04025,55-59,F,NH_White,1883082,2133424,2078843,2231525,7.89,15.07,-11.76,-2.14,126975,34029,0.9172,1.559,-0.0101,2021,TREND_EXTRAP
2041,04026,20-24,M,NH_NHPI,1485683,1442278,1399307,1472067,11.33,15.71,-9.46,18.6,1097993,50324,0.9097,1.209,0.01,2020,MICROSIM
2048,04027,45-49,F,NH_Asian,646545,702068,692794,721883,8.27,15.7,5.0,-6.68,948843,21264,0.9867,1.819,0.0263,2022,TREND_EXTRAP
2042,04028,50-54,F,NH_Asian,1627028,1815073,1727405,1869901,4.81,2.54,-13.11,-0.85,740890,13890,0.9035,1.381,0.0091,2019,COHORT_COMP
2022,04029,40-44,F,NH_White,1902892,2128359,2009637,2222155,12.39,19.98,4.21,-8.92,1117293,51206,0.9776,1.253,-0.0205,2021,MICROSIM
2031,04030,60-64,F,NH_Multiracial,1345705,1329808,1267254,1409458,15.78,8.76,-5.64,-5.53,1192633,46312,0.9845,2.038,0.0048,2023,TREND_EXTRAP
2045,04031,10-14,F,NH_Black,1308514,1433032,1348406,1527539,7.03,16.88,-23.28,10.98,1103516,42852,0.9244,2.079,0.0025,2022,HYBRID_SCEN
2035,04032,80-84,F,NH_Asian,2248180,2567898,2418432,2709146,15.23,17.2,-4.86,1.0,625607,47907,0.9166,1.753,0.0222,2025,TREND_EXTRAP
2038,04033,85+,F,NH_AI_AN,468511,510955,503670,541907,8.04,15.01,20.98,3.56,726192,51967,0.9634,2.012,-0.009,2024,HYBRID_SCEN
2024,04034,20-24,F,NH_Multiracial,2395350,2546396,2438430,2643682,7.52,9.9,-10.34,-5.29,538438,21058,0.9555,1.846,-0.0046,2024,TREND_EXTRAP
2041,04035,75-79,M,NH_Asian,747260,850663,817096,879063,1.0,14.17,-8.86,10.46,458058,16121,0.899,1.956,0.0059,2023,COHORT_COMP
2044,04036,75-79,M,NH_AI_AN,299283,307764,289580,318093,12.67,2.8,-21.7,12.55,1116054,37964,0.8653,1.916,0.0015,2020,TREND_EXTRAP
2048,04037,50-54,F,NH_White,1138113,1113313,1061572,1165596,14.63,17.24,5.75,-4.57,38688,37352,0.8895,1.999,0.0131,2024,HYBRID_SCEN
2033,04038,15-19,M,NH_White,2115726,2238362,2194123,2277430,12.11,3.99,17.46,-8.65,298621,5021,0.8695,1.44,-0.0276,2021,HYBRID_SCEN
2047,04039,40-44,F,NH_Multiracial,1341183,1478121,1434922,1544295,3.15,9.94,-7.35,-7.57,776634,22614,0.8939,1.522,0.0038,2024,TREND_EXTRAP
2024,04040,70-74,F,NH_Asian,1800798,2039108,1993613,2140875,2.31,4.07,-12.99,9.71,201944,59131,0.889,1.728,-0.0227,2025,MICROSIM
2034,04041,55-59,M,Hispanic,2113713,2328952,2241291,2413573,10.53,18.74,22.83,-5.93,1119897,42950,0.945,1.735,-0.0111,2025,HYBRID_SCEN
2036,04042,75-79,F,NH_AI_AN,453722,508236,485612,542384,7.53,13.01,12.25,4.82,486310,45277,0.9922,2.129,0.0097,2021,COHORT_COMP
2049,04043,15-19,F,NH_Black,2089118,2366382,2281524,2476401,8.01,15.82,3.36,-5.42,336434,43420,0.9522,1.641,-0.0206,2024,TREND_EXTRAP
2033,04044,10-14,F,NH_Asian,638290,669973,640597,685516,17.44,15.65,-9.72,-4.9,109977,2631,0.9881,1.395,-0.0115,2023,HYBRID_SCEN
2049,04045,15-19,F,NH_Black,1334020,1415560,1390007,1470417,13.17,18.83,-13.96,-9.87,974014,6345,0.9668,1.502,0.0122,2023,TREND_EXTRAP
2039,04046,5-9,M,NH_Asian,207048,237531,226814,249532,7.71,4.65,10.79,-0.38,414726,40864,0.9585,1.458,0.009,2024,TREND_EXTRAP
2024,04047,30-34,F,Hispanic,1511752,1507807,1467078,1552163,0.83,15.19,1.09,-7.31,342997,47674,0.9117,2.078,-0.0245,2025,MICROSIM
2031,04048,5-9,F,Hispanic,451483,494711,468416,502022,1.1,13.5,1.03,1.82,853890,26844,0.8984,1.764,0.0046,2020,TREND_EXTRAP
2035,04049,0-4,F,NH_Multiracial,1863562,1913873,1864769,2000009,12.48,2.62,-21.31,7.93,717132,6300,0.9761,2.05,-0.0212,2019,TREND_EXTRAP
2045,04050,85+,M,NH_Multiracial,1729504,1964743,1936578,2096129,15.16,6.03,0.61,1.03,856032,56500,0.9849,1.699,-0.0149,2025,TREND_EXTRAP
2045,04051,35-39,F,Hispanic,1926118,2058873,1997990,2139383,12.88,7.35,16.14,11.15,222784,38612,0.9173,2.268,-0.0024,2024,COHORT_COMP
2035,04052,35-39,M,NH_NHPI,1381673,1479019,1431679,1574218,7.6,3.45,22.34,12.24,236014,18560,0.8514,2.38,-0.0234,2025,TREND_EXTRAP
2040,04053,45-49,M,Hispanic,2468260,2897077,2862474,3071195,1.04,9.09,-19.67,10.9,116307,5362,0.9681,2.004,0.0296,2025,COHORT_COMP
2026,04054,85+,F,NH_White,217814,218998,212728,223124,17.43,2.54,6.56,18.1,916100,8097,0.8925,2.237,-0.0201,2022,TREND_EXTRAP
2023,04055,50-54,F,NH_White,1534590,1661882,1583736,1749114,17.76,13.06,3.42,-2.88,503045,5599,0.8515,1.81,0.0169,2019,MICROSIM
2020,04056,0-4,M,NH_NHPI,2252107,2385414,2277162,2471594,10.11,6.23,19.52,-4.32,636924,25452,0.9699,2.322,0.0198,2025,MICROSIM
2049,04057,30-34,F,NH_AI_AN,749192,825568,805147,846219,1.74,7.74,12.56,8.29,293475,47373,0.9271,2.198,0.0297,2024,HYBRID_SCEN
2049,04058,35-39,M,NH_Black,2383462,2826213,2760565,2970961,9.97,20.21,23.26,7.85,324104,4258,0.9521,2.39,-0.0043,2025,TREND_EXTRAP
