health_mch_birth_cohort_year,health_mch_prenatal_visit_adequacy_index,health_mch_maternal_mortality_ratio,health_mch_severe_maternal_morbidity_rate,health_mch_preterm_birth_rate,health_mch_low_birthweight_rate,health_mch_breastfeeding_initiation_rate,health_mch_breastfeeding_6mo_rate,health_mch_postpartum_care_rate,health_mch_infant_sleep_safe_rate,health_mch_immunization_series_completion,health_mch_well_child_visit_rate,health_mch_teen_birth_rate,health_mch_fertility_rate_age_specific,health_mch_nicu_admission_rate,health_mch_postnatal_depression_screen_rate,health_mch_substance_exposure_flag_rate,health_mch_doula_support_rate,health_mch_pmjay_eligibility_category,health_mch_home_visiting_program_uptake
2017,5.44,55.89,1.799,10.14,10.53,38.84,47.93,29.42,17.98,97.29,22.58,19.24,177.06,23.78,24.29,8.71,6.37,NotEligible,48.66
2014,7.9,344.99,4.675,2.43,21.29,88.16,43.79,66.92,18.97,51.58,23.72,14.36,73.31,5.49,62.36,6.86,6.05,SECC_Eligible,32.4
2020,0.01,267.92,3.807,4.29,26.47,79.43,11.94,27.09,72.52,41.38,16.01,20.89,208.51,14.07,82.17,2.29,24.89,SECC_Eligible,22.51
2014,0.88,263.41,1.851,10.3,25.14,20.37,19.02,78.82,94.07,34.55,36.48,32.47,189.01,15.19,85.23,0.05,20.81,SECC_Eligible,72.51
2018,0.68,85.67,1.311,17.54,25.54,96.27,84.87,94.31,61.74,30.19,16.44,19.11,39.22,4.74,44.4,5.88,0.26,Unknown,19.31
2025,0.19,142.55,5.55,14.53,23.91,72.57,57.42,94.91,33.37,75.44,22.41,15.33,4.49,18.6,89.78,5.55,13.06,SECC_Eligible,58.09
2015,4.64,276.0,1.509,5.83,22.47,37.57,59.87,69.34,63.68,42.72,70.71,21.69,37.87,19.77,82.72,1.31,3.64,SECC_Eligible,45.56
2025,8.21,21.44,5.435,14.71,17.74,78.58,7.54,28.94,57.81,44.66,68.91,27.22,144.03,2.68,63.38,8.16,7.68,PMJAY_OtherEligible,8.22
2015,1.89,133.15,5.374,11.42,13.13,53.47,10.45,79.2,54.24,91.76,41.56,22.52,197.53,24.87,83.09,11.23,29.84,SECC_Eligible,12.1
2025,4.4,22.17,2.038,6.36,19.63,87.76,20.84,46.06,37.77,73.3,50.46,24.33,59.51,19.77,66.76,9.45,8.67,NotEligible,16.99
2014,0.53,264.96,4.08,8.46,22.87,34.98,8.66,47.95,22.33,13.22,89.56,16.83,155.48,0.4,71.43,4.45,26.87,NotEligible,9.67
2025,0.03,313.17,5.048,2.59,9.37,39.94,35.13,51.95,54.54,88.19,86.01,34.81,214.17,0.57,4.3,11.51,3.76,PMJAY_OtherEligible,7.64
2025,4.99,307.25,0.539,12.08,21.29,29.4,8.0,46.04,20.79,63.78,16.2,30.64,230.38,18.71,48.11,2.91,5.96,PMJAY_OtherEligible,15.23
2025,6.51,109.45,2.221,12.68,4.21,30.94,48.06,51.5,33.06,20.0,53.36,3.18,231.78,24.68,41.64,8.97,26.45,Unknown,54.91
2019,2.05,261.26,3.666,5.45,29.62,31.48,59.4,43.24,40.11,48.09,13.29,9.66,120.21,19.05,37.5,7.52,1.31,PMJAY_OtherEligible,1.4
2021,8.65,35.37,1.186,10.35,16.43,71.53,75.56,69.8,80.63,71.14,63.7,8.1,67.72,15.9,10.89,1.6,23.25,Unknown,30.97
2025,3.86,79.96,5.122,16.39,16.31,60.86,54.58,28.56,84.98,79.47,72.78,32.93,192.97,23.73,33.58,10.09,27.53,PMJAY_OtherEligible,9.8
2017,4.33,310.07,2.753,7.95,7.53,57.45,5.99,44.73,65.65,29.14,60.72,26.34,0.9,18.93,65.59,9.05,2.64,SECC_Eligible,59.5
2015,0.99,100.82,2.33,2.51,6.65,72.33,35.89,11.03,64.14,95.31,77.72,21.81,181.59,21.81,40.29,9.92,4.8,Unknown,78.05
2015,7.62,155.67,0.707,9.23,8.18,89.25,23.62,13.49,87.46,31.9,16.45,15.12,39.94,22.03,85.4,0.92,3.22,NotEligible,42.0
2018,6.88,144.97,3.95,9.8,26.07,70.62,69.5,87.97,89.1,47.37,79.25,8.56,151.48,23.38,89.01,5.41,26.69,Unknown,35.69
2015,8.56,128.43,2.34,11.54,7.68,50.51,73.92,72.28,76.67,67.11,54.85,2.02,176.04,13.45,70.35,4.93,26.16,SECC_Eligible,29.12
2016,3.68,348.37,5.525,14.21,8.78,63.78,14.49,55.03,54.82,65.27,24.93,19.82,104.74,14.85,66.22,6.4,12.71,PMJAY_OtherEligible,57.57
2025,4.95,85.43,5.613,8.11,18.99,31.1,68.14,19.17,55.22,12.45,23.8,15.97,32.22,3.69,17.08,9.71,4.41,PMJAY_OtherEligible,46.84
2015,4.67,252.48,5.292,9.8,12.24,57.04,16.33,76.41,79.07,95.75,91.52,26.45,227.3,20.66,26.87,8.83,19.89,NotEligible,4.74
2025,1.22,48.92,4.738,13.27,18.51,56.95,53.58,10.46,71.4,81.13,31.43,30.92,2.95,5.64,81.95,0.69,4.28,SECC_Eligible,1.39
2018,6.53,332.16,3.47,2.58,19.66,71.84,46.39,23.93,55.92,30.7,23.51,24.91,75.74,22.04,14.49,8.34,25.44,PMJAY_OtherEligible,77.89
2024,8.09,221.59,2.88,5.3,18.99,71.63,16.62,75.56,11.65,48.63,41.34,30.08,238.71,13.84,47.36,4.92,26.62,PMJAY_OtherEligible,77.03
2017,4.27,229.98,3.481,6.64,20.25,69.74,14.35,70.8,33.97,31.73,67.85,22.54,174.05,23.77,41.35,11.11,22.53,PMJAY_OtherEligible,45.91
2017,4.25,305.67,4.789,17.42,4.91,55.59,55.58,31.85,77.61,27.17,30.58,23.9,145.6,11.84,70.57,3.87,11.32,PMJAY_OtherEligible,61.05
2017,8.84,225.45,4.648,4.85,26.61,95.13,44.51,64.68,18.87,89.31,23.11,25.93,99.73,9.46,25.06,11.44,24.34,Unknown,58.07
2025,1.69,329.25,1.523,10.15,8.87,66.4,80.41,91.19,92.36,24.17,50.58,13.66,116.47,3.7,27.28,6.23,2.18,PMJAY_OtherEligible,20.08
2018,2.99,336.05,4.704,15.12,6.85,70.98,59.43,87.18,68.86,78.79,66.49,31.05,92.26,0.69,40.22,4.1,7.09,PMJAY_OtherEligible,1.41
2014,5.42,150.41,2.976,3.99,13.4,46.58,17.64,42.45,61.45,29.18,6.16,33.52,26.62,1.92,24.99,3.32,2.7,NotEligible,75.39
2022,6.74,314.54,2.485,2.02,9.25,94.03,9.89,43.41,60.42,24.72,14.53,17.71,210.96,0.57,49.24,8.07,8.62,Unknown,22.59
2017,7.64,74.06,1.504,9.35,14.77,55.82,63.9,85.06,57.22,41.96,14.49,32.42,145.28,9.69,2.07,7.5,2.09,Unknown,71.85
2019,4.14,158.15,2.387,14.08,20.5,53.41,57.79,39.03,24.21,50.27,12.5,21.21,104.59,19.52,41.16,0.57,17.91,NotEligible,18.31
2024,8.84,209.78,2.235,15.93,18.25,68.85,52.21,52.34,42.09,60.9,16.6,34.17,131.32,9.37,33.26,4.75,21.85,NotEligible,59.76
2016,3.62,84.15,3.262,2.87,13.87,60.61,10.17,18.05,77.56,58.84,58.36,33.12,134.16,17.08,60.96,1.54,17.22,NotEligible,4.53
2016,1.33,244.29,0.367,14.14,28.43,90.67,75.7,54.17,20.11,95.22,51.49,14.8,212.75,16.06,28.11,1.01,9.99,NotEligible,47.66
2020,7.95,219.9,1.885,3.04,23.01,57.52,56.25,73.03,82.76,63.95,42.29,25.31,231.3,0.28,33.54,1.19,28.46,Unknown,8.33
2020,0.16,168.27,1.861,7.37,25.47,33.47,58.74,75.48,37.17,73.81,91.88,7.45,111.54,19.25,64.1,10.37,28.58,SECC_Eligible,22.87
2019,3.84,215.01,5.352,11.68,27.75,38.62,34.51,46.21,57.75,11.23,25.48,19.42,156.62,14.9,38.94,3.4,18.44,SECC_Eligible,58.39
2025,1.5,242.36,5.549,17.41,15.95,75.62,5.58,20.31,38.08,41.59,67.48,8.92,24.2,6.98,81.86,3.41,29.39,PMJAY_OtherEligible,58.13
2025,2.47,118.01,3.135,3.28,21.76,32.03,35.12,55.37,51.54,74.29,7.79,1.06,227.51,10.22,75.21,11.24,4.37,NotEligible,5.32
2017,7.74,50.89,3.714,3.99,15.31,50.38,73.19,79.52,61.08,85.41,88.32,21.86,192.77,20.06,11.94,1.34,27.34,Unknown,68.81
2025,9.21,284.4,3.567,17.71,26.79,37.9,81.14,48.61,76.83,52.84,65.56,11.38,46.76,6.79,59.27,8.31,12.33,PMJAY_OtherEligible,5.65
2025,7.3,222.9,3.868,7.48,19.54,93.22,15.19,14.9,37.97,18.96,5.9,22.2,17.24,15.97,51.42,0.67,16.12,Unknown,67.14
2019,1.42,115.4,3.71,5.01,15.15,38.26,40.72,72.14,45.32,77.59,74.36,34.93,194.41,22.61,84.2,8.34,0.64,SECC_Eligible,52.67
2023,5.27,296.07,5.046,7.9,7.64,87.08,32.36,62.77,46.87,70.45,41.22,14.64,152.67,3.27,2.74,10.71,12.44,PMJAY_OtherEligible,43.6
2019,2.84,125.65,1.77,8.83,24.55,28.79,55.85,47.24,77.25,36.81,6.17,17.91,106.41,7.44,17.77,2.65,9.05,Unknown,31.58
2021,4.98,313.7,4.712,5.4,17.55,39.97,74.14,57.7,80.9,96.08,43.37,9.84,160.67,16.41,81.77,5.96,25.56,SECC_Eligible,36.0
2019,4.07,238.17,0.405,12.17,28.21,95.6,68.27,11.11,64.29,64.28,5.88,5.32,168.82,12.8,47.96,6.12,12.05,SECC_Eligible,6.98
2022,9.52,21.12,3.693,15.32,12.56,46.03,31.13,93.64,55.2,46.7,11.16,13.41,244.99,7.06,11.69,7.85,2.02,SECC_Eligible,58.75
2018,6.73,133.09,4.081,4.11,11.76,21.85,11.78,90.07,49.23,15.64,11.13,14.67,16.6,17.79,23.68,7.09,10.62,PMJAY_OtherEligible,0.09
2021,8.88,103.31,0.907,5.39,6.88,53.76,74.79,83.26,56.03,91.14,39.43,29.65,226.7,13.06,79.39,9.01,23.1,NotEligible,27.84
2021,4.96,36.7,4.596,17.41,10.0,95.94,59.64,90.1,40.66,85.75,9.47,34.64,172.64,13.16,11.99,6.61,28.06,NotEligible,35.84
2018,0.81,242.99,2.824,16.83,5.67,25.64,75.41,35.11,45.23,91.11,22.47,28.29,111.32,9.47,65.92,2.52,6.33,PMJAY_OtherEligible,20.79
2018,5.46,239.05,1.91,12.61,10.99,43.27,17.36,82.31,54.29,13.55,60.6,22.76,157.22,13.1,25.84,4.29,29.76,Unknown,31.31
2024,1.18,294.9,1.698,10.91,13.75,94.99,56.48,72.91,84.09,86.03,62.04,9.65,178.49,8.37,35.78,11.17,24.37,NotEligible,61.31
2019,4.34,102.14,5.243,7.63,5.95,90.87,21.65,40.98,30.7,45.68,78.68,22.19,218.01,16.14,86.92,2.89,22.98,NotEligible,62.53
2021,9.46,292.76,3.15,15.08,20.02,96.18,11.14,29.95,97.53,77.67,74.62,12.1,162.26,4.04,64.88,2.68,23.51,Unknown,8.98
2016,1.55,78.16,3.747,3.22,6.77,54.63,23.99,69.09,54.12,97.43,70.33,32.78,125.19,3.47,50.16,4.55,22.61,SECC_Eligible,3.61
2014,3.12,278.54,3.125,14.59,4.73,65.8,77.55,27.94,52.48,77.46,68.09,14.85,61.71,0.98,9.6,11.79,20.4,SECC_Eligible,12.7
2014,1.93,254.68,4.075,4.98,6.51,59.44,74.05,60.98,27.67,62.5,54.01,17.77,85.94,9.58,53.16,8.16,28.53,PMJAY_OtherEligible,50.56
2020,5.25,332.34,1.995,12.2,8.5,27.95,36.67,34.11,36.86,18.32,17.06,26.71,156.1,23.77,37.56,9.86,3.35,SECC_Eligible,26.03
2015,8.67,30.01,4.471,15.6,21.62,79.8,26.51,39.28,70.23,15.66,42.87,27.99,249.15,10.78,45.19,6.23,3.09,NotEligible,4.33
2023,7.07,114.95,4.768,6.53,15.75,80.33,77.53,35.16,82.62,83.03,68.68,21.34,142.88,14.46,65.35,4.87,10.1,PMJAY_OtherEligible,7.37
2023,5.8,106.43,5.987,9.06,19.86,40.35,16.54,12.35,51.72,11.5,21.56,0.58,234.97,1.76,74.83,3.55,25.4,PMJAY_OtherEligible,56.11
2022,3.66,117.5,4.825,9.54,26.13,77.7,17.31,25.94,20.17,52.81,16.51,4.89,32.19,8.07,57.88,5.51,11.31,SECC_Eligible,57.51
2015,7.61,337.21,5.848,13.19,23.82,49.23,81.71,36.61,50.38,10.76,85.93,19.3,166.03,17.24,62.94,2.68,16.26,PMJAY_OtherEligible,72.18
2024,5.04,122.43,2.054,2.68,4.59,36.18,26.52,28.34,20.87,19.95,79.61,17.11,94.44,1.71,88.31,0.72,23.57,NotEligible,66.79
2014,4.16,71.57,5.667,9.47,22.11,91.93,19.64,83.66,27.38,30.55,19.02,2.83,212.75,21.9,15.07,2.1,15.88,PMJAY_OtherEligible,49.44
2018,1.16,163.34,2.311,16.35,21.19,74.4,46.53,11.09,25.37,24.66,88.69,3.35,222.82,18.99,38.42,5.63,16.36,PMJAY_OtherEligible,6.73
2017,7.08,335.14,4.612,10.5,9.09,39.24,26.98,18.07,69.18,78.83,83.96,27.19,77.81,17.52,78.99,5.67,4.47,NotEligible,10.33
2016,1.25,25.34,2.391,4.81,23.76,53.26,77.88,16.62,48.86,35.16,42.51,18.01,112.99,22.23,49.77,3.05,26.06,SECC_Eligible,26.54
2018,1.18,163.36,0.142,7.71,4.69,65.06,7.54,20.63,47.61,62.76,21.2,25.31,202.99,24.24,22.14,3.73,10.17,SECC_Eligible,20.56
2022,5.49,106.68,5.528,11.43,15.28,53.45,61.02,85.7,23.8,47.04,56.57,25.4,5.47,6.02,9.01,7.95,13.16,NotEligible,50.32
2024,9.59,113.13,2.142,12.96,13.66,31.31,9.23,61.1,78.75,37.84,42.82,27.97,219.03,15.98,64.37,4.59,6.29,NotEligible,38.11
2018,5.48,120.69,0.341,3.21,25.93,23.07,17.32,47.92,31.56,67.7,66.47,18.51,12.26,15.42,21.44,8.04,28.1,Unknown,16.95
2023,6.97,210.33,1.303,11.02,28.24,97.28,63.32,38.38,31.71,74.98,65.9,10.48,159.49,23.34,60.58,9.98,24.41,PMJAY_OtherEligible,73.55
2022,8.43,162.09,0.4,8.61,29.68,80.31,80.18,75.85,75.0,98.17,86.51,11.66,191.47,18.37,84.41,1.71,1.13,NotEligible,74.57
2024,6.04,144.26,2.775,7.1,20.38,64.79,84.14,39.57,64.53,17.7,69.22,8.04,69.62,13.74,68.36,5.49,13.38,NotEligible,48.49
2016,4.92,87.88,4.415,11.01,6.96,69.5,58.19,66.4,37.69,79.88,27.34,13.36,231.34,7.43,57.13,8.74,8.15,Unknown,23.67
2015,1.87,92.68,4.95,15.74,18.12,38.62,28.12,79.41,95.14,39.52,8.67,23.87,136.92,2.65,13.98,3.96,29.0,PMJAY_OtherEligible,15.46
2020,6.81,284.56,0.894,17.66,25.02,27.84,74.48,38.79,81.45,20.77,13.0,24.17,86.22,13.63,28.51,9.23,14.99,NotEligible,4.8
2019,6.59,258.25,5.889,3.11,5.58,62.15,19.05,71.33,89.12,94.74,73.54,15.68,102.48,19.77,56.97,4.18,17.32,PMJAY_OtherEligible,18.23
2014,7.61,201.72,4.7,3.13,19.52,60.57,31.98,29.31,15.71,96.39,66.63,18.43,146.74,12.4,3.36,8.23,6.49,NotEligible,53.36
2018,0.71,147.28,2.489,9.33,17.71,86.76,66.82,52.16,12.75,56.53,10.41,18.33,144.26,16.99,45.22,5.4,3.44,NotEligible,31.57
2016,5.85,97.89,3.514,17.66,7.16,77.4,21.61,87.22,92.81,33.69,15.95,8.91,120.3,3.67,67.67,6.84,28.38,NotEligible,73.45
2023,1.1,210.15,2.694,13.97,9.89,83.11,13.33,19.92,78.09,49.46,58.4,29.26,241.04,11.35,37.68,4.84,29.05,NotEligible,8.76
2025,8.88,170.18,2.995,11.78,9.81,64.5,19.84,39.87,79.25,62.07,60.74,1.37,174.76,4.04,26.78,8.14,25.03,SECC_Eligible,6.77
2020,8.13,32.85,5.424,12.33,18.7,58.59,14.63,32.42,60.54,77.44,45.83,12.8,39.8,2.19,24.73,1.05,10.78,PMJAY_OtherEligible,8.88
2025,7.09,323.01,2.87,9.6,8.54,68.31,62.62,62.54,71.11,61.78,28.89,3.03,14.47,16.82,51.21,1.17,3.88,SECC_Eligible,2.03
2017,4.31,111.16,5.244,11.96,14.3,27.74,35.86,57.81,51.35,55.22,18.58,25.27,215.65,14.08,21.8,4.59,27.16,PMJAY_OtherEligible,67.42
2021,4.58,263.0,5.475,9.83,11.46,83.31,24.95,73.41,94.6,59.19,13.23,4.3,61.38,1.12,6.96,3.27,28.82,SECC_Eligible,47.34
2025,4.99,342.84,3.673,8.11,29.62,80.71,11.06,42.28,24.75,10.04,88.32,20.71,34.54,0.18,57.37,1.76,28.4,SECC_Eligible,44.65
2014,0.53,180.17,1.592,10.75,21.11,46.0,68.53,14.65,42.18,57.51,62.63,9.95,65.61,17.82,87.69,4.95,17.8,PMJAY_OtherEligible,17.67
2016,8.08,238.67,0.57,8.17,17.16,54.66,70.24,52.98,32.35,84.29,37.9,25.63,37.62,16.75,4.79,9.7,24.16,SECC_Eligible,53.99
2019,7.66,344.5,4.176,10.06,28.43,65.19,34.77,85.16,19.48,27.66,92.37,12.32,58.09,18.48,63.8,8.0,12.64,SECC_Eligible,63.3
2018,9.79,262.69,3.592,12.9,13.51,35.52,67.67,75.69,54.46,24.16,8.2,26.91,235.36,4.99,83.41,1.53,20.51,NotEligible,10.35
2021,8.62,189.32,2.92,7.37,18.42,67.99,14.23,45.44,43.7,18.88,62.47,14.84,174.48,0.99,88.09,11.07,12.79,Unknown,19.04
2020,4.16,97.44,3.695,2.25,22.91,91.39,19.52,46.45,35.75,22.71,66.33,28.38,166.68,16.5,56.67,8.73,3.58,NotEligible,66.9
2018,6.43,302.57,2.946,11.32,25.88,24.33,61.48,69.5,40.31,26.94,48.36,20.17,195.3,8.93,81.22,5.75,22.82,Unknown,35.83
2021,9.6,105.05,5.1,3.93,16.9,49.5,7.3,74.11,59.77,19.14,40.18,32.55,37.91,17.82,31.68,9.82,12.18,NotEligible,63.95
2021,9.82,218.0,4.899,8.31,28.85,91.64,34.04,39.8,75.0,52.58,72.86,29.9,48.18,19.21,12.76,3.67,26.79,Unknown,6.87
2014,8.53,42.9,4.802,4.92,9.8,48.09,35.79,20.79,15.41,12.15,72.05,10.98,187.51,7.92,27.4,11.32,2.17,SECC_Eligible,21.47
2019,9.37,63.06,3.564,12.76,23.59,81.69,18.58,87.78,14.95,43.65,64.72,0.25,96.2,18.25,31.15,4.4,24.16,SECC_Eligible,12.01
2017,9.9,195.08,3.844,12.38,4.5,80.27,30.92,92.18,52.77,67.87,78.85,12.94,11.71,22.71,56.86,7.8,11.18,SECC_Eligible,39.03
2019,9.98,26.44,4.35,9.78,8.66,61.82,38.04,92.62,84.58,12.48,91.83,7.15,14.46,19.9,86.93,4.28,29.55,SECC_Eligible,47.99
2023,2.29,346.45,2.252,3.11,13.42,69.29,42.55,90.48,25.77,46.35,16.95,21.15,158.15,4.92,12.67,10.94,27.43,PMJAY_OtherEligible,77.83
2018,9.13,334.3,5.895,5.54,11.02,49.25,31.24,64.05,15.36,92.86,59.86,7.89,185.93,3.99,38.15,10.32,5.08,Unknown,79.97
2021,8.72,161.91,3.308,6.73,16.08,26.76,9.62,88.31,11.79,42.76,53.08,18.01,174.81,22.45,63.0,9.55,18.29,PMJAY_OtherEligible,34.39
2022,5.51,161.57,2.015,15.73,20.04,39.93,23.27,27.07,46.2,57.13,65.88,9.49,104.6,22.87,53.33,0.32,21.42,Unknown,72.05
2023,2.66,321.35,4.95,7.53,20.4,74.88,79.1,25.06,18.88,48.55,67.45,25.43,92.68,21.22,20.72,11.43,23.62,SECC_Eligible,50.76
2019,5.9,71.59,0.607,6.27,27.36,56.12,40.21,76.65,86.3,40.93,60.78,34.53,230.83,4.0,6.88,2.27,2.3,NotEligible,55.27
2020,6.97,274.43,4.723,16.87,9.18,22.91,74.09,54.38,77.35,65.56,46.72,12.2,126.08,2.17,29.04,6.3,14.46,PMJAY_OtherEligible,33.53
2018,5.06,233.52,0.954,12.72,25.85,84.16,47.5,44.77,56.52,94.75,72.08,11.48,165.12,2.11,15.41,11.71,6.8,Unknown,45.13
2022,2.27,140.72,4.264,8.2,14.93,50.19,36.63,41.72,63.15,88.41,85.02,30.57,247.61,24.07,18.47,0.65,14.74,Unknown,18.69
2025,1.13,57.68,1.1,3.24,26.71,67.08,38.1,33.49,91.55,29.9,75.15,11.42,198.39,19.16,54.95,0.43,2.97,NotEligible,73.03
2025,2.79,38.97,1.474,3.74,15.2,88.37,5.74,91.53,18.82,75.91,45.15,31.27,78.09,3.88,70.48,6.13,24.88,NotEligible,24.42
2014,7.85,87.03,3.826,10.91,17.88,85.9,60.13,26.32,14.55,31.08,18.58,2.35,92.32,10.1,20.19,1.3,12.08,PMJAY_OtherEligible,53.91
2023,8.34,192.7,5.861,16.79,13.88,88.04,23.3,20.8,97.53,94.59,61.39,17.45,181.59,1.81,7.9,3.28,5.67,NotEligible,51.69
2019,8.42,199.8,5.013,16.45,6.79,69.27,57.23,57.6,16.56,35.48,82.87,9.76,2.42,5.94,11.36,1.97,26.94,Unknown,74.33
2024,7.84,172.19,2.731,3.49,28.79,60.41,84.07,29.19,10.18,23.07,8.12,1.63,40.86,4.38,32.15,2.29,28.8,Unknown,42.38
2018,4.54,212.54,4.159,6.69,16.43,24.3,19.47,59.55,92.63,53.87,20.11,34.43,111.05,13.44,69.77,0.4,1.19,PMJAY_OtherEligible,22.99
2025,6.27,187.59,5.063,5.14,8.27,72.92,82.16,61.37,30.73,72.36,20.76,17.69,155.06,20.34,30.56,1.95,3.32,PMJAY_OtherEligible,28.9
2017,1.5,65.93,1.348,9.92,7.23,45.28,57.95,59.93,20.07,76.75,87.92,0.41,147.1,22.86,0.91,0.5,1.49,PMJAY_OtherEligible,30.05
2020,9.91,122.84,3.112,8.64,9.87,53.34,70.91,53.77,29.21,62.38,83.31,13.48,105.59,14.38,16.2,5.9,14.54,Unknown,26.14
2015,0.88,168.41,5.004,10.34,29.39,77.93,83.12,60.52,39.73,66.01,15.99,9.36,59.22,2.1,14.5,8.77,6.09,PMJAY_OtherEligible,16.72
2024,4.06,332.22,5.836,11.78,7.42,90.16,15.68,82.32,74.17,54.67,47.94,11.63,241.24,13.82,34.91,8.48,20.27,SECC_Eligible,14.09
2018,9.24,119.35,2.633,4.06,16.4,80.56,7.8,53.72,43.38,60.57,20.26,0.33,208.22,0.2,51.02,7.91,0.43,PMJAY_OtherEligible,10.07
2018,0.96,168.66,0.581,13.83,17.39,97.68,65.91,11.57,28.59,53.38,15.98,5.86,162.19,10.02,3.54,7.27,27.2,PMJAY_OtherEligible,0.26
2014,1.94,242.99,4.755,2.12,15.14,75.28,16.69,19.97,96.15,46.68,13.13,5.63,249.09,6.0,78.51,9.97,6.37,PMJAY_OtherEligible,67.25
2025,5.28,30.62,2.442,7.34,6.34,51.09,65.99,28.95,97.2,97.62,18.82,10.53,218.22,5.0,81.42,11.3,1.03,SECC_Eligible,35.94
2017,6.93,322.46,2.013,14.74,5.54,86.57,81.12,26.92,82.88,10.31,23.72,29.95,158.61,6.04,8.05,7.86,25.04,PMJAY_OtherEligible,26.97
2023,6.53,30.12,0.106,14.11,10.29,79.32,20.42,50.11,29.12,37.22,35.13,27.2,104.31,14.44,42.09,3.0,21.68,PMJAY_OtherEligible,5.72
2018,5.07,242.01,1.883,11.15,20.79,66.81,34.13,91.38,88.08,14.87,66.87,20.86,81.29,17.68,50.73,3.04,23.28,SECC_Eligible,23.61
2016,8.37,128.08,5.28,8.69,12.64,71.13,15.6,28.87,71.71,91.02,53.35,2.59,56.46,5.59,24.81,3.61,24.57,PMJAY_OtherEligible,79.45
2025,3.86,249.47,0.772,14.77,10.82,35.83,82.61,65.72,17.73,10.85,7.01,4.68,64.52,10.47,52.27,11.47,3.88,Unknown,33.39
2025,8.39,70.83,3.185,4.89,22.93,45.37,52.06,89.13,55.4,62.87,74.39,23.23,35.61,7.33,32.0,8.72,4.35,PMJAY_OtherEligible,50.13
2024,8.53,97.22,4.535,10.72,5.37,66.59,17.27,25.8,40.47,36.24,25.2,26.36,122.62,10.55,35.91,5.67,24.53,NotEligible,60.75
2024,1.87,286.84,1.488,12.69,21.78,78.47,28.93,64.41,25.68,79.65,19.42,28.73,47.98,12.93,80.55,6.9,25.3,SECC_Eligible,13.32
2025,6.25,142.61,2.352,12.54,9.12,64.2,81.11,58.92,48.37,64.41,11.9,18.48,25.46,8.53,33.03,11.37,28.72,PMJAY_OtherEligible,30.84
2025,9.95,186.33,0.862,8.48,4.97,66.2,32.76,52.08,85.0,90.71,36.09,31.94,73.48,19.53,59.25,2.42,14.55,Unknown,12.01
2017,1.94,182.94,3.14,10.2,15.0,30.94,71.15,82.22,95.38,75.68,13.03,28.82,149.15,1.8,62.06,11.39,12.37,NotEligible,14.75
2016,8.35,219.87,3.049,5.08,21.34,30.43,79.6,59.47,30.71,38.15,61.3,16.59,21.27,22.29,22.43,1.47,29.78,SECC_Eligible,45.34
2024,4.15,42.1,3.93,6.05,28.16,32.29,76.34,81.5,36.66,86.44,57.09,13.11,196.31,3.0,43.09,9.49,6.82,NotEligible,5.39
2016,4.48,267.92,4.444,5.21,15.37,69.08,73.57,28.41,16.16,62.54,60.65,25.25,68.08,15.96,12.7,11.39,27.6,Unknown,4.37
2016,0.1,101.82,3.283,10.57,18.12,63.11,74.05,48.41,58.37,95.18,28.52,10.34,191.52,1.51,16.81,8.86,0.95,PMJAY_OtherEligible,39.51
2025,6.54,296.23,0.955,17.69,14.32,70.54,41.36,76.71,39.27,59.32,79.28,25.52,11.87,6.46,80.61,4.85,0.88,SECC_Eligible,29.68
2024,7.86,262.52,3.746,3.91,13.1,36.42,15.42,71.78,38.08,72.09,26.79,34.16,99.69,2.62,10.56,7.3,5.61,SECC_Eligible,55.18
2016,8.54,251.14,4.28,11.91,23.43,90.51,60.03,75.81,30.26,70.54,63.38,32.91,13.61,0.73,30.59,5.1,15.2,Unknown,45.65
2018,4.27,347.79,2.463,13.7,18.24,97.17,52.65,43.37,20.98,75.78,74.2,1.39,59.68,22.62,8.26,3.29,22.03,SECC_Eligible,31.17
2017,6.0,347.89,0.19,7.88,14.28,72.66,43.5,43.92,68.26,63.05,82.9,23.76,150.0,4.0,80.9,1.07,11.68,PMJAY_OtherEligible,29.93
2025,6.76,233.44,5.153,14.38,17.12,83.47,56.62,11.18,70.76,23.03,84.43,21.58,53.65,9.88,2.04,4.26,13.62,NotEligible,28.27
2022,0.74,117.7,1.511,13.02,27.65,94.12,79.6,55.49,73.68,20.85,65.14,11.34,102.25,10.66,9.84,0.59,26.37,PMJAY_OtherEligible,31.61
2018,4.74,327.33,1.733,14.78,25.86,46.31,78.3,72.85,36.82,40.56,27.18,23.96,184.06,16.24,69.99,1.34,17.73,NotEligible,56.24
2024,7.98,309.27,0.844,8.99,29.67,62.79,18.67,49.52,47.87,57.24,65.75,21.29,123.53,10.76,24.28,10.11,13.69,NotEligible,15.11
2016,0.29,286.07,0.595,16.22,12.13,59.09,67.01,22.59,35.44,96.4,22.79,1.97,234.1,9.22,14.35,4.77,28.35,Unknown,59.69
2017,6.65,318.62,2.534,9.41,23.72,96.66,6.32,90.76,66.65,28.63,17.84,14.94,43.04,4.86,69.7,8.52,5.49,NotEligible,16.18
2016,1.56,87.79,1.692,11.5,18.44,46.63,84.69,34.95,31.21,46.82,43.77,19.22,191.15,13.84,53.42,3.25,24.36,NotEligible,10.76
2020,2.88,61.64,4.467,17.56,14.34,33.04,15.2,50.71,50.92,53.33,72.39,4.55,139.97,16.79,57.06,1.71,6.97,SECC_Eligible,15.96
