soc_policy_policy_effective_date,soc_policy_policy_change_id,soc_policy_eligibility_rule_area,soc_policy_income_threshold_pct_fpl,soc_policy_asset_limit_inr,soc_policy_work_requirement_flag,soc_policy_time_limit_months,soc_policy_sanction_rate_pct,soc_policy_exemption_category_code,soc_policy_expected_caseload_change_pct,soc_policy_observed_caseload_change_pct,soc_policy_expected_spending_change_inr,soc_policy_observed_spending_change_inr,soc_policy_application_volume_change_pct,soc_policy_approval_rate_change_pct,soc_policy_benefit_level_change_inr,soc_policy_disparity_impact_score,soc_policy_administrative_cost_change_inr,soc_policy_stakeholder_comment_count,soc_policy_implementation_status_code
2021-11-12,POL479990,HouseholdSize,99.8,39014,1,44,5.02,None,-6.47,-17.27,-351832171,286505642,-21.12,-8.34,1414,0.596,75855798,493,Notified
2023-12-19,POL271641,Residence,238.8,303148,1,9,5.5,Migrant,-0.53,36.02,713051226,2040138450,-23.74,-9.36,1203,0.473,74376016,183,RolledOut
2024-07-08,POL883829,Landholding,215.4,83436,0,24,2.7,OBC,11.35,2.09,1238129744,1970823499,-25.29,9.07,3690,0.688,11419520,367,Notified
2017-09-06,POL732972,HouseholdSize,176.8,348219,1,15,11.5,PwD,13.17,33.92,2049669910,2109334357,3.33,11.62,-1420,-0.534,9990732,772,Piloting
2025-06-09,POL903510,Residence,230.7,123860,0,13,11.9,SC,-20.45,8.15,208642000,2589483243,33.58,-9.04,748,0.603,86114084,927,Revised
2019-08-31,POL402168,CasteCategory,101.7,225703,0,52,16.01,SingleParent,32.19,20.01,403833410,1386389173,8.5,-13.85,1000,-0.929,43306652,624,Notified
2019-04-22,POL589892,Disability,103.0,114297,1,53,5.11,Senior,-21.88,-11.19,519884510,2832149947,17.42,14.74,3473,0.103,63165919,272,Notified
2020-01-21,POL314961,Age,104.9,3411,1,9,1.21,ST,25.15,-15.4,1672627867,1722356629,-3.08,-16.68,838,-0.981,-15509626,358,Draft
2020-04-28,POL529487,CasteCategory,73.7,312054,1,22,3.96,ST,17.93,11.81,-122738943,3060141073,27.48,4.82,-964,-0.301,35996818,578,Piloting
2018-08-13,POL124341,Residence,69.4,285947,0,1,17.34,OBC,-7.63,-19.25,1065180313,-252875749,-3.51,1.86,-765,0.159,24323559,558,Paused
2019-12-14,POL415960,Landholding,230.9,369459,0,49,17.79,SingleParent,10.83,16.86,1271321870,2605219751,-5.54,11.34,-778,0.421,9145307,1118,Retired
2024-08-28,POL881629,Assets,220.1,229002,0,17,6.36,Senior,7.98,-27.55,1064965649,1784858943,54.77,15.83,2123,-0.004,15118142,658,Revised
2017-03-27,POL653844,Assets,155.3,75259,0,35,8.82,Senior,15.02,-15.0,1133061923,2773515054,6.72,21.49,1681,0.896,73823773,957,Piloting
2023-02-14,POL854176,Age,178.7,68335,1,32,15.23,OBC,19.26,-9.36,801874308,732676408,7.45,-7.68,-4,0.023,-17866090,247,Piloting
2024-12-20,POL790255,Landholding,90.1,155719,0,11,8.6,None,5.89,-17.35,2458343083,1881826122,-28.1,-18.27,-366,-0.857,56760142,293,Piloting
2023-02-03,POL154424,Occupation,44.8,132263,0,21,17.26,Senior,17.97,-21.13,851922690,1350530436,52.53,5.62,3957,-0.637,36103390,880,Retired
2021-04-25,POL531589,Disability,132.7,163207,1,6,15.08,EWS,-13.11,27.28,2010629390,2290439345,0.01,-2.77,2016,0.691,21345155,486,Piloting
2022-05-21,POL373951,Occupation,180.6,89984,1,9,13.35,SC,16.55,1.4,1162968545,1902079937,29.62,-0.02,3560,0.89,78385999,728,Notified
2021-11-24,POL206584,Landholding,182.8,395459,1,50,11.31,Migrant,0.66,-10.89,1333982097,2793117640,28.76,17.83,87,0.338,63545822,465,Retired
2020-06-09,POL293097,HouseholdSize,166.9,34283,1,21,3.72,None,31.46,-7.15,1937899364,1032684928,49.16,-3.75,1348,0.488,46542540,79,Paused
2024-09-10,POL108840,Income,234.3,295664,1,27,3.29,EWS,26.33,29.53,2445134213,1612242914,48.49,4.27,42,0.238,25942486,435,RolledOut
2022-12-27,POL286106,Landholding,84.0,227054,1,41,15.6,OBC,-24.92,-13.06,-75776803,2630797519,-20.39,-13.9,-543,0.277,80579643,600,Revised
2017-07-05,POL706115,Assets,95.4,222247,1,52,4.34,Tribal,20.63,27.13,1243665021,1517659592,-24.66,15.67,835,0.829,83247154,697,Piloting
2023-09-09,POL332271,Income,56.7,245334,1,26,4.38,None,11.15,24.75,47016483,1023510004,49.47,2.04,-1481,-0.129,60694199,323,Revised
2019-03-18,POL753226,HouseholdSize,236.6,361618,1,52,15.23,ST,17.85,-24.94,-356558345,1176079877,-8.98,-5.33,3840,0.334,26690733,542,Piloting
2021-11-22,POL367333,Occupation,135.5,270060,1,34,0.83,ST,-9.5,37.96,2194929079,2335425983,44.47,-0.33,1199,0.347,88152352,1066,Piloting
2018-07-19,POL148831,Residence,124.4,108348,1,3,12.92,Senior,22.92,12.31,2480892792,2971132713,3.71,-9.2,-759,-0.208,-15082833,603,Revised
2021-04-11,POL735871,HouseholdSize,247.0,107698,1,56,11.09,None,-16.56,32.9,1570692688,174910205,-1.89,5.31,1302,-0.103,73439934,540,Revised
2018-04-26,POL249047,Residence,129.8,331244,1,15,0.68,SC,28.93,-6.14,717053561,349554876,-18.09,-9.85,3723,-0.359,12641466,374,Revised
2019-01-12,POL972865,Landholding,110.3,191229,0,44,3.26,SC,1.07,21.75,1768626876,133310310,57.4,-3.86,4244,0.908,33623312,172,Revised
2024-11-19,POL486890,Income,83.8,281949,1,52,5.4,SingleParent,-18.62,15.18,2461819741,116613000,-28.92,-16.1,-1490,-0.737,-10559889,1154,Piloting
2017-10-06,POL140894,Occupation,132.4,150366,0,48,4.09,ST,17.04,-9.75,2243492864,-363828999,14.74,-6.49,4348,-0.493,31312506,799,Notified
2019-10-13,POL313940,Age,184.0,295274,0,36,3.05,Senior,-1.79,33.87,2088187142,2431047018,33.29,-2.82,442,0.545,5242295,184,Paused
2017-05-18,POL390601,Occupation,232.0,169641,1,17,15.37,EWS,-9.73,31.04,1042914518,689681410,4.71,15.02,2742,-0.315,14734572,317,Revised
2018-09-18,POL548053,Income,80.2,197262,1,38,16.65,Migrant,15.14,20.25,146155589,1013681585,-6.92,9.18,3017,0.386,42276060,1059,Revised
2023-06-28,POL700676,HouseholdSize,185.4,371374,0,30,3.15,None,-4.99,35.11,-99007923,2688958816,-20.06,-14.69,3939,0.454,86935645,1151,Piloting
2022-01-03,POL385758,Disability,41.4,197948,0,39,10.41,ST,-11.98,-13.57,-285962358,2880350708,-16.47,7.09,959,0.106,4781616,650,Notified
2020-03-02,POL375332,Occupation,208.2,89931,1,20,7.8,SC,11.17,23.27,523173471,1472203053,54.77,-0.08,3098,-0.183,17713060,42,Notified
2017-10-25,POL934801,Residence,98.8,212571,0,41,6.77,PwD,-3.98,-8.39,-379704047,-229895815,4.22,-1.29,2611,0.402,6376565,989,Piloting
2023-06-09,POL272012,HouseholdSize,48.2,3417,0,29,17.16,None,-21.83,40.46,1527335652,1133956572,-31.89,-15.32,452,-0.979,35553436,157,Piloting
2019-04-30,POL759275,HouseholdSize,122.8,111577,0,58,0.82,PwD,-11.39,12.35,1975621123,2871128887,2.16,6.31,3457,0.417,9433504,759,Retired
2021-08-13,POL251042,CasteCategory,227.4,241661,1,6,17.54,OBC,2.05,33.68,1890855476,2826660296,23.03,-12.14,3851,0.152,1144335,1191,Piloting
2018-02-27,POL335873,Assets,88.9,28379,1,43,5.72,SC,9.47,-16.53,-245231169,635367890,23.73,-7.44,1901,0.687,51729767,35,Draft
2021-01-22,POL638149,Landholding,100.3,182158,1,31,10.25,Tribal,4.19,-6.14,100170400,3089787595,-26.05,16.88,3415,0.482,-669659,1137,Draft
2024-12-08,POL187812,Occupation,75.2,239540,0,34,16.76,Migrant,30.13,27.23,2405344378,632477181,-10.19,-17.42,2249,0.124,41952838,75,Notified
2022-09-18,POL235949,Residence,246.1,90601,0,31,11.61,OBC,-4.5,-3.09,2492076681,2494101220,34.83,15.08,3235,0.562,-14048624,73,Notified
2021-04-27,POL867313,CasteCategory,130.9,87128,1,8,13.81,PwD,27.04,-23.26,2415837358,2957728180,58.7,-2.46,2209,-0.66,58996529,672,Draft
2018-09-01,POL186892,Age,239.0,267518,1,34,1.74,ST,3.72,19.29,2269846689,-106194398,13.69,-7.2,2658,-0.207,-19946924,454,Paused
2019-05-29,POL229093,HouseholdSize,59.3,389679,1,25,10.26,EWS,15.88,-21.75,-63969881,510392779,-26.83,2.7,-1275,0.063,54695809,289,Retired
2025-11-25,POL774723,Assets,134.2,122938,1,14,5.59,SingleParent,7.41,11.67,1868869596,1531539200,48.11,-8.04,-922,0.543,-4060016,1128,Piloting
2025-07-07,POL523529,HouseholdSize,139.6,83087,1,55,7.55,SingleParent,-18.47,32.75,137387125,801443535,6.55,17.94,981,-0.605,57310290,458,Piloting
2020-01-01,POL409384,CasteCategory,93.7,393607,1,13,4.27,OBC,0.35,13.78,272058176,3121091252,34.72,-17.98,3236,0.411,-11071047,324,Paused
2022-11-03,POL840641,Landholding,144.4,333862,0,25,11.08,EWS,15.51,7.54,973055543,932084329,-11.73,10.18,-1118,-0.448,15096909,920,RolledOut
2023-12-28,POL905082,Assets,113.6,374397,0,22,9.65,Senior,-8.44,-12.87,1908927404,2584351508,47.86,16.26,-1418,-0.603,58149367,1031,Paused
2020-09-25,POL206094,HouseholdSize,91.8,18439,0,27,2.31,Senior,-5.19,-17.78,829482190,151827647,-9.65,-10.34,-192,-0.202,48112681,786,Retired
2019-04-03,POL546753,Income,116.7,373442,0,32,13.13,None,17.07,-28.6,175620786,3135894336,30.92,14.7,3662,-0.606,11871500,625,Retired
2020-01-15,POL932154,Disability,173.4,335332,0,37,5.12,PwD,19.02,30.05,2228646439,2174255064,3.07,0.3,3823,-0.127,30321096,506,Notified
2021-04-02,POL218606,Landholding,138.3,119874,1,20,10.56,None,7.18,-27.72,357634198,-546995390,-0.24,24.51,266,0.085,16658989,969,Piloting
2020-04-10,POL470195,Income,125.9,249688,0,20,15.63,OBC,19.18,34.4,1818974419,55001202,-16.87,-3.04,2591,-0.257,-18668332,779,Draft
2021-07-15,POL273485,Age,219.2,68865,0,42,7.16,OBC,25.52,-0.24,1795537481,-211477351,44.73,-5.51,2720,0.881,41771089,796,Paused
2018-05-26,POL233224,Assets,175.4,167084,1,41,11.51,Tribal,5.53,38.27,-227948942,1647877328,6.88,20.18,-1494,0.348,88876996,1185,Piloting
2019-10-15,POL893321,Income,173.8,240978,0,35,15.52,OBC,16.73,-18.29,836621515,2568582202,4.56,9.68,745,-0.193,36474311,965,Revised
2018-08-16,POL684857,CasteCategory,86.7,44127,1,31,11.2,Migrant,-24.26,30.75,-104726168,2383795370,-24.47,14.73,-599,0.893,20948835,928,RolledOut
2020-03-02,POL213006,CasteCategory,197.5,386596,1,6,17.69,OBC,-23.24,34.92,1670862696,1597212075,-21.42,-1.29,577,-0.365,34437893,413,Paused
2019-07-20,POL405475,Landholding,47.7,371663,1,33,1.46,ST,11.16,1.34,1727381247,1745098776,0.13,2.15,91,0.279,58678169,932,RolledOut
2020-12-15,POL383974,HouseholdSize,84.9,346948,0,13,6.53,EWS,13.14,43.69,404586507,2984117549,-30.9,24.2,-1042,-0.059,-9124977,1181,RolledOut
2026-01-28,POL930844,Age,126.7,51422,1,4,12.65,SC,-7.37,-14.15,1544819858,1119195258,21.9,4.31,4416,0.745,29174774,844,Paused
2024-08-06,POL373078,Assets,226.7,267664,1,36,8.79,None,12.06,-21.64,747121289,2251794925,-17.22,13.6,1507,-0.123,-922319,474,Revised
2022-08-14,POL200638,Age,45.9,356172,0,31,4.65,Tribal,-18.9,42.85,1182561771,-230818943,34.1,24.08,-630,-0.921,51214007,16,Draft
2021-07-18,POL988951,Occupation,133.4,55050,0,31,6.02,Senior,21.16,-10.77,1556520954,-278862828,26.49,12.69,-94,-0.384,84719171,45,Paused
2020-01-11,POL156959,Disability,65.2,258919,1,43,13.04,Tribal,-3.82,-27.87,2017583715,52773963,9.8,12.16,-1279,-0.368,5620338,369,RolledOut
2017-10-21,POL976986,Assets,88.3,81672,1,20,14.16,Migrant,9.29,-0.51,979441693,3040054599,-15.78,-14.8,300,-0.21,22980327,921,Paused
2022-08-17,POL390432,CasteCategory,125.1,275940,1,20,11.43,Tribal,33.75,44.35,1606241418,2286700637,38.56,-10.47,-1113,0.461,9812241,120,Paused
2018-12-20,POL722861,Assets,60.7,259009,0,10,16.0,SingleParent,5.99,33.05,332600202,2863937336,59.27,15.19,-15,0.416,22552081,261,Piloting
2017-05-08,POL588907,Age,214.2,348644,1,4,9.39,EWS,6.6,-22.78,900687081,691684339,32.56,24.22,1112,-0.783,30511619,438,RolledOut
2025-12-16,POL311961,HouseholdSize,57.4,194288,0,55,14.83,SingleParent,-18.81,-3.01,-238037503,36369332,33.97,-0.48,2530,-0.887,65659175,111,Revised
2018-11-26,POL590502,Age,162.9,303546,1,17,1.93,OBC,-22.34,10.23,947127174,-372290941,-16.36,14.27,3495,-0.621,41807714,709,Paused
2017-10-26,POL261352,Residence,74.3,76730,1,26,17.74,Senior,30.36,29.73,616023596,1064034334,3.28,-19.5,-1169,-0.101,35123805,822,RolledOut
2022-05-23,POL554514,Landholding,62.4,257051,1,54,15.74,None,26.99,-15.58,2263373931,3093086399,-27.12,-14.41,-20,0.151,-16663733,31,Revised
2022-11-20,POL154085,Assets,137.2,350735,0,12,16.08,PwD,23.63,-23.18,286780661,-440372429,-27.18,-16.46,-686,-0.08,-15353740,935,Revised
2019-06-28,POL310468,Landholding,112.5,289197,1,10,15.85,PwD,34.65,25.02,2484212464,2923188447,7.45,-15.23,589,0.624,74693863,153,Draft
2018-12-02,POL155171,HouseholdSize,49.5,351436,0,43,15.16,EWS,-19.19,-28.4,131549532,448839022,-11.22,-17.4,-442,0.016,71178001,759,Notified
2018-04-10,POL662994,Assets,53.6,251914,0,21,1.53,SC,20.94,8.66,1296381733,-382029774,26.33,-18.89,-89,0.48,-4698786,66,Revised
2020-12-04,POL946729,Landholding,102.8,220564,0,15,16.39,ST,-18.29,22.97,481898258,56787897,53.54,10.18,4005,0.977,76770133,294,Piloting
2020-09-09,POL138474,Age,204.4,366017,1,46,3.04,ST,13.09,20.02,2200783557,-223866995,5.77,-0.21,2349,0.313,87704571,758,Retired
2020-03-30,POL643163,Age,218.8,129361,0,15,15.62,OBC,18.08,8.26,947605369,1983842751,-23.0,4.4,3699,0.237,58702007,251,Paused
2025-05-25,POL553434,HouseholdSize,53.9,299342,0,0,10.05,SC,16.61,28.6,290097125,3031802566,-15.38,-4.67,1761,0.529,31052164,885,Notified
2025-11-17,POL278474,Assets,76.1,277220,1,49,5.09,Tribal,-9.11,14.26,7327815,3156359363,8.47,-1.95,3419,0.009,4342792,375,Retired
2024-12-09,POL723615,Income,111.2,325703,1,58,5.67,None,28.0,31.76,1741511108,-330661439,8.99,-12.81,598,0.835,77708628,1061,Draft
2022-01-04,POL803189,Occupation,176.5,199052,1,54,4.86,Migrant,8.96,13.56,2178552891,1479196563,16.86,8.9,-33,0.266,18978110,825,Retired
2025-09-29,POL935269,Income,99.9,197442,1,6,13.06,Senior,29.81,2.43,1800293207,1052073211,50.69,-14.0,1793,0.802,6447569,417,Revised
2019-04-10,POL168775,CasteCategory,86.6,13675,0,28,13.24,SC,1.68,14.83,1056196795,462155872,51.58,19.65,4153,-0.026,43353195,71,Paused
2023-09-27,POL261544,HouseholdSize,163.5,372560,1,53,7.7,ST,-4.42,1.88,2261988575,1446032740,25.86,-7.29,3510,-0.539,79664730,905,Draft
2022-06-26,POL570149,Occupation,183.1,154925,0,37,7.69,OBC,28.92,-14.28,1035256586,332581139,-20.32,-8.25,-41,0.684,75761276,1033,Revised
2022-08-04,POL793029,Residence,142.4,220808,0,17,3.84,None,23.94,5.36,164082503,311704826,-19.11,-11.14,4228,-0.64,69055388,552,RolledOut
2017-08-25,POL276202,Income,180.4,79289,1,21,7.17,Migrant,-19.83,41.11,200020333,3029778508,-6.55,-15.17,1650,0.925,14029396,1155,Piloting
2018-04-25,POL419607,Assets,40.9,246484,1,18,11.93,SingleParent,1.32,14.09,1423806405,2244723240,33.84,-8.71,1026,0.831,64066603,481,Paused
2025-06-02,POL503763,Assets,108.9,138446,0,38,11.25,Senior,-20.46,24.63,1943028086,2309534384,44.85,24.89,229,-0.238,78791474,1061,Notified
2019-06-10,POL693947,Residence,168.0,234022,0,39,2.34,EWS,27.21,19.3,1595867796,1341960097,27.16,-18.91,2263,0.728,72178604,156,Paused
2020-02-17,POL306161,Income,176.7,294135,0,43,13.17,SC,3.7,4.6,-131116428,1015082747,45.25,2.19,1973,0.819,47297112,508,RolledOut
2023-03-25,POL366146,HouseholdSize,80.8,243996,0,16,17.82,OBC,-9.31,0.54,886169547,855060611,-12.23,-4.05,3450,-0.245,42257811,880,RolledOut
2025-01-10,POL222850,CasteCategory,109.7,12251,1,43,14.6,Migrant,-20.78,-15.12,-306633746,-80751147,29.65,15.02,3989,0.778,72816499,632,Retired
2020-08-09,POL290243,Assets,87.5,322432,0,26,0.14,SingleParent,-7.42,-28.84,2261028947,3097075763,-9.07,7.69,2979,0.339,37586228,647,Piloting
2024-05-08,POL934167,Disability,228.7,224347,1,2,14.8,None,-3.12,34.74,-190316465,1966927760,27.24,-18.65,-390,-0.368,7048438,616,Piloting
2022-08-01,POL774977,HouseholdSize,102.2,95359,0,46,0.54,Tribal,33.22,-9.18,2235460340,1329396526,-32.31,-16.39,-705,-0.072,29662328,121,Revised
2018-09-12,POL927933,Disability,225.2,129465,0,5,2.42,OBC,34.41,14.39,573512069,1793792295,22.93,9.61,1716,0.837,73413209,716,RolledOut
2022-01-31,POL945658,Income,225.6,324416,0,0,4.37,SingleParent,2.77,4.67,1254189841,3189334534,49.59,11.05,-578,0.278,-17930270,20,Retired
2025-09-28,POL543961,Disability,150.4,374514,0,42,8.86,None,29.83,-21.82,1614494010,350873678,-10.12,8.69,2203,0.296,25586963,1025,Retired
2025-12-10,POL252632,CasteCategory,222.9,325386,1,5,15.2,None,22.92,-27.34,2001369073,2739226437,47.12,9.49,-530,0.453,74390774,454,Notified
2026-01-04,POL807575,Disability,56.1,354502,1,31,14.65,Migrant,21.17,40.62,1640123192,-218472344,-29.82,17.6,-107,0.494,39716755,1038,Draft
2017-09-01,POL988027,Landholding,66.5,195951,0,20,6.7,Tribal,-8.87,-2.86,1012369809,-578751184,27.27,-2.78,-998,-0.326,23321987,404,Notified
2024-04-25,POL281578,Disability,125.4,166705,1,56,8.53,SingleParent,19.55,-6.44,284973969,2866160848,4.86,-5.66,3523,0.7,58434274,373,Draft
2021-04-25,POL789761,HouseholdSize,185.3,327532,1,18,3.07,Migrant,34.47,-23.63,102561410,-270951509,-32.35,16.93,2037,0.176,47552825,776,Revised
2021-02-07,POL457267,Assets,243.8,157829,0,6,17.13,None,25.4,-29.79,1542204811,2007603305,25.95,-4.99,579,0.948,41914181,133,Paused
2020-11-04,POL934780,Age,138.0,282343,1,8,4.92,EWS,7.53,24.29,699386459,1219379127,-19.81,23.15,880,0.109,5453350,608,Draft
2023-02-10,POL302988,Age,41.6,245219,1,59,3.69,SC,-24.94,36.5,1667788180,961226971,12.18,12.43,-692,-0.612,81310746,667,Piloting
2021-07-29,POL690881,Income,78.1,61152,0,57,17.78,Tribal,-2.39,-10.9,1840899021,3161283971,-11.59,11.6,3588,-0.862,-10731109,330,Draft
2017-09-25,POL175388,Occupation,132.0,123468,1,8,3.81,Senior,14.25,3.55,251444570,627974745,-23.21,20.83,331,0.376,56090946,46,Paused
2020-07-27,POL936231,Landholding,184.9,84988,0,20,3.27,Senior,-16.69,16.55,-425749996,-245185118,-24.4,14.5,-1072,0.126,53630652,1020,Revised
2025-05-15,POL481486,Landholding,163.2,50191,0,1,17.69,None,-0.66,-17.48,999398112,328394436,24.82,-18.07,655,0.736,-5684242,813,Piloting
2018-03-25,POL542643,Occupation,224.0,168072,0,49,1.38,ST,17.62,-2.23,472968823,3061865437,-16.2,0.61,-42,0.701,-9009966,931,Revised
2019-01-06,POL770413,Assets,95.8,79365,1,53,0.6,PwD,28.48,6.71,-190580658,2954820860,-5.64,-2.99,946,-0.243,17637121,855,RolledOut
2018-01-01,POL307333,Landholding,153.4,28583,1,42,8.21,None,17.09,18.34,792730435,509623976,-15.82,-0.86,3662,0.986,-11097409,1105,Paused
2023-07-07,POL770324,Disability,70.3,82782,1,30,5.34,PwD,11.64,43.65,669927092,1474818068,-22.99,-7.33,2969,0.697,84891523,805,Retired
2024-05-12,POL204055,Occupation,175.5,247556,0,22,15.66,SingleParent,-11.44,7.27,176197762,1646484174,-34.74,-10.04,-38,-0.858,74524436,133,Piloting
2024-04-13,POL499048,HouseholdSize,200.1,323372,1,17,13.23,Senior,15.26,-10.71,484945137,3122224752,10.73,4.43,428,-0.325,84306678,310,RolledOut
2017-08-22,POL400898,Residence,147.8,185168,0,42,9.73,EWS,25.31,19.0,-363085187,1768114258,38.07,13.43,1099,0.3,89073318,790,Piloting
2025-10-23,POL501688,Age,134.1,243735,1,34,0.18,SingleParent,1.27,-21.39,2388241249,2628548057,-28.4,-11.71,-531,-0.911,4214232,890,Paused
2025-02-07,POL618397,CasteCategory,79.0,260183,1,27,4.78,PwD,28.34,-29.58,1652867738,-49624782,-18.64,-7.58,210,-0.422,64723021,987,Piloting
2024-06-26,POL642610,Disability,236.2,260578,0,22,16.03,Migrant,-4.67,-1.79,48545725,1275443920,49.46,9.91,351,0.104,30213783,351,Retired
2024-11-04,POL286861,Income,167.3,394744,1,43,4.47,SC,12.96,-24.78,1195771031,2303378562,51.74,10.07,-367,0.916,-15250545,403,Paused
2024-06-07,POL939801,Occupation,211.2,243588,1,59,0.5,Migrant,25.47,5.8,1473429286,-440771779,56.31,-16.12,140,0.738,36617085,509,Piloting
2017-05-02,POL694137,Residence,45.1,218495,0,7,4.16,None,28.27,-5.49,1090909336,1040945738,24.66,-16.51,1048,-0.929,-10960035,1195,RolledOut
2023-05-30,POL235054,Landholding,92.8,346694,0,46,13.62,None,3.1,37.07,1315567911,2991056115,-33.51,2.38,3587,0.585,88505744,838,Draft
2025-04-13,POL240172,CasteCategory,141.3,248379,0,27,15.48,OBC,2.64,-16.63,2107771607,2364958239,-22.86,17.65,2580,-0.705,71561266,854,RolledOut
2022-03-29,POL464421,HouseholdSize,152.6,183256,0,39,5.13,Tribal,31.72,22.03,2171673356,-71690809,-14.11,-10.01,-1098,0.844,70888287,372,Paused
2025-04-08,POL974579,Age,125.0,296967,0,47,4.18,SingleParent,2.99,17.37,-417625937,1259200462,-1.52,24.93,1550,0.33,-11429247,370,Notified
2017-05-19,POL915111,Disability,110.8,89694,1,19,15.07,Senior,-24.8,44.64,1045002312,1147065828,-1.73,24.96,-91,-0.711,-19152286,1064,Paused
2022-06-09,POL316414,Landholding,134.6,269020,1,12,3.53,OBC,4.08,12.67,873311525,-142213827,-18.11,7.13,-1492,0.969,9435382,606,RolledOut
2025-11-02,POL593834,CasteCategory,116.9,306890,1,1,6.54,PwD,11.25,30.55,-376246734,573794104,-18.19,23.23,1893,-0.783,71462047,391,Piloting
2022-02-09,POL395810,Residence,48.4,255426,1,57,6.85,PwD,19.62,-3.66,2221437652,86574933,55.69,-2.32,-305,-0.605,43791737,487,Revised
2021-01-29,POL813609,Age,185.5,75095,0,47,7.13,EWS,-20.25,-24.58,2475405531,3155867151,-26.4,2.58,2382,-0.85,51761323,1032,Revised
2019-08-10,POL767181,Disability,202.0,206001,0,43,1.35,EWS,9.52,0.34,1629459663,1317583187,-33.18,11.65,64,-0.253,-5846286,86,Notified
2024-03-28,POL516367,Residence,105.4,323977,0,2,15.19,ST,11.66,20.44,318129349,-15180244,-32.65,-16.82,-47,-0.652,30681344,1128,Revised
2025-08-04,POL414807,CasteCategory,242.8,161097,0,55,3.87,None,15.78,-10.92,-302216819,1176115414,18.01,14.6,2045,0.984,31150896,694,Notified
2020-06-05,POL928945,Income,247.3,371108,0,6,6.6,OBC,-8.66,-19.59,347806599,-257390677,-13.91,22.15,2044,0.07,87738129,449,Notified
2021-07-04,POL476189,Disability,159.4,19261,1,17,11.47,PwD,21.0,-22.14,1318309237,2598160039,10.63,5.66,3593,0.553,65161105,338,RolledOut
2021-02-22,POL901237,Income,206.8,266025,1,35,14.47,EWS,22.37,9.67,359773426,1829565916,9.18,-10.14,-310,-0.405,-5245400,61,Notified
2022-10-02,POL126914,Residence,154.6,93145,1,0,10.57,Tribal,-16.77,-4.88,1729328048,1379187655,50.85,-14.14,4422,-0.475,30495107,1042,Draft
2021-03-15,POL501354,Residence,94.8,259487,1,45,6.51,Senior,21.33,27.29,2444205903,2173627062,-19.64,-10.2,716,-0.014,64857696,304,Paused
2023-08-14,POL590143,Landholding,54.7,379738,0,55,0.1,OBC,11.98,17.91,139765167,574669971,-5.38,-10.94,4320,0.555,66322200,126,Revised
2025-12-29,POL104509,CasteCategory,112.3,229992,0,24,8.91,Tribal,1.19,40.33,2479435645,946651617,29.56,18.71,-568,0.26,30046696,924,Piloting
2019-10-16,POL156356,Landholding,78.9,174764,1,7,10.12,Migrant,21.75,43.51,999283611,-256300566,15.24,-13.84,4216,-0.04,70609660,776,Piloting
2018-12-03,POL609543,Residence,233.7,343462,0,35,6.47,None,-17.35,-29.95,752047706,317693982,20.46,23.65,4285,-0.714,32295872,114,Draft
2022-01-16,POL773566,Disability,244.0,185442,0,46,11.33,ST,-3.56,-12.36,91682406,-476210903,9.27,15.04,242,-0.007,-16322106,521,Revised
2021-07-23,POL283527,HouseholdSize,151.7,225698,1,58,14.18,Migrant,28.57,-11.87,-283816633,-203513005,42.95,12.96,-281,0.282,69318483,1050,Draft
2020-11-12,POL909143,Landholding,158.3,122831,1,16,0.64,ST,-16.41,35.94,1734176153,1886511575,-23.53,7.78,2118,-0.871,89370299,245,RolledOut
2018-05-29,POL316499,Assets,235.4,219735,1,16,14.61,ST,30.67,-20.05,1514550533,257859501,55.53,-17.98,-676,0.251,10580165,718,Draft
2018-01-13,POL146177,Income,197.0,286322,1,4,10.63,EWS,12.75,1.31,1799786367,-574372925,-17.74,12.34,271,0.922,53259601,729,Paused
2021-06-28,POL486764,Assets,74.0,203718,1,2,5.86,SC,-24.6,-26.01,150135011,143826421,-17.24,-2.78,4398,-0.589,24603605,956,Draft
2023-07-27,POL199205,Residence,239.9,84337,1,44,12.49,SC,-15.67,5.86,1743624123,568716125,-13.03,-14.44,3090,-0.54,24668832,264,Draft
2021-12-17,POL504989,Occupation,160.0,7858,1,13,12.67,SC,-21.87,-27.12,1385789155,-62849564,35.41,17.44,3276,-0.11,80914441,910,Paused
2024-01-27,POL132380,CasteCategory,44.3,87196,0,18,13.64,EWS,21.33,24.35,692029465,209515408,21.85,-4.99,3741,0.437,85598557,4,Piloting
2018-03-30,POL874592,Disability,81.2,340103,0,26,7.43,Senior,-9.75,8.86,19018472,3108106115,-25.21,7.11,2636,-0.03,-8034013,903,Retired
2025-08-05,POL677406,Assets,207.3,383697,1,4,10.38,ST,9.18,44.85,1494450091,-508672487,47.97,-12.96,2800,-0.702,59975618,22,Paused
2023-05-06,POL128159,Income,66.8,224970,0,46,8.58,ST,26.04,43.97,2229469917,1546587806,58.95,-14.24,2895,0.455,-200740,29,Revised
2023-01-16,POL928225,Residence,218.8,331629,1,34,6.55,Senior,29.13,28.84,1904226404,2378567011,12.27,0.09,849,0.061,38411102,108,Notified
2024-07-10,POL365571,HouseholdSize,205.1,18792,0,25,2.33,ST,25.46,-8.05,2455366713,3129630148,-32.86,-18.07,-899,0.535,68094412,886,RolledOut
2025-07-28,POL554820,Landholding,47.4,341436,1,13,16.54,PwD,5.17,-21.58,-46911107,762438419,13.65,7.65,2160,-0.476,4578932,981,RolledOut
