trans_mar_reference_month,trans_mar_port_code,trans_mar_country_iso2,trans_mar_ship_type_code,trans_mar_gross_tonnage_total,trans_mar_cargo_tonnes_total,trans_mar_container_teu_total,trans_mar_passengers_count,trans_mar_vessel_calls_count,trans_mar_port_dwell_time_hours_median,trans_mar_congestion_index,trans_mar_fuel_type_code,trans_mar_sulphur_cap_compliance_flag,trans_mar_ghg_intensity_index,trans_mar_shore_power_available_flag,trans_mar_eu_mrv_reporting_flag,trans_mar_accident_incidents_count,trans_mar_customs_clearance_time_hours_median,trans_mar_data_source,trans_mar_data_extract_date
2018-06,CYPORT208,CY,RORO,50504151.65,270790857.5,2409849,1591437,11106,33.29,2.0927,MGO,1,2.0204,0,1,10,42.69,PORT_AUTHORITY_REPORT,2025-03-12
2018-07,FRPORT209,FR,TANKER,33401406.18,86950215.96,2867434,1835402,21145,79.06,2.1106,VLSFO,1,1.5894,1,1,12,4.49,EU_MRV_DATABASE,2025-12-11
2018-08,ITPORT210,IT,BULK_CARRIER,17693853.41,142798753.63,2176122,682399,6558,14.36,0.1014,HFO_SCRUBBER,1,0.8269,1,0,25,4.93,CUSTOMS_ADMIN_DATA,2025-11-06
2018-09,NLPORT211,NL,CONTAINER,14920732.47,114462938.12,4428499,162618,18101,45.32,0.442,AMMONIA_PILOT,1,0.5917,0,1,38,44.99,EMSA_PORT_STAT,2025-01-06
2018-10,SIPORT212,SI,OFFSHORE_SUPPORT,71843371.27,165003490.49,1720579,1890070,181,6.81,0.165,METHANOL,0,0.3117,1,0,22,50.82,PORT_AUTHORITY_REPORT,2025-07-22
2018-11,BGPORT213,BG,FERRY,6089494.22,185868341.53,3538385,7865216,24883,51.84,1.52,LNG,1,0.5756,1,1,0,71.2,EU_MRV_DATABASE,2024-07-25
2018-12,EEPORT214,EE,GENERAL_CARGO,78678678.45,256815103.32,3623636,19502,2398,23.73,1.4548,MGO,1,1.4165,1,1,33,19.88,CUSTOMS_ADMIN_DATA,2024-08-11
2019-01,HUPORT215,HU,CRUISE,51985216.12,66469381.78,3101163,9502926,13356,61.2,0.8519,VLSFO,1,0.9301,0,1,33,2.2,EMSA_PORT_STAT,2025-03-08
2019-02,LUPORT216,LU,RORO,54886880.12,184038693.3,134596,7367112,5505,62.9,2.0752,HFO_SCRUBBER,1,0.8084,0,0,43,21.4,PORT_AUTHORITY_REPORT,2024-12-19
2019-03,ROPORT217,RO,TANKER,71345699.34,89631943.87,2091245,1444274,24151,44.7,0.8484,AMMONIA_PILOT,1,2.0276,1,1,22,51.95,EU_MRV_DATABASE,2024-05-18
2019-04,ATPORT218,AT,BULK_CARRIER,87653729.66,49281868.06,3498198,1907643,2163,38.58,0.2375,METHANOL,1,0.3434,1,1,30,59.31,CUSTOMS_ADMIN_DATA,2024-07-05
2019-05,CZPORT219,CZ,CONTAINER,44311751.8,89425568.53,5016919,2388423,3206,34.19,0.1007,LNG,1,0.7061,0,0,5,47.52,EMSA_PORT_STAT,2025-10-05
2019-06,DEPORT220,DE,OFFSHORE_SUPPORT,38936107.49,38900842.6,1181088,2192258,18808,61.29,1.2523,MGO,1,1.9511,1,1,53,30.02,PORT_AUTHORITY_REPORT,2025-12-29
2019-07,LVPORT221,LV,FERRY,41178167.21,29106729.18,202308,2148494,5381,53.64,2.1532,VLSFO,0,0.7918,0,1,27,2.23,EU_MRV_DATABASE,2024-08-30
2019-08,PLPORT222,PL,GENERAL_CARGO,12047064.58,83128450.39,2947957,403843,18651,29.43,0.3573,HFO_SCRUBBER,1,2.4755,0,1,32,46.49,CUSTOMS_ADMIN_DATA,2025-11-15
2019-09,ESPORT223,ES,CRUISE,63176766.51,170765366.12,1856779,11489778,28877,42.71,1.831,AMMONIA_PILOT,1,1.23,0,1,10,41.31,EMSA_PORT_STAT,2024-09-03
2019-10,HRPORT224,HR,RORO,68371431.31,144010193.41,739894,3535303,822,7.09,0.5615,METHANOL,1,0.8138,1,0,18,11.79,PORT_AUTHORITY_REPORT,2024-03-06
2019-11,FIPORT225,FI,TANKER,13317924.34,219907856.26,3348235,1334858,14604,48.22,0.1648,LNG,1,1.5321,1,1,2,53.27,EU_MRV_DATABASE,2026-02-24
2019-12,IEPORT226,IE,BULK_CARRIER,64422561.41,83442483.88,851348,1419103,22080,21.13,1.7104,MGO,1,1.2196,1,1,11,33.19,CUSTOMS_ADMIN_DATA,2025-08-10
2020-01,MTPORT227,MT,CONTAINER,46937501.33,75945021.52,9956744,624466,9583,67.59,0.9542,VLSFO,1,1.035,0,1,4,40.71,EMSA_PORT_STAT,2024-04-27
2020-02,SKPORT228,SK,OFFSHORE_SUPPORT,35943023.89,62572692.39,490739,373793,7008,30.79,1.0137,HFO_SCRUBBER,1,1.6244,0,1,60,48.27,PORT_AUTHORITY_REPORT,2024-10-16
2020-03,BEPORT229,BE,FERRY,84654988.04,1882562.72,2502167,3817277,912,49.58,0.3488,AMMONIA_PILOT,1,1.9247,1,1,38,44.68,EU_MRV_DATABASE,2025-09-10
2020-04,DKPORT230,DK,GENERAL_CARGO,41022761.85,293806229.1,3714038,2119701,28663,50.88,2.596,METHANOL,1,0.4139,0,1,42,26.61,CUSTOMS_ADMIN_DATA,2024-06-09
2020-05,GRPORT231,GR,CRUISE,120252489.14,100604582.96,2938105,2387890,1923,32.6,0.1308,LNG,1,1.0696,0,1,9,5.16,EMSA_PORT_STAT,2026-02-11
2020-06,LTPORT232,LT,RORO,70067877.99,1013498.4,1289670,6768462,5536,62.36,0.603,MGO,1,1.1602,1,0,9,1.67,PORT_AUTHORITY_REPORT,2024-04-30
2020-07,PTPORT233,PT,TANKER,51214611.43,2420286.84,870461,2387312,20585,34.9,0.4052,VLSFO,1,1.0455,1,1,33,34.46,EU_MRV_DATABASE,2025-01-18
2020-08,SEPORT234,SE,BULK_CARRIER,57687392.32,56117701.01,364662,975482,19920,76.97,2.0817,HFO_SCRUBBER,1,1.5926,0,0,10,65.97,CUSTOMS_ADMIN_DATA,2024-09-18
2020-09,CYPORT235,CY,CONTAINER,50000593.38,114947087.74,3272616,159332,8653,42.54,1.2082,AMMONIA_PILOT,0,1.2663,0,1,14,15.54,EMSA_PORT_STAT,2025-11-18
2020-10,FRPORT236,FR,OFFSHORE_SUPPORT,69386718.36,77784987.73,3710294,1534903,4215,12.71,0.2194,METHANOL,0,0.6436,0,1,11,14.74,PORT_AUTHORITY_REPORT,2025-02-27
2020-11,ITPORT237,IT,FERRY,68217132.78,319785615.32,912126,7644084,21139,86.38,0.1807,LNG,0,1.4162,1,0,24,9.31,EU_MRV_DATABASE,2024-05-24
2020-12,NLPORT238,NL,GENERAL_CARGO,40475005.55,33325029.52,845240,2263157,6871,39.48,0.2571,MGO,1,0.52,1,1,20,32.79,CUSTOMS_ADMIN_DATA,2025-06-17
2021-01,SIPORT239,SI,CRUISE,7770403.7,253875868.26,1268390,10037838,13908,42.53,1.8264,VLSFO,1,0.9018,0,1,16,23.34,EMSA_PORT_STAT,2024-03-13
2021-02,BGPORT240,BG,RORO,20915359.6,24004143.67,2150206,13435458,11496,65.58,1.1637,HFO_SCRUBBER,1,0.845,0,1,9,36.12,PORT_AUTHORITY_REPORT,2024-11-29
2021-03,EEPORT241,EE,TANKER,60477644.53,10337876.21,333004,688881,3173,58.04,0.341,AMMONIA_PILOT,1,0.6561,0,1,61,52.38,EU_MRV_DATABASE,2024-01-24
2021-04,HUPORT242,HU,BULK_CARRIER,51780317.94,208522222.63,1999009,2037539,8200,24.25,1.1538,METHANOL,1,0.3523,0,1,33,51.93,CUSTOMS_ADMIN_DATA,2024-01-22
2021-05,LUPORT243,LU,CONTAINER,7457630.59,102363539.99,979023,725611,755,9.06,0.8268,LNG,1,0.8056,1,1,23,47.97,EMSA_PORT_STAT,2025-05-03
2021-06,ROPORT244,RO,OFFSHORE_SUPPORT,20245560.77,296915854.2,1594421,326955,629,37.4,1.8583,MGO,1,1.0683,0,1,9,18.64,PORT_AUTHORITY_REPORT,2024-03-08
2021-07,ATPORT245,AT,FERRY,85316477.0,22793281.2,1775198,6817541,13610,7.98,2.7283,VLSFO,1,0.3704,1,0,27,7.98,EU_MRV_DATABASE,2024-09-17
2021-08,CZPORT246,CZ,GENERAL_CARGO,124860034.3,187789087.49,588436,1585849,20473,77.23,0.1079,HFO_SCRUBBER,1,2.1353,0,0,27,5.16,CUSTOMS_ADMIN_DATA,2025-01-17
2021-09,DEPORT247,DE,CRUISE,60280143.33,80072870.63,1323677,8170995,11621,83.25,2.2898,AMMONIA_PILOT,1,0.8308,0,1,10,26.72,EMSA_PORT_STAT,2024-09-14
2021-10,LVPORT248,LV,RORO,74821154.6,100578853.31,2829065,6635508,13241,78.95,0.2692,METHANOL,1,1.605,1,1,13,61.08,PORT_AUTHORITY_REPORT,2025-12-26
2021-11,PLPORT249,PL,TANKER,52930426.39,15984274.19,1403692,1727773,19202,43.26,2.2601,LNG,1,1.9552,0,1,35,67.5,EU_MRV_DATABASE,2024-01-22
2021-12,ESPORT250,ES,BULK_CARRIER,77181781.06,50217201.71,1163979,1159364,1659,61.29,1.1132,MGO,1,0.7915,0,1,34,46.75,CUSTOMS_ADMIN_DATA,2024-10-16
2022-01,HRPORT251,HR,CONTAINER,60959991.3,168119185.1,13214082,1827808,26937,24.19,2.1002,VLSFO,1,2.2192,0,1,21,40.35,EMSA_PORT_STAT,2024-06-15
2022-02,FIPORT252,FI,OFFSHORE_SUPPORT,5984289.95,159817583.1,2264901,918997,6476,58.45,2.5712,HFO_SCRUBBER,1,2.3526,0,0,26,35.1,PORT_AUTHORITY_REPORT,2025-10-09
2022-03,IEPORT253,IE,FERRY,5664965.6,48684691.18,3623059,5203616,12550,10.78,0.2923,AMMONIA_PILOT,1,0.664,0,0,43,5.02,EU_MRV_DATABASE,2024-03-13
2022-04,MTPORT254,MT,GENERAL_CARGO,71101094.74,212622910.29,3480206,1669314,2338,37.23,0.6093,METHANOL,1,1.0648,0,1,1,48.09,CUSTOMS_ADMIN_DATA,2026-01-12
2022-05,SKPORT255,SK,CRUISE,23621124.15,86061359.49,2094141,9822001,28005,55.75,2.0408,LNG,1,1.1845,0,1,25,84.6,EMSA_PORT_STAT,2025-06-19
2022-06,BEPORT256,BE,RORO,71487278.56,285917661.82,3260064,3877972,5676,6.58,1.5202,MGO,1,0.7269,0,0,26,77.36,PORT_AUTHORITY_REPORT,2025-07-18
2022-07,DKPORT257,DK,TANKER,1876234.53,99379143.33,1957333,1615979,11219,80.86,0.5723,VLSFO,1,2.1482,1,1,29,52.84,EU_MRV_DATABASE,2025-09-15
2022-08,GRPORT258,GR,BULK_CARRIER,62506268.94,156027271.56,1756847,250052,5225,13.92,1.6441,HFO_SCRUBBER,1,1.7014,0,1,7,9.67,CUSTOMS_ADMIN_DATA,2025-10-15
2022-09,LTPORT259,LT,CONTAINER,18337670.16,228037550.9,7027091,1349424,26064,59.84,1.4389,AMMONIA_PILOT,1,0.7251,1,1,27,27.91,EMSA_PORT_STAT,2025-06-08
2022-10,PTPORT260,PT,OFFSHORE_SUPPORT,75979493.31,6439375.12,673271,817232,11942,38.97,1.7552,METHANOL,1,0.6351,1,1,42,46.32,PORT_AUTHORITY_REPORT,2025-10-27
2022-11,SEPORT261,SE,FERRY,85482846.44,56735176.01,1042890,4410243,18156,39.74,0.9906,LNG,1,1.6344,1,1,5,24.43,EU_MRV_DATABASE,2024-05-26
2022-12,CYPORT262,CY,GENERAL_CARGO,76368463.65,45936635.87,2295344,171083,26911,78.52,1.1047,MGO,0,0.8882,0,0,37,17.38,CUSTOMS_ADMIN_DATA,2024-03-11
2023-01,FRPORT263,FR,CRUISE,44836581.38,168668509.01,1129659,13732235,6941,11.75,0.8157,VLSFO,1,1.6861,1,1,1,5.98,EMSA_PORT_STAT,2024-02-10
2023-02,ITPORT264,IT,RORO,20327870.11,89217262.71,1800990,2834345,4227,51.84,0.2816,HFO_SCRUBBER,1,1.0877,0,0,19,31.94,PORT_AUTHORITY_REPORT,2024-07-20
2023-03,NLPORT265,NL,TANKER,75578431.64,152330507.14,2123836,2216772,14430,77.55,0.2554,AMMONIA_PILOT,1,1.0647,1,1,65,60.19,EU_MRV_DATABASE,2024-01-29
2023-04,SIPORT266,SI,BULK_CARRIER,46673096.73,77070266.83,302439,1888014,3931,13.93,2.2165,METHANOL,1,0.9424,0,1,22,16.55,CUSTOMS_ADMIN_DATA,2025-02-22
2023-05,BGPORT267,BG,CONTAINER,70673062.64,20051034.56,4812969,1909088,18787,15.87,0.7567,LNG,1,0.8603,1,1,15,27.68,EMSA_PORT_STAT,2025-02-27
2023-06,EEPORT268,EE,OFFSHORE_SUPPORT,98185515.23,169259132.15,1737467,83874,5130,54.21,0.7993,MGO,1,1.9867,0,1,45,1.44,PORT_AUTHORITY_REPORT,2024-02-24
2023-07,HUPORT269,HU,FERRY,19972879.26,26419503.73,1646894,9092214,13376,77.33,1.5481,VLSFO,1,1.6917,0,0,30,20.76,EU_MRV_DATABASE,2024-05-12
2023-08,LUPORT270,LU,GENERAL_CARGO,70572958.46,259123280.12,647392,2376178,2856,4.83,2.728,HFO_SCRUBBER,1,0.5206,0,1,25,50.67,CUSTOMS_ADMIN_DATA,2024-01-23
2023-09,ROPORT271,RO,CRUISE,3606037.83,328044954.28,3694482,13025879,17417,19.03,0.2475,AMMONIA_PILOT,1,0.7851,0,1,1,45.21,EMSA_PORT_STAT,2025-08-08
2023-10,ATPORT272,AT,RORO,76505136.48,342997031.0,2909819,1483180,8012,65.49,1.499,METHANOL,1,0.6497,0,1,13,18.45,PORT_AUTHORITY_REPORT,2025-03-03
2023-11,CZPORT273,CZ,TANKER,39823967.18,127029633.46,3842084,906456,4344,21.06,2.2145,LNG,1,1.6281,0,1,53,73.65,EU_MRV_DATABASE,2024-02-12
2023-12,DEPORT274,DE,BULK_CARRIER,56464021.95,20136262.07,101098,257340,4206,44.73,2.4139,MGO,1,1.9894,0,1,15,72.54,CUSTOMS_ADMIN_DATA,2025-05-14
2024-01,LVPORT275,LV,CONTAINER,76430139.14,36011306.18,10146670,2288311,5451,38.71,1.8739,VLSFO,1,1.481,0,1,20,32.05,EMSA_PORT_STAT,2024-06-12
2024-02,PLPORT276,PL,OFFSHORE_SUPPORT,48195228.01,161398820.94,304645,1115332,21487,47.26,1.1092,HFO_SCRUBBER,1,1.1069,0,1,62,53.93,PORT_AUTHORITY_REPORT,2025-05-25
2024-03,ESPORT277,ES,FERRY,14052333.75,111612393.18,512903,12710519,12397,40.79,2.7002,AMMONIA_PILOT,1,1.4545,0,1,12,3.82,EU_MRV_DATABASE,2024-08-28
2024-04,HRPORT278,HR,GENERAL_CARGO,44124777.42,170017579.81,3115314,1139921,29609,29.14,2.6146,METHANOL,1,1.8102,1,1,29,79.4,CUSTOMS_ADMIN_DATA,2025-05-24
2024-05,FIPORT279,FI,CRUISE,6302631.05,151038045.14,3208805,11601211,7903,48.67,0.5392,LNG,0,1.8757,1,1,32,26.98,EMSA_PORT_STAT,2024-06-15
2024-06,IEPORT280,IE,RORO,28903546.88,326692370.33,24518,3960519,16030,34.72,2.2788,MGO,1,1.7407,0,0,2,12.87,PORT_AUTHORITY_REPORT,2024-04-03
2024-07,MTPORT281,MT,TANKER,43156762.03,25217042.12,2827212,1282121,1707,39.99,1.5255,VLSFO,1,1.0048,0,0,32,77.82,EU_MRV_DATABASE,2025-05-23
2024-08,SKPORT282,SK,BULK_CARRIER,13729976.54,101983482.65,3423157,708513,2573,16.03,1.8935,HFO_SCRUBBER,1,1.8733,1,1,31,23.89,CUSTOMS_ADMIN_DATA,2024-05-31
2024-09,BEPORT283,BE,CONTAINER,79741533.13,143808032.56,9146899,2249681,22307,85.48,2.1324,AMMONIA_PILOT,1,1.8942,0,1,38,7.44,EMSA_PORT_STAT,2024-09-29
2024-10,DKPORT284,DK,OFFSHORE_SUPPORT,33226854.92,145103026.5,2099847,2264106,21102,62.69,1.9467,METHANOL,1,1.2744,1,0,22,67.37,PORT_AUTHORITY_REPORT,2025-05-01
2024-11,GRPORT285,GR,FERRY,2441197.02,67268410.07,3247604,733347,12525,73.15,1.7062,LNG,1,1.6727,1,0,23,36.4,EU_MRV_DATABASE,2024-09-13
2024-12,LTPORT286,LT,GENERAL_CARGO,65807962.72,252229899.51,3339393,414190,6090,32.19,0.9376,MGO,0,0.9708,0,1,5,10.04,CUSTOMS_ADMIN_DATA,2025-09-17
2025-01,PTPORT287,PT,CRUISE,12652258.12,14307020.23,3218143,14215702,22462,58.06,2.7557,VLSFO,0,0.9271,0,1,5,61.26,EMSA_PORT_STAT,2025-05-14
2025-02,SEPORT288,SE,RORO,67874150.26,184846349.21,668797,12348177,13489,24.14,1.1859,HFO_SCRUBBER,1,0.5721,0,1,2,38.8,PORT_AUTHORITY_REPORT,2025-11-24
2025-03,CYPORT289,CY,TANKER,59813305.0,17051296.31,14609,2173145,24295,37.0,1.9894,AMMONIA_PILOT,0,0.3002,0,0,16,12.79,EU_MRV_DATABASE,2024-03-14
2025-04,FRPORT290,FR,BULK_CARRIER,11803636.14,1740072.94,49532,1963132,17237,48.66,1.8371,METHANOL,1,1.2165,1,1,35,30.27,CUSTOMS_ADMIN_DATA,2024-05-09
2025-05,ITPORT291,IT,CONTAINER,30332135.9,264335454.17,2027581,1487510,22733,56.92,0.3188,LNG,1,0.5551,1,1,40,13.04,EMSA_PORT_STAT,2024-08-14
2025-06,NLPORT292,NL,OFFSHORE_SUPPORT,51765491.33,110365823.8,1613842,2239234,12844,9.89,1.1022,MGO,0,1.5793,1,0,42,31.84,PORT_AUTHORITY_REPORT,2025-08-14
2025-07,SIPORT293,SI,FERRY,21330262.37,322221818.72,2138053,4712920,22123,10.95,0.2224,VLSFO,1,2.3228,0,0,19,1.48,EU_MRV_DATABASE,2025-11-05
2025-08,BGPORT294,BG,GENERAL_CARGO,68315346.13,105302054.39,2837527,1531002,14587,66.13,0.8019,HFO_SCRUBBER,1,0.8035,1,0,22,12.75,CUSTOMS_ADMIN_DATA,2024-03-11
2025-09,EEPORT295,EE,CRUISE,16827244.46,225650526.37,1282345,1325896,426,36.94,1.0486,AMMONIA_PILOT,0,0.9816,1,1,26,33.41,EMSA_PORT_STAT,2024-04-10
2025-10,HUPORT296,HU,RORO,82486757.67,117872339.24,3740325,12232767,17348,78.84,1.5875,METHANOL,1,1.1716,0,1,34,52.56,PORT_AUTHORITY_REPORT,2024-08-14
2025-11,LUPORT297,LU,TANKER,30694228.94,138209325.88,640331,1178437,14529,90.4,2.3589,LNG,1,0.6565,1,1,4,84.02,EU_MRV_DATABASE,2024-04-17
2025-12,ROPORT298,RO,BULK_CARRIER,41282014.71,169532425.27,2012766,193957,13055,82.29,1.3719,MGO,1,1.6128,1,1,41,11.96,CUSTOMS_ADMIN_DATA,2024-08-08
2026-01,ATPORT299,AT,CONTAINER,67597791.05,89776628.02,11781576,1535763,3090,60.13,0.487,VLSFO,1,1.2865,0,1,24,38.15,EMSA_PORT_STAT,2025-06-11
2026-02,CZPORT300,CZ,OFFSHORE_SUPPORT,25505628.08,107188441.82,1986094,1354771,21967,73.94,0.6273,HFO_SCRUBBER,1,2.1353,0,0,40,14.17,PORT_AUTHORITY_REPORT,2025-01-29
2026-03,DEPORT301,DE,FERRY,32763241.36,271985886.38,1632107,11817411,16321,65.89,1.7623,AMMONIA_PILOT,0,1.1538,1,1,36,4.43,EU_MRV_DATABASE,2024-03-22
2026-04,LVPORT302,LV,GENERAL_CARGO,76059522.61,109880999.78,1286981,929681,11669,21.91,1.5051,METHANOL,1,1.1128,1,0,16,34.6,CUSTOMS_ADMIN_DATA,2025-09-08
2026-05,PLPORT303,PL,CRUISE,74939754.03,255009313.32,3652653,1729345,25152,50.68,1.1125,LNG,1,1.8632,1,1,38,54.45,EMSA_PORT_STAT,2024-08-28
2026-06,ESPORT304,ES,RORO,90865233.52,26731974.16,1078796,8731505,16149,17.35,0.2298,MGO,1,2.1501,0,1,22,51.53,PORT_AUTHORITY_REPORT,2025-05-01
2026-07,HRPORT305,HR,TANKER,57157200.66,119998674.6,2755526,1046010,6559,65.45,1.2397,VLSFO,1,1.0005,0,0,42,31.04,EU_MRV_DATABASE,2025-10-04
2026-08,FIPORT306,FI,BULK_CARRIER,41857309.78,254219042.91,514873,1675485,984,11.21,2.3589,HFO_SCRUBBER,1,2.4186,0,1,2,60.08,CUSTOMS_ADMIN_DATA,2025-10-05
2026-09,IEPORT307,IE,CONTAINER,18364335.7,107152533.0,10260797,2070357,26899,59.77,1.1762,AMMONIA_PILOT,0,0.7215,1,0,6,29.53,EMSA_PORT_STAT,2026-02-25
2026-10,MTPORT308,MT,OFFSHORE_SUPPORT,9914428.5,50130494.32,228103,1921507,20069,22.17,1.9236,METHANOL,1,1.0381,0,1,57,42.75,PORT_AUTHORITY_REPORT,2026-01-29
2026-11,SKPORT309,SK,FERRY,30212268.07,138940455.44,2573753,5735053,4895,13.01,2.5217,LNG,1,0.3009,0,1,5,29.02,EU_MRV_DATABASE,2024-07-28
2026-12,BEPORT310,BE,GENERAL_CARGO,51159510.86,60620682.98,2828088,1312511,12720,40.27,1.0493,MGO,0,1.8697,0,1,24,44.13,CUSTOMS_ADMIN_DATA,2025-01-29
2016-01,DKPORT311,DK,CRUISE,96873802.85,63403276.66,81685,5804311,2774,11.98,0.9698,VLSFO,1,0.5831,1,1,37,9.67,EMSA_PORT_STAT,2024-08-10
2016-02,GRPORT312,GR,RORO,54910101.98,83959616.11,2510853,9283418,17084,12.11,2.2413,HFO_SCRUBBER,1,1.9895,0,1,10,64.5,PORT_AUTHORITY_REPORT,2024-01-01
2016-03,LTPORT313,LT,TANKER,8730916.5,15269838.69,1051500,884198,15744,37.45,0.6222,AMMONIA_PILOT,1,1.2571,0,1,52,34.47,EU_MRV_DATABASE,2025-08-31
2016-04,PTPORT314,PT,BULK_CARRIER,21815330.54,50914781.82,144700,1471724,3413,54.78,1.3881,METHANOL,1,0.5176,0,1,19,16.51,CUSTOMS_ADMIN_DATA,2025-10-31
2016-05,SEPORT315,SE,CONTAINER,33748928.29,84355769.89,8370941,1747746,10161,91.08,0.1866,LNG,1,1.6946,0,1,43,14.37,EMSA_PORT_STAT,2024-12-27
2016-06,CYPORT316,CY,OFFSHORE_SUPPORT,44585766.91,64051779.56,271742,2367454,13623,43.43,2.3404,MGO,1,0.5617,0,1,58,10.65,PORT_AUTHORITY_REPORT,2024-04-21
2016-07,FRPORT317,FR,FERRY,31898388.0,9551728.54,714897,8994424,15443,19.95,0.546,VLSFO,1,0.485,0,0,16,29.89,EU_MRV_DATABASE,2024-07-26
2016-08,ITPORT318,IT,GENERAL_CARGO,6308915.09,141314650.97,3058538,2329670,25634,42.1,2.3944,HFO_SCRUBBER,0,2.0493,1,1,26,64.9,CUSTOMS_ADMIN_DATA,2025-02-26
2016-09,NLPORT319,NL,CRUISE,62943617.38,83542036.82,1087092,7227067,977,58.43,1.3723,AMMONIA_PILOT,1,1.8849,1,1,39,54.8,EMSA_PORT_STAT,2024-10-20
2016-10,SIPORT320,SI,RORO,51734742.65,219331993.41,2703302,12402487,17538,27.07,1.1211,METHANOL,0,0.8028,0,1,32,21.93,PORT_AUTHORITY_REPORT,2025-09-07
2016-11,BGPORT321,BG,TANKER,63486934.02,142597777.17,125482,1160599,19781,56.73,1.1104,LNG,1,0.4835,1,1,32,4.27,EU_MRV_DATABASE,2025-07-08
2016-12,EEPORT322,EE,BULK_CARRIER,76349492.2,22599724.3,2116235,989489,8501,14.69,2.4873,MGO,1,0.9683,0,1,24,55.68,CUSTOMS_ADMIN_DATA,2025-05-13
2017-01,HUPORT323,HU,CONTAINER,16086640.45,137347623.26,1483549,140381,10488,50.01,0.3723,VLSFO,1,1.5016,0,1,2,37.04,EMSA_PORT_STAT,2025-02-17
2017-02,LUPORT324,LU,OFFSHORE_SUPPORT,77333609.02,254887296.22,2522825,161473,6563,64.88,1.667,HFO_SCRUBBER,1,0.9039,0,1,10,14.51,PORT_AUTHORITY_REPORT,2024-05-13
2017-03,ROPORT325,RO,FERRY,74134058.79,255028028.78,1418843,10802331,14574,30.83,1.5096,AMMONIA_PILOT,1,1.3707,0,1,38,54.51,EU_MRV_DATABASE,2025-11-01
2017-04,ATPORT326,AT,GENERAL_CARGO,17664996.08,106958388.91,1716982,1961588,4745,45.73,1.1804,METHANOL,1,1.4725,0,1,21,49.02,CUSTOMS_ADMIN_DATA,2024-10-01
2017-05,CZPORT327,CZ,CRUISE,36164645.23,78627968.14,1613818,423624,6876,5.62,2.3433,LNG,1,0.4799,0,1,22,13.47,EMSA_PORT_STAT,2025-10-14
2017-06,DEPORT328,DE,RORO,77238097.72,47571855.33,622245,1787976,4738,26.36,1.6619,MGO,1,1.2909,1,1,39,47.69,PORT_AUTHORITY_REPORT,2024-08-04
2017-07,LVPORT329,LV,TANKER,69913792.1,90806838.84,509921,270872,24889,52.45,2.3839,VLSFO,1,2.4897,0,1,0,73.73,EU_MRV_DATABASE,2024-11-18
2017-08,PLPORT330,PL,BULK_CARRIER,109735678.3,186676842.11,3798037,674587,80,50.07,0.1595,HFO_SCRUBBER,1,1.9383,0,1,4,28.75,CUSTOMS_ADMIN_DATA,2025-12-26
2017-09,ESPORT331,ES,CONTAINER,44145093.09,4543155.02,6108622,1277626,23034,40.18,1.2591,AMMONIA_PILOT,1,1.007,1,1,17,54.04,EMSA_PORT_STAT,2025-01-03
2017-10,HRPORT332,HR,OFFSHORE_SUPPORT,11680039.43,10125075.93,1720047,647614,15222,31.61,2.7483,METHANOL,1,0.8274,1,1,64,76.98,PORT_AUTHORITY_REPORT,2025-03-23
2017-11,FIPORT333,FI,FERRY,71288503.88,65526308.92,2919424,8018060,26266,93.51,2.0093,LNG,1,0.5099,1,1,29,5.05,EU_MRV_DATABASE,2024-10-16
2017-12,IEPORT334,IE,GENERAL_CARGO,90068972.81,125909491.29,3631546,64845,21728,80.34,2.3075,MGO,1,0.7392,1,1,42,9.12,CUSTOMS_ADMIN_DATA,2024-10-02
2018-01,MTPORT335,MT,CRUISE,92233751.32,200563455.52,1505957,7416197,20560,7.01,0.6445,VLSFO,1,1.1267,0,1,5,54.71,EMSA_PORT_STAT,2024-04-15
2018-02,SKPORT336,SK,RORO,86269839.4,113592540.48,491204,2829598,6101,41.41,2.6553,HFO_SCRUBBER,1,1.1764,0,0,26,30.42,PORT_AUTHORITY_REPORT,2024-01-08
2018-03,BEPORT337,BE,TANKER,63115890.81,248803022.91,3103413,2217175,24993,24.03,1.2644,AMMONIA_PILOT,1,0.4541,0,1,14,26.62,EU_MRV_DATABASE,2024-03-22
2018-04,DKPORT338,DK,BULK_CARRIER,88858617.51,112050464.24,1249828,900965,6962,29.58,1.3002,METHANOL,1,1.9157,0,1,8,15.55,CUSTOMS_ADMIN_DATA,2025-09-27
2018-05,GRPORT339,GR,CONTAINER,35563875.16,280095711.75,13363224,1068427,20121,27.3,0.1212,LNG,1,0.6239,0,1,37,7.12,EMSA_PORT_STAT,2025-09-08
2018-06,LTPORT340,LT,OFFSHORE_SUPPORT,19913526.62,78063487.36,2130872,1885315,11834,28.38,1.6804,MGO,1,1.0828,1,1,11,10.1,PORT_AUTHORITY_REPORT,2024-05-11
2018-07,PTPORT341,PT,FERRY,92161898.98,89492437.37,2604681,13161328,13404,39.36,0.8294,VLSFO,1,1.7537,1,0,17,2.68,EU_MRV_DATABASE,2025-09-24
2018-08,SEPORT342,SE,GENERAL_CARGO,58703313.92,138570569.64,727031,59891,7321,9.43,0.4007,HFO_SCRUBBER,1,2.192,0,0,24,13.99,CUSTOMS_ADMIN_DATA,2024-06-27
