tech_broadband_reference_year,tech_broadband_country_iso2,tech_broadband_region_nuts_code,tech_broadband_technology_type_code,tech_broadband_households_covered_pct,tech_broadband_households_subscribed_pct,tech_broadband_download_speed_mbps_median,tech_broadband_upload_speed_mbps_median,tech_broadband_latency_ms_median,tech_broadband_5g_coverage_pct,tech_broadband_fiber_coverage_pct,tech_broadband_rural_coverage_gap_pp,tech_broadband_affordability_index,tech_broadband_price_eur_per_month_median,tech_broadband_outage_minutes_avg,tech_broadband_net_neutrality_complaints_count,tech_broadband_public_subsidy_program_code,tech_broadband_infrastructure_investment_eur,tech_broadband_desi_component_score,tech_broadband_data_extract_date
2024,IT,LU271,DSL,79.66,56.98,32.77,13.49,48.91,91.91,51.68,28.64,51.39,40.66,74.93,41,ERDF_CONNECT,166027499.82,78.8,2025-09-22
2025,NL,PL73,DSL,62.66,28.5,27.58,4.4,39.67,43.38,37.11,15.58,66.5,58.48,332.57,84,RRF_BROADBAND,274573333.7,41.98,2025-05-02
2026,SI,FI857,DSL,38.37,28.6,32.03,9.67,36.4,17.15,20.35,12.97,91.07,64.83,13.74,6,CEF2_DIGITAL,181202679.97,67.44,2025-01-23
2014,BG,NL39,DSL,63.79,30.15,29.77,2.45,31.23,59.08,69.81,42.94,95.3,46.41,236.11,12,NONE,97871835.55,69.46,2025-11-19
2015,EE,SE39,DSL,57.46,40.54,33.17,10.59,20.85,14.61,52.68,49.61,68.47,77.92,266.61,3,STATE_AID_GBER,56463546.17,74.62,2025-08-06
2016,HU,IT984,DSL,82.98,44.23,49.51,14.82,40.04,69.48,60.06,43.11,78.03,28.98,224.01,11,NATIONAL_RURAL_FIBER,134234013.47,55.91,2024-07-06
2017,LU,LT30,DSL,71.2,40.71,51.72,1.71,25.52,60.66,61.82,10.9,86.72,50.03,204.33,12,ERDF_CONNECT,40230911.43,34.03,2024-01-03
2018,RO,IE4,DSL,84.29,69.94,26.14,7.23,53.07,87.97,23.49,26.0,93.05,71.63,213.84,10,RRF_BROADBAND,168072298.47,70.09,2025-03-22
2019,AT,FR876,DSL,82.15,37.52,52.43,6.31,41.85,12.74,24.03,9.75,87.52,34.87,148.44,9,CEF2_DIGITAL,218811421.03,58.24,2025-07-02
2020,CZ,HR78,DSL,36.73,22.37,52.83,3.76,43.32,46.17,14.24,8.04,83.53,48.04,185.01,17,NONE,156976151.2,76.96,2025-12-03
2021,DE,EE31,DSL,45.15,30.09,10.53,11.01,37.48,82.25,36.24,36.39,79.17,56.85,233.94,48,STATE_AID_GBER,129380825.9,84.75,2024-09-06
2022,LV,EE761,DSL,70.64,63.85,34.23,9.59,49.57,23.88,33.19,20.44,59.93,83.66,238.14,12,NATIONAL_RURAL_FIBER,97266137.41,48.16,2024-12-30
2023,PL,ES942,DSL,76.07,35.8,41.86,11.13,46.45,10.46,61.33,26.85,44.07,81.26,330.21,14,ERDF_CONNECT,165329994.01,66.97,2025-10-14
2024,ES,FR549,DSL,66.59,23.78,36.47,9.63,47.71,38.57,38.45,32.68,60.28,28.64,52.44,14,RRF_BROADBAND,264091083.42,46.56,2026-01-06
2025,HR,MT83,DSL,84.5,74.92,32.97,7.17,30.73,40.09,57.94,21.97,77.9,32.71,245.44,15,CEF2_DIGITAL,363210321.02,36.98,2024-02-23
2026,FI,LV537,DSL,47.46,37.09,25.28,11.32,54.31,52.28,56.31,24.54,65.29,49.58,341.29,17,NONE,194331374.83,36.52,2025-03-06
2014,IE,LT28,DSL,77.68,57.14,12.35,3.08,19.18,28.54,47.93,6.39,84.63,31.03,33.14,17,STATE_AID_GBER,220268572.69,43.76,2024-04-14
2015,MT,LT220,DSL,72.71,44.97,28.14,8.67,23.54,65.17,9.34,6.36,43.44,22.57,199.62,15,NATIONAL_RURAL_FIBER,267958592.29,47.86,2024-12-05
2016,SK,GR3,DSL,49.63,19.28,31.67,14.15,18.51,81.53,46.98,27.45,61.86,84.05,117.67,76,ERDF_CONNECT,69693746.73,41.25,2024-07-22
2017,BE,CY71,DSL,67.4,31.05,14.74,5.68,52.11,56.41,51.52,12.39,75.92,70.7,151.82,20,RRF_BROADBAND,210379878.75,22.96,2025-07-01
2018,DK,SE98,DSL,79.14,31.96,25.87,4.9,24.69,77.26,8.08,21.81,45.36,82.24,352.27,19,CEF2_DIGITAL,248882400.42,42.63,2024-01-13
2019,GR,BE308,DSL,67.47,60.93,40.37,8.69,37.49,71.78,46.15,50.45,46.72,56.09,412.34,25,NONE,119058157.37,40.28,2025-01-14
2020,LT,NL208,DSL,49.82,36.8,10.01,6.18,22.48,18.78,34.26,19.21,63.16,71.13,80.28,27,STATE_AID_GBER,267071416.6,33.1,2024-04-29
2021,PT,EE386,DSL,48.34,18.18,24.44,12.28,33.71,82.2,34.27,49.0,53.78,21.4,303.52,29,NATIONAL_RURAL_FIBER,248430196.22,60.43,2025-07-29
2022,SE,FI81,DSL,67.03,58.59,12.68,9.7,38.2,18.04,41.24,39.75,43.94,61.17,351.12,61,ERDF_CONNECT,323193547.49,35.18,2024-02-02
2023,CY,ES401,DSL,58.88,24.67,26.52,5.77,36.97,75.06,43.6,46.79,82.88,58.77,100.69,26,RRF_BROADBAND,199576270.14,80.52,2026-01-11
2024,FR,MT4,DSL,75.24,66.83,12.72,3.68,26.94,31.4,41.35,19.24,60.38,82.9,121.5,35,CEF2_DIGITAL,135576669.88,58.47,2026-01-28
2025,IT,LV88,DSL,50.55,35.87,44.97,14.52,46.91,44.73,37.1,9.47,53.21,47.55,296.22,80,NONE,268239350.6,84.76,2025-03-11
2026,NL,SK27,DSL,41.5,17.76,35.04,13.75,39.05,80.04,67.53,32.32,76.12,60.82,359.8,36,STATE_AID_GBER,96621407.14,50.37,2025-09-12
2014,SI,MT785,DSL,58.12,39.84,29.17,6.76,27.8,46.01,46.35,44.36,71.17,28.04,362.45,38,NATIONAL_RURAL_FIBER,163552223.44,29.2,2024-02-28
2015,BG,PT597,DSL,43.42,35.98,28.26,8.76,53.55,65.87,49.76,38.0,62.44,24.02,78.3,33,ERDF_CONNECT,272440938.73,73.1,2024-08-24
2016,EE,EE69,DSL,80.09,60.59,30.5,10.68,52.91,31.18,9.62,44.86,49.08,69.72,113.43,62,RRF_BROADBAND,185529840.88,79.08,2025-02-26
2017,HU,AT2,DSL,36.45,31.3,53.43,12.92,37.82,19.41,6.84,40.83,95.18,47.33,304.44,42,CEF2_DIGITAL,183926519.67,28.19,2024-10-03
2018,LU,CZ763,DSL,48.17,36.93,54.81,13.09,34.78,29.55,43.7,43.38,78.68,70.61,325.0,33,NONE,230298957.29,84.74,2025-08-30
2019,RO,PL483,DSL,49.69,41.02,26.69,13.82,19.57,94.7,7.18,8.16,55.63,32.74,236.45,35,STATE_AID_GBER,194260617.74,82.19,2024-06-18
2020,AT,BE783,DSL,73.99,41.77,11.76,8.84,39.5,12.33,11.43,46.81,82.45,79.54,258.45,64,NATIONAL_RURAL_FIBER,322995187.31,30.65,2025-11-07
2021,CZ,FR1,DSL,71.95,58.23,11.45,8.36,22.48,29.6,56.68,9.38,83.14,84.62,414.68,36,ERDF_CONNECT,220732736.38,30.1,2025-07-07
2022,DE,CY419,DSL,74.98,29.47,38.09,10.76,33.57,95.82,46.01,23.32,50.95,77.08,185.45,62,RRF_BROADBAND,184516809.7,24.07,2024-01-10
2023,LV,PL367,DSL,84.82,29.74,25.44,11.35,26.63,69.71,5.07,39.08,54.56,40.32,308.56,39,CEF2_DIGITAL,148981414.14,20.21,2025-06-06
2024,PL,SK62,DSL,73.73,48.87,28.32,8.77,33.85,25.01,5.1,16.55,60.42,23.42,168.19,37,NONE,228412476.14,51.12,2025-08-04
2025,ES,DK12,DSL,60.01,45.69,32.72,2.53,41.36,33.34,51.34,49.9,61.14,39.95,334.79,46,STATE_AID_GBER,68529012.79,77.01,2024-10-04
2026,HR,GR62,DSL,45.04,38.98,35.11,13.04,42.21,86.93,29.59,7.77,58.52,20.43,211.41,46,NATIONAL_RURAL_FIBER,174342834.12,26.75,2025-08-16
2014,FI,AT273,DSL,80.27,43.98,33.49,5.89,46.94,75.8,73.64,38.23,63.68,25.65,70.85,0,ERDF_CONNECT,258963109.74,75.84,2025-07-26
2015,IE,CZ3,DSL,48.48,30.69,45.18,8.32,43.65,74.39,33.46,43.23,55.87,46.1,172.6,3,RRF_BROADBAND,154933379.83,66.99,2024-08-15
2016,MT,BE72,DSL,52.98,25.92,37.43,13.77,43.6,97.26,64.58,25.8,63.29,21.54,95.95,6,CEF2_DIGITAL,52343947.66,60.54,2025-06-17
2017,SK,RO216,DSL,42.07,17.95,45.84,11.85,45.3,95.96,56.83,24.04,75.19,31.3,268.98,20,NONE,344298201.9,52.16,2024-01-27
2018,BE,HU9,DSL,52.81,19.81,14.96,2.02,46.6,21.96,73.26,15.71,72.12,47.64,220.72,13,STATE_AID_GBER,207833988.18,65.12,2026-01-11
2019,DK,FI7,DSL,58.44,42.65,44.2,10.97,38.83,14.94,17.88,8.45,72.69,47.42,313.39,45,NATIONAL_RURAL_FIBER,242259884.34,58.09,2024-05-19
2020,GR,CZ149,DSL,62.47,27.82,48.06,12.53,36.05,21.21,5.85,8.02,87.23,60.12,321.23,6,ERDF_CONNECT,30547115.47,49.0,2025-03-26
2021,LT,SI51,DSL,79.56,63.76,44.93,7.56,33.05,77.39,44.43,36.97,49.21,59.41,361.71,7,RRF_BROADBAND,194508778.32,57.94,2025-07-23
2022,PT,DK9,DSL,73.7,46.62,51.69,7.11,27.55,51.88,72.08,32.51,44.75,70.04,374.97,9,CEF2_DIGITAL,171416183.75,63.1,2024-05-31
2023,SE,ES399,DSL,43.97,40.26,31.28,11.58,18.95,83.82,6.59,39.28,91.22,24.89,145.9,38,NONE,426458223.42,81.6,2025-03-04
2024,CY,CZ5,DSL,53.98,32.39,54.75,13.21,22.69,25.97,25.64,53.45,64.36,79.34,243.99,34,STATE_AID_GBER,4547541.21,80.65,2025-03-21
2025,FR,AT995,DSL,71.76,48.36,42.0,13.48,47.58,93.04,7.12,7.42,61.39,34.83,393.35,69,NATIONAL_RURAL_FIBER,36145937.07,47.31,2024-10-16
2026,IT,LT60,DSL,57.78,29.19,25.17,3.79,39.4,34.9,23.7,38.02,46.89,47.07,104.09,23,ERDF_CONNECT,22247477.27,38.63,2025-12-13
2014,NL,SI247,DSL,55.41,33.19,54.59,13.14,48.65,10.09,17.01,53.4,65.66,19.5,405.87,22,RRF_BROADBAND,20085476.21,82.89,2024-02-26
2015,SI,LV543,DSL,55.66,36.97,11.7,4.05,27.82,17.6,18.73,32.96,63.99,19.73,396.28,20,CEF2_DIGITAL,284319963.75,78.13,2024-05-24
2016,BG,MT26,DSL,56.71,46.03,36.11,3.55,48.04,25.05,26.43,14.5,44.53,43.5,153.96,31,NONE,346162908.82,81.13,2024-11-18
2017,EE,PL26,DSL,36.66,22.0,47.1,13.85,49.9,85.4,73.17,52.71,59.75,70.61,334.0,27,STATE_AID_GBER,162023458.79,25.47,2024-09-14
2018,HU,LV32,DSL,59.11,28.56,17.51,8.47,45.51,15.92,47.45,6.67,96.59,51.35,223.1,22,NATIONAL_RURAL_FIBER,232031513.23,82.52,2024-09-08
2019,LU,HU813,DSL,81.79,35.72,53.5,12.8,28.1,63.25,73.02,34.26,52.55,24.3,375.13,18,ERDF_CONNECT,38840417.52,35.15,2024-08-02
2020,RO,IE35,DSL,66.92,26.05,20.73,13.68,39.19,27.6,71.0,6.66,59.09,53.1,24.71,29,RRF_BROADBAND,26099452.37,52.63,2026-02-15
2021,AT,FI3,DSL,74.79,45.61,26.32,10.09,54.87,83.71,73.41,39.29,69.54,40.7,382.41,30,CEF2_DIGITAL,262901527.72,31.05,2024-08-02
2022,CZ,DE6,DSL,35.33,24.75,13.64,3.66,40.48,49.11,44.88,17.28,80.06,37.45,44.03,27,NONE,78916022.64,26.31,2025-11-26
2023,DE,IE275,DSL,55.21,45.75,43.88,9.44,53.34,89.09,25.36,31.74,53.4,46.02,37.07,31,STATE_AID_GBER,315111379.23,53.65,2024-11-21
2024,LV,DK81,DSL,51.74,43.14,27.72,1.86,19.1,50.63,58.03,38.61,88.21,41.9,336.08,41,NATIONAL_RURAL_FIBER,369566736.11,69.01,2025-06-02
2025,PL,BE23,DSL,43.82,35.37,33.69,3.71,24.3,28.44,48.49,44.34,72.53,65.79,147.99,73,ERDF_CONNECT,346036281.36,45.0,2024-05-12
2026,ES,IE981,DSL,43.4,31.72,40.45,9.2,28.42,97.19,65.31,45.63,73.88,63.47,193.1,34,RRF_BROADBAND,121473897.7,47.89,2025-05-06
2014,HR,BG6,DSL,71.38,29.33,32.86,9.29,31.51,67.75,15.1,11.01,48.24,36.71,317.92,33,CEF2_DIGITAL,258685118.1,55.83,2024-07-15
2015,FI,PT8,DSL,65.36,30.48,14.47,11.91,33.52,59.49,74.49,17.03,57.1,48.54,164.58,36,NONE,74118381.79,67.6,2024-03-07
2016,IE,FI8,DSL,79.46,69.09,16.65,7.92,51.73,11.12,45.82,26.62,45.34,48.13,381.22,31,STATE_AID_GBER,180349194.98,59.67,2025-07-14
2017,MT,CY9,DSL,44.95,25.97,17.97,14.83,50.06,22.3,35.98,44.89,63.69,43.54,373.38,39,NATIONAL_RURAL_FIBER,213051601.79,61.75,2024-07-25
2018,SK,BE75,DSL,74.2,44.85,53.82,11.61,50.77,47.14,18.31,21.93,60.27,21.84,204.81,37,ERDF_CONNECT,101160192.02,31.26,2024-08-23
2019,BE,DK6,DSL,53.07,36.53,46.15,7.55,32.53,49.01,7.94,34.43,61.83,81.92,264.16,32,RRF_BROADBAND,109660254.75,84.25,2024-06-12
2020,DK,IT384,DSL,52.93,34.33,36.6,6.67,42.5,79.24,32.66,34.99,58.91,74.92,389.55,37,CEF2_DIGITAL,67858556.84,84.06,2025-05-25
2021,GR,DE996,DSL,47.33,20.61,14.24,4.49,25.88,25.73,73.95,11.94,80.31,34.82,419.28,37,NONE,28361109.99,80.22,2025-06-13
2022,LT,DE337,DSL,72.98,55.3,25.33,7.21,52.01,96.65,16.19,38.54,60.81,71.55,359.9,47,STATE_AID_GBER,140139523.53,58.28,2024-07-20
2023,PT,FI93,DSL,77.28,37.45,35.67,2.56,40.14,65.36,70.67,9.73,90.41,74.51,302.6,37,NATIONAL_RURAL_FIBER,227400535.55,55.98,2024-08-17
2024,SE,BG513,DSL,48.0,24.43,15.03,14.99,43.75,14.14,21.51,31.95,83.14,69.39,47.63,41,ERDF_CONNECT,89914998.44,29.98,2025-02-20
2025,CY,IT803,DSL,46.95,28.53,44.41,7.1,39.61,59.17,16.24,9.71,73.14,61.59,158.5,41,RRF_BROADBAND,163973983.6,25.39,2024-10-20
2026,FR,ES548,DSL,41.5,32.17,22.61,14.86,18.48,27.64,42.71,32.22,73.33,24.51,397.22,38,CEF2_DIGITAL,47602465.78,25.98,2025-06-20
2014,IT,LU852,DSL,74.67,39.74,12.3,3.66,34.06,52.94,64.7,19.44,58.07,37.49,151.69,46,NONE,53329056.33,31.14,2026-01-20
2015,NL,ES78,DSL,35.41,15.82,53.95,10.05,48.07,19.05,36.62,41.96,65.82,83.4,314.88,12,STATE_AID_GBER,236834118.76,75.64,2025-04-05
2016,SI,ES92,DSL,48.7,33.49,11.26,5.75,39.38,24.06,28.26,39.61,76.53,35.71,309.28,55,NATIONAL_RURAL_FIBER,284859878.85,26.11,2024-03-05
2017,BG,DE17,DSL,71.6,55.7,50.65,10.7,23.72,74.9,57.23,19.62,50.57,37.1,185.91,37,ERDF_CONNECT,314140060.52,56.23,2024-09-17
2018,EE,NL2,DSL,68.98,26.99,43.47,12.87,54.45,10.55,52.15,19.79,84.29,47.18,229.08,11,RRF_BROADBAND,73982383.45,55.83,2025-05-13
2019,HU,MT621,DSL,58.16,42.25,16.71,2.76,29.04,82.33,17.91,15.72,97.23,35.81,227.75,15,CEF2_DIGITAL,73639711.75,35.47,2025-12-04
2020,LU,LV859,DSL,50.27,36.13,49.15,9.51,27.91,11.27,29.42,54.93,80.46,44.83,327.9,7,NONE,309424300.46,33.92,2024-06-19
2021,RO,LT871,DSL,40.61,27.31,46.56,12.62,39.95,10.69,9.41,26.96,77.08,29.08,212.22,26,STATE_AID_GBER,284127573.96,28.91,2024-11-12
2022,AT,EE51,DSL,36.12,33.11,19.52,3.28,46.12,67.26,58.76,45.12,65.03,44.57,16.42,16,NATIONAL_RURAL_FIBER,161930028.56,29.03,2025-12-02
2023,CZ,MT3,DSL,42.79,20.64,12.89,10.9,38.9,31.29,65.94,36.9,77.17,47.6,351.17,10,ERDF_CONNECT,307119715.83,73.58,2025-03-06
2024,DE,ES2,DSL,77.86,42.1,34.5,7.79,33.31,31.85,72.57,29.83,85.73,58.21,263.69,19,RRF_BROADBAND,76803977.0,61.15,2024-08-04
2025,LV,SI20,DSL,78.41,30.04,21.92,10.4,54.5,47.71,38.54,6.72,64.86,34.78,187.5,22,CEF2_DIGITAL,131764609.41,82.95,2025-07-16
2026,PL,AT9,DSL,78.72,45.59,40.13,5.56,18.13,70.09,61.84,53.26,90.36,59.42,86.33,17,NONE,85602232.52,73.01,2025-08-08
2014,ES,IT36,DSL,68.98,37.34,21.07,12.77,29.63,35.35,11.07,31.39,63.75,73.49,132.83,12,STATE_AID_GBER,102622608.68,74.89,2024-11-17
2015,HR,PT4,DSL,70.84,47.15,53.08,8.87,34.89,78.62,7.48,13.61,93.28,44.69,288.88,25,NATIONAL_RURAL_FIBER,46464168.11,70.16,2026-02-08
2016,FI,IE60,DSL,71.55,58.45,30.78,14.41,31.47,37.89,28.41,51.88,75.71,43.07,133.72,69,ERDF_CONNECT,201533226.68,31.16,2025-02-12
2017,IE,BE7,DSL,69.82,53.92,16.76,5.65,40.68,75.48,40.75,54.42,40.12,22.11,221.2,15,RRF_BROADBAND,247403413.56,48.67,2024-07-30
2018,MT,SE506,DSL,66.98,31.37,10.4,14.24,46.82,75.06,69.36,15.85,78.49,44.08,292.13,21,CEF2_DIGITAL,30157787.81,51.18,2025-02-20
2019,SK,IT157,DSL,68.14,55.07,34.09,14.14,42.87,42.33,13.13,53.8,49.36,21.28,402.99,29,NONE,148902961.51,62.33,2024-11-12
2020,BE,CZ878,DSL,54.71,42.12,35.99,5.41,36.35,28.03,62.95,34.97,62.57,45.44,185.07,28,STATE_AID_GBER,259544921.28,82.56,2024-04-20
2021,DK,EE8,DSL,44.54,36.55,28.09,9.42,37.48,77.23,14.77,39.54,60.0,18.86,406.74,31,NATIONAL_RURAL_FIBER,69306758.33,39.11,2024-03-11
2022,GR,BE214,DSL,42.78,16.67,12.63,1.74,54.99,59.58,65.96,51.12,75.24,60.65,175.69,23,ERDF_CONNECT,113187757.74,77.19,2026-02-17
2023,LT,CZ785,DSL,75.9,67.57,16.65,14.83,50.25,46.69,14.15,35.86,76.6,77.06,62.95,26,RRF_BROADBAND,57268264.94,60.6,2024-11-23
2024,PT,SK171,DSL,65.87,41.46,13.86,9.78,51.22,71.26,30.36,45.61,89.39,49.35,413.11,75,CEF2_DIGITAL,13953740.6,60.24,2025-04-25
2025,SE,GR789,DSL,84.53,29.61,40.93,1.87,44.19,41.63,47.33,13.64,43.24,69.94,358.37,29,NONE,104810641.18,21.24,2024-01-22
2026,CY,AT36,DSL,77.58,30.27,20.26,10.55,37.69,23.86,13.8,53.49,64.63,38.31,404.39,32,STATE_AID_GBER,114516051.13,83.35,2025-02-26
2014,FR,EE52,DSL,79.73,29.73,32.32,13.14,27.89,57.55,59.75,8.53,76.38,21.65,72.65,31,NATIONAL_RURAL_FIBER,98970918.2,80.55,2024-02-19
2015,IT,FI324,DSL,36.16,20.76,37.76,11.68,54.16,67.87,29.72,34.7,65.32,32.25,305.96,28,ERDF_CONNECT,62788480.92,61.91,2025-08-03
2016,NL,GR72,DSL,44.3,25.85,10.92,10.21,44.19,22.06,64.56,49.53,64.67,38.61,165.52,39,RRF_BROADBAND,200981407.57,48.05,2024-11-12
2017,SI,SI81,DSL,77.52,57.16,43.56,9.41,43.76,18.33,37.38,15.97,46.7,74.03,396.62,35,CEF2_DIGITAL,85376779.05,41.69,2026-01-24
2018,BG,CZ230,DSL,51.51,41.7,19.26,4.73,48.38,46.27,60.35,32.55,75.03,62.58,297.4,31,NONE,165133373.44,38.87,2024-04-13
2019,EE,DE11,DSL,72.95,35.96,28.46,2.35,48.51,32.64,74.46,15.6,58.17,69.83,217.7,37,STATE_AID_GBER,314889249.98,42.63,2025-09-08
2020,HU,SK282,DSL,47.52,17.64,42.47,7.69,45.03,67.3,46.06,50.99,84.4,50.6,175.59,34,NATIONAL_RURAL_FIBER,52438048.15,78.71,2025-02-15
2021,LU,RO800,DSL,74.24,66.22,28.46,4.6,26.33,54.65,31.47,27.74,74.33,56.04,58.21,36,ERDF_CONNECT,149537316.23,64.3,2024-01-15
2022,RO,AT86,DSL,64.97,25.87,25.22,6.54,25.2,74.77,49.77,24.65,92.61,71.34,44.84,38,RRF_BROADBAND,12806460.91,58.02,2025-10-29
2023,AT,PL507,DSL,40.59,21.35,19.44,8.94,29.65,23.22,37.52,32.0,44.74,27.53,72.46,42,CEF2_DIGITAL,242790479.79,45.24,2025-08-23
2024,CZ,HU70,DSL,77.06,43.56,54.26,2.95,52.24,94.87,64.23,7.74,62.93,72.28,354.7,42,NONE,87859676.69,27.7,2025-10-19
2025,DE,SK92,DSL,69.18,46.61,48.84,14.09,48.28,34.12,15.64,38.42,79.45,76.93,251.87,43,STATE_AID_GBER,364016777.23,73.9,2025-11-21
2026,LV,IE6,DSL,35.5,16.84,20.37,12.13,47.05,52.61,24.74,52.28,43.91,84.55,215.44,63,NATIONAL_RURAL_FIBER,163757190.51,66.05,2025-11-21
2014,PL,LU770,DSL,69.92,43.13,20.16,11.43,41.85,43.98,41.7,52.71,43.51,23.92,140.5,40,ERDF_CONNECT,206264413.64,84.69,2025-09-04
2015,ES,PL63,DSL,72.53,26.58,41.73,2.22,26.53,19.67,28.76,50.29,83.27,26.75,416.26,46,RRF_BROADBAND,165836451.13,53.6,2024-04-13
2016,HR,SE74,DSL,78.37,57.91,34.82,9.29,35.03,27.63,56.97,12.95,54.38,77.85,125.94,30,CEF2_DIGITAL,155960094.34,34.61,2026-02-02
2017,FI,LT921,DSL,80.06,36.65,45.12,8.15,47.65,50.7,21.63,33.98,79.61,32.47,116.76,3,NONE,194633603.85,84.68,2024-04-06
2018,IE,HR39,DSL,82.92,40.95,25.76,4.67,23.22,13.83,41.55,32.63,46.23,80.26,110.14,14,STATE_AID_GBER,276401232.59,70.33,2024-02-26
2019,MT,MT98,DSL,60.97,34.93,52.26,2.35,54.92,19.51,8.56,41.09,41.6,65.0,340.98,20,NATIONAL_RURAL_FIBER,124174658.84,69.47,2025-08-24
2020,SK,LT878,DSL,69.55,51.83,45.48,5.42,31.9,17.19,17.21,17.64,71.47,47.38,312.06,48,ERDF_CONNECT,217645339.13,27.23,2025-12-12
2021,BE,SI87,DSL,83.25,43.47,41.89,12.47,51.47,79.3,32.84,44.42,44.82,48.45,300.22,10,RRF_BROADBAND,179242242.99,76.9,2024-09-18
2022,DK,LT72,DSL,70.77,34.87,32.86,3.92,32.42,38.72,55.03,13.32,57.22,29.17,308.19,9,CEF2_DIGITAL,129710853.61,20.06,2024-10-29
2023,GR,LV137,DSL,71.52,49.01,47.17,2.73,19.67,58.33,16.14,34.38,66.17,56.98,403.19,16,NONE,138924572.27,21.12,2024-06-22
2024,LT,SE66,DSL,51.67,21.24,43.6,13.64,27.45,38.22,39.83,16.26,55.64,53.62,342.41,18,STATE_AID_GBER,24110274.82,38.18,2024-07-12
2025,PT,FR41,DSL,45.53,36.5,19.17,9.82,53.75,60.19,74.0,13.51,56.11,56.19,403.91,17,NATIONAL_RURAL_FIBER,75146616.47,71.13,2024-05-08
2026,SE,FR137,DSL,69.22,25.99,31.83,10.7,50.26,59.45,55.81,36.25,51.62,39.89,72.38,67,ERDF_CONNECT,142299190.7,25.36,2024-10-16
2014,CY,CY42,DSL,36.03,16.65,46.92,4.63,33.04,82.81,53.58,52.3,44.11,55.33,242.1,15,RRF_BROADBAND,260404557.87,39.97,2025-05-01
2015,FR,BG21,DSL,35.97,15.54,26.78,5.82,26.31,69.76,45.67,49.02,43.14,22.6,86.5,19,CEF2_DIGITAL,87627011.19,68.77,2024-09-17
2016,IT,ES920,DSL,53.91,28.41,45.16,6.33,28.1,30.54,32.42,44.65,51.36,67.8,339.41,13,NONE,248121354.51,31.66,2025-09-22
2017,NL,CZ897,DSL,62.92,26.28,33.24,1.64,48.51,86.98,9.24,17.82,95.91,66.35,378.72,21,STATE_AID_GBER,429515202.74,72.91,2024-02-05
2018,SI,AT421,DSL,64.92,23.22,23.73,2.13,30.66,43.72,73.76,10.62,44.12,20.82,227.37,16,NATIONAL_RURAL_FIBER,198128417.51,42.92,2024-08-07
2019,BG,PL68,DSL,60.92,21.72,18.85,8.59,25.66,69.36,72.86,51.34,55.57,33.21,226.22,19,ERDF_CONNECT,140749071.54,44.21,2024-05-07
2020,EE,NL4,DSL,64.4,34.27,10.18,10.5,25.59,68.18,27.53,14.39,59.36,65.36,344.87,26,RRF_BROADBAND,252175665.67,49.59,2025-10-21
2021,HU,DK27,DSL,68.51,36.53,16.16,9.79,21.52,88.64,59.45,36.0,96.72,58.24,170.19,30,CEF2_DIGITAL,61383626.08,36.53,2025-09-23
2022,LU,MT813,DSL,53.88,27.52,19.88,14.94,33.89,81.62,22.56,33.06,77.67,51.14,155.42,51,NONE,208104166.42,64.98,2025-11-02
2023,RO,LU275,DSL,43.6,37.82,23.0,14.17,34.38,26.68,66.3,43.92,83.14,65.62,123.61,57,STATE_AID_GBER,52293505.14,63.49,2024-01-16
2024,AT,IT772,DSL,49.55,42.96,43.07,7.93,20.26,10.52,59.43,6.13,72.89,60.07,134.69,23,NATIONAL_RURAL_FIBER,114683062.86,70.47,2024-05-28
2025,CZ,PT249,DSL,57.15,30.13,36.29,2.14,46.92,35.6,13.68,34.43,68.21,44.13,100.28,35,ERDF_CONNECT,15194558.8,37.31,2024-03-16
2026,DE,SE757,DSL,60.61,43.27,25.61,8.87,45.28,25.24,21.15,52.65,56.76,43.7,198.55,32,RRF_BROADBAND,154392923.47,46.91,2024-03-17
2014,LV,LT38,DSL,36.46,14.28,31.07,1.57,39.07,79.55,65.44,20.5,41.7,72.36,74.73,31,CEF2_DIGITAL,184381399.23,35.41,2024-03-31
2015,PL,LU4,DSL,50.41,21.67,40.47,7.76,52.06,67.47,33.96,49.45,53.44,35.42,126.41,29,NONE,216119635.51,77.14,2025-04-14
2016,ES,CY770,DSL,81.78,66.05,15.95,12.68,23.45,72.96,8.61,9.1,45.42,30.78,243.65,26,STATE_AID_GBER,70983710.33,50.23,2025-04-16
2017,HR,LU64,DSL,53.71,30.15,48.69,9.4,52.95,94.74,40.06,48.17,54.73,66.1,117.97,38,NATIONAL_RURAL_FIBER,10319352.03,52.85,2025-03-23
2018,FI,SI741,DSL,43.82,23.23,42.71,12.63,44.02,30.55,68.27,45.53,77.28,22.0,306.21,75,ERDF_CONNECT,258515810.92,55.67,2024-05-20
2019,IE,FI491,DSL,83.86,42.94,30.88,5.02,18.97,15.62,55.45,48.2,73.93,33.75,127.42,84,RRF_BROADBAND,180808999.09,68.8,2025-03-05
2020,MT,HR5,DSL,61.32,22.0,38.1,6.31,45.77,90.71,48.55,11.04,68.23,72.22,346.23,33,CEF2_DIGITAL,12915759.23,58.36,2025-03-17
2021,SK,CY30,DSL,78.65,42.29,11.47,7.47,40.58,94.45,28.19,46.43,91.09,48.07,294.31,34,NONE,73844829.21,46.58,2025-12-16
2022,BE,MT11,DSL,45.78,19.56,35.82,10.9,34.93,44.3,38.9,51.85,80.77,33.89,70.73,45,STATE_AID_GBER,145507268.9,45.05,2024-09-12
