tax_vat_reference_year,tax_vat_country_iso2,tax_vat_region_nuts_code,tax_vat_vat_rate_standard_pct,tax_vat_vat_rate_reduced_pct,tax_vat_tax_base_eur,tax_vat_net_vat_revenue_eur,tax_vat_gross_vat_revenue_eur,tax_vat_refunds_eur,tax_vat_vies_transactions_count,tax_vat_one_stop_shop_oss_flag,tax_vat_e_invoicing_mandate_flag,tax_vat_vat_gap_eur,tax_vat_vat_gap_pct,tax_vat_compliance_rate_pct,tax_vat_audit_yield_eur,tax_vat_late_payment_interest_eur,tax_vat_carousel_fraud_cases_count,tax_vat_data_source,tax_vat_data_extract_date
2015,ES,LV97,17.17,6.28,88556240802.67,12081498096.54,15645555504.79,3564057408.25,1223774,0,0,1585354953.85,11.6,88.4,228013093.22,19812734.1,61,EUROFISC,2024-12-14
2016,HR,FI34,18.04,11.12,88700111282.72,12279813144.44,15705648726.43,3425835581.99,1227224,0,1,2400178660.03,16.35,83.65,222181963.98,14728788.24,95,VIES_AGGREGATE,2025-11-09
2017,FI,FI689,17.23,5.03,88914389179.03,12141025329.67,14010661613.25,1869636283.58,1229840,1,1,2453307318.08,16.81,83.19,41665030.53,28420488.74,100,EU_COMMISSION_VAT_GAP_STUDY,2025-11-28
2018,IE,FI942,21.9,9.87,89082495402.53,13533615644.82,15056400530.07,1522784885.25,1219662,0,0,3530582621.24,20.69,79.31,82572388.33,22759856.56,85,NATIONAL_TAX_AUTHORITY,2025-05-07
2019,MT,HU51,20.07,9.91,89239472962.33,14044023481.54,17977342105.86,3933318624.32,1222781,1,0,2237014637.57,13.74,86.26,255514517.43,28418251.66,56,EUROFISC,2024-07-21
2020,SK,AT515,21.97,13.5,89419997289.82,17153945243.81,22552858137.19,5398912893.38,1233128,1,0,631379011.05,3.55,96.45,90788127.44,24753899.12,110,VIES_AGGREGATE,2024-08-28
2021,BE,LU905,26.83,15.68,89629503205.46,20796839307.23,27136512814.5,6339673507.27,1225045,0,0,1934431112.74,8.51,91.49,115377396.85,15438558.06,129,EU_COMMISSION_VAT_GAP_STUDY,2024-11-22
2022,DK,SE801,26.11,18.5,89805532655.85,18870316703.02,21995928770.0,3125612066.98,1231094,0,1,2792312964.09,12.89,87.11,177779989.15,4277832.4,28,NATIONAL_TAX_AUTHORITY,2024-07-15
2023,GR,SI348,20.07,8.35,90013702022.86,12441363012.01,15037310623.71,2595947611.7,1232539,0,0,2424646083.47,16.31,83.69,124283858.28,923451.05,33,EUROFISC,2024-11-06
2024,LT,PL58,21.81,12.93,90181683414.8,14408431593.49,17706683209.95,3298251616.46,1240731,1,1,4000194436.27,21.73,78.27,8799569.47,26117621.2,46,VIES_AGGREGATE,2025-03-19
2025,PT,LT7,19.11,9.05,90325712390.16,14015742740.99,16689537624.93,2673794883.94,1245601,1,1,446895522.34,3.09,96.91,45865263.98,947485.19,8,EU_COMMISSION_VAT_GAP_STUDY,2024-07-04
2026,SE,CZ5,24.95,15.72,90539887666.51,16242183226.01,17880424486.14,1638241260.13,1240394,1,0,3416716829.68,17.38,82.62,120458997.98,33105726.1,132,NATIONAL_TAX_AUTHORITY,2025-01-07
2010,CY,EE28,17.95,5.43,90698249751.32,13932106025.78,16853117721.51,2921011695.73,1257549,1,0,1226316371.98,8.09,91.91,79174109.18,25936827.48,152,EUROFISC,2025-01-24
2011,FR,GR51,24.21,14.56,90805771580.79,17794148207.83,21948260743.36,4154112535.53,1250322,1,0,443166753.56,2.43,97.57,19788986.8,15341188.46,4,VIES_AGGREGATE,2025-08-12
2012,IT,SI57,25.01,14.26,91092104406.78,17923133969.88,23223873849.9,5300739880.02,1252385,1,0,795543805.45,4.25,95.75,88949780.36,1217572.34,6,EU_COMMISSION_VAT_GAP_STUDY,2025-12-27
2013,NL,EE64,17.14,7.57,91161307636.55,10592489935.38,13871549423.2,3279059487.82,1260768,1,0,2633243533.7,19.91,80.09,246702733.87,22920483.85,147,NATIONAL_TAX_AUTHORITY,2025-06-11
2014,SI,BE52,20.89,12.56,91426850460.7,13032315526.15,14469059413.21,1436743887.06,1266692,0,0,2899610544.94,18.2,81.8,175303995.56,13852578.83,89,EUROFISC,2025-05-03
2015,BG,FR1,18.94,9.01,91565487333.51,15030607074.35,17443355408.22,2412748333.87,1269128,0,0,1241566872.11,7.63,92.37,89979503.54,14776093.42,114,VIES_AGGREGATE,2024-05-16
2016,EE,SK49,22.84,14.99,91770923809.64,15194825453.22,18227147004.23,3032321551.01,1255554,1,0,4166572932.64,21.52,78.48,100209945.34,39907502.92,21,EU_COMMISSION_VAT_GAP_STUDY,2025-10-12
2017,HU,SK60,16.96,6.72,91884343283.94,11989864935.84,14984077223.81,2994212287.97,1268374,1,0,1061038444.85,8.13,91.87,62025017.84,4274946.12,26,NATIONAL_TAX_AUTHORITY,2024-01-06
2018,LU,IT58,20.11,13.1,92179683819.73,15633159498.14,18331131625.07,2697972126.93,1277652,1,0,1953925098.71,11.11,88.89,98292566.45,12250742.93,60,EUROFISC,2025-10-15
2019,RO,ES5,20.77,12.9,92316080817.58,12481240672.69,16440091830.71,3958851158.02,1268988,0,0,3347853395.4,21.15,78.85,290458616.65,9820915.22,35,VIES_AGGREGATE,2025-01-03
2020,AT,DE118,20.92,10.95,92525137389.25,13890873560.78,17446399354.92,3555525794.14,1269048,0,0,3676944272.51,20.93,79.07,138248338.73,4996713.1,41,EU_COMMISSION_VAT_GAP_STUDY,2024-01-17
2021,CZ,BE320,24.17,11.23,92681050870.35,17302811839.01,22687085540.5,5384273701.49,1268391,1,1,3775043976.57,17.91,82.09,94828186.35,26343379.36,150,NATIONAL_TAX_AUTHORITY,2025-10-18
2022,DE,FR6,21.8,7.83,92808810253.16,15078658318.96,16544930402.89,1466272083.93,1285193,0,1,2475076627.44,14.1,85.9,93416549.13,15454258.56,149,EUROFISC,2024-10-14
2023,LV,EE13,26.09,13.25,92962351850.54,19725392353.71,24911416956.24,5186024602.53,1285473,1,1,1778360348.47,8.27,91.73,139697090.26,16247393.64,116,VIES_AGGREGATE,2026-01-13
2024,PL,DE421,18.95,5.21,93173952935.93,11545278133.29,14706316359.62,3161038226.33,1285952,1,0,3169580563.22,21.54,78.46,204107737.89,501777.88,98,EU_COMMISSION_VAT_GAP_STUDY,2024-12-19
2025,ES,SI934,26.84,13.73,93425075353.19,17293344830.16,22639688073.21,5346343243.05,1289792,1,0,3757592272.89,17.85,82.15,254016723.08,43898908.0,174,NATIONAL_TAX_AUTHORITY,2024-03-01
2026,HR,SE8,26.89,16.09,93517933918.83,21093302907.03,25386359583.03,4293056676.0,1281618,0,0,1159363942.88,5.21,94.79,110731689.25,12298136.71,23,EUROFISC,2024-04-14
2010,FI,SI42,25.95,15.26,93798936034.36,18372389296.07,23021578332.96,4649189036.89,1286487,1,0,4200886654.38,18.61,81.39,269692365.61,6107137.46,101,VIES_AGGREGATE,2026-01-30
2011,IE,HU34,25.01,13.88,93869364446.63,19962889390.51,24838086369.93,4875196979.42,1290510,1,0,1339948503.54,6.29,93.71,32744843.29,9438765.13,82,EU_COMMISSION_VAT_GAP_STUDY,2025-07-01
2012,MT,AT5,21.23,9.16,94053329258.38,15487468922.63,18140779237.06,2653310314.43,1296467,0,1,3632863080.62,19.0,81.0,203478125.42,19022183.85,157,NATIONAL_TAX_AUTHORITY,2025-05-09
2013,SK,EE850,25.9,18.62,94322219561.75,18243692252.59,21629001005.89,3385308753.3,1299180,1,0,4546679081.06,19.95,80.05,120997070.98,39524540.79,40,EUROFISC,2024-05-03
2014,BE,AT41,18.21,8.39,94483763384.01,13188189554.04,16893381932.67,3705192378.63,1307082,0,0,1146799091.65,8.0,92.0,34837534.23,6041995.55,108,VIES_AGGREGATE,2024-09-05
2015,DK,PL487,23.08,15.77,94601723621.57,17911852828.23,21951750940.71,4039898112.48,1308137,1,0,804816793.75,4.3,95.7,134292582.88,4623713.08,76,EU_COMMISSION_VAT_GAP_STUDY,2024-01-02
2016,GR,IE69,18.12,9.35,94846751230.24,13797978186.42,17037559798.85,3239581612.43,1304094,1,0,1874418663.22,11.96,88.04,174020282.22,5732517.11,100,NATIONAL_TAX_AUTHORITY,2025-07-12
2017,LT,RO9,24.17,13.1,95056822162.96,19465048092.95,24595032558.57,5129984465.62,1303128,1,0,710167592.11,3.52,96.48,32420273.95,19520013.13,79,EUROFISC,2024-12-08
2018,PT,SE288,27.07,20.14,95190208066.11,19030504839.32,22959521051.98,3929016212.66,1308265,1,0,2154516689.48,10.17,89.83,309796114.83,18447922.61,26,VIES_AGGREGATE,2024-11-07
2019,SE,EE232,24.03,12.85,95330480287.07,16784059009.71,21401208597.66,4617149587.95,1310532,1,0,3389088838.5,16.8,83.2,269755369.78,35321767.43,70,EU_COMMISSION_VAT_GAP_STUDY,2024-10-22
2020,CY,SE59,23.94,13.42,95529005574.22,18484114164.56,20512461007.58,2028346843.02,1307578,1,0,470063608.78,2.48,97.52,105552724.93,10212363.65,45,NATIONAL_TAX_AUTHORITY,2024-04-26
2021,FR,EE54,25.86,14.94,95665796415.76,22058804123.46,25995474436.05,3936670312.59,1317865,1,0,1348246092.44,5.76,94.24,5946651.44,20313634.65,140,EUROFISC,2025-06-23
2022,IT,AT191,25.21,15.17,95918166893.61,16692903886.33,19162313416.3,2469409529.97,1326466,0,0,3974304094.77,19.23,80.77,271763214.79,23020254.53,106,VIES_AGGREGATE,2024-09-30
2023,NL,FR3,22.17,14.49,96112800018.24,17652853006.88,20316480871.49,2663627864.61,1318418,1,0,1633559105.96,8.47,91.53,119187790.83,173272.63,103,EU_COMMISSION_VAT_GAP_STUDY,2026-01-24
2024,SI,FI70,19.97,10.91,96292383766.83,13989400722.0,16140860410.82,2151459688.82,1320388,1,1,2642867405.45,15.89,84.11,227169119.47,9687369.71,27,NATIONAL_TAX_AUTHORITY,2025-07-28
2025,BG,BG98,17.88,10.68,96492759399.23,14804983752.92,16645186011.42,1840202258.5,1335843,0,0,591213993.46,3.84,96.16,86377579.54,20740218.03,63,EUROFISC,2024-10-02
2026,EE,LV92,18.85,11.07,96673134337.63,13482293089.97,16231366702.76,2749073612.79,1336469,0,1,2397910785.14,15.1,84.9,125767930.83,41581960.77,99,VIES_AGGREGATE,2024-03-04
2010,HU,DK4,17.85,9.32,96771919065.25,14313716135.03,16773293066.16,2459576931.13,1340987,0,0,1924192129.33,11.85,88.15,82585543.51,23294972.36,151,EU_COMMISSION_VAT_GAP_STUDY,2025-04-16
2011,LU,SE37,24.03,15.41,97020280132.52,17925683187.25,22570341669.67,4644658482.42,1332044,1,0,2792859562.69,13.48,86.52,40653230.23,3548194.95,60,NATIONAL_TAX_AUTHORITY,2025-08-02
2012,RO,HU276,22.99,13.35,97178985826.76,17768671673.07,21771411248.09,4002739575.02,1348011,1,0,2510570135.96,12.38,87.62,145034074.16,27118929.27,120,EUROFISC,2025-05-20
2013,AT,DE44,21.07,14.67,97287575850.59,15594203314.43,18155389491.58,2561186177.15,1344981,0,1,1709617496.08,9.88,90.12,722653.89,14659554.8,136,VIES_AGGREGATE,2024-01-14
2014,CZ,NL792,22.84,8.92,97497685459.14,19674990232.89,22658024379.15,2983034146.26,1335422,1,1,1050797434.75,5.07,94.93,70201298.72,27565886.62,137,EU_COMMISSION_VAT_GAP_STUDY,2024-08-11
2015,DE,GR30,25.01,13.27,97756473589.6,20338812008.29,23381092294.85,3042280286.56,1347425,1,1,1790240334.54,8.09,91.91,129801579.41,13695174.68,137,NATIONAL_TAX_AUTHORITY,2025-01-08
2016,LV,BG49,23.21,9.43,97937073637.92,21301939990.79,27205815164.39,5903875173.6,1341921,0,0,368395706.86,1.7,98.3,89256746.49,13989009.43,15,EUROFISC,2025-04-22
2017,PL,FI78,17.05,3.69,98072011656.38,14937085022.08,16751933214.62,1814848192.54,1349262,1,1,493787934.61,3.2,96.8,13368261.34,18166168.81,94,VIES_AGGREGATE,2025-07-04
2018,ES,LU632,21.19,14.18,98257861733.67,18352635846.82,20554605239.93,2201969393.11,1346303,0,1,965928202.46,5.0,95.0,20851808.61,10304539.87,96,EU_COMMISSION_VAT_GAP_STUDY,2024-04-04
2019,HR,AT485,21.97,14.56,98394962067.98,18076077028.89,20901163800.58,2825086771.69,1355907,0,0,1207128677.2,6.26,93.74,102532910.71,12793186.27,151,NATIONAL_TAX_AUTHORITY,2024-10-21
2020,FI,BE607,21.03,7.71,98554224006.54,18603107028.71,22321712963.5,3718605934.79,1363688,1,0,325573301.68,1.72,98.28,137347784.37,7918618.42,16,EUROFISC,2024-07-03
2021,IE,AT36,24.83,15.15,98819661987.23,17836897477.25,22160387115.82,4323489638.57,1353488,1,0,4571265182.61,20.4,79.6,191371158.4,24603595.01,49,VIES_AGGREGATE,2025-01-10
2022,MT,SE6,18.93,7.25,98930855064.11,15109480968.33,18621142720.65,3511661752.32,1355546,1,0,2074052488.21,12.07,87.93,21599578.98,23674353.78,43,EU_COMMISSION_VAT_GAP_STUDY,2025-05-27
2023,SK,MT27,16.8,3.68,99135128310.89,13659353314.53,17854243704.46,4194890389.93,1365869,0,0,1275430541.29,8.54,91.46,43927809.49,21909411.96,137,NATIONAL_TAX_AUTHORITY,2024-01-19
2024,BE,HU714,25.87,14.14,99314980014.9,20462749850.12,24165456775.77,3702706925.65,1364319,1,1,1200123165.04,5.54,94.46,53632354.65,16972665.96,0,EUROFISC,2025-04-29
2025,DK,IE664,24.19,16.0,99446148786.7,17446936906.04,19400254402.46,1953317496.42,1372910,0,0,4047379844.03,18.83,81.17,197793367.33,21809534.29,125,VIES_AGGREGATE,2025-03-22
2026,GR,BG809,25.19,14.43,99713385324.3,18243970538.5,22252999879.53,4009029341.03,1376367,1,0,2974883309.49,14.02,85.98,188701996.57,27104924.89,84,EU_COMMISSION_VAT_GAP_STUDY,2024-11-09
2010,LT,PL807,27.14,16.19,99911211020.34,19318716353.23,22743212177.81,3424495824.58,1378256,1,0,3310680804.12,14.63,85.37,243775658.03,28624932.06,62,NATIONAL_TAX_AUTHORITY,2025-03-24
2011,PT,BG8,23.86,16.63,100009215932.65,16783098503.11,20725246323.91,3942147820.8,1383381,1,0,3941893474.05,19.02,80.98,209369500.56,30393027.76,5,EUROFISC,2026-02-04
2012,SE,CZ175,21.24,11.61,100231712207.45,15085027640.73,19392025884.06,4306998243.33,1375628,1,0,2498639034.56,14.21,85.79,177607575.03,348440.65,98,VIES_AGGREGATE,2024-11-12
2013,CY,SI5,17.1,10.39,100394515733.8,14422178631.56,17091325633.41,2669147001.85,1394491,0,0,234506969.62,1.6,98.4,139514771.5,11900549.99,142,EU_COMMISSION_VAT_GAP_STUDY,2025-11-18
2014,FR,IT40,18.12,8.95,100598193751.39,13312622542.06,15505228879.0,2192606336.94,1385854,1,1,2005088356.64,13.09,86.91,25998319.5,23945024.71,155,NATIONAL_TAX_AUTHORITY,2025-03-17
2015,IT,LV64,27.16,16.67,100724455568.82,21719980117.45,26699724482.68,4979744365.23,1381848,0,1,1712946970.11,7.31,92.69,130700976.07,20023023.45,23,EUROFISC,2025-08-12
2016,NL,BG7,26.12,13.63,100910324809.2,19643262486.67,24927827370.6,5284564883.93,1382513,0,1,3957917961.09,16.77,83.23,24123194.44,7009565.75,105,VIES_AGGREGATE,2025-03-11
2017,SI,EE93,21.0,11.09,101087344847.63,16898667015.77,18466267611.67,1567600595.9,1403818,1,0,1174773642.81,6.5,93.5,116344763.65,12447181.66,26,EU_COMMISSION_VAT_GAP_STUDY,2025-07-21
2018,BG,LU21,23.97,16.77,101323215144.67,17865331982.31,21295997032.82,3430665050.51,1399233,0,0,2905894598.68,13.99,86.01,133988224.74,649132.29,93,NATIONAL_TAX_AUTHORITY,2026-02-25
2019,EE,ES88,22.9,13.96,101490272925.92,19205106699.44,23739190363.17,4534083663.73,1397628,1,0,395941166.9,2.02,97.98,63741497.7,17977305.75,132,EUROFISC,2024-06-27
2020,HU,CZ30,24.91,11.24,101619520190.43,20154427106.18,24585133539.8,4430706433.62,1405395,1,0,2301759084.55,10.25,89.75,73223553.18,623915.39,155,VIES_AGGREGATE,2024-01-04
2021,LU,DE449,24.15,11.98,101794151388.01,19407175878.27,23971223782.32,4564047904.05,1401169,0,0,1528288931.09,7.3,92.7,86668009.22,24260801.91,99,EU_COMMISSION_VAT_GAP_STUDY,2024-01-22
2022,RO,SK536,20.24,7.31,101974200013.04,15015954767.12,16904204309.77,1888249542.65,1398512,1,0,2481079452.32,14.18,85.82,7795868.11,41880703.13,47,NATIONAL_TAX_AUTHORITY,2025-12-21
2023,AT,HR37,19.08,11.62,102223250589.03,16053462046.44,19706521129.0,3653059082.56,1404372,1,1,1587705037.56,9.0,91.0,96769136.17,867933.43,128,EUROFISC,2024-03-31
2024,CZ,NL114,20.17,10.78,102372225863.29,15245740404.09,18771312542.14,3525572138.05,1408440,0,1,4245106443.38,21.78,78.22,175922874.41,31268493.53,132,VIES_AGGREGATE,2025-01-25
2025,DE,GR7,17.23,7.11,102612807824.36,15732010851.78,17308040447.78,1576029596.0,1420417,1,1,585809759.96,3.59,96.41,62908108.97,6462379.06,66,EU_COMMISSION_VAT_GAP_STUDY,2024-01-09
2026,LV,EE974,25.02,15.85,102742251578.83,18737076049.23,22992764271.6,4255688222.37,1417879,0,1,3715980930.07,16.55,83.45,140082316.15,16503211.14,42,NATIONAL_TAX_AUTHORITY,2024-08-24
2010,PL,EE511,20.92,9.29,102959595944.42,16426525329.56,19659278537.5,3232753207.94,1413823,1,0,3040795516.1,15.62,84.38,48440893.13,29367004.4,45,EUROFISC,2024-12-01
2011,ES,PL563,22.97,16.63,103052296800.68,18030605235.02,20359295403.33,2328690168.31,1419522,0,0,3089935042.61,14.63,85.37,40382767.36,36015047.38,42,VIES_AGGREGATE,2024-06-13
2012,HR,NL786,27.08,15.95,103332176175.69,25043892693.01,29009646311.37,3965753618.36,1419698,1,1,1480035175.03,5.58,94.42,13896279.98,12391467.87,53,EU_COMMISSION_VAT_GAP_STUDY,2025-06-10
2013,FI,BG28,21.82,11.88,103428560107.13,17465607749.12,18893701863.78,1428094114.66,1420282,1,1,3797610840.02,17.86,82.14,5661688.28,25498394.33,43,NATIONAL_TAX_AUTHORITY,2025-09-25
2014,IE,BG277,24.84,18.04,103673986172.85,18835752879.12,22679174303.71,3843421424.59,1426724,0,0,3635916029.39,16.18,83.82,95674808.11,25468731.52,25,EUROFISC,2025-12-08
2015,MT,FI8,23.01,15.29,103865284560.66,19768833535.89,22772585730.83,3003752194.94,1431067,1,1,838727744.09,4.07,95.93,68751076.31,10428010.42,94,VIES_AGGREGATE,2025-03-18
2016,SK,MT3,26.12,17.03,103970622891.48,21410676767.59,23265129470.04,1854452702.45,1432012,1,0,1986412913.96,8.49,91.51,97326853.31,7535573.74,116,EU_COMMISSION_VAT_GAP_STUDY,2025-05-04
2017,BE,FI902,17.14,5.92,104198790971.28,15251553271.23,19019518051.32,3767964780.09,1433632,1,1,968326842.81,5.97,94.03,67220503.16,3276597.12,78,NATIONAL_TAX_AUTHORITY,2025-05-22
2018,DK,GR36,24.0,11.31,104414512206.51,18609330812.49,20283538448.26,1674207635.77,1444106,0,1,3163608011.06,14.53,85.47,308111400.04,42862490.2,5,EUROFISC,2025-05-23
2019,GR,LV7,18.75,12.49,104541935459.77,15362409674.93,19373658682.48,4011249007.55,1435307,1,0,3110906432.49,16.84,83.16,177236564.47,3913863.83,35,VIES_AGGREGATE,2025-07-12
2020,LT,BE42,21.16,8.12,104666777660.39,16702955509.64,21535854518.29,4832899008.65,1449006,0,1,4528715406.39,21.33,78.67,35206586.66,20253134.23,146,EU_COMMISSION_VAT_GAP_STUDY,2024-02-25
2021,PT,BG245,18.1,4.89,104843340983.38,12485187442.46,13932675797.88,1447488355.42,1455463,1,0,3150613988.3,20.15,79.85,176661943.17,33088156.58,128,NATIONAL_TAX_AUTHORITY,2024-09-08
2022,SE,LV402,18.12,6.5,105121590293.63,15327053034.28,18849471439.97,3522418405.69,1455557,1,0,1526974933.92,9.06,90.94,110611086.79,18437837.74,154,EUROFISC,2025-10-29
2023,CY,DK107,20.22,12.92,105319216808.23,17049853308.7,21226748851.1,4176895542.4,1449397,0,1,567271416.14,3.22,96.78,114294320.92,7627432.44,3,VIES_AGGREGATE,2025-07-23
2024,FR,PL873,26.21,12.49,105438686896.89,19962125118.69,23931001719.57,3968876600.88,1448453,1,1,3970407094.1,16.59,83.41,232340409.63,16477449.78,126,EU_COMMISSION_VAT_GAP_STUDY,2025-02-14
2025,IT,LU7,25.23,18.18,105642838041.07,21708582139.27,28346506801.49,6637924662.22,1460436,0,1,3660802153.44,14.43,85.57,296140193.44,3333587.96,34,NATIONAL_TAX_AUTHORITY,2025-11-29
2026,NL,EE67,21.78,13.94,105804848215.62,20601085278.28,25577489506.89,4976404228.61,1458508,1,1,950421446.57,4.41,95.59,121191057.01,6356508.13,125,EUROFISC,2025-04-11
2010,SI,NL8,26.06,13.82,105996010082.59,22528260774.4,28403371136.24,5875110361.84,1458819,1,1,1950996831.16,7.97,92.03,83050413.31,7884872.24,44,VIES_AGGREGATE,2024-05-24
2011,BG,ES8,21.95,15.29,106212001810.17,20898207664.22,25507985639.72,4609777975.5,1456905,1,1,357088983.69,1.68,98.32,134950217.27,19964189.01,59,EU_COMMISSION_VAT_GAP_STUDY,2025-01-29
2012,EE,PT6,26.79,13.39,106364162867.86,20696879306.72,22894136562.82,2197257256.1,1460747,0,1,3285599611.85,13.7,86.3,27829011.04,18734380.53,1,NATIONAL_TAX_AUTHORITY,2025-08-14
2013,HU,HR942,19.84,7.89,106525247629.07,13783162223.59,15070753153.07,1287590929.48,1474988,0,1,3586922494.24,20.65,79.35,219362349.98,9599988.35,156,EUROFISC,2025-09-30
2014,LU,DK76,25.15,16.61,106654558351.31,21128697425.3,24477727538.96,3349030113.66,1478168,0,0,4260268478.69,16.78,83.22,148884363.1,10708963.47,43,VIES_AGGREGATE,2025-10-04
2015,RO,EE7,26.24,12.56,106840293497.86,22459910376.28,29645119925.38,7185209549.1,1479256,0,1,2847030892.77,11.25,88.75,111915332.88,17788065.59,8,EU_COMMISSION_VAT_GAP_STUDY,2024-06-10
2016,AT,ES75,22.11,11.28,107008569762.9,17411768792.2,20916273120.44,3504504328.24,1484597,0,1,2365342511.98,11.96,88.04,223462834.96,12831076.93,90,NATIONAL_TAX_AUTHORITY,2025-01-13
2017,CZ,CY6,19.17,6.8,107191218586.1,14546910714.54,16103070003.11,1556159288.57,1481124,1,0,3258365557.85,18.3,81.7,289821797.58,23956687.35,51,EUROFISC,2024-03-29
2018,DE,MT901,25.76,16.37,107379871631.51,23930916828.01,29857445390.78,5926528562.77,1477691,1,1,1307341796.77,5.18,94.82,38078202.53,1896145.21,99,VIES_AGGREGATE,2024-04-13
2019,LV,FI74,23.96,15.48,107585638786.77,20104523654.77,23745513730.44,3640990075.67,1480362,0,0,3439830080.76,14.61,85.39,249916686.93,11946596.81,73,EU_COMMISSION_VAT_GAP_STUDY,2025-03-12
2020,PL,BG625,23.83,10.84,107836611429.48,17686851421.43,22901285353.52,5214433932.09,1492389,1,0,3733581449.38,17.43,82.57,210032396.34,14232963.55,11,NATIONAL_TAX_AUTHORITY,2025-11-14
2021,ES,HU841,17.19,9.66,108015893147.65,15225135282.66,18904758590.71,3679623308.05,1493594,1,1,1439855175.6,8.64,91.36,15212081.48,13071785.52,138,EUROFISC,2025-08-31
2022,HR,IE84,23.21,10.44,108104090657.35,19619811943.73,24019075076.52,4399263132.79,1491717,0,0,3609896727.51,15.54,84.46,217674825.78,24303379.63,128,VIES_AGGREGATE,2026-02-11
2023,FI,SE679,23.04,10.34,108376064599.54,21204160141.2,23322622990.23,2118462849.03,1500795,0,1,346973247.56,1.61,98.39,115165176.65,1785238.66,73,EU_COMMISSION_VAT_GAP_STUDY,2025-07-08
2024,IE,PL944,23.86,11.03,108442536790.62,17893876810.0,23444297139.01,5550420329.01,1488611,1,1,4583044192.39,20.39,79.61,251537096.14,38495851.53,143,NATIONAL_TAX_AUTHORITY,2024-07-15
2025,MT,FR648,24.98,17.6,108645482170.6,21378925075.9,25670938701.78,4292013625.88,1501082,1,0,2723583465.14,11.3,88.7,43811978.91,10150440.17,13,EUROFISC,2024-05-19
2026,SK,EE984,20.13,12.38,108873854688.07,18279829715.25,21143727167.15,2863897451.9,1511722,1,0,1807895246.56,9.0,91.0,100025992.59,16784771.64,108,VIES_AGGREGATE,2025-01-14
2010,BE,RO953,19.24,12.16,109032477514.85,17968533018.41,21336937924.27,3368404905.86,1506481,0,1,389183592.15,2.12,97.88,78895681.04,4803813.57,6,EU_COMMISSION_VAT_GAP_STUDY,2025-01-22
2011,DK,LU5,22.89,14.38,109257107106.76,18254309137.65,20853563149.22,2599254011.57,1498213,1,1,5139653617.26,21.97,78.03,281748871.06,21715352.34,101,NATIONAL_TAX_AUTHORITY,2025-02-28
2012,GR,CY873,20.04,9.96,109402673977.49,17770472610.21,22780651504.88,5010178894.67,1517655,0,0,1267959584.15,6.66,93.34,110557130.41,5397649.22,56,EUROFISC,2024-12-16
2013,LT,BE3,16.94,7.53,109613981375.75,14407518404.98,17480492713.94,3072974308.96,1509183,0,0,2849061311.13,16.51,83.49,6191071.63,25512203.2,78,VIES_AGGREGATE,2024-03-09
2014,PT,LV516,18.06,5.71,109791429735.95,15271465314.8,16693899068.68,1422433753.88,1524689,1,0,3600834876.49,19.08,80.92,128588532.79,1442209.14,77,EU_COMMISSION_VAT_GAP_STUDY,2024-03-19
2015,SE,IT3,23.76,11.7,109972106844.95,20686005350.38,26181449410.14,5495444059.76,1517894,0,1,1934011435.17,8.55,91.45,116269689.72,4900369.02,75,NATIONAL_TAX_AUTHORITY,2024-04-03
2016,CY,HR99,17.23,4.65,110119820495.38,15990771790.5,21002878947.53,5012107157.03,1515482,0,0,2145523764.11,11.83,88.17,284019908.02,4577899.1,116,EUROFISC,2024-03-19
2017,FR,DE79,19.87,9.47,110316000419.16,17100069922.43,19010395524.32,1910325601.89,1513730,1,1,1295013901.18,7.04,92.96,121054486.83,13286769.28,37,VIES_AGGREGATE,2024-04-05
2018,IT,PT3,17.77,5.76,110425160159.31,17137746594.07,21002001638.34,3864255044.27,1527010,1,0,328362857.69,1.88,98.12,37733074.6,17548597.69,92,EU_COMMISSION_VAT_GAP_STUDY,2024-01-08
2019,NL,AT647,21.09,9.57,110614193506.41,17554040062.14,22064791299.11,4510751236.97,1528718,0,0,1742475340.89,9.03,90.97,129831783.95,7064558.21,24,NATIONAL_TAX_AUTHORITY,2025-01-15
2020,SI,SE653,22.88,15.09,110894133039.82,19474492378.78,21975910133.9,2501417755.12,1533689,1,1,2265284779.93,10.42,89.58,133078877.09,20443495.83,81,EUROFISC,2025-08-11
2021,BG,BE60,26.96,20.73,110991313596.68,25374163745.85,32801477981.47,7427314235.62,1540241,1,0,1428586593.06,5.33,94.67,143892749.74,8098970.4,136,VIES_AGGREGATE,2026-01-05
2022,EE,LU929,16.83,10.2,111231816576.88,14252380765.36,17646226566.03,3393845800.67,1526146,0,1,1364955159.87,8.74,91.26,39714932.77,27582095.04,40,EU_COMMISSION_VAT_GAP_STUDY,2024-01-29
2023,HU,IT523,17.77,6.46,111390751245.28,16648159202.06,21692420624.33,5044261422.27,1544479,1,0,623507155.51,3.61,96.39,70497778.84,8947865.36,118,NATIONAL_TAX_AUTHORITY,2024-06-28
2024,LU,BG17,24.99,18.34,111504493701.8,21050719835.24,25996233799.1,4945513963.86,1547558,1,1,5338549107.01,20.23,79.77,145005947.53,11954451.8,154,EUROFISC,2024-12-28
2025,RO,IE3,21.12,11.53,111792750380.51,18623307597.38,22521053631.03,3897746033.65,1544230,0,1,1619418051.95,8.0,92.0,90405993.47,16565498.54,98,VIES_AGGREGATE,2025-10-06
