biz_innov_reference_year,biz_innov_country_iso2,biz_innov_region_nuts_code,biz_innov_patent_office_code,biz_innov_patent_family_id_hash,biz_innov_technology_field_code,biz_innov_patent_applications_count,biz_innov_patent_grants_count,biz_innov_r_and_d_expenditure_eur,biz_innov_r_and_d_expenditure_pct_gdp,biz_innov_researchers_fte_count,biz_innov_horizon_programme_code,biz_innov_horizon_grants_awarded_eur,biz_innov_horizon_participants_count,biz_innov_startup_creation_rate_per_1k,biz_innov_spinout_count,biz_innov_tech_transfer_office_count,biz_innov_trl_level,biz_innov_open_science_policy_flag,biz_innov_data_extract_date
2023,SE,HU4,UKIPO,9b3b460fe50d05889a56,SECURITY,185,94,1421739981.85,0.41,3011,HORIZON_WIDENING,86811537.7,97,0.724,20,5,8,1,2025-04-01
2024,CY,AT3,DPMA,558040d7680845dff3ce,ICT,175,78,12957538998.34,3.034,2752,HORIZON_CLIMATE,97556958.46,100,3.276,31,6,9,0,2025-06-08
2025,FR,IT312,EPO,0201fcd0f4f94cdce731,BIOTECH,187,150,6326542354.05,1.46,3071,EIC_PATHFINDER,101882395.14,94,2.366,68,7,1,0,2024-05-11
2026,IT,LV65,UPV,839bd6209437c1c8713e,MEDTECH,173,123,15189199065.68,3.842,3147,HORIZON_SPACE,248355811.03,93,5.027,67,8,2,1,2024-02-25
2014,NL,IT4,OEPM,3ac7d292dbb419826a01,CLEAN_ENERGY,174,139,6893394121.25,1.631,2924,HORIZON_DIGITAL,89101610.73,101,4.867,20,9,3,0,2024-04-27
2015,SI,CY33,INPI,3e026b041399d37fc00d,ADV_MATERIALS,186,123,14591727684.01,3.269,2672,EIC_ACCELERATOR,329097315.36,94,2.866,65,10,4,1,2024-11-21
2016,BG,LV675,EUIPO,a2db23c94e4407537074,AEROSPACE,188,82,13796573257.42,3.723,3115,HORIZON_INDUSTRY,51901390.18,89,1.131,47,11,5,0,2024-08-31
2017,EE,IE8,BOIP,55a4503303cf3d751c4e,MOBILITY,196,110,10813364180.65,3.142,2890,HORIZON_HEALTH,84984461.83,102,1.866,28,12,6,1,2025-08-05
2018,HU,CZ45,PRV,15dec706cc2cbc83ba51,FINTECH,181,131,9946245703.22,2.801,3307,HORIZON_WIDENING,2196856.37,100,5.755,38,13,7,0,2025-08-04
2019,LU,FR715,UKIPO,59eba56e311a78a0c867,AGRI_TECH,194,141,9310263585.52,2.802,2788,HORIZON_CLIMATE,125261541.49,113,1.873,25,14,8,1,2024-01-09
2020,RO,PL4,DPMA,5d4b0229c8e68e18b61b,SECURITY,198,164,1866020286.03,0.442,3178,EIC_PATHFINDER,180934818.58,94,4.136,72,15,9,1,2025-01-27
2021,AT,MT458,EPO,27bc37e0b0b6a76de0e2,ICT,8,6,17107288379.81,4.011,2873,HORIZON_SPACE,77884078.25,7,0.983,4,16,1,1,2026-01-30
2022,CZ,PL400,UPV,cffdb8c146ddefec6b26,BIOTECH,12,9,6488379510.54,1.675,2947,HORIZON_DIGITAL,100484706.83,12,3.386,13,17,2,0,2025-07-04
2023,DE,SK854,OEPM,0a91e3b219e4df42cb99,MEDTECH,22,11,4729744520.0,1.021,3324,EIC_ACCELERATOR,278284675.45,18,2.423,45,18,3,1,2025-10-24
2024,LV,HU842,INPI,4cf6144bee9917887fa7,CLEAN_ENERGY,21,12,9007298857.5,2.093,3159,HORIZON_INDUSTRY,257689627.74,23,1.619,30,19,4,0,2025-04-20
2025,PL,BE35,EUIPO,89fb471f81064fc1e806,ADV_MATERIALS,25,20,5971219063.21,1.589,2918,HORIZON_HEALTH,100872839.17,21,5.101,43,20,5,1,2026-02-02
2026,ES,FR4,BOIP,b8bc5757992784074dbc,AEROSPACE,8,7,2269747721.61,0.463,2963,HORIZON_WIDENING,121068032.77,11,0.216,37,21,6,0,2025-09-30
2014,HR,FI385,PRV,ff09ae03d80502480883,MOBILITY,15,15,15468511961.75,3.311,2595,HORIZON_CLIMATE,255217906.91,27,5.553,31,22,7,1,2026-02-10
2015,FI,LU803,UKIPO,81a5659685ec1e7181a1,FINTECH,31,13,8538062410.48,1.79,2759,EIC_PATHFINDER,21779625.55,8,1.941,24,23,8,1,2025-12-19
2016,IE,EE2,DPMA,78a9e9c0af28dae4c970,AGRI_TECH,25,20,2492083861.65,0.628,2658,HORIZON_SPACE,114223483.43,29,1.405,18,24,9,1,2025-11-29
2017,MT,BG8,EPO,f321cde5bf6dcd74209c,SECURITY,31,23,10643461760.32,2.658,2982,HORIZON_DIGITAL,133135988.99,18,1.012,42,25,1,0,2024-07-31
2018,SK,GR846,UPV,603ed5d99eee470be887,ICT,33,18,6985754068.96,1.406,2640,EIC_ACCELERATOR,131446496.93,13,3.869,5,26,2,1,2024-04-08
2019,BE,BG41,OEPM,34168abdca8410f03d4c,BIOTECH,35,15,12591248812.7,2.882,3183,HORIZON_INDUSTRY,67121758.79,37,5.979,40,27,3,1,2025-07-10
2020,DK,LU52,INPI,9d99ef335746bded06c4,MEDTECH,25,10,9994753014.91,2.691,3072,HORIZON_HEALTH,69640797.87,29,0.537,38,28,4,0,2024-03-10
2021,GR,EE7,EUIPO,fd8589b2e1940e502296,CLEAN_ENERGY,29,24,11986428682.38,3.157,3371,HORIZON_WIDENING,210034663.14,30,6.146,11,29,5,1,2024-09-27
2022,LT,LT100,BOIP,3dfa64b46f2d7aa839ad,ADV_MATERIALS,18,18,14656856697.5,3.473,3321,HORIZON_CLIMATE,51468915.41,15,6.261,26,30,6,1,2025-07-15
2023,PT,CZ98,PRV,72d599fa014c5c9e4989,AEROSPACE,22,12,2890341552.94,0.761,2652,EIC_PATHFINDER,244783947.37,17,5.94,11,31,7,1,2024-09-05
2024,SE,SI6,UKIPO,74be777f2d95cba433ac,MOBILITY,30,29,16582282935.28,4.061,2663,HORIZON_SPACE,155937886.95,22,0.479,25,32,8,0,2025-11-02
2025,CY,CZ934,DPMA,dd40f5ffad65066eddc3,FINTECH,42,33,8775830944.04,1.958,2869,HORIZON_DIGITAL,133931770.49,28,4.377,7,33,9,1,2025-04-05
2026,FR,PT4,EPO,e1c685f494542dcfcdc4,AGRI_TECH,42,35,5881426749.13,1.409,2947,EIC_ACCELERATOR,215471371.15,38,1.026,35,34,1,1,2025-05-06
2014,IT,IT63,UPV,5d84cd24c5076b45a6a6,SECURITY,37,25,6174497395.48,1.544,3115,HORIZON_INDUSTRY,114603739.62,35,1.636,48,35,2,1,2024-06-12
2015,NL,IE820,OEPM,020acd779b6202175533,ICT,34,29,11981016903.61,2.407,3265,HORIZON_HEALTH,316713684.57,25,0.753,51,1,3,1,2024-10-02
2016,SI,NL109,INPI,63684915c6c14ed67a5f,BIOTECH,28,17,18797307579.45,3.635,2892,HORIZON_WIDENING,222492248.67,38,4.843,6,2,4,1,2025-02-22
2017,BG,SI621,EUIPO,fc73569ff03777f84dbe,MEDTECH,35,24,11914282745.72,2.537,2803,HORIZON_CLIMATE,204804437.25,27,6.04,7,3,5,0,2025-12-16
2018,EE,HR95,BOIP,962e7910846c9d73b660,CLEAN_ENERGY,30,18,7740293647.97,1.434,2989,EIC_PATHFINDER,129295578.84,33,3.18,25,4,6,0,2025-12-03
2019,HU,CY513,PRV,20006504f013d2e0e793,ADV_MATERIALS,43,33,5969902553.86,1.507,3247,HORIZON_SPACE,137973529.93,29,5.163,23,5,7,1,2024-03-11
2020,LU,LU622,UKIPO,014072333c91604beaff,AEROSPACE,45,18,18317583598.36,3.48,2827,HORIZON_DIGITAL,230457669.08,42,5.591,9,6,8,1,2024-07-04
2021,RO,LV26,DPMA,5b5189f7dbde97aa2fff,MOBILITY,41,40,16485070841.95,3.497,3049,EIC_ACCELERATOR,231021592.98,48,1.747,24,7,9,1,2024-06-19
2022,AT,BG518,EPO,4f7d8e6b9cccd13606e1,FINTECH,46,22,13651926626.47,2.895,2926,HORIZON_INDUSTRY,51609128.4,29,4.878,38,8,1,0,2025-08-10
2023,CZ,NL440,UPV,122ae0b84e1792837f59,AGRI_TECH,29,27,7927178509.5,1.849,3116,HORIZON_HEALTH,182421856.09,52,5.859,29,9,2,1,2024-12-25
2024,DE,SI84,OEPM,8de42574f8f39744abfb,SECURITY,52,23,8744448884.0,1.817,2918,HORIZON_WIDENING,111444181.94,46,5.394,11,10,3,1,2025-06-29
2025,LV,BG2,INPI,9e6c41e19ed38f64ad23,ICT,49,30,6320447882.38,1.3,2974,HORIZON_CLIMATE,35015706.88,35,2.673,26,11,4,1,2024-08-26
2026,PL,IE4,EUIPO,a983b3d584490a0e5435,BIOTECH,51,30,17294162313.06,3.588,3262,EIC_PATHFINDER,334949844.28,49,3.063,40,12,5,1,2025-08-08
2014,ES,CY3,BOIP,d281c9cdd35f70c7f1f6,MEDTECH,33,15,5139608437.17,0.948,3140,HORIZON_SPACE,333399604.11,55,4.869,8,13,6,1,2024-12-09
2015,HR,LT7,PRV,fbeaed1bfac5978138cf,CLEAN_ENERGY,42,41,16871654646.63,3.71,3015,HORIZON_DIGITAL,323984875.45,38,0.936,54,14,7,1,2025-05-31
2016,FI,SK4,UKIPO,1b7170aeacd937d9279b,ADV_MATERIALS,43,30,19590923399.75,4.157,3048,EIC_ACCELERATOR,172840862.89,50,2.521,54,15,8,1,2026-01-29
2017,IE,LV5,DPMA,cdf52de6d06b8c21e592,AEROSPACE,54,30,17754921403.36,3.607,2988,HORIZON_INDUSTRY,106979989.05,58,3.994,26,16,9,0,2024-08-13
2018,MT,DK5,EPO,e8cbadc5b9162ee2ffe9,MOBILITY,42,21,14217307175.54,2.957,2723,HORIZON_HEALTH,156321687.58,53,6.346,26,17,1,1,2024-05-15
2019,SK,AT573,UPV,14dfa3ffb517da57b941,FINTECH,51,40,12065442943.9,2.04,2735,HORIZON_WIDENING,121393509.68,51,4.339,59,18,2,1,2025-12-28
2020,BE,IE28,OEPM,1fecbcf1f6412dfc0203,AGRI_TECH,57,34,14397990407.22,3.204,2834,HORIZON_CLIMATE,145728229.21,59,6.026,37,19,3,0,2024-12-30
2021,DK,PT752,INPI,f3b515ad272b3e3a5762,SECURITY,54,42,21567917997.73,4.161,3340,EIC_PATHFINDER,74321938.43,51,4.903,56,20,4,1,2025-07-23
2022,GR,FR86,EUIPO,8da82c3de87408d3995f,ICT,54,36,8788334641.24,1.596,3326,HORIZON_SPACE,292966735.57,50,6.311,7,21,5,0,2024-07-01
2023,LT,LV1,BOIP,457c816e120b001b3896,BIOTECH,63,52,12195697570.95,2.249,3368,HORIZON_DIGITAL,169681025.29,66,2.848,48,22,6,0,2024-06-08
2024,PT,FI9,PRV,4d2595e7ee91ed612c26,MEDTECH,55,50,13277470767.9,2.204,3185,EIC_ACCELERATOR,30872636.65,43,2.165,48,23,7,0,2025-11-23
2025,SE,SK9,UKIPO,60692a3a3ec7dc33bc63,CLEAN_ENERGY,54,26,10781242815.1,1.796,3077,HORIZON_INDUSTRY,136151454.35,66,6.139,45,24,8,0,2025-09-05
2026,CY,SE433,DPMA,0f5cc82a584d2d7af829,ADV_MATERIALS,45,33,10109385994.97,1.957,2862,HORIZON_HEALTH,175713664.19,68,0.439,14,25,9,1,2025-09-21
2014,FR,HR923,EPO,cd81aa590214c66d3270,AEROSPACE,57,45,13141083549.67,2.186,2798,HORIZON_WIDENING,51974778.66,61,2.945,30,26,1,1,2025-03-19
2015,IT,EE30,UPV,016a522f7ac7c510f06c,MOBILITY,54,37,6604644459.18,1.288,2793,HORIZON_CLIMATE,134187002.89,65,0.508,22,27,2,1,2024-08-20
2016,NL,CY5,OEPM,ac0711dbe1a1214e1e8c,FINTECH,63,60,8648531528.73,1.698,3145,EIC_PATHFINDER,343231137.67,63,2.345,40,28,3,0,2024-04-22
2017,SI,LT149,INPI,8a18a8a63d2ee739e1de,AGRI_TECH,65,39,15833005044.82,2.688,2955,HORIZON_SPACE,26972679.48,62,2.103,26,29,4,1,2024-07-11
2018,BG,LV607,EUIPO,94c6f8caeecc3fb3ee8b,SECURITY,70,67,5497990042.41,1.049,2760,HORIZON_DIGITAL,223315728.33,70,1.779,20,30,5,1,2024-01-15
2019,EE,LT587,BOIP,877e0c2775254e80a9b5,ICT,75,63,3442527013.63,0.571,3067,EIC_ACCELERATOR,200046568.38,72,4.922,44,31,6,1,2025-02-02
2020,HU,FI25,PRV,4edda98970c9e4dbe9df,BIOTECH,54,51,9375102783.33,1.889,2984,HORIZON_INDUSTRY,164160321.21,65,3.416,29,32,7,0,2025-12-13
2021,LU,LU2,UKIPO,648d9d828cc616337616,MEDTECH,74,38,15433001035.16,3.036,2753,HORIZON_HEALTH,151642216.01,77,5.236,59,33,8,1,2025-01-23
2022,RO,DE435,DPMA,535ba0c063d841208958,CLEAN_ENERGY,67,49,18842658650.13,3.8,3375,HORIZON_WIDENING,369605655.57,67,4.602,12,34,9,0,2026-02-22
2023,AT,LU609,EPO,62f6967934988b8f994c,ADV_MATERIALS,67,61,25262328123.2,3.922,3420,HORIZON_CLIMATE,159869443.56,70,5.048,52,35,1,0,2025-10-16
2024,CZ,DE261,UPV,83782bdfe73a478152bc,AEROSPACE,57,29,7525371787.05,1.202,3283,EIC_PATHFINDER,70113171.54,74,0.678,31,1,2,0,2025-01-28
2025,DE,EE16,OEPM,3f9d5e34e86a98511ef5,MOBILITY,70,54,7557561301.36,1.486,3288,HORIZON_SPACE,297118771.06,78,2.196,60,2,3,0,2024-02-20
2026,LV,DE10,INPI,94756e467a88830768bf,FINTECH,75,41,9498453698.72,1.837,3340,HORIZON_DIGITAL,144159474.6,63,3.299,33,3,4,0,2025-03-13
2014,PL,BG97,EUIPO,beee96eff4dbb80fe7c1,AGRI_TECH,80,46,7817494103.57,1.392,3243,EIC_ACCELERATOR,66498376.42,72,3.39,10,4,5,0,2024-08-07
2015,ES,HU82,BOIP,a9ecdad14bd7090e4b40,SECURITY,61,45,5333516919.68,0.941,2803,HORIZON_INDUSTRY,92861267.59,85,2.195,24,5,6,0,2025-01-04
2016,HR,BE61,PRV,177a8686983d9c9fcbb9,ICT,65,29,13750781001.75,2.512,3478,HORIZON_HEALTH,17967356.11,68,3.513,49,6,7,1,2025-01-02
2017,FI,HU42,UKIPO,ee154706e5d2df4941c1,BIOTECH,69,30,12567962249.11,1.957,3388,HORIZON_WIDENING,279199537.84,75,6.317,44,7,8,1,2025-09-03
2018,IE,FI520,DPMA,e409500ac5ad59122716,MEDTECH,66,37,27465919533.56,4.082,3238,HORIZON_CLIMATE,34602981.99,69,0.937,55,8,9,0,2025-01-04
2019,MT,IT39,EPO,9e00653c7c73e92d2869,CLEAN_ENERGY,78,63,14085420491.98,2.175,3406,EIC_PATHFINDER,178732557.43,79,4.218,50,9,1,1,2025-07-12
2020,SK,MT8,UPV,5c937e3c3e21e37f2816,ADV_MATERIALS,86,48,5098161815.8,1.009,2862,HORIZON_SPACE,174387685.84,67,4.715,35,10,2,1,2024-12-24
2021,BE,EE62,OEPM,1320440c1107ad2cdef8,AEROSPACE,74,68,4971332423.5,0.802,2727,HORIZON_DIGITAL,213532246.14,80,4.329,42,11,3,1,2024-09-12
2022,DK,NL708,INPI,a68289dadc6f94a1a336,MOBILITY,91,63,12514971327.17,2.026,3473,EIC_ACCELERATOR,100830472.51,84,6.257,57,12,4,1,2024-03-10
2023,GR,HR8,EUIPO,a00e04748cdc674f353c,FINTECH,70,50,24874173360.57,3.925,2857,HORIZON_INDUSTRY,154032839.7,81,6.447,38,13,5,0,2025-01-26
2024,LT,BE298,BOIP,8b0d7b51e3880456bc83,AGRI_TECH,72,39,13253203345.37,1.899,3203,HORIZON_HEALTH,188629301.09,91,4.019,45,14,6,1,2025-07-31
2025,PT,PT1,PRV,44d990c9939ecf9ace1f,SECURITY,92,60,22324577031.75,3.244,3355,HORIZON_WIDENING,16998904.57,74,6.298,24,15,7,1,2025-05-13
2026,SE,SK625,UKIPO,ac73e8f78338f783c945,ICT,96,80,9219492078.12,1.639,3165,HORIZON_CLIMATE,1614926.84,89,1.443,61,16,8,0,2025-03-15
2014,CY,RO473,DPMA,8f36d552e22e64e30dc9,BIOTECH,83,83,19128792700.14,2.687,2740,EIC_PATHFINDER,156734263.81,88,2.693,30,17,9,0,2024-02-26
2015,FR,LU8,EPO,ebf3ab5f0c0653ee55cb,MEDTECH,75,40,12647451109.79,2.202,3268,HORIZON_SPACE,40493888.56,85,5.798,53,18,1,1,2025-01-07
2016,IT,CY182,UPV,a509658c38ade2a337a1,CLEAN_ENERGY,75,62,21976993004.28,3.546,3419,HORIZON_DIGITAL,70735222.71,79,1.749,15,19,2,0,2024-04-27
2017,NL,ES78,OEPM,3ed27832fe5bd8668a1b,ADV_MATERIALS,80,47,15628325742.9,2.793,3250,EIC_ACCELERATOR,255344534.37,84,4.573,42,20,3,0,2024-07-01
2018,SI,CY247,INPI,f342a8b3a77419ee4866,AEROSPACE,79,77,19447720694.99,3.612,3036,HORIZON_INDUSTRY,223998611.88,100,6.303,23,21,4,0,2024-12-15
2019,BG,EE498,EUIPO,ea80472154a9f30af38b,MOBILITY,78,73,20753929364.49,2.896,2824,HORIZON_HEALTH,232417737.38,94,3.632,24,22,5,1,2025-08-29
2020,EE,DK40,BOIP,4b8b773e0b221dbe521c,FINTECH,89,83,14874146982.29,2.37,3165,HORIZON_WIDENING,78866017.16,101,5.329,20,23,6,1,2025-05-29
2021,HU,LV714,PRV,a204fb85b8ceede7f6d2,AGRI_TECH,92,67,17345670138.67,2.585,3065,HORIZON_CLIMATE,59544967.25,90,3.13,49,24,7,1,2025-12-31
2022,LU,FR661,UKIPO,1edc1fe402fba4f1dfd1,SECURITY,91,59,4146520667.94,0.673,3076,EIC_PATHFINDER,18730372.32,85,5.942,40,25,8,1,2025-09-19
2023,RO,IE72,DPMA,d0733c9d1b6799cab977,ICT,84,68,21259044816.15,3.73,3131,HORIZON_SPACE,280197449.9,102,1.246,17,26,9,1,2025-09-11
2024,AT,FR1,EPO,4f5be258d8ba98f4f955,BIOTECH,106,66,21860247119.63,3.153,3125,HORIZON_DIGITAL,13188817.73,84,3.388,11,27,1,0,2025-10-07
2025,CZ,BG257,UPV,e4d44523bbaa639ee3bb,MEDTECH,84,80,21583508825.47,3.75,2870,EIC_ACCELERATOR,26108737.32,104,5.247,12,28,2,1,2024-06-10
2026,DE,DK966,OEPM,40148511586503cd0d1e,CLEAN_ENERGY,100,44,23879903721.52,3.878,3247,HORIZON_INDUSTRY,74029018.51,102,0.652,16,29,3,1,2024-06-09
2014,LV,NL867,INPI,a55079578aee929a2a7d,ADV_MATERIALS,110,48,24752147692.42,3.48,3463,HORIZON_HEALTH,130789088.25,91,4.377,60,30,4,0,2024-06-08
2015,PL,EE88,EUIPO,329add0acbdc46bd7cde,AEROSPACE,107,102,28571088773.83,4.123,3005,HORIZON_WIDENING,103536358.28,108,3.341,57,31,5,1,2024-03-18
2016,ES,SE2,BOIP,ed26711a477c35f4552a,MOBILITY,105,61,2466647848.54,0.455,3296,HORIZON_CLIMATE,121672998.04,99,0.211,28,32,6,1,2025-05-27
2017,HR,FR861,PRV,6add52a27ca8fecddb12,FINTECH,113,48,13087759932.81,1.876,2890,EIC_PATHFINDER,161199183.81,112,5.652,58,33,7,1,2026-02-01
2018,FI,FI17,UKIPO,132a78ee0d9cb0a1216a,AGRI_TECH,99,91,20313512810.7,3.295,3420,HORIZON_SPACE,62175460.79,114,5.635,21,34,8,1,2025-10-02
2019,IE,PT532,DPMA,bd3c7f9ef1da8a8a784b,SECURITY,110,47,20067302852.81,3.395,2934,HORIZON_DIGITAL,268302336.33,108,0.446,42,35,9,1,2025-02-14
2020,MT,LT77,EPO,d29fbbe44a6907810fc2,ICT,114,82,12613353317.46,2.283,3449,EIC_ACCELERATOR,235408152.45,25,6.232,47,1,1,0,2025-10-28
2021,SK,ES73,UPV,6a447e4d4ac30d2d206b,BIOTECH,102,91,16450060217.75,2.517,3231,HORIZON_INDUSTRY,132491582.81,4,1.971,54,2,2,0,2024-02-16
2022,BE,DE99,OEPM,e872207c4bc15f816d53,MEDTECH,93,51,18630549633.44,2.75,2897,HORIZON_HEALTH,228251139.86,8,2.265,44,3,3,1,2025-06-04
2023,DK,AT215,INPI,827ebd4c68f6fb23208c,CLEAN_ENERGY,113,75,22850384626.3,3.324,2828,HORIZON_WIDENING,102543784.08,22,6.3,63,4,4,0,2024-05-28
2024,GR,PL2,EUIPO,6476e5ba9911aa1db53e,ADV_MATERIALS,116,74,23840318404.93,3.831,3494,HORIZON_CLIMATE,147125952.02,23,1.456,49,5,5,0,2025-05-09
2025,LT,DK566,BOIP,a220ddebb2116dc2933a,AEROSPACE,96,82,19283215322.97,2.713,2902,EIC_PATHFINDER,201309372.49,20,1.552,55,6,6,1,2025-10-10
2026,PT,SI44,PRV,edf45804e602d5602e24,MOBILITY,104,64,25494184962.14,3.317,3433,HORIZON_SPACE,33763104.45,31,5.877,44,7,7,0,2024-11-07
2014,SE,MT15,UKIPO,b4277eedad5056d23d24,FINTECH,111,50,14940790727.86,2.023,3319,HORIZON_DIGITAL,108484004.35,13,3.887,13,8,8,1,2025-07-14
2015,CY,LU326,DPMA,58b8671afa51b8305ff4,AGRI_TECH,103,76,31364546710.61,4.096,3112,EIC_ACCELERATOR,27246586.25,14,4.374,17,9,9,1,2024-03-21
2016,FR,ES8,EPO,e3076b9b3794bd8595e6,SECURITY,119,68,7122651523.37,1.11,3018,HORIZON_INDUSTRY,301638879.14,33,3.676,33,10,1,1,2025-07-10
2017,IT,FI7,UPV,b52d6c343ac5e5ba18bc,ICT,117,113,24264413635.24,4.139,3168,HORIZON_HEALTH,160018770.73,25,2.297,23,11,2,1,2025-05-03
2018,NL,RO366,OEPM,830f42a627bf86dcb41c,BIOTECH,126,108,8835419219.62,1.11,3169,HORIZON_WIDENING,202087546.68,37,2.289,46,12,3,0,2025-09-29
2019,SI,CZ2,INPI,b72e67ca129116050e11,MEDTECH,120,90,11423516013.87,1.633,2934,HORIZON_CLIMATE,94073945.2,27,0.552,26,13,4,1,2024-11-30
2020,BG,HU968,EUIPO,799faa376df5f9facf46,CLEAN_ENERGY,105,84,19585634177.93,3.338,3130,EIC_PATHFINDER,164355384.14,32,6.051,45,14,5,1,2025-02-26
2021,EE,SK1,BOIP,4f3b99da30c9653f5b53,ADV_MATERIALS,114,61,23632239737.83,3.976,3363,HORIZON_SPACE,136152022.78,24,2.744,28,15,6,0,2025-12-16
2022,HU,RO5,PRV,2a501aaecc3f70e38c22,AEROSPACE,129,104,13634692285.35,1.676,3562,HORIZON_DIGITAL,2056697.33,34,5.955,16,16,7,1,2025-12-10
2023,LU,HU21,UKIPO,62cce59dcf140df78002,MOBILITY,108,76,5043448854.44,0.64,2819,EIC_ACCELERATOR,109763542.9,30,6.496,54,17,8,1,2024-01-28
2024,RO,SI309,DPMA,c9040ace41682e67f41f,FINTECH,109,91,17593106477.66,2.181,3540,HORIZON_INDUSTRY,33651233.17,25,4.27,41,18,9,0,2024-07-31
2025,AT,PT98,EPO,6f4961a9fe737e8b6a9b,AGRI_TECH,113,108,3927171786.95,0.578,3010,HORIZON_HEALTH,68317175.93,39,4.232,63,19,1,1,2024-04-21
2026,CZ,IT94,UPV,67721b849d5e4969f9f7,SECURITY,125,61,15746056939.77,2.267,3542,HORIZON_WIDENING,167246175.64,20,4.83,24,20,2,0,2026-01-13
2014,DE,MT806,OEPM,6fc0697d5693b5d753ff,ICT,133,120,10029891458.31,1.33,2895,HORIZON_CLIMATE,37445708.96,33,4.55,47,21,3,1,2024-02-05
2015,LV,IE62,INPI,f055b33cefac9cdb0caf,BIOTECH,114,65,30548545973.91,3.884,3521,EIC_PATHFINDER,106522653.41,26,4.768,38,22,4,1,2024-12-26
2016,PL,BG66,EUIPO,f2e23a70b7f8cf44e096,MEDTECH,134,72,29144052674.84,3.868,3334,HORIZON_SPACE,24828166.48,46,0.513,48,23,5,0,2024-07-22
2017,ES,DK549,BOIP,a46fb4219de401e074f0,CLEAN_ENERGY,119,62,21923670843.76,2.931,3530,HORIZON_DIGITAL,110361032.19,47,0.837,27,24,6,0,2024-05-02
2018,HR,PL149,PRV,ae1fc5bfb5148ef1ea78,ADV_MATERIALS,115,78,20354468484.52,3.344,2843,EIC_ACCELERATOR,166971266.19,39,1.326,41,25,7,1,2024-10-27
2019,FI,ES264,UKIPO,6e7865068dce15eb75b0,AEROSPACE,129,127,8284386453.41,1.095,3338,HORIZON_INDUSTRY,49768189.02,26,3.465,33,26,8,1,2026-01-29
2020,IE,RO29,DPMA,ba59bbf1c1a5fad86d78,MOBILITY,130,102,14042685413.89,1.724,3017,HORIZON_HEALTH,246984704.29,52,4.9,47,27,9,0,2024-07-07
2021,MT,PL75,EPO,bcf406b73e9e3e02db2b,FINTECH,136,111,6853138349.98,0.943,3054,HORIZON_WIDENING,140369529.26,31,1.6,30,28,1,1,2024-05-14
2022,SK,IE40,UPV,132d4d1bde0a49541ed0,AGRI_TECH,142,60,24738396362.49,3.99,3533,HORIZON_CLIMATE,280741778.84,53,1.118,34,29,2,0,2025-09-28
2023,BE,CZ3,OEPM,95de0c5596fa277bb943,SECURITY,131,86,8983170298.03,1.28,3357,EIC_PATHFINDER,207872870.71,54,4.34,47,30,3,1,2025-05-31
2024,DK,FR315,INPI,fd5ca4a1550fc708895d,ICT,135,91,29005710027.98,3.704,3234,HORIZON_SPACE,207383725.34,48,5.741,66,31,4,1,2025-07-04
2025,GR,DK836,EUIPO,1e2dbef2bed0acb7620a,BIOTECH,124,88,24245924810.96,3.425,3280,HORIZON_DIGITAL,263944340.79,46,4.822,19,32,5,1,2024-04-10
2026,LT,SI4,BOIP,2bd0cc46c7bfae4cd05c,MEDTECH,137,137,4697815806.46,0.699,3403,EIC_ACCELERATOR,17968742.4,33,1.174,66,33,6,1,2024-03-08
2014,PT,LU493,PRV,2c3e4e58bbdf98d2a2c4,CLEAN_ENERGY,131,70,16290887184.85,2.223,3112,HORIZON_INDUSTRY,257647638.54,37,3.237,14,34,7,1,2024-05-23
2015,SE,MT5,UKIPO,5c892648d9d3478049c4,ADV_MATERIALS,150,138,24940465827.72,3.439,2991,HORIZON_HEALTH,70004913.58,35,2.893,33,35,8,1,2024-04-08
2016,CY,IE887,DPMA,650cf50ace04582ac0cc,AEROSPACE,133,115,13066789741.79,1.943,2869,HORIZON_WIDENING,233580342.29,47,5.487,40,1,9,0,2024-09-14
2017,FR,IE858,EPO,f7e8202edcf81c768578,MOBILITY,139,138,18966891745.35,2.974,3584,HORIZON_CLIMATE,197614182.64,47,2.83,62,2,1,0,2024-12-05
2018,IT,LT238,UPV,fe99d6149a3a9b96214f,FINTECH,134,93,19080375218.28,2.46,3578,EIC_PATHFINDER,187551494.09,51,3.473,21,3,2,0,2025-06-29
2019,NL,HU88,OEPM,fb5b61aeb68bbf3ffc7b,AGRI_TECH,145,140,16148311536.95,2.226,2939,HORIZON_SPACE,124946943.21,61,0.581,61,4,3,0,2025-06-01
2020,SI,HR5,INPI,d6206c38d713a316d6e1,SECURITY,132,83,15625744932.57,1.878,3307,HORIZON_DIGITAL,310666199.86,51,4.893,56,5,4,1,2026-02-21
2021,BG,LV261,EUIPO,f0fe31c5a63197966545,ICT,155,122,31158386999.03,3.648,3639,EIC_ACCELERATOR,90983910.38,47,6.271,30,6,5,1,2025-04-17
2022,EE,CZ80,BOIP,e2a715b398220a9eac6d,BIOTECH,141,75,18928449146.19,2.274,3349,HORIZON_INDUSTRY,46140492.04,42,4.834,14,7,6,0,2024-10-25
2023,HU,BG557,PRV,7a44d56053c5cc7cb37d,MEDTECH,155,84,11574314245.74,1.74,3368,HORIZON_HEALTH,235588781.14,59,6.234,46,8,7,1,2026-02-08
2024,LU,SE1,UKIPO,1c476190f57d7b01964f,CLEAN_ENERGY,156,107,6582232150.93,0.852,3266,HORIZON_WIDENING,57433381.02,54,6.356,22,9,8,0,2024-04-10
