econ_leading_indicator_date,econ_leading_indicator_name_code,econ_leading_composite_index_value,econ_leading_diffusion_index_value,econ_leading_yield_curve_spread_bps,econ_leading_initial_claims_level,econ_leading_new_orders_index,econ_leading_consumer_expectations_index,econ_leading_building_permits_level,econ_leading_stock_market_index_level,econ_leading_credit_spread_bps,econ_leading_money_supply_growth_pct,econ_leading_manufacturing_hours_index,econ_leading_vendor_delivery_times_index,econ_leading_inventory_to_sales_ratio,econ_leading_recession_signal_flag,econ_leading_signal_threshold_used,econ_leading_lag_months_assumed,econ_leading_nowcast_gdp_growth_pct,econ_leading_model_version_tag
2020-01-17,EQUITIES,123.326,64.834,-127,447863,39.51,60.69,885992,3672.2,237,1.98,111.46,54.8,1.467,0,97.53,11,1.36,v1_0
2020-01-18,ECI,87.278,35.816,233,475130,41.7,57.68,1609208,3675.34,303,3.38,81.88,50.01,1.189,1,93.51,2,1.77,v2_0
2020-01-19,YIELD_CURVE,117.311,58.087,-133,430854,37.14,82.43,1129681,2252.97,308,1.34,91.5,42.37,1.281,0,97.83,7,4.72,v1_0
2020-01-20,CLAIMS,96.129,53.782,21,351538,58.6,105.17,1842645,4547.03,328,0.41,87.44,58.19,1.597,0,95.37,11,0.92,v1_1
2020-01-21,M2,105.028,41.698,195,462418,44.96,66.02,1017229,4891.91,171,4.53,93.03,51.95,1.442,0,96.75,4,4.46,v2_1
2020-01-22,CREDIT,96.939,51.717,-122,226416,59.84,57.0,1670876,5547.3,408,2.75,91.27,41.24,1.682,0,95.67,7,3.36,v2_0
2020-01-23,M2,129.716,37.508,-206,464773,42.15,72.16,1666712,3641.23,333,4.75,76.69,52.71,1.412,0,98.58,10,3.71,v2_1
2020-01-24,ECI,115.573,50.599,238,245090,37.65,63.18,1371402,4836.2,358,7.16,79.63,59.86,1.138,0,96.36,4,2.68,v1_1
2020-01-25,CLAIMS,90.86,35.968,181,327501,41.58,65.9,1008796,3361.8,115,4.81,92.91,41.13,1.375,1,98.74,2,3.55,v2_0
2020-01-26,CREDIT,108.341,48.141,178,190093,40.07,69.42,1763806,4943.86,419,-7.75,75.04,44.47,1.171,0,98.21,9,4.05,v1_0
2020-01-27,PERMITS,118.619,54.297,345,362518,52.53,91.25,1099727,3065.6,99,-2.19,91.88,52.01,1.445,0,93.91,10,5.28,v2_1
2020-01-28,CLAIMS,116.215,52.385,56,400988,58.38,87.37,1442721,1808.86,61,6.01,85.27,64.79,1.162,0,98.8,4,2.29,v1_1
2020-01-29,CLAIMS,121.007,37.435,9,313674,50.28,94.25,892374,3554.06,60,-0.93,84.78,51.79,1.315,0,93.87,10,0.07,v2_0
2020-01-30,LEI,101.84,54.375,56,164697,44.37,101.13,1288412,4943.65,304,2.99,103.4,59.21,1.307,0,92.65,6,3.21,v2_0
2020-01-31,PMI_NEW_ORDERS,104.135,53.953,177,444530,44.22,65.37,1759135,3560.36,280,-1.07,90.62,62.3,1.33,0,94.91,10,5.0,v2_1
2020-02-01,PMI_NEW_ORDERS,96.564,37.225,185,536041,48.37,78.32,1865105,5056.5,178,-0.56,110.59,54.32,1.399,0,97.29,7,0.74,v1_1
2020-02-02,LEI,125.03,38.309,-78,521776,59.12,100.75,1832099,5544.73,108,1.5,94.97,50.84,1.649,0,98.29,5,1.93,v1_2
2020-02-03,ECI,125.096,63.283,208,534654,40.73,63.75,1355048,3516.38,145,-0.6,81.72,38.28,1.388,0,97.57,9,2.69,v1_2
2020-02-04,LEI,101.383,39.472,-102,376061,60.08,87.86,1010133,3491.68,185,0.49,75.51,59.36,1.307,0,95.01,5,4.93,v2_0
2020-02-05,ECI,108.45,47.048,-96,269134,56.29,88.91,1448357,5402.3,54,3.74,84.9,41.89,1.663,0,95.01,7,2.25,v2_0
2020-02-06,YIELD_CURVE,90.003,61.255,-147,180595,60.67,109.22,967448,2008.88,395,-2.54,78.55,57.55,1.465,1,94.68,12,0.51,v1_1
2020-02-07,CREDIT,117.562,36.732,317,199316,44.65,104.31,1076494,2848.85,416,2.0,91.81,48.76,1.298,0,97.28,4,3.62,v2_0
2020-02-08,EQUITIES,129.814,49.737,153,313541,48.84,79.0,1105337,5787.97,71,4.13,88.95,59.37,1.473,0,92.99,7,3.39,v1_1
2020-02-09,ECI,89.822,44.104,49,497692,43.45,61.33,1701006,4252.59,223,9.81,108.39,44.8,1.362,1,98.01,9,3.09,v1_1
2020-02-10,PMI_NEW_ORDERS,120.192,35.898,-207,283757,52.21,60.58,891682,5828.67,331,10.08,109.4,59.81,1.451,0,95.99,10,-0.01,v2_1
2020-02-11,EQUITIES,128.583,53.907,170,386153,43.28,93.61,994320,4732.66,326,6.2,105.5,56.88,1.283,0,98.24,4,5.31,v2_1
2020-02-12,PMI_NEW_ORDERS,104.112,59.493,-22,304174,38.84,90.13,1256436,4351.82,336,0.34,76.58,42.68,1.393,0,93.96,1,1.7,v2_0
2020-02-13,YIELD_CURVE,119.783,36.854,-176,398176,57.04,64.96,939451,2338.39,325,-3.61,102.07,35.68,1.303,0,94.01,8,4.96,v2_0
2020-02-14,EQUITIES,85.972,62.236,283,208516,46.29,71.49,1370106,1868.96,175,3.35,77.39,47.66,1.614,1,96.77,5,6.33,v1_0
2020-02-15,PERMITS,116.65,39.187,-15,291167,47.42,109.68,1835709,5780.0,236,1.97,86.68,60.35,1.637,0,97.33,6,1.11,v1_0
2020-02-16,PERMITS,85.113,46.341,-249,358958,49.41,62.43,1389001,4016.86,141,6.19,87.3,63.94,1.174,1,95.35,1,0.21,v2_0
2020-02-17,EQUITIES,101.924,46.852,-3,168247,58.38,107.17,735568,4827.05,187,4.46,90.49,63.76,1.535,0,92.22,3,1.58,v2_1
2020-02-18,LEI,128.35,38.62,-37,206987,45.21,105.68,1833690,4256.83,209,4.23,109.06,61.1,1.397,0,98.32,10,4.14,v1_0
2020-02-19,ECI,126.392,42.842,144,232388,46.43,105.03,1178882,5777.26,393,4.53,112.24,64.52,1.484,0,92.06,7,3.14,v1_2
2020-02-20,YIELD_CURVE,118.681,54.052,-17,211414,60.14,97.71,1021877,5705.91,206,4.77,88.61,50.09,1.498,0,95.32,4,1.34,v2_1
2020-02-21,M2,91.652,62.26,39,256191,46.37,87.25,1770190,5591.42,220,5.97,100.35,46.47,1.376,1,92.05,7,-1.03,v1_0
2020-02-22,YIELD_CURVE,128.782,37.084,-14,405846,44.74,66.85,841207,5480.99,283,1.68,106.67,58.69,1.418,0,95.27,1,0.29,v2_0
2020-02-23,YIELD_CURVE,92.548,55.911,-78,478736,40.99,79.4,1743436,5725.72,381,1.8,90.08,57.7,1.63,1,98.91,8,-0.16,v1_0
2020-02-24,PMI_NEW_ORDERS,104.664,35.756,165,476645,55.82,108.53,1355798,3127.87,63,9.92,77.28,61.88,1.371,0,98.38,4,1.06,v2_1
2020-02-25,M2,124.673,58.791,-28,211880,44.63,108.55,1233487,4775.55,59,7.33,84.7,64.26,1.368,0,95.81,6,0.68,v1_2
2020-02-26,YIELD_CURVE,105.32,59.092,299,307481,56.03,67.81,1392478,3367.74,88,-0.08,107.84,52.94,1.643,0,92.71,8,1.15,v2_1
2020-02-27,LEI,98.93,54.561,-153,157292,62.97,92.47,1687464,5311.66,279,3.35,75.09,40.63,1.487,0,92.04,1,3.04,v2_1
2020-02-28,CREDIT,88.04,58.266,348,398831,44.08,71.74,1270317,3854.59,156,-0.97,88.58,53.28,1.187,1,95.47,7,1.14,v1_0
2020-02-29,LEI,90.267,52.129,270,319303,52.1,76.67,737510,2011.17,55,0.57,105.58,60.04,1.423,1,94.95,1,-0.37,v2_0
2020-03-01,PERMITS,119.517,50.407,-48,235519,47.94,89.26,1782463,3662.54,75,0.17,108.95,64.79,1.151,0,93.37,7,5.4,v2_1
2020-03-02,YIELD_CURVE,124.639,37.594,318,354590,42.06,89.34,1714885,5668.43,209,2.62,101.26,56.08,1.365,0,97.16,9,5.37,v2_1
2020-03-03,EQUITIES,116.833,53.274,222,399539,42.87,66.98,1143287,2161.94,181,3.24,100.14,62.34,1.323,0,97.91,11,2.18,v1_1
2020-03-04,PMI_NEW_ORDERS,108.839,55.38,-55,509560,42.2,78.38,1205581,5875.57,190,8.9,112.67,43.25,1.573,0,97.63,10,3.01,v2_0
2020-03-05,CREDIT,129.23,46.49,199,256745,56.89,70.87,1591361,2782.78,65,0.48,112.74,37.45,1.435,0,95.62,1,4.0,v2_0
2020-03-06,CLAIMS,124.526,50.295,-93,238340,55.57,77.21,870396,5337.63,236,0.88,95.32,60.31,1.138,0,95.46,7,1.33,v2_0
2020-03-07,M2,109.852,37.068,21,334119,63.4,92.5,1106156,4858.77,347,3.61,87.81,39.34,1.326,0,94.01,9,-0.52,v2_0
2020-03-08,CREDIT,90.134,35.713,221,472720,51.68,97.08,1470695,3458.63,83,15.43,89.32,40.66,1.266,1,98.43,12,1.79,v1_1
2020-03-09,YIELD_CURVE,116.927,57.642,73,527296,63.11,109.67,1424279,5170.09,314,8.22,81.24,54.25,1.63,0,96.57,3,-1.03,v1_2
2020-03-10,PERMITS,124.23,57.563,214,209055,46.53,73.17,1364134,4133.07,370,0.74,85.67,52.67,1.421,0,95.6,3,2.26,v2_1
2020-03-11,CLAIMS,104.72,43.295,223,372375,41.65,85.89,1117197,4105.73,255,9.38,109.13,37.03,1.639,0,97.01,4,3.0,v2_1
2020-03-12,YIELD_CURVE,121.286,44.957,-108,368533,36.88,74.23,772486,3593.13,277,1.64,82.14,38.77,1.193,0,98.33,5,-0.88,v1_1
2020-03-13,EQUITIES,96.376,55.013,200,209280,43.92,74.31,904645,5988.23,406,1.32,112.43,47.34,1.338,0,97.95,6,5.13,v1_0
2020-03-14,CLAIMS,121.884,46.645,16,543485,51.61,74.26,847196,4378.95,241,2.64,106.3,37.45,1.537,0,93.55,9,2.09,v2_1
2020-03-15,CLAIMS,118.769,44.098,305,477896,54.58,65.56,997722,5866.03,164,-3.72,77.19,54.13,1.623,0,94.66,8,1.83,v1_0
2020-03-16,PMI_NEW_ORDERS,120.782,38.991,91,318097,39.2,88.93,1603594,3095.6,64,7.91,110.31,49.2,1.299,0,94.27,5,3.16,v2_1
2020-03-17,LEI,90.112,43.96,215,406795,44.3,82.14,1663364,4297.32,66,-0.83,97.76,60.84,1.382,1,95.42,8,5.62,v1_1
2020-03-18,PERMITS,95.58,38.128,-214,281597,37.43,63.14,1038698,2220.27,395,3.91,102.04,35.52,1.176,0,98.06,9,5.62,v1_1
2020-03-19,PMI_NEW_ORDERS,129.658,37.954,115,227010,55.91,101.84,1161158,4044.44,86,5.86,83.21,52.2,1.545,0,95.3,5,3.08,v1_0
2020-03-20,PERMITS,90.389,37.115,-116,503017,54.99,75.89,1825473,3704.22,372,9.05,102.6,42.53,1.662,1,94.26,5,3.65,v2_0
2020-03-21,ECI,112.245,40.626,-96,151879,62.72,93.94,973417,5319.01,209,-1.53,91.45,63.27,1.446,0,94.72,12,2.58,v1_1
2020-03-22,PERMITS,98.434,50.956,288,328043,53.23,94.66,1659936,5665.51,378,3.16,113.15,53.98,1.237,0,97.88,2,1.66,v1_1
2020-03-23,LEI,125.257,42.501,344,206598,55.62,94.72,1870610,2455.1,272,-0.8,75.11,52.19,1.282,0,95.33,11,3.07,v1_1
2020-03-24,M2,97.448,50.318,71,256134,56.4,96.18,1739951,4215.39,186,-1.42,97.38,63.1,1.571,0,96.55,7,-1.49,v1_0
2020-03-25,ECI,107.329,38.398,163,387793,49.26,69.29,1602435,2629.32,274,0.45,92.61,63.64,1.218,0,92.77,11,3.55,v1_0
2020-03-26,M2,104.0,35.158,247,280311,62.48,97.25,1035177,2732.75,142,6.87,94.41,62.97,1.429,0,93.57,9,0.6,v1_1
2020-03-27,YIELD_CURVE,89.912,47.564,-138,522312,44.23,94.21,1823025,4190.55,181,3.96,104.78,55.15,1.265,1,98.97,12,4.03,v1_1
2020-03-28,CREDIT,115.141,35.132,-125,460323,46.45,86.09,762131,4016.56,89,9.42,104.14,62.66,1.374,0,94.8,11,4.94,v1_1
2020-03-29,LEI,103.399,63.92,220,199723,61.33,86.25,1005042,1887.13,201,-1.41,114.67,56.81,1.483,0,97.21,1,5.66,v1_2
2020-03-30,ECI,111.143,57.284,-22,273060,39.62,64.04,1075090,3906.47,271,-0.32,108.87,44.81,1.167,0,93.91,2,2.58,v1_0
2020-03-31,LEI,113.484,35.44,262,533588,38.88,74.16,1254589,4625.6,336,2.23,81.3,51.54,1.276,0,96.94,3,-4.73,v2_1
2020-04-01,CREDIT,114.287,42.798,82,189353,39.81,78.28,872003,2836.5,63,2.52,111.87,53.75,1.483,0,97.34,6,0.68,v2_0
2020-04-02,ECI,112.697,45.189,340,479754,40.77,97.03,1839668,3117.02,316,-3.35,79.56,54.52,1.208,0,93.18,10,0.55,v1_1
2020-04-03,EQUITIES,97.988,43.504,-44,448133,37.25,57.57,763029,3451.46,370,-0.48,94.29,52.89,1.595,0,93.49,3,-1.08,v2_0
2020-04-04,M2,114.896,63.525,-1,271198,48.7,67.51,1009459,3227.47,140,9.83,80.27,51.7,1.4,0,95.46,12,6.35,v1_2
2020-04-05,YIELD_CURVE,111.297,40.434,284,505691,47.87,94.21,939816,4500.71,182,4.53,111.21,61.45,1.508,0,92.01,11,1.93,v1_0
2020-04-06,CLAIMS,123.068,47.288,15,424970,62.04,87.37,1078536,3356.77,114,1.15,111.8,42.75,1.23,0,97.8,6,-0.9,v1_0
2020-04-07,LEI,102.387,64.606,15,236683,50.49,90.12,1669924,5089.42,76,9.81,85.66,44.85,1.32,0,97.13,7,1.96,v2_0
2020-04-08,CLAIMS,128.741,64.764,-222,480937,50.59,105.99,1889695,2778.78,296,-0.65,98.16,42.82,1.496,0,95.47,4,5.2,v1_1
2020-04-09,PERMITS,119.763,56.697,91,202888,64.83,96.78,1663148,5885.56,255,0.44,83.51,50.58,1.693,0,94.01,1,3.35,v1_1
2020-04-10,YIELD_CURVE,103.385,36.952,87,239929,60.25,104.23,1822620,5300.5,386,8.82,114.55,50.77,1.348,0,94.85,7,2.11,v1_0
2020-04-11,CLAIMS,121.5,61.623,-10,367905,54.6,58.97,1099715,3380.18,212,0.48,98.91,60.88,1.345,0,98.04,4,3.4,v1_1
2020-04-12,LEI,95.866,43.172,30,254732,49.33,109.83,1298659,1991.33,411,4.38,96.4,39.42,1.579,0,92.17,12,3.11,v2_1
2020-04-13,ECI,123.286,52.979,-240,284791,61.88,62.71,749813,4225.69,313,-1.47,79.18,48.6,1.215,0,95.79,12,5.77,v1_2
2020-04-14,PMI_NEW_ORDERS,110.142,54.014,133,407566,54.9,62.59,1740462,3653.04,123,10.54,106.46,35.21,1.306,0,94.4,9,-2.38,v1_2
2020-04-15,M2,121.194,35.413,202,543133,36.05,97.6,969457,2671.44,175,13.11,105.64,36.86,1.421,0,95.8,7,3.05,v2_1
2020-04-16,LEI,104.804,41.454,-213,536523,44.44,68.3,767104,4384.16,179,0.04,89.82,48.03,1.125,0,98.17,11,-0.43,v1_2
2020-04-17,EQUITIES,116.62,36.421,87,338500,64.26,58.21,1019409,3123.8,241,4.43,75.46,51.86,1.146,0,92.83,9,-0.6,v2_1
2020-04-18,YIELD_CURVE,118.986,49.705,69,496071,49.32,106.74,1429216,4942.52,83,1.86,92.78,43.54,1.598,0,92.28,1,2.61,v1_0
2020-04-19,PERMITS,98.067,57.395,67,343290,56.8,78.56,1847208,3718.8,398,3.79,79.82,63.9,1.486,0,96.86,12,3.0,v1_0
2020-04-20,YIELD_CURVE,102.645,58.083,211,284133,55.93,95.04,1882625,5050.35,253,-0.91,84.63,50.31,1.303,0,96.55,6,1.63,v2_1
2020-04-21,PMI_NEW_ORDERS,103.182,51.533,7,299488,35.25,61.85,877248,2469.75,364,5.72,88.79,37.65,1.171,0,98.79,3,1.37,v2_1
2020-04-22,PERMITS,92.544,57.795,-189,180302,60.3,74.89,1646337,5722.64,381,3.24,100.77,37.42,1.131,1,94.49,10,3.34,v2_1
2020-04-23,YIELD_CURVE,116.931,63.16,-88,199904,36.35,67.63,1418771,4998.13,157,7.23,92.88,51.34,1.403,0,97.15,3,6.64,v1_2
2020-04-24,M2,99.15,50.361,111,400005,42.29,71.42,1878752,2392.56,292,-1.5,85.08,52.65,1.181,0,94.64,11,-1.21,v1_0
2020-04-25,EQUITIES,96.654,54.314,130,422219,36.89,55.08,1463863,5904.3,354,2.51,100.38,48.63,1.639,0,97.49,3,4.54,v2_1
2020-04-26,LEI,109.121,62.479,188,300350,36.61,58.89,1341186,3301.22,406,2.1,112.1,49.32,1.642,0,95.67,10,5.24,v2_1
2020-04-27,CREDIT,92.45,63.965,-53,406270,58.3,102.21,761550,1992.95,50,-0.11,95.44,57.07,1.434,1,97.3,11,0.68,v2_0
2020-04-28,LEI,126.887,50.6,263,338795,48.38,79.7,1159495,5680.48,80,5.98,105.62,54.63,1.231,0,92.6,9,2.26,v2_1
2020-04-29,M2,104.871,60.578,-99,291741,64.58,96.63,1280423,3862.4,69,9.1,91.14,57.03,1.286,0,97.75,12,0.55,v1_0
2020-04-30,LEI,105.859,47.223,-74,471438,39.81,103.23,1313765,4245.91,304,5.8,104.36,49.15,1.476,0,98.76,9,0.45,v1_1
2020-05-01,YIELD_CURVE,105.749,57.407,110,267261,64.61,64.53,1108733,4491.65,411,2.11,83.92,52.85,1.658,0,94.0,3,4.15,v1_0
2020-05-02,CLAIMS,99.7,44.742,-39,445562,39.4,93.77,1494094,5980.61,191,0.35,108.04,59.32,1.126,0,97.47,8,2.79,v2_0
2020-05-03,CREDIT,118.541,58.621,339,248950,56.59,63.48,1689181,3053.62,228,-3.01,90.61,64.61,1.115,0,94.51,1,1.82,v2_0
2020-05-04,YIELD_CURVE,105.4,36.465,324,314155,43.88,65.85,1337242,3798.08,137,-3.1,101.62,50.65,1.216,0,92.77,3,2.83,v1_2
2020-05-05,PMI_NEW_ORDERS,97.303,57.116,-122,513255,54.8,57.75,1003837,5538.1,294,6.59,78.69,40.78,1.305,0,98.81,7,-1.33,v1_2
2020-05-06,YIELD_CURVE,105.476,47.564,-118,472564,45.74,55.44,1398442,4996.08,173,3.27,75.97,57.93,1.475,0,98.43,2,2.21,v1_0
2020-05-07,M2,119.863,59.797,325,228424,62.43,63.47,1359446,3424.85,56,4.24,114.27,46.71,1.688,0,93.31,3,1.37,v2_0
2020-05-08,PMI_NEW_ORDERS,95.597,59.498,1,320668,51.66,109.63,1105450,2902.11,194,8.43,76.95,46.41,1.354,0,96.17,5,-1.43,v1_1
2020-05-09,PERMITS,128.847,41.12,226,245841,64.39,106.65,1587216,5313.16,336,6.84,103.06,42.88,1.449,0,92.95,2,-0.05,v2_1
2020-05-10,EQUITIES,112.795,64.13,300,283526,61.74,79.9,1634431,4565.89,199,3.03,88.24,52.65,1.613,0,92.69,5,1.17,v2_1
2020-05-11,CLAIMS,108.639,36.322,289,527694,53.6,86.63,1545460,5838.15,74,4.24,90.44,57.61,1.11,0,95.44,8,0.64,v1_1
2020-05-12,ECI,102.848,40.939,89,274583,38.86,61.24,893140,5778.65,134,10.57,86.31,52.19,1.184,0,93.88,7,4.29,v2_0
2020-05-13,CREDIT,109.868,47.288,-95,483163,47.6,79.64,1852987,1851.23,166,3.05,106.92,47.79,1.337,0,96.03,11,2.63,v2_1
2020-05-14,ECI,114.217,49.84,21,472518,57.22,78.4,1857371,3031.83,387,5.21,97.83,63.14,1.471,0,93.16,1,5.29,v2_1
2020-05-15,EQUITIES,114.45,52.17,107,429348,64.76,103.24,879962,2312.22,67,2.38,79.87,59.9,1.684,0,96.29,2,1.86,v1_1
2020-05-16,EQUITIES,111.417,61.318,138,180179,64.8,88.06,1079391,1868.53,144,-0.29,102.35,35.16,1.185,0,98.18,11,0.51,v1_1
2020-05-17,YIELD_CURVE,89.459,40.669,176,511572,39.17,86.48,1274761,5084.92,90,-0.15,94.58,40.36,1.351,1,95.25,2,0.41,v1_1
2020-05-18,ECI,100.652,46.084,335,461687,53.37,85.27,1479958,5692.27,338,-0.85,86.91,41.24,1.451,0,97.33,6,0.35,v1_2
2020-05-19,PERMITS,99.08,37.838,-219,365150,56.54,89.65,1850953,5663.91,138,0.81,80.05,56.2,1.193,0,93.28,2,0.68,v2_1
2020-05-20,YIELD_CURVE,117.727,48.244,-200,460352,54.84,81.9,990665,5086.53,201,6.02,93.21,57.0,1.482,0,98.38,11,5.89,v2_0
2020-05-21,M2,122.629,60.042,-133,226620,56.1,86.28,1385174,2054.96,361,10.69,114.23,58.74,1.325,0,95.81,1,2.22,v1_0
2020-05-22,EQUITIES,123.303,41.814,313,314868,55.63,67.31,1286310,4179.5,115,-6.29,98.4,41.66,1.522,0,92.5,11,4.15,v1_1
2020-05-23,EQUITIES,114.507,39.79,91,502949,61.42,97.2,1216502,5406.57,209,1.63,101.6,50.17,1.424,0,92.58,3,0.56,v1_0
2020-05-24,CLAIMS,101.235,46.59,3,228038,63.89,91.36,1174059,4430.25,344,-3.39,93.46,63.23,1.143,0,96.87,9,0.93,v2_1
2020-05-25,LEI,125.833,48.177,229,507650,41.72,58.05,907382,3502.83,149,8.02,85.76,38.94,1.17,0,92.8,10,1.45,v1_1
2020-05-26,CREDIT,113.39,45.067,273,272465,57.9,108.74,1668097,2267.07,408,0.38,98.51,59.31,1.526,0,98.54,5,1.45,v1_1
2020-05-27,CLAIMS,116.458,59.888,2,323948,60.79,77.34,1287823,5991.85,52,5.44,94.88,37.29,1.586,0,92.12,7,4.37,v1_1
2020-05-28,PMI_NEW_ORDERS,110.043,59.527,-79,463260,59.25,84.18,833261,5060.73,375,8.93,110.06,48.03,1.261,0,93.8,2,1.44,v2_1
2020-05-29,CREDIT,109.63,59.147,-250,413072,49.45,81.75,1426436,3989.53,219,9.01,86.97,41.96,1.633,0,96.77,6,2.78,v2_0
2020-05-30,CLAIMS,107.21,47.983,-74,199359,59.25,55.01,1209423,2621.15,195,4.3,78.34,44.9,1.267,0,96.25,8,-1.21,v1_1
2020-05-31,PMI_NEW_ORDERS,107.851,38.348,63,181101,37.2,71.43,771213,4696.25,410,7.72,110.85,38.28,1.198,0,98.64,2,0.97,v1_2
2020-06-01,EQUITIES,114.786,44.285,124,499906,55.04,105.03,1546089,2502.43,388,-2.12,89.39,47.22,1.644,0,92.14,3,2.52,v1_1
2020-06-02,ECI,93.159,41.43,-128,303305,41.49,97.55,1271073,3700.27,376,-2.87,113.43,48.7,1.293,1,97.58,2,2.72,v1_0
2020-06-03,PERMITS,97.055,35.802,-101,449457,60.4,84.08,1802186,3344.8,289,-0.29,89.46,41.25,1.17,0,95.55,1,-0.3,v2_1
2020-06-04,PERMITS,124.041,37.059,36,377891,53.19,90.72,1352344,4896.59,256,-1.04,77.67,37.63,1.167,0,95.15,10,4.97,v2_0
2020-06-05,CLAIMS,100.314,54.719,-188,259286,57.26,88.95,1415272,4536.46,187,1.63,105.38,61.82,1.366,0,94.36,10,3.24,v2_1
2020-06-06,YIELD_CURVE,119.427,61.105,-78,356853,49.28,92.46,1210886,5158.27,210,7.82,86.45,37.0,1.548,0,93.4,4,7.34,v1_1
2020-06-07,PMI_NEW_ORDERS,90.916,37.41,18,460540,56.97,59.14,1075251,4977.14,234,8.06,75.77,35.32,1.683,1,95.09,8,3.01,v2_1
2020-06-08,LEI,87.361,62.564,-108,464617,61.71,73.12,766986,1932.21,96,7.26,95.06,59.67,1.536,1,97.47,11,1.46,v1_0
2020-06-09,M2,111.602,64.242,-131,189014,41.08,98.27,1080103,2498.05,114,7.72,112.4,47.04,1.359,0,93.53,4,4.66,v1_2
2020-06-10,ECI,111.567,47.314,146,171320,53.45,88.71,801326,3654.17,210,-1.17,92.46,39.15,1.691,0,93.41,11,1.57,v2_0
2020-06-11,M2,111.976,44.664,192,348809,44.68,102.5,1662067,3783.54,351,-0.98,98.88,47.83,1.232,0,92.65,3,-1.5,v1_1
2020-06-12,ECI,103.377,60.706,324,374169,45.17,64.75,1331401,2342.73,137,11.71,91.85,56.6,1.565,0,94.04,3,4.82,v1_0
2020-06-13,LEI,101.711,64.834,219,478602,39.42,56.87,882218,3088.95,191,3.61,94.92,52.71,1.308,0,93.72,5,3.06,v2_1
2020-06-14,CLAIMS,102.572,58.09,-164,374235,56.46,95.7,1536251,2120.51,246,0.25,106.48,42.3,1.426,0,92.57,12,0.12,v2_1
2020-06-15,ECI,88.265,61.016,316,238751,46.93,79.68,1213704,2187.9,158,-3.57,85.63,62.12,1.262,1,92.87,5,1.71,v1_2
2020-06-16,YIELD_CURVE,129.348,37.13,61,319860,38.41,57.8,1222549,5582.56,388,2.47,93.39,47.21,1.381,0,95.19,8,-0.3,v2_0
2020-06-17,LEI,116.425,58.991,284,393171,61.29,66.87,971274,5431.36,293,4.89,102.08,36.22,1.649,0,92.67,9,3.97,v1_2
2020-06-18,LEI,87.2,48.775,243,294681,39.18,60.0,1335163,2850.25,180,-0.04,84.66,46.95,1.246,1,94.08,2,2.99,v2_1
2020-06-19,YIELD_CURVE,104.586,55.682,262,371589,43.03,79.53,1696421,4111.34,375,2.87,104.61,35.61,1.315,0,93.91,7,-2.0,v1_1
2020-06-20,PERMITS,85.8,57.156,244,462597,46.66,57.84,1597692,3015.98,110,4.91,97.54,58.83,1.265,1,93.67,10,2.55,v1_1
2020-06-21,PMI_NEW_ORDERS,115.184,57.205,66,359319,59.7,56.93,1479782,3639.92,297,6.74,88.2,54.33,1.593,0,96.11,4,5.7,v2_1
2020-06-22,CLAIMS,86.135,38.97,-148,437974,37.52,78.62,1517223,5572.3,123,4.61,104.67,61.48,1.588,1,93.27,3,-0.48,v1_2
2020-06-23,YIELD_CURVE,91.456,40.189,21,339210,38.22,65.92,980749,3959.74,144,1.71,91.66,35.98,1.124,1,98.25,8,-0.57,v2_1
2020-06-24,CLAIMS,106.585,41.957,303,425654,53.68,107.79,1710916,5707.89,364,1.17,107.21,48.64,1.217,0,97.01,5,6.15,v1_0
2020-06-25,LEI,115.124,41.068,319,468262,40.74,85.33,1555683,5095.83,293,2.15,82.5,52.77,1.413,0,95.35,11,1.17,v2_0
2020-06-26,M2,104.561,45.067,-133,209540,52.56,95.37,989125,4406.17,332,6.47,99.1,63.82,1.284,0,93.26,3,0.09,v2_0
2020-06-27,CLAIMS,113.353,48.858,-64,375461,42.49,73.9,904892,5390.9,267,5.06,88.24,40.62,1.413,0,98.37,1,6.9,v1_1
2020-06-28,PMI_NEW_ORDERS,90.675,36.304,93,174775,63.7,98.1,983424,4619.83,367,6.79,77.28,56.93,1.374,1,97.57,11,-0.87,v1_1
2020-06-29,PMI_NEW_ORDERS,93.435,49.099,328,324042,51.33,57.29,1887493,5069.96,402,5.08,93.97,48.02,1.283,1,93.02,1,4.72,v1_0
2020-06-30,CREDIT,113.104,45.531,159,191567,40.75,59.57,1581120,2969.72,303,3.83,92.53,62.3,1.433,0,93.62,11,2.44,v1_1
2020-07-01,CLAIMS,128.251,53.693,103,468649,61.13,82.73,1701460,4841.98,381,1.73,105.42,47.72,1.491,0,92.5,11,-2.86,v2_0
2020-07-02,CREDIT,96.571,64.809,184,336254,57.91,57.68,1511632,3561.25,209,3.21,80.98,60.36,1.332,0,92.68,1,0.06,v1_0
2020-07-03,CLAIMS,91.957,44.247,27,542786,39.05,62.9,705829,5416.14,221,3.03,90.3,59.81,1.159,1,94.58,1,1.74,v1_1
2020-07-04,CREDIT,118.916,50.354,186,468424,50.07,64.06,735263,4023.65,230,9.45,107.2,46.45,1.678,0,97.73,12,3.0,v2_1
2020-07-05,PERMITS,99.814,54.13,6,300285,64.08,87.7,1203549,5553.08,103,9.35,99.52,52.35,1.252,0,92.75,10,3.7,v2_1
2020-07-06,M2,107.035,52.08,-46,503840,56.68,104.85,709835,4698.81,226,3.73,108.89,40.53,1.522,0,93.18,4,5.4,v2_1
