ph_vax_reference_year,ph_vax_country_iso2,ph_vax_region_nuts_code,ph_vax_vaccine_code,ph_vax_dose_number,ph_vax_target_age_group,ph_vax_coverage_pct,ph_vax_uptake_rate_pct,ph_vax_mandatory_policy_flag,ph_vax_certificate_policy_flag,ph_vax_supply_deliveries_doses,ph_vax_wastage_rate_pct,ph_vax_adverse_events_reports_count,ph_vax_seroprevalence_estimate_pct,ph_vax_misinformation_incident_index,ph_vax_campaign_spend_eur,ph_vax_joint_procurement_flag,ph_vax_data_source,ph_vax_methodology_version,ph_vax_data_extract_date
2017,HR,SE8,DTP,4,6_11,81.96,81.5,1,0,6199504,0.46,816,41.9,45.74,79189837.79,0,HEALTH_INSURANCE_ADMIN,VAX_V1,2024-12-16
2018,FI,LU8,POLIO,1,2_5,95.04,94.4,1,0,19127343,3.86,10618,53.37,71.27,31196969.6,0,ECDC_VACCINE_TRACKER,VAX_V2,2026-02-13
2019,IE,FI882,HPV,2,0_1,51.27,46.66,0,0,12078437,4.4,5318,45.91,22.73,82026826.67,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2024-09-18
2020,MT,SK637,FLU_SEASONAL,3,65_PLUS,25.46,28.01,1,0,9998566,3.67,9235,16.21,10.24,234404056.31,1,HOUSEHOLD_SURVEY,VAX_V1,2024-09-12
2021,SK,LT4,COVID_19,4,25_64,55.58,47.31,0,1,18277669,6.04,29319,13.17,92.34,214403356.64,0,HEALTH_INSURANCE_ADMIN,VAX_V2,2024-10-11
2022,BE,LV9,PNEUMOCOCCAL,1,16_24,26.15,16.83,1,0,5908618,4.49,12045,18.49,39.1,88246121.45,0,ECDC_VACCINE_TRACKER,VAX_V3,2024-03-26
2023,DK,FR67,MENINGO,2,12_15,59.83,65.32,0,0,11459175,9.76,3785,9.74,5.44,54581390.52,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2025-04-16
2024,GR,MT6,HEP_B,3,6_11,56.89,58.72,1,0,21168666,10.03,9044,50.32,71.74,87942395.49,1,HOUSEHOLD_SURVEY,VAX_V2,2024-12-02
2025,LT,GR7,VARICELLA,4,2_5,41.48,40.24,0,0,7528837,1.6,9365,38.25,64.17,3951217.43,0,HEALTH_INSURANCE_ADMIN,VAX_V3,2026-01-29
2006,PT,DE4,MMR,1,0_1,71.89,72.11,0,0,11084923,7.62,10805,89.0,44.17,76480721.56,0,ECDC_VACCINE_TRACKER,VAX_V1,2025-09-04
2007,SE,RO799,DTP,2,65_PLUS,78.97,74.89,0,0,8027020,8.13,7284,26.48,22.71,65857333.34,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2025-05-17
2008,CY,IE327,POLIO,3,25_64,64.45,57.17,1,0,16140536,5.45,13122,6.82,50.85,42548627.17,0,HOUSEHOLD_SURVEY,VAX_V3,2025-12-09
2009,FR,LU3,HPV,4,16_24,49.88,49.3,1,0,19670267,10.38,2611,72.46,34.4,39116985.23,0,HEALTH_INSURANCE_ADMIN,VAX_V1,2025-01-18
2010,IT,FI83,FLU_SEASONAL,1,12_15,56.34,51.18,0,0,25404887,6.05,15121,20.4,24.47,120801475.58,0,ECDC_VACCINE_TRACKER,VAX_V2,2025-09-25
2011,NL,EE32,COVID_19,2,6_11,70.51,78.14,0,0,30103448,10.32,24884,65.18,11.82,69846261.01,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2024-10-12
2012,SI,SI75,PNEUMOCOCCAL,3,2_5,65.23,63.29,0,0,12662738,3.7,6971,55.62,16.74,51318694.54,0,HOUSEHOLD_SURVEY,VAX_V1,2024-09-01
2013,BG,DE484,MENINGO,4,0_1,73.42,75.78,0,0,18169995,8.14,13489,45.64,45.9,28731872.74,1,HEALTH_INSURANCE_ADMIN,VAX_V2,2025-01-21
2014,EE,LU65,HEP_B,1,65_PLUS,57.87,64.04,0,0,1424165,2.36,3797,88.62,42.36,25590097.92,0,ECDC_VACCINE_TRACKER,VAX_V3,2024-01-02
2015,HU,BG348,VARICELLA,2,25_64,38.1,43.55,0,0,16819950,0.4,10950,51.72,57.93,81378431.05,1,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2024-02-24
2016,LU,IE457,MMR,3,16_24,65.74,61.53,1,1,2449522,5.97,2101,68.51,64.48,58521950.99,0,HOUSEHOLD_SURVEY,VAX_V2,2025-09-01
2017,RO,DE249,DTP,4,12_15,76.05,67.98,1,0,18246439,6.01,5725,51.88,57.74,33194014.86,0,HEALTH_INSURANCE_ADMIN,VAX_V3,2024-12-12
2018,AT,IT97,POLIO,1,6_11,74.9,75.49,1,1,15185519,3.36,5980,19.48,61.4,66533152.74,0,ECDC_VACCINE_TRACKER,VAX_V1,2024-05-25
2019,CZ,IT5,HPV,2,2_5,42.06,40.8,0,0,12403898,2.99,3253,16.99,56.3,95845261.66,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2025-12-26
2020,DE,FR555,FLU_SEASONAL,3,0_1,48.18,38.77,0,0,13247107,7.08,13404,70.27,22.02,63651672.03,1,HOUSEHOLD_SURVEY,VAX_V3,2025-08-14
2021,LV,RO5,COVID_19,4,65_PLUS,36.93,34.6,0,1,23180865,3.42,67927,55.69,33.74,275220994.35,0,HEALTH_INSURANCE_ADMIN,VAX_V1,2024-07-29
2022,PL,NL17,PNEUMOCOCCAL,1,25_64,23.63,13.88,0,0,11119643,9.35,7550,31.11,74.23,76705016.62,0,ECDC_VACCINE_TRACKER,VAX_V2,2024-03-11
2023,ES,SI6,MENINGO,2,16_24,25.44,28.34,1,0,4187629,3.18,12437,60.16,11.36,96599641.43,1,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2024-07-16
2024,HR,LV5,HEP_B,3,12_15,52.68,59.14,0,0,4220743,2.15,7442,83.01,17.85,104246492.76,0,HOUSEHOLD_SURVEY,VAX_V1,2025-09-05
2025,FI,CY85,VARICELLA,4,6_11,56.94,55.99,0,0,4346650,8.22,12041,43.99,75.08,21548190.56,0,HEALTH_INSURANCE_ADMIN,VAX_V2,2024-10-02
2006,IE,PT99,MMR,1,2_5,78.65,81.58,1,0,21008966,9.87,5467,44.56,57.35,74068104.13,0,ECDC_VACCINE_TRACKER,VAX_V3,2024-05-05
2007,MT,NL310,DTP,2,0_1,72.13,78.93,0,0,12564973,10.84,5179,63.31,32.88,37204474.7,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2025-10-12
2008,SK,AT38,POLIO,3,65_PLUS,76.27,67.81,0,0,3153276,1.24,4582,67.63,33.24,40061244.83,1,HOUSEHOLD_SURVEY,VAX_V2,2024-06-19
2009,BE,NL649,HPV,4,25_64,50.8,46.13,0,0,19805804,10.06,6348,70.42,36.79,68174036.73,0,HEALTH_INSURANCE_ADMIN,VAX_V3,2025-08-21
2010,DK,BG9,FLU_SEASONAL,1,16_24,41.97,32.99,0,0,22827512,10.19,6226,45.13,53.9,96199534.45,0,ECDC_VACCINE_TRACKER,VAX_V1,2025-03-25
2011,GR,DK68,COVID_19,2,12_15,24.12,27.21,1,0,25683070,6.5,38884,53.92,48.2,121388173.02,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2025-06-17
2012,LT,BG2,PNEUMOCOCCAL,3,6_11,34.24,40.65,0,0,2215138,5.13,2126,32.99,5.02,39536834.37,0,HOUSEHOLD_SURVEY,VAX_V3,2024-08-26
2013,PT,EE45,MENINGO,4,2_5,27.99,27.66,0,0,6170385,2.42,11485,8.92,15.57,4081346.43,1,HEALTH_INSURANCE_ADMIN,VAX_V1,2025-07-27
2014,SE,LT398,HEP_B,1,0_1,51.68,45.62,1,0,13544503,5.34,13908,24.19,51.04,43666132.94,0,ECDC_VACCINE_TRACKER,VAX_V2,2024-12-26
2015,CY,SK381,VARICELLA,2,65_PLUS,33.63,32.22,0,0,16825643,0.56,7207,58.02,17.52,98892749.1,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2025-07-12
2016,FR,DK5,MMR,3,25_64,46.48,53.49,0,0,8510825,3.76,1664,99.9,28.79,33168337.32,0,HOUSEHOLD_SURVEY,VAX_V1,2026-01-25
2017,IT,HR5,DTP,4,16_24,60.1,59.02,1,0,3178630,0.93,4857,7.11,63.51,6018983.85,0,HEALTH_INSURANCE_ADMIN,VAX_V2,2025-10-22
2018,NL,CY33,POLIO,1,12_15,80.53,77.3,0,0,10617385,0.26,9502,42.98,72.86,8485103.86,0,ECDC_VACCINE_TRACKER,VAX_V3,2025-04-18
2019,SI,CZ873,HPV,2,6_11,50.78,49.5,0,0,16146386,8.04,4675,28.65,42.48,60650711.02,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2025-08-01
2020,BG,PL188,FLU_SEASONAL,3,2_5,41.52,40.12,0,0,16827940,4.09,12878,17.64,43.71,95613576.43,0,HOUSEHOLD_SURVEY,VAX_V2,2026-01-14
2021,EE,SE205,COVID_19,4,0_1,19.23,25.09,0,0,16001555,4.08,5915,64.49,89.07,243257688.75,0,HEALTH_INSURANCE_ADMIN,VAX_V3,2024-04-17
2022,HU,SE36,PNEUMOCOCCAL,1,65_PLUS,58.1,64.92,0,0,3705277,1.45,15690,42.82,23.68,56664672.2,1,ECDC_VACCINE_TRACKER,VAX_V1,2024-09-28
2023,LU,HR2,MENINGO,2,25_64,40.88,44.51,0,0,20757449,8.55,9345,48.65,53.42,98639469.78,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2024-07-11
2024,RO,CY25,HEP_B,3,16_24,62.23,65.28,1,0,3527330,3.86,11862,57.21,53.25,89782781.7,0,HOUSEHOLD_SURVEY,VAX_V3,2025-06-03
2025,AT,CZ554,VARICELLA,4,12_15,70.76,70.42,0,0,19027717,1.16,10891,56.23,76.47,21669656.12,0,HEALTH_INSURANCE_ADMIN,VAX_V1,2025-04-03
2006,CZ,NL67,MMR,1,6_11,78.57,80.66,1,0,19460535,3.68,4314,11.02,44.06,91186566.32,0,ECDC_VACCINE_TRACKER,VAX_V2,2024-05-24
2007,DE,SE7,DTP,2,2_5,85.19,91.71,1,0,18117439,0.81,10336,25.84,7.94,89441464.14,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2025-09-06
2008,LV,DE74,POLIO,3,0_1,69.3,70.53,0,0,8824589,0.26,1970,20.84,26.89,87193564.26,0,HOUSEHOLD_SURVEY,VAX_V1,2024-10-17
2009,PL,BE87,HPV,4,65_PLUS,61.5,65.68,0,0,15929941,2.24,533,23.52,20.27,98719647.65,0,HEALTH_INSURANCE_ADMIN,VAX_V2,2024-09-14
2010,ES,FR53,FLU_SEASONAL,1,25_64,21.15,13.49,0,0,22964972,7.71,8858,27.72,50.9,1247530.47,1,ECDC_VACCINE_TRACKER,VAX_V3,2025-04-07
2011,HR,LT3,COVID_19,2,16_24,21.03,13.52,0,0,11515858,5.72,44239,32.42,50.11,189971098.03,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2024-11-16
2012,FI,LT230,PNEUMOCOCCAL,3,12_15,30.2,24.15,0,0,6519228,6.19,10854,17.39,34.6,24605726.47,0,HOUSEHOLD_SURVEY,VAX_V2,2025-08-31
2013,IE,BE12,MENINGO,4,6_11,31.85,33.63,0,0,14768784,1.25,3786,60.62,6.27,4327597.53,0,HEALTH_INSURANCE_ADMIN,VAX_V3,2025-02-11
2014,MT,RO838,HEP_B,1,2_5,93.48,99.8,0,0,6078260,6.04,5837,80.13,35.79,8954385.1,0,ECDC_VACCINE_TRACKER,VAX_V1,2025-08-08
2015,SK,CY93,VARICELLA,2,0_1,34.99,37.66,0,0,4685263,7.13,11822,27.63,61.97,77548961.23,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2025-01-01
2016,BE,HU50,MMR,3,65_PLUS,75.9,79.52,1,0,3490313,0.37,10604,89.97,70.19,47660083.98,0,HOUSEHOLD_SURVEY,VAX_V3,2024-12-13
2017,DK,DE1,DTP,4,25_64,58.09,61.01,0,0,18174391,10.92,11946,5.87,6.64,38503430.16,0,HEALTH_INSURANCE_ADMIN,VAX_V1,2025-02-16
2018,GR,HR24,POLIO,1,16_24,68.81,62.94,1,0,18764160,5.46,3671,59.06,51.06,104287643.73,0,ECDC_VACCINE_TRACKER,VAX_V2,2024-09-21
2019,LT,GR40,HPV,2,12_15,43.3,43.37,0,0,5085010,6.35,7340,40.5,10.59,101109063.6,1,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2024-03-08
2020,PT,NL2,FLU_SEASONAL,3,6_11,38.72,40.45,0,0,7380354,6.98,5104,41.51,38.82,187291760.09,0,HOUSEHOLD_SURVEY,VAX_V1,2024-12-15
2021,SE,SE19,COVID_19,4,2_5,26.33,29.04,0,0,4298770,1.83,246,63.05,20.34,174615616.64,0,HEALTH_INSURANCE_ADMIN,VAX_V2,2025-12-20
2022,CY,SE9,PNEUMOCOCCAL,1,0_1,61.28,66.02,0,0,18611350,1.17,20285,20.6,25.71,31037895.44,0,ECDC_VACCINE_TRACKER,VAX_V3,2025-10-19
2023,FR,EE54,MENINGO,2,65_PLUS,42.33,34.55,0,0,10686712,9.47,13672,26.59,59.3,90844799.02,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2024-05-24
2024,IT,DK9,HEP_B,3,25_64,58.81,57.14,1,0,4851521,4.06,3663,42.99,54.64,34860726.59,0,HOUSEHOLD_SURVEY,VAX_V2,2025-11-19
2025,NL,CZ77,VARICELLA,4,16_24,62.14,54.38,0,1,16989461,9.89,5729,43.42,47.06,97846311.24,0,HEALTH_INSURANCE_ADMIN,VAX_V3,2025-06-15
2006,SI,LT183,MMR,1,12_15,74.87,69.27,1,1,52221,8.51,7351,40.59,33.33,18957527.38,0,ECDC_VACCINE_TRACKER,VAX_V1,2024-07-02
2007,BG,IE171,DTP,2,6_11,81.63,72.88,1,0,17638449,2.49,13046,40.25,23.15,88123751.99,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2024-09-14
2008,EE,EE10,POLIO,3,2_5,85.61,85.57,1,1,7384817,2.45,5772,14.73,64.44,82921080.55,1,HOUSEHOLD_SURVEY,VAX_V3,2026-01-29
2009,HU,IE185,HPV,4,0_1,72.96,65.68,1,0,89703,2.52,10589,38.23,66.54,47281360.08,0,HEALTH_INSURANCE_ADMIN,VAX_V1,2025-07-18
2010,LU,MT86,FLU_SEASONAL,1,65_PLUS,29.66,27.72,0,0,19990067,1.82,14410,67.85,68.92,184555983.76,0,ECDC_VACCINE_TRACKER,VAX_V2,2024-10-17
2011,RO,DK35,COVID_19,2,25_64,59.23,59.32,0,0,16615699,4.39,40554,90.13,10.24,62569671.74,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2024-05-23
2012,AT,FR52,PNEUMOCOCCAL,3,16_24,55.06,52.7,0,0,8750470,3.27,11356,75.68,23.9,58508687.34,0,HOUSEHOLD_SURVEY,VAX_V1,2026-02-25
2013,CZ,IT81,MENINGO,4,12_15,57.73,65.2,0,0,14992415,5.37,9739,73.97,46.75,75514121.52,0,HEALTH_INSURANCE_ADMIN,VAX_V2,2024-01-30
2014,DE,HR752,HEP_B,1,6_11,78.5,80.67,0,0,20393869,0.36,13433,67.03,73.46,6140669.81,0,ECDC_VACCINE_TRACKER,VAX_V3,2026-01-15
2015,LV,EE543,VARICELLA,2,2_5,86.99,81.02,0,0,17904136,3.3,4500,12.93,41.99,100064189.28,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2024-12-20
2016,PL,LT68,MMR,3,0_1,67.55,65.08,1,0,11143541,4.78,6494,12.34,6.35,5528940.21,0,HOUSEHOLD_SURVEY,VAX_V2,2024-02-15
2017,ES,SI56,DTP,4,65_PLUS,67.68,58.55,1,1,13818687,4.05,6058,75.74,47.6,58590873.59,0,HEALTH_INSURANCE_ADMIN,VAX_V3,2024-07-05
2018,HR,SE102,POLIO,1,25_64,72.88,68.74,0,0,7816072,4.74,7114,32.59,30.35,74616929.48,0,ECDC_VACCINE_TRACKER,VAX_V1,2025-05-16
2019,FI,EE2,HPV,2,16_24,34.02,33.18,0,0,12098123,7.7,3571,15.96,41.48,84963779.6,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2025-01-27
2020,IE,EE50,FLU_SEASONAL,3,12_15,22.97,28.86,0,0,18576758,10.28,5314,17.31,54.12,172907529.1,1,HOUSEHOLD_SURVEY,VAX_V3,2024-04-05
2021,MT,BG608,COVID_19,4,6_11,42.72,46.44,0,1,20933786,10.28,15162,69.55,14.49,163411518.18,0,HEALTH_INSURANCE_ADMIN,VAX_V1,2024-07-08
2022,SK,SE745,PNEUMOCOCCAL,1,2_5,58.61,66.4,0,0,6312220,0.27,8907,48.28,32.37,25559038.14,1,ECDC_VACCINE_TRACKER,VAX_V2,2024-09-21
2023,BE,MT42,MENINGO,2,0_1,46.66,49.54,1,0,19210735,6.08,3073,23.17,14.43,96870604.4,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2025-10-10
2024,DK,LU7,HEP_B,3,65_PLUS,63.5,61.54,0,0,289635,0.25,951,82.47,29.97,57561321.06,0,HOUSEHOLD_SURVEY,VAX_V1,2024-02-15
2025,GR,DE662,VARICELLA,4,25_64,39.82,43.85,1,0,15692696,5.82,11342,73.46,65.56,42156787.78,0,HEALTH_INSURANCE_ADMIN,VAX_V2,2024-11-14
2006,LT,FR308,MMR,1,16_24,71.14,76.96,1,0,3086444,2.97,9772,93.14,52.89,36474837.98,0,ECDC_VACCINE_TRACKER,VAX_V3,2025-11-14
2007,PT,CY3,DTP,2,12_15,67.69,61.58,0,0,18389138,4.77,2569,12.2,9.64,64181457.29,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2025-09-01
2008,SE,MT2,POLIO,3,6_11,71.24,73.13,1,0,589930,5.43,10142,53.64,19.48,18871607.95,0,HOUSEHOLD_SURVEY,VAX_V2,2025-08-13
2009,CY,BG25,HPV,4,2_5,58.16,52.5,1,0,7997487,2.17,4277,37.85,65.12,101699154.6,1,HEALTH_INSURANCE_ADMIN,VAX_V3,2025-04-24
2010,FR,EE18,FLU_SEASONAL,1,0_1,50.77,58.21,0,0,27544785,1.44,10387,64.88,8.66,148524193.75,0,ECDC_VACCINE_TRACKER,VAX_V1,2025-12-08
2011,IT,NL387,COVID_19,2,65_PLUS,39.61,45.94,0,0,13860720,5.33,229,99.9,7.35,221931433.35,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2024-11-10
2012,NL,DK538,PNEUMOCOCCAL,3,25_64,49.64,50.5,0,0,3159634,4.03,11759,73.8,64.91,20814322.79,0,HOUSEHOLD_SURVEY,VAX_V3,2025-02-28
2013,SI,BE723,MENINGO,4,16_24,24.77,28.35,0,0,3608914,7.29,4941,52.98,28.93,56552311.54,0,HEALTH_INSURANCE_ADMIN,VAX_V1,2025-06-15
2014,BG,FR925,HEP_B,1,12_15,75.49,70.83,1,0,10673990,4.29,1315,74.54,8.92,100124214.49,0,ECDC_VACCINE_TRACKER,VAX_V2,2025-07-12
2015,EE,DK51,VARICELLA,2,6_11,52.7,46.5,0,0,16308131,2.76,8886,70.74,19.46,5195254.52,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2024-12-15
2016,HU,HU228,MMR,3,2_5,85.0,82.67,1,0,15410476,1.28,8052,58.47,68.71,5431709.88,0,HOUSEHOLD_SURVEY,VAX_V1,2025-12-20
2017,LU,HR88,DTP,4,0_1,58.71,53.87,1,0,14282249,5.19,13624,4.8,14.5,6667340.9,0,HEALTH_INSURANCE_ADMIN,VAX_V2,2025-06-21
2018,RO,NL55,POLIO,1,65_PLUS,89.74,97.61,0,1,9291780,9.03,12087,50.09,22.19,12228175.25,0,ECDC_VACCINE_TRACKER,VAX_V3,2025-09-07
2019,AT,LV31,HPV,2,25_64,32.14,25.38,0,0,17108536,8.26,4614,17.53,82.63,88051675.37,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2025-10-30
2020,CZ,MT502,FLU_SEASONAL,3,16_24,53.67,47.84,0,0,10641058,4.34,11750,59.24,72.54,149306983.69,0,HOUSEHOLD_SURVEY,VAX_V2,2025-09-30
2021,DE,GR982,COVID_19,4,12_15,42.42,46.21,0,1,19419953,2.16,46385,59.79,87.93,145041847.49,1,HEALTH_INSURANCE_ADMIN,VAX_V3,2025-09-23
2022,LV,IE8,PNEUMOCOCCAL,1,6_11,81.08,71.43,0,0,2089593,6.26,13288,20.32,33.43,107822515.85,0,ECDC_VACCINE_TRACKER,VAX_V1,2025-06-19
2023,PL,PL989,MENINGO,2,2_5,77.66,72.66,0,0,14712726,1.35,12264,39.61,56.86,90762463.61,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2025-08-16
2024,ES,DE978,HEP_B,3,0_1,77.82,74.4,1,0,12855235,3.09,8624,40.47,70.3,29812150.69,0,HOUSEHOLD_SURVEY,VAX_V3,2025-04-01
2025,HR,HU112,VARICELLA,4,65_PLUS,36.14,37.28,0,0,2575622,7.49,6898,4.63,65.63,80221559.73,0,HEALTH_INSURANCE_ADMIN,VAX_V1,2025-06-12
2006,FI,IT42,MMR,1,25_64,54.79,46.59,1,0,12988716,1.04,14430,99.9,30.19,75027595.32,0,ECDC_VACCINE_TRACKER,VAX_V2,2024-07-24
2007,IE,SI39,DTP,2,16_24,69.09,66.27,0,0,1616070,1.15,8357,36.79,10.69,22744956.13,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2024-06-09
2008,MT,NL412,POLIO,3,12_15,71.9,73.24,0,0,7896410,0.98,2708,54.79,50.18,78330078.88,1,HOUSEHOLD_SURVEY,VAX_V1,2024-12-26
2009,SK,EE688,HPV,4,6_11,31.84,28.44,0,0,1183617,4.46,15080,59.18,25.61,2893492.15,0,HEALTH_INSURANCE_ADMIN,VAX_V2,2024-12-02
2010,BE,IE28,FLU_SEASONAL,1,2_5,27.05,28.69,0,0,29688321,0.53,10130,70.26,25.89,5913119.79,0,ECDC_VACCINE_TRACKER,VAX_V3,2024-01-25
2011,DK,AT65,COVID_19,2,0_1,79.13,81.85,0,0,2734684,5.12,9141,56.32,73.98,151638532.71,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2025-03-07
2012,GR,CZ34,PNEUMOCOCCAL,3,65_PLUS,22.41,20.23,0,0,19267472,2.18,10470,52.78,15.96,11872034.29,0,HOUSEHOLD_SURVEY,VAX_V2,2024-08-23
2013,LT,SK4,MENINGO,4,25_64,32.72,37.71,0,0,12415786,9.17,8894,36.67,36.65,72683913.59,0,HEALTH_INSURANCE_ADMIN,VAX_V3,2024-09-24
2014,PT,BG42,HEP_B,1,16_24,74.83,74.39,0,0,8557078,3.92,10381,64.37,24.88,103081093.21,0,ECDC_VACCINE_TRACKER,VAX_V1,2025-09-19
2015,SE,BG52,VARICELLA,2,12_15,70.91,78.72,0,0,20749149,6.5,11564,44.72,56.51,70038396.18,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2025-04-05
2016,CY,EE980,MMR,3,6_11,73.66,81.6,1,0,20120916,4.02,12681,65.47,61.11,11317407.41,0,HOUSEHOLD_SURVEY,VAX_V3,2026-01-21
2017,FR,SE984,DTP,4,2_5,66.49,66.55,0,0,17914751,2.96,6359,23.43,54.06,70102894.32,0,HEALTH_INSURANCE_ADMIN,VAX_V1,2025-04-01
2018,IT,DE985,POLIO,1,0_1,92.45,83.69,1,0,4929541,7.77,1367,45.72,66.03,43035383.92,0,ECDC_VACCINE_TRACKER,VAX_V2,2026-01-25
2019,NL,AT3,HPV,2,65_PLUS,62.21,60.52,0,0,16258687,4.65,6415,10.57,12.89,35803596.29,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2024-02-25
2020,SI,MT815,FLU_SEASONAL,3,25_64,16.8,20.24,0,0,14910908,0.77,13048,12.73,49.54,20164648.39,1,HOUSEHOLD_SURVEY,VAX_V1,2025-02-25
2021,BG,PL575,COVID_19,4,16_24,40.53,45.29,0,1,1427841,4.65,4635,78.99,90.17,45932291.57,1,HEALTH_INSURANCE_ADMIN,VAX_V2,2025-08-06
2022,EE,FR11,PNEUMOCOCCAL,1,12_15,28.68,23.89,1,0,12405243,10.75,5248,42.11,30.06,43729536.99,1,ECDC_VACCINE_TRACKER,VAX_V3,2025-07-13
2023,HU,AT55,MENINGO,2,6_11,75.79,77.41,0,0,10242219,6.98,9766,24.03,45.93,67928868.58,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2025-01-23
2024,LU,AT640,HEP_B,3,2_5,78.85,73.93,0,0,1021188,4.4,10854,99.9,68.55,60623435.25,1,HOUSEHOLD_SURVEY,VAX_V2,2024-03-19
2025,RO,IE316,VARICELLA,4,0_1,46.78,52.11,0,0,17517351,10.49,7600,52.06,24.85,91546749.49,0,HEALTH_INSURANCE_ADMIN,VAX_V3,2026-01-08
2006,AT,IT401,MMR,1,65_PLUS,79.07,79.53,1,0,4011548,1.22,8389,49.98,33.95,94574435.61,0,ECDC_VACCINE_TRACKER,VAX_V1,2025-02-12
2007,CZ,SI487,DTP,2,25_64,69.39,65.07,1,0,7900828,1.49,14234,73.1,10.79,24007870.18,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2025-12-27
2008,DE,DK563,POLIO,3,16_24,72.04,65.52,1,0,20693103,6.77,13967,29.55,42.53,105493808.37,0,HOUSEHOLD_SURVEY,VAX_V3,2025-07-14
2009,LV,IT821,HPV,4,12_15,60.15,66.76,0,0,9817686,9.63,10027,39.73,45.03,79155073.14,0,HEALTH_INSURANCE_ADMIN,VAX_V1,2025-08-10
2010,PL,FI2,FLU_SEASONAL,1,6_11,47.91,53.2,0,0,8824587,5.04,6682,59.95,46.95,76142847.12,0,ECDC_VACCINE_TRACKER,VAX_V2,2024-12-02
2011,ES,RO207,COVID_19,2,2_5,82.39,83.08,0,0,9475554,0.57,12878,13.33,77.33,140203269.54,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2024-01-19
2012,HR,IE49,PNEUMOCOCCAL,3,0_1,40.8,39.14,0,0,14289260,5.43,2683,70.7,58.05,72368926.23,0,HOUSEHOLD_SURVEY,VAX_V1,2026-02-23
2013,FI,SE601,MENINGO,4,65_PLUS,57.88,49.7,0,0,3748942,4.12,550,34.27,49.14,39328137.16,0,HEALTH_INSURANCE_ADMIN,VAX_V2,2024-01-25
2014,IE,NL1,HEP_B,1,25_64,71.53,62.7,1,0,15478295,8.76,6054,99.9,57.9,51225125.31,0,ECDC_VACCINE_TRACKER,VAX_V3,2025-11-25
2015,MT,PT91,VARICELLA,2,16_24,30.88,34.95,0,0,5517061,1.99,13471,22.44,16.85,46098825.78,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2025-01-12
2016,SK,IT7,MMR,3,12_15,64.32,55.52,0,0,1754740,1.71,4395,26.21,40.49,87277879.31,0,HOUSEHOLD_SURVEY,VAX_V2,2024-04-16
2017,BE,BG5,DTP,4,6_11,79.87,85.24,0,0,20232089,1.31,6692,45.66,11.94,56650194.8,0,HEALTH_INSURANCE_ADMIN,VAX_V3,2026-01-04
2018,DK,SI7,POLIO,1,2_5,77.73,69.49,1,1,12926685,6.63,3704,10.74,7.87,104178656.06,0,ECDC_VACCINE_TRACKER,VAX_V1,2026-01-15
2019,GR,DE797,HPV,2,0_1,51.8,49.28,0,0,16644091,8.63,14762,31.9,45.2,34253140.53,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2025-10-23
2020,LT,DK2,FLU_SEASONAL,3,65_PLUS,21.21,18.27,0,0,19655066,1.23,7599,6.44,4.53,135229005.92,1,HOUSEHOLD_SURVEY,VAX_V3,2024-02-29
