care_coverage_coverage_year,care_coverage_marketplace_rating_area,care_coverage_plan_metal_level,care_coverage_premium_second_lowest_silver,care_coverage_premium_benchmark_adjusted,care_coverage_deductible_individual,care_coverage_oop_max_individual,care_coverage_network_tier_type,care_coverage_covered_lives_count,care_coverage_uninsured_rate_estimate,care_coverage_medicaid_enrollment,care_coverage_chip_enrollment,care_coverage_medicare_enrollment,care_coverage_employer_covered_share_pct,care_coverage_self_insured_share_pct,care_coverage_subsidy_eligible_share_pct,care_coverage_csr_variant_code,care_coverage_plan_switch_rate_pct,care_coverage_special_enrollment_count,care_coverage_rate_review_status
2015,RA000481,BRONZE,329.9,310.89,3641,7692,HMO,106072,9.92,149555,97540,557013,28.04,47.93,69.53,NONE,38.1,9038,MODIFIED
2022,RA000482,SILVER,661.47,600.04,3478,5326,TIERED,155239,11.77,620964,1086,1453122,73.4,50.97,59.49,CSR73,9.29,32146,APPROVED
2019,RA000483,BRONZE,397.16,428.18,5010,7138,EPO,46670,21.76,372040,86211,1457763,65.73,14.65,60.61,NONE,39.54,29039,APPROVED
2024,RA000484,BRONZE,495.88,484.44,1272,4644,HMO,159607,18.71,585647,219883,770331,43.87,47.08,26.08,NONE,36.56,38699,PENDING
2019,RA000485,BRONZE,915.49,834.18,8232,6587,HMO,69978,2.72,354523,58671,1018940,71.59,21.63,47.6,NONE,9.0,22931,APPROVED
2025,RA000486,GOLD,622.9,548.03,2623,3011,BROAD,187393,20.78,609375,25354,864483,25.46,16.91,72.47,NONE,6.19,32171,NOT_REQUIRED
2018,RA000487,GOLD,647.84,554.45,5552,6677,BROAD,209824,8.62,1025891,98211,1373359,44.91,27.48,33.76,NONE,41.86,43349,APPROVED
2018,RA000488,GOLD,937.13,861.11,1152,5307,HMO,171491,23.08,890765,181521,1587598,67.39,29.24,22.7,CSR87,7.14,64468,APPROVED
2015,RA000489,SILVER,298.9,318.81,7876,3855,EPO,109947,13.01,1018581,111263,120786,67.84,39.67,83.86,CSR73,3.12,81262,MODIFIED
2018,RA000490,SILVER,754.09,677.03,8226,2833,HMO,93873,20.15,606069,16844,1099685,39.2,44.52,58.28,CSR87,36.77,52491,APPROVED
2023,RA000491,SILVER,331.8,313.04,8008,1969,NARROW,9551,5.8,306933,38571,1542329,23.81,7.03,83.67,CSR94,4.64,52764,APPROVED
2023,RA000492,SILVER,812.68,796.75,8191,7195,BROAD,220676,1.91,1010001,229238,1184099,24.12,53.9,26.65,CSR73,36.09,36442,PENDING
2023,RA000493,SILVER,247.19,212.12,9188,4978,NARROW,182022,23.49,696214,213309,929838,70.12,7.63,69.02,NONE,19.71,79436,PENDING
2017,RA000494,GOLD,722.43,624.11,8382,4513,TIERED,62711,11.57,877206,178851,76893,58.59,17.34,8.59,NONE,35.86,65875,APPROVED
2016,RA000495,PLATINUM,440.38,431.14,8104,8523,TIERED,34881,2.81,235455,77720,463859,52.99,42.68,30.66,CSR73,1.16,70713,APPROVED
2014,RA000496,BRONZE,535.62,551.48,4374,4978,NARROW,213861,5.59,113231,44906,1006879,22.78,23.42,5.72,NONE,20.13,8768,APPROVED
2023,RA000497,SILVER,818.09,749.79,2443,2357,BROAD,278393,9.22,460431,215406,321944,48.95,8.7,75.25,CSR73,25.77,78382,APPROVED
2014,RA000498,BRONZE,418.66,379.34,7422,8202,HMO,59095,2.95,929975,228597,1273392,74.6,53.21,23.7,NONE,8.86,60115,MODIFIED
2016,RA000499,BRONZE,951.72,940.44,8238,6302,BROAD,96140,23.13,839271,206488,1606393,66.68,61.19,4.54,NONE,14.17,83649,APPROVED
2019,RA000500,SILVER,275.04,263.72,8753,2005,EPO,264809,5.97,1177534,22352,1446788,66.98,22.27,39.47,NONE,8.4,59587,PENDING
2014,RA000501,GOLD,681.4,617.86,5454,7319,EPO,145663,22.75,175799,52710,1436536,49.33,13.44,39.38,NONE,30.07,64697,MODIFIED
2018,RA000502,SILVER,724.44,710.52,7243,6394,NARROW,245251,11.82,71423,47597,1504189,60.88,50.91,67.26,CSR87,37.5,37188,APPROVED
2021,RA000503,GOLD,689.24,683.84,8920,6440,EPO,133647,9.78,7614,159910,1387494,40.07,63.58,34.21,CSR73,2.9,41683,APPROVED
2025,RA000504,BRONZE,645.35,674.01,8696,7338,EPO,48818,23.74,1083858,223804,1339458,41.6,59.88,5.77,NONE,41.97,74752,DENIED
2021,RA000505,BRONZE,525.62,499.76,3979,1859,PPO,174230,16.43,20430,47624,404225,67.76,63.88,6.12,CSR73,0.92,36302,DENIED
2025,RA000506,SILVER,918.91,907.64,3848,9160,EPO,206600,10.43,120269,217865,341213,62.52,27.33,73.28,CSR94,10.2,58185,MODIFIED
2014,RA000507,BRONZE,973.64,979.47,3894,4314,BROAD,55836,4.26,654551,83289,1174355,57.51,28.09,58.0,CSR73,10.21,71501,PENDING
2015,RA000508,BRONZE,477.74,500.44,2550,7557,EPO,40938,14.59,847493,220488,1555543,20.37,7.23,50.1,NONE,26.06,16347,APPROVED
2019,RA000509,BRONZE,471.08,440.63,1636,8010,PPO,77404,18.54,197864,220998,76886,74.71,29.96,80.8,NONE,31.62,4763,PENDING
2018,RA000510,SILVER,345.35,334.46,6402,2518,BROAD,279585,20.62,538164,34482,840689,29.97,24.8,13.44,CSR73,35.06,56199,APPROVED
2024,RA000511,SILVER,620.33,635.64,4561,4596,TIERED,119661,20.51,975100,5652,1158561,42.86,42.32,52.03,NONE,15.88,61988,MODIFIED
2025,RA000512,PLATINUM,500.35,484.54,4560,5649,NARROW,18304,21.37,1176351,24608,242423,46.72,25.81,26.58,NONE,12.36,49726,APPROVED
2015,RA000513,SILVER,517.04,499.65,4399,8966,TIERED,21183,13.79,855722,71851,189840,55.77,7.07,30.95,CSR73,31.5,5127,MODIFIED
2017,RA000514,SILVER,643.95,588.42,8006,4875,BROAD,179238,16.2,551541,238958,748256,74.93,59.5,41.15,CSR94,20.09,11194,APPROVED
2017,RA000515,SILVER,743.06,712.99,1144,5342,TIERED,273879,7.31,747861,54875,369060,57.77,21.56,80.57,NONE,25.79,24604,APPROVED
2019,RA000516,SILVER,630.58,659.41,1726,8451,BROAD,27474,21.93,514438,84455,904226,63.89,19.01,56.38,NONE,30.81,27696,APPROVED
2024,RA000517,SILVER,393.96,343.72,3643,1862,EPO,59643,5.68,126651,212943,1230626,67.75,47.9,6.78,CSR87,22.27,76287,NOT_REQUIRED
2024,RA000518,GOLD,620.17,661.38,3614,2621,TIERED,53040,9.21,368633,51590,33368,60.81,15.42,41.75,CSR73,24.89,65828,PENDING
2023,RA000519,SILVER,613.26,555.06,2067,2633,EPO,179025,3.6,4293,7175,710898,64.7,34.12,19.12,CSR73,16.76,49448,APPROVED
2024,RA000520,SILVER,561.76,516.11,4830,7282,HMO,100782,18.86,814735,62753,288192,48.45,38.79,16.35,NONE,23.69,33506,NOT_REQUIRED
2016,RA000521,GOLD,651.36,591.89,266,6322,BROAD,231559,1.67,437800,163494,713887,49.2,14.04,78.32,CSR87,3.5,64977,APPROVED
2015,RA000522,GOLD,615.2,602.08,1872,8289,BROAD,86190,19.42,1093684,81052,337363,54.31,39.67,58.6,CSR87,20.77,40647,NOT_REQUIRED
2020,RA000523,BRONZE,840.3,805.28,1295,6134,BROAD,153846,14.66,1138005,178459,1471261,57.76,59.87,54.58,NONE,37.0,73842,APPROVED
2014,RA000524,GOLD,805.44,747.8,3823,8152,TIERED,140725,3.63,453807,155756,1270919,54.4,58.72,75.69,CSR87,41.27,65546,PENDING
2018,RA000525,BRONZE,836.16,842.27,3833,2519,BROAD,186621,21.03,242119,160156,1192965,68.81,44.88,15.48,NONE,20.01,43565,APPROVED
2015,RA000526,BRONZE,466.79,468.46,5481,2493,TIERED,127623,3.42,837327,154360,360764,61.2,43.69,14.6,CSR87,22.78,77958,PENDING
2020,RA000527,GOLD,595.13,537.71,2758,2135,TIERED,197510,3.88,642814,56798,972612,52.62,43.51,1.72,NONE,28.13,62726,APPROVED
2016,RA000528,BRONZE,589.45,527.04,8699,4405,EPO,127022,13.55,571713,181854,1066106,61.49,38.92,14.12,NONE,16.11,39154,APPROVED
2015,RA000529,BRONZE,354.74,334.76,7118,3273,NARROW,260995,7.11,1018346,235313,709938,33.27,51.65,20.72,CSR87,13.83,18876,PENDING
2014,RA000530,SILVER,838.47,873.42,1672,4851,HMO,266515,5.32,867498,219982,1034131,24.69,57.59,8.19,NONE,33.02,20604,DENIED
2018,RA000531,SILVER,603.74,571.33,8860,4913,TIERED,149296,9.71,1148676,34774,1371665,54.95,21.51,72.67,CSR87,16.26,21640,APPROVED
2016,RA000532,SILVER,708.85,739.96,1926,6370,PPO,278638,11.56,484945,36673,179992,42.29,52.39,8.1,NONE,41.32,46716,APPROVED
2016,RA000533,SILVER,388.49,378.03,6581,6641,NARROW,154393,3.73,305675,197239,686284,72.64,15.43,5.5,NONE,8.35,1711,NOT_REQUIRED
2021,RA000534,GOLD,321.97,322.59,5609,9080,EPO,266999,18.06,277080,73041,746393,54.26,33.54,34.71,NONE,0.37,43662,MODIFIED
2019,RA000535,SILVER,321.33,318.29,8047,2410,TIERED,206129,4.16,879607,4115,639091,46.67,56.38,72.99,NONE,23.2,5080,PENDING
2014,RA000536,GOLD,386.13,416.16,4871,5892,TIERED,145413,8.95,524959,109173,595296,59.58,54.63,56.58,CSR94,22.76,19758,APPROVED
2017,RA000537,BRONZE,942.44,802.72,3432,1963,HMO,159665,20.07,1162674,195455,1198748,61.12,28.72,28.69,NONE,19.89,71441,PENDING
2018,RA000538,SILVER,373.4,322.39,5280,5596,BROAD,140859,20.23,120860,211723,1275094,68.23,46.01,33.44,CSR73,9.69,18491,APPROVED
2024,RA000539,SILVER,307.03,325.88,115,2051,NARROW,182255,22.87,548803,75621,544519,73.18,45.11,83.37,NONE,21.38,68837,APPROVED
2018,RA000540,SILVER,713.08,662.74,2750,4247,BROAD,245128,2.18,1168100,216791,1055781,24.09,18.54,22.36,CSR87,13.36,60642,PENDING
2014,RA000541,GOLD,228.43,222.37,7041,6930,NARROW,213616,4.58,1171470,44500,711914,60.83,44.39,56.25,NONE,26.8,27904,APPROVED
2018,RA000542,BRONZE,670.45,641.68,8324,7064,NARROW,222169,11.09,785510,103193,238109,66.01,63.5,40.76,NONE,9.35,38046,NOT_REQUIRED
2019,RA000543,BRONZE,227.43,208.63,6549,4741,NARROW,48774,19.19,736833,132554,878755,69.05,17.25,33.45,NONE,36.11,29854,APPROVED
2020,RA000544,GOLD,740.8,698.42,3477,2350,NARROW,277097,10.95,1022403,74182,1396243,42.29,52.61,22.35,CSR73,4.54,72063,APPROVED
2015,RA000545,SILVER,964.9,991.0,3444,6099,HMO,242546,8.16,1109957,177145,1112893,44.07,22.22,38.37,CSR87,38.59,53764,MODIFIED
2014,RA000546,GOLD,415.48,426.12,4442,7050,PPO,122098,13.68,392920,208300,343061,45.19,8.34,12.66,NONE,8.55,33015,DENIED
2019,RA000547,SILVER,714.27,688.3,4928,2237,NARROW,225649,13.1,69186,187737,470603,53.73,32.24,11.38,CSR73,7.43,39767,NOT_REQUIRED
2014,RA000548,SILVER,912.13,808.9,623,8354,NARROW,9441,22.32,42886,235239,422320,29.67,18.83,28.47,CSR73,12.64,48493,APPROVED
2017,RA000549,GOLD,432.17,451.46,392,7058,PPO,264117,1.66,266580,68511,176246,25.89,14.49,30.12,NONE,19.99,11679,APPROVED
2025,RA000550,CATASTROPHIC,288.71,256.99,3025,3353,HMO,96480,3.89,687911,111633,652722,32.27,5.85,81.07,NONE,16.32,3209,MODIFIED
2025,RA000551,BRONZE,278.12,296.83,2686,8616,BROAD,199229,2.3,1171110,195729,83631,33.64,11.79,77.86,CSR73,41.24,42487,APPROVED
2023,RA000552,PLATINUM,809.4,831.01,6462,8995,TIERED,96791,17.9,1176701,124207,1219525,21.36,34.31,49.49,CSR94,25.79,45345,PENDING
2020,RA000553,SILVER,401.95,417.43,5890,5044,PPO,41530,3.42,556564,92220,715128,28.84,52.66,18.58,CSR87,1.45,56412,APPROVED
2024,RA000554,CATASTROPHIC,771.0,810.55,5219,4750,TIERED,108754,7.64,500541,88150,581439,20.44,61.48,49.98,NONE,40.57,11545,PENDING
2019,RA000555,SILVER,260.55,267.67,2498,3944,HMO,264845,16.9,1188883,168673,1478149,50.08,39.91,80.1,NONE,8.27,14135,NOT_REQUIRED
2020,RA000556,SILVER,662.05,664.91,3370,7610,HMO,30343,7.95,313360,163272,1300628,58.9,38.45,76.33,NONE,33.57,53129,PENDING
2020,RA000557,SILVER,959.57,979.89,9149,2669,PPO,116326,7.48,183702,75253,418628,36.55,50.52,23.99,NONE,20.49,78065,APPROVED
2014,RA000558,SILVER,711.36,654.41,2870,2137,BROAD,89465,20.4,74039,98839,357992,30.04,37.11,10.86,CSR73,21.96,54473,APPROVED
2016,RA000559,SILVER,428.99,413.48,5726,1743,NARROW,180274,11.73,888115,40662,453185,43.32,26.98,43.6,CSR87,27.96,76187,APPROVED
2023,RA000560,GOLD,935.3,908.24,3904,6644,TIERED,82101,12.45,433594,220727,454312,56.6,11.33,50.97,NONE,34.32,20070,APPROVED
2014,RA000561,BRONZE,957.24,840.34,5212,4441,BROAD,143675,5.9,769522,91179,1098409,57.97,34.61,42.18,NONE,19.55,62531,MODIFIED
2022,RA000562,GOLD,601.29,569.0,6738,7148,HMO,62415,18.91,562292,174582,204159,63.74,40.24,79.83,NONE,31.64,44635,DENIED
2022,RA000563,PLATINUM,894.68,783.59,5503,7595,EPO,239148,11.37,102059,5017,1487899,66.42,17.04,42.11,NONE,4.09,23956,APPROVED
2023,RA000564,SILVER,780.36,774.86,7245,4804,NARROW,268555,1.79,760663,37323,1168999,52.38,52.36,68.13,NONE,32.9,52965,APPROVED
2016,RA000565,CATASTROPHIC,372.95,387.04,169,7547,EPO,77924,5.35,292996,197341,996978,20.82,57.61,76.69,NONE,37.54,62846,NOT_REQUIRED
2018,RA000566,BRONZE,546.48,476.36,8622,4651,TIERED,275409,12.45,138213,58403,350388,48.18,64.74,75.75,CSR73,16.37,15807,APPROVED
2018,RA000567,PLATINUM,221.22,210.27,4114,3760,NARROW,223619,16.22,944144,103795,939606,52.57,12.75,22.82,NONE,15.88,6706,PENDING
2015,RA000568,SILVER,838.9,742.64,6204,2634,NARROW,45814,8.66,178146,44796,723944,62.12,55.87,15.94,CSR87,41.48,6015,PENDING
2015,RA000569,SILVER,538.99,508.55,7241,2303,EPO,100254,7.27,566846,53499,587740,41.71,63.0,65.98,NONE,17.75,49771,APPROVED
2023,RA000570,SILVER,577.19,541.31,8218,6937,BROAD,192208,10.73,459580,70633,1014894,27.6,64.56,22.13,CSR94,40.22,38249,APPROVED
2025,RA000571,SILVER,711.24,623.07,1750,2076,PPO,264710,2.53,254921,41596,427863,29.13,60.86,59.98,NONE,27.67,31869,PENDING
2024,RA000572,BRONZE,540.68,495.92,2148,8377,BROAD,164271,4.26,115066,148090,1547361,31.86,6.02,77.99,CSR87,1.05,50656,APPROVED
2015,RA000573,SILVER,938.11,819.06,7269,7471,HMO,129187,8.98,448328,232629,544884,48.06,38.67,69.48,NONE,34.26,1065,APPROVED
2017,RA000574,BRONZE,784.65,843.27,1752,3265,TIERED,245404,11.8,314563,102727,185573,27.42,23.4,1.13,CSR87,39.77,28175,APPROVED
2015,RA000575,GOLD,793.18,743.98,2462,5217,BROAD,8084,7.04,880614,238695,1567526,33.89,47.39,17.72,NONE,3.96,49062,NOT_REQUIRED
2025,RA000576,PLATINUM,440.47,385.45,3535,6505,BROAD,190308,13.2,752253,234755,92455,71.86,25.84,44.67,NONE,8.08,7368,NOT_REQUIRED
2017,RA000577,SILVER,405.29,373.58,5232,3150,NARROW,229173,13.99,4881,111159,1040142,31.76,43.39,48.26,NONE,0.51,49391,APPROVED
2020,RA000578,SILVER,637.37,559.12,2144,1617,PPO,265500,2.23,477495,99672,1611435,54.47,25.99,60.2,NONE,9.99,41894,APPROVED
2017,RA000579,SILVER,832.73,876.54,561,5343,BROAD,59661,10.61,485060,148137,1435517,32.63,56.77,37.54,CSR94,35.52,63613,MODIFIED
2014,RA000580,SILVER,497.97,473.14,48,8474,HMO,63267,6.48,977741,196552,809439,46.38,51.45,50.99,NONE,27.51,14209,APPROVED
2022,RA000581,GOLD,335.92,318.98,5975,7814,HMO,116646,12.27,1055242,31696,328178,44.63,38.65,51.2,NONE,12.88,61559,NOT_REQUIRED
2018,RA000582,BRONZE,950.61,980.12,8483,8343,TIERED,253797,8.8,48267,162422,456677,28.36,37.24,32.81,NONE,33.98,25644,NOT_REQUIRED
2019,RA000583,SILVER,957.9,881.39,8503,2642,HMO,55860,21.56,776342,179573,1586448,23.7,55.07,41.17,CSR73,2.88,80202,MODIFIED
2020,RA000584,SILVER,386.93,387.82,1951,5606,EPO,205525,5.53,1094626,70013,1390094,27.73,64.93,77.68,NONE,21.62,66070,APPROVED
2016,RA000585,SILVER,597.13,548.41,8245,4279,EPO,15025,14.83,580663,135775,1325038,60.81,19.66,78.8,NONE,22.2,41617,APPROVED
2025,RA000586,SILVER,657.06,572.12,8534,2494,TIERED,273752,7.17,935912,236857,1558313,35.31,64.23,39.25,NONE,1.19,73175,PENDING
2019,RA000587,GOLD,703.19,675.44,5347,3312,TIERED,175294,11.53,789447,106918,305021,26.95,54.4,37.95,NONE,2.89,49149,MODIFIED
2015,RA000588,BRONZE,825.3,751.9,475,4054,PPO,200959,16.23,737491,70123,1022043,22.31,56.57,52.6,CSR94,25.78,33926,NOT_REQUIRED
2022,RA000589,CATASTROPHIC,539.74,482.17,4257,7007,NARROW,264656,12.69,966393,151115,243303,55.33,64.78,82.3,NONE,38.62,25179,APPROVED
2014,RA000590,SILVER,666.79,696.07,1167,1502,BROAD,152049,13.81,465876,54697,1598630,52.64,38.64,42.32,NONE,12.95,76818,PENDING
2025,RA000591,SILVER,232.55,212.62,3368,7985,BROAD,156483,10.0,963853,55106,1179349,62.18,57.51,50.25,NONE,15.48,37277,APPROVED
2017,RA000592,BRONZE,656.09,683.85,8637,1810,PPO,44398,14.5,894298,180722,1381606,40.33,55.58,72.02,CSR73,27.45,2401,PENDING
2021,RA000593,SILVER,947.45,886.57,3532,3628,BROAD,204733,23.4,819086,97808,1370346,42.32,19.65,45.47,NONE,18.04,19604,NOT_REQUIRED
2023,RA000594,SILVER,860.61,772.01,1890,9098,NARROW,14283,14.35,314368,234604,1506308,71.88,16.37,2.75,CSR73,33.52,35381,NOT_REQUIRED
2025,RA000595,GOLD,549.36,568.94,7713,2557,EPO,60690,23.2,437496,47610,142148,23.5,24.58,78.52,CSR87,32.56,67006,NOT_REQUIRED
2019,RA000596,GOLD,688.34,674.95,9193,9140,PPO,30404,16.27,401100,157194,1554286,74.26,61.16,76.52,CSR73,22.95,79549,APPROVED
2015,RA000597,BRONZE,416.97,371.63,3185,6118,PPO,255512,12.22,926373,163356,524746,24.27,18.14,20.27,NONE,31.66,66680,APPROVED
2025,RA000598,SILVER,886.02,886.62,7681,3102,NARROW,238884,9.25,1121441,205723,306365,61.28,32.6,60.46,CSR87,11.07,15010,NOT_REQUIRED
2019,RA000599,GOLD,622.95,583.35,5542,3827,BROAD,63549,13.52,344489,29092,508185,34.35,25.91,53.87,CSR73,27.4,33552,APPROVED
2017,RA000600,SILVER,280.13,282.96,5961,5895,EPO,222859,17.27,988076,170819,851758,60.64,20.51,52.9,CSR73,1.53,67802,APPROVED
2016,RA000601,SILVER,692.06,687.74,6619,9161,TIERED,146004,20.4,452521,95043,1163808,70.82,26.57,38.02,NONE,23.98,24383,MODIFIED
2016,RA000602,BRONZE,863.45,901.63,8220,1911,HMO,196259,9.67,1018472,50248,810928,20.58,51.25,16.97,CSR87,41.5,20542,DENIED
2017,RA000603,BRONZE,772.85,790.72,6953,5980,EPO,130167,5.48,98945,144051,1181693,43.28,14.84,62.69,NONE,37.14,67029,MODIFIED
2019,RA000604,GOLD,880.76,914.84,8137,4563,EPO,55805,9.73,662758,122834,97762,54.89,34.75,10.49,NONE,35.02,66220,APPROVED
2024,RA000605,GOLD,688.9,618.49,4770,2124,PPO,255353,6.82,35991,133277,1194548,70.37,47.47,79.21,NONE,25.37,29216,APPROVED
2025,RA000606,GOLD,604.16,581.54,536,7346,NARROW,210229,10.33,973492,80395,871791,67.93,58.7,82.9,CSR87,16.93,81627,NOT_REQUIRED
2018,RA000607,PLATINUM,766.11,653.5,5443,2542,BROAD,129461,10.77,1003376,221442,451789,41.51,63.39,71.28,NONE,31.96,84817,APPROVED
2024,RA000608,BRONZE,403.46,348.7,9030,6655,BROAD,184009,17.12,192760,19554,390496,30.49,52.09,23.36,NONE,22.21,67715,PENDING
2019,RA000609,GOLD,923.53,834.55,8859,6027,TIERED,203236,20.59,748205,171004,1239366,53.07,18.01,60.39,NONE,36.86,69144,APPROVED
2016,RA000610,GOLD,580.41,620.29,8748,8347,BROAD,41241,10.81,771324,52700,701966,45.03,19.35,46.87,NONE,26.55,83875,NOT_REQUIRED
2023,RA000611,GOLD,697.64,649.6,462,5054,HMO,120825,23.44,1175303,8704,1354747,31.13,49.48,3.94,NONE,27.37,56033,PENDING
2022,RA000612,PLATINUM,323.29,347.74,4121,9011,PPO,13468,5.5,427091,115148,566233,59.3,10.02,43.16,NONE,7.86,34968,MODIFIED
2018,RA000613,GOLD,791.86,773.37,1152,2704,BROAD,271014,5.74,334682,106939,897610,35.14,16.01,42.04,CSR94,8.69,16939,DENIED
2024,RA000614,BRONZE,459.62,473.35,2605,1839,TIERED,199812,1.62,1088852,46016,123618,27.14,57.07,38.07,CSR87,26.01,78834,APPROVED
2015,RA000615,BRONZE,314.38,299.47,2607,4185,EPO,232396,6.61,34040,156639,1646200,25.97,10.22,21.93,NONE,22.47,34172,PENDING
2015,RA000616,GOLD,490.36,522.02,5305,5939,NARROW,109622,14.92,841996,125337,1582120,52.67,42.11,58.53,CSR87,19.28,29755,PENDING
2014,RA000617,SILVER,771.23,710.06,4686,9017,EPO,200951,7.56,441440,186015,404851,37.43,7.45,33.39,NONE,6.16,53601,PENDING
2024,RA000618,BRONZE,956.23,999.45,3959,5414,PPO,70557,5.4,211464,65706,152086,50.6,29.58,77.59,CSR87,34.44,47952,APPROVED
2023,RA000619,SILVER,460.68,413.72,8164,3097,TIERED,31331,22.14,509983,239971,624567,38.84,14.59,51.74,CSR73,41.18,42394,APPROVED
2016,RA000620,SILVER,683.32,620.72,2269,7446,HMO,127736,7.33,59256,163099,351959,71.15,39.67,56.66,CSR94,29.54,74341,MODIFIED
2014,RA000621,BRONZE,715.06,619.85,4219,3175,PPO,74906,21.48,729744,144898,838073,46.39,13.76,31.54,NONE,21.49,58125,PENDING
2017,RA000622,BRONZE,902.24,848.95,6457,7780,HMO,145938,12.05,832157,75123,1141870,21.71,19.46,36.35,CSR94,24.31,18045,APPROVED
2018,RA000623,BRONZE,452.86,447.67,1773,8613,BROAD,88243,5.52,530234,186492,176563,34.34,44.8,27.57,CSR87,34.07,61802,MODIFIED
2024,RA000624,SILVER,896.46,830.2,8775,8932,PPO,70646,7.98,811544,236683,1443870,41.57,58.42,45.54,NONE,28.87,63916,PENDING
2021,RA000625,SILVER,363.13,336.71,303,3158,TIERED,245268,6.26,674520,74200,1632772,49.12,63.97,57.99,CSR87,4.08,61325,APPROVED
2016,RA000626,SILVER,694.55,745.79,5349,7292,EPO,226591,19.29,1110543,219841,81585,68.44,32.94,14.13,NONE,19.8,17059,PENDING
2023,RA000627,SILVER,417.2,354.85,7017,4641,BROAD,92500,17.98,148855,31640,776316,38.72,61.31,26.41,NONE,38.14,23962,PENDING
2023,RA000628,BRONZE,240.92,234.62,6098,3625,HMO,53735,20.54,89734,9898,1415039,29.36,7.93,66.53,NONE,24.51,66957,NOT_REQUIRED
2016,RA000629,GOLD,539.69,512.08,6246,7177,EPO,42045,17.66,381023,21062,72088,58.46,58.85,36.62,NONE,25.23,55492,APPROVED
2019,RA000630,GOLD,481.83,426.08,4006,8815,HMO,94191,17.59,366654,92245,1167486,41.32,49.65,9.59,NONE,10.11,61027,PENDING
2014,RA000631,SILVER,498.27,472.37,3401,7553,NARROW,138209,12.59,170517,164808,657260,74.97,11.65,72.94,NONE,18.58,77116,APPROVED
2014,RA000632,SILVER,668.09,568.82,2182,2705,HMO,42441,11.96,1040527,199567,916801,67.36,56.3,24.42,CSR87,16.91,52625,PENDING
2025,RA000633,BRONZE,294.21,299.29,2958,8425,TIERED,35578,18.67,182372,237510,1334782,72.83,31.53,4.68,NONE,22.61,11678,APPROVED
2014,RA000634,GOLD,927.28,821.87,6985,6989,PPO,227002,13.94,9568,172136,263546,36.36,50.6,39.25,CSR94,9.41,3983,MODIFIED
2024,RA000635,SILVER,678.93,705.87,7043,6291,NARROW,4890,11.89,1027214,94446,63894,51.96,56.69,69.32,CSR73,19.79,7292,APPROVED
2021,RA000636,SILVER,723.75,616.13,2453,4670,BROAD,222259,18.68,631359,115653,68352,35.93,59.49,54.99,NONE,20.05,4346,APPROVED
2023,RA000637,BRONZE,960.37,1010.51,787,7972,PPO,262558,2.79,1179450,74998,591817,58.57,40.91,16.18,NONE,25.63,66073,APPROVED
2014,RA000638,GOLD,511.61,490.77,5385,7258,EPO,133124,6.29,544243,224247,99583,24.22,20.56,60.71,NONE,34.31,79648,APPROVED
2020,RA000639,PLATINUM,549.07,540.95,2979,2209,PPO,243962,13.37,196583,73367,1589015,73.19,5.28,84.05,NONE,32.19,29643,NOT_REQUIRED
2014,RA000640,BRONZE,589.37,591.98,2039,2002,PPO,168746,6.94,319777,101732,1147687,27.17,8.13,55.8,NONE,24.0,31939,MODIFIED
2019,RA000641,PLATINUM,378.97,398.55,361,7851,PPO,82332,9.26,339866,206033,698631,73.46,61.88,29.91,CSR94,36.57,22960,MODIFIED
2025,RA000642,BRONZE,692.75,626.81,9053,5424,TIERED,111720,22.02,737580,117774,251366,49.15,47.25,84.06,NONE,1.42,70240,APPROVED
2020,RA000643,SILVER,897.94,920.61,1717,2807,NARROW,197785,5.22,466092,124412,1261817,64.9,33.0,15.76,CSR94,33.79,982,APPROVED
2025,RA000644,SILVER,696.01,617.08,8481,4141,BROAD,44914,22.1,1111957,233058,1570508,59.78,16.52,80.23,CSR87,22.76,11099,MODIFIED
2024,RA000645,GOLD,358.73,353.74,460,5349,NARROW,52474,18.04,106479,9771,1342976,69.36,14.16,14.45,CSR94,29.62,7348,PENDING
2023,RA000646,SILVER,970.27,888.92,868,7716,BROAD,264873,12.07,751270,73190,1590922,20.91,51.76,11.34,NONE,39.26,6283,APPROVED
2023,RA000647,SILVER,954.38,974.63,3773,8489,NARROW,80142,13.61,909324,32500,1392539,62.06,28.3,24.94,NONE,7.37,43518,NOT_REQUIRED
2014,RA000648,PLATINUM,370.45,324.6,8114,4317,NARROW,259651,1.78,541598,216964,1283425,71.53,34.97,34.71,NONE,18.23,36140,APPROVED
2022,RA000649,BRONZE,272.75,261.94,111,8226,NARROW,202519,4.5,263906,21094,1199162,37.34,34.67,84.87,CSR73,33.36,57209,APPROVED
2025,RA000650,GOLD,400.18,397.92,8754,7741,PPO,257737,14.38,492188,72754,1327648,55.12,61.89,59.84,CSR73,16.28,65326,MODIFIED
2024,RA000651,SILVER,480.5,455.88,8463,9173,EPO,150837,11.03,118143,126705,937370,30.59,40.4,61.54,CSR87,37.06,3823,APPROVED
2017,RA000652,BRONZE,302.27,308.6,2889,5023,HMO,202561,20.37,782542,211037,1057052,33.67,18.45,76.96,NONE,13.55,41820,APPROVED
2021,RA000653,BRONZE,841.86,849.1,8428,3067,TIERED,102369,3.78,983853,47779,535322,62.71,34.81,14.61,NONE,26.93,47543,PENDING
2017,RA000654,GOLD,911.17,858.85,4062,7354,HMO,82753,18.33,58295,126261,455841,23.56,8.45,20.28,CSR94,41.54,34785,NOT_REQUIRED
