qol_social_survey_cycle_id,qol_social_neighborhood_cluster_id,qol_social_neighborliness_score,qol_social_belonging_score,qol_social_participation_local_events_rate,qol_social_mutual_aid_participation_rate,qol_social_intergroup_contact_score,qol_social_civic_pride_score,qol_social_shared_norms_score,qol_social_conflict_resolution_score,qol_social_online_community_engagement_rate,qol_social_hate_incident_awareness_score,qol_social_trust_local_institutions_score,qol_social_youth_engagement_score,qol_social_senior_engagement_score,qol_social_newcomer_integration_score,qol_social_language_inclusion_score,qol_social_public_space_comfort_score,qol_social_community_problem_solving_score,qol_social_survey_sampling_weight
CYC000000481,NBH000249,5.139,6.375,0.2635,0.5095,9.266,2.207,3.047,1.184,0.7649,0.376,0.146,4.682,5.916,6.971,8.1,4.801,3.109,1.8423
CYC000000482,NBH000249,6.4141,2.511,0.7253,0.216,5.99,5.292,0.99,9.006,0.9807,8.554,6.845,7.847,6.268,9.182,7.05,0.438,0.11,3.4626
CYC000000483,NBH000053,0.6672,8.781,0.8671,0.1299,9.897,0.345,1.069,3.998,0.3435,6.254,1.067,8.612,4.589,1.673,5.161,2.362,7.089,0.1967
CYC000000484,NBH000113,4.4073,1.529,0.8275,0.1492,4.809,3.631,8.342,9.137,0.1917,9.999,1.897,0.59,6.831,1.161,0.793,1.176,0.057,2.7456
CYC000000485,NBH000120,1.3814,5.587,0.9385,0.7169,9.406,4.935,2.725,4.604,0.4624,1.409,1.669,7.489,4.714,4.465,6.799,3.213,2.545,2.07
CYC000000486,NBH000242,9.1935,3.898,0.1405,0.5874,1.943,5.56,9.055,3.683,0.0531,1.54,3.696,0.943,9.895,8.988,5.691,6.2,3.836,2.1154
CYC000000487,NBH000194,6.3356,5.647,0.8218,0.9883,1.348,6.604,5.739,4.623,0.6878,2.832,9.654,7.054,9.475,5.975,2.267,5.482,6.723,3.3237
CYC000000488,NBH000085,4.5227,8.64,0.9926,0.3283,5.899,4.348,8.312,8.634,0.7571,5.981,3.065,4.312,4.998,2.496,1.202,8.555,1.088,0.7561
CYC000000489,NBH000070,7.4158,7.513,0.1251,0.0005,0.956,3.307,1.882,1.021,0.2868,8.538,4.282,3.075,4.528,3.74,1.26,5.247,1.465,2.3867
CYC000000490,NBH000248,5.2209,0.563,0.282,0.8603,3.067,8.398,5.828,6.672,0.2728,8.005,3.771,0.545,7.085,8.063,3.226,4.664,0.324,2.6291
CYC000000491,NBH000153,4.011,5.339,0.3446,0.5458,0.948,7.125,8.134,2.608,0.6564,8.038,7.799,7.117,7.805,1.746,1.688,3.627,0.553,2.4174
CYC000000492,NBH000032,9.8161,4.476,0.4621,0.3686,9.888,2.485,7.944,5.74,0.1905,4.996,7.282,6.398,8.701,4.436,8.393,1.61,5.64,0.4815
CYC000000493,NBH000201,8.7942,6.514,0.8983,0.8055,4.59,9.43,6.323,3.275,0.316,0.631,7.032,4.383,1.134,2.667,0.719,9.737,4.352,4.4901
CYC000000494,NBH000177,4.5913,0.027,0.1208,0.7409,5.904,9.619,3.28,4.68,0.3142,0.371,3.374,9.677,6.821,2.704,4.37,7.49,6.024,4.4563
CYC000000495,NBH000224,2.6814,2.326,0.3858,0.4342,5.932,5.738,2.537,4.617,0.6348,2.481,7.733,2.534,0.525,5.988,0.222,3.633,9.705,0.3499
CYC000000496,NBH000109,3.4745,4.794,0.8622,0.9084,2.855,7.934,2.109,6.89,0.7921,6.024,5.446,8.395,4.454,2.808,8.613,3.71,4.225,1.3534
CYC000000497,NBH000204,9.6746,0.011,0.9699,0.9743,7.899,4.902,3.817,8.177,0.6324,6.529,2.416,8.356,9.557,6.646,3.269,1.347,9.849,3.1876
CYC000000498,NBH000103,8.1577,9.547,0.1375,0.4855,6.638,9.622,7.255,6.734,0.0652,9.295,9.266,5.883,1.663,7.911,0.104,4.814,2.385,1.462
CYC000000499,NBH000128,7.5298,3.683,0.566,0.3743,3.384,0.927,5.358,8.544,0.3143,5.838,4.375,7.551,0.18,1.239,1.17,0.238,6.228,3.0938
CYC000000500,NBH000018,7.3449,3.467,0.2138,0.4468,6.033,4.587,3.003,7.897,0.295,1.697,7.058,7.805,8.461,6.068,1.37,4.478,8.79,2.4326
CYC000000501,NBH000063,4.337,1.138,0.5362,0.1657,5.773,3.679,4.273,9.467,0.3954,9.144,6.354,2.405,7.15,7.438,8.815,0.64,1.366,2.1228
CYC000000502,NBH000185,3.6721,5.025,0.2263,0.0399,0.249,7.316,9.29,4.088,0.2683,4.994,0.432,7.619,1.781,6.551,8.936,5.545,0.271,0.6136
CYC000000503,NBH000145,7.1772,7.743,0.3443,0.4666,0.376,2.527,0.427,2.385,0.9259,1.516,5.045,5.441,2.602,3.008,2.145,7.231,5.057,4.3725
CYC000000504,NBH000034,3.6213,8.718,0.1609,0.3098,8.712,0.913,8.277,1.408,0.4616,2.031,7.534,2.505,5.05,4.683,8.592,0.734,9.502,3.9377
CYC000000505,NBH000001,4.1844,8.801,0.3452,0.6461,1.365,5.854,8.347,8.734,0.3362,2.908,2.697,4.99,2.94,0.087,0.089,4.409,6.829,4.3121
CYC000000506,NBH000242,4.5345,4.666,0.0398,0.8961,2.124,6.261,3.138,5.06,0.5252,9.691,8.647,5.126,5.097,6.673,4.341,7.708,5.469,4.8482
CYC000000507,NBH000143,7.6176,8.504,0.0267,0.3001,3.761,2.395,1.059,5.202,0.4343,6.389,2.709,5.385,3.267,7.144,4.254,9.312,2.575,0.2424
CYC000000508,NBH000207,3.0927,7.832,0.4014,0.9163,4.277,1.977,0.08,8.883,0.6736,6.339,4.524,2.899,3.063,7.369,0.079,2.389,7.525,1.8609
CYC000000509,NBH000172,3.6628,3.632,0.8046,0.5404,6.332,9.694,0.493,7.01,0.1234,7.633,9.761,1.024,0.321,8.493,2.467,9.768,5.224,1.6526
CYC000000510,NBH000238,7.1369,6.332,0.7814,0.7682,2.604,9.47,9.762,0.289,0.0514,5.614,5.743,3.931,8.647,6.22,9.523,6.285,1.69,1.0742
CYC000000511,NBH000166,2.557,3.472,0.3043,0.9858,2.308,8.453,1.049,7.25,0.262,2.934,8.04,0.338,3.756,5.034,9.851,7.006,1.147,0.7176
CYC000000512,NBH000008,8.5301,6.542,0.772,0.8028,7.052,0.306,6.167,1.818,0.646,2.575,6.884,3.269,5.649,5.061,1.634,2.78,2.489,2.1341
CYC000000513,NBH000032,5.4352,2.054,0.9107,0.3291,2.582,2.776,3.538,0.706,0.1064,6.823,5.37,2.574,0.025,2.065,3.448,3.004,1.604,2.7752
CYC000000514,NBH000028,5.3463,6.921,0.6668,0.3672,5.538,4.326,7.188,3.147,0.0985,9.041,0.592,0.042,0.475,9.724,6.509,5.8,2.052,0.5741
CYC000000515,NBH000121,5.7254,0.992,0.9009,0.0041,3.89,0.37,5.613,1.957,0.7463,0.137,8.071,8.647,3.729,4.405,7.364,0.999,0.223,1.5331
CYC000000516,NBH000059,1.4135,6.768,0.3161,0.3089,9.639,4.28,9.281,8.028,0.364,8.414,6.848,5.066,6.465,1.255,0.697,0.343,6.189,2.7985
CYC000000517,NBH000158,9.8406,1.827,0.1328,0.6905,0.048,0.161,1.04,0.935,0.0529,8.626,0.904,2.16,0.025,3.996,2.093,3.914,6.207,1.836
CYC000000518,NBH000090,7.5377,3.033,0.9985,0.3409,7.157,3.976,7.049,3.702,0.0311,4.613,8.53,3.232,1.737,4.179,0.572,9.334,8.492,1.184
CYC000000519,NBH000092,0.2158,9.108,0.7325,0.4577,9.878,2.438,5.977,2.95,0.2869,2.193,0.011,5.672,7.399,9.733,3.176,3.92,7.579,0.2025
CYC000000520,NBH000056,8.5539,3.947,0.8749,0.518,1.831,3.469,0.89,1.433,0.9075,4.383,8.861,3.419,8.333,7.918,6.688,2.586,5.72,0.181
CYC000000521,NBH000046,1.637,6.79,0.9814,0.026,7.325,7.696,5.283,8.546,0.9329,2.835,7.222,1.819,6.125,0.289,1.346,1.659,8.315,1.3626
CYC000000522,NBH000149,0.7581,5.621,0.0844,0.1022,3.598,2.2,5.498,9.07,0.6078,5.786,3.354,6.04,3.597,3.646,6.23,1.573,2.675,4.4528
CYC000000523,NBH000010,4.7602,8.829,0.6364,0.2481,8.087,2.862,4.769,0.448,0.7528,5.629,4.467,4.599,4.19,1.535,9.269,4.265,7.196,3.6686
CYC000000524,NBH000047,5.7793,0.081,0.355,0.914,4.495,7.538,1.123,4.677,0.8591,1.232,5.496,0.031,0.689,1.369,0.2,7.788,0.508,0.9711
CYC000000525,NBH000096,0.6874,3.553,0.7935,0.8852,7.86,4.454,4.944,1.785,0.5306,0.002,6.348,9.082,7.348,7.661,7.431,5.737,8.165,0.687
CYC000000526,NBH000028,0.6715,7.452,0.8595,0.5016,1.266,2.685,5.612,1.004,0.7327,8.152,7.71,6.03,2.477,3.789,9.158,2.569,3.432,3.3471
CYC000000527,NBH000207,7.6266,3.712,0.5712,0.5805,2.32,2.247,1.361,6.528,0.1397,4.352,3.348,0.11,0.081,2.602,9.452,0.829,3.919,4.095
CYC000000528,NBH000224,1.1997,4.327,0.6033,0.749,2.243,4.488,6.262,0.728,0.9607,2.222,3.135,5.888,5.023,6.311,0.725,0.703,5.256,1.0212
CYC000000529,NBH000042,6.8908,8.132,0.4305,0.9151,6.118,5.269,0.171,3.929,0.8827,5.175,7.895,8.752,6.409,0.129,6.075,4.818,6.081,4.7217
CYC000000530,NBH000019,4.4879,6.225,0.9918,0.3637,0.095,3.006,6.365,9.368,0.8373,9.537,8.716,5.746,6.888,8.648,4.44,9.387,6.741,1.7326
CYC000000531,NBH000196,5.164,1.229,0.8541,0.5558,9.607,2.971,6.083,3.607,0.4081,8.073,2.319,2.277,2.373,4.052,1.309,7.468,7.965,1.7792
CYC000000532,NBH000023,4.0851,5.279,0.9852,0.2136,8.585,3.9,1.811,2.656,0.9549,8.683,5.786,2.399,0.568,1.884,5.091,9.327,4.559,2.3396
CYC000000533,NBH000123,8.7712,8.799,0.9533,0.4306,9.629,4.041,2.55,6.79,0.8251,6.464,7.664,7.637,2.072,8.41,7.449,3.044,5.928,1.5897
CYC000000534,NBH000171,6.2893,2.947,0.2554,0.324,3.223,4.757,1.541,4.041,0.1946,9.107,3.064,4.563,2.411,2.317,1.907,8.2,5.306,0.1113
CYC000000535,NBH000043,7.0244,7.755,0.0456,0.5622,3.48,5.048,6.317,0.932,0.3002,4.52,7.744,9.825,9.199,7.503,3.335,2.456,4.826,2.7101
CYC000000536,NBH000080,3.7155,4.445,0.0961,0.7068,8.761,4.56,7.992,0.3,0.1284,4.698,9.258,8.357,7.273,9.747,3.314,7.851,1.577,3.9415
CYC000000537,NBH000027,1.4366,7.055,0.8536,0.6106,8.373,7.422,5.383,6.897,0.2114,3.0,7.308,4.177,1.767,5.436,2.323,8.566,0.069,3.114
CYC000000538,NBH000231,4.1757,0.204,0.217,0.314,6.896,9.285,2.852,2.136,0.6759,1.441,9.146,3.023,7.841,8.493,7.222,3.906,5.658,4.9561
CYC000000539,NBH000128,5.6558,6.998,0.3006,0.8029,3.585,9.879,5.384,9.706,0.9489,3.822,5.885,7.353,2.875,1.871,6.007,6.33,6.888,4.9868
CYC000000540,NBH000071,2.4719,7.751,0.7184,0.6789,1.199,2.429,4.198,6.383,0.9337,0.505,5.152,6.215,8.498,8.709,3.286,4.711,8.419,1.3061
CYC000000541,NBH000059,4.259,9.712,0.7771,0.8965,9.845,8.935,2.64,7.336,0.8952,4.232,6.224,2.532,4.831,5.235,5.195,8.497,4.453,1.3424
CYC000000542,NBH000128,6.7941,7.926,0.4187,0.9348,3.03,0.307,0.892,0.942,0.8953,6.146,2.755,2.958,8.9,9.772,0.385,2.359,9.367,3.4294
CYC000000543,NBH000249,9.2782,4.926,0.595,0.8783,3.036,9.057,7.282,2.939,0.7986,1.37,3.392,3.439,1.415,1.499,1.884,8.638,7.171,2.9181
CYC000000544,NBH000107,9.0223,9.077,0.9634,0.2721,2.3,0.313,9.345,3.029,0.3431,9.146,1.421,0.392,5.605,7.069,7.087,8.439,0.039,2.7227
CYC000000545,NBH000102,2.4594,4.071,0.293,0.1148,8.283,4.581,1.862,2.089,0.7099,7.346,4.881,3.971,0.182,1.411,6.583,0.469,5.277,0.8893
CYC000000546,NBH000027,1.8135,2.061,0.8647,0.434,4.102,6.741,9.701,0.12,0.5405,1.937,2.875,3.475,3.168,9.099,6.897,8.93,1.858,3.6606
CYC000000547,NBH000232,1.1576,0.631,0.6184,0.8609,5.371,0.348,4.956,6.75,0.6714,2.75,2.431,3.68,1.85,5.445,2.75,5.733,8.88,3.6497
CYC000000548,NBH000116,7.8187,7.381,0.4424,0.7805,9.51,4.688,6.98,9.56,0.1239,2.312,2.175,8.988,7.919,9.17,4.602,8.647,1.325,2.4511
CYC000000549,NBH000226,8.9728,1.989,0.2052,0.6848,6.942,8.78,3.478,2.284,0.5743,1.09,3.563,8.28,2.244,1.38,8.312,3.58,1.181,1.6187
CYC000000550,NBH000063,7.6509,7.444,0.2571,0.9797,3.136,7.774,6.306,4.046,0.7193,2.08,4.046,6.467,3.204,3.432,5.722,0.296,7.157,3.5224
CYC000000551,NBH000140,0.865,8.447,0.2376,0.2517,5.899,4.991,1.528,0.894,0.1973,6.234,1.661,5.679,1.599,1.191,1.659,9.827,3.955,2.4869
CYC000000552,NBH000228,1.3651,5.649,0.9256,0.934,5.9,2.437,6.395,2.028,0.7725,8.939,9.17,0.893,7.582,8.06,0.384,6.412,5.44,1.5029
CYC000000553,NBH000088,4.1762,8.884,0.9172,0.8252,2.633,1.019,8.902,3.453,0.333,0.685,3.476,9.691,3.387,1.382,5.969,8.678,3.765,1.1286
CYC000000554,NBH000104,4.2903,5.706,0.0469,0.4177,8.859,2.007,9.303,6.009,0.7864,9.582,7.932,8.675,4.032,8.842,3.65,7.006,8.794,3.2443
CYC000000555,NBH000182,9.4604,7.974,0.7015,0.5178,8.06,7.458,1.603,4.16,0.0553,4.2,6.363,8.21,0.752,7.617,1.44,1.36,2.427,3.0521
CYC000000556,NBH000125,5.7825,8.224,0.053,0.9342,6.844,4.056,3.38,4.496,0.9767,5.667,4.413,7.558,9.662,7.26,4.824,0.666,6.359,2.5932
CYC000000557,NBH000231,0.3146,4.024,0.6923,0.3358,5.803,1.649,3.322,6.752,0.2808,6.151,4.818,4.582,3.692,3.848,2.868,2.084,3.18,4.6587
CYC000000558,NBH000011,4.5757,6.966,0.6695,0.4095,1.961,0.59,3.831,7.545,0.6504,3.205,8.957,5.962,5.777,2.662,6.994,6.646,9.62,3.8132
CYC000000559,NBH000004,4.2158,8.044,0.5823,0.713,6.33,4.672,7.239,6.823,0.1379,3.472,8.314,9.285,1.266,2.612,7.815,4.929,7.957,1.0109
CYC000000560,NBH000173,4.4429,4.227,0.1431,0.5181,2.963,7.263,1.572,6.654,0.1042,8.016,2.123,6.652,5.161,3.835,7.47,7.146,6.252,2.2235
CYC000000561,NBH000241,4.573,3.23,0.9421,0.4515,6.336,8.575,3.376,2.863,0.8943,5.62,5.152,2.745,0.403,7.703,2.375,4.002,1.657,2.877
CYC000000562,NBH000046,1.0351,4.413,0.9517,0.4315,6.065,4.573,6.854,6.706,0.1956,6.485,8.763,2.787,2.567,0.546,7.29,5.313,1.207,0.5232
CYC000000563,NBH000125,2.9552,1.694,0.7037,0.4633,1.588,5.031,9.996,2.633,0.9313,2.196,0.028,8.929,9.861,3.089,4.585,2.299,7.665,1.2419
CYC000000564,NBH000186,1.8833,9.909,0.2305,0.4144,8.317,6.765,7.726,6.927,0.0666,1.047,0.799,2.494,4.047,4.962,9.247,3.402,1.674,1.4473
CYC000000565,NBH000122,5.0814,0.322,0.3295,0.9203,2.082,6.855,1.677,5.738,0.1254,4.473,3.591,9.776,6.645,5.27,0.651,4.574,1.86,2.5372
CYC000000566,NBH000225,7.8265,6.097,0.0479,0.9073,4.625,7.108,1.371,2.492,0.4839,6.709,0.604,6.775,9.518,9.999,6.58,5.417,4.596,4.327
CYC000000567,NBH000155,3.6706,2.172,0.4735,0.161,9.591,6.746,1.049,8.917,0.6081,0.687,9.349,6.025,6.566,6.027,3.956,4.402,6.379,1.565
CYC000000568,NBH000020,1.2407,4.846,0.9487,0.9057,0.96,3.298,5.806,2.914,0.4277,8.101,1.765,6.443,9.934,1.372,6.09,8.519,0.318,3.2743
CYC000000569,NBH000214,3.7558,6.012,0.1188,0.2569,1.784,5.451,5.637,4.111,0.5143,3.346,4.771,2.219,7.435,0.615,8.958,1.895,6.484,2.4725
CYC000000570,NBH000195,4.0489,8.889,0.6438,0.2552,9.487,7.586,7.028,7.204,0.4436,4.287,4.241,3.24,1.096,0.369,8.278,5.978,5.254,3.0645
CYC000000571,NBH000046,9.83,2.765,0.8598,0.6197,1.377,3.994,4.161,5.861,0.7933,5.945,1.597,2.647,7.984,4.413,5.278,2.186,2.264,0.6291
CYC000000572,NBH000139,8.5001,8.587,0.1703,0.4167,9.068,5.733,2.765,4.074,0.2817,7.92,8.14,7.524,7.682,2.514,4.861,4.449,3.119,2.1707
CYC000000573,NBH000043,8.9402,8.701,0.7069,0.2805,8.719,3.661,6.931,7.087,0.1471,3.194,3.193,8.292,2.78,4.217,2.622,4.983,6.289,4.7187
CYC000000574,NBH000181,7.9993,1.857,0.5273,0.318,9.715,3.05,4.515,7.92,0.2729,0.078,5.491,3.607,5.654,8.767,9.446,5.836,6.328,2.3566
CYC000000575,NBH000048,5.2724,8.486,0.0546,0.8275,8.19,8.908,7.397,6.054,0.5943,2.814,2.99,2.558,3.18,2.429,9.893,5.955,3.424,0.464
CYC000000576,NBH000136,6.9795,0.649,0.6724,0.6202,9.291,7.079,4.994,9.156,0.7768,9.409,9.822,1.099,8.304,9.879,6.247,8.622,4.664,4.2013
CYC000000577,NBH000111,4.4516,8.189,0.5364,0.8344,4.907,1.042,1.156,5.898,0.985,7.055,9.796,2.363,6.05,1.004,9.41,2.199,2.508,4.5774
CYC000000578,NBH000025,7.1817,1.055,0.1893,0.041,0.6,3.315,8.197,3.735,0.4523,5.736,6.682,0.283,3.193,7.42,4.358,8.67,9.011,3.376
CYC000000579,NBH000141,5.3868,3.587,0.0213,0.1008,7.082,6.585,2.669,9.562,0.2659,2.785,3.596,6.929,3.485,4.04,1.488,1.813,0.128,4.7463
CYC000000580,NBH000027,6.4359,5.561,0.4768,0.8569,7.77,9.337,3.766,7.831,0.5091,2.242,2.963,1.208,5.908,1.328,7.69,9.899,4.78,2.073
CYC000000581,NBH000108,4.512,0.316,0.8232,0.9224,9.695,1.761,4.507,4.928,0.3333,9.188,1.808,1.497,1.818,2.604,3.529,3.207,2.369,3.2752
CYC000000582,NBH000052,5.8581,6.793,0.8679,0.9379,4.721,3.501,7.616,8.928,0.4349,5.024,0.061,3.062,1.244,5.702,9.498,5.14,5.702,4.4585
CYC000000583,NBH000191,5.4492,3.561,0.0529,0.0692,4.637,5.799,1.367,7.047,0.7228,7.31,8.207,5.527,4.25,4.45,2.053,6.685,1.256,4.3877
CYC000000584,NBH000025,7.5943,9.847,0.2811,0.3452,6.754,8.993,1.547,1.841,0.6002,4.238,1.496,0.642,5.605,1.317,9.072,8.155,3.673,0.8199
CYC000000585,NBH000033,7.5754,8.46,0.7668,0.1125,1.411,5.303,6.749,5.318,0.3344,1.446,4.026,5.421,8.684,9.466,9.019,9.23,8.489,4.6987
CYC000000586,NBH000062,2.6585,5.869,0.2402,0.524,6.485,9.742,1.15,9.298,0.5519,5.325,5.217,4.307,2.075,1.973,8.146,7.087,7.957,3.8309
CYC000000587,NBH000021,9.8296,1.443,0.1541,0.9764,2.548,5.763,0.085,4.532,0.4079,4.507,5.227,1.824,2.264,2.726,5.761,5.457,2.585,3.5831
CYC000000588,NBH000241,7.4277,5.93,0.1259,0.7517,6.662,1.852,6.154,4.343,0.2474,8.955,6.02,0.434,7.032,0.749,2.512,3.307,9.265,0.6313
CYC000000589,NBH000159,3.4328,4.514,0.2828,0.5216,7.073,3.374,6.214,0.405,0.16,1.663,5.713,6.439,6.342,8.81,9.083,5.883,0.097,2.6223
CYC000000590,NBH000132,6.5579,9.208,0.5314,0.1746,5.713,3.139,8.817,9.039,0.2903,7.166,9.558,8.116,9.401,6.225,7.172,6.823,0.101,2.9107
CYC000000591,NBH000219,1.113,0.929,0.0825,0.8374,8.19,4.297,7.942,5.622,0.1058,6.562,6.143,8.955,8.031,2.611,4.59,1.319,7.193,2.0732
CYC000000592,NBH000236,5.1311,8.003,0.2097,0.5522,7.946,2.829,9.027,5.136,0.0019,4.461,2.101,1.176,2.889,6.447,3.845,4.856,9.601,1.9739
CYC000000593,NBH000114,1.0692,1.332,0.1733,0.1766,4.243,0.441,7.478,3.859,0.141,8.53,1.714,9.779,1.973,4.252,9.062,5.963,8.736,3.4195
CYC000000594,NBH000037,4.8633,5.196,0.7908,0.2313,3.711,1.961,6.712,0.78,0.5493,4.245,3.714,7.402,1.441,6.47,8.274,6.204,1.627,3.4559
CYC000000595,NBH000001,2.4274,9.465,0.4453,0.3522,9.293,9.828,7.514,4.815,0.3955,3.856,7.955,3.694,9.344,4.291,9.553,6.216,5.431,0.1421
CYC000000596,NBH000081,3.4685,4.838,0.3708,0.1911,4.236,1.606,5.706,7.89,0.5682,0.872,8.018,7.146,4.424,5.322,2.354,0.446,9.459,4.8077
CYC000000597,NBH000011,7.4576,5.624,0.3314,0.5134,4.727,3.165,5.282,7.681,0.8726,7.709,9.114,8.783,3.186,2.876,5.893,3.831,1.279,4.3158
CYC000000598,NBH000157,6.1077,3.024,0.5243,0.0457,2.43,1.782,4.956,1.188,0.1854,0.869,5.991,1.494,0.078,7.951,0.705,1.054,7.957,2.4651
CYC000000599,NBH000057,4.7588,3.333,0.0978,0.2383,9.961,8.105,4.074,7.144,0.3766,7.183,4.829,0.949,2.367,7.302,4.221,7.889,3.616,3.3291
CYC000000600,NBH000170,3.2869,5.326,0.8663,0.5754,2.277,0.26,4.643,3.139,0.4656,2.749,7.616,8.774,7.98,8.106,5.519,0.179,4.199,4.025
CYC000000601,NBH000005,7.683,3.373,0.6513,0.5519,4.069,8.688,5.573,0.411,0.891,7.904,1.657,0.961,0.15,4.472,9.252,4.522,6.792,4.6795
CYC000000602,NBH000182,8.3961,4.09,0.6355,0.5596,3.627,4.406,8.339,9.972,0.5598,7.298,4.076,5.069,3.975,8.907,0.464,3.472,4.284,1.1153
CYC000000603,NBH000009,0.2852,8.233,0.7774,0.1731,1.422,2.403,2.353,7.918,0.4112,0.702,6.975,1.383,9.214,6.524,7.942,9.926,8.445,1.8439
CYC000000604,NBH000037,1.4033,4.145,0.4096,0.5274,8.666,1.15,7.949,4.834,0.1201,7.758,3.926,9.814,1.425,8.875,1.95,8.979,6.099,1.4723
CYC000000605,NBH000021,0.3874,2.475,0.8596,0.4303,6.165,8.119,0.94,4.051,0.1923,8.759,8.667,0.179,9.622,2.657,3.81,2.061,9.533,2.616
CYC000000606,NBH000246,2.8305,3.261,0.7998,0.7285,9.364,4.346,7.164,4.802,0.2009,8.732,7.81,4.997,9.384,2.763,3.58,6.494,7.564,3.3168
CYC000000607,NBH000158,5.5886,6.263,0.989,0.5576,3.449,3.54,8.922,4.205,0.4001,0.481,1.481,2.728,0.747,8.794,2.284,3.867,1.058,0.8937
CYC000000608,NBH000030,5.7547,5.573,0.8577,0.7751,8.311,1.822,8.179,3.479,0.5649,6.847,8.147,1.94,2.628,2.023,5.546,9.971,2.761,1.0609
CYC000000609,NBH000001,4.8018,8.639,0.296,0.5705,1.06,6.319,4.022,8.364,0.9754,4.943,6.065,5.042,6.082,7.463,9.203,3.371,2.163,3.712
CYC000000610,NBH000178,2.7179,9.957,0.5759,0.3028,5.566,9.574,4.737,7.125,0.029,4.22,9.044,1.201,3.917,7.289,4.988,7.975,2.421,0.7988
CYC000000611,NBH000191,4.506,9.994,0.4914,0.6361,2.448,9.646,4.891,0.942,0.1059,0.89,2.091,0.627,5.193,6.664,0.979,8.089,4.39,0.5251
CYC000000612,NBH000112,6.1591,0.254,0.5286,0.8111,4.881,9.321,0.192,7.513,0.5729,2.287,2.525,0.543,6.899,0.603,1.479,9.435,8.106,4.0267
CYC000000613,NBH000160,6.9732,9.153,0.4755,0.3047,4.763,4.662,0.998,3.145,0.4866,6.929,5.28,6.025,8.833,3.216,9.769,9.908,5.83,3.9833
CYC000000614,NBH000171,9.2293,6.473,0.0074,0.1335,8.668,8.373,6.901,7.308,0.9695,1.01,4.508,4.538,0.171,9.206,2.354,2.623,8.843,3.5275
CYC000000615,NBH000193,2.5854,0.571,0.9651,0.4131,1.225,3.647,6.551,0.064,0.7422,0.501,3.552,6.511,8.062,3.729,8.949,0.617,1.736,1.6423
CYC000000616,NBH000239,8.4685,8.297,0.949,0.9457,9.924,1.046,3.521,9.046,0.8075,0.04,5.12,6.226,7.993,4.125,0.556,5.888,8.957,4.0165
CYC000000617,NBH000077,10.0516,0.237,0.9487,0.5296,0.399,5.053,8.678,5.882,0.5384,0.3,3.655,9.513,4.579,5.14,5.136,8.618,1.263,1.1522
CYC000000618,NBH000134,7.0767,0.348,0.2877,0.9982,3.065,4.753,6.291,8.224,0.3571,6.583,3.949,0.628,2.358,9.872,6.485,7.99,9.702,0.1247
CYC000000619,NBH000174,1.9498,7.529,0.6186,0.1756,1.858,8.013,3.637,6.174,0.6351,3.024,2.618,1.624,0.11,4.756,9.109,0.627,7.288,1.3874
CYC000000620,NBH000159,9.5369,3.06,0.1765,0.0632,5.193,4.202,2.386,7.153,0.4783,5.252,5.267,6.937,0.061,5.197,6.393,0.901,8.235,2.7411
CYC000000621,NBH000156,7.683,6.449,0.1122,0.2936,2.253,5.583,9.694,4.641,0.556,8.581,1.837,0.438,0.809,5.182,8.306,3.65,9.152,2.94
CYC000000622,NBH000150,5.4751,0.884,0.196,0.3732,1.298,8.975,4.467,3.837,0.0688,2.406,2.407,6.609,2.538,3.945,0.416,5.504,4.427,0.888
CYC000000623,NBH000246,0.3612,9.883,0.4447,0.0003,3.455,5.242,6.582,4.295,0.5794,3.871,3.668,2.979,3.751,2.289,4.466,5.117,6.47,0.9677
CYC000000624,NBH000089,3.4523,5.171,0.1836,0.6627,7.106,6.633,6.997,2.948,0.0994,0.742,5.037,4.827,9.263,5.454,8.896,3.298,0.896,3.42
CYC000000625,NBH000144,5.0404,2.762,0.6705,0.4195,6.364,4.301,3.301,1.819,0.1229,4.245,0.606,7.062,3.971,4.311,9.576,9.728,0.849,4.967
CYC000000626,NBH000049,3.5195,3.115,0.1396,0.1309,0.467,3.998,2.658,1.566,0.3624,1.46,8.805,7.322,1.753,3.822,2.564,1.816,5.592,4.647
CYC000000627,NBH000072,0.3386,8.864,0.5903,0.3116,0.848,9.33,4.075,3.653,0.3442,9.771,5.004,6.134,2.052,1.889,1.199,6.743,8.004,4.3006
CYC000000628,NBH000099,9.3497,8.305,0.2272,0.6467,7.261,6.527,9.576,3.993,0.8125,1.056,8.928,7.123,0.024,4.871,3.255,1.634,8.308,2.8948
CYC000000629,NBH000004,9.3288,0.857,0.8386,0.1157,0.407,4.984,4.393,1.677,0.6255,7.632,7.08,3.722,8.659,5.261,7.241,7.628,1.062,1.49
CYC000000630,NBH000045,3.1389,3.699,0.4757,0.5579,8.232,0.105,3.174,9.775,0.1877,8.069,1.277,6.889,1.03,0.231,7.846,8.234,7.75,2.1106
CYC000000631,NBH000046,6.454,9.74,0.4072,0.7715,0.541,4.393,6.755,0.516,0.0915,7.87,9.101,6.384,4.673,4.173,6.955,9.049,0.593,2.7267
CYC000000632,NBH000240,5.4881,1.19,0.6697,0.8495,1.534,0.933,2.661,0.578,0.8517,7.616,4.049,4.343,2.19,2.697,6.05,4.227,2.948,1.1812
CYC000000633,NBH000138,9.3612,1.901,0.9809,0.0197,7.258,6.635,9.508,1.143,0.8341,0.153,1.23,2.314,3.293,1.734,4.93,4.929,3.373,1.7383
