demo_household_survey_year,demo_household_household_id_sample,demo_household_relationship_to_householder,demo_household_family_type_code,demo_household_marital_status,demo_household_number_of_children_u18,demo_household_multigenerational_flag,demo_household_single_parent_flag,demo_household_cohabiting_partner_flag,demo_household_household_income_ratio_poverty,demo_household_housing_cost_burden_pct,demo_household_crowding_persons_per_room,demo_household_vehicle_count_household,demo_household_internet_access_type,demo_household_language_spoken_at_home,demo_household_disability_status_household,demo_household_caregiving_hours_week,demo_household_childcare_cost_monthly,demo_household_eldercare_responsibility_flag,demo_household_sampling_stratum
2023,ba72d801b222,Other,Nuclear,Never_married,2,N,Y,N,1.37,2.4,2.77,3,Both,Bengali,Any,56,24817,Y,Metro
2021,229f7229c1f5,Sibling,Joint,Married,0,Y,N,Y,0.97,31.2,3.46,4,Mobile_broadband,Kannada,None,57,18340,Y,Rural
2020,5705db2c9cef,Other,Single_person,Never_married,4,N,Y,N,4.36,3.6,1.1,0,Mobile_broadband,Urdu,Any,51,14212,Y,Metro
2024,70b05a6fbe33,Other,Single_person,Never_married,3,Y,N,Y,3.85,20.9,3.03,3,Fixed_broadband,Urdu,None,74,5565,N,Urban
2021,3a990187d92a,Sibling,Nuclear,Never_married,0,Y,Y,N,4.84,12.5,1.72,3,Fixed_broadband,Other,Any,46,29845,N,Town
2022,59152bfadf96,Head,Single_person,Married,2,Y,Y,N,0.87,20.3,4.37,2,Fixed_broadband,Odia,Any,22,25400,Y,Metro
2019,09f03455bdc3,Spouse,Nuclear,Widowed,1,N,Y,Y,4.71,58.3,2.84,0,None,Hindi,None,79,4878,N,Town
2020,3a369ea12aba,Other,Extended,Married,4,Y,Y,N,3.55,29.6,1.11,3,None,Marathi,None,31,28070,N,Metro
2023,e027f27dd7a8,Head,Extended,Separated,5,N,Y,Y,3.44,20.4,4.42,4,Both,Assamese,Any,65,28465,N,Metro
2022,62212711ddff,Child,Extended,Married,6,Y,Y,N,3.72,63.2,0.96,1,Mobile_broadband,Odia,None,34,16943,Y,Urban
2021,e1acad5401fb,Sibling,Extended,Widowed,6,Y,N,N,4.22,18.2,1.36,2,None,Marathi,None,14,21818,N,Town
2019,f1b64e40f2d2,Child,Extended,Separated,5,Y,N,Y,1.35,64.5,0.29,4,Fixed_broadband,Tamil,None,36,24273,N,Metro
2022,c5f0e422cc49,Child,Single_person,Widowed,4,N,N,Y,0.64,19.3,4.93,4,Both,Gujarati,Any,18,22468,Y,Rural
2020,1340d7547294,Sibling,Joint,Divorced,1,N,N,N,3.09,63.0,2.67,1,Fixed_broadband,Malayalam,Any,26,9604,N,Rural
2022,91e89d45083d,Spouse,Extended,Never_married,3,Y,N,Y,2.03,9.6,1.35,1,Fixed_broadband,Tamil,Any,65,20979,Y,Urban
2022,b557ad2b4b99,Other,Single_person,Divorced,0,Y,N,Y,4.44,75.0,3.17,1,Mobile_broadband,Punjabi,Any,62,28073,Y,Rural
2021,3caab2a6c3c5,Head,Joint,Never_married,1,Y,N,N,1.84,42.6,3.84,3,Fixed_broadband,Marathi,Any,14,20699,Y,Urban
2021,846b04fc1733,Spouse,Joint,Widowed,2,N,Y,N,4.88,35.3,0.94,0,Mobile_broadband,Odia,Any,60,15262,N,Urban
2025,9f9c2970bf53,Head,Joint,Separated,1,Y,Y,N,1.73,27.9,2.41,2,None,Bengali,None,41,6683,Y,Rural
2025,3a47b31ae0cc,Head,Single_person,Divorced,3,Y,N,Y,4.0,17.7,1.71,0,Fixed_broadband,Bengali,None,44,1386,Y,Urban
2019,4418886f6af0,Head,Extended,Widowed,4,N,N,N,4.47,49.1,1.05,3,None,Hindi,Any,68,26264,Y,Rural
2024,e45fae2cad99,Child,Nuclear,Widowed,1,N,Y,Y,2.31,38.5,1.46,3,None,Other,Any,24,3149,Y,Metro
2023,31d0fc066709,Sibling,Extended,Married,6,Y,Y,Y,3.09,69.8,0.61,4,None,Malayalam,None,65,8654,N,Urban
2024,50b0bea96910,Parent,Nuclear,Married,2,N,Y,N,4.11,9.9,4.74,3,Fixed_broadband,Marathi,Any,7,15006,Y,Town
2019,17d25bf1e820,Head,Extended,Never_married,1,N,Y,N,2.48,54.6,0.54,0,Fixed_broadband,Odia,None,29,13275,N,Metro
2024,cd205ca30b7d,Head,Single_person,Widowed,0,Y,N,Y,0.78,72.6,2.47,4,Mobile_broadband,Gujarati,Any,41,8220,Y,Rural
2018,c7ece5314801,Spouse,Nuclear,Separated,1,Y,Y,N,3.7,63.7,3.81,4,Mobile_broadband,Hindi,None,68,5029,N,Rural
2023,377847382cfa,Parent,Joint,Separated,2,Y,Y,Y,1.6,69.9,1.18,3,Mobile_broadband,Tamil,None,78,8986,N,Metro
2019,92e701a28ba8,Spouse,Single_person,Never_married,0,Y,N,N,2.14,7.8,4.74,1,Fixed_broadband,Hindi,Any,55,12293,N,Town
2023,8e78cb5745c5,Parent,Single_person,Never_married,6,Y,N,Y,1.42,78.3,3.14,2,Fixed_broadband,Punjabi,Any,24,26815,N,Urban
2025,1a7d5ddfff03,Head,Single_person,Separated,5,N,Y,Y,4.06,16.1,0.58,4,Both,Bengali,None,20,22975,Y,Urban
2025,51005448f55d,Other,Extended,Never_married,2,N,Y,Y,2.38,9.9,0.34,4,Fixed_broadband,Bengali,Any,78,1635,Y,Metro
2025,5dacc04b5e17,Parent,Single_person,Separated,1,N,N,N,3.04,37.6,3.1,3,Mobile_broadband,Gujarati,Any,21,2003,Y,Metro
2024,9a5bb56b7dc5,Other,Extended,Widowed,3,Y,N,Y,0.45,18.0,2.5,0,None,Telugu,Any,21,20269,N,Rural
2023,e59cf07adade,Child,Joint,Divorced,1,Y,Y,N,0.87,9.8,0.88,0,None,Tamil,None,45,7083,Y,Metro
2020,55c5066d0214,Parent,Extended,Separated,2,Y,Y,N,1.9,28.3,4.94,1,Fixed_broadband,Telugu,Any,71,1061,Y,Town
2022,88fbcf335177,Head,Single_person,Divorced,1,N,Y,N,1.77,56.3,2.3,4,Fixed_broadband,Marathi,Any,15,16129,Y,Urban
2019,b1476e812a70,Spouse,Joint,Widowed,2,Y,Y,N,2.54,6.0,2.41,4,None,Bengali,Any,76,28602,Y,Town
2024,4b830fb83b71,Head,Extended,Divorced,6,N,Y,Y,1.14,63.4,1.22,1,None,Kannada,None,41,5667,Y,Urban
2025,0659c37602a3,Parent,Extended,Divorced,0,N,Y,N,3.61,12.0,4.77,2,Mobile_broadband,Bengali,None,61,5896,N,Rural
2023,d423146c09e1,Spouse,Extended,Never_married,3,N,N,Y,2.02,44.0,1.1,0,Both,Malayalam,None,26,12026,Y,Rural
2018,75fb82311f52,Head,Extended,Divorced,0,N,N,N,2.48,66.0,3.64,1,Fixed_broadband,Odia,None,12,14297,Y,Metro
2025,9cc5f2961574,Sibling,Single_person,Divorced,4,N,Y,Y,3.53,41.2,0.39,3,Fixed_broadband,Bengali,Any,0,525,N,Town
2025,77ed69920927,Sibling,Extended,Never_married,0,N,Y,Y,4.36,56.3,1.41,1,Mobile_broadband,Malayalam,None,39,21517,N,Town
2018,6f99ee23adf7,Spouse,Nuclear,Divorced,0,N,N,Y,1.66,71.0,4.77,0,Fixed_broadband,Assamese,Any,73,23894,Y,Town
2020,ac28088ab7fd,Other,Nuclear,Never_married,0,Y,N,Y,3.89,0.6,0.75,2,Both,Telugu,None,15,28977,N,Metro
2023,bf9a85242e67,Sibling,Extended,Separated,2,Y,Y,N,2.41,30.6,3.89,0,Mobile_broadband,Odia,None,17,8265,N,Urban
2024,aa1403acbf6b,Other,Single_person,Divorced,3,N,Y,N,2.22,70.5,3.23,1,Mobile_broadband,Assamese,Any,69,25778,Y,Metro
2025,1d4851fd17ef,Head,Extended,Divorced,6,Y,Y,Y,2.58,9.9,0.86,2,Mobile_broadband,Bengali,Any,47,22287,Y,Rural
2019,ea4a9d98105e,Parent,Extended,Separated,5,N,N,N,1.83,24.9,4.29,4,Both,Bengali,None,50,25917,Y,Urban
2018,f5bf0081f5d8,Parent,Joint,Married,2,Y,Y,N,4.44,25.8,0.94,1,Fixed_broadband,Other,Any,30,9883,N,Urban
2024,45e6661ad6a6,Other,Nuclear,Widowed,3,N,Y,N,0.6,15.3,0.32,0,Both,Malayalam,None,57,9514,N,Metro
2020,f619bc1ef606,Head,Extended,Widowed,4,Y,Y,Y,1.44,5.4,0.32,1,Fixed_broadband,Gujarati,None,73,16938,N,Town
2018,04adc1e8e85c,Sibling,Nuclear,Separated,1,N,N,N,1.98,6.6,0.29,2,None,Hindi,None,9,6104,N,Rural
2024,d59faad88fc4,Other,Extended,Divorced,5,N,N,Y,1.03,47.2,1.15,4,None,Marathi,None,52,9206,N,Metro
2024,89612444c75d,Child,Extended,Divorced,4,Y,N,N,2.28,55.7,1.97,1,None,Tamil,Any,1,9402,Y,Rural
2018,52a22f790744,Parent,Joint,Divorced,2,Y,N,Y,3.86,48.1,4.66,3,Mobile_broadband,Urdu,Any,64,10473,N,Rural
2021,93d03295911d,Sibling,Nuclear,Never_married,1,Y,N,N,2.46,77.7,4.53,3,Mobile_broadband,Telugu,None,69,1676,N,Urban
2021,c04ff8b9edfe,Spouse,Nuclear,Never_married,1,N,N,Y,0.53,36.5,2.28,3,Both,Telugu,None,59,8173,N,Urban
2025,1242e07338c8,Other,Extended,Never_married,2,N,N,N,3.72,34.2,2.63,4,Both,Other,None,5,568,Y,Urban
2025,f6236a153ff0,Parent,Extended,Married,5,N,N,N,2.54,20.4,0.78,2,Mobile_broadband,Punjabi,None,47,23900,Y,Metro
2024,97a0db884325,Sibling,Joint,Separated,4,Y,Y,Y,3.63,15.0,4.37,4,None,Marathi,Any,67,16199,N,Urban
2019,8ee8f855c1eb,Sibling,Extended,Married,6,Y,Y,N,2.93,67.8,3.79,2,Mobile_broadband,Kannada,Any,20,14335,Y,Metro
2020,804f6365b980,Other,Single_person,Never_married,6,Y,Y,N,4.18,65.6,2.6,4,Fixed_broadband,Other,Any,34,29506,Y,Urban
2024,1d1cfb711939,Sibling,Nuclear,Married,5,Y,Y,N,4.59,56.0,2.21,3,Fixed_broadband,Other,None,37,6651,N,Metro
2020,a0ce14e67265,Head,Extended,Separated,4,Y,Y,Y,0.9,22.9,1.75,2,Both,Marathi,None,79,21,Y,Town
2021,241587de5c13,Child,Single_person,Divorced,5,N,N,N,4.77,64.3,0.95,4,None,Malayalam,None,56,3265,N,Urban
2023,488bc524527a,Child,Single_person,Married,1,N,Y,N,4.56,29.8,1.51,4,Fixed_broadband,Bengali,None,37,23805,N,Metro
2019,167ddddb2280,Child,Joint,Separated,6,N,N,N,1.39,75.9,1.18,2,Mobile_broadband,Hindi,Any,25,26914,N,Urban
2021,7c28a11fb35c,Sibling,Single_person,Widowed,5,N,N,N,2.06,6.6,1.54,4,None,Telugu,None,59,7416,Y,Rural
2021,a26fc02e6f9b,Head,Extended,Never_married,4,N,Y,N,0.66,30.5,4.77,0,Both,Kannada,Any,58,24403,Y,Rural
2023,e532fb43174a,Spouse,Nuclear,Never_married,1,Y,N,N,1.0,54.2,4.67,4,Mobile_broadband,Urdu,None,46,12138,N,Town
2025,73529dc9e972,Child,Joint,Divorced,0,Y,Y,N,4.67,65.8,0.73,2,None,Malayalam,None,63,14133,N,Town
2025,93202e8eb580,Spouse,Extended,Married,6,Y,N,N,4.73,69.4,3.23,1,Mobile_broadband,Tamil,None,80,10004,Y,Rural
2019,a16ee14ac0ba,Parent,Nuclear,Divorced,1,Y,Y,N,1.85,37.7,4.75,3,Both,Punjabi,Any,61,600,Y,Urban
2024,66d98df93d74,Spouse,Joint,Married,6,Y,Y,N,1.3,53.9,1.71,3,None,Assamese,Any,64,777,N,Rural
2021,19dcef1f8625,Spouse,Extended,Married,5,Y,N,Y,3.07,16.5,1.55,0,Fixed_broadband,Hindi,Any,52,14806,N,Town
2022,37591dce528c,Spouse,Nuclear,Widowed,2,N,Y,N,0.64,2.1,3.05,3,Both,Gujarati,Any,15,7636,N,Urban
2020,5ed724770ff8,Other,Nuclear,Widowed,5,Y,Y,Y,4.23,27.2,3.31,1,Both,Kannada,None,74,19754,N,Rural
2025,a5ab8e7da511,Sibling,Extended,Separated,3,Y,N,N,1.79,6.6,3.89,3,Mobile_broadband,Kannada,Any,35,14113,Y,Urban
2024,f4f77a775f49,Spouse,Joint,Widowed,5,N,Y,N,3.35,53.8,0.68,3,Fixed_broadband,Assamese,Any,49,23727,Y,Rural
2019,17eef043e648,Sibling,Joint,Divorced,0,N,Y,Y,3.17,61.7,0.28,3,Mobile_broadband,Kannada,Any,9,9200,N,Metro
2020,d74e2d29c801,Head,Extended,Divorced,2,Y,N,Y,1.46,40.5,2.94,3,Both,Hindi,None,49,16844,N,Urban
2022,effb6e09649c,Spouse,Extended,Widowed,2,Y,N,Y,2.95,61.1,1.64,1,Both,Malayalam,Any,60,15798,N,Town
2021,159c06e5403c,Other,Nuclear,Separated,5,N,N,N,4.51,55.7,3.12,0,Fixed_broadband,Punjabi,Any,72,5132,Y,Urban
2022,0e2fb628acc2,Parent,Single_person,Separated,2,Y,Y,N,0.8,15.4,3.14,3,Both,Odia,Any,62,13044,N,Rural
2024,bb9bd10be3d8,Spouse,Joint,Married,4,Y,N,Y,3.64,29.8,2.03,2,Both,Kannada,None,13,8121,Y,Metro
2020,14d01b94261e,Spouse,Nuclear,Never_married,3,N,Y,Y,2.45,79.3,4.21,4,Fixed_broadband,Marathi,None,34,5592,N,Metro
2025,3e4c2751f0b6,Other,Single_person,Widowed,1,N,Y,Y,2.04,54.3,3.91,0,Mobile_broadband,Odia,Any,32,21501,N,Rural
2024,a435cf3f5c5b,Sibling,Nuclear,Separated,4,Y,N,N,3.19,46.0,3.89,0,Both,Tamil,None,76,13101,N,Rural
2020,7165b0b3f300,Head,Nuclear,Married,2,N,N,N,4.4,63.0,4.51,4,Both,Urdu,None,65,15662,Y,Rural
2021,36b2607db568,Sibling,Single_person,Separated,5,N,Y,N,0.65,18.2,1.59,3,Both,Assamese,None,47,24995,N,Urban
2020,cb4c972d891f,Sibling,Joint,Widowed,3,Y,Y,N,2.94,14.6,2.43,2,Both,Odia,None,40,23443,Y,Town
2021,08f9213e465c,Child,Joint,Never_married,3,Y,N,N,1.4,52.5,3.75,0,Fixed_broadband,Urdu,Any,74,14288,N,Urban
2019,57e3a41d1cc9,Child,Nuclear,Divorced,2,Y,Y,N,4.66,64.4,1.82,3,Mobile_broadband,Malayalam,Any,57,3048,Y,Town
2019,cbfa1ac6d380,Head,Joint,Divorced,1,Y,Y,N,1.6,60.8,0.81,1,Mobile_broadband,Hindi,Any,32,26853,Y,Rural
2024,4d960dabfd5f,Spouse,Joint,Never_married,6,N,Y,Y,3.14,65.9,1.39,2,Fixed_broadband,Malayalam,Any,59,11580,Y,Metro
2019,d7dd2ef0fed7,Parent,Single_person,Widowed,2,N,Y,N,1.27,8.4,1.41,4,Mobile_broadband,Telugu,None,66,396,N,Rural
2022,ad25360b88c9,Child,Nuclear,Separated,1,N,N,N,4.74,51.7,0.41,0,Mobile_broadband,Odia,Any,38,9527,Y,Town
2024,dfa28bdd00fa,Child,Extended,Separated,5,Y,Y,N,3.65,77.3,1.16,1,Both,Kannada,Any,3,12858,N,Rural
2019,23b0bfeeb2d2,Child,Nuclear,Divorced,4,N,N,N,4.17,33.9,4.21,4,Mobile_broadband,Assamese,None,68,26711,Y,Town
2025,1891ffbb9ed6,Head,Single_person,Divorced,1,N,N,N,3.65,78.2,0.22,1,None,Hindi,Any,63,16040,Y,Metro
2019,5fd9c3dc02b8,Sibling,Joint,Married,3,N,N,N,1.82,41.0,4.83,1,Fixed_broadband,Kannada,Any,13,20378,N,Rural
2018,0afcf3f716a1,Parent,Joint,Married,1,N,Y,N,1.49,23.5,0.34,2,Fixed_broadband,Tamil,None,47,282,Y,Rural
2020,a0dd88f88d09,Parent,Joint,Separated,2,Y,Y,N,4.27,30.2,2.86,1,None,Punjabi,Any,66,26481,N,Metro
2018,86611a863470,Spouse,Extended,Widowed,0,Y,Y,Y,1.76,58.0,2.73,4,None,Bengali,Any,35,10684,N,Rural
2021,a61805957352,Head,Single_person,Widowed,1,Y,N,Y,3.84,37.1,4.39,4,Fixed_broadband,Kannada,Any,70,5266,N,Urban
2020,c708fe011b6c,Other,Extended,Never_married,6,N,N,Y,3.32,36.6,4.97,4,Fixed_broadband,Odia,Any,3,29233,N,Rural
2021,fed8718aa32f,Parent,Nuclear,Divorced,2,N,N,Y,0.92,76.7,1.11,4,Both,Assamese,Any,59,27898,N,Rural
2025,91feffba72bd,Sibling,Extended,Widowed,4,N,N,Y,4.8,28.9,1.88,4,Both,Telugu,None,14,15437,N,Rural
2024,8a938d840de0,Spouse,Nuclear,Divorced,3,N,Y,Y,3.73,9.2,4.48,1,Fixed_broadband,Telugu,Any,2,27043,Y,Town
2019,b325f18abc8b,Head,Joint,Widowed,2,Y,Y,Y,1.63,19.8,2.94,3,Both,Bengali,Any,55,19058,N,Town
2020,e40e5d61d050,Head,Nuclear,Married,3,Y,N,Y,2.91,8.5,2.2,2,None,Hindi,Any,27,12555,N,Town
2019,92c709bc18d1,Head,Nuclear,Separated,6,N,Y,N,2.75,73.8,4.04,3,None,Gujarati,Any,56,18064,N,Urban
2021,ad3343be216a,Spouse,Nuclear,Married,0,Y,N,N,3.91,45.6,0.61,0,Fixed_broadband,Malayalam,Any,67,15319,N,Metro
2025,d8cb0480e957,Other,Joint,Separated,4,N,Y,Y,2.32,50.1,3.92,0,Mobile_broadband,Bengali,Any,33,19583,Y,Town
2025,df8cbb6dc1d9,Head,Nuclear,Never_married,1,Y,Y,N,0.68,44.1,0.3,2,Fixed_broadband,Kannada,Any,0,4298,Y,Rural
2021,bdc842e0e227,Parent,Joint,Separated,2,N,N,Y,4.46,47.6,3.19,3,Mobile_broadband,Telugu,None,37,17877,Y,Rural
2020,286e23b61296,Sibling,Single_person,Divorced,2,N,Y,N,4.81,60.4,0.23,3,Both,Other,Any,18,10601,Y,Urban
2024,82282e1851f2,Sibling,Single_person,Widowed,1,Y,Y,N,0.89,72.7,1.59,4,Both,Odia,Any,19,25434,Y,Town
2024,d209f28773f4,Other,Extended,Separated,2,Y,N,Y,2.6,37.3,4.18,2,None,Bengali,Any,68,13344,Y,Town
2024,6960dff6e34d,Parent,Joint,Widowed,1,N,Y,N,1.48,65.9,4.6,3,Both,Malayalam,Any,57,22909,N,Town
2022,43ccc63af3aa,Other,Joint,Separated,3,N,N,Y,3.04,47.3,0.34,0,Fixed_broadband,Hindi,None,23,15778,N,Urban
2020,4c5ea83a4417,Parent,Single_person,Never_married,4,N,N,N,4.67,47.2,2.66,0,Fixed_broadband,Other,Any,65,11016,N,Urban
2023,e3eb99db4ace,Parent,Nuclear,Never_married,0,Y,Y,Y,4.97,31.0,1.47,1,Fixed_broadband,Malayalam,Any,46,23194,N,Urban
2021,46d57cb4e0dc,Sibling,Single_person,Married,0,N,Y,Y,2.36,15.3,0.79,4,Mobile_broadband,Assamese,Any,65,19792,N,Town
2024,ebcb9dd9b27a,Head,Nuclear,Widowed,2,N,N,N,1.71,28.5,4.98,4,Fixed_broadband,Hindi,None,35,4091,Y,Urban
2022,f1892fda8a21,Other,Joint,Separated,4,Y,N,Y,1.94,78.7,2.83,4,Mobile_broadband,Marathi,Any,23,4556,N,Metro
2018,289156070e33,Head,Single_person,Married,4,N,N,N,4.04,15.3,4.32,2,Both,Tamil,Any,36,15567,N,Metro
2020,bedc0d9a0d7d,Other,Nuclear,Never_married,0,N,Y,N,2.72,22.1,3.86,4,Fixed_broadband,Hindi,Any,5,6884,N,Town
2024,507cc3b8ee18,Sibling,Single_person,Divorced,5,Y,Y,N,4.76,54.8,3.09,2,Both,Gujarati,Any,29,6164,Y,Metro
2019,5c85b74e47a8,Head,Nuclear,Married,1,Y,N,N,3.21,55.1,1.49,0,Both,Urdu,Any,32,7210,Y,Town
2025,c58ad7883392,Child,Single_person,Widowed,3,Y,Y,N,2.91,38.4,2.4,4,Both,Urdu,None,64,18894,N,Rural
2024,9df1db8007c2,Child,Joint,Never_married,1,Y,Y,N,1.54,74.8,3.75,3,Fixed_broadband,Telugu,None,58,6451,Y,Town
2022,9b2b5aa30f08,Other,Joint,Separated,2,Y,Y,Y,0.74,16.7,3.29,0,Fixed_broadband,Tamil,Any,57,7786,Y,Metro
2020,40751e76e8d9,Other,Nuclear,Never_married,1,N,N,N,3.69,15.0,3.58,0,Fixed_broadband,Telugu,Any,38,8227,Y,Metro
2025,cb1b82a1188b,Parent,Joint,Widowed,3,Y,Y,Y,0.76,46.4,0.33,1,Mobile_broadband,Telugu,None,76,779,N,Urban
2019,731b71d0d963,Spouse,Single_person,Divorced,1,N,Y,Y,1.77,60.5,3.75,2,Fixed_broadband,Punjabi,None,8,4377,N,Urban
2021,b94f0890fff0,Sibling,Single_person,Separated,3,N,Y,N,0.2,0.7,1.13,0,Both,Kannada,Any,30,19007,Y,Urban
2021,9d6041eff7b6,Sibling,Joint,Married,6,N,Y,N,2.14,28.3,2.26,3,None,Hindi,Any,59,10660,Y,Metro
2022,27faa21289f8,Spouse,Extended,Married,1,Y,N,N,4.04,52.3,1.74,1,Fixed_broadband,Punjabi,None,15,15348,N,Metro
2021,b64619087d5d,Other,Joint,Separated,2,N,Y,Y,1.19,32.9,0.53,2,Mobile_broadband,Telugu,Any,32,15644,N,Rural
2019,0ad4b86b4e98,Spouse,Joint,Widowed,2,N,Y,N,4.45,62.2,1.6,4,Both,Telugu,Any,7,25925,N,Urban
2024,3d6677a1b8cc,Sibling,Nuclear,Never_married,4,N,N,Y,2.26,50.6,1.81,0,Both,Malayalam,Any,10,19715,Y,Town
2021,1f1e3435dd9d,Head,Joint,Married,2,N,Y,Y,4.51,40.9,2.47,3,None,Malayalam,None,12,29261,Y,Town
2019,d0bdcff547d9,Head,Joint,Widowed,2,N,Y,N,0.34,13.3,1.25,3,Fixed_broadband,Assamese,Any,28,25696,Y,Metro
2024,5ff16e80898f,Head,Single_person,Widowed,2,Y,Y,N,3.08,36.2,2.39,1,Mobile_broadband,Hindi,None,61,5658,Y,Urban
2018,7e0b90c84653,Head,Single_person,Divorced,3,Y,N,Y,2.14,46.5,2.5,2,None,Punjabi,Any,18,3066,Y,Metro
2021,4558d4c05e8e,Other,Nuclear,Married,6,N,Y,N,2.64,36.8,1.4,0,Both,Odia,None,1,2638,N,Rural
2021,f0d4bce9fc58,Head,Extended,Divorced,3,Y,N,Y,4.74,23.7,2.47,4,Fixed_broadband,Punjabi,Any,27,5211,N,Town
2019,15a771c52ab2,Child,Nuclear,Widowed,1,Y,Y,N,2.95,9.1,1.31,3,Fixed_broadband,Punjabi,Any,78,8072,N,Urban
2022,ebe58692ee3f,Other,Joint,Married,0,N,N,N,4.2,45.5,1.72,0,Mobile_broadband,Urdu,None,55,16022,N,Urban
2025,1ccdfa6bc47e,Parent,Single_person,Married,2,Y,Y,N,4.1,19.2,3.12,0,Mobile_broadband,Other,Any,72,20629,N,Town
2023,8752a29b6962,Sibling,Single_person,Separated,4,N,N,Y,1.42,63.0,3.15,2,Mobile_broadband,Malayalam,None,67,8152,N,Town
2021,a4759f442694,Other,Joint,Divorced,3,N,N,Y,3.44,24.3,3.64,2,Fixed_broadband,Punjabi,None,27,11577,N,Metro
2025,223de036b623,Parent,Single_person,Widowed,0,Y,Y,N,3.93,12.7,1.41,0,None,Odia,Any,71,571,N,Rural
2023,0dcdab8d9daa,Spouse,Nuclear,Separated,1,N,N,Y,3.92,52.4,2.09,3,Fixed_broadband,Kannada,None,30,17408,Y,Rural
2025,2fead55fb4f7,Parent,Nuclear,Widowed,5,Y,Y,N,2.73,35.5,3.97,3,Both,Marathi,Any,60,3593,Y,Metro
2025,c017d0216c06,Parent,Joint,Never_married,3,N,Y,Y,0.34,74.2,1.31,2,Both,Odia,Any,79,21869,N,Town
2021,3f6de900ddef,Child,Extended,Never_married,5,Y,Y,Y,3.78,39.0,2.57,4,Both,Other,Any,72,5861,N,Metro
2025,acb7ad99d005,Head,Single_person,Widowed,4,N,N,Y,0.92,69.2,1.98,4,Mobile_broadband,Punjabi,Any,69,9159,N,Town
2025,a71e14589d97,Other,Single_person,Widowed,4,N,Y,N,2.17,23.0,0.74,1,Fixed_broadband,Assamese,Any,35,25073,Y,Town
2020,172add439080,Parent,Nuclear,Divorced,2,Y,N,N,0.51,6.9,3.37,1,Mobile_broadband,Odia,Any,27,7880,N,Metro
2021,ebb82da43dd9,Child,Extended,Married,1,N,Y,Y,4.82,76.4,0.2,4,Both,Marathi,Any,55,26140,Y,Rural
2024,d062f09eb07d,Sibling,Extended,Married,0,Y,Y,Y,3.45,1.7,1.63,4,None,Hindi,Any,78,22786,Y,Metro
2024,ea139e4a8d92,Spouse,Nuclear,Never_married,0,N,Y,Y,2.45,53.1,1.61,2,Both,Marathi,None,16,21161,Y,Urban
2022,d9de7b65bf31,Other,Joint,Divorced,3,Y,N,Y,3.59,50.4,3.1,3,None,Punjabi,None,65,15040,Y,Rural
2019,4b5ba8954610,Parent,Nuclear,Separated,6,N,Y,Y,2.58,36.9,1.06,0,Mobile_broadband,Bengali,Any,40,817,Y,Urban
2019,2376384efa88,Head,Joint,Divorced,3,Y,N,N,4.02,20.3,1.08,2,None,Malayalam,None,14,21863,Y,Urban
2020,a6ea3056a59a,Spouse,Nuclear,Divorced,3,Y,N,N,0.59,43.1,2.51,1,Fixed_broadband,Telugu,None,49,8579,Y,Metro
2023,4b7aae46e78c,Head,Single_person,Divorced,0,Y,Y,N,1.57,28.4,0.44,1,None,Tamil,Any,63,13785,N,Metro
2018,bea8ee5534fe,Spouse,Nuclear,Never_married,6,N,Y,Y,2.78,48.8,0.94,1,Both,Kannada,None,19,7987,Y,Town
2023,7d7bdc176533,Child,Joint,Widowed,0,N,N,Y,4.2,64.3,4.26,1,Both,Malayalam,Any,54,16896,N,Metro
2018,80e2c5601f09,Parent,Single_person,Married,3,N,N,Y,4.16,57.1,2.11,1,Both,Gujarati,Any,75,25228,Y,Urban
2021,0bdd154435b2,Sibling,Joint,Never_married,6,Y,Y,Y,3.38,14.8,0.96,3,None,Hindi,None,55,9774,N,Metro
2023,82bd120a7adb,Sibling,Extended,Widowed,0,N,Y,Y,2.35,2.9,3.67,2,Fixed_broadband,Hindi,None,74,2392,N,Town
2025,cd59c524e4a7,Other,Extended,Divorced,5,N,N,N,1.6,13.3,2.08,2,Fixed_broadband,Hindi,None,43,23243,N,Urban
2023,cf1be21d62b7,Child,Extended,Married,1,Y,N,Y,2.74,68.4,1.16,1,None,Gujarati,None,50,29403,Y,Town
2020,4f7658c81710,Spouse,Nuclear,Divorced,2,N,Y,Y,3.06,76.0,2.15,3,Fixed_broadband,Telugu,Any,8,15057,N,Metro
2024,8e6261ed38f1,Spouse,Single_person,Separated,2,N,N,Y,2.1,38.0,4.56,2,Both,Malayalam,None,15,12506,Y,Urban
2023,b2b8d4eb36de,Head,Nuclear,Never_married,5,N,N,N,2.93,68.2,3.8,4,Fixed_broadband,Hindi,None,79,28747,N,Rural
2018,5fd9a7fdda97,Parent,Nuclear,Divorced,5,N,Y,N,2.6,48.0,1.87,1,None,Other,None,68,22381,Y,Town
2020,0193e67248b5,Child,Joint,Widowed,3,Y,Y,N,1.01,4.6,1.15,1,Both,Kannada,None,16,1469,Y,Town
2021,f871219c81b5,Head,Extended,Married,3,Y,N,Y,2.29,74.9,1.08,1,Mobile_broadband,Telugu,None,80,10111,Y,Metro
2020,6a4d299721f5,Head,Single_person,Widowed,2,N,Y,Y,2.12,30.2,1.9,0,Both,Malayalam,Any,66,1889,Y,Urban
2023,547978295192,Child,Nuclear,Widowed,4,Y,N,N,4.29,55.4,4.63,2,Mobile_broadband,Punjabi,Any,34,11883,Y,Town
