tech_opendata_reference_year,tech_opendata_country_iso2,tech_opendata_open_data_maturity_score,tech_opendata_open_by_default_policy_flag,tech_opendata_public_sector_info_directive_compliance_flag,tech_opendata_high_value_datasets_published_count,tech_opendata_api_endpoints_count,tech_opendata_machine_readable_share_pct,tech_opendata_metadata_dc_at_ap_compliance_pct,tech_opendata_licensing_standard_code,tech_opendata_reuse_cases_count,tech_opendata_digital_identity_eidas_level,tech_opendata_eudi_wallet_ready_flag,tech_opendata_cross_border_service_usage_count,tech_opendata_interoperability_framework_adoption_pct,tech_opendata_data_spaces_participation_flag,tech_opendata_gaia_x_alignment_flag,tech_opendata_data_governance_act_compliance_flag,tech_opendata_data_act_compliance_flag,tech_opendata_data_extract_date
2015,MT,45.44,0,1,101,524,77.55,68.08,CC_BY_4_0,780,LOW,0,1963,18.22,1,0,1,1,2025-05-25
2016,SK,62.66,1,1,31,660,80.85,45.39,ODC_BY,561,HIGH,1,3244,31.22,1,0,0,1,2024-11-16
2017,BE,57.1,1,0,80,608,78.44,81.48,OTHER,861,SUBSTANTIAL,0,1815,34.18,0,0,1,1,2025-02-14
2018,DK,89.77,0,1,60,703,37.55,95.23,CC0_1_0,957,LOW,0,1743,55.0,1,0,1,1,2024-04-17
2019,GR,88.71,1,1,48,756,70.11,95.77,EU_PSI_STANDARD,933,HIGH,0,739,29.22,1,0,1,0,2024-05-16
2020,LT,57.79,1,1,95,699,43.19,63.64,CC_BY_4_0,528,SUBSTANTIAL,1,588,26.31,1,0,0,1,2025-04-11
2021,PT,20.58,1,1,98,650,56.45,48.08,ODC_BY,869,LOW,0,3468,67.27,1,0,0,0,2024-10-10
2022,SE,56.94,1,1,62,731,58.86,51.8,OTHER,700,HIGH,0,724,22.23,0,0,0,0,2025-01-09
2023,CY,78.74,0,1,80,641,92.78,80.03,CC0_1_0,1001,SUBSTANTIAL,0,1341,38.29,1,0,0,0,2024-08-22
2024,FR,63.53,0,1,94,691,82.89,74.85,EU_PSI_STANDARD,904,LOW,1,4026,82.03,0,1,0,0,2024-04-01
2025,IT,33.2,0,1,60,669,60.27,87.41,CC_BY_4_0,762,HIGH,0,2141,18.59,1,0,0,1,2025-05-27
2026,NL,62.88,1,0,57,552,79.42,70.71,ODC_BY,703,SUBSTANTIAL,1,2252,95.33,1,0,0,0,2024-03-07
2014,SI,76.38,1,0,41,546,48.68,54.35,OTHER,890,LOW,0,1706,89.59,0,1,1,1,2025-02-25
2015,BG,57.06,1,0,73,558,44.49,47.95,CC0_1_0,863,HIGH,1,2462,81.02,0,1,1,0,2024-01-08
2016,EE,85.57,1,1,40,764,36.43,98.0,EU_PSI_STANDARD,579,SUBSTANTIAL,1,1368,41.93,0,1,0,0,2025-09-03
2017,HU,33.09,1,1,75,529,35.03,49.19,CC_BY_4_0,776,LOW,0,3806,38.1,0,1,1,1,2025-04-10
2018,LU,51.36,0,1,67,642,81.79,67.36,ODC_BY,827,HIGH,1,1018,31.06,0,1,1,1,2025-08-22
2019,RO,31.75,1,1,110,606,94.14,52.29,OTHER,1000,SUBSTANTIAL,0,3664,40.97,0,0,0,1,2024-04-01
2020,AT,51.22,1,1,62,554,57.27,55.78,CC0_1_0,722,LOW,0,3490,78.52,0,0,1,0,2026-01-02
2021,CZ,23.24,1,1,91,732,56.58,63.75,EU_PSI_STANDARD,816,HIGH,1,659,42.84,0,0,1,1,2025-11-13
2022,DE,40.79,1,1,88,562,35.54,96.41,CC_BY_4_0,833,SUBSTANTIAL,0,1344,48.31,0,1,0,1,2024-10-08
2023,LV,83.64,0,1,115,683,85.49,66.34,ODC_BY,981,LOW,0,2728,32.69,1,0,1,1,2025-05-05
2024,PL,28.14,0,1,68,658,63.74,92.73,OTHER,994,HIGH,1,1107,64.04,1,0,1,0,2024-06-25
2025,ES,91.03,1,0,72,565,94.46,93.01,CC0_1_0,528,SUBSTANTIAL,1,1975,23.37,0,0,1,1,2024-01-25
2026,HR,40.83,1,1,121,602,42.01,88.16,EU_PSI_STANDARD,936,LOW,0,527,59.05,0,0,0,0,2025-10-01
2014,FI,74.1,0,1,65,731,70.45,84.93,CC_BY_4_0,641,HIGH,1,1969,81.44,1,1,1,1,2025-05-04
2015,IE,33.26,1,1,87,645,67.43,53.1,ODC_BY,650,SUBSTANTIAL,1,3045,18.82,0,0,1,1,2024-02-10
2016,MT,46.63,0,1,104,722,63.31,82.25,OTHER,540,LOW,0,3868,27.65,1,0,1,1,2025-11-05
2017,SK,54.42,1,1,115,754,82.18,87.98,CC0_1_0,842,HIGH,1,2615,61.62,0,0,1,1,2025-03-15
2018,BE,61.94,0,1,99,629,39.77,69.43,EU_PSI_STANDARD,863,SUBSTANTIAL,1,3689,60.5,0,1,1,0,2025-02-07
2019,DK,69.48,1,1,56,686,42.06,75.62,CC_BY_4_0,653,LOW,0,3010,80.2,0,0,0,1,2025-03-25
2020,GR,66.85,0,0,104,578,76.97,83.43,ODC_BY,886,HIGH,0,2262,73.32,1,0,1,1,2025-07-05
2021,LT,91.06,1,1,126,739,87.5,71.91,OTHER,826,SUBSTANTIAL,0,4495,54.0,1,0,0,1,2024-05-19
2022,PT,61.49,0,1,126,692,90.53,58.3,CC0_1_0,929,LOW,1,1620,71.92,1,1,0,0,2024-01-11
2023,SE,65.05,0,1,94,618,81.67,79.72,EU_PSI_STANDARD,825,HIGH,1,3112,87.54,1,0,1,1,2024-07-19
2024,CY,86.95,1,1,119,693,40.04,96.33,CC_BY_4_0,592,SUBSTANTIAL,1,4368,25.04,0,0,0,0,2025-12-13
2025,FR,84.29,1,1,91,593,39.56,65.29,ODC_BY,548,LOW,1,1558,87.94,1,0,0,1,2024-12-15
2026,IT,72.67,0,1,99,661,51.59,67.37,OTHER,903,HIGH,1,2799,58.91,0,0,1,0,2025-09-12
2014,NL,29.99,0,1,137,587,76.93,77.63,CC0_1_0,849,SUBSTANTIAL,1,1187,69.2,1,0,1,1,2024-04-25
2015,SI,26.8,1,1,125,780,44.18,40.48,EU_PSI_STANDARD,997,LOW,0,2094,19.28,1,0,0,1,2025-11-26
2016,BG,62.49,1,0,94,766,73.24,77.37,CC_BY_4_0,940,HIGH,0,2663,79.41,0,0,0,1,2025-06-19
2017,EE,92.71,0,1,71,722,44.13,57.13,ODC_BY,693,SUBSTANTIAL,1,664,59.89,0,0,1,0,2024-03-21
2018,HU,27.55,1,1,111,652,37.6,84.5,OTHER,916,LOW,0,4093,62.79,0,0,0,1,2025-09-10
2019,LU,34.87,1,1,143,762,65.75,68.81,CC0_1_0,599,HIGH,1,1303,69.66,0,1,1,1,2025-08-05
2020,RO,65.04,0,0,104,787,80.42,75.49,EU_PSI_STANDARD,937,SUBSTANTIAL,1,2790,80.93,1,0,1,1,2025-07-24
2021,AT,93.5,1,1,76,617,56.55,98.59,CC_BY_4_0,578,LOW,0,1865,29.8,0,0,1,0,2025-08-02
2022,CZ,67.83,0,1,96,715,47.89,69.87,ODC_BY,758,HIGH,1,1909,81.86,1,0,1,0,2024-08-27
2023,DE,62.81,1,1,95,607,65.1,49.43,OTHER,673,SUBSTANTIAL,1,2672,76.99,1,0,0,1,2026-02-21
2024,LV,20.22,1,1,128,567,72.65,43.32,CC0_1_0,894,LOW,0,580,90.28,1,0,0,1,2025-05-14
2025,PL,35.87,1,1,85,672,83.7,42.58,EU_PSI_STANDARD,945,HIGH,0,2323,73.04,1,0,1,1,2024-01-27
2026,ES,79.76,0,1,112,757,38.83,62.0,CC_BY_4_0,1028,SUBSTANTIAL,1,3593,49.17,1,1,0,0,2025-03-01
2014,HR,26.92,0,0,142,800,63.61,80.59,ODC_BY,879,LOW,1,2101,63.94,1,0,0,0,2025-07-14
2015,FI,42.9,1,0,123,661,96.37,74.58,OTHER,690,HIGH,1,2816,43.56,1,1,1,0,2025-05-18
2016,IE,79.54,1,1,144,755,40.03,59.41,CC0_1_0,961,SUBSTANTIAL,1,2543,49.56,0,0,1,0,2024-06-18
2017,MT,65.25,1,1,133,814,76.77,84.67,EU_PSI_STANDARD,831,LOW,0,3032,76.46,0,0,0,1,2024-10-21
2018,SK,49.71,1,0,126,811,92.16,64.17,CC_BY_4_0,761,HIGH,1,2775,88.09,1,0,0,0,2025-01-29
2019,BE,26.47,0,0,123,793,43.68,88.46,ODC_BY,711,SUBSTANTIAL,1,1433,77.64,0,0,1,1,2025-06-30
2020,DK,63.81,0,1,106,794,36.41,94.09,OTHER,662,LOW,1,3466,73.89,1,0,0,0,2025-07-06
2021,GR,38.13,0,1,161,816,37.07,63.9,CC0_1_0,751,HIGH,1,3617,86.87,0,1,1,0,2024-08-22
2022,LT,70.63,0,1,115,688,87.21,79.86,EU_PSI_STANDARD,884,SUBSTANTIAL,1,3543,56.28,0,1,1,1,2024-08-30
2023,PT,73.76,1,1,140,818,66.4,68.83,CC_BY_4_0,815,LOW,0,3684,70.12,1,0,0,0,2024-10-18
2024,SE,62.22,1,0,108,799,36.62,91.35,ODC_BY,586,HIGH,1,1368,57.48,1,0,1,0,2024-08-30
2025,CY,58.54,1,0,102,624,86.46,57.55,OTHER,631,SUBSTANTIAL,0,3268,27.57,0,0,0,1,2026-02-11
2026,FR,46.18,0,1,111,622,52.04,85.16,CC0_1_0,778,LOW,0,4527,42.28,1,0,1,1,2024-07-13
2014,IT,83.66,0,1,160,786,88.8,97.77,EU_PSI_STANDARD,988,HIGH,1,3657,90.58,0,1,0,0,2025-02-21
2015,NL,48.34,1,1,137,783,81.7,76.27,CC_BY_4_0,731,SUBSTANTIAL,1,2202,60.66,0,0,1,0,2025-06-22
2016,SI,50.24,1,1,160,612,94.27,81.47,ODC_BY,767,LOW,0,2125,70.87,1,0,0,1,2025-12-20
2017,BG,41.03,1,0,166,580,43.32,86.23,OTHER,973,HIGH,0,2810,42.26,0,1,1,0,2024-07-23
2018,EE,72.11,1,1,159,782,88.34,86.03,CC0_1_0,1019,SUBSTANTIAL,0,1463,22.44,1,0,1,1,2025-12-27
2019,HU,76.21,1,1,164,579,82.21,75.58,EU_PSI_STANDARD,753,LOW,0,610,35.0,0,0,1,1,2024-03-30
2020,LU,70.08,1,1,165,757,50.26,42.14,CC_BY_4_0,772,HIGH,1,1743,75.8,0,0,0,0,2025-09-11
2021,RO,83.77,1,0,119,641,62.63,96.72,ODC_BY,977,SUBSTANTIAL,1,4237,20.33,1,0,1,1,2024-06-24
2022,AT,68.12,0,1,106,637,66.95,92.86,OTHER,768,LOW,0,4225,23.17,0,0,1,1,2025-07-02
2023,CZ,51.73,0,1,168,829,79.57,66.48,CC0_1_0,744,HIGH,0,1686,48.38,1,0,1,1,2025-12-04
2024,DE,27.32,1,0,103,695,95.18,45.5,EU_PSI_STANDARD,618,SUBSTANTIAL,1,2699,46.92,1,1,0,1,2024-02-06
2025,LV,65.1,1,1,114,619,59.27,89.81,CC_BY_4_0,1063,LOW,0,2973,76.08,0,0,0,1,2024-02-16
2026,PL,75.83,1,0,177,764,36.89,41.22,ODC_BY,947,HIGH,0,3144,68.67,0,1,1,1,2024-10-29
2014,ES,55.13,1,1,138,829,42.62,83.07,OTHER,841,SUBSTANTIAL,1,1255,27.42,0,0,0,1,2024-07-18
2015,HR,54.7,1,1,126,629,71.59,96.25,CC0_1_0,915,LOW,0,1928,22.08,0,1,1,1,2026-02-21
2016,FI,42.93,1,1,180,633,69.97,74.61,EU_PSI_STANDARD,836,HIGH,1,1721,65.67,0,0,1,1,2024-09-06
2017,IE,90.14,1,1,165,623,56.95,62.84,CC_BY_4_0,668,SUBSTANTIAL,1,2931,50.41,1,1,0,0,2024-10-09
2018,MT,88.64,1,1,161,669,86.64,49.55,ODC_BY,718,LOW,0,2156,86.08,1,0,0,1,2024-10-07
2019,SK,69.6,0,0,175,688,62.26,49.16,OTHER,620,HIGH,1,2992,40.09,0,0,0,1,2025-03-02
2020,BE,37.32,1,1,158,799,42.36,48.41,CC0_1_0,812,SUBSTANTIAL,0,3865,71.34,1,1,1,1,2024-09-06
2021,DK,52.93,1,1,177,650,77.7,48.72,EU_PSI_STANDARD,652,LOW,0,4110,90.2,1,0,0,1,2024-09-15
2022,GR,52.48,1,0,168,809,91.19,66.2,CC_BY_4_0,911,HIGH,0,2805,49.08,1,0,0,0,2025-09-10
2023,LT,91.32,0,1,111,662,63.26,61.05,ODC_BY,698,SUBSTANTIAL,0,2371,70.19,0,0,1,0,2025-06-30
2024,PT,54.42,1,1,173,622,74.24,97.06,OTHER,792,LOW,0,4489,88.49,1,1,0,1,2024-05-27
2025,SE,41.53,1,0,138,775,95.07,48.28,CC0_1_0,869,HIGH,1,4168,65.54,1,0,1,1,2025-05-11
2026,CY,90.64,1,0,130,625,47.9,91.8,EU_PSI_STANDARD,762,SUBSTANTIAL,0,1047,30.88,1,1,0,0,2025-11-18
2014,FR,33.42,1,1,184,678,65.76,85.26,CC_BY_4_0,903,LOW,0,2633,72.37,1,1,1,1,2024-07-15
2015,IT,74.16,1,1,140,797,38.89,45.76,ODC_BY,765,HIGH,1,3722,59.1,0,1,0,1,2025-04-28
2016,NL,80.84,0,1,129,677,91.7,83.61,OTHER,873,SUBSTANTIAL,1,3246,80.32,1,1,0,1,2025-10-28
2017,SI,25.58,0,1,148,650,87.44,85.21,CC0_1_0,812,LOW,0,2021,29.43,1,0,1,1,2024-10-08
2018,BG,84.76,0,1,176,812,74.78,61.1,EU_PSI_STANDARD,1071,HIGH,0,2159,60.43,1,0,0,0,2025-05-19
2019,EE,77.09,0,1,195,699,90.23,61.15,CC_BY_4_0,735,SUBSTANTIAL,1,2490,90.88,0,0,1,1,2025-02-19
2020,HU,25.21,1,1,144,654,57.74,84.16,ODC_BY,1068,LOW,0,686,90.18,1,0,0,0,2025-11-16
2021,LU,79.37,1,1,166,699,58.54,70.64,OTHER,763,HIGH,0,3208,37.36,1,0,0,0,2024-12-09
2022,RO,44.96,1,0,173,682,69.44,68.24,CC0_1_0,663,SUBSTANTIAL,0,2602,34.22,1,1,0,1,2026-02-14
2023,AT,50.44,0,0,162,763,66.53,80.12,EU_PSI_STANDARD,1065,LOW,1,3938,90.31,0,1,0,1,2025-09-07
2024,CZ,82.57,0,1,147,823,60.93,84.62,CC_BY_4_0,1087,HIGH,1,842,31.38,1,0,0,0,2026-02-02
2025,DE,44.02,1,0,179,808,91.46,56.8,ODC_BY,690,SUBSTANTIAL,0,2793,61.09,0,0,0,1,2026-01-19
2026,LV,91.52,1,0,135,855,48.21,54.56,OTHER,650,LOW,0,3266,51.51,1,1,1,1,2024-02-17
2014,PL,89.42,1,1,134,740,56.12,51.42,CC0_1_0,1048,HIGH,0,1826,79.14,0,1,0,1,2025-07-25
2015,ES,31.49,1,1,157,646,89.66,97.46,EU_PSI_STANDARD,956,SUBSTANTIAL,1,1210,64.01,1,0,1,0,2024-06-20
2016,HR,77.64,1,1,153,762,68.61,49.82,CC_BY_4_0,827,LOW,0,4132,25.36,1,0,1,1,2025-12-14
2017,FI,33.26,1,0,185,720,93.63,70.43,ODC_BY,818,HIGH,1,2993,69.4,1,0,1,1,2025-07-20
2018,IE,64.57,1,1,209,747,68.33,48.43,OTHER,1086,SUBSTANTIAL,1,1803,19.29,0,0,1,0,2025-02-28
2019,MT,73.59,1,0,198,796,83.78,79.69,CC0_1_0,932,LOW,0,3963,21.99,0,0,0,0,2024-06-28
2020,SK,45.93,1,1,175,869,91.91,96.3,EU_PSI_STANDARD,1068,HIGH,1,3017,44.26,0,1,1,1,2024-03-02
2021,BE,52.72,1,1,194,857,83.62,82.1,CC_BY_4_0,653,SUBSTANTIAL,1,2304,71.36,0,1,1,1,2025-07-24
2022,DK,75.74,0,1,146,865,40.9,45.21,ODC_BY,670,LOW,0,1830,41.57,1,0,0,0,2025-02-04
2023,GR,73.3,1,1,158,789,61.96,44.64,OTHER,899,HIGH,1,3283,34.22,0,0,1,1,2025-05-04
2024,LT,68.75,0,0,213,740,62.34,80.71,CC0_1_0,961,SUBSTANTIAL,1,1020,37.45,0,0,1,1,2025-03-24
2025,PT,58.27,0,1,153,629,70.43,71.87,EU_PSI_STANDARD,855,LOW,0,2959,47.05,1,0,1,0,2025-07-02
2026,SE,71.63,1,1,161,648,91.72,50.61,CC_BY_4_0,889,HIGH,1,2249,75.01,1,1,1,1,2025-11-28
2014,CY,88.45,1,0,200,800,77.32,51.62,ODC_BY,1078,SUBSTANTIAL,1,4443,60.3,0,1,0,0,2024-10-04
2015,FR,57.99,1,1,222,664,60.18,72.03,OTHER,850,LOW,0,3766,59.08,1,1,0,0,2024-05-05
2016,IT,84.64,0,1,143,846,56.97,59.99,CC0_1_0,972,HIGH,1,1446,65.43,1,0,0,1,2024-12-09
2017,NL,79.56,0,1,186,682,80.27,79.64,EU_PSI_STANDARD,749,SUBSTANTIAL,0,988,91.91,1,0,0,0,2024-05-05
2018,SI,75.89,1,1,175,831,73.05,86.56,CC_BY_4_0,905,LOW,1,1287,91.15,1,1,1,0,2025-02-10
2019,BG,63.93,1,1,214,673,90.32,67.42,ODC_BY,899,HIGH,1,3410,54.62,0,1,1,1,2024-05-06
2020,EE,93.07,1,1,158,852,64.62,96.24,OTHER,634,SUBSTANTIAL,0,1937,64.75,0,0,0,1,2025-01-25
2021,HU,79.79,1,1,156,761,90.4,44.7,CC0_1_0,924,LOW,0,3275,44.43,0,0,0,1,2025-10-23
2022,LU,42.31,1,1,181,674,47.04,87.72,EU_PSI_STANDARD,655,HIGH,1,4421,24.42,1,0,1,1,2026-02-13
2023,RO,38.22,1,1,167,735,95.65,85.71,CC_BY_4_0,753,SUBSTANTIAL,1,4045,41.87,1,0,1,1,2025-08-11
2024,AT,33.59,1,1,172,701,59.05,92.12,ODC_BY,770,LOW,0,849,90.5,0,0,0,0,2024-05-15
2025,CZ,94.79,1,1,188,854,43.75,51.13,OTHER,1078,HIGH,1,1558,81.53,1,0,1,1,2024-01-27
2026,DE,27.05,0,1,204,789,47.66,90.24,CC0_1_0,737,SUBSTANTIAL,1,3736,49.09,1,0,0,1,2026-02-19
2014,LV,47.44,1,1,163,717,79.61,69.05,EU_PSI_STANDARD,1062,LOW,0,2248,46.35,1,1,1,1,2024-08-05
2015,PL,80.49,0,1,196,871,53.26,93.47,CC_BY_4_0,1010,HIGH,1,3567,42.21,1,0,0,0,2024-09-13
2016,ES,52.5,1,1,202,800,66.1,68.88,ODC_BY,927,SUBSTANTIAL,0,1003,60.02,0,0,1,0,2024-07-20
2017,HR,77.85,0,1,222,821,39.36,63.35,OTHER,1114,LOW,0,1100,94.84,1,0,1,0,2026-01-13
2018,FI,25.44,1,0,202,660,55.79,54.04,CC0_1_0,928,HIGH,1,1450,82.41,0,0,0,1,2024-03-31
2019,IE,25.76,0,1,202,786,38.05,61.74,EU_PSI_STANDARD,896,SUBSTANTIAL,1,3197,86.46,0,0,0,1,2026-02-09
2020,MT,29.06,1,1,200,793,52.56,79.42,CC_BY_4_0,830,LOW,0,974,31.43,0,0,1,0,2024-10-21
2021,SK,50.04,0,1,229,681,52.01,94.79,ODC_BY,949,HIGH,1,1993,89.77,0,0,1,1,2024-08-20
2022,BE,57.05,1,1,222,703,85.15,90.52,OTHER,962,SUBSTANTIAL,1,2065,95.66,1,0,0,1,2024-11-06
2023,DK,60.49,1,1,174,661,54.9,75.99,CC0_1_0,884,LOW,0,1134,79.33,0,0,1,1,2025-05-23
2024,GR,20.54,0,1,209,785,88.63,58.86,EU_PSI_STANDARD,1107,HIGH,1,2183,33.4,1,0,1,1,2026-02-25
2025,LT,65.63,1,1,219,753,94.61,49.85,CC_BY_4_0,749,SUBSTANTIAL,1,1311,19.94,0,0,1,1,2025-03-13
2026,PT,51.3,0,1,216,784,58.75,96.0,ODC_BY,683,LOW,0,4432,77.36,1,1,1,1,2024-05-27
2014,SE,94.78,0,0,186,760,80.53,75.0,OTHER,778,HIGH,1,2860,83.51,0,1,0,1,2024-07-13
2015,CY,90.99,0,1,183,731,87.7,80.0,CC0_1_0,937,SUBSTANTIAL,1,4171,20.53,0,1,1,0,2024-02-04
2016,FR,68.14,1,0,235,777,52.47,75.4,EU_PSI_STANDARD,1095,LOW,1,2472,39.52,0,0,0,1,2025-12-29
2017,IT,53.36,1,1,242,682,55.06,83.37,CC_BY_4_0,845,HIGH,0,1323,59.04,1,0,0,1,2025-11-30
2018,NL,58.78,0,1,187,786,93.83,72.32,ODC_BY,648,SUBSTANTIAL,0,1973,34.69,0,1,1,1,2025-12-04
2019,SI,56.55,1,0,180,668,40.1,81.62,OTHER,1145,LOW,0,1308,83.51,0,0,1,1,2024-10-29
2020,BG,76.72,1,1,235,678,55.95,81.39,CC0_1_0,651,HIGH,1,2212,66.51,0,1,1,0,2026-02-08
2021,EE,40.14,0,1,253,727,46.58,50.11,EU_PSI_STANDARD,1133,SUBSTANTIAL,0,1198,89.47,1,1,0,0,2024-08-06
2022,HU,93.84,1,1,246,748,78.77,72.63,CC_BY_4_0,1072,LOW,0,3957,93.49,0,0,1,0,2025-11-25
2023,LU,89.18,1,0,197,719,72.6,83.88,ODC_BY,1016,HIGH,0,2740,21.74,1,0,1,1,2024-03-16
2024,RO,48.62,1,1,212,912,57.92,82.76,OTHER,728,SUBSTANTIAL,0,3619,68.47,0,0,0,0,2024-03-12
2025,AT,28.8,1,1,186,767,90.14,65.46,CC0_1_0,870,LOW,0,2803,81.57,0,0,0,1,2025-09-11
2026,CZ,27.58,1,0,250,763,63.2,67.16,EU_PSI_STANDARD,1134,HIGH,0,3106,43.43,0,0,1,0,2024-07-03
2014,DE,66.54,0,0,198,912,52.2,96.3,CC_BY_4_0,946,SUBSTANTIAL,1,3046,31.35,1,0,1,1,2025-04-28
2015,LV,83.54,0,1,261,871,85.16,78.44,ODC_BY,1042,LOW,0,2756,49.27,0,0,1,1,2024-03-25
2016,PL,58.6,1,1,188,907,64.94,41.97,OTHER,1137,HIGH,0,4121,69.29,0,1,0,1,2025-08-08
2017,ES,23.99,1,1,231,810,85.09,79.94,CC0_1_0,797,SUBSTANTIAL,0,3080,42.9,1,1,1,1,2026-01-22
2018,HR,38.96,0,1,198,742,76.56,66.65,EU_PSI_STANDARD,853,LOW,0,2362,29.41,1,1,0,0,2024-02-26
2019,FI,68.05,1,0,190,747,59.09,54.01,CC_BY_4_0,888,HIGH,0,4005,60.94,1,1,0,1,2025-09-25
2020,IE,64.59,0,1,199,899,65.02,66.45,ODC_BY,1077,SUBSTANTIAL,1,4013,20.11,1,1,1,0,2024-02-17
2021,MT,86.71,1,1,212,845,93.32,78.49,OTHER,740,LOW,0,1666,24.43,0,0,1,1,2024-01-20
2022,SK,52.77,0,1,189,734,57.81,83.14,CC0_1_0,696,HIGH,1,2875,78.4,0,0,0,0,2024-12-19
2023,BE,82.43,1,1,220,768,51.25,96.56,EU_PSI_STANDARD,940,SUBSTANTIAL,1,3120,35.11,1,0,1,1,2025-07-17
2024,DK,63.53,1,1,253,915,88.5,67.46,CC_BY_4_0,1005,LOW,0,3414,28.71,0,0,0,1,2025-02-28
2025,GR,43.35,1,0,219,796,75.14,47.38,ODC_BY,734,HIGH,0,2235,24.52,0,0,1,1,2025-04-22
2026,LT,54.01,1,1,225,857,71.45,93.03,OTHER,1080,SUBSTANTIAL,1,4078,82.52,0,0,1,0,2024-11-20
2014,PT,48.56,1,1,249,777,70.3,55.23,CC0_1_0,1046,LOW,0,4660,59.79,0,1,1,1,2024-12-30
2015,SE,65.59,0,1,224,874,77.86,66.57,EU_PSI_STANDARD,1038,HIGH,1,2030,50.78,0,0,0,0,2024-06-06
2016,CY,80.99,0,1,200,883,50.0,91.44,CC_BY_4_0,767,SUBSTANTIAL,0,4609,22.95,0,1,0,0,2025-07-06
2017,FR,68.42,1,0,235,855,93.34,92.88,ODC_BY,1014,LOW,0,2118,26.75,0,0,1,1,2025-03-18
2018,IT,70.92,1,0,205,766,87.84,51.78,OTHER,1029,HIGH,1,884,53.79,1,1,1,1,2026-02-17
2019,NL,35.0,1,0,251,925,97.35,68.93,CC0_1_0,993,SUBSTANTIAL,1,3801,74.79,0,0,0,0,2025-03-20
2020,SI,47.93,0,1,245,889,59.57,91.91,EU_PSI_STANDARD,1025,LOW,0,3812,25.79,1,1,0,0,2025-02-23
2021,BG,59.21,0,1,239,733,95.68,95.92,CC_BY_4_0,792,HIGH,1,1447,57.43,0,1,1,1,2024-08-07
2022,EE,66.26,1,0,254,721,80.6,91.35,ODC_BY,922,SUBSTANTIAL,1,4344,53.37,0,0,1,1,2025-02-22
2023,HU,45.25,1,0,268,723,74.26,98.97,OTHER,949,LOW,0,3675,68.98,0,0,1,0,2024-01-14
2024,LU,57.31,1,1,228,832,57.54,96.71,CC0_1_0,685,HIGH,1,4196,47.55,1,0,1,0,2025-03-06
2025,RO,29.38,1,1,276,874,38.09,98.63,EU_PSI_STANDARD,890,SUBSTANTIAL,0,2219,66.11,1,0,1,0,2024-05-10
2026,AT,32.1,0,0,212,851,50.49,62.08,CC_BY_4_0,814,LOW,0,894,25.0,1,0,1,1,2024-06-12
2014,CZ,46.77,1,0,267,770,68.07,47.46,ODC_BY,945,HIGH,0,3104,80.98,1,0,1,0,2024-09-20
2015,DE,88.35,1,0,287,850,85.79,74.81,OTHER,920,SUBSTANTIAL,1,1448,39.09,0,0,1,1,2025-07-02
2016,LV,58.0,1,1,208,883,70.55,63.18,CC0_1_0,871,LOW,0,3341,31.07,0,0,0,0,2024-05-24
2017,PL,49.63,1,1,285,883,86.88,72.56,EU_PSI_STANDARD,913,HIGH,1,3996,93.6,0,0,1,1,2024-11-06
2018,ES,69.71,1,1,229,877,39.29,84.74,CC_BY_4_0,726,SUBSTANTIAL,0,3366,45.99,1,0,0,1,2025-12-20
2019,HR,36.92,1,0,282,734,87.24,58.87,ODC_BY,856,LOW,0,3798,46.95,1,0,1,0,2024-03-09
2020,FI,33.79,0,1,221,780,68.53,44.16,OTHER,882,HIGH,1,2770,68.02,1,0,0,0,2025-03-02
2021,IE,70.04,1,0,283,854,63.01,96.15,CC0_1_0,1026,SUBSTANTIAL,0,2123,18.14,1,0,1,1,2025-08-31
2022,MT,76.57,1,1,217,905,86.77,80.72,EU_PSI_STANDARD,1061,LOW,0,971,41.5,0,0,0,1,2025-07-04
2023,SK,63.97,1,1,272,723,69.64,40.33,CC_BY_4_0,1117,HIGH,1,1780,55.94,1,1,0,0,2024-10-11
2024,BE,40.6,1,1,266,894,89.84,70.0,ODC_BY,697,SUBSTANTIAL,1,3824,77.1,0,0,1,0,2025-08-22
2025,DK,38.91,0,1,279,720,69.38,60.85,OTHER,989,LOW,0,1749,66.86,1,0,0,1,2024-01-05
2026,GR,81.49,0,1,250,931,66.42,41.58,CC0_1_0,798,HIGH,0,916,80.64,0,0,0,1,2024-02-09
2014,LT,45.85,0,1,290,923,89.9,89.92,EU_PSI_STANDARD,765,SUBSTANTIAL,1,3222,27.18,0,1,1,1,2024-10-23
2015,PT,23.15,1,0,256,788,85.18,78.12,CC_BY_4_0,818,LOW,0,4465,75.25,1,0,0,1,2024-01-27
2016,SE,49.39,1,1,222,895,42.29,79.02,ODC_BY,1130,HIGH,0,815,33.62,1,0,1,0,2025-09-12
2017,CY,62.9,1,1,250,891,84.24,90.3,OTHER,989,SUBSTANTIAL,1,1039,60.75,0,1,1,1,2024-03-07
2018,FR,76.06,1,1,245,802,80.53,90.85,CC0_1_0,845,LOW,0,2126,66.98,1,0,1,0,2025-02-17
2019,IT,93.85,1,1,239,955,94.31,72.13,EU_PSI_STANDARD,712,HIGH,1,3563,23.33,0,0,1,0,2024-08-22
2020,NL,52.36,1,1,266,823,78.97,75.18,CC_BY_4_0,1122,SUBSTANTIAL,1,3265,34.37,0,0,1,1,2024-07-28
2021,SI,87.79,0,1,230,867,81.31,84.52,ODC_BY,906,LOW,0,2250,45.72,0,0,1,0,2024-12-16
