civ_trans_reference_year,civ_trans_register_entity_id,civ_trans_entity_type_code,civ_trans_headquarters_country_iso2,civ_trans_policy_area_code,civ_trans_declared_spend_eur,civ_trans_spend_bracket_code,civ_trans_number_of_persons_involved,civ_trans_meetings_commissioners_count,civ_trans_meetings_cabinet_count,civ_trans_meetings_meps_count,civ_trans_legislative_files_targeted_count,civ_trans_clients_count,civ_trans_consultation_participations_count,civ_trans_code_of_conduct_breach_flag,civ_trans_sanction_type_code,civ_trans_sanction_date,civ_trans_data_source,civ_trans_last_update_date,civ_trans_data_extract_date
2019,REG_2019_000396,UNIVERSITY,US,HEALTH,3703580.23,1M_4_9M,397,8,35,50,48,22,29,0,NONE,,JOINT_SECRETARIAT,2020-08-30,2024-07-12
2020,REG_2020_000397,LAW_FIRM,CA,CLIMATE,7099973.25,5M_PLUS,439,6,22,45,25,11,26,0,NONE,,EU_TRANSPARENCY_REGISTER,2021-12-19,2025-09-13
2021,REG_2021_000398,NGO,CY,SPACE,4582553.92,1M_4_9M,451,8,7,29,9,38,39,0,NONE,,PUBLIC_DISCLOSURE_API,2021-03-19,2026-02-17
2022,REG_2022_000399,PUBLIC_BODY,GR,COMPETITION,2462492.77,1M_4_9M,405,7,31,59,23,16,42,0,NONE,,JOINT_SECRETARIAT,2023-02-27,2025-06-05
2023,REG_2023_000400,TRADE_ASSOCIATION,MT,SECURITY,4189601.55,1M_4_9M,475,24,14,50,41,26,1,0,NONE,,EU_TRANSPARENCY_REGISTER,2024-11-28,2024-09-11
2024,REG_2024_000401,COMPANY,ES,AGRICULTURE,8523296.91,5M_PLUS,418,13,17,13,11,15,5,0,NONE,,PUBLIC_DISCLOSURE_API,2025-04-28,2025-09-09
2025,REG_2025_000402,THINK_TANK,UA,TRANSPORT,831961.14,500000_999999,424,20,34,54,75,36,21,0,NONE,,JOINT_SECRETARIAT,2026-06-10,2025-08-13
2026,REG_2026_000403,CONSULTANCY,BG,ENERGY,119577.51,100000_499999,452,4,35,48,60,220,14,0,NONE,,EU_TRANSPARENCY_REGISTER,2026-02-15,2025-01-18
2014,REG_2014_000404,UNIVERSITY,FR,DIGITAL,892414.78,500000_999999,451,17,16,21,72,4,2,0,NONE,,PUBLIC_DISCLOSURE_API,2014-06-02,2024-06-16
2015,REG_2015_000405,LAW_FIRM,LT,DATA_GOV,8672702.93,5M_PLUS,447,7,38,27,33,54,5,0,NONE,,JOINT_SECRETARIAT,2016-09-24,2024-06-26
2016,REG_2016_000406,NGO,SK,CONSUMER,3801360.28,1M_4_9M,413,14,18,24,16,25,52,0,NONE,,EU_TRANSPARENCY_REGISTER,2017-08-04,2024-08-22
2017,REG_2017_000407,PUBLIC_BODY,NO,MIGRATION,3719829.26,1M_4_9M,421,17,20,5,12,13,24,0,NONE,,PUBLIC_DISCLOSURE_API,2018-09-30,2024-12-28
2018,REG_2018_000408,TRADE_ASSOCIATION,AT,FINANCE,6677920.06,5M_PLUS,426,8,28,32,59,27,17,0,NONE,,JOINT_SECRETARIAT,2018-10-18,2026-02-12
2019,REG_2019_000409,COMPANY,EE,HEALTH,6792707.99,5M_PLUS,450,14,26,26,44,31,26,0,NONE,,EU_TRANSPARENCY_REGISTER,2019-11-11,2024-06-29
2020,REG_2020_000410,THINK_TANK,IT,CLIMATE,5629380.59,5M_PLUS,425,17,17,58,0,6,4,0,NONE,,PUBLIC_DISCLOSURE_API,2021-07-28,2025-03-11
2021,REG_2021_000411,CONSULTANCY,PT,SPACE,3686600.37,1M_4_9M,466,7,8,38,50,56,43,0,NONE,,JOINT_SECRETARIAT,2021-07-09,2024-12-20
2022,REG_2022_000412,UNIVERSITY,GB,COMPETITION,6383737.95,5M_PLUS,486,13,30,15,51,29,1,0,NONE,,EU_TRANSPARENCY_REGISTER,2022-01-26,2024-09-03
2023,REG_2023_000413,LAW_FIRM,JP,SECURITY,2387058.97,1M_4_9M,441,9,18,25,51,205,37,0,NONE,,PUBLIC_DISCLOSURE_API,2024-08-19,2024-08-13
2024,REG_2024_000414,NGO,CZ,AGRICULTURE,6949133.7,5M_PLUS,479,17,10,50,53,25,24,0,NONE,,JOINT_SECRETARIAT,2025-08-01,2024-05-30
2025,REG_2025_000415,PUBLIC_BODY,HU,TRANSPORT,6516692.7,5M_PLUS,464,3,23,51,57,7,24,0,NONE,,EU_TRANSPARENCY_REGISTER,2025-10-03,2024-05-17
2026,REG_2026_000416,TRADE_ASSOCIATION,NL,ENERGY,10697833.39,5M_PLUS,438,1,27,55,67,20,4,0,NONE,,PUBLIC_DISCLOSURE_API,2026-12-19,2025-03-27
2014,REG_2014_000417,COMPANY,SE,DIGITAL,808428.38,500000_999999,490,17,7,6,77,33,29,1,REMOVAL,2014-01-20,JOINT_SECRETARIAT,2015-03-16,2025-06-22
2015,REG_2015_000418,THINK_TANK,TR,DATA_GOV,9067067.62,5M_PLUS,467,11,28,48,62,21,38,0,NONE,,EU_TRANSPARENCY_REGISTER,2016-12-10,2024-02-06
2016,REG_2016_000419,CONSULTANCY,HR,CONSUMER,2275384.05,1M_4_9M,493,20,24,13,5,150,50,0,NONE,,PUBLIC_DISCLOSURE_API,2016-11-09,2024-05-10
2017,REG_2017_000420,UNIVERSITY,DE,MIGRATION,8981481.7,5M_PLUS,493,11,5,60,40,8,12,0,NONE,,JOINT_SECRETARIAT,2017-11-03,2024-08-20
2018,REG_2018_000421,LAW_FIRM,LU,FINANCE,4139877.1,1M_4_9M,444,12,34,18,59,246,32,0,NONE,,EU_TRANSPARENCY_REGISTER,2018-09-27,2024-06-03
2019,REG_2019_000422,NGO,SI,HEALTH,2699558.93,1M_4_9M,487,1,28,47,38,9,35,0,NONE,,PUBLIC_DISCLOSURE_API,2020-04-03,2025-09-28
2020,REG_2020_000423,PUBLIC_BODY,IS,CLIMATE,6526087.3,5M_PLUS,467,6,3,27,17,26,1,0,NONE,,JOINT_SECRETARIAT,2021-10-04,2025-11-26
2021,REG_2021_000424,TRADE_ASSOCIATION,BE,SPACE,2024678.16,1M_4_9M,465,8,8,37,68,18,28,0,NONE,,EU_TRANSPARENCY_REGISTER,2021-01-17,2024-03-30
2022,REG_2022_000425,COMPANY,FI,COMPETITION,5995586.99,5M_PLUS,495,0,30,58,4,11,29,0,NONE,,PUBLIC_DISCLOSURE_API,2022-03-23,2025-06-28
2023,REG_2023_000426,THINK_TANK,LV,SECURITY,2298780.3,1M_4_9M,496,3,7,20,62,22,12,0,NONE,,JOINT_SECRETARIAT,2023-05-20,2024-11-17
2024,REG_2024_000427,CONSULTANCY,RO,AGRICULTURE,5258225.86,5M_PLUS,476,19,17,18,84,220,52,0,NONE,,EU_TRANSPARENCY_REGISTER,2024-04-04,2024-05-24
2025,REG_2025_000428,UNIVERSITY,CH,TRANSPORT,2351138.21,1M_4_9M,483,15,23,14,54,1,48,0,NONE,,PUBLIC_DISCLOSURE_API,2025-06-12,2024-10-28
2026,REG_2026_000429,LAW_FIRM,KR,ENERGY,5602433.43,5M_PLUS,434,19,12,34,13,162,35,0,NONE,,JOINT_SECRETARIAT,2026-06-16,2024-09-16
2014,REG_2014_000430,NGO,DK,DIGITAL,8928385.22,5M_PLUS,456,7,10,7,71,11,27,0,NONE,,EU_TRANSPARENCY_REGISTER,2014-01-28,2025-03-24
2015,REG_2015_000431,PUBLIC_BODY,IE,DATA_GOV,4624054.2,1M_4_9M,503,13,0,8,29,34,39,0,NONE,,PUBLIC_DISCLOSURE_API,2016-05-04,2024-05-19
2016,REG_2016_000432,TRADE_ASSOCIATION,PL,CONSUMER,4627189.42,1M_4_9M,459,9,2,67,82,20,46,0,NONE,,JOINT_SECRETARIAT,2017-07-01,2024-12-12
2017,REG_2017_000433,COMPANY,US,MIGRATION,1399307.51,1M_4_9M,470,3,33,4,84,38,30,0,NONE,,EU_TRANSPARENCY_REGISTER,2018-02-25,2025-12-23
2018,REG_2018_000434,THINK_TANK,CA,FINANCE,1364983.89,1M_4_9M,475,5,22,17,84,37,39,0,NONE,,PUBLIC_DISCLOSURE_API,2018-02-19,2024-10-28
2019,REG_2019_000435,CONSULTANCY,CY,HEALTH,1184827.41,1M_4_9M,471,9,24,58,30,47,47,0,NONE,,JOINT_SECRETARIAT,2019-08-26,2024-03-26
2020,REG_2020_000436,UNIVERSITY,GR,CLIMATE,8699151.12,5M_PLUS,486,1,9,14,46,16,52,0,NONE,,EU_TRANSPARENCY_REGISTER,2020-05-01,2025-09-07
2021,REG_2021_000437,LAW_FIRM,MT,SPACE,264163.42,100000_499999,446,7,5,21,51,25,11,0,NONE,,PUBLIC_DISCLOSURE_API,2022-03-21,2024-04-07
2022,REG_2022_000438,NGO,ES,COMPETITION,7536767.81,5M_PLUS,455,8,11,10,6,33,32,0,NONE,,JOINT_SECRETARIAT,2022-04-19,2024-09-16
2023,REG_2023_000439,PUBLIC_BODY,UA,SECURITY,4582606.97,1M_4_9M,484,10,31,25,82,14,41,1,FINE,2023-12-11,EU_TRANSPARENCY_REGISTER,2023-10-06,2024-05-08
2024,REG_2024_000440,TRADE_ASSOCIATION,BG,AGRICULTURE,658520.13,500000_999999,450,3,27,36,19,28,50,0,NONE,,PUBLIC_DISCLOSURE_API,2025-09-19,2024-04-28
2025,REG_2025_000441,COMPANY,FR,TRANSPORT,2644218.81,1M_4_9M,519,9,9,27,23,21,15,0,NONE,,JOINT_SECRETARIAT,2026-09-26,2025-11-20
2026,REG_2026_000442,THINK_TANK,LT,ENERGY,8839392.6,5M_PLUS,508,9,27,35,61,31,48,1,NONE,,EU_TRANSPARENCY_REGISTER,2026-04-14,2026-01-29
2014,REG_2014_000443,CONSULTANCY,SK,DIGITAL,772149.08,500000_999999,448,0,31,19,11,230,34,0,NONE,,PUBLIC_DISCLOSURE_API,2014-12-06,2025-03-21
2015,REG_2015_000444,UNIVERSITY,NO,DATA_GOV,3808900.64,1M_4_9M,503,7,2,28,20,11,35,0,NONE,,JOINT_SECRETARIAT,2016-03-04,2024-03-25
2016,REG_2016_000445,LAW_FIRM,AT,CONSUMER,5722719.28,5M_PLUS,506,15,8,39,75,35,24,0,NONE,,EU_TRANSPARENCY_REGISTER,2016-11-02,2025-03-31
2017,REG_2017_000446,NGO,EE,MIGRATION,178270.95,100000_499999,513,20,27,51,76,6,38,0,NONE,,PUBLIC_DISCLOSURE_API,2017-12-13,2024-02-04
2018,REG_2018_000447,PUBLIC_BODY,IT,FINANCE,4039978.26,1M_4_9M,492,10,13,21,71,29,40,0,NONE,,JOINT_SECRETARIAT,2018-04-22,2025-11-14
2019,REG_2019_000448,TRADE_ASSOCIATION,PT,HEALTH,6831540.75,5M_PLUS,504,13,16,6,25,38,31,0,NONE,,EU_TRANSPARENCY_REGISTER,2020-08-23,2024-05-08
2020,REG_2020_000449,COMPANY,GB,CLIMATE,5484272.76,5M_PLUS,503,18,27,60,71,1,9,0,NONE,,PUBLIC_DISCLOSURE_API,2020-04-15,2024-05-04
2021,REG_2021_000450,THINK_TANK,JP,SPACE,8761628.69,5M_PLUS,530,4,14,52,17,27,20,0,NONE,,JOINT_SECRETARIAT,2022-03-21,2024-11-24
2022,REG_2022_000451,CONSULTANCY,CZ,COMPETITION,3206370.67,1M_4_9M,470,22,21,17,25,164,15,0,NONE,,EU_TRANSPARENCY_REGISTER,2023-02-19,2025-04-29
2023,REG_2023_000452,UNIVERSITY,HU,SECURITY,2050723.3,1M_4_9M,471,17,34,24,68,28,3,0,NONE,,PUBLIC_DISCLOSURE_API,2023-07-15,2024-11-02
2024,REG_2024_000453,LAW_FIRM,NL,AGRICULTURE,9245369.41,5M_PLUS,482,10,30,4,45,60,49,0,NONE,,JOINT_SECRETARIAT,2024-12-25,2025-12-26
2025,REG_2025_000454,NGO,SE,TRANSPORT,10804040.55,5M_PLUS,489,6,30,0,22,40,12,0,NONE,,EU_TRANSPARENCY_REGISTER,2026-05-15,2025-12-04
2026,REG_2026_000455,PUBLIC_BODY,TR,ENERGY,8810663.78,5M_PLUS,468,12,24,57,51,40,29,0,NONE,,PUBLIC_DISCLOSURE_API,2026-02-11,2024-10-19
2014,REG_2014_000456,TRADE_ASSOCIATION,HR,DIGITAL,9467718.95,5M_PLUS,534,5,32,23,85,31,30,0,NONE,,JOINT_SECRETARIAT,2014-02-08,2025-10-15
2015,REG_2015_000457,COMPANY,DE,DATA_GOV,7140626.86,5M_PLUS,493,11,35,33,71,8,38,0,NONE,,EU_TRANSPARENCY_REGISTER,2015-09-21,2025-04-26
2016,REG_2016_000458,THINK_TANK,LU,CONSUMER,1733139.15,1M_4_9M,532,12,31,48,82,8,24,0,NONE,,PUBLIC_DISCLOSURE_API,2017-12-06,2024-09-19
2017,REG_2017_000459,CONSULTANCY,SI,MIGRATION,798848.33,500000_999999,500,19,23,39,36,9,43,0,NONE,,JOINT_SECRETARIAT,2018-07-04,2024-12-06
2018,REG_2018_000460,UNIVERSITY,IS,FINANCE,3448073.07,1M_4_9M,532,18,19,51,3,20,40,0,NONE,,EU_TRANSPARENCY_REGISTER,2018-03-12,2025-04-24
2019,REG_2019_000461,LAW_FIRM,BE,HEALTH,3768573.56,1M_4_9M,483,11,28,48,67,232,28,0,NONE,,PUBLIC_DISCLOSURE_API,2020-11-22,2024-04-29
2020,REG_2020_000462,NGO,FI,CLIMATE,2597121.64,1M_4_9M,481,25,14,30,57,7,47,0,NONE,,JOINT_SECRETARIAT,2020-06-07,2025-02-24
2021,REG_2021_000463,PUBLIC_BODY,LV,SPACE,9165624.06,5M_PLUS,466,9,19,55,54,24,34,0,NONE,,EU_TRANSPARENCY_REGISTER,2022-10-13,2025-06-06
2022,REG_2022_000464,TRADE_ASSOCIATION,RO,COMPETITION,7900385.26,5M_PLUS,494,21,29,43,57,26,42,0,NONE,,PUBLIC_DISCLOSURE_API,2023-12-01,2025-11-11
2023,REG_2023_000465,COMPANY,CH,SECURITY,2956051.86,1M_4_9M,509,2,17,38,34,12,44,0,NONE,,JOINT_SECRETARIAT,2023-03-29,2024-07-05
2024,REG_2024_000466,THINK_TANK,KR,AGRICULTURE,2067499.4,1M_4_9M,492,8,19,50,10,30,45,0,NONE,,EU_TRANSPARENCY_REGISTER,2025-07-03,2024-11-19
2025,REG_2025_000467,CONSULTANCY,DK,TRANSPORT,4670117.24,1M_4_9M,527,4,20,65,44,226,32,0,NONE,,PUBLIC_DISCLOSURE_API,2025-12-06,2025-12-08
2026,REG_2026_000468,UNIVERSITY,IE,ENERGY,949182.68,500000_999999,500,13,32,24,69,17,25,0,NONE,,JOINT_SECRETARIAT,2026-04-03,2026-02-20
2014,REG_2014_000469,LAW_FIRM,PL,DIGITAL,3436526.43,1M_4_9M,528,13,27,31,14,7,32,1,NONE,,EU_TRANSPARENCY_REGISTER,2014-05-31,2024-01-03
2015,REG_2015_000470,NGO,US,DATA_GOV,5554488.12,5M_PLUS,482,2,13,7,74,15,50,0,NONE,,PUBLIC_DISCLOSURE_API,2016-10-26,2025-03-06
2016,REG_2016_000471,PUBLIC_BODY,CA,CONSUMER,8589564.35,5M_PLUS,548,9,10,11,65,25,38,0,NONE,,JOINT_SECRETARIAT,2016-06-11,2024-05-29
2017,REG_2017_000472,TRADE_ASSOCIATION,CY,MIGRATION,5378375.52,5M_PLUS,539,20,22,56,28,10,39,0,NONE,,EU_TRANSPARENCY_REGISTER,2017-03-12,2024-08-24
2018,REG_2018_000473,COMPANY,GR,FINANCE,11445635.11,5M_PLUS,538,18,15,6,58,32,57,0,NONE,,PUBLIC_DISCLOSURE_API,2018-01-13,2025-11-02
2019,REG_2019_000474,THINK_TANK,MT,HEALTH,2335555.08,1M_4_9M,525,15,18,42,34,28,28,0,NONE,,JOINT_SECRETARIAT,2019-05-18,2024-07-13
2020,REG_2020_000475,CONSULTANCY,ES,CLIMATE,6512876.48,5M_PLUS,516,11,7,28,16,14,45,0,NONE,,EU_TRANSPARENCY_REGISTER,2021-11-14,2024-03-13
2021,REG_2021_000476,UNIVERSITY,UA,SPACE,10063019.44,5M_PLUS,506,1,6,51,85,18,53,0,NONE,,PUBLIC_DISCLOSURE_API,2021-06-13,2025-10-31
2022,REG_2022_000477,LAW_FIRM,BG,COMPETITION,3345714.83,1M_4_9M,541,6,19,34,74,56,8,1,NONE,,JOINT_SECRETARIAT,2022-01-10,2025-07-12
2023,REG_2023_000478,NGO,FR,SECURITY,5844245.76,5M_PLUS,531,8,33,39,60,20,47,0,NONE,,EU_TRANSPARENCY_REGISTER,2023-10-15,2024-09-19
2024,REG_2024_000479,PUBLIC_BODY,LT,AGRICULTURE,4741395.35,1M_4_9M,515,4,18,66,67,23,36,0,NONE,,PUBLIC_DISCLOSURE_API,2024-04-07,2024-09-01
2025,REG_2025_000480,TRADE_ASSOCIATION,SK,TRANSPORT,5702828.1,5M_PLUS,552,8,21,27,30,12,33,0,NONE,,JOINT_SECRETARIAT,2026-05-07,2025-01-31
2026,REG_2026_000481,COMPANY,NO,ENERGY,3048076.8,1M_4_9M,486,13,10,11,68,1,47,0,NONE,,EU_TRANSPARENCY_REGISTER,2026-12-14,2024-05-07
2014,REG_2014_000482,THINK_TANK,AT,DIGITAL,660260.3,500000_999999,549,10,20,40,64,32,54,0,NONE,,PUBLIC_DISCLOSURE_API,2015-03-15,2024-05-28
2015,REG_2015_000483,CONSULTANCY,EE,DATA_GOV,2508119.38,1M_4_9M,496,16,31,8,31,128,34,0,NONE,,JOINT_SECRETARIAT,2016-03-13,2024-07-15
2016,REG_2016_000484,UNIVERSITY,IT,CONSUMER,5648818.08,5M_PLUS,563,8,20,4,44,12,29,0,NONE,,EU_TRANSPARENCY_REGISTER,2016-10-10,2025-10-12
2017,REG_2017_000485,LAW_FIRM,PT,MIGRATION,3355870.44,1M_4_9M,550,17,9,17,42,165,28,0,NONE,,PUBLIC_DISCLOSURE_API,2018-08-17,2025-02-26
2018,REG_2018_000486,NGO,GB,FINANCE,3709404.62,1M_4_9M,545,13,16,43,50,10,14,0,NONE,,JOINT_SECRETARIAT,2019-01-26,2025-08-05
2019,REG_2019_000487,PUBLIC_BODY,JP,HEALTH,1903805.79,1M_4_9M,501,11,21,47,24,11,50,0,NONE,,EU_TRANSPARENCY_REGISTER,2019-10-04,2025-04-18
2020,REG_2020_000488,TRADE_ASSOCIATION,CZ,CLIMATE,8107214.39,5M_PLUS,517,4,24,6,35,14,51,0,NONE,,PUBLIC_DISCLOSURE_API,2020-06-26,2025-10-28
2021,REG_2021_000489,COMPANY,HU,SPACE,3536899.14,1M_4_9M,550,23,24,42,21,4,38,0,NONE,,JOINT_SECRETARIAT,2022-02-09,2024-05-20
2022,REG_2022_000490,THINK_TANK,NL,COMPETITION,1365728.52,1M_4_9M,545,19,27,50,9,9,1,0,NONE,,EU_TRANSPARENCY_REGISTER,2023-05-06,2025-07-09
2023,REG_2023_000491,CONSULTANCY,SE,SECURITY,442180.08,100000_499999,563,17,2,48,15,150,50,0,NONE,,PUBLIC_DISCLOSURE_API,2023-01-27,2025-08-19
2024,REG_2024_000492,UNIVERSITY,TR,AGRICULTURE,91409.52,50000_99999,550,16,35,55,15,11,11,0,NONE,,JOINT_SECRETARIAT,2024-12-19,2024-04-29
2025,REG_2025_000493,LAW_FIRM,HR,TRANSPORT,565228.31,500000_999999,511,1,0,59,56,187,29,0,NONE,,EU_TRANSPARENCY_REGISTER,2026-09-11,2024-01-25
2026,REG_2026_000494,NGO,DE,ENERGY,9918848.47,5M_PLUS,566,18,2,44,50,27,8,0,NONE,,PUBLIC_DISCLOSURE_API,2026-08-12,2025-07-18
2014,REG_2014_000495,PUBLIC_BODY,LU,DIGITAL,2059467.29,1M_4_9M,575,2,24,29,12,24,20,0,NONE,,JOINT_SECRETARIAT,2014-09-30,2024-09-25
2015,REG_2015_000496,TRADE_ASSOCIATION,SI,DATA_GOV,2478496.69,1M_4_9M,509,13,28,23,72,40,10,1,NONE,,EU_TRANSPARENCY_REGISTER,2016-09-23,2026-01-18
2016,REG_2016_000497,COMPANY,IS,CONSUMER,4236307.64,1M_4_9M,499,16,28,43,40,38,51,0,NONE,,PUBLIC_DISCLOSURE_API,2016-10-19,2025-12-19
2017,REG_2017_000498,THINK_TANK,BE,MIGRATION,7244418.71,5M_PLUS,558,1,13,59,73,0,1,0,NONE,,JOINT_SECRETARIAT,2017-03-24,2025-12-31
2018,REG_2018_000499,CONSULTANCY,FI,FINANCE,8733867.88,5M_PLUS,510,0,32,57,12,159,10,0,NONE,,EU_TRANSPARENCY_REGISTER,2019-07-10,2024-03-02
2019,REG_2019_000500,UNIVERSITY,LV,HEALTH,828039.5,500000_999999,554,6,26,49,49,7,44,0,NONE,,PUBLIC_DISCLOSURE_API,2020-08-12,2025-05-12
2020,REG_2020_000501,LAW_FIRM,RO,CLIMATE,4751905.04,1M_4_9M,540,10,21,67,53,1,26,0,NONE,,JOINT_SECRETARIAT,2021-05-05,2024-04-22
2021,REG_2021_000502,NGO,CH,SPACE,5657223.08,5M_PLUS,564,4,7,0,29,34,20,0,NONE,,EU_TRANSPARENCY_REGISTER,2021-11-21,2024-03-14
2022,REG_2022_000503,PUBLIC_BODY,KR,COMPETITION,2989910.69,1M_4_9M,541,12,30,24,72,0,48,0,NONE,,PUBLIC_DISCLOSURE_API,2022-05-12,2024-07-30
2023,REG_2023_000504,TRADE_ASSOCIATION,DK,SECURITY,1293609.45,1M_4_9M,521,9,36,26,84,18,46,0,NONE,,JOINT_SECRETARIAT,2023-12-04,2025-12-24
2024,REG_2024_000505,COMPANY,IE,AGRICULTURE,7423199.31,5M_PLUS,573,14,24,44,74,17,11,0,NONE,,EU_TRANSPARENCY_REGISTER,2025-06-20,2024-01-02
2025,REG_2025_000506,THINK_TANK,PL,TRANSPORT,2160698.27,1M_4_9M,527,17,33,37,1,11,14,0,NONE,,PUBLIC_DISCLOSURE_API,2025-09-13,2025-07-01
2026,REG_2026_000507,CONSULTANCY,US,ENERGY,7871680.32,5M_PLUS,546,13,19,16,57,69,32,0,NONE,,JOINT_SECRETARIAT,2026-07-18,2025-10-14
2014,REG_2014_000508,UNIVERSITY,CA,DIGITAL,6071404.97,5M_PLUS,517,0,19,10,60,13,21,0,NONE,,EU_TRANSPARENCY_REGISTER,2015-12-19,2025-06-30
2015,REG_2015_000509,LAW_FIRM,CY,DATA_GOV,2571202.28,1M_4_9M,565,8,15,10,29,70,0,0,NONE,,PUBLIC_DISCLOSURE_API,2015-06-13,2024-05-14
2016,REG_2016_000510,NGO,GR,CONSUMER,4518175.79,1M_4_9M,515,12,23,30,71,23,30,0,NONE,,JOINT_SECRETARIAT,2017-04-05,2024-12-17
2017,REG_2017_000511,PUBLIC_BODY,MT,MIGRATION,2470619.62,1M_4_9M,514,9,32,61,83,30,12,1,WARNING,2018-03-18,EU_TRANSPARENCY_REGISTER,2017-10-08,2025-02-26
2018,REG_2018_000512,TRADE_ASSOCIATION,ES,FINANCE,208633.55,100000_499999,574,14,3,47,21,6,41,0,NONE,,PUBLIC_DISCLOSURE_API,2019-10-11,2025-12-14
2019,REG_2019_000513,COMPANY,UA,HEALTH,2453654.03,1M_4_9M,587,8,32,17,55,10,19,0,NONE,,JOINT_SECRETARIAT,2020-12-17,2024-12-26
2020,REG_2020_000514,THINK_TANK,BG,CLIMATE,6033990.99,5M_PLUS,589,5,34,30,34,32,34,0,NONE,,EU_TRANSPARENCY_REGISTER,2020-06-20,2025-07-16
2021,REG_2021_000515,CONSULTANCY,FR,SPACE,5162308.14,5M_PLUS,586,14,22,0,81,160,48,0,NONE,,PUBLIC_DISCLOSURE_API,2022-05-06,2024-12-23
2022,REG_2022_000516,UNIVERSITY,LT,COMPETITION,6108714.77,5M_PLUS,569,3,6,2,40,36,49,0,NONE,,JOINT_SECRETARIAT,2022-08-02,2025-09-05
2023,REG_2023_000517,LAW_FIRM,SK,SECURITY,2500231.37,1M_4_9M,577,20,24,70,5,75,48,0,NONE,,EU_TRANSPARENCY_REGISTER,2023-04-14,2024-05-29
2024,REG_2024_000518,NGO,NO,AGRICULTURE,1794353.74,1M_4_9M,550,5,3,53,16,9,36,0,NONE,,PUBLIC_DISCLOSURE_API,2025-05-29,2025-01-17
2025,REG_2025_000519,PUBLIC_BODY,AT,TRANSPORT,6260277.44,5M_PLUS,548,17,17,33,6,6,48,0,NONE,,JOINT_SECRETARIAT,2025-01-25,2024-04-10
2026,REG_2026_000520,TRADE_ASSOCIATION,EE,ENERGY,7913848.45,5M_PLUS,595,20,30,41,12,40,45,0,NONE,,EU_TRANSPARENCY_REGISTER,2026-01-22,2024-10-08
2014,REG_2014_000521,COMPANY,IT,DIGITAL,5031197.21,5M_PLUS,596,1,1,53,81,38,34,0,NONE,,PUBLIC_DISCLOSURE_API,2014-10-24,2024-07-18
2015,REG_2015_000522,THINK_TANK,PT,DATA_GOV,3013377.96,1M_4_9M,532,14,32,9,31,40,15,0,NONE,,JOINT_SECRETARIAT,2016-11-02,2024-09-07
2016,REG_2016_000523,CONSULTANCY,GB,CONSUMER,2324758.71,1M_4_9M,560,19,12,36,67,204,54,0,NONE,,EU_TRANSPARENCY_REGISTER,2016-10-29,2025-03-08
2017,REG_2017_000524,UNIVERSITY,JP,MIGRATION,2093861.35,1M_4_9M,584,23,17,34,15,1,27,0,NONE,,PUBLIC_DISCLOSURE_API,2017-11-13,2025-02-19
2018,REG_2018_000525,LAW_FIRM,CZ,FINANCE,7766546.24,5M_PLUS,603,5,24,20,79,45,58,0,NONE,,JOINT_SECRETARIAT,2018-10-26,2025-07-05
2019,REG_2019_000526,NGO,HU,HEALTH,3895293.22,1M_4_9M,552,1,7,23,51,25,5,0,NONE,,EU_TRANSPARENCY_REGISTER,2019-11-19,2024-07-03
2020,REG_2020_000527,PUBLIC_BODY,NL,CLIMATE,7659364.85,5M_PLUS,568,4,22,19,56,33,49,0,NONE,,PUBLIC_DISCLOSURE_API,2020-02-15,2025-07-01
2021,REG_2021_000528,TRADE_ASSOCIATION,SE,SPACE,7009542.99,5M_PLUS,544,2,28,31,39,37,2,0,NONE,,JOINT_SECRETARIAT,2022-04-11,2025-01-09
2022,REG_2022_000529,COMPANY,TR,COMPETITION,351968.03,100000_499999,580,2,32,57,8,26,8,0,NONE,,EU_TRANSPARENCY_REGISTER,2023-07-04,2025-07-24
2023,REG_2023_000530,THINK_TANK,HR,SECURITY,7270679.48,5M_PLUS,595,12,20,18,50,3,26,0,NONE,,PUBLIC_DISCLOSURE_API,2023-07-07,2024-11-20
2024,REG_2024_000531,CONSULTANCY,DE,AGRICULTURE,615465.22,500000_999999,580,12,30,9,47,212,33,0,NONE,,JOINT_SECRETARIAT,2024-08-19,2024-02-24
2025,REG_2025_000532,UNIVERSITY,LU,TRANSPORT,6748142.76,5M_PLUS,538,13,28,11,63,37,46,0,NONE,,EU_TRANSPARENCY_REGISTER,2025-08-18,2024-01-19
2026,REG_2026_000533,LAW_FIRM,SI,ENERGY,3269355.33,1M_4_9M,601,3,3,43,40,44,41,0,NONE,,PUBLIC_DISCLOSURE_API,2026-10-23,2025-05-06
2014,REG_2014_000534,NGO,IS,DIGITAL,965588.74,500000_999999,568,9,23,53,78,24,35,0,NONE,,JOINT_SECRETARIAT,2015-05-17,2024-11-21
2015,REG_2015_000535,PUBLIC_BODY,BE,DATA_GOV,955624.94,500000_999999,544,9,11,55,50,36,1,0,NONE,,EU_TRANSPARENCY_REGISTER,2015-10-10,2026-01-26
2016,REG_2016_000536,TRADE_ASSOCIATION,FI,CONSUMER,9211532.21,5M_PLUS,597,6,16,4,52,8,11,0,NONE,,PUBLIC_DISCLOSURE_API,2017-05-16,2026-02-11
2017,REG_2017_000537,COMPANY,LV,MIGRATION,8166972.49,5M_PLUS,598,15,25,20,38,0,41,0,NONE,,JOINT_SECRETARIAT,2017-11-21,2024-12-11
