env_adapt_reference_year,env_adapt_country_iso2,env_adapt_region_nuts_code,env_adapt_hazard_type_code,env_adapt_hazard_frequency_index,env_adapt_hazard_severity_index,env_adapt_population_exposed_count,env_adapt_assets_exposed_eur,env_adapt_vulnerability_index,env_adapt_adaptive_capacity_index,env_adapt_expected_annual_loss_eur,env_adapt_insurance_penetration_pct,env_adapt_national_adaptation_plan_flag,env_adapt_local_adaptation_plan_count,env_adapt_nature_based_solutions_area_ha,env_adapt_climate_services_usage_flag,env_adapt_disaster_risk_reduction_investment_eur,env_adapt_solidarity_fund_activation_flag,env_adapt_data_source,env_adapt_data_extract_date
2025,CY,AT121,LANDSLIDE,0.26,0.5373,207417,23605243017.2,0.2991,0.2304,69341960.27,13.66,1,68,66970.51,0,1182038974.06,0,NATIONAL_RISK_ASSESSMENT,2024-05-01
2005,FR,SK119,STORM_WIND,0.1803,0.8395,195112,38449161229.28,0.5161,0.1525,40705330.03,72.42,1,204,37202.98,1,2482981661.62,0,REGIONAL_RESILIENCE_REPORT,2024-07-17
2006,IT,LU812,WILDFIRE,0.6525,0.343,181829,59977055989.66,0.7319,0.8388,255738784.71,74.27,1,28,32926.29,1,2067092704.44,0,EEA_CLIMATE_ADAPTATION_DB,2026-02-08
2007,NL,LV8,DROUGHT,0.0827,0.9551,186447,24009812770.67,0.5091,0.1949,23663061.6,68.88,1,85,32398.11,1,630456073.29,0,COPERNICUS_C3S_INDICATORS,2025-02-07
2008,SI,FI15,FLOOD_COASTAL,0.3958,0.1446,214144,50035333604.88,0.5903,0.2293,45743472.69,68.33,1,143,76793.76,0,2605143205.7,0,NATIONAL_RISK_ASSESSMENT,2025-12-06
2009,BG,CY75,FLOOD_RIVER,0.7453,0.2549,196670,27232705983.0,0.5356,0.2508,176621564.86,49.48,0,43,49358.16,1,2680159197.94,0,REGIONAL_RESILIENCE_REPORT,2024-03-25
2010,EE,DK4,HEATWAVE,0.2207,0.8384,154128,30031388773.19,0.8747,0.8999,272122842.59,14.32,1,108,14332.63,1,937148784.33,0,EEA_CLIMATE_ADAPTATION_DB,2025-12-29
2011,HU,HR655,COLD_SPELL,0.4955,0.3473,181583,76004270862.08,0.2121,0.6935,89519333.35,11.66,1,183,48975.24,1,2849916165.18,0,COPERNICUS_C3S_INDICATORS,2024-10-30
2012,LU,IT893,LANDSLIDE,0.6267,0.5509,154352,12952742185.53,0.2425,0.1523,48958435.04,33.18,1,189,64907.98,1,1064285200.15,0,NATIONAL_RISK_ASSESSMENT,2025-03-16
2013,RO,EE73,STORM_WIND,0.6092,0.9213,202351,29871057027.4,0.1998,0.8147,234355790.2,55.74,1,23,63038.12,0,1224137431.79,0,REGIONAL_RESILIENCE_REPORT,2024-05-16
2014,AT,AT152,WILDFIRE,0.6419,0.5954,171879,60260437304.15,0.1564,0.4016,104703854.38,84.78,0,144,55445.71,0,4577659069.9,0,EEA_CLIMATE_ADAPTATION_DB,2025-10-31
2015,CZ,ES865,DROUGHT,0.7472,0.9709,153095,63660722300.79,0.3293,0.9392,501527690.13,14.36,0,136,62717.19,1,4455557624.93,1,COPERNICUS_C3S_INDICATORS,2025-05-07
2016,DE,GR13,FLOOD_COASTAL,0.7732,0.6498,200460,51406582007.96,0.2366,0.3149,320158053.53,35.63,0,0,81257.17,1,616548402.73,0,NATIONAL_RISK_ASSESSMENT,2024-03-07
2017,LV,MT372,FLOOD_RIVER,0.5735,0.4839,171526,26839505349.86,0.841,0.1349,459243051.88,7.96,0,69,52070.16,1,3518612220.27,0,REGIONAL_RESILIENCE_REPORT,2025-10-16
2018,PL,PT29,HEATWAVE,0.6069,0.947,202671,28806896614.78,0.3938,0.7531,455125302.79,24.99,0,210,38104.35,0,2152482992.23,0,EEA_CLIMATE_ADAPTATION_DB,2026-02-14
2019,ES,BG14,COLD_SPELL,0.1647,0.4342,160775,19375316118.89,0.3967,0.3111,42194035.6,82.87,0,216,74659.87,0,1772752013.6,0,COPERNICUS_C3S_INDICATORS,2024-03-08
2020,HR,CY55,LANDSLIDE,0.4294,0.5645,169407,18616251079.75,0.3916,0.3816,42333805.84,75.47,0,130,10204.08,0,423542930.07,0,NATIONAL_RISK_ASSESSMENT,2024-04-25
2021,FI,ES47,STORM_WIND,0.6472,0.8642,192102,23771962178.25,0.5221,0.312,289613839.4,64.9,1,25,17431.83,1,2168659340.48,1,REGIONAL_RESILIENCE_REPORT,2025-07-08
2022,IE,PT61,WILDFIRE,0.5006,0.7737,208150,24290438935.87,0.7356,0.8518,434884260.93,11.99,1,100,6350.21,1,1718686891.11,0,EEA_CLIMATE_ADAPTATION_DB,2025-06-24
2023,MT,SE62,DROUGHT,0.4038,0.5307,156010,33062280004.83,0.5555,0.6396,297319473.85,33.6,1,106,14813.5,0,2139645834.66,1,COPERNICUS_C3S_INDICATORS,2025-01-13
2024,SK,HU45,FLOOD_COASTAL,0.5887,0.5318,224546,42807653295.15,0.6071,0.8908,230466095.32,8.16,0,158,44705.9,1,627963041.56,0,NATIONAL_RISK_ASSESSMENT,2025-05-27
2025,BE,IT416,FLOOD_RIVER,0.6137,0.7731,155482,38886406536.37,0.8958,0.8815,1007929908.75,63.19,1,159,3321.41,0,1512940334.71,0,REGIONAL_RESILIENCE_REPORT,2025-07-01
2005,DK,CZ48,HEATWAVE,0.7948,0.4913,224149,22065036154.86,0.5899,0.3536,87001776.99,60.38,0,174,86395.27,0,352767607.72,0,EEA_CLIMATE_ADAPTATION_DB,2025-08-21
2006,GR,SE705,COLD_SPELL,0.7806,0.4292,230434,20280016692.86,0.1311,0.7079,48085810.67,19.51,0,64,46135.52,1,1553840694.99,0,COPERNICUS_C3S_INDICATORS,2024-11-30
2007,LT,HR85,LANDSLIDE,0.6919,0.2621,202758,6470254136.08,0.3962,0.2225,15446674.49,56.12,1,116,27973.46,1,1999683723.15,0,NATIONAL_RISK_ASSESSMENT,2024-03-25
2008,PT,IT611,STORM_WIND,0.5661,0.8633,219051,4702973678.87,0.7686,0.7664,117883090.78,63.57,1,26,29642.44,1,1761769467.86,0,REGIONAL_RESILIENCE_REPORT,2025-12-05
2009,SE,GR631,WILDFIRE,0.2119,0.697,233496,39647712375.48,0.9011,0.4619,249135896.31,48.04,1,169,20475.82,0,405560902.78,0,EEA_CLIMATE_ADAPTATION_DB,2025-12-24
2010,CY,SE643,DROUGHT,0.0971,0.7795,222600,39511357681.18,0.5625,0.6491,122854146.9,6.31,1,115,28740.89,1,2864065475.02,0,COPERNICUS_C3S_INDICATORS,2024-12-11
2011,FR,LV84,FLOOD_COASTAL,0.15,0.335,232759,27860889101.88,0.7383,0.4522,18867527.8,77.09,1,145,34169.37,0,248047834.6,0,NATIONAL_RISK_ASSESSMENT,2024-12-16
2012,IT,RO1,FLOOD_RIVER,0.3879,0.6785,210194,20077869983.8,0.5911,0.7019,170317910.1,52.76,1,215,1507.0,0,3377080821.04,0,REGIONAL_RESILIENCE_REPORT,2024-01-20
2013,NL,SE735,HEATWAVE,0.4472,0.4705,167964,54710550342.07,0.1508,0.3728,59036806.36,35.3,0,40,82516.58,1,1284253242.88,0,EEA_CLIMATE_ADAPTATION_DB,2025-01-26
2014,SI,DE1,COLD_SPELL,0.0543,0.9574,221068,43048146168.89,0.5186,0.8883,79921145.48,63.45,1,161,64262.37,1,2667647758.9,0,COPERNICUS_C3S_INDICATORS,2025-12-18
2015,BG,DK89,LANDSLIDE,0.9222,0.752,205508,8358304172.06,0.3219,0.2951,28761686.15,58.15,1,204,56727.01,1,2304681437.43,0,NATIONAL_RISK_ASSESSMENT,2024-05-27
2016,EE,ES397,STORM_WIND,0.4128,0.2734,226041,27704886420.75,0.8592,0.8998,119141358.7,80.25,0,122,23715.96,0,1277643004.27,1,REGIONAL_RESILIENCE_REPORT,2025-10-15
2017,HU,ES1,WILDFIRE,0.5795,0.6789,178565,13911708743.64,0.2266,0.611,97200346.7,29.93,1,206,16107.65,0,1116534273.87,0,EEA_CLIMATE_ADAPTATION_DB,2026-01-27
2018,LU,NL63,DROUGHT,0.8265,0.9366,214647,2913301955.64,0.4297,0.7796,68264521.25,15.33,1,95,64443.36,1,1908539699.25,0,COPERNICUS_C3S_INDICATORS,2025-06-18
2019,RO,LU85,FLOOD_COASTAL,0.668,0.1961,178144,24012533490.29,0.5942,0.9515,119312960.05,25.18,0,197,8678.02,1,1894896266.2,0,NATIONAL_RISK_ASSESSMENT,2026-02-10
2020,AT,SE177,FLOOD_RIVER,0.8483,0.3032,222157,35162760917.33,0.3085,0.2825,94306914.71,32.05,1,179,47419.35,0,1138584363.37,0,REGIONAL_RESILIENCE_REPORT,2025-07-12
2021,CZ,LT7,HEATWAVE,0.3916,0.6589,206623,50908751485.5,0.5832,0.3965,202972627.04,9.42,1,153,46617.24,0,4078668143.83,0,EEA_CLIMATE_ADAPTATION_DB,2024-07-04
2022,DE,LU69,COLD_SPELL,0.8907,0.6388,210490,60145324338.15,0.5655,0.8535,301842004.97,19.36,1,80,73670.64,0,4118767018.37,0,COPERNICUS_C3S_INDICATORS,2024-11-25
2023,LV,IE19,LANDSLIDE,0.6011,0.2618,170532,49141465414.88,0.5336,0.9359,205310495.48,64.83,0,3,43554.25,0,2670769228.18,0,NATIONAL_RISK_ASSESSMENT,2025-11-02
2024,PL,LT6,STORM_WIND,0.2005,0.3348,186067,23618224541.14,0.9006,0.8236,109953444.29,22.88,1,4,43890.29,0,2060781624.82,0,REGIONAL_RESILIENCE_REPORT,2024-07-25
2025,ES,AT7,WILDFIRE,0.0774,0.7873,183117,18427426091.33,0.52,0.5942,28567653.55,80.05,1,36,30700.63,0,979369886.99,0,EEA_CLIMATE_ADAPTATION_DB,2025-02-19
2005,HR,LT62,DROUGHT,0.1258,0.7984,231997,43979950226.72,0.8753,0.4465,281865684.66,35.9,1,22,61030.11,0,2448268366.94,0,COPERNICUS_C3S_INDICATORS,2024-07-28
2006,FI,NL212,FLOOD_COASTAL,0.9168,0.7214,199208,25082299064.83,0.3456,0.7596,96141502.07,50.7,1,134,10798.85,0,2779082566.34,0,NATIONAL_RISK_ASSESSMENT,2025-05-09
2007,IE,RO424,FLOOD_RIVER,0.572,0.286,229622,48845071672.33,0.1311,0.2035,27324324.31,71.79,1,124,90178.05,1,1060336997.39,0,REGIONAL_RESILIENCE_REPORT,2024-04-19
2008,MT,RO91,HEATWAVE,0.0517,0.5789,182629,36435600272.33,0.7816,0.2504,56756074.18,12.77,1,196,54220.4,0,522182715.49,0,EEA_CLIMATE_ADAPTATION_DB,2025-01-28
2009,SK,DK72,COLD_SPELL,0.3692,0.138,240486,1191868246.64,0.9398,0.5385,2249839.02,71.25,1,208,14882.56,0,1970727390.55,0,COPERNICUS_C3S_INDICATORS,2024-04-27
2010,BE,PL281,LANDSLIDE,0.5191,0.6977,227803,27303807141.97,0.2697,0.9782,207585771.04,67.25,1,127,25368.42,0,3850304767.28,0,NATIONAL_RISK_ASSESSMENT,2026-01-12
2011,DK,AT103,STORM_WIND,0.1239,0.8597,169452,52584807221.11,0.4104,0.6998,62016418.91,6.38,1,193,31578.24,0,1851535252.19,0,REGIONAL_RESILIENCE_REPORT,2025-09-22
2012,GR,GR5,WILDFIRE,0.8909,0.7952,172833,47366636928.7,0.1071,0.2072,237905031.78,15.0,1,169,54871.58,1,984755414.03,1,EEA_CLIMATE_ADAPTATION_DB,2025-08-02
2013,LT,IE577,DROUGHT,0.3836,0.1867,220715,41958189091.17,0.6852,0.5436,75260727.74,26.78,1,72,3529.4,1,1948102121.07,0,COPERNICUS_C3S_INDICATORS,2024-07-17
2014,PT,ES4,FLOOD_COASTAL,0.9468,0.4989,178400,58440277467.63,0.3989,0.2804,199424956.45,37.21,1,62,2254.78,1,1659387057.17,0,NATIONAL_RISK_ASSESSMENT,2025-02-20
2015,SE,RO4,FLOOD_RIVER,0.9142,0.3472,228519,15253273083.53,0.4582,0.3718,167027117.55,41.6,0,201,36020.64,1,1322194553.97,0,REGIONAL_RESILIENCE_REPORT,2025-06-29
2016,CY,SI1,HEATWAVE,0.4668,0.3264,194808,15957564038.79,0.605,0.9605,15271805.25,56.94,1,210,92707.64,0,970983536.09,0,EEA_CLIMATE_ADAPTATION_DB,2025-11-05
2017,FR,SK809,COLD_SPELL,0.1779,0.8874,226212,49554134378.81,0.9237,0.1835,552689161.95,18.41,1,128,15910.21,1,1993658889.08,0,COPERNICUS_C3S_INDICATORS,2024-03-24
2018,IT,CY1,LANDSLIDE,0.0791,0.2523,227186,39518409156.25,0.9269,0.6979,13748022.27,28.33,1,156,69145.71,0,3529596761.7,0,NATIONAL_RISK_ASSESSMENT,2026-01-31
2019,NL,PT523,STORM_WIND,0.1971,0.1098,168424,56569519404.13,0.2144,0.2955,20549426.68,75.43,1,165,21730.24,1,1863089200.04,0,REGIONAL_RESILIENCE_REPORT,2026-02-15
2020,SI,MT59,WILDFIRE,0.5264,0.2175,181528,45007948129.65,0.3998,0.3331,125395006.65,70.78,1,121,11346.7,1,255246931.35,0,EEA_CLIMATE_ADAPTATION_DB,2026-01-09
2021,BG,IT36,DROUGHT,0.1952,0.1885,173998,42961281036.68,0.8598,0.3631,57381438.96,59.93,0,32,15961.37,0,2181703301.34,0,COPERNICUS_C3S_INDICATORS,2024-01-07
2022,EE,CZ3,FLOOD_COASTAL,0.681,0.9091,235079,50756858860.19,0.5235,0.8217,851355146.02,65.64,1,121,65363.51,1,3310381146.02,0,NATIONAL_RISK_ASSESSMENT,2025-06-25
2023,HU,RO84,FLOOD_RIVER,0.3254,0.4752,239057,48663059528.98,0.5688,0.8337,259799590.46,83.72,1,34,47548.11,1,2541341408.69,0,REGIONAL_RESILIENCE_REPORT,2025-12-11
2024,LU,EE72,HEATWAVE,0.6193,0.2077,243522,31470233322.07,0.4904,0.8789,38686591.46,31.75,1,58,34355.65,0,2010133830.75,0,EEA_CLIMATE_ADAPTATION_DB,2025-08-31
2025,RO,LT5,COLD_SPELL,0.8537,0.2421,170666,9422021878.59,0.1685,0.719,7034786.13,20.6,1,1,74415.33,0,2922382952.81,0,COPERNICUS_C3S_INDICATORS,2025-06-11
2005,AT,DK926,LANDSLIDE,0.3797,0.499,192789,49441997658.61,0.7516,0.1564,231975396.73,36.87,1,160,42461.06,0,3409722080.96,0,NATIONAL_RISK_ASSESSMENT,2024-03-19
2006,CZ,PT34,STORM_WIND,0.1249,0.2579,210088,51580477050.9,0.3875,0.3354,27893457.8,74.33,1,36,59565.36,0,54652197.34,0,REGIONAL_RESILIENCE_REPORT,2025-03-22
2007,DE,PL7,WILDFIRE,0.337,0.95,176702,4898615507.48,0.1809,0.7304,17983535.88,53.81,0,113,6930.07,1,3219511669.72,0,EEA_CLIMATE_ADAPTATION_DB,2025-01-15
2008,LV,LV413,DROUGHT,0.6976,0.4451,235506,1127146748.66,0.5977,0.9205,9064616.03,16.24,1,195,22131.31,0,480713962.34,0,COPERNICUS_C3S_INDICATORS,2025-06-16
2009,PL,IE987,FLOOD_COASTAL,0.717,0.5853,205852,37655823752.06,0.3903,0.1795,329168217.82,24.78,1,159,80100.25,1,1910758751.79,0,NATIONAL_RISK_ASSESSMENT,2024-02-18
2010,ES,LT94,FLOOD_RIVER,0.4139,0.2858,211152,29050838897.34,0.6404,0.78,23027092.01,69.27,1,220,82338.25,1,2161553054.22,0,REGIONAL_RESILIENCE_REPORT,2025-06-14
2011,HR,LT31,HEATWAVE,0.5479,0.3517,174428,21749058370.45,0.923,0.9588,250725560.11,27.86,1,183,64236.4,1,460172500.43,0,EEA_CLIMATE_ADAPTATION_DB,2024-05-06
2012,FI,FR880,COLD_SPELL,0.9471,0.9255,235474,57293019304.89,0.4679,0.4483,864832936.87,26.65,0,209,38482.81,1,934965349.79,0,COPERNICUS_C3S_INDICATORS,2024-05-14
2013,IE,SK6,LANDSLIDE,0.8498,0.8133,218346,25039536119.76,0.9257,0.7643,476790756.61,81.48,1,255,42324.32,0,2149902348.54,0,NATIONAL_RISK_ASSESSMENT,2026-02-04
2014,MT,FI58,STORM_WIND,0.6292,0.3173,199891,40797353239.58,0.1477,0.4106,70318415.93,36.84,1,166,6844.39,1,2559632873.21,0,REGIONAL_RESILIENCE_REPORT,2024-04-22
2015,SK,CY289,WILDFIRE,0.9037,0.9793,188879,59598900118.84,0.2441,0.5884,953188509.32,42.2,0,204,23056.27,1,2238986760.31,0,EEA_CLIMATE_ADAPTATION_DB,2024-03-29
2016,BE,BE5,DROUGHT,0.4454,0.5373,196056,2641063775.42,0.7554,0.6733,8803350.27,31.82,1,115,24639.15,1,1600732353.32,0,COPERNICUS_C3S_INDICATORS,2024-01-22
2017,DK,EE2,FLOOD_COASTAL,0.1452,0.9637,198682,28226122604.31,0.7225,0.2883,121283068.96,34.16,1,62,35716.55,1,3322362314.68,0,NATIONAL_RISK_ASSESSMENT,2025-07-14
2018,GR,FI23,FLOOD_RIVER,0.4421,0.8357,191864,8326614602.59,0.2131,0.5053,15444473.38,41.83,0,117,45968.15,1,1264512552.2,0,REGIONAL_RESILIENCE_REPORT,2024-04-29
2019,LT,SE25,HEATWAVE,0.5905,0.755,191635,17521288111.95,0.6329,0.8118,265210700.22,84.92,1,114,54227.79,0,1874668240.86,0,EEA_CLIMATE_ADAPTATION_DB,2024-07-15
2020,PT,HU32,COLD_SPELL,0.599,0.9647,254138,9861019400.32,0.2838,0.2946,16761613.05,7.47,1,147,23018.42,0,2219012923.52,0,COPERNICUS_C3S_INDICATORS,2024-06-15
2021,SE,DK27,LANDSLIDE,0.8749,0.2774,249903,1347050912.46,0.3912,0.7676,5818834.62,57.25,0,5,33014.08,1,3127425846.2,0,NATIONAL_RISK_ASSESSMENT,2024-09-03
2022,CY,LV1,STORM_WIND,0.5383,0.2766,188382,68707390633.27,0.3031,0.7829,99007054.22,39.43,1,209,40762.79,0,605471706.65,0,REGIONAL_RESILIENCE_REPORT,2025-05-29
2023,FR,SK356,WILDFIRE,0.3142,0.8454,185491,49793145249.21,0.6508,0.9152,302879897.13,82.16,0,17,10810.24,1,1898423727.35,0,EEA_CLIMATE_ADAPTATION_DB,2024-08-22
2024,IT,DE83,DROUGHT,0.1552,0.6425,206806,14016821572.03,0.6568,0.5189,68903695.86,36.92,1,162,40023.91,1,521817694.13,0,COPERNICUS_C3S_INDICATORS,2025-03-21
2025,NL,BG32,FLOOD_COASTAL,0.5296,0.567,219263,18975712413.23,0.7599,0.3686,203663780.98,45.72,1,26,40278.8,1,224636339.99,0,NATIONAL_RISK_ASSESSMENT,2024-07-10
2005,SI,HR193,FLOOD_RIVER,0.878,0.1142,246260,23026480289.42,0.6442,0.628,54816961.37,32.13,1,122,61021.09,1,4114404809.07,0,REGIONAL_RESILIENCE_REPORT,2025-03-02
2006,BG,GR7,HEATWAVE,0.2548,0.4793,192135,28449487302.52,0.2917,0.8141,59514324.99,48.22,1,212,12248.23,1,1247231123.88,0,EEA_CLIMATE_ADAPTATION_DB,2024-06-24
2007,EE,SK830,COLD_SPELL,0.7208,0.9695,220251,68793341998.14,0.7291,0.5585,924117813.52,51.91,1,168,42599.58,1,1035164269.43,0,COPERNICUS_C3S_INDICATORS,2025-12-14
2008,HU,ES65,LANDSLIDE,0.2919,0.4275,216174,50572635259.1,0.4097,0.2408,27169061.11,39.66,0,160,45312.51,0,801518828.4,0,NATIONAL_RISK_ASSESSMENT,2026-01-11
2009,LU,CZ861,STORM_WIND,0.387,0.4286,234370,3512760646.65,0.2401,0.3498,3881952.48,83.86,0,167,61876.14,0,1249470368.13,0,REGIONAL_RESILIENCE_REPORT,2024-02-14
2010,RO,IE529,WILDFIRE,0.135,0.9095,258736,23876775999.36,0.6474,0.4507,25380961.11,53.28,1,214,24120.86,0,2974251958.42,0,EEA_CLIMATE_ADAPTATION_DB,2025-11-27
2011,AT,FI89,DROUGHT,0.2883,0.5336,260305,26765577830.58,0.2469,0.6787,34253227.1,45.06,0,203,50634.87,1,1893414501.65,0,COPERNICUS_C3S_INDICATORS,2025-04-01
2012,CZ,SE552,FLOOD_COASTAL,0.199,0.6481,249114,29654514565.19,0.489,0.8797,48760630.42,66.39,1,41,11065.78,1,1717007618.64,0,NATIONAL_RISK_ASSESSMENT,2024-07-25
2013,DE,LT683,FLOOD_RIVER,0.5421,0.5213,248530,1518690317.12,0.7835,0.589,24717274.02,19.47,1,211,32067.93,1,426881337.03,0,REGIONAL_RESILIENCE_REPORT,2024-05-31
2014,LV,DE508,HEATWAVE,0.2729,0.8782,245420,6179566016.23,0.384,0.5246,29311780.37,78.23,1,260,91853.43,1,2112294901.71,0,EEA_CLIMATE_ADAPTATION_DB,2024-08-30
2015,PL,FR128,COLD_SPELL,0.4851,0.2835,232064,41015673995.2,0.3411,0.9065,25543818.96,73.09,1,166,74459.48,1,1259401724.66,0,COPERNICUS_C3S_INDICATORS,2026-01-11
2016,ES,NL687,LANDSLIDE,0.4855,0.355,219054,55717562407.28,0.2751,0.9469,155058806.12,83.58,1,190,20194.88,1,1280868615.89,0,NATIONAL_RISK_ASSESSMENT,2024-05-10
2017,HR,GR970,STORM_WIND,0.9205,0.2521,242356,48829665988.82,0.808,0.9122,540353035.21,69.92,1,43,8569.55,0,837854550.61,0,REGIONAL_RESILIENCE_REPORT,2024-05-03
2018,FI,MT950,WILDFIRE,0.3845,0.755,206535,32205426247.03,0.7516,0.83,271857669.89,9.36,0,106,59445.81,0,578492470.33,0,EEA_CLIMATE_ADAPTATION_DB,2024-01-05
2019,IE,FI92,DROUGHT,0.6437,0.7962,232840,33934074724.8,0.8765,0.2573,300147024.58,78.84,1,105,1759.27,1,1115082865.7,0,COPERNICUS_C3S_INDICATORS,2025-08-03
2020,MT,HR55,FLOOD_COASTAL,0.3248,0.7722,189442,4207632968.67,0.3099,0.6985,13637817.3,50.01,1,219,22991.01,1,426672320.75,0,NATIONAL_RISK_ASSESSMENT,2024-11-29
2021,SK,LU42,FLOOD_RIVER,0.3687,0.9462,203920,72636957448.21,0.8046,0.4094,615704723.29,22.8,1,242,9259.26,0,2288505000.13,0,REGIONAL_RESILIENCE_REPORT,2025-07-24
2022,BE,IE49,HEATWAVE,0.1082,0.9101,202591,22557908905.89,0.6647,0.5519,78151210.08,29.89,1,201,890.7,1,1229729349.27,0,EEA_CLIMATE_ADAPTATION_DB,2025-09-04
2023,DK,DK95,COLD_SPELL,0.7593,0.8284,265927,16484927293.64,0.8515,0.9648,247463795.34,27.7,0,147,28638.93,1,1584927047.13,0,COPERNICUS_C3S_INDICATORS,2025-01-12
2024,GR,IE2,LANDSLIDE,0.2663,0.5618,259009,36811863248.21,0.835,0.1442,159824700.3,34.13,0,169,76242.13,1,126862406.26,0,NATIONAL_RISK_ASSESSMENT,2025-06-04
2025,LT,SE65,STORM_WIND,0.2101,0.7298,236069,40329608085.63,0.4409,0.613,31638773.27,73.26,1,186,74351.16,0,1242391122.61,0,REGIONAL_RESILIENCE_REPORT,2025-05-27
2005,PT,AT43,WILDFIRE,0.5107,0.312,190664,59707270278.76,0.7863,0.5738,292778856.34,69.61,1,133,38504.95,1,1091749040.78,0,EEA_CLIMATE_ADAPTATION_DB,2025-08-04
2006,SE,LU33,DROUGHT,0.5626,0.9746,221701,51670409497.58,0.6011,0.7089,1255793821.7,36.45,1,68,12585.49,1,3566802567.23,0,COPERNICUS_C3S_INDICATORS,2024-06-16
2007,CY,DE922,FLOOD_COASTAL,0.6245,0.3139,263719,40943329551.31,0.2031,0.1222,45431596.2,67.92,0,159,27827.56,1,654663096.65,0,NATIONAL_RISK_ASSESSMENT,2024-09-04
2008,FR,PT553,FLOOD_RIVER,0.7173,0.3172,223886,107173692.35,0.3341,0.9585,648133.16,37.41,0,33,77033.31,1,639843623.59,0,REGIONAL_RESILIENCE_REPORT,2024-07-29
2009,IT,EE282,HEATWAVE,0.8011,0.2319,255553,50835164628.95,0.6188,0.17,233321542.4,24.65,1,57,19713.4,1,1106305415.44,0,EEA_CLIMATE_ADAPTATION_DB,2025-11-20
2010,NL,LV36,COLD_SPELL,0.2882,0.4368,206144,37742624826.77,0.3231,0.3988,42030980.51,52.02,1,95,5786.38,1,1077142027.22,0,COPERNICUS_C3S_INDICATORS,2026-02-04
2011,SI,BG31,LANDSLIDE,0.2315,0.2706,194804,9639222555.79,0.7135,0.3956,18669197.38,39.5,1,55,28676.0,0,359511344.17,0,NATIONAL_RISK_ASSESSMENT,2025-05-21
2012,BG,MT85,STORM_WIND,0.8952,0.1885,262903,32317119941.07,0.2306,0.165,73216049.4,10.78,0,4,74079.59,0,1452843067.19,0,REGIONAL_RESILIENCE_REPORT,2025-11-12
2013,EE,SK171,WILDFIRE,0.1713,0.535,247491,45071163161.44,0.8349,0.7987,267887076.41,53.0,1,46,48346.15,1,578742827.89,1,EEA_CLIMATE_ADAPTATION_DB,2025-10-07
2014,HU,IT2,DROUGHT,0.784,0.3704,232358,3947505677.42,0.786,0.3926,47951103.92,76.42,0,29,56799.7,1,667443057.86,0,COPERNICUS_C3S_INDICATORS,2024-01-25
2015,LU,FI193,FLOOD_COASTAL,0.0896,0.1125,242477,23935450233.2,0.6786,0.9033,12182807.99,50.25,1,7,78377.33,1,2178304554.62,0,NATIONAL_RISK_ASSESSMENT,2025-12-02
2016,RO,FR848,FLOOD_RIVER,0.1391,0.5445,197551,28112501.93,0.7573,0.4133,124247.25,58.8,0,12,58516.12,1,1702734880.63,0,REGIONAL_RESILIENCE_REPORT,2025-08-04
2017,AT,LV97,HEATWAVE,0.4293,0.8451,239386,33589179550.36,0.347,0.3709,286493689.2,58.39,1,177,64972.09,1,2582803971.02,0,EEA_CLIMATE_ADAPTATION_DB,2024-07-06
2018,CZ,IE9,COLD_SPELL,0.3382,0.867,273134,9547239425.72,0.49,0.3441,80235292.25,46.01,1,88,56805.41,1,238785791.37,1,COPERNICUS_C3S_INDICATORS,2024-11-05
2019,DE,CZ5,LANDSLIDE,0.2017,0.2897,197089,3104363234.58,0.1148,0.1313,877590.82,42.61,0,205,49259.07,0,841854090.84,0,NATIONAL_RISK_ASSESSMENT,2024-09-01
2020,LV,BG709,STORM_WIND,0.908,0.8822,216825,39480273180.37,0.8001,0.3293,846629848.69,81.94,0,185,22459.2,1,2792614497.96,0,REGIONAL_RESILIENCE_REPORT,2024-03-27
2021,PL,LV411,WILDFIRE,0.8873,0.4352,211393,52759638156.72,0.5997,0.1679,699209380.42,9.24,0,8,64776.99,0,2375919305.52,0,EEA_CLIMATE_ADAPTATION_DB,2025-07-13
2022,ES,LV320,DROUGHT,0.9329,0.8735,232190,19164867542.61,0.8779,0.4892,1028474581.85,64.92,1,93,34628.17,0,3394949016.95,0,COPERNICUS_C3S_INDICATORS,2024-04-29
2023,HR,NL553,FLOOD_COASTAL,0.8191,0.2678,210667,4146278535.54,0.3442,0.769,6633730.44,20.84,1,93,20617.32,0,679861794.09,0,NATIONAL_RISK_ASSESSMENT,2025-11-20
2024,FI,HR5,FLOOD_RIVER,0.851,0.6766,266617,53875130069.16,0.54,0.6074,253445235.37,36.97,0,161,41038.52,0,2009544960.47,0,REGIONAL_RESILIENCE_REPORT,2025-05-10
2025,IE,CY850,HEATWAVE,0.2698,0.3782,223124,9752626936.48,0.8812,0.3368,60577111.19,48.65,1,129,89608.4,1,3046091996.0,0,EEA_CLIMATE_ADAPTATION_DB,2026-01-08
2005,MT,EE684,COLD_SPELL,0.1667,0.8125,215514,10598030454.99,0.7699,0.405,52593945.38,22.43,1,141,19884.28,0,3978865501.63,0,COPERNICUS_C3S_INDICATORS,2025-09-27
2006,SK,AT664,LANDSLIDE,0.9044,0.6057,269430,11654520090.89,0.8829,0.6938,142704522.1,20.71,1,120,64163.99,1,12526924.31,0,NATIONAL_RISK_ASSESSMENT,2026-01-28
