house_rent_rent_month,house_rent_building_id_hash,house_rent_unit_bedroom_count,house_rent_asking_rent_inr,house_rent_effective_rent_inr,house_rent_rent_concession_weeks,house_rent_vacancy_rate_building,house_rent_lease_term_months,house_rent_tenant_income_requirement,house_rent_rent_to_income_ratio,house_rent_utility_included_flag,house_rent_pet_fee_inr,house_rent_application_fee_inr,house_rent_security_deposit_inr,house_rent_eviction_filing_rate,house_rent_rent_control_coverage_flag,house_rent_affordability_target_ami,house_rent_subsidy_waitlist_length,house_rent_move_in_incentive_flag,house_rent_renter_turnover_rate
2020-12,BLDG-4aeeeb4f4dd1,5,32189,28875,4,2.82,11,4.26,28.35,Y,22107,88,275805,0.716,Y,135.5,44136,Y,34.33
2019-05,BLDG-7c5b7302a9a2,4,43753,38247,5,18.16,36,1.83,10.47,N,5017,2463,194555,2.978,Y,42.8,14749,N,21.63
2025-06,BLDG-7a018fc19b1a,3,173333,163227,8,10.02,6,2.17,30.88,Y,23259,4208,106677,0.229,N,190.1,39064,Y,27.04
2022-11,BLDG-142d9aeaf731,2,50095,42724,0,23.09,36,2.7,39.72,Y,20433,5242,155622,4.329,Y,156.2,42911,N,0.7
2021-05,BLDG-b0f018d47373,2,9262,9432,2,10.46,12,3.33,22.8,N,12709,5365,329627,0.745,N,73.8,419,Y,63.11
2019-08,BLDG-97f3a4870184,1,72743,72056,1,6.77,36,4.55,18.2,N,18595,3284,261214,0.732,Y,105.8,26563,N,48.68
2025-03,BLDG-73f74e645b72,2,47677,40779,7,7.39,9,2.48,37.43,Y,11900,2579,350782,0.398,Y,131.6,40109,N,64.79
2019-09,BLDG-cd5fa400e32c,3,34982,31568,8,11.45,24,2.84,38.57,N,20180,3616,263364,4.65,Y,129.9,18102,Y,48.03
2024-07,BLDG-2079e6571357,3,105995,105023,2,12.33,6,4.07,31.41,N,1998,3861,145875,4.862,Y,70.8,29674,N,9.68
2020-02,BLDG-d1f819030917,4,151148,132393,0,26.13,11,2.71,46.69,Y,3682,3677,262773,3.86,Y,153.8,10474,Y,14.65
2023-11,BLDG-79e1c3b335a3,4,167420,150777,6,24.12,11,4.34,31.65,Y,23198,364,316885,7.977,Y,129.1,41166,Y,53.61
2024-09,BLDG-ea9734f672db,1,41140,39771,0,4.24,11,3.95,39.36,Y,6384,3804,89747,0.479,N,133.9,7446,N,40.77
2020-07,BLDG-8aade1d51ffc,0,6135,6229,1,13.76,9,3.84,8.61,N,4224,1159,287826,2.708,N,80.0,43064,Y,61.21
2025-06,BLDG-da8ef399386e,4,72835,67759,5,7.98,6,2.11,31.26,Y,9317,2559,84165,7.475,N,182.6,27504,N,14.88
2020-03,BLDG-ed1e6599b057,4,15525,13854,7,19.78,24,4.88,48.86,Y,19522,1636,254577,2.596,Y,65.5,17951,Y,33.68
2021-07,BLDG-c1dd43685d42,5,140676,131270,0,11.74,9,3.53,18.12,Y,21517,3483,196950,2.257,Y,154.8,11982,N,54.26
2024-04,BLDG-cc3754bf468e,0,35798,35808,3,10.84,3,3.29,42.08,N,14039,307,191611,1.223,N,84.8,37762,Y,34.6
2024-08,BLDG-7ae4fccc88eb,2,115159,100704,4,10.57,6,4.38,23.93,N,22735,5523,291605,5.508,N,37.1,22361,N,22.93
2019-01,BLDG-3ea96a4f71c6,4,91200,86098,3,0.89,6,2.49,19.01,N,16354,3222,170971,7.696,Y,69.6,34876,N,15.4
2024-11,BLDG-287c1bfe3a60,2,130182,125328,8,7.83,24,1.86,24.85,Y,14410,3762,262234,5.079,Y,54.3,8010,N,34.6
2022-05,BLDG-b28b6c8d2494,5,136758,118842,5,9.65,24,1.86,28.42,Y,3597,5279,275830,3.774,Y,146.4,35037,Y,35.73
2022-09,BLDG-d1bc48e14637,0,107164,97383,8,15.82,9,4.18,52.36,N,6537,1990,346705,3.687,N,130.9,43480,Y,62.25
2019-06,BLDG-ed953136621b,4,158709,152087,6,1.05,11,1.85,12.1,N,17103,1049,166423,3.088,N,35.9,37165,Y,40.74
2022-03,BLDG-9b6c2aa952ed,5,107573,104873,2,5.13,6,2.53,28.49,Y,5592,3356,315289,3.807,N,66.7,32200,Y,38.97
2022-05,BLDG-8fb52a26c07a,4,58182,57063,3,21.01,36,2.71,18.31,Y,3969,3969,161532,6.244,Y,63.5,33994,Y,6.12
2020-12,BLDG-49857eb1be2b,3,18985,18171,8,5.89,11,4.93,54.01,N,9869,3063,42534,7.947,Y,45.2,2433,Y,60.21
2019-07,BLDG-9e789f51a2db,5,116098,102517,5,4.41,24,4.81,38.14,Y,17677,4966,352301,6.173,N,111.2,34895,Y,51.99
2020-10,BLDG-b0764a814b47,1,58606,50843,6,25.28,11,2.38,52.62,Y,10128,1797,292131,0.383,Y,43.0,30747,N,41.4
2021-10,BLDG-537b4f61703d,5,113749,99447,5,20.65,6,3.05,42.15,N,12002,3115,247539,0.039,Y,128.2,44353,N,5.36
2021-10,BLDG-445d519cb064,0,8570,8130,6,14.74,12,4.59,52.17,Y,15963,3112,322654,5.818,Y,30.2,9968,Y,37.63
2023-11,BLDG-023f63043770,2,58856,52138,8,10.39,24,2.72,8.92,N,12178,5121,81546,4.086,Y,86.0,9615,N,56.81
2020-07,BLDG-a312c759cb90,5,130730,112343,0,12.68,3,3.62,54.09,Y,27,5114,317522,0.383,N,186.9,28945,Y,1.07
2021-01,BLDG-5b6587732c0a,2,176073,176558,7,3.17,12,2.03,14.73,N,5736,1546,130137,3.431,N,79.1,24181,Y,5.13
2021-11,BLDG-f6606aff83c6,5,5276,4798,2,23.66,36,4.0,25.36,Y,18705,4949,195058,6.161,N,127.9,43319,Y,0.34
2021-04,BLDG-d02cdb9dc9ef,0,66775,59285,2,20.83,24,4.64,30.98,Y,19124,4741,13980,7.98,N,55.0,16601,N,9.86
2023-05,BLDG-53f598740d50,1,81101,76350,3,5.17,24,4.04,40.64,Y,8567,971,223791,1.979,Y,40.5,14770,Y,54.9
2019-01,BLDG-1d3be6e0415e,0,83553,81134,6,14.63,12,4.66,27.14,Y,4500,2463,359075,6.911,Y,59.2,30224,Y,34.99
2021-04,BLDG-a1b093784fea,0,104839,95059,5,15.03,9,4.39,30.03,Y,7560,109,181572,6.895,N,58.6,32631,Y,22.83
2023-01,BLDG-2082d5650c9f,4,134781,119333,5,12.49,11,2.99,41.09,N,22196,3431,245280,3.907,N,44.6,44876,Y,40.49
2019-04,BLDG-75bfd190e636,4,84937,78205,7,19.17,6,4.64,41.9,Y,2521,3697,122771,3.117,Y,172.1,39232,Y,61.23
2019-03,BLDG-66b500bf4d79,4,179462,180965,6,14.89,11,4.07,41.06,N,19460,2077,21485,0.136,Y,183.8,17163,Y,18.16
2025-02,BLDG-b0cfad340d2c,4,77608,73639,1,13.24,36,2.56,28.47,Y,15414,1918,176376,7.753,N,183.8,2813,Y,22.18
2023-12,BLDG-30196374e3c6,4,39777,35512,4,24.25,24,3.45,39.75,N,11142,2421,287180,5.543,N,113.9,31960,Y,45.45
2020-10,BLDG-bc928546e117,3,124166,114309,8,5.98,36,4.07,20.75,N,22506,4273,298125,3.504,Y,172.0,2036,Y,63.75
2024-08,BLDG-c9e43de22c7b,1,54715,50252,5,0.3,9,4.81,45.61,Y,12426,4192,313273,5.001,Y,183.0,22800,N,3.23
2019-07,BLDG-7cf2786faafc,4,174035,164089,0,3.02,36,4.38,45.47,Y,1965,4798,110284,3.007,N,120.1,14317,N,8.67
2019-01,BLDG-947030b780a9,2,6695,5884,4,15.63,3,4.19,50.71,N,1998,5452,102018,5.788,Y,110.7,13263,Y,29.87
2021-06,BLDG-e42432fe19d6,5,13439,11556,2,2.2,11,4.07,16.4,N,15392,4916,191246,7.317,Y,187.1,31703,Y,25.54
2023-10,BLDG-c5d6d4d5df27,0,110992,103161,5,17.18,24,3.28,44.11,Y,19509,2468,46101,2.628,N,181.3,26813,Y,6.24
2024-11,BLDG-d7b85b1b14b1,1,95563,97147,0,22.8,24,4.9,23.33,N,24069,1381,298620,3.663,N,74.9,40697,Y,60.37
2024-09,BLDG-7370b38caa66,2,168767,148098,5,2.98,6,3.68,54.59,N,9934,138,92781,5.662,N,194.7,37429,N,27.24
2023-03,BLDG-c1605886daf3,2,99055,98861,7,23.22,12,2.8,41.99,N,6012,3234,327300,3.593,N,38.4,32230,N,41.02
2019-08,BLDG-d18ce43c8b69,4,157177,157366,3,26.19,11,1.88,49.5,N,14790,156,157725,5.335,N,44.2,13380,N,5.76
2025-11,BLDG-c1c33d73bac7,4,28400,27011,5,3.0,12,4.73,35.1,Y,11390,1229,145477,4.103,N,153.1,23824,N,64.77
2021-01,BLDG-5c296edfad2a,5,125910,126887,6,3.77,9,3.01,41.61,Y,12178,5814,184875,4.448,Y,194.9,2105,N,7.49
2020-12,BLDG-67c25140a505,3,97982,86972,2,2.57,9,3.53,22.03,N,10596,1696,119359,1.339,Y,161.9,1922,Y,29.5
2022-05,BLDG-b64fc090f8dc,1,29151,29181,6,0.79,36,3.68,22.44,N,1334,4693,292866,0.418,Y,80.0,39144,Y,13.95
2022-09,BLDG-ff1a9c94f1cd,1,90604,80924,5,23.33,6,2.22,54.47,N,22507,4191,250436,2.361,N,73.5,25514,Y,19.12
2019-05,BLDG-d52e18254336,4,136117,131828,2,11.1,12,3.38,28.27,Y,3232,5609,234007,4.266,Y,58.8,23573,N,22.38
2023-08,BLDG-1a24766a8558,3,78145,67180,1,10.35,36,4.91,17.91,Y,20683,5449,93694,5.233,Y,51.3,27819,Y,53.04
2024-08,BLDG-7e45a3a8c44c,3,155075,153613,4,2.42,3,2.29,21.15,N,833,5044,43793,1.089,Y,165.1,16691,Y,46.63
2024-07,BLDG-00410a5b928f,2,52619,44864,2,2.79,24,2.35,18.95,N,10651,4255,143558,0.853,N,61.3,29447,Y,60.89
2022-07,BLDG-e801518fb12b,3,48654,46345,0,3.84,6,4.69,42.52,N,6914,2064,112256,6.859,N,177.0,12940,Y,64.14
2020-02,BLDG-2fdc2730cef1,5,133541,123497,5,11.99,6,2.6,41.9,N,20034,4464,194622,2.28,Y,59.3,5590,N,27.14
2025-03,BLDG-be5ea3d2be15,4,176091,168504,5,3.32,36,4.55,47.46,N,24560,4833,154028,7.028,Y,108.0,13726,N,15.24
2022-10,BLDG-5c0a89053df2,0,146898,134246,1,25.22,6,3.44,18.22,N,17247,2728,202238,6.05,N,197.4,33109,Y,9.25
2021-04,BLDG-3f721510003d,3,85332,80283,5,14.28,36,4.67,46.79,N,1211,2798,15656,7.787,N,164.8,28269,N,23.3
2020-10,BLDG-4b969a01da42,0,105961,103101,8,23.26,36,2.56,9.39,Y,9066,1973,245216,1.239,Y,66.6,43629,Y,18.18
2022-04,BLDG-c6441bad361b,1,108524,102960,8,12.33,6,4.5,48.8,Y,2592,2389,119878,1.072,Y,198.8,31285,Y,19.03
2024-08,BLDG-e08d13ab134f,0,73848,72868,0,0.6,6,2.13,21.91,Y,14473,239,251106,7.972,N,185.8,13615,Y,49.11
2019-08,BLDG-13e3270b4255,2,12134,11989,0,22.53,9,1.82,16.79,N,11423,3491,286155,3.648,Y,104.0,4113,Y,8.68
2023-04,BLDG-0e0b55f93d65,2,17301,14740,3,20.55,12,4.34,52.14,Y,21978,2649,237635,4.988,N,74.6,226,N,45.83
2023-02,BLDG-84c10c8f6a06,0,95062,92751,0,7.45,36,3.66,44.63,N,20608,1055,260597,3.089,N,66.4,29750,N,52.59
2019-11,BLDG-334e1b61ac23,3,107388,95723,4,14.48,36,2.79,38.28,Y,2547,2858,137432,5.885,Y,32.2,31300,N,48.07
2022-09,BLDG-c1e68bd24aed,1,92715,88282,1,10.79,24,4.52,15.43,N,1912,628,94047,5.653,N,83.5,26839,N,47.91
2021-12,BLDG-c212011aca91,5,95396,87306,7,18.26,11,4.2,54.58,Y,5840,599,78187,6.255,N,111.7,38735,N,41.66
2022-12,BLDG-414fe09a812a,3,79145,72741,5,13.13,6,3.77,46.45,N,11210,5398,133494,5.861,Y,166.0,5520,N,51.9
2022-01,BLDG-3ba48efe337d,5,52624,51459,5,7.13,6,3.07,39.58,Y,2429,1555,359915,2.436,Y,102.6,27854,Y,50.07
2020-05,BLDG-0b40e16d5562,4,134559,123056,3,10.93,12,2.02,24.14,Y,21539,1627,296550,2.439,N,199.2,25078,N,12.17
2025-06,BLDG-0c7fa07763ea,5,94746,93626,5,24.25,9,2.94,51.37,N,11146,3620,25013,7.884,Y,98.2,9464,N,52.28
2024-05,BLDG-dd5e82e1e7b7,0,4682,4301,6,23.94,24,1.8,42.79,Y,12509,3624,350135,5.732,N,34.4,38797,Y,55.96
2021-02,BLDG-7f7288baae43,1,121046,103245,6,25.66,11,3.37,41.39,N,16757,3193,326484,7.457,Y,133.5,36686,N,21.94
2025-05,BLDG-2986438b72b3,1,80580,70766,0,11.75,11,4.29,21.59,N,9183,1275,297810,4.851,Y,138.0,1544,N,36.94
2019-08,BLDG-98d4ed130f48,4,141192,143397,5,20.12,12,4.64,43.65,Y,4417,4870,85344,6.702,N,65.6,20875,Y,10.92
2020-11,BLDG-72f643da44ab,4,111747,106384,2,1.07,12,3.33,24.99,Y,19567,4921,22218,6.813,Y,31.8,15365,N,18.61
2019-09,BLDG-bfa757a89487,2,90498,79920,5,9.27,12,4.1,18.08,Y,22966,1622,234860,6.504,N,89.8,36249,N,21.93
2024-08,BLDG-573e93167db7,5,156904,133389,0,21.75,3,4.48,45.98,Y,6084,1348,280650,4.58,N,110.1,31561,N,32.4
2024-12,BLDG-54373e29fb07,3,40233,40017,6,2.9,12,3.61,16.95,Y,22062,2406,273809,6.44,Y,163.1,32048,N,30.97
2019-07,BLDG-40220181344b,2,14671,12862,0,5.19,12,4.63,20.86,Y,3932,1006,74603,5.306,N,131.9,39120,Y,9.1
2024-02,BLDG-6712fac53992,2,109121,93126,0,1.81,36,3.73,41.17,Y,3961,5202,318345,3.922,N,92.9,30029,Y,59.62
2020-12,BLDG-a4d2bc8a6d9d,1,178220,151715,1,1.55,11,3.6,23.75,N,16638,3888,58850,4.025,Y,157.8,32055,Y,1.15
2025-07,BLDG-eb9662a3c43a,0,68601,58973,6,15.77,11,3.97,27.84,N,20319,1965,265064,2.466,Y,136.8,33728,Y,6.26
2025-05,BLDG-c17cd38c2f4e,5,90763,86164,4,7.61,12,3.98,53.19,Y,18806,3017,43237,4.422,N,107.5,37001,Y,26.83
2023-01,BLDG-11c62f21276c,4,128848,116298,4,19.7,3,4.97,10.35,Y,21645,2492,73828,7.358,N,45.2,12676,Y,53.7
2025-10,BLDG-5304be7025c0,4,8206,7803,8,22.53,3,2.6,16.92,Y,3546,1711,136973,2.724,N,54.9,44998,N,17.83
2024-07,BLDG-d881e0fed729,1,9119,8145,0,24.68,24,4.65,49.91,Y,3927,5327,156242,7.652,Y,46.6,9538,N,60.09
2021-09,BLDG-e96f7748e7fb,0,75072,67616,6,9.21,11,3.1,13.72,Y,6853,2410,90479,5.715,Y,39.8,38757,N,26.0
2024-02,BLDG-30ca2c976bdd,3,61768,53340,4,26.96,9,4.98,22.22,Y,11631,4616,51390,0.892,N,155.3,38178,N,0.82
2019-05,BLDG-8d833bc5dc8d,5,37893,35427,8,23.42,9,4.95,17.72,Y,6831,709,267426,2.046,N,77.4,6948,Y,1.76
2022-12,BLDG-d48ea5c75d61,0,131243,127468,1,9.08,6,3.91,50.48,N,10529,5056,250752,4.248,Y,39.1,14428,Y,16.24
2024-12,BLDG-3a7320af2f54,3,106088,94977,1,25.44,9,4.47,19.75,Y,19720,3695,156740,2.236,N,116.0,9146,Y,48.85
2021-01,BLDG-9fb8040c76bb,4,136295,117115,3,1.08,36,4.11,18.78,Y,6567,3175,130633,5.484,N,151.7,1889,N,12.64
2025-01,BLDG-e940abf0e09e,1,43890,38653,2,27.51,11,2.37,54.33,N,20504,4153,52735,6.89,Y,153.1,20910,Y,1.64
2021-06,BLDG-c12c838c5e62,5,117110,101288,3,23.23,11,4.66,53.59,Y,3823,5861,292562,0.569,N,157.2,4048,Y,58.77
2025-10,BLDG-30d9d384b3b1,0,43110,38460,5,15.7,6,2.81,41.74,N,10331,5830,239735,1.449,Y,91.9,40849,N,50.1
2021-09,BLDG-01142a320ac8,2,68414,68717,7,9.84,3,3.58,41.62,Y,15146,3261,87409,5.963,Y,138.0,16727,N,46.82
2024-02,BLDG-c97f04054618,2,26621,25617,8,11.5,11,3.09,50.69,Y,643,4437,95519,1.351,N,177.4,12053,N,13.71
2020-06,BLDG-87ed0e401725,1,76237,72587,0,4.41,36,3.94,36.66,Y,19607,2100,225866,6.518,N,71.7,12869,N,11.85
2021-08,BLDG-d4189788d1b8,0,171283,165784,5,24.69,11,2.28,27.08,Y,5911,1575,6047,4.957,N,30.8,44891,Y,14.79
2019-03,BLDG-083c840f0985,2,177332,163302,4,2.09,6,2.77,19.12,Y,20493,66,148016,6.515,N,30.4,27302,N,42.42
2024-02,BLDG-7fc746763ba9,3,138987,130691,0,5.74,9,2.28,53.32,N,14900,3224,239125,3.14,Y,162.6,40601,N,1.01
2022-03,BLDG-003702be0223,1,112364,105115,5,6.61,36,2.48,26.94,Y,15381,5105,121121,6.605,Y,77.8,44566,Y,34.43
2021-05,BLDG-22a7f7fae770,4,89314,87933,3,23.46,6,4.57,10.78,Y,4874,2233,20795,0.876,Y,64.7,7073,N,32.18
2021-01,BLDG-283b21f035bd,4,31433,29961,3,15.95,36,2.88,44.2,N,22554,5722,52019,0.919,N,136.0,26071,Y,61.46
2023-06,BLDG-e746d3b05b39,4,24485,22447,3,24.74,11,4.81,18.28,N,6613,1867,62648,0.125,N,106.1,6889,N,57.86
2023-04,BLDG-a45a15ca183f,1,58892,59236,3,18.46,11,3.58,11.1,Y,11131,761,340787,0.489,Y,31.1,37444,Y,1.91
2023-01,BLDG-d82377ccb89b,3,44831,45115,2,13.14,9,4.89,47.06,N,14045,2455,145724,7.519,Y,120.7,27427,Y,55.22
2024-01,BLDG-d572ae9c0da6,3,173197,169354,5,24.34,36,2.01,22.16,Y,194,5459,359649,6.759,Y,113.7,26228,N,27.71
2019-05,BLDG-959d336c7a1b,2,49682,45968,5,16.72,11,2.48,46.37,Y,16980,3364,141888,2.363,N,59.6,43472,Y,23.8
2021-12,BLDG-316353c47e8c,0,90432,84356,8,24.62,6,4.16,48.97,Y,20573,3677,86010,3.497,N,185.9,8087,Y,17.32
2020-02,BLDG-50e9d5ac209d,5,142792,131780,2,9.21,24,2.27,47.56,Y,20159,442,267217,5.721,N,86.4,709,N,13.15
2025-11,BLDG-5d1bc9ba9d56,2,16116,14741,5,18.03,3,3.06,20.4,Y,22286,3015,258307,0.898,Y,83.0,23272,N,30.54
2023-09,BLDG-b1ba95753e8e,2,25716,24109,8,2.41,12,2.39,13.47,Y,3488,914,292436,2.606,N,75.6,1341,Y,4.39
2025-04,BLDG-b4b4fc02f615,5,86302,80852,5,12.07,6,2.99,46.2,Y,11319,2282,28720,6.342,N,175.7,10412,N,22.47
2019-10,BLDG-97eb47597114,3,99177,85634,3,6.27,3,2.92,15.89,Y,4933,4570,41252,4.554,Y,70.3,39278,N,62.26
2021-02,BLDG-97a04a3d6de4,0,48606,41495,1,21.84,6,3.22,33.7,Y,18225,4409,114744,0.386,N,91.6,17895,Y,6.73
2024-03,BLDG-4404fe94e334,3,109160,95988,0,21.45,24,2.88,51.43,Y,13989,394,241920,5.528,N,36.8,21246,Y,42.83
2025-10,BLDG-204389aa02a3,5,96948,87650,0,1.71,24,4.38,28.33,N,8707,2559,54756,5.302,Y,44.0,30862,Y,28.41
2023-06,BLDG-502836a5778e,0,151290,150277,1,15.51,3,3.58,25.02,N,10939,892,18839,3.607,N,145.1,34817,N,30.02
2021-10,BLDG-7cadc8b7a0d3,1,77793,71213,6,18.92,36,3.94,22.39,Y,11694,1680,48174,2.98,Y,61.8,6433,N,37.71
2019-01,BLDG-49a362b9914b,1,96613,88229,2,20.87,11,3.26,27.05,Y,14297,1864,24169,3.746,N,61.0,5354,Y,41.65
2024-10,BLDG-0855cda20518,1,38859,37998,5,13.98,3,2.56,52.64,N,10485,5705,129065,7.042,N,67.1,3787,Y,26.47
2024-03,BLDG-174f93ef77ba,1,25481,24892,1,26.0,9,3.25,41.63,Y,1932,647,38231,1.956,Y,187.7,25752,Y,30.86
2023-11,BLDG-5baaa796cd48,3,170264,172747,1,1.12,3,3.52,51.02,Y,7899,2836,197146,4.117,Y,46.0,43769,N,36.49
2021-02,BLDG-ebb31fc860d4,0,156283,142518,7,21.62,6,4.95,33.04,Y,6292,2897,80720,4.115,Y,167.0,23358,N,31.01
2023-08,BLDG-ef30a4dbef9b,0,153871,147643,7,10.25,36,2.97,12.63,N,17689,3177,322072,3.401,Y,103.3,1046,N,61.95
2020-09,BLDG-10fc68f95fba,0,82429,73962,2,23.25,9,2.59,9.65,Y,16033,1405,68943,4.794,N,166.9,13540,Y,62.59
2019-11,BLDG-66a2a8085ed9,2,14569,14324,2,10.1,11,4.27,19.75,N,19978,1241,19469,7.025,N,92.7,6289,Y,6.56
2019-03,BLDG-fd6e74c7165d,5,15489,13718,2,0.71,9,3.07,11.31,N,7011,4655,101267,0.425,Y,198.6,29605,N,6.94
2023-07,BLDG-11c800c218fd,4,158126,157197,4,9.6,9,4.79,18.86,Y,8912,3738,53018,3.183,Y,99.5,37524,Y,0.02
2022-01,BLDG-4f946996c275,1,142360,130993,5,25.81,24,4.39,20.48,Y,4080,3945,167404,1.419,Y,101.9,29985,N,0.56
2022-07,BLDG-d6f0a47f6402,1,70604,61480,1,14.66,11,1.94,45.16,N,23897,156,218866,2.064,N,161.3,19557,Y,60.78
2021-08,BLDG-38942eb7d509,0,103825,89602,2,15.67,12,4.22,48.85,N,8602,2161,245721,0.551,N,34.6,11426,N,60.64
2025-04,BLDG-ab37fd71a943,1,101622,94698,0,24.24,24,3.22,13.53,N,1504,1893,137145,1.744,Y,99.3,2039,N,32.4
2025-03,BLDG-254673abfd21,1,51985,50736,3,12.3,11,2.73,18.51,N,8766,2397,206964,5.898,Y,183.5,22345,Y,58.67
2020-05,BLDG-c879fde95747,1,174048,162139,4,16.53,12,2.38,26.44,Y,5443,5956,282725,4.259,N,55.7,40095,Y,37.76
2021-09,BLDG-3fe477864529,2,24945,24467,1,9.71,24,4.82,43.63,N,6010,1866,310990,2.239,Y,192.3,4767,N,55.81
2020-12,BLDG-681b13fa1db8,1,63954,63521,2,22.34,9,4.24,21.24,N,18653,5158,165086,6.772,Y,178.9,44092,Y,37.95
2024-12,BLDG-b0d9a416534c,1,138895,129411,7,24.1,36,2.81,22.29,N,20789,1121,155201,0.048,N,86.1,36511,Y,25.19
2023-10,BLDG-fb15a2b443b7,0,9522,9160,0,13.27,24,1.92,33.76,N,15182,5078,123113,1.902,Y,102.1,15343,N,29.54
2022-12,BLDG-b578d5c01f5a,1,130308,122813,0,23.29,11,3.57,49.61,Y,11731,2155,184825,7.433,Y,43.3,44540,N,17.24
2021-11,BLDG-03c4ef5792a7,0,31811,30650,0,8.57,3,4.98,26.34,Y,12286,5873,34895,3.986,Y,66.9,10621,Y,36.54
2020-06,BLDG-d69b4e873572,1,148764,129391,3,14.03,3,4.48,36.69,Y,3293,5413,138191,5.596,N,36.2,36874,N,17.65
2019-09,BLDG-fa809c6b2885,5,102333,92187,6,25.46,6,4.65,31.74,Y,15324,806,104967,4.965,N,74.5,17850,Y,59.75
2019-10,BLDG-b3639c842ea9,3,179699,178773,2,14.28,6,2.94,50.19,Y,14101,4716,308093,5.156,N,179.8,17489,N,29.88
2022-05,BLDG-fae13a6a8bc2,0,170082,162839,4,11.41,3,3.67,51.19,N,14037,742,331133,4.585,N,109.4,24926,N,55.59
2022-03,BLDG-9afe68ac88d4,1,64198,60211,3,17.54,6,3.53,22.65,Y,24062,1051,76167,6.687,N,150.3,929,N,3.23
2020-06,BLDG-6b42e6402f0e,5,30427,30981,0,17.45,12,2.28,16.89,Y,9233,4831,273566,1.003,Y,171.3,983,N,9.69
2025-02,BLDG-7cc4641b8172,1,68738,67049,0,9.62,36,3.97,41.9,Y,5534,3082,342743,2.904,Y,39.1,21027,N,20.5
2022-08,BLDG-f43308ca9595,0,96445,96161,7,11.79,3,4.69,28.24,N,14244,1930,240521,1.853,N,74.8,16148,N,37.05
2020-03,BLDG-0a0daf5fb2c6,0,100119,89728,1,18.84,36,4.9,40.4,N,2305,3301,12372,5.66,Y,31.2,40871,N,1.0
2023-07,BLDG-20381c12ffc5,0,45997,42902,1,27.29,11,3.12,10.07,N,9501,5269,277262,0.949,N,132.8,25798,Y,61.65
2025-05,BLDG-f4cb16ae2f34,5,75194,76425,5,6.67,11,3.03,30.86,N,8777,4241,258987,3.197,Y,198.0,32227,N,40.21
2025-10,BLDG-c43fb730f9b0,5,101010,92655,6,27.76,12,2.68,36.22,Y,8828,5350,161966,5.655,N,168.2,17779,N,24.65
2022-10,BLDG-fdb6ee42e8d9,2,18392,17982,6,16.45,3,4.86,39.12,Y,3884,2365,12678,3.747,N,101.3,32528,N,40.16
2025-07,BLDG-53751a1da03b,4,104928,92000,0,7.88,24,3.89,29.01,Y,14459,4272,64011,6.376,Y,125.3,254,Y,28.35
2020-03,BLDG-62388c7e4965,4,133936,118723,8,18.85,12,3.94,43.37,N,7162,2537,297095,3.366,N,84.1,38285,N,51.77
2021-02,BLDG-6a331b995070,5,41643,35947,1,0.62,9,2.52,18.28,N,22035,3671,103693,3.061,Y,191.6,20671,Y,35.21
2019-06,BLDG-cbf02784b393,0,111946,101219,3,14.17,9,2.05,49.68,Y,5442,265,37577,4.451,Y,157.8,44347,Y,34.81
2025-09,BLDG-36641ac99872,4,33327,33180,7,14.23,9,2.67,36.1,Y,18237,921,164042,2.675,Y,118.6,31308,N,61.51
2025-04,BLDG-fde4294801cc,5,154493,133701,2,1.52,9,4.29,35.94,Y,9365,3897,241065,1.708,N,58.1,4650,N,33.85
2019-10,BLDG-113346d39f1c,0,122783,107309,7,13.27,12,4.69,9.12,N,17288,942,171486,7.556,N,75.6,1293,Y,59.28
2025-10,BLDG-ac94b2c44be8,1,30589,29837,3,2.93,36,4.6,8.92,N,66,441,238150,5.241,Y,127.6,29905,Y,31.12
2025-02,BLDG-0ed1e14e1565,5,161053,145907,4,26.11,11,2.63,18.87,Y,14952,4103,144673,7.697,Y,67.4,37153,Y,15.26
2019-08,BLDG-b73f008d3717,5,106955,106239,1,16.51,3,2.23,21.7,N,9406,4141,251186,3.263,Y,102.6,13707,Y,16.72
2021-02,BLDG-590e518e6452,5,84425,85777,7,23.61,24,3.86,18.61,Y,8162,673,185667,6.649,N,122.7,17814,Y,52.89
2025-10,BLDG-2ccbb373f4f4,1,22464,20612,3,17.29,3,4.07,47.47,Y,14071,4048,125960,1.847,Y,176.8,1432,Y,53.38
2023-01,BLDG-b50e71dfff88,5,171353,172104,3,27.65,11,2.72,27.5,N,22666,2567,55201,1.455,Y,187.7,5089,N,34.56
2020-05,BLDG-e5dcb3318d4e,4,92235,88681,8,14.64,11,2.07,34.71,N,3341,2493,345038,7.184,Y,66.5,25809,N,2.6
2019-05,BLDG-cfc81aee94eb,2,166093,166256,1,22.1,6,3.44,39.53,N,18275,3806,50609,4.3,Y,113.8,1461,Y,32.2
2020-04,BLDG-f502a835cb82,1,166862,150389,2,16.0,6,2.17,20.14,N,4900,781,28268,7.225,Y,62.7,36365,Y,62.73
2025-06,BLDG-f45239bb0ab5,2,95538,91264,1,14.95,9,4.44,44.69,N,19871,5949,283265,0.277,Y,194.2,40788,Y,8.67
2025-10,BLDG-41ece56b5b8b,2,119973,118206,4,13.44,6,3.73,53.06,N,7220,5322,36954,0.731,N,83.2,28035,N,28.62
2025-10,BLDG-d5d784437c09,5,32107,31042,4,12.34,12,2.27,38.69,N,11269,444,121256,0.153,Y,63.6,32025,Y,48.97
