lab_wages_reference_year,lab_wages_country_iso2,lab_wages_region_nuts_code,lab_wages_nace_section,lab_wages_occupation_isco_code,lab_wages_mean_hourly_earnings_eur,lab_wages_median_hourly_earnings_eur,lab_wages_wage_growth_pct,lab_wages_gender_pay_gap_unadjusted_pct,lab_wages_gender_pay_gap_adjusted_pct,lab_wages_collective_bargaining_coverage_pct,lab_wages_minimum_wage_level_eur_month,lab_wages_low_pay_share_pct,lab_wages_bonus_share_pct,lab_wages_inwork_poverty_rate_pct,lab_wages_labor_share_gdp_pct,lab_wages_unit_labor_cost_index,lab_wages_eurostat_table_code,lab_wages_revision_round,lab_wages_data_extract_date
2015,HU,AT35,P,7_CRAFT,35.19,29.21,6.43,6.84,4.06,42.33,1535.95,11.97,11.31,7.28,49.27,116.93,earn_ses_annual,BENCHMARK,2025-04-07
2016,LU,DE819,F,2_PROFESSIONALS,63.75,55.14,2.84,2.0,1.1,44.21,833.97,8.48,5.18,6.07,57.34,96.24,lfs_gpg,SECOND,2024-04-28
2017,RO,HU83,Q,6_AGRI,29.31,27.04,3.84,2.63,1.83,16.88,79.7,11.31,0.39,2.4,48.62,99.05,nama_10_lp_ulc,FIRST,2025-09-06
2018,AT,SK733,G,1_MANAGERS,45.34,36.99,7.82,11.27,4.4,69.56,477.93,10.97,4.65,5.59,63.42,112.03,earn_ses_hourly,FLASH,2025-11-04
2019,CZ,FI556,R,5_SERVICE_SALES,29.13,26.54,2.93,18.61,12.22,69.63,1086.29,17.85,9.47,6.13,63.33,86.12,earn_ses_annual,BENCHMARK,2025-12-09
2020,DE,SE31,H,9_ELEMENTARY,10.39,9.45,5.66,19.64,13.18,63.97,2089.7,28.51,0.72,11.99,59.1,97.26,lfs_gpg,SECOND,2026-01-23
2021,LV,EE601,S,4_CLERICAL,43.69,34.9,-1.42,10.39,7.62,25.01,550.82,16.27,2.01,10.14,52.49,124.77,nama_10_lp_ulc,FIRST,2025-12-02
2022,PL,SI44,I,8_PLANT_MACHINE,13.83,11.71,3.41,8.08,4.67,45.28,1260.18,27.22,2.71,2.39,48.37,93.4,earn_ses_hourly,FLASH,2026-01-28
2023,ES,SI76,T,3_TECHNICIANS,16.99,14.21,6.5,6.37,3.03,51.75,614.17,8.27,9.21,6.96,56.32,105.14,earn_ses_annual,BENCHMARK,2025-08-13
2024,HR,CZ297,J,7_CRAFT,25.42,22.03,-0.48,12.18,4.81,69.45,798.82,19.9,5.6,8.63,58.08,120.1,lfs_gpg,SECOND,2024-09-22
2025,FI,HU28,U,2_PROFESSIONALS,30.39,27.39,3.79,21.29,12.2,46.17,1644.77,19.35,7.2,6.45,47.73,108.9,nama_10_lp_ulc,FIRST,2026-01-28
2006,IE,SK9,K,6_AGRI,30.7,25.84,0.15,14.28,9.43,17.06,2157.68,6.96,5.34,7.62,47.29,90.05,earn_ses_hourly,FLASH,2024-09-29
2007,MT,FI6,A,1_MANAGERS,22.1,18.32,2.43,18.32,6.74,27.79,193.09,25.59,15.6,11.26,50.1,82.21,earn_ses_annual,BENCHMARK,2024-06-05
2008,SK,PT8,L,5_SERVICE_SALES,14.24,11.53,-0.85,10.29,6.96,25.61,1688.39,27.72,7.78,14.24,47.52,106.02,lfs_gpg,SECOND,2025-02-04
2009,BE,PT604,B,9_ELEMENTARY,23.63,19.59,6.02,11.92,8.89,97.57,1544.52,8.66,8.66,5.98,64.31,104.33,nama_10_lp_ulc,FIRST,2024-03-16
2010,DK,DE111,M,4_CLERICAL,12.53,10.9,0.91,13.99,8.72,41.6,1450.4,25.64,3.88,4.88,48.37,115.28,earn_ses_hourly,FLASH,2026-02-07
2011,GR,NL970,C,8_PLANT_MACHINE,22.09,18.75,4.64,14.05,8.21,34.29,739.42,16.39,2.64,10.61,49.73,90.07,earn_ses_annual,BENCHMARK,2024-04-04
2012,LT,RO48,N,3_TECHNICIANS,13.87,11.44,8.0,16.47,5.94,47.48,1167.84,23.51,5.9,9.93,47.43,90.42,lfs_gpg,SECOND,2025-04-10
2013,PT,HU99,D,7_CRAFT,33.38,28.86,3.03,9.53,6.57,80.98,545.34,12.3,3.16,2.51,48.65,100.82,nama_10_lp_ulc,FIRST,2026-02-19
2014,SE,LU560,O,2_PROFESSIONALS,55.8,45.83,-1.4,21.84,12.43,68.1,776.59,15.43,1.57,1.73,53.39,110.4,earn_ses_hourly,FLASH,2026-02-01
2015,CY,AT478,E,6_AGRI,17.2,15.49,0.32,4.47,1.83,61.45,848.2,23.13,2.46,4.98,64.32,110.12,earn_ses_annual,BENCHMARK,2024-11-25
2016,FR,HR29,P,1_MANAGERS,45.76,41.44,5.89,12.39,6.2,54.43,546.77,16.78,13.08,7.02,52.75,97.73,lfs_gpg,SECOND,2024-02-08
2017,IT,BG514,F,5_SERVICE_SALES,14.06,11.22,-1.0,16.49,12.21,58.74,1005.93,19.21,7.69,4.69,50.49,95.7,nama_10_lp_ulc,FIRST,2025-03-20
2018,NL,IE85,Q,9_ELEMENTARY,19.39,15.43,0.33,11.76,6.17,74.87,1691.34,23.06,10.36,14.46,51.89,101.45,earn_ses_hourly,FLASH,2024-07-16
2019,SI,SI245,G,4_CLERICAL,31.65,25.97,1.6,11.11,4.31,78.53,1864.91,12.36,6.3,5.22,53.76,104.89,earn_ses_annual,BENCHMARK,2026-01-25
2020,BG,HU206,R,8_PLANT_MACHINE,38.75,34.2,-1.39,9.97,4.6,30.58,1621.84,12.9,10.77,11.16,51.73,91.48,lfs_gpg,SECOND,2024-05-07
2021,EE,GR848,H,3_TECHNICIANS,20.01,17.69,0.13,3.87,2.47,61.51,447.93,14.15,5.85,6.25,54.99,99.89,nama_10_lp_ulc,FIRST,2024-05-16
2022,HU,CY12,S,7_CRAFT,22.37,20.55,8.8,5.18,2.18,23.24,1617.38,15.34,10.64,7.47,44.61,104.56,earn_ses_hourly,FLASH,2024-10-19
2023,LU,PT3,I,2_PROFESSIONALS,72.16,56.96,9.08,21.49,8.55,36.07,491.61,22.88,0.84,9.32,45.54,132.84,earn_ses_annual,BENCHMARK,2025-09-05
2024,RO,MT18,T,6_AGRI,8.09,6.79,7.81,13.63,9.12,48.21,269.1,9.27,8.02,6.48,44.92,122.89,lfs_gpg,SECOND,2024-06-16
2025,AT,CZ57,J,1_MANAGERS,84.93,74.11,7.93,7.02,3.69,54.64,1570.46,18.37,3.06,6.54,52.07,124.29,nama_10_lp_ulc,FIRST,2024-01-01
2006,CZ,CZ5,U,5_SERVICE_SALES,26.2,23.51,4.24,5.16,3.82,64.68,767.29,17.91,8.89,9.83,61.32,92.35,earn_ses_hourly,FLASH,2025-07-25
2007,DE,NL30,K,9_ELEMENTARY,18.86,17.19,3.56,20.54,11.05,73.89,244.36,19.16,7.04,3.32,50.75,86.43,earn_ses_annual,BENCHMARK,2024-09-29
2008,LV,SK8,A,4_CLERICAL,18.58,15.18,-0.12,16.34,9.63,39.36,1802.07,20.72,3.9,9.35,48.35,100.81,lfs_gpg,SECOND,2024-07-15
2009,PL,HR292,L,8_PLANT_MACHINE,23.64,19.81,4.3,2.28,1.34,30.06,1877.4,25.79,1.8,7.89,45.19,116.28,nama_10_lp_ulc,FIRST,2025-07-21
2010,ES,IT75,B,3_TECHNICIANS,15.23,12.14,7.48,16.52,6.64,21.85,702.62,8.43,11.0,2.52,51.54,89.34,earn_ses_hourly,FLASH,2024-09-23
2011,HR,LU3,M,7_CRAFT,33.33,27.08,7.89,14.8,8.98,64.12,1459.72,11.76,7.97,2.29,62.56,109.54,earn_ses_annual,BENCHMARK,2024-07-05
2012,FI,ES74,C,2_PROFESSIONALS,27.61,21.65,5.74,10.58,6.17,67.37,596.57,23.35,10.81,8.82,56.38,102.58,lfs_gpg,SECOND,2025-08-25
2013,IE,HU42,N,6_AGRI,28.75,23.55,6.72,5.72,3.7,79.13,945.08,14.55,2.71,11.02,48.79,95.32,nama_10_lp_ulc,FIRST,2024-07-19
2014,MT,PT587,D,1_MANAGERS,29.95,27.35,-0.42,18.78,8.55,16.95,768.05,12.19,6.09,4.72,54.83,88.24,earn_ses_hourly,FLASH,2025-09-03
2015,SK,PL986,O,5_SERVICE_SALES,15.96,13.05,5.05,18.02,7.33,49.0,543.93,21.19,1.2,10.36,48.99,90.02,earn_ses_annual,BENCHMARK,2026-01-27
2016,BE,SK36,E,9_ELEMENTARY,34.54,29.61,7.21,6.38,2.59,95.05,1368.92,21.46,8.93,10.9,49.94,116.8,lfs_gpg,SECOND,2025-12-30
2017,DK,SI56,P,4_CLERICAL,47.84,41.93,-0.92,17.03,9.55,65.02,1751.96,20.44,11.92,5.94,59.54,96.68,nama_10_lp_ulc,FIRST,2024-03-14
2018,GR,MT14,F,8_PLANT_MACHINE,31.26,28.84,4.76,15.82,10.19,55.31,338.45,14.96,4.08,9.33,50.71,118.02,earn_ses_hourly,FLASH,2024-11-03
2019,LT,ES8,Q,3_TECHNICIANS,17.19,15.83,-0.88,13.29,5.41,39.83,1289.05,23.34,7.92,15.83,50.55,95.4,earn_ses_annual,BENCHMARK,2024-02-15
2020,PT,SI23,G,7_CRAFT,23.34,18.68,6.48,7.33,3.77,58.31,1112.68,9.29,2.62,7.57,48.82,115.16,lfs_gpg,SECOND,2024-05-28
2021,SE,IE8,R,2_PROFESSIONALS,83.72,66.26,1.55,10.09,4.72,74.55,1703.28,8.54,10.46,2.62,53.38,92.95,nama_10_lp_ulc,FIRST,2026-01-06
2022,CY,IE67,H,6_AGRI,23.06,21.18,10.24,6.98,4.24,74.78,478.98,23.84,2.2,7.71,65.7,129.17,earn_ses_hourly,FLASH,2024-02-21
2023,FR,LU599,S,1_MANAGERS,86.67,71.58,5.59,9.46,7.03,58.95,580.08,6.89,4.22,10.21,46.2,126.41,earn_ses_annual,BENCHMARK,2025-01-30
2024,IT,HR9,I,5_SERVICE_SALES,27.95,22.75,3.52,19.07,10.95,26.22,268.55,20.45,1.87,10.83,47.14,131.12,lfs_gpg,SECOND,2025-09-20
2025,NL,EE948,T,9_ELEMENTARY,28.96,26.32,1.78,2.11,1.15,70.13,1753.19,26.57,2.11,10.0,62.49,114.77,nama_10_lp_ulc,FIRST,2024-07-24
2006,SI,HR844,J,4_CLERICAL,19.46,16.47,6.38,14.47,7.78,25.76,1195.98,27.94,9.89,9.84,58.23,123.08,earn_ses_hourly,FLASH,2024-01-28
2007,BG,IT1,U,8_PLANT_MACHINE,27.11,24.63,5.3,6.12,4.56,36.26,1115.15,9.75,3.2,11.5,55.17,93.38,earn_ses_annual,BENCHMARK,2024-07-25
2008,EE,RO66,K,3_TECHNICIANS,22.53,18.36,7.01,4.64,2.68,42.99,1892.82,18.52,5.63,5.69,50.15,90.02,lfs_gpg,SECOND,2024-01-29
2009,HU,ES5,A,7_CRAFT,13.28,10.52,7.42,14.16,10.57,69.29,442.05,20.15,2.97,14.12,59.58,122.49,nama_10_lp_ulc,FIRST,2025-08-16
2010,LU,IT87,L,2_PROFESSIONALS,62.38,57.38,4.3,19.64,11.23,78.72,53.54,8.39,18.09,6.97,55.53,106.04,earn_ses_hourly,FLASH,2025-07-25
2011,RO,FI7,B,6_AGRI,17.47,14.91,-0.16,8.04,5.01,59.33,870.9,23.13,8.25,5.61,53.97,110.11,earn_ses_annual,BENCHMARK,2025-02-13
2012,AT,SE60,M,1_MANAGERS,72.65,56.68,4.43,4.98,3.19,19.65,1356.99,10.16,4.26,10.22,50.08,97.67,lfs_gpg,SECOND,2025-08-02
2013,CZ,NL74,C,5_SERVICE_SALES,12.47,9.79,0.43,10.64,4.61,45.48,1767.24,8.95,11.27,6.09,59.27,99.45,nama_10_lp_ulc,FIRST,2025-12-10
2014,DE,HU48,N,9_ELEMENTARY,16.0,13.19,-1.14,10.6,6.45,43.59,744.14,13.88,5.12,4.18,58.43,105.64,earn_ses_hourly,FLASH,2024-11-02
2015,LV,HU526,D,4_CLERICAL,11.45,9.23,1.22,7.97,3.98,67.13,24.17,8.04,2.4,4.55,53.54,84.54,earn_ses_annual,BENCHMARK,2025-06-29
2016,PL,RO478,O,8_PLANT_MACHINE,31.13,25.51,4.76,6.62,3.43,31.43,1609.12,22.77,6.66,4.22,58.77,91.03,lfs_gpg,SECOND,2025-05-17
2017,ES,PL6,E,3_TECHNICIANS,30.37,25.18,0.89,8.12,4.37,38.18,418.83,7.79,8.75,4.83,45.58,114.41,nama_10_lp_ulc,FIRST,2024-02-18
2018,HR,RO5,P,7_CRAFT,23.87,20.69,3.97,15.99,9.09,26.17,618.1,19.05,2.3,3.51,57.37,79.93,earn_ses_hourly,FLASH,2024-10-17
2019,FI,LV5,F,2_PROFESSIONALS,52.91,46.63,5.48,16.82,8.11,77.92,625.99,7.66,7.65,7.58,53.95,94.89,earn_ses_annual,BENCHMARK,2024-06-07
2020,IE,EE299,Q,6_AGRI,28.82,22.69,4.26,8.71,3.82,74.08,519.21,13.15,9.38,9.65,63.69,105.45,lfs_gpg,SECOND,2025-08-05
2021,MT,RO189,G,1_MANAGERS,52.37,46.43,8.06,6.24,3.07,56.3,227.42,11.93,13.81,5.73,58.68,136.57,nama_10_lp_ulc,FIRST,2025-11-21
2022,SK,PL58,R,5_SERVICE_SALES,10.6,8.41,0.01,8.45,4.92,64.24,1409.99,24.36,3.62,3.67,62.02,128.15,earn_ses_hourly,FLASH,2024-10-14
2023,BE,GR2,H,9_ELEMENTARY,38.19,32.11,0.99,13.85,9.33,48.06,1616.7,14.08,8.38,7.3,59.01,128.83,earn_ses_annual,BENCHMARK,2024-03-11
2024,DK,FI928,S,4_CLERICAL,23.78,20.17,5.29,17.65,10.78,72.17,491.79,28.12,11.04,11.97,60.45,108.3,lfs_gpg,SECOND,2026-01-11
2025,GR,DE71,I,8_PLANT_MACHINE,13.81,10.77,3.27,19.69,14.33,68.94,1345.05,17.08,5.12,8.4,51.28,101.87,nama_10_lp_ulc,FIRST,2025-08-03
2006,LT,HU78,T,3_TECHNICIANS,16.1,13.49,1.52,11.16,4.57,33.45,1175.43,14.72,4.02,7.58,50.93,95.4,earn_ses_hourly,FLASH,2024-04-28
2007,PT,CY72,J,7_CRAFT,26.04,21.56,0.32,6.17,2.66,65.83,1821.81,26.26,2.24,5.9,57.47,108.98,earn_ses_annual,BENCHMARK,2024-05-07
2008,SE,LV309,U,2_PROFESSIONALS,33.45,26.82,0.18,5.45,3.6,91.24,352.67,18.46,15.23,4.25,63.5,97.8,lfs_gpg,SECOND,2025-02-23
2009,CY,HU97,K,6_AGRI,26.38,20.66,8.03,12.78,8.06,49.76,1053.68,7.99,5.14,4.53,51.25,100.65,nama_10_lp_ulc,FIRST,2024-02-25
2010,FR,CZ78,A,1_MANAGERS,42.68,34.65,-1.29,15.25,8.52,79.56,1227.15,17.68,6.46,10.5,53.97,83.33,earn_ses_hourly,FLASH,2024-10-10
2011,IT,LU709,L,5_SERVICE_SALES,22.65,19.03,6.09,12.29,4.72,37.76,729.57,8.05,2.36,2.41,51.52,99.35,earn_ses_annual,BENCHMARK,2024-04-21
2012,NL,EE919,B,9_ELEMENTARY,32.25,28.43,6.26,11.65,8.19,50.64,2240.65,20.59,9.79,6.62,51.1,119.51,lfs_gpg,SECOND,2024-04-01
2013,SI,NL81,M,4_CLERICAL,22.98,21.03,6.28,8.58,4.02,49.49,535.44,10.9,7.66,1.94,43.97,109.91,nama_10_lp_ulc,FIRST,2025-06-19
2014,BG,PT72,C,8_PLANT_MACHINE,17.36,14.75,6.28,12.67,7.28,65.23,510.82,15.44,4.72,11.21,65.72,90.74,earn_ses_hourly,FLASH,2025-03-13
2015,EE,AT85,N,3_TECHNICIANS,22.04,19.38,1.8,10.56,5.88,67.86,1316.14,26.66,4.51,15.83,64.2,112.57,earn_ses_annual,BENCHMARK,2025-08-29
2016,HU,LT285,D,7_CRAFT,37.31,33.86,0.27,3.07,1.17,51.15,413.63,19.76,0.45,5.83,54.18,96.96,lfs_gpg,SECOND,2024-06-25
2017,LU,DK89,O,2_PROFESSIONALS,86.12,69.23,7.12,4.5,2.47,36.64,1185.92,12.1,11.57,2.44,52.64,108.96,nama_10_lp_ulc,FIRST,2025-06-06
2018,RO,FR648,E,6_AGRI,25.39,20.73,5.38,6.15,3.78,46.37,1810.51,20.09,7.72,4.07,56.69,112.67,earn_ses_hourly,FLASH,2025-12-28
2019,AT,IE5,P,1_MANAGERS,69.15,59.2,5.61,6.66,2.35,60.97,1154.44,10.72,14.96,11.16,50.5,105.62,earn_ses_annual,BENCHMARK,2024-07-11
2020,CZ,FI705,F,5_SERVICE_SALES,23.64,21.16,2.88,17.88,7.38,37.9,490.68,10.29,4.85,5.54,52.2,105.67,lfs_gpg,SECOND,2025-07-21
2021,DE,RO59,Q,9_ELEMENTARY,29.54,24.9,7.46,19.01,13.91,42.27,703.53,20.77,2.48,6.81,45.22,141.6,nama_10_lp_ulc,FIRST,2025-03-05
2022,LV,LV411,G,4_CLERICAL,26.19,22.89,6.75,10.52,6.57,40.45,194.98,18.35,9.6,15.12,54.1,136.95,earn_ses_hourly,FLASH,2025-01-15
2023,PL,SI954,R,8_PLANT_MACHINE,15.39,13.57,1.85,10.26,3.89,50.39,257.97,14.48,7.8,11.47,58.14,125.96,earn_ses_annual,BENCHMARK,2025-09-10
2024,ES,IT94,H,3_TECHNICIANS,34.63,30.09,1.18,19.62,13.68,68.5,1949.29,19.85,1.56,5.88,56.95,116.83,lfs_gpg,SECOND,2024-03-17
2025,HR,LV72,S,7_CRAFT,22.95,20.0,0.2,3.95,2.4,73.41,717.68,17.87,11.65,10.36,50.27,101.97,nama_10_lp_ulc,FIRST,2025-10-20
2006,FI,SI96,I,2_PROFESSIONALS,49.34,44.36,2.01,4.35,1.72,91.08,1145.82,14.57,0.84,8.22,58.54,114.67,earn_ses_hourly,FLASH,2024-07-19
2007,IE,BE377,T,6_AGRI,15.86,13.92,7.22,14.46,10.57,79.47,1802.99,14.05,1.55,10.37,66.15,102.97,earn_ses_annual,BENCHMARK,2026-01-05
2008,MT,IT612,J,1_MANAGERS,41.06,35.37,0.52,18.65,8.84,32.05,210.38,21.52,13.89,13.1,54.39,86.44,lfs_gpg,SECOND,2025-10-02
2009,SK,NL4,U,5_SERVICE_SALES,24.37,21.8,3.58,2.16,1.32,17.11,1297.48,15.96,6.34,2.44,50.48,85.54,nama_10_lp_ulc,FIRST,2025-08-07
2010,BE,PL349,K,9_ELEMENTARY,15.8,12.61,0.61,12.8,5.15,89.2,2287.84,9.43,3.74,1.89,63.15,107.77,earn_ses_hourly,FLASH,2024-10-07
2011,DK,HR76,A,4_CLERICAL,45.26,39.05,-0.85,16.92,9.65,47.47,740.98,10.23,4.85,10.24,46.32,108.1,earn_ses_annual,BENCHMARK,2025-10-26
2012,GR,CZ18,L,8_PLANT_MACHINE,16.61,13.02,4.34,16.55,12.32,41.44,580.84,17.2,10.95,13.29,45.97,120.65,lfs_gpg,SECOND,2025-01-01
2013,LT,AT453,B,3_TECHNICIANS,36.22,28.63,-0.57,11.41,4.42,59.67,325.85,5.63,9.65,2.73,45.32,82.26,nama_10_lp_ulc,FIRST,2024-10-27
2014,PT,BE168,M,7_CRAFT,12.85,10.84,2.65,9.19,6.02,52.59,1249.61,25.16,7.08,7.38,51.76,90.82,earn_ses_hourly,FLASH,2025-05-01
2015,SE,FR59,C,2_PROFESSIONALS,47.55,41.7,0.45,11.04,5.84,87.89,1860.29,9.35,15.25,6.57,59.05,95.68,earn_ses_annual,BENCHMARK,2025-08-01
2016,CY,SE66,N,6_AGRI,17.69,14.06,4.19,9.15,5.5,52.75,1128.09,27.52,6.39,5.63,45.19,110.09,lfs_gpg,SECOND,2024-09-17
2017,FR,GR660,D,1_MANAGERS,51.21,46.08,1.26,10.09,6.74,33.84,2514.08,11.1,9.39,9.64,56.94,113.7,nama_10_lp_ulc,FIRST,2024-09-19
2018,IT,GR31,O,5_SERVICE_SALES,9.46,8.3,0.97,3.84,1.41,25.94,370.94,22.62,5.82,16.42,47.11,100.63,earn_ses_hourly,FLASH,2024-08-27
2019,NL,FR119,E,9_ELEMENTARY,34.89,28.42,5.61,4.72,3.36,28.21,809.41,14.25,4.82,7.04,57.79,93.77,earn_ses_annual,BENCHMARK,2025-04-14
2020,SI,PL8,P,4_CLERICAL,25.26,22.41,2.05,10.71,5.49,41.58,311.14,26.66,10.23,9.2,55.54,85.93,lfs_gpg,SECOND,2024-11-09
2021,BG,DK727,F,8_PLANT_MACHINE,28.16,24.62,-1.4,6.28,3.16,71.63,1367.87,12.81,10.58,9.42,63.2,94.25,nama_10_lp_ulc,FIRST,2025-07-15
2022,EE,MT586,Q,3_TECHNICIANS,21.98,17.84,2.29,2.21,1.27,57.99,1319.23,13.71,11.12,9.45,46.33,110.34,earn_ses_hourly,FLASH,2026-02-16
2023,HU,BE530,G,7_CRAFT,24.32,20.12,4.91,8.8,5.39,32.85,902.0,18.66,0.56,8.38,46.43,118.96,earn_ses_annual,BENCHMARK,2024-10-26
2024,LU,HR822,R,2_PROFESSIONALS,100.88,85.93,7.16,15.36,10.31,38.73,538.66,22.41,17.36,10.09,56.8,131.67,lfs_gpg,SECOND,2024-11-02
2025,RO,ES72,H,6_AGRI,24.97,19.99,4.62,10.24,5.06,53.87,448.73,21.79,7.44,8.68,54.47,105.65,nama_10_lp_ulc,FIRST,2025-10-05
2006,AT,ES916,S,1_MANAGERS,73.79,64.66,-0.97,12.34,6.1,78.66,1072.68,18.58,16.64,4.47,53.26,81.01,earn_ses_hourly,FLASH,2024-02-29
2007,CZ,BE325,I,5_SERVICE_SALES,14.05,11.71,3.23,2.25,1.16,58.76,43.56,23.91,10.53,8.49,50.85,104.76,earn_ses_annual,BENCHMARK,2024-07-29
2008,DE,MT647,T,9_ELEMENTARY,28.7,24.31,2.95,5.47,3.57,42.36,1464.84,14.66,3.2,6.93,57.22,104.36,lfs_gpg,SECOND,2024-08-04
2009,LV,SI576,J,4_CLERICAL,11.08,9.16,2.69,15.76,5.56,71.84,125.57,16.07,1.53,2.37,58.76,87.54,nama_10_lp_ulc,FIRST,2025-04-14
2010,PL,HU1,U,8_PLANT_MACHINE,24.96,22.33,6.19,14.99,8.98,80.46,168.09,10.49,6.74,7.28,59.51,101.62,earn_ses_hourly,FLASH,2025-08-04
2011,ES,AT47,K,3_TECHNICIANS,27.46,23.96,7.26,14.16,5.43,43.51,1871.88,18.73,4.99,15.84,56.37,112.97,earn_ses_annual,BENCHMARK,2026-01-14
2012,HR,HR7,A,7_CRAFT,24.14,19.67,-0.67,4.59,2.59,33.56,1358.75,12.19,10.11,8.97,47.99,116.32,lfs_gpg,SECOND,2025-11-05
2013,FI,HR59,L,2_PROFESSIONALS,64.49,53.77,2.67,11.31,7.75,89.2,275.29,6.24,10.57,3.82,60.29,107.46,nama_10_lp_ulc,FIRST,2024-03-16
2014,IE,LU355,B,6_AGRI,11.96,9.82,0.48,3.49,1.69,58.3,1225.36,20.31,4.21,2.29,47.75,109.31,earn_ses_hourly,FLASH,2024-05-23
2015,MT,GR189,M,1_MANAGERS,50.38,43.87,0.1,13.53,7.81,30.76,1735.07,8.7,7.4,3.01,50.72,102.71,earn_ses_annual,BENCHMARK,2024-09-16
2016,SK,CY531,C,5_SERVICE_SALES,13.48,10.86,5.48,11.86,7.86,70.18,406.45,18.68,3.42,12.02,48.6,93.45,lfs_gpg,SECOND,2025-10-16
2017,BE,BE24,N,9_ELEMENTARY,19.67,16.22,7.72,15.59,7.78,56.26,98.35,26.23,2.69,9.29,48.03,94.89,nama_10_lp_ulc,FIRST,2025-03-09
2018,DK,ES89,D,4_CLERICAL,19.27,17.39,7.65,10.46,5.02,59.46,1099.17,19.31,5.76,9.75,59.49,108.03,earn_ses_hourly,FLASH,2025-05-17
2019,GR,PL447,O,8_PLANT_MACHINE,22.85,20.29,7.16,14.25,6.87,51.0,74.87,18.1,4.5,17.86,58.17,93.51,earn_ses_annual,BENCHMARK,2025-07-24
2020,LT,PL7,E,3_TECHNICIANS,35.58,31.21,1.25,13.6,9.87,45.96,1898.37,10.5,6.37,8.47,49.9,79.45,lfs_gpg,SECOND,2025-04-12
2021,PT,RO40,P,7_CRAFT,37.9,31.39,5.38,14.47,5.67,35.66,1447.8,10.26,11.91,5.39,45.28,123.2,nama_10_lp_ulc,FIRST,2024-01-04
2022,SE,MT67,F,2_PROFESSIONALS,35.36,32.85,4.24,9.23,3.83,66.12,882.55,14.76,3.73,6.4,62.14,118.25,earn_ses_hourly,FLASH,2024-06-26
2023,CY,IE464,Q,6_AGRI,12.98,11.04,1.69,16.22,7.38,61.95,576.87,20.95,8.33,6.69,50.6,108.31,earn_ses_annual,BENCHMARK,2024-09-19
2024,FR,HR4,G,1_MANAGERS,89.05,72.32,-1.31,6.28,2.83,73.18,1707.96,6.78,12.24,5.84,60.69,127.74,lfs_gpg,SECOND,2024-01-09
2025,IT,SE8,R,5_SERVICE_SALES,22.06,20.12,6.61,10.35,5.27,20.59,1539.91,27.86,6.25,14.44,52.34,140.9,nama_10_lp_ulc,FIRST,2025-07-18
2006,NL,RO2,H,9_ELEMENTARY,11.08,9.63,3.79,8.07,4.42,37.35,2512.74,7.13,8.25,3.96,55.66,112.23,earn_ses_hourly,FLASH,2024-10-29
2007,SI,FI79,S,4_CLERICAL,16.97,13.94,0.47,8.17,3.79,56.28,59.58,19.7,1.92,2.58,49.32,104.27,earn_ses_annual,BENCHMARK,2025-10-20
2008,BG,LT55,I,8_PLANT_MACHINE,32.84,27.02,0.3,5.32,3.17,60.3,1480.65,13.0,2.22,6.36,49.33,109.41,lfs_gpg,SECOND,2024-01-20
2009,EE,MT1,T,3_TECHNICIANS,25.62,20.31,6.18,14.14,6.11,73.69,515.32,26.11,5.82,12.49,57.98,117.07,nama_10_lp_ulc,FIRST,2024-11-10
2010,HU,FR540,J,7_CRAFT,32.26,28.48,7.97,10.7,5.68,21.07,802.94,11.92,0.68,4.16,45.31,86.73,earn_ses_hourly,FLASH,2025-11-29
2011,LU,GR254,U,2_PROFESSIONALS,35.14,31.38,7.77,7.92,5.35,29.64,286.25,6.52,4.84,11.9,57.35,113.43,earn_ses_annual,BENCHMARK,2025-10-11
2012,RO,HU887,K,6_AGRI,22.48,20.4,6.97,1.84,1.04,78.46,329.66,13.16,6.1,6.05,58.19,101.71,lfs_gpg,SECOND,2025-10-29
2013,AT,ES554,A,1_MANAGERS,39.45,36.29,-1.13,11.27,8.08,76.14,53.37,14.02,16.31,4.18,59.67,106.47,nama_10_lp_ulc,FIRST,2024-08-31
2014,CZ,FR3,L,5_SERVICE_SALES,9.96,8.18,-0.7,3.74,1.54,25.06,583.78,8.6,11.07,10.72,58.2,113.95,earn_ses_hourly,FLASH,2024-01-13
2015,DE,BE3,B,9_ELEMENTARY,33.67,30.47,-1.37,3.11,2.25,53.04,1055.76,17.72,2.95,4.63,49.2,83.7,earn_ses_annual,BENCHMARK,2025-08-02
2016,LV,PT17,M,4_CLERICAL,19.5,15.33,2.26,15.6,11.04,19.59,1270.23,11.32,8.56,6.92,56.59,94.38,lfs_gpg,SECOND,2026-01-30
2017,PL,LU737,C,8_PLANT_MACHINE,23.61,19.5,7.72,16.03,10.81,44.75,1340.11,17.87,0.75,8.77,54.64,121.46,nama_10_lp_ulc,FIRST,2025-05-05
2018,ES,GR82,N,3_TECHNICIANS,32.09,25.14,3.24,5.62,3.78,60.6,1667.9,14.12,2.65,10.59,65.62,94.9,earn_ses_hourly,FLASH,2024-01-02
2019,HR,PT64,D,7_CRAFT,22.28,18.66,5.97,6.41,3.92,76.99,249.64,23.83,9.3,14.23,51.01,121.42,earn_ses_annual,BENCHMARK,2026-02-17
2020,FI,RO172,O,2_PROFESSIONALS,37.21,29.95,2.09,20.57,11.65,49.61,1131.92,23.14,11.54,13.89,59.58,111.84,lfs_gpg,SECOND,2024-08-11
