labor_wage_wage_survey_year,labor_wage_occupation_nco_6,labor_wage_industry_nic_3,labor_wage_pay_period_type,labor_wage_wage_p10,labor_wage_wage_p25,labor_wage_wage_median,labor_wage_wage_p75,labor_wage_wage_p90,labor_wage_annualized_wage_mean,labor_wage_overtime_share_pct,labor_wage_bonus_share_pct,labor_wage_benefits_cost_share_pct,labor_wage_union_coverage_rate_pct,labor_wage_gender_pay_gap_pct,labor_wage_race_pay_gap_pct,labor_wage_education_premium_pct,labor_wage_experience_premium_pct,labor_wage_cost_adjusted_wage_index,labor_wage_sampling_error_margin
2021,052048,172,Monthly,62026.85,96832.19,112740.43,126856.47,162125.12,1274498.27,4.71,17.85,15.94,24.54,24.34,22.73,56.31,50.58,129.369,6.638
2017,537111,935,Annual,72547.04,89579.5,121002.14,170644.54,219121.94,1549761.87,3.99,9.42,24.34,16.29,-6.29,10.51,41.31,26.64,105.077,1.437
2022,592221,224,Annual,82765.02,134632.07,166968.49,198596.56,244265.22,1975114.33,21.5,22.16,25.98,0.93,8.05,18.18,11.46,24.59,84.828,6.338
2023,307475,753,Annual,65386.9,88923.83,117933.56,151661.65,173690.44,1525792.95,13.61,21.84,30.96,0.83,14.66,12.02,46.78,33.78,108.618,3.795
2025,078909,659,Daily,51110.02,65637.84,77845.4,110213.7,133597.25,1007222.57,15.73,24.69,1.09,38.57,10.11,3.65,45.13,21.17,71.052,2.763
2023,334620,441,Hourly,97694.98,142153.46,172159.66,189888.44,238222.53,2067833.68,4.54,9.0,26.81,37.69,-4.44,-7.7,50.27,36.85,97.166,6.658
2016,181125,939,Hourly,36993.79,49319.63,56952.02,68712.19,87212.67,654267.21,7.52,13.81,27.6,25.29,-8.64,15.69,6.91,47.7,96.059,3.233
2024,185927,561,Daily,48390.02,60547.78,73305.61,87226.22,93605.89,1001183.44,14.81,29.39,0.25,18.49,34.48,20.17,36.79,46.08,90.69,5.339
2025,128294,070,Daily,60262.38,91292.42,124750.79,185908.05,227769.0,1535677.52,24.45,13.06,30.05,29.6,11.19,-2.47,27.44,19.0,147.161,7.555
2022,695814,361,Hourly,29534.04,49087.02,59790.21,75906.15,81368.08,750303.67,18.56,4.16,16.72,28.93,-9.15,14.61,35.6,15.19,143.938,1.262
2020,683995,001,Monthly,39911.71,52750.32,68320.61,81138.65,98761.54,752276.4,8.89,0.47,28.29,23.53,11.86,7.8,41.31,14.43,114.225,2.865
2018,060318,528,Hourly,48839.21,80094.35,105960.26,124609.65,156926.23,1364802.29,1.45,7.89,25.67,15.82,18.96,28.06,8.69,37.47,130.069,2.007
2024,200722,285,Hourly,107713.58,145807.45,170513.53,239985.9,256404.38,2178759.29,14.21,3.54,9.6,17.35,15.47,3.89,26.28,39.45,97.697,4.241
2019,630694,816,Daily,9290.68,12928.94,15763.59,21075.52,24151.18,171562.25,14.24,17.73,25.74,35.45,26.82,11.52,15.98,52.23,122.809,4.246
2025,328978,003,Hourly,103521.03,128822.68,173759.43,252832.28,299907.57,1843102.06,23.53,10.61,29.91,29.98,7.84,26.78,0.7,39.39,154.958,2.201
2023,769262,217,Hourly,45734.95,69026.65,97320.62,108997.85,125593.85,1074479.62,20.06,20.95,20.99,18.58,-3.67,16.66,15.77,29.34,122.538,6.789
2020,751052,324,Annual,26274.8,37229.56,49928.74,62330.22,79514.62,685901.27,10.9,19.47,34.06,23.87,30.94,10.87,2.85,17.82,71.687,2.794
2023,083690,835,Hourly,65717.92,103409.36,138262.4,176534.48,232280.18,1909638.08,20.72,2.55,29.55,30.85,1.68,7.09,33.04,8.11,77.298,7.848
2017,459817,714,Annual,25955.61,31517.84,38849.97,49612.8,66624.65,448403.35,6.58,23.06,23.28,32.28,-0.61,25.96,39.29,8.41,131.713,3.013
2016,045245,304,Daily,43795.35,68878.76,81540.64,109304.65,147307.92,897575.3,2.55,7.26,16.97,4.87,3.26,7.09,8.14,33.65,77.259,4.534
2025,154203,065,Daily,63351.29,100683.7,132080.03,183290.29,240533.38,1665243.66,7.53,27.69,9.57,21.87,15.04,-6.07,4.99,4.51,93.544,5.367
2021,226201,335,Monthly,80022.2,121702.16,170889.56,222117.01,283251.08,2359194.16,5.95,23.54,5.72,34.66,7.2,26.47,48.33,51.82,97.98,7.779
2018,376917,909,Monthly,31402.38,38551.77,50436.16,57615.85,69257.24,642189.8,10.48,11.64,26.92,28.59,3.58,27.57,49.67,46.64,89.933,5.836
2021,135660,266,Hourly,70933.29,88964.07,116419.06,139552.1,151945.54,1481261.27,5.67,28.9,11.58,38.45,-3.81,-0.35,58.53,39.6,79.755,2.582
2022,975468,104,Daily,82797.27,126914.47,178191.7,208213.64,280864.34,1954998.37,17.33,28.56,34.96,38.06,8.56,-5.94,25.1,8.89,147.572,5.085
2020,342079,818,Hourly,7737.1,11066.28,14899.62,20827.16,27303.68,197706.03,15.17,24.83,18.13,8.72,21.49,28.3,4.93,45.79,109.533,6.561
2022,239148,061,Annual,89480.85,123316.72,143829.29,203329.04,257018.22,1791492.26,0.44,26.32,12.68,6.25,7.83,27.83,18.41,16.62,131.685,1.739
2018,232784,964,Daily,51808.94,77667.71,108332.94,133944.05,179300.06,1429758.66,8.0,7.49,32.08,38.66,21.86,23.01,49.45,15.11,76.722,3.813
2021,909435,370,Daily,57316.99,86257.46,104743.07,129471.74,149069.07,1246823.92,10.85,29.09,8.25,4.75,-4.88,15.97,3.14,50.1,159.267,7.082
2017,107670,254,Hourly,38198.91,57389.5,70824.38,81767.19,98339.15,945363.0,10.4,27.91,26.37,8.76,-9.01,21.66,28.12,7.69,149.311,0.676
2025,454254,083,Monthly,94547.69,129634.7,145456.62,215091.27,281306.39,1691817.18,6.47,0.6,14.72,25.39,25.26,-8.26,9.26,48.55,99.06,5.45
2021,686893,918,Daily,62472.03,96891.14,121174.35,164419.91,217461.77,1494908.02,23.19,18.79,27.24,4.01,31.06,7.07,43.18,50.56,123.379,5.795
2022,134455,053,Monthly,46021.69,74091.14,90126.42,111532.87,146035.97,992655.62,23.26,17.86,16.14,16.85,2.0,2.85,42.49,47.57,136.411,6.757
2017,722824,427,Hourly,46348.71,67046.68,77938.52,97244.45,103482.0,854508.01,18.87,24.69,19.59,14.03,24.59,11.66,9.03,5.31,117.937,2.535
2020,403672,698,Monthly,125076.42,155702.71,176187.93,220626.0,253985.8,2196153.88,8.02,13.25,21.07,24.41,3.15,13.77,54.86,48.12,77.122,1.057
2024,608909,986,Hourly,67482.61,83467.21,106473.46,149350.07,163537.81,1365593.63,13.82,5.3,14.83,8.54,-7.43,17.33,51.89,3.26,102.003,6.046
2019,567523,823,Monthly,97375.73,126240.19,154659.28,219518.03,233543.58,1937737.43,10.5,22.44,11.28,15.83,25.39,11.87,55.23,45.94,136.096,4.268
2022,560766,864,Annual,64545.45,77535.78,92707.74,104147.63,122367.71,1162781.31,22.05,3.17,31.65,26.14,-9.56,-6.32,25.77,43.75,131.213,2.693
2024,742407,589,Annual,48649.86,66797.02,91513.52,117904.34,127605.28,1142246.34,2.45,26.32,21.74,19.44,15.33,20.53,41.95,11.36,103.078,5.198
2021,505516,266,Hourly,13420.93,21759.51,24348.18,35904.29,46153.22,272236.09,19.13,12.23,23.95,4.95,25.12,6.03,33.73,43.55,143.288,1.987
2020,523985,297,Hourly,73300.96,99560.76,124744.38,178092.18,222374.25,1460310.8,2.77,14.15,7.12,35.45,-2.0,0.52,52.65,0.9,121.235,7.934
2023,283389,700,Monthly,77539.11,98774.57,123532.16,184953.85,229380.3,1564280.16,0.71,14.64,7.83,5.85,10.52,6.77,4.55,42.41,159.247,3.778
2022,630243,627,Monthly,130036.35,156087.62,177333.73,221464.6,298167.91,2400296.43,12.9,6.73,13.05,13.54,3.23,25.85,45.05,21.43,127.06,0.798
2021,352429,435,Annual,101042.9,129950.27,175163.4,229992.03,256113.23,2077959.14,10.11,5.12,14.08,10.7,2.1,-2.24,40.19,6.85,152.336,3.603
2016,202699,153,Annual,98285.28,117625.73,157888.34,218125.57,261384.97,1945076.31,3.94,11.61,22.86,14.71,-4.38,26.44,19.5,10.59,127.886,2.335
2024,307675,422,Daily,66584.39,79585.14,104807.82,146417.65,194810.91,1336386.56,14.69,4.87,31.51,11.54,19.36,19.12,37.53,6.54,94.238,6.842
2021,438833,606,Annual,34352.1,47278.11,56669.37,84036.25,104324.24,672493.32,5.81,27.33,2.31,25.38,19.5,1.77,44.78,7.74,71.26,6.927
2023,854393,490,Daily,31566.97,43169.45,52924.94,61132.54,76943.43,589369.98,8.84,21.22,25.94,26.27,27.17,18.05,53.26,28.7,79.627,5.038
2021,539180,715,Hourly,32710.36,39073.21,52882.26,67831.01,87278.65,675543.11,7.98,20.81,10.93,16.71,17.23,17.16,50.68,38.53,102.591,1.439
2020,409258,148,Monthly,107235.85,145527.03,163726.66,231492.58,306251.48,2018078.62,20.67,8.24,13.08,22.03,5.11,13.85,5.98,32.29,136.718,7.059
2019,978031,741,Hourly,14036.8,23249.32,31198.81,45483.5,61037.24,328269.47,1.55,21.79,10.66,5.75,23.28,-1.62,58.93,48.88,94.234,5.128
2025,042827,169,Monthly,42360.1,63005.7,89636.47,106713.09,121175.96,1045762.35,0.29,0.25,26.56,39.08,4.93,11.54,49.24,22.53,116.728,2.954
2016,231442,218,Monthly,40295.3,53388.33,65614.78,89466.83,106484.58,739210.36,4.06,2.79,13.37,1.86,22.51,-4.85,46.16,52.74,113.045,7.628
2025,525002,535,Hourly,13062.1,17778.52,20613.85,27098.39,29146.69,267987.01,4.16,28.9,20.36,20.01,-3.1,24.12,40.17,0.13,120.567,4.422
2024,370282,231,Annual,57726.83,73400.07,102110.68,112866.62,125688.43,1168403.02,2.64,0.52,2.87,16.82,13.05,-6.22,12.35,37.76,122.794,4.544
2020,099465,911,Hourly,55416.45,82566.35,99485.55,112433.19,144204.85,1130052.13,4.05,0.76,31.52,0.64,23.25,23.99,45.19,3.26,96.047,7.319
2025,199274,067,Monthly,39877.52,56492.61,72104.67,107696.16,128220.4,975203.53,18.81,12.13,29.15,35.7,7.2,16.93,34.93,13.66,107.896,7.932
2016,906836,629,Hourly,65732.31,93092.84,132986.45,158398.73,212319.99,1679484.19,8.64,26.39,28.38,7.69,2.9,28.89,27.38,32.77,75.938,2.374
2019,461476,062,Daily,33329.78,54423.76,75051.72,82914.81,98507.64,1000775.96,8.46,10.85,7.64,10.97,4.69,22.24,29.58,15.92,98.322,5.422
2020,602493,482,Hourly,83549.14,126857.9,164743.11,220763.14,247258.5,2099383.61,12.34,21.66,24.13,26.42,31.68,28.51,30.97,1.81,97.984,6.312
2023,793551,439,Monthly,12620.48,16321.75,21811.65,28104.55,36443.29,284404.6,0.84,21.21,30.22,12.36,9.81,-1.73,42.69,54.77,70.775,2.522
2016,607776,186,Annual,35077.93,45019.59,50878.72,74438.82,85545.82,628788.6,7.77,8.12,10.51,12.53,31.87,-8.04,29.04,49.37,77.827,6.616
2021,957575,524,Monthly,25107.21,29803.56,38835.78,51714.68,56200.17,475125.67,6.22,3.44,16.48,32.68,16.27,6.53,32.12,43.59,130.402,5.827
2025,892900,258,Hourly,65659.22,95911.99,107245.95,146496.29,196855.02,1323722.81,8.07,11.22,30.14,4.62,-1.96,20.7,24.3,22.11,122.052,4.471
2019,325757,978,Annual,8555.75,12042.69,14276.6,18597.15,22790.65,186365.45,23.4,26.74,15.35,15.57,20.98,-0.03,54.08,34.36,99.216,6.436
2023,150841,885,Annual,42639.31,66782.45,80003.54,90811.16,109991.98,860204.88,14.97,0.91,28.04,12.51,8.91,15.25,8.17,12.07,157.206,3.385
2023,854247,453,Hourly,41367.68,56490.67,67584.73,86342.14,98010.68,927598.9,13.48,20.11,12.37,28.8,5.32,18.33,58.05,8.59,131.077,2.509
2020,194690,327,Hourly,15394.39,21266.41,26579.41,29346.43,35720.09,320592.92,13.5,22.72,4.5,38.93,-7.04,21.12,37.14,25.57,97.931,7.361
2025,813027,775,Hourly,67539.04,91007.11,108323.08,158812.72,211717.09,1266141.27,13.93,0.82,22.22,5.61,29.17,2.98,52.64,18.37,146.951,0.805
2020,995329,082,Monthly,55025.56,77790.13,97906.87,146520.11,171431.74,1069512.97,5.43,4.0,23.04,5.6,29.49,29.76,57.45,11.74,102.91,3.803
2022,441054,133,Daily,52315.14,74235.69,87623.5,112993.23,128913.55,1134917.44,4.22,27.86,22.17,3.88,34.62,4.66,15.09,40.23,80.329,5.084
2022,071061,065,Monthly,35533.85,54033.71,65375.61,81245.81,89694.86,719122.26,0.65,5.35,29.87,27.52,-5.47,0.87,0.02,28.33,127.726,0.704
2017,635473,905,Monthly,54935.04,75875.92,97297.65,114160.81,149777.31,1268849.17,19.1,15.51,3.15,35.37,24.86,23.91,17.41,20.52,135.445,6.658
2024,477437,528,Daily,77180.35,125734.61,141010.39,205975.07,268726.27,1502742.55,18.39,18.56,33.48,18.33,29.43,5.05,31.9,6.03,139.456,5.986
2017,890664,581,Monthly,14039.29,19587.32,27618.39,33476.09,39070.48,358533.75,19.16,18.47,24.52,35.12,21.41,-8.55,14.35,15.73,78.343,0.584
2021,766342,318,Annual,33057.25,44647.86,57015.03,85392.34,112890.8,663688.15,5.84,17.77,13.98,39.95,10.09,11.48,53.92,53.73,111.986,2.982
2021,560765,056,Monthly,21175.59,26468.66,37168.89,44887.87,47949.21,454333.43,8.17,21.91,4.46,2.08,11.57,12.24,7.58,24.54,133.781,7.714
2021,763734,216,Hourly,22898.86,35871.65,39937.61,59502.03,65042.01,427062.82,9.24,11.68,22.07,26.18,17.2,-1.49,5.47,33.31,150.767,7.038
2020,703149,525,Hourly,23109.83,28209.55,32173.12,41993.9,45721.83,443858.02,20.65,26.47,27.03,36.54,18.74,-7.74,23.89,54.84,80.833,3.405
2018,534441,978,Annual,115173.64,150424.28,173471.08,247142.3,321218.72,2219192.01,8.09,12.37,25.47,29.97,3.44,29.52,50.69,26.2,127.536,7.511
2017,180174,246,Monthly,63816.55,81560.54,105487.07,148713.74,178098.92,1163159.38,8.07,29.05,6.58,6.43,1.98,4.7,40.37,1.64,73.351,5.899
2017,607819,160,Hourly,51169.34,81523.6,98149.17,125708.61,132305.38,1277548.59,8.46,22.13,15.66,34.71,-5.17,16.8,48.69,14.48,123.359,1.418
2018,973263,627,Annual,17073.46,20661.06,26110.38,38259.58,50492.44,305665.25,20.26,27.04,7.15,10.61,18.97,27.63,59.85,31.07,146.869,2.833
2021,594213,913,Monthly,9784.66,13211.77,15638.95,19115.03,24283.34,193801.48,19.89,1.02,14.24,15.1,-4.37,13.22,43.28,16.33,121.758,6.615
2022,260373,311,Monthly,86665.11,135211.82,170423.77,217495.23,293103.69,1820499.91,7.51,2.05,5.33,27.95,15.17,15.99,15.31,24.84,153.766,2.001
2024,684096,827,Hourly,88922.74,121514.14,136119.85,157688.37,168283.21,1863719.37,14.9,0.88,21.94,27.06,29.85,-7.14,17.26,26.43,104.819,1.765
2018,666447,800,Annual,81238.97,114348.82,145209.28,171079.79,224950.9,1727711.34,2.84,5.88,15.65,1.41,19.34,-5.36,54.35,23.64,72.486,7.407
2017,093010,125,Daily,10419.55,14276.84,17779.0,25225.1,30225.82,242633.11,19.33,19.69,2.8,25.4,15.15,24.45,43.39,46.58,152.745,4.311
2018,927557,329,Annual,11866.43,16313.85,18559.39,25535.21,26817.65,198945.86,5.02,7.09,0.68,30.7,-0.7,12.37,21.6,23.46,130.382,7.711
2022,661359,732,Hourly,79674.34,107773.62,125095.0,180070.12,195635.54,1387722.95,7.46,9.32,11.22,23.52,-6.82,24.35,49.42,37.05,123.953,7.12
2025,399034,706,Hourly,62899.58,90979.96,112776.28,127742.28,164487.17,1347946.88,5.95,8.87,27.59,25.82,-1.54,-3.05,5.67,47.38,142.905,1.244
2024,437606,948,Monthly,16577.53,21770.3,26934.14,33851.45,45078.91,295179.59,9.54,2.75,30.31,2.19,-7.39,-8.29,45.66,36.78,108.489,3.14
2024,131866,076,Hourly,18774.69,24797.67,28212.78,32641.36,38992.98,322769.09,13.15,6.88,2.36,14.67,6.55,29.88,0.96,39.85,130.464,6.458
2018,873729,726,Annual,13855.4,17685.73,19932.26,26440.87,33191.03,252743.75,23.22,12.15,24.58,20.97,28.13,1.04,12.79,38.56,155.672,1.477
2023,801372,961,Daily,33966.17,56584.08,70251.1,83403.47,104897.17,849645.77,11.55,9.29,30.35,13.32,12.46,25.75,24.8,1.0,144.65,0.578
2019,821103,078,Monthly,52831.52,72458.43,92497.14,118035.83,150286.04,1219242.19,22.96,5.26,3.26,37.44,16.53,-9.43,31.08,37.49,96.59,7.523
2021,937459,743,Hourly,84287.42,112509.94,156756.29,206196.88,247863.98,1993033.5,24.77,11.57,14.6,1.15,9.19,27.01,56.83,40.43,152.443,6.636
2017,909013,629,Hourly,18732.83,24906.72,32937.88,47734.39,54655.96,407351.41,20.91,8.07,22.95,16.6,32.04,-5.69,36.36,39.32,91.437,5.818
2016,564840,155,Hourly,85845.07,107621.44,150310.28,169993.59,206954.88,1821732.92,22.46,25.58,2.41,7.83,-4.59,3.78,50.93,6.93,89.656,2.868
2022,249878,336,Annual,73907.72,87868.22,108929.54,138368.91,155244.44,1178981.19,5.24,21.75,25.11,32.13,6.57,2.14,59.36,19.57,96.683,3.663
2017,732518,409,Hourly,46237.47,75830.96,103123.29,135693.76,145445.56,1228806.96,8.77,0.9,14.14,26.17,29.96,24.54,42.19,26.03,101.612,1.308
2024,652213,700,Hourly,26550.35,33481.58,37892.41,54962.43,65533.18,517816.17,12.77,8.35,1.42,29.27,21.46,-4.9,13.07,27.65,157.691,7.159
2019,589057,963,Monthly,46699.44,62259.71,70500.82,93149.15,111672.82,976712.65,21.99,9.78,17.59,34.99,10.76,15.19,22.87,10.01,117.706,1.097
2021,323677,775,Monthly,20892.62,29668.45,36104.22,53101.76,70534.05,390306.03,2.23,28.28,31.53,26.61,26.64,5.85,23.4,34.16,124.07,7.06
2020,441653,005,Hourly,11296.01,18694.05,22114.6,26829.31,32217.8,301784.65,14.26,14.36,6.12,18.46,25.37,-0.09,53.97,53.73,106.423,2.44
2025,010000,117,Annual,21833.19,28532.4,39178.63,56374.42,61957.63,430705.81,21.46,18.4,23.47,39.47,-0.8,5.73,16.15,25.62,130.308,5.739
2020,946376,717,Daily,80321.79,96476.88,124545.5,161567.72,172342.72,1449946.1,22.69,22.89,17.47,13.6,10.99,6.98,53.57,24.46,110.226,2.45
2020,748095,417,Hourly,23228.88,29520.61,34219.72,47158.22,61079.42,464456.26,16.41,6.28,16.53,0.8,1.89,-3.6,12.11,46.63,110.397,2.003
2016,592518,091,Daily,30858.29,38612.17,47239.66,59509.51,63340.01,538110.81,2.9,18.94,13.32,21.74,23.44,23.61,16.11,8.44,127.08,1.853
2017,662580,232,Annual,24880.27,34942.73,39491.03,47913.7,54490.8,515381.82,6.0,7.56,28.59,31.92,4.58,-1.95,54.32,30.31,137.819,4.351
2017,598815,102,Daily,23567.67,31383.36,44311.61,57512.78,62553.09,596684.66,9.82,23.59,0.5,30.64,21.96,28.88,3.39,40.93,92.713,6.433
2017,968327,342,Hourly,39481.85,62954.78,76268.77,113235.73,128556.63,1061889.88,5.18,0.98,18.65,25.44,5.46,16.07,44.79,0.98,88.871,3.885
2016,871600,056,Monthly,51311.16,63206.74,90186.07,111695.13,132531.73,1002607.68,5.42,13.44,11.74,18.95,26.99,11.87,32.46,52.62,137.77,6.114
2025,183284,910,Annual,6604.59,10549.56,13390.51,16130.17,17110.46,165084.41,20.33,20.53,17.27,16.51,34.97,-7.6,0.46,13.71,77.706,0.571
2020,376002,929,Monthly,15226.64,20886.22,27209.94,32460.33,38365.05,321058.67,21.25,8.1,34.59,26.24,28.48,7.27,13.98,3.26,104.253,6.589
2020,563363,514,Annual,13825.17,19128.37,26326.51,33831.39,41936.02,278547.36,5.76,25.97,5.48,7.72,-0.89,21.75,24.62,44.32,144.263,3.471
2024,126508,288,Daily,79675.13,126421.0,141098.96,206673.95,248224.39,1808104.61,22.9,26.27,32.43,34.97,-0.76,7.07,54.99,11.82,124.369,4.105
2020,942831,876,Daily,76891.25,113076.9,145869.85,196136.72,206837.42,1574486.03,9.28,6.96,3.95,16.04,9.37,21.83,15.44,46.76,100.411,3.376
2024,814882,473,Annual,58272.26,90248.14,125415.01,167302.65,190257.04,1755687.59,11.38,14.16,7.12,35.97,14.26,4.72,37.29,45.69,70.683,3.158
2024,529160,054,Hourly,76391.9,110254.85,148491.27,173880.14,228063.11,1917630.0,18.06,9.67,17.43,18.09,28.81,6.45,7.59,8.08,133.241,5.777
2022,530697,884,Daily,61639.43,92402.77,111513.58,134470.88,150154.3,1432762.46,3.4,24.61,22.18,1.2,21.64,8.61,9.62,34.06,108.409,5.121
2017,415147,073,Hourly,36391.0,48253.95,60222.87,72117.2,80976.91,834400.16,11.71,28.69,17.92,17.44,-6.28,6.34,7.18,48.23,140.345,3.289
2019,723327,577,Daily,94528.46,128338.38,143900.47,161474.8,181833.85,1865701.9,12.76,4.54,1.22,12.09,11.4,7.95,53.96,48.17,81.421,4.072
2021,630316,160,Annual,79849.94,105075.24,126242.58,139999.4,170827.32,1331335.94,20.77,15.05,31.64,36.43,34.06,6.02,40.25,0.5,140.443,1.352
2025,283906,024,Daily,31369.72,44098.95,54822.05,60964.22,79349.65,762892.29,11.99,3.63,33.52,28.57,17.96,23.22,7.93,46.25,123.708,3.106
2022,385968,862,Monthly,48287.57,78277.46,93210.13,122077.67,140949.44,1261695.7,17.64,11.94,32.48,15.7,19.98,-7.82,3.94,29.35,89.83,1.868
2020,913645,878,Annual,11768.21,17830.47,20765.16,26735.0,28969.67,235043.57,21.82,21.37,27.38,34.65,26.58,18.63,25.64,35.54,131.196,7.896
2020,311336,559,Annual,52122.88,77161.74,97414.69,126225.39,162233.83,1149318.69,3.35,19.93,13.32,32.24,4.25,2.71,41.35,47.42,127.894,6.429
2017,909749,827,Daily,79946.82,106317.27,127159.3,177913.04,213498.5,1512381.12,22.89,5.01,8.43,20.31,28.59,10.42,48.04,36.52,75.694,5.803
2021,439292,650,Monthly,47240.07,60187.28,72850.77,101299.72,135816.96,941712.65,14.73,11.01,17.24,21.41,-7.47,22.24,7.46,49.5,88.023,0.518
2021,484985,971,Annual,18981.36,24564.65,33247.58,46671.21,62055.97,454772.66,15.04,10.01,17.91,2.31,9.99,24.42,30.54,22.11,116.296,6.339
2019,199407,167,Monthly,88570.84,134223.04,155345.74,224494.2,288895.78,1835229.81,17.71,29.31,9.75,19.77,28.23,21.47,45.61,31.13,112.987,1.994
2016,232095,969,Annual,49837.42,69618.0,92581.31,136718.68,159319.11,1056191.74,7.08,20.38,18.05,16.65,4.28,-5.15,45.62,25.34,157.764,4.822
2019,927559,436,Hourly,70275.81,106146.08,138671.0,200612.84,265758.36,1805098.11,11.4,8.01,27.85,33.77,31.28,17.84,36.03,11.35,151.798,4.462
2016,219573,168,Hourly,55198.31,86436.51,103471.55,120344.63,160372.63,1359794.61,8.51,24.7,7.25,27.8,11.36,6.51,19.64,8.64,145.161,7.702
2020,630815,478,Daily,28981.81,34691.71,48439.32,66463.18,76235.18,663736.7,22.46,26.43,8.99,8.7,18.51,-3.22,59.15,41.54,119.853,1.831
2016,479509,740,Hourly,59172.15,90657.59,115082.04,172402.92,199188.29,1301630.75,3.63,4.53,8.17,33.78,0.12,12.8,36.35,53.46,112.753,6.989
2018,448226,935,Hourly,43284.84,62574.86,84347.72,119754.75,130040.96,976617.14,5.49,16.99,15.94,8.3,-2.26,27.52,53.44,17.69,108.278,7.574
2019,340404,606,Daily,16140.97,25941.86,34373.17,45197.12,56651.53,365906.57,24.91,4.2,17.84,27.86,-1.44,11.29,31.21,31.42,82.934,0.953
2016,398466,787,Daily,73511.28,98986.03,121221.71,153545.27,175406.04,1419019.38,14.6,21.49,33.48,6.78,25.94,-6.39,44.62,4.65,158.17,2.082
2025,763490,521,Annual,82409.8,125223.07,169522.48,215441.32,244594.34,2254686.89,9.83,0.62,34.86,31.04,6.27,27.74,23.36,15.2,139.871,7.86
2021,817862,044,Monthly,12574.19,18569.21,24090.76,28547.92,32723.82,269302.74,22.58,11.0,24.32,0.58,8.08,16.16,49.83,9.28,101.183,3.972
2018,779452,860,Daily,58943.4,90974.47,104199.04,144197.8,167405.07,1158758.59,6.54,2.02,21.87,32.41,10.51,-3.01,12.66,19.24,131.512,2.121
2017,008908,074,Daily,18289.13,28675.1,33391.12,49077.2,54820.03,384885.85,12.39,25.56,34.05,30.01,11.16,18.17,5.22,49.44,80.688,7.681
2018,426705,687,Annual,14658.59,24401.36,32165.82,39356.88,51228.09,449421.44,18.94,9.51,20.9,8.55,33.54,18.0,21.4,40.42,130.49,6.783
2019,272821,916,Daily,9718.63,15004.31,18413.47,23294.7,26307.7,224468.97,1.74,25.98,4.65,0.62,-4.1,4.5,22.04,22.16,151.676,1.871
2016,858675,905,Daily,30786.57,37105.92,49712.35,60413.6,69918.21,643795.01,0.51,18.73,5.6,4.83,3.73,19.79,46.01,29.46,132.714,2.977
2023,178243,503,Monthly,83140.23,97934.93,138819.1,192482.18,244449.24,1662254.86,6.14,7.9,4.69,15.09,18.93,1.71,4.71,49.54,120.114,4.549
2020,240239,024,Monthly,93624.71,141728.77,172286.19,230649.88,280463.21,2147112.17,6.0,26.15,7.52,28.68,-8.37,6.1,51.64,37.59,76.729,3.332
2016,407547,055,Daily,89071.39,145056.85,165132.16,200909.15,215212.96,1884869.13,17.06,4.11,3.61,18.54,14.78,0.4,6.26,27.64,139.74,3.759
2022,720680,499,Hourly,65683.29,91940.37,107893.14,153111.25,192736.08,1430441.37,13.98,6.27,14.08,3.52,16.7,11.57,21.65,53.84,115.19,6.177
2017,039368,321,Daily,61194.46,95207.31,106033.6,155805.06,206793.09,1147004.81,17.75,25.99,32.95,35.14,29.25,23.4,18.65,34.27,130.935,5.019
2020,531661,103,Annual,11424.63,14733.07,16599.7,24302.5,28440.79,177102.6,16.45,29.09,19.82,2.09,26.26,-6.62,53.73,50.14,70.074,2.265
2017,758605,211,Daily,42286.33,53523.89,60303.49,80388.01,104362.79,793972.17,0.4,9.99,31.99,24.46,2.54,18.0,57.21,23.61,135.541,3.825
2022,241168,651,Daily,15349.7,25292.66,34771.31,40582.45,52170.03,406813.68,14.53,5.02,16.55,33.55,23.01,17.56,33.27,22.17,114.801,3.642
2016,166046,433,Monthly,81319.32,129258.3,159008.79,216935.87,273787.21,1697538.32,2.35,7.67,5.69,27.72,32.35,5.25,16.17,37.64,87.847,7.354
2019,326635,488,Monthly,112972.88,133913.23,177694.58,229534.02,307513.35,1958929.62,4.02,11.52,26.4,15.82,25.07,6.88,24.02,38.59,109.13,6.833
2020,680743,871,Hourly,79211.29,119995.03,140063.37,174378.92,226151.86,1742492.86,20.54,27.44,3.55,29.09,8.49,14.73,23.79,54.02,135.209,0.702
2017,654464,025,Annual,106979.45,146523.77,175977.24,249870.51,274496.2,2391105.75,2.74,13.52,15.39,12.63,19.02,-9.06,18.96,4.77,95.458,7.095
2017,758377,073,Annual,8414.03,10207.77,13596.21,18550.3,23985.07,163368.89,12.96,10.05,31.01,3.61,-2.85,-6.84,12.22,39.48,90.801,0.569
2016,984407,037,Annual,21210.03,25141.74,28403.92,32342.67,36081.92,365917.07,15.66,25.28,28.75,12.99,15.24,-5.71,49.65,48.08,78.527,2.684
2019,725166,276,Hourly,28499.47,36669.64,46602.69,55487.28,66553.86,636364.73,20.09,22.95,1.46,8.41,15.68,-9.57,49.16,28.6,149.208,6.998
2017,120367,429,Monthly,61459.72,90445.2,112195.06,155850.85,170974.45,1212848.66,15.06,21.99,20.39,24.52,26.63,21.0,15.39,21.84,119.964,2.454
2021,524153,771,Hourly,86109.84,102311.92,144159.34,167107.47,203722.65,1668580.08,18.84,7.66,6.91,6.38,10.17,29.3,41.34,19.96,81.413,7.918
