gov_debt_reporting_year,gov_debt_issuer_id,gov_debt_debt_type_code,gov_debt_principal_outstanding_inr,gov_debt_principal_issued_inr,gov_debt_principal_retired_inr,gov_debt_interest_cost_inr,gov_debt_average_coupon_rate,gov_debt_maturity_years_weighted,gov_debt_debt_service_coverage_ratio,gov_debt_days_cash_on_hand,gov_debt_liquidity_ratio,gov_debt_net_position_change_inr,gov_debt_unfunded_pension_liability,gov_debt_opeb_liability,gov_debt_bond_rating_agency,gov_debt_bond_rating_value,gov_debt_default_event_flag,gov_debt_refinancing_savings_inr,gov_debt_fiscal_distress_flag
2025,GOV16900546,GOVR5JFI,45373,70253577,43892,58318,11.16,val_1699_00546,0.264,296,2.685,val_1699_00546,val_1699_00546,val_1699_00546,MNRE,51286393,1,34935564,0
2019,GOV16900547,GOVUI8KV,3962953,564895,40502901,29668,92.6,val_1699_00547,0.832,2756,1.561,val_1699_00547,val_1699_00547,val_1699_00547,MoHFW,71631,0,258035,0
2021,GOV16900548,GOVCFNIG,20403,62455171,87223,2505584,10.97,val_1699_00548,2.678,1865,0.409,val_1699_00548,val_1699_00548,val_1699_00548,MoHUA,403420,1,455467535,1
2011,GOV16900549,GOVTHITU,147908,47553855,5191168,50086,2.91,val_1699_00549,2.924,1652,2.769,val_1699_00549,val_1699_00549,val_1699_00549,MoRTH,38745,0,2676685,1
2018,GOV16900550,GOVQDB9V,197216,366237,53774804,54208,48.35,val_1699_00550,2.489,145,2.076,val_1699_00550,val_1699_00550,val_1699_00550,MHA,57737796,1,5630727,0
2011,GOV16900551,GOV5OL54,541503,415129,533424401,39857863,99.15,val_1699_00551,3.637,2636,1.42,val_1699_00551,val_1699_00551,val_1699_00551,MoHFW,3524774,0,471431952,0
2019,GOV16900552,GOVW6LOA,5144168,58124962,369475,660031,98.22,val_1699_00552,3.208,2508,2.736,val_1699_00552,val_1699_00552,val_1699_00552,MHA,27970345,0,7369529,0
2013,GOV16900553,GOV1TKHJ,4010553,44800642,61499,722229117,38.01,val_1699_00553,2.254,668,4.6,val_1699_00553,val_1699_00553,val_1699_00553,MoRTH,599269,0,4780254,1
2020,GOV16900554,GOVQAJI5,779543,39369930,5932118,3396724,10.95,val_1699_00554,3.799,2102,0.468,val_1699_00554,val_1699_00554,val_1699_00554,MHA,52552016,0,24262,1
2011,GOV16900555,GOVFXXR8,78968,53300,60590,3979096,2.77,val_1699_00555,0.614,3141,3.419,val_1699_00555,val_1699_00555,val_1699_00555,MNRE,2921035,1,771070,1
2011,GOV16900556,GOVDVN7Z,31529166,525867423,20272556,575021,84.45,val_1699_00556,3.384,2812,4.024,val_1699_00556,val_1699_00556,val_1699_00556,MeitY,73441657,0,5044202,0
2012,GOV16900557,GOVBBB95,384269,6479407,326890,929674,43.69,val_1699_00557,4.854,2102,4.111,val_1699_00557,val_1699_00557,val_1699_00557,MoE,74838,1,44387168,0
2015,GOV16900558,GOVLWNNO,357889540,41732,5010,641155,58.85,val_1699_00558,1.563,2425,2.947,val_1699_00558,val_1699_00558,val_1699_00558,MOF,24119,1,440673,1
2020,GOV16900559,GOVJ2S4I,7794499,5931175,48108647,510381,55.66,val_1699_00559,4.583,145,0.007,val_1699_00559,val_1699_00559,val_1699_00559,MHA,5902276,1,95197180,1
2015,GOV16900560,GOVO8R7R,279701267,56259900,674102,502113,89.82,val_1699_00560,4.769,1172,2.714,val_1699_00560,val_1699_00560,val_1699_00560,DoPT,45827093,0,201792614,0
2022,GOV16900561,GOVQWFT1,46914996,60008,34804469,6703437,48.68,val_1699_00561,1.639,2415,2.358,val_1699_00561,val_1699_00561,val_1699_00561,MeitY,43492,0,580972,0
2014,GOV16900562,GOVNK9L5,22618,465696566,16281097,1417721,66.17,val_1699_00562,3.797,2506,3.048,val_1699_00562,val_1699_00562,val_1699_00562,MoHUA,39669989,1,49827,1
2014,GOV16900563,GOVKBKVN,57463772,7200819,551210,2490321,35.22,val_1699_00563,1.41,2929,0.959,val_1699_00563,val_1699_00563,val_1699_00563,MHA,767727,0,28874778,1
2011,GOV16900564,GOV1PVOB,373154,81159,2172959,15938186,99.65,val_1699_00564,2.419,2937,0.838,val_1699_00564,val_1699_00564,val_1699_00564,MoE,59259,1,326779,1
2024,GOV16900565,GOVDNEZ2,688656745,5589914,223375,487929,11.75,val_1699_00565,2.096,2039,0.911,val_1699_00565,val_1699_00565,val_1699_00565,MNRE,42212,1,6465013,1
2017,GOV16900566,GOV666E2,252627,38648860,614791,57572436,18.62,val_1699_00566,4.001,3615,2.818,val_1699_00566,val_1699_00566,val_1699_00566,MHA,744914,1,307877380,0
2013,GOV16900567,GOV1V8E5,5863096,80753,28179085,6070976,62.8,val_1699_00567,2.848,914,1.653,val_1699_00567,val_1699_00567,val_1699_00567,MeitY,373703,0,4518593,0
2019,GOV16900568,GOVR8AUY,58875616,61483,55361559,81951312,94.35,val_1699_00568,2.896,3068,2.622,val_1699_00568,val_1699_00568,val_1699_00568,MoRTH,521800,1,9171784,0
2013,GOV16900569,GOVLQOG7,78276,2498080,4798050,46075,76.88,val_1699_00569,2.038,689,1.19,val_1699_00569,val_1699_00569,val_1699_00569,MoHFW,48199903,0,833233,0
2016,GOV16900570,GOVEYIDF,562167,20941,101481,6000812,23.13,val_1699_00570,1.769,306,1.184,val_1699_00570,val_1699_00570,val_1699_00570,DoPT,51581,1,88393,1
2019,GOV16900571,GOVD2UZR,517090950,719884,419720193,37813,62.17,val_1699_00571,1.554,2511,2.526,val_1699_00571,val_1699_00571,val_1699_00571,MoHFW,45246844,0,365650840,1
2011,GOV16900572,GOVY9L5O,604996234,4005976,4228628,2616241,46.39,val_1699_00572,3.33,652,1.016,val_1699_00572,val_1699_00572,val_1699_00572,MNRE,74312,1,60006713,1
2024,GOV16900573,GOVSLFHF,770830051,277581463,439332831,619396886,65.18,val_1699_00573,0.645,3068,4.594,val_1699_00573,val_1699_00573,val_1699_00573,MoHFW,939530224,0,30109,0
2023,GOV16900574,GOVSPMY2,70939,42863884,75517187,45919320,14.09,val_1699_00574,4.023,1803,2.015,val_1699_00574,val_1699_00574,val_1699_00574,MoRTH,753344,0,84835252,0
2016,GOV16900575,GOV4DGNJ,487812801,558056,41295759,4566498,61.65,val_1699_00575,1.739,2610,4.37,val_1699_00575,val_1699_00575,val_1699_00575,MHA,54073,1,442917071,0
2013,GOV16900576,GOV6YO0D,464058,399759988,29308,710211077,95.58,val_1699_00576,0.388,2819,3.73,val_1699_00576,val_1699_00576,val_1699_00576,MoHFW,466024,1,42110171,1
2022,GOV16900577,GOVD52RE,3080446,501109,450490578,352276596,5.72,val_1699_00577,2.232,358,2.636,val_1699_00577,val_1699_00577,val_1699_00577,MoE,531253457,1,4443693,0
2023,GOV16900578,GOVHGGU5,48939,542851517,6733283,444109,32.16,val_1699_00578,4.72,334,4.808,val_1699_00578,val_1699_00578,val_1699_00578,MoHFW,39533260,1,48739,1
2014,GOV16900579,GOVX59Z8,469034,43249,61039,18749355,45.49,val_1699_00579,2.149,3288,2.97,val_1699_00579,val_1699_00579,val_1699_00579,MoE,70177,1,379700,1
2021,GOV16900580,GOVJM7OY,42734,52121021,330289982,775553520,62.81,val_1699_00580,1.702,3638,4.95,val_1699_00580,val_1699_00580,val_1699_00580,MoHUA,6973507,0,4678786,1
2015,GOV16900581,GOVEKIM2,470049,564725,36016,622086,3.52,val_1699_00581,1.602,309,0.434,val_1699_00581,val_1699_00581,val_1699_00581,DoPT,96947,1,880781,0
2012,GOV16900582,GOVD17N8,41974,973271,69564687,46317435,28.68,val_1699_00582,3.412,598,2.265,val_1699_00582,val_1699_00582,val_1699_00582,MoHUA,221128,0,63521,0
2014,GOV16900583,GOVFSMNN,412823,59453,53043545,46030657,2.88,val_1699_00583,0.554,800,1.484,val_1699_00583,val_1699_00583,val_1699_00583,MNRE,301135,0,33539706,1
2023,GOV16900584,GOVODVQ5,6137653,4452081,671443,207926,20.82,val_1699_00584,0.18,1458,1.658,val_1699_00584,val_1699_00584,val_1699_00584,DoPT,39353113,1,5786208,1
2020,GOV16900585,GOVVQKFT,58403,58236606,40214106,293452975,81.57,val_1699_00585,1.504,3220,4.035,val_1699_00585,val_1699_00585,val_1699_00585,MoHUA,17661612,1,39576613,1
2024,GOV16900586,GOVX8SV9,44780,527624618,39807615,782295460,6.17,val_1699_00586,3.474,2470,2.474,val_1699_00586,val_1699_00586,val_1699_00586,MoRTH,326059,0,26954404,0
2013,GOV16900587,GOVF9SOU,550089,51733498,645156,11376,31.64,val_1699_00587,3.53,583,4.105,val_1699_00587,val_1699_00587,val_1699_00587,MoHFW,70243443,0,80251595,0
2025,GOV16900588,GOVRLRI5,32189,7058635,955758052,18835623,71.11,val_1699_00588,2.576,2858,1.832,val_1699_00588,val_1699_00588,val_1699_00588,MoRD,381882,0,4291571,1
2014,GOV16900589,GOVE7NNQ,945970895,62453,284641,666981420,50.47,val_1699_00589,2.65,240,3.158,val_1699_00589,val_1699_00589,val_1699_00589,MNRE,145468,1,5714373,1
2010,GOV16900590,GOVGFHXU,257874996,212753,18557,87823,71.01,val_1699_00590,1.553,350,2.759,val_1699_00590,val_1699_00590,val_1699_00590,MoRD,591887,1,505756,1
2018,GOV16900591,GOV2M61J,33213,324116284,7014797,69463340,69.28,val_1699_00591,2.74,488,2.521,val_1699_00591,val_1699_00591,val_1699_00591,DoPT,50780,0,5027561,0
2026,GOV16900592,GOV90KTD,562415,555286,556622,16018,34.07,val_1699_00592,1.049,2399,2.975,val_1699_00592,val_1699_00592,val_1699_00592,MNRE,61165,1,1861955,0
2021,GOV16900593,GOVG3TMA,64939504,533515821,235361606,444614,14.03,val_1699_00593,4.931,2266,1.276,val_1699_00593,val_1699_00593,val_1699_00593,MoHFW,71839151,1,216558,1
2024,GOV16900594,GOV0NBV5,379418,33837668,300124,67148,72.94,val_1699_00594,4.281,3192,3.655,val_1699_00594,val_1699_00594,val_1699_00594,MoRD,61803,0,482941189,0
2016,GOV16900595,GOVHVCRS,342402,73585,656268,35226806,54.81,val_1699_00595,2.824,1385,4.176,val_1699_00595,val_1699_00595,val_1699_00595,MoRD,6794523,0,5521679,1
2012,GOV16900596,GOVMJNO1,562819994,55195504,540964448,41572,83.1,val_1699_00596,2.742,1837,2.444,val_1699_00596,val_1699_00596,val_1699_00596,MoRTH,78862,0,641880,0
2026,GOV16900597,GOVOWYYK,438130575,3868364,4091973,49460,1.31,val_1699_00597,0.835,2001,2.757,val_1699_00597,val_1699_00597,val_1699_00597,MOF,843226,0,126518604,1
2023,GOV16900598,GOVURW9Z,708423160,454695208,23538,91120714,43.3,val_1699_00598,2.629,3627,2.735,val_1699_00598,val_1699_00598,val_1699_00598,MoRTH,43889,0,504317445,0
2015,GOV16900599,GOV8MLXV,180041085,647797,573427,2445281,42.97,val_1699_00599,3.18,1506,0.164,val_1699_00599,val_1699_00599,val_1699_00599,MHA,1097515,0,59412053,0
2019,GOV16900600,GOVLHV32,4866991,4826424,407423,5627550,13.98,val_1699_00600,3.249,1289,3.034,val_1699_00600,val_1699_00600,val_1699_00600,MeitY,466205051,1,7941095,0
2013,GOV16900601,GOV7ZNS1,44384205,46373,3549778,609697902,85.22,val_1699_00601,1.282,715,0.281,val_1699_00601,val_1699_00601,val_1699_00601,MHA,471142030,0,72121,1
2018,GOV16900602,GOV0X6OM,48880039,770940767,292757,73733979,14.13,val_1699_00602,0.555,2463,1.355,val_1699_00602,val_1699_00602,val_1699_00602,MOF,518553,1,2175630,1
2024,GOV16900603,GOVPE5EU,757972523,673484463,256248158,63379698,49.2,val_1699_00603,4.186,291,0.707,val_1699_00603,val_1699_00603,val_1699_00603,MoHFW,429035584,0,600406,1
2023,GOV16900604,GOVMOIVC,42734197,392371392,674144168,604059,57.55,val_1699_00604,1.22,1505,0.272,val_1699_00604,val_1699_00604,val_1699_00604,MoRD,76622065,1,456497,1
2026,GOV16900605,GOVZE3UG,63477,483117734,53241259,5825389,15.25,val_1699_00605,0.419,3215,3.056,val_1699_00605,val_1699_00605,val_1699_00605,MoHFW,238851,1,633005460,0
2017,GOV16900606,GOVG73HE,60965794,6930485,771322,831981933,82.0,val_1699_00606,2.59,2818,2.118,val_1699_00606,val_1699_00606,val_1699_00606,DoPT,775975531,0,8223,0
2016,GOV16900607,GOVUIYOB,41343956,212660,510169260,385776330,97.98,val_1699_00607,3.911,2904,2.155,val_1699_00607,val_1699_00607,val_1699_00607,MoRTH,160054080,1,102090345,1
2021,GOV16900608,GOVV1NCM,437550054,3116671,74045180,509316343,65.61,val_1699_00608,4.722,1372,4.828,val_1699_00608,val_1699_00608,val_1699_00608,MoHUA,4392302,1,367530,0
2016,GOV16900609,GOV739PX,572669981,29788873,605607,61885860,57.47,val_1699_00609,4.142,1838,4.565,val_1699_00609,val_1699_00609,val_1699_00609,MoRD,136771,1,656968,0
2010,GOV16900610,GOVITGHL,45340300,52802,59013,133698,60.34,val_1699_00610,4.33,3508,2.303,val_1699_00610,val_1699_00610,val_1699_00610,MoRD,82758,0,705750500,1
2010,GOV16900611,GOVVSH29,56604626,1214478,109560414,74934,7.63,val_1699_00611,4.063,3563,4.086,val_1699_00611,val_1699_00611,val_1699_00611,MoHFW,331708,1,34641,1
2014,GOV16900612,GOV3QP2U,480426309,28811351,53894331,79517552,45.95,val_1699_00612,0.823,1058,3.315,val_1699_00612,val_1699_00612,val_1699_00612,MoHFW,7039090,0,6355347,0
2026,GOV16900613,GOVZLJOI,21427472,29057,30825,41032,10.6,val_1699_00613,0.717,3617,2.451,val_1699_00613,val_1699_00613,val_1699_00613,MoHUA,7050169,1,25893654,0
2018,GOV16900614,GOVEZG28,485362,58763057,247667002,306783475,54.28,val_1699_00614,3.458,1672,0.395,val_1699_00614,val_1699_00614,val_1699_00614,MoRTH,4731500,0,456391,1
2016,GOV16900615,GOVZYO9Q,523042943,73990,62582,2462947,9.06,val_1699_00615,1.404,603,0.532,val_1699_00615,val_1699_00615,val_1699_00615,MHA,100262431,0,79364,0
2014,GOV16900616,GOVBSFLH,18539679,733372,2856339,58873506,96.41,val_1699_00616,1.478,440,0.808,val_1699_00616,val_1699_00616,val_1699_00616,DoPT,24958,1,812220,0
2022,GOV16900617,GOVDZLS3,376260626,61893,29131,644727085,99.24,val_1699_00617,0.607,3108,4.96,val_1699_00617,val_1699_00617,val_1699_00617,DoPT,530232677,1,69019611,0
2013,GOV16900618,GOVQE6IC,8483038,630735,65335579,8333,33.12,val_1699_00618,2.546,2722,2.029,val_1699_00618,val_1699_00618,val_1699_00618,MoRD,31295,1,60461415,1
2015,GOV16900619,GOVGIYAK,19126,45663,451182,2098046,95.71,val_1699_00619,0.928,303,1.89,val_1699_00619,val_1699_00619,val_1699_00619,MoHFW,34937,0,868748,0
2021,GOV16900620,GOVN21VS,62809748,6110397,430932136,64808,1.12,val_1699_00620,3.716,3170,3.697,val_1699_00620,val_1699_00620,val_1699_00620,MoE,656612,1,51451623,0
2017,GOV16900621,GOV7NTYR,73291,67966714,33645,52402627,42.33,val_1699_00621,3.47,1969,3.422,val_1699_00621,val_1699_00621,val_1699_00621,MoHUA,52136550,1,513796,0
2018,GOV16900622,GOVIQ9OZ,53306,45859006,57050890,310878,36.66,val_1699_00622,3.438,997,1.641,val_1699_00622,val_1699_00622,val_1699_00622,MoRD,11070,1,4206547,1
2012,GOV16900623,GOV3SKK1,669535,68613987,647485955,4855355,49.87,val_1699_00623,3.594,1777,0.98,val_1699_00623,val_1699_00623,val_1699_00623,MoRTH,36936,1,4903583,1
2012,GOV16900624,GOVILV2C,2560732,63058126,582004,78046,14.41,val_1699_00624,1.373,670,4.393,val_1699_00624,val_1699_00624,val_1699_00624,MoE,3453989,1,7182956,1
2019,GOV16900625,GOV9E4K9,764018,289003499,4723839,535723,99.23,val_1699_00625,2.168,1036,3.039,val_1699_00625,val_1699_00625,val_1699_00625,MoHFW,5871951,0,3510586,0
2022,GOV16900626,GOVWCYLZ,52785143,50813,46366,34088381,35.86,val_1699_00626,2.993,2752,1.587,val_1699_00626,val_1699_00626,val_1699_00626,MoRD,7927883,1,379348,0
2022,GOV16900627,GOV53G0D,4795402,657577318,46754,77845,39.22,val_1699_00627,4.041,1931,4.599,val_1699_00627,val_1699_00627,val_1699_00627,MOF,48136923,1,9258,1
2011,GOV16900628,GOV0EZ6N,102723525,4132689,60304046,63753827,18.62,val_1699_00628,2.089,390,4.207,val_1699_00628,val_1699_00628,val_1699_00628,MHA,776771620,1,767117850,0
2015,GOV16900629,GOV0PQ3G,30497751,476012695,6467850,5881253,60.98,val_1699_00629,2.514,622,0.313,val_1699_00629,val_1699_00629,val_1699_00629,MoRTH,7802832,0,60740,0
2019,GOV16900630,GOVBM6PC,323763,65819923,23680,52778,22.89,val_1699_00630,0.673,1555,1.312,val_1699_00630,val_1699_00630,val_1699_00630,MOF,33238048,1,66356832,0
2021,GOV16900631,GOV7TT4M,409819924,3685795,58609402,45767,95.29,val_1699_00631,1.817,2375,0.731,val_1699_00631,val_1699_00631,val_1699_00631,DoPT,668817,1,73952877,0
2016,GOV16900632,GOVGZJ9Z,705343,4910249,441689713,65760,80.45,val_1699_00632,0.614,1900,2.01,val_1699_00632,val_1699_00632,val_1699_00632,MoRD,451826990,0,46626,0
2010,GOV16900633,GOVBT4OP,3483755,519516061,62773914,188177,78.98,val_1699_00633,4.859,3089,3.585,val_1699_00633,val_1699_00633,val_1699_00633,MoHFW,43767,0,29474964,1
2011,GOV16900634,GOVBPBQY,4917126,7000444,570225975,144696672,35.17,val_1699_00634,2.8,1132,4.441,val_1699_00634,val_1699_00634,val_1699_00634,DoPT,59756485,1,965410541,1
2022,GOV16900635,GOV38S78,839726463,62479,53485,3080022,97.17,val_1699_00635,1.322,731,2.908,val_1699_00635,val_1699_00635,val_1699_00635,MOF,40993,1,471681,0
2016,GOV16900636,GOVGRKZ9,506267279,677953,41545832,6620656,13.31,val_1699_00636,4.274,3458,3.409,val_1699_00636,val_1699_00636,val_1699_00636,MoHUA,1987013,1,31074,0
2026,GOV16900637,GOV89XM3,362376,7804133,56174,54839,9.51,val_1699_00637,2.716,260,4.186,val_1699_00637,val_1699_00637,val_1699_00637,DoPT,42613,1,44994,1
2024,GOV16900638,GOV3HY6P,66821,401606,1908922,46059917,38.51,val_1699_00638,1.918,1979,4.507,val_1699_00638,val_1699_00638,val_1699_00638,MoE,488190507,1,662594,0
2012,GOV16900639,GOV9AJ50,714300,431720,4246233,3890570,56.53,val_1699_00639,1.617,2022,4.887,val_1699_00639,val_1699_00639,val_1699_00639,MoRTH,41197,1,117312,1
2022,GOV16900640,GOVNUJMD,60778171,335975,467121489,298949,0.54,val_1699_00640,0.108,1523,3.621,val_1699_00640,val_1699_00640,val_1699_00640,MNRE,26259139,0,400937983,0
2016,GOV16900641,GOV404IW,548537,57205111,487514,580328,83.32,val_1699_00641,2.088,3203,0.909,val_1699_00641,val_1699_00641,val_1699_00641,MHA,5392738,0,48232,0
2022,GOV16900642,GOVIIQDJ,6262135,376273,2435367,209177829,4.98,val_1699_00642,2.838,454,4.72,val_1699_00642,val_1699_00642,val_1699_00642,MoRTH,43771970,0,6411,1
2017,GOV16900643,GOV4I4IA,80471511,353105,4559751,70798,70.5,val_1699_00643,2.875,1956,4.712,val_1699_00643,val_1699_00643,val_1699_00643,MoRTH,9454959,1,721710,0
2013,GOV16900644,GOVMQ077,3850675,8133637,18232,56342,53.58,val_1699_00644,3.671,2228,3.325,val_1699_00644,val_1699_00644,val_1699_00644,MoHUA,41738,0,74962313,0
2019,GOV16900645,GOVR01LM,681994141,33179078,5607653,39716,97.7,val_1699_00645,1.995,5,1.834,val_1699_00645,val_1699_00645,val_1699_00645,MoE,673137,1,559604,0
2015,GOV16900646,GOV0OU95,22575059,54394080,16406,3177628,35.36,val_1699_00646,0.426,2236,2.856,val_1699_00646,val_1699_00646,val_1699_00646,MoE,383338,0,41921,1
2026,GOV16900647,GOVF5ZLX,6260018,430507098,98555,4006321,36.3,val_1699_00647,4.155,288,1.49,val_1699_00647,val_1699_00647,val_1699_00647,MoRD,69631263,0,1611083,0
2024,GOV16900648,GOVY9U1E,500865919,3412917,4195627,41236963,26.23,val_1699_00648,1.967,2211,1.986,val_1699_00648,val_1699_00648,val_1699_00648,MOF,557606,1,6632906,0
2012,GOV16900649,GOVJNA3B,1665345,28658,69274,41319,93.86,val_1699_00649,3.701,2417,1.554,val_1699_00649,val_1699_00649,val_1699_00649,MoE,219006,0,410818077,1
2011,GOV16900650,GOV0BSHZ,54863,7644109,539587,72620,60.51,val_1699_00650,4.575,3228,4.247,val_1699_00650,val_1699_00650,val_1699_00650,MoE,4535809,1,814001632,1
2025,GOV16900651,GOVO9EZG,622978469,15688,351866,474029,84.68,val_1699_00651,1.657,445,1.289,val_1699_00651,val_1699_00651,val_1699_00651,MeitY,5549664,0,667567692,1
2014,GOV16900652,GOV7M1PT,33731,634649783,433597,386792458,35.32,val_1699_00652,0.137,2940,1.08,val_1699_00652,val_1699_00652,val_1699_00652,MoHFW,32456112,1,533341,1
2022,GOV16900653,GOVNC3ZO,56228,7680396,595811,495863,65.19,val_1699_00653,0.123,2227,2.752,val_1699_00653,val_1699_00653,val_1699_00653,MoRTH,46735,1,31472007,1
2026,GOV16900654,GOV1L8RM,26265,7911317,39205,26604107,20.96,val_1699_00654,0.938,812,1.372,val_1699_00654,val_1699_00654,val_1699_00654,MeitY,887131078,1,965261078,1
2019,GOV16900655,GOVOF45O,27290,62880,64568,78258,24.43,val_1699_00655,4.702,2601,3.222,val_1699_00655,val_1699_00655,val_1699_00655,DoPT,36572953,1,56545247,0
2024,GOV16900656,GOVGZ40Y,23948,350839796,4793219,49614048,66.01,val_1699_00656,2.442,588,2.728,val_1699_00656,val_1699_00656,val_1699_00656,MeitY,888651,1,64021040,1
2022,GOV16900657,GOVZ5IXW,64376013,558596,53214,4673570,54.83,val_1699_00657,0.693,534,0.775,val_1699_00657,val_1699_00657,val_1699_00657,MoRD,6578202,1,4284107,1
2018,GOV16900658,GOV1EWJ9,24507757,43593463,61816341,477476606,64.15,val_1699_00658,0.275,3293,2.209,val_1699_00658,val_1699_00658,val_1699_00658,MoHFW,29851,0,648348,0
2024,GOV16900659,GOV1MOXV,43694294,6268901,74240,1834642,60.26,val_1699_00659,4.009,942,2.343,val_1699_00659,val_1699_00659,val_1699_00659,MoRTH,425542,1,787477,0
2020,GOV16900660,GOVV0NYA,3696309,317160,621768614,621294820,90.45,val_1699_00660,4.827,1912,0.618,val_1699_00660,val_1699_00660,val_1699_00660,MoHFW,47002,0,37649,1
2014,GOV16900661,GOV1J63D,748004061,881102,3470754,81005,5.6,val_1699_00661,0.416,3592,2.174,val_1699_00661,val_1699_00661,val_1699_00661,MHA,30722,0,6868398,1
2015,GOV16900662,GOVRSQZE,281393256,1241634,573272,5365127,25.8,val_1699_00662,1.848,1762,2.863,val_1699_00662,val_1699_00662,val_1699_00662,MNRE,23602382,1,506101889,1
2026,GOV16900663,GOVT3C1B,571329303,211439,24438907,631679243,43.58,val_1699_00663,0.204,1609,3.834,val_1699_00663,val_1699_00663,val_1699_00663,DoPT,73587,1,39677455,0
2011,GOV16900664,GOVWCR0F,17741,63346,5990866,343387293,51.36,val_1699_00664,1.389,842,2.131,val_1699_00664,val_1699_00664,val_1699_00664,MHA,514499,1,409618,1
2020,GOV16900665,GOVHZTQY,51786402,571630,27007,59360422,2.51,val_1699_00665,1.842,2902,3.868,val_1699_00665,val_1699_00665,val_1699_00665,MoRD,72415,1,61190,0
2020,GOV16900666,GOVN1EIL,39703,50741240,33802806,69352,0.6,val_1699_00666,3.834,3401,1.888,val_1699_00666,val_1699_00666,val_1699_00666,MoHFW,37987278,0,372185179,0
2015,GOV16900667,GOVI3MYN,6405296,3969766,634930,581360,75.36,val_1699_00667,3.181,795,2.243,val_1699_00667,val_1699_00667,val_1699_00667,MeitY,230704,0,858241121,0
2024,GOV16900668,GOVGAKOG,29167640,761518089,68579,4680132,40.46,val_1699_00668,4.438,2307,2.167,val_1699_00668,val_1699_00668,val_1699_00668,MOF,78853651,1,49813376,0
2021,GOV16900669,GOVRE8BB,407145,587293,158279910,63716,83.84,val_1699_00669,1.57,2898,2.263,val_1699_00669,val_1699_00669,val_1699_00669,MeitY,798560269,1,36200,0
2014,GOV16900670,GOV2PH0E,38129,5502626,54069,3433977,51.11,val_1699_00670,1.758,1570,1.567,val_1699_00670,val_1699_00670,val_1699_00670,MHA,73461,0,524534230,1
2024,GOV16900671,GOVHOJ9Y,513450986,590350517,43694,668008,78.15,val_1699_00671,2.433,466,1.651,val_1699_00671,val_1699_00671,val_1699_00671,MNRE,6702544,1,636211379,1
2024,GOV16900672,GOVW6VHU,18362352,44425866,478148,759213,41.29,val_1699_00672,0.117,1208,3.066,val_1699_00672,val_1699_00672,val_1699_00672,MoE,66593943,0,5812742,0
2024,GOV16900673,GOVGD8FM,17106,6272184,737685620,404018,13.38,val_1699_00673,4.26,3136,4.151,val_1699_00673,val_1699_00673,val_1699_00673,MoRD,536565483,0,53040143,0
2011,GOV16900674,GOVSZL4W,4702035,57128,43042,24550942,92.5,val_1699_00674,0.758,1386,3.522,val_1699_00674,val_1699_00674,val_1699_00674,MoE,472404,0,232113293,1
2017,GOV16900675,GOVYCF21,782654552,28152045,3318100,5378617,89.92,val_1699_00675,3.976,1850,3.147,val_1699_00675,val_1699_00675,val_1699_00675,MNRE,49244,1,55350855,0
2021,GOV16900676,GOVIC24P,39311,472787,5794815,503001918,26.02,val_1699_00676,3.769,198,2.706,val_1699_00676,val_1699_00676,val_1699_00676,MHA,58369,1,360251,1
2013,GOV16900677,GOVMNG49,69063651,3588743,37282,41632124,18.89,val_1699_00677,4.359,1269,0.796,val_1699_00677,val_1699_00677,val_1699_00677,DoPT,298585372,0,861792,1
2014,GOV16900678,GOVLW1SQ,29670,70012278,785110204,775717052,3.45,val_1699_00678,3.537,2440,2.3,val_1699_00678,val_1699_00678,val_1699_00678,MoRTH,558549,1,6837330,1
2026,GOV16900679,GOVLGMI1,871596,31089,35129,49553,63.79,val_1699_00679,4.354,3013,4.921,val_1699_00679,val_1699_00679,val_1699_00679,MoHFW,66355355,0,57596130,0
2016,GOV16900680,GOVZSN8P,69817,48730,40011331,482301,25.0,val_1699_00680,0.009,2488,4.942,val_1699_00680,val_1699_00680,val_1699_00680,MoHUA,45570,0,665004630,1
2010,GOV16900681,GOVEM4ST,4996482,6489212,914111605,49868461,63.58,val_1699_00681,3.762,3563,4.031,val_1699_00681,val_1699_00681,val_1699_00681,MoHUA,4698395,0,723920482,1
2021,GOV16900682,GOVEM58U,42154,15237635,7027676,8882982,2.99,val_1699_00682,4.054,2143,1.022,val_1699_00682,val_1699_00682,val_1699_00682,DoPT,7134175,0,70345,1
2013,GOV16900683,GOVCELRH,689955524,4540815,65450,819144,68.85,val_1699_00683,0.7,111,4.593,val_1699_00683,val_1699_00683,val_1699_00683,MoRTH,73781,1,4620430,0
2011,GOV16900684,GOVJVCWZ,474582,65989461,4187072,44103,29.2,val_1699_00684,3.428,2310,2.922,val_1699_00684,val_1699_00684,val_1699_00684,MNRE,3435321,0,5391403,0
2023,GOV16900685,GOVLS1RE,60536895,529098,33884,539456,30.88,val_1699_00685,4.313,575,0.834,val_1699_00685,val_1699_00685,val_1699_00685,MoRD,7644643,0,242550,0
2010,GOV16900686,GOVCIDPY,70783,544545,374948893,426088,71.04,val_1699_00686,3.775,952,1.12,val_1699_00686,val_1699_00686,val_1699_00686,MoRTH,5579431,0,28318,0
2023,GOV16900687,GOV9Z0DR,49921037,688713,134591,91466027,10.7,val_1699_00687,0.792,338,2.166,val_1699_00687,val_1699_00687,val_1699_00687,DoPT,40619701,1,585357009,0
