house_social_reference_year,house_social_country_iso2,house_social_region_nuts_code,house_social_social_housing_stock_count,house_social_social_housing_share_pct,house_social_new_units_completed_count,house_social_renovated_units_count,house_social_waitlist_households_count,house_social_average_wait_time_months,house_social_allocation_rule_code,house_social_income_threshold_eur,house_social_rent_setting_rule_code,house_social_rent_level_eur_median,house_social_energy_efficiency_upgrade_flag,house_social_state_aid_compliance_flag,house_social_public_investment_eur,house_social_eu_funding_support_eur,house_social_data_source,house_social_last_update_date,house_social_data_extract_date
2012,CZ,HU3,470130,1.62,12456,11651,299295,19.67,NEEDS_BASED,16730.28,FIXED_GRID,1083.52,1,1,1927205413.76,623513506.89,SOCIAL_HOUSING_REGISTER,2025-03-11,2025-01-10
2013,DE,RO81,98498,16.63,639,5335,174099,29.53,LOTTERY,68194.1,INCOME_RELATED,695.04,1,1,4698954178.03,256143018.29,AUDIT_REPORT,2025-04-03,2024-02-04
2014,LV,IE664,3115299,11.27,62149,22699,326673,76.1,LOCAL_PRIORITY,76664.34,CAPPED_RENT,929.53,0,0,4183982287.13,3114129155.43,HOUSING_AUTHORITY_ADMIN,2025-04-26,2024-10-31
2015,PL,FI1,119554,21.92,1387,10120,410051,51.7,MIXED_MODEL,86528.71,MARKET_DISCOUNTED,1376.62,0,1,1884934718.62,2081540971.25,MINISTRY_HOUSING_REPORT,2025-05-19,2024-12-29
2016,ES,CY19,994436,2.03,29273,21967,12895,52.18,POINTS_BASED,24681.92,COST_BASED,585.37,1,1,4388955151.92,517218507.93,SOCIAL_HOUSING_REGISTER,2025-06-11,2024-11-14
2017,HR,HR33,839787,12.37,44453,42146,67117,23.56,NEEDS_BASED,24809.5,FIXED_GRID,494.64,1,0,2398847490.77,2527062860.59,AUDIT_REPORT,2025-07-04,2024-01-27
2018,FI,DK87,1368551,17.12,13680,70017,315154,75.16,LOTTERY,47963.3,INCOME_RELATED,1140.92,1,1,4166106188.64,3191969257.0,HOUSING_AUTHORITY_ADMIN,2025-07-27,2025-10-21
2019,IE,PT21,411471,14.16,10421,17384,425023,74.37,LOCAL_PRIORITY,16097.36,CAPPED_RENT,579.55,1,1,1241674187.44,874686197.44,MINISTRY_HOUSING_REPORT,2025-08-19,2024-03-19
2020,MT,IE6,2479413,2.01,71868,133990,171147,29.64,MIXED_MODEL,39693.57,MARKET_DISCOUNTED,836.06,1,1,6252223499.09,1312371979.8,SOCIAL_HOUSING_REGISTER,2025-09-11,2025-03-23
2021,SK,IT454,1004546,4.07,18580,17545,360202,19.33,POINTS_BASED,67009.13,COST_BASED,235.45,1,0,637228990.48,2323472081.54,AUDIT_REPORT,2025-10-04,2024-05-02
2022,BE,DK63,1465937,5.48,48540,74469,337370,13.46,NEEDS_BASED,84961.09,FIXED_GRID,970.58,1,1,4007332213.73,2250314705.82,HOUSING_AUTHORITY_ADMIN,2025-10-27,2025-08-18
2023,DK,BG640,1471020,14.9,15242,46563,249785,72.21,LOTTERY,33829.1,INCOME_RELATED,855.85,1,1,2973265341.02,20442063.96,MINISTRY_HOUSING_REPORT,2025-11-19,2025-12-01
2024,GR,GR97,2164048,23.67,124419,187172,169486,19.09,LOCAL_PRIORITY,40382.85,CAPPED_RENT,1206.47,1,1,2379021074.42,3195162116.99,SOCIAL_HOUSING_REGISTER,2025-12-12,2025-04-01
2025,LT,LT66,2470276,22.27,70478,115378,50119,66.61,MIXED_MODEL,75392.0,MARKET_DISCOUNTED,1680.82,1,1,230989239.99,157593499.37,AUDIT_REPORT,2026-01-04,2025-06-04
2006,PT,SI163,2251621,11.4,61380,22514,407289,85.79,POINTS_BASED,37723.35,COST_BASED,1292.59,1,0,6158770582.45,763121308.98,HOUSING_AUTHORITY_ADMIN,2026-01-27,2024-01-19
2007,SE,HR5,654767,9.35,11266,43727,140547,67.46,NEEDS_BASED,65809.03,FIXED_GRID,1073.08,0,1,656190420.51,612605132.75,MINISTRY_HOUSING_REPORT,2026-02-19,2025-04-20
2008,CY,LV38,1100990,7.22,38170,44343,460745,4.69,LOTTERY,73302.68,INCOME_RELATED,1006.35,0,1,2304515119.06,797158999.35,SOCIAL_HOUSING_REGISTER,2010-01-17,2025-12-14
2009,FR,SI1,1864477,8.07,63029,116294,232616,9.08,LOCAL_PRIORITY,17480.8,CAPPED_RENT,1273.73,1,1,5433346842.24,613526919.32,AUDIT_REPORT,2010-02-09,2024-02-28
2010,IT,PT193,1747887,21.37,23965,153923,130050,73.3,MIXED_MODEL,76925.76,MARKET_DISCOUNTED,774.13,1,1,7925554428.1,577332069.73,HOUSING_AUTHORITY_ADMIN,2010-03-04,2025-12-26
2011,NL,NL33,2054407,15.09,30060,53110,38925,50.53,POINTS_BASED,51212.92,COST_BASED,1011.31,0,1,4635660155.06,515832781.09,MINISTRY_HOUSING_REPORT,2010-03-27,2025-08-16
2012,SI,SK622,2010367,2.03,110107,16105,40613,33.95,NEEDS_BASED,23327.33,FIXED_GRID,772.5,0,1,2313494766.32,927776318.01,SOCIAL_HOUSING_REGISTER,2010-04-19,2026-01-10
2013,BG,MT153,65876,3.64,515,2351,242624,94.6,LOTTERY,89105.33,INCOME_RELATED,945.34,1,0,3450174356.56,6264540.63,AUDIT_REPORT,2010-05-12,2025-02-03
2014,EE,SE366,3077902,7.84,175541,58220,337880,87.91,LOCAL_PRIORITY,68344.19,CAPPED_RENT,357.73,1,1,4672269533.22,491604095.25,HOUSING_AUTHORITY_ADMIN,2010-06-04,2025-01-22
2015,HU,AT35,243023,6.58,3749,14094,14312,42.22,MIXED_MODEL,78771.54,MARKET_DISCOUNTED,825.33,1,1,4500071128.35,491589902.89,MINISTRY_HOUSING_REPORT,2010-06-27,2024-07-28
2016,LU,DE819,2289734,20.78,103619,155050,28122,71.9,POINTS_BASED,33973.18,COST_BASED,573.1,0,0,117871372.61,321778355.48,SOCIAL_HOUSING_REGISTER,2010-07-20,2026-01-19
2017,RO,HU83,982006,3.99,9209,11591,138444,55.55,NEEDS_BASED,45809.83,FIXED_GRID,420.98,1,1,319998524.13,95596486.75,AUDIT_REPORT,2010-08-12,2025-10-17
2018,AT,SK733,1236555,11.18,55963,70981,199882,73.69,LOTTERY,25778.4,INCOME_RELATED,792.06,1,1,4628231993.72,1029375406.14,HOUSING_AUTHORITY_ADMIN,2010-09-04,2024-09-01
2019,CZ,FI556,1875038,17.0,33010,83954,301449,20.39,LOCAL_PRIORITY,19025.43,CAPPED_RENT,855.91,1,1,4258265150.63,3018815026.25,MINISTRY_HOUSING_REPORT,2010-09-27,2024-07-11
2020,DE,SE31,919477,9.62,35039,71686,476200,8.26,MIXED_MODEL,72025.21,MARKET_DISCOUNTED,423.76,0,1,6540249776.61,2701627090.22,SOCIAL_HOUSING_REGISTER,2010-10-20,2025-05-20
2021,LV,EE601,329666,21.8,3440,3143,91997,45.91,POINTS_BASED,20338.26,COST_BASED,967.25,0,1,2348977390.36,1835807633.13,AUDIT_REPORT,2010-11-12,2025-01-04
2022,PL,SI44,1296347,20.92,22111,33413,320284,51.83,NEEDS_BASED,45183.18,FIXED_GRID,765.23,0,1,2006356097.5,1306723082.36,HOUSING_AUTHORITY_ADMIN,2010-12-05,2025-11-04
2023,ES,SI76,2990494,10.28,127925,184542,25572,78.4,LOTTERY,46181.69,INCOME_RELATED,1342.34,1,0,4923566790.59,2221707945.36,MINISTRY_HOUSING_REPORT,2010-12-28,2025-11-03
2024,HR,CZ297,1956061,25.72,28406,119379,368089,100.93,LOCAL_PRIORITY,77464.28,CAPPED_RENT,843.8,1,1,1345674254.66,1103664049.79,SOCIAL_HOUSING_REGISTER,2011-01-20,2024-01-05
2025,FI,HU28,133968,26.62,534,9803,386835,18.46,MIXED_MODEL,30311.66,MARKET_DISCOUNTED,1249.51,0,1,6057209261.79,2024215872.83,AUDIT_REPORT,2011-02-12,2025-06-13
2006,IE,SK9,372795,20.73,11350,16306,226036,62.58,POINTS_BASED,36316.92,COST_BASED,396.29,1,1,5949527837.85,519229348.73,HOUSING_AUTHORITY_ADMIN,2011-03-07,2024-10-12
2007,MT,FI6,95617,24.85,4437,1093,203731,46.77,NEEDS_BASED,24069.75,FIXED_GRID,668.14,0,1,8028348931.74,173246406.02,MINISTRY_HOUSING_REPORT,2011-03-30,2025-01-22
2008,SK,PT8,1883626,10.24,94609,38418,300682,67.59,LOTTERY,21197.58,INCOME_RELATED,809.71,0,1,5490184587.9,587536996.64,SOCIAL_HOUSING_REGISTER,2011-04-22,2025-11-04
2009,BE,PT604,17374,12.19,585,1305,492207,41.3,LOCAL_PRIORITY,54623.23,CAPPED_RENT,1115.96,1,1,3294764473.09,680383606.97,AUDIT_REPORT,2011-05-15,2025-11-25
2010,DK,DE111,273942,8.9,2884,17387,336497,31.1,MIXED_MODEL,37551.34,MARKET_DISCOUNTED,1333.15,1,1,6071264372.11,577840772.73,HOUSING_AUTHORITY_ADMIN,2011-06-07,2025-07-05
2011,GR,NL970,6066,21.23,143,28,282949,100.14,POINTS_BASED,69926.36,COST_BASED,1281.34,0,1,4529606665.39,687290060.0,MINISTRY_HOUSING_REPORT,2011-06-30,2024-05-10
2012,LT,RO48,1709622,7.8,19756,5830,97833,2.38,NEEDS_BASED,44050.81,FIXED_GRID,422.53,0,1,5356634769.17,289507435.14,SOCIAL_HOUSING_REGISTER,2011-07-23,2025-08-04
2013,PT,HU99,239386,6.04,6064,17368,95002,37.34,LOTTERY,20011.01,INCOME_RELATED,939.57,0,1,7438051629.21,571686969.26,AUDIT_REPORT,2011-08-15,2024-06-20
2014,SE,LU560,68099,14.15,2637,5789,12906,28.2,LOCAL_PRIORITY,73205.07,CAPPED_RENT,1088.92,0,0,351946106.96,1370322434.63,HOUSING_AUTHORITY_ADMIN,2011-09-07,2025-04-04
2015,CY,AT478,673495,14.54,19601,28577,34493,26.14,MIXED_MODEL,57576.65,MARKET_DISCOUNTED,1406.78,1,1,4639254318.74,425223595.57,MINISTRY_HOUSING_REPORT,2011-09-30,2026-01-30
2016,FR,HR29,1526268,16.85,77047,53404,361499,28.39,POINTS_BASED,24984.59,COST_BASED,1327.92,1,1,3142413425.36,2027684945.76,SOCIAL_HOUSING_REGISTER,2011-10-23,2025-06-27
2017,IT,BG514,2679779,21.3,11368,229692,251945,59.63,NEEDS_BASED,64134.71,FIXED_GRID,263.45,0,1,6050929293.88,581234214.94,AUDIT_REPORT,2011-11-15,2025-09-08
2018,NL,IE85,94457,1.08,5578,4180,193215,71.27,LOTTERY,42455.14,INCOME_RELATED,696.99,0,1,6280581485.0,991836422.44,HOUSING_AUTHORITY_ADMIN,2011-12-08,2025-10-11
2019,SI,SI245,96769,27.56,2648,4761,516501,8.38,LOCAL_PRIORITY,21108.12,CAPPED_RENT,1109.88,0,1,7699447859.45,1942457864.74,MINISTRY_HOUSING_REPORT,2011-12-31,2025-01-08
2020,BG,HU206,169533,26.5,2529,13180,131267,23.1,MIXED_MODEL,76258.03,MARKET_DISCOUNTED,1431.88,1,1,5642269572.94,213825955.12,SOCIAL_HOUSING_REGISTER,2012-01-23,2024-09-14
2021,EE,GR848,1902706,9.97,75017,10455,463398,72.0,POINTS_BASED,47845.22,COST_BASED,1136.53,1,1,3584846065.77,167129719.12,AUDIT_REPORT,2012-02-15,2024-06-28
2022,HU,CY12,1573358,1.66,14491,125667,352378,64.09,NEEDS_BASED,59894.87,FIXED_GRID,660.4,1,1,5996462142.2,3646473014.56,HOUSING_AUTHORITY_ADMIN,2012-03-09,2025-06-15
2023,LU,PT3,874320,21.82,51160,63356,280583,53.25,LOTTERY,44323.13,INCOME_RELATED,287.29,0,1,4679170850.92,85108164.61,MINISTRY_HOUSING_REPORT,2012-04-01,2025-07-19
2024,RO,MT18,2966550,12.66,83898,153623,210595,24.54,LOCAL_PRIORITY,73614.99,CAPPED_RENT,417.52,1,0,11732602060.32,1609137030.46,SOCIAL_HOUSING_REGISTER,2012-04-24,2024-10-30
2025,AT,CZ57,2864643,15.12,94793,151762,95211,28.27,MIXED_MODEL,43074.54,MARKET_DISCOUNTED,1456.7,0,0,5410557937.56,2027296563.74,AUDIT_REPORT,2012-05-17,2025-08-20
2006,CZ,CZ5,1582651,17.3,76396,12422,397036,72.79,POINTS_BASED,57034.87,COST_BASED,421.31,0,1,5479504070.15,573824416.77,HOUSING_AUTHORITY_ADMIN,2012-06-09,2025-05-20
2007,DE,NL30,352800,13.24,7728,23703,18817,76.01,NEEDS_BASED,91607.74,FIXED_GRID,231.78,0,0,286291542.28,1254449899.71,MINISTRY_HOUSING_REPORT,2012-07-02,2024-11-22
2008,LV,SK8,476562,3.56,16516,25276,77042,23.79,LOTTERY,81805.7,INCOME_RELATED,602.47,1,1,1947497553.16,1184268813.66,SOCIAL_HOUSING_REGISTER,2012-07-25,2024-01-04
2009,PL,HR292,337729,10.14,17490,25780,203317,62.8,LOCAL_PRIORITY,54964.07,CAPPED_RENT,1122.49,1,0,7309881693.6,309480166.58,AUDIT_REPORT,2012-08-17,2024-04-01
2010,ES,IT75,543634,18.58,27286,39011,50577,22.05,MIXED_MODEL,22447.18,MARKET_DISCOUNTED,1824.82,0,1,829350786.24,627129541.65,HOUSING_AUTHORITY_ADMIN,2012-09-09,2024-07-31
2011,HR,LU3,1172899,9.3,28232,80346,87740,37.34,POINTS_BASED,27011.26,COST_BASED,199.85,1,1,7205587018.11,367437426.72,MINISTRY_HOUSING_REPORT,2012-10-02,2026-02-05
2012,FI,ES74,28822,7.51,1630,475,311090,70.0,NEEDS_BASED,56232.63,FIXED_GRID,1473.83,1,0,8815369364.31,498575186.87,SOCIAL_HOUSING_REGISTER,2012-10-25,2024-07-17
2013,IE,HU42,136279,5.08,6754,6088,357170,18.71,LOTTERY,63278.16,INCOME_RELATED,423.41,0,1,2728825733.12,71780158.82,AUDIT_REPORT,2012-11-17,2025-12-23
2014,MT,PT587,1525280,25.74,83194,60328,114173,28.87,LOCAL_PRIORITY,23928.66,CAPPED_RENT,1961.69,0,1,1756420574.94,555367211.23,HOUSING_AUTHORITY_ADMIN,2012-12-10,2024-02-16
2015,SK,PL986,2126488,8.7,30998,102083,390040,60.76,MIXED_MODEL,66298.02,MARKET_DISCOUNTED,962.43,0,0,5744226850.88,2438955508.01,MINISTRY_HOUSING_REPORT,2013-01-02,2024-12-08
2016,BE,SK36,2848785,26.89,11306,76440,85743,9.39,POINTS_BASED,18206.28,COST_BASED,872.38,1,1,3199642449.87,867854547.76,SOCIAL_HOUSING_REGISTER,2013-01-25,2025-12-12
2017,DK,SI56,1231030,20.79,50924,41311,446049,85.06,NEEDS_BASED,21496.04,FIXED_GRID,1002.98,1,1,8073233854.88,2788064974.55,AUDIT_REPORT,2013-02-17,2025-12-28
2018,GR,MT14,1282451,18.03,3700,101084,327512,23.7,LOTTERY,35255.07,INCOME_RELATED,557.06,1,1,3524979685.92,3076763593.73,HOUSING_AUTHORITY_ADMIN,2013-03-12,2024-01-22
2019,LT,ES8,2735133,27.53,163270,201089,66963,69.44,LOCAL_PRIORITY,12884.94,CAPPED_RENT,791.73,1,1,4961542419.63,2384021039.58,MINISTRY_HOUSING_REPORT,2013-04-04,2025-10-20
2020,PT,SI23,387384,4.78,20795,26344,175429,43.51,MIXED_MODEL,27598.76,MARKET_DISCOUNTED,1240.36,1,1,1235803178.67,1544998051.87,SOCIAL_HOUSING_REGISTER,2013-04-27,2025-01-24
2021,SE,IE8,118757,21.26,4482,5454,155109,34.83,POINTS_BASED,64347.33,COST_BASED,1326.36,1,1,5178823148.18,2224029892.05,AUDIT_REPORT,2013-05-20,2025-09-16
2022,CY,IE67,1811717,17.64,40217,20761,497441,30.53,NEEDS_BASED,89979.82,FIXED_GRID,599.73,1,1,390760187.51,1346535314.36,HOUSING_AUTHORITY_ADMIN,2013-06-12,2025-03-03
2023,FR,LU599,1425796,20.01,77136,74228,236836,87.89,LOTTERY,54589.28,INCOME_RELATED,1517.18,0,0,7004919456.38,920638368.85,MINISTRY_HOUSING_REPORT,2013-07-05,2025-12-05
2024,IT,HR9,1282303,11.49,31441,14475,301442,57.07,LOCAL_PRIORITY,39711.55,CAPPED_RENT,855.88,0,1,6873895853.75,773376878.53,SOCIAL_HOUSING_REGISTER,2013-07-28,2025-07-30
2025,NL,EE948,1000585,21.29,19516,70911,80784,54.46,MIXED_MODEL,50099.44,MARKET_DISCOUNTED,397.03,1,1,3791891931.55,2336996887.33,AUDIT_REPORT,2013-08-20,2025-06-16
2006,SI,HR844,1575555,14.98,79409,27146,230116,18.64,POINTS_BASED,48575.46,COST_BASED,1156.73,0,1,991804539.52,166227229.73,HOUSING_AUTHORITY_ADMIN,2013-09-12,2024-08-03
2007,BG,IT1,553227,16.6,22908,31274,414462,34.64,NEEDS_BASED,29821.37,FIXED_GRID,960.23,0,0,5805571852.86,251896188.64,MINISTRY_HOUSING_REPORT,2013-10-05,2025-11-19
2008,EE,RO66,2052391,20.54,85762,142253,169996,20.92,LOTTERY,85841.01,INCOME_RELATED,1326.24,0,1,4321398045.26,407366169.5,SOCIAL_HOUSING_REGISTER,2013-10-28,2025-05-26
2009,HU,ES5,2429796,14.76,73142,147041,271036,89.42,LOCAL_PRIORITY,45758.48,CAPPED_RENT,1040.3,0,1,9639439542.67,101071493.81,AUDIT_REPORT,2013-11-20,2024-04-29
2010,LU,IT87,1980367,24.38,80563,60669,408058,70.08,MIXED_MODEL,24745.56,MARKET_DISCOUNTED,1944.77,0,0,4383679699.25,134319613.12,HOUSING_AUTHORITY_ADMIN,2013-12-13,2025-11-25
2011,RO,FI7,1850357,16.04,67489,32374,26248,20.19,POINTS_BASED,77913.82,COST_BASED,267.8,1,0,497894044.19,85797245.32,MINISTRY_HOUSING_REPORT,2014-01-05,2025-03-08
2012,AT,SE60,1321834,13.18,41367,92769,381146,58.47,NEEDS_BASED,14088.18,FIXED_GRID,1014.93,0,1,8313415621.25,1016380365.7,SOCIAL_HOUSING_REGISTER,2014-01-28,2025-02-10
2013,CZ,NL74,1508711,27.19,30541,131845,74006,47.69,LOTTERY,32656.27,INCOME_RELATED,1288.96,1,0,4517132591.21,544932709.66,AUDIT_REPORT,2014-02-20,2025-04-22
2014,DE,HU48,3021645,24.55,117282,249671,74269,57.71,LOCAL_PRIORITY,61973.54,CAPPED_RENT,949.0,1,1,1845122283.57,1412290239.63,HOUSING_AUTHORITY_ADMIN,2014-03-15,2025-05-17
2015,LV,HU526,1663070,11.58,20685,93661,206423,84.07,MIXED_MODEL,15888.8,MARKET_DISCOUNTED,671.86,1,1,575243445.9,70630007.36,MINISTRY_HOUSING_REPORT,2014-04-07,2026-01-14
2016,PL,RO478,1637696,4.25,34735,37788,156550,12.81,POINTS_BASED,29839.64,COST_BASED,321.88,0,1,4548836513.18,717377430.23,SOCIAL_HOUSING_REGISTER,2014-04-30,2024-07-28
2017,ES,PL6,547056,12.52,9854,36711,121296,59.68,NEEDS_BASED,72540.96,FIXED_GRID,732.63,0,1,2376474843.38,1288903133.21,AUDIT_REPORT,2014-05-23,2025-09-22
2018,HR,RO5,231727,13.27,11742,16875,574477,89.04,LOTTERY,25984.07,INCOME_RELATED,478.81,1,1,338758112.73,1282719369.47,HOUSING_AUTHORITY_ADMIN,2014-06-15,2025-10-21
2019,FI,LV5,1290028,20.41,27730,88608,222514,62.8,LOCAL_PRIORITY,19328.07,CAPPED_RENT,784.44,0,1,10358955034.6,2186937155.27,MINISTRY_HOUSING_REPORT,2014-07-08,2024-07-19
2020,IE,EE299,2028074,13.27,36688,17496,136703,5.69,MIXED_MODEL,38858.91,MARKET_DISCOUNTED,600.24,0,1,744115073.95,359988250.22,SOCIAL_HOUSING_REGISTER,2014-07-31,2024-06-30
2021,MT,RO189,2099976,4.58,95367,95276,136041,78.23,POINTS_BASED,61173.9,COST_BASED,931.27,1,0,3690123922.33,1201337266.38,AUDIT_REPORT,2014-08-23,2025-08-19
2022,SK,PL58,432286,21.22,20495,21437,227519,2.96,NEEDS_BASED,73159.55,FIXED_GRID,376.16,1,0,5847388913.81,374504749.7,HOUSING_AUTHORITY_ADMIN,2014-09-15,2025-11-04
2023,BE,GR2,2080946,1.52,18171,107013,100828,15.92,LOTTERY,74763.67,INCOME_RELATED,683.04,1,1,1296677364.81,1888784553.07,MINISTRY_HOUSING_REPORT,2014-10-08,2025-04-24
2024,DK,FI928,3085127,11.16,142891,35557,558946,74.08,LOCAL_PRIORITY,12360.99,CAPPED_RENT,484.63,1,1,9903723720.21,1061184153.21,SOCIAL_HOUSING_REGISTER,2014-10-31,2025-01-08
2025,GR,DE71,1232392,11.01,27062,89462,288707,49.9,MIXED_MODEL,12163.87,MARKET_DISCOUNTED,686.74,0,0,5187623995.32,3562277209.81,AUDIT_REPORT,2014-11-23,2024-05-17
2006,LT,HU78,2256283,6.32,69130,65095,119885,49.78,POINTS_BASED,25970.97,COST_BASED,548.46,0,1,10388377452.83,72651559.57,HOUSING_AUTHORITY_ADMIN,2014-12-16,2024-09-09
2007,PT,CY72,980956,25.3,7572,15945,151335,10.27,NEEDS_BASED,53066.96,FIXED_GRID,730.67,0,1,3136603881.53,65333555.83,MINISTRY_HOUSING_REPORT,2015-01-08,2025-11-13
2008,SE,LV309,715044,24.79,17868,12110,394944,19.11,LOTTERY,36449.17,INCOME_RELATED,559.54,1,1,2178160089.37,743460369.64,SOCIAL_HOUSING_REGISTER,2015-01-31,2026-01-02
2009,CY,HU97,1465966,23.84,28723,69744,153084,76.49,LOCAL_PRIORITY,56030.25,CAPPED_RENT,1879.02,1,1,1316980919.66,933334931.75,AUDIT_REPORT,2015-02-23,2024-08-05
2010,FR,CZ78,193988,5.56,8340,2299,47965,24.55,MIXED_MODEL,16703.91,MARKET_DISCOUNTED,1768.69,1,1,5558133959.69,676465856.71,HOUSING_AUTHORITY_ADMIN,2015-03-18,2025-01-25
2011,IT,LU709,737133,16.38,20841,62140,268709,75.84,POINTS_BASED,24614.58,COST_BASED,1009.86,1,1,276171163.21,249616094.21,MINISTRY_HOUSING_REPORT,2015-04-10,2024-02-06
2012,NL,EE919,636823,7.52,8495,32351,100802,39.6,NEEDS_BASED,73690.81,FIXED_GRID,1042.04,0,1,5190190914.93,368206561.91,SOCIAL_HOUSING_REGISTER,2015-05-03,2025-02-27
2013,SI,NL81,1985626,15.88,8499,174981,97508,73.45,LOTTERY,19416.91,INCOME_RELATED,1285.87,1,1,1979824348.67,202818570.05,AUDIT_REPORT,2015-05-26,2025-12-07
2014,BG,PT72,161666,2.59,6142,10686,213117,95.0,LOCAL_PRIORITY,18866.39,CAPPED_RENT,1115.31,0,1,268621951.29,146077802.16,HOUSING_AUTHORITY_ADMIN,2015-06-18,2024-11-28
2015,EE,AT85,600588,1.0,26927,27398,264714,52.44,MIXED_MODEL,64261.59,MARKET_DISCOUNTED,931.85,1,1,2736562913.65,2036496186.43,MINISTRY_HOUSING_REPORT,2015-07-11,2025-07-24
2016,HU,LT285,2715595,24.79,121849,169075,36456,77.61,POINTS_BASED,68481.15,COST_BASED,862.97,0,1,11562547174.33,1285897707.16,SOCIAL_HOUSING_REGISTER,2015-08-03,2025-10-11
2017,LU,DK89,2478795,9.34,82557,16546,265756,33.79,NEEDS_BASED,58980.6,FIXED_GRID,1379.33,1,1,4412669459.97,3595368235.66,AUDIT_REPORT,2015-08-26,2024-10-02
2018,RO,FR648,2186589,2.01,71889,161836,247292,64.82,LOTTERY,60166.09,INCOME_RELATED,259.38,0,1,10057265064.44,776340096.14,HOUSING_AUTHORITY_ADMIN,2015-09-18,2025-02-04
2019,AT,IE5,1381138,7.52,45121,74272,275650,86.82,LOCAL_PRIORITY,34146.74,CAPPED_RENT,435.54,1,1,6287209629.24,1185210303.23,MINISTRY_HOUSING_REPORT,2015-10-11,2025-03-29
2020,CZ,FI705,1176118,4.14,18457,50727,20216,66.38,MIXED_MODEL,68980.04,MARKET_DISCOUNTED,316.69,0,1,1558955270.41,885687312.63,SOCIAL_HOUSING_REGISTER,2015-11-03,2024-03-21
2021,DE,RO59,3017788,16.19,79640,98930,307271,52.34,POINTS_BASED,18370.95,COST_BASED,993.04,1,1,5423399964.0,865119680.29,AUDIT_REPORT,2015-11-26,2025-01-02
2022,LV,LV411,1481674,25.76,66222,82262,237187,98.2,NEEDS_BASED,12905.04,FIXED_GRID,1446.55,1,1,3750547552.48,348221951.18,HOUSING_AUTHORITY_ADMIN,2015-12-19,2024-03-04
2023,PL,SI954,1530785,4.32,47816,18687,39094,56.68,LOTTERY,41852.9,INCOME_RELATED,454.0,1,1,1023442265.89,440327589.14,MINISTRY_HOUSING_REPORT,2016-01-11,2026-01-17
2024,ES,IT94,154767,6.53,749,11418,205147,34.82,LOCAL_PRIORITY,21138.47,CAPPED_RENT,806.55,1,1,3802176256.68,877202515.15,SOCIAL_HOUSING_REGISTER,2016-02-03,2025-12-31
2025,HR,LV72,1888528,3.65,92954,103068,517949,3.99,MIXED_MODEL,44644.14,MARKET_DISCOUNTED,888.97,0,1,7057990910.75,2062543063.85,AUDIT_REPORT,2016-02-26,2025-11-11
2006,FI,SI96,847535,6.89,43923,45414,103823,13.01,POINTS_BASED,51182.1,COST_BASED,821.23,1,1,3312721485.69,191308601.9,HOUSING_AUTHORITY_ADMIN,2016-03-20,2024-01-06
2007,IE,BE377,397326,4.92,3882,6356,91539,25.15,NEEDS_BASED,51855.47,FIXED_GRID,1689.13,1,1,7344250173.96,714750658.29,MINISTRY_HOUSING_REPORT,2016-04-12,2025-06-12
2008,MT,IT612,1408936,16.09,38804,60075,120331,72.33,LOTTERY,84418.91,INCOME_RELATED,828.11,0,1,9355080934.27,848484442.49,SOCIAL_HOUSING_REGISTER,2016-05-05,2024-07-28
2009,SK,NL4,92441,26.2,2962,830,28862,36.34,LOCAL_PRIORITY,65614.24,CAPPED_RENT,1110.34,1,1,2304715804.82,732377358.29,AUDIT_REPORT,2016-05-28,2025-10-20
2010,BE,PL349,1572758,6.92,86276,123216,322307,99.15,MIXED_MODEL,60008.81,MARKET_DISCOUNTED,891.33,1,1,2285237711.65,445101933.45,HOUSING_AUTHORITY_ADMIN,2016-06-20,2025-08-17
2011,DK,HR76,1501533,14.75,76801,76477,296895,46.93,POINTS_BASED,52129.44,COST_BASED,198.52,0,0,4629502966.55,714422347.09,MINISTRY_HOUSING_REPORT,2016-07-13,2025-08-01
2012,GR,CZ18,484388,23.29,25976,7360,175843,27.82,NEEDS_BASED,49324.5,FIXED_GRID,230.78,1,1,1602035408.33,1065647062.09,SOCIAL_HOUSING_REGISTER,2016-08-05,2024-10-05
2013,LT,AT453,1634436,14.07,31443,22745,245671,35.85,LOTTERY,58507.56,INCOME_RELATED,1350.87,0,1,2031895870.13,47745134.55,AUDIT_REPORT,2016-08-28,2024-05-15
2014,PT,BE168,190366,21.78,3045,16828,556463,66.9,LOCAL_PRIORITY,56654.87,CAPPED_RENT,1326.48,1,1,9631981787.6,1203220430.25,HOUSING_AUTHORITY_ADMIN,2016-09-20,2024-08-12
2015,SE,FR59,2034436,27.08,27008,120737,320739,81.91,MIXED_MODEL,87086.17,MARKET_DISCOUNTED,1632.6,1,1,4594263741.17,543445962.16,MINISTRY_HOUSING_REPORT,2016-10-13,2024-08-25
2016,CY,SE66,957298,10.63,19609,67880,481192,58.56,POINTS_BASED,36917.23,COST_BASED,1245.97,0,0,7419451022.62,3532272755.04,SOCIAL_HOUSING_REGISTER,2016-11-05,2025-05-16
2017,FR,GR660,742939,5.22,20740,39398,427825,65.1,NEEDS_BASED,59822.4,FIXED_GRID,1271.05,1,1,398654139.01,2123092821.0,AUDIT_REPORT,2016-11-28,2025-09-09
2018,IT,GR31,1695747,5.83,63468,116282,195076,10.98,LOTTERY,65847.56,INCOME_RELATED,1212.15,0,1,8422143540.13,2186880525.18,HOUSING_AUTHORITY_ADMIN,2016-12-21,2024-06-20
