ph_disease_report_week,ph_disease_country_iso2,ph_disease_region_nuts_code,ph_disease_pathogen_code,ph_disease_case_definition_code,ph_disease_cases_count,ph_disease_hospitalisations_count,ph_disease_icu_admissions_count,ph_disease_deaths_count,ph_disease_incidence_per_100k,ph_disease_test_positivity_pct,ph_disease_variant_lineage_code,ph_disease_vaccine_breakthrough_share_pct,ph_disease_outbreak_setting_code,ph_disease_contact_tracing_coverage_pct,ph_disease_time_to_report_days_median,ph_disease_ecdc_dataset_code,ph_disease_data_quality_flag,ph_disease_revision_round,ph_disease_data_extract_date
2021-W47,FI,LT174,SARS_COV_2,POSSIBLE,1082,105,25,1,46.55,27.63,NONE,38.93,COMMUNITY,42.79,3.89,ECDC_TESSy,OK,SECOND,2025-01-16
2021-W48,LV,CY36,INFLUENZA_A,CONFIRMED,688,99,11,1,92.128,24.41,RSV_A,1.42,TRAVEL_RELATED,32.27,8.53,ECDC_FOODBORNE,REVISED,FIRST,2024-06-03
2021-W49,RO,IE457,INFLUENZA_B,PROBABLE,231,23,3,0,145.399,12.08,JN_1,5.48,FOODBORNE,30.88,0.49,ECDC_RESPIRATORY,PARTIAL,FLASH,2024-01-20
2021-W50,BG,AT653,RSV,POSSIBLE,698,66,7,1,11.666,30.77,BA_2,9.61,UNKNOWN,53.26,9.63,ECDC_AMR,IMPUTED,BENCHMARK,2024-07-08
2021-W51,FR,FI91,NOROVIRUS,CONFIRMED,871,92,20,4,51.922,14.95,RSV_B,6.62,HOUSEHOLD,30.68,1.47,ECDC_VPD,CHECK,SECOND,2025-02-04
2021-W52,LT,LU815,MEASLES,PROBABLE,247,38,9,2,114.678,18.71,FLU_H3N2,5.56,SCHOOL,62.03,9.4,ECDC_TESSy,OK,FIRST,2024-12-21
2022-W01,SK,FI152,PERTUSSIS,POSSIBLE,132,7,0,0,168.911,21.56,BA_5,3.18,WORKPLACE,51.47,12.3,ECDC_FOODBORNE,REVISED,FLASH,2025-01-24
2022-W02,HR,BG68,TB,CONFIRMED,72,2,0,0,95.047,18.38,OTHER,1.6,CARE_HOME,14.72,3.07,ECDC_RESPIRATORY,PARTIAL,BENCHMARK,2025-01-15
2022-W03,DE,BG14,SALMONELLA,PROBABLE,294,39,2,0,104.573,2.89,FLU_H1N1,9.78,HOSPITAL,25.11,2.62,ECDC_AMR,IMPUTED,SECOND,2024-12-06
2022-W04,LU,RO5,LISTERIA,POSSIBLE,605,25,2,0,36.097,3.34,XBB_1_5,7.31,COMMUNITY,80.97,6.19,ECDC_VPD,CHECK,FIRST,2025-06-14
2022-W05,SI,HR9,SARS_COV_2,CONFIRMED,630,69,14,2,70.736,10.93,NONE,45.31,TRAVEL_RELATED,43.76,6.46,ECDC_TESSy,OK,FLASH,2025-11-15
2022-W06,CY,RO701,INFLUENZA_A,PROBABLE,475,75,10,2,195.602,10.77,RSV_A,1.72,FOODBORNE,54.84,15.13,ECDC_FOODBORNE,REVISED,BENCHMARK,2025-10-12
2022-W07,GR,ES781,INFLUENZA_B,POSSIBLE,506,15,2,0,161.649,21.87,JN_1,5.88,UNKNOWN,54.59,9.71,ECDC_RESPIRATORY,PARTIAL,SECOND,2024-03-13
2022-W08,MT,PT49,RSV,CONFIRMED,362,56,10,0,216.247,32.06,BA_2,5.19,HOUSEHOLD,74.86,3.27,ECDC_AMR,IMPUTED,FIRST,2024-04-04
2022-W09,ES,GR429,NOROVIRUS,PROBABLE,321,25,5,1,14.845,19.85,RSV_B,13.53,SCHOOL,33.34,16.24,ECDC_VPD,CHECK,FLASH,2024-01-01
2022-W10,CZ,LV82,MEASLES,POSSIBLE,97,13,2,0,102.49,7.19,FLU_H3N2,9.01,WORKPLACE,83.27,7.87,ECDC_TESSy,OK,BENCHMARK,2025-09-12
2022-W11,HU,PT99,PERTUSSIS,CONFIRMED,477,33,6,1,162.747,11.15,BA_5,7.19,CARE_HOME,80.02,9.95,ECDC_FOODBORNE,REVISED,SECOND,2025-09-09
2022-W12,NL,NL72,TB,PROBABLE,76,10,0,0,185.951,15.59,OTHER,12.95,HOSPITAL,66.01,11.67,ECDC_RESPIRATORY,PARTIAL,FIRST,2024-06-10
2022-W13,SE,IE9,SALMONELLA,POSSIBLE,195,12,3,0,126.542,13.41,FLU_H1N1,6.44,COMMUNITY,26.63,1.16,ECDC_AMR,IMPUTED,FLASH,2024-03-21
2022-W14,DK,LU675,LISTERIA,CONFIRMED,601,45,7,1,92.081,9.6,XBB_1_5,11.93,TRAVEL_RELATED,25.76,15.02,ECDC_VPD,CHECK,BENCHMARK,2025-02-06
2022-W15,IE,SE3,SARS_COV_2,PROBABLE,611,33,11,2,16.942,5.0,NONE,24.77,FOODBORNE,76.33,2.18,ECDC_TESSy,OK,SECOND,2025-04-08
2022-W16,PL,LV19,INFLUENZA_A,POSSIBLE,351,44,5,1,91.705,3.4,RSV_A,7.64,UNKNOWN,38.35,9.59,ECDC_FOODBORNE,REVISED,FIRST,2025-09-25
2022-W17,AT,SE97,INFLUENZA_B,CONFIRMED,439,31,8,2,207.448,28.44,JN_1,5.73,HOUSEHOLD,59.49,6.79,ECDC_RESPIRATORY,PARTIAL,FLASH,2026-01-05
2022-W18,EE,DK68,RSV,PROBABLE,30,3,0,0,13.616,7.56,BA_2,0.5,SCHOOL,16.95,11.44,ECDC_AMR,IMPUTED,BENCHMARK,2024-07-03
2022-W19,IT,LU83,NOROVIRUS,POSSIBLE,938,87,4,1,80.408,21.11,RSV_B,9.91,WORKPLACE,64.84,4.23,ECDC_VPD,CHECK,SECOND,2024-09-24
2022-W20,PT,HU580,MEASLES,CONFIRMED,895,112,22,1,52.554,10.05,FLU_H3N2,5.93,CARE_HOME,79.7,12.26,ECDC_TESSy,OK,FIRST,2024-10-24
2022-W21,BE,SK723,PERTUSSIS,PROBABLE,1480,156,29,5,161.422,4.71,BA_5,2.05,HOSPITAL,27.46,2.83,ECDC_FOODBORNE,REVISED,FLASH,2024-05-21
2022-W22,FI,LU41,TB,POSSIBLE,123,5,1,0,87.583,0.95,OTHER,11.22,COMMUNITY,14.74,10.46,ECDC_RESPIRATORY,PARTIAL,BENCHMARK,2024-11-09
2022-W23,LV,HU43,SALMONELLA,CONFIRMED,1313,126,31,6,144.953,16.22,FLU_H1N1,11.53,TRAVEL_RELATED,54.5,0.55,ECDC_AMR,IMPUTED,SECOND,2025-03-14
2022-W24,RO,HR94,LISTERIA,PROBABLE,1298,80,11,2,75.915,10.4,XBB_1_5,6.54,FOODBORNE,49.43,10.36,ECDC_VPD,CHECK,FIRST,2024-04-26
2022-W25,BG,DK5,SARS_COV_2,POSSIBLE,2819,163,18,4,262.093,26.03,NONE,49.9,UNKNOWN,72.58,5.99,ECDC_TESSy,OK,FLASH,2024-08-05
2022-W26,FR,IT2,INFLUENZA_A,CONFIRMED,1920,201,11,1,48.829,8.45,RSV_A,2.94,HOUSEHOLD,69.35,5.8,ECDC_FOODBORNE,REVISED,BENCHMARK,2024-08-13
2022-W27,LT,ES27,INFLUENZA_B,PROBABLE,1925,198,21,3,1.662,24.77,JN_1,8.28,SCHOOL,29.63,3.73,ECDC_RESPIRATORY,PARTIAL,SECOND,2025-02-13
2022-W28,SK,CY2,RSV,POSSIBLE,949,42,6,0,88.698,28.94,BA_2,5.13,WORKPLACE,56.38,7.02,ECDC_AMR,IMPUTED,FIRST,2025-12-05
2022-W29,HR,MT524,NOROVIRUS,CONFIRMED,1381,176,47,1,46.965,9.01,RSV_B,2.19,CARE_HOME,32.92,1.85,ECDC_VPD,CHECK,FLASH,2025-04-16
2022-W30,DE,LV13,MEASLES,PROBABLE,45,4,0,0,190.733,12.03,FLU_H3N2,8.85,HOSPITAL,44.36,0.63,ECDC_TESSy,OK,BENCHMARK,2025-02-21
2022-W31,LU,BG77,PERTUSSIS,POSSIBLE,4454,476,34,7,183.178,18.17,BA_5,13.06,COMMUNITY,78.99,4.52,ECDC_FOODBORNE,REVISED,SECOND,2024-07-15
2022-W32,SI,SE205,TB,CONFIRMED,814,141,22,5,197.593,10.29,OTHER,13.18,TRAVEL_RELATED,80.88,1.03,ECDC_RESPIRATORY,PARTIAL,FIRST,2024-10-02
2022-W33,CY,LU965,SALMONELLA,PROBABLE,807,70,8,0,111.933,1.47,FLU_H1N1,7.45,FOODBORNE,67.57,5.36,ECDC_AMR,IMPUTED,FLASH,2024-10-02
2022-W34,GR,ES39,LISTERIA,POSSIBLE,1064,86,14,3,32.198,21.33,XBB_1_5,0.76,UNKNOWN,15.7,13.72,ECDC_VPD,CHECK,BENCHMARK,2025-07-31
2022-W35,MT,ES421,SARS_COV_2,CONFIRMED,1139,239,60,11,143.786,24.57,NONE,40.46,HOUSEHOLD,65.65,9.01,ECDC_TESSy,OK,SECOND,2025-06-02
2022-W36,ES,AT559,INFLUENZA_A,PROBABLE,2034,264,17,3,246.691,8.46,RSV_A,7.36,SCHOOL,52.65,2.03,ECDC_FOODBORNE,REVISED,FIRST,2024-04-26
2022-W37,CZ,EE519,INFLUENZA_B,POSSIBLE,443,63,10,2,62.984,17.24,JN_1,11.92,WORKPLACE,55.34,3.94,ECDC_RESPIRATORY,PARTIAL,FLASH,2025-09-08
2022-W38,HU,CZ4,RSV,CONFIRMED,2389,289,71,17,41.24,0.75,BA_2,11.92,CARE_HOME,26.43,9.93,ECDC_AMR,IMPUTED,BENCHMARK,2025-01-06
2022-W39,NL,NL67,NOROVIRUS,PROBABLE,4035,360,88,20,98.763,21.85,RSV_B,5.68,HOSPITAL,86.74,11.83,ECDC_VPD,CHECK,SECOND,2025-03-19
2022-W40,SE,DE97,MEASLES,POSSIBLE,2889,226,23,2,82.437,11.8,FLU_H3N2,12.73,COMMUNITY,75.55,5.8,ECDC_TESSy,OK,FIRST,2024-06-10
2022-W41,DK,HU34,PERTUSSIS,CONFIRMED,3445,103,14,1,27.729,0.9,BA_5,1.06,TRAVEL_RELATED,27.13,10.25,ECDC_FOODBORNE,REVISED,FLASH,2025-08-24
2022-W42,IE,DK113,TB,PROBABLE,425,84,14,2,131.767,19.07,OTHER,5.54,FOODBORNE,50.89,10.39,ECDC_RESPIRATORY,PARTIAL,BENCHMARK,2024-07-25
2022-W43,PL,LT9,SALMONELLA,POSSIBLE,4166,517,63,3,25.849,8.17,FLU_H1N1,4.47,UNKNOWN,19.98,0.81,ECDC_AMR,IMPUTED,SECOND,2025-09-02
2022-W44,AT,GR1,LISTERIA,CONFIRMED,4163,608,48,10,32.736,4.49,XBB_1_5,3.77,HOUSEHOLD,79.58,7.83,ECDC_VPD,CHECK,FIRST,2025-02-01
2022-W45,EE,HU344,SARS_COV_2,PROBABLE,2826,477,163,12,198.96,1.84,NONE,12.85,SCHOOL,74.51,1.84,ECDC_TESSy,OK,FLASH,2025-03-22
2022-W46,IT,LT3,INFLUENZA_A,POSSIBLE,689,91,12,3,147.713,32.05,RSV_A,11.01,WORKPLACE,86.82,5.93,ECDC_FOODBORNE,REVISED,BENCHMARK,2025-06-22
2022-W47,PT,SK20,INFLUENZA_B,CONFIRMED,433,50,5,0,75.652,26.49,JN_1,6.79,CARE_HOME,82.67,12.3,ECDC_RESPIRATORY,PARTIAL,SECOND,2025-08-03
2022-W48,BE,FI92,RSV,PROBABLE,5101,179,47,11,68.201,3.9,BA_2,5.79,HOSPITAL,37.56,4.68,ECDC_AMR,IMPUTED,FIRST,2026-02-04
2022-W49,FI,PL82,NOROVIRUS,POSSIBLE,1809,142,25,5,90.027,13.66,RSV_B,11.1,COMMUNITY,60.3,15.26,ECDC_VPD,CHECK,FLASH,2025-10-16
2022-W50,LV,IT558,MEASLES,CONFIRMED,5035,682,121,20,1.915,12.73,FLU_H3N2,8.11,TRAVEL_RELATED,16.93,3.43,ECDC_TESSy,OK,BENCHMARK,2024-12-11
2022-W51,RO,PL43,PERTUSSIS,PROBABLE,89,3,0,0,62.882,21.59,BA_5,9.53,FOODBORNE,33.98,6.04,ECDC_FOODBORNE,REVISED,SECOND,2025-07-14
2022-W52,BG,FI90,TB,POSSIBLE,2913,583,147,16,210.822,5.18,OTHER,1.13,UNKNOWN,62.89,10.51,ECDC_RESPIRATORY,PARTIAL,FIRST,2025-06-04
2023-W01,FR,HU50,SALMONELLA,CONFIRMED,2269,295,65,13,59.627,19.79,FLU_H1N1,4.49,HOUSEHOLD,23.51,3.98,ECDC_AMR,IMPUTED,FLASH,2026-01-01
2023-W02,LT,DE993,LISTERIA,PROBABLE,320,21,3,0,60.054,7.92,XBB_1_5,6.13,SCHOOL,60.18,12.0,ECDC_VPD,CHECK,BENCHMARK,2026-01-09
2023-W03,SK,PL15,SARS_COV_2,POSSIBLE,3439,210,67,11,147.2,9.78,NONE,43.94,WORKPLACE,43.71,5.64,ECDC_TESSy,OK,SECOND,2025-10-04
2023-W04,HR,FR89,INFLUENZA_A,CONFIRMED,297,38,5,0,143.674,14.61,RSV_A,8.1,CARE_HOME,68.11,5.78,ECDC_FOODBORNE,REVISED,FIRST,2024-12-20
2023-W05,DE,CZ54,INFLUENZA_B,PROBABLE,1823,249,42,5,91.93,28.3,JN_1,5.96,HOSPITAL,31.76,5.96,ECDC_RESPIRATORY,PARTIAL,FLASH,2024-05-13
2023-W06,LU,LV2,RSV,POSSIBLE,1033,78,6,1,203.546,21.57,BA_2,5.92,COMMUNITY,53.23,1.82,ECDC_AMR,IMPUTED,BENCHMARK,2024-12-06
2023-W07,SI,PL6,NOROVIRUS,CONFIRMED,1804,162,24,1,233.152,1.91,RSV_B,3.67,TRAVEL_RELATED,62.5,5.61,ECDC_VPD,CHECK,SECOND,2024-04-10
2023-W08,CY,SE19,MEASLES,PROBABLE,1515,186,43,5,140.807,1.98,FLU_H3N2,6.69,FOODBORNE,78.26,1.92,ECDC_TESSy,OK,FIRST,2025-01-18
2023-W09,GR,CY38,PERTUSSIS,POSSIBLE,1060,142,30,6,47.837,17.93,BA_5,4.78,UNKNOWN,68.09,2.12,ECDC_FOODBORNE,REVISED,FLASH,2024-06-28
2023-W10,MT,HU677,TB,CONFIRMED,2462,218,21,4,58.353,19.04,OTHER,11.63,HOUSEHOLD,83.93,1.25,ECDC_RESPIRATORY,PARTIAL,BENCHMARK,2024-08-14
2023-W11,ES,BE3,SALMONELLA,PROBABLE,1530,129,31,7,24.852,14.97,FLU_H1N1,3.17,SCHOOL,100.0,9.0,ECDC_AMR,IMPUTED,SECOND,2025-04-24
2023-W12,CZ,GR901,LISTERIA,POSSIBLE,2301,183,35,2,106.779,16.97,XBB_1_5,0.92,WORKPLACE,86.87,10.85,ECDC_VPD,CHECK,FIRST,2025-01-20
2023-W13,HU,LU5,SARS_COV_2,CONFIRMED,2035,268,63,3,206.668,6.09,NONE,37.43,CARE_HOME,64.46,7.09,ECDC_TESSy,OK,FLASH,2025-06-03
2023-W14,NL,SE2,INFLUENZA_A,PROBABLE,1088,84,14,3,171.1,22.13,RSV_A,6.95,HOSPITAL,30.43,4.6,ECDC_FOODBORNE,REVISED,BENCHMARK,2025-07-03
2023-W15,SE,LT183,INFLUENZA_B,POSSIBLE,331,28,6,1,133.772,30.32,JN_1,4.35,COMMUNITY,52.38,5.06,ECDC_RESPIRATORY,PARTIAL,SECOND,2025-03-24
2023-W16,DK,LT760,RSV,CONFIRMED,28,1,0,0,96.014,16.28,BA_2,1.27,TRAVEL_RELATED,79.36,2.42,ECDC_AMR,IMPUTED,FIRST,2024-07-30
2023-W17,IE,CZ46,NOROVIRUS,PROBABLE,368,55,4,0,158.42,13.77,RSV_B,11.76,FOODBORNE,63.42,16.92,ECDC_VPD,CHECK,FLASH,2024-12-31
2023-W18,PL,DK898,MEASLES,POSSIBLE,1379,152,16,2,60.349,11.11,FLU_H3N2,7.13,UNKNOWN,33.62,12.25,ECDC_TESSy,OK,BENCHMARK,2025-09-07
2023-W19,AT,BG387,PERTUSSIS,CONFIRMED,80,11,2,0,115.851,21.35,BA_5,2.56,HOUSEHOLD,32.36,6.51,ECDC_FOODBORNE,REVISED,SECOND,2025-08-27
2023-W20,EE,DE9,TB,PROBABLE,162,21,1,0,161.318,9.52,OTHER,3.01,SCHOOL,42.37,1.67,ECDC_RESPIRATORY,PARTIAL,FIRST,2025-03-15
2023-W21,IT,AT87,SALMONELLA,POSSIBLE,1439,100,7,0,46.467,17.81,FLU_H1N1,2.7,WORKPLACE,49.29,4.16,ECDC_AMR,IMPUTED,FLASH,2024-04-20
2023-W22,PT,DK35,LISTERIA,CONFIRMED,316,50,5,0,50.251,17.92,XBB_1_5,3.79,CARE_HOME,51.26,16.15,ECDC_VPD,CHECK,BENCHMARK,2024-07-18
2023-W23,BE,SE357,SARS_COV_2,PROBABLE,69,8,1,0,94.308,6.71,NONE,5.93,HOSPITAL,85.82,10.65,ECDC_TESSy,OK,SECOND,2025-04-15
2023-W24,FI,BE28,INFLUENZA_A,POSSIBLE,110,10,1,0,31.484,19.22,RSV_A,0.27,COMMUNITY,50.53,13.03,ECDC_FOODBORNE,REVISED,FIRST,2024-10-24
2023-W25,LV,DE305,INFLUENZA_B,CONFIRMED,264,27,3,0,63.479,29.96,JN_1,7.01,TRAVEL_RELATED,23.14,10.92,ECDC_RESPIRATORY,PARTIAL,FLASH,2025-09-14
2023-W26,RO,GR6,RSV,PROBABLE,143,8,0,0,124.823,31.76,BA_2,3.84,FOODBORNE,80.69,6.88,ECDC_AMR,IMPUTED,BENCHMARK,2024-02-10
2023-W27,BG,CZ146,NOROVIRUS,POSSIBLE,952,107,8,0,23.155,19.24,RSV_B,1.81,UNKNOWN,15.63,16.34,ECDC_VPD,CHECK,SECOND,2026-02-01
2023-W28,FR,ES388,MEASLES,CONFIRMED,875,85,17,4,24.679,11.16,FLU_H3N2,1.21,HOUSEHOLD,43.01,11.51,ECDC_TESSy,OK,FIRST,2025-02-13
2023-W29,LT,LT68,PERTUSSIS,PROBABLE,28,3,0,0,27.027,10.27,BA_5,10.33,SCHOOL,80.27,2.82,ECDC_FOODBORNE,REVISED,FLASH,2025-07-18
2023-W30,SK,SI51,TB,POSSIBLE,1016,95,34,4,193.574,6.2,OTHER,13.3,WORKPLACE,85.4,7.76,ECDC_RESPIRATORY,PARTIAL,BENCHMARK,2025-07-07
2023-W31,HR,DK413,SALMONELLA,CONFIRMED,920,139,16,1,109.712,17.11,FLU_H1N1,13.09,CARE_HOME,80.24,12.22,ECDC_AMR,IMPUTED,SECOND,2025-12-06
2023-W32,DE,RO680,LISTERIA,PROBABLE,1851,181,39,3,125.246,1.45,XBB_1_5,10.44,HOSPITAL,54.91,13.84,ECDC_VPD,CHECK,FIRST,2024-03-08
2023-W33,LU,LT66,SARS_COV_2,POSSIBLE,451,96,22,5,98.78,25.58,NONE,20.84,COMMUNITY,54.96,9.91,ECDC_TESSy,OK,FLASH,2025-02-21
2023-W34,SI,IE10,INFLUENZA_A,CONFIRMED,807,22,1,0,141.423,25.49,RSV_A,5.42,TRAVEL_RELATED,68.94,5.65,ECDC_FOODBORNE,REVISED,BENCHMARK,2024-08-19
2023-W35,CY,NL663,INFLUENZA_B,PROBABLE,532,21,1,0,104.135,27.85,JN_1,13.7,FOODBORNE,42.8,11.68,ECDC_RESPIRATORY,PARTIAL,SECOND,2024-09-12
2023-W36,GR,BG608,RSV,POSSIBLE,2070,287,51,10,142.277,7.91,BA_2,13.33,UNKNOWN,78.69,3.87,ECDC_AMR,IMPUTED,FIRST,2025-10-31
2023-W37,MT,SE63,NOROVIRUS,CONFIRMED,1334,108,24,4,124.684,22.4,RSV_B,1.02,HOUSEHOLD,24.63,5.35,ECDC_VPD,CHECK,FLASH,2025-07-08
2023-W38,ES,LT85,MEASLES,PROBABLE,776,25,3,0,223.22,13.95,FLU_H3N2,6.89,SCHOOL,94.89,9.66,ECDC_TESSy,OK,BENCHMARK,2025-09-20
2023-W39,CZ,BG322,PERTUSSIS,POSSIBLE,868,86,6,0,116.857,16.13,BA_5,2.48,WORKPLACE,95.62,3.95,ECDC_FOODBORNE,REVISED,SECOND,2025-07-05
2023-W40,HU,LU2,TB,CONFIRMED,878,72,11,1,33.87,20.81,OTHER,6.18,CARE_HOME,26.56,0.54,ECDC_RESPIRATORY,PARTIAL,FIRST,2024-09-05
2023-W41,NL,MT496,SALMONELLA,PROBABLE,1380,145,7,1,71.613,7.6,FLU_H1N1,13.24,HOSPITAL,75.41,1.26,ECDC_AMR,IMPUTED,FLASH,2024-12-01
2023-W42,SE,PL117,LISTERIA,POSSIBLE,199,19,2,0,2.708,7.8,XBB_1_5,0.85,COMMUNITY,27.67,5.87,ECDC_VPD,CHECK,BENCHMARK,2024-10-20
2023-W43,DK,FR308,SARS_COV_2,CONFIRMED,1041,205,71,7,3.583,31.84,NONE,38.76,TRAVEL_RELATED,49.1,2.53,ECDC_TESSy,OK,SECOND,2024-09-16
2023-W44,IE,GR355,INFLUENZA_A,PROBABLE,2023,85,15,1,17.613,6.97,RSV_A,2.77,FOODBORNE,66.92,9.19,ECDC_FOODBORNE,REVISED,FIRST,2024-07-01
2023-W45,PL,ES674,INFLUENZA_B,POSSIBLE,279,25,4,1,130.395,25.56,JN_1,11.91,UNKNOWN,58.13,3.12,ECDC_RESPIRATORY,PARTIAL,FLASH,2025-07-29
2023-W46,AT,FR431,RSV,CONFIRMED,1584,93,21,3,126.401,13.36,BA_2,2.29,HOUSEHOLD,57.21,3.23,ECDC_AMR,IMPUTED,BENCHMARK,2024-05-21
2023-W47,EE,SK21,NOROVIRUS,PROBABLE,1979,60,10,2,34.056,10.69,RSV_B,8.91,SCHOOL,87.5,11.96,ECDC_VPD,CHECK,SECOND,2026-01-27
2023-W48,IT,SI475,MEASLES,POSSIBLE,597,83,20,1,193.207,14.58,FLU_H3N2,1.31,WORKPLACE,66.94,8.53,ECDC_TESSy,OK,FIRST,2025-05-07
2023-W49,PT,SI64,PERTUSSIS,CONFIRMED,797,113,7,1,104.315,2.96,BA_5,9.52,CARE_HOME,41.16,4.75,ECDC_FOODBORNE,REVISED,FLASH,2024-11-23
2023-W50,BE,NL387,TB,PROBABLE,760,51,4,0,233.074,5.79,OTHER,6.19,HOSPITAL,53.31,2.82,ECDC_RESPIRATORY,PARTIAL,BENCHMARK,2024-10-04
2023-W51,FI,SI9,SALMONELLA,POSSIBLE,370,19,2,0,49.004,5.73,FLU_H1N1,2.63,COMMUNITY,47.29,4.39,ECDC_AMR,IMPUTED,SECOND,2024-10-24
2023-W52,LV,BE659,LISTERIA,CONFIRMED,725,50,6,0,224.797,3.98,XBB_1_5,3.62,TRAVEL_RELATED,35.79,11.61,ECDC_VPD,CHECK,FIRST,2025-05-09
2024-W01,RO,ES369,SARS_COV_2,PROBABLE,2098,463,160,38,57.39,16.96,NONE,1.03,FOODBORNE,57.45,9.45,ECDC_TESSy,OK,FLASH,2024-08-25
2024-W02,BG,HU25,INFLUENZA_A,POSSIBLE,2230,162,31,8,239.544,20.37,RSV_A,5.98,UNKNOWN,23.9,1.0,ECDC_FOODBORNE,REVISED,BENCHMARK,2025-11-05
2024-W03,FR,NL291,INFLUENZA_B,CONFIRMED,1905,73,8,1,56.228,4.83,JN_1,12.96,HOUSEHOLD,71.39,7.07,ECDC_RESPIRATORY,PARTIAL,SECOND,2024-04-05
2024-W04,LT,DK89,RSV,PROBABLE,1593,48,9,2,179.933,0.6,BA_2,12.95,SCHOOL,87.04,4.93,ECDC_AMR,IMPUTED,FIRST,2024-07-23
2024-W05,SK,HU228,NOROVIRUS,POSSIBLE,2183,144,11,1,120.932,17.38,RSV_B,12.24,WORKPLACE,98.51,13.06,ECDC_VPD,CHECK,FLASH,2024-12-29
2024-W06,HR,HR130,MEASLES,CONFIRMED,1269,182,20,1,134.755,13.87,FLU_H3N2,4.23,CARE_HOME,23.37,10.99,ECDC_TESSy,OK,BENCHMARK,2024-12-24
2024-W07,DE,BE1,PERTUSSIS,PROBABLE,520,27,4,0,8.123,8.05,BA_5,7.48,HOSPITAL,42.51,8.92,ECDC_FOODBORNE,REVISED,SECOND,2025-09-01
2024-W08,LU,EE27,TB,POSSIBLE,818,177,18,2,96.658,18.99,OTHER,5.88,COMMUNITY,87.14,2.29,ECDC_RESPIRATORY,PARTIAL,FIRST,2024-04-20
2024-W09,SI,FR455,SALMONELLA,CONFIRMED,98,8,0,0,129.64,3.7,FLU_H1N1,11.53,TRAVEL_RELATED,48.66,12.22,ECDC_AMR,IMPUTED,FLASH,2024-11-10
2024-W10,CY,LV233,LISTERIA,PROBABLE,1222,175,39,10,113.826,12.95,XBB_1_5,12.66,FOODBORNE,31.47,9.13,ECDC_VPD,CHECK,BENCHMARK,2024-10-10
2024-W11,GR,SE293,SARS_COV_2,POSSIBLE,559,123,38,7,8.804,17.75,NONE,37.16,UNKNOWN,53.17,9.45,ECDC_TESSy,OK,SECOND,2026-02-08
2024-W12,MT,GR982,INFLUENZA_A,CONFIRMED,1367,39,3,0,28.233,25.38,RSV_A,5.25,HOUSEHOLD,65.41,16.61,ECDC_FOODBORNE,REVISED,FIRST,2025-06-12
2024-W13,ES,BG310,INFLUENZA_B,PROBABLE,1120,140,36,7,113.719,15.48,JN_1,5.0,SCHOOL,20.62,2.94,ECDC_RESPIRATORY,PARTIAL,FLASH,2025-03-19
2024-W14,CZ,NL438,RSV,POSSIBLE,799,105,14,1,174.936,18.95,BA_2,0.46,WORKPLACE,36.84,9.12,ECDC_AMR,IMPUTED,BENCHMARK,2025-07-03
2024-W15,HU,FI133,NOROVIRUS,CONFIRMED,2765,374,72,18,140.265,20.8,RSV_B,8.17,CARE_HOME,71.4,11.58,ECDC_VPD,CHECK,SECOND,2024-11-05
2024-W16,NL,EE943,MEASLES,PROBABLE,2408,215,15,1,92.275,5.31,FLU_H3N2,7.44,HOSPITAL,35.89,1.21,ECDC_TESSy,OK,FIRST,2024-02-16
2024-W17,SE,FR26,PERTUSSIS,POSSIBLE,1029,155,13,0,187.104,7.04,BA_5,10.01,COMMUNITY,63.13,1.89,ECDC_FOODBORNE,REVISED,FLASH,2025-07-02
2024-W18,DK,PT62,TB,CONFIRMED,717,79,27,6,237.31,15.14,OTHER,7.52,TRAVEL_RELATED,21.62,0.75,ECDC_RESPIRATORY,PARTIAL,BENCHMARK,2025-03-05
2024-W19,IE,IT42,SALMONELLA,PROBABLE,1625,232,43,11,88.464,2.6,FLU_H1N1,4.94,FOODBORNE,84.0,8.37,ECDC_AMR,IMPUTED,SECOND,2024-08-20
2024-W20,PL,CY564,LISTERIA,POSSIBLE,1846,127,32,1,92.891,21.14,XBB_1_5,1.67,UNKNOWN,26.37,9.14,ECDC_VPD,CHECK,FIRST,2025-09-26
2024-W21,AT,PL9,SARS_COV_2,CONFIRMED,1021,219,57,15,135.242,16.27,NONE,24.85,HOUSEHOLD,77.16,8.0,ECDC_TESSy,OK,FLASH,2024-08-31
2024-W22,EE,RO78,INFLUENZA_A,PROBABLE,2053,170,25,1,26.404,30.85,RSV_A,11.06,SCHOOL,66.67,14.63,ECDC_FOODBORNE,REVISED,BENCHMARK,2025-02-04
2024-W23,IT,CZ713,INFLUENZA_B,POSSIBLE,2148,253,26,5,136.677,9.99,JN_1,7.12,WORKPLACE,81.13,0.6,ECDC_RESPIRATORY,PARTIAL,SECOND,2024-11-14
2024-W24,PT,FR535,RSV,CONFIRMED,3059,351,72,3,107.948,29.85,BA_2,13.48,CARE_HOME,15.18,3.14,ECDC_AMR,IMPUTED,FIRST,2025-07-27
2024-W25,BE,EE89,NOROVIRUS,PROBABLE,3718,262,21,0,274.992,0.67,RSV_B,6.94,HOSPITAL,71.55,9.91,ECDC_VPD,CHECK,FLASH,2024-09-04
2024-W26,FI,AT65,MEASLES,POSSIBLE,1901,140,17,4,137.629,8.95,FLU_H3N2,5.83,COMMUNITY,33.09,5.37,ECDC_TESSy,OK,BENCHMARK,2024-07-12
