env_hazard_event_start_date,env_hazard_event_end_date,env_hazard_hazard_type_code,env_hazard_ndma_disaster_number,env_hazard_impact_area_polygon_id,env_hazard_fatalities_direct,env_hazard_fatalities_indirect,env_hazard_injuries_reported,env_hazard_property_damage_inr,env_hazard_crop_damage_inr,env_hazard_insured_loss_inr,env_hazard_evacuation_order_flag,env_hazard_power_outage_customers_peak,env_hazard_shelter_population_peak,env_hazard_flood_depth_max_ft,env_hazard_wind_gust_max_kmph,env_hazard_drought_severity_index,env_hazard_heat_index_max_f,env_hazard_snowfall_total_in,env_hazard_event_narrative_code
2022-01-03,2022-01-05,drought,NDMA-7430-89,IN-POLY-00000421,1,1,8,1131419,1015257,311683,0,260416,3196,6.0,115,0.49,108,0.1,media_digest
2022-10-06,2022-10-12,heatwave,NDMA-1879-60,IN-POLY-00000422,1,0,12,2434056,482726,1094258,0,35867,18901,6.8,125,2.56,119,0.1,impact_brief_b
2023-06-17,2023-06-28,flood,NDMA-1376-34,IN-POLY-00000423,0,0,13,2102508,1961561,452026,0,80432,19858,8.3,77,2.56,94,0.9,rapid_assessment
2024-08-23,2024-09-12,heatwave,NDMA-6098-32,IN-POLY-00000424,2,0,9,4787485,626955,1317511,0,14151,11225,6.4,126,1.04,122,0.8,impact_brief_a
2016-12-07,2016-12-09,flood,NDMA-2921-25,IN-POLY-00000425,0,2,18,5187515,269659,641555,0,290007,12837,8.2,92,0.92,97,1.0,impact_brief_b
2014-08-03,2014-08-10,heatwave,NDMA-2418-24,IN-POLY-00000426,3,1,9,5739337,1405725,1868424,0,21600,12457,1.7,96,1.36,100,0.9,impact_brief_a
2018-07-24,2018-08-12,flood,NDMA-7510-20,IN-POLY-00000427,0,0,8,6003601,4077545,327017,0,44505,2218,5.0,66,2.26,77,2.9,media_digest
2021-05-04,2021-05-16,flood,NDMA-6200-49,IN-POLY-00000428,0,0,11,16639788,8348819,2054231,0,49439,2960,2.8,108,0.0,88,6.3,state_relief_note
2011-08-21,2011-08-30,flood,NDMA-6593-61,IN-POLY-00000429,4,0,9,7569867,903693,1485120,0,31537,4182,5.6,53,1.4,114,0.0,rapid_assessment
2023-05-24,2023-06-08,drought,NDMA-6526-29,IN-POLY-00000430,1,0,11,17486677,475705,6127781,0,69160,3513,1.0,32,0.95,101,0.8,impact_brief_b
2017-05-04,2017-05-23,landslide,NDMA-7939-16,IN-POLY-00000431,1,0,5,1860069,406213,635275,0,311822,15201,2.6,55,2.57,111,0.2,state_relief_note
2015-08-21,2015-09-02,cyclone,NDMA-8963-92,IN-POLY-00000432,3,2,7,1177013,5881349,474430,0,72649,11878,3.0,93,0.0,103,2.8,media_digest
2011-11-26,2011-11-30,flood,NDMA-2388-89,IN-POLY-00000433,2,0,10,1338753,486080,584729,1,22879,5274,2.3,78,1.47,98,0.1,impact_brief_a
2023-01-25,2023-01-30,cold_wave,NDMA-6080-22,IN-POLY-00000434,1,0,13,451802,871975,57664,0,81272,18281,3.3,137,2.17,122,0.5,rapid_assessment
2016-05-15,2016-05-30,landslide,NDMA-7014-77,IN-POLY-00000435,0,1,23,1001100,2040916,430589,0,58392,6364,4.0,58,2.04,81,1.3,impact_brief_a
2015-03-07,2015-03-16,flood,NDMA-3273-64,IN-POLY-00000436,1,1,12,4547289,118213,667115,0,16233,2553,4.1,122,0.47,110,0.1,rapid_assessment
2018-04-07,2018-04-22,flood,NDMA-6408-50,IN-POLY-00000437,2,0,9,1756800,1315403,523119,0,978616,3496,0.0,98,2.27,99,2.9,ndma_sitrep
2019-03-21,2019-04-05,flood,NDMA-6675-90,IN-POLY-00000438,1,0,7,3336465,531119,382616,0,111765,6092,6.3,116,0.84,104,3.7,impact_brief_a
2010-08-03,2010-08-22,cold_wave,NDMA-1647-57,IN-POLY-00000439,2,1,18,4931957,1941544,289355,0,65902,13206,5.5,11,1.96,103,6.8,impact_brief_a
2017-03-21,2017-04-09,cold_wave,NDMA-1048-62,IN-POLY-00000440,1,1,19,474963,8077526,83695,0,162820,7266,3.9,33,2.91,105,3.3,media_digest
2017-03-01,2017-03-05,flood,NDMA-6890-43,IN-POLY-00000441,2,0,16,1409284,731809,195642,0,211820,9403,3.8,85,0.57,79,3.8,impact_brief_a
2022-02-16,2022-03-05,flood,NDMA-5879-64,IN-POLY-00000442,2,0,10,30461816,1126084,5686811,0,365728,17919,3.3,77,2.16,118,11.8,media_digest
2018-01-10,2018-01-23,flood,NDMA-6010-81,IN-POLY-00000443,1,0,16,6143863,382217,992667,0,27991,5353,0.0,83,0.79,100,1.4,ndma_sitrep
2013-07-20,2013-08-02,flood,NDMA-1536-80,IN-POLY-00000444,2,1,13,36699551,225473,3529846,0,63579,2316,1.7,102,0.5,79,2.6,ndma_sitrep
2025-06-17,2025-06-24,cloudburst,NDMA-6195-62,IN-POLY-00000445,1,0,10,1560868,689011,208317,0,41726,32408,4.9,146,1.86,96,4.4,impact_brief_a
2025-01-18,2025-01-23,flood,NDMA-5969-91,IN-POLY-00000446,3,0,19,940691,2423742,80066,0,219077,9469,3.9,78,1.6,108,2.7,impact_brief_b
2015-10-20,2015-11-01,cyclone,NDMA-7867-25,IN-POLY-00000447,1,0,12,1080946,63175,283330,0,4675,2442,3.7,68,2.26,97,1.7,impact_brief_b
2010-10-21,2010-10-31,flood,NDMA-1980-75,IN-POLY-00000448,0,0,9,288622,729275,109991,0,70845,6338,3.5,81,2.6,118,0.5,state_relief_note
2020-06-21,2020-07-06,drought,NDMA-3199-33,IN-POLY-00000449,4,1,9,2649553,2704989,739117,0,219377,1546,3.9,163,0.83,112,1.3,state_relief_note
2020-12-09,2020-12-10,flood,NDMA-9764-51,IN-POLY-00000450,0,1,13,922329,7068099,165903,0,553707,4783,1.9,81,0.47,105,0.3,ndma_sitrep
2012-04-14,2012-04-22,flood,NDMA-7651-83,IN-POLY-00000451,4,2,13,5729067,1700381,2226117,1,245423,6516,2.6,6,3.11,88,2.3,media_digest
2026-01-16,2026-02-02,cloudburst,NDMA-3350-67,IN-POLY-00000452,1,0,13,1902865,1370881,211915,0,39467,10551,0.0,91,1.98,97,6.0,state_relief_note
2017-03-22,2017-04-07,flood,NDMA-5138-20,IN-POLY-00000453,2,0,15,1721207,3692493,654844,0,262537,74490,2.7,0,2.48,112,3.2,rapid_assessment
2012-05-16,2012-05-21,flood,NDMA-5540-16,IN-POLY-00000454,1,2,5,935377,3355864,277574,0,605431,2431,8.2,94,0.91,98,3.1,state_relief_note
2010-05-30,2010-06-09,heatwave,NDMA-4339-90,IN-POLY-00000455,1,0,11,1631742,255671,212448,0,139226,10079,3.7,56,2.24,101,4.8,rapid_assessment
2014-08-13,2014-08-27,heatwave,NDMA-9614-22,IN-POLY-00000456,1,1,15,386193,103199,51439,0,167793,16586,2.9,95,3.07,98,5.3,state_relief_note
2013-10-03,2013-10-05,drought,NDMA-6753-59,IN-POLY-00000457,1,0,14,4636993,141672,340955,0,263997,9840,0.9,95,2.6,107,2.8,ndma_sitrep
2023-07-20,2023-07-21,flood,NDMA-6786-96,IN-POLY-00000458,0,2,9,1884619,104805,761860,0,97939,5871,6.0,97,3.35,94,0.1,media_digest
2022-06-15,2022-06-20,cyclone,NDMA-8834-18,IN-POLY-00000459,1,0,12,3651765,482196,1280214,0,11287,18164,5.3,129,2.06,103,0.5,media_digest
2025-03-15,2025-03-25,flood,NDMA-5803-17,IN-POLY-00000460,1,1,9,2425794,2910988,1026044,0,172153,12557,6.6,130,0.69,101,2.9,rapid_assessment
2020-01-19,2020-01-23,earthquake,NDMA-8909-92,IN-POLY-00000461,0,1,13,12103686,3040058,1701385,0,23675,1378,2.8,63,2.03,103,2.2,ndma_sitrep
2015-02-02,2015-02-22,cyclone,NDMA-4574-53,IN-POLY-00000462,2,1,13,3484251,2484755,237090,0,136642,1562,1.4,122,1.23,113,3.1,rapid_assessment
2018-10-08,2018-10-19,flood,NDMA-7008-92,IN-POLY-00000463,2,0,14,1172529,7604858,290650,0,15391,5002,5.2,56,4.4,118,2.8,impact_brief_b
2025-06-11,2025-06-13,drought,NDMA-1299-24,IN-POLY-00000464,2,0,7,658125,288923,115881,0,36402,11371,2.5,48,2.39,92,3.1,state_relief_note
2012-06-23,2012-07-12,flood,NDMA-3545-51,IN-POLY-00000465,2,1,10,1157056,65766,249764,0,52152,5318,1.6,94,1.85,106,1.1,ndma_sitrep
2011-01-30,2011-01-31,earthquake,NDMA-3579-84,IN-POLY-00000466,0,0,15,1331356,317789,313604,0,114486,10925,4.0,88,1.48,84,8.7,impact_brief_b
2022-01-27,2022-02-13,flood,NDMA-1360-81,IN-POLY-00000467,1,1,16,281296,3878190,103269,0,91261,4165,1.3,72,1.4,100,3.4,impact_brief_b
2020-04-10,2020-04-16,earthquake,NDMA-2834-65,IN-POLY-00000468,0,2,10,4887413,349827,1646051,0,333021,19971,0.0,103,4.26,104,2.5,impact_brief_b
2017-06-12,2017-06-17,storm_surge,NDMA-5513-18,IN-POLY-00000469,3,2,8,9824139,1068683,3553845,0,42368,1751,4.2,73,2.56,92,0.0,impact_brief_b
2021-08-13,2021-08-30,flood,NDMA-8141-65,IN-POLY-00000470,2,0,13,4945615,49242,695849,0,358456,7150,3.1,152,3.2,93,2.3,state_relief_note
2017-08-12,2017-08-22,flood,NDMA-3395-60,IN-POLY-00000471,1,1,9,515084,5935362,34294,0,155921,6149,0.0,153,0.17,104,4.5,impact_brief_b
2011-08-21,2011-09-08,landslide,NDMA-8377-77,IN-POLY-00000472,1,0,10,1640950,2533652,658284,0,442231,14126,5.7,116,3.93,118,2.0,ndma_sitrep
2025-08-12,2025-08-21,flood,NDMA-2846-60,IN-POLY-00000473,0,0,19,21859138,1273931,4358137,0,117400,11691,4.1,46,2.97,104,2.9,media_digest
2015-08-24,2015-08-31,heatwave,NDMA-9931-81,IN-POLY-00000474,2,0,19,2729718,329162,501902,0,41975,52870,4.4,117,0.66,92,0.3,media_digest
2010-01-17,2010-02-02,flood,NDMA-9525-74,IN-POLY-00000475,1,0,12,1346193,5489371,464942,0,14534,28865,1.7,99,2.69,92,4.1,impact_brief_b
2023-04-01,2023-04-12,heatwave,NDMA-5748-80,IN-POLY-00000476,1,2,10,4658038,1063704,458852,0,19778,3010,3.2,93,1.54,108,0.1,impact_brief_b
2022-06-03,2022-06-16,flood,NDMA-2620-24,IN-POLY-00000477,1,0,9,1664914,3040005,329481,0,22314,10228,0.0,43,2.29,108,2.7,impact_brief_a
2021-08-03,2021-08-11,flood,NDMA-3901-65,IN-POLY-00000478,1,1,18,973558,460787,227318,0,207337,4589,4.1,35,2.74,103,1.4,impact_brief_b
2023-01-01,2023-01-02,flood,NDMA-5976-93,IN-POLY-00000479,1,2,13,19293303,2189548,8584085,0,263290,9535,3.4,91,2.03,98,0.1,ndma_sitrep
2015-06-23,2015-07-06,flood,NDMA-3136-53,IN-POLY-00000480,2,0,15,7969061,1787436,2852979,1,148679,25026,3.3,75,0.32,100,2.7,media_digest
2019-06-08,2019-06-20,cyclone,NDMA-3802-83,IN-POLY-00000481,1,0,9,2617317,1156720,1034746,0,122587,20522,1.1,118,2.33,104,1.4,rapid_assessment
2014-08-24,2014-09-13,flood,NDMA-3089-43,IN-POLY-00000482,1,1,10,1655308,858796,626271,1,398455,21037,3.6,22,1.23,101,4.1,impact_brief_a
2013-05-05,2013-05-17,earthquake,NDMA-6184-56,IN-POLY-00000483,2,0,13,3249175,738081,534207,0,39503,6295,3.0,104,2.73,123,1.8,rapid_assessment
2012-05-04,2012-05-19,heatwave,NDMA-1501-43,IN-POLY-00000484,0,0,16,3480693,28685,415040,0,146661,29677,0.6,4,1.95,100,4.3,rapid_assessment
2016-05-07,2016-05-10,cyclone,NDMA-1557-87,IN-POLY-00000485,1,0,9,11363740,1784117,4843653,0,38328,18342,0.0,62,1.71,107,2.6,impact_brief_b
2016-05-29,2016-06-05,flood,NDMA-1995-20,IN-POLY-00000486,0,0,11,212527,613330,15872,0,66087,6042,3.0,106,1.91,105,1.1,media_digest
2024-10-05,2024-10-24,flood,NDMA-9260-50,IN-POLY-00000487,1,0,15,5107562,1328529,1418468,0,192214,3700,7.5,87,1.71,103,0.0,state_relief_note
2015-01-14,2015-01-20,heatwave,NDMA-2463-24,IN-POLY-00000488,2,0,10,4171123,170279,769279,0,266567,4638,6.5,76,5.0,105,4.3,impact_brief_b
2014-07-27,2014-07-30,heatwave,NDMA-7664-15,IN-POLY-00000489,2,2,4,8819309,569354,2991903,0,273586,8573,5.0,124,2.36,97,1.0,media_digest
2019-01-17,2019-01-18,storm_surge,NDMA-3526-37,IN-POLY-00000490,1,1,7,5288567,201964,803470,0,56867,1307,2.9,19,1.21,113,0.5,media_digest
2012-11-05,2012-11-13,drought,NDMA-9499-72,IN-POLY-00000491,1,0,10,12464980,4935250,4433652,1,44891,12511,2.0,73,4.74,102,0.9,state_relief_note
2025-11-26,2025-12-11,heatwave,NDMA-7044-10,IN-POLY-00000492,3,1,16,3074957,1485518,698278,0,699845,34087,2.8,108,0.95,112,2.2,media_digest
2014-03-20,2014-03-28,flood,NDMA-3729-28,IN-POLY-00000493,1,0,12,171721,4153297,43808,0,422655,3816,1.1,86,3.64,113,1.7,ndma_sitrep
2013-03-06,2013-03-19,heatwave,NDMA-1132-68,IN-POLY-00000494,0,1,12,3740952,202366,1339238,0,388857,8253,0.4,102,2.73,110,1.7,ndma_sitrep
2021-07-20,2021-08-01,heatwave,NDMA-7200-48,IN-POLY-00000495,1,2,10,5536282,1822689,1682884,1,43534,25818,6.6,110,0.0,98,1.3,state_relief_note
2024-05-27,2024-06-03,wildfire,NDMA-8751-50,IN-POLY-00000496,1,0,11,6171521,686354,2055008,0,158559,5676,3.3,102,0.65,113,7.0,media_digest
2012-12-27,2013-01-12,landslide,NDMA-2990-94,IN-POLY-00000497,2,0,10,18020453,2330617,5260777,0,147736,4112,1.8,61,3.29,89,1.7,rapid_assessment
2022-12-06,2022-12-07,heatwave,NDMA-2380-35,IN-POLY-00000498,1,1,16,6578398,177168,2700792,1,124346,5328,4.4,28,2.43,90,3.0,state_relief_note
2018-08-31,2018-09-01,flood,NDMA-3081-96,IN-POLY-00000499,2,0,9,654408,705923,97548,0,151089,18979,0.8,82,3.12,104,2.6,media_digest
2020-02-28,2020-03-06,drought,NDMA-2172-42,IN-POLY-00000500,0,0,11,1418758,703657,228340,0,111379,11387,2.5,133,1.38,113,0.5,ndma_sitrep
2024-04-11,2024-04-14,flood,NDMA-3067-31,IN-POLY-00000501,0,1,16,6293299,1605541,2341857,0,318325,3195,3.9,130,0.9,117,0.1,impact_brief_a
2016-02-06,2016-02-12,cyclone,NDMA-4415-12,IN-POLY-00000502,1,1,14,996398,595724,72403,0,8622,3089,1.0,75,0.0,113,4.3,ndma_sitrep
2024-12-05,2024-12-11,drought,NDMA-5033-68,IN-POLY-00000503,0,1,13,9354149,4042868,1643278,0,69665,16399,1.1,101,3.23,107,0.9,media_digest
2013-05-31,2013-06-04,cyclone,NDMA-7557-60,IN-POLY-00000504,1,0,16,6485717,265211,2708471,0,271591,33587,1.1,102,0.0,107,4.0,ndma_sitrep
2024-10-13,2024-10-22,flood,NDMA-4586-76,IN-POLY-00000505,2,1,11,1434140,106763,265454,0,304731,23680,6.6,108,2.52,122,2.8,media_digest
2016-02-01,2016-02-21,heatwave,NDMA-8954-22,IN-POLY-00000506,2,2,13,796785,133797,336540,0,429533,75724,6.5,13,3.54,83,1.6,state_relief_note
2014-10-08,2014-10-28,drought,NDMA-2607-34,IN-POLY-00000507,1,0,17,3555289,3635422,1373625,0,224817,3663,7.2,62,3.31,97,0.3,impact_brief_b
2022-06-06,2022-06-21,cloudburst,NDMA-6525-93,IN-POLY-00000508,2,0,11,5232814,251943,1993658,1,218748,32750,0.9,26,2.09,92,1.8,impact_brief_a
2017-02-14,2017-02-19,flood,NDMA-3042-58,IN-POLY-00000509,1,0,20,2549572,726367,236596,0,171017,11219,3.8,143,3.73,106,1.7,media_digest
2011-02-23,2011-03-10,flood,NDMA-9146-22,IN-POLY-00000510,2,0,11,8435871,264950,508432,0,108621,44282,2.7,102,2.64,115,0.6,state_relief_note
2014-07-18,2014-08-05,storm_surge,NDMA-8039-74,IN-POLY-00000511,2,1,13,5042020,1802198,1978332,0,440980,14511,2.9,12,0.57,113,3.1,impact_brief_a
2020-05-10,2020-05-16,drought,NDMA-6365-59,IN-POLY-00000512,1,1,13,2380736,1227606,795028,0,106011,10416,2.1,104,2.72,108,0.6,rapid_assessment
2016-07-13,2016-07-20,flood,NDMA-5152-34,IN-POLY-00000513,2,0,13,842866,461731,168807,1,63444,5960,5.0,25,3.41,96,2.0,ndma_sitrep
2017-08-09,2017-08-12,wildfire,NDMA-3345-31,IN-POLY-00000514,2,0,12,18179018,1561228,3354616,1,27216,22127,5.0,90,2.96,125,2.1,rapid_assessment
2014-06-07,2014-06-27,flood,NDMA-9329-29,IN-POLY-00000515,0,0,10,20908471,601170,1670754,0,13683,39199,2.9,90,0.32,118,27.6,state_relief_note
2015-08-07,2015-08-12,heatwave,NDMA-2144-20,IN-POLY-00000516,0,0,8,2232060,1211754,595481,1,30505,31177,4.3,121,0.0,117,6.1,impact_brief_a
2014-09-16,2014-09-28,cyclone,NDMA-2356-43,IN-POLY-00000517,1,1,14,2665059,2830996,682993,0,76687,3695,7.6,127,1.59,111,2.3,rapid_assessment
2024-11-17,2024-11-18,flood,NDMA-4512-61,IN-POLY-00000518,1,1,9,33261065,167977,10090246,0,36193,5905,2.6,113,1.3,105,3.6,media_digest
2012-08-23,2012-09-12,drought,NDMA-7938-80,IN-POLY-00000519,2,0,6,2014465,3044311,711242,0,109621,7271,0.8,67,2.85,112,3.3,impact_brief_a
2022-11-13,2022-11-18,flood,NDMA-9501-26,IN-POLY-00000520,0,1,6,3636342,1893595,674753,1,189971,2210,2.6,115,1.56,102,0.8,impact_brief_b
2018-11-26,2018-11-30,flood,NDMA-8788-58,IN-POLY-00000521,1,2,6,1925393,645358,485022,0,15154,5375,0.6,61,3.19,106,7.7,state_relief_note
2014-09-01,2014-09-19,landslide,NDMA-8832-39,IN-POLY-00000522,2,0,17,2507923,1338149,527512,0,39118,11660,2.5,99,1.5,102,2.0,impact_brief_b
2010-03-20,2010-04-06,drought,NDMA-9827-64,IN-POLY-00000523,2,0,9,1258404,2782742,82814,0,89620,29029,2.6,119,2.72,101,1.4,impact_brief_a
2020-05-08,2020-05-25,cold_wave,NDMA-5525-25,IN-POLY-00000524,1,4,8,12436179,2917142,1760106,1,35697,3719,4.1,95,2.6,108,5.2,media_digest
2025-10-08,2025-10-16,heatwave,NDMA-2999-76,IN-POLY-00000525,0,0,9,3595951,586132,1399934,1,79928,53135,3.7,81,1.39,108,5.9,state_relief_note
2024-08-10,2024-08-24,heatwave,NDMA-7595-24,IN-POLY-00000526,1,0,8,2480162,1713653,635824,0,119626,19431,2.0,25,2.08,111,10.0,impact_brief_b
2015-03-25,2015-03-26,flood,NDMA-4451-14,IN-POLY-00000527,0,0,17,993030,1076143,294382,0,124478,29209,2.3,101,2.67,110,1.2,media_digest
2013-03-07,2013-03-21,cyclone,NDMA-2769-92,IN-POLY-00000528,0,1,16,11007960,6938278,3496441,0,165598,25640,7.1,100,1.71,97,3.5,media_digest
2020-01-30,2020-02-14,flood,NDMA-5626-56,IN-POLY-00000529,2,1,22,3443661,216658,1404487,0,235376,13778,6.8,82,1.64,98,1.4,media_digest
2025-03-04,2025-03-15,cyclone,NDMA-3070-64,IN-POLY-00000530,0,1,20,1945375,607933,441957,0,513541,9900,4.0,117,0.0,114,1.1,state_relief_note
2015-02-09,2015-02-15,heatwave,NDMA-6430-66,IN-POLY-00000531,1,0,17,6859251,1254419,2848996,0,42840,4579,4.7,71,3.93,112,1.8,media_digest
2018-07-18,2018-08-06,flood,NDMA-2988-73,IN-POLY-00000532,0,1,15,3929793,2453686,1756579,1,34851,13828,4.6,115,2.97,120,1.5,impact_brief_b
2018-12-25,2018-12-31,earthquake,NDMA-1862-84,IN-POLY-00000533,1,1,15,292988,741974,100277,0,106029,21487,3.7,57,1.54,115,1.0,media_digest
2015-03-21,2015-04-01,cyclone,NDMA-7133-23,IN-POLY-00000534,2,1,14,12965570,2221920,4704115,1,213093,26452,5.5,86,2.66,112,1.8,media_digest
2017-03-10,2017-03-27,flood,NDMA-1901-87,IN-POLY-00000535,1,1,13,4337203,266290,1877727,1,38649,22247,3.5,24,0.0,103,7.1,media_digest
2017-02-18,2017-02-19,cyclone,NDMA-3806-70,IN-POLY-00000536,2,0,6,4345221,229383,1157384,0,78844,6953,4.0,81,2.83,111,5.8,impact_brief_b
2025-08-02,2025-08-16,heatwave,NDMA-6151-54,IN-POLY-00000537,1,3,16,1008022,108265,255044,0,203831,106114,0.0,157,2.35,109,0.7,media_digest
2013-02-15,2013-02-21,heatwave,NDMA-7533-46,IN-POLY-00000538,0,0,20,4308822,210096,227646,0,36177,6930,5.4,139,3.13,97,0.2,impact_brief_a
2024-04-05,2024-04-09,heatwave,NDMA-1623-15,IN-POLY-00000539,1,0,9,1469869,531425,221279,0,883927,11361,0.2,146,4.78,112,2.2,state_relief_note
2012-03-10,2012-03-13,wildfire,NDMA-5352-88,IN-POLY-00000540,0,0,8,2774786,784622,761680,0,370300,17766,3.0,62,0.84,113,8.2,rapid_assessment
2023-10-02,2023-10-08,flood,NDMA-6245-44,IN-POLY-00000541,0,0,9,4124793,3290154,1804611,0,50650,19936,3.1,141,1.05,105,0.3,state_relief_note
2015-04-08,2015-04-12,landslide,NDMA-4383-28,IN-POLY-00000542,1,0,9,4708265,1226219,974511,0,236192,22690,5.6,82,2.43,117,5.0,ndma_sitrep
2023-04-10,2023-04-16,cyclone,NDMA-3488-35,IN-POLY-00000543,2,1,8,997460,793181,407369,0,89918,496,5.8,96,1.57,108,0.2,media_digest
2014-07-28,2014-08-16,cyclone,NDMA-6426-46,IN-POLY-00000544,1,1,7,5169723,336402,648215,0,142953,4457,6.2,69,1.86,114,0.8,ndma_sitrep
2017-11-04,2017-11-13,drought,NDMA-1950-67,IN-POLY-00000545,0,0,18,328595,389742,80415,0,102458,6239,5.4,57,1.01,93,0.4,impact_brief_b
2011-05-10,2011-05-20,drought,NDMA-2723-74,IN-POLY-00000546,1,0,6,1723216,14687843,314214,1,35754,2130,3.6,90,3.1,101,12.4,impact_brief_a
2023-04-20,2023-05-03,flood,NDMA-9116-69,IN-POLY-00000547,2,1,14,1623802,181335,532873,0,62941,12738,5.0,62,3.46,127,3.7,impact_brief_a
2013-10-08,2013-10-24,drought,NDMA-4361-47,IN-POLY-00000548,0,2,14,105313,1242052,40240,0,182722,4799,7.3,68,0.84,108,2.0,impact_brief_a
2023-10-05,2023-10-17,flood,NDMA-1040-22,IN-POLY-00000549,2,1,10,3377781,814227,173749,1,339741,15712,5.7,100,1.81,116,2.3,media_digest
2011-10-06,2011-10-24,flood,NDMA-8686-10,IN-POLY-00000550,1,0,7,1503092,1548165,98394,0,436875,7108,0.0,106,3.57,102,1.3,rapid_assessment
2017-04-01,2017-04-09,heatwave,NDMA-9545-88,IN-POLY-00000551,2,2,11,9229364,620080,2570030,0,22357,8617,4.7,111,2.1,111,0.2,rapid_assessment
2018-04-11,2018-04-13,drought,NDMA-8032-11,IN-POLY-00000552,0,1,8,1514701,106967,397038,0,6083,8666,5.0,74,3.11,101,0.8,state_relief_note
2016-08-16,2016-08-17,landslide,NDMA-5505-48,IN-POLY-00000553,0,0,7,6667371,33464,1871472,0,37681,4256,5.2,154,0.18,107,0.6,state_relief_note
2019-11-26,2019-12-01,drought,NDMA-4992-19,IN-POLY-00000554,3,0,18,2876412,407579,251956,0,103831,9542,3.5,101,2.52,126,8.5,impact_brief_b
2013-05-20,2013-05-29,heatwave,NDMA-1073-83,IN-POLY-00000555,0,1,13,4065240,916471,784866,0,41839,8106,4.6,0,0.34,105,1.3,impact_brief_b
2020-02-05,2020-02-20,flood,NDMA-9741-44,IN-POLY-00000556,3,0,16,11242576,1854322,624689,0,55291,1559,4.6,123,3.19,99,4.4,ndma_sitrep
2022-04-27,2022-05-07,drought,NDMA-3970-81,IN-POLY-00000557,1,1,21,659072,1057343,280815,0,302283,34531,4.1,106,5.0,100,4.4,media_digest
2017-07-03,2017-07-19,cloudburst,NDMA-6960-83,IN-POLY-00000558,4,2,13,2101394,210474,361960,0,61239,2180,3.6,58,2.65,102,0.9,state_relief_note
2017-10-01,2017-10-13,landslide,NDMA-8188-98,IN-POLY-00000559,0,0,17,5389051,15819189,503853,0,8110,3505,8.8,97,3.6,107,2.1,rapid_assessment
2019-08-27,2019-09-14,heatwave,NDMA-1222-75,IN-POLY-00000560,1,2,12,59719745,738086,19160863,0,204863,6430,6.6,63,1.23,95,2.6,rapid_assessment
2019-07-20,2019-08-03,heatwave,NDMA-7839-67,IN-POLY-00000561,1,1,19,3031503,4224690,321352,0,126642,9742,3.4,104,1.03,113,0.3,rapid_assessment
2018-12-01,2018-12-05,cloudburst,NDMA-7162-39,IN-POLY-00000562,2,1,12,19993937,1039946,1328932,0,454922,24090,3.4,37,2.15,112,1.0,impact_brief_a
2025-04-15,2025-04-18,flood,NDMA-4664-38,IN-POLY-00000563,0,0,14,6204128,937063,1046312,0,43888,10187,6.0,104,3.48,85,0.1,state_relief_note
2025-05-20,2025-05-22,drought,NDMA-8496-28,IN-POLY-00000564,1,2,11,9752627,1439137,4064123,0,50624,23147,2.3,48,0.31,122,4.3,rapid_assessment
2020-04-25,2020-05-09,flood,NDMA-4201-27,IN-POLY-00000565,0,0,13,1033422,2655765,331352,0,126158,38969,6.4,10,1.44,99,7.4,media_digest
2018-08-11,2018-08-20,flood,NDMA-2729-36,IN-POLY-00000566,1,0,11,6232734,3086411,325127,0,171216,4473,3.4,92,1.63,82,3.2,impact_brief_a
2016-03-06,2016-03-26,flood,NDMA-1510-61,IN-POLY-00000567,2,0,8,1232649,1053563,526800,0,59865,9330,1.6,116,0.0,110,4.3,ndma_sitrep
2010-06-15,2010-06-28,flood,NDMA-7670-61,IN-POLY-00000568,0,0,14,5592920,560718,2271565,0,19670,5666,2.1,152,0.12,119,1.4,rapid_assessment
2025-11-21,2025-11-22,flood,NDMA-3879-56,IN-POLY-00000569,2,1,12,1286288,318452,157492,0,68421,6410,5.7,68,2.47,113,1.1,rapid_assessment
2015-10-05,2015-10-19,earthquake,NDMA-8245-10,IN-POLY-00000570,1,0,12,5480170,1423516,1387988,0,348262,4693,2.5,65,1.2,96,6.4,impact_brief_a
2022-04-03,2022-04-13,earthquake,NDMA-7404-44,IN-POLY-00000571,0,1,17,890461,755272,376492,1,37298,6132,5.8,151,2.5,121,0.4,state_relief_note
2018-05-07,2018-05-09,drought,NDMA-2645-85,IN-POLY-00000572,0,2,9,2722674,342629,853680,1,53836,19427,5.8,87,1.12,118,1.4,media_digest
2022-03-30,2022-04-13,landslide,NDMA-2916-47,IN-POLY-00000573,0,0,10,1148009,449564,60824,0,28263,2461,0.6,11,4.11,92,0.2,impact_brief_b
2020-06-21,2020-07-11,flood,NDMA-6340-29,IN-POLY-00000574,1,2,13,3330746,235001,373698,0,209249,7153,5.3,12,3.0,118,3.9,rapid_assessment
2011-02-09,2011-02-14,flood,NDMA-2393-57,IN-POLY-00000575,1,0,9,161430,1238269,8605,1,300546,3741,3.2,127,4.08,108,1.0,media_digest
2013-03-05,2013-03-24,drought,NDMA-8985-98,IN-POLY-00000576,0,1,18,789207,436540,270619,0,113521,10711,5.8,98,0.73,97,2.5,rapid_assessment
2018-03-22,2018-03-24,wildfire,NDMA-2866-38,IN-POLY-00000577,1,0,14,7218875,798151,2386922,0,13069,53509,2.6,89,4.05,121,4.2,rapid_assessment
