gov_contract_contract_award_date,gov_contract_contracting_office_code,gov_contract_naics_code_contract,gov_contract_psc_code,gov_contract_vendor_duns_hash,gov_contract_contract_vehicle_type,gov_contract_competition_type,gov_contract_contract_value_usd,gov_contract_ceiling_value_usd,gov_contract_obligated_amount_usd,gov_contract_period_of_performance_start,gov_contract_period_of_performance_end,gov_contract_small_business_set_aside,gov_contract_socioeconomic_category,gov_contract_subcontracting_plan_flag,gov_contract_labor_standards_clause_flag,gov_contract_buy_american_clause_flag,gov_contract_performance_based_flag,gov_contract_termination_for_default_flag,gov_contract_past_performance_score
2012-12-29,OFF004,541330,D399,DUNS000000364,SEALED_BID,8A,4557528120.61,10247341464.11,3585240422.02,2013-01-29,2018-08-17,8A,WOSB,0,1,1,0,0,47.09
2012-12-30,OFF003,611430,F999,DUNS000000365,GSA_SCHEDULE,FULL_OPEN,5050765410.44,25201002336.83,1781783161.77,2013-01-30,2018-11-13,NONE,SDB,1,0,1,0,0,66.1
2012-12-31,OFF002,237310,B510,DUNS000000366,IDIQ,OTHER,3918076575.7,15360581020.22,622656338.34,2013-01-31,2019-05-15,SB,WOSB,1,0,1,0,0,79.96
2013-01-01,OFF004,237310,A301,DUNS000000367,BPA,SMALL_BUSINESS,2664374014.69,10835732868.56,175179742.46,2013-02-01,2014-10-24,WOSB,8A,0,1,1,1,0,94.9
2013-01-02,OFF006,325412,S206,DUNS000000368,SEALED_BID,SMALL_BUSINESS,2179863891.45,12924186643.94,781867727.84,2013-02-02,2017-08-06,NONE,SDVOSB,0,0,1,1,0,46.84
2013-01-03,OFF005,611430,S206,DUNS000000369,BPA,HUBZONE,4658236786.33,10137869473.39,4057160595.01,2013-02-03,2014-11-25,NONE,HUBZONE,1,1,1,1,0,24.12
2013-01-04,OFF006,236220,D302,DUNS000000370,IDIQ,HUBZONE,32884764.51,89969893.1,23058971.61,2013-02-04,2021-11-28,SB,NONE,1,1,0,0,0,65.41
2013-01-05,OFF002,325412,C211,DUNS000000371,GSA_SCHEDULE,FULL_OPEN,4631443826.27,27559173245.84,3006276518.39,2013-02-05,2015-02-10,SDVOSB,SDVOSB,0,0,0,0,0,63.59
2013-01-06,OFF001,541330,F999,DUNS000000372,SEALED_BID,FULL_OPEN,5835554689.1,14290261670.25,2911912858.39,2013-02-06,2013-03-25,NONE,WOSB,0,0,1,0,0,86.77
2013-01-07,OFF006,541511,D302,DUNS000000373,IDIQ,SOLE_SOURCE,4383364959.76,21357271602.14,331193236.35,2013-02-07,2016-09-10,NONE,SDB,0,0,0,1,0,4.59
2013-01-08,OFF003,236220,F999,DUNS000000374,BPA,WOSB,5944916947.19,9176856354.03,2941292407.8,2013-02-08,2023-01-08,SB,NONE,1,0,1,1,0,76.78
2013-01-09,OFF004,334111,C211,DUNS000000375,GWAC,FULL_OPEN,4924206404.75,28077427214.69,3762734306.05,2013-02-09,2014-07-10,NONE,SDVOSB,1,1,1,1,0,47.07
2013-01-10,OFF002,541512,R408,DUNS000000376,OT,SMALL_BUSINESS,950066003.52,3160154215.89,245765660.8,2013-02-10,2017-02-10,NONE,NONE,1,1,0,0,0,82.88
2013-01-11,OFF001,325412,K016,DUNS000000377,IDIQ,WOSB,2238726199.57,13389021194.56,1821609609.35,2013-02-11,2014-01-05,SB,SDVOSB,0,1,0,0,0,48.91
2013-01-12,OFF004,611430,B510,DUNS000000378,SEALED_BID,8A,5686569056.85,31320243998.8,1982606400.68,2013-02-12,2018-01-01,SB,SDVOSB,0,1,1,0,0,14.26
2013-01-13,OFF004,561210,B510,DUNS000000379,BPA,WOSB,2351250115.01,13048245549.74,1113063310.88,2013-02-13,2017-11-20,NONE,NONE,1,1,1,0,0,95.78
2013-01-14,OFF001,541512,F999,DUNS000000380,GWAC,SMALL_BUSINESS,1068241148.02,3054577693.7,81924122.62,2013-02-14,2021-08-03,SDVOSB,NONE,0,1,0,0,1,60.1
2013-01-15,OFF003,561210,J015,DUNS000000381,SEALED_BID,SMALL_BUSINESS,2221344119.47,2546284715.19,1185920951.27,2013-02-15,2020-04-13,8A,NONE,1,1,1,0,0,62.57
2013-01-16,OFF004,334111,D302,DUNS000000382,SEALED_BID,SDVOSB,4337366667.76,10715109216.54,2468190464.63,2013-02-16,2019-10-26,NONE,8A,0,1,1,1,0,8.07
2013-01-17,OFF001,541519,S206,DUNS000000383,GSA_SCHEDULE,FULL_OPEN,4086268616.65,16804294225.84,537550513.76,2013-02-17,2016-04-02,SB,SDB,1,1,0,1,0,22.02
2013-01-18,OFF005,541330,D399,DUNS000000384,BPA,8A,443943176.21,1477091214.58,71577462.64,2013-02-18,2022-02-11,NONE,8A,0,1,0,1,0,2.38
2013-01-19,OFF002,334111,F999,DUNS000000385,OT,SOLE_SOURCE,1549356304.37,4616324718.4,1338172223.44,2013-02-19,2014-08-01,SB,NONE,0,1,1,0,0,1.12
2013-01-20,OFF005,611430,S206,DUNS000000386,BPA,FULL_OPEN,2543309965.73,5125630409.81,193748011.93,2013-02-20,2019-11-28,NONE,HUBZONE,0,1,0,1,0,35.35
2013-01-21,OFF003,237310,A301,DUNS000000387,IDIQ,SMALL_BUSINESS,1286266486.16,1650922863.94,265180483.33,2013-02-21,2017-08-22,NONE,WOSB,1,0,1,0,0,15.2
2013-01-22,OFF002,237310,F999,DUNS000000388,OTHER,FULL_OPEN,1032095705.92,3355035762.87,85363282.73,2013-02-22,2019-09-14,SB,SDVOSB,0,0,1,0,0,76.58
2013-01-23,OFF005,561210,J015,DUNS000000389,IDIQ,FULL_OPEN,5125317816.53,9651171827.78,1920611140.68,2013-02-23,2015-03-06,SB,NONE,0,1,1,0,0,44.02
2013-01-24,OFF002,325412,D302,DUNS000000390,OTHER,8A,3284011865.83,7444836174.26,2194510856.54,2013-02-24,2013-05-07,WOSB,8A,0,1,0,0,0,13.01
2013-01-25,OFF005,236220,S206,DUNS000000391,GSA_SCHEDULE,OTHER,432213822.2,1886747055.8,79409986.9,2013-02-25,2022-11-01,NONE,NONE,1,1,0,0,0,62.74
2013-01-26,OFF002,611430,A301,DUNS000000392,IDIQ,8A,1055078344.25,3567340361.43,495485485.98,2013-02-26,2021-12-27,SB,8A,0,1,1,0,0,18.37
2013-01-27,OFF005,236220,D302,DUNS000000393,OTHER,FULL_OPEN,2147098369.43,8285018198.16,923496178.09,2013-02-27,2015-05-07,SB,NONE,0,0,0,1,0,6.55
2013-01-28,OFF004,541519,S206,DUNS000000394,OTHER,8A,5515089680.25,20955855106.86,1807723343.31,2013-02-28,2016-11-15,NONE,WOSB,1,1,1,0,1,52.31
2013-01-29,OFF002,325412,J015,DUNS000000395,IDIQ,FULL_OPEN,5968280102.52,28609907925.26,5667915527.5,2013-03-01,2016-12-03,SB,NONE,0,1,1,1,0,8.2
2013-01-30,OFF006,541519,A301,DUNS000000396,IDIQ,FULL_OPEN,5120645879.83,21906798489.59,2023272781.92,2013-03-02,2014-06-30,NONE,WOSB,1,0,1,0,0,60.47
2013-01-31,OFF003,541512,R408,DUNS000000397,OT,HUBZONE,600228806.05,948786413.82,405571171.17,2013-03-03,2013-07-26,HUBZONE,8A,1,1,0,1,0,42.79
2013-02-01,OFF005,334111,D399,DUNS000000398,IDIQ,FULL_OPEN,2687008574.43,14683325480.89,1739549522.27,2013-03-04,2021-04-11,HUBZONE,NONE,1,1,0,0,0,50.13
2013-02-02,OFF001,541511,D302,DUNS000000399,GSA_SCHEDULE,FULL_OPEN,5170397968.3,21992244935.25,5049165523.45,2013-03-05,2019-01-27,SB,SDVOSB,0,1,1,1,0,18.88
2013-02-03,OFF003,611430,S206,DUNS000000400,BPA,HUBZONE,5553718381.7,7285844140.18,2477684084.92,2013-03-06,2023-02-18,SB,SDB,1,0,0,0,0,17.51
2013-02-04,OFF003,541512,K016,DUNS000000401,SEALED_BID,OTHER,3366890795.4,19020733436.09,2292613842.98,2013-03-07,2016-08-10,SB,NONE,1,0,1,1,0,19.91
2013-02-05,OFF005,611430,D302,DUNS000000402,OT,WOSB,228244173.93,406408030.34,21993938.58,2013-03-08,2019-04-16,NONE,NONE,0,1,1,0,0,4.01
2013-02-06,OFF001,541512,B510,DUNS000000403,GSA_SCHEDULE,SMALL_BUSINESS,4762821928.79,21415926344.32,4456320711.51,2013-03-09,2016-12-07,SB,NONE,0,0,1,0,0,44.61
2013-02-07,OFF002,541519,C211,DUNS000000404,IDIQ,SMALL_BUSINESS,1935137366.48,7567806950.83,1614560125.73,2013-03-10,2016-08-29,SB,DBE,1,0,1,1,0,86.43
2013-02-08,OFF003,334111,D399,DUNS000000405,GWAC,FULL_OPEN,1417251720.36,2538434856.54,849280501.07,2013-03-11,2016-11-19,NONE,NONE,1,0,0,0,0,83.79
2013-02-09,OFF004,334111,D302,DUNS000000406,IDIQ,WOSB,3941984865.53,9726350764.77,3676192648.37,2013-03-12,2013-06-11,NONE,NONE,1,1,1,1,0,32.15
2013-02-10,OFF006,541330,F999,DUNS000000407,BPA,FULL_OPEN,4764552581.7,6331627241.45,3985050496.21,2013-03-13,2023-02-13,WOSB,SDVOSB,1,1,1,1,0,51.02
2013-02-11,OFF002,237310,C211,DUNS000000408,OTHER,FULL_OPEN,3272011908.72,5406540260.8,1967314714.16,2013-03-14,2015-04-09,SB,NONE,1,0,1,0,0,52.22
2013-02-12,OFF001,541519,F999,DUNS000000409,IDIQ,SMALL_BUSINESS,3841227543.93,14606882222.26,2504777222.71,2013-03-15,2014-02-02,SB,NONE,1,1,1,0,0,3.83
2013-02-13,OFF001,541519,R408,DUNS000000410,OT,FULL_OPEN,1617756211.93,2539071071.19,896076096.39,2013-03-16,2013-07-13,SB,SDB,1,1,1,1,0,55.27
2013-02-14,OFF006,541330,J015,DUNS000000411,IDIQ,FULL_OPEN,5409459994.39,16929252251.94,5270498836.64,2013-03-17,2016-06-29,NONE,HUBZONE,1,0,1,0,0,22.1
2013-02-15,OFF002,541512,D302,DUNS000000412,OTHER,HUBZONE,784261052.98,3902176139.66,597489383.12,2013-03-18,2016-12-05,NONE,DBE,0,0,0,0,0,34.16
2013-02-16,OFF001,325412,B510,DUNS000000413,OT,FULL_OPEN,5634141285.28,30177649162.55,4130770109.6,2013-03-19,2023-01-05,NONE,SDB,1,1,1,0,0,27.99
2013-02-17,OFF006,541330,C211,DUNS000000414,OTHER,HUBZONE,4421030338.01,5345005844.25,464397881.78,2013-03-20,2017-04-24,WOSB,SDVOSB,0,1,1,1,0,9.83
2013-02-18,OFF005,237310,D302,DUNS000000415,IDIQ,FULL_OPEN,3904149138.76,18472905160.35,3002346400.36,2013-03-21,2018-03-29,WOSB,8A,1,0,1,0,0,90.92
2013-02-19,OFF006,541512,D399,DUNS000000416,IDIQ,FULL_OPEN,4203498438.44,8188274842.19,3302723570.13,2013-03-22,2017-05-06,NONE,SDB,0,1,1,0,0,35.34
2013-02-20,OFF004,541512,D399,DUNS000000417,SEALED_BID,SOLE_SOURCE,4912374210.13,19398588971.14,622963267.03,2013-03-23,2014-11-24,SB,NONE,0,1,1,0,0,44.07
2013-02-21,OFF003,611430,F999,DUNS000000418,OT,OTHER,526375300.18,1589228685.96,514002620.2,2013-03-24,2018-06-04,SDVOSB,WOSB,0,1,0,0,0,76.73
2013-02-22,OFF004,325412,D399,DUNS000000419,SEALED_BID,SOLE_SOURCE,2136859858.84,6113436874.49,1656707117.87,2013-03-25,2017-12-01,SDVOSB,NONE,1,0,1,0,0,36.04
2013-02-23,OFF001,611430,C211,DUNS000000420,IDIQ,OTHER,3873358374.13,20761791847.15,3713536626.58,2013-03-26,2018-03-24,HUBZONE,NONE,0,1,0,0,0,74.26
2013-02-24,OFF005,541330,K016,DUNS000000421,OT,SMALL_BUSINESS,2363273931.44,14093871667.44,2180162534.82,2013-03-27,2022-01-17,HUBZONE,HUBZONE,1,1,1,1,0,43.77
2013-02-25,OFF004,541511,A301,DUNS000000422,SEALED_BID,SMALL_BUSINESS,4232027802.11,18749409167.07,1999562243.23,2013-03-28,2014-11-25,NONE,HUBZONE,1,1,1,0,0,49.46
2013-02-26,OFF002,611430,D399,DUNS000000423,SEALED_BID,SMALL_BUSINESS,2714764743.15,15524171539.81,1384977411.35,2013-03-29,2013-09-03,SB,NONE,1,1,1,1,0,68.9
2013-02-27,OFF004,325412,B510,DUNS000000424,OTHER,SMALL_BUSINESS,4534335551.83,6616102991.93,3932509990.23,2013-03-30,2021-03-31,SB,NONE,1,1,1,0,0,52.17
2013-02-28,OFF005,611430,A301,DUNS000000425,BPA,SOLE_SOURCE,5889582529.38,22950360510.97,3177527498.88,2013-03-31,2015-10-20,NONE,NONE,1,0,1,1,0,96.06
2013-03-01,OFF005,541519,R408,DUNS000000426,OTHER,SDVOSB,1752962675.12,7971025346.86,1274496764.82,2013-04-01,2013-09-25,SB,SDB,1,0,1,1,0,61.5
2013-03-02,OFF006,237310,C211,DUNS000000427,IDIQ,FULL_OPEN,1659128153.24,3840042448.23,341495315.81,2013-04-02,2020-02-22,WOSB,WOSB,1,1,1,0,0,28.86
2013-03-03,OFF006,237310,D399,DUNS000000428,GSA_SCHEDULE,FULL_OPEN,4935029661.07,27733129039.81,2342486161.16,2013-04-03,2020-07-03,8A,NONE,0,1,1,0,0,16.39
2013-03-04,OFF004,541511,R408,DUNS000000429,GSA_SCHEDULE,SMALL_BUSINESS,4670677358.38,11575045409.97,1498724344.55,2013-04-04,2019-12-25,WOSB,NONE,0,1,1,0,0,69.01
2013-03-05,OFF003,541511,K016,DUNS000000430,GSA_SCHEDULE,FULL_OPEN,1074425715.28,1631102058.47,355454864.62,2013-04-05,2022-09-02,NONE,8A,1,0,0,1,0,10.07
2013-03-06,OFF003,541330,S206,DUNS000000431,GSA_SCHEDULE,HUBZONE,1525029453.45,4427572819.26,978791697.74,2013-04-06,2017-07-12,NONE,NONE,0,1,1,0,1,84.86
2013-03-07,OFF002,541512,F999,DUNS000000432,BPA,SMALL_BUSINESS,4282835036.08,10772980263.2,3683503948.46,2013-04-07,2016-09-30,NONE,NONE,0,0,1,1,0,39.98
2013-03-08,OFF001,611430,B510,DUNS000000433,OT,SMALL_BUSINESS,5967902421.7,26202561872.66,1225716894.73,2013-04-08,2017-09-11,NONE,SDVOSB,0,1,1,1,0,95.92
2013-03-09,OFF001,541511,D399,DUNS000000434,BPA,SOLE_SOURCE,1371760963.26,4217334275.72,830181952.15,2013-04-09,2022-01-15,SDVOSB,SDVOSB,1,1,1,1,0,51.35
2013-03-10,OFF005,237310,R408,DUNS000000435,OT,SDVOSB,2459938998.73,12815232698.43,1828369839.67,2013-04-10,2022-07-17,8A,HUBZONE,0,1,1,0,0,39.98
2013-03-11,OFF003,236220,K016,DUNS000000436,OTHER,FULL_OPEN,4789148863.6,7467362527.25,4188544803.27,2013-04-11,2020-01-23,8A,SDVOSB,0,0,0,1,0,13.48
2013-03-12,OFF006,541330,A301,DUNS000000437,IDIQ,SOLE_SOURCE,5745410714.28,22883987919.18,4858848055.17,2013-04-12,2020-07-06,SB,HUBZONE,1,1,1,0,0,24.86
2013-03-13,OFF006,237310,A301,DUNS000000438,IDIQ,FULL_OPEN,4608596378.61,24154912895.12,1899653249.73,2013-04-13,2019-02-10,SB,NONE,0,0,1,0,0,15.41
2013-03-14,OFF005,541511,A301,DUNS000000439,IDIQ,8A,2835572977.44,15791616572.3,1629941791.76,2013-04-14,2020-03-08,SB,NONE,1,0,1,0,0,65.01
2013-03-15,OFF005,541512,S206,DUNS000000440,GWAC,OTHER,605508385.45,2611032774.92,119253990.95,2013-04-15,2013-06-16,NONE,WOSB,0,1,1,0,0,86.08
2013-03-16,OFF004,325412,D302,DUNS000000441,GWAC,FULL_OPEN,5334654438.48,23851464289.63,3076128320.98,2013-04-16,2018-02-05,WOSB,SDB,0,1,1,1,0,12.7
2013-03-17,OFF006,541330,D399,DUNS000000442,IDIQ,FULL_OPEN,4063633641.74,17276777653.0,2251966077.23,2013-04-17,2022-11-27,SDVOSB,HUBZONE,1,1,1,1,0,11.9
2013-03-18,OFF005,237310,J015,DUNS000000443,OT,SOLE_SOURCE,5268002111.84,12177877104.34,4621676500.82,2013-04-18,2021-12-16,SB,NONE,1,1,1,0,0,40.56
2013-03-19,OFF005,561210,F999,DUNS000000444,OTHER,FULL_OPEN,1486710094.17,6927895810.04,86043198.05,2013-04-19,2020-09-26,SB,WOSB,0,0,1,1,0,61.91
2013-03-20,OFF001,611430,R408,DUNS000000445,GWAC,HUBZONE,1189402406.91,6504048633.04,113343786.69,2013-04-20,2022-07-06,NONE,NONE,1,1,1,0,0,36.56
2013-03-21,OFF002,236220,D399,DUNS000000446,GWAC,SOLE_SOURCE,4425452386.87,9234864084.43,2599236527.93,2013-04-21,2020-03-04,8A,NONE,1,0,1,0,0,18.66
2013-03-22,OFF003,541512,S206,DUNS000000447,BPA,SMALL_BUSINESS,4003079744.98,22877047425.04,3421656492.18,2013-04-22,2022-06-08,HUBZONE,SDVOSB,0,1,1,1,0,67.23
2013-03-23,OFF003,541511,R408,DUNS000000448,SEALED_BID,FULL_OPEN,1808071843.73,7348421311.2,1088217213.99,2013-04-23,2018-06-16,NONE,WOSB,0,1,1,0,0,25.66
2013-03-24,OFF006,325412,C211,DUNS000000449,GSA_SCHEDULE,SMALL_BUSINESS,5841464425.86,30042688565.79,1814176833.87,2013-04-24,2016-07-06,WOSB,SDVOSB,0,1,0,0,0,3.4
2013-03-25,OFF005,236220,K016,DUNS000000450,GSA_SCHEDULE,FULL_OPEN,2402832367.43,3198253305.98,2031643974.39,2013-04-25,2021-11-21,NONE,DBE,1,0,0,1,0,74.8
2013-03-26,OFF004,541511,K016,DUNS000000451,BPA,FULL_OPEN,420809334.27,1381492042.06,148191729.17,2013-04-26,2016-04-20,SB,SDVOSB,0,1,0,0,0,56.9
2013-03-27,OFF006,325412,D302,DUNS000000452,GSA_SCHEDULE,HUBZONE,286648786.83,1042197614.29,69786700.58,2013-04-27,2014-11-21,HUBZONE,NONE,0,0,1,0,0,73.91
2013-03-28,OFF001,541512,K016,DUNS000000453,GWAC,8A,4905575881.52,18314487607.88,4154358467.35,2013-04-28,2022-04-16,SB,NONE,1,1,0,1,0,51.55
2013-03-29,OFF005,541330,J015,DUNS000000454,GSA_SCHEDULE,FULL_OPEN,5348196072.81,15071283354.06,5295523754.99,2013-04-29,2016-01-16,SB,8A,0,1,1,0,0,49.75
2013-03-30,OFF006,541511,F999,DUNS000000455,IDIQ,SMALL_BUSINESS,442682737.32,962772341.26,49668395.02,2013-04-30,2015-01-26,SDVOSB,SDB,1,1,1,1,0,13.5
2013-03-31,OFF005,325412,B510,DUNS000000456,OTHER,8A,3587438155.73,5050458875.0,920124118.09,2013-05-01,2019-04-21,NONE,WOSB,0,0,1,1,0,11.07
2013-04-01,OFF003,236220,D302,DUNS000000457,IDIQ,OTHER,1386706196.42,7791815753.42,223746668.54,2013-05-02,2021-08-01,NONE,8A,0,0,1,1,0,43.06
2013-04-02,OFF002,541519,F999,DUNS000000458,GWAC,SMALL_BUSINESS,1649405839.03,7243121674.66,344857855.77,2013-05-03,2019-02-28,8A,8A,1,1,1,1,0,2.19
2013-04-03,OFF002,541330,R408,DUNS000000459,IDIQ,WOSB,4781372967.92,12610179875.35,671694338.01,2013-05-04,2020-04-16,HUBZONE,SDVOSB,0,0,1,0,0,42.51
2013-04-04,OFF001,611430,D399,DUNS000000460,IDIQ,SMALL_BUSINESS,1779168610.81,9554943536.42,841357886.19,2013-05-05,2022-11-24,WOSB,NONE,0,0,0,1,0,14.99
2013-04-05,OFF005,561210,C211,DUNS000000461,OT,SMALL_BUSINESS,3711027821.91,10840658891.5,1817670939.98,2013-05-06,2015-04-10,WOSB,SDVOSB,1,0,1,1,0,92.77
2013-04-06,OFF003,334111,B510,DUNS000000462,IDIQ,FULL_OPEN,2348256162.32,6682833364.42,430306036.11,2013-05-07,2021-03-10,NONE,NONE,0,1,1,1,0,7.01
2013-04-07,OFF006,541330,J015,DUNS000000463,SEALED_BID,HUBZONE,967962264.39,3385933874.57,220206290.47,2013-05-08,2017-01-01,SB,WOSB,0,0,0,0,0,99.02
2013-04-08,OFF002,334111,D302,DUNS000000464,BPA,HUBZONE,4734469990.83,17576442001.55,3634878480.47,2013-05-09,2013-08-11,NONE,NONE,1,0,1,0,0,25.93
2013-04-09,OFF002,541511,B510,DUNS000000465,IDIQ,OTHER,2241872799.29,7488266339.0,438311802.25,2013-05-10,2017-11-16,NONE,NONE,1,1,1,0,0,44.05
2013-04-10,OFF002,334111,D302,DUNS000000466,IDIQ,FULL_OPEN,4554064617.78,5116152169.14,3952232967.89,2013-05-11,2020-08-21,NONE,NONE,0,1,1,0,0,40.52
2013-04-11,OFF005,334111,K016,DUNS000000467,GSA_SCHEDULE,8A,2679009476.81,13354762956.62,789043120.76,2013-05-12,2017-07-12,SB,SDVOSB,0,1,0,1,0,82.92
2013-04-12,OFF004,236220,K016,DUNS000000468,GSA_SCHEDULE,WOSB,5053236255.7,27090662144.46,4302056896.81,2013-05-13,2014-03-02,NONE,SDVOSB,1,1,1,0,0,58.76
2013-04-13,OFF005,611430,J015,DUNS000000469,SEALED_BID,SOLE_SOURCE,5005172136.78,23109940523.47,3381249353.82,2013-05-14,2017-05-27,WOSB,NONE,0,1,1,0,0,85.25
2013-04-14,OFF005,541512,K016,DUNS000000470,OTHER,SOLE_SOURCE,2052147874.21,5422654107.95,912413373.17,2013-05-15,2014-10-03,HUBZONE,NONE,0,1,0,0,0,80.67
2013-04-15,OFF006,541519,D302,DUNS000000471,BPA,FULL_OPEN,3381554934.16,17018498595.52,261788632.88,2013-05-16,2017-09-25,SB,SDB,1,0,1,1,0,22.85
2013-04-16,OFF003,611430,A301,DUNS000000472,IDIQ,FULL_OPEN,1166941965.89,3813378681.43,799142979.68,2013-05-17,2022-10-23,HUBZONE,NONE,0,0,1,0,1,18.4
2013-04-17,OFF004,561210,D399,DUNS000000473,OT,FULL_OPEN,5956631634.17,20805855567.45,3672933515.69,2013-05-18,2020-08-19,NONE,SDB,0,0,1,0,0,58.46
2013-04-18,OFF005,561210,D302,DUNS000000474,OTHER,SMALL_BUSINESS,141418340.01,168573800.42,98330320.96,2013-05-19,2019-04-27,SB,NONE,0,0,1,0,0,76.31
2013-04-19,OFF001,611430,C211,DUNS000000475,OT,SOLE_SOURCE,4687410060.98,7976813430.61,2755881807.08,2013-05-20,2021-06-23,SB,WOSB,1,1,0,0,0,43.93
2013-04-20,OFF002,611430,B510,DUNS000000476,OT,FULL_OPEN,3248016515.59,3670097557.82,1901982748.21,2013-05-21,2022-03-29,NONE,SDB,0,1,1,1,0,64.53
2013-04-21,OFF004,541330,B510,DUNS000000477,GSA_SCHEDULE,SMALL_BUSINESS,5006758685.8,8487071648.72,4854033339.56,2013-05-22,2013-07-09,NONE,DBE,1,0,1,0,0,12.37
2013-04-22,OFF003,611430,R408,DUNS000000478,IDIQ,FULL_OPEN,5023646458.31,18696865939.47,4692893270.4,2013-05-23,2017-09-01,WOSB,WOSB,0,1,1,1,0,9.03
2013-04-23,OFF006,611430,F999,DUNS000000479,GSA_SCHEDULE,HUBZONE,958640428.18,4784750480.79,669431635.38,2013-05-24,2014-08-07,SB,HUBZONE,1,1,0,0,0,89.04
2013-04-24,OFF004,325412,K016,DUNS000000480,IDIQ,HUBZONE,4324012353.14,19906641782.56,489102500.85,2013-05-25,2014-07-03,SB,NONE,0,1,1,1,0,3.45
2013-04-25,OFF005,237310,D302,DUNS000000481,GWAC,FULL_OPEN,1697503434.3,7935106985.46,400196884.43,2013-05-26,2022-03-12,NONE,NONE,1,1,0,0,0,56.84
2013-04-26,OFF005,325412,C211,DUNS000000482,GSA_SCHEDULE,8A,5375724720.54,25762501386.51,409027087.39,2013-05-27,2014-09-27,8A,NONE,0,1,1,0,0,15.27
2013-04-27,OFF003,236220,K016,DUNS000000483,GSA_SCHEDULE,FULL_OPEN,5510545541.13,13807929640.93,3877695461.64,2013-05-28,2019-11-23,NONE,SDB,1,1,1,0,0,58.78
2013-04-28,OFF002,236220,C211,DUNS000000484,GSA_SCHEDULE,8A,1971392793.24,5503623737.19,1504206408.78,2013-05-29,2015-03-21,SB,NONE,1,0,0,0,0,88.72
2013-04-29,OFF003,611430,R408,DUNS000000485,IDIQ,8A,131184088.82,530189669.75,131051598.12,2013-05-30,2015-09-10,WOSB,8A,1,1,1,1,0,47.89
2013-04-30,OFF006,334111,B510,DUNS000000486,BPA,FULL_OPEN,3800003005.21,12945543059.36,3252014566.12,2013-05-31,2018-10-25,SDVOSB,NONE,1,0,1,1,0,12.51
2013-05-01,OFF001,236220,C211,DUNS000000487,GSA_SCHEDULE,SDVOSB,2407369232.3,10458149936.26,284576497.34,2013-06-01,2016-06-05,HUBZONE,WOSB,0,1,0,1,0,96.98
2013-05-02,OFF003,541519,D302,DUNS000000488,GSA_SCHEDULE,SMALL_BUSINESS,1354498668.28,3833614944.2,163077545.04,2013-06-02,2018-07-14,NONE,SDVOSB,0,1,1,0,0,81.0
2013-05-03,OFF003,237310,K016,DUNS000000489,GWAC,FULL_OPEN,3393184550.44,14972382848.34,2043547351.15,2013-06-03,2016-10-29,8A,NONE,1,0,1,0,0,36.54
2013-05-04,OFF002,334111,D302,DUNS000000490,GSA_SCHEDULE,FULL_OPEN,65238788.68,306567254.64,6598558.88,2013-06-04,2021-05-28,SB,SDB,1,0,1,1,0,1.25
2013-05-05,OFF003,561210,S206,DUNS000000491,SEALED_BID,FULL_OPEN,1482848323.44,5133134115.73,553148954.49,2013-06-05,2016-07-06,8A,SDVOSB,1,0,1,0,0,99.66
2013-05-06,OFF004,237310,K016,DUNS000000492,SEALED_BID,OTHER,5112505373.02,17692012727.96,4775442840.4,2013-06-06,2021-06-24,SB,HUBZONE,0,0,1,0,0,60.17
2013-05-07,OFF001,541519,R408,DUNS000000493,IDIQ,SMALL_BUSINESS,1209169098.09,2546206351.65,955310105.36,2013-06-07,2015-09-01,SB,NONE,1,1,1,1,0,66.06
2013-05-08,OFF002,611430,D302,DUNS000000494,GSA_SCHEDULE,FULL_OPEN,4018919065.67,19291253083.42,532918708.31,2013-06-08,2020-02-22,NONE,NONE,1,1,0,0,0,15.07
2013-05-09,OFF003,334111,R408,DUNS000000495,SEALED_BID,SOLE_SOURCE,3525204930.32,11481935545.88,1925353252.35,2013-06-09,2018-05-18,SB,HUBZONE,0,0,1,1,0,87.24
2013-05-10,OFF001,561210,R408,DUNS000000496,OT,8A,5210745913.22,16022481610.04,582933537.65,2013-06-10,2017-04-07,8A,HUBZONE,1,1,0,0,0,3.94
2013-05-11,OFF004,541330,S206,DUNS000000497,IDIQ,OTHER,792973156.01,989371432.61,536275280.49,2013-06-11,2014-04-21,SDVOSB,NONE,1,0,1,0,0,67.9
2013-05-12,OFF002,236220,B510,DUNS000000498,OT,FULL_OPEN,1975877123.74,5357239656.28,636546709.05,2013-06-12,2014-07-07,HUBZONE,SDVOSB,1,1,1,0,0,9.2
2013-05-13,OFF003,541519,A301,DUNS000000499,GWAC,SDVOSB,4964458788.04,10803451479.01,3673779122.97,2013-06-13,2021-06-27,NONE,DBE,0,1,1,0,0,84.43
2013-05-14,OFF003,561210,F999,DUNS000000500,IDIQ,SMALL_BUSINESS,4821595632.44,14365155127.96,4506187482.64,2013-06-14,2014-09-29,NONE,NONE,0,1,1,1,0,26.72
2013-05-15,OFF001,237310,J015,DUNS000000501,GSA_SCHEDULE,SOLE_SOURCE,3148118306.04,9885567587.49,1521911224.96,2013-06-15,2020-06-24,NONE,8A,0,1,0,1,0,12.42
2013-05-16,OFF004,611430,D399,DUNS000000502,IDIQ,WOSB,16083378.98,92889764.93,5477881.77,2013-06-16,2018-05-26,WOSB,NONE,1,1,0,1,0,45.71
