tax_incent_incentive_fiscal_year,tax_incent_incentive_program_id,tax_incent_incentive_type_code,tax_incent_eligible_industry_nic,tax_incent_eligible_activity_code,tax_incent_applications_received,tax_incent_applications_approved,tax_incent_credits_authorized_inr,tax_incent_credits_claimed_inr,tax_incent_beneficiaries_count,tax_incent_jobs_promised_count,tax_incent_jobs_created_verified,tax_incent_capital_investment_promised,tax_incent_capital_investment_verified,tax_incent_clawback_trigger_flag,tax_incent_recapture_amount_inr,tax_incent_performance_reporting_compliance,tax_incent_cost_per_job_estimate,tax_incent_equity_targeting_flag,tax_incent_sunset_date_program
2020,INC-7067,INTEREST_SUBVENTION,61,R_AND_D,2613,1824,280753309,228820677,1762,64,38,2601825507,679353474,0,0,83.92,7388244.97,0,2030-03-26
2020,INC-1522,TAX_HOLIDAY,96,SKILL_DEV,3959,1960,142542483,113598545,2297,928,133,13086367254,11229796593,0,0,66.77,1071747.99,0,2027-02-20
2024,INC-8892,INTEREST_SUBVENTION,88,R_AND_D,3652,2734,466997506,285715090,4378,867,255,19008682382,10214556006,0,0,65.63,1831362.77,1,2026-02-25
2018,INC-7617,TAX_HOLIDAY,50,GREEN_TECH,2492,852,96289412,34850358,2197,3077,485,5201173507,5105655874,0,0,68.01,198534.87,0,2027-09-07
2025,INC-2884,CAPEX_SUBSIDY,22,MANUF_UPGRADE,1002,422,447484950,391557703,3089,6427,3538,7284380364,4993821776,0,0,89.74,126479.64,1,2027-06-12
2025,INC-5267,CAPEX_SUBSIDY,20,EXPORT_PROMOTE,1086,318,82883073,61263242,4776,2943,592,7718923358,3798757741,0,0,97.33,140005.19,1,2026-12-13
2024,INC-1294,EXPORT_REBATE,21,SKILL_DEV,2941,2012,98219681,71664912,580,4028,793,3202261940,1581429108,0,0,68.36,123858.36,0,2032-10-05
2021,INC-9546,CAPEX_SUBSIDY,71,GREEN_TECH,1849,784,208188638,102540976,3303,4858,2738,16534526488,16501267379,0,0,64.8,76036.76,0,2032-11-30
2023,INC-1509,EXPORT_REBATE,41,MANUF_UPGRADE,2859,1266,221330727,119431651,76,5756,2217,14474313354,12903336557,0,0,97.96,99833.44,1,2031-01-09
2024,INC-2418,GST_REFUND,68,GREEN_TECH,3352,2031,488030320,435181043,1549,6224,991,7177274585,3033850184,0,0,91.77,492462.48,0,2032-08-17
2023,INC-6164,CAPEX_SUBSIDY,33,GREEN_TECH,2113,1713,240001409,231804677,647,1396,887,11674010481,9968318602,0,0,91.48,270576.56,0,2029-07-15
2025,INC-4446,TAX_HOLIDAY,39,R_AND_D,1595,1429,155315438,84897024,4334,3835,3050,15541670612,12315066767,0,0,84.74,50923.09,0,2031-04-14
2019,INC-9484,EXPORT_REBATE,76,EXPORT_PROMOTE,4347,3550,275165385,263505403,2219,5097,4155,5290523167,3738650181,0,0,87.96,66225.12,1,2032-12-01
2021,INC-3450,INTEREST_SUBVENTION,93,MSME_FORMALIZE,4215,2559,13158874,8257421,4122,3253,891,12110276907,7183597656,0,0,72.86,14768.66,1,2031-04-11
2021,INC-7538,GST_REFUND,78,GREEN_TECH,3710,3353,117525484,46640927,3852,2869,501,15865213665,7621494258,0,0,70.65,234581.8,0,2027-12-22
2022,INC-1618,INTEREST_SUBVENTION,56,SKILL_DEV,192,103,139678145,107394526,1305,7106,1602,19857940077,10081144407,0,0,81.25,87189.85,1,2033-01-10
2019,INC-4101,INTEREST_SUBVENTION,40,EXPORT_PROMOTE,4870,2152,269893507,152995121,1626,5388,4254,18043961910,6044592390,0,0,96.5,63444.64,0,2026-08-08
2019,INC-6751,INTEREST_SUBVENTION,34,EXPORT_PROMOTE,4157,1702,165762623,60546382,3558,4360,2093,10969822640,9245660542,0,0,65.02,79198.58,1,2030-06-14
2024,INC-4630,INTEREST_SUBVENTION,48,MSME_FORMALIZE,925,375,115194382,61276000,514,5879,2921,912104416,557108717,1,17368064,78.77,39436.63,0,2032-11-15
2021,INC-1269,CAPEX_SUBSIDY,62,SKILL_DEV,3501,3273,34636530,15776642,2891,2204,1668,16696980781,9699703252,0,0,79.69,20765.31,1,2026-02-18
2024,INC-0196,EXPORT_REBATE,66,MSME_FORMALIZE,2731,2229,277009426,220332248,452,4871,2979,19289150412,6523092303,1,42127708,74.15,92987.39,0,2028-10-13
2024,INC-4882,EXPORT_REBATE,31,MSME_FORMALIZE,2745,866,302554137,268096005,1866,6482,1717,374266600,311243109,0,0,84.92,176210.91,0,2032-10-08
2024,INC-3299,EXPORT_REBATE,24,R_AND_D,831,594,373782362,349403834,2349,181,160,8560617410,5994642749,0,0,85.03,2336139.76,1,2026-04-12
2018,INC-5301,CAPEX_SUBSIDY,11,GREEN_TECH,3554,1378,179022626,127600409,2188,2075,787,3612721041,3376009220,0,0,67.27,227474.75,0,2027-03-27
2022,INC-3530,TAX_HOLIDAY,61,MSME_FORMALIZE,4057,1356,490981967,277384840,2557,6460,1923,15695460971,8466004387,0,0,94.73,255320.84,1,2028-04-14
2024,INC-0625,EXPORT_REBATE,38,GREEN_TECH,4986,3199,432219998,293130374,3019,6964,5866,4350368078,3944179003,0,0,61.63,73682.24,0,2027-03-10
2021,INC-2896,TAX_HOLIDAY,59,MSME_FORMALIZE,1846,763,243621489,131426275,4775,2975,2363,9339028508,3276305525,0,0,63.37,103098.39,0,2031-10-28
2023,INC-5216,CAPEX_SUBSIDY,59,MANUF_UPGRADE,2981,2407,129308046,80778834,4511,5246,1931,12060858941,7214649238,0,0,71.66,66964.29,0,2032-11-29
2019,INC-4407,GST_REFUND,24,GREEN_TECH,3433,845,218990219,212361648,4769,5046,3608,19636026349,5296365180,0,0,68.03,60695.74,1,2029-11-23
2025,INC-6501,INTEREST_SUBVENTION,33,R_AND_D,465,266,345168305,312606467,3281,450,291,17892472101,13984789058,0,0,65.85,1186145.38,0,2033-08-20
2019,INC-8014,EXPORT_REBATE,39,GREEN_TECH,136,104,116420136,65036323,4240,2666,379,9065687864,4735820477,0,0,81.93,307177.14,0,2028-01-26
2025,INC-9672,INTEREST_SUBVENTION,65,SKILL_DEV,2475,1459,442631109,164051653,4752,6193,2915,11666911844,7785331981,0,0,80.09,151846.01,0,2026-10-02
2018,INC-4294,GST_REFUND,98,R_AND_D,767,633,422601392,204190982,767,6508,3178,1640291651,845997951,0,0,93.36,132977.15,0,2030-05-07
2022,INC-3506,CAPEX_SUBSIDY,82,MSME_FORMALIZE,2757,786,270158444,218756456,3057,3296,1911,802654843,489188943,0,0,82.31,141370.2,0,2027-11-01
2019,INC-5113,INTEREST_SUBVENTION,38,EXPORT_PROMOTE,1102,409,414018732,158922425,4858,6582,4551,2197725619,905336849,0,0,93.87,90973.13,0,2026-12-09
2020,INC-6017,GST_REFUND,76,MANUF_UPGRADE,4932,1034,219368126,133653457,3888,966,239,14982620649,7600547405,0,0,98.58,917858.27,0,2032-02-18
2020,INC-0293,EXPORT_REBATE,52,GREEN_TECH,3799,3207,359292760,217843138,1391,778,422,17690027121,13444717935,0,0,66.86,851404.64,0,2032-02-20
2023,INC-2279,EXPORT_REBATE,33,SKILL_DEV,3435,1481,410583816,298381578,3802,3696,724,12391322074,5740916518,0,0,75.6,567104.72,0,2030-12-12
2018,INC-4150,INTEREST_SUBVENTION,30,R_AND_D,596,478,37795626,24277139,53,688,425,7894049791,7396443059,0,0,60.57,88930.88,0,2026-03-05
2018,INC-8914,CAPEX_SUBSIDY,10,EXPORT_PROMOTE,1465,444,216079051,92210457,4410,4357,2407,8932750244,6919576045,0,0,90.76,89771.11,0,2030-12-10
2023,INC-7635,TAX_HOLIDAY,79,R_AND_D,4443,2310,98534051,37033726,1636,5434,1902,19527705305,7958914647,0,0,98.17,51805.49,0,2028-08-04
2022,INC-2837,GST_REFUND,60,SKILL_DEV,2856,1235,225988828,126170956,1546,6503,3417,11304636127,11081683343,0,0,70.7,66136.62,0,2027-06-25
2020,INC-5957,GST_REFUND,59,SKILL_DEV,2894,1907,477158517,343640836,3282,5856,4513,13504932045,13159592056,0,0,93.53,105729.78,0,2028-04-23
2020,INC-1517,EXPORT_REBATE,17,R_AND_D,1910,1613,182828021,169293680,1705,6333,2551,6490292995,3630839840,0,0,98.5,71669.16,1,2026-05-29
2025,INC-3175,GST_REFUND,51,SKILL_DEV,516,337,311245587,242051139,3745,7151,2821,1790731206,782434855,0,0,78.4,110331.65,0,2027-08-20
2018,INC-3634,GST_REFUND,49,SKILL_DEV,1157,1088,385273108,347252935,2380,2738,1859,17807871097,13221952264,0,0,69.19,207247.5,1,2027-07-29
2023,INC-5985,CAPEX_SUBSIDY,48,MSME_FORMALIZE,4228,1533,381210196,189876375,4219,3386,1063,8773450819,6188394431,0,0,88.01,358617.31,0,2032-04-06
2020,INC-8309,TAX_HOLIDAY,60,GREEN_TECH,4834,3022,34034137,16250144,2390,5674,3526,2097960433,2001994454,0,0,77.53,9652.34,0,2027-09-16
2018,INC-4257,EXPORT_REBATE,93,GREEN_TECH,2391,900,182846111,136966224,2254,5709,777,4396106589,2447508672,0,0,95.61,235323.18,0,2033-12-18
2021,INC-9190,INTEREST_SUBVENTION,37,R_AND_D,3714,1057,28818890,11136745,3509,4160,3156,454922910,363889903,0,0,74.26,9131.46,0,2032-11-27
2018,INC-6893,TAX_HOLIDAY,40,SKILL_DEV,1721,897,84998597,80654319,226,4371,4206,806995834,716777812,0,0,78.99,20208.89,0,2033-12-03
2023,INC-7439,EXPORT_REBATE,86,MSME_FORMALIZE,2520,840,144025755,125715470,961,7613,2622,6404295966,4923110855,0,0,76.44,54929.73,0,2029-03-19
2025,INC-9047,CAPEX_SUBSIDY,62,GREEN_TECH,2934,1627,13146371,9492981,2328,7963,4384,12781204071,7186080234,0,0,92.29,2998.72,0,2033-06-24
2022,INC-9829,INTEREST_SUBVENTION,77,SKILL_DEV,130,47,222452892,150842388,967,7894,1412,7049064,5748091,0,0,93.13,157544.54,0,2028-01-24
2019,INC-5854,GST_REFUND,16,R_AND_D,173,87,87290105,51310844,4595,4946,1027,8450443322,8341919195,0,0,80.05,84995.23,0,2029-02-25
2019,INC-1409,INTEREST_SUBVENTION,45,MSME_FORMALIZE,3631,1840,418142788,224003084,831,2538,1274,9925887134,4609372651,0,0,78.96,328212.55,0,2033-11-24
2024,INC-8468,TAX_HOLIDAY,33,EXPORT_PROMOTE,3256,1190,196007249,105491925,4522,1213,297,18128396416,14445954117,0,0,97.4,659957.07,0,2028-08-13
2018,INC-9868,CAPEX_SUBSIDY,35,MSME_FORMALIZE,20,10,210652973,133754960,3286,579,491,4437535985,3459480738,0,0,60.36,429028.46,0,2030-10-19
2023,INC-4866,INTEREST_SUBVENTION,87,SKILL_DEV,4614,4274,56215361,32874625,579,6550,6520,5756851227,3025942989,0,0,74.87,8621.99,1,2026-11-02
2022,INC-0278,EXPORT_REBATE,84,SKILL_DEV,4968,2932,405264401,273930138,928,573,429,14043817348,5259120003,0,0,85.81,944672.26,0,2030-09-29
2021,INC-9795,INTEREST_SUBVENTION,90,R_AND_D,3293,1184,240890083,134267145,1669,4241,3209,14225574020,8601485431,0,0,88.17,75067.02,0,2027-06-15
2020,INC-5830,CAPEX_SUBSIDY,97,R_AND_D,771,239,499504948,475669574,3110,2462,2113,9712544826,6780148570,0,0,87.93,236396.09,0,2033-11-16
2022,INC-4671,EXPORT_REBATE,63,MSME_FORMALIZE,2052,1655,301353300,162782837,3807,6781,2624,1357668944,658176557,0,0,98.87,114845.01,0,2032-06-09
2023,INC-7661,EXPORT_REBATE,58,MSME_FORMALIZE,416,102,86503843,44785816,4348,4288,4092,12181476796,7572292495,1,12259094,78.46,21139.75,0,2026-08-07
2024,INC-1852,EXPORT_REBATE,63,R_AND_D,96,27,460568400,365042096,2103,2812,530,17448396344,11476168420,0,0,79.71,868996.98,0,2030-05-11
2018,INC-3533,INTEREST_SUBVENTION,90,EXPORT_PROMOTE,25,6,331920617,136022934,2898,5572,3540,105336378,75248727,0,0,83.02,93762.89,0,2027-10-28
2021,INC-6584,INTEREST_SUBVENTION,98,MSME_FORMALIZE,2350,1006,137834569,115788452,4526,5487,2816,19058213530,14125059775,0,0,63.12,48946.94,1,2030-05-29
2024,INC-2798,GST_REFUND,19,SKILL_DEV,343,272,384837877,367879255,2322,7038,2778,7450524172,6659396139,0,0,72.19,138530.55,0,2028-10-04
2022,INC-9616,EXPORT_REBATE,97,MSME_FORMALIZE,2362,1714,143005594,86479891,3436,7774,6644,10514911228,2899518146,0,0,97.28,21524.02,1,2026-09-27
2022,INC-8238,GST_REFUND,25,R_AND_D,4045,3531,266422357,148258632,541,1711,408,70155399,47417743,0,0,69.02,652995.97,0,2029-03-06
2020,INC-3156,CAPEX_SUBSIDY,22,MSME_FORMALIZE,2952,1958,256057523,206091852,2022,2495,324,13347568498,6948148104,0,0,79.23,790301.0,0,2027-06-10
2020,INC-9704,CAPEX_SUBSIDY,71,MSME_FORMALIZE,3183,737,401888881,199298725,3299,6513,4144,18152932456,4720073352,0,0,75.79,96980.91,0,2026-06-27
2021,INC-3280,EXPORT_REBATE,76,R_AND_D,3756,1372,271895375,140023725,2303,1596,1467,3469197993,2174173327,0,0,92.6,185341.09,0,2031-02-04
2021,INC-2690,INTEREST_SUBVENTION,76,SKILL_DEV,2907,727,257719300,249206760,2253,824,648,2793002003,1363560045,0,0,64.41,397714.97,0,2032-10-11
2019,INC-7642,EXPORT_REBATE,89,GREEN_TECH,997,398,419633233,276050229,4815,3729,3048,7207661298,6762294542,0,0,68.95,137674.95,0,2031-01-24
2021,INC-7737,EXPORT_REBATE,27,EXPORT_PROMOTE,1951,1744,291990504,153190746,2442,460,286,19350018256,5648860571,0,0,99.51,1020945.82,1,2032-05-14
2024,INC-9604,GST_REFUND,40,MSME_FORMALIZE,3881,2097,329573229,162357609,1458,2343,1475,17402073526,5681193843,0,0,78.6,223439.48,0,2032-04-17
2021,INC-6018,EXPORT_REBATE,66,GREEN_TECH,39,11,59862268,48636834,2526,6204,4827,4398526001,4387575001,0,0,83.6,12401.55,0,2031-09-25
2020,INC-4165,EXPORT_REBATE,53,MANUF_UPGRADE,534,321,365761122,297072982,1112,2305,2059,14339388280,6111418614,0,0,65.31,177640.18,1,2026-07-20
2019,INC-4227,GST_REFUND,34,MANUF_UPGRADE,3159,1664,6314129,2804478,3326,2544,496,1734437499,538798816,0,0,62.94,12730.1,1,2032-12-05
2020,INC-6045,EXPORT_REBATE,29,EXPORT_PROMOTE,4564,4241,67990790,45743245,3444,7684,2075,2204052384,698104655,1,11716380,87.09,32766.65,0,2033-10-22
2020,INC-6043,EXPORT_REBATE,85,R_AND_D,136,109,491498677,475045297,4753,4832,3416,7497823656,3228289996,1,115852940,71.77,143881.35,1,2028-07-27
2021,INC-1128,GST_REFUND,73,EXPORT_PROMOTE,3442,2353,200171723,157526712,1297,3560,3533,17108216261,17058686235,0,0,76.62,56657.72,0,2029-01-20
2020,INC-1502,GST_REFUND,82,R_AND_D,3515,3217,400216080,343832964,1470,7415,6487,2634496812,814901169,0,0,70.61,61695.09,0,2026-06-18
2018,INC-4411,TAX_HOLIDAY,64,R_AND_D,4600,1826,8181822,5785025,1801,7199,5956,3124620868,2574145298,0,0,64.06,1373.71,1,2030-11-03
2023,INC-4894,INTEREST_SUBVENTION,97,GREEN_TECH,3115,1530,451222350,190077333,2471,2703,1031,16244928702,6133698220,0,0,78.2,437655.04,0,2029-12-16
2023,INC-5516,EXPORT_REBATE,37,R_AND_D,2183,1293,120890595,49768463,2665,4950,2717,403682542,163277210,0,0,92.64,44494.15,0,2033-12-20
2024,INC-8766,GST_REFUND,84,R_AND_D,3047,2709,256259961,196802051,1033,3595,1898,15798439278,7063429819,0,0,96.76,135015.79,0,2026-07-11
2019,INC-0254,EXPORT_REBATE,62,GREEN_TECH,3429,751,259791197,214277591,1600,4652,3079,13704232762,8502871409,0,0,77.24,84375.19,0,2028-08-09
2018,INC-1001,TAX_HOLIDAY,22,SKILL_DEV,1331,1240,310746140,273218640,4271,2536,1244,11109437714,2847121453,0,0,69.93,249795.93,0,2027-03-16
2022,INC-7903,GST_REFUND,11,EXPORT_PROMOTE,4233,2969,189637865,157257289,1263,3494,2209,9765580752,5207485028,0,0,98.01,85847.83,1,2028-02-15
2021,INC-2729,TAX_HOLIDAY,43,SKILL_DEV,621,400,430495255,421251394,75,3010,2711,8291970820,4218128480,1,165046757,82.35,158795.74,0,2032-06-28
2018,INC-6329,TAX_HOLIDAY,83,MANUF_UPGRADE,790,274,251807073,138756500,2611,1216,581,13273869800,6805241284,0,0,87.61,433402.88,0,2032-05-08
2018,INC-1749,GST_REFUND,83,GREEN_TECH,2802,1538,300751220,237959658,1224,5617,821,2121837314,1502374268,0,0,94.3,366323.05,0,2027-01-04
2025,INC-3779,CAPEX_SUBSIDY,34,R_AND_D,3941,1547,25825615,9683261,2202,4036,1383,5877895073,2852956282,0,0,83.87,18673.62,0,2033-07-08
2019,INC-5734,EXPORT_REBATE,46,R_AND_D,4142,2439,282172891,130600390,4777,6340,4628,8463324196,4134618303,0,0,99.95,60970.81,1,2028-02-24
2019,INC-9781,CAPEX_SUBSIDY,46,SKILL_DEV,4240,3192,433432470,184092508,2764,1493,1350,14830591668,7006729552,0,0,65.8,321061.09,0,2033-09-02
2022,INC-3383,EXPORT_REBATE,37,SKILL_DEV,4024,3419,230842652,123760028,1096,7281,2841,1990988743,831618029,0,0,98.31,81254.01,1,2030-06-12
2024,INC-2091,CAPEX_SUBSIDY,35,R_AND_D,4439,2244,95290670,60751693,2982,6396,668,19137860801,7987685805,0,0,62.93,142650.7,0,2026-11-30
2023,INC-1055,TAX_HOLIDAY,84,SKILL_DEV,361,86,230553518,126073848,4929,1978,1874,19681138209,8041732382,0,0,93.24,123027.49,0,2032-12-30
2018,INC-4075,INTEREST_SUBVENTION,41,EXPORT_PROMOTE,1399,938,42166028,32459274,2948,3769,3602,8409973242,3481666945,0,0,65.19,11706.28,0,2030-11-03
2024,INC-5792,INTEREST_SUBVENTION,85,MSME_FORMALIZE,44,19,435607411,164795557,1951,3862,3662,12196065489,9395087870,0,0,90.13,118953.42,0,2033-03-10
2018,INC-3756,GST_REFUND,77,MANUF_UPGRADE,164,138,477896594,435997746,2649,593,576,10403589648,4355636755,0,0,96.46,829681.59,0,2030-07-11
2019,INC-0211,CAPEX_SUBSIDY,89,MANUF_UPGRADE,2962,1879,60916701,54846313,1957,6421,5316,9652036289,9285441717,0,0,71.99,11459.12,0,2033-11-12
2020,INC-3914,EXPORT_REBATE,15,GREEN_TECH,1309,758,282554064,270064515,2330,605,506,3666865401,2632611038,1,68703453,87.84,558407.24,0,2028-04-06
2025,INC-3777,GST_REFUND,35,GREEN_TECH,4645,1307,172147321,160936501,3128,7885,2614,4507906502,4353502314,1,61178512,78.49,65855.9,0,2026-06-23
2022,INC-3580,TAX_HOLIDAY,50,MSME_FORMALIZE,3447,2318,233062811,224875556,4311,1218,1174,8863932834,4140486259,0,0,96.15,198520.28,0,2033-02-08
2023,INC-7371,GST_REFUND,27,R_AND_D,2586,672,256115449,166853084,4573,4280,3081,10118925701,6497422131,0,0,82.51,83127.38,1,2033-01-01
2021,INC-8627,CAPEX_SUBSIDY,96,GREEN_TECH,987,754,481669373,444511314,4944,3284,791,14921069058,14655399245,0,0,78.85,608937.26,1,2026-03-01
2022,INC-3988,GST_REFUND,68,R_AND_D,2785,1712,307165067,160112144,3663,3859,3253,3961351040,3513538470,0,0,83.2,94425.17,0,2029-02-08
2023,INC-5843,INTEREST_SUBVENTION,43,GREEN_TECH,2293,1678,199756976,131932005,4476,1254,268,17683540786,6212029662,0,0,66.56,745361.85,0,2030-11-02
2022,INC-5379,GST_REFUND,49,R_AND_D,4782,1576,238971654,105057352,2098,7029,4655,4659256022,2651209687,0,0,79.53,51336.55,0,2026-09-14
2018,INC-1910,GST_REFUND,51,EXPORT_PROMOTE,2111,1783,475619143,382071915,429,1263,331,1345062726,546096275,0,0,61.86,1436915.84,1,2027-08-04
2018,INC-0922,INTEREST_SUBVENTION,49,SKILL_DEV,2683,1879,357110334,329810390,2926,6475,4880,5476019211,4678796313,0,0,93.63,73178.35,1,2027-03-11
2022,INC-5458,TAX_HOLIDAY,32,GREEN_TECH,2773,1384,342067928,266084131,4399,4626,4621,18458415650,10721636700,0,0,76.56,74024.65,0,2030-07-01
2021,INC-1390,CAPEX_SUBSIDY,59,R_AND_D,165,49,493987764,316163912,790,4418,2237,8672730639,7813638014,0,0,73.61,220826.0,0,2032-04-16
2025,INC-9522,EXPORT_REBATE,15,MANUF_UPGRADE,27,15,403119028,383522228,2975,2905,1070,7884750066,6305901065,1,130898382,68.76,376746.76,1,2029-11-28
2021,INC-4673,GST_REFUND,13,EXPORT_PROMOTE,2492,793,425591337,197849915,2102,1181,781,1355987168,762875077,0,0,93.26,544931.29,0,2030-05-05
2021,INC-2912,GST_REFUND,15,MANUF_UPGRADE,3374,2205,44787112,43653455,1843,5056,3752,581950922,294553082,0,0,94.91,11936.86,1,2032-12-16
2025,INC-5044,INTEREST_SUBVENTION,98,SKILL_DEV,2796,1291,437526136,181419364,4238,7275,5667,3969508103,3808011427,0,0,68.33,77205.95,1,2030-02-03
2023,INC-1939,CAPEX_SUBSIDY,80,SKILL_DEV,3679,3274,213359418,121769342,2103,1674,500,7826107261,5656611104,1,33798500,95.21,426718.84,0,2033-10-13
2019,INC-7084,CAPEX_SUBSIDY,10,SKILL_DEV,3299,3032,28806154,12936861,3556,2726,719,18171373838,13195302407,0,0,79.67,40064.19,1,2028-08-21
2024,INC-0789,GST_REFUND,49,MANUF_UPGRADE,17,4,449935414,307793869,1561,2241,1788,8417397151,3761297919,1,69298900,78.29,251641.73,0,2027-01-30
2023,INC-3964,INTEREST_SUBVENTION,64,GREEN_TECH,4462,1786,169044821,105341364,1963,2091,1018,1617738288,1143819465,0,0,62.56,166055.82,0,2032-11-27
2023,INC-3634,CAPEX_SUBSIDY,24,EXPORT_PROMOTE,4418,1677,383643786,333347483,1372,4989,3679,19154165970,12921918964,0,0,99.61,104279.37,0,2032-11-16
2019,INC-5518,GST_REFUND,61,SKILL_DEV,3633,3097,222419168,166675540,4877,4679,3359,11499509773,4137045621,0,0,96.48,66215.89,0,2026-09-07
2021,INC-8136,GST_REFUND,69,GREEN_TECH,2602,1248,306400980,262817559,3844,911,623,15024431414,5286387597,0,0,95.62,491815.38,0,2027-09-14
2020,INC-4150,TAX_HOLIDAY,25,SKILL_DEV,94,42,44250390,20958111,936,1277,688,6672955049,4477656910,0,0,91.35,64317.43,0,2027-08-19
2019,INC-8636,TAX_HOLIDAY,83,SKILL_DEV,4197,3766,89872484,49980821,1537,192,48,3896043979,3385431449,0,0,82.43,1872343.42,1,2028-09-20
2018,INC-5234,TAX_HOLIDAY,48,MANUF_UPGRADE,2354,647,485035149,206449014,4786,7804,7765,3822490122,1901806840,0,0,72.89,62464.28,0,2029-03-14
2021,INC-2904,CAPEX_SUBSIDY,21,SKILL_DEV,3188,2523,6285611,2940405,573,597,368,1837358546,1188076284,0,0,84.11,17080.46,0,2026-05-03
2022,INC-9621,INTEREST_SUBVENTION,85,R_AND_D,2617,2193,223626670,103334538,2527,6345,4365,17397325215,9013795873,0,0,61.22,51231.77,0,2031-11-29
2018,INC-1673,INTEREST_SUBVENTION,64,SKILL_DEV,3775,1892,186029644,122983768,841,6817,5842,5843818276,3737674741,1,19620841,87.8,31843.49,1,2031-07-29
2020,INC-5354,GST_REFUND,79,MSME_FORMALIZE,1296,310,251699899,169328025,2599,1928,360,4104121516,3823542021,0,0,82.96,699166.39,0,2031-12-26
2022,INC-8623,GST_REFUND,25,EXPORT_PROMOTE,2763,2256,278105056,200293699,2335,75,19,17188212047,14945646328,0,0,65.55,14637108.21,1,2026-09-18
2021,INC-5249,INTEREST_SUBVENTION,59,EXPORT_PROMOTE,2261,739,468838146,234225988,3988,6189,3307,7226622290,6685018039,0,0,62.95,141771.44,1,2027-09-03
2025,INC-6171,TAX_HOLIDAY,20,EXPORT_PROMOTE,3678,2093,62413801,47063332,2321,4514,1517,5773770424,2512666386,0,0,85.16,41142.91,0,2028-01-09
2025,INC-0184,TAX_HOLIDAY,17,EXPORT_PROMOTE,3100,1507,355982503,300909994,2328,7828,2655,12240431771,8026000979,0,0,61.67,134080.04,0,2026-03-12
2020,INC-2265,GST_REFUND,66,SKILL_DEV,809,756,344918220,269951327,4539,4032,1045,6175212409,1796046995,0,0,76.98,330065.28,0,2029-12-12
2020,INC-2381,CAPEX_SUBSIDY,51,GREEN_TECH,1271,838,456767836,230029472,4039,391,250,12539339314,3585645184,0,0,75.09,1827071.34,1,2028-06-30
2020,INC-2352,EXPORT_REBATE,71,MANUF_UPGRADE,471,408,239345700,128807684,3086,7811,4942,14743522810,6083753391,0,0,80.86,48430.94,0,2030-07-09
2025,INC-7034,GST_REFUND,60,MANUF_UPGRADE,3041,2011,41351719,22379661,4043,969,853,15254912046,4286163742,0,0,80.0,48477.98,0,2028-04-21
2019,INC-4256,GST_REFUND,68,MANUF_UPGRADE,4281,2884,451209698,198263425,378,3740,2137,353203294,161076995,0,0,92.33,211141.65,0,2030-01-14
2022,INC-9904,TAX_HOLIDAY,44,MSME_FORMALIZE,1218,687,443090639,384230266,3368,1874,1369,5196592023,3606831505,0,0,88.32,323660.07,0,2031-06-24
2019,INC-5790,CAPEX_SUBSIDY,46,MSME_FORMALIZE,3374,1993,27432737,25990293,4766,3030,1449,16128870816,13720814410,0,0,75.26,18932.19,0,2026-03-14
2019,INC-0828,GST_REFUND,24,EXPORT_PROMOTE,704,442,154780011,63985984,1159,7839,3437,16044227366,4126499677,0,0,71.71,45033.46,1,2028-05-02
2018,INC-4625,TAX_HOLIDAY,14,SKILL_DEV,427,348,361244505,209974595,1830,4675,4121,19598434654,6121563404,0,0,68.6,87659.43,0,2026-07-26
2025,INC-6084,INTEREST_SUBVENTION,24,R_AND_D,2722,2216,205366272,175465190,4690,3164,3143,6742905591,2441454788,0,0,80.51,65340.84,0,2029-06-15
2024,INC-3913,TAX_HOLIDAY,44,EXPORT_PROMOTE,2365,1936,323444951,156431256,2189,7443,975,17142364503,15894597682,0,0,63.78,331738.41,0,2029-08-28
2020,INC-5086,CAPEX_SUBSIDY,15,MSME_FORMALIZE,606,415,337694504,210816908,1284,5751,3972,732927414,285880743,0,0,70.16,85018.76,1,2032-05-03
2022,INC-1663,INTEREST_SUBVENTION,38,MANUF_UPGRADE,1319,448,127318893,45621539,3355,696,228,14583994256,13448806441,0,0,85.9,558416.2,0,2033-07-26
2024,INC-3434,CAPEX_SUBSIDY,47,R_AND_D,3300,3056,330320356,322234636,2070,3841,1214,9534490240,8216910750,0,0,68.35,272092.55,0,2030-01-22
2024,INC-0873,CAPEX_SUBSIDY,63,MSME_FORMALIZE,2480,1080,77510509,43465072,3755,109,74,18594637170,8826461857,0,0,75.48,1047439.31,1,2027-10-01
2023,INC-6328,GST_REFUND,73,MSME_FORMALIZE,3619,3180,122709194,86136351,4175,3727,709,12375244250,9591494847,0,0,78.23,173073.62,0,2029-11-16
2021,INC-3964,CAPEX_SUBSIDY,22,R_AND_D,1229,375,439546405,222594051,3886,6338,6222,17133917730,13385262744,0,0,96.18,70643.91,0,2030-04-16
2021,INC-5897,GST_REFUND,42,MSME_FORMALIZE,2966,2389,389610098,186594123,4118,6765,6644,19583087805,16837855948,0,0,76.01,58640.89,0,2026-05-14
2022,INC-5197,INTEREST_SUBVENTION,30,GREEN_TECH,3970,3735,184938732,134568733,1103,30,11,17874735179,6843175404,0,0,99.56,16812612.0,0,2029-10-04
2023,INC-3287,CAPEX_SUBSIDY,96,MSME_FORMALIZE,1685,1107,295170200,211754055,1303,1904,1339,8067280643,3315315201,0,0,64.09,220440.78,0,2030-11-09
