gov_unionspend_obligation_date,gov_unionspend_program_cfda_number,gov_unionspend_awarding_agency_code,gov_unionspend_funding_subagency_code,gov_unionspend_recipient_uei_hash,gov_unionspend_recipient_type_code,gov_unionspend_award_amount_inr,gov_unionspend_award_type_code,gov_unionspend_assistance_listing_title,gov_unionspend_place_of_performance_lgd_code,gov_unionspend_primary_purpose_code,gov_unionspend_covid_relief_flag,gov_unionspend_infrastructure_act_flag,gov_unionspend_competition_indicator,gov_unionspend_matching_requirement_flag,gov_unionspend_period_of_performance_days,gov_unionspend_outlay_estimate_inr,gov_unionspend_deobligation_amount_inr,gov_unionspend_reporting_period_quarter,gov_unionspend_data_source_system
2019-08-06,51401,125705,MoHUA,GOV05864d113456,GOVJ28NP,78527656,337379,Farm Support 4,GOVLK90S,GOVYA14E,0,0,GOVQFPXU,0,926,57881565,607627,2018Q1,IFMIS
2024-09-13,135594,32565,MoHUA,GOV027af6d697b4,GOVWI92W,23839,244647,Women Empowerment 4,GOV08JQM,GOVJDO06,1,0,GOVRJR3N,1,502,431992,893638,2026Q3,GeM
2022-11-26,313386,350657,DoPT,GOV8b3d4a9747f8,GOVCQA10,60082355,67443,Urban Transit 36,GOVORE56,GOVSB333,0,0,GOVF25KZ,0,1008,1032880986,621493898,2025Q4,CAG
2018-03-26,301945,334976,MeitY,GOV9311cdd72bbb,GOVRR6F5,9127272,198306,Rural Roads 8,GOVWSCHK,GOV4L3GJ,1,1,GOVH8H0T,1,2865,414697945,374527,2023Q4,DBT
2021-03-01,27306,499463,MoE,GOV1b23c40aa794,GOVGJCSB,51721479,308169,Farm Support 7,GOVB6689,GOVBK24G,1,0,GOVW66JY,1,1877,38892,4312114,2022Q4,GeM
2019-09-24,206785,3707,MoE,GOV0b66dbaee5c2,GOV3UH5Z,626501780,391724,Digital Health 89,GOVFNRS7,GOVHOAO0,1,0,GOVJFLU1,1,2190,8458073,2352614,2020Q1,PFMS
2018-10-05,334613,244961,MoHUA,GOV1748981e01a0,GOVZN31W,6540758,351639,Digital Health 42,GOVZ24MP,GOVV73XO,0,0,GOVSRI6V,1,3117,6387120,44155,2021Q2,IFMIS
2021-01-25,335253,264155,MoHFW,GOV84fc5902359d,GOVC9Z86,620325381,129478,Skill Training 68,GOVCCA3G,GOVZTBVA,0,1,GOVQJ2SD,0,2054,484239515,63447715,2024Q1,CAG
2021-07-23,4731,3809,MoRD,GOV497e8c10fbef,GOV16J8L,9132,2297,Urban Transit 29,GOVU0T4D,GOVK3T9Q,1,0,GOVX8HD3,0,2269,230781,4297946,2020Q1,IFMIS
2019-06-18,207232,362692,MoRTH,GOV38055517339f,GOVEMK07,2090194,29404,Rural Roads 81,GOVE7N5C,GOVQW0RV,1,0,GOVK8E1N,1,334,671626,497148368,2018Q3,CAG
2023-09-20,102842,250631,MoHFW,GOV3e675d7d924a,GOV80G2Z,74748,307727,Disaster Relief 47,GOVV2LIV,GOVS21CH,0,0,GOV4B0RQ,0,1437,562755231,498336517,2018Q4,CAG
2019-05-18,154519,221435,DoPT,GOV225c8f76e1ea,GOVIQIDT,41671072,416290,Farm Support 19,GOVFYS9B,GOVA24SZ,1,0,GOVD51DU,0,849,3147335,47171,2021Q2,CAG
2018-04-26,322574,167536,MoRTH,GOVf231aa0f6047,GOVH5N2F,67609,411668,Housing Upgrade 88,GOVMY6GG,GOVL7OOU,0,1,GOVM9MYQ,1,2068,3269216,488110,2021Q3,PFMS
2019-12-06,164761,192923,MoHUA,GOV9819ef302810,GOV0OXRV,6207661,45067,Renewable Energy 43,GOVATFHL,GOV94YJ4,0,1,GOVCVTGS,1,500,61380778,438803,2024Q2,DBT
2022-11-24,321027,454733,MoHUA,GOVdaecddb29b08,GOVAQ6IS,67552843,186594,Digital Health 85,GOVTN8JC,GOV39AS1,0,1,GOVPC2FX,1,3239,68607,33646,2026Q1,CPGRAMS
2022-04-03,448061,241808,MoHFW,GOV33e851bd5bdb,GOV8HZVA,54879670,144993,Housing Upgrade 25,GOVT1W7H,GOV5GFOL,0,0,GOV79OQ2,0,188,560178286,62393761,2024Q4,DBT
2018-09-24,136925,223579,MoHUA,GOV28fea69d9303,GOVK4XN9,512158,26219,Rural Roads 71,GOV6JXK0,GOV6H68Q,1,1,GOVKHPM0,1,2549,5282345,46541619,2022Q4,GeM
2020-12-01,47424,312447,MeitY,GOV9e5f6c086e07,GOV5NUZB,5758632,166639,Housing Upgrade 73,GOVT3DJ2,GOV5C2ZZ,1,1,GOV124F3,0,2125,25617366,640044,2022Q2,IFMIS
2021-04-10,435487,78888,MHA,GOV07e715afef2f,GOVCAYZG,21640,71853,Rural Roads 74,GOVO3OS9,GOVJFYVU,0,1,GOV8FRWR,1,145,1359052,469349809,2020Q3,IFMIS
2019-03-14,7260,64783,MOF,GOV2394d4f51c45,GOV5GRTF,8279054,325844,Women Empowerment 53,GOVR0FW3,GOVY56G4,0,1,GOVLYFHO,1,1217,80669,387852065,2022Q1,PFMS
2025-02-10,248687,484097,MNRE,GOVe19c13c0086e,GOVK84ZW,30134,421383,Urban Transit 47,GOVXZB5K,GOV14CB1,0,0,GOV45YC6,1,454,435429,816112619,2022Q1,IFMIS
2025-05-09,441791,449879,MoRTH,GOVcfa75d976c4d,GOVD219G,331865,438988,Urban Transit 69,GOVIJLKP,GOVZW6O9,1,1,GOVUSDXD,1,476,17721715,135777869,2021Q3,DBT
2020-01-14,477000,388345,MoRTH,GOV07f3fb5570eb,GOVDAE5A,7907609,279168,Skill Training 28,GOVI4IIZ,GOVHCMJF,0,0,GOVJCEXW,0,955,425726,550654728,2018Q4,PFMS
2025-08-18,25279,220071,MoRTH,GOVa559f2fa1988,GOVH24G4,747387191,79541,Clean Water 87,GOVTXDXU,GOVBO8ZN,0,1,GOV2BD2N,0,3207,53482379,54026,2019Q1,IFMIS
2022-11-07,365429,181012,MeitY,GOV8f5715e62e78,GOVYBL8J,6046776,137669,Women Empowerment 75,GOVEOB5I,GOVQ9RTX,0,1,GOVNT8TM,0,2743,7074695,6041217,2026Q4,GeM
2019-05-06,9256,383957,MeitY,GOVe24f4857a5d4,GOVT61YJ,244260556,183528,Clean Water 34,GOVRP28T,GOV2IVFU,1,0,GOVRWGSL,0,2330,381517,830950159,2025Q2,GeM
2025-06-05,158754,391873,MHA,GOV5c17907fb82b,GOVJFTCU,5373821,481329,Women Empowerment 12,GOVHQZJP,GOVKE6Q7,0,1,GOV2939B,1,1937,2929832,52267836,2024Q1,DBT
2022-12-28,84987,368513,MoRD,GOV53675eaec3fa,GOVD1NMZ,41481,387959,Clean Water 78,GOVR9I2R,GOVWOAHL,0,1,GOVYT88Q,0,463,53881,47331,2025Q3,GeM
2022-05-01,250553,106173,DoPT,GOV7e148175d85c,GOV3LB7H,45589594,61404,Urban Transit 35,GOVRLAR3,GOVSYO18,1,1,GOVZ2S8D,0,3010,53057,4626116,2026Q1,CAG
2019-01-02,292821,108201,MeitY,GOV1d0cb0ddb281,GOVPXKDG,70421,300082,Farm Support 74,GOVJ4RWN,GOVJV4BQ,0,1,GOV2I87I,1,1388,548516,3752937,2026Q2,GeM
2020-12-23,247016,428965,MoHUA,GOVf1022527937d,GOV7HL40,458252,28959,Rural Roads 32,GOV1LS9J,GOVPS9RO,0,1,GOV85ECU,0,104,49842,765093,2021Q3,DBT
2019-06-21,244220,54984,MHA,GOVd00688226544,GOV78OAM,782735975,223308,Housing Upgrade 64,GOV4ON9E,GOV6EGR6,1,1,GOVG5929,1,958,4596707,67826677,2019Q1,DBT
2023-07-26,462779,76189,MoE,GOV3d43ea24365b,GOVRVHA4,3057588,185492,Disaster Relief 51,GOVYQXIR,GOVPT8JE,0,0,GOV3OUH3,1,930,30569857,433472094,2018Q1,eProcure
2025-08-23,207775,163952,MHA,GOV1baa22cfd803,GOVXH21Y,66154,222018,Women Empowerment 48,GOVDFDKW,GOV4TTXE,0,1,GOVFLXHT,0,2532,446883116,81031,2020Q4,CPGRAMS
2025-02-16,282182,191226,MNRE,GOVeb5f3a06231e,GOVI6BGS,7360215,492514,Digital Health 68,GOVBS99Z,GOVRB2AC,1,1,GOV508HR,0,1253,592556333,397337573,2018Q3,DBT
2024-09-20,294531,358449,MoRD,GOV489a74b830e4,GOV86PS0,46708,85767,Women Empowerment 81,GOVH6LTF,GOV4XDW2,1,1,GOVW3BJQ,0,299,3911865,39719137,2026Q3,DBT
2020-04-19,260533,40125,MNRE,GOVd7f7e3c4bc11,GOVWWPA1,3032189,62492,Clean Water 80,GOV6WQTB,GOVO99PG,1,1,GOVTS993,0,1321,575734947,4025348,2020Q1,eProcure
2020-07-25,195246,379040,MNRE,GOV8a62793ba717,GOV27GTL,8471004,14417,Housing Upgrade 13,GOVJ1UGW,GOVA7L8W,1,0,GOV8AUNA,0,3140,870629181,37504,2021Q1,CAG
2023-01-05,497675,390659,MOF,GOVb11961c982e8,GOV95QQG,670953609,88870,Renewable Energy 93,GOVR61RV,GOVU1AGX,1,0,GOVA692D,1,2995,60687,56350825,2022Q3,IFMIS
2022-07-21,26471,365991,MoRD,GOVd2eb0a8c6439,GOV0R2Q3,79590032,486025,Disaster Relief 8,GOV5HMQO,GOVC6RQI,0,1,GOVB6Q3W,1,1705,4570566,563517513,2020Q4,PFMS
2020-09-25,273312,290133,MHA,GOV0b7f1a6e2083,GOVDYO9V,61779530,263145,Rural Roads 72,GOVYIFN4,GOVY6KXB,0,1,GOVZWWLS,1,3323,4922452,6675778,2023Q4,CPGRAMS
2018-12-12,4975,141475,MoHUA,GOV4168b4b08375,GOVEGVMX,5123494,348539,Disaster Relief 74,GOVLVDQ6,GOV9O3MQ,0,0,GOVNFG1Y,0,2854,5208365,4631019,2018Q1,DBT
2019-08-28,409550,468963,MoRD,GOV4a1b05920d92,GOV1NDZD,577735528,371578,Urban Transit 56,GOVWLB26,GOVZL24J,0,0,GOVKLN0G,0,428,66156,385094,2018Q1,CPGRAMS
2023-05-14,157582,192052,MoRD,GOVe46e5e9edd3d,GOV327VV,101477520,214109,Farm Support 40,GOV2Z42R,GOVRRXQI,0,1,GOVZ83CG,0,1351,820911644,506911514,2019Q3,eProcure
2019-07-31,151681,269547,MHA,GOVfb22c3b67221,GOVOIW4Z,24908,63789,Women Empowerment 44,GOVXGGWY,GOVV1DTA,1,0,GOVH1J0W,0,2059,48789120,582252,2021Q2,PFMS
2020-06-26,485284,380559,MoRD,GOV30c47f54d97d,GOVJKLA0,52271,469399,Digital Health 94,GOVD02ZD,GOVEYIBY,0,0,GOVKODEI,0,3537,19187277,366382,2025Q3,PFMS
2019-01-13,280500,228233,MHA,GOVb95294f62cfa,GOVSPKGK,389038,446471,Rural Roads 31,GOVIS9KU,GOVTUKZR,1,0,GOV6X7KT,0,2879,376355705,57854601,2021Q1,CAG
2020-09-04,435486,167322,MoHUA,GOV1c6c7f5aac7f,GOVUOEEZ,26905539,338893,Disaster Relief 53,GOVNO6PM,GOVB1714,0,0,GOV5MQXU,1,274,68503679,45199,2023Q1,CAG
2023-06-22,177713,82458,MoRD,GOVd61ab7793a71,GOVUYCXJ,86199468,492027,Rural Roads 96,GOV7GT8H,GOVHVSW7,0,0,GOVFZFSJ,1,217,27913,8457617,2021Q2,GeM
2019-06-08,35093,183219,MoHFW,GOV582c67d66c8f,GOVMSAVI,62308,484655,Skill Training 92,GOVQQ22L,GOV72XHR,1,1,GOV8Y6OJ,1,792,732847507,96727,2022Q4,eProcure
2023-04-18,14603,190227,MoRTH,GOV3c45a20dd58f,GOVK27TZ,88847,138765,Disaster Relief 4,GOVG21K8,GOV0VS0E,1,1,GOVAO2D9,0,2857,6781224,66734687,2021Q4,CPGRAMS
2021-01-04,381399,480020,DoPT,GOV786458918978,GOVDOM34,29766,271295,Clean Water 60,GOV1PNZM,GOVMMQSX,1,1,GOVKAFLB,1,2899,54767081,529765204,2024Q1,eProcure
2021-12-17,76299,374477,MoRD,GOV800b36704ad2,GOVFEVJF,6019574,108460,Disaster Relief 64,GOVBLH61,GOVNANR7,0,1,GOV1HYRS,0,3497,25986018,6354182,2019Q1,CPGRAMS
2023-09-22,34411,183593,MoE,GOV4e1c1bfb436c,GOVZAHX7,61628,204728,Housing Upgrade 42,GOVVJNC5,GOVWXY8N,1,1,GOVSCUNJ,0,1322,48561,29440,2020Q1,IFMIS
2018-04-06,112453,398393,MNRE,GOVff939ab89634,GOVZNQIK,69074251,381163,Clean Water 12,GOVBVC0M,GOVEG1CH,1,1,GOV2ZSBP,1,2543,49217,39740817,2022Q4,GeM
2019-10-14,137172,295028,MOF,GOV3a0f3856220e,GOVC8WY2,63247433,140925,Rural Roads 20,GOV832AF,GOVJEON3,1,1,GOVS2I72,0,1299,5821047,45890073,2020Q2,CPGRAMS
2025-02-19,287971,257201,MoHUA,GOV93dda1e13f33,GOVC3I68,459556280,143017,Skill Training 50,GOVPPOXI,GOVWNZAZ,1,0,GOVUQJIW,0,56,43666,627270,2019Q2,IFMIS
2023-11-13,212478,400823,MOF,GOVb8419c1dfe3d,GOVRFMZW,594775,309176,Clean Water 82,GOVSJM3H,GOVXG1XD,0,0,GOVSQQS8,0,2936,719746,6099134,2026Q4,eProcure
2023-05-29,159972,278945,MoHFW,GOVa6ff816f1300,GOVT3WG7,34083596,433856,Disaster Relief 71,GOV1C36Q,GOVNX89C,1,1,GOV9UQ3E,1,1104,36255,435761180,2025Q4,GeM
2019-05-29,473295,282672,MHA,GOV5a4f533fd756,GOVJDVXZ,631494,196295,Skill Training 60,GOVKSUJO,GOVAWNMH,0,0,GOVXMEJY,1,2752,424167581,216830601,2024Q1,IFMIS
2019-10-28,142079,308360,MNRE,GOV6b0996b89d97,GOVLWRVP,44997198,204156,Rural Roads 70,GOV9ZF4R,GOVPDDL9,1,0,GOVTJY9L,1,48,35598,233137085,2022Q2,PFMS
2022-08-13,170754,25266,MoHFW,GOV19a7207943c7,GOV9310J,38600776,99057,Digital Health 69,GOVYKZ0Q,GOVMABRS,1,0,GOVYH8LA,1,2441,38884367,700397513,2018Q1,CAG
2025-08-05,79786,101336,DoPT,GOV6cc3b98e16e3,GOVF2W41,6975546,120424,Skill Training 44,GOVBSW9E,GOV5SPBG,1,0,GOVP6N0N,0,2129,14907,50881997,2026Q4,PFMS
2022-08-18,374798,198207,MOF,GOVd5c5d4027232,GOVY7OID,29460,302938,Urban Transit 19,GOVVOV28,GOVDKEHC,0,0,GOVFA377,1,3231,67702923,658980,2021Q1,CAG
2019-06-07,278493,235236,MNRE,GOV4d0330873b39,GOVP2LDJ,5805792,163800,Farm Support 30,GOV4J3WT,GOVF76PE,1,1,GOVDTMKP,1,3446,4033573,50816,2020Q4,PFMS
2025-10-21,214891,344618,MoHUA,GOV381b40c6c621,GOVEOXHM,364083599,217537,Digital Health 90,GOVDPP10,GOV23DJ4,0,1,GOVPJ0QT,0,400,61292285,41955357,2022Q2,IFMIS
2020-08-01,10256,477441,MNRE,GOVdb13f36fdb1c,GOVFZMVP,49502456,288886,Disaster Relief 79,GOVCS0SD,GOV319AA,0,0,GOV3URGI,0,2957,129425735,68397,2023Q1,CPGRAMS
2019-06-21,348252,475459,MoHFW,GOVd1176dde9ee2,GOVKIBJX,6889963,70821,Disaster Relief 13,GOVBZARZ,GOVL5PLV,0,1,GOV6EO3J,1,22,819831007,31503,2026Q3,CPGRAMS
2023-01-17,153149,281678,MoRD,GOV26fe5ce3bc1a,GOV9DUK6,63904218,418268,Clean Water 3,GOVLEHAU,GOV56P9B,1,0,GOVAWFNY,1,2133,410442,31633593,2018Q4,CPGRAMS
2022-05-22,72521,330076,MoHUA,GOV3af4bbede193,GOVVE6KD,204475,424199,Skill Training 53,GOVSQ7X3,GOVRFE71,1,0,GOVT39RD,0,1345,318599186,427328821,2024Q4,CPGRAMS
2020-03-22,93706,32711,MOF,GOVe4ae26ca5655,GOVE4YYE,446511435,304628,Clean Water 99,GOVW07EO,GOVU2RZB,1,1,GOVRTFCN,0,2866,260668,129709575,2021Q2,IFMIS
2023-09-27,128153,222531,MoHFW,GOVc80a78b2d91b,GOVBCS9Y,72972527,376526,Housing Upgrade 14,GOVK7RI7,GOV288JR,1,0,GOVQEVZT,1,3241,63283104,67936570,2022Q1,GeM
2021-03-27,61141,295239,MoRTH,GOV70adcd8c54d4,GOV9SQAA,857424792,292629,Women Empowerment 45,GOVLXXO4,GOVY0F3L,0,0,GOVCJ09W,0,2103,5988440,660630,2019Q3,GeM
2020-06-27,193309,61426,MoE,GOVae281eec7585,GOVK94R2,583520,103368,Clean Water 79,GOVZXJHT,GOVZ7H31,1,0,GOVFAED2,1,783,928208594,463303,2021Q2,GeM
2022-12-23,432488,113503,MeitY,GOV4aeb73d702f5,GOVBHOU1,85810173,83231,Women Empowerment 38,GOV4WAPQ,GOVRAO4J,1,0,GOVV473B,0,2526,651693,354693170,2022Q2,GeM
2019-07-01,411065,197395,MoRD,GOVb9e17d9ef6ad,GOVJ92PP,474952372,163002,Digital Health 48,GOVA47LV,GOV09XK6,0,1,GOVO7MFW,0,3536,758952,46836376,2023Q1,CAG
2018-10-30,163572,95993,MNRE,GOVdf099e262ad9,GOV1DHOD,7728701,103393,Disaster Relief 73,GOVBM21B,GOVERWWR,0,1,GOVX1RA1,1,3329,21250139,545593,2019Q3,eProcure
2023-09-11,352112,111925,MOF,GOV2f0e71e05b74,GOVXCLVR,62639,408203,Disaster Relief 66,GOVLOK7B,GOVAL9CI,0,1,GOVMB67F,0,2465,516344,17195,2025Q3,CAG
2018-01-25,374409,26005,MoHUA,GOVd68861413989,GOVQKD84,4393686,337098,Renewable Energy 76,GOVNP256,GOVC4UCV,1,0,GOVB3JDT,0,397,4646906,53496375,2019Q3,eProcure
2020-09-14,427743,454004,DoPT,GOV1ab7824d63f1,GOV43AR6,2924804,421911,Renewable Energy 57,GOVQ4VRF,GOV73NXS,1,0,GOVDSTOG,0,2908,27114766,978166827,2024Q1,CAG
2023-08-11,163741,267907,MNRE,GOVbcfc3d7710da,GOVTSKXI,54832,379342,Renewable Energy 28,GOV053Z0,GOVANHF3,1,0,GOV4FAIJ,1,476,726775,550472625,2024Q4,GeM
2018-02-10,386773,111921,DoPT,GOV4eb135ea95c8,GOV15L63,405497300,447134,Skill Training 95,GOVLOFJ5,GOVO07M3,0,1,GOVBMTVE,1,1647,5897033,37851,2020Q1,eProcure
2024-11-04,7131,18479,MOF,GOVbba7f37ffcf2,GOVWJCW4,480449,355152,Clean Water 95,GOV4PG8E,GOV2X8MJ,1,1,GOVTDZ0K,1,3380,56559229,77008,2020Q2,PFMS
2024-05-05,461361,355082,MoRTH,GOV0f91c61711b9,GOVQK01D,391945224,452741,Housing Upgrade 79,GOVU4J8Z,GOVP2P9N,0,0,GOVDFLQN,1,2213,1267620,414651846,2021Q3,GeM
2022-02-16,307133,167176,MoE,GOV9711d2df2858,GOVLHJY5,584082549,177919,Digital Health 75,GOV3XLFK,GOVKMBW1,0,1,GOVFCLLO,0,1115,46880,371226,2019Q2,eProcure
2023-10-20,270556,168551,MoHFW,GOV6bf1bd13e44f,GOVTGFEO,47615,146760,Rural Roads 78,GOVV8BPK,GOVWL8K5,1,1,GOVN2SHD,0,1316,33734371,6564380,2022Q2,PFMS
2024-09-02,410394,298084,MoHUA,GOV2738c1b33a61,GOVAQTXY,78880486,23091,Skill Training 80,GOV8NVDP,GOVQHAAT,1,0,GOVZN9ZS,0,3134,570685,48653922,2023Q1,GeM
2021-07-08,442019,190862,MNRE,GOV85af32fd05ed,GOVLFRGJ,4854631,32900,Disaster Relief 43,GOVU7P5F,GOVJFJ3Q,1,0,GOVPDKY0,0,1466,444083,51937327,2023Q2,CPGRAMS
2024-10-23,291657,440153,MeitY,GOV8982cfcdca51,GOV4NWNW,772357550,312353,Housing Upgrade 39,GOVH2N42,GOV74QKX,0,1,GOVU4DN1,0,859,38088745,35385757,2020Q2,DBT
2020-01-15,194782,420302,MNRE,GOV350777160721,GOVKNCP8,7413760,499704,Urban Transit 39,GOVRE71S,GOVK1BQ9,0,1,GOVFZXSO,0,3526,5497458,191349,2025Q2,GeM
2022-05-28,25921,67046,DoPT,GOVf568715dd1e3,GOVUNNFS,45542,259349,Urban Transit 85,GOV22TG3,GOVAUKZN,0,0,GOVS4AS9,0,2925,90933432,77534,2023Q2,eProcure
2022-08-18,38909,482410,MoHUA,GOV39bf3abce7a1,GOV1S4PD,170621,412574,Skill Training 34,GOVD53HT,GOVLRJD7,1,1,GOVG1HYD,0,1152,56442395,77244,2018Q3,IFMIS
2020-06-14,38000,281464,MoRTH,GOVe5dfa3b8ffa3,GOVAJ0C2,2199599,426801,Rural Roads 97,GOVVX65Y,GOVBYWIF,0,0,GOVM6BAU,0,674,5907194,5094879,2025Q3,IFMIS
2018-09-12,335655,405886,MHA,GOV9becb6e91e1e,GOVRXX5U,41335,328788,Rural Roads 83,GOVKKWX2,GOVF63EU,0,0,GOVJD5OW,0,914,7484369,529473,2018Q4,CPGRAMS
2020-05-22,230732,497809,MoE,GOV259a035b6930,GOV7FO9I,65407,467124,Urban Transit 75,GOV2FD3Q,GOVNE2LB,0,0,GOVBNMOJ,1,381,2716714,445444899,2023Q1,GeM
2018-01-05,395531,493304,MHA,GOV0da780fc5b6d,GOV5VGKQ,45677,197698,Rural Roads 73,GOVUUL6W,GOVHEDB8,1,1,GOVUI5ZZ,0,2512,46968,22775795,2021Q1,eProcure
2022-06-16,52729,208249,MoHFW,GOVe4d15f8511c8,GOVFXAM6,395919,298376,Digital Health 30,GOVWKV8N,GOV8UWAW,1,0,GOVLTERW,0,2966,424482305,42588,2026Q2,CAG
2022-07-03,301359,49725,MoRTH,GOV233dbaa6ef34,GOVMRB54,65168,189435,Clean Water 73,GOVULUPY,GOVV8LL2,1,1,GOV6SXLA,0,1220,73500,888149052,2024Q3,PFMS
2025-03-05,330253,381469,MHA,GOVab14bc16b23a,GOVM1C8X,4682033,430518,Renewable Energy 46,GOVH3ZLD,GOV2MYQ0,0,1,GOV4MEGT,0,3621,55776315,567883,2022Q2,DBT
2019-03-04,474503,310803,MoRD,GOV78f775ffa793,GOV6WTIG,7523548,3556,Urban Transit 57,GOVLIHLH,GOV41EAD,1,1,GOV6CN10,0,2073,469581353,61549948,2022Q3,IFMIS
2021-04-06,496878,193364,MNRE,GOV130c9f6543e3,GOVTJBCA,47279866,233807,Clean Water 6,GOVZD4G6,GOVWCHKZ,0,1,GOVFTSCO,0,1303,51790,471369666,2026Q4,DBT
2022-01-13,187105,474617,MoRTH,GOV8a14bcb1699a,GOVCMKJ4,782462060,185057,Housing Upgrade 98,GOV3865L,GOVL1X84,1,0,GOVUXX8R,1,325,4708108,70908836,2023Q1,PFMS
2019-12-16,370391,303707,MoHUA,GOV77e501619c89,GOVMOM3W,600214,265582,Disaster Relief 82,GOVQWI25,GOVW4JF0,0,1,GOVZF004,0,623,305698,52821,2021Q3,CAG
2025-04-18,251934,155521,MoRD,GOV3c8658260ea5,GOVUYUTJ,78942,102035,Rural Roads 71,GOVK6W26,GOVEO4BE,0,1,GOVCDI46,1,2531,488457,4451648,2018Q1,IFMIS
2025-10-16,339594,490232,MoHUA,GOV6e3f241448cb,GOVWBMC5,515465553,168268,Skill Training 9,GOVF1115,GOVNIQJU,1,0,GOVZIOQO,0,1890,5009728,477433,2026Q3,IFMIS
2020-05-13,69181,333414,MoE,GOVe4e4d5329793,GOVT2JRF,6186722,96025,Clean Water 44,GOVWX8W3,GOVM6HA2,0,1,GOVW826T,0,1897,291435842,720936,2025Q4,IFMIS
2024-01-06,116766,30625,MoHUA,GOVb945032d22bf,GOVUBDXY,7315659,136585,Renewable Energy 41,GOVZ69YA,GOVC3G0D,1,0,GOVB7LB6,1,1464,609540570,666886872,2019Q3,eProcure
2026-01-19,23631,56631,MoHUA,GOV0f7784c3ffd6,GOV35SHX,102611,62095,Renewable Energy 64,GOVV9SGO,GOVVUUDO,1,1,GOVUYC5K,1,1589,467980,66360,2019Q1,PFMS
2021-01-19,383311,423693,MoHUA,GOV97093b693c77,GOVU0RPW,574345,374144,Housing Upgrade 89,GOV8C95L,GOV9PN6L,0,0,GOVW5MRZ,1,1584,90120396,6517553,2021Q3,eProcure
2024-02-27,209857,259201,DoPT,GOV650f71781963,GOVOVFE8,41060105,396293,Women Empowerment 74,GOVPTS4T,GOVCUXMO,1,1,GOVN2ILO,0,3127,513409,349160513,2024Q2,GeM
2024-09-23,477749,69986,MeitY,GOV4ba84c2dbd20,GOVVF8PL,314728448,281487,Clean Water 74,GOVJO2MU,GOVVN2GA,0,0,GOVFDJF9,0,1480,93470798,695629980,2019Q3,GeM
2023-06-10,55931,264143,MHA,GOV20553c9355c5,GOVNWAQR,61198000,181955,Housing Upgrade 29,GOV02N81,GOV77AB1,0,1,GOVZ2ETG,1,3003,435329038,43728720,2020Q4,IFMIS
2020-10-03,395194,191030,MeitY,GOVf60a6998b710,GOVDNXTN,473313407,204931,Farm Support 23,GOVAYA0R,GOVW0C4F,0,0,GOVDPH2U,1,1144,20773,5585162,2025Q1,GeM
2020-08-05,43809,300807,MoRD,GOV1b4a064b63ef,GOV4VHR2,208052,279464,Rural Roads 58,GOVNGVH5,GOVM54YK,1,0,GOV5J6KS,1,1947,588787508,61127,2022Q3,CAG
2022-10-31,451493,464994,DoPT,GOV23a14dcabf2e,GOVEIXTU,563072,345937,Urban Transit 51,GOVLRU99,GOVVI22Z,0,0,GOV2L7UN,1,527,600518181,16154,2024Q2,CPGRAMS
2021-04-06,413648,53310,MoHFW,GOV1a4587de20f3,GOVPHULV,894687,330674,Disaster Relief 39,GOVS7SMU,GOVVSKVE,0,0,GOVZGLG2,1,433,59346,446493573,2025Q2,eProcure
2019-12-26,21066,408463,MoHFW,GOVd8e3f40f26a6,GOVW3X0G,366045,117055,Renewable Energy 96,GOV25GAL,GOVZ7GGW,0,1,GOV1WC88,0,823,77028554,51837760,2023Q1,CPGRAMS
2025-05-26,414686,34397,MOF,GOV34d2e11d520e,GOV86PPW,504611,378797,Urban Transit 40,GOV41LUT,GOVKLWKY,0,1,GOVVRVGM,0,2247,62492314,354881816,2019Q1,IFMIS
2022-07-31,146506,269601,MOF,GOV10e497b14c59,GOVNAFFN,683320,496116,Farm Support 44,GOVBBIU9,GOVL11SD,1,0,GOVB3JMW,0,2669,4444533,393482700,2021Q4,PFMS
2018-06-03,268530,425531,DoPT,GOV3b683ef67157,GOVU89EV,67518,271478,Clean Water 86,GOV00YCG,GOVJQ436,1,1,GOVUZICN,1,1588,48588,55179,2024Q2,eProcure
2019-11-28,50671,282876,MeitY,GOVcc607b43a607,GOVGY4J5,62871686,77880,Skill Training 97,GOVOKFMS,GOVLHXDC,1,0,GOVYC5I3,1,609,64518882,14495,2019Q3,GeM
2023-11-22,260402,24774,MOF,GOV3eef98260186,GOVQUY03,5202994,426411,Rural Roads 50,GOV3652O,GOVZTYY6,1,0,GOVK5EA7,1,761,52305,904189,2024Q2,DBT
2024-05-01,310783,358180,MoHFW,GOVf54c8523390d,GOV0D6FH,39565629,294262,Urban Transit 18,GOV5X364,GOV8AKXY,1,1,GOVTCF1U,0,1296,3955831,457389,2024Q3,IFMIS
2025-06-05,373271,387223,MoE,GOV2fd95965d874,GOV1EPPS,18632260,173745,Urban Transit 77,GOVRFWZ4,GOV3JUMY,1,0,GOVCF6TZ,0,926,46263262,96301137,2022Q3,CPGRAMS
2021-08-06,453997,153656,DoPT,GOVab1566b7bde1,GOVKVF7J,37485183,481502,Urban Transit 72,GOVFB8S3,GOVLRHE6,0,0,GOVAS8Y3,1,2763,702424,80880041,2025Q1,GeM
2018-09-16,276934,206835,MOF,GOV30a3693a3f19,GOVLVTNL,579145755,363291,Renewable Energy 77,GOVT1QS0,GOVRIRFJ,1,1,GOV7CCEK,1,3079,18258604,117279,2021Q4,CAG
