energy_eff_program_year,energy_eff_program_id,energy_eff_measure_type_code,energy_eff_rebate_amount_inr,energy_eff_participant_count,energy_eff_kwh_savings_first_year,energy_eff_kw_savings_peak,energy_eff_therm_savings_first_year,energy_eff_lifetime_savings_mwh,energy_eff_cost_effectiveness_trc,energy_eff_cost_effectiveness_pac,energy_eff_net_to_gross_ratio,energy_eff_free_ridership_rate,energy_eff_spillover_rate,energy_eff_verification_method_code,energy_eff_evaluation_report_link_id,energy_eff_income_qualification_flag,energy_eff_contractor_network_size,energy_eff_market_transformation_score,energy_eff_measure_installation_time_days
2024,EFF2024-00525,insulation,2055.52,30350,528138.48,322.39,590328.21,5171.01,1.109,0.05,0.774,0.215,0.103,engineering,RPT2024-000525,1,236,19.5,16
2023,EFF2023-00526,motor,178164.03,3372,493003.11,2217.078,548652.68,2239.59,1.289,0.917,0.908,0.106,0.122,randomized,RPT2023-000526,1,58,77.51,212
2025,EFF2025-00527,solar_rooftop,4111.74,40558,564719.41,1753.341,151533.08,5490.424,0.919,0.996,0.775,0.139,0.051,metered_savings,RPT2025-000527,0,44,56.71,110
2025,EFF2025-00528,led,24057.12,29004,217719.62,542.976,127685.81,1580.968,1.625,0.05,0.698,0.111,0.056,onsite,RPT2025-000528,1,645,38.45,116
2021,EFF2021-00529,ag_pump,46944.33,46477,437502.87,3037.253,102831.02,2630.18,1.614,0.512,0.615,0.054,0.0,onsite,RPT2021-000529,0,313,31.76,83
2023,EFF2023-00530,motor,66366.63,17494,467153.28,2868.089,93510.75,3966.766,1.282,1.807,0.639,0.117,0.004,onsite,RPT2023-000530,1,450,37.33,44
2023,EFF2023-00531,hvac,8153.15,28570,426166.25,3199.887,250432.81,3159.081,1.448,1.01,0.906,0.175,0.074,onsite,RPT2023-000531,1,206,38.69,161
2019,EFF2019-00532,ag_pump,100784.57,17537,118446.25,1802.154,5383.77,311.33,1.217,0.587,0.897,0.243,0.08,randomized,RPT2019-000532,1,627,45.9,163
2021,EFF2021-00533,motor,50277.25,22713,338559.08,1872.634,512279.01,1496.297,1.174,1.299,0.69,0.13,0.0,metered_savings,RPT2021-000533,0,392,76.47,110
2019,EFF2019-00534,smart_meter,231904.32,4597,555511.19,3820.954,304966.17,6472.493,1.052,2.134,0.788,0.086,0.04,randomized,RPT2019-000534,0,41,52.6,169
2024,EFF2024-00535,smart_meter,114534.85,23295,243659.94,3906.715,584827.48,810.935,1.93,2.324,0.734,0.0,0.119,onsite,RPT2024-000535,0,188,64.33,23
2025,EFF2025-00536,ag_pump,42179.45,1149,121424.55,2054.9,117639.65,247.805,0.663,0.05,0.628,0.171,0.136,billing_analysis,RPT2025-000536,1,644,26.61,139
2025,EFF2025-00537,motor,210598.76,48967,455066.37,1003.427,54499.43,1516.953,1.719,1.246,0.674,0.25,0.165,onsite,RPT2025-000537,0,66,33.41,149
2024,EFF2024-00538,led,107670.83,31727,565271.01,1150.668,586022.78,1807.687,1.766,1.399,0.749,0.279,0.05,engineering,RPT2024-000538,1,609,94.61,51
2024,EFF2024-00539,led,86891.5,28725,560183.84,3179.768,545404.0,6478.429,0.931,1.619,0.791,0.195,0.028,randomized,RPT2024-000539,0,382,64.5,145
2020,EFF2020-00540,motor,71752.87,41980,775001.74,862.612,556418.73,5467.815,1.011,1.282,0.775,0.26,0.163,billing_analysis,RPT2020-000540,0,161,81.69,233
2021,EFF2021-00541,insulation,164707.82,45767,567775.15,4466.076,196957.72,2906.655,1.257,1.239,0.896,0.171,0.155,metered_savings,RPT2021-000541,1,26,54.85,123
2023,EFF2023-00542,ag_pump,67949.72,756,718478.13,946.777,294927.23,7857.898,1.968,1.265,0.636,0.173,0.126,onsite,RPT2023-000542,1,173,50.4,68
2024,EFF2024-00543,insulation,42544.83,20693,328759.59,1571.797,58792.91,3648.452,1.733,1.694,0.785,0.165,0.098,billing_analysis,RPT2024-000543,0,362,47.82,202
2024,EFF2024-00544,ag_pump,149296.23,31885,612661.25,794.874,339259.22,4721.863,1.458,1.666,0.655,0.168,0.102,randomized,RPT2024-000544,0,149,71.72,99
2023,EFF2023-00545,insulation,192507.04,31545,513047.23,4106.376,48895.91,5520.292,1.39,1.783,0.672,0.045,0.056,engineering,RPT2023-000545,0,134,19.68,237
2024,EFF2024-00546,solar_rooftop,18463.43,19044,478862.35,2836.352,376192.16,1677.464,0.116,1.584,0.834,0.063,0.141,randomized,RPT2024-000546,1,305,60.58,220
2022,EFF2022-00547,ag_pump,244787.12,47643,151586.0,3852.424,220345.57,1729.898,1.754,1.342,0.674,0.281,0.0,randomized,RPT2022-000547,1,611,52.79,128
2023,EFF2023-00548,solar_rooftop,236644.3,32392,294231.93,3681.677,235856.09,1545.602,0.924,1.194,0.687,0.156,0.078,randomized,RPT2023-000548,1,479,70.83,69
2023,EFF2023-00549,building_retrofit,181199.39,48607,67166.64,3182.699,131294.24,677.423,1.179,0.776,0.906,0.0,0.139,metered_savings,RPT2023-000549,0,321,87.77,162
2020,EFF2020-00550,ag_pump,13545.42,16493,750204.54,2282.425,64775.26,8752.985,1.307,1.079,0.958,0.217,0.2,billing_analysis,RPT2020-000550,1,288,33.37,179
2018,EFF2018-00551,hvac,186647.55,45639,35519.89,2320.609,32438.84,77.811,2.305,1.453,0.79,0.072,0.002,engineering,RPT2018-000551,1,376,83.21,231
2024,EFF2024-00552,hvac,152373.15,33841,305506.05,1020.967,332212.72,1929.29,0.823,0.772,0.717,0.115,0.047,billing_analysis,RPT2024-000552,0,430,31.04,174
2018,EFF2018-00553,led,153944.28,3994,32365.56,1645.494,26882.85,196.497,1.086,0.598,0.75,0.041,0.102,billing_analysis,RPT2018-000553,0,49,85.16,88
2023,EFF2023-00554,motor,201978.83,21102,625489.01,2402.829,588286.5,1896.072,0.364,0.181,0.712,0.102,0.006,engineering,RPT2023-000554,0,40,34.68,136
2018,EFF2018-00555,building_retrofit,196087.66,28423,236108.22,2715.992,87059.43,1247.853,0.93,1.128,0.856,0.153,0.098,randomized,RPT2018-000555,0,92,72.07,8
2024,EFF2024-00556,building_retrofit,133856.75,23145,718460.01,3622.841,301461.04,2107.517,1.42,0.992,0.873,0.108,0.112,billing_analysis,RPT2024-000556,0,73,38.34,18
2023,EFF2023-00557,motor,228209.74,5207,578697.66,3452.558,218850.71,3961.758,0.851,1.578,0.767,0.115,0.0,engineering,RPT2023-000557,0,248,18.36,104
2019,EFF2019-00558,motor,38035.36,7580,532393.72,4452.778,567567.73,1503.948,0.909,1.839,0.537,0.201,0.172,metered_savings,RPT2019-000558,1,130,55.57,116
2020,EFF2020-00559,smart_meter,82711.41,43207,687168.26,922.96,455354.14,6234.651,0.483,1.629,0.804,0.17,0.158,metered_savings,RPT2020-000559,1,23,30.81,91
2024,EFF2024-00560,building_retrofit,21079.49,28232,533948.88,1400.132,288812.02,5625.348,1.258,1.321,0.866,0.077,0.147,billing_analysis,RPT2024-000560,1,91,53.48,186
2024,EFF2024-00561,hvac,204517.51,20856,87736.58,2037.766,456087.8,719.771,1.188,1.145,0.858,0.146,0.059,metered_savings,RPT2024-000561,0,283,44.17,72
2023,EFF2023-00562,insulation,59872.43,25740,682698.5,1653.078,571962.85,2826.399,1.373,1.339,0.708,0.152,0.033,engineering,RPT2023-000562,1,249,56.42,61
2022,EFF2022-00563,building_retrofit,205883.18,12731,247517.31,1008.389,350737.76,2013.848,1.514,1.194,0.855,0.105,0.108,engineering,RPT2022-000563,0,21,31.6,37
2020,EFF2020-00564,hvac,79761.55,5817,316075.86,4412.552,50157.33,1192.018,0.405,2.549,0.687,0.119,0.014,onsite,RPT2020-000564,0,462,59.49,51
2022,EFF2022-00565,building_retrofit,189895.68,22390,736930.79,3159.267,33278.49,6066.747,1.035,0.511,0.726,0.148,0.042,engineering,RPT2022-000565,1,151,23.72,13
2024,EFF2024-00566,building_retrofit,248349.62,18958,443379.37,1171.168,476924.43,3801.278,1.514,1.253,0.861,0.107,0.104,engineering,RPT2024-000566,0,330,56.42,145
2025,EFF2025-00567,smart_meter,130862.59,22075,99271.13,2648.218,286529.48,395.979,1.261,0.741,0.55,0.065,0.0,billing_analysis,RPT2025-000567,0,66,36.78,58
2018,EFF2018-00568,insulation,44669.85,30857,482915.07,3650.415,242915.25,3575.197,1.166,0.05,0.647,0.214,0.0,billing_analysis,RPT2018-000568,1,467,49.52,219
2020,EFF2020-00569,building_retrofit,205069.41,38617,689432.65,687.594,201332.69,2487.206,0.561,1.438,0.843,0.077,0.151,onsite,RPT2020-000569,0,351,33.07,238
2018,EFF2018-00570,building_retrofit,206784.54,23166,657669.77,2046.379,598844.0,2518.985,1.191,0.326,0.784,0.11,0.179,billing_analysis,RPT2018-000570,1,194,72.72,141
2022,EFF2022-00571,solar_rooftop,149347.13,16300,407043.19,2625.569,457991.14,1749.24,0.895,0.077,0.673,0.03,0.166,onsite,RPT2022-000571,1,636,29.66,76
2024,EFF2024-00572,led,247216.41,11586,787437.56,3125.862,352478.97,5733.467,1.472,0.67,0.871,0.256,0.115,randomized,RPT2024-000572,1,627,88.77,161
2022,EFF2022-00573,building_retrofit,6640.27,29177,415868.57,4076.623,292705.59,3947.519,2.239,1.445,0.754,0.037,0.028,randomized,RPT2022-000573,0,6,90.78,70
2018,EFF2018-00574,smart_meter,34324.28,3816,612277.49,3820.134,391574.52,4315.248,0.703,1.299,0.811,0.223,0.0,metered_savings,RPT2018-000574,0,228,64.95,124
2020,EFF2020-00575,motor,90761.47,20656,585285.54,3485.216,10556.49,1573.063,1.679,1.839,0.902,0.09,0.114,billing_analysis,RPT2020-000575,1,286,62.24,160
2020,EFF2020-00576,smart_meter,15042.26,3216,563021.29,3768.818,324307.8,5890.012,0.224,0.729,0.738,0.151,0.039,engineering,RPT2020-000576,1,509,69.32,41
2024,EFF2024-00577,hvac,92121.65,1869,320019.16,2280.991,224519.91,1742.573,1.165,0.468,0.873,0.154,0.069,onsite,RPT2024-000577,0,640,64.58,193
2018,EFF2018-00578,building_retrofit,225970.85,45128,233240.46,3488.303,292723.19,2034.221,1.425,0.746,0.744,0.198,0.096,randomized,RPT2018-000578,1,160,29.3,154
2024,EFF2024-00579,ag_pump,99330.89,79,96226.22,4042.816,142145.92,1041.785,1.236,0.596,0.714,0.219,0.0,billing_analysis,RPT2024-000579,0,627,67.11,201
2024,EFF2024-00580,hvac,236946.66,35215,273302.74,3862.287,321147.66,1279.04,0.78,0.268,0.603,0.1,0.0,randomized,RPT2024-000580,1,429,28.3,96
2023,EFF2023-00581,led,19127.8,27183,145653.45,1403.011,473791.39,687.599,0.728,2.771,0.65,0.245,0.23,onsite,RPT2023-000581,1,573,92.55,29
2020,EFF2020-00582,solar_rooftop,125948.3,3231,238456.35,2890.045,194953.27,2291.436,0.465,0.05,0.583,0.155,0.011,engineering,RPT2020-000582,0,434,55.65,42
2023,EFF2023-00583,ag_pump,179120.7,43348,266560.18,2621.895,264847.24,2065.527,0.1,0.836,0.841,0.146,0.104,metered_savings,RPT2023-000583,1,471,31.96,73
2023,EFF2023-00584,solar_rooftop,210837.68,38283,151968.02,3517.704,388853.76,790.755,1.048,0.691,0.777,0.178,0.096,billing_analysis,RPT2023-000584,0,317,41.82,87
2020,EFF2020-00585,building_retrofit,91480.74,20651,463587.83,3431.099,98638.79,3240.829,0.793,1.185,0.867,0.058,0.102,onsite,RPT2020-000585,1,63,44.48,192
2024,EFF2024-00586,led,134054.07,25524,789505.32,756.341,171738.94,7645.643,1.535,0.902,0.814,0.128,0.239,engineering,RPT2024-000586,0,385,7.5,36
2018,EFF2018-00587,ag_pump,46998.23,8125,262763.32,4045.788,351027.81,2609.703,1.47,0.859,0.619,0.214,0.103,billing_analysis,RPT2018-000587,0,481,43.07,104
2024,EFF2024-00588,insulation,107137.75,28595,179178.16,2076.409,584730.74,1572.14,1.984,1.431,0.759,0.104,0.05,metered_savings,RPT2024-000588,0,494,65.54,192
2025,EFF2025-00589,insulation,45105.4,33194,664380.62,3799.437,236662.45,5871.043,0.1,0.05,0.939,0.0,0.15,metered_savings,RPT2025-000589,1,412,45.82,109
2019,EFF2019-00590,motor,182378.39,30244,506052.96,3667.92,320400.46,3582.846,2.268,1.584,0.796,0.102,0.085,metered_savings,RPT2019-000590,0,144,68.29,222
2019,EFF2019-00591,building_retrofit,34374.65,25203,15700.13,2981.621,469238.78,47.35,1.203,1.327,0.801,0.189,0.132,billing_analysis,RPT2019-000591,1,302,23.87,116
2018,EFF2018-00592,building_retrofit,198894.75,12522,537200.1,136.094,216069.63,5667.46,2.231,1.02,0.738,0.139,0.081,metered_savings,RPT2018-000592,1,174,82.57,114
2019,EFF2019-00593,ag_pump,198533.94,8961,267879.47,1981.578,561584.51,2508.629,1.244,0.508,0.98,0.146,0.238,onsite,RPT2019-000593,1,586,50.92,98
2021,EFF2021-00594,ag_pump,41767.81,14126,679122.49,426.463,120328.19,5643.271,0.467,1.721,0.876,0.0,0.146,billing_analysis,RPT2021-000594,1,146,100.0,110
2025,EFF2025-00595,motor,118117.15,37326,628715.56,2086.222,229539.01,3084.528,2.031,1.749,0.797,0.221,0.11,billing_analysis,RPT2025-000595,0,214,53.48,239
2020,EFF2020-00596,insulation,3790.25,10148,564244.86,786.674,295481.59,5970.986,1.355,0.684,0.856,0.203,0.03,engineering,RPT2020-000596,1,409,54.41,221
2019,EFF2019-00597,motor,127443.26,49422,787533.64,896.069,377683.82,5442.551,0.901,1.092,0.746,0.228,0.005,randomized,RPT2019-000597,1,472,37.92,42
2019,EFF2019-00598,insulation,24914.19,81,475591.14,1732.197,381711.63,1496.553,1.762,0.605,0.933,0.0,0.06,onsite,RPT2019-000598,1,184,61.21,40
2021,EFF2021-00599,led,131366.3,8733,76284.27,4296.948,108308.6,665.766,1.768,1.469,0.926,0.192,0.139,onsite,RPT2021-000599,1,240,51.05,186
2024,EFF2024-00600,solar_rooftop,205321.02,8672,443740.05,2030.916,494324.37,1210.406,0.647,0.803,0.761,0.106,0.05,onsite,RPT2024-000600,0,333,61.39,236
2022,EFF2022-00601,ag_pump,55796.0,21206,457330.91,683.839,380073.79,5450.911,1.326,1.177,0.622,0.067,0.1,onsite,RPT2022-000601,1,63,91.85,162
2024,EFF2024-00602,ag_pump,90445.1,6626,203832.94,3171.895,43396.82,2005.515,1.531,1.537,0.745,0.052,0.162,randomized,RPT2024-000602,0,646,64.74,49
2018,EFF2018-00603,building_retrofit,154841.72,17675,620893.19,3700.369,201115.47,3469.788,0.8,1.072,0.784,0.093,0.019,metered_savings,RPT2018-000603,1,374,70.85,209
2023,EFF2023-00604,building_retrofit,153804.62,43333,299584.05,3894.937,594798.15,2806.922,0.324,1.268,0.634,0.113,0.052,billing_analysis,RPT2023-000604,0,297,68.77,207
2022,EFF2022-00605,ag_pump,195149.87,13789,13225.28,2663.178,10675.96,153.966,1.165,0.949,0.98,0.154,0.24,engineering,RPT2022-000605,1,7,90.12,118
2023,EFF2023-00606,led,134303.02,20684,596142.54,817.097,113442.35,2789.769,0.416,0.249,0.627,0.107,0.12,billing_analysis,RPT2023-000606,0,278,22.81,162
2023,EFF2023-00607,led,51840.9,46886,336770.67,2269.511,539497.44,1179.645,1.986,0.05,0.859,0.144,0.234,engineering,RPT2023-000607,0,195,50.36,163
2023,EFF2023-00608,solar_rooftop,134867.39,10180,21265.09,1379.664,424868.55,255.169,0.743,1.909,0.69,0.026,0.099,randomized,RPT2023-000608,1,102,81.85,114
2022,EFF2022-00609,motor,21807.31,12612,234800.29,1526.472,530931.74,989.322,0.946,1.651,0.719,0.331,0.214,randomized,RPT2022-000609,0,573,70.4,76
2019,EFF2019-00610,led,111753.72,34877,132942.44,1401.628,539787.68,1424.401,1.717,0.797,0.686,0.198,0.017,billing_analysis,RPT2019-000610,0,103,68.27,129
2021,EFF2021-00611,solar_rooftop,67782.9,23800,313923.01,291.646,434174.23,2039.003,0.987,0.502,0.98,0.233,0.099,engineering,RPT2021-000611,0,608,59.18,78
2019,EFF2019-00612,solar_rooftop,61483.07,10954,317522.2,1453.151,460014.42,1876.195,1.517,0.215,0.545,0.055,0.062,metered_savings,RPT2019-000612,1,522,55.79,190
2023,EFF2023-00613,motor,12042.58,34480,386218.33,2153.426,335750.36,1998.638,0.204,0.446,0.876,0.129,0.096,randomized,RPT2023-000613,1,221,35.28,188
2021,EFF2021-00614,solar_rooftop,16548.5,35599,409602.38,4117.016,158840.0,3744.713,1.516,0.05,0.727,0.056,0.093,billing_analysis,RPT2021-000614,0,266,63.34,229
2022,EFF2022-00615,building_retrofit,119015.74,10416,588650.48,2385.858,498120.78,5247.278,1.721,1.914,0.6,0.12,0.06,billing_analysis,RPT2022-000615,1,477,49.42,83
2021,EFF2021-00616,solar_rooftop,215659.0,1827,439304.55,702.248,595604.03,2426.711,1.696,1.16,0.837,0.008,0.0,onsite,RPT2021-000616,1,573,61.15,113
2021,EFF2021-00617,ag_pump,85914.93,38964,10974.21,250.788,134930.36,92.18,0.821,0.602,0.582,0.255,0.013,randomized,RPT2021-000617,1,259,74.89,166
2020,EFF2020-00618,insulation,234528.24,18,780845.98,2350.51,446593.4,6593.903,0.97,2.941,0.646,0.195,0.096,randomized,RPT2020-000618,0,17,40.15,138
2018,EFF2018-00619,ag_pump,78178.5,875,295251.79,3335.474,356174.51,1163.892,0.35,1.227,0.681,0.1,0.104,metered_savings,RPT2018-000619,0,605,97.58,128
2018,EFF2018-00620,led,68475.95,39498,113431.81,546.123,108185.18,1217.1,1.721,1.068,0.697,0.163,0.023,metered_savings,RPT2018-000620,1,531,61.32,176
2022,EFF2022-00621,motor,97501.01,2862,247468.42,844.226,55672.78,1885.906,0.929,1.224,0.727,0.166,0.169,onsite,RPT2022-000621,0,289,90.23,56
2021,EFF2021-00622,ag_pump,75747.85,9530,605485.59,572.932,191030.85,5260.8,0.655,1.728,0.687,0.181,0.115,metered_savings,RPT2021-000622,1,497,69.01,42
2020,EFF2020-00623,solar_rooftop,165990.97,13133,112942.51,1680.279,44546.22,360.565,0.589,1.573,0.698,0.172,0.0,metered_savings,RPT2020-000623,1,384,79.11,26
2025,EFF2025-00624,smart_meter,111711.04,10422,771816.09,3399.646,378674.47,2806.245,0.152,0.398,0.884,0.204,0.095,onsite,RPT2025-000624,0,538,97.57,153
2021,EFF2021-00625,smart_meter,195556.07,31316,641716.62,4166.434,18904.43,2913.719,1.42,1.511,0.925,0.025,0.16,engineering,RPT2021-000625,0,111,77.01,83
2018,EFF2018-00626,led,28260.23,29201,332888.94,4452.691,43754.13,3248.287,0.818,0.952,0.522,0.206,0.054,metered_savings,RPT2018-000626,0,473,40.93,186
2023,EFF2023-00627,led,202381.86,42795,358406.95,4123.34,584687.31,2298.226,2.309,0.4,0.713,0.184,0.145,onsite,RPT2023-000627,0,559,89.41,212
2018,EFF2018-00628,ag_pump,125840.86,26048,145318.53,4278.233,188530.1,885.873,0.342,1.764,0.745,0.113,0.112,engineering,RPT2018-000628,1,109,53.64,84
2024,EFF2024-00629,ag_pump,111338.69,22301,135658.17,152.888,184461.09,531.293,0.819,0.703,0.917,0.086,0.085,billing_analysis,RPT2024-000629,0,181,38.77,121
2018,EFF2018-00630,solar_rooftop,40893.18,24756,61235.32,3849.568,537251.4,607.136,1.506,0.826,0.923,0.138,0.025,onsite,RPT2018-000630,1,433,71.55,165
2019,EFF2019-00631,smart_meter,204273.07,11491,19821.43,2252.909,49658.42,206.07,1.3,0.05,0.866,0.183,0.125,randomized,RPT2019-000631,1,626,70.26,65
2019,EFF2019-00632,solar_rooftop,80249.27,39566,464578.19,1460.72,231439.05,4317.626,0.785,0.301,0.674,0.027,0.037,engineering,RPT2019-000632,0,446,84.04,200
2019,EFF2019-00633,smart_meter,26381.45,29716,369438.98,4250.665,172684.03,2190.184,1.903,0.096,0.725,0.183,0.093,metered_savings,RPT2019-000633,0,625,58.4,225
2023,EFF2023-00634,insulation,3039.48,36245,22750.41,2821.949,105867.01,108.232,1.009,1.025,0.686,0.169,0.064,billing_analysis,RPT2023-000634,0,431,88.38,6
2025,EFF2025-00635,motor,78225.2,28396,65414.15,1942.485,319045.8,339.045,1.731,0.597,0.613,0.157,0.022,onsite,RPT2025-000635,0,197,58.55,98
2021,EFF2021-00636,hvac,112275.81,12746,759879.15,293.193,393023.23,5671.436,0.291,0.573,0.832,0.181,0.0,billing_analysis,RPT2021-000636,1,227,45.45,94
2021,EFF2021-00637,solar_rooftop,103386.76,16389,492654.04,867.549,253553.3,2362.148,1.388,0.559,0.98,0.06,0.168,onsite,RPT2021-000637,1,514,66.22,172
2025,EFF2025-00638,insulation,174427.99,35671,271848.23,2669.089,595058.91,1646.462,1.139,1.591,0.825,0.19,0.107,billing_analysis,RPT2025-000638,1,116,44.0,37
2020,EFF2020-00639,building_retrofit,42915.56,48256,550950.24,2105.466,113503.26,2442.073,0.507,0.821,0.693,0.062,0.107,engineering,RPT2020-000639,0,552,64.19,6
2019,EFF2019-00640,building_retrofit,162467.39,17620,680954.49,3421.071,473278.18,7805.08,1.7,2.465,0.738,0.16,0.077,billing_analysis,RPT2019-000640,1,303,46.9,113
2020,EFF2020-00641,smart_meter,210177.17,34141,455412.47,3970.866,142373.82,1077.853,0.723,0.603,0.552,0.09,0.089,randomized,RPT2020-000641,0,390,16.42,62
2018,EFF2018-00642,smart_meter,162671.25,37257,629169.94,4000.078,212061.55,1586.191,1.218,1.205,0.67,0.229,0.103,onsite,RPT2018-000642,1,227,53.57,172
2018,EFF2018-00643,building_retrofit,229258.47,23506,231871.75,966.628,169905.87,2091.25,1.415,0.605,0.741,0.081,0.05,billing_analysis,RPT2018-000643,0,154,54.26,92
2025,EFF2025-00644,motor,16760.22,33332,699118.78,4127.258,212760.74,5544.308,1.92,0.311,0.823,0.263,0.107,billing_analysis,RPT2025-000644,1,520,44.7,3
2020,EFF2020-00645,motor,169605.17,1947,279874.7,2652.854,186671.91,1577.184,0.519,1.644,0.98,0.08,0.237,randomized,RPT2020-000645,1,266,46.59,81
2022,EFF2022-00646,led,244484.25,18131,355071.41,3990.139,74759.67,3829.643,1.23,0.215,0.98,0.119,0.28,onsite,RPT2022-000646,1,642,37.71,53
2022,EFF2022-00647,smart_meter,70194.08,33364,310850.99,2861.749,494129.42,1518.675,2.1,0.288,0.799,0.226,0.203,engineering,RPT2022-000647,1,344,51.64,48
2023,EFF2023-00648,hvac,193071.59,14355,522959.72,360.878,494377.31,5017.58,0.428,1.027,0.872,0.265,0.046,randomized,RPT2023-000648,1,259,30.39,11
2020,EFF2020-00649,led,33843.72,22404,62381.86,821.818,8589.1,544.291,1.123,0.618,0.708,0.28,0.001,billing_analysis,RPT2020-000649,1,370,43.62,183
2024,EFF2024-00650,motor,44703.94,25842,430497.36,1412.404,66313.29,4166.386,1.101,0.765,0.884,0.153,0.022,billing_analysis,RPT2024-000650,0,257,83.34,170
2019,EFF2019-00651,hvac,82582.29,46930,230430.2,1632.702,250498.4,2704.187,1.823,0.814,0.98,0.036,0.079,onsite,RPT2019-000651,0,451,36.97,51
2023,EFF2023-00652,building_retrofit,174220.51,49430,487071.42,4423.086,433924.28,2934.388,0.287,0.05,0.687,0.156,0.188,engineering,RPT2023-000652,1,609,63.01,150
2020,EFF2020-00653,building_retrofit,32935.91,24845,728948.34,1388.422,509809.14,7775.855,1.158,1.553,0.731,0.034,0.129,onsite,RPT2020-000653,0,258,4.6,76
2021,EFF2021-00654,motor,10474.81,15469,600958.18,4056.992,485001.01,3125.365,1.782,1.719,0.86,0.07,0.004,engineering,RPT2021-000654,0,471,59.1,80
2018,EFF2018-00655,led,159529.4,31110,423744.81,3493.865,553652.94,4625.112,0.91,0.939,0.949,0.248,0.022,engineering,RPT2018-000655,1,14,50.17,146
2021,EFF2021-00656,building_retrofit,214761.6,4978,602120.0,3277.133,82634.82,6384.422,1.173,0.05,0.866,0.138,0.077,metered_savings,RPT2021-000656,0,121,69.32,70
2021,EFF2021-00657,building_retrofit,97790.52,1204,679793.14,3484.863,579526.7,2763.192,1.608,1.856,0.866,0.182,0.0,metered_savings,RPT2021-000657,1,510,41.56,142
2020,EFF2020-00658,solar_rooftop,93343.03,32801,473762.63,145.902,598148.2,3635.702,1.489,1.505,0.956,0.226,0.07,engineering,RPT2020-000658,1,399,85.06,150
2018,EFF2018-00659,hvac,59892.06,8694,61438.99,4413.384,382188.73,231.35,1.266,1.12,0.622,0.134,0.155,randomized,RPT2018-000659,1,594,59.24,114
2020,EFF2020-00660,led,97249.0,39211,348642.3,1512.39,293655.78,4037.268,1.503,0.697,0.682,0.116,0.085,onsite,RPT2020-000660,0,240,100.0,129
2023,EFF2023-00661,insulation,127844.98,659,589603.99,1088.614,510885.49,6328.006,0.78,0.05,0.883,0.046,0.012,billing_analysis,RPT2023-000661,0,311,40.43,102
2025,EFF2025-00662,solar_rooftop,178112.31,15560,623984.42,2870.935,207520.37,5315.563,1.426,0.499,0.662,0.0,0.093,onsite,RPT2025-000662,0,381,22.1,38
2023,EFF2023-00663,building_retrofit,53766.68,8676,103456.65,1047.605,368634.93,994.336,0.632,0.832,0.786,0.103,0.123,engineering,RPT2023-000663,1,239,57.52,131
2025,EFF2025-00664,insulation,16198.28,6932,242570.3,2290.397,581072.24,2503.762,0.26,0.05,0.805,0.084,0.0,onsite,RPT2025-000664,1,53,66.04,55
2021,EFF2021-00665,solar_rooftop,167779.62,39201,791392.8,703.875,205780.31,2562.528,1.403,1.308,0.629,0.093,0.151,billing_analysis,RPT2021-000665,1,575,62.22,111
2021,EFF2021-00666,insulation,62019.08,9879,437999.04,2548.831,76023.39,3319.615,1.258,0.686,0.639,0.258,0.168,metered_savings,RPT2021-000666,0,353,51.33,231
2023,EFF2023-00667,insulation,2131.48,13549,630994.57,3559.882,419321.81,2891.436,0.808,0.651,0.665,0.057,0.112,engineering,RPT2023-000667,0,543,39.61,15
2019,EFF2019-00668,smart_meter,172876.21,9522,273365.44,544.54,67001.77,1306.771,1.085,1.175,0.8,0.167,0.3,metered_savings,RPT2019-000668,0,638,62.97,115
2019,EFF2019-00669,insulation,9872.87,14961,378552.08,3529.419,473073.64,830.686,0.861,1.024,0.705,0.217,0.214,engineering,RPT2019-000669,0,473,60.55,174
2021,EFF2021-00670,building_retrofit,185522.73,31919,735359.21,1102.054,467129.99,5491.459,0.666,0.908,0.858,0.19,0.048,onsite,RPT2021-000670,1,495,47.15,235
2022,EFF2022-00671,motor,233697.81,33296,696637.87,2576.93,488187.91,6438.126,0.726,0.734,0.687,0.241,0.142,randomized,RPT2022-000671,1,618,96.35,27
2024,EFF2024-00672,solar_rooftop,140933.21,27779,530197.5,4053.366,43606.27,4022.331,0.204,1.068,0.98,0.026,0.083,engineering,RPT2024-000672,1,438,60.37,64
2018,EFF2018-00673,ag_pump,73044.65,46775,745110.75,550.492,53651.28,7012.204,0.583,0.935,0.807,0.0,0.118,metered_savings,RPT2018-000673,0,177,58.1,183
2019,EFF2019-00674,led,124378.81,44321,298308.83,3593.674,70229.79,2710.007,1.372,1.395,0.95,0.151,0.0,metered_savings,RPT2019-000674,0,391,80.1,68
2023,EFF2023-00675,solar_rooftop,182847.04,17301,480522.96,48.957,490541.0,2027.695,0.1,0.733,0.633,0.089,0.202,randomized,RPT2023-000675,0,525,17.4,182
2019,EFF2019-00676,smart_meter,239407.07,10680,198104.37,123.828,235051.79,1061.42,1.375,0.433,0.757,0.0,0.0,randomized,RPT2019-000676,0,308,47.25,106
2025,EFF2025-00677,building_retrofit,31908.35,12231,317296.57,1933.355,97645.53,2498.738,0.438,2.514,0.776,0.115,0.131,randomized,RPT2025-000677,1,580,82.71,91
2021,EFF2021-00678,ag_pump,33897.46,166,56480.79,142.919,361522.47,354.321,1.967,1.432,0.907,0.13,0.067,engineering,RPT2021-000678,1,444,62.65,46
