safe_survey_survey_wave_id,safe_survey_respondent_household_id,safe_survey_perceived_safety_night_score,safe_survey_perceived_safety_day_score,safe_survey_victimization_any_flag,safe_survey_victimization_property_flag,safe_survey_victimization_violent_flag,safe_survey_reporting_to_police_flag,safe_survey_reason_not_reported_code,safe_survey_trust_in_police_score,safe_survey_fear_of_crime_index,safe_survey_neighborhood_disorder_index,safe_survey_social_cohesion_score,safe_survey_collective_efficacy_score,safe_survey_gun_heard_frequency,safe_survey_drug_activity_observed_frequency,safe_survey_lighting_adequacy_score,safe_survey_public_space_usage_score,safe_survey_survey_mode_type,safe_survey_weight_calibration_factor
WAVE001,HH000000440,0,2,0,1,0,0,OTHER,3,0.1748,0.0888,0.4213,0.6615,RARELY,NEVER,0,0.2962,WEB,0.582344
WAVE002,HH000000441,6,1,0,0,0,1,NO_TRUST,3,0.803,0.8721,0.6962,0.3604,SOMETIMES,NEVER,0,0.8474,WEB,0.969173
WAVE003,HH000000442,4,7,0,0,0,1,NO_TRUST,7,0.9296,0.6364,0.4655,0.3649,RARELY,NEVER,7,0.3653,PHONE,1.800127
WAVE004,HH000000443,3,2,0,0,0,0,NOT_APPLICABLE,4,0.3956,0.1325,0.6343,0.6462,SOMETIMES,OFTEN,7,0.7952,IN_PERSON,1.487591
WAVE005,HH000000444,7,7,0,0,0,0,NOT_APPLICABLE,0,0.0752,0.3344,0.6074,0.5553,NEVER,RARELY,7,0.9477,WEB,0.787686
WAVE006,HH000000445,2,6,1,0,0,0,TOO_MINOR,3,0.5651,0.6037,0.78,0.1932,NEVER,SOMETIMES,6,0.5896,PHONE,0.620923
WAVE007,HH000000446,7,8,0,0,0,0,OTHER,1,0.9057,0.0025,0.74,0.0513,RARELY,RARELY,1,0.8366,WEB,1.263934
WAVE008,HH000000447,3,1,0,0,0,1,NO_TRUST,9,0.7584,0.4092,0.5866,0.5615,OFTEN,NEVER,3,0.633,WEB,0.600184
WAVE009,HH000000448,2,9,0,0,0,1,FEAR_RETALIATION,9,0.5349,0.2772,0.4278,0.1645,NEVER,RARELY,2,0.1714,WEB,2.183484
WAVE010,HH000000449,9,7,0,0,0,0,NOT_APPLICABLE,7,0.7416,0.4911,0.292,0.6801,SOMETIMES,SOMETIMES,8,0.0103,IN_PERSON,2.809668
WAVE011,HH000000450,8,8,1,0,0,1,NOT_APPLICABLE,3,0.1088,0.8651,0.3569,0.4616,NEVER,OFTEN,7,0.8103,PHONE,2.0259
WAVE012,HH000000451,10,0,1,0,1,1,NOT_APPLICABLE,9,0.9625,0.9156,0.1335,0.2165,NEVER,RARELY,4,0.2083,PHONE,1.531305
WAVE013,HH000000452,9,3,0,0,0,0,NOT_APPLICABLE,5,0.7187,0.6041,0.4316,0.3639,OFTEN,RARELY,0,0.2188,MAIL,1.991288
WAVE014,HH000000453,9,0,0,0,0,0,NOT_APPLICABLE,8,0.2715,0.1978,0.2779,0.1414,NEVER,NEVER,10,0.7493,PHONE,2.880921
WAVE015,HH000000454,7,2,0,0,0,1,NOT_APPLICABLE,0,0.8013,0.0969,0.9437,0.9176,RARELY,OFTEN,2,0.4581,WEB,1.292434
WAVE016,HH000000455,6,2,0,0,1,0,NOT_APPLICABLE,8,0.9368,0.3406,0.4955,0.353,NEVER,SOMETIMES,4,0.288,WEB,2.344054
WAVE017,HH000000456,3,10,0,0,0,1,NOT_APPLICABLE,5,0.449,0.6272,0.9318,0.1357,SOMETIMES,NEVER,6,0.1191,WEB,2.392008
WAVE018,HH000000457,1,2,0,0,0,1,NOT_APPLICABLE,9,0.7202,0.7772,0.237,0.4837,NEVER,RARELY,2,0.6364,WEB,0.666636
WAVE019,HH000000458,0,9,0,0,0,1,TOO_MINOR,8,0.411,0.4003,0.8451,0.6814,NEVER,SOMETIMES,6,0.857,PHONE,2.75244
WAVE020,HH000000459,2,5,0,1,0,0,NOT_APPLICABLE,5,0.0866,0.3393,0.9099,0.9319,NEVER,RARELY,7,0.6505,WEB,2.469165
WAVE021,HH000000460,9,1,0,0,1,1,NOT_APPLICABLE,1,0.9013,0.3282,0.5385,0.4753,NEVER,RARELY,2,0.2172,PHONE,1.224909
WAVE022,HH000000461,5,4,0,0,0,0,NOT_APPLICABLE,7,0.3113,0.8487,0.8976,0.9563,SOMETIMES,RARELY,5,0.172,MAIL,0.589276
WAVE023,HH000000462,9,9,0,0,0,0,TOO_MINOR,1,0.955,0.0539,0.6633,0.9079,RARELY,RARELY,4,0.3386,IN_PERSON,1.014983
WAVE024,HH000000463,4,8,0,0,0,0,NO_TRUST,8,0.9933,0.3351,0.931,0.1799,RARELY,RARELY,3,0.6501,IN_PERSON,2.09947
WAVE025,HH000000464,3,9,0,1,0,1,NOT_APPLICABLE,7,0.9632,0.1318,0.1968,0.2463,NEVER,RARELY,3,0.3792,PHONE,2.692711
WAVE026,HH000000465,5,9,0,0,1,0,NOT_APPLICABLE,10,0.4963,0.903,0.0193,0.1969,RARELY,SOMETIMES,5,0.5109,WEB,1.426645
WAVE027,HH000000466,2,4,1,1,0,1,NOT_APPLICABLE,3,0.2842,0.1475,0.3611,0.0086,SOMETIMES,RARELY,7,0.907,WEB,2.041872
WAVE028,HH000000467,2,7,1,0,1,0,NOT_APPLICABLE,0,0.3525,0.2667,0.8061,0.0675,SOMETIMES,RARELY,5,0.5523,WEB,1.22356
WAVE029,HH000000468,5,8,0,0,0,0,FEAR_RETALIATION,4,0.2077,0.165,0.6653,0.306,RARELY,SOMETIMES,7,0.2318,WEB,1.033366
WAVE030,HH000000469,0,1,0,0,0,1,NOT_APPLICABLE,5,0.7887,0.4594,0.6008,0.9283,NEVER,RARELY,9,0.2949,IN_PERSON,1.476391
WAVE031,HH000000470,2,3,0,1,1,0,NOT_APPLICABLE,0,0.1547,0.3219,0.4925,0.4895,NEVER,RARELY,8,0.334,WEB,2.186865
WAVE032,HH000000471,10,0,0,0,0,0,TOO_MINOR,4,0.9109,0.9356,0.3166,0.8538,RARELY,RARELY,1,0.3064,WEB,2.221117
WAVE033,HH000000472,2,3,0,0,0,0,FEAR_RETALIATION,7,0.5143,0.2657,0.5706,0.5276,NEVER,SOMETIMES,8,0.302,WEB,1.576605
WAVE034,HH000000473,7,10,0,0,1,0,NOT_APPLICABLE,3,0.0283,0.564,0.1212,0.67,SOMETIMES,RARELY,7,0.7123,PHONE,0.327079
WAVE035,HH000000474,5,4,1,1,0,1,NOT_APPLICABLE,5,0.8612,0.8456,0.4599,0.9404,NEVER,OFTEN,10,0.4786,WEB,2.447154
WAVE036,HH000000475,10,4,0,1,0,0,OTHER,3,0.3916,0.1086,0.5562,0.2513,NEVER,NEVER,2,0.0526,MAIL,2.188795
WAVE037,HH000000476,6,10,0,1,0,0,NOT_APPLICABLE,2,0.3448,0.3928,0.9489,0.3595,NEVER,RARELY,8,0.8204,PHONE,1.657085
WAVE038,HH000000477,8,1,0,0,0,1,NO_TRUST,1,0.9693,0.6167,0.9547,0.563,RARELY,RARELY,0,0.7096,WEB,2.32991
WAVE039,HH000000478,4,1,1,0,0,1,NOT_APPLICABLE,0,0.6771,0.7752,0.8002,0.6749,NEVER,SOMETIMES,5,0.0161,PHONE,2.369194
WAVE040,HH000000479,4,7,0,0,0,0,NOT_APPLICABLE,7,0.5928,0.245,0.1962,0.3132,RARELY,OFTEN,6,0.0139,PHONE,1.148778
WAVE001,HH000000480,1,8,0,0,0,0,NOT_APPLICABLE,0,0.0546,0.4031,0.5073,0.6904,NEVER,NEVER,6,0.5263,PHONE,1.776369
WAVE002,HH000000481,5,5,0,1,0,0,NO_TRUST,6,0.296,0.27,0.1291,0.7707,NEVER,SOMETIMES,10,0.0062,WEB,2.587224
WAVE003,HH000000482,1,8,0,0,0,0,NOT_APPLICABLE,9,0.6716,0.3991,0.3109,0.3206,RARELY,NEVER,5,0.0691,PHONE,0.23173
WAVE004,HH000000483,9,10,0,0,0,0,NOT_APPLICABLE,10,0.7381,0.612,0.2149,0.0195,NEVER,RARELY,4,0.8443,MAIL,1.694104
WAVE005,HH000000484,4,5,0,0,0,1,NO_TIME,4,0.2754,0.1018,0.5536,0.3832,SOMETIMES,NEVER,9,0.0098,PHONE,1.630649
WAVE006,HH000000485,6,1,0,1,0,1,TOO_MINOR,2,0.4959,0.6865,0.8744,0.5726,RARELY,RARELY,6,0.3536,PHONE,0.845669
WAVE007,HH000000486,10,4,0,0,0,0,NOT_APPLICABLE,9,0.6604,0.1656,0.8513,0.2012,OFTEN,RARELY,9,0.3827,WEB,0.263163
WAVE008,HH000000487,4,8,0,0,1,0,FEAR_RETALIATION,10,0.2715,0.7801,0.5768,0.4044,RARELY,RARELY,9,0.8089,PHONE,1.970453
WAVE009,HH000000488,2,10,0,0,0,1,NOT_APPLICABLE,6,0.2843,0.8162,0.68,0.7526,RARELY,RARELY,7,0.9526,WEB,1.139042
WAVE010,HH000000489,6,4,0,1,1,0,NOT_APPLICABLE,2,0.7479,0.6011,0.7242,0.0828,SOMETIMES,NEVER,2,0.8415,PHONE,1.201249
WAVE011,HH000000490,6,2,0,0,0,1,NOT_APPLICABLE,1,0.4425,0.3849,0.326,0.8204,NEVER,RARELY,4,0.5521,PHONE,1.051004
WAVE012,HH000000491,4,1,1,1,0,1,NOT_APPLICABLE,4,0.7298,0.3022,0.4821,0.2309,NEVER,SOMETIMES,6,0.1261,WEB,1.848704
WAVE013,HH000000492,7,3,0,0,0,1,NO_TRUST,3,0.7986,0.084,0.2044,0.1768,OFTEN,SOMETIMES,0,0.7829,PHONE,2.155913
WAVE014,HH000000493,7,0,1,1,0,0,NOT_APPLICABLE,6,0.5378,0.1578,0.4359,0.6421,SOMETIMES,NEVER,5,0.5365,WEB,1.294013
WAVE015,HH000000494,6,0,1,0,0,0,NOT_APPLICABLE,8,0.8081,0.9295,0.2025,0.5481,SOMETIMES,RARELY,7,0.8744,MAIL,0.70455
WAVE016,HH000000495,9,0,0,0,0,1,NO_TRUST,3,0.2633,0.1063,0.2204,0.094,NEVER,RARELY,6,0.7364,WEB,0.810438
WAVE017,HH000000496,2,10,1,1,0,0,TOO_MINOR,7,0.4332,0.0475,0.1147,0.8834,NEVER,RARELY,5,0.4504,PHONE,0.567925
WAVE018,HH000000497,1,4,0,0,0,0,NOT_APPLICABLE,3,0.2294,0.4646,0.5777,0.4244,SOMETIMES,OFTEN,0,0.7652,WEB,1.366213
WAVE019,HH000000498,10,9,0,0,0,0,NO_TIME,7,0.9676,0.1181,0.1945,0.0511,RARELY,NEVER,7,0.2886,IN_PERSON,1.156378
WAVE020,HH000000499,4,0,0,1,0,1,NO_TRUST,10,0.0492,0.0681,0.6771,0.1746,RARELY,RARELY,7,0.5736,PHONE,0.634898
WAVE021,HH000000500,7,3,0,1,0,0,NO_TRUST,4,0.31,0.5652,0.2878,0.3805,NEVER,NEVER,9,0.457,WEB,0.43088
WAVE022,HH000000501,9,6,1,1,0,1,NOT_APPLICABLE,8,0.3402,0.9249,0.1013,0.6772,RARELY,OFTEN,2,0.5616,PHONE,1.225219
WAVE023,HH000000502,3,4,0,1,1,1,NOT_APPLICABLE,0,0.3289,0.0912,0.5963,0.5611,SOMETIMES,NEVER,0,0.0863,WEB,0.668923
WAVE024,HH000000503,2,0,0,1,0,0,NOT_APPLICABLE,9,0.8743,0.8007,0.2131,0.5064,OFTEN,NEVER,2,0.8071,PHONE,2.457682
WAVE025,HH000000504,1,2,0,1,0,1,NOT_APPLICABLE,3,0.8466,0.2594,0.5899,0.3078,NEVER,RARELY,6,0.3767,PHONE,0.470563
WAVE026,HH000000505,0,10,0,1,0,0,NOT_APPLICABLE,10,0.8698,0.2443,0.0455,0.1161,SOMETIMES,NEVER,0,0.7003,PHONE,1.034744
WAVE027,HH000000506,7,8,1,1,0,0,NOT_APPLICABLE,6,0.5473,0.6099,0.6723,0.3013,RARELY,SOMETIMES,9,0.276,MAIL,1.301949
WAVE028,HH000000507,2,0,1,0,0,1,NOT_APPLICABLE,10,0.7219,0.3302,0.6577,0.6067,NEVER,RARELY,2,0.7729,WEB,2.929578
WAVE029,HH000000508,7,7,0,0,0,1,NOT_APPLICABLE,0,0.0341,0.1334,0.1603,0.9111,NEVER,NEVER,3,0.5357,PHONE,0.469823
WAVE030,HH000000509,9,3,1,0,0,1,NOT_APPLICABLE,9,0.4425,0.7282,0.621,0.334,RARELY,RARELY,0,0.5287,WEB,0.848966
WAVE031,HH000000510,7,9,0,1,0,1,OTHER,6,0.4543,0.5466,0.2016,0.6512,NEVER,NEVER,10,0.7226,WEB,2.647843
WAVE032,HH000000511,1,3,0,0,0,1,NO_TIME,2,0.8883,0.4383,0.0808,0.6571,RARELY,SOMETIMES,4,0.9883,PHONE,1.984652
WAVE033,HH000000512,0,2,0,1,0,0,NO_TIME,2,0.171,0.5174,0.1075,0.5536,NEVER,NEVER,0,0.5111,PHONE,0.209828
WAVE034,HH000000513,8,9,0,1,0,1,NO_TIME,3,0.2839,0.4432,0.9806,0.0648,SOMETIMES,SOMETIMES,4,0.0126,PHONE,0.90702
WAVE035,HH000000514,8,7,1,0,0,0,NOT_APPLICABLE,7,0.7477,0.3523,0.5084,0.4245,SOMETIMES,RARELY,3,0.9426,PHONE,2.172844
WAVE036,HH000000515,4,8,0,0,0,1,NOT_APPLICABLE,1,0.4331,0.6784,0.2463,0.3189,RARELY,RARELY,4,0.0604,PHONE,2.00602
WAVE037,HH000000516,10,3,0,0,0,0,NO_TRUST,1,0.4869,0.883,0.5772,0.3361,RARELY,NEVER,3,0.3306,WEB,2.26936
WAVE038,HH000000517,1,1,0,0,0,0,NOT_APPLICABLE,8,0.1443,0.8776,0.6317,0.7,RARELY,NEVER,7,0.5849,WEB,0.867227
WAVE039,HH000000518,4,2,0,0,0,1,NOT_APPLICABLE,10,0.0282,0.8663,0.5728,0.953,RARELY,NEVER,4,0.3109,WEB,0.636697
WAVE040,HH000000519,1,3,1,0,0,0,NOT_APPLICABLE,10,0.6828,0.1473,0.0325,0.5604,NEVER,NEVER,8,0.7104,IN_PERSON,1.002843
WAVE001,HH000000520,4,5,1,1,0,1,TOO_MINOR,10,0.9812,0.0028,0.5042,0.3747,RARELY,RARELY,3,0.1728,WEB,0.452583
WAVE002,HH000000521,6,0,0,0,1,1,NOT_APPLICABLE,2,0.4734,0.7605,0.1286,0.0796,OFTEN,NEVER,5,0.5446,PHONE,0.727183
WAVE003,HH000000522,4,9,0,1,0,0,NO_TRUST,1,0.7658,0.0096,0.4698,0.0944,RARELY,SOMETIMES,5,0.5935,WEB,1.743778
WAVE004,HH000000523,0,7,0,0,0,0,NOT_APPLICABLE,7,0.9235,0.8794,0.4884,0.1592,OFTEN,OFTEN,6,0.9523,MAIL,2.919951
WAVE005,HH000000524,3,3,1,0,0,1,NOT_APPLICABLE,1,0.3095,0.5493,0.5454,0.1159,NEVER,NEVER,10,0.7173,WEB,0.916487
WAVE006,HH000000525,10,9,0,0,0,0,FEAR_RETALIATION,7,0.6846,0.6102,0.1413,0.4381,SOMETIMES,NEVER,3,0.0156,PHONE,2.241396
WAVE007,HH000000526,4,7,0,1,1,0,TOO_MINOR,0,0.433,0.5696,0.7629,0.09,SOMETIMES,RARELY,8,0.9927,PHONE,0.486902
WAVE008,HH000000527,3,6,1,0,0,0,NO_TRUST,7,0.3582,0.6818,0.5005,0.3733,RARELY,NEVER,10,0.3062,WEB,1.690113
WAVE009,HH000000528,7,6,1,0,0,1,NOT_APPLICABLE,6,0.7724,0.1845,0.9468,0.8137,RARELY,RARELY,8,0.4457,WEB,2.002714
WAVE010,HH000000529,7,9,1,0,0,0,NOT_APPLICABLE,10,0.2835,0.7538,0.2107,0.9369,RARELY,RARELY,4,0.9905,WEB,1.656666
WAVE011,HH000000530,9,3,0,0,0,0,TOO_MINOR,3,0.9871,0.0589,0.0836,0.5414,NEVER,NEVER,1,0.2743,PHONE,0.605524
WAVE012,HH000000531,2,0,0,1,0,1,NOT_APPLICABLE,4,0.7058,0.8035,0.403,0.735,RARELY,RARELY,8,0.7742,PHONE,0.749017
WAVE013,HH000000532,8,10,0,0,0,0,FEAR_RETALIATION,0,0.3893,0.8851,0.9875,0.5899,OFTEN,NEVER,10,0.1771,WEB,1.677991
WAVE014,HH000000533,5,6,1,0,0,0,NOT_APPLICABLE,8,0.904,0.9971,0.2329,0.4839,NEVER,RARELY,4,0.4098,PHONE,1.544821
WAVE015,HH000000534,5,9,0,0,0,1,FEAR_RETALIATION,3,0.581,0.2783,0.1643,0.1272,RARELY,RARELY,9,0.3502,WEB,0.388803
WAVE016,HH000000535,4,2,1,1,0,0,NO_TIME,9,0.7608,0.1749,0.9978,0.1644,NEVER,RARELY,9,0.2669,PHONE,2.510098
WAVE017,HH000000536,0,6,1,0,0,0,NOT_APPLICABLE,4,0.8607,0.6651,0.2193,0.8911,SOMETIMES,NEVER,5,0.5029,WEB,0.349821
WAVE018,HH000000537,10,6,1,0,0,1,TOO_MINOR,5,0.9063,0.5054,0.5083,0.1481,NEVER,NEVER,1,0.1265,WEB,2.463167
WAVE019,HH000000538,9,5,1,0,1,0,NOT_APPLICABLE,8,0.8931,0.2011,0.8447,0.0378,RARELY,SOMETIMES,3,0.3439,WEB,2.889847
WAVE020,HH000000539,2,10,0,0,0,0,TOO_MINOR,8,0.168,0.842,0.0084,0.2634,NEVER,RARELY,10,0.8068,WEB,1.828321
WAVE021,HH000000540,1,3,1,0,0,0,NOT_APPLICABLE,4,0.6596,0.0159,0.3695,0.1258,NEVER,SOMETIMES,2,0.3861,WEB,1.056521
WAVE022,HH000000541,8,10,0,0,0,0,NOT_APPLICABLE,1,0.8733,0.1544,0.927,0.8603,SOMETIMES,SOMETIMES,1,0.8122,WEB,0.888439
WAVE023,HH000000542,0,1,0,0,0,1,NOT_APPLICABLE,6,0.2288,0.2498,0.1137,0.0978,NEVER,RARELY,0,0.7695,MAIL,2.906193
WAVE024,HH000000543,3,4,0,0,0,1,NOT_APPLICABLE,8,0.9704,0.3967,0.0978,0.8967,RARELY,NEVER,9,0.5657,MAIL,2.46411
WAVE025,HH000000544,9,0,0,0,0,1,NOT_APPLICABLE,0,0.781,0.2222,0.1984,0.5793,NEVER,RARELY,10,0.4524,WEB,0.205402
WAVE026,HH000000545,2,6,1,0,0,0,NO_TRUST,9,0.5651,0.4198,0.1485,0.9438,RARELY,SOMETIMES,9,0.8835,MAIL,0.380256
WAVE027,HH000000546,0,3,1,0,0,1,TOO_MINOR,8,0.8061,0.5836,0.4051,0.4062,NEVER,NEVER,6,0.4736,WEB,1.976732
WAVE028,HH000000547,8,0,0,0,0,1,OTHER,5,0.2534,0.9076,0.4455,0.0654,SOMETIMES,SOMETIMES,6,0.0303,IN_PERSON,2.37541
WAVE029,HH000000548,1,2,0,1,0,1,TOO_MINOR,10,0.0794,0.1218,0.9652,0.6641,RARELY,SOMETIMES,9,0.9584,PHONE,1.39365
WAVE030,HH000000549,10,6,0,0,0,1,NOT_APPLICABLE,1,0.861,0.7159,0.3186,0.665,RARELY,NEVER,7,0.9802,WEB,1.202579
WAVE031,HH000000550,8,0,0,0,0,0,FEAR_RETALIATION,2,0.7519,0.0231,0.6958,0.2037,NEVER,SOMETIMES,10,0.0216,PHONE,1.708149
WAVE032,HH000000551,8,10,1,0,1,1,TOO_MINOR,7,0.4208,0.8188,0.1604,0.1818,NEVER,RARELY,5,0.0822,WEB,0.735729
WAVE033,HH000000552,10,5,0,0,0,1,NOT_APPLICABLE,6,0.1688,0.1956,0.3141,0.4399,NEVER,RARELY,7,0.8508,MAIL,2.264736
WAVE034,HH000000553,9,7,1,0,0,1,FEAR_RETALIATION,9,0.8664,0.9723,0.9485,0.4249,SOMETIMES,RARELY,0,0.2117,WEB,1.12994
WAVE035,HH000000554,0,0,1,0,0,0,NOT_APPLICABLE,1,0.6663,0.1742,0.4398,0.7401,OFTEN,RARELY,2,0.51,WEB,1.629567
WAVE036,HH000000555,1,1,0,0,0,0,FEAR_RETALIATION,1,0.0839,0.0946,0.8725,0.6468,RARELY,OFTEN,3,0.528,WEB,2.967378
WAVE037,HH000000556,9,9,0,0,0,0,NOT_APPLICABLE,6,0.6092,0.1491,0.5134,0.9145,NEVER,NEVER,2,0.9132,PHONE,0.643244
WAVE038,HH000000557,3,2,0,0,0,0,TOO_MINOR,1,0.4562,0.6835,0.8301,0.5026,SOMETIMES,NEVER,10,0.4049,PHONE,0.825871
WAVE039,HH000000558,6,3,0,0,0,0,NO_TIME,9,0.6054,0.9828,0.8025,0.1371,RARELY,RARELY,7,0.0738,WEB,1.358574
WAVE040,HH000000559,7,7,0,0,0,1,NOT_APPLICABLE,2,0.8392,0.4705,0.5953,0.4628,RARELY,OFTEN,10,0.1365,PHONE,1.179219
WAVE001,HH000000560,7,8,0,1,0,1,NO_TRUST,1,0.0815,0.8861,0.094,0.0058,SOMETIMES,NEVER,6,0.4798,PHONE,0.460556
WAVE002,HH000000561,2,5,0,0,0,0,FEAR_RETALIATION,6,0.7776,0.9199,0.2907,0.5792,NEVER,NEVER,6,0.7961,PHONE,2.316882
WAVE003,HH000000562,8,7,0,1,0,1,NOT_APPLICABLE,8,0.3528,0.5623,0.4577,0.8834,OFTEN,NEVER,9,0.4057,PHONE,1.147583
WAVE004,HH000000563,8,7,1,0,0,1,NOT_APPLICABLE,9,0.6704,0.163,0.2042,0.0282,OFTEN,NEVER,2,0.9399,WEB,0.534534
WAVE005,HH000000564,0,3,0,0,0,0,OTHER,6,0.979,0.5382,0.734,0.2075,RARELY,RARELY,0,0.4076,IN_PERSON,2.20416
WAVE006,HH000000565,9,6,0,0,0,0,TOO_MINOR,3,0.187,0.9295,0.0443,0.2461,NEVER,NEVER,6,0.5991,WEB,0.807394
WAVE007,HH000000566,6,3,0,1,0,1,NOT_APPLICABLE,10,0.0704,0.8379,0.8443,0.6388,NEVER,NEVER,10,0.0937,MAIL,1.493427
WAVE008,HH000000567,5,4,0,0,0,1,NO_TRUST,8,0.2942,0.6917,0.5075,0.6092,RARELY,SOMETIMES,7,0.5597,WEB,2.51623
WAVE009,HH000000568,1,7,0,0,0,0,NO_TRUST,10,0.7643,0.3829,0.9103,0.0981,RARELY,RARELY,9,0.6156,PHONE,1.0029
WAVE010,HH000000569,9,5,0,1,0,1,NOT_APPLICABLE,1,0.9012,0.6029,0.4179,0.0143,RARELY,SOMETIMES,1,0.0283,WEB,2.492169
WAVE011,HH000000570,0,3,0,0,0,0,FEAR_RETALIATION,8,0.2116,0.6846,0.0247,0.4975,RARELY,NEVER,3,0.6566,IN_PERSON,1.609803
WAVE012,HH000000571,1,8,0,0,0,1,FEAR_RETALIATION,0,0.8825,0.2575,0.4956,0.9454,RARELY,SOMETIMES,1,0.4815,WEB,1.371827
WAVE013,HH000000572,4,6,0,0,0,1,NO_TIME,2,0.0723,0.5153,0.492,0.582,NEVER,OFTEN,0,0.7671,MAIL,0.822453
WAVE014,HH000000573,1,7,0,0,0,0,NO_TRUST,9,0.6382,0.477,0.829,0.524,NEVER,RARELY,3,0.5167,WEB,0.221388
WAVE015,HH000000574,2,8,1,0,0,0,NOT_APPLICABLE,1,0.3167,0.4809,0.1018,0.9754,SOMETIMES,OFTEN,8,0.5442,WEB,2.653816
WAVE016,HH000000575,1,3,1,0,1,0,FEAR_RETALIATION,6,0.5381,0.052,0.5491,0.074,RARELY,NEVER,7,0.2272,MAIL,0.488643
WAVE017,HH000000576,6,8,0,0,0,1,FEAR_RETALIATION,3,0.8172,0.3601,0.881,0.0274,RARELY,SOMETIMES,3,0.3282,PHONE,1.8296
WAVE018,HH000000577,2,2,0,1,1,0,TOO_MINOR,9,0.0806,0.1092,0.4688,0.1272,OFTEN,NEVER,8,0.5092,WEB,0.5856
WAVE019,HH000000578,7,8,1,1,0,0,FEAR_RETALIATION,10,0.6965,0.9195,0.4847,0.542,OFTEN,SOMETIMES,0,0.5412,WEB,2.760283
WAVE020,HH000000579,9,8,0,0,0,1,NOT_APPLICABLE,7,0.2815,0.4134,0.8233,0.6576,NEVER,RARELY,7,0.063,WEB,2.920161
WAVE021,HH000000580,0,4,1,1,0,0,TOO_MINOR,7,0.3173,0.7669,0.0371,0.0871,RARELY,NEVER,5,0.1788,PHONE,2.234267
WAVE022,HH000000581,5,10,0,0,0,1,NOT_APPLICABLE,0,0.3222,0.3381,0.1333,0.2492,SOMETIMES,OFTEN,2,0.2421,PHONE,2.238067
WAVE023,HH000000582,1,1,0,0,0,1,NOT_APPLICABLE,10,0.0772,0.5793,0.9623,0.2254,NEVER,RARELY,5,0.9198,WEB,2.370769
WAVE024,HH000000583,9,5,0,1,0,0,TOO_MINOR,6,0.3418,0.3293,0.5347,0.5554,SOMETIMES,RARELY,3,0.7537,MAIL,2.298393
WAVE025,HH000000584,10,1,1,0,0,0,NOT_APPLICABLE,3,0.5121,0.6874,0.931,0.3624,NEVER,RARELY,6,0.9387,WEB,0.303827
WAVE026,HH000000585,1,2,1,0,0,0,FEAR_RETALIATION,8,0.5268,0.2296,0.7947,0.7886,RARELY,NEVER,1,0.0525,PHONE,2.505475
WAVE027,HH000000586,10,9,0,0,0,0,NOT_APPLICABLE,5,0.1906,0.3416,0.9544,0.6046,NEVER,RARELY,0,0.9846,WEB,0.257894
WAVE028,HH000000587,2,0,0,0,1,0,NOT_APPLICABLE,5,0.5706,0.3664,0.8259,0.9934,NEVER,NEVER,0,0.442,MAIL,2.502399
WAVE029,HH000000588,6,0,0,0,0,1,TOO_MINOR,3,0.3556,0.8951,0.5101,0.6862,NEVER,OFTEN,8,0.7519,WEB,2.380394
WAVE030,HH000000589,9,8,1,1,0,1,NOT_APPLICABLE,2,0.3118,0.9372,0.0821,0.519,NEVER,NEVER,7,0.4475,PHONE,2.548012
WAVE031,HH000000590,0,0,0,1,0,1,NO_TIME,9,0.8555,0.1457,0.3492,0.6209,RARELY,RARELY,1,0.8751,WEB,0.535528
WAVE032,HH000000591,1,6,1,0,0,1,NOT_APPLICABLE,5,0.5809,0.558,0.2255,0.3394,NEVER,NEVER,9,0.5151,PHONE,1.781857
WAVE033,HH000000592,10,4,1,0,1,1,NOT_APPLICABLE,5,0.8734,0.3286,0.111,0.3629,NEVER,NEVER,2,0.8919,MAIL,2.760054
WAVE034,HH000000593,4,8,0,0,1,0,FEAR_RETALIATION,0,0.0258,0.7069,0.7597,0.4807,RARELY,NEVER,5,0.6476,IN_PERSON,1.568831
WAVE035,HH000000594,4,3,0,0,0,0,NOT_APPLICABLE,5,0.8646,0.997,0.1774,0.8571,NEVER,SOMETIMES,2,0.9046,WEB,0.903148
WAVE036,HH000000595,4,10,0,0,0,0,NOT_APPLICABLE,3,0.4867,0.7161,0.9925,0.5112,NEVER,RARELY,7,0.3805,MAIL,0.51935
WAVE037,HH000000596,6,6,1,0,1,1,NOT_APPLICABLE,2,0.788,0.7063,0.3235,0.2574,NEVER,RARELY,3,0.287,MAIL,2.1395
WAVE038,HH000000597,1,9,0,0,0,0,NOT_APPLICABLE,9,0.0035,0.3151,0.0264,0.7995,NEVER,SOMETIMES,3,0.1674,MAIL,1.724842
WAVE039,HH000000598,8,8,0,0,1,1,NO_TRUST,3,0.7293,0.0374,0.3665,0.1572,OFTEN,NEVER,7,0.2774,PHONE,1.996069
WAVE040,HH000000599,1,6,1,0,0,0,TOO_MINOR,4,0.8413,0.9722,0.7154,0.9796,OFTEN,NEVER,9,0.6965,WEB,0.432361
WAVE001,HH000000600,9,3,0,0,0,0,NOT_APPLICABLE,7,0.2269,0.8893,0.8255,0.8098,NEVER,NEVER,6,0.9661,PHONE,0.411688
WAVE002,HH000000601,2,7,0,1,1,0,NOT_APPLICABLE,5,0.9245,0.3998,0.0781,0.9004,RARELY,RARELY,10,0.2321,WEB,2.596208
