ph_env_reference_year,ph_env_country_iso2,ph_env_region_nuts_code,ph_env_heatwave_days_count,ph_env_heat_related_mortality_count,ph_env_cold_spell_days_count,ph_env_air_pollution_attributable_deaths_count,ph_env_noise_exposure_l_den_share_pct,ph_env_urban_heat_island_index,ph_env_green_space_access_pct,ph_env_water_quality_compliance_pct,ph_env_bathing_water_quality_code,ph_env_chemical_exposure_indicator,ph_env_endocrine_disruptor_risk_index,ph_env_climate_adaptation_measures_count,ph_env_health_alert_system_flag,ph_env_data_source,ph_env_methodology_version,ph_env_revision_round,ph_env_data_extract_date
2020,SE,FI36,15,1437,11,20913,7.65,4.84,85.08,91.0,UNKNOWN,13.34,23.11,45,1,COPERNICUS_DERIVED,ENVH_V3,SECOND,2025-01-01
2021,CY,HR4,18,2251,3,15881,21.45,6.4,71.31,92.53,EXCELLENT,41.47,18.62,78,1,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2026-01-05
2022,FR,BE50,12,946,6,4255,32.36,7.47,54.5,85.98,GOOD,62.32,52.24,24,1,EEA_ENV_HEALTH,ENVH_V1,FLASH,2024-09-15
2023,IT,IT31,14,2218,16,6496,25.15,5.04,65.95,84.76,SUFFICIENT,50.73,15.43,66,1,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-12-29
2024,NL,DE23,35,210,5,9424,29.22,7.92,75.77,89.05,POOR,64.71,76.11,117,1,COPERNICUS_DERIVED,ENVH_V2,SECOND,2024-03-25
2025,SI,IE153,12,1651,15,31794,24.12,4.21,82.52,80.41,UNKNOWN,42.56,65.82,78,1,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2024-12-29
2006,BG,CY365,17,1084,17,21016,9.25,3.79,21.88,91.23,EXCELLENT,57.03,23.8,28,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2025-01-21
2007,EE,ES11,2,258,5,15110,20.22,5.87,80.02,92.07,GOOD,13.44,52.86,42,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2024-10-03
2008,HU,HR84,5,521,27,28562,33.04,3.55,65.06,75.66,SUFFICIENT,64.02,71.78,38,0,COPERNICUS_DERIVED,ENVH_V1,SECOND,2025-08-15
2009,LU,DE956,13,1312,8,28030,7.18,1.48,30.84,80.33,POOR,48.6,20.16,7,0,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2024-06-28
2010,RO,SI93,4,60,7,26964,20.39,4.75,39.45,82.12,UNKNOWN,37.76,49.26,57,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2025-04-25
2011,AT,EE318,4,202,12,30167,18.93,1.11,77.99,81.87,EXCELLENT,52.25,36.95,13,0,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2024-11-13
2012,CZ,NL304,19,231,2,26114,35.83,0.6,49.96,95.45,GOOD,44.41,28.28,22,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2024-10-08
2013,DE,LU281,7,84,22,6931,28.08,0.82,71.34,82.44,SUFFICIENT,77.41,36.97,31,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2025-11-04
2014,LV,RO9,8,26,15,33512,24.38,6.81,61.92,91.85,POOR,17.22,61.3,67,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2024-04-10
2015,PL,BG859,20,4408,8,9856,34.05,2.04,51.65,88.07,UNKNOWN,60.07,56.37,40,1,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2025-08-17
2016,ES,LT84,15,1720,4,31805,10.1,3.77,38.6,79.89,EXCELLENT,41.58,39.7,39,1,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-03-20
2017,HR,SE8,19,4249,3,27416,9.98,5.32,45.37,75.07,GOOD,10.81,8.27,47,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2025-11-01
2018,FI,LU8,6,1456,5,18487,9.89,2.48,43.26,79.44,SUFFICIENT,32.99,21.09,71,1,EEA_ENV_HEALTH,ENVH_V3,FLASH,2024-12-09
2019,IE,FI882,2,42,0,20003,7.15,3.63,73.88,76.05,POOR,38.32,37.03,76,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2024-12-28
2020,MT,SK637,25,3230,10,28304,19.39,0.88,57.1,72.66,UNKNOWN,16.07,62.46,33,1,COPERNICUS_DERIVED,ENVH_V1,SECOND,2025-01-17
2021,SK,LT4,19,178,11,23117,15.78,4.3,27.21,83.29,EXCELLENT,45.64,44.69,60,1,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2024-07-27
2022,BE,LV9,15,71,13,14083,26.86,4.36,58.8,96.67,GOOD,22.24,45.98,29,1,EEA_ENV_HEALTH,ENVH_V2,FLASH,2024-04-23
2023,DK,FR67,1,107,8,16702,18.91,1.22,39.48,95.05,SUFFICIENT,40.48,7.72,68,1,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2024-07-09
2024,GR,MT6,23,968,12,1136,31.05,5.35,80.71,84.85,POOR,41.12,24.95,63,1,COPERNICUS_DERIVED,ENVH_V3,SECOND,2024-08-31
2025,LT,GR7,37,17,0,23172,13.89,2.83,33.11,77.95,UNKNOWN,58.3,31.9,93,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2025-09-12
2006,PT,DE4,1,5,27,23924,15.51,4.0,40.76,81.95,EXCELLENT,67.16,62.0,36,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2024-07-13
2007,SE,RO799,18,2152,8,16316,13.48,6.39,26.07,90.76,GOOD,60.63,41.38,10,0,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2026-02-15
2008,CY,IE327,15,1376,8,2305,22.15,3.09,73.03,85.93,SUFFICIENT,12.28,58.29,19,0,COPERNICUS_DERIVED,ENVH_V2,SECOND,2026-02-21
2009,FR,LU3,9,481,8,3575,8.04,0.57,46.7,78.58,POOR,33.58,19.55,37,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2024-11-09
2010,IT,FI83,8,702,17,42696,23.23,4.98,17.87,85.32,UNKNOWN,8.88,54.29,19,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2024-09-21
2011,NL,EE32,4,673,18,2224,24.81,0.89,37.44,94.12,EXCELLENT,18.16,41.26,63,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2024-12-14
2012,SI,SI75,13,399,0,3951,17.97,2.8,58.81,85.44,GOOD,8.22,60.84,45,0,COPERNICUS_DERIVED,ENVH_V1,SECOND,2024-11-26
2013,BG,DE484,13,259,6,14493,13.4,5.01,61.46,88.05,SUFFICIENT,42.84,44.42,3,1,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2024-08-27
2014,EE,LU65,22,240,22,17736,12.7,5.64,73.46,73.99,POOR,70.73,24.57,46,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2025-05-31
2015,HU,BG348,17,1512,13,15650,8.76,0.49,66.28,94.11,UNKNOWN,65.63,79.53,71,0,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2025-01-03
2016,LU,IE457,10,1081,19,27947,32.27,2.7,75.67,88.05,EXCELLENT,22.04,32.65,36,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2024-09-28
2017,RO,DE249,11,2137,17,25168,26.94,7.59,33.08,85.51,GOOD,13.64,41.74,78,1,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2025-01-08
2018,AT,IT97,11,1171,8,43552,22.37,1.15,21.69,87.15,SUFFICIENT,44.11,65.46,38,1,EEA_ENV_HEALTH,ENVH_V1,FLASH,2024-02-17
2019,CZ,IT5,16,35,6,26314,14.47,0.85,69.1,71.64,POOR,9.87,13.97,59,1,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-09-04
2020,DE,FR555,10,1071,10,41362,24.87,1.02,23.66,80.64,UNKNOWN,25.31,12.85,31,1,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-12-17
2021,LV,RO5,24,198,17,22033,34.56,1.26,56.62,85.75,EXCELLENT,65.04,69.16,70,1,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2024-09-05
2022,PL,NL17,30,2860,19,15490,33.75,2.02,49.35,85.88,GOOD,26.86,63.27,42,1,EEA_ENV_HEALTH,ENVH_V3,FLASH,2024-02-25
2023,ES,SI6,14,774,1,4161,32.58,2.55,47.56,83.37,SUFFICIENT,31.25,56.4,49,1,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2025-03-24
2024,HR,LV5,36,2631,7,12122,16.16,3.09,19.05,78.14,POOR,52.02,70.3,100,1,COPERNICUS_DERIVED,ENVH_V1,SECOND,2025-10-14
2025,FI,CY85,33,1106,7,952,22.4,3.9,48.68,82.73,UNKNOWN,26.43,43.54,57,1,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2025-09-24
2006,IE,PT99,2,36,10,7686,14.23,6.51,30.6,92.98,EXCELLENT,20.68,27.93,1,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2025-03-25
2007,MT,NL310,1,19,23,18094,31.42,6.03,51.7,92.66,GOOD,20.25,29.89,42,0,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2025-08-09
2008,SK,AT38,8,765,0,15912,24.52,4.95,66.81,80.84,SUFFICIENT,29.64,65.61,56,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2024-02-06
2009,BE,NL649,17,199,13,32625,34.38,1.86,56.32,96.82,POOR,25.75,27.07,29,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2025-11-13
2010,DK,BG9,1,48,2,22404,11.67,2.15,90.32,77.67,UNKNOWN,22.48,18.82,37,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2026-01-22
2011,GR,DK68,14,15,11,25402,18.7,5.72,83.37,82.8,EXCELLENT,45.3,16.41,22,0,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2025-11-08
2012,LT,BG2,23,3524,23,6329,9.22,1.09,34.1,77.43,GOOD,31.41,31.79,22,1,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-01-01
2013,PT,EE45,20,1074,20,12583,23.25,1.17,21.73,81.19,SUFFICIENT,40.53,11.43,58,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2024-08-29
2014,SE,LT398,13,2575,10,14861,15.62,6.04,21.35,84.44,POOR,73.14,82.57,50,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2026-01-28
2015,CY,SK381,14,79,18,21347,24.87,3.41,40.21,73.08,UNKNOWN,28.77,72.97,48,1,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2024-08-10
2016,FR,DK5,21,621,17,6083,13.92,5.52,51.37,82.88,EXCELLENT,59.6,71.75,64,1,COPERNICUS_DERIVED,ENVH_V1,SECOND,2025-11-08
2017,IT,HR5,18,2791,0,25195,39.65,0.97,57.74,91.64,GOOD,68.1,88.47,51,1,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2026-02-19
2018,NL,CY33,8,1382,6,24373,35.52,3.25,48.07,74.94,SUFFICIENT,23.84,37.56,8,1,EEA_ENV_HEALTH,ENVH_V2,FLASH,2025-11-30
2019,SI,CZ873,17,442,10,27624,22.16,6.48,27.16,87.77,POOR,29.56,7.4,30,0,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2025-10-02
2020,BG,PL188,13,741,7,22942,22.8,4.29,54.64,93.77,UNKNOWN,45.88,55.55,46,1,COPERNICUS_DERIVED,ENVH_V3,SECOND,2025-01-25
2021,EE,SE205,25,865,10,25146,13.28,0.65,35.71,85.44,EXCELLENT,33.88,47.61,51,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2024-01-24
2022,HU,SE36,32,814,10,45778,20.08,1.63,76.31,79.17,GOOD,62.42,18.12,6,1,EEA_ENV_HEALTH,ENVH_V1,FLASH,2024-01-21
2023,LU,HR2,21,1627,2,24196,6.61,3.92,19.15,79.44,SUFFICIENT,27.82,38.55,50,0,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-10-26
2024,RO,CY25,4,293,3,8227,27.68,3.18,37.22,95.2,POOR,14.75,50.39,70,1,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-12-22
2025,AT,CZ554,11,371,15,28113,11.41,1.72,43.48,71.39,UNKNOWN,65.79,60.87,113,1,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2024-11-06
2006,CZ,NL67,14,176,22,26373,33.13,2.56,79.97,95.2,EXCELLENT,18.4,35.3,29,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2024-10-25
2007,DE,SE7,17,2575,25,13045,25.86,4.05,71.17,85.81,GOOD,59.98,75.1,21,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2025-04-09
2008,LV,DE74,6,549,13,19836,20.82,2.21,74.16,73.94,SUFFICIENT,15.16,18.03,46,0,COPERNICUS_DERIVED,ENVH_V1,SECOND,2026-02-04
2009,PL,BE87,11,1738,5,10185,29.09,1.79,63.55,79.08,POOR,68.29,21.2,46,0,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2025-01-27
2010,ES,FR53,18,3969,21,20414,20.65,5.98,17.66,74.41,UNKNOWN,13.25,52.19,62,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2024-01-28
2011,HR,LT3,17,2896,22,14742,12.48,2.07,62.03,82.76,EXCELLENT,7.97,5.59,17,0,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2025-01-27
2012,FI,LT230,18,669,13,25567,28.74,4.61,45.02,93.32,GOOD,58.27,76.34,50,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2024-01-15
2013,IE,BE12,11,574,22,4235,31.67,1.56,34.95,86.43,SUFFICIENT,28.13,64.59,21,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2026-01-01
2014,MT,RO838,17,1930,4,5731,12.37,3.19,33.65,78.16,POOR,12.21,16.22,63,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2024-12-26
2015,SK,CY93,19,3549,4,26611,10.49,3.56,59.07,77.54,UNKNOWN,57.09,16.46,40,0,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2025-09-04
2016,BE,HU50,5,467,16,5140,25.53,4.0,63.48,91.66,EXCELLENT,69.64,20.09,72,1,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-10-26
2017,DK,DE1,5,388,16,20042,34.8,6.3,85.7,79.46,GOOD,9.11,58.28,59,1,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2025-05-29
2018,GR,HR24,16,317,15,44872,36.39,5.48,24.18,100.0,SUFFICIENT,49.29,45.51,37,1,EEA_ENV_HEALTH,ENVH_V3,FLASH,2024-06-15
2019,LT,GR40,19,1202,1,12823,14.43,6.36,82.92,79.65,POOR,26.37,24.78,39,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2025-06-06
2020,PT,NL2,10,518,5,26215,26.87,3.06,54.07,77.74,UNKNOWN,55.34,71.41,93,0,COPERNICUS_DERIVED,ENVH_V1,SECOND,2025-01-24
2021,SE,SE19,21,791,11,22086,35.72,2.07,68.59,88.44,EXCELLENT,40.15,48.78,64,0,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2024-09-29
2022,CY,SE9,22,2431,14,21133,36.65,5.16,80.7,82.05,GOOD,43.07,63.05,89,1,EEA_ENV_HEALTH,ENVH_V2,FLASH,2024-06-26
2023,FR,EE54,7,786,18,26042,36.25,7.59,23.7,98.82,SUFFICIENT,48.01,68.42,11,0,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2024-06-08
2024,IT,DK9,24,8,17,13659,40.81,1.92,40.08,84.17,POOR,52.95,39.3,76,1,COPERNICUS_DERIVED,ENVH_V3,SECOND,2025-03-02
2025,NL,CZ77,18,592,5,34796,26.7,2.77,81.1,90.42,UNKNOWN,82.5,76.88,84,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2025-09-05
2006,SI,LT183,7,525,19,39362,23.93,3.97,25.27,73.19,EXCELLENT,30.82,9.07,42,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2025-04-02
2007,BG,IE171,9,616,3,17268,35.09,6.19,29.02,71.47,GOOD,38.71,44.03,39,0,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-03-15
2008,EE,EE10,13,2302,25,38261,5.44,1.2,64.34,94.27,SUFFICIENT,43.27,40.65,51,0,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-01-30
2009,HU,IE185,18,488,18,15486,10.48,1.49,29.73,83.81,POOR,31.66,30.05,6,1,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2025-07-19
2010,LU,MT86,14,2596,14,34138,6.12,6.74,40.64,80.27,UNKNOWN,13.42,65.96,53,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2024-01-13
2011,RO,DK35,13,3137,25,15502,9.64,5.01,17.39,74.38,EXCELLENT,70.92,41.81,25,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2025-08-29
2012,AT,FR52,20,344,19,6504,25.05,4.07,77.04,78.14,GOOD,66.02,85.85,14,0,COPERNICUS_DERIVED,ENVH_V1,SECOND,2026-02-16
2013,CZ,IT81,8,1533,18,9766,35.18,2.26,32.83,75.69,SUFFICIENT,59.96,72.86,62,0,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2024-02-21
2014,DE,HR752,14,1360,7,1056,43.78,0.61,74.2,70.37,POOR,14.59,26.56,20,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2025-08-28
2015,LV,EE543,21,1986,6,9856,36.89,3.16,78.52,86.36,UNKNOWN,72.58,66.22,27,1,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2025-01-26
2016,PL,LT68,22,3279,14,10829,18.05,4.03,36.09,79.18,EXCELLENT,22.13,56.39,35,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2024-09-04
2017,ES,SI56,19,2881,21,24415,29.35,6.67,58.07,88.19,GOOD,13.13,24.95,19,1,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2025-01-19
2018,HR,SE102,6,420,21,10377,5.44,6.03,66.32,88.04,SUFFICIENT,59.81,30.37,44,1,EEA_ENV_HEALTH,ENVH_V1,FLASH,2025-01-07
2019,FI,EE2,24,2997,19,37081,10.33,5.47,65.8,77.77,POOR,35.99,20.87,57,0,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-11-13
2020,IE,EE50,9,197,20,18566,36.62,7.49,54.96,85.05,UNKNOWN,17.38,51.77,45,0,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-07-02
2021,MT,BG608,20,1845,16,3192,11.58,6.43,54.26,82.99,EXCELLENT,55.15,23.31,24,1,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2024-09-21
2022,SK,SE745,20,1033,16,12726,20.37,4.07,30.5,95.37,GOOD,49.32,15.72,74,1,EEA_ENV_HEALTH,ENVH_V3,FLASH,2025-04-04
2023,BE,MT42,24,1766,6,18546,6.34,2.92,35.06,78.81,SUFFICIENT,9.33,58.63,60,1,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2025-04-11
2024,DK,LU7,21,2886,2,15357,19.27,5.15,44.53,85.18,POOR,49.66,59.19,26,1,COPERNICUS_DERIVED,ENVH_V1,SECOND,2024-02-13
2025,GR,DE662,26,1124,15,21179,21.73,2.25,43.55,92.49,UNKNOWN,23.43,46.19,35,1,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2025-11-16
2006,LT,FR308,8,540,28,9389,32.98,6.1,82.03,78.18,EXCELLENT,55.08,9.35,52,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2024-10-17
2007,PT,CY3,12,618,19,12223,21.83,6.39,52.73,82.04,GOOD,63.05,55.89,26,0,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2025-03-26
2008,SE,MT2,16,1133,18,12742,26.46,5.49,43.3,73.09,SUFFICIENT,33.48,59.81,42,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2024-07-16
2009,CY,BG25,5,1081,24,7307,15.25,2.55,21.35,91.0,POOR,68.67,25.79,36,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2025-07-05
2010,FR,EE18,12,633,18,3251,16.41,2.28,65.9,72.31,UNKNOWN,67.45,22.06,64,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2024-10-05
2011,IT,NL387,17,2269,23,15489,32.27,5.0,33.9,94.09,EXCELLENT,40.17,38.31,52,0,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2025-07-08
2012,NL,DK538,16,2735,22,30328,43.7,1.15,79.99,85.39,GOOD,77.64,50.18,63,0,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-03-13
2013,SI,BE723,13,2704,12,26305,6.59,6.29,55.13,74.8,SUFFICIENT,46.8,13.89,60,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2024-09-17
2014,BG,FR925,9,829,9,16957,36.43,5.55,59.67,86.56,POOR,70.42,61.61,66,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2024-06-05
2015,EE,DK51,9,1616,15,20377,22.33,4.47,77.64,90.36,UNKNOWN,17.89,38.03,24,1,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2025-09-16
2016,HU,HU228,5,482,16,22712,12.77,2.08,61.25,83.53,EXCELLENT,8.49,66.01,12,1,COPERNICUS_DERIVED,ENVH_V1,SECOND,2026-02-07
2017,LU,HR88,22,1523,11,11704,35.35,1.01,65.98,85.1,GOOD,25.21,30.71,51,1,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2024-06-24
2018,RO,NL55,13,2384,4,2362,33.78,2.4,48.85,89.15,SUFFICIENT,59.79,86.26,25,1,EEA_ENV_HEALTH,ENVH_V2,FLASH,2024-03-15
2019,AT,LV31,20,2783,5,16901,21.37,2.25,55.31,84.55,POOR,12.08,32.89,74,1,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2025-05-31
2020,CZ,MT502,18,1343,17,26370,29.09,4.01,44.23,89.03,UNKNOWN,33.17,64.66,39,1,COPERNICUS_DERIVED,ENVH_V3,SECOND,2025-11-16
2021,DE,GR982,14,2145,7,18665,36.99,4.29,75.51,83.26,EXCELLENT,60.8,50.79,49,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2024-11-09
2022,LV,IE8,13,899,4,38776,7.89,0.78,42.54,82.22,GOOD,40.86,32.72,51,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2025-08-25
2023,PL,PL989,20,1423,17,1271,32.19,6.04,57.91,90.34,SUFFICIENT,55.13,49.66,82,1,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2025-04-04
2024,ES,DE978,30,1621,13,12821,33.12,6.59,83.55,87.08,POOR,57.93,19.06,18,1,COPERNICUS_DERIVED,ENVH_V2,SECOND,2024-12-21
2025,HR,HU112,7,76,5,9192,31.18,6.02,41.07,78.52,UNKNOWN,43.84,19.31,85,1,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2026-01-24
2006,FI,IT42,13,273,15,26441,20.2,6.61,92.51,74.03,EXCELLENT,46.95,68.93,35,1,EEA_ENV_HEALTH,ENVH_V3,FLASH,2025-01-27
2007,IE,SI39,7,474,9,21744,37.29,4.91,76.73,86.38,GOOD,54.6,30.57,42,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2024-11-02
2008,MT,NL412,5,700,27,12682,15.45,2.22,18.7,87.1,SUFFICIENT,66.94,79.2,41,0,COPERNICUS_DERIVED,ENVH_V1,SECOND,2025-03-22
2009,SK,EE688,15,1356,10,2284,31.55,2.63,56.98,85.92,POOR,46.87,62.34,46,0,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2025-05-02
2010,BE,IE28,18,626,22,31194,34.94,2.04,56.22,79.9,UNKNOWN,67.79,28.28,33,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2025-11-12
2011,DK,AT65,11,227,15,13969,26.05,4.05,27.0,76.63,EXCELLENT,41.21,38.71,44,0,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2025-05-16
2012,GR,CZ34,6,171,1,13985,33.63,2.71,74.98,85.37,GOOD,27.5,66.22,23,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2025-06-21
2013,LT,SK4,14,389,17,1241,10.66,1.95,43.82,94.18,SUFFICIENT,7.8,40.43,41,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2025-06-22
2014,PT,BG42,20,1240,13,11327,15.41,5.86,64.49,87.4,POOR,64.82,43.77,66,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2024-02-18
2015,SE,BG52,5,79,0,19640,32.08,7.51,25.28,69.8,UNKNOWN,11.07,31.02,10,1,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2025-10-01
2016,CY,EE980,12,29,20,4032,18.21,0.64,73.83,72.82,EXCELLENT,56.89,50.94,67,0,COPERNICUS_DERIVED,ENVH_V2,SECOND,2024-11-16
2017,FR,SE984,20,3981,3,11901,45.18,1.3,43.78,90.73,GOOD,22.02,26.02,41,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2025-12-01
2018,IT,DE985,13,2898,12,11370,31.61,7.48,25.17,97.8,SUFFICIENT,30.6,71.85,91,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2025-08-18
2019,NL,AT3,24,2577,0,28587,41.05,5.84,19.6,85.2,POOR,40.71,11.87,22,1,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2024-08-28
2020,SI,MT815,8,549,9,38605,15.05,4.68,71.71,87.38,UNKNOWN,71.74,13.51,79,0,COPERNICUS_DERIVED,ENVH_V1,SECOND,2025-05-06
2021,BG,PL575,21,1424,6,5483,22.64,5.17,41.09,86.71,EXCELLENT,15.0,31.7,39,1,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2025-04-18
2022,EE,FR11,6,46,19,34358,28.24,4.69,63.78,76.94,GOOD,28.4,39.89,13,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2026-01-14
2023,HU,AT55,12,696,5,7526,16.41,0.92,67.04,81.61,SUFFICIENT,21.88,61.46,97,1,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2024-11-27
2024,LU,AT640,16,1273,1,15829,14.18,3.9,43.33,76.03,POOR,12.39,21.88,91,1,COPERNICUS_DERIVED,ENVH_V3,SECOND,2025-12-30
2025,RO,IE316,25,2658,0,7118,33.83,7.83,61.87,94.81,UNKNOWN,51.44,72.93,79,1,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2025-06-23
2006,AT,IT401,14,2220,26,2626,20.95,4.47,40.48,75.59,EXCELLENT,27.0,70.27,25,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2024-07-05
2007,CZ,SI487,5,939,1,14512,36.0,5.81,43.42,79.61,GOOD,61.69,9.84,34,0,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-11-05
2008,DE,DK563,6,248,7,11572,38.68,7.06,31.37,99.13,SUFFICIENT,78.88,82.42,35,0,COPERNICUS_DERIVED,ENVH_V2,SECOND,2024-05-16
2009,LV,IT821,18,4244,21,16443,17.55,5.81,44.09,92.53,POOR,62.44,72.04,3,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2025-02-10
2010,PL,FI2,4,154,11,21695,29.95,6.06,45.32,85.48,UNKNOWN,69.6,61.98,67,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2025-07-22
