demo_migflow_move_year,demo_migflow_origin_nuts_code,demo_migflow_destination_nuts_code,demo_migflow_movement_scope_code,demo_migflow_schengen_flag,demo_migflow_residence_permit_type,demo_migflow_citizenship_iso2,demo_migflow_age_at_move,demo_migflow_sex,demo_migflow_household_size_at_move,demo_migflow_primary_reason_for_move,demo_migflow_employment_status_before_move,demo_migflow_employment_status_after_move,demo_migflow_commute_change_minutes,demo_migflow_distance_km_estimate,demo_migflow_cross_border_worker_flag,demo_migflow_inflow_count,demo_migflow_outflow_count,demo_migflow_survey_weight,demo_migflow_data_collection_wave
2021,DK3,LV85,INTERNAL,1,WORK,AT,18,M,1,WORK,STUDENT,STUDENT,25,1700,0,250,235,1.9645,2025Q3
2022,IT552,HU29,CROSS_BORDER,1,WORK,GR,21,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,60,2739,1,250,250,2.4553,2022Q4
2023,HR149,ES513,INTRA_EU,1,WORK,RO,24,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-27,2580,0,271,259,2.904,2025Q1
2024,BG414,ES486,EXTRA_EU,1,WORK,DK,27,M,4,PROTECTION,INACTIVE,INACTIVE,-114,2108,0,270,238,3.3355,2022Q2
2025,GR751,IE19,INTERNAL,1,WORK,LU,30,F,5,FAMILY,STUDENT,STUDENT,-60,1933,0,266,234,0.7528,2024Q3
2026,SE26,PL5,CROSS_BORDER,1,WORK,BE,33,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,75,2147,1,288,239,0.5831,2026Q4
2015,CZ949,BG1,INTRA_EU,1,WORK,HU,36,M,1,WORK,EMPLOYED,EMPLOYED,-88,808,0,262,240,1.1443,2024Q1
2016,SE553,BE5,EXTRA_EU,1,WORK,SK,39,F,2,OTHER,INACTIVE,INACTIVE,-38,656,0,258,245,2.1739,2026Q2
2017,LV37,ES461,INTERNAL,0,WORK,EE,42,T,3,RETIREMENT,STUDENT,STUDENT,19,2329,0,263,263,2.892,2023Q3
2018,FI580,IT564,CROSS_BORDER,0,WORK,MT,45,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-20,1309,1,271,285,2.3132,2025Q4
2019,EE778,NL7,INTRA_EU,1,WORK,BG,48,F,5,FAMILY,EMPLOYED,EMPLOYED,-25,884,0,276,265,1.2165,2023Q1
2020,PL870,SI590,EXTRA_EU,1,WORK,IE,51,T,6,STUDY,INACTIVE,INACTIVE,13,404,0,291,272,0.573,2025Q2
2021,RO5,MT81,INTERNAL,1,WORK,SI,54,M,1,WORK,STUDENT,STUDENT,-5,773,0,259,275,0.762,2022Q3
2022,DE84,DE225,CROSS_BORDER,1,WORK,FI,57,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,91,2659,0,296,270,1.7226,2024Q4
2023,SK6,SE171,INTRA_EU,0,WORK,NL,60,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-11,2106,0,16,44,2.7915,2022Q1
2024,DK849,SI90,EXTRA_EU,1,WORK,HR,63,M,4,PROTECTION,INACTIVE,INACTIVE,7,333,0,19,23,0.3893,2024Q2
2025,FR6,DK697,INTERNAL,1,WORK,IT,66,F,5,FAMILY,STUDENT,STUDENT,49,2144,0,27,36,1.1543,2026Q3
2026,CY10,FI347,CROSS_BORDER,1,WORK,ES,69,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-96,460,1,23,53,0.9626,2023Q4
2015,HR5,PL424,INTRA_EU,1,WORK,FR,72,M,1,WORK,EMPLOYED,EMPLOYED,-70,11,0,39,40,1.7999,2026Q1
2016,CZ5,IE4,EXTRA_EU,1,WORK,PL,75,F,2,OTHER,INACTIVE,INACTIVE,67,2352,1,41,55,1.6936,2023Q2
2017,PL122,HR374,INTERNAL,0,WORK,CY,78,T,3,RETIREMENT,STUDENT,STUDENT,-60,1909,0,54,51,0.3083,2025Q3
2018,HR799,LV8,CROSS_BORDER,1,WORK,LV,81,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,3,274,0,23,62,0.7713,2022Q4
2019,IT59,FI68,INTRA_EU,1,WORK,SE,84,F,5,FAMILY,EMPLOYED,EMPLOYED,14,2119,0,21,53,0.6295,2025Q1
2020,SK4,IT855,EXTRA_EU,1,WORK,DE,87,T,6,STUDY,INACTIVE,INACTIVE,27,915,1,29,61,3.0038,2022Q2
2021,PT3,DK496,INTERNAL,1,WORK,PT,0,M,1,WORK,STUDENT,STUDENT,83,1645,0,47,69,1.2552,2024Q3
2022,IE84,SK76,CROSS_BORDER,1,WORK,CZ,3,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-99,1648,1,35,81,2.4815,2026Q4
2023,RO81,CY617,INTRA_EU,1,WORK,LT,6,T,3,RETIREMENT,EMPLOYED,EMPLOYED,113,1029,0,58,48,3.3888,2024Q1
2024,NL571,IE317,EXTRA_EU,1,WORK,AT,9,M,4,PROTECTION,INACTIVE,INACTIVE,72,1997,0,37,68,0.7182,2026Q2
2025,LT871,RO25,INTERNAL,0,WORK,GR,12,F,5,FAMILY,STUDENT,STUDENT,-91,2446,0,27,59,2.0674,2023Q3
2026,SK50,EE531,CROSS_BORDER,1,WORK,RO,15,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-25,2293,1,37,80,3.4791,2025Q4
2015,LT842,AT6,INTRA_EU,1,WORK,DK,18,M,1,WORK,EMPLOYED,EMPLOYED,-20,1907,0,55,75,0.8605,2023Q1
2016,LV75,GR72,EXTRA_EU,0,WORK,LU,21,F,2,OTHER,INACTIVE,INACTIVE,116,1015,1,42,101,3.1843,2025Q2
2017,IE846,CZ2,INTERNAL,1,WORK,BE,24,T,3,RETIREMENT,STUDENT,STUDENT,79,1401,0,53,64,0.7499,2022Q3
2018,DE61,MT4,CROSS_BORDER,1,WORK,HU,27,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,26,107,1,61,96,1.4739,2024Q4
2019,PT860,PT8,INTRA_EU,1,WORK,SK,30,F,5,FAMILY,EMPLOYED,EMPLOYED,-118,584,0,68,84,0.9368,2022Q1
2020,PL13,IT56,EXTRA_EU,0,WORK,EE,33,T,6,STUDY,INACTIVE,INACTIVE,19,950,0,50,85,2.4838,2024Q2
2021,RO20,DK81,INTERNAL,1,WORK,MT,36,M,1,WORK,STUDENT,STUDENT,-99,22,0,60,91,3.1332,2026Q3
2022,LU9,FR506,CROSS_BORDER,1,WORK,BG,39,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-99,1971,1,49,103,2.1365,2023Q4
2023,SE8,NL843,INTRA_EU,1,WORK,IE,42,T,3,RETIREMENT,EMPLOYED,EMPLOYED,60,1418,0,44,87,1.2736,2026Q1
2024,LT567,NL31,EXTRA_EU,0,WORK,SI,45,M,4,PROTECTION,INACTIVE,INACTIVE,75,367,0,69,100,0.9061,2023Q2
2025,DK921,BE621,INTERNAL,1,WORK,FI,48,F,5,FAMILY,STUDENT,STUDENT,-26,2107,0,73,118,2.112,2025Q3
2026,SK82,DK9,CROSS_BORDER,1,WORK,NL,51,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-64,1393,0,66,97,1.8769,2022Q4
2015,LU775,FI55,INTRA_EU,1,WORK,HR,54,M,1,WORK,EMPLOYED,EMPLOYED,99,1995,0,50,96,1.4053,2025Q1
2016,EE15,PT785,EXTRA_EU,1,WORK,IT,57,F,2,OTHER,INACTIVE,INACTIVE,112,238,0,58,101,0.7146,2022Q2
2017,PT370,GR596,INTERNAL,0,WORK,ES,60,T,3,RETIREMENT,STUDENT,STUDENT,58,1569,1,45,125,1.1108,2024Q3
2018,HR802,DE417,CROSS_BORDER,0,WORK,FR,63,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,74,2604,0,54,118,1.7343,2026Q4
2019,ES69,FR21,INTRA_EU,1,WORK,PL,66,F,5,FAMILY,EMPLOYED,EMPLOYED,-91,2287,0,67,135,1.7873,2024Q1
2020,PT757,GR969,EXTRA_EU,1,WORK,CY,69,T,6,STUDY,INACTIVE,INACTIVE,99,253,1,60,123,1.2925,2026Q2
2021,IE2,SE74,INTERNAL,0,WORK,LV,72,M,1,WORK,STUDENT,STUDENT,47,2409,0,73,152,2.4385,2023Q3
2022,ES5,IT6,CROSS_BORDER,1,WORK,SE,75,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-100,2622,0,47,129,1.0226,2025Q4
2023,EE792,BE53,INTRA_EU,1,WORK,DE,78,T,3,RETIREMENT,EMPLOYED,EMPLOYED,82,1726,0,74,139,3.2197,2023Q1
2024,NL47,PL105,EXTRA_EU,0,WORK,PT,81,M,4,PROTECTION,INACTIVE,INACTIVE,109,1086,0,68,128,2.7943,2025Q2
2025,IT574,SI1,INTERNAL,1,WORK,CZ,84,F,5,FAMILY,STUDENT,STUDENT,-49,2189,0,85,143,2.5429,2022Q3
2026,FR921,LU31,CROSS_BORDER,0,WORK,LT,87,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,65,894,0,71,151,0.3625,2024Q4
2015,RO84,DE3,INTRA_EU,1,WORK,AT,0,M,1,WORK,EMPLOYED,EMPLOYED,-46,669,0,79,168,2.7942,2022Q1
2016,EE69,SK8,EXTRA_EU,1,WORK,GR,3,F,2,OTHER,INACTIVE,INACTIVE,120,1479,0,70,163,1.6234,2024Q2
2017,FI1,HR93,INTERNAL,1,WORK,RO,6,T,3,RETIREMENT,STUDENT,STUDENT,-93,214,0,88,166,1.5551,2026Q3
2018,NL43,FR10,CROSS_BORDER,0,WORK,DK,9,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-28,1192,0,74,168,0.7795,2023Q4
2019,PL147,LV811,INTRA_EU,1,WORK,LU,12,F,5,FAMILY,EMPLOYED,EMPLOYED,-4,626,0,90,155,1.2473,2026Q1
2020,FR72,FI956,EXTRA_EU,1,WORK,BE,15,T,6,STUDY,INACTIVE,INACTIVE,54,106,0,92,145,2.2483,2023Q2
2021,GR942,NL21,INTERNAL,1,WORK,HU,18,M,1,WORK,STUDENT,STUDENT,55,1562,0,78,174,0.3365,2025Q3
2022,ES8,IT7,CROSS_BORDER,1,WORK,SK,21,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,65,2422,0,83,155,0.9991,2022Q4
2023,BG14,IE55,INTRA_EU,1,WORK,EE,24,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-16,2249,0,97,182,3.1261,2025Q1
2024,SE613,SE2,EXTRA_EU,0,WORK,MT,27,M,4,PROTECTION,INACTIVE,INACTIVE,-8,2446,0,61,170,2.1224,2022Q2
2025,RO71,ES9,INTERNAL,0,WORK,BG,30,F,5,FAMILY,STUDENT,STUDENT,-16,596,0,91,189,2.1856,2024Q3
2026,EE367,PT7,CROSS_BORDER,0,WORK,IE,33,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,86,1823,1,66,166,3.3283,2026Q4
2015,SK361,NL61,INTRA_EU,1,WORK,SI,36,M,1,WORK,EMPLOYED,EMPLOYED,-29,509,0,100,192,0.8517,2024Q1
2016,BE637,LU24,EXTRA_EU,1,WORK,FI,39,F,2,OTHER,INACTIVE,INACTIVE,-112,1671,0,73,187,0.9455,2026Q2
2017,HR685,LU909,INTERNAL,1,WORK,NL,42,T,3,RETIREMENT,STUDENT,STUDENT,55,995,1,73,185,2.2737,2023Q3
2018,HR23,FI555,CROSS_BORDER,0,WORK,HR,45,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-56,1151,1,90,176,2.9705,2025Q4
2019,BG493,MT712,INTRA_EU,0,WORK,IT,48,F,5,FAMILY,EMPLOYED,EMPLOYED,-24,2323,0,82,192,2.4762,2023Q1
2020,FI3,DK77,EXTRA_EU,1,WORK,ES,51,T,6,STUDY,INACTIVE,INACTIVE,36,1413,0,79,202,1.7005,2025Q2
2021,AT49,FR699,INTERNAL,0,WORK,FR,54,M,1,WORK,STUDENT,STUDENT,-38,580,0,73,192,1.9187,2022Q3
2022,SK91,CZ114,CROSS_BORDER,1,WORK,PL,57,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,63,203,1,93,203,1.1122,2024Q4
2023,IT99,IT53,INTRA_EU,0,WORK,CY,60,T,3,RETIREMENT,EMPLOYED,EMPLOYED,22,1382,0,100,211,1.0853,2022Q1
2024,NL9,HR88,EXTRA_EU,1,WORK,LV,63,M,4,PROTECTION,INACTIVE,INACTIVE,28,2592,0,104,193,1.119,2024Q2
2025,LV71,FR3,INTERNAL,1,WORK,SE,66,F,5,FAMILY,STUDENT,STUDENT,-41,591,0,72,216,1.0923,2026Q3
2026,DE312,HR8,CROSS_BORDER,1,WORK,DE,69,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,74,1244,0,74,229,2.0828,2023Q4
2015,NL578,HU488,INTRA_EU,0,WORK,PT,72,M,1,WORK,EMPLOYED,EMPLOYED,-12,2260,0,102,236,1.57,2026Q1
2016,PL936,SK7,EXTRA_EU,1,WORK,CZ,75,F,2,OTHER,INACTIVE,INACTIVE,-110,941,0,83,215,0.6915,2023Q2
2017,DE76,MT76,INTERNAL,0,WORK,LT,78,T,3,RETIREMENT,STUDENT,STUDENT,114,1973,1,81,247,3.4003,2025Q3
2018,CY811,IT616,CROSS_BORDER,0,WORK,AT,81,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,23,1648,0,114,247,2.4179,2022Q4
2019,IE6,HU63,INTRA_EU,1,WORK,GR,84,F,5,FAMILY,EMPLOYED,EMPLOYED,0,2322,0,108,224,3.243,2025Q1
2020,BE985,DK62,EXTRA_EU,1,WORK,RO,87,T,6,STUDY,INACTIVE,INACTIVE,-69,317,0,89,236,2.1156,2022Q2
2021,GR704,CZ879,INTERNAL,0,WORK,DK,0,M,1,WORK,STUDENT,STUDENT,-76,2365,0,110,256,1.5554,2024Q3
2022,MT427,DE627,CROSS_BORDER,1,WORK,LU,3,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-11,39,1,92,257,2.0815,2026Q4
2023,MT7,ES15,INTRA_EU,1,WORK,BE,6,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-119,84,0,84,237,1.9866,2024Q1
2024,PT502,GR21,EXTRA_EU,1,WORK,HU,9,M,4,PROTECTION,INACTIVE,INACTIVE,55,329,0,84,238,2.4795,2026Q2
2025,AT3,MT179,INTERNAL,1,WORK,SK,12,F,5,FAMILY,STUDENT,STUDENT,47,19,0,115,255,1.2522,2023Q3
2026,SK118,NL92,CROSS_BORDER,0,WORK,EE,15,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-103,1636,1,116,274,0.74,2025Q4
2015,DE6,RO9,INTRA_EU,0,WORK,MT,18,M,1,WORK,EMPLOYED,EMPLOYED,-103,232,0,103,263,1.6282,2023Q1
2016,BG3,LT355,EXTRA_EU,0,WORK,BG,21,F,2,OTHER,INACTIVE,INACTIVE,-39,2668,0,93,263,0.8476,2025Q2
2017,IT779,PT151,INTERNAL,1,WORK,IE,24,T,3,RETIREMENT,STUDENT,STUDENT,26,1837,0,98,247,1.0354,2022Q3
2018,SI256,PT54,CROSS_BORDER,1,WORK,SI,27,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-106,1976,1,110,265,2.6518,2024Q4
2019,HU103,MT354,INTRA_EU,0,WORK,FI,30,F,5,FAMILY,EMPLOYED,EMPLOYED,86,777,0,126,273,1.9246,2022Q1
2020,SI55,LU62,EXTRA_EU,1,WORK,NL,33,T,6,STUDY,INACTIVE,INACTIVE,110,979,0,104,278,2.0117,2024Q2
2021,SK32,LT15,INTERNAL,1,WORK,HR,36,M,1,WORK,STUDENT,STUDENT,-11,205,0,108,277,1.7254,2026Q3
2022,SE616,DE43,CROSS_BORDER,1,WORK,IT,39,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-62,556,1,97,276,2.6729,2023Q4
2023,AT25,FR9,INTRA_EU,1,WORK,ES,42,T,3,RETIREMENT,EMPLOYED,EMPLOYED,8,413,0,123,12,0.6061,2026Q1
2024,AT39,SI396,EXTRA_EU,1,WORK,FR,45,M,4,PROTECTION,INACTIVE,INACTIVE,-93,2321,0,133,45,2.4418,2023Q2
2025,MT91,SE370,INTERNAL,1,WORK,PL,48,F,5,FAMILY,STUDENT,STUDENT,-87,1440,1,104,20,0.6813,2025Q3
2026,LT288,NL83,CROSS_BORDER,1,WORK,CY,51,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,20,1450,1,111,30,3.4025,2022Q4
2015,NL2,ES45,INTRA_EU,1,WORK,LV,54,M,1,WORK,EMPLOYED,EMPLOYED,-120,1105,0,110,54,2.1736,2025Q1
2016,SI899,SI98,EXTRA_EU,1,WORK,SE,57,F,2,OTHER,INACTIVE,INACTIVE,31,427,0,139,50,3.2264,2022Q2
2017,BG84,PL68,INTERNAL,0,WORK,DE,60,T,3,RETIREMENT,STUDENT,STUDENT,-101,1763,0,138,58,0.5665,2024Q3
2018,IT10,BG5,CROSS_BORDER,1,WORK,PT,63,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-116,1916,1,130,52,2.5272,2026Q4
2019,NL967,EE60,INTRA_EU,1,WORK,CZ,66,F,5,FAMILY,EMPLOYED,EMPLOYED,82,1273,0,121,71,2.8942,2024Q1
2020,PL6,LT46,EXTRA_EU,0,WORK,LT,69,T,6,STUDY,INACTIVE,INACTIVE,29,1692,0,111,61,2.2241,2026Q2
2021,BE25,ES3,INTERNAL,1,WORK,AT,72,M,1,WORK,STUDENT,STUDENT,19,978,0,115,61,2.39,2023Q3
2022,EE878,SI879,CROSS_BORDER,0,WORK,GR,75,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,82,1929,0,132,74,1.8361,2025Q4
2023,FR75,LU961,INTRA_EU,0,WORK,RO,78,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-54,1221,0,125,60,2.3149,2023Q1
2024,DE9,HR4,EXTRA_EU,1,WORK,DK,81,M,4,PROTECTION,INACTIVE,INACTIVE,-43,2555,0,140,82,0.8273,2025Q2
2025,SK351,SE90,INTERNAL,0,WORK,LU,84,F,5,FAMILY,STUDENT,STUDENT,-24,1487,0,129,79,2.7086,2022Q3
2026,PL729,LT28,CROSS_BORDER,0,WORK,BE,87,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-63,2128,0,119,96,3.2305,2024Q4
2015,PT916,HU16,INTRA_EU,1,WORK,HU,0,M,1,WORK,EMPLOYED,EMPLOYED,86,932,0,144,61,2.3503,2022Q1
2016,FR4,ES6,EXTRA_EU,1,WORK,SK,3,F,2,OTHER,INACTIVE,INACTIVE,0,2385,0,114,103,0.3978,2024Q2
2017,CY2,RO32,INTERNAL,1,WORK,EE,6,T,3,RETIREMENT,STUDENT,STUDENT,-47,43,0,138,88,1.8454,2026Q3
2018,SI905,DK4,CROSS_BORDER,1,WORK,MT,9,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-88,1184,0,121,77,1.4711,2023Q4
2019,CY3,HU840,INTRA_EU,1,WORK,BG,12,F,5,FAMILY,EMPLOYED,EMPLOYED,116,140,0,152,86,0.4698,2026Q1
2020,IE47,SI6,EXTRA_EU,1,WORK,IE,15,T,6,STUDY,INACTIVE,INACTIVE,63,1104,0,155,78,3.2196,2023Q2
2021,LU5,IE86,INTERNAL,1,WORK,SI,18,M,1,WORK,STUDENT,STUDENT,-83,1916,0,123,107,0.8899,2025Q3
2022,PT874,RO68,CROSS_BORDER,1,WORK,FI,21,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-41,274,1,138,107,2.129,2022Q4
2023,ES340,BG38,INTRA_EU,0,WORK,NL,24,T,3,RETIREMENT,EMPLOYED,EMPLOYED,104,52,0,151,101,0.7028,2025Q1
2024,HR914,NL727,EXTRA_EU,1,WORK,HR,27,M,4,PROTECTION,INACTIVE,INACTIVE,-63,895,0,158,120,3.4522,2022Q2
2025,IT361,BG758,INTERNAL,1,WORK,IT,30,F,5,FAMILY,STUDENT,STUDENT,85,1259,0,156,124,2.3396,2024Q3
2026,IE7,NL802,CROSS_BORDER,0,WORK,ES,33,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,74,2656,0,147,123,2.8201,2026Q4
2015,BG40,CY855,INTRA_EU,0,WORK,FR,36,M,1,WORK,EMPLOYED,EMPLOYED,-99,1450,0,160,97,2.8269,2024Q1
2016,BE82,PL41,EXTRA_EU,1,WORK,PL,39,F,2,OTHER,INACTIVE,INACTIVE,76,674,0,152,114,1.5886,2026Q2
2017,AT1,HU244,INTERNAL,1,WORK,CY,42,T,3,RETIREMENT,STUDENT,STUDENT,64,835,0,160,103,2.1389,2023Q3
2018,SI44,FR831,CROSS_BORDER,1,WORK,LV,45,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,42,232,1,154,131,0.5162,2025Q4
2019,IE811,CZ815,INTRA_EU,0,WORK,SE,48,F,5,FAMILY,EMPLOYED,EMPLOYED,-41,1238,0,158,139,1.0981,2023Q1
2020,EE721,LU52,EXTRA_EU,1,WORK,DE,51,T,6,STUDY,INACTIVE,INACTIVE,-37,1307,0,130,129,0.8633,2025Q2
2021,LU980,ES4,INTERNAL,1,WORK,PT,54,M,1,WORK,STUDENT,STUDENT,-18,2541,0,137,117,2.6511,2022Q3
2022,GR15,CY214,CROSS_BORDER,1,WORK,CZ,57,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-27,1101,0,141,136,3.3591,2024Q4
2023,EE295,SI22,INTRA_EU,1,WORK,LT,60,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-18,2411,1,150,133,2.6659,2022Q1
2024,BG804,PT628,EXTRA_EU,1,WORK,AT,63,M,4,PROTECTION,INACTIVE,INACTIVE,101,755,0,153,134,1.9428,2024Q2
2025,BE58,CZ6,INTERNAL,1,WORK,GR,66,F,5,FAMILY,STUDENT,STUDENT,-64,1374,0,147,158,0.6155,2026Q3
2026,SI445,LT24,CROSS_BORDER,1,WORK,RO,69,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-115,1976,1,154,144,2.313,2023Q4
2015,FI6,PL91,INTRA_EU,0,WORK,DK,72,M,1,WORK,EMPLOYED,EMPLOYED,-67,211,0,148,159,1.2927,2026Q1
2016,DE8,SE101,EXTRA_EU,0,WORK,LU,75,F,2,OTHER,INACTIVE,INACTIVE,-81,1205,0,151,136,2.3273,2023Q2
2017,FI7,IE178,INTERNAL,1,WORK,BE,78,T,3,RETIREMENT,STUDENT,STUDENT,-72,1883,0,151,152,1.4099,2025Q3
2018,DE547,ES747,CROSS_BORDER,1,WORK,HU,81,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-102,1642,1,152,149,1.3453,2022Q4
2019,NL50,DE355,INTRA_EU,0,WORK,SK,84,F,5,FAMILY,EMPLOYED,EMPLOYED,4,372,0,160,164,2.0098,2025Q1
2020,ES302,HR47,EXTRA_EU,1,WORK,EE,87,T,6,STUDY,INACTIVE,INACTIVE,85,2412,0,156,187,3.4925,2022Q2
2021,GR19,FR73,INTERNAL,1,WORK,MT,0,M,1,WORK,STUDENT,STUDENT,-82,628,0,159,171,1.5585,2024Q3
2022,IT3,LT84,CROSS_BORDER,1,WORK,BG,3,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,31,2547,1,164,158,0.7211,2026Q4
2023,AT378,FR84,INTRA_EU,1,WORK,IE,6,T,3,RETIREMENT,EMPLOYED,EMPLOYED,85,150,0,175,160,2.1764,2024Q1
2024,RO49,SK75,EXTRA_EU,0,WORK,SI,9,M,4,PROTECTION,INACTIVE,INACTIVE,90,1419,0,165,173,2.6335,2026Q2
2025,CY8,LU6,INTERNAL,1,WORK,FI,12,F,5,FAMILY,STUDENT,STUDENT,-55,285,0,174,169,1.3662,2023Q3
2026,PT28,LT94,CROSS_BORDER,1,WORK,NL,15,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,73,1291,1,152,190,1.6832,2025Q4
2015,RO358,HU68,INTRA_EU,1,WORK,HR,18,M,1,WORK,EMPLOYED,EMPLOYED,11,2592,0,163,194,1.0873,2023Q1
2016,LU678,NL780,EXTRA_EU,0,WORK,IT,21,F,2,OTHER,INACTIVE,INACTIVE,-10,497,0,155,175,2.4483,2025Q2
2017,HU886,RO88,INTERNAL,0,WORK,ES,24,T,3,RETIREMENT,STUDENT,STUDENT,48,1498,0,175,189,1.311,2022Q3
2018,DE277,HU595,CROSS_BORDER,1,WORK,FR,27,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,79,8,1,153,197,0.4329,2024Q4
2019,PL326,DE269,INTRA_EU,1,WORK,PL,30,F,5,FAMILY,EMPLOYED,EMPLOYED,-40,2491,0,174,212,2.8878,2022Q1
2020,RO6,FI409,EXTRA_EU,1,WORK,CY,33,T,6,STUDY,INACTIVE,INACTIVE,-13,2444,0,155,202,0.9075,2024Q2
2021,DK942,BE230,INTERNAL,1,WORK,LV,36,M,1,WORK,STUDENT,STUDENT,-12,103,0,184,188,2.6845,2026Q3
2022,LT399,IE468,CROSS_BORDER,1,WORK,SE,39,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-93,185,1,171,215,2.6447,2023Q4
2023,BE539,LT9,INTRA_EU,0,WORK,DE,42,T,3,RETIREMENT,EMPLOYED,EMPLOYED,67,891,0,185,224,1.9782,2026Q1
2024,FR573,LU95,EXTRA_EU,1,WORK,PT,45,M,4,PROTECTION,INACTIVE,INACTIVE,17,2437,0,172,220,2.4006,2023Q2
2025,BG127,DK5,INTERNAL,1,WORK,CZ,48,F,5,FAMILY,STUDENT,STUDENT,-58,2277,0,182,230,1.814,2025Q3
2026,SK72,SI47,CROSS_BORDER,1,WORK,LT,51,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-30,367,1,179,227,3.2791,2022Q4
2015,HR83,ES541,INTRA_EU,1,WORK,AT,54,M,1,WORK,EMPLOYED,EMPLOYED,-31,2576,1,195,228,1.369,2025Q1
2016,CZ63,SE34,EXTRA_EU,1,WORK,GR,57,F,2,OTHER,INACTIVE,INACTIVE,22,2201,0,183,237,0.8635,2022Q2
2017,HU833,DK584,INTERNAL,1,WORK,RO,60,T,3,RETIREMENT,STUDENT,STUDENT,2,644,0,170,210,2.6168,2024Q3
2018,IE5,EE401,CROSS_BORDER,0,WORK,DK,63,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-92,2762,0,189,222,2.3233,2026Q4
2019,BE19,PT1,INTRA_EU,1,WORK,LU,66,F,5,FAMILY,EMPLOYED,EMPLOYED,-30,1725,0,191,249,1.0145,2024Q1
2020,LU26,SI64,EXTRA_EU,1,WORK,BE,69,T,6,STUDY,INACTIVE,INACTIVE,79,122,0,177,222,2.7597,2026Q2
2021,SE221,PL480,INTERNAL,1,WORK,HU,72,M,1,WORK,STUDENT,STUDENT,106,2136,0,201,262,3.4637,2023Q3
2022,GR4,SE82,CROSS_BORDER,1,WORK,SK,75,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,44,1050,1,183,263,2.0556,2025Q4
2023,BE3,FR254,INTRA_EU,1,WORK,EE,78,T,3,RETIREMENT,EMPLOYED,EMPLOYED,108,330,0,196,244,2.1058,2023Q1
2024,CY62,CY843,EXTRA_EU,0,WORK,MT,81,M,4,PROTECTION,INACTIVE,INACTIVE,-23,2162,0,193,259,1.4922,2025Q2
2025,LT979,AT649,INTERNAL,0,WORK,BG,84,F,5,FAMILY,STUDENT,STUDENT,-34,2017,0,173,261,1.2738,2022Q3
2026,FR197,DE7,CROSS_BORDER,1,WORK,IE,87,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-31,2744,0,194,250,3.4901,2024Q4
2015,PL723,AT73,INTRA_EU,1,WORK,SI,0,M,1,WORK,EMPLOYED,EMPLOYED,72,371,0,210,268,0.9704,2022Q1
