demo_household_survey_year,demo_household_household_id_sample,demo_household_relationship_to_householder,demo_household_family_type_code,demo_household_marital_status,demo_household_number_of_children_u18,demo_household_multigenerational_flag,demo_household_single_parent_flag,demo_household_cohabiting_partner_flag,demo_household_household_income_ratio_poverty,demo_household_housing_cost_burden_pct,demo_household_crowding_persons_per_room,demo_household_vehicle_count_household,demo_household_internet_access_type,demo_household_language_spoken_at_home,demo_household_disability_status_household,demo_household_caregiving_hours_week,demo_household_childcare_cost_monthly,demo_household_eldercare_responsibility_flag,demo_household_sampling_stratum
2025,HH00000422,SIBLING,FEMALE_HH_NO_SPOUSE,WIDOWED,0,1,0,1,0.68,46.1,1.99,5,FIXED_WIRELESS,VIETNAMESE,ONE_MEMBER,5,2160,1,URBAN_CORE
2025,HH00000423,CHILD,MARRIED_COUPLE,DIVORCED,0,1,1,1,5.57,9.1,1.0,2,DSL,OTHER,ONE_MEMBER,54,218,1,RURAL
2020,HH00000424,HOUSEHOLDER,MARRIED_COUPLE,NEVER_MARRIED,4,1,0,1,0.57,27.8,2.14,4,FIBER,SPANISH,NONE,58,2477,1,SUBURBAN
2023,HH00000425,HOUSEHOLDER,MARRIED_COUPLE,WIDOWED,0,0,0,0,0.98,48.1,1.05,0,FIXED_WIRELESS,SPANISH,NONE,38,2501,1,RURAL
2024,HH00000426,NONREL,MARRIED_COUPLE,DIVORCED,0,1,1,1,4.6,19.5,1.0,5,DSL,ARABIC,ONE_MEMBER,28,3185,0,SMALL_TOWN
2022,HH00000427,PARENT,MALE_HH_NO_SPOUSE,WIDOWED,2,1,0,1,5.35,43.6,0.98,0,NONE,ENGLISH,NONE,20,8,0,SMALL_TOWN
2019,HH00000428,PARENT,MARRIED_COUPLE,NEVER_MARRIED,3,0,0,1,1.26,40.1,1.18,3,FIXED_WIRELESS,SPANISH,ONE_MEMBER,54,229,1,SUBURBAN
2021,HH00000429,SPOUSE,FEMALE_HH_NO_SPOUSE,MARRIED,1,1,1,1,0.5,10.8,2.12,5,SATELLITE,SPANISH,ONE_MEMBER,42,955,1,URBAN_CORE
2023,HH00000430,SPOUSE,FEMALE_HH_NO_SPOUSE,MARRIED,5,0,0,1,0.99,49.2,0.87,1,FIBER,OTHER,MULTIPLE_MEMBERS,17,1831,0,RURAL
2025,HH00000431,HOUSEHOLDER,NONFAMILY,NEVER_MARRIED,1,0,1,0,4.34,31.2,1.66,1,CABLE,KOREAN,NONE,2,68,0,RURAL
2020,HH00000432,HOUSEHOLDER,NONFAMILY,SEPARATED,0,1,0,0,5.36,14.6,0.66,3,FIXED_WIRELESS,KOREAN,ONE_MEMBER,25,1434,1,RURAL
2020,HH00000433,CHILD,FEMALE_HH_NO_SPOUSE,WIDOWED,3,1,1,1,4.35,60.6,2.48,2,CABLE,ARABIC,NONE,49,1959,0,SMALL_TOWN
2024,HH00000434,PARENT,MARRIED_COUPLE,NEVER_MARRIED,4,0,1,1,2.32,49.7,0.79,4,FIBER,KOREAN,NONE,56,232,1,URBAN_CORE
2023,HH00000435,PARENT,MALE_HH_NO_SPOUSE,MARRIED,1,0,0,0,3.71,48.4,2.13,3,SATELLITE,ARABIC,ONE_MEMBER,48,2816,1,SMALL_TOWN
2019,HH00000436,HOUSEHOLDER,FEMALE_HH_NO_SPOUSE,WIDOWED,2,0,1,0,3.15,31.8,0.82,5,NONE,CHINESE,ONE_MEMBER,4,3026,1,URBAN_CORE
2025,HH00000437,PARENT,FEMALE_HH_NO_SPOUSE,SEPARATED,2,0,1,1,3.22,43.6,1.28,2,NONE,VIETNAMESE,ONE_MEMBER,12,1854,1,RURAL
2023,HH00000438,SPOUSE,MALE_HH_NO_SPOUSE,MARRIED,2,1,1,0,4.99,43.4,0.87,0,MOBILE_ONLY,SPANISH,ONE_MEMBER,52,1143,0,RURAL
2019,HH00000439,PARENT,FEMALE_HH_NO_SPOUSE,DIVORCED,4,1,1,1,5.74,13.2,1.93,0,SATELLITE,OTHER,NONE,32,2479,0,SUBURBAN
2022,HH00000440,SPOUSE,MARRIED_COUPLE,SEPARATED,4,1,0,0,5.35,57.8,1.76,5,MOBILE_ONLY,FRENCH,MULTIPLE_MEMBERS,0,1016,0,SUBURBAN
2021,HH00000441,SIBLING,NONFAMILY,WIDOWED,4,0,0,1,4.6,54.0,0.56,0,CABLE,ENGLISH,MULTIPLE_MEMBERS,5,1059,1,SMALL_TOWN
2020,HH00000442,PARENT,FEMALE_HH_NO_SPOUSE,MARRIED,3,0,1,1,2.86,13.2,2.06,2,NONE,VIETNAMESE,NONE,26,1651,0,URBAN_CORE
2023,HH00000443,SIBLING,MARRIED_COUPLE,WIDOWED,3,1,0,0,1.58,24.4,2.28,2,DSL,TAGALOG,ONE_MEMBER,12,1730,0,SMALL_TOWN
2022,HH00000444,NONREL,MALE_HH_NO_SPOUSE,MARRIED,5,1,0,1,2.38,9.1,0.45,4,CABLE,FRENCH,MULTIPLE_MEMBERS,2,87,0,SMALL_TOWN
2020,HH00000445,NONREL,MALE_HH_NO_SPOUSE,MARRIED,3,0,0,0,5.21,25.7,0.52,5,CABLE,KOREAN,MULTIPLE_MEMBERS,58,2904,0,SUBURBAN
2023,HH00000446,HOUSEHOLDER,FEMALE_HH_NO_SPOUSE,DIVORCED,5,1,0,0,0.24,48.8,0.43,5,CABLE,FRENCH,ONE_MEMBER,55,870,1,SMALL_TOWN
2022,HH00000447,PARENT,MARRIED_COUPLE,DIVORCED,4,1,1,0,2.06,5.2,0.87,0,NONE,TAGALOG,MULTIPLE_MEMBERS,16,1997,0,SMALL_TOWN
2023,HH00000448,NONREL,NONFAMILY,MARRIED,1,1,0,1,3.03,35.4,2.36,3,CABLE,SPANISH,NONE,13,87,0,RURAL
2022,HH00000449,OTHER_REL,MALE_HH_NO_SPOUSE,DIVORCED,5,0,1,0,0.43,57.0,0.72,5,NONE,VIETNAMESE,NONE,18,1625,0,RURAL
2021,HH00000450,OTHER_REL,FEMALE_HH_NO_SPOUSE,DIVORCED,1,1,1,1,0.81,23.7,2.42,2,FIBER,CHINESE,NONE,8,2428,1,RURAL
2024,HH00000451,CHILD,FEMALE_HH_NO_SPOUSE,SEPARATED,5,1,0,0,4.31,48.5,0.97,5,FIBER,ENGLISH,ONE_MEMBER,13,1406,1,SUBURBAN
2018,HH00000452,OTHER_REL,FEMALE_HH_NO_SPOUSE,DIVORCED,1,1,0,0,5.67,8.3,2.0,1,CABLE,ARABIC,NONE,39,1811,0,RURAL
2020,HH00000453,OTHER_REL,MALE_HH_NO_SPOUSE,SEPARATED,5,0,1,1,4.11,38.4,1.6,4,CABLE,CHINESE,ONE_MEMBER,0,1771,1,RURAL
2022,HH00000454,OTHER_REL,MARRIED_COUPLE,NEVER_MARRIED,3,1,0,0,1.57,57.6,0.79,0,NONE,ARABIC,NONE,16,2760,1,RURAL
2022,HH00000455,OTHER_REL,NONFAMILY,SEPARATED,3,1,1,1,1.93,29.5,2.2,3,SATELLITE,TAGALOG,MULTIPLE_MEMBERS,6,1335,1,URBAN_CORE
2019,HH00000456,CHILD,NONFAMILY,SEPARATED,1,0,0,0,3.72,42.4,0.4,4,FIXED_WIRELESS,ARABIC,NONE,51,1133,1,URBAN_CORE
2018,HH00000457,OTHER_REL,MARRIED_COUPLE,MARRIED,4,1,1,0,5.92,43.0,0.32,0,FIBER,VIETNAMESE,NONE,48,360,0,SMALL_TOWN
2019,HH00000458,SIBLING,MARRIED_COUPLE,NEVER_MARRIED,5,1,1,1,3.99,48.9,1.26,5,MOBILE_ONLY,ENGLISH,NONE,12,1939,1,RURAL
2024,HH00000459,NONREL,NONFAMILY,NEVER_MARRIED,1,1,0,0,0.68,18.7,1.22,3,NONE,FRENCH,NONE,57,1210,0,RURAL
2018,HH00000460,CHILD,FEMALE_HH_NO_SPOUSE,WIDOWED,5,0,0,1,1.2,49.9,1.75,2,DSL,SPANISH,NONE,30,3079,1,SMALL_TOWN
2021,HH00000461,SPOUSE,NONFAMILY,NEVER_MARRIED,1,1,1,1,4.34,19.3,0.37,5,MOBILE_ONLY,ENGLISH,ONE_MEMBER,18,2235,0,SMALL_TOWN
2021,HH00000462,HOUSEHOLDER,MARRIED_COUPLE,WIDOWED,0,1,0,1,4.51,40.9,1.8,1,DSL,VIETNAMESE,ONE_MEMBER,44,2067,0,RURAL
2019,HH00000463,OTHER_REL,MALE_HH_NO_SPOUSE,WIDOWED,3,1,1,1,0.65,14.6,1.5,0,DSL,ARABIC,MULTIPLE_MEMBERS,56,1744,1,SUBURBAN
2019,HH00000464,OTHER_REL,FEMALE_HH_NO_SPOUSE,SEPARATED,0,0,1,0,3.55,49.2,1.02,4,FIXED_WIRELESS,SPANISH,ONE_MEMBER,14,1891,0,SMALL_TOWN
2024,HH00000465,NONREL,MALE_HH_NO_SPOUSE,SEPARATED,0,1,1,0,4.96,22.2,1.35,5,MOBILE_ONLY,OTHER,NONE,28,394,1,SMALL_TOWN
2018,HH00000466,SPOUSE,NONFAMILY,MARRIED,2,0,1,1,1.31,44.1,0.45,4,MOBILE_ONLY,ARABIC,ONE_MEMBER,47,1504,1,RURAL
2018,HH00000467,HOUSEHOLDER,MALE_HH_NO_SPOUSE,MARRIED,0,1,1,1,4.29,14.4,1.28,3,MOBILE_ONLY,SPANISH,NONE,60,2925,1,SUBURBAN
2019,HH00000468,CHILD,NONFAMILY,DIVORCED,4,0,0,1,2.59,18.9,1.5,4,SATELLITE,SPANISH,NONE,44,1036,0,RURAL
2019,HH00000469,HOUSEHOLDER,MALE_HH_NO_SPOUSE,WIDOWED,1,0,1,0,4.0,54.0,1.72,5,FIXED_WIRELESS,CHINESE,NONE,22,2117,1,RURAL
2022,HH00000470,OTHER_REL,MARRIED_COUPLE,DIVORCED,2,1,1,0,3.45,10.6,0.32,4,CABLE,ARABIC,MULTIPLE_MEMBERS,22,1384,0,URBAN_CORE
2020,HH00000471,SPOUSE,NONFAMILY,MARRIED,4,1,1,1,5.64,10.9,1.99,2,SATELLITE,KOREAN,ONE_MEMBER,3,359,0,RURAL
2019,HH00000472,SIBLING,FEMALE_HH_NO_SPOUSE,NEVER_MARRIED,2,1,1,1,1.11,51.4,0.96,0,SATELLITE,ENGLISH,NONE,15,622,1,RURAL
2018,HH00000473,SIBLING,FEMALE_HH_NO_SPOUSE,DIVORCED,2,1,1,1,1.43,12.4,1.09,2,CABLE,SPANISH,ONE_MEMBER,45,1685,1,RURAL
2022,HH00000474,PARENT,MALE_HH_NO_SPOUSE,MARRIED,2,0,0,1,1.23,58.7,1.95,4,DSL,CHINESE,NONE,49,2467,1,SMALL_TOWN
2023,HH00000475,OTHER_REL,FEMALE_HH_NO_SPOUSE,SEPARATED,5,1,1,1,4.26,13.4,2.46,1,DSL,CHINESE,NONE,51,2605,0,RURAL
2021,HH00000476,SPOUSE,FEMALE_HH_NO_SPOUSE,WIDOWED,0,0,0,1,1.27,45.9,1.5,0,FIBER,VIETNAMESE,ONE_MEMBER,56,3070,1,SMALL_TOWN
2021,HH00000477,SPOUSE,MARRIED_COUPLE,DIVORCED,4,1,0,0,2.61,40.9,0.53,1,DSL,FRENCH,NONE,39,2941,0,RURAL
2021,HH00000478,NONREL,FEMALE_HH_NO_SPOUSE,MARRIED,2,1,0,1,5.34,48.7,1.69,4,FIXED_WIRELESS,ARABIC,MULTIPLE_MEMBERS,21,2935,0,URBAN_CORE
2022,HH00000479,SIBLING,MALE_HH_NO_SPOUSE,DIVORCED,2,1,0,0,1.81,46.7,2.5,5,SATELLITE,FRENCH,ONE_MEMBER,31,98,0,URBAN_CORE
2024,HH00000480,CHILD,FEMALE_HH_NO_SPOUSE,DIVORCED,1,1,0,0,1.07,26.9,0.31,5,MOBILE_ONLY,ENGLISH,MULTIPLE_MEMBERS,36,88,1,URBAN_CORE
2019,HH00000481,SIBLING,NONFAMILY,MARRIED,5,0,0,1,3.29,61.8,0.41,0,FIBER,FRENCH,NONE,1,2955,0,SMALL_TOWN
2020,HH00000482,PARENT,NONFAMILY,MARRIED,5,1,1,1,4.0,35.5,1.28,1,FIBER,TAGALOG,NONE,60,1620,1,SMALL_TOWN
2024,HH00000483,PARENT,NONFAMILY,WIDOWED,5,0,0,1,3.08,63.3,0.33,1,DSL,VIETNAMESE,MULTIPLE_MEMBERS,40,2437,0,SMALL_TOWN
2024,HH00000484,SPOUSE,MALE_HH_NO_SPOUSE,DIVORCED,0,0,1,0,3.37,27.9,1.02,3,FIBER,ARABIC,NONE,26,861,0,URBAN_CORE
2024,HH00000485,SPOUSE,FEMALE_HH_NO_SPOUSE,NEVER_MARRIED,3,0,0,1,1.32,36.6,0.77,0,NONE,CHINESE,ONE_MEMBER,42,1744,0,SUBURBAN
2024,HH00000486,PARENT,MALE_HH_NO_SPOUSE,DIVORCED,4,0,0,0,1.91,40.0,1.62,5,FIBER,VIETNAMESE,ONE_MEMBER,17,84,0,SUBURBAN
2021,HH00000487,SPOUSE,NONFAMILY,SEPARATED,1,0,0,1,4.02,38.8,0.78,5,CABLE,CHINESE,MULTIPLE_MEMBERS,28,2826,0,SMALL_TOWN
2019,HH00000488,OTHER_REL,NONFAMILY,MARRIED,3,1,1,1,4.88,44.7,0.96,1,MOBILE_ONLY,KOREAN,ONE_MEMBER,28,1358,0,URBAN_CORE
2021,HH00000489,HOUSEHOLDER,MALE_HH_NO_SPOUSE,SEPARATED,3,1,1,0,2.29,22.2,2.36,0,DSL,FRENCH,NONE,7,2701,1,URBAN_CORE
2021,HH00000490,PARENT,FEMALE_HH_NO_SPOUSE,SEPARATED,5,0,1,0,4.31,8.9,1.73,3,DSL,SPANISH,ONE_MEMBER,14,461,1,RURAL
2021,HH00000491,PARENT,MALE_HH_NO_SPOUSE,DIVORCED,4,0,0,0,1.35,16.9,2.01,0,SATELLITE,FRENCH,MULTIPLE_MEMBERS,20,1799,1,RURAL
2018,HH00000492,SPOUSE,MARRIED_COUPLE,DIVORCED,4,0,0,1,1.92,38.6,1.48,1,NONE,KOREAN,MULTIPLE_MEMBERS,2,1912,1,URBAN_CORE
2023,HH00000493,HOUSEHOLDER,MARRIED_COUPLE,DIVORCED,5,1,0,1,0.24,56.5,0.54,1,FIXED_WIRELESS,VIETNAMESE,NONE,21,573,0,SUBURBAN
2025,HH00000494,NONREL,MALE_HH_NO_SPOUSE,DIVORCED,3,0,1,1,1.48,33.5,1.28,3,NONE,TAGALOG,MULTIPLE_MEMBERS,11,1088,1,SMALL_TOWN
2022,HH00000495,OTHER_REL,MALE_HH_NO_SPOUSE,WIDOWED,0,1,1,1,4.62,24.3,0.77,2,FIBER,ENGLISH,ONE_MEMBER,2,2129,0,SMALL_TOWN
2022,HH00000496,PARENT,MALE_HH_NO_SPOUSE,SEPARATED,5,1,1,0,0.69,48.9,0.88,5,FIBER,ARABIC,NONE,36,2070,1,URBAN_CORE
2018,HH00000497,NONREL,FEMALE_HH_NO_SPOUSE,NEVER_MARRIED,4,1,1,0,0.65,28.7,2.15,4,MOBILE_ONLY,ENGLISH,ONE_MEMBER,18,833,0,SMALL_TOWN
2024,HH00000498,HOUSEHOLDER,NONFAMILY,WIDOWED,2,1,0,1,3.91,54.3,2.27,4,MOBILE_ONLY,VIETNAMESE,NONE,59,755,0,URBAN_CORE
2024,HH00000499,PARENT,MARRIED_COUPLE,SEPARATED,0,0,1,0,3.1,5.7,0.79,1,FIXED_WIRELESS,KOREAN,NONE,38,197,1,SUBURBAN
2025,HH00000500,HOUSEHOLDER,FEMALE_HH_NO_SPOUSE,MARRIED,4,0,1,0,4.69,12.0,1.28,0,MOBILE_ONLY,ARABIC,NONE,42,595,1,RURAL
2021,HH00000501,SIBLING,FEMALE_HH_NO_SPOUSE,DIVORCED,2,0,1,0,2.47,11.2,2.43,2,FIXED_WIRELESS,FRENCH,NONE,19,2245,1,SMALL_TOWN
2022,HH00000502,PARENT,NONFAMILY,DIVORCED,5,0,0,0,3.46,7.1,1.65,3,FIBER,CHINESE,ONE_MEMBER,39,900,1,SMALL_TOWN
2022,HH00000503,NONREL,MARRIED_COUPLE,DIVORCED,4,1,1,0,5.66,15.1,2.08,4,FIXED_WIRELESS,OTHER,NONE,23,1616,0,SMALL_TOWN
2025,HH00000504,HOUSEHOLDER,FEMALE_HH_NO_SPOUSE,SEPARATED,4,1,0,0,5.24,64.2,1.49,2,NONE,ARABIC,NONE,10,1355,1,SUBURBAN
2022,HH00000505,SIBLING,NONFAMILY,MARRIED,5,1,1,1,3.69,33.9,1.37,3,MOBILE_ONLY,SPANISH,NONE,16,351,1,URBAN_CORE
2021,HH00000506,NONREL,FEMALE_HH_NO_SPOUSE,MARRIED,0,0,0,0,2.98,30.3,1.89,1,CABLE,TAGALOG,ONE_MEMBER,18,494,1,SMALL_TOWN
2021,HH00000507,SPOUSE,MARRIED_COUPLE,WIDOWED,5,1,0,1,0.48,59.6,1.0,3,FIXED_WIRELESS,FRENCH,MULTIPLE_MEMBERS,48,2308,0,SUBURBAN
2022,HH00000508,NONREL,MALE_HH_NO_SPOUSE,WIDOWED,2,1,0,0,3.26,52.7,1.71,2,DSL,VIETNAMESE,MULTIPLE_MEMBERS,37,519,1,SMALL_TOWN
2020,HH00000509,CHILD,FEMALE_HH_NO_SPOUSE,SEPARATED,3,1,0,1,2.92,21.3,1.44,3,FIBER,OTHER,MULTIPLE_MEMBERS,23,1250,0,RURAL
2019,HH00000510,HOUSEHOLDER,FEMALE_HH_NO_SPOUSE,WIDOWED,1,0,0,1,5.59,53.3,1.9,0,FIBER,VIETNAMESE,NONE,59,2574,1,URBAN_CORE
2019,HH00000511,NONREL,FEMALE_HH_NO_SPOUSE,WIDOWED,5,1,1,0,2.55,10.0,0.6,2,FIXED_WIRELESS,CHINESE,MULTIPLE_MEMBERS,6,3149,1,SUBURBAN
2021,HH00000512,SIBLING,MARRIED_COUPLE,DIVORCED,3,0,1,1,3.81,47.9,1.79,4,MOBILE_ONLY,KOREAN,NONE,0,2166,0,SUBURBAN
2020,HH00000513,OTHER_REL,MALE_HH_NO_SPOUSE,WIDOWED,2,0,1,0,5.51,6.1,1.7,4,SATELLITE,ENGLISH,NONE,59,2223,0,SMALL_TOWN
2023,HH00000514,PARENT,MALE_HH_NO_SPOUSE,WIDOWED,5,0,1,1,1.33,17.6,2.29,1,MOBILE_ONLY,KOREAN,NONE,1,1175,1,SUBURBAN
2020,HH00000515,SIBLING,FEMALE_HH_NO_SPOUSE,WIDOWED,5,1,1,0,2.38,58.2,1.13,2,CABLE,SPANISH,ONE_MEMBER,47,1067,0,SMALL_TOWN
2020,HH00000516,CHILD,FEMALE_HH_NO_SPOUSE,SEPARATED,1,1,1,0,2.31,27.4,2.18,0,DSL,TAGALOG,ONE_MEMBER,9,1893,0,URBAN_CORE
2018,HH00000517,CHILD,NONFAMILY,WIDOWED,0,0,1,0,1.84,33.2,0.38,4,FIXED_WIRELESS,KOREAN,MULTIPLE_MEMBERS,19,1715,1,URBAN_CORE
2018,HH00000518,CHILD,FEMALE_HH_NO_SPOUSE,NEVER_MARRIED,1,1,1,1,5.2,43.8,0.92,0,MOBILE_ONLY,KOREAN,MULTIPLE_MEMBERS,55,1626,1,SUBURBAN
2022,HH00000519,SPOUSE,NONFAMILY,NEVER_MARRIED,0,0,1,0,4.15,46.6,0.51,2,NONE,VIETNAMESE,MULTIPLE_MEMBERS,34,761,1,RURAL
2025,HH00000520,OTHER_REL,NONFAMILY,WIDOWED,0,1,1,0,5.86,13.7,0.85,2,SATELLITE,ARABIC,ONE_MEMBER,48,2057,1,SUBURBAN
2020,HH00000521,HOUSEHOLDER,MARRIED_COUPLE,NEVER_MARRIED,5,0,1,0,4.95,60.7,1.04,5,FIXED_WIRELESS,VIETNAMESE,ONE_MEMBER,6,3152,1,URBAN_CORE
2019,HH00000522,NONREL,FEMALE_HH_NO_SPOUSE,DIVORCED,3,1,1,0,5.32,39.1,1.66,0,MOBILE_ONLY,ARABIC,ONE_MEMBER,20,2030,0,URBAN_CORE
2024,HH00000523,OTHER_REL,FEMALE_HH_NO_SPOUSE,SEPARATED,1,0,1,0,0.44,40.9,0.44,4,NONE,OTHER,ONE_MEMBER,47,253,1,RURAL
2023,HH00000524,PARENT,MARRIED_COUPLE,WIDOWED,0,0,1,0,0.3,43.4,0.76,1,FIBER,CHINESE,ONE_MEMBER,30,494,0,RURAL
2024,HH00000525,HOUSEHOLDER,MALE_HH_NO_SPOUSE,NEVER_MARRIED,1,1,0,1,4.04,56.2,1.9,5,NONE,KOREAN,MULTIPLE_MEMBERS,50,520,1,URBAN_CORE
2018,HH00000526,HOUSEHOLDER,NONFAMILY,DIVORCED,2,1,1,1,3.74,17.6,1.81,5,DSL,FRENCH,MULTIPLE_MEMBERS,16,1606,1,SMALL_TOWN
2021,HH00000527,NONREL,MALE_HH_NO_SPOUSE,DIVORCED,5,1,0,0,0.34,59.7,1.57,4,NONE,VIETNAMESE,NONE,59,2363,0,SMALL_TOWN
2024,HH00000528,NONREL,NONFAMILY,WIDOWED,3,0,1,0,0.61,51.8,1.85,3,FIXED_WIRELESS,ENGLISH,MULTIPLE_MEMBERS,11,1376,0,SUBURBAN
2021,HH00000529,SPOUSE,FEMALE_HH_NO_SPOUSE,DIVORCED,2,0,1,0,2.97,18.4,1.89,5,FIBER,SPANISH,ONE_MEMBER,7,2007,1,URBAN_CORE
2020,HH00000530,NONREL,MALE_HH_NO_SPOUSE,DIVORCED,1,0,0,0,4.84,52.9,0.76,3,CABLE,FRENCH,MULTIPLE_MEMBERS,59,671,0,SUBURBAN
2024,HH00000531,PARENT,MARRIED_COUPLE,WIDOWED,4,0,1,0,4.39,35.3,1.47,2,FIBER,TAGALOG,NONE,31,1713,0,SMALL_TOWN
2023,HH00000532,OTHER_REL,NONFAMILY,NEVER_MARRIED,1,1,1,1,3.24,39.5,1.88,1,MOBILE_ONLY,FRENCH,ONE_MEMBER,14,602,1,URBAN_CORE
2025,HH00000533,SPOUSE,MARRIED_COUPLE,MARRIED,0,1,0,0,2.79,64.6,1.77,3,FIXED_WIRELESS,KOREAN,NONE,10,2836,1,URBAN_CORE
2023,HH00000534,PARENT,NONFAMILY,SEPARATED,3,1,0,0,4.76,5.8,1.33,0,FIXED_WIRELESS,CHINESE,MULTIPLE_MEMBERS,2,21,0,RURAL
2025,HH00000535,OTHER_REL,MARRIED_COUPLE,WIDOWED,4,0,1,0,2.01,61.2,1.24,4,CABLE,ENGLISH,MULTIPLE_MEMBERS,56,319,0,SUBURBAN
2025,HH00000536,SIBLING,MARRIED_COUPLE,NEVER_MARRIED,1,0,1,0,4.45,48.5,0.86,1,NONE,OTHER,ONE_MEMBER,37,489,0,SMALL_TOWN
2022,HH00000537,OTHER_REL,NONFAMILY,DIVORCED,3,1,1,0,5.51,25.9,1.15,1,FIXED_WIRELESS,SPANISH,ONE_MEMBER,30,150,0,SMALL_TOWN
2025,HH00000538,OTHER_REL,MARRIED_COUPLE,MARRIED,5,0,1,1,1.33,48.8,1.76,5,SATELLITE,TAGALOG,NONE,23,573,0,RURAL
2020,HH00000539,PARENT,NONFAMILY,DIVORCED,0,1,0,1,2.59,17.2,1.17,1,CABLE,ENGLISH,ONE_MEMBER,49,278,0,RURAL
2021,HH00000540,SPOUSE,MALE_HH_NO_SPOUSE,MARRIED,1,0,0,0,2.56,35.8,1.56,2,MOBILE_ONLY,ENGLISH,MULTIPLE_MEMBERS,22,2564,0,URBAN_CORE
2021,HH00000541,SIBLING,MALE_HH_NO_SPOUSE,MARRIED,2,0,1,0,2.72,54.0,2.38,2,DSL,FRENCH,NONE,27,126,1,SUBURBAN
2022,HH00000542,PARENT,MALE_HH_NO_SPOUSE,NEVER_MARRIED,5,0,0,0,0.56,17.6,0.4,0,FIBER,SPANISH,ONE_MEMBER,6,2687,1,URBAN_CORE
2024,HH00000543,CHILD,MALE_HH_NO_SPOUSE,WIDOWED,5,0,0,1,4.36,38.6,1.96,0,DSL,VIETNAMESE,NONE,54,1100,1,RURAL
2025,HH00000544,SPOUSE,NONFAMILY,NEVER_MARRIED,4,0,1,1,3.83,7.5,1.9,2,MOBILE_ONLY,FRENCH,NONE,31,1735,0,URBAN_CORE
2018,HH00000545,SIBLING,NONFAMILY,WIDOWED,5,0,1,0,5.23,55.2,1.41,3,CABLE,FRENCH,NONE,29,2116,0,SMALL_TOWN
2022,HH00000546,CHILD,FEMALE_HH_NO_SPOUSE,NEVER_MARRIED,3,0,0,0,0.56,26.0,0.62,4,SATELLITE,TAGALOG,ONE_MEMBER,6,2462,0,RURAL
2019,HH00000547,SIBLING,FEMALE_HH_NO_SPOUSE,MARRIED,1,0,1,1,3.28,24.7,1.08,4,CABLE,VIETNAMESE,MULTIPLE_MEMBERS,34,1035,0,SMALL_TOWN
2023,HH00000548,OTHER_REL,MARRIED_COUPLE,NEVER_MARRIED,5,0,0,1,1.36,20.4,0.98,1,SATELLITE,FRENCH,NONE,60,556,1,URBAN_CORE
2021,HH00000549,PARENT,FEMALE_HH_NO_SPOUSE,SEPARATED,3,1,1,0,4.14,48.1,1.87,0,NONE,KOREAN,MULTIPLE_MEMBERS,57,2941,0,SMALL_TOWN
2024,HH00000550,PARENT,NONFAMILY,WIDOWED,4,1,1,0,4.74,15.5,1.41,3,FIXED_WIRELESS,CHINESE,NONE,48,2035,1,RURAL
2019,HH00000551,SIBLING,FEMALE_HH_NO_SPOUSE,WIDOWED,5,1,0,0,2.97,7.0,1.07,4,NONE,ENGLISH,NONE,53,2135,0,SMALL_TOWN
2021,HH00000552,SIBLING,MALE_HH_NO_SPOUSE,NEVER_MARRIED,2,1,1,0,1.38,21.7,1.71,1,CABLE,OTHER,NONE,45,410,1,SUBURBAN
2024,HH00000553,PARENT,FEMALE_HH_NO_SPOUSE,MARRIED,5,0,1,1,3.74,44.8,0.87,1,DSL,SPANISH,NONE,39,1875,0,SUBURBAN
2021,HH00000554,NONREL,NONFAMILY,MARRIED,5,1,1,0,1.01,8.0,1.71,0,FIBER,ARABIC,MULTIPLE_MEMBERS,51,2659,0,SUBURBAN
2020,HH00000555,NONREL,NONFAMILY,DIVORCED,5,0,0,0,2.37,30.6,2.45,4,CABLE,KOREAN,NONE,9,920,1,SUBURBAN
2021,HH00000556,HOUSEHOLDER,MARRIED_COUPLE,NEVER_MARRIED,1,1,1,0,3.77,53.4,0.75,4,NONE,FRENCH,ONE_MEMBER,52,2530,1,RURAL
2025,HH00000557,OTHER_REL,NONFAMILY,DIVORCED,4,1,1,0,5.67,30.6,0.51,3,FIBER,CHINESE,NONE,2,790,1,RURAL
2025,HH00000558,SIBLING,FEMALE_HH_NO_SPOUSE,MARRIED,0,0,1,1,4.05,38.1,2.34,5,CABLE,VIETNAMESE,ONE_MEMBER,1,2781,0,SUBURBAN
2023,HH00000559,HOUSEHOLDER,NONFAMILY,DIVORCED,5,0,0,0,3.88,30.6,1.09,0,CABLE,VIETNAMESE,MULTIPLE_MEMBERS,53,704,1,URBAN_CORE
2021,HH00000560,NONREL,MALE_HH_NO_SPOUSE,WIDOWED,1,1,1,0,4.4,15.4,1.77,5,CABLE,SPANISH,ONE_MEMBER,37,1695,0,SMALL_TOWN
2025,HH00000561,PARENT,FEMALE_HH_NO_SPOUSE,WIDOWED,5,1,1,0,1.18,63.2,1.07,0,MOBILE_ONLY,TAGALOG,NONE,50,922,1,URBAN_CORE
2021,HH00000562,CHILD,FEMALE_HH_NO_SPOUSE,SEPARATED,0,1,1,0,4.47,16.4,2.12,2,FIXED_WIRELESS,KOREAN,MULTIPLE_MEMBERS,34,1171,0,SUBURBAN
2021,HH00000563,CHILD,FEMALE_HH_NO_SPOUSE,WIDOWED,2,0,0,1,1.61,42.2,1.38,4,DSL,SPANISH,ONE_MEMBER,37,235,0,URBAN_CORE
