trans_air_flight_date,trans_air_airport_iata_code,trans_air_carrier_code,trans_air_flight_number_hash,trans_air_scheduled_departure_local,trans_air_actual_departure_local,trans_air_departure_delay_minutes,trans_air_scheduled_arrival_local,trans_air_actual_arrival_local,trans_air_arrival_delay_minutes,trans_air_cancellation_flag,trans_air_diversion_flag,trans_air_taxi_out_minutes,trans_air_taxi_in_minutes,trans_air_airborne_time_minutes,trans_air_seat_capacity,trans_air_passengers_enplaned,trans_air_baggage_mishandled_rate,trans_air_cisf_security_wait_time_minutes,trans_air_gate_utilization_pct
2019-05-08,BLR,G8,FL9173537B5403,2019-05-08 11:48,2019-05-08 11:45,-3,2019-05-08 14:27,2019-05-08 14:02,-25,N,N,19,7,133,286,206,2.45,22,55.9
2024-05-26,IXB,I5,FLADA5C533BD87,2024-05-26 06:18,2024-05-26 06:20,2,2024-05-26 09:51,2024-05-26 09:57,6,N,N,4,2,207,202,191,3.94,15,75.45
2020-01-20,COK,UK,FL255FCA1570BC,2020-01-20 18:37,2020-01-20 19:03,26,2020-01-20 22:03,2020-01-20 22:28,25,N,N,6,5,195,146,123,2.57,30,88.31
2025-05-02,CCU,G8,FL55FE3A8AA0C6,2025-05-02 06:56,2025-05-02 07:59,63,2025-05-02 09:26,2025-05-02 10:01,35,N,N,21,6,123,109,85,6.0,18,56.54
2020-06-30,AMD,AI,FL63A5766A8B66,2020-06-30 11:38,2020-06-30 12:09,31,2020-06-30 12:56,2020-06-30 13:21,25,N,N,12,2,64,355,314,3.84,7,94.87
2022-05-07,MAA,6E,FL34BACBDC8433,2022-05-07 15:00,2022-05-07 15:22,22,2022-05-07 16:06,2022-05-07 16:19,13,N,N,14,6,46,253,202,0.68,23,96.6
2025-03-02,MAA,QP,FL0A9B5FCFC427,2025-03-02 16:15,2025-03-02 16:35,20,2025-03-02 19:53,2025-03-02 20:17,24,N,N,18,11,189,208,166,3.13,27,92.67
2021-03-27,JAI,6E,FL3BCE545E5962,2021-03-27 17:20,2021-03-27 17:05,-15,2021-03-27 20:30,2021-03-27 20:11,-19,N,N,6,17,167,193,179,3.78,19,70.06
2021-12-28,PNQ,6E,FLB22EA978F391,2021-12-28 21:03,2021-12-28 21:19,16,2021-12-28 22:56,2021-12-28 23:25,29,N,N,8,5,100,326,287,7.51,7,85.74
2024-09-29,TRV,S5,FL9204CA7C0161,2024-09-29 09:26,2024-09-29 09:42,16,2024-09-29 12:55,2024-09-29 13:31,36,N,N,12,8,189,318,274,4.57,24,84.55
2021-07-19,TRV,G8,FL7097319F1826,2021-07-19 20:00,2021-07-19 20:18,18,2021-07-19 23:15,2021-07-19 23:44,29,N,N,4,14,177,313,261,4.69,22,62.69
2022-08-09,BOM,G8,FL54F1976804DA,2022-08-09 10:11,2022-08-09 10:01,-10,2022-08-09 13:39,2022-08-09 13:21,-18,N,N,21,14,173,161,137,4.09,21,63.73
2024-07-27,BLR,6E,FL73F65B3469C2,2024-07-27 09:08,2024-07-27 09:16,8,2024-07-27 11:43,2024-07-27 12:19,36,N,N,15,5,135,230,211,0.94,12,55.28
2019-05-29,BOM,6E,FLE7EFF7333159,2019-05-29 05:35,2019-05-29 05:33,-2,2019-05-29 07:43,2019-05-29 07:43,0,N,N,10,7,111,199,160,2.67,19,71.86
2023-07-08,BLR,AI,FLCEE9D2F36EDE,2023-07-08 09:39,2023-07-08 09:45,6,2023-07-08 11:18,2023-07-08 11:32,14,N,N,11,9,79,347,263,6.39,10,47.99
2025-05-05,HYD,QP,FLF0FF0D7D39CD,2025-05-05 15:45,2025-05-05 16:24,39,2025-05-05 18:59,2025-05-05 19:52,53,N,N,15,2,177,202,198,1.08,22,60.36
2023-04-23,BLR,AI,FL0D33D2A0D2B6,2023-04-23 16:42,2023-04-23 17:05,23,2023-04-23 20:17,2023-04-23 20:46,29,N,N,11,4,200,148,145,2.54,14,61.91
2025-10-18,JAI,S5,FL21E5B25C8056,2025-10-18 17:27,2025-10-18 17:07,-20,2025-10-18 18:52,2025-10-18 18:58,6,N,N,15,8,62,219,177,5.57,16,39.25
2023-12-05,JAI,S5,FL3E33E92044BC,2023-12-05 16:14,2023-12-05 16:01,-13,2023-12-05 19:03,2023-12-05 18:46,-17,N,N,14,7,148,266,263,3.65,23,66.43
2024-06-17,COK,UK,FL697564EB8649,2024-06-17 11:17,2024-06-17 11:12,-5,2024-06-17 14:45,2024-06-17 14:18,-27,N,N,10,22,176,137,122,5.29,26,46.64
2019-03-02,COK,6E,FL3F6C013B56A0,2019-03-02 21:40,2019-03-02 22:03,23,2019-03-02 23:50,2019-03-03 00:27,37,N,N,9,18,103,361,316,3.29,25,66.93
2024-05-21,IXB,I5,FL83123B2A7772,2024-05-21 15:41,2024-05-21 16:05,24,2024-05-21 18:17,2024-05-21 18:36,19,N,N,9,9,138,301,232,3.56,16,78.83
2025-12-18,IXC,SG,FL61E739C520C0,2025-12-18 05:45,2025-12-18 06:06,21,2025-12-18 09:22,2025-12-18 09:32,10,N,N,18,8,191,298,235,1.84,14,73.24
2024-01-31,MAA,AI,FLFB290E878B50,2024-01-31 17:08,2024-01-31 16:57,-11,2024-01-31 20:43,2024-01-31 21:02,19,N,N,10,8,197,203,119,1.39,28,91.05
2025-06-16,AMD,QP,FL9EAD19285B9A,2025-06-16 19:55,2025-06-16 20:22,27,2025-06-16 23:33,2025-06-16 23:53,20,N,N,9,5,204,165,130,1.58,25,59.7
2020-07-20,BOM,I5,FL448657FF35F5,2020-07-20 18:31,2020-07-20 18:21,-10,2020-07-20 20:34,2020-07-20 20:46,12,N,N,13,8,102,211,183,7.59,21,44.94
2024-10-21,IXB,AI,FLD3EB4BDAFDE7,2024-10-21 21:35,2024-10-21 21:44,9,2024-10-22 01:10,2024-10-22 01:17,7,N,N,16,14,185,133,105,5.13,15,92.21
2023-07-31,IXC,I5,FLD147963114EC,2023-07-31 13:10,2023-07-31 13:10,0,2023-07-31 16:14,2023-07-31 16:23,9,N,N,11,4,169,143,122,0.68,7,99.32
2022-05-04,IXB,SG,FLEEC3A3CF9B4B,2022-05-04 18:55,2022-05-04 19:36,41,2022-05-04 20:33,2022-05-04 21:36,63,N,N,22,13,63,364,360,1.59,9,68.3
2026-01-25,BLR,QP,FL19693A9E1038,2026-01-25 14:12,2026-01-25 14:32,20,2026-01-25 16:33,2026-01-25 16:59,26,N,N,8,12,121,143,129,3.57,16,74.45
2024-10-31,TRV,G8,FLBEAB493F5A0E,2024-10-31 06:37,2024-10-31 06:25,-12,2024-10-31 09:01,2024-10-31 09:00,-1,N,N,27,9,108,304,240,4.11,18,74.36
2025-03-31,COK,SG,FL4D7F6EDF1044,2025-03-31 21:19,2025-03-31 21:36,17,2025-03-31 23:34,2025-03-31 23:41,7,N,N,20,12,103,362,347,6.92,14,73.4
2020-07-20,JAI,QP,FL58F0AD5189D3,2020-07-20 12:39,2020-07-20 12:19,-20,2020-07-20 13:53,2020-07-20 13:53,0,N,N,4,15,55,89,74,0.0,26,61.0
2025-10-13,TRV,AI,FL5D442AA62B6D,2025-10-13 09:14,2025-10-13 09:16,2,2025-10-13 12:33,2025-10-13 12:43,10,N,N,6,7,186,137,124,5.21,19,95.1
2021-09-07,COK,I5,FLE631E7D572BD,2021-09-07 09:52,2021-09-07 09:37,-15,2021-09-07 11:08,2021-09-07 11:31,23,N,N,29,2,45,200,171,7.04,40,66.77
2025-11-10,COK,S5,FLC7FCA683D357,2025-11-10 14:55,2025-11-10 14:49,-6,2025-11-10 16:53,2025-11-10 16:32,-21,N,N,10,13,95,279,251,2.27,8,44.42
2020-07-18,GOI,SG,FL511540021378,2020-07-18 14:03,2020-07-18 14:17,14,2020-07-18 17:46,2020-07-18 17:46,0,N,N,16,2,205,113,97,5.16,9,96.26
2025-12-04,BLR,6E,FLD462F5687B37,2025-12-04 13:53,2025-12-04 14:37,44,2025-12-04 16:16,2025-12-04 17:09,53,N,N,23,8,112,337,293,5.82,14,99.53
2019-11-21,COK,I5,FL922F85A30202,2019-11-21 14:19,2019-11-21 14:19,0,2019-11-21 16:11,2019-11-21 16:24,13,N,N,15,9,88,234,232,3.6,20,77.46
2022-04-25,COK,QP,FL35D493287312,2022-04-25 07:45,2022-04-25 08:04,19,2022-04-25 11:10,2022-04-25 11:38,28,N,N,18,2,185,255,190,3.54,6,70.52
2019-08-12,BOM,G8,FLFC63E8207068,2019-08-12 09:47,2019-08-12 10:14,27,2019-08-12 11:06,2019-08-12 11:22,16,N,N,9,7,63,243,196,4.98,26,60.56
2021-08-16,GAU,QP,FL2131813CECC2,2021-08-16 09:35,2021-08-16 09:45,10,2021-08-16 12:30,2021-08-16 12:46,16,N,N,29,6,140,148,142,4.31,27,35.92
2021-03-05,IXC,QP,FLFE136DE87C46,2021-03-05 17:02,2021-03-05 17:51,49,2021-03-05 19:33,2021-03-05 20:46,73,N,N,20,12,119,156,103,4.71,26,72.24
2024-09-02,IXC,S5,FL1DA2CE5CDDB8,2024-09-02 17:36,2024-09-02 17:57,21,2024-09-02 18:58,2024-09-02 19:23,25,N,N,17,7,58,312,273,4.39,4,52.6
2020-02-08,GOI,S5,FLA4B0EBE12BAA,2020-02-08 15:58,2020-02-08 15:41,-17,2020-02-08 18:22,2020-02-08 18:34,12,N,N,23,7,114,335,289,1.79,8,68.74
2024-05-20,GOI,SG,FL9C300E64B7EB,2024-05-20 07:05,2024-05-20 07:43,38,2024-05-20 09:33,2024-05-20 10:16,43,N,N,19,14,115,350,304,2.93,21,73.2
2024-08-08,JAI,6E,FL09C6692F4C1B,2024-08-08 18:04,2024-08-08 17:51,-13,2024-08-08 20:28,2024-08-08 20:14,-14,N,N,21,11,112,199,153,0.58,13,65.41
2024-10-23,IXB,S5,FL0932BD245D91,2024-10-23 18:37,2024-10-23 18:17,-20,2024-10-23 21:07,2024-10-23 20:43,-24,N,N,20,22,108,127,107,6.01,0,45.6
2021-12-31,JAI,UK,FL0AE0116E1E44,2021-12-31 14:41,2021-12-31 14:53,12,2021-12-31 16:00,2021-12-31 16:41,41,N,N,10,12,57,236,223,2.49,25,74.24
2020-05-22,GOI,AI,FLB43DAB651897,2020-05-22 05:12,2020-05-22 05:50,38,2020-05-22 08:12,2020-05-22 09:04,52,N,N,22,12,146,180,162,4.76,16,99.07
2021-01-29,GOI,6E,FL6302F33471C8,2021-01-29 11:01,2021-01-29 10:43,-18,2021-01-29 14:13,2021-01-29 14:09,-4,N,N,4,2,186,270,253,3.93,38,65.27
2024-12-08,GOI,SG,FLE325F73B0DE8,2024-12-08 10:16,2024-12-08 10:27,11,2024-12-08 13:28,2024-12-08 13:39,11,N,N,22,11,159,364,245,2.62,39,79.27
2021-09-11,PNQ,I5,FLFBDD5543FAE5,2021-09-11 06:32,2021-09-11 06:49,17,2021-09-11 08:57,2021-09-11 09:06,9,N,N,14,7,124,196,148,1.54,22,44.83
2021-02-04,GAU,I5,FLAABB00582119,2021-02-04 17:22,2021-02-04 17:26,4,2021-02-04 19:29,2021-02-04 19:29,0,N,N,7,19,101,180,150,2.63,0,76.25
2024-02-07,PNQ,S5,FLF91E2BBBBE1B,2024-02-07 19:27,2024-02-07 19:39,12,2024-02-07 21:20,2024-02-07 22:21,61,N,N,12,3,98,237,144,3.26,3,84.77
2024-07-20,CCU,S5,FL0A82FA718999,2024-07-20 21:45,2024-07-20 22:35,50,2024-07-21 00:38,2024-07-21 01:12,34,N,N,22,5,146,229,188,2.29,19,100.0
2021-04-12,HYD,UK,FLD54084798288,2021-04-12 13:04,2021-04-12 13:00,-4,2021-04-12 15:47,2021-04-12 15:42,-5,N,N,20,6,137,137,124,1.75,14,94.07
2020-09-14,JAI,QP,FLDA1F4EA0A416,2020-09-14 07:16,2020-09-14 07:03,-13,2020-09-14 10:52,2020-09-14 10:22,-30,N,N,9,5,202,196,156,3.22,22,97.48
2025-09-14,LKO,SG,FLEF693E219366,2025-09-14 13:26,2025-09-14 14:03,37,2025-09-14 17:16,2025-09-14 18:20,64,N,N,36,9,185,117,89,5.53,16,68.6
2020-02-17,HYD,QP,FLC145171483AD,2020-02-17 06:57,2020-02-17 07:13,16,2020-02-17 10:33,2020-02-17 10:22,-11,N,N,4,8,204,320,283,8.52,35,100.0
2020-08-13,GAU,AI,FL821C3D838283,2020-08-13 09:29,2020-08-13 09:09,-20,2020-08-13 11:00,2020-08-13 10:44,-16,N,N,13,14,64,178,153,2.45,5,76.77
2019-11-22,LKO,QP,FL3F3BA6F818CC,2019-11-22 19:19,2019-11-22 19:31,12,2019-11-22 23:06,2019-11-22 23:26,20,N,N,21,11,195,106,77,2.1,28,62.33
2024-12-26,JAI,G8,FL70FE805199AF,2024-12-26 14:41,2024-12-26 15:30,49,2024-12-26 16:40,2024-12-26 17:36,56,N,N,9,5,105,263,208,0.55,27,77.69
2023-01-13,BLR,I5,FL72C4FA27714C,2023-01-13 19:47,2023-01-13 20:01,14,2023-01-13 23:20,2023-01-13 23:52,32,N,N,15,10,188,278,275,0.0,3,43.0
2026-01-02,BOM,I5,FLFA5088E4A65D,2026-01-02 10:11,2026-01-02 10:13,2,2026-01-02 13:31,2026-01-02 13:36,5,N,N,7,9,184,186,136,8.77,4,95.88
2023-01-28,PNQ,AI,FL6947D53D87EC,2023-01-28 09:20,2023-01-28 09:32,12,2023-01-28 11:31,2023-01-28 11:44,13,N,N,22,2,107,143,136,4.85,17,49.86
2020-07-21,BOM,6E,FL0C84F28FD592,2020-07-21 21:44,2020-07-21 22:30,46,2020-07-21 23:23,2020-07-22 00:17,54,N,N,13,12,74,228,139,8.61,12,70.34
2023-03-31,BOM,I5,FL8170D0ABA214,2023-03-31 18:58,2023-03-31 19:46,48,2023-03-31 21:18,2023-03-31 22:17,59,N,N,20,10,110,340,307,4.24,12,58.37
2020-06-08,JAI,UK,FL61BAD19A0AC9,2020-06-08 05:34,2020-06-08 05:48,14,2020-06-08 06:51,2020-06-08 06:58,7,N,N,4,12,61,236,194,2.76,48,65.06
2022-10-15,AMD,I5,FLFFE59C1EB587,2022-10-15 07:13,2022-10-15 08:09,56,2022-10-15 08:39,2022-10-15 09:40,61,N,N,25,14,47,135,134,2.67,22,75.77
2019-03-16,IXB,S5,FL0FF16791DC1F,2019-03-16 21:21,2019-03-16 21:33,12,2019-03-16 23:32,2019-03-16 23:59,27,N,N,7,13,111,85,71,3.81,27,71.15
2020-12-06,MAA,G8,FL085929FDC948,2020-12-06 15:18,2020-12-06 15:56,38,2020-12-06 17:30,2020-12-06 17:39,9,N,N,15,5,112,238,174,3.81,35,58.84
2025-05-27,HYD,6E,FLF60B3AFD0C66,2025-05-27 07:53,2025-05-27 08:00,7,2025-05-27 10:24,2025-05-27 10:18,-6,N,N,20,8,123,179,177,2.14,19,70.25
2020-11-29,JAI,6E,FL29F934BBADA9,2020-11-29 06:20,2020-11-29 06:20,0,2020-11-29 08:35,2020-11-29 08:05,-30,N,N,11,9,115,351,291,1.35,28,78.87
2019-12-06,GAU,I5,FL030B668AF1E1,2019-12-06 06:18,2019-12-06 06:24,6,2019-12-06 07:25,2019-12-06 07:03,-22,N,N,12,6,49,191,140,1.99,15,75.55
2022-08-24,BOM,6E,FL2AE95D5DB1D6,2022-08-24 08:45,2022-08-24 09:00,15,2022-08-24 11:59,2022-08-24 11:59,0,N,N,19,11,164,237,197,2.35,4,59.24
2025-12-30,CCU,QP,FL7C1688ED0ADF,2025-12-30 20:20,2025-12-30 20:52,32,2025-12-30 21:41,2025-12-30 21:54,13,N,N,17,11,53,104,79,3.45,26,53.8
2021-04-03,PNQ,I5,FLE55D45621B93,2021-04-03 18:49,2021-04-03 19:38,49,2021-04-03 22:41,2021-04-03 23:13,32,N,N,19,11,202,350,346,2.68,11,70.23
2021-04-04,TRV,G8,FLBFECF671FB5B,2021-04-04 22:29,2021-04-04 22:13,-16,2021-04-04 23:53,2021-04-05 00:12,19,N,N,22,12,50,229,170,0.0,3,75.87
2024-12-23,IXC,I5,FL3DAB1CEB1E46,2024-12-23 15:55,2024-12-23 16:30,35,2024-12-23 18:07,2024-12-23 18:44,37,N,N,27,5,100,124,115,6.57,9,63.66
2022-11-16,IXC,SG,FL38717AA6B6D8,2022-11-16 20:16,2022-11-16 20:04,-12,2022-11-16 23:21,2022-11-16 23:21,0,N,N,8,8,169,88,72,7.03,33,66.7
2025-11-26,IXB,QP,FL9D9B635D6B8A,2025-11-26 21:01,2025-11-26 21:11,10,2025-11-26 22:11,2025-11-26 22:31,20,N,N,6,16,48,353,297,0.0,29,78.11
2020-07-26,COK,SG,FLE44D8F27A5C7,2020-07-26 19:25,2020-07-26 19:31,6,2020-07-26 21:15,2020-07-26 21:51,36,N,N,11,4,95,340,274,5.44,11,69.04
2024-02-10,AMD,SG,FL3927553D78AC,2024-02-10 17:33,2024-02-10 17:33,0,2024-02-10 21:08,2024-02-10 21:13,5,N,N,9,8,198,319,314,6.3,15,64.72
2020-11-06,CCU,QP,FL97AF62863984,2020-11-06 21:37,2020-11-06 21:40,3,2020-11-07 01:39,2020-11-07 01:33,-6,N,N,27,10,205,138,83,1.76,54,66.79
2022-06-03,IXB,QP,FLAF786F0166C0,2022-06-03 19:34,2022-06-03 19:55,21,2022-06-03 23:07,2022-06-03 23:22,15,N,N,22,5,186,187,157,2.42,9,55.35
2020-01-21,BOM,SG,FL7132F3D62FAF,2020-01-21 18:06,2020-01-21 17:48,-18,2020-01-21 20:15,2020-01-21 19:45,-30,N,N,7,11,111,107,101,0.0,26,71.32
2020-10-08,DEL,I5,FLA87025171D59,2020-10-08 13:18,2020-10-08 13:39,21,2020-10-08 17:04,2020-10-08 17:07,3,N,N,24,11,191,300,288,1.73,25,47.72
2019-07-31,BOM,QP,FLE9F07991E111,2019-07-31 06:36,2019-07-31 06:47,11,2019-07-31 10:21,2019-07-31 10:28,7,N,N,17,10,198,278,175,1.74,39,68.53
2021-11-25,PNQ,UK,FL85FEC6F134D0,2021-11-25 09:23,2021-11-25 10:08,45,2021-11-25 12:50,2021-11-25 13:36,46,N,N,14,12,181,257,143,4.24,12,82.2
2022-03-03,DEL,I5,FLD03F20CD5950,2022-03-03 17:33,2022-03-03 17:21,-12,2022-03-03 20:23,2022-03-03 19:53,-30,N,N,12,12,146,248,183,1.61,14,71.61
2020-10-27,PNQ,S5,FL7457AB3F2EEE,2020-10-27 14:08,2020-10-27 14:28,20,2020-10-27 16:06,2020-10-27 15:55,-11,N,N,4,18,96,119,105,6.74,6,97.92
2023-01-16,BOM,I5,FL0F9A7E78DD6A,2023-01-16 17:17,2023-01-16 17:15,-2,2023-01-16 20:40,2023-01-16 20:50,10,N,N,26,6,171,267,216,0.98,4,71.35
2019-01-16,COK,QP,FL935603369FCF,2019-01-16 10:02,2019-01-16 09:42,-20,2019-01-16 11:40,2019-01-16 11:21,-19,N,N,14,21,63,216,167,1.67,20,85.57
2023-11-11,LKO,SG,FLA25D24282BEE,2023-11-11 11:14,2023-11-11 10:54,-20,2023-11-11 13:27,2023-11-11 12:57,-30,N,N,12,14,107,331,294,5.92,12,97.78
2023-03-20,JAI,6E,FLEAECB66D3E2C,2023-03-20 13:50,2023-03-20 13:52,2,2023-03-20 17:37,2023-03-20 18:03,26,N,N,21,5,201,267,133,7.51,17,91.66
2022-11-01,AMD,SG,FLCAE9A83781EC,2022-11-01 15:46,2022-11-01 16:13,27,2022-11-01 18:31,2022-11-01 19:14,43,N,N,20,5,140,109,89,6.67,19,60.37
2024-02-25,CCU,SG,FL2867DDBA887D,2024-02-25 16:53,2024-02-25 17:12,19,2024-02-25 19:44,2024-02-25 20:02,18,N,N,17,10,144,202,159,1.79,9,59.97
2025-12-12,IXC,I5,FL31E5563C2C58,2025-12-12 05:49,2025-12-12 05:55,6,2025-12-12 09:27,2025-12-12 09:48,21,N,N,25,6,187,143,142,0.25,15,82.82
2023-02-22,AMD,I5,FL219B3EFD3A23,2023-02-22 10:17,2023-02-22 10:33,16,2023-02-22 13:24,2023-02-22 13:33,9,N,N,27,3,157,85,70,2.79,9,63.97
2020-12-16,IXC,6E,FLF7D8DFC1C76B,2020-12-16 19:43,2020-12-16 21:01,78,2020-12-16 21:10,2020-12-16 22:29,79,N,N,4,6,77,318,291,1.84,18,49.42
2023-11-01,AMD,G8,FLF1D6719B91FB,2023-11-01 07:19,2023-11-01 07:40,21,2023-11-01 08:51,2023-11-01 09:34,43,N,N,18,10,64,354,350,4.28,0,76.22
2020-08-14,TRV,I5,FL08FDF81D4C71,2020-08-14 08:10,2020-08-14 08:24,14,2020-08-14 11:51,2020-08-14 12:22,31,N,N,14,2,205,204,149,1.81,15,52.42
2021-01-21,HYD,QP,FLC7A029EEA984,2021-01-21 16:23,2021-01-21 16:17,-6,2021-01-21 19:21,2021-01-21 19:54,33,N,N,20,2,156,330,281,3.81,29,64.19
2025-01-06,IXC,UK,FL0C6A352CC3B7,2025-01-06 20:22,2025-01-06 21:11,49,2025-01-06 23:57,2025-01-07 01:15,78,N,N,16,6,193,184,182,4.09,18,78.45
2021-10-21,MAA,S5,FL36127816E620,2021-10-21 17:54,2021-10-21 18:03,9,2021-10-21 21:55,2021-10-21 22:27,32,N,N,32,2,207,238,167,2.85,10,85.17
2023-10-30,AMD,AI,FLF26BC9290D11,2023-10-30 09:22,2023-10-30 09:16,-6,2023-10-30 10:53,2023-10-30 11:08,15,N,N,20,10,61,211,159,4.03,15,64.44
2020-02-14,HYD,UK,FL60774A049F8A,2020-02-14 08:41,2020-02-14 08:49,8,2020-02-14 10:41,2020-02-14 11:04,23,N,N,7,17,96,216,152,1.98,34,86.16
2024-05-23,COK,AI,FL80BB59A3C916,2024-05-23 12:39,2024-05-23 13:18,39,2024-05-23 15:19,2024-05-23 15:50,31,N,N,18,17,125,279,276,3.09,8,45.42
2024-11-12,DEL,UK,FL0B94545E68F2,2024-11-12 06:26,2024-11-12 06:51,25,2024-11-12 10:20,2024-11-12 11:10,50,N,N,26,13,195,333,254,1.64,7,79.06
2020-02-08,IXB,6E,FL3C994DB1652F,2020-02-08 15:05,2020-02-08 14:45,-20,2020-02-08 18:48,2020-02-08 18:18,-30,N,N,25,2,196,330,185,6.81,42,76.72
2020-12-08,BOM,I5,FLD456E229255E,2020-12-08 08:13,2020-12-08 08:20,7,2020-12-08 10:34,2020-12-08 10:29,-5,N,N,23,13,105,343,284,5.53,14,66.85
2024-04-07,HYD,I5,FL4B30D9F8CFA6,2024-04-07 17:40,2024-04-07 18:37,57,2024-04-07 21:06,2024-04-07 22:05,59,N,N,18,4,184,75,63,2.27,16,81.6
2020-01-02,BOM,I5,FL82A47055489E,2020-01-02 10:18,2020-01-02 10:55,37,2020-01-02 13:04,2020-01-02 13:52,48,N,N,7,10,149,145,109,5.32,28,67.99
2022-10-28,BLR,SG,FL75194EC0A8A3,2022-10-28 12:17,2022-10-28 12:32,15,2022-10-28 15:32,2022-10-28 15:49,17,N,N,20,6,169,238,229,5.04,20,73.75
2024-05-23,TRV,QP,FL43F8C30AC881,2024-05-23 20:58,2024-05-23 20:41,-17,2024-05-23 22:12,2024-05-23 21:42,-30,N,N,16,9,49,149,133,6.62,4,78.55
2022-05-10,BOM,QP,FL1E192FFE651C,2022-05-10 07:51,2022-05-10 07:57,6,2022-05-10 11:09,2022-05-10 11:19,10,N,N,20,15,163,177,134,2.67,3,54.61
2019-02-01,HYD,G8,FL4E3CB1F06498,2019-02-01 16:11,2019-02-01 16:56,45,2019-02-01 18:57,2019-02-01 19:26,29,N,N,10,11,145,105,85,2.27,19,64.12
2019-05-04,AMD,G8,FLBAF59C57D48E,2019-05-04 07:17,2019-05-04 06:57,-20,2019-05-04 10:11,2019-05-04 10:09,-2,N,N,15,9,150,341,327,2.41,22,71.8
2023-05-31,AMD,SG,FLEEC775DEB995,2023-05-31 20:31,2023-05-31 20:19,-12,2023-05-31 22:38,2023-05-31 22:39,1,N,N,16,8,103,159,157,1.96,19,53.88
2021-12-18,TRV,I5,FL28CDB6526FB8,2021-12-18 17:32,2021-12-18 17:41,9,2021-12-18 20:42,2021-12-18 20:46,4,N,N,26,7,157,353,326,4.45,7,77.62
2020-08-29,CCU,SG,FL1BC9EBB1779C,2020-08-29 06:00,2020-08-29 06:27,27,2020-08-29 08:41,2020-08-29 09:25,44,N,N,15,12,134,279,212,4.53,16,85.41
2024-07-18,DEL,AI,FL1104A9DF4394,2024-07-18 16:49,2024-07-18 16:59,10,2024-07-18 18:22,2024-07-18 18:33,11,N,N,16,9,68,86,64,0.64,29,52.28
2021-10-24,COK,6E,FL51618592CD84,2021-10-24 22:27,2021-10-24 22:53,26,2021-10-25 01:23,2021-10-25 01:44,21,N,N,33,2,141,309,236,6.18,15,30.16
2021-10-31,TRV,UK,FLDC351E63E30C,2021-10-31 07:12,2021-10-31 07:55,43,2021-10-31 10:11,2021-10-31 11:21,70,N,N,4,11,164,102,84,4.53,16,91.19
2023-04-20,GAU,S5,FLA16044B69F05,2023-04-20 14:51,2023-04-20 14:52,1,2023-04-20 16:37,2023-04-20 16:24,-13,N,N,22,11,73,193,185,6.42,10,81.55
2024-09-01,AMD,G8,FL271E3D5977D0,2024-09-01 12:08,2024-09-01 12:00,-8,2024-09-01 16:00,2024-09-01 15:54,-6,N,N,11,15,206,365,338,1.3,26,64.62
2020-09-16,COK,UK,FLF2CF2CEAA562,2020-09-16 20:01,2020-09-16 20:31,30,2020-09-16 23:24,2020-09-17 00:00,36,N,N,25,12,166,102,101,6.9,29,85.73
2020-09-09,DEL,UK,FL183B2CABFD26,2020-09-09 16:30,2020-09-09 16:17,-13,2020-09-09 18:35,2020-09-09 18:30,-5,N,N,17,16,92,108,97,5.28,17,55.28
2019-06-06,DEL,I5,FL8F0954E06110,2019-06-06 07:42,2019-06-06 08:12,30,2019-06-06 10:05,2019-06-06 10:51,46,N,N,17,4,122,173,117,4.39,24,58.12
2023-12-29,DEL,I5,FL89ABE274C684,2023-12-29 19:42,2023-12-29 20:04,22,2023-12-29 22:16,2023-12-29 22:22,6,N,N,7,6,141,224,179,2.74,17,76.18
2021-03-24,CCU,SG,FLD513E94D1861,2021-03-24 22:11,2021-03-24 23:00,49,2021-03-25 01:29,2021-03-25 02:19,50,N,N,16,10,172,145,130,1.34,14,76.66
2023-02-08,IXC,I5,FLE1A8B8979DFC,2023-02-08 16:34,2023-02-08 16:58,24,2023-02-08 19:16,2023-02-08 19:48,32,N,N,16,2,144,159,129,1.65,32,88.85
2025-02-11,BOM,S5,FLC154F5C69E6A,2025-02-11 19:49,2025-02-11 19:43,-6,2025-02-11 21:54,2025-02-11 22:10,16,N,N,18,7,100,289,236,5.66,24,84.25
2023-05-06,IXB,SG,FLEA41536CAAC1,2023-05-06 15:57,2023-05-06 15:37,-20,2023-05-06 17:17,2023-05-06 16:47,-30,N,N,16,18,46,119,107,5.42,20,81.88
2019-05-01,BLR,G8,FLE3830330F038,2019-05-01 20:15,2019-05-01 20:16,1,2019-05-01 23:31,2019-05-01 23:26,-5,N,N,11,16,169,110,94,0.0,14,100.0
2019-07-24,AMD,QP,FL2A5D09D09FDB,2019-07-24 14:46,2019-07-24 14:35,-11,2019-07-24 16:22,2019-07-24 16:02,-20,N,N,4,3,89,176,168,3.1,19,73.68
2020-08-02,BLR,G8,FLA5914D7151CC,2020-08-02 06:00,2020-08-02 06:48,48,2020-08-02 09:35,2020-08-02 10:21,46,N,N,16,13,186,288,278,3.17,24,70.21
2023-08-05,LKO,G8,FLCE9D249E2D4C,2023-08-05 09:22,2023-08-05 09:53,31,2023-08-05 13:13,2023-08-05 13:04,-9,N,N,25,2,204,227,189,8.48,33,68.74
2019-03-18,LKO,I5,FLC2EC8C724FA3,2019-03-18 20:36,2019-03-18 21:02,26,2019-03-19 00:15,2019-03-19 00:39,24,N,N,6,5,208,216,148,5.65,23,74.33
