agri_nutrition_reference_year,agri_nutrition_country_iso2,agri_nutrition_region_nuts_code,agri_nutrition_age_group,agri_nutrition_sex,agri_nutrition_bmi_category,agri_nutrition_obesity_rate_pct,agri_nutrition_fruit_veg_intake_servings_day,agri_nutrition_ultra_processed_food_share_pct,agri_nutrition_food_desert_index,agri_nutrition_school_meal_program_flag,agri_nutrition_front_of_pack_label_scheme_code,agri_nutrition_sugar_sweetened_tax_flag,agri_nutrition_salt_reduction_policy_flag,agri_nutrition_breastfeeding_rate_pct,agri_nutrition_household_food_insecurity_rate_pct,agri_nutrition_nutri_score_distribution,agri_nutrition_ehis_table_code,agri_nutrition_data_source,agri_nutrition_data_extract_date
2011,LU,ES249,5-9,T,OBESE,6.6,4.79,37.55,0.0737,1,NONE,0,0,58.46,12.62,A:0.28;B:0.27;C:0.23;D:0.22;E:0.0,hlth_ehis_dn1e,ECDC_NUTRITION,2024-07-09
2012,RO,PL332,0-4,F,UNDERWEIGHT,12.03,6.65,36.48,0.6736,0,TRAFFIC_LIGHTS,1,1,53.59,3.58,A:0.23;B:0.31;C:0.31;D:0.15;E:0.0,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-04-06
2013,AT,EE827,65+,M,NORMAL,27.99,3.63,43.47,0.4862,1,BATTERY_LABEL,0,0,47.67,5.45,A:0.2;B:0.16;C:0.15;D:0.19;E:0.3,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-05-05
2014,CZ,HR73,50-64,T,OVERWEIGHT,32.76,4.02,39.33,0.9198,1,NORDIC_KEYHOLE,0,0,47.58,17.91,A:0.24;B:0.21;C:0.17;D:0.21;E:0.17,hlth_ehis_sk1e,WHO_EURO,2025-07-29
2015,DE,SI7,35-49,F,OBESE,11.57,3.1,14.91,0.8517,1,KEYHOLE,1,1,30.7,1.64,A:0.29;B:0.27;C:0.2;D:0.14;E:0.1,hlth_ehis_bm1e,EHIS,2025-07-31
2016,LV,GR2,20-34,M,UNDERWEIGHT,25.67,2.38,16.08,0.098,1,NUTRI_SCORE,1,1,59.8,17.25,A:0.15;B:0.34;C:0.13;D:0.1;E:0.28,hlth_ehis_dn1e,ECDC_NUTRITION,2024-09-26
2017,PL,GR686,15-19,T,NORMAL,18.26,5.21,11.13,0.4952,1,NONE,0,1,57.02,9.11,A:0.18;B:0.28;C:0.21;D:0.13;E:0.2,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-04-28
2018,ES,IE731,10-14,F,OVERWEIGHT,29.23,2.07,59.94,0.1842,1,TRAFFIC_LIGHTS,0,0,48.64,16.04,A:0.32;B:0.33;C:0.22;D:0.13;E:0.0,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2026-02-17
2019,HR,ES267,5-9,M,OBESE,22.34,1.55,17.39,0.2711,1,BATTERY_LABEL,0,0,42.04,2.52,A:0.18;B:0.31;C:0.2;D:0.24;E:0.07,hlth_ehis_sk1e,WHO_EURO,2025-04-22
2020,FI,BG301,0-4,T,UNDERWEIGHT,4.69,2.31,30.47,0.0608,0,NORDIC_KEYHOLE,0,0,56.95,6.55,A:0.27;B:0.27;C:0.17;D:0.23;E:0.06,hlth_ehis_bm1e,EHIS,2024-09-22
2021,IE,NL817,65+,F,NORMAL,29.68,5.3,31.1,0.0647,1,KEYHOLE,0,0,60.99,11.15,A:0.12;B:0.24;C:0.19;D:0.24;E:0.21,hlth_ehis_dn1e,ECDC_NUTRITION,2025-09-04
2022,MT,HU35,50-64,M,OVERWEIGHT,5.9,4.04,40.74,0.3234,1,NUTRI_SCORE,1,1,50.08,3.84,A:0.31;B:0.25;C:0.29;D:0.14;E:0.0,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-07-08
2023,SK,CY20,35-49,T,OBESE,12.97,2.34,50.99,0.427,1,NONE,0,0,39.65,3.43,A:0.31;B:0.25;C:0.17;D:0.19;E:0.08,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-03-10
2024,BE,FI758,20-34,F,UNDERWEIGHT,24.66,3.89,21.66,0.179,1,TRAFFIC_LIGHTS,0,1,53.05,16.24,A:0.29;B:0.2;C:0.31;D:0.07;E:0.13,hlth_ehis_sk1e,WHO_EURO,2024-06-13
2025,DK,BE89,15-19,M,NORMAL,5.57,6.54,56.09,0.2574,1,BATTERY_LABEL,0,1,55.22,1.66,A:0.26;B:0.33;C:0.27;D:0.09;E:0.05,hlth_ehis_bm1e,EHIS,2025-03-02
2026,GR,GR396,10-14,T,OVERWEIGHT,17.35,2.52,31.19,0.8168,1,NORDIC_KEYHOLE,0,1,50.01,13.78,A:0.25;B:0.23;C:0.35;D:0.06;E:0.11,hlth_ehis_dn1e,ECDC_NUTRITION,2025-03-09
2010,LT,GR246,5-9,F,OBESE,29.66,5.3,35.14,0.6243,0,KEYHOLE,1,0,53.8,2.51,A:0.34;B:0.26;C:0.26;D:0.07;E:0.07,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-04-06
2011,PT,DE9,0-4,M,UNDERWEIGHT,34.19,6.71,28.11,0.5457,1,NUTRI_SCORE,0,0,63.91,1.02,A:0.24;B:0.28;C:0.18;D:0.2;E:0.1,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-07-17
2012,SE,CZ66,65+,T,NORMAL,9.58,3.88,32.1,0.736,0,NONE,0,0,24.89,14.94,A:0.25;B:0.31;C:0.28;D:0.15;E:0.01,hlth_ehis_sk1e,WHO_EURO,2024-08-25
2013,CY,BG911,50-64,F,OVERWEIGHT,6.73,4.89,34.82,0.8092,1,TRAFFIC_LIGHTS,1,1,42.49,7.86,A:0.15;B:0.31;C:0.26;D:0.05;E:0.23,hlth_ehis_bm1e,EHIS,2025-04-29
2014,FR,FI63,35-49,M,OBESE,15.62,4.54,26.67,0.5733,0,BATTERY_LABEL,0,1,28.34,7.41,A:0.33;B:0.22;C:0.32;D:0.11;E:0.02,hlth_ehis_dn1e,ECDC_NUTRITION,2024-12-04
2015,IT,HR8,20-34,T,UNDERWEIGHT,11.06,3.99,21.14,0.505,0,NORDIC_KEYHOLE,0,0,62.88,16.86,A:0.28;B:0.28;C:0.26;D:0.09;E:0.09,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-08-20
2016,NL,PL965,15-19,F,NORMAL,12.42,6.1,9.08,0.458,1,KEYHOLE,1,0,56.67,14.88,A:0.14;B:0.1;C:0.21;D:0.14;E:0.41,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-12-17
2017,SI,HR7,10-14,M,OVERWEIGHT,8.49,5.78,44.53,0.8168,1,NUTRI_SCORE,0,0,21.99,14.09,A:0.15;B:0.15;C:0.2;D:0.23;E:0.27,hlth_ehis_sk1e,WHO_EURO,2024-03-25
2018,BG,SI45,5-9,T,OBESE,6.25,5.84,39.7,0.7076,0,NONE,0,0,40.3,7.85,A:0.14;B:0.15;C:0.11;D:0.16;E:0.44,hlth_ehis_bm1e,EHIS,2024-12-31
2019,EE,CY462,0-4,F,UNDERWEIGHT,6.61,1.81,50.87,0.2715,1,TRAFFIC_LIGHTS,0,0,33.95,13.83,A:0.26;B:0.17;C:0.12;D:0.07;E:0.38,hlth_ehis_dn1e,ECDC_NUTRITION,2025-06-27
2020,HU,CZ9,65+,M,NORMAL,32.89,5.1,51.71,0.3408,0,BATTERY_LABEL,0,1,29.56,5.14,A:0.27;B:0.33;C:0.17;D:0.11;E:0.12,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-08-19
2021,LU,IT73,50-64,T,OVERWEIGHT,7.6,1.76,15.4,0.1241,0,NORDIC_KEYHOLE,0,1,61.65,8.89,A:0.31;B:0.26;C:0.12;D:0.24;E:0.07,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-07-25
2022,RO,EE38,35-49,F,OBESE,15.47,2.69,26.15,0.2518,1,KEYHOLE,0,1,44.81,16.9,A:0.11;B:0.11;C:0.2;D:0.11;E:0.47,hlth_ehis_sk1e,WHO_EURO,2024-05-22
2023,AT,EE341,20-34,M,UNDERWEIGHT,22.18,2.14,32.44,0.7629,1,NUTRI_SCORE,1,1,21.92,3.76,A:0.28;B:0.21;C:0.19;D:0.19;E:0.13,hlth_ehis_bm1e,EHIS,2025-02-02
2024,CZ,DK84,15-19,T,NORMAL,13.68,4.99,61.68,0.3685,0,NONE,0,1,31.21,16.11,A:0.25;B:0.3;C:0.27;D:0.18;E:0.0,hlth_ehis_dn1e,ECDC_NUTRITION,2025-04-16
2025,DE,GR29,10-14,F,OVERWEIGHT,24.19,1.75,9.57,0.8007,0,TRAFFIC_LIGHTS,0,1,65.37,9.28,A:0.16;B:0.1;C:0.35;D:0.09;E:0.3,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2026-02-11
2026,LV,EE5,5-9,M,OBESE,11.84,1.92,27.42,0.8268,1,BATTERY_LABEL,0,1,65.36,4.59,A:0.21;B:0.32;C:0.26;D:0.05;E:0.16,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-07-03
2010,PL,DK86,0-4,T,UNDERWEIGHT,30.21,5.28,11.2,0.1498,1,NORDIC_KEYHOLE,1,0,30.52,16.55,A:0.14;B:0.18;C:0.28;D:0.08;E:0.32,hlth_ehis_sk1e,WHO_EURO,2024-08-05
2011,ES,CZ3,65+,F,NORMAL,29.95,1.64,51.43,0.4058,0,KEYHOLE,1,0,67.37,14.27,A:0.17;B:0.1;C:0.24;D:0.1;E:0.39,hlth_ehis_bm1e,EHIS,2025-08-24
2012,HR,NL34,50-64,M,OVERWEIGHT,24.87,2.45,25.16,0.8719,0,NUTRI_SCORE,0,0,62.93,14.17,A:0.35;B:0.14;C:0.21;D:0.05;E:0.25,hlth_ehis_dn1e,ECDC_NUTRITION,2025-01-02
2013,FI,AT128,35-49,T,OBESE,5.16,5.26,22.52,0.068,1,NONE,1,0,51.51,12.85,A:0.34;B:0.13;C:0.2;D:0.13;E:0.2,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-07-06
2014,IE,ES805,20-34,F,UNDERWEIGHT,11.75,2.14,18.78,0.4876,0,TRAFFIC_LIGHTS,0,1,70.34,2.32,A:0.26;B:0.22;C:0.12;D:0.15;E:0.25,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-11-24
2015,MT,ES76,15-19,M,NORMAL,11.49,3.24,48.7,0.2357,0,BATTERY_LABEL,1,1,21.08,15.75,A:0.1;B:0.22;C:0.34;D:0.13;E:0.21,hlth_ehis_sk1e,WHO_EURO,2024-05-21
2016,SK,SK98,10-14,T,OVERWEIGHT,4.31,4.91,46.05,0.6191,1,NORDIC_KEYHOLE,0,1,70.15,3.07,A:0.3;B:0.14;C:0.22;D:0.24;E:0.1,hlth_ehis_bm1e,EHIS,2025-02-20
2017,BE,SK11,5-9,F,OBESE,8.25,6.22,55.66,0.686,0,KEYHOLE,1,1,33.21,11.3,A:0.3;B:0.27;C:0.16;D:0.21;E:0.06,hlth_ehis_dn1e,ECDC_NUTRITION,2024-07-12
2018,DK,LT537,0-4,M,UNDERWEIGHT,15.32,5.17,12.68,0.6839,1,NUTRI_SCORE,0,0,43.59,1.33,A:0.18;B:0.29;C:0.14;D:0.18;E:0.21,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-07-22
2019,GR,HU254,65+,T,NORMAL,19.68,4.99,54.06,0.2605,1,NONE,1,0,35.04,7.29,A:0.17;B:0.15;C:0.29;D:0.13;E:0.26,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-05-09
2020,LT,PT659,50-64,F,OVERWEIGHT,26.28,4.1,8.56,0.6039,1,TRAFFIC_LIGHTS,0,0,64.12,8.87,A:0.18;B:0.11;C:0.28;D:0.22;E:0.21,hlth_ehis_sk1e,WHO_EURO,2025-03-11
2021,PT,BG5,35-49,M,OBESE,6.96,3.38,50.92,0.2965,0,BATTERY_LABEL,0,0,47.13,1.46,A:0.11;B:0.33;C:0.14;D:0.21;E:0.21,hlth_ehis_bm1e,EHIS,2025-12-18
2022,SE,BE36,20-34,T,UNDERWEIGHT,16.79,4.37,59.04,0.682,0,NORDIC_KEYHOLE,0,1,71.66,17.53,A:0.29;B:0.23;C:0.12;D:0.11;E:0.25,hlth_ehis_dn1e,ECDC_NUTRITION,2024-02-18
2023,CY,NL3,15-19,F,NORMAL,10.1,2.99,40.11,0.088,1,KEYHOLE,1,1,68.45,5.83,A:0.12;B:0.18;C:0.18;D:0.14;E:0.38,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-05-16
2024,FR,GR9,10-14,M,OVERWEIGHT,7.56,3.8,30.97,0.4233,0,NUTRI_SCORE,0,1,22.47,9.82,A:0.28;B:0.2;C:0.28;D:0.16;E:0.08,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2026-02-17
2025,IT,IE6,5-9,T,OBESE,31.12,5.74,25.91,0.5977,0,NONE,0,1,40.49,8.9,A:0.16;B:0.15;C:0.2;D:0.07;E:0.42,hlth_ehis_sk1e,WHO_EURO,2024-08-12
2026,NL,AT587,0-4,F,UNDERWEIGHT,12.41,4.88,54.24,0.429,1,TRAFFIC_LIGHTS,0,0,34.03,11.87,A:0.14;B:0.28;C:0.35;D:0.13;E:0.1,hlth_ehis_bm1e,EHIS,2024-08-13
2010,SI,BE667,65+,M,NORMAL,6.98,4.22,16.54,0.6706,1,BATTERY_LABEL,0,1,67.53,5.11,A:0.31;B:0.13;C:0.27;D:0.21;E:0.08,hlth_ehis_dn1e,ECDC_NUTRITION,2025-12-14
2011,BG,NL42,50-64,T,OVERWEIGHT,13.65,5.84,45.35,0.3918,0,NORDIC_KEYHOLE,0,1,40.11,1.5,A:0.23;B:0.19;C:0.25;D:0.18;E:0.15,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-01-15
2012,EE,ES7,35-49,F,OBESE,6.18,2.53,18.29,0.8604,0,KEYHOLE,0,1,23.77,10.25,A:0.13;B:0.26;C:0.17;D:0.1;E:0.34,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-03-18
2013,HU,IE478,20-34,M,UNDERWEIGHT,7.35,5.54,36.94,0.6307,0,NUTRI_SCORE,0,1,35.84,8.16,A:0.19;B:0.31;C:0.1;D:0.19;E:0.21,hlth_ehis_sk1e,WHO_EURO,2024-10-09
2014,LU,PL8,15-19,T,NORMAL,5.12,3.53,22.57,0.1376,1,NONE,0,0,57.29,11.27,A:0.13;B:0.34;C:0.34;D:0.08;E:0.11,hlth_ehis_bm1e,EHIS,2025-09-28
2015,RO,DK91,10-14,F,OVERWEIGHT,24.99,2.65,34.08,0.8425,1,TRAFFIC_LIGHTS,0,0,21.79,12.69,A:0.2;B:0.31;C:0.15;D:0.16;E:0.18,hlth_ehis_dn1e,ECDC_NUTRITION,2025-05-20
2016,AT,IT41,5-9,M,OBESE,5.05,6.78,25.35,0.5026,1,BATTERY_LABEL,0,1,23.37,9.48,A:0.13;B:0.21;C:0.16;D:0.16;E:0.34,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-09-19
2017,CZ,RO33,0-4,T,UNDERWEIGHT,23.36,2.48,31.34,0.2808,0,NORDIC_KEYHOLE,0,1,31.22,8.16,A:0.21;B:0.29;C:0.22;D:0.05;E:0.23,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-05-28
2018,DE,CY333,65+,F,NORMAL,30.52,4.78,60.85,0.1221,0,KEYHOLE,0,1,40.1,5.57,A:0.22;B:0.3;C:0.17;D:0.24;E:0.07,hlth_ehis_sk1e,WHO_EURO,2024-10-22
2019,LV,GR777,50-64,M,OVERWEIGHT,11.99,2.93,20.19,0.3901,0,NUTRI_SCORE,0,1,53.31,14.21,A:0.15;B:0.18;C:0.27;D:0.24;E:0.16,hlth_ehis_bm1e,EHIS,2026-02-23
2020,PL,FR850,35-49,T,OBESE,14.24,4.29,13.15,0.4165,0,NONE,1,1,54.31,13.85,A:0.3;B:0.22;C:0.19;D:0.18;E:0.11,hlth_ehis_dn1e,ECDC_NUTRITION,2024-08-12
2021,ES,SE980,20-34,F,UNDERWEIGHT,33.53,3.64,29.37,0.936,0,TRAFFIC_LIGHTS,1,1,23.17,1.46,A:0.28;B:0.3;C:0.27;D:0.15;E:0.0,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-07-09
2022,HR,CZ7,15-19,M,NORMAL,23.8,1.99,61.91,0.9497,1,BATTERY_LABEL,0,1,29.74,5.73,A:0.22;B:0.27;C:0.32;D:0.16;E:0.03,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2026-02-07
2023,FI,HR1,10-14,T,OVERWEIGHT,22.96,2.33,18.22,0.8513,1,NORDIC_KEYHOLE,0,0,71.8,1.11,A:0.18;B:0.31;C:0.22;D:0.18;E:0.11,hlth_ehis_sk1e,WHO_EURO,2025-11-30
2024,IE,LV528,5-9,F,OBESE,12.91,4.19,24.9,0.7916,0,KEYHOLE,0,1,56.98,7.45,A:0.12;B:0.17;C:0.19;D:0.17;E:0.35,hlth_ehis_bm1e,EHIS,2025-02-28
2025,MT,GR84,0-4,M,UNDERWEIGHT,11.28,1.32,35.86,0.5336,1,NUTRI_SCORE,1,0,32.96,1.23,A:0.12;B:0.14;C:0.33;D:0.15;E:0.26,hlth_ehis_dn1e,ECDC_NUTRITION,2024-05-21
2026,SK,SE934,65+,T,NORMAL,22.92,5.86,52.82,0.4704,1,NONE,0,1,70.15,3.41,A:0.26;B:0.12;C:0.3;D:0.08;E:0.24,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-02-10
2010,BE,PL1,50-64,F,OVERWEIGHT,12.8,5.47,15.73,0.1608,0,TRAFFIC_LIGHTS,0,1,59.79,10.99,A:0.17;B:0.1;C:0.23;D:0.18;E:0.32,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-06-24
2011,DK,ES27,35-49,M,OBESE,26.78,6.14,39.12,0.2617,1,BATTERY_LABEL,0,1,40.16,9.83,A:0.3;B:0.17;C:0.23;D:0.07;E:0.23,hlth_ehis_sk1e,WHO_EURO,2024-06-12
2012,GR,BG157,20-34,T,UNDERWEIGHT,14.04,6.73,31.8,0.3213,0,NORDIC_KEYHOLE,0,1,26.45,13.43,A:0.19;B:0.3;C:0.3;D:0.14;E:0.07,hlth_ehis_bm1e,EHIS,2025-12-31
2013,LT,DK1,15-19,F,NORMAL,10.46,6.55,56.98,0.9199,1,KEYHOLE,0,1,22.68,4.64,A:0.26;B:0.33;C:0.13;D:0.16;E:0.12,hlth_ehis_dn1e,ECDC_NUTRITION,2024-11-01
2014,PT,DE91,10-14,M,OVERWEIGHT,31.52,6.53,56.07,0.2678,0,NUTRI_SCORE,0,1,37.74,17.96,A:0.14;B:0.12;C:0.13;D:0.07;E:0.54,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-11-10
2015,SE,LV486,5-9,T,OBESE,12.77,3.71,8.49,0.909,0,NONE,1,1,67.71,11.33,A:0.25;B:0.14;C:0.29;D:0.15;E:0.17,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-01-02
2016,CY,DK474,0-4,F,UNDERWEIGHT,17.1,5.28,41.8,0.288,1,TRAFFIC_LIGHTS,0,0,48.64,16.14,A:0.28;B:0.24;C:0.1;D:0.18;E:0.2,hlth_ehis_sk1e,WHO_EURO,2024-04-29
2017,FR,ES71,65+,M,NORMAL,24.69,3.25,18.48,0.7226,0,BATTERY_LABEL,0,1,38.42,10.42,A:0.32;B:0.32;C:0.15;D:0.21;E:0.0,hlth_ehis_bm1e,EHIS,2026-02-06
2018,IT,AT419,50-64,T,OVERWEIGHT,10.13,2.74,47.48,0.5278,1,NORDIC_KEYHOLE,1,1,36.23,17.97,A:0.14;B:0.19;C:0.2;D:0.08;E:0.39,hlth_ehis_dn1e,ECDC_NUTRITION,2025-12-21
2019,NL,IE911,35-49,F,OBESE,26.96,2.58,42.69,0.3087,1,KEYHOLE,1,1,44.28,12.76,A:0.18;B:0.29;C:0.14;D:0.17;E:0.22,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-06-12
2020,SI,RO4,20-34,M,UNDERWEIGHT,6.24,3.34,40.06,0.2488,1,NUTRI_SCORE,0,0,38.77,11.48,A:0.11;B:0.14;C:0.27;D:0.14;E:0.34,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-02-03
2021,BG,PT25,15-19,T,NORMAL,25.1,2.85,31.48,0.3392,0,NONE,1,0,39.05,13.69,A:0.28;B:0.25;C:0.26;D:0.2;E:0.01,hlth_ehis_sk1e,WHO_EURO,2024-09-02
2022,EE,EE417,10-14,F,OVERWEIGHT,29.66,2.12,23.48,0.1674,1,TRAFFIC_LIGHTS,0,0,18.44,13.11,A:0.14;B:0.25;C:0.12;D:0.22;E:0.27,hlth_ehis_bm1e,EHIS,2025-02-15
2023,HU,BG156,5-9,M,OBESE,23.88,1.38,54.38,0.543,1,BATTERY_LABEL,1,1,34.82,16.36,A:0.18;B:0.22;C:0.25;D:0.19;E:0.16,hlth_ehis_dn1e,ECDC_NUTRITION,2024-06-19
2024,LU,NL59,0-4,T,UNDERWEIGHT,5.65,5.08,39.35,0.1891,1,NORDIC_KEYHOLE,0,1,50.46,13.04,A:0.18;B:0.31;C:0.25;D:0.12;E:0.14,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-07-26
2025,RO,LU78,65+,F,NORMAL,15.85,5.61,40.9,0.1631,1,KEYHOLE,0,1,28.7,11.4,A:0.32;B:0.25;C:0.17;D:0.2;E:0.06,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-07-15
2026,AT,SK89,50-64,M,OVERWEIGHT,32.52,5.97,51.58,0.3971,0,NUTRI_SCORE,1,0,42.59,9.51,A:0.21;B:0.16;C:0.26;D:0.07;E:0.3,hlth_ehis_sk1e,WHO_EURO,2024-01-11
2010,CZ,SK9,35-49,T,OBESE,6.59,5.55,59.34,0.3769,1,NONE,1,0,47.91,10.25,A:0.27;B:0.1;C:0.26;D:0.12;E:0.25,hlth_ehis_bm1e,EHIS,2025-02-15
2011,DE,SE485,20-34,F,UNDERWEIGHT,26.09,5.22,41.81,0.1834,1,TRAFFIC_LIGHTS,0,1,61.48,3.61,A:0.33;B:0.25;C:0.18;D:0.25;E:0.0,hlth_ehis_dn1e,ECDC_NUTRITION,2025-06-10
2012,LV,LV21,15-19,M,NORMAL,14.41,1.22,24.31,0.7446,0,BATTERY_LABEL,0,0,29.7,16.52,A:0.3;B:0.31;C:0.19;D:0.18;E:0.02,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-04-26
2013,PL,PL441,10-14,T,OVERWEIGHT,29.91,3.76,56.77,0.8807,0,NORDIC_KEYHOLE,0,0,28.17,10.44,A:0.18;B:0.22;C:0.33;D:0.15;E:0.12,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-08-30
2014,ES,CZ215,5-9,F,OBESE,19.1,5.2,25.59,0.1919,1,KEYHOLE,1,1,36.33,9.69,A:0.14;B:0.18;C:0.24;D:0.08;E:0.36,hlth_ehis_sk1e,WHO_EURO,2024-06-04
2015,HR,LV85,0-4,M,UNDERWEIGHT,6.33,1.87,55.71,0.4024,0,NUTRI_SCORE,0,1,55.12,2.37,A:0.27;B:0.18;C:0.32;D:0.14;E:0.09,hlth_ehis_bm1e,EHIS,2024-11-17
2016,FI,HR119,65+,T,NORMAL,24.34,2.65,22.58,0.8664,1,NONE,0,0,43.46,14.38,A:0.21;B:0.32;C:0.33;D:0.15;E:0.0,hlth_ehis_dn1e,ECDC_NUTRITION,2026-01-11
2017,IE,HU9,50-64,F,OVERWEIGHT,33.2,5.46,9.44,0.1741,1,TRAFFIC_LIGHTS,0,0,32.49,5.06,A:0.24;B:0.2;C:0.33;D:0.08;E:0.15,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-09-21
2018,MT,BG121,35-49,M,OBESE,24.63,5.12,57.01,0.2376,1,BATTERY_LABEL,0,0,45.88,15.64,A:0.16;B:0.14;C:0.16;D:0.17;E:0.37,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-12-21
2019,SK,LU432,20-34,T,UNDERWEIGHT,19.08,6.76,51.09,0.8591,1,NORDIC_KEYHOLE,1,1,62.31,7.56,A:0.24;B:0.27;C:0.26;D:0.15;E:0.08,hlth_ehis_sk1e,WHO_EURO,2024-02-06
2020,BE,LT139,15-19,F,NORMAL,4.3,2.74,31.72,0.5424,1,KEYHOLE,0,1,46.06,15.23,A:0.25;B:0.22;C:0.26;D:0.13;E:0.14,hlth_ehis_bm1e,EHIS,2024-02-23
2021,DK,CZ6,10-14,M,OVERWEIGHT,24.51,5.47,26.3,0.5244,0,NUTRI_SCORE,0,1,21.27,1.67,A:0.24;B:0.24;C:0.19;D:0.19;E:0.14,hlth_ehis_dn1e,ECDC_NUTRITION,2024-12-09
2022,GR,AT669,5-9,T,OBESE,28.15,5.44,31.16,0.7215,1,NONE,1,1,37.18,11.21,A:0.11;B:0.31;C:0.2;D:0.06;E:0.32,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-05-12
2023,LT,IE77,0-4,F,UNDERWEIGHT,10.07,4.86,58.03,0.4383,0,TRAFFIC_LIGHTS,0,1,25.66,10.74,A:0.17;B:0.28;C:0.14;D:0.16;E:0.25,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-10-13
2024,PT,NL2,65+,M,NORMAL,24.74,4.56,58.69,0.1195,0,BATTERY_LABEL,0,0,53.03,7.11,A:0.19;B:0.12;C:0.21;D:0.23;E:0.25,hlth_ehis_sk1e,WHO_EURO,2024-12-02
2025,SE,LT745,50-64,T,OVERWEIGHT,15.74,5.71,27.08,0.3395,0,NORDIC_KEYHOLE,0,1,52.07,7.86,A:0.24;B:0.13;C:0.23;D:0.06;E:0.34,hlth_ehis_bm1e,EHIS,2024-02-13
2026,CY,FR43,35-49,F,OBESE,19.94,5.34,45.68,0.8989,0,KEYHOLE,1,0,53.1,15.95,A:0.23;B:0.25;C:0.33;D:0.1;E:0.09,hlth_ehis_dn1e,ECDC_NUTRITION,2025-12-27
2010,FR,SE7,20-34,M,UNDERWEIGHT,13.64,3.91,51.08,0.2645,0,NUTRI_SCORE,0,1,18.57,7.78,A:0.24;B:0.17;C:0.14;D:0.24;E:0.21,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-05-27
2011,IT,PT5,15-19,T,NORMAL,13.04,4.24,37.32,0.6455,0,NONE,0,0,29.08,16.14,A:0.15;B:0.19;C:0.13;D:0.08;E:0.45,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2026-02-08
2012,NL,IT187,10-14,F,OVERWEIGHT,32.46,1.83,41.21,0.9493,0,TRAFFIC_LIGHTS,0,0,26.04,8.5,A:0.24;B:0.27;C:0.23;D:0.19;E:0.07,hlth_ehis_sk1e,WHO_EURO,2025-10-06
2013,SI,PT810,5-9,M,OBESE,8.77,3.03,13.23,0.6968,0,BATTERY_LABEL,1,1,59.39,2.33,A:0.27;B:0.21;C:0.29;D:0.23;E:0.0,hlth_ehis_bm1e,EHIS,2025-11-26
2014,BG,SI558,0-4,T,UNDERWEIGHT,33.73,6.38,18.23,0.531,1,NORDIC_KEYHOLE,1,1,43.97,13.62,A:0.2;B:0.33;C:0.11;D:0.22;E:0.14,hlth_ehis_dn1e,ECDC_NUTRITION,2024-12-08
2015,EE,BG907,65+,F,NORMAL,19.22,1.73,18.29,0.6455,0,KEYHOLE,0,0,24.59,12.63,A:0.32;B:0.11;C:0.21;D:0.12;E:0.24,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-09-24
