gov_debt_reporting_year,gov_debt_issuer_id,gov_debt_debt_type_code,gov_debt_principal_outstanding_usd,gov_debt_principal_issued_usd,gov_debt_principal_retired_usd,gov_debt_interest_cost_usd,gov_debt_average_coupon_rate,gov_debt_maturity_years_weighted,gov_debt_debt_service_coverage_ratio,gov_debt_days_cash_on_hand,gov_debt_liquidity_ratio,gov_debt_net_position_change_usd,gov_debt_unfunded_pension_liability,gov_debt_opeb_liability,gov_debt_bond_rating_agency,gov_debt_bond_rating_value,gov_debt_default_event_flag,gov_debt_refinancing_savings_usd,gov_debt_fiscal_distress_flag
2012,ISSUER0000538,PENSION_OBLIGATION,238504816559.37,27798603510.73,11369526726.1,10192409202.37,7.836,19.134,4.046,515.02,1.637,1984682773.87,35241178671.28,56655352196.38,S&P,BBB+,0,609181434.13,0
2024,ISSUER0000539,PENSION_OBLIGATION,240794718048.94,28614393245.74,17324481269.16,12019888546.1,3.686,8.369,1.874,307.9,1.389,2940547795.35,989577446.86,72097700623.83,MOODYS,AA+,0,1340172462.27,0
2020,ISSUER0000540,NOTES,58536255789.11,27239907031.45,35314753566.9,3665899033.29,7.842,8.141,2.243,70.69,2.608,2242739196.13,102482538818.88,70362454862.45,NONE,A-,0,1896335988.79,0
2021,ISSUER0000541,NOTES,113044571889.77,40917250336.62,13122649960.31,3280814542.74,8.287,9.556,1.906,77.74,0.411,948270836.28,109058624919.38,19918913055.5,FITCH,A,0,1033322782.14,0
2006,ISSUER0000542,GO_BOND,14981234702.9,25747644484.69,24406710565.35,862458342.34,6.669,2.99,3.893,63.28,1.559,-2089571355.37,158048186658.48,58327545106.15,FITCH,A-,0,799436614.45,0
2003,ISSUER0000543,REVENUE_BOND,17238376902.58,42426924084.26,3502142162.45,747687234.32,1.894,2.606,1.407,310.18,1.545,2630874310.3,129197254108.73,4771400877.81,FITCH,A,0,17598092.9,0
2007,ISSUER0000544,REVENUE_BOND,17525099028.09,12064679379.33,18973689986.4,1010267676.77,2.677,24.038,4.217,308.29,1.232,-7273199597.19,111414246710.78,29728058268.56,NONE,A+,0,1931191322.9,1
2021,ISSUER0000545,GO_BOND,85831189557.75,44957048533.65,7648555410.96,3739189378.43,6.354,6.129,0.586,436.19,0.919,-3787186703.12,14167557992.34,75564189842.62,S&P,NR,0,2186631767.85,0
2003,ISSUER0000546,PENSION_OBLIGATION,131515139628.94,44936279292.49,21425563495.75,10006772086.99,5.463,4.236,0.661,353.13,1.788,-420322240.93,145491930630.13,17431370705.45,S&P,AA,0,2376115664.07,0
2008,ISSUER0000547,REVENUE_BOND,104167010698.17,6133324190.58,9480159608.12,5250878123.8,1.066,15.644,3.411,435.22,1.525,6694392751.29,36324704584.22,72609815117.85,S&P,AA+,0,2454846601.04,0
2019,ISSUER0000548,REVENUE_BOND,89223363964.07,28527317765.35,31401983941.37,4206395433.19,1.516,10.747,0.445,103.52,1.623,-5453990396.56,89220437469.79,65794540880.14,S&P,A-,0,1612182655.07,0
2019,ISSUER0000549,REVENUE_BOND,90021915524.55,41209248311.72,31806231949.47,2777524380.14,2.726,16.944,0.501,111.16,1.225,-7885838306.94,69897488997.65,63179351580.17,S&P,AA-,0,2058158734.95,0
2001,ISSUER0000550,REVENUE_BOND,138075587564.3,17579985896.86,6429940428.45,1930234405.2,1.18,6.546,1.288,409.23,1.307,-623632962.37,41673615808.64,69617354720.46,NONE,AA+,0,840580212.82,0
2024,ISSUER0000551,REVENUE_BOND,27803127071.99,43414186176.38,12373968361.85,1677079191.47,4.02,19.359,3.27,478.91,1.767,-4691706472.6,25954996186.69,50925204093.03,KBRA,AA-,0,941506456.31,0
2004,ISSUER0000552,GO_BOND,248828165768.08,31334845627.01,15518564272.28,14638534028.52,5.862,17.439,1.368,254.91,0.282,-748153967.21,7782759131.83,6357695798.71,S&P,A,0,188014190.68,0
2016,ISSUER0000553,REVENUE_BOND,63155316752.66,43273077211.63,35317860732.4,1766370125.29,7.069,17.651,1.93,272.21,1.399,-7272083735.8,123154312632.03,18490875666.31,KBRA,A-,0,880183714.09,0
2014,ISSUER0000554,LEASE,82228583361.0,19153441847.25,29606085722.76,6295603660.77,4.635,9.171,0.879,402.18,2.601,7986434275.69,86184195328.27,30223935739.73,KBRA,BBB,0,2028469715.76,0
2019,ISSUER0000555,GO_BOND,158899857651.5,36251550554.64,12994064102.97,4122487000.56,5.229,27.173,0.677,276.9,1.774,-2629755175.22,67405555082.27,19549122965.74,S&P,AA-,0,2400675149.85,0
2008,ISSUER0000556,CERT_PARTICIPATION,139215940745.98,12240579129.8,11851319343.14,6757979210.77,2.443,20.908,2.274,198.71,0.091,-1545230159.97,39499152701.94,25621073952.36,NONE,BB+,0,1899561406.55,0
2017,ISSUER0000557,REVENUE_BOND,59757235119.6,31089790939.67,38529871082.09,1317787096.96,6.839,14.92,4.185,66.1,2.269,-6749041780.84,102039433320.48,67106928232.51,FITCH,A,0,823320980.71,0
2000,ISSUER0000558,REVENUE_BOND,152035960842.68,15663212995.94,15606560951.55,7462040449.63,5.74,21.555,2.57,183.29,1.633,-1163999118.03,46828049303.46,64553022914.41,MOODYS,AA-,0,1345688148.4,0
2009,ISSUER0000559,REVENUE_BOND,169029669340.55,43659329754.8,14115499139.37,10154465579.4,2.77,26.151,2.122,332.38,2.895,3799187375.47,114791520109.88,38192601563.3,FITCH,A,0,213866645.15,0
2013,ISSUER0000560,LEASE,248209685576.38,20732012545.74,24343432461.69,6652765222.53,7.855,14.111,3.582,340.86,1.402,3272471609.1,18303601124.11,3720286458.0,MOODYS,BBB,0,1390963169.32,0
2015,ISSUER0000561,GO_BOND,166356469586.39,4415578375.55,9704307.25,6828430548.21,2.742,5.153,3.025,188.55,1.963,5489292159.48,132533267662.66,20566530445.58,MOODYS,BBB-,0,246013797.32,0
2012,ISSUER0000562,REVENUE_BOND,14095347258.63,39693083501.02,18546574408.78,850702121.04,0.549,10.561,1.217,327.86,1.679,6855671251.46,2152756235.82,29314764429.13,MOODYS,BBB+,0,279499645.71,0
2022,ISSUER0000563,REVENUE_BOND,249343633710.28,41259615043.08,34046236499.66,14051814101.88,5.974,26.39,2.489,424.41,1.298,7778750252.14,43037981620.76,66353093016.4,MOODYS,BBB,0,1553105560.56,0
2010,ISSUER0000564,GO_BOND,202470914417.7,22828944297.99,38424575701.99,2561530400.27,2.717,15.348,3.459,345.95,2.188,4796476684.53,132358317568.98,6131520355.99,S&P,NR,0,436684884.86,0
2019,ISSUER0000565,REVENUE_BOND,73993653310.2,16981617301.85,2831504633.92,5048827258.48,6.483,26.911,2.843,342.23,1.036,-1551614283.37,81398905609.59,29545746715.07,NONE,AA,0,850188796.49,0
2022,ISSUER0000566,REVENUE_BOND,125213105487.59,9675281990.29,27947443062.73,7165086568.98,6.633,5.065,1.056,320.7,1.437,-85200287.35,35477421856.82,111947649.66,S&P,A+,0,790076419.31,0
2016,ISSUER0000567,REVENUE_BOND,214277788026.09,26651479908.99,13340650523.4,8545117465.54,5.506,1.359,3.776,218.93,2.025,-6063441994.16,124583370614.44,30154507641.85,S&P,AAA,0,818534968.56,0
2013,ISSUER0000568,REVENUE_BOND,118821673727.14,19463261144.61,21856370242.42,1767990702.49,4.592,28.148,4.418,151.82,0.426,-295416046.3,104973424067.38,36485333933.08,NONE,NR,0,1642789665.59,0
2024,ISSUER0000569,GO_BOND,123814310794.82,27153936002.98,28049278910.22,8837654615.84,0.671,1.862,2.218,190.09,1.069,1181548716.97,98878411102.16,6680170779.26,FITCH,AA-,0,2028791397.53,0
2003,ISSUER0000570,CERT_PARTICIPATION,185892587890.93,13835461310.85,14078490365.96,8008188687.78,6.939,2.209,2.696,5.12,2.434,-1975070676.96,25323494397.58,9947459765.35,S&P,BBB+,0,379776358.07,0
2006,ISSUER0000571,GO_BOND,13538036694.4,17827000656.16,11753340824.04,1007993129.49,5.345,20.483,1.034,301.85,2.687,-5726214563.27,25238252548.85,60165483325.74,NONE,A,0,697573739.6,1
2011,ISSUER0000572,CERT_PARTICIPATION,247935027928.24,32454609934.93,29476183468.96,12487428431.9,0.874,18.5,1.373,135.06,1.63,6017514572.48,54583208052.18,35609469442.93,S&P,AA+,0,94148385.73,0
2005,ISSUER0000573,PENSION_OBLIGATION,193337387469.7,15648237421.51,3466540356.56,12429962761.87,6.705,18.935,3.425,68.62,0.852,-2003590165.54,99916888546.22,33763783745.94,NONE,AA,0,1584886226.14,0
2001,ISSUER0000574,GO_BOND,207597291182.89,37207489185.66,4023062567.64,13846160583.07,5.122,28.863,2.079,438.54,0.34,-6261334079.11,5792195237.27,30937927766.04,S&P,AA-,0,2056489036.28,0
2023,ISSUER0000575,PENSION_OBLIGATION,94076118347.13,15195148084.89,28489492686.67,3844799720.23,1.59,9.836,1.694,229.42,2.614,-7003304898.05,38412080304.13,19070488583.89,MOODYS,BBB+,0,53713878.02,0
2006,ISSUER0000576,GO_BOND,174618059383.13,3626777507.84,36990179980.45,4418709884.09,5.373,11.664,3.978,2.77,0.523,3354620574.83,113753956625.68,28793692856.73,S&P,AA,0,159463116.4,0
2011,ISSUER0000577,REVENUE_BOND,137418754158.32,19986332564.24,37139494355.11,3050475663.37,2.627,26.471,1.643,380.69,2.85,-203650257.65,15688511003.95,33591126689.0,FITCH,BBB-,0,2188500584.64,0
2001,ISSUER0000578,NOTES,125273652410.26,36907616903.8,2246779379.83,5506354125.87,2.423,10.793,1.353,514.73,2.846,6772671332.96,69073049677.52,42523926870.24,FITCH,BB+,0,1097919979.18,0
2016,ISSUER0000579,REVENUE_BOND,15968725309.48,40651421714.05,22235946671.92,1271855881.03,8.304,24.16,1.558,175.75,1.224,616139134.67,75507280088.63,22084381023.2,S&P,A-,0,590026757.83,0
2020,ISSUER0000580,CERT_PARTICIPATION,230470257199.83,15739660182.51,7071818445.14,2844021423.7,4.187,8.897,3.211,425.99,0.896,3942992720.6,37897786433.54,2622005755.92,S&P,A-,0,122269348.55,0
2024,ISSUER0000581,REVENUE_BOND,112847854827.59,28969980666.64,9338764474.92,1421273132.61,3.238,15.968,1.045,207.47,2.585,1825206408.84,53990497807.65,64270739602.06,S&P,AA,0,1954391076.1,1
2008,ISSUER0000582,REVENUE_BOND,46290714636.34,3838070280.24,5402341245.86,852297731.89,2.123,24.416,2.212,443.97,2.223,-5746830595.37,130394156709.55,60935835768.7,FITCH,BBB+,0,536157097.0,0
2013,ISSUER0000583,NOTES,190472426297.12,27513892518.98,36472399171.5,11734344296.74,7.978,11.929,0.541,295.21,2.158,-2107906856.34,98872097261.19,71677707637.17,S&P,A,0,2193045344.58,0
2011,ISSUER0000584,PENSION_OBLIGATION,98577473099.29,33653168962.92,19453758689.38,1896611449.3,6.126,7.157,3.052,127.78,1.59,-811979312.51,49778411198.83,39715735569.26,MOODYS,A,0,2332819233.54,0
2025,ISSUER0000585,REVENUE_BOND,156444354061.98,11829083232.62,31040354511.2,3680963343.72,6.67,7.171,2.497,491.91,2.236,-4380748506.51,114548850896.42,12689418728.72,FITCH,NR,1,24766044.93,0
2004,ISSUER0000586,GO_BOND,144823335003.78,28802133865.65,6659353968.51,11291817271.72,2.354,17.923,4.284,93.05,1.533,210518614.43,150987955775.66,45879195666.44,NONE,A,1,1256912688.32,0
2024,ISSUER0000587,REVENUE_BOND,143778036870.59,4661416429.41,3201064506.34,10496131888.93,6.834,8.543,2.012,281.26,0.452,-6484058589.37,111997730170.36,54412280638.54,S&P,A+,0,1632867724.01,0
2022,ISSUER0000588,PENSION_OBLIGATION,162629074037.94,33423628564.03,24917524723.93,8580341608.91,0.537,29.435,2.129,78.92,2.574,754422878.45,72032495072.57,2793428090.06,S&P,BBB,0,1362576014.46,0
2005,ISSUER0000589,GO_BOND,31021909259.51,13834391394.49,15054566001.29,317691047.43,6.18,22.444,1.817,132.95,0.728,4667453487.6,156931067271.1,66294818712.68,S&P,A-,0,1925156143.53,0
2022,ISSUER0000590,PENSION_OBLIGATION,12360489124.21,40671966362.7,14704893991.32,210502649.38,6.411,20.504,4.467,470.04,0.992,7642799300.74,18007637440.96,3368749638.91,MOODYS,A+,0,497384086.62,0
2000,ISSUER0000591,GO_BOND,242824543444.11,4505512754.55,39337002848.06,15136032429.82,2.838,25.936,3.361,17.66,2.836,-1577845087.66,98176480758.9,42480454944.77,MOODYS,A-,0,1196360246.19,0
2021,ISSUER0000592,REVENUE_BOND,153109669234.12,12538027254.86,13869515542.35,6235828903.73,8.339,21.917,0.402,35.73,0.667,-64755092.66,90555125389.64,28604818109.28,FITCH,BBB+,0,2000206457.28,0
2017,ISSUER0000593,REVENUE_BOND,59194039728.84,33619694389.49,4650663037.4,3873556087.87,4.296,29.779,2.636,78.56,0.068,-5491473927.72,9081193920.99,59961657649.02,NONE,AAA,0,314260657.79,1
2014,ISSUER0000594,REVENUE_BOND,194368804538.76,7905071205.95,30342556349.14,7515590768.04,4.528,11.469,2.861,381.18,1.901,-1500153625.35,22299512137.59,74706830052.25,S&P,A-,0,693938134.36,0
2000,ISSUER0000595,NOTES,226680728465.56,41684774416.08,29926179513.53,17724078866.35,1.855,27.397,0.581,220.78,1.676,5442161451.81,57693283944.02,25539345557.52,FITCH,AA-,0,20975164.02,1
2011,ISSUER0000596,REVENUE_BOND,183120019470.78,41102525578.69,36183861105.71,6263725527.46,2.383,16.165,2.78,133.87,2.81,448822794.18,76501714292.59,18970059683.9,MOODYS,AA+,0,1372546790.94,0
2024,ISSUER0000597,REVENUE_BOND,229644203458.34,36266785415.37,39466885939.3,7899211459.53,7.351,23.487,0.734,87.3,2.69,-3005343869.23,129169928194.55,71884814216.94,NONE,BBB-,0,1359971666.68,0
2014,ISSUER0000598,GO_BOND,60082419257.23,9131629316.49,2497486545.46,1117294034.02,7.779,22.542,3.982,500.64,1.84,-2385894069.36,104984198905.64,19136556676.43,MOODYS,BBB+,0,523564458.53,0
2008,ISSUER0000599,CERT_PARTICIPATION,43838769534.3,17874271335.75,28058257416.78,3390775122.85,0.869,2.583,1.071,83.73,1.33,7140570116.7,38616100199.44,47367946752.06,FITCH,AAA,0,1229510553.66,0
2015,ISSUER0000600,NOTES,241942629542.3,35328582639.0,23642550173.41,18846568429.13,1.098,15.316,2.246,71.24,0.123,-2810175468.85,45311540028.81,53011566822.84,FITCH,BBB+,0,1216207072.52,0
2009,ISSUER0000601,LEASE,16878554299.08,22352284465.97,36065415351.24,724429876.42,2.833,24.654,3.218,236.61,0.051,2124430435.05,23962055640.95,47910114425.78,S&P,AA-,0,1138959369.66,1
2007,ISSUER0000602,REVENUE_BOND,98180412099.16,3987153200.64,28794029800.74,2920760551.09,4.649,8.469,1.934,506.81,1.077,-7735803736.6,94056974906.1,28221687752.83,S&P,A,0,748997943.16,0
2024,ISSUER0000603,GO_BOND,172212302702.65,32430949941.77,9631806660.14,11941381131.54,3.694,17.253,0.992,440.72,1.333,709070227.73,81650085351.62,33427424353.9,FITCH,BBB+,0,1538296245.72,0
2019,ISSUER0000604,REVENUE_BOND,169585981237.96,27605949342.24,32955267167.93,1772690734.07,2.4,23.651,2.549,440.83,2.249,3521639190.76,81076956360.44,12381990506.18,FITCH,AA,0,2175241605.83,0
2000,ISSUER0000605,NOTES,246594831796.83,10883376705.33,34656219570.15,7465171432.85,8.108,3.954,1.538,207.68,1.642,5688312400.29,143622606301.4,30403842248.21,NONE,BBB+,0,420610003.42,0
2006,ISSUER0000606,REVENUE_BOND,58609355537.64,31585610272.16,9113692937.99,1562360138.16,1.775,16.227,4.444,206.82,2.475,-952854905.66,74602391231.16,24383148247.53,S&P,BBB+,0,1366311908.85,0
2005,ISSUER0000607,LEASE,138612093418.4,30201340378.41,6003460534.45,5188652221.6,7.789,5.125,2.305,271.78,0.84,4110034807.19,133354030846.37,29999722130.54,NONE,BBB+,0,1911788083.3,0
2007,ISSUER0000608,REVENUE_BOND,18071680422.57,36852634171.88,31381848998.9,841852517.27,3.231,29.453,1.211,85.27,2.795,-2197559523.33,102320164108.58,32844235468.75,FITCH,A+,0,1875634777.26,0
2014,ISSUER0000609,GO_BOND,138933799842.69,29669170816.89,593072757.86,5342947753.29,6.943,28.551,0.8,264.98,2.019,-2194996642.04,107203174152.98,36660400236.25,S&P,AAA,0,2060547807.36,0
2005,ISSUER0000610,REVENUE_BOND,157119474468.63,18580283283.82,15162983569.27,7011308820.52,8.117,29.313,2.762,495.03,0.396,-3429884680.34,5610081380.55,2951835216.55,S&P,BBB-,0,2126668325.0,1
2004,ISSUER0000611,PENSION_OBLIGATION,3106493115.14,15009977550.78,15439289111.42,151255518.25,1.143,23.309,1.325,304.63,2.057,1189150835.14,30431833439.55,34556416284.15,NONE,BBB,0,1212319734.58,0
2019,ISSUER0000612,GO_BOND,171544629841.41,42280788504.14,23540725965.04,10863162526.76,3.671,0.993,1.882,181.56,0.659,-4848251604.03,136882811606.15,45193025225.05,MOODYS,A,0,2489401157.15,0
2010,ISSUER0000613,NOTES,143112282292.99,2739772683.89,36116822456.61,5635148208.33,2.349,21.758,0.651,181.84,2.199,-257849059.75,32568947114.42,57849053139.09,MOODYS,BB,0,35220736.15,0
2020,ISSUER0000614,CERT_PARTICIPATION,154584512449.78,22203094114.19,5643490622.27,9931714517.66,6.415,24.54,2.325,241.49,0.223,-6632398033.95,19442794883.03,46201694468.58,S&P,A,0,1707962597.07,0
2005,ISSUER0000615,REVENUE_BOND,118371307946.5,41360633393.35,3485453537.33,1214788727.36,6.899,2.226,1.968,156.68,1.943,1117318278.28,91994164510.77,22040156341.71,MOODYS,BBB-,0,557413918.28,0
2005,ISSUER0000616,REVENUE_BOND,183432401143.25,11255955657.1,30504326231.6,13158125015.78,0.97,21.474,3.311,152.68,2.382,-541709790.89,97713458883.5,26463435602.64,FITCH,AAA,0,818716834.4,0
2014,ISSUER0000617,CERT_PARTICIPATION,181483174635.42,5247387778.46,37971817147.88,13964621055.42,3.585,19.883,2.278,142.55,2.217,-1897561400.55,133730593672.35,33491367045.64,FITCH,A-,0,2425548509.45,0
2024,ISSUER0000618,LEASE,39966215570.88,21739897916.42,10933619332.4,2228173857.01,5.518,25.536,3.525,417.84,0.769,-4680828964.46,35403531499.63,21173840867.66,MOODYS,A,0,1532778341.31,0
2014,ISSUER0000619,PENSION_OBLIGATION,183233579932.99,17852497974.75,3509121404.3,6428158581.63,2.355,4.849,2.834,274.57,1.875,2450059010.13,20850431458.3,48443336731.78,S&P,AA-,0,2342199380.04,0
2025,ISSUER0000620,CERT_PARTICIPATION,141169145359.88,43411181344.93,1917967652.77,8832501657.52,5.183,11.333,2.726,286.59,1.381,-1237349420.24,53435340393.5,67425129757.89,S&P,BBB,0,2356072164.88,0
2025,ISSUER0000621,LEASE,63006325755.74,41694194881.82,37567132631.53,3620961959.24,2.146,20.366,1.807,519.7,2.909,-7329882315.88,22466896238.5,47702712431.18,S&P,BBB+,0,2216616429.49,0
2018,ISSUER0000622,PENSION_OBLIGATION,245054765511.4,33214412057.89,14340015862.8,7396119583.32,2.387,29.33,4.449,405.38,0.967,1057802140.43,38348149775.26,9991069909.54,FITCH,AA+,0,1502009433.71,0
2004,ISSUER0000623,NOTES,142087591531.14,35677595648.12,32924072564.86,6880436827.68,6.982,29.204,3.68,290.96,1.019,-4394129909.81,76241474548.02,72996436481.89,S&P,BBB-,0,239576614.95,0
2004,ISSUER0000624,REVENUE_BOND,47795692254.62,29917185671.92,2787621903.4,3187328697.29,7.281,8.669,2.097,75.55,1.1,-3278084559.57,153135849830.46,1368944001.79,FITCH,AA,0,1205922519.41,0
2018,ISSUER0000625,GO_BOND,51138065974.89,9817487473.84,19540116319.41,2072433496.31,5.575,15.502,4.283,77.56,1.694,-5380032584.14,22105553675.84,53400499299.91,MOODYS,A,0,1660782858.23,0
2000,ISSUER0000626,NOTES,112413077663.49,44124427433.93,33980390186.41,7122076154.59,5.039,22.268,3.605,207.79,0.64,4425670539.5,22252321830.54,26324658440.99,MOODYS,AA,0,1929675687.77,0
2000,ISSUER0000627,REVENUE_BOND,98064463709.1,4838987690.15,13745361941.53,4855601120.72,4.551,4.193,1.588,431.69,1.555,1366032629.01,12314419032.75,77406299997.91,S&P,A-,0,36567241.64,0
2024,ISSUER0000628,REVENUE_BOND,212990739653.17,44250917487.68,30530688828.51,14337777572.8,7.145,29.685,2.851,34.31,0.897,-4030178605.1,100073332534.17,41033681921.56,NONE,A,0,180698782.17,0
2006,ISSUER0000629,LEASE,73853169291.58,14234343606.7,17578870434.37,2018084308.04,6.544,4.509,3.286,275.62,2.783,-2907895560.57,91042704656.79,348431975.01,KBRA,AA,0,1429276554.7,0
2011,ISSUER0000630,GO_BOND,239232700702.97,21968433658.34,14618753481.96,14708198943.83,6.52,28.004,2.862,86.23,2.193,-7409497680.15,33572414526.51,29749643828.4,FITCH,A+,0,1488964616.43,0
2025,ISSUER0000631,CERT_PARTICIPATION,77118403067.67,7294774001.09,35452994143.61,2415337339.16,5.25,3.475,2.635,178.9,1.18,7935121688.17,139372873027.33,73003226733.79,NONE,AA+,0,1712008742.34,0
2020,ISSUER0000632,REVENUE_BOND,225461627213.23,42051055732.29,6256128890.22,7799715830.54,5.735,14.297,2.355,286.39,1.584,4997095955.05,98150604524.15,36700315954.78,FITCH,A-,0,1541989887.07,0
2009,ISSUER0000633,GO_BOND,35758045130.98,4237617885.09,19452275966.19,2123327377.69,4.432,26.41,0.39,12.37,2.015,-2371705485.67,123914341871.97,58693007543.68,FITCH,A,0,1793256867.15,0
2017,ISSUER0000634,GO_BOND,48345634623.22,30807116783.04,18712186011.72,3785348638.61,3.2,9.772,3.997,133.07,0.534,-2623027033.33,157967482556.56,33449018874.74,MOODYS,BBB-,0,760840088.07,0
2013,ISSUER0000635,REVENUE_BOND,51536519779.65,17242615578.22,20039852781.33,1916934736.28,3.013,2.987,1.115,143.41,2.673,7064507497.65,15102141071.41,11225930384.44,S&P,A-,0,739312464.92,0
2024,ISSUER0000636,GO_BOND,172017114516.79,11750189355.58,38776886647.84,12577452486.6,5.988,29.622,0.809,235.51,0.624,-131887662.23,106628428588.79,77499513851.72,NONE,A,0,850843900.76,0
2016,ISSUER0000637,GO_BOND,89493007840.87,33458610539.03,19216605056.83,6999511551.48,5.6,17.145,2.845,416.71,1.417,7732626118.49,142358774923.46,62781842645.84,FITCH,AA-,0,575819183.2,0
2014,ISSUER0000638,GO_BOND,79644129747.5,3137841834.24,22263210689.48,5382471221.55,0.818,2.486,1.451,310.91,0.41,-398926155.34,59876687680.52,10740493662.49,MOODYS,NR,0,853509335.93,0
2013,ISSUER0000639,GO_BOND,202420879494.74,2539632839.57,29688184800.18,7912415688.79,5.899,7.876,2.197,196.6,1.959,1499797107.91,76794935784.54,8668898102.59,MOODYS,BB+,0,1320399874.9,0
2013,ISSUER0000640,REVENUE_BOND,17615628509.05,8090136721.72,19636156314.31,820863599.79,2.434,18.809,3.028,155.58,0.584,2807010066.61,94791779353.85,63937445163.7,KBRA,A-,0,2494516671.06,0
2016,ISSUER0000641,REVENUE_BOND,218346567191.99,4161481674.52,38706952707.98,6296128455.08,3.678,17.623,4.127,318.14,2.322,-7394299664.86,81389853868.41,16325125537.84,FITCH,AA+,0,899455883.7,0
2008,ISSUER0000642,GO_BOND,111593380622.71,25489119680.51,9385812981.45,7762617249.14,8.467,5.104,1.489,133.93,2.281,-7921921935.51,4474155705.42,46874487127.92,KBRA,AA,0,2008116799.75,0
2006,ISSUER0000643,REVENUE_BOND,2751520499.14,7866120066.17,32321958270.69,102683912.2,5.847,19.683,3.634,163.2,0.564,-1398812238.28,66403557029.17,34149291360.13,FITCH,AA,0,955352815.63,0
2002,ISSUER0000644,REVENUE_BOND,227432416655.44,12179513164.76,12376290861.93,16719366977.42,7.814,2.273,3.477,334.7,1.817,-595524312.7,72209687157.39,34729706971.92,NONE,A-,0,2099584437.21,0
2021,ISSUER0000645,REVENUE_BOND,34237573774.76,21551031212.22,18924761119.58,1789926653.83,8.03,3.747,1.058,80.43,2.268,-6439546629.43,82713992556.06,66792191718.17,NONE,BBB+,0,616800786.93,1
2016,ISSUER0000646,REVENUE_BOND,148484380318.93,22974006736.15,164157466.14,2978011709.26,3.353,13.827,2.915,211.65,2.475,-6695287838.28,156839764711.14,30797983308.78,FITCH,AAA,0,649382413.71,0
2012,ISSUER0000647,PENSION_OBLIGATION,173930437614.11,677947018.22,6650968709.47,7608953089.56,7.188,11.448,2.497,466.78,1.867,4789836213.66,54395940299.53,37670418854.54,FITCH,A,0,747868064.18,0
2017,ISSUER0000648,REVENUE_BOND,198637657848.54,15808693178.06,3417020607.1,14220222301.63,5.143,17.129,3.438,185.38,1.019,5020314547.29,107793845306.74,9220378216.07,KBRA,A+,0,2385188259.93,0
2015,ISSUER0000649,REVENUE_BOND,248399637066.1,39793626064.22,28447669792.89,6212959586.97,4.711,22.779,1.031,427.5,0.876,50816056.29,149160714148.88,46499509171.05,S&P,A+,0,1258290179.32,0
2021,ISSUER0000650,REVENUE_BOND,232448075287.74,14673792851.91,10567447784.3,4225408035.74,1.454,12.313,3.875,316.85,2.8,-3676511064.89,159327417479.42,56371410554.33,FITCH,BBB,0,2138328736.3,0
2007,ISSUER0000651,LEASE,122425811509.74,34662351607.71,29840161557.5,8981664334.43,7.604,17.547,1.057,309.74,2.85,3912495170.22,71322075530.62,75756014932.24,S&P,BBB+,0,2373820359.02,0
2022,ISSUER0000652,GO_BOND,205217698177.91,3909872233.41,14057956930.5,8450228116.56,2.017,14.675,2.104,253.15,1.697,7594491787.7,154552144459.07,17654183341.38,NONE,BBB-,0,17034193.63,1
2006,ISSUER0000653,REVENUE_BOND,92889910069.72,795559041.66,35558336663.75,2286930792.34,6.968,26.243,3.472,78.56,1.159,-4429679769.07,99505393260.61,66024326212.58,S&P,A+,0,1277504102.65,0
2022,ISSUER0000654,CERT_PARTICIPATION,18552941383.17,41635662045.75,8712556931.15,233531821.47,1.972,28.231,1.892,165.82,0.762,6710601649.05,22444979912.0,68619231949.49,KBRA,AA,0,557574765.63,0
2020,ISSUER0000655,REVENUE_BOND,216910126509.03,21086923134.91,12445205821.94,3771869140.57,3.625,13.373,0.345,481.17,0.425,4345814683.05,76421076101.67,73064012847.37,FITCH,AA-,0,2165840244.8,0
2001,ISSUER0000656,GO_BOND,37373753332.95,36722703399.26,6361533302.64,1040176901.02,0.978,5.174,4.312,364.89,0.217,-1355661877.36,69043385303.42,66313905706.87,S&P,AA,0,1021729352.31,0
2023,ISSUER0000657,GO_BOND,54353131240.17,15929259262.31,14382386546.5,3283838138.18,5.867,15.679,3.782,131.0,1.032,-3845075112.06,86854657166.24,61807816959.08,FITCH,AA+,0,2147418228.05,0
2001,ISSUER0000658,NOTES,58190118427.38,33375731809.4,39564998836.97,2145058227.82,6.614,21.933,3.541,39.01,1.155,5933383480.79,158935613799.86,68255264699.68,S&P,BBB+,0,1055567042.07,0
2018,ISSUER0000659,REVENUE_BOND,3743822077.57,31700125631.68,8034305056.45,250392130.42,6.077,26.657,4.123,224.81,2.033,1891044273.1,4629891840.03,48729013573.22,S&P,BBB-,0,2394634695.74,0
2008,ISSUER0000660,GO_BOND,157251494908.3,39915558942.76,12814701545.44,8113529483.78,1.583,5.569,2.93,435.0,1.966,-1416005410.18,117376003828.43,11496150327.12,S&P,A,0,773825532.88,1
2002,ISSUER0000661,GO_BOND,117062534357.33,13515877330.42,5468860175.54,6552658185.37,6.16,16.818,2.452,99.97,1.992,-6458844454.91,98237452356.61,27658433847.52,MOODYS,BBB+,0,940159950.69,0
2020,ISSUER0000662,REVENUE_BOND,5076178263.93,34323616132.19,22223686562.67,349849485.05,8.095,3.538,3.64,444.45,0.166,442081053.35,22485650986.05,10358178496.46,S&P,AA-,0,603151939.69,0
