house_insecure_point_in_time_date,house_insecure_service_region_id,house_insecure_unsheltered_count,house_insecure_sheltered_count,house_insecure_family_households_count,house_insecure_youth_count,house_insecure_veteran_count,house_insecure_chronic_homeless_count,house_insecure_length_of_stay_median_days,house_insecure_returns_to_homelessness_rate,house_insecure_hm_is_system_coverage_pct,house_insecure_encampment_clearance_count,house_insecure_outreach_contacts_count,house_insecure_bed_utilization_rate,house_insecure_housing_placement_rate,house_insecure_rrh_program_enrollments,house_insecure_psh_program_enrollments,house_insecure_eviction_prevention_assistance,house_insecure_street_medicine_visits,house_insecure_barrier_assessment_score
2017-10-09,SR000403,5134,2384,3540,1699,252,1447,277,9.8,63.23,125,14713,57.54,20.94,3220,3998,21177,1595,0.5569
2017-10-16,SR000404,281,16668,316,1856,1244,1177,155,21.93,47.56,243,1871,53.95,39.27,4743,6959,15392,6306,0.7775
2017-10-23,SR000405,2451,5244,1584,968,399,72,41,20.68,65.28,78,633,73.27,31.86,380,2493,11166,4754,0.2037
2017-10-30,SR000406,5282,3848,2509,1018,949,662,164,17.7,97.48,97,1825,42.56,63.48,2041,137,6314,2922,0.9063
2017-11-06,SR000407,5392,1699,464,382,1210,1933,151,27.24,47.55,166,10485,53.54,45.63,2325,4899,11064,7043,0.938
2017-11-13,SR000408,3530,5552,2177,1342,350,2625,288,29.09,92.33,148,3373,51.03,64.42,2247,4489,17851,6074,0.6634
2017-11-20,SR000409,5512,17835,933,63,754,1543,318,32.24,47.17,193,3820,76.13,60.12,628,870,12724,5749,0.2733
2017-11-27,SR000410,5405,14489,3102,1393,147,1478,267,23.47,80.57,135,11616,60.12,31.41,355,3483,16928,10704,0.7883
2017-12-04,SR000411,3172,2654,2552,391,831,720,213,14.9,46.2,92,10665,85.66,27.17,4278,4361,6562,7336,0.3044
2017-12-11,SR000412,2427,5171,3225,1236,1284,1356,163,22.15,85.5,176,5217,91.69,39.24,455,4312,23065,9188,0.3496
2017-12-18,SR000413,6364,452,495,1189,1085,597,144,15.89,87.14,103,8784,70.24,61.85,1013,1012,9011,431,0.2374
2017-12-25,SR000414,4172,13148,3870,1737,950,857,369,8.24,82.31,34,5537,53.92,40.24,58,3528,10732,8562,0.4946
2018-01-01,SR000415,3936,11973,3338,308,932,1377,420,24.36,48.88,179,4071,94.95,55.5,2036,4307,14640,8196,0.817
2018-01-08,SR000416,307,14377,1389,721,943,2018,69,29.76,60.34,77,3426,56.45,48.48,733,1816,5432,1971,0.0414
2018-01-15,SR000417,5131,13346,2893,1721,1233,2681,45,2.22,90.56,156,4297,99.07,20.81,139,5848,14759,7122,0.276
2018-01-22,SR000418,3889,8898,2668,469,963,581,184,10.72,69.18,92,12539,40.18,18.74,286,4395,11059,9742,0.4558
2018-01-29,SR000419,724,17005,2645,1766,120,2064,316,30.52,57.85,196,9937,46.66,46.49,4958,5084,19467,2395,0.9462
2018-02-05,SR000420,3857,11526,950,931,353,1855,36,33.33,46.87,237,12322,77.03,17.36,1989,4693,18762,3583,0.8601
2018-02-12,SR000421,2603,5547,3393,1602,985,1537,101,34.77,90.48,27,8597,35.94,32.67,2370,4279,2380,592,0.3913
2018-02-19,SR000422,1799,4949,2080,1101,218,1368,348,23.86,76.22,50,15405,83.58,13.22,3353,2025,23785,4564,0.3752
2018-02-26,SR000423,1143,4510,1191,649,685,316,74,3.89,96.88,101,3508,91.2,7.74,822,2917,11866,5388,0.5538
2018-03-05,SR000424,1713,8047,670,1286,392,2792,342,8.92,69.93,232,766,93.11,5.98,1378,6951,20456,8289,0.0391
2018-03-12,SR000425,2540,14177,1874,816,404,2289,245,30.2,77.88,50,5344,73.41,39.69,4743,6020,4497,2712,0.4656
2018-03-19,SR000426,2681,8287,3763,1139,656,1711,384,22.74,80.57,38,9664,95.2,53.34,2993,6480,9740,4167,0.7104
2018-03-26,SR000427,5647,2109,2562,1846,810,973,9,5.53,61.79,173,5951,55.51,10.72,3540,2417,21678,3727,0.2079
2018-04-02,SR000428,1521,7387,3999,1926,197,965,278,27.45,56.05,153,12643,35.81,34.03,4744,177,22709,3038,0.0822
2018-04-09,SR000429,2590,16368,2947,2189,260,2725,212,5.73,99.18,57,4641,68.53,38.13,2857,2714,988,10251,0.2539
2018-04-16,SR000430,2125,1238,1310,1801,1099,307,69,21.15,58.33,77,13351,71.9,22.6,5194,512,14324,3438,0.9195
2018-04-23,SR000431,2914,9217,328,2053,119,2221,4,6.32,69.75,127,5396,73.98,51.94,4714,3132,9602,2711,0.888
2018-04-30,SR000432,5678,2771,1061,1418,818,1054,152,34.23,72.86,226,6072,67.23,18.46,477,1627,724,6035,0.1872
2018-05-07,SR000433,627,6231,3232,44,1062,1669,276,7.06,92.81,48,9710,64.6,13.39,674,6570,23610,9594,0.7372
2018-05-14,SR000434,4311,12710,4146,2152,381,1695,239,18.53,86.21,106,3879,43.36,63.24,1289,5448,8628,3448,0.434
2018-05-21,SR000435,5033,3652,2754,1249,658,582,296,15.58,88.15,192,6876,73.51,54.47,2371,4407,1858,5323,0.6163
2018-05-28,SR000436,4888,5311,4162,37,914,1183,222,8.49,66.9,155,13735,94.43,49.14,488,3158,15210,2956,0.1017
2018-06-04,SR000437,5036,5514,1289,1907,1132,1918,360,3.06,63.1,124,17908,49.69,38.79,3083,3488,14081,7704,0.2207
2018-06-11,SR000438,5012,5717,654,1546,748,2052,60,23.14,48.42,228,6288,89.23,58.8,226,2370,6050,9130,0.5682
2018-06-18,SR000439,1071,16747,2557,588,327,1844,272,21.3,49.36,50,13416,32.7,10.67,2987,2356,16272,8502,0.8983
2018-06-25,SR000440,1618,11403,863,65,996,1757,348,28.82,60.59,101,8428,48.64,45.14,3229,5281,17212,8389,0.3917
2018-07-02,SR000441,1887,7614,1415,1251,485,2578,61,7.75,85.19,250,16123,80.72,42.55,4075,2712,20875,4421,0.5402
2018-07-09,SR000442,5612,9394,1189,338,818,2177,375,26.0,62.88,72,11381,91.04,7.81,81,2334,8915,8300,0.938
2018-07-16,SR000443,4685,1014,1024,972,1025,2018,33,26.01,77.44,93,2251,48.1,54.24,2292,3612,5343,311,0.2943
2018-07-23,SR000444,5021,12342,1107,1324,504,2616,23,14.7,70.03,84,10323,51.26,48.31,1555,6341,13510,1530,0.5735
2018-07-30,SR000445,5197,8635,3251,974,1278,47,307,8.72,53.26,178,1165,84.52,16.33,3640,4032,3229,4933,0.1025
2018-08-06,SR000446,1429,7046,1057,809,425,593,252,24.88,61.28,17,15363,77.29,41.19,3819,3642,939,2999,0.441
2018-08-13,SR000447,2046,1461,1297,1293,139,400,291,21.33,65.28,69,13187,65.04,25.53,2936,3242,15116,6975,0.3554
2018-08-20,SR000448,6182,13301,1192,257,208,878,139,23.18,48.85,11,2716,37.45,62.89,2086,770,22630,7767,0.8222
2018-08-27,SR000449,1552,11958,1781,1756,264,2458,125,3.45,52.7,221,9046,67.28,30.32,3737,5985,21082,729,0.4599
2018-09-03,SR000450,5416,6196,2354,683,884,181,212,5.15,67.35,183,5398,44.79,19.47,2361,4323,15840,333,0.3622
2018-09-10,SR000451,89,11,3810,1414,1104,2266,323,0.87,84.69,91,14810,96.64,46.35,3621,4713,5571,1930,0.1685
2018-09-17,SR000452,3302,7292,2071,1513,336,2050,200,17.12,81.04,161,13320,98.87,11.73,1440,3466,17776,6255,0.8542
2018-09-24,SR000453,646,15085,732,1442,740,1786,138,32.4,94.2,39,10686,56.28,35.32,2221,91,12410,1037,0.9192
2018-10-01,SR000454,168,2179,3867,1510,732,1049,337,14.23,79.97,188,15816,83.34,11.5,3445,1238,2881,5273,0.7282
2018-10-08,SR000455,3221,3780,406,234,457,146,384,23.99,95.59,151,15850,66.18,48.89,745,1482,16101,4887,0.965
2018-10-15,SR000456,819,14519,751,486,955,657,125,29.67,78.26,141,8562,79.23,52.46,1675,5486,23899,9557,0.0622
2018-10-22,SR000457,1011,1082,590,1009,1005,1745,310,31.94,49.63,97,16581,90.22,45.08,338,5981,1169,6787,0.1952
2018-10-29,SR000458,2801,11173,810,1428,745,2225,419,30.21,84.52,100,655,49.0,55.48,5146,867,14491,6724,0.0986
2018-11-05,SR000459,1416,533,1253,823,1070,1356,354,5.57,84.21,138,15610,88.96,46.04,3913,838,14094,516,0.3171
2018-11-12,SR000460,2329,12296,3248,1507,76,710,158,10.04,72.99,186,11768,97.05,10.05,4560,5814,165,4961,0.7599
2018-11-19,SR000461,4083,15313,3431,1231,402,2130,229,20.15,57.06,145,8575,91.97,38.65,1208,6453,8065,8768,0.7516
2018-11-26,SR000462,1947,9821,1274,264,576,1209,15,13.68,51.19,79,17775,87.99,50.67,3490,1389,464,2503,0.2858
2018-12-03,SR000463,4540,7563,3919,26,110,1923,149,2.56,55.1,28,10867,39.48,38.49,2783,2647,20818,10940,0.613
2018-12-10,SR000464,104,7238,1805,863,1195,144,44,2.9,51.49,251,13927,72.94,30.5,2627,3559,9629,2860,0.376
2018-12-17,SR000465,4886,8417,2052,467,1233,1662,153,33.83,95.84,66,15604,65.9,63.78,2745,4804,10027,6212,0.0861
2018-12-24,SR000466,4441,7047,2618,329,839,2390,13,18.35,91.03,246,8837,38.46,59.33,1645,2643,20895,5874,0.137
2018-12-31,SR000467,2743,1754,3422,1901,547,2584,87,24.97,53.78,16,10064,34.16,34.41,3603,4022,3133,10153,0.938
2019-01-07,SR000468,1000,17359,2511,72,21,625,195,5.75,99.03,242,7480,64.37,46.26,760,1893,15278,4592,0.1768
2019-01-14,SR000469,1150,17940,3745,813,476,2457,51,3.54,94.39,142,12969,47.06,29.1,4278,4108,24607,3292,0.6337
2019-01-21,SR000470,1364,7876,2412,2120,546,1173,173,14.69,77.54,238,9611,46.85,34.29,4020,4830,20205,10582,0.2813
2019-01-28,SR000471,455,7588,3353,1536,313,891,86,0.02,95.46,26,5858,82.73,41.59,2827,1523,18642,1098,0.7601
2019-02-04,SR000472,3637,11592,3444,715,1276,1319,359,16.72,75.96,50,7148,72.81,7.01,2048,4831,15892,7551,0.5715
2019-02-11,SR000473,4738,8286,2150,759,605,922,304,7.54,70.4,191,4191,58.13,19.36,4320,2671,23681,6647,0.2354
2019-02-18,SR000474,3890,8360,3616,355,1083,1234,28,2.6,88.19,130,1499,94.1,15.33,2454,1250,12013,5283,0.4219
2019-02-25,SR000475,4802,3101,2925,1002,199,2066,69,18.7,63.26,13,16465,51.14,53.96,4064,4676,9990,8147,0.7998
2019-03-04,SR000476,4364,9576,3296,1636,1248,918,167,15.32,58.91,20,7704,50.59,47.2,2059,5386,17403,6410,0.5231
2019-03-11,SR000477,1875,13673,838,1206,802,812,105,24.2,56.3,179,5470,62.75,22.3,1945,4618,20808,6401,0.5051
2019-03-18,SR000478,5721,10298,2472,1422,439,2640,273,2.09,79.19,60,15251,42.01,12.86,2092,5687,1630,9305,0.6795
2019-03-25,SR000479,5114,12162,70,736,80,693,54,32.63,50.72,226,7308,60.92,15.29,4558,6618,8140,2724,0.5026
2019-04-01,SR000480,4078,14773,4073,781,818,2589,205,24.29,87.28,225,14122,45.7,6.18,4518,4202,21748,512,0.9797
2019-04-08,SR000481,4502,8359,64,1196,255,112,195,31.9,61.96,245,10889,42.88,51.38,4231,6857,24516,1469,0.0158
2019-04-15,SR000482,4146,1283,2256,1160,258,2356,101,28.57,93.09,11,17059,77.0,49.17,4107,2429,23424,5120,0.7286
2019-04-22,SR000483,934,3144,1930,493,1287,243,333,12.4,65.52,7,15949,43.59,57.95,1553,1831,4312,5729,0.6655
2019-04-29,SR000484,2058,7216,1201,1587,148,2409,283,11.32,90.95,149,11527,60.86,52.31,1437,6548,1984,1911,0.073
2019-05-06,SR000485,4132,621,718,626,685,1278,141,19.24,84.73,243,12529,36.76,32.54,3280,1051,6025,9738,0.3226
2019-05-13,SR000486,1607,11882,3397,2049,78,1590,29,10.28,70.52,98,16095,33.46,5.41,1022,7024,10187,4899,0.5861
2019-05-20,SR000487,2540,3820,750,1646,1240,2111,322,22.77,90.22,43,14953,90.39,11.64,4688,5110,8626,123,0.5563
2019-05-27,SR000488,3269,3372,2092,1794,514,1742,288,26.37,47.73,6,6699,99.11,12.97,1217,1526,4137,334,0.8346
2019-06-03,SR000489,4781,6202,1032,1796,737,59,321,7.28,75.81,23,5904,82.82,21.16,1181,3935,24514,6860,0.4139
2019-06-10,SR000490,5205,14281,1862,955,306,1990,416,14.81,56.57,42,12702,81.2,38.01,5102,572,24431,4907,0.0835
2019-06-17,SR000491,1734,9849,2003,978,1259,2616,80,24.25,88.99,15,13379,58.38,56.47,3874,2447,1149,10208,0.1458
2019-06-24,SR000492,113,6221,2203,1675,473,1578,234,14.23,71.09,218,2821,34.62,51.8,2756,5647,2008,7502,0.161
2019-07-01,SR000493,5692,13662,1595,1695,24,2476,102,5.21,71.64,153,177,67.31,23.43,878,6978,7954,10944,0.4737
2019-07-08,SR000494,282,10636,2247,1600,794,2454,281,29.14,75.4,180,6087,77.9,62.5,2254,3787,10261,3641,0.2327
2019-07-15,SR000495,5482,4495,3406,733,138,1520,279,18.25,47.29,80,13558,76.92,46.01,2724,1124,12075,3530,0.0863
2019-07-22,SR000496,2943,2718,2881,90,246,790,254,34.57,96.18,128,1216,64.87,21.58,3763,2341,14958,6004,0.6739
2019-07-29,SR000497,815,17713,1706,493,1286,574,256,27.29,77.08,150,12576,33.85,44.96,729,783,5365,6437,0.3618
2019-08-05,SR000498,1772,10652,3003,1073,1156,1482,76,26.16,51.32,48,28,75.46,52.04,1106,2638,6331,5338,0.7477
2019-08-12,SR000499,855,4603,474,790,167,1791,201,13.4,82.32,34,4067,48.95,45.79,1893,3382,16568,6482,0.8317
2019-08-19,SR000500,3848,7414,2868,904,733,1562,180,11.47,80.69,171,10921,86.97,28.49,3468,2765,17494,9564,0.684
2019-08-26,SR000501,3590,7760,3904,325,1128,877,5,5.05,50.98,42,11430,60.49,32.07,1482,6223,11293,4753,0.5264
2019-09-02,SR000502,4755,5095,2182,2043,748,1031,167,1.62,54.49,37,8614,87.37,54.94,357,5782,7297,357,0.614
2019-09-09,SR000503,700,10511,2222,1503,562,2192,303,13.57,83.19,66,9189,84.4,8.16,2834,2732,22256,6978,0.0198
2019-09-16,SR000504,2618,15162,2759,1086,665,575,109,26.2,87.52,17,9789,66.07,23.78,220,57,4891,1373,0.1276
2019-09-23,SR000505,5229,7152,3040,1599,75,858,56,21.19,87.52,51,16215,98.7,53.38,1197,3117,7322,655,0.4176
2019-09-30,SR000506,6047,16953,1241,1640,1044,604,387,12.07,59.34,130,12441,61.09,46.06,1622,340,6823,5736,0.3404
2019-10-07,SR000507,1687,8728,1616,1253,815,580,136,1.76,54.1,56,12536,62.69,51.12,979,3334,10436,3740,0.4309
2019-10-14,SR000508,831,5015,624,599,369,1999,152,33.46,53.7,242,17880,46.7,26.85,3996,1140,15651,9526,0.3869
2019-10-21,SR000509,4360,7230,927,1021,1259,204,412,34.57,98.67,154,2752,85.15,51.95,610,6216,2489,3625,0.2506
2019-10-28,SR000510,1433,11349,3731,1037,2,459,411,10.82,93.05,147,17708,44.34,63.97,3474,1448,20189,8551,0.9966
2019-11-04,SR000511,4352,4791,1419,932,1019,2621,46,16.6,94.89,131,13904,51.3,17.85,4622,1915,15926,3778,0.7868
2019-11-11,SR000512,2961,14984,585,1525,816,2705,368,10.46,78.35,208,13825,58.66,9.57,4873,3744,20167,2476,0.7276
2019-11-18,SR000513,812,4401,2439,448,901,161,16,8.03,86.72,118,11174,63.33,7.74,1112,2059,14697,2586,0.9453
2019-11-25,SR000514,5517,11988,4012,1420,1213,237,289,7.04,95.1,7,1599,88.62,41.28,3110,2754,23658,9688,0.2963
2019-12-02,SR000515,1062,9531,3576,2043,977,1857,327,17.72,79.49,107,10769,59.69,20.07,3688,6491,15616,7929,0.4936
2019-12-09,SR000516,720,4766,3127,1702,1223,723,352,1.16,75.88,160,5735,63.43,15.11,816,3809,22392,2314,0.8779
2019-12-16,SR000517,5286,1681,2762,1480,719,1147,35,16.95,69.69,168,14030,55.98,20.26,4207,6681,5408,351,0.8903
2019-12-23,SR000518,3276,4221,1020,196,1137,889,233,11.67,91.71,246,10179,62.76,63.27,1035,1723,4990,2143,0.8089
2019-12-30,SR000519,5350,5797,647,1786,523,2002,174,18.29,64.11,230,9896,66.42,18.13,2605,5247,7284,3811,0.113
2020-01-06,SR000520,6216,8805,2543,1703,687,2501,38,12.75,54.37,175,14205,83.36,40.79,1457,1592,21403,9792,0.5815
2020-01-13,SR000521,3504,10570,3493,785,452,1359,97,6.19,69.54,251,2968,31.54,53.29,1826,1122,23057,5982,0.7587
2020-01-20,SR000522,1946,6721,3109,1871,1035,2625,317,20.65,60.31,198,4260,94.07,60.39,5033,1672,13884,3706,0.5982
2020-01-27,SR000523,4232,12627,353,923,749,2556,180,9.1,65.56,237,16056,38.27,13.89,5007,4045,10475,10397,0.1816
2020-02-03,SR000524,4758,9139,2629,2069,347,961,10,5.54,68.08,76,13947,39.37,52.24,969,285,14273,1355,0.7651
2020-02-10,SR000525,5164,15834,793,1802,901,374,175,17.92,73.07,35,9996,58.56,64.61,2764,1533,3377,5350,0.6055
2020-02-17,SR000526,256,281,2782,1408,844,766,69,3.43,58.3,0,13426,56.81,28.86,713,2373,10209,2362,0.2913
2020-02-24,SR000527,357,2823,32,1989,752,28,363,32.32,88.48,190,10738,37.88,33.56,3988,4152,23863,3656,0.8788
2020-03-02,SR000528,788,6190,2554,1792,68,1262,218,5.79,49.81,12,10733,79.82,39.28,3494,85,11424,8053,0.0601
2020-03-09,SR000529,4697,12589,1121,1141,1185,2687,285,32.09,69.35,19,8644,87.23,41.53,1305,2879,18787,10469,0.5016
2020-03-16,SR000530,4031,11066,878,1055,1124,621,278,24.46,54.81,152,3492,88.91,15.74,4484,3656,12842,7564,0.6435
2020-03-23,SR000531,935,12731,2677,975,710,205,255,19.24,67.36,88,8956,88.28,32.69,1083,4401,697,2207,0.0313
2020-03-30,SR000532,6055,6388,1576,2016,523,1346,209,6.99,63.28,200,15998,62.36,43.55,1962,5501,19999,8305,0.5976
2020-04-06,SR000533,4553,13407,835,806,1147,963,311,9.25,81.92,198,1656,54.99,5.73,4180,3660,18322,10586,0.3013
2020-04-13,SR000534,5470,16453,2672,1079,995,1513,104,7.94,53.22,12,16904,45.68,24.82,2828,3417,5505,7536,0.2944
2020-04-20,SR000535,1151,1862,3664,595,431,1556,370,21.06,65.02,154,13785,53.98,27.72,4695,1680,392,355,0.7164
2020-04-27,SR000536,846,14268,228,1505,987,2292,267,17.8,54.22,58,1267,54.73,24.09,1744,5548,17399,10771,0.0815
2020-05-04,SR000537,396,16233,3562,1052,959,2553,234,33.16,68.55,76,2518,73.71,61.71,4257,5400,17151,4640,0.0342
2020-05-11,SR000538,5763,7013,2929,2097,140,1207,170,24.67,84.21,99,2439,50.94,31.74,1016,437,17862,8299,0.1558
2020-05-18,SR000539,2168,10789,3274,1902,93,561,12,14.49,51.04,135,2555,49.15,45.02,1609,4508,24727,7366,0.2901
2020-05-25,SR000540,3810,6766,192,740,15,1398,8,2.61,99.0,136,2371,67.0,39.3,3917,6319,9206,1550,0.9031
2020-06-01,SR000541,2730,4974,2282,2062,1137,543,281,9.43,55.57,190,3972,32.37,59.48,3701,455,23126,9949,0.9386
2020-06-08,SR000542,4461,16806,3070,86,839,357,321,19.69,52.4,69,7147,31.45,27.29,3182,6203,7255,5682,0.0111
2020-06-15,SR000543,4556,17036,714,345,483,2187,38,7.01,46.4,140,14246,30.86,25.19,380,4744,4384,3992,0.7675
2020-06-22,SR000544,6189,11220,3339,248,1169,307,130,26.87,47.66,143,7336,72.62,55.52,4187,4000,24318,3264,0.303
2020-06-29,SR000545,1497,9989,3849,1117,1077,831,3,31.88,49.02,40,1918,56.36,17.65,4314,270,18282,9779,0.2711
2020-07-06,SR000546,854,1360,826,1888,748,99,299,4.26,91.89,207,3658,98.97,64.31,346,1390,6008,10763,0.4436
2020-07-13,SR000547,4531,4942,1235,2103,1241,533,382,17.69,69.42,43,9732,70.2,45.87,1320,817,8692,10131,0.3183
2020-07-20,SR000548,3724,3198,414,1985,1086,510,145,17.9,59.68,35,16232,91.73,59.64,1370,2553,6639,10606,0.2599
2020-07-27,SR000549,502,2134,2332,1873,695,582,334,28.91,66.55,196,12146,56.88,57.47,380,5234,6621,5781,0.5168
2020-08-03,SR000550,2143,13539,1595,1068,774,2651,63,22.75,52.07,154,2678,82.78,19.72,176,347,4947,891,0.511
2020-08-10,SR000551,646,6295,3932,723,1124,2039,85,8.12,87.27,69,17949,73.16,49.54,511,5571,19333,636,0.6665
2020-08-17,SR000552,5889,160,2517,1246,1296,928,172,19.18,83.86,250,4405,88.55,40.07,787,2030,23063,7781,0.0796
2020-08-24,SR000553,5835,11512,3095,550,282,1100,371,4.56,97.95,166,17446,82.21,51.84,4776,2157,13643,5408,0.5762
2020-08-31,SR000554,4596,16394,1696,797,983,354,26,10.51,51.76,18,10961,60.57,12.6,2307,463,11465,459,0.846
2020-09-07,SR000555,1339,1788,2082,1074,289,1047,418,1.64,91.62,4,4955,47.18,15.32,2087,5411,16871,7322,0.8361
2020-09-14,SR000556,6435,13847,2185,540,312,1421,309,21.25,85.65,226,10258,46.56,5.32,4692,1595,9639,7670,0.5936
2020-09-21,SR000557,4969,16069,1646,1264,1065,963,101,31.94,98.26,177,8129,97.58,7.53,3831,1307,1448,155,0.16
2020-09-28,SR000558,2801,13864,3656,1925,180,959,238,24.71,75.13,158,11239,44.87,52.49,4172,880,1736,7244,0.3744
2020-10-05,SR000559,2320,10629,319,1247,1091,2087,139,14.61,66.44,64,10236,91.39,14.49,1586,5639,20885,5730,0.0232
2020-10-12,SR000560,4135,279,3163,520,728,912,301,7.57,52.38,77,4191,70.66,50.45,508,4727,2987,2308,0.7765
2020-10-19,SR000561,5961,15746,2762,696,17,2718,139,22.09,58.94,220,6402,56.09,61.63,1558,1591,10350,1326,0.5333
2020-10-26,SR000562,1873,9241,1840,1738,1112,1386,289,3.7,52.76,67,6567,98.33,7.08,3490,2276,12086,2608,0.3081
2020-11-02,SR000563,5684,17804,2195,2019,1190,2215,122,30.92,51.62,87,4761,47.36,45.19,1892,5698,3436,2158,0.5859
2020-11-09,SR000564,5561,6112,135,2014,1029,1258,114,30.44,62.76,255,14727,90.5,15.33,2345,3550,6199,1906,0.0754
2020-11-16,SR000565,2223,10577,1707,2005,12,1443,210,32.28,84.91,144,17879,81.38,38.64,2571,4170,9184,8192,0.1553
2020-11-23,SR000566,300,7183,294,497,135,2422,326,18.48,58.96,115,2560,30.74,16.79,1211,6441,2526,4898,0.062
2020-11-30,SR000567,4038,10592,3987,2054,527,154,159,19.99,83.82,233,7007,67.93,57.66,2559,4089,542,4407,0.5315
2020-12-07,SR000568,3908,7274,2170,1554,280,527,48,12.19,77.62,59,14587,95.54,10.9,3876,1973,16357,8532,0.4876
2020-12-14,SR000569,5491,4055,2729,1326,240,1958,349,13.33,79.25,81,17616,50.32,32.79,4730,5072,19408,3289,0.2751
2020-12-21,SR000570,5939,16015,1129,1808,262,360,401,7.98,88.87,255,9326,73.41,19.78,4238,4508,10909,5248,0.4144
2020-12-28,SR000571,1348,10429,1315,2,965,843,332,30.56,76.28,209,6561,50.27,9.92,3117,2593,3449,5747,0.3732
2021-01-04,SR000572,2303,8847,3792,135,1068,131,384,23.15,66.42,27,12460,69.17,49.49,1797,3800,16964,6049,0.9172
2021-01-11,SR000573,4820,1437,1939,276,818,1087,192,30.28,87.46,170,15865,56.94,32.55,3928,2459,10239,3390,0.1899
2021-01-18,SR000574,3355,2235,3655,694,995,294,314,11.95,75.49,201,3783,77.14,40.94,4223,5883,5945,5909,0.9049
2021-01-25,SR000575,2069,9471,1009,1928,1288,427,79,34.3,98.61,161,10394,92.07,23.2,4503,1423,1354,10734,0.2665
2021-02-01,SR000576,2464,15835,1399,50,481,2309,299,2.5,65.63,71,14569,58.38,38.28,1908,3713,20269,9469,0.1436
2021-02-08,SR000577,5924,12312,3112,460,350,653,204,11.11,85.18,184,5924,71.69,57.6,1583,4418,5835,10362,0.4935
2021-02-15,SR000578,2390,3523,4111,946,11,2071,17,30.63,51.59,68,7675,62.14,31.32,4960,2495,5059,5816,0.9835
2021-02-22,SR000579,6144,2358,3535,259,556,835,339,7.95,56.35,103,15497,69.72,61.11,3775,3226,12786,746,0.5325
2021-03-01,SR000580,2180,16245,4056,63,84,1636,125,24.54,98.06,241,5755,58.39,58.01,3409,176,6808,1179,0.6977
2021-03-08,SR000581,2710,14531,848,2095,528,270,346,30.28,70.38,165,13986,79.02,7.7,1587,3538,8839,716,0.9836
2021-03-15,SR000582,493,2744,3480,509,1036,1574,228,2.41,85.39,89,8184,57.0,5.57,3927,3265,12944,896,0.8664
2021-03-22,SR000583,3258,5941,3376,484,702,760,38,4.8,48.48,191,11612,73.32,14.08,4341,4116,7262,10758,0.0269
2021-03-29,SR000584,24,9723,3142,805,136,2586,185,29.08,56.56,214,5833,55.13,47.49,1574,1089,20846,7810,0.6255
2021-04-05,SR000585,3219,7095,1613,2168,899,2517,15,13.94,98.17,60,10328,79.79,16.93,2760,2134,4326,7532,0.5613
2021-04-12,SR000586,3854,1217,615,1996,409,945,280,15.4,51.85,156,8819,86.41,18.41,4449,1357,947,320,0.3819
2021-04-19,SR000587,2945,11090,4088,1006,415,2072,108,23.03,93.13,193,8830,43.05,16.52,4998,5942,8029,8485,0.9711
2021-04-26,SR000588,2590,1272,3566,538,637,574,364,32.02,97.45,171,3070,99.02,60.48,3435,3128,10787,9994,0.1687
2021-05-03,SR000589,940,10410,3877,407,958,1510,27,5.94,82.17,155,12150,77.53,5.65,2518,1143,2461,8455,0.8622
2021-05-10,SR000590,5947,12806,2560,134,24,2781,293,24.25,81.39,231,8293,53.36,17.53,1291,198,8712,551,0.2232
2021-05-17,SR000591,4568,8611,475,1505,1176,2786,35,26.87,48.89,197,9122,56.26,14.53,420,1495,23550,8213,0.9982
2021-05-24,SR000592,5826,16576,3311,1344,929,1511,243,17.47,83.63,152,7317,38.18,53.65,321,3341,6294,6625,0.1771
2021-05-31,SR000593,1815,14420,1410,2063,1063,1697,101,24.02,51.68,87,8297,72.97,34.03,2932,5772,455,3032,0.9657
2021-06-07,SR000594,3261,15779,2657,802,230,142,160,26.1,52.33,108,17345,74.2,37.78,568,7199,1550,7095,0.1315
2021-06-14,SR000595,1257,1476,19,1816,366,811,150,25.32,48.77,227,14574,85.66,31.87,1264,6186,18757,10412,0.0085
2021-06-21,SR000596,1565,8914,563,1948,679,1789,54,26.3,57.71,84,4594,31.5,6.43,5,6259,18284,9316,0.8362
2021-06-28,SR000597,1603,14474,2016,1412,98,743,41,25.85,71.34,198,3693,42.22,46.38,1345,6023,5548,1612,0.9382
2021-07-05,SR000598,2616,17300,3705,168,1116,1700,15,32.62,93.95,203,5769,63.18,30.56,4749,4329,20550,5794,0.6027
2021-07-12,SR000599,3413,8915,3968,767,1225,1360,316,18.99,82.09,227,7769,30.07,30.88,1476,1092,20408,2078,0.1348
2021-07-19,SR000600,2974,17432,2349,1494,859,2137,365,27.24,85.95,161,10609,40.23,30.41,1331,90,22528,8023,0.5236
2021-07-26,SR000601,5398,2625,2517,902,400,1927,388,13.95,59.13,229,14743,43.42,5.93,1080,6744,16316,3069,0.4184
2021-08-02,SR000602,491,3047,1708,1356,942,1495,208,8.55,66.05,247,5509,71.55,8.22,5084,4557,4098,3142,0.7795
2021-08-09,SR000603,5041,10392,336,940,321,960,105,33.39,59.75,159,16259,48.82,34.82,1291,6136,1146,2462,0.2444
2021-08-16,SR000604,1287,1824,3425,2151,490,86,183,9.01,66.73,182,5481,93.38,39.77,4242,5752,17987,10173,0.5801
2021-08-23,SR000605,3260,5902,1832,243,1115,2310,130,3.12,83.83,207,11216,40.86,55.34,1391,7157,17283,10623,0.8852
