qol_amen_inventory_year,qol_amen_service_area_id,qol_amen_park_acres_per_1k,qol_amen_playground_count,qol_amen_trail_miles_total,qol_amen_library_branches_count,qol_amen_library_visits_per_capita,qol_amen_public_pool_count,qol_amen_recreation_program_participation,qol_amen_arts_venue_count,qol_amen_community_center_count,qol_amen_clinic_access_points_count,qol_amen_childcare_slots_per_1k,qol_amen_senior_center_count,qol_amen_public_restroom_count,qol_amen_tree_canopy_acres,qol_amen_streetlight_density,qol_amen_sidewalk_coverage_pct,qol_amen_accessibility_score_ada,qol_amen_amenity_equity_index
2022,SVC000000502,35.4731,492,275.74,40,29.457,46,0.9493,106,15,57,0.05,7,404,12953.27,45.366,97.11,52.25,0.7337
2022,SVC000000503,113.0832,361,563.43,13,9.155,4,0.6983,119,46,105,33.08,10,68,6742.53,58.392,99.59,36.31,0.1949
2017,SVC000000504,40.1383,276,332.61,35,26.611,30,0.6557,136,2,135,11.88,39,46,38872.46,66.547,35.95,38.88,0.1929
2012,SVC000000505,21.0594,486,750.65,46,35.604,46,0.8302,96,15,117,19.21,25,176,26480.68,129.908,36.03,46.14,0.5996
2019,SVC000000506,105.1655,371,434.57,48,36.072,22,0.5986,34,67,71,74.77,59,137,762.59,161.273,81.77,82.01,0.7348
2012,SVC000000507,79.8676,207,550.17,6,3.563,19,0.4654,149,45,153,45.59,12,249,34085.09,205.225,29.75,74.77,0.7382
2011,SVC000000508,78.2037,359,689.46,13,21.061,32,0.3857,125,76,136,115.54,33,249,29743.09,151.677,10.59,68.27,0.8707
2021,SVC000000509,4.1678,245,148.46,38,12.657,50,0.0658,114,37,74,68.32,9,65,25126.37,128.16,93.67,25.83,0.3485
2017,SVC000000510,38.1709,477,295.97,74,7.802,18,0.0771,37,55,4,114.52,14,566,18135.48,115.92,90.84,34.59,0.8228
2020,SVC000000511,62.099,79,129.06,60,39.473,1,0.0156,7,74,49,46.29,42,338,41168.19,155.955,14.33,93.1,0.5339
2011,SVC000000512,3.2761,367,417.2,3,7.451,30,0.5833,11,25,136,54.76,35,401,18477.36,131.55,43.58,61.04,0.3145
2022,SVC000000513,102.6022,375,737.59,17,26.667,27,0.9546,10,64,102,108.62,2,175,25563.58,144.282,5.88,66.22,0.0614
2021,SVC000000514,78.8463,25,56.92,83,0.653,36,0.9586,49,36,117,52.61,25,103,29167.07,214.654,77.28,35.18,0.0029
2011,SVC000000515,70.7124,168,0.34,24,27.735,5,0.293,137,12,191,75.85,30,76,657.03,64.239,81.33,29.04,0.2195
2012,SVC000000516,37.9395,203,393.93,24,5.38,47,0.6801,137,3,103,98.56,14,98,9160.47,22.793,48.03,42.66,0.1922
2010,SVC000000517,38.5816,355,373.58,74,25.991,46,0.3041,78,52,58,78.67,44,505,45649.38,0.179,74.46,57.63,0.6449
2018,SVC000000518,107.1547,476,662.52,18,29.473,25,0.7254,142,65,131,117.33,33,127,19253.28,49.756,36.01,9.98,0.3511
2025,SVC000000519,28.9138,60,413.2,67,13.435,4,0.7145,134,51,40,20.17,23,521,37093.03,105.633,61.17,99.56,0.6568
2023,SVC000000520,66.5969,241,15.1,33,25.275,17,0.1387,1,58,20,24.6,14,50,19542.76,24.806,12.68,38.29,0.7801
2019,SVC000000521,22.719,150,11.79,0,24.49,2,0.7853,1,13,49,1.57,60,109,28825.77,77.027,81.11,60.14,0.1988
2020,SVC000000522,40.1021,451,675.76,41,36.319,23,0.3746,99,25,189,65.91,3,335,24459.14,35.653,0.05,97.21,0.3542
2015,SVC000000523,75.0492,139,220.03,73,26.181,5,0.9891,32,39,11,31.96,5,3,14365.91,174.015,4.73,42.55,0.5384
2016,SVC000000524,56.2413,103,648.94,25,9.614,47,0.8619,122,32,118,36.7,17,313,48063.74,61.436,13.81,6.36,0.2611
2010,SVC000000525,36.3974,1,673.39,10,3.501,2,0.4423,8,72,193,6.59,34,256,44205.77,192.576,24.38,46.32,0.5366
2017,SVC000000526,35.6385,56,636.25,81,12.918,27,0.9646,132,2,47,17.84,15,180,36614.27,125.999,12.96,33.07,0.707
2014,SVC000000527,49.3926,53,890.45,98,16.495,38,0.3009,16,12,166,92.98,41,319,21781.56,245.892,20.13,98.52,0.2227
2017,SVC000000528,9.3337,257,39.97,59,31.737,20,0.0781,35,31,175,90.43,41,450,26128.28,239.964,79.76,69.87,0.2209
2010,SVC000000529,114.0778,54,96.58,88,19.558,20,0.2911,42,22,113,118.02,18,690,4077.19,27.581,32.42,81.74,0.8255
2020,SVC000000530,119.1249,370,391.9,55,32.706,40,0.9902,52,28,172,109.79,30,511,44022.45,111.585,66.37,45.92,0.7333
2013,SVC000000531,91.959,463,494.41,75,17.402,14,0.7724,124,37,8,76.66,0,478,20940.67,223.363,23.22,75.62,0.279
2022,SVC000000532,18.4921,365,445.83,56,9.686,17,0.2844,73,13,35,17.08,15,628,39337.79,1.959,58.59,43.14,0.9439
2023,SVC000000533,116.0572,377,513.02,29,16.701,17,0.7282,141,26,59,89.19,57,3,11403.0,52.608,26.84,90.17,0.2081
2012,SVC000000534,119.6053,330,92.75,43,14.751,4,0.5246,122,1,12,103.93,56,635,47049.13,49.615,54.3,43.75,0.4389
2023,SVC000000535,105.9604,296,738.91,92,30.494,49,0.6044,116,56,48,5.78,1,262,25024.81,57.172,6.22,81.9,0.6962
2019,SVC000000536,87.8585,261,716.77,22,35.909,25,0.7619,135,40,145,119.77,14,113,28133.12,56.672,70.43,85.82,0.8319
2016,SVC000000537,20.4946,184,661.76,94,10.043,3,0.9386,64,67,0,109.92,42,511,24025.99,51.443,70.74,7.19,0.6493
2018,SVC000000538,13.2487,163,412.3,1,5.596,42,0.8423,30,26,111,54.91,41,286,23878.97,114.938,10.0,86.59,0.1526
2012,SVC000000539,69.1308,335,83.15,85,9.319,40,0.6895,50,22,71,60.43,30,249,953.31,2.316,40.91,13.65,0.0354
2018,SVC000000540,33.4649,89,616.28,69,11.196,26,0.4243,49,0,7,43.75,20,656,46754.66,9.296,9.4,20.43,0.5685
2023,SVC000000541,75.976,74,653.97,16,28.656,20,0.5107,110,2,53,119.89,33,150,18384.0,10.603,77.68,59.76,0.6575
2015,SVC000000542,43.8071,0,538.14,13,28.552,34,0.4247,0,10,170,21.69,19,293,7480.23,144.292,10.05,74.24,0.8784
2020,SVC000000543,47.4632,55,715.43,43,6.656,49,0.7864,72,16,38,33.56,19,677,11507.96,6.918,68.72,15.38,0.3294
2025,SVC000000544,111.9303,247,93.76,11,13.116,45,0.6107,144,67,184,117.62,40,145,23022.34,151.219,61.35,1.52,0.6197
2011,SVC000000545,96.8794,365,237.35,7,28.927,3,0.9665,48,66,55,11.81,16,368,30742.12,83.098,81.65,89.78,0.2524
2015,SVC000000546,73.4135,337,825.89,73,10.505,31,0.3731,117,29,82,116.79,18,598,25408.17,63.303,35.51,17.52,0.0467
2019,SVC000000547,3.9936,408,542.57,54,0.456,26,0.7273,139,55,19,5.28,28,321,21269.99,167.701,86.76,77.42,0.875
2025,SVC000000548,35.7187,211,111.15,19,0.696,26,0.6079,63,77,56,32.23,31,88,12898.84,227.504,67.37,32.68,0.4607
2012,SVC000000549,50.7948,186,66.02,78,34.41,20,0.9281,54,58,47,65.23,7,694,6953.26,198.067,63.33,33.09,0.4176
2019,SVC000000550,102.4539,426,119.21,5,36.696,10,0.0864,84,43,174,109.79,39,238,26625.49,115.15,32.91,38.64,0.4852
2020,SVC000000551,90.658,20,719.97,88,25.891,9,0.0233,126,18,174,7.42,39,198,13333.5,247.624,25.82,37.73,0.45
2014,SVC000000552,36.2061,8,766.89,37,6.081,38,0.2038,81,1,131,54.43,59,534,24633.79,39.713,62.58,62.62,0.278
2011,SVC000000553,103.2102,153,75.75,19,3.098,36,0.2978,95,25,9,42.27,41,156,22695.09,128.312,40.81,51.46,0.7688
2011,SVC000000554,41.7273,237,848.4,11,9.452,8,0.5581,83,74,131,39.07,51,402,20709.02,242.926,23.51,56.42,0.4321
2012,SVC000000555,5.4094,164,629.57,1,3.407,3,0.2152,46,69,141,105.56,9,4,2142.7,95.662,55.76,71.82,0.2956
2014,SVC000000556,18.5545,446,130.14,85,27.315,33,0.4721,121,55,33,48.6,3,314,25218.97,109.488,7.48,68.22,0.9479
2017,SVC000000557,53.7316,76,689.66,83,21.26,38,0.8512,141,36,117,23.2,40,289,2754.8,233.012,98.26,38.58,0.5925
2010,SVC000000558,45.6017,394,422.71,55,21.605,19,0.0191,100,71,73,99.94,28,444,4160.32,53.116,8.42,13.85,0.1621
2023,SVC000000559,79.1108,465,450.51,78,20.488,16,0.2529,77,79,109,67.11,10,569,876.09,74.198,46.93,1.26,0.4859
2009,SVC000000560,39.2729,238,858.13,43,38.818,22,0.8816,146,49,123,34.28,3,631,16018.97,146.671,30.45,93.24,0.3314
2018,SVC000000561,77.519,109,824.19,33,32.125,32,0.444,82,29,81,99.36,8,136,10705.63,195.344,25.4,97.15,0.9309
2022,SVC000000562,96.0771,229,108.66,77,2.12,23,0.6522,91,8,63,40.35,20,633,31537.32,79.093,28.88,91.74,0.1904
2019,SVC000000563,116.9322,493,358.57,37,12.605,44,0.4246,76,0,85,92.54,43,541,22435.74,147.267,2.26,43.96,0.9912
2024,SVC000000564,46.2653,32,267.33,72,16.637,38,0.5757,128,3,149,25.79,57,332,48661.26,50.53,30.16,45.84,0.693
2020,SVC000000565,76.6454,227,104.69,26,30.468,5,0.2594,40,37,164,42.97,50,644,12002.36,113.862,24.01,93.53,0.2139
2010,SVC000000566,32.2775,125,641.98,86,34.856,11,0.8419,28,40,21,2.66,47,328,35588.38,126.231,36.15,79.83,0.2375
2014,SVC000000567,80.0246,423,508.14,96,14.802,5,0.4764,51,7,11,82.98,28,404,861.44,164.261,25.23,26.15,0.0897
2020,SVC000000568,77.4017,364,197.12,81,23.621,19,0.0471,124,57,49,71.35,53,532,9462.75,112.296,49.65,3.84,0.4578
2022,SVC000000569,102.5618,361,323.22,86,24.553,3,0.9448,140,8,129,53.15,16,298,23200.61,156.118,89.58,42.86,0.661
2011,SVC000000570,119.1339,352,718.55,47,37.484,48,0.5433,97,23,191,1.44,52,113,4998.25,158.852,59.97,86.22,0.0609
2013,SVC000000571,69.084,425,390.92,88,20.859,49,0.1582,32,58,152,91.57,23,618,305.07,131.74,41.16,68.91,0.261
2016,SVC000000572,95.6111,146,766.0,99,1.757,38,0.0054,16,40,167,31.04,29,236,13180.76,67.771,66.45,16.57,0.9677
2013,SVC000000573,105.1412,47,726.2,63,11.233,9,0.8657,97,13,39,97.03,0,421,29354.39,31.026,84.19,77.75,0.3394
2022,SVC000000574,21.4203,301,698.41,23,25.159,22,0.1106,123,46,164,101.22,57,404,40256.56,233.078,27.26,52.2,0.4127
2021,SVC000000575,110.6204,103,623.18,17,36.492,9,0.7704,56,59,136,21.33,48,210,28324.34,92.952,95.5,11.3,0.5008
2016,SVC000000576,90.6245,455,151.45,93,25.403,15,0.7137,76,24,54,72.86,23,183,33490.84,187.666,10.5,23.8,0.6067
2022,SVC000000577,109.7566,292,353.55,8,2.332,2,0.5698,57,12,113,95.97,2,356,13254.33,215.624,81.45,47.86,0.9212
2018,SVC000000578,45.5837,29,16.48,92,12.649,45,0.3321,75,66,16,74.29,37,117,18018.3,151.988,18.22,38.65,0.0368
2019,SVC000000579,73.4558,431,397.26,100,9.597,11,0.0944,49,53,112,0.17,2,446,39955.89,55.999,32.9,57.41,0.2821
2016,SVC000000580,103.4399,88,188.91,5,31.455,50,0.9983,65,0,125,101.22,59,254,43082.58,172.68,19.83,43.87,0.2619
2024,SVC000000581,5.791,431,321.52,17,3.166,2,0.6454,45,12,179,115.02,7,637,2954.71,173.379,94.57,0.65,0.6742
2021,SVC000000582,75.1241,352,716.96,77,26.724,2,0.9933,134,11,80,118.29,0,473,44446.68,123.701,44.94,49.51,0.4038
2011,SVC000000583,47.6392,494,703.86,15,35.55,18,0.4378,41,6,113,91.99,46,620,39559.95,147.448,61.89,51.87,0.6761
2023,SVC000000584,107.6973,413,657.89,44,3.851,39,0.0534,63,74,196,55.1,2,520,9150.18,88.007,50.09,0.44,0.6943
2024,SVC000000585,89.1274,36,343.18,0,0.737,35,0.1989,11,77,30,38.92,34,670,6589.61,67.73,61.84,41.99,0.4663
2025,SVC000000586,88.6365,500,720.18,11,4.27,4,0.7279,69,17,139,70.74,20,333,22277.05,27.421,56.68,33.08,0.3655
2013,SVC000000587,77.2906,193,196.55,19,18.568,18,0.8288,92,45,0,18.89,30,263,2398.36,8.643,18.26,41.7,0.1683
2015,SVC000000588,20.4607,303,160.05,41,33.504,44,0.0315,123,4,40,8.18,27,176,4545.24,237.499,4.04,58.48,0.6223
2012,SVC000000589,109.1358,460,56.89,76,22.618,10,0.5395,59,67,6,35.58,53,550,12226.47,185.163,60.26,21.45,0.356
2018,SVC000000590,114.4219,309,327.97,37,11.987,10,0.805,1,27,150,98.04,18,181,5709.74,46.499,62.83,65.9,0.0237
2011,SVC000000591,94.302,286,60.0,4,29.178,28,0.8876,31,41,197,9.06,49,489,15652.6,128.036,40.0,26.98,0.9478
2011,SVC000000592,97.4561,282,528.98,69,1.865,41,0.9307,110,34,123,53.78,13,656,40241.05,246.209,11.84,55.46,0.8833
2025,SVC000000593,66.1432,96,415.47,67,23.969,31,0.2581,80,36,8,57.88,41,442,12970.7,169.587,26.96,6.67,0.1134
2023,SVC000000594,60.4553,0,474.06,49,11.601,36,0.1374,90,51,61,39.96,21,629,20923.96,70.003,3.27,83.6,0.913
2010,SVC000000595,115.9604,351,154.14,9,4.551,10,0.0276,117,6,35,40.51,50,483,34838.6,49.999,46.96,68.71,0.2956
2017,SVC000000596,34.4935,126,172.79,36,37.932,28,0.7905,94,25,19,44.39,58,545,43110.26,116.746,14.29,38.55,0.3111
2011,SVC000000597,71.2576,50,229.07,72,17.608,17,0.1139,26,32,46,10.83,49,604,16962.21,43.747,57.75,93.26,0.9251
2018,SVC000000598,45.6697,450,625.5,77,37.533,31,0.4719,70,59,161,98.65,43,171,19961.54,198.64,16.73,24.76,0.9082
2022,SVC000000599,0.7528,149,854.12,48,18.284,29,0.7215,70,48,118,112.3,41,387,34349.5,113.406,19.13,22.34,0.3945
2010,SVC000000600,26.3169,17,680.49,19,29.595,46,0.8014,2,59,60,81.89,32,500,17196.24,38.321,2.62,5.05,0.2712
2013,SVC000000601,70.56,25,268.2,33,18.862,1,0.7591,5,15,76,110.81,27,249,9840.23,37.658,83.38,80.2,0.7346
2016,SVC000000602,107.8531,413,345.02,87,17.129,48,0.8385,113,27,12,116.14,16,480,4807.07,28.28,26.83,54.84,0.5638
2009,SVC000000603,82.9242,70,161.46,35,11.179,27,0.029,31,23,36,59.95,58,182,34659.55,12.128,9.38,72.31,0.8055
2020,SVC000000604,58.7073,51,219.97,8,18.242,1,0.7234,106,61,102,59.93,6,187,26314.1,152.141,0.74,50.03,0.0884
2024,SVC000000605,102.9934,396,761.84,96,29.27,15,0.1145,52,41,199,39.37,54,666,24533.17,103.612,39.74,30.46,0.3167
2012,SVC000000606,90.7375,103,495.08,63,32.19,5,0.0307,51,62,174,94.48,24,314,14852.73,114.416,81.7,93.97,0.0717
2012,SVC000000607,2.4806,96,811.54,11,5.828,1,0.8593,124,13,19,11.88,49,573,31423.98,64.096,86.01,98.39,0.4675
2014,SVC000000608,7.7437,268,278.09,96,9.77,27,0.8702,133,53,114,99.92,23,299,6816.95,246.083,72.24,49.76,0.1156
2021,SVC000000609,101.6958,316,426.36,35,39.14,19,0.5789,106,68,145,47.51,11,494,8223.02,55.772,0.71,84.18,0.3061
2022,SVC000000610,64.5079,378,658.82,98,28.411,11,0.9471,87,52,33,56.74,50,60,13354.18,136.378,73.25,64.96,0.2369
2018,SVC000000611,72.412,328,153.34,71,19.639,6,0.1201,149,3,52,40.69,56,416,25228.4,209.756,6.42,42.73,0.4657
2025,SVC000000612,15.0101,209,743.93,69,19.962,21,0.7486,105,19,200,34.92,19,668,39063.6,91.763,64.13,62.18,0.8512
2015,SVC000000613,103.8442,317,3.86,26,26.086,50,0.3068,91,66,11,23.94,21,293,30023.79,125.435,33.48,14.55,0.8053
2017,SVC000000614,19.7903,303,757.13,25,2.741,35,0.6238,48,65,57,104.73,47,306,23319.26,80.725,75.25,10.74,0.263
2020,SVC000000615,119.9194,223,864.41,49,23.477,34,0.4556,123,25,133,38.73,32,638,42525.46,14.781,82.61,6.88,0.09
2019,SVC000000616,71.4925,96,84.13,5,30.603,13,0.0012,0,47,24,65.07,51,697,41668.42,144.206,61.13,56.95,0.7456
2023,SVC000000617,42.4466,227,489.44,49,7.033,5,0.6548,52,3,67,26.56,50,608,27847.73,229.177,40.13,47.89,0.2449
2013,SVC000000618,118.5847,75,303.65,74,23.618,36,0.6603,146,24,3,75.11,14,590,48165.57,56.09,53.56,1.15,0.2723
2009,SVC000000619,59.3958,414,153.4,20,17.636,32,0.9559,53,65,131,46.63,27,380,18847.28,200.913,93.37,4.36,0.6056
2010,SVC000000620,112.9839,352,200.21,61,8.857,37,0.9743,75,28,130,66.15,5,126,39358.19,25.956,78.63,48.36,0.3516
2018,SVC000000621,86.822,354,289.57,16,21.727,19,0.2797,130,45,75,14.8,36,304,44571.37,220.082,77.47,25.95,0.5781
2013,SVC000000622,109.9621,136,108.16,34,14.354,20,0.8961,10,11,105,62.16,27,428,11343.57,34.985,38.15,65.04,0.5536
2024,SVC000000623,61.1492,182,747.44,65,8.701,6,0.215,117,55,165,58.3,0,467,30332.52,180.367,91.68,2.27,0.211
2024,SVC000000624,54.6843,134,642.38,1,11.69,24,0.0835,116,63,16,71.15,46,429,35087.95,57.296,81.57,5.4,0.5257
2009,SVC000000625,26.2884,26,9.99,60,38.993,47,0.3599,87,40,145,25.29,45,2,12259.4,149.643,47.21,80.03,0.7192
2011,SVC000000626,80.0175,207,209.05,85,13.071,9,0.1059,78,53,189,73.08,10,477,26364.16,33.305,23.12,92.71,0.6572
2021,SVC000000627,97.3986,117,773.77,17,32.598,8,0.0683,51,10,71,98.78,36,218,42471.94,215.874,56.52,16.3,0.3793
2021,SVC000000628,31.4417,74,647.1,63,34.182,7,0.0731,22,68,97,22.92,21,155,49583.63,115.927,24.47,17.76,0.2423
2014,SVC000000629,25.3158,462,271.99,69,7.859,40,0.0217,51,7,143,22.33,31,523,11094.22,138.411,49.79,78.65,0.0545
2016,SVC000000630,6.9419,284,674.52,21,23.728,27,0.2293,41,1,102,26.82,9,600,25715.6,135.984,58.31,18.0,0.5339
2020,SVC000000631,27.278,119,119.06,69,7.865,9,0.6672,84,57,187,15.19,48,341,24007.25,228.802,10.41,23.8,0.1101
2018,SVC000000632,48.5281,298,795.46,91,17.395,14,0.9926,67,34,138,1.74,43,605,9925.41,168.853,71.58,98.64,0.1032
2017,SVC000000633,2.4532,438,689.83,6,30.161,41,0.0377,12,71,194,15.8,36,385,27267.76,11.369,99.87,75.8,0.9742
2017,SVC000000634,55.1523,222,284.99,71,17.09,50,0.1292,96,0,116,21.37,9,479,19885.46,79.976,49.92,42.68,0.8643
2022,SVC000000635,15.0924,267,842.49,4,0.384,31,0.4092,9,7,110,7.9,56,699,16208.6,128.48,68.9,61.22,0.592
2016,SVC000000636,93.8585,440,378.62,11,29.341,44,0.3524,17,70,81,49.25,22,372,26953.9,14.034,29.59,41.3,0.8316
2010,SVC000000637,88.7696,462,588.24,11,38.299,8,0.654,110,25,128,96.32,5,548,32674.53,184.8,52.05,92.86,0.9329
2022,SVC000000638,31.9927,186,288.64,76,15.064,42,0.3353,97,78,153,39.14,18,700,10882.52,142.526,13.15,93.08,0.2546
2017,SVC000000639,107.3228,53,638.29,86,38.451,45,0.1752,72,75,186,78.26,31,602,12399.25,120.772,58.42,97.87,0.582
2009,SVC000000640,107.8499,439,46.89,98,11.945,45,0.4697,11,67,35,36.81,24,353,48676.5,179.347,63.71,46.22,0.3162
2021,SVC000000641,87.398,148,546.73,29,20.987,2,0.4981,39,32,60,46.02,29,240,45993.68,174.369,16.0,39.66,0.6212
2011,SVC000000642,8.1071,160,783.61,2,3.406,18,0.8055,53,33,40,87.89,14,178,45601.34,110.574,44.35,5.21,0.7502
2021,SVC000000643,117.2292,24,117.35,42,31.051,24,0.028,108,41,135,67.19,22,213,1928.72,217.849,38.02,58.91,0.0956
2025,SVC000000644,70.4763,152,435.54,2,34.425,25,0.9847,97,48,41,91.49,41,468,20233.84,43.426,20.1,25.85,0.5128
2019,SVC000000645,64.4494,436,13.95,23,12.577,2,0.0622,4,19,179,84.43,39,452,24487.58,66.688,46.96,27.99,0.2534
2016,SVC000000646,36.8875,209,438.04,67,35.647,24,0.9997,86,1,12,50.59,41,399,30336.32,199.722,18.42,47.45,0.6935
2010,SVC000000647,114.4836,430,495.72,34,31.173,5,0.0098,75,56,110,30.05,13,171,24327.14,136.661,84.02,22.86,0.6711
2010,SVC000000648,59.1267,256,716.84,57,12.573,23,0.9687,43,36,164,47.43,50,282,13887.19,187.742,99.3,63.61,0.3769
2010,SVC000000649,101.5908,348,333.01,60,18.616,18,0.2198,55,26,77,52.8,44,111,29724.98,221.971,80.88,59.67,0.5947
2024,SVC000000650,86.5629,337,110.79,86,27.854,0,0.1463,74,62,162,101.5,13,621,42791.89,15.425,23.91,37.87,0.3938
2013,SVC000000651,21.396,65,105.64,80,16.52,0,0.1817,12,17,95,108.7,38,628,31560.45,129.215,81.65,50.22,0.3978
2016,SVC000000652,59.2851,266,192.03,41,34.138,49,0.0581,29,43,136,16.28,43,162,43011.64,186.722,98.19,39.04,0.0408
2018,SVC000000653,31.4012,55,145.96,98,21.621,37,0.7177,54,10,148,94.7,12,541,41986.92,43.168,39.65,2.78,0.7426
2020,SVC000000654,95.4563,54,77.49,4,22.561,48,0.8299,62,35,73,119.54,44,548,31062.99,163.297,57.51,59.99,0.6856
2010,SVC000000655,54.0794,349,4.01,34,9.465,11,0.6229,91,2,157,12.43,14,155,25938.78,22.669,40.27,7.46,0.7541
2019,SVC000000656,21.9545,361,417.31,78,28.847,37,0.1393,105,29,34,104.44,43,682,36832.19,186.611,73.01,11.54,0.097
2018,SVC000000657,12.0936,56,764.34,88,25.651,17,0.8285,43,9,85,84.91,11,581,47915.32,90.179,96.03,61.67,0.1113
2016,SVC000000658,106.6647,389,655.38,3,1.164,15,0.9795,31,64,199,110.83,30,578,370.72,200.191,71.17,5.58,0.9773
2019,SVC000000659,64.5948,478,130.77,12,38.654,0,0.8954,30,1,96,7.92,17,698,39637.89,161.11,11.26,40.12,0.8373
2020,SVC000000660,89.3509,462,602.76,66,6.576,12,0.5142,88,16,74,50.62,16,180,34153.1,54.488,36.98,77.13,0.2406
2009,SVC000000661,32.127,55,336.4,8,11.034,29,0.0652,111,10,192,65.03,31,261,25101.23,194.167,24.93,88.16,0.207
2023,SVC000000662,116.4741,390,289.14,5,39.395,22,0.5334,6,58,102,37.57,14,345,22594.1,72.815,59.47,65.65,0.0827
2023,SVC000000663,116.8192,455,774.14,95,37.637,44,0.5178,31,19,79,98.42,56,117,29947.78,215.099,85.85,7.52,0.4591
2017,SVC000000664,10.7383,498,857.3,62,33.64,50,0.7673,25,56,96,64.91,7,322,23695.41,27.967,68.97,76.62,0.843
2023,SVC000000665,91.2024,103,262.02,13,27.305,35,0.9948,107,63,159,37.37,23,239,43594.78,161.177,91.91,59.79,0.4347
2013,SVC000000666,106.5125,489,41.94,60,28.821,15,0.7013,81,18,160,66.52,9,120,31976.78,25.543,99.69,91.89,0.8027
2019,SVC000000667,31.7426,356,450.23,92,34.615,26,0.9096,52,37,162,16.23,52,259,47307.53,53.19,65.89,76.92,0.6828
2021,SVC000000668,26.1897,202,805.35,22,32.886,30,0.5563,88,80,176,42.26,6,560,40420.63,161.754,15.95,1.86,0.1682
2013,SVC000000669,92.4888,57,712.68,37,29.211,5,0.2276,78,22,10,92.57,45,88,48885.76,83.347,65.06,36.18,0.2683
2021,SVC000000670,48.6849,194,162.49,56,11.681,41,0.642,80,49,176,4.5,38,344,33285.28,139.216,74.24,96.59,0.6585
2021,SVC000000671,36.987,259,436.37,1,20.618,24,0.4953,133,46,192,17.24,23,636,20657.78,167.272,79.52,14.18,0.1437
2021,SVC000000672,108.2251,225,52.78,72,14.319,35,0.7076,22,59,16,62.3,18,179,30474.27,231.996,10.55,41.07,0.6646
2022,SVC000000673,29.1742,117,27.46,62,25.844,27,0.5231,147,64,79,50.39,52,553,21785.9,12.351,77.15,51.43,0.1184
2023,SVC000000674,35.7723,124,669.63,9,8.807,48,0.8325,4,67,154,113.51,39,41,45642.11,80.173,74.87,55.53,0.653
2021,SVC000000675,81.0154,78,838.45,15,11.561,42,0.2591,61,6,158,106.05,48,653,31875.91,104.885,44.16,16.34,0.7301
2009,SVC000000676,25.4325,409,65.04,64,22.083,21,0.0497,119,30,34,25.35,18,660,17178.29,7.366,83.67,94.61,0.1081
2022,SVC000000677,87.5216,64,336.62,11,10.719,25,0.8185,29,70,60,27.4,15,321,3313.95,168.419,45.11,51.76,0.7338
2022,SVC000000678,14.6067,482,823.27,52,15.115,40,0.7141,123,58,166,39.66,16,42,33401.96,207.767,5.99,34.94,0.0118
2009,SVC000000679,32.2298,156,157.72,18,23.415,42,0.0705,6,8,144,100.67,6,422,22768.65,67.911,15.89,6.85,0.2711
2017,SVC000000680,114.0149,85,301.29,51,24.353,34,0.5945,54,50,98,24.77,8,353,49127.79,51.974,24.44,23.35,0.2647
2024,SVC000000681,8.731,119,182.25,14,36.535,7,0.5085,34,24,51,37.73,36,484,27564.91,52.466,85.61,14.31,0.6161
2011,SVC000000682,20.1951,386,295.1,19,5.826,17,0.2089,142,67,93,69.55,5,356,28078.27,247.437,75.06,16.06,0.8046
2023,SVC000000683,45.9862,40,449.75,100,23.439,3,0.6843,109,27,16,40.13,23,260,16549.09,215.827,4.73,48.63,0.6549
2024,SVC000000684,3.9993,154,740.03,84,0.099,8,0.9299,6,58,98,61.73,29,119,5845.04,241.406,84.05,35.02,0.948
2015,SVC000000685,44.7474,86,541.89,74,29.495,38,0.5606,23,1,179,31.62,44,461,40858.18,135.532,17.0,1.76,0.4876
2009,SVC000000686,73.1685,225,166.1,17,30.816,19,0.326,17,6,185,77.49,17,146,28593.02,37.559,8.98,89.01,0.3523
2023,SVC000000687,50.7356,395,780.73,30,36.17,47,0.8481,126,31,25,94.16,21,422,49051.02,23.626,4.79,33.22,0.069
2022,SVC000000688,77.0757,205,441.96,71,30.164,21,0.9992,101,46,153,67.25,8,434,12558.87,96.757,63.85,63.5,0.681
2018,SVC000000689,104.2958,1,759.46,4,3.683,37,0.683,83,36,62,111.52,6,390,45827.63,48.17,96.27,77.43,0.1669
2013,SVC000000690,109.4959,176,262.55,16,21.897,38,0.4848,109,20,161,113.47,52,221,46610.78,57.73,28.0,35.45,0.1269
2019,SVC000000691,21.604,378,701.79,5,28.866,33,0.9393,81,25,42,68.13,46,172,34386.22,77.11,77.4,55.75,0.1307
2011,SVC000000692,91.0611,81,1.5,34,1.336,24,0.9233,150,79,147,56.45,25,698,34950.13,213.502,94.01,45.31,0.1696
2018,SVC000000693,39.6362,44,757.53,60,9.588,48,0.3438,22,42,7,70.23,49,375,25609.42,249.435,73.49,78.44,0.1382
2024,SVC000000694,50.6503,423,645.17,92,25.657,13,0.2593,129,42,130,83.4,2,126,43695.52,84.518,67.7,0.83,0.7143
2013,SVC000000695,26.2624,63,798.05,41,19.424,21,0.261,5,73,45,40.15,20,557,28598.05,73.573,1.05,87.78,0.6887
2021,SVC000000696,31.3765,63,282.86,73,13.555,25,0.0895,59,13,189,80.65,30,145,47093.06,187.021,73.74,37.21,0.0347
2018,SVC000000697,69.5366,146,877.01,94,24.996,40,0.1805,49,42,61,2.23,4,272,2553.21,59.531,97.43,95.41,0.8884
