edu_att_reference_year,edu_att_country_iso2,edu_att_region_nuts_code,edu_att_age_group,edu_att_sex,edu_att_isc_level,edu_att_early_school_leavers_rate_pct,edu_att_tertiary_attainment_rate_pct,edu_att_vet_participation_rate_pct,edu_att_adult_learning_rate_pct,edu_att_neet_rate_pct,edu_att_pisa_reading_score,edu_att_pisa_math_score,edu_att_pisa_science_score,edu_att_digital_skills_students_pct,edu_att_teacher_shortage_index,edu_att_education_expenditure_pct_gdp,edu_att_eurostat_table_code,edu_att_survey_weight,edu_att_data_extract_date
2006,EE,CZ4,15_24,M,ISCED_5_8,17.05,36.78,22.75,18.96,18.43,470,511,484,46.41,29.23,6.68,edat_lfse_14,4.1064,2025-10-07
2007,IT,BE1,25_34,X,ISCED_3_4,12.82,54.91,30.2,6.69,13.06,430,454,407,40.56,30.17,4.72,edat_lfse_29,0.656,2024-04-20
2008,PT,IE874,35_44,F,ISCED_0_2,17.99,23.61,18.08,15.71,18.68,478,449,495,52.53,36.43,6.03,edat_lfs_9912,4.7286,2025-10-19
2009,BE,GR49,45_54,M,ISCED_5_8,6.14,35.98,51.59,13.82,14.9,468,479,507,28.96,30.41,4.4,edat_lfse_03,1.8266,2025-01-13
2010,FI,HR925,55_64,X,ISCED_3_4,5.37,32.83,48.98,4.06,4.5,580,505,563,63.13,18.93,8.18,edat_lfse_14,4.1576,2025-08-15
2011,LV,CZ857,15_24,F,ISCED_0_2,5.94,41.43,48.6,14.53,10.54,499,492,497,51.73,12.31,6.61,edat_lfse_29,3.505,2025-12-11
2012,RO,DK54,25_34,M,ISCED_5_8,5.44,25.46,17.06,2.97,16.84,504,472,493,29.56,54.1,4.14,edat_lfs_9912,3.0311,2025-06-14
2013,BG,HU152,35_44,X,ISCED_3_4,18.07,28.74,40.7,15.15,17.47,458,477,472,33.43,51.82,4.55,edat_lfse_03,3.9862,2024-12-01
2014,FR,LV62,45_54,F,ISCED_0_2,15.3,27.63,15.83,13.35,10.21,446,440,408,65.4,23.24,4.2,edat_lfse_14,1.3382,2025-10-05
2015,LT,BG89,55_64,M,ISCED_5_8,4.43,41.93,19.45,17.69,12.94,490,474,467,63.91,30.49,6.13,edat_lfse_29,0.6663,2024-02-11
2016,SK,HU2,15_24,X,ISCED_3_4,13.74,23.39,43.59,9.22,21.44,493,442,499,23.27,42.67,3.25,edat_lfs_9912,4.5657,2025-06-13
2017,HR,DK777,25_34,F,ISCED_0_2,13.09,38.34,17.28,16.42,16.92,399,390,440,25.53,28.07,6.24,edat_lfse_03,2.5761,2024-05-01
2018,DE,MT771,35_44,M,ISCED_5_8,13.9,45.43,27.18,7.3,7.74,422,451,400,38.04,68.28,4.8,edat_lfse_14,1.5032,2024-08-18
2019,LU,DK1,45_54,X,ISCED_3_4,5.96,22.04,17.98,9.35,4.96,468,477,492,68.59,55.66,3.39,edat_lfse_29,2.0793,2025-01-14
2020,SI,LU28,55_64,F,ISCED_0_2,8.37,43.78,21.18,15.71,18.4,512,469,534,57.63,65.19,4.23,edat_lfs_9912,1.6773,2024-05-21
2021,CY,DE528,15_24,M,ISCED_5_8,4.73,28.34,11.53,14.55,19.44,457,447,443,67.3,12.31,6.36,edat_lfse_03,2.7862,2025-03-15
2022,GR,HR438,25_34,X,ISCED_3_4,13.54,29.93,44.14,11.04,15.69,414,396,399,50.9,34.55,6.57,edat_lfse_14,1.216,2024-06-15
2023,MT,SI53,35_44,F,ISCED_0_2,14.01,33.89,26.53,5.73,13.34,438,425,399,37.46,76.1,3.83,edat_lfse_29,2.2427,2024-07-22
2024,ES,SK393,45_54,M,ISCED_5_8,7.47,36.44,14.27,7.0,13.79,502,469,454,49.78,34.52,5.74,edat_lfs_9912,1.3492,2024-01-18
2025,CZ,LT356,55_64,X,ISCED_3_4,4.61,24.82,31.98,3.54,15.92,448,483,492,54.84,43.42,3.72,edat_lfse_03,0.2955,2024-03-04
2006,HU,EE96,15_24,F,ISCED_0_2,7.41,56.51,11.39,19.12,19.53,472,420,445,66.73,63.94,5.59,edat_lfse_14,2.9903,2024-09-14
2007,NL,DE833,25_34,M,ISCED_5_8,4.84,40.04,42.54,4.88,17.72,503,479,492,76.33,9.11,5.87,edat_lfse_29,3.4081,2024-06-22
2008,SE,RO95,35_44,X,ISCED_3_4,4.66,37.01,35.69,18.28,17.77,498,468,498,70.65,42.25,6.7,edat_lfs_9912,2.9107,2024-05-30
2009,DK,LV149,45_54,F,ISCED_0_2,9.83,38.36,29.14,14.36,11.84,448,506,444,38.78,57.11,5.44,edat_lfse_03,4.5488,2024-07-04
2010,IE,SI8,55_64,M,ISCED_5_8,7.63,30.74,49.47,6.35,8.68,478,489,506,67.09,14.32,3.55,edat_lfse_14,1.9178,2024-03-15
2011,PL,FR714,15_24,X,ISCED_3_4,9.79,40.54,22.84,16.1,10.81,502,509,485,36.07,31.85,6.7,edat_lfse_29,3.6127,2025-07-23
2012,AT,SK367,25_34,F,ISCED_0_2,6.29,42.26,50.24,10.14,4.57,428,444,458,32.44,43.01,6.7,edat_lfs_9912,1.6025,2025-02-08
2013,EE,BG5,35_44,M,ISCED_5_8,10.0,34.29,50.91,7.59,11.03,437,485,445,25.26,26.05,4.31,edat_lfse_03,0.4192,2025-12-17
2014,IT,LU87,45_54,X,ISCED_3_4,8.9,53.25,28.16,10.58,18.74,481,501,475,65.77,55.52,6.34,edat_lfse_14,2.7771,2024-07-16
2015,PT,MT374,55_64,F,ISCED_0_2,16.57,30.02,12.9,8.49,14.41,439,415,439,41.41,8.84,7.08,edat_lfse_29,3.209,2024-07-15
2016,BE,LV1,15_24,M,ISCED_5_8,8.75,32.32,29.3,3.27,6.6,408,427,435,32.52,10.77,4.02,edat_lfs_9912,2.7146,2025-12-04
2017,FI,MT725,25_34,X,ISCED_3_4,7.86,30.21,14.44,10.85,14.21,509,532,536,27.18,45.46,7.13,edat_lfse_03,2.527,2024-11-29
2018,LV,LT2,35_44,F,ISCED_0_2,8.47,65.14,19.9,4.89,11.91,468,497,510,70.46,14.3,7.18,edat_lfse_14,2.1559,2024-06-09
2019,RO,ES63,45_54,M,ISCED_5_8,14.72,35.77,38.51,18.16,17.23,435,454,418,42.5,21.55,5.67,edat_lfse_29,2.022,2024-04-16
2020,BG,ES34,55_64,X,ISCED_3_4,11.2,46.58,18.06,3.47,18.71,501,501,503,44.49,34.35,4.45,edat_lfs_9912,0.7454,2024-03-25
2021,FR,FR43,15_24,F,ISCED_0_2,9.4,51.95,43.21,15.83,15.16,529,484,514,68.21,36.86,6.99,edat_lfse_03,2.1296,2024-02-17
2022,LT,EE472,25_34,M,ISCED_5_8,13.14,50.79,16.37,5.6,11.36,485,462,432,74.87,67.43,3.41,edat_lfse_14,2.5351,2025-11-30
2023,SK,ES85,35_44,X,ISCED_3_4,14.67,23.63,46.07,16.74,11.38,436,493,463,82.67,69.98,6.14,edat_lfse_29,2.7005,2024-08-05
2024,HR,NL54,45_54,F,ISCED_0_2,15.32,50.77,41.09,10.55,13.32,497,528,484,89.5,56.79,6.77,edat_lfs_9912,0.5249,2025-02-10
2025,DE,FR6,55_64,M,ISCED_5_8,10.15,30.43,36.38,11.33,5.44,446,419,420,53.15,53.87,3.14,edat_lfse_03,1.1625,2025-08-18
2006,LU,GR39,15_24,X,ISCED_3_4,14.89,33.78,46.15,18.92,19.62,497,520,531,28.24,49.63,5.95,edat_lfse_14,0.5944,2025-12-02
2007,SI,PL43,25_34,F,ISCED_0_2,10.2,46.98,53.44,18.23,7.07,452,474,476,48.93,46.47,6.85,edat_lfse_29,2.443,2024-10-14
2008,CY,LU3,35_44,M,ISCED_5_8,9.55,52.83,9.67,19.77,15.55,468,472,471,53.96,20.6,7.4,edat_lfs_9912,3.4054,2025-04-13
2009,GR,CY21,45_54,X,ISCED_3_4,8.3,40.51,31.26,12.71,11.7,501,506,519,26.96,35.27,5.67,edat_lfse_03,3.9542,2024-09-23
2010,MT,IT910,55_64,F,ISCED_0_2,3.89,55.76,47.74,12.53,17.1,482,480,527,45.03,46.35,7.3,edat_lfse_14,3.2407,2025-08-26
2011,ES,GR87,15_24,M,ISCED_5_8,19.43,46.15,31.06,7.15,5.1,487,485,449,21.91,52.4,4.99,edat_lfse_29,0.842,2026-02-05
2012,CZ,FR444,25_34,X,ISCED_3_4,10.74,55.38,16.34,14.38,5.89,471,474,443,40.82,44.09,6.99,edat_lfs_9912,2.5081,2024-09-27
2013,HU,BG985,35_44,F,ISCED_0_2,12.32,31.2,45.61,4.18,5.44,430,420,442,35.83,25.36,6.98,edat_lfse_03,1.7173,2025-11-20
2014,NL,DE651,45_54,M,ISCED_5_8,11.24,18.4,40.37,7.95,9.76,459,437,473,32.67,37.5,3.58,edat_lfse_14,2.8247,2025-07-16
2015,SE,HR288,55_64,X,ISCED_3_4,5.03,48.97,52.01,5.87,8.96,574,566,549,52.76,12.88,4.4,edat_lfse_29,2.6871,2025-03-21
2016,DK,IE84,15_24,F,ISCED_0_2,7.61,24.41,29.15,6.62,11.43,557,568,524,43.33,9.9,4.0,edat_lfs_9912,4.3361,2024-11-25
2017,IE,LU2,25_34,M,ISCED_5_8,6.52,52.39,24.95,12.32,10.13,558,570,518,39.54,33.99,4.79,edat_lfse_03,2.5549,2024-05-03
2018,PL,BE8,35_44,X,ISCED_3_4,14.4,60.8,21.91,8.24,10.93,408,447,409,76.16,42.58,5.21,edat_lfse_14,0.3716,2024-08-15
2019,AT,IE647,45_54,F,ISCED_0_2,11.1,23.45,15.02,15.36,15.85,518,509,479,69.82,57.05,3.64,edat_lfse_29,0.7858,2025-03-04
2020,EE,PL22,55_64,M,ISCED_5_8,10.88,41.59,35.78,16.75,9.15,508,521,503,78.65,42.81,5.71,edat_lfs_9912,2.4274,2025-05-05
2021,IT,IT8,15_24,X,ISCED_3_4,12.27,39.23,11.1,13.55,11.74,446,392,456,58.32,33.15,7.15,edat_lfse_03,0.8004,2025-02-10
2022,PT,HR47,25_34,F,ISCED_0_2,7.02,23.76,27.22,15.55,17.77,470,460,429,32.19,12.41,4.98,edat_lfse_14,1.0824,2026-01-15
2023,BE,FI2,35_44,M,ISCED_5_8,14.18,28.55,50.13,10.71,4.6,502,493,524,25.74,52.47,3.8,edat_lfse_29,0.7682,2025-03-26
2024,FI,LT380,45_54,X,ISCED_3_4,13.04,46.8,12.48,10.85,11.71,548,532,554,55.11,16.49,7.43,edat_lfs_9912,1.3356,2024-10-19
2025,LV,LU4,55_64,F,ISCED_0_2,5.85,44.24,20.12,10.12,15.38,449,474,484,27.11,30.17,3.62,edat_lfse_03,4.7018,2024-03-17
2006,RO,PL945,15_24,M,ISCED_5_8,13.85,40.09,48.03,7.97,7.27,438,432,443,45.27,13.5,3.22,edat_lfse_14,4.146,2024-04-06
2007,BG,FR913,25_34,X,ISCED_3_4,14.34,57.35,29.6,8.07,11.18,428,468,463,43.64,13.08,3.59,edat_lfse_29,1.4811,2025-01-28
2008,FR,SI38,35_44,F,ISCED_0_2,8.13,53.61,34.32,5.58,12.81,412,444,423,22.18,38.14,4.33,edat_lfs_9912,2.1005,2025-08-17
2009,LT,SI34,45_54,M,ISCED_5_8,5.78,36.74,13.27,17.29,16.57,487,539,479,67.06,32.51,5.84,edat_lfse_03,3.3092,2024-12-28
2010,SK,FR746,55_64,X,ISCED_3_4,8.31,30.32,13.58,9.46,13.32,474,476,459,35.6,24.28,5.12,edat_lfse_14,2.4754,2024-04-04
2011,HR,BG49,15_24,F,ISCED_0_2,11.57,54.0,18.24,10.66,15.97,410,451,424,80.63,31.52,5.55,edat_lfse_29,1.8667,2025-06-18
2012,DE,FR4,25_34,M,ISCED_5_8,4.26,47.27,47.11,12.09,15.39,456,447,453,58.38,30.72,3.23,edat_lfs_9912,0.9494,2025-04-17
2013,LU,DK82,35_44,X,ISCED_3_4,6.47,41.47,48.31,10.28,10.82,442,436,464,46.73,59.74,5.35,edat_lfse_03,2.1496,2024-06-21
2014,SI,IT9,45_54,F,ISCED_0_2,15.17,29.02,23.91,5.74,8.83,491,481,479,32.3,8.73,3.53,edat_lfse_14,0.304,2025-05-16
2015,CY,FR967,55_64,M,ISCED_5_8,3.88,39.72,48.68,6.28,17.94,501,530,492,46.74,58.48,3.88,edat_lfse_29,1.3653,2024-02-12
2016,GR,IE281,15_24,X,ISCED_3_4,10.22,25.47,28.22,4.46,18.46,455,419,420,53.99,50.1,7.22,edat_lfs_9912,2.946,2024-01-15
2017,MT,CY845,25_34,F,ISCED_0_2,6.75,23.22,15.43,12.45,13.75,413,426,427,63.1,43.78,4.65,edat_lfse_03,2.2954,2024-04-03
2018,ES,ES666,35_44,M,ISCED_5_8,9.82,42.1,34.64,8.83,9.83,515,504,451,28.5,39.24,3.79,edat_lfse_14,2.4733,2024-07-01
2019,CZ,LV5,45_54,X,ISCED_3_4,7.54,36.59,46.55,10.31,15.84,519,494,526,74.13,9.71,4.17,edat_lfse_29,2.2176,2025-01-20
2020,HU,EE75,55_64,F,ISCED_0_2,14.47,38.39,48.37,6.3,20.16,444,430,454,69.95,19.99,4.19,edat_lfs_9912,1.1891,2024-12-22
2021,NL,DK66,15_24,M,ISCED_5_8,12.7,28.48,49.52,13.24,22.0,547,587,534,87.08,59.37,6.13,edat_lfse_03,1.4386,2026-01-27
2022,SE,PT8,25_34,X,ISCED_3_4,14.3,33.26,47.45,10.72,4.72,552,551,549,87.76,55.3,8.02,edat_lfse_14,0.5307,2025-03-18
2023,DK,SE642,35_44,F,ISCED_0_2,9.58,38.79,40.9,7.84,10.09,458,443,449,41.96,21.99,8.04,edat_lfse_29,0.9035,2025-06-05
2024,IE,CZ653,45_54,M,ISCED_5_8,4.33,30.24,20.91,4.33,5.62,450,499,467,68.55,71.43,3.96,edat_lfs_9912,1.02,2025-11-10
2025,PL,HR99,55_64,X,ISCED_3_4,11.34,36.51,45.94,6.17,11.76,419,449,423,48.63,46.51,6.6,edat_lfse_03,1.8331,2025-08-26
2006,AT,GR935,15_24,F,ISCED_0_2,5.8,47.23,16.13,7.53,13.91,436,413,471,34.29,18.42,7.41,edat_lfse_14,2.8538,2025-08-17
2007,EE,CZ90,25_34,M,ISCED_5_8,15.21,25.38,30.96,17.0,8.36,497,479,491,77.95,33.56,6.67,edat_lfse_29,3.1735,2024-09-02
2008,IT,RO325,35_44,X,ISCED_3_4,13.71,46.89,37.49,11.05,4.58,421,440,422,58.46,37.07,3.38,edat_lfs_9912,3.685,2024-03-25
2009,PT,RO431,45_54,F,ISCED_0_2,7.82,30.89,50.13,6.5,14.78,439,454,433,38.29,10.45,3.46,edat_lfse_03,4.5406,2024-06-01
2010,BE,SE136,55_64,M,ISCED_5_8,9.36,32.82,40.37,6.63,17.59,529,541,512,74.07,11.65,5.42,edat_lfse_14,4.7384,2024-02-18
2011,FI,CY261,15_24,X,ISCED_3_4,14.51,25.76,25.88,4.2,7.15,541,544,557,37.81,50.58,5.4,edat_lfse_29,1.0619,2024-11-02
2012,LV,PT82,25_34,F,ISCED_0_2,7.59,31.33,13.66,12.6,6.93,516,505,531,60.11,60.93,4.7,edat_lfs_9912,1.6293,2024-09-11
2013,RO,IT64,35_44,M,ISCED_5_8,17.08,62.57,19.1,15.36,7.22,465,443,494,58.77,57.71,6.76,edat_lfse_03,0.8926,2025-10-11
2014,BG,AT789,45_54,X,ISCED_3_4,11.36,22.9,17.66,12.92,17.47,458,488,446,52.67,30.97,5.08,edat_lfse_14,0.3941,2025-10-21
2015,FR,GR74,55_64,F,ISCED_0_2,14.14,49.93,39.32,2.99,11.36,425,451,443,37.87,41.6,4.14,edat_lfse_29,1.722,2025-02-12
2016,LT,IE120,15_24,M,ISCED_5_8,13.05,35.77,38.55,4.19,9.61,509,511,471,63.04,29.63,3.43,edat_lfs_9912,1.0234,2025-10-30
2017,SK,ES32,25_34,X,ISCED_3_4,8.9,28.04,30.82,13.48,5.85,462,482,464,29.11,33.21,3.58,edat_lfse_03,4.7087,2025-03-03
2018,HR,NL58,35_44,F,ISCED_0_2,7.49,52.84,30.29,12.5,12.84,416,411,411,59.08,23.78,4.89,edat_lfse_14,1.5216,2024-09-12
2019,DE,HR567,45_54,M,ISCED_5_8,14.48,56.81,17.49,12.03,11.88,457,432,467,82.53,60.91,5.22,edat_lfse_29,1.6202,2024-07-18
2020,LU,FR395,55_64,X,ISCED_3_4,11.75,20.2,42.66,17.3,11.97,435,452,453,89.52,22.28,6.94,edat_lfs_9912,2.9525,2025-09-17
2021,SI,FR423,15_24,F,ISCED_0_2,11.39,55.55,40.41,18.88,9.12,484,458,494,42.23,13.79,7.28,edat_lfse_03,4.0452,2024-05-25
2022,CY,IE251,25_34,M,ISCED_5_8,7.99,46.56,43.59,7.57,17.57,465,459,468,51.97,14.06,7.28,edat_lfse_14,3.0699,2024-09-05
2023,GR,IT33,35_44,X,ISCED_3_4,14.48,47.08,51.68,6.54,17.11,476,424,481,71.93,28.28,4.22,edat_lfse_29,3.7311,2025-09-23
2024,MT,HU35,45_54,F,ISCED_0_2,9.56,27.92,36.74,5.66,7.0,457,495,455,29.27,32.24,3.32,edat_lfs_9912,1.9333,2024-09-09
2025,ES,LU1,55_64,M,ISCED_5_8,12.87,42.37,10.56,12.83,12.56,511,496,514,71.35,43.94,4.11,edat_lfse_03,3.6693,2025-05-13
2006,CZ,BG252,15_24,X,ISCED_3_4,15.14,41.93,23.12,13.07,10.81,489,480,489,64.46,25.69,3.15,edat_lfse_14,1.818,2025-08-30
2007,HU,LU72,25_34,F,ISCED_0_2,13.44,47.81,35.59,11.98,5.1,476,464,470,74.72,67.15,5.68,edat_lfse_29,4.1991,2025-03-17
2008,NL,DE892,35_44,M,ISCED_5_8,14.49,27.87,39.62,12.34,9.36,449,433,442,79.62,15.09,6.3,edat_lfs_9912,0.9045,2024-07-30
2009,SE,DE818,45_54,X,ISCED_3_4,5.58,25.66,37.45,11.99,17.75,501,463,494,26.51,57.61,4.88,edat_lfse_03,0.3859,2024-07-14
2010,DK,BE663,55_64,F,ISCED_0_2,9.14,40.04,26.41,17.63,5.78,502,478,465,25.93,48.74,7.0,edat_lfse_14,2.6652,2025-04-24
2011,IE,CZ67,15_24,M,ISCED_5_8,11.95,32.92,35.4,16.4,7.78,484,533,551,25.14,66.21,5.98,edat_lfse_29,1.6614,2025-12-22
2012,PL,GR553,25_34,X,ISCED_3_4,14.57,30.78,36.88,14.98,8.23,448,454,462,66.25,7.97,4.48,edat_lfs_9912,4.1838,2024-07-25
2013,AT,IT55,35_44,F,ISCED_0_2,11.89,36.38,42.07,16.08,6.21,479,524,477,50.7,65.93,6.19,edat_lfse_03,1.0339,2025-01-27
2014,EE,ES494,45_54,M,ISCED_5_8,11.32,50.98,48.15,7.22,17.23,489,440,462,26.75,58.24,6.45,edat_lfse_14,0.2053,2025-10-28
2015,IT,EE399,55_64,X,ISCED_3_4,11.54,54.41,18.73,17.79,15.05,475,454,472,57.26,8.32,5.86,edat_lfse_29,2.204,2025-10-17
2016,PT,PT975,15_24,F,ISCED_0_2,21.6,38.43,16.64,12.1,9.25,431,400,422,77.68,22.0,6.91,edat_lfs_9912,1.775,2025-08-12
2017,BE,ES716,25_34,M,ISCED_5_8,9.38,29.86,25.8,12.24,7.8,529,490,470,50.76,54.18,4.53,edat_lfse_03,4.3785,2024-04-06
2018,FI,IT1,35_44,X,ISCED_3_4,11.29,28.96,11.57,10.99,13.71,527,577,572,69.2,59.84,4.43,edat_lfse_14,3.2771,2025-05-26
2019,LV,SE37,45_54,F,ISCED_0_2,12.62,19.85,21.17,13.58,11.62,414,440,446,59.54,12.75,3.67,edat_lfse_29,4.3644,2024-10-16
2020,RO,LU18,55_64,M,ISCED_5_8,10.7,20.38,43.89,13.39,13.07,496,495,534,63.88,22.1,4.57,edat_lfs_9912,3.9561,2025-10-19
2021,BG,DE749,15_24,X,ISCED_3_4,15.58,25.1,38.52,7.19,22.89,512,459,463,58.9,24.92,5.87,edat_lfse_03,4.143,2025-12-06
2022,FR,GR54,25_34,F,ISCED_0_2,9.89,36.52,51.1,9.77,17.99,515,481,514,42.39,26.66,5.02,edat_lfse_14,3.1604,2024-08-14
2023,LT,EE84,35_44,M,ISCED_5_8,13.25,43.97,16.31,5.56,12.57,439,446,403,80.18,53.81,5.41,edat_lfse_29,1.2035,2025-02-16
2024,SK,CZ81,45_54,X,ISCED_3_4,11.7,53.34,33.38,7.45,5.43,423,414,474,90.75,12.65,6.54,edat_lfs_9912,4.2542,2026-01-08
2025,HR,LU6,55_64,F,ISCED_0_2,6.94,23.76,11.42,7.36,12.48,491,498,522,81.34,54.1,7.14,edat_lfse_03,3.072,2025-01-13
2006,DE,FR3,15_24,M,ISCED_5_8,17.5,18.39,57.02,14.04,13.12,530,491,473,46.98,36.36,4.32,edat_lfse_14,3.9283,2024-09-12
2007,LU,LT317,25_34,X,ISCED_3_4,14.15,27.54,43.77,13.25,11.57,484,466,464,59.9,43.69,5.39,edat_lfse_29,2.6853,2025-08-05
2008,SI,BG4,35_44,F,ISCED_0_2,3.56,42.22,17.15,3.68,11.98,479,500,531,31.87,37.94,6.55,edat_lfs_9912,4.3314,2024-04-25
2009,CY,HU1,45_54,M,ISCED_5_8,14.2,52.01,35.28,16.96,6.48,467,472,439,33.37,21.04,5.25,edat_lfse_03,1.5697,2024-11-27
2010,GR,HU4,55_64,X,ISCED_3_4,10.09,31.93,29.41,13.33,13.93,393,409,422,49.95,33.54,6.75,edat_lfse_14,4.0074,2025-10-16
2011,MT,RO29,15_24,F,ISCED_0_2,11.2,36.36,10.64,17.47,14.97,446,473,467,27.03,21.44,5.14,edat_lfse_29,3.107,2025-08-19
2012,ES,AT986,25_34,M,ISCED_5_8,8.73,53.01,17.99,14.25,16.13,441,433,444,38.56,54.8,3.93,edat_lfs_9912,2.5759,2025-07-12
2013,CZ,IT2,35_44,X,ISCED_3_4,12.97,24.28,47.31,14.4,9.92,437,441,492,33.05,44.5,5.09,edat_lfse_03,3.6595,2024-07-05
2014,HU,AT569,45_54,F,ISCED_0_2,13.58,40.28,51.73,4.5,17.31,482,483,462,53.22,19.75,4.0,edat_lfse_14,3.9926,2025-04-19
2015,NL,MT7,55_64,M,ISCED_5_8,8.62,38.52,44.65,7.43,5.75,525,546,526,51.04,45.63,5.46,edat_lfse_29,0.2702,2024-10-18
2016,SE,SE539,15_24,X,ISCED_3_4,14.26,49.87,42.8,11.88,7.4,501,470,467,37.84,49.52,6.33,edat_lfs_9912,3.6952,2025-06-18
2017,DK,SI69,25_34,F,ISCED_0_2,5.13,39.16,48.63,9.77,4.62,508,470,466,35.5,24.53,6.28,edat_lfse_03,4.6917,2024-06-30
2018,IE,LT14,35_44,M,ISCED_5_8,14.05,58.46,42.57,17.84,16.58,438,430,458,57.41,16.16,5.39,edat_lfse_14,0.8785,2025-05-28
2019,PL,FI82,45_54,X,ISCED_3_4,11.68,54.99,21.17,19.01,18.04,417,435,396,41.55,48.71,7.36,edat_lfse_29,4.2564,2026-01-23
2020,AT,DE150,55_64,F,ISCED_0_2,13.78,43.31,56.36,4.77,5.6,442,465,455,29.44,10.28,6.08,edat_lfs_9912,4.762,2026-02-22
2021,EE,CZ188,15_24,M,ISCED_5_8,15.8,22.1,12.56,13.56,18.82,554,515,559,54.47,33.95,3.49,edat_lfse_03,2.3871,2024-03-28
2022,IT,DK68,25_34,X,ISCED_3_4,10.23,38.42,44.74,14.7,12.02,425,424,454,38.68,70.44,6.86,edat_lfse_14,4.3202,2024-06-14
2023,PT,SK31,35_44,F,ISCED_0_2,17.23,64.5,45.5,18.41,8.35,510,534,488,38.57,63.46,5.82,edat_lfse_29,2.3162,2024-11-08
2024,BE,AT9,45_54,M,ISCED_5_8,4.63,53.73,40.42,5.28,6.17,524,458,494,50.66,69.58,5.22,edat_lfs_9912,1.9035,2024-11-15
2025,FI,BE868,55_64,X,ISCED_3_4,11.22,40.95,49.2,3.5,13.59,475,453,426,48.46,78.5,4.31,edat_lfse_03,1.2687,2025-02-10
2006,LV,PL522,15_24,F,ISCED_0_2,8.85,41.13,52.2,5.38,16.18,438,421,430,62.97,56.6,3.22,edat_lfse_14,1.8436,2026-01-15
2007,RO,RO8,25_34,M,ISCED_5_8,13.73,36.95,17.07,16.64,18.2,447,482,495,69.66,42.03,5.94,edat_lfse_29,4.5045,2024-01-12
2008,BG,SI794,35_44,X,ISCED_3_4,9.45,24.65,14.28,9.29,12.7,494,500,494,57.1,39.55,4.94,edat_lfs_9912,0.4346,2024-09-28
2009,FR,LT4,45_54,F,ISCED_0_2,5.0,33.86,18.08,12.66,5.96,529,473,501,35.2,30.93,3.34,edat_lfse_03,0.7891,2025-10-28
2010,LT,LU691,55_64,M,ISCED_5_8,8.64,31.9,20.94,8.89,6.34,520,499,516,28.67,35.16,5.38,edat_lfse_14,0.6825,2026-02-04
2011,SK,ES17,15_24,X,ISCED_3_4,15.98,30.16,36.51,10.72,15.66,471,429,462,40.18,66.09,7.27,edat_lfse_29,2.6749,2025-02-27
2012,HR,PL4,25_34,F,ISCED_0_2,8.83,65.39,27.72,7.04,13.99,462,470,510,33.8,46.54,6.97,edat_lfs_9912,3.3113,2024-10-15
2013,DE,NL71,35_44,M,ISCED_5_8,10.34,36.87,48.41,8.74,16.44,405,420,428,47.6,40.71,5.01,edat_lfse_03,0.694,2025-03-27
2014,LU,DK835,45_54,X,ISCED_3_4,12.08,31.57,32.75,4.27,12.22,419,390,431,52.9,68.05,5.55,edat_lfse_14,2.1859,2025-07-29
2015,SI,LV6,55_64,F,ISCED_0_2,5.78,31.44,60.25,19.24,7.68,436,474,464,80.58,63.63,6.4,edat_lfse_29,1.7332,2025-10-26
2016,CY,PT218,15_24,M,ISCED_5_8,17.17,25.84,12.59,8.47,10.33,424,408,423,32.46,68.34,3.54,edat_lfs_9912,3.6646,2025-06-25
2017,GR,RO731,25_34,X,ISCED_3_4,8.07,43.77,29.49,8.09,13.4,443,389,397,34.19,39.82,5.63,edat_lfse_03,4.3861,2024-02-20
2018,MT,SI546,35_44,F,ISCED_0_2,10.14,55.79,21.5,6.67,11.1,537,498,493,77.74,32.63,5.04,edat_lfse_14,4.744,2025-06-04
2019,ES,LV250,45_54,M,ISCED_5_8,13.8,34.56,21.25,19.69,18.38,465,498,463,92.64,31.0,6.28,edat_lfse_29,4.234,2025-07-21
2020,CZ,MT336,55_64,X,ISCED_3_4,13.33,27.23,54.75,14.58,20.14,496,535,467,39.43,20.12,3.27,edat_lfs_9912,0.4396,2024-12-30
2021,HU,SK22,15_24,F,ISCED_0_2,7.91,48.54,33.94,17.22,17.22,408,383,393,80.47,16.65,6.1,edat_lfse_03,3.0287,2025-05-31
2022,NL,BE34,25_34,M,ISCED_5_8,3.76,34.89,25.17,13.84,17.16,454,489,460,45.95,28.66,6.25,edat_lfse_14,0.471,2024-06-17
2023,SE,SK194,35_44,X,ISCED_3_4,7.79,26.64,11.05,12.11,9.97,554,568,517,73.85,24.38,5.48,edat_lfse_29,1.5686,2025-11-09
2024,DK,BE5,45_54,F,ISCED_0_2,8.78,43.75,11.55,8.55,18.7,483,491,449,53.01,11.12,4.18,edat_lfs_9912,0.4126,2025-12-20
2025,IE,LV57,55_64,M,ISCED_5_8,10.25,35.46,24.68,16.14,13.63,545,590,554,41.7,41.63,3.97,edat_lfse_03,2.0591,2025-01-25
2006,PL,MT41,15_24,X,ISCED_3_4,17.65,49.34,15.74,4.84,10.49,498,470,498,39.92,31.69,4.53,edat_lfse_14,0.6369,2025-04-04
2007,AT,GR26,25_34,F,ISCED_0_2,9.94,25.06,25.28,4.01,18.7,446,441,500,76.32,28.2,6.93,edat_lfse_29,3.6809,2024-09-30
2008,EE,ES81,35_44,M,ISCED_5_8,6.98,45.61,20.12,19.31,6.5,466,473,493,46.04,52.14,5.74,edat_lfs_9912,2.5088,2025-12-04
