imm_refugee_arrival_month,imm_refugee_resettlement_agency_id,imm_refugee_case_size,imm_refugee_nationality_code,imm_refugee_refugee_category_code,imm_refugee_special_immigrant_visa_flag,imm_refugee_screening_completed_flag,imm_refugee_medical_clearance_flag,imm_refugee_travel_loan_amount_inr,imm_refugee_initial_cash_assistance_inr,imm_refugee_housing_placement_days,imm_refugee_school_enrollment_within_30d,imm_refugee_employment_within_90d,imm_refugee_english_training_enrollment,imm_refugee_healthcare_linkage_within_30d,imm_refugee_trauma_services_referral_flag,imm_refugee_secondary_migration_within_1yr,imm_refugee_public_benefit_uptake_rate,imm_refugee_self_sufficiency_score,imm_refugee_followup_contact_count
2023-12,RA021,5,LKA,SIV,0,1,1,94029,119753,58,1,0,0,1,1,1,89.25,73.7,13
2023-06,RA056,4,SYR,FAMILY_REUN,0,1,0,240037,124683,51,1,1,1,1,1,0,69.08,51.4,9
2025-08,RA034,5,NPL,FAMILY_REUN,0,1,0,280807,4693,68,0,1,1,0,0,1,41.66,36.0,12
2024-03,RA026,9,SDN,HUMANITARIAN_PAROLE,0,0,1,96794,48401,102,1,0,0,1,0,0,51.37,35.0,5
2020-08,RA025,5,LKA,TEMP_PROTECTION,1,0,0,206167,126290,4,0,1,0,0,0,1,71.23,21.0,29
2019-05,RA050,4,PAK,UNHCR,1,1,1,174799,26957,42,1,1,0,0,1,1,61.33,88.6,10
2022-05,RA045,4,SYR,SIV,0,1,1,269449,116552,7,1,0,0,0,1,0,52.95,41.4,24
2024-03,RA031,1,IRQ,UNHCR,1,1,0,21940,110423,77,1,0,1,0,1,1,23.68,75.2,5
2023-08,RA060,4,AFG,ASYLUM,1,0,0,195078,37010,92,1,0,0,1,1,1,61.7,57.4,26
2021-08,RA053,4,SYR,FAMILY_REUN,1,0,1,44146,10251,62,0,1,0,0,0,0,1.87,75.4,10
2021-03,RA048,9,AFG,ASYLUM,1,1,0,275801,22343,162,1,1,1,1,0,0,56.01,32.1,30
2024-08,RA006,4,BGD,FAMILY_REUN,0,1,1,257548,87943,31,0,0,0,1,0,1,82.07,75.2,18
2022-12,RA048,7,SOM,SIV,1,0,0,121415,71734,96,0,0,0,0,0,1,17.98,79.0,16
2019-07,RA004,1,SDN,ASYLUM,1,0,1,699,96485,117,1,0,0,1,1,0,11.42,10.4,24
2022-10,RA024,7,SYR,TEMP_PROTECTION,1,0,0,73101,114643,23,0,1,1,0,0,0,97.02,9.1,2
2025-06,RA042,2,SOM,HUMANITARIAN_PAROLE,1,1,1,252715,34385,49,0,1,0,1,1,0,84.35,98.5,0
2020-06,RA031,8,LKA,ASYLUM,1,1,0,7109,38848,117,1,1,1,1,1,0,30.2,11.8,15
2022-02,RA019,1,PAK,FAMILY_REUN,1,0,0,74323,110538,127,0,0,0,1,0,1,20.86,68.5,11
2024-05,RA011,3,SSD,TEMP_PROTECTION,0,1,0,312309,112174,111,0,0,1,0,1,0,33.4,74.8,26
2020-05,RA029,8,IRQ,FAMILY_REUN,1,1,1,212246,132971,37,1,1,1,0,1,0,43.12,6.4,13
2025-10,RA005,8,ERI,UNHCR,1,1,0,65547,100338,165,1,0,0,0,1,0,82.11,74.7,17
2022-02,RA018,5,UKR,ASYLUM,1,0,0,10135,13983,148,0,0,1,1,0,1,23.92,42.0,27
2024-03,RA003,5,AFG,HUMANITARIAN_PAROLE,1,0,1,282987,22706,150,0,0,0,0,1,0,72.08,27.5,2
2022-06,RA040,8,PAK,SIV,0,0,1,661,20357,173,0,1,0,1,1,1,92.93,66.5,23
2019-08,RA011,5,NPL,UNHCR,0,1,0,119321,27528,157,0,0,1,1,1,0,37.95,83.3,7
2021-06,RA021,9,IRN,ASYLUM,1,1,0,203989,29223,167,0,0,1,1,0,1,2.6,57.3,17
2024-04,RA030,1,ERI,UNHCR,1,0,0,192825,49877,81,1,0,1,1,1,0,82.76,87.1,15
2019-09,RA019,5,SDN,ASYLUM,1,1,0,9614,44487,69,0,0,1,0,1,1,70.84,2.2,14
2023-09,RA053,3,SOM,SIV,1,0,1,255197,114167,68,0,1,1,0,1,1,14.91,73.9,21
2023-11,RA025,3,SDN,SIV,0,1,0,66115,139103,169,1,1,1,1,0,0,59.69,16.9,1
2024-07,RA035,2,SOM,HUMANITARIAN_PAROLE,1,1,1,221445,94197,145,1,1,1,1,0,0,82.48,28.6,28
2025-03,RA012,3,NPL,UNHCR,0,1,1,375406,77137,12,0,1,1,1,0,1,18.1,57.2,15
2019-05,RA047,7,AFG,HUMANITARIAN_PAROLE,0,1,0,364673,10675,118,1,0,0,0,1,0,22.29,27.4,22
2025-12,RA026,8,AFG,ASYLUM,1,1,1,341150,45221,101,0,1,0,1,1,0,20.18,16.8,28
2019-04,RA055,8,MMR,SIV,1,0,0,340759,89020,20,1,0,1,0,1,1,99.75,88.5,30
2019-08,RA056,8,SSD,SIV,0,0,1,277794,50711,76,1,0,1,0,1,0,22.95,90.7,9
2022-06,RA048,1,PAK,FAMILY_REUN,1,1,1,218926,147856,81,1,0,0,0,1,0,26.69,3.6,26
2021-11,RA005,7,NPL,FAMILY_REUN,0,0,1,275998,36978,76,1,0,1,1,0,0,4.79,50.0,10
2020-01,RA019,2,IRN,HUMANITARIAN_PAROLE,1,1,0,332743,29022,98,1,1,1,0,0,0,98.33,20.4,18
2019-05,RA027,4,SYR,UNHCR,1,1,1,254581,85251,165,0,1,1,0,1,1,24.68,86.3,23
2022-04,RA038,5,MMR,ASYLUM,1,1,1,221689,37739,167,0,0,0,0,0,1,72.52,46.3,18
2020-07,RA029,1,AFG,HUMANITARIAN_PAROLE,1,0,1,89217,83169,154,1,1,0,0,0,1,2.64,47.8,9
2025-10,RA012,4,IRQ,SIV,0,1,1,44391,4226,42,1,1,0,0,1,1,78.34,62.7,21
2019-04,RA019,4,LKA,SIV,1,1,1,80991,100258,121,1,0,0,1,1,0,75.06,5.6,16
2023-11,RA009,9,SOM,SIV,1,0,1,18238,88897,123,1,1,1,1,0,1,8.42,12.7,23
2020-06,RA018,9,ERI,ASYLUM,1,1,0,169104,106844,19,0,0,1,0,0,0,12.26,49.8,22
2020-12,RA029,1,NPL,HUMANITARIAN_PAROLE,0,0,1,18044,43478,162,1,0,0,1,1,0,29.51,96.7,0
2021-07,RA003,8,SYR,ASYLUM,1,0,1,253844,41073,54,1,0,0,0,1,1,35.47,84.4,29
2023-10,RA023,4,LKA,TEMP_PROTECTION,0,0,0,367996,6161,73,0,1,0,1,1,0,78.35,88.9,29
2021-04,RA030,4,IRQ,SIV,0,0,1,146784,97465,71,1,0,1,1,0,1,6.12,13.7,6
2019-09,RA046,5,ERI,FAMILY_REUN,1,0,1,398195,38229,167,0,0,0,0,0,0,65.02,95.9,15
2022-09,RA058,2,SDN,HUMANITARIAN_PAROLE,0,0,0,205084,1628,45,1,0,0,0,1,0,22.85,73.0,10
2023-01,RA024,1,SSD,FAMILY_REUN,1,0,0,99022,73516,78,1,1,1,1,1,1,38.25,32.6,20
2019-02,RA053,5,MMR,HUMANITARIAN_PAROLE,1,1,1,323476,102542,169,0,0,1,1,1,0,0.22,86.4,17
2019-06,RA037,7,AFG,SIV,1,1,1,278785,46892,145,1,0,0,1,1,0,29.11,74.7,0
2021-05,RA037,9,NPL,FAMILY_REUN,0,1,1,161783,77411,14,0,0,0,0,1,1,17.13,73.7,29
2021-02,RA004,2,SYR,FAMILY_REUN,0,1,1,119593,22980,98,0,0,1,0,0,1,50.4,73.5,1
2021-04,RA057,8,UKR,HUMANITARIAN_PAROLE,0,1,0,374835,141373,65,0,1,1,1,0,0,15.82,80.1,28
2019-07,RA054,7,PAK,TEMP_PROTECTION,1,1,1,215589,50451,140,0,0,0,0,1,1,83.58,94.9,21
2021-10,RA028,2,SDN,TEMP_PROTECTION,1,1,0,305026,126630,108,1,1,1,1,1,0,88.29,13.7,1
2023-08,RA016,5,NPL,FAMILY_REUN,0,1,1,326296,21798,56,1,0,0,0,1,1,84.53,100.0,28
2019-10,RA013,7,AFG,FAMILY_REUN,0,0,0,40780,101320,136,0,1,0,0,0,1,98.18,87.2,5
2023-09,RA008,3,SYR,SIV,1,1,1,320727,9589,120,0,0,1,0,1,0,91.46,44.2,28
2022-11,RA056,2,ERI,HUMANITARIAN_PAROLE,0,1,0,310717,111251,98,0,1,0,1,0,1,27.98,15.7,30
2021-03,RA053,6,NPL,HUMANITARIAN_PAROLE,1,0,0,27870,80633,65,0,1,1,1,0,0,31.45,45.4,27
2022-03,RA048,6,IRN,UNHCR,1,0,0,88718,107656,143,0,0,1,1,1,1,53.27,77.9,23
2020-10,RA060,4,SDN,HUMANITARIAN_PAROLE,0,0,0,166853,48222,109,1,0,0,0,1,0,38.5,60.2,7
2020-07,RA025,1,IRN,SIV,1,1,0,119752,6381,129,1,0,1,0,1,0,96.99,28.0,21
2019-09,RA002,5,ERI,FAMILY_REUN,1,0,1,341745,90907,143,0,1,1,1,1,1,33.95,40.7,20
2020-07,RA030,1,PAK,UNHCR,0,0,1,226280,56615,71,1,1,0,1,1,1,74.01,95.4,19
2019-02,RA040,8,IRN,FAMILY_REUN,0,0,1,131959,68453,0,1,1,0,0,0,0,57.54,80.4,13
2024-01,RA003,2,UKR,HUMANITARIAN_PAROLE,0,0,0,109950,27115,104,0,1,1,0,0,1,95.65,12.4,21
2023-11,RA023,9,LKA,ASYLUM,1,1,0,66280,4353,153,1,0,0,0,1,0,74.45,54.5,28
2024-10,RA029,9,PAK,FAMILY_REUN,1,0,1,89156,76162,171,0,1,0,0,1,0,30.36,93.1,30
2024-11,RA041,3,NPL,TEMP_PROTECTION,0,1,0,21547,69901,132,0,0,1,0,1,0,19.71,3.4,20
2024-10,RA030,6,SOM,HUMANITARIAN_PAROLE,1,0,0,329384,26576,20,1,1,1,0,1,1,85.46,4.3,25
2021-09,RA011,9,UKR,TEMP_PROTECTION,0,0,0,319698,113506,34,1,0,0,1,1,1,91.1,71.7,30
2025-06,RA021,7,SYR,SIV,1,0,0,243987,85038,103,0,1,1,0,0,0,83.11,57.6,30
2024-05,RA027,4,SDN,TEMP_PROTECTION,1,1,1,69600,43701,53,1,1,0,1,0,1,73.74,4.6,19
2021-01,RA024,3,SYR,HUMANITARIAN_PAROLE,1,0,1,51108,91837,123,0,0,0,0,0,1,32.17,99.6,21
2024-10,RA052,2,SOM,UNHCR,1,1,1,272862,124390,177,0,1,0,0,0,1,50.54,58.0,24
2021-04,RA031,1,ERI,TEMP_PROTECTION,1,0,0,243916,83661,107,0,1,0,1,1,0,91.57,49.2,24
2020-06,RA030,1,NPL,ASYLUM,0,1,1,4214,27468,43,0,1,1,0,1,0,13.49,44.8,7
2024-03,RA001,4,SYR,ASYLUM,0,1,0,352741,124854,84,0,0,1,1,1,1,49.49,70.1,25
2023-01,RA001,4,SDN,ASYLUM,1,0,1,379333,39123,3,0,1,1,1,0,0,35.55,45.8,16
2024-06,RA054,9,IRQ,TEMP_PROTECTION,0,0,1,77038,72599,122,0,0,1,1,0,0,67.75,65.9,24
2022-04,RA008,1,SOM,SIV,0,0,0,365575,137075,41,1,1,1,0,1,0,63.41,48.8,4
2024-06,RA048,4,IRQ,ASYLUM,1,1,1,173098,142096,168,1,1,0,1,0,1,56.01,61.1,26
2025-08,RA042,3,UKR,FAMILY_REUN,1,0,0,228745,17173,163,0,0,0,1,1,0,27.96,80.5,2
2019-04,RA034,9,SSD,SIV,1,1,1,112424,137530,23,1,0,0,0,1,0,15.96,81.7,23
2021-10,RA016,5,AFG,HUMANITARIAN_PAROLE,0,1,1,389251,61194,132,1,0,1,1,1,1,78.43,84.9,23
2019-05,RA027,9,PAK,UNHCR,0,1,1,245453,121110,66,0,1,0,1,1,1,99.17,20.3,24
2020-10,RA004,6,BGD,SIV,0,1,1,128899,53621,10,0,0,1,0,0,0,16.91,6.1,17
2020-08,RA019,9,ERI,UNHCR,1,1,1,10007,64213,172,1,1,1,1,1,1,7.58,83.6,9
2022-11,RA029,1,AFG,SIV,1,1,1,240366,105959,95,0,1,0,0,1,0,74.57,4.2,3
2025-05,RA041,4,AFG,HUMANITARIAN_PAROLE,1,1,0,301449,133181,21,1,0,0,1,1,1,34.39,21.3,9
2021-10,RA003,4,NPL,UNHCR,1,0,1,118744,121710,138,0,1,1,0,1,0,21.3,52.6,17
2022-08,RA011,6,SOM,SIV,1,0,1,49349,144437,165,0,1,1,1,1,1,52.51,85.5,28
2019-06,RA008,1,NPL,UNHCR,0,1,0,228472,29145,85,0,1,0,1,0,0,67.52,89.7,12
2023-08,RA039,5,PAK,ASYLUM,0,0,0,290091,77935,131,0,1,1,0,1,0,21.48,62.8,21
2021-05,RA033,3,NPL,ASYLUM,0,0,1,307419,70621,137,1,0,0,1,1,0,99.45,96.7,16
2023-05,RA008,1,ERI,TEMP_PROTECTION,1,1,1,136035,80195,18,0,1,0,1,0,0,32.82,73.0,13
2019-01,RA025,6,UKR,ASYLUM,1,0,0,122656,21274,81,0,1,1,1,1,1,31.5,52.8,25
2023-11,RA024,3,MMR,FAMILY_REUN,0,1,1,47197,140146,155,0,0,0,0,1,0,42.3,13.4,18
2022-12,RA026,4,SOM,ASYLUM,0,1,1,153752,106057,94,1,0,1,0,1,0,74.5,42.9,17
2019-07,RA026,9,IRN,ASYLUM,1,0,1,190988,10987,16,1,1,1,0,1,1,87.33,82.2,22
2021-08,RA017,2,SSD,HUMANITARIAN_PAROLE,0,1,0,221094,128603,23,0,0,0,1,1,1,32.4,28.4,7
2025-06,RA027,1,AFG,UNHCR,1,1,1,359118,62538,128,0,0,0,0,1,0,11.87,57.8,17
2024-01,RA029,6,MMR,UNHCR,0,0,0,152318,127571,4,0,1,1,1,1,1,25.61,98.3,15
2023-09,RA043,1,UKR,ASYLUM,0,0,1,325029,110324,159,0,0,0,0,0,0,8.43,17.4,24
2023-03,RA039,1,SYR,UNHCR,0,1,0,386205,88291,52,1,1,1,0,1,1,63.03,10.1,10
2020-07,RA009,7,NPL,SIV,0,0,0,396557,64082,80,1,1,1,0,1,1,74.07,79.6,16
2021-03,RA014,2,AFG,TEMP_PROTECTION,1,1,1,375601,141299,170,0,1,0,0,1,0,42.93,2.5,17
2024-03,RA005,4,ERI,ASYLUM,1,0,0,269891,7148,85,0,0,0,1,0,0,95.28,64.3,18
2023-12,RA050,4,MMR,TEMP_PROTECTION,1,0,0,207548,30900,102,1,1,0,0,1,0,72.75,33.6,17
2024-01,RA030,2,SSD,ASYLUM,0,0,1,100866,11771,166,0,1,0,1,1,0,37.97,72.4,13
2024-01,RA056,6,ERI,FAMILY_REUN,1,1,0,343276,66461,161,0,1,0,0,1,0,10.22,12.0,16
2022-09,RA057,2,LKA,TEMP_PROTECTION,0,0,0,63409,38989,79,1,0,0,1,0,1,49.37,33.0,7
2020-09,RA055,8,SSD,SIV,1,1,0,161699,32996,4,0,0,1,1,1,1,50.38,1.7,14
2022-08,RA028,4,LKA,ASYLUM,0,1,0,345731,26997,17,1,1,1,0,0,1,55.06,23.5,16
2019-01,RA045,1,NPL,ASYLUM,1,1,1,219306,29488,131,0,1,1,1,0,1,68.24,48.3,20
2022-08,RA037,7,ERI,UNHCR,1,0,1,71949,109752,108,0,0,0,1,1,0,26.44,17.8,10
2024-02,RA008,6,NPL,ASYLUM,0,0,1,346712,22975,90,1,1,0,0,1,1,0.25,60.0,28
2024-01,RA015,6,SYR,TEMP_PROTECTION,1,1,0,333414,37310,69,1,0,0,0,0,1,81.28,11.8,5
2025-07,RA054,3,SOM,TEMP_PROTECTION,0,1,1,303740,64254,138,1,1,1,0,1,1,82.35,74.5,22
2025-07,RA028,7,ERI,ASYLUM,0,0,0,30786,93264,174,1,0,0,1,0,1,91.16,92.2,18
2025-11,RA036,6,UKR,ASYLUM,0,0,1,122887,103197,80,1,1,0,0,1,0,96.9,38.6,15
2023-02,RA033,9,LKA,ASYLUM,1,0,0,83499,25809,30,1,1,0,0,0,0,15.92,52.8,11
2025-03,RA006,3,BGD,FAMILY_REUN,1,0,1,23999,105730,12,0,0,1,1,0,1,35.39,48.9,14
2022-05,RA056,3,NPL,SIV,1,1,0,147590,43995,22,0,0,1,0,1,1,85.14,78.5,10
2021-09,RA051,4,SSD,TEMP_PROTECTION,1,1,0,159479,124189,64,1,0,1,0,0,1,93.4,99.4,30
2019-12,RA012,3,IRN,FAMILY_REUN,1,0,0,326447,57812,29,0,1,0,1,1,1,1.45,73.6,6
2019-02,RA007,4,SOM,UNHCR,0,1,0,291645,59760,158,0,0,0,0,0,0,38.75,21.5,23
2020-09,RA045,6,IRQ,HUMANITARIAN_PAROLE,1,0,1,102424,126675,46,1,0,1,1,0,1,11.34,69.6,9
2020-02,RA028,1,NPL,ASYLUM,1,0,0,297424,104419,143,0,0,1,0,1,0,78.85,61.6,18
2021-10,RA007,2,SYR,TEMP_PROTECTION,1,0,0,291189,17507,170,1,0,1,1,0,1,74.71,21.0,4
2025-07,RA041,6,IRN,UNHCR,0,0,0,24432,34388,130,1,0,0,1,0,0,75.43,24.1,16
2024-04,RA001,6,AFG,TEMP_PROTECTION,0,1,1,288889,62164,11,1,0,0,0,1,1,39.02,65.3,24
2020-11,RA053,1,PAK,HUMANITARIAN_PAROLE,0,1,1,382864,85894,138,1,1,1,0,0,0,40.62,80.8,23
2023-02,RA024,6,ERI,ASYLUM,0,1,1,258606,57095,15,1,0,1,1,0,0,26.19,76.2,18
2020-02,RA045,9,SYR,TEMP_PROTECTION,1,0,0,357976,80469,156,1,0,0,1,0,0,36.09,60.6,3
2025-04,RA019,8,AFG,ASYLUM,0,1,0,238521,99774,116,1,0,1,1,0,1,98.31,93.8,0
2022-10,RA053,5,SDN,HUMANITARIAN_PAROLE,1,0,1,370178,113855,148,1,1,1,0,0,1,4.66,73.1,13
2019-05,RA032,4,SYR,FAMILY_REUN,1,1,0,376794,76189,108,0,0,1,1,1,0,32.4,54.2,16
2024-06,RA030,6,LKA,HUMANITARIAN_PAROLE,1,0,1,321168,115964,57,1,1,1,1,1,0,78.99,81.6,30
2020-10,RA001,5,IRN,HUMANITARIAN_PAROLE,0,1,0,398869,146372,170,0,0,0,0,1,1,38.23,29.0,13
2024-10,RA032,6,AFG,TEMP_PROTECTION,1,0,0,234534,140920,4,1,1,0,0,0,1,95.0,26.3,5
2019-02,RA057,3,IRN,SIV,0,1,1,331769,102945,179,0,0,0,1,1,0,33.21,97.1,21
2021-05,RA020,7,SSD,ASYLUM,0,1,0,287338,7176,140,1,1,1,1,0,1,84.98,95.0,24
2024-01,RA021,8,UKR,TEMP_PROTECTION,0,1,0,384611,73915,80,1,1,1,1,1,0,81.51,88.1,27
2024-11,RA019,5,SOM,ASYLUM,0,1,0,251663,45663,139,0,0,0,0,1,1,0.92,21.4,4
2020-04,RA030,5,LKA,FAMILY_REUN,0,1,1,43748,6788,0,0,1,1,0,0,1,40.3,58.8,2
2024-04,RA050,4,ERI,FAMILY_REUN,0,1,0,121778,6282,7,1,0,0,1,1,0,28.06,53.5,21
2020-02,RA028,5,UKR,SIV,0,1,0,314140,112218,143,1,1,1,0,0,1,47.96,20.3,23
2022-07,RA032,8,IRN,SIV,1,0,0,102605,5375,142,0,1,1,0,0,1,46.28,44.8,27
2025-04,RA030,5,UKR,SIV,0,0,0,131070,18610,18,1,1,1,0,0,1,90.55,46.5,14
2022-07,RA023,9,NPL,FAMILY_REUN,1,0,1,45638,118781,152,0,1,0,0,0,0,18.36,24.1,6
2024-10,RA027,1,PAK,HUMANITARIAN_PAROLE,0,1,1,194216,125194,30,1,0,0,0,1,0,18.22,95.5,10
2023-07,RA037,7,UKR,TEMP_PROTECTION,1,1,1,342427,132412,129,1,0,1,0,0,1,10.81,49.3,9
2025-04,RA059,5,NPL,ASYLUM,1,0,0,27980,73519,120,0,0,1,1,0,0,73.87,52.5,13
2021-07,RA026,4,PAK,ASYLUM,1,1,1,158083,107345,58,1,1,0,1,0,1,91.79,59.9,2
2025-04,RA003,3,SYR,TEMP_PROTECTION,1,0,1,157158,32088,30,1,1,0,0,0,0,36.85,88.7,13
2025-02,RA031,7,SYR,UNHCR,0,1,0,220541,111318,139,1,0,0,1,1,0,6.18,53.3,16
2022-04,RA002,2,UKR,FAMILY_REUN,1,0,0,70498,74063,144,0,0,1,1,0,1,15.6,54.1,3
2021-03,RA058,5,SYR,FAMILY_REUN,0,1,0,174350,90915,28,1,0,0,1,1,1,10.24,24.0,5
2023-04,RA054,2,IRQ,SIV,0,1,1,328537,62294,163,0,1,1,0,1,1,59.23,60.3,19
2019-07,RA010,7,PAK,TEMP_PROTECTION,0,1,0,261549,46661,103,0,1,0,0,0,0,28.23,38.1,4
2022-10,RA038,6,ERI,UNHCR,1,1,1,65158,74090,62,0,0,1,1,1,1,89.74,64.7,9
2021-09,RA019,7,PAK,UNHCR,0,1,0,93841,149477,14,0,0,0,1,0,1,16.23,30.1,6
2019-08,RA031,9,LKA,FAMILY_REUN,1,1,1,379224,46185,29,1,0,0,1,0,1,93.02,71.6,14
2019-05,RA029,2,LKA,SIV,0,0,0,126948,68105,178,0,1,0,1,0,0,33.27,61.9,20
2024-01,RA025,9,SOM,ASYLUM,1,0,0,63636,89301,10,0,1,0,1,1,0,86.73,47.4,20
2024-12,RA032,7,SOM,SIV,0,0,1,105075,93142,12,1,0,0,1,0,0,94.9,9.7,17
2023-12,RA017,2,ERI,ASYLUM,1,1,0,236935,11578,54,1,0,0,0,1,1,98.64,62.7,0
2020-12,RA051,2,SOM,FAMILY_REUN,1,0,1,184506,104358,62,0,1,0,1,0,1,80.36,85.9,3
2019-07,RA045,4,LKA,SIV,0,1,0,147475,30202,129,0,0,1,0,0,0,10.17,17.1,10
2024-01,RA049,2,UKR,UNHCR,0,0,1,185681,79963,6,1,0,1,1,0,1,5.54,8.5,9
2025-11,RA023,1,ERI,TEMP_PROTECTION,1,0,1,2420,24381,170,1,0,1,1,1,0,73.97,4.0,12
2021-12,RA018,6,ERI,HUMANITARIAN_PAROLE,1,0,0,142290,84005,158,1,1,0,1,0,0,89.7,3.2,23
2021-03,RA011,5,LKA,UNHCR,1,1,0,213058,128730,149,0,0,1,0,1,0,16.61,84.2,30
2021-05,RA059,3,AFG,TEMP_PROTECTION,1,1,0,265277,39615,27,0,1,1,0,0,0,94.11,72.8,18
2020-08,RA060,1,IRN,ASYLUM,1,0,1,323045,5802,24,0,0,1,1,1,0,61.02,20.2,21
2024-10,RA052,9,SSD,FAMILY_REUN,1,1,1,99089,103533,159,1,1,0,0,0,1,12.4,91.7,9
2025-04,RA020,8,NPL,SIV,0,0,1,65370,114831,175,0,1,0,0,0,1,16.7,13.5,29
2025-04,RA013,6,SSD,FAMILY_REUN,0,1,1,302647,11841,79,0,0,0,0,1,0,6.6,37.4,17
2019-03,RA024,6,AFG,FAMILY_REUN,1,0,1,124309,101572,23,1,1,0,1,0,1,14.32,45.2,8
2022-03,RA043,4,SYR,ASYLUM,0,1,1,343815,64660,80,0,1,0,1,0,0,73.21,7.6,29
2025-11,RA020,2,NPL,FAMILY_REUN,1,0,1,50570,112187,124,1,0,1,1,0,1,21.88,34.7,8
2022-09,RA051,4,SYR,SIV,0,1,0,200298,100489,169,1,0,1,0,1,0,56.17,10.2,19
2024-08,RA042,2,NPL,UNHCR,1,1,1,99851,18921,69,1,1,0,0,1,1,72.11,79.0,27
2021-07,RA028,7,BGD,FAMILY_REUN,1,0,0,307375,137817,77,1,0,1,1,1,0,89.53,4.7,26
2022-02,RA035,9,SDN,SIV,0,1,1,344422,31443,89,0,0,1,1,1,0,58.99,1.7,11
2019-06,RA021,2,SYR,SIV,0,1,1,310078,15016,123,0,0,1,0,0,0,56.97,73.2,23
2019-08,RA006,9,NPL,ASYLUM,0,1,1,263706,78755,91,1,0,1,1,0,0,91.28,78.1,13
2021-04,RA007,9,SYR,FAMILY_REUN,1,1,0,200994,113264,110,0,0,0,1,1,0,29.49,49.6,29
2020-03,RA029,8,AFG,ASYLUM,0,1,1,280705,29012,163,0,0,0,1,0,1,20.37,31.8,1
2019-08,RA053,1,SSD,UNHCR,1,1,1,184034,87617,158,1,0,1,1,1,0,87.28,23.6,9
2023-06,RA023,5,MMR,UNHCR,0,1,1,213639,149621,127,0,1,0,0,0,1,7.45,11.7,17
2019-06,RA052,4,NPL,TEMP_PROTECTION,0,1,0,252435,100064,154,1,0,1,1,1,0,18.97,48.4,5
2021-05,RA005,7,SOM,SIV,0,1,0,131335,77974,172,0,0,0,1,1,0,41.13,49.1,1
2021-10,RA022,8,LKA,FAMILY_REUN,1,0,1,220094,21251,43,0,0,1,0,1,1,36.13,45.6,16
2019-07,RA009,8,IRQ,TEMP_PROTECTION,1,1,1,122691,37860,56,1,0,0,0,0,0,70.61,77.8,25
2022-04,RA032,2,IRQ,SIV,0,1,1,233118,137652,20,1,0,1,1,1,0,9.18,10.0,17
2025-02,RA054,3,NPL,FAMILY_REUN,1,0,0,6646,48201,54,1,0,0,1,1,0,47.72,67.0,17
2020-01,RA010,7,PAK,ASYLUM,1,1,1,97439,77919,108,0,1,1,0,0,0,80.86,40.2,20
2024-02,RA046,4,IRQ,UNHCR,0,1,1,76684,94499,142,0,0,1,1,0,0,68.33,24.1,13
2024-05,RA043,6,PAK,TEMP_PROTECTION,0,1,1,114517,146608,161,0,1,1,0,0,0,63.16,68.2,21
2022-05,RA049,8,SOM,TEMP_PROTECTION,0,1,0,353817,69936,103,1,1,1,1,1,1,23.94,19.8,10
2022-06,RA028,8,SOM,UNHCR,0,0,1,157084,51922,130,0,1,1,1,0,0,39.36,23.1,29
2024-06,RA011,7,AFG,ASYLUM,1,1,1,178650,25344,128,1,1,0,1,1,1,18.07,99.9,30
2019-11,RA007,2,PAK,HUMANITARIAN_PAROLE,0,1,0,211831,123865,23,1,0,0,1,0,0,50.89,88.9,18
2023-02,RA030,2,PAK,HUMANITARIAN_PAROLE,1,0,1,342033,113581,170,1,0,1,1,1,0,58.42,69.7,15
2024-11,RA043,3,SYR,HUMANITARIAN_PAROLE,0,0,1,52292,24780,26,0,0,1,1,1,1,63.12,31.6,7
2021-11,RA045,4,NPL,FAMILY_REUN,0,0,1,25483,58210,136,1,1,0,0,1,1,87.6,53.7,17
2025-08,RA059,1,SSD,TEMP_PROTECTION,0,1,0,163969,661,87,0,0,1,0,0,0,6.18,12.7,29
2025-07,RA051,5,ERI,ASYLUM,0,0,0,151174,66214,144,1,1,0,1,1,1,38.83,33.4,25
2020-08,RA038,7,ERI,FAMILY_REUN,0,1,1,213806,57146,91,1,1,1,0,1,0,59.1,6.8,2
2021-04,RA034,5,PAK,FAMILY_REUN,0,0,0,356218,52452,38,0,0,0,0,1,0,57.01,61.0,3
2022-01,RA046,7,SDN,ASYLUM,1,0,1,333529,44505,54,1,1,1,0,0,0,2.17,85.7,20
2019-03,RA028,5,AFG,FAMILY_REUN,1,1,1,93493,116953,124,0,0,1,1,0,1,18.93,81.0,4
2023-11,RA032,8,SYR,TEMP_PROTECTION,1,0,0,382438,102594,44,1,1,1,0,0,1,84.57,85.6,21
2025-01,RA016,7,IRN,ASYLUM,1,1,0,275951,5647,155,0,1,1,0,1,1,51.54,17.5,3
2021-03,RA039,1,AFG,HUMANITARIAN_PAROLE,1,0,0,75765,145136,100,1,0,1,0,1,1,41.36,65.0,25
2021-08,RA001,1,SSD,HUMANITARIAN_PAROLE,1,0,1,251065,57083,156,1,1,1,1,0,0,90.02,95.7,26
2022-12,RA034,5,SSD,FAMILY_REUN,1,1,1,200096,105010,28,1,0,0,1,1,1,7.5,78.3,6
2022-10,RA041,2,UKR,UNHCR,0,1,1,46062,28979,68,0,0,1,0,0,1,92.23,0.3,28
2022-11,RA057,9,SSD,ASYLUM,1,0,1,287426,33288,10,1,0,0,1,0,1,2.78,88.2,27
