mig_permits_reference_year,mig_permits_host_country_iso2,mig_permits_nuts_code,mig_permits_applicant_citizenship_iso2,mig_permits_permit_type_code,mig_permits_permit_reason_code,mig_permits_duration_months,mig_permits_first_permit_flag,mig_permits_renewal_flag,mig_permits_blue_card_flag,mig_permits_family_reunification_flag,mig_permits_student_permit_flag,mig_permits_seasonal_worker_flag,mig_permits_biometrics_collected_flag,mig_permits_processing_time_days_median,mig_permits_decision_outcome_code,mig_permits_appeal_lodged_flag,mig_permits_residence_permit_count,mig_permits_eurostat_table_code,mig_permits_data_extract_date
2014,BE,LV894,LV,D_VISA,WORK,36,1,0,0,1,0,0,1,156,PARTIALLY_GRANTED,0,103,migr_reslt,2025-04-19
2015,DK,DE965,SE,D_VISA,OTHER,1,1,0,0,0,0,0,1,171,REFUSED,1,112,migr_asyappctza,2024-10-01
2016,GR,FI3,IN,D_VISA,RESEARCH,9,1,0,0,0,0,0,1,152,PENDING,0,130,migr_resfirst,2025-09-17
2017,LT,HR98,NO,D_VISA,INVESTOR,36,0,1,0,1,0,0,1,164,GRANTED,0,107,migr_resvalid,2025-08-22
2018,PT,SK28,BE,D_VISA,PROTECTION,1,1,0,0,0,0,0,1,170,WITHDRAWN,0,123,migr_resbc,2025-04-02
2019,SE,RO296,HU,D_VISA,FAMILY,9,1,1,0,0,0,0,1,174,PARTIALLY_GRANTED,0,130,migr_reslt,2024-04-14
2020,CY,GR5,SK,D_VISA,STUDY,36,1,0,0,0,1,0,1,162,REFUSED,0,112,migr_asyappctza,2024-08-16
2021,FR,CY11,GB,D_VISA,WORK,1,0,0,0,0,0,0,1,152,PENDING,0,125,migr_resfirst,2025-02-11
2022,IT,ES586,ME,D_VISA,OTHER,9,1,0,0,0,0,0,1,176,GRANTED,0,128,migr_resvalid,2025-05-22
2023,NL,LT7,US,D_VISA,RESEARCH,36,1,0,0,0,0,0,1,164,WITHDRAWN,0,128,migr_resbc,2025-07-03
2024,SI,IE7,FR,D_VISA,INVESTOR,1,1,0,0,0,0,0,1,168,PARTIALLY_GRANTED,0,136,migr_reslt,2025-02-09
2025,BG,CZ99,PL,D_VISA,PROTECTION,9,0,1,0,0,0,0,1,157,REFUSED,0,139,migr_asyappctza,2024-09-30
2026,EE,SE5,CN,D_VISA,FAMILY,36,1,0,0,1,0,0,1,162,PENDING,0,130,migr_resfirst,2026-01-10
2010,HU,IE258,KE,D_VISA,STUDY,1,1,0,0,0,0,0,0,172,GRANTED,0,116,migr_resvalid,2025-07-02
2011,LU,AT35,TN,D_VISA,WORK,9,1,0,0,0,0,0,1,178,WITHDRAWN,0,114,migr_resbc,2025-03-16
2012,RO,BE945,DK,D_VISA,OTHER,36,0,1,0,0,0,0,1,184,PARTIALLY_GRANTED,0,136,migr_reslt,2024-03-26
2013,AT,AT96,LU,D_VISA,RESEARCH,1,1,0,0,0,0,0,1,168,REFUSED,0,131,migr_asyappctza,2024-07-11
2014,CZ,FI19,BA,D_VISA,INVESTOR,9,1,0,0,0,0,0,1,181,PENDING,0,129,migr_resfirst,2025-12-14
2015,DE,GR48,IR,D_VISA,PROTECTION,36,1,0,0,1,0,0,1,187,GRANTED,0,129,migr_resvalid,2025-12-10
2016,LV,CZ78,RS,D_VISA,FAMILY,1,0,1,0,0,0,0,1,167,WITHDRAWN,0,122,migr_resbc,2025-06-15
2017,PL,CY244,HR,D_VISA,STUDY,9,1,0,0,0,0,0,1,162,PARTIALLY_GRANTED,0,130,migr_reslt,2025-03-08
2018,ES,SI2,IT,D_VISA,WORK,36,1,0,0,0,0,0,1,181,REFUSED,1,129,migr_asyappctza,2026-01-11
2019,HR,CZ937,ES,D_VISA,OTHER,1,1,0,0,0,0,0,1,187,PENDING,0,120,migr_resfirst,2025-10-19
2020,FI,LV288,GH,D_VISA,RESEARCH,9,0,1,0,0,0,0,1,169,GRANTED,0,145,migr_resvalid,2024-12-26
2021,IE,LU656,NG,D_VISA,INVESTOR,36,1,0,0,0,0,0,1,188,WITHDRAWN,0,138,migr_resbc,2025-08-18
2022,MT,GR276,AT,D_VISA,PROTECTION,1,1,0,0,0,0,0,1,194,PARTIALLY_GRANTED,0,138,migr_reslt,2024-05-14
2023,SK,PL889,GR,D_VISA,FAMILY,9,1,0,0,1,0,0,1,171,REFUSED,0,147,migr_asyappctza,2025-01-10
2024,BE,LV2,RO,D_VISA,STUDY,36,0,1,0,0,1,0,1,186,PENDING,0,142,migr_resfirst,2025-11-26
2025,DK,HU897,EG,D_VISA,WORK,1,1,0,0,0,0,1,1,186,GRANTED,0,127,migr_resvalid,2024-10-02
2026,GR,IT2,MD,D_VISA,OTHER,9,1,0,0,0,0,0,1,173,WITHDRAWN,0,152,migr_resbc,2024-10-10
2010,LT,BG376,UA,D_VISA,RESEARCH,36,1,0,0,0,0,0,1,186,PARTIALLY_GRANTED,0,141,migr_reslt,2025-11-19
2011,PT,SE137,FI,D_VISA,INVESTOR,1,0,1,0,0,0,0,1,177,REFUSED,0,142,migr_asyappctza,2025-12-19
2012,SE,BE7,NL,D_VISA,PROTECTION,9,1,0,0,0,0,0,1,174,PENDING,0,135,migr_resfirst,2025-03-15
2013,CY,DE619,CH,D_VISA,FAMILY,36,1,0,0,1,0,0,1,175,GRANTED,0,149,migr_resvalid,2024-01-06
2014,FR,CY9,JP,D_VISA,STUDY,1,1,1,0,0,1,0,1,186,WITHDRAWN,0,160,migr_resbc,2024-10-12
2015,IT,SK774,SY,D_VISA,WORK,9,0,1,0,0,0,0,1,187,PARTIALLY_GRANTED,0,136,migr_reslt,2024-10-05
2016,NL,PT376,CZ,D_VISA,OTHER,36,1,0,0,0,0,0,1,193,REFUSED,0,160,migr_asyappctza,2025-03-26
2017,SI,CZ77,LT,D_VISA,RESEARCH,1,1,0,0,0,0,0,1,193,PENDING,0,138,migr_resfirst,2025-12-02
2018,BG,PL21,AL,D_VISA,INVESTOR,9,1,0,0,0,0,0,1,181,GRANTED,0,156,migr_resvalid,2024-11-26
2019,EE,HR30,IQ,D_VISA,PROTECTION,36,0,0,0,0,0,0,1,204,WITHDRAWN,0,144,migr_resbc,2025-08-23
2020,HU,SE544,PK,D_VISA,FAMILY,1,1,0,0,1,0,0,1,210,PARTIALLY_GRANTED,0,159,migr_reslt,2025-08-31
2021,LU,GR80,BG,D_VISA,STUDY,9,1,0,0,0,1,0,1,185,REFUSED,1,143,migr_asyappctza,2024-10-18
2022,RO,IE2,IE,D_VISA,WORK,36,1,1,0,0,0,0,1,185,PENDING,0,162,migr_resfirst,2025-11-01
2023,AT,SK99,SI,D_VISA,OTHER,1,0,1,0,0,0,0,1,10,GRANTED,0,148,migr_resvalid,2024-03-12
2024,CZ,RO8,GE,D_VISA,RESEARCH,9,1,0,0,0,0,0,1,21,WITHDRAWN,0,164,migr_resbc,2025-03-20
2025,DE,DK24,MK,D_VISA,INVESTOR,36,1,0,0,0,0,0,1,32,PARTIALLY_GRANTED,0,147,migr_reslt,2024-11-19
2026,LV,BE653,VN,D_VISA,PROTECTION,1,1,0,0,0,0,0,1,13,REFUSED,1,166,migr_asyappctza,2024-10-07
2010,PL,BE975,DE,D_VISA,FAMILY,9,0,1,0,1,0,0,1,22,PENDING,0,157,migr_resfirst,2024-09-12
2011,ES,IT4,PT,D_VISA,STUDY,36,1,0,0,0,1,0,1,30,GRANTED,0,156,migr_resvalid,2025-07-06
2012,HR,CZ574,DZ,D_VISA,WORK,1,1,0,0,0,0,0,0,11,WITHDRAWN,0,174,migr_resbc,2025-08-15
2013,FI,SI373,MA,D_VISA,OTHER,9,1,0,0,1,0,0,1,25,PARTIALLY_GRANTED,0,149,migr_reslt,2024-08-06
2014,IE,BG81,TR,D_VISA,RESEARCH,36,0,0,0,0,0,0,1,35,REFUSED,1,157,migr_asyappctza,2025-08-26
2015,MT,AT775,EE,D_VISA,INVESTOR,1,1,1,0,0,0,0,1,22,PENDING,0,157,migr_resfirst,2024-01-15
2016,SK,ES1,MT,D_VISA,PROTECTION,9,1,0,0,0,0,0,1,18,GRANTED,0,178,migr_resvalid,2025-01-22
2017,BE,HR90,BY,D_VISA,FAMILY,36,1,0,0,0,0,0,1,21,WITHDRAWN,0,165,migr_resbc,2024-12-30
2018,DK,HU795,IS,D_VISA,STUDY,1,0,1,0,0,1,0,1,21,PARTIALLY_GRANTED,0,170,migr_reslt,2024-08-20
2019,GR,HU1,RU,D_VISA,WORK,9,1,1,1,0,0,0,1,37,REFUSED,0,162,migr_asyappctza,2024-02-12
2020,LT,CZ9,CY,D_VISA,OTHER,36,1,0,0,0,0,0,1,24,PENDING,0,165,migr_resfirst,2025-11-14
2021,PT,NL844,LV,D_VISA,RESEARCH,1,1,0,0,0,0,0,1,33,GRANTED,0,163,migr_resvalid,2025-08-25
2022,SE,AT744,SE,D_VISA,INVESTOR,9,0,1,0,0,0,0,1,37,WITHDRAWN,0,185,migr_resbc,2025-09-15
2023,CY,MT976,IN,D_VISA,PROTECTION,36,1,0,0,0,0,0,0,27,PARTIALLY_GRANTED,0,169,migr_reslt,2025-06-03
2024,FR,CZ416,NO,D_VISA,FAMILY,1,1,1,0,1,0,0,1,26,REFUSED,1,176,migr_asyappctza,2024-01-10
2025,IT,CZ571,BE,D_VISA,STUDY,9,1,0,0,0,1,0,0,47,PENDING,0,187,migr_resfirst,2024-05-07
2026,NL,GR560,HU,D_VISA,WORK,36,0,1,0,0,0,0,1,47,GRANTED,0,167,migr_resvalid,2025-08-18
2010,SI,MT644,SK,D_VISA,OTHER,1,1,0,0,0,0,0,1,28,WITHDRAWN,0,177,migr_resbc,2024-03-09
2011,BG,LV436,GB,D_VISA,RESEARCH,9,1,0,0,1,0,0,1,36,PARTIALLY_GRANTED,0,193,migr_reslt,2024-09-07
2012,EE,AT661,ME,D_VISA,INVESTOR,36,1,0,0,0,0,0,1,53,REFUSED,1,182,migr_asyappctza,2025-12-05
2013,HU,PL280,US,D_VISA,PROTECTION,1,0,1,0,0,0,0,1,41,PENDING,0,169,migr_resfirst,2025-08-11
2014,LU,RO76,FR,D_VISA,FAMILY,9,1,0,0,1,0,0,1,42,GRANTED,0,171,migr_resvalid,2025-09-21
2015,RO,NL95,PL,D_VISA,STUDY,36,1,0,0,0,1,0,1,39,WITHDRAWN,0,167,migr_resbc,2024-09-05
2016,AT,CY2,CN,D_VISA,WORK,1,1,1,1,0,0,0,1,48,PARTIALLY_GRANTED,0,188,migr_reslt,2025-09-21
2017,CZ,DE478,KE,D_VISA,OTHER,9,0,1,0,0,0,0,1,36,REFUSED,0,187,migr_asyappctza,2024-05-09
2018,DE,LT5,TN,D_VISA,RESEARCH,36,1,0,0,0,0,0,1,41,PENDING,0,186,migr_resfirst,2024-02-09
2019,LV,SE683,DK,D_VISA,INVESTOR,1,1,0,0,0,0,0,1,52,GRANTED,0,180,migr_resvalid,2024-11-05
2020,PL,HU649,LU,D_VISA,PROTECTION,9,1,0,0,0,0,0,1,55,WITHDRAWN,0,184,migr_resbc,2025-04-14
2021,ES,NL270,BA,D_VISA,FAMILY,36,0,1,0,1,0,0,1,50,PARTIALLY_GRANTED,0,195,migr_reslt,2025-07-15
2022,HR,LU37,IR,D_VISA,STUDY,1,1,0,0,0,1,0,1,60,REFUSED,0,192,migr_asyappctza,2024-12-16
2023,FI,HU676,RS,D_VISA,WORK,9,1,0,0,0,0,1,1,52,PENDING,0,190,migr_resfirst,2024-10-24
2024,IE,IT476,HR,D_VISA,OTHER,36,1,0,0,0,0,0,1,49,GRANTED,0,177,migr_resvalid,2025-07-11
2025,MT,HR92,IT,D_VISA,RESEARCH,1,0,1,0,0,0,0,1,56,WITHDRAWN,0,192,migr_resbc,2025-11-11
2026,SK,HR57,ES,D_VISA,INVESTOR,9,1,0,0,0,0,0,1,68,PARTIALLY_GRANTED,0,207,migr_reslt,2024-11-20
2010,BE,SE479,GH,D_VISA,PROTECTION,36,1,0,0,0,0,0,0,66,REFUSED,0,208,migr_asyappctza,2025-08-19
2011,DK,FR18,NG,D_VISA,FAMILY,1,1,0,0,1,0,0,1,58,PENDING,0,192,migr_resfirst,2024-05-20
2012,GR,AT535,AT,D_VISA,STUDY,9,0,1,0,0,1,0,1,68,GRANTED,0,196,migr_resvalid,2025-07-23
2013,LT,FR978,GR,D_VISA,WORK,36,1,0,0,0,0,0,1,50,WITHDRAWN,0,183,migr_resbc,2024-02-23
2014,PT,IT10,RO,D_VISA,OTHER,1,1,0,0,0,0,0,1,54,PARTIALLY_GRANTED,0,203,migr_reslt,2024-09-30
2015,SE,GR349,EG,D_VISA,RESEARCH,9,1,0,0,0,0,0,1,78,REFUSED,0,211,migr_asyappctza,2024-06-08
2016,CY,CZ5,MD,D_VISA,INVESTOR,36,0,1,0,0,0,0,1,54,PENDING,0,206,migr_resfirst,2025-05-10
2017,FR,HR667,UA,D_VISA,PROTECTION,1,1,0,0,0,0,0,1,57,GRANTED,0,210,migr_resvalid,2025-03-04
2018,IT,AT28,FI,D_VISA,FAMILY,9,1,0,0,1,0,0,1,55,WITHDRAWN,0,209,migr_resbc,2024-09-04
2019,NL,IT40,NL,D_VISA,STUDY,36,1,0,0,0,1,0,1,61,PARTIALLY_GRANTED,0,198,migr_reslt,2025-11-17
2020,SI,HR795,CH,D_VISA,WORK,1,0,1,0,0,0,1,0,72,REFUSED,0,205,migr_asyappctza,2025-04-18
2021,BG,BE403,JP,D_VISA,OTHER,9,1,0,0,0,0,0,1,83,PENDING,0,194,migr_resfirst,2024-09-01
2022,EE,CY185,SY,D_VISA,RESEARCH,36,1,1,0,0,0,0,1,56,GRANTED,0,211,migr_resvalid,2024-10-26
2023,HU,PL63,CZ,D_VISA,INVESTOR,1,1,0,0,0,0,0,1,63,WITHDRAWN,0,206,migr_resbc,2024-04-27
2024,LU,NL9,LT,D_VISA,PROTECTION,9,0,0,0,0,0,0,1,64,PARTIALLY_GRANTED,0,200,migr_reslt,2025-08-15
2025,RO,SK696,AL,D_VISA,FAMILY,36,1,0,0,0,0,0,1,66,REFUSED,0,224,migr_asyappctza,2024-07-07
2026,AT,SI4,IQ,D_VISA,STUDY,1,1,0,0,0,1,0,1,79,PENDING,0,198,migr_resfirst,2024-08-06
2010,CZ,IT24,PK,D_VISA,WORK,9,1,0,0,0,0,0,1,88,GRANTED,0,196,migr_resvalid,2024-11-16
2011,DE,DE51,BG,D_VISA,OTHER,36,0,1,0,0,0,0,1,80,WITHDRAWN,0,205,migr_resbc,2024-06-15
2012,LV,LV894,IE,D_VISA,RESEARCH,1,1,0,0,0,0,0,1,65,PARTIALLY_GRANTED,0,203,migr_reslt,2024-08-06
2013,PL,DE965,SI,D_VISA,INVESTOR,9,1,0,0,0,0,0,1,73,REFUSED,0,211,migr_asyappctza,2026-01-19
2014,ES,FI3,GE,D_VISA,PROTECTION,36,1,0,0,0,0,0,1,75,PENDING,0,202,migr_resfirst,2024-02-20
2015,HR,HR98,MK,D_VISA,FAMILY,1,0,1,0,1,0,0,1,85,GRANTED,0,23,migr_resvalid,2024-12-14
2016,FI,SK28,VN,D_VISA,STUDY,9,1,1,0,0,0,0,1,67,WITHDRAWN,0,27,migr_resbc,2025-12-02
2017,IE,RO296,DE,D_VISA,WORK,36,1,0,0,0,0,0,1,90,PARTIALLY_GRANTED,0,22,migr_reslt,2026-01-18
2018,MT,GR5,PT,D_VISA,OTHER,1,1,0,0,0,0,0,1,89,REFUSED,0,11,migr_asyappctza,2024-11-11
2019,SK,CY11,DZ,D_VISA,RESEARCH,9,0,1,0,1,0,0,1,88,PENDING,0,33,migr_resfirst,2024-04-05
2020,BE,ES586,MA,D_VISA,INVESTOR,36,1,0,0,0,0,0,1,92,GRANTED,0,24,migr_resvalid,2025-10-16
2021,DK,LT7,TR,D_VISA,PROTECTION,1,1,0,0,0,0,0,1,90,WITHDRAWN,0,25,migr_resbc,2024-08-12
2022,GR,IE7,EE,D_VISA,FAMILY,9,1,1,0,1,0,0,1,96,PARTIALLY_GRANTED,0,31,migr_reslt,2024-03-16
2023,LT,CZ99,MT,D_VISA,STUDY,36,0,1,0,0,1,0,1,82,REFUSED,0,35,migr_asyappctza,2025-07-29
2024,PT,SE5,BY,D_VISA,WORK,1,1,0,0,0,0,1,1,79,PENDING,0,35,migr_resfirst,2024-06-12
2025,SE,IE258,IS,D_VISA,OTHER,9,1,0,0,0,0,0,1,93,GRANTED,0,13,migr_resvalid,2024-04-14
2026,CY,AT35,RU,D_VISA,RESEARCH,36,1,0,0,0,0,0,1,98,WITHDRAWN,0,21,migr_resbc,2025-12-22
2010,FR,BE945,CY,D_VISA,INVESTOR,1,0,0,0,0,0,0,1,100,PARTIALLY_GRANTED,0,38,migr_reslt,2025-03-30
2011,IT,AT96,LV,D_VISA,PROTECTION,9,1,1,0,0,0,0,1,100,REFUSED,0,40,migr_asyappctza,2026-02-22
2012,NL,FI19,SE,D_VISA,FAMILY,36,1,0,0,1,0,0,1,93,PENDING,0,20,migr_resfirst,2024-10-25
2013,SI,GR48,IN,D_VISA,STUDY,1,1,0,0,1,0,0,1,93,GRANTED,0,34,migr_resvalid,2025-10-13
2014,BG,CZ78,NO,D_VISA,WORK,9,0,0,0,0,0,0,1,83,WITHDRAWN,0,31,migr_resbc,2024-12-18
2015,EE,CY244,BE,D_VISA,OTHER,36,1,0,0,0,0,0,1,105,PARTIALLY_GRANTED,0,43,migr_reslt,2024-12-02
2016,HU,SI2,HU,D_VISA,RESEARCH,1,1,0,0,0,0,0,1,86,REFUSED,0,24,migr_asyappctza,2024-08-24
2017,LU,CZ937,SK,D_VISA,INVESTOR,9,1,0,0,0,0,0,1,108,PENDING,0,49,migr_resfirst,2025-09-16
2018,RO,LV288,GB,D_VISA,PROTECTION,36,0,1,0,0,0,0,1,115,GRANTED,0,25,migr_resvalid,2024-07-02
2019,AT,LU656,ME,D_VISA,FAMILY,1,1,0,0,1,0,0,1,91,WITHDRAWN,0,45,migr_resbc,2024-01-01
2020,CZ,GR276,US,D_VISA,STUDY,9,1,0,0,0,1,0,1,115,PARTIALLY_GRANTED,0,31,migr_reslt,2025-05-03
2021,DE,PL889,FR,D_VISA,WORK,36,1,0,0,0,0,0,0,103,REFUSED,0,25,migr_asyappctza,2024-08-20
2022,LV,LV2,PL,D_VISA,OTHER,1,0,1,0,0,0,0,1,92,PENDING,0,48,migr_resfirst,2025-11-28
2023,PL,HU897,CN,D_VISA,RESEARCH,9,1,0,0,0,0,0,1,116,GRANTED,0,49,migr_resvalid,2025-12-30
2024,ES,IT2,KE,D_VISA,INVESTOR,36,1,0,0,0,0,0,0,94,WITHDRAWN,0,56,migr_resbc,2025-03-02
2025,HR,BG376,TN,D_VISA,PROTECTION,1,1,1,0,1,0,0,1,97,PARTIALLY_GRANTED,0,31,migr_reslt,2024-05-04
2026,FI,SE137,DK,D_VISA,FAMILY,9,0,0,0,1,0,0,1,117,REFUSED,0,37,migr_asyappctza,2024-01-28
2010,IE,BE7,LU,D_VISA,STUDY,36,1,0,0,0,1,0,1,116,PENDING,0,46,migr_resfirst,2025-06-06
2011,MT,DE619,BA,D_VISA,WORK,1,1,1,0,0,0,1,1,109,GRANTED,0,50,migr_resvalid,2024-01-24
2012,SK,CY9,IR,D_VISA,OTHER,9,1,1,0,0,0,0,1,115,WITHDRAWN,0,33,migr_resbc,2024-12-23
2013,BE,SK774,RS,D_VISA,RESEARCH,36,0,1,0,0,0,0,1,110,PARTIALLY_GRANTED,0,54,migr_reslt,2024-03-22
2014,DK,PT376,HR,D_VISA,INVESTOR,1,1,0,0,0,0,0,1,98,REFUSED,0,54,migr_asyappctza,2024-07-26
2015,GR,CZ77,IT,D_VISA,PROTECTION,9,1,0,0,0,0,0,1,107,PENDING,0,63,migr_resfirst,2024-06-08
2016,LT,PL21,ES,D_VISA,FAMILY,36,1,0,0,1,0,0,1,113,GRANTED,0,63,migr_resvalid,2024-11-21
2017,PT,HR30,GH,D_VISA,STUDY,1,0,1,0,0,0,0,1,116,WITHDRAWN,0,47,migr_resbc,2025-07-13
2018,SE,SE544,NG,D_VISA,WORK,9,1,1,0,0,0,0,1,113,PARTIALLY_GRANTED,0,39,migr_reslt,2024-10-09
2019,CY,GR80,AT,D_VISA,OTHER,36,1,0,0,0,0,0,1,104,REFUSED,0,68,migr_asyappctza,2024-05-12
2020,FR,IE2,GR,D_VISA,RESEARCH,1,1,0,0,0,0,0,1,120,PENDING,0,59,migr_resfirst,2024-01-21
2021,IT,SK99,RO,D_VISA,INVESTOR,9,0,0,0,0,0,0,1,116,GRANTED,0,64,migr_resvalid,2024-06-10
2022,NL,RO8,EG,D_VISA,PROTECTION,36,1,0,0,0,0,0,1,123,WITHDRAWN,0,52,migr_resbc,2024-03-26
2023,SI,DK24,MD,D_VISA,FAMILY,1,1,0,0,1,0,0,0,109,PARTIALLY_GRANTED,0,72,migr_reslt,2024-06-24
2024,BG,BE653,UA,D_VISA,STUDY,9,1,0,0,0,1,0,1,128,REFUSED,0,65,migr_asyappctza,2024-09-18
2025,EE,BE975,FI,D_VISA,WORK,36,0,1,0,1,0,0,1,122,PENDING,0,60,migr_resfirst,2026-01-03
2026,HU,IT4,NL,D_VISA,OTHER,1,1,0,0,0,0,0,1,132,GRANTED,0,56,migr_resvalid,2024-09-02
2010,LU,CZ574,CH,D_VISA,RESEARCH,9,1,0,0,1,0,0,1,137,WITHDRAWN,0,65,migr_resbc,2025-07-14
2011,RO,SI373,JP,D_VISA,INVESTOR,36,1,0,0,0,0,0,1,115,PARTIALLY_GRANTED,0,53,migr_reslt,2024-12-03
2012,AT,BG81,SY,D_VISA,PROTECTION,1,0,0,0,0,0,0,0,126,REFUSED,1,66,migr_asyappctza,2024-03-27
2013,CZ,AT775,CZ,D_VISA,FAMILY,9,1,0,0,1,0,0,1,118,PENDING,0,72,migr_resfirst,2024-07-07
2014,DE,ES1,LT,D_VISA,STUDY,36,1,0,0,0,1,0,1,137,GRANTED,0,55,migr_resvalid,2026-01-05
2015,LV,HR90,AL,D_VISA,WORK,1,1,0,0,0,0,1,1,120,WITHDRAWN,0,70,migr_resbc,2026-01-01
2016,PL,HU795,IQ,D_VISA,OTHER,9,0,1,0,1,0,0,1,136,PARTIALLY_GRANTED,0,54,migr_reslt,2024-08-27
2017,ES,HU1,PK,D_VISA,RESEARCH,36,1,0,0,0,0,0,1,148,REFUSED,0,77,migr_asyappctza,2024-10-30
2018,HR,CZ9,BG,D_VISA,INVESTOR,1,1,0,0,0,0,0,1,124,PENDING,0,80,migr_resfirst,2024-09-23
2019,FI,NL844,IE,D_VISA,PROTECTION,9,1,0,0,0,0,0,1,128,GRANTED,0,68,migr_resvalid,2025-12-03
2020,IE,AT744,SI,D_VISA,FAMILY,36,0,1,0,1,0,0,0,140,WITHDRAWN,0,67,migr_resbc,2025-04-13
2021,MT,MT976,GE,D_VISA,STUDY,1,1,0,0,0,1,0,1,149,PARTIALLY_GRANTED,0,61,migr_reslt,2025-08-05
2022,SK,CZ416,MK,D_VISA,WORK,9,1,0,0,0,0,0,1,142,REFUSED,0,80,migr_asyappctza,2024-03-16
2023,BE,CZ571,VN,D_VISA,OTHER,36,1,0,0,0,0,0,1,143,PENDING,0,81,migr_resfirst,2024-12-15
2024,DK,GR560,DE,D_VISA,RESEARCH,1,0,1,0,0,0,0,0,127,GRANTED,0,62,migr_resvalid,2025-04-11
2025,GR,MT644,PT,D_VISA,INVESTOR,9,1,0,0,0,0,0,1,138,WITHDRAWN,0,75,migr_resbc,2024-03-26
2026,LT,LV436,DZ,D_VISA,PROTECTION,36,1,0,0,0,0,0,1,135,PARTIALLY_GRANTED,0,70,migr_reslt,2024-12-28
2010,PT,AT661,MA,D_VISA,FAMILY,1,1,0,0,1,0,0,1,149,REFUSED,0,76,migr_asyappctza,2025-06-06
2011,SE,PL280,TR,D_VISA,STUDY,9,0,0,0,0,1,0,1,142,PENDING,0,88,migr_resfirst,2024-09-04
2012,CY,RO76,EE,D_VISA,WORK,36,1,0,0,0,0,0,1,141,GRANTED,0,67,migr_resvalid,2024-10-04
2013,FR,NL95,MT,D_VISA,OTHER,1,1,0,0,0,0,0,1,152,WITHDRAWN,0,67,migr_resbc,2025-10-15
2014,IT,CY2,BY,D_VISA,RESEARCH,9,1,0,0,1,0,0,1,146,PARTIALLY_GRANTED,0,88,migr_reslt,2025-07-15
2015,NL,DE478,IS,D_VISA,INVESTOR,36,0,0,0,1,0,0,1,151,REFUSED,0,95,migr_asyappctza,2024-03-27
2016,SI,LT5,RU,D_VISA,PROTECTION,1,1,0,0,0,0,0,1,158,PENDING,0,78,migr_resfirst,2024-07-30
2017,BG,SE683,CY,D_VISA,FAMILY,9,1,0,0,1,0,0,1,150,GRANTED,0,73,migr_resvalid,2024-11-22
2018,EE,HU649,LV,D_VISA,STUDY,36,1,0,0,0,1,0,1,165,WITHDRAWN,0,75,migr_resbc,2025-10-25
2019,HU,NL270,SE,D_VISA,WORK,1,0,0,0,0,0,0,0,156,PARTIALLY_GRANTED,0,85,migr_reslt,2024-02-04
2020,LU,LU37,IN,D_VISA,OTHER,9,1,0,0,0,0,0,1,141,REFUSED,0,88,migr_asyappctza,2025-05-26
2021,RO,HU676,NO,D_VISA,RESEARCH,36,1,0,0,0,0,0,1,144,PENDING,0,101,migr_resfirst,2025-12-29
2022,AT,IT476,BE,D_VISA,INVESTOR,1,1,0,0,0,0,0,1,157,GRANTED,0,86,migr_resvalid,2024-03-22
2023,CZ,HR92,HU,D_VISA,PROTECTION,9,0,1,0,0,0,0,1,150,WITHDRAWN,0,105,migr_resbc,2025-03-05
2024,DE,HR57,SK,D_VISA,FAMILY,36,1,0,0,0,0,0,1,171,PARTIALLY_GRANTED,0,107,migr_reslt,2025-09-07
2025,LV,SE479,GB,D_VISA,STUDY,1,1,0,0,0,1,0,1,155,REFUSED,0,82,migr_asyappctza,2024-01-25
2026,PL,FR18,ME,D_VISA,WORK,9,1,1,0,0,0,0,1,145,PENDING,0,101,migr_resfirst,2024-02-27
2010,ES,AT535,US,D_VISA,OTHER,36,0,1,0,0,0,0,1,170,GRANTED,0,85,migr_resvalid,2026-01-30
2011,HR,FR978,FR,D_VISA,RESEARCH,1,1,0,0,0,0,0,1,159,WITHDRAWN,0,100,migr_resbc,2024-04-24
2012,FI,IT10,PL,D_VISA,INVESTOR,9,1,0,0,0,0,0,1,173,PARTIALLY_GRANTED,0,96,migr_reslt,2024-05-15
2013,IE,GR349,CN,D_VISA,PROTECTION,36,1,0,0,0,0,0,1,163,REFUSED,0,96,migr_asyappctza,2026-01-30
2014,MT,CZ5,KE,D_VISA,FAMILY,1,0,1,0,1,0,0,1,168,PENDING,0,87,migr_resfirst,2025-01-19
2015,SK,HR667,TN,D_VISA,STUDY,9,1,0,0,0,1,0,1,167,GRANTED,0,110,migr_resvalid,2025-05-20
2016,BE,AT28,DK,D_VISA,WORK,36,1,0,0,0,0,0,1,174,WITHDRAWN,0,87,migr_resbc,2025-12-31
2017,DK,IT40,LU,D_VISA,OTHER,1,1,0,0,0,0,0,0,169,PARTIALLY_GRANTED,0,111,migr_reslt,2025-06-06
2018,GR,HR795,BA,D_VISA,RESEARCH,9,0,1,0,0,0,0,1,169,REFUSED,0,95,migr_asyappctza,2024-01-20
2019,LT,BE403,IR,D_VISA,INVESTOR,36,1,0,0,0,0,0,0,171,PENDING,0,99,migr_resfirst,2025-08-30
2020,PT,CY185,RS,D_VISA,PROTECTION,1,1,1,0,0,0,0,1,158,GRANTED,0,106,migr_resvalid,2024-03-01
2021,SE,PL63,HR,D_VISA,FAMILY,9,1,0,0,1,0,0,1,160,WITHDRAWN,0,95,migr_resbc,2025-08-03
2022,CY,NL9,IT,D_VISA,STUDY,36,0,1,0,0,1,0,1,184,PARTIALLY_GRANTED,0,96,migr_reslt,2025-05-02
