safe_traffic_reference_year,safe_traffic_country_iso2,safe_traffic_region_nuts_code,safe_traffic_enforcement_type_code,safe_traffic_checks_count,safe_traffic_speed_cameras_count,safe_traffic_speeding_tickets_count,safe_traffic_dui_tickets_count,safe_traffic_phone_use_tickets_count,safe_traffic_seatbelt_tickets_count,safe_traffic_penalty_points_total,safe_traffic_fines_total_eur,safe_traffic_license_suspensions_count,safe_traffic_roadside_drug_tests_count,safe_traffic_vehicle_inspections_count,safe_traffic_tachograph_violations_count,safe_traffic_cross_border_enforcement_directive_flag,safe_traffic_data_source,safe_traffic_revision_round,safe_traffic_data_extract_date
2022,LV,SE538,SPEED_ENFORCEMENT,1567731,2452,307416,1672,26630,29633,1186270,33794000.51,6623,31351,46422,4942,1,ROAD_POLICING_AGENCY,FLASH,2025-01-25
2023,PL,SK443,ROADWORTHINESS_INSPECTIONS,3053559,963,154999,24077,16626,76582,680918,70641195.57,3641,28091,151277,17614,1,INTERIOR_MINISTRY_STATS,FIRST,2024-01-03
2024,ES,LT127,COMMERCIAL_VEHICLE_CHECKS,1992812,732,207024,2190,3879,6403,336787,24638076.51,5511,197987,216242,26106,0,TRANSPORT_INSPECTORATE,SECOND,2025-09-16
2025,HR,LT49,DISTRACTED_DRIVING,1729570,1371,436940,29881,129229,4934,1982307,95478581.05,22641,33244,37700,9473,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-11-27
2006,FI,GR30,SEATBELT_ENFORCEMENT,28040,78,1403,283,297,1632,7894,727174.55,93,701,279,154,0,ROAD_POLICING_AGENCY,FLASH,2024-07-08
2007,IE,GR202,DUI_ENFORCEMENT,1251259,811,122037,22728,7384,25658,497106,28966255.76,8547,135808,62702,1195,1,INTERIOR_MINISTRY_STATS,FIRST,2025-04-16
2008,MT,DK10,SPEED_ENFORCEMENT,98901,949,18296,298,597,986,45197,2176725.04,329,210,5466,258,1,TRANSPORT_INSPECTORATE,SECOND,2026-01-29
2009,SK,FI945,ROADWORTHINESS_INSPECTIONS,736384,91,67965,12931,5803,16549,310355,26723987.64,5354,3336,13032,2146,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-07-18
2010,BE,RO34,COMMERCIAL_VEHICLE_CHECKS,1980917,1352,123593,32869,9860,38295,403502,34912202.4,5071,151530,223006,20149,0,ROAD_POLICING_AGENCY,FLASH,2025-04-19
2011,DK,DK1,DISTRACTED_DRIVING,631576,1117,30917,8464,45125,17751,271307,17510187.83,5243,15705,24203,2689,0,INTERIOR_MINISTRY_STATS,FIRST,2025-07-08
2012,GR,LT894,SEATBELT_ENFORCEMENT,1512339,201,65674,25824,9771,12618,391225,64356860.84,10441,28266,19326,7736,1,TRANSPORT_INSPECTORATE,SECOND,2025-03-28
2013,LT,NL40,DUI_ENFORCEMENT,688745,127,78410,15815,3752,18039,340756,36662096.93,8276,3760,33832,2453,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-06-19
2014,PT,GR8,SPEED_ENFORCEMENT,1428819,3343,373047,17521,4939,8929,1047495,68042408.9,20512,33115,58073,781,0,ROAD_POLICING_AGENCY,FLASH,2024-08-31
2015,SE,SE91,ROADWORTHINESS_INSPECTIONS,602137,1239,39899,4879,7143,6673,133991,13447641.4,2613,6698,70146,3162,1,INTERIOR_MINISTRY_STATS,FIRST,2025-05-24
2016,CY,BG530,COMMERCIAL_VEHICLE_CHECKS,14734,1119,801,180,43,418,5091,341362.34,58,472,1311,257,1,TRANSPORT_INSPECTORATE,SECOND,2025-03-22
2017,FR,NL237,DISTRACTED_DRIVING,734891,570,180457,9197,42269,7083,300409,33114938.01,8403,20000,8501,3869,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-07-16
2018,IT,PL41,SEATBELT_ENFORCEMENT,1513548,1070,118237,9136,8509,85598,404887,30681412.17,7567,12659,51054,5008,0,ROAD_POLICING_AGENCY,FLASH,2025-08-21
2019,NL,NL38,DUI_ENFORCEMENT,300484,863,14242,11642,1491,2994,80879,26539345.64,6625,24617,1840,880,1,INTERIOR_MINISTRY_STATS,FIRST,2024-03-10
2020,SI,DK691,SPEED_ENFORCEMENT,1942855,4768,457489,7003,22705,9713,1300437,57825906.72,14738,53148,55390,1902,0,TRANSPORT_INSPECTORATE,SECOND,2025-09-18
2021,BG,GR27,ROADWORTHINESS_INSPECTIONS,2124516,1335,95876,18509,2944,2343,415011,56435136.58,9084,2438,64506,2771,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-11-09
2022,EE,IT51,COMMERCIAL_VEHICLE_CHECKS,2299739,44,253604,32172,39627,47449,1020819,115661213.48,14240,4923,183431,7113,1,ROAD_POLICING_AGENCY,FLASH,2024-12-09
2023,HU,IT143,DISTRACTED_DRIVING,1572177,167,227741,10016,83204,20680,1053170,45041633.61,5136,38944,18065,4513,1,INTERIOR_MINISTRY_STATS,FIRST,2025-06-03
2024,LU,DK773,SEATBELT_ENFORCEMENT,994158,957,41672,2113,6694,71419,260751,15681614.18,2193,17374,48979,3700,1,TRANSPORT_INSPECTORATE,SECOND,2025-09-16
2025,RO,LV103,DUI_ENFORCEMENT,1189821,172,128134,15538,20373,31529,492153,23733189.43,10654,58968,63702,4255,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-09-12
2006,AT,LU484,SPEED_ENFORCEMENT,890606,2954,51586,10961,9168,20143,264064,14948087.44,6998,20250,44322,4990,1,ROAD_POLICING_AGENCY,FLASH,2025-08-02
2007,CZ,PT6,ROADWORTHINESS_INSPECTIONS,462037,810,38596,7353,1429,13730,129827,13930948.07,3007,1242,99890,762,1,INTERIOR_MINISTRY_STATS,FIRST,2025-04-20
2008,DE,DE523,COMMERCIAL_VEHICLE_CHECKS,476589,309,43876,2160,6930,13369,101909,13853445.76,1841,6907,32816,7740,0,TRANSPORT_INSPECTORATE,SECOND,2024-09-30
2009,LV,BE87,DISTRACTED_DRIVING,817477,584,173048,10748,60063,23088,730126,47898086.87,8201,4029,39435,4789,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2026-01-10
2010,PL,SE6,SEATBELT_ENFORCEMENT,1244502,1348,37908,10751,23381,82707,301739,29765516.34,7871,34963,58562,2697,1,ROAD_POLICING_AGENCY,FLASH,2024-07-19
2011,ES,FR7,DUI_ENFORCEMENT,2281607,507,63320,59657,21534,25503,688933,63050099.05,19623,221196,72111,5394,0,INTERIOR_MINISTRY_STATS,FIRST,2025-03-11
2012,HR,IT5,SPEED_ENFORCEMENT,1907706,2992,201668,28910,18898,42795,998488,60838460.64,13111,20227,89957,9939,0,TRANSPORT_INSPECTORATE,SECOND,2025-06-20
2013,FI,RO821,ROADWORTHINESS_INSPECTIONS,1401545,830,32273,17514,19180,14604,260920,20655842.15,7644,2686,265963,3008,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-03-21
2014,IE,ES853,COMMERCIAL_VEHICLE_CHECKS,2016738,1384,159824,13667,14460,43590,607126,38876777.38,10434,207214,41371,41015,1,ROAD_POLICING_AGENCY,FLASH,2025-11-23
2015,MT,DK599,DISTRACTED_DRIVING,2162736,988,181723,24978,77114,30625,1134812,90331150.36,15340,41530,41228,12848,0,INTERIOR_MINISTRY_STATS,FIRST,2024-11-26
2016,SK,LT8,SEATBELT_ENFORCEMENT,483664,622,38346,5539,5399,14387,127740,18623612.24,2102,8755,9007,1531,1,TRANSPORT_INSPECTORATE,SECOND,2024-11-02
2017,BE,LV6,DUI_ENFORCEMENT,564957,822,45393,1385,5002,12427,189477,9589893.78,421,27857,3504,1535,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-07-14
2018,DK,DE4,SPEED_ENFORCEMENT,633192,2841,155772,12543,7064,12544,388754,26510220.93,8296,4984,15797,842,1,ROAD_POLICING_AGENCY,FLASH,2025-08-16
2019,GR,MT7,ROADWORTHINESS_INSPECTIONS,672191,897,75262,6682,3156,6505,146522,19821338.1,3134,18406,33758,4009,1,INTERIOR_MINISTRY_STATS,FIRST,2026-01-23
2020,LT,RO538,COMMERCIAL_VEHICLE_CHECKS,871621,1217,89619,8249,8383,910,395670,30665160.14,4168,51910,184177,9967,1,TRANSPORT_INSPECTORATE,SECOND,2025-07-09
2021,PT,DE8,DISTRACTED_DRIVING,1619695,1130,227811,29287,16572,45847,547976,80838925.91,11928,27590,41507,5830,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-06-04
2022,SE,BG1,SEATBELT_ENFORCEMENT,1153417,865,110316,5110,8812,84148,588870,25601555.24,6413,14229,62503,6031,0,ROAD_POLICING_AGENCY,FLASH,2025-10-13
2023,CY,PL40,DUI_ENFORCEMENT,2194793,1110,255403,80352,16463,60818,1565023,134947673.6,29108,26085,131276,13004,0,INTERIOR_MINISTRY_STATS,FIRST,2024-03-07
2024,FR,SE49,SPEED_ENFORCEMENT,1014444,3680,146438,13719,12840,30430,446932,31844203.55,4031,3450,60663,1283,0,TRANSPORT_INSPECTORATE,SECOND,2024-04-25
2025,IT,AT866,ROADWORTHINESS_INSPECTIONS,719300,1104,36655,9335,8397,15308,180065,14073078.24,4702,10797,69234,3314,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-06-06
2006,NL,SI388,COMMERCIAL_VEHICLE_CHECKS,1701768,1074,192578,12437,17080,16269,630754,46014583.06,4942,58011,173374,44203,0,ROAD_POLICING_AGENCY,FLASH,2025-03-02
2007,SI,FR476,DISTRACTED_DRIVING,743005,1137,50836,5863,42642,19389,354069,23255651.07,1861,9727,40501,3492,0,INTERIOR_MINISTRY_STATS,FIRST,2025-10-18
2008,BG,ES8,SEATBELT_ENFORCEMENT,1217330,607,111736,13707,14833,9357,411301,40084296.1,5912,11246,36273,959,1,TRANSPORT_INSPECTORATE,SECOND,2025-10-07
2009,EE,IT3,DUI_ENFORCEMENT,2812812,58,41418,81657,23829,21825,792003,168942581.89,42090,167289,126010,597,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-12-10
2010,HU,HU491,SPEED_ENFORCEMENT,172526,1997,33981,3162,2797,1233,96945,7242287.1,1358,730,6164,809,1,ROAD_POLICING_AGENCY,FLASH,2025-12-21
2011,LU,DE919,ROADWORTHINESS_INSPECTIONS,716311,318,61062,3799,4572,5025,244406,14500504.58,3948,17752,107810,1090,1,INTERIOR_MINISTRY_STATS,FIRST,2024-04-29
2012,RO,FI233,COMMERCIAL_VEHICLE_CHECKS,521794,1370,35303,9478,2454,13998,152097,23001594.61,2608,29962,15272,15264,1,TRANSPORT_INSPECTORATE,SECOND,2025-11-30
2013,AT,BG98,DISTRACTED_DRIVING,1831014,506,308767,15315,83806,50594,1082258,89458316.96,16533,16591,90823,5120,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-08-05
2014,CZ,LT3,SEATBELT_ENFORCEMENT,1103553,653,117880,1362,6498,94441,638291,33191191.75,3590,30541,35418,5089,0,ROAD_POLICING_AGENCY,FLASH,2024-04-28
2015,DE,HR365,DUI_ENFORCEMENT,2537962,940,51127,17654,5728,16928,265439,27583842.99,6089,203928,137935,1749,1,INTERIOR_MINISTRY_STATS,FIRST,2025-03-20
2016,LV,PL2,SPEED_ENFORCEMENT,501164,2139,39330,1265,6392,6757,111421,5116765.69,1103,7065,17521,1159,1,TRANSPORT_INSPECTORATE,SECOND,2024-08-22
2017,PL,SI306,ROADWORTHINESS_INSPECTIONS,1213071,253,64255,20608,17563,31734,318504,53236800.75,4607,17508,54702,1288,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-11-03
2018,ES,DK7,COMMERCIAL_VEHICLE_CHECKS,654823,1094,21003,5274,8012,4880,107101,10041938.22,2118,25128,115513,4899,1,ROAD_POLICING_AGENCY,FLASH,2025-03-24
2019,HR,IT6,DISTRACTED_DRIVING,309005,1211,21011,1613,21580,8781,156405,7302212.52,1100,1511,12918,536,0,INTERIOR_MINISTRY_STATS,FIRST,2025-05-07
2020,FI,DE356,SEATBELT_ENFORCEMENT,1022911,926,121475,11652,17013,69802,660799,35173361.02,3560,13975,8794,2979,0,TRANSPORT_INSPECTORATE,SECOND,2024-06-22
2021,IE,MT59,DUI_ENFORCEMENT,1547650,640,99673,88073,11867,37464,833794,175785560.24,43092,25047,90982,6093,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-12-22
2022,MT,IT50,SPEED_ENFORCEMENT,339232,12,55664,5810,1387,4134,98787,11121015.59,4802,3575,16944,1323,1,ROAD_POLICING_AGENCY,FLASH,2024-05-04
2023,SK,DE78,ROADWORTHINESS_INSPECTIONS,2261895,654,131575,15430,7620,63792,682943,53127174.05,3870,54349,296312,8444,1,INTERIOR_MINISTRY_STATS,FIRST,2024-07-01
2024,BE,CZ2,COMMERCIAL_VEHICLE_CHECKS,209591,1262,2863,3699,2836,336,31329,4711096.29,1049,13358,35568,870,0,TRANSPORT_INSPECTORATE,SECOND,2024-06-17
2025,DK,NL525,DISTRACTED_DRIVING,20905,525,1646,60,600,149,5856,255521.54,59,492,126,30,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-11-18
2006,GR,SI700,SEATBELT_ENFORCEMENT,457831,312,23906,2668,2980,16026,97307,8913544.07,1076,9617,25920,2632,1,ROAD_POLICING_AGENCY,FLASH,2024-12-11
2007,LT,IE14,DUI_ENFORCEMENT,1633569,53,86655,11469,30320,20943,420083,34604235.61,6603,180140,91812,3619,1,INTERIOR_MINISTRY_STATS,FIRST,2025-05-21
2008,PT,BG8,SPEED_ENFORCEMENT,816391,4445,30029,3040,5739,8427,135804,12129608.95,2085,24196,39081,2507,0,TRANSPORT_INSPECTORATE,SECOND,2025-04-07
2009,SE,LT337,ROADWORTHINESS_INSPECTIONS,2276354,932,192053,17365,4967,38811,565393,56731777.92,8469,19889,88418,4474,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-12-27
2010,CY,SE561,COMMERCIAL_VEHICLE_CHECKS,429401,509,20574,3979,7575,8013,127885,11309033.55,1567,25211,56653,8826,1,ROAD_POLICING_AGENCY,FLASH,2025-08-09
2011,FR,AT719,DISTRACTED_DRIVING,1722753,212,148915,21722,28227,35289,660633,50115808.75,4107,19761,93336,437,0,INTERIOR_MINISTRY_STATS,FIRST,2024-12-11
2012,IT,HU76,SEATBELT_ENFORCEMENT,2741488,425,117190,8843,38498,240033,1065120,50252264.62,6150,77254,91455,13317,0,TRANSPORT_INSPECTORATE,SECOND,2024-11-24
2013,NL,DE38,DUI_ENFORCEMENT,404919,29,47157,13360,5715,8292,193018,25111532.01,9199,7440,9902,964,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-12-14
2014,SI,PL6,SPEED_ENFORCEMENT,1565902,26,38243,2278,5621,12839,132045,8969868.07,650,3196,48868,7897,0,ROAD_POLICING_AGENCY,FLASH,2024-06-14
2015,BG,ES164,ROADWORTHINESS_INSPECTIONS,965159,1283,56345,5666,18027,9364,277816,16681933.35,3929,9014,68113,4616,0,INTERIOR_MINISTRY_STATS,FIRST,2025-04-16
2016,EE,DE42,COMMERCIAL_VEHICLE_CHECKS,1017629,856,58603,1980,3926,8493,149713,10737023.95,1196,61479,42257,19614,0,TRANSPORT_INSPECTORATE,SECOND,2025-11-01
2017,HU,PL5,DISTRACTED_DRIVING,1160105,1226,251059,6341,35453,11678,923249,29723512.88,9144,1151,69138,6411,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-06-10
2018,LU,HU46,SEATBELT_ENFORCEMENT,622790,1054,11102,7531,6137,30006,165802,17910376.68,4116,12968,2286,2542,1,ROAD_POLICING_AGENCY,FLASH,2026-02-17
2019,RO,CY806,DUI_ENFORCEMENT,2432948,989,121023,113829,28201,64682,1413462,81479935.99,43526,60020,123776,7379,1,INTERIOR_MINISTRY_STATS,FIRST,2025-02-17
2020,AT,CZ302,SPEED_ENFORCEMENT,2365761,3948,339756,3950,23760,9797,816671,47423603.81,8486,29349,112990,260,0,TRANSPORT_INSPECTORATE,SECOND,2024-11-02
2021,CZ,DK712,ROADWORTHINESS_INSPECTIONS,1070390,1241,66169,4058,4008,22824,184923,12557750.76,3143,9994,96770,3849,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2026-01-11
2022,DE,PL893,COMMERCIAL_VEHICLE_CHECKS,994199,633,28010,5675,16526,16065,186239,12898723.45,3248,67551,95269,13442,0,ROAD_POLICING_AGENCY,FLASH,2025-07-07
2023,LV,PT599,DISTRACTED_DRIVING,1074093,398,98944,11800,52015,6595,504837,22117204.54,5402,7870,48330,1859,0,INTERIOR_MINISTRY_STATS,FIRST,2025-04-17
2024,PL,PT79,SEATBELT_ENFORCEMENT,25458,1149,2777,193,461,1498,15239,841939.54,58,94,1266,100,1,TRANSPORT_INSPECTORATE,SECOND,2024-01-21
2025,ES,BG388,DUI_ENFORCEMENT,229367,809,26533,9060,3737,3083,147142,21185862.82,1962,20343,2596,1151,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-06-03
2006,HR,LV782,SPEED_ENFORCEMENT,311393,1335,30970,1043,1549,6886,98388,4174139.1,1175,1385,16383,183,0,ROAD_POLICING_AGENCY,FLASH,2025-08-20
2007,FI,AT721,ROADWORTHINESS_INSPECTIONS,548007,779,37241,10132,10305,4454,133394,25030855.73,7326,7345,91910,654,1,INTERIOR_MINISTRY_STATS,FIRST,2024-01-21
2008,IE,IT857,COMMERCIAL_VEHICLE_CHECKS,1038402,492,64986,13001,4999,5511,334813,11492254.92,8860,68544,72384,22660,0,TRANSPORT_INSPECTORATE,SECOND,2024-09-07
2009,MT,SE1,DISTRACTED_DRIVING,756025,783,159729,2117,7625,12946,275427,12779326.28,3638,22197,27229,471,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-08-25
2010,SK,IT34,SEATBELT_ENFORCEMENT,1628343,1320,62643,22027,2282,133377,431364,46356505.71,5474,41189,50382,3394,0,ROAD_POLICING_AGENCY,FLASH,2024-01-12
2011,BE,LT9,DUI_ENFORCEMENT,323644,1089,24144,4120,2285,1127,93088,12158099.89,2703,25924,14034,126,0,INTERIOR_MINISTRY_STATS,FIRST,2025-06-11
2012,DK,SE72,SPEED_ENFORCEMENT,1794481,3055,200280,5928,31945,51104,722440,42041749.71,2278,49936,96163,4655,0,TRANSPORT_INSPECTORATE,SECOND,2024-11-04
2013,GR,DK8,ROADWORTHINESS_INSPECTIONS,2366087,134,77122,14423,30136,53057,393592,36244033.48,9117,61857,219402,5906,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-04-18
2014,LT,FI7,COMMERCIAL_VEHICLE_CHECKS,254109,818,17260,2574,1746,5803,56572,4980497.59,1269,21225,14526,645,1,ROAD_POLICING_AGENCY,FLASH,2024-01-12
2015,PT,LU595,DISTRACTED_DRIVING,2271341,631,525396,45015,138883,22914,1833759,102838105.15,31605,5968,38724,11494,0,INTERIOR_MINISTRY_STATS,FIRST,2025-09-05
2016,SE,MT993,SEATBELT_ENFORCEMENT,1366837,548,85519,12768,13412,118861,566526,33110588.02,7233,22433,43467,1733,0,TRANSPORT_INSPECTORATE,SECOND,2025-01-01
2017,CY,MT37,DUI_ENFORCEMENT,534317,400,12135,3183,10527,7777,100139,8261354.98,542,38751,16466,1661,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-08-20
2018,FR,SI21,SPEED_ENFORCEMENT,260394,2925,36306,1501,4770,6887,159347,9000938.88,1273,5251,13028,1136,1,ROAD_POLICING_AGENCY,FLASH,2025-05-06
2019,IT,BE953,ROADWORTHINESS_INSPECTIONS,1729859,491,153584,29295,21415,19673,701461,53522266.57,14584,6734,362598,6164,0,INTERIOR_MINISTRY_STATS,FIRST,2024-02-18
2020,NL,AT80,COMMERCIAL_VEHICLE_CHECKS,1892094,224,150003,5615,18783,28666,319962,26720750.37,4043,122954,346858,47103,0,TRANSPORT_INSPECTORATE,SECOND,2025-02-26
2021,SI,EE236,DISTRACTED_DRIVING,931051,459,20482,18523,34209,12350,242719,45870964.82,11411,10217,37804,1576,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2026-01-22
2022,BG,EE518,SEATBELT_ENFORCEMENT,2073522,877,35614,12794,12789,157770,492324,28443560.24,3145,61750,67021,1647,1,ROAD_POLICING_AGENCY,FLASH,2024-09-07
2023,EE,SK4,DUI_ENFORCEMENT,3034345,1333,111672,126862,31514,53843,1563010,205091620.85,69498,102328,29979,13003,0,INTERIOR_MINISTRY_STATS,FIRST,2024-04-01
2024,HU,FR503,SPEED_ENFORCEMENT,250655,4628,14615,4964,3193,2861,105462,7372291.99,2021,5590,11230,253,1,TRANSPORT_INSPECTORATE,SECOND,2024-07-17
2025,LU,NL7,ROADWORTHINESS_INSPECTIONS,776558,485,48168,11730,12828,7514,202480,20907157.35,7698,8685,29702,2149,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-07-16
2006,RO,LV3,COMMERCIAL_VEHICLE_CHECKS,2460167,762,49029,2675,11064,59354,276857,19176853.36,1225,118084,527488,68655,1,ROAD_POLICING_AGENCY,FLASH,2025-06-09
2007,AT,FI376,DISTRACTED_DRIVING,2268796,114,249271,13166,146822,60362,1213677,58393577.84,8187,32547,133715,13320,1,INTERIOR_MINISTRY_STATS,FIRST,2025-05-26
2008,CZ,GR294,SEATBELT_ENFORCEMENT,548386,140,28343,2247,7171,11860,122757,9757563.0,1704,14399,26787,2491,0,TRANSPORT_INSPECTORATE,SECOND,2024-11-04
2009,DE,LV18,DUI_ENFORCEMENT,1625162,1352,188647,78941,18808,32484,1265795,101175966.2,17701,94458,32255,4406,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-04-01
2010,LV,FR271,SPEED_ENFORCEMENT,1501804,4049,96572,27312,23325,6310,579397,40208177.42,16258,17377,26339,280,0,ROAD_POLICING_AGENCY,FLASH,2025-02-28
2011,PL,SI467,ROADWORTHINESS_INSPECTIONS,499171,1346,50188,6322,8888,3767,222150,9200274.67,4013,3275,93251,1145,1,INTERIOR_MINISTRY_STATS,FIRST,2024-01-20
2012,ES,IT333,COMMERCIAL_VEHICLE_CHECKS,699213,587,30915,11401,13074,14360,229307,12681351.88,6291,21293,143415,20584,0,TRANSPORT_INSPECTORATE,SECOND,2024-10-06
2013,HR,FI375,DISTRACTED_DRIVING,1685683,946,218269,12781,120858,37890,779572,48806417.53,9068,43141,27168,8229,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-12-30
2014,FI,HU56,SEATBELT_ENFORCEMENT,1690321,272,161235,13807,18244,55285,538445,42966713.59,8933,33023,22387,7589,0,ROAD_POLICING_AGENCY,FLASH,2024-05-03
2015,IE,GR12,DUI_ENFORCEMENT,835599,825,72721,46369,9805,5100,455114,81694012.06,20012,26052,49140,2689,0,INTERIOR_MINISTRY_STATS,FIRST,2025-08-05
2016,MT,NL26,SPEED_ENFORCEMENT,2192665,3313,156962,16923,9909,21925,580327,16898399.14,11393,39210,102552,407,1,TRANSPORT_INSPECTORATE,SECOND,2024-01-20
2017,SK,LU878,ROADWORTHINESS_INSPECTIONS,3034567,247,219425,19453,7197,8206,473292,44864021.26,11386,17111,239292,3672,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-10-15
2018,BE,IT39,COMMERCIAL_VEHICLE_CHECKS,2495920,1161,68813,20551,16136,35412,445108,55027870.4,11441,265383,168823,65738,1,ROAD_POLICING_AGENCY,FLASH,2024-12-01
2019,DK,IE666,DISTRACTED_DRIVING,402230,1025,12582,2433,28697,9799,164641,9524447.49,1524,10908,21416,1690,1,INTERIOR_MINISTRY_STATS,FIRST,2024-06-11
2020,GR,BG408,SEATBELT_ENFORCEMENT,2603630,407,279889,37149,12410,131966,1410188,142258243.34,15323,52884,39198,8596,0,TRANSPORT_INSPECTORATE,SECOND,2025-12-28
2021,LT,SE26,DUI_ENFORCEMENT,264904,1151,15575,6344,3669,5104,115484,13403358.85,1208,21225,10830,150,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-01-20
2022,PT,ES551,SPEED_ENFORCEMENT,700899,1496,77611,12118,3086,3578,233131,28528594.47,3101,9386,36664,2271,0,ROAD_POLICING_AGENCY,FLASH,2024-10-16
2023,SE,DK2,ROADWORTHINESS_INSPECTIONS,270023,49,18092,5211,3401,3572,127870,10336825.4,1246,457,40916,1476,1,INTERIOR_MINISTRY_STATS,FIRST,2024-09-16
2024,CY,GR187,COMMERCIAL_VEHICLE_CHECKS,156626,209,4474,2431,1580,1369,31900,2986629.97,800,17127,28094,4244,1,TRANSPORT_INSPECTORATE,SECOND,2026-01-03
2025,FR,NL508,DISTRACTED_DRIVING,2338626,69,49439,5985,116838,26459,300395,34518319.89,2683,62712,45735,9850,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-09-07
2006,IT,DE9,SEATBELT_ENFORCEMENT,1255082,244,17824,10874,23696,41384,217415,27826943.81,7135,20686,21911,5681,1,ROAD_POLICING_AGENCY,FLASH,2025-08-21
2007,NL,DK792,DUI_ENFORCEMENT,2183040,739,205944,103839,6021,39021,1144769,183177262.98,67120,126451,48251,3737,0,INTERIOR_MINISTRY_STATS,FIRST,2025-09-26
2008,SI,SE634,SPEED_ENFORCEMENT,2668902,1371,660765,11483,25393,53513,2117067,94574384.61,13858,5210,111047,14265,1,TRANSPORT_INSPECTORATE,SECOND,2024-09-11
2009,BG,FR393,ROADWORTHINESS_INSPECTIONS,1060501,1385,53122,9404,18809,30090,174309,34091272.05,4426,1377,175838,1526,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-02-10
2010,EE,AT277,COMMERCIAL_VEHICLE_CHECKS,357408,423,16706,2962,6687,3195,68052,8445959.16,1724,1756,18083,9971,0,ROAD_POLICING_AGENCY,FLASH,2025-12-11
2011,HU,IT347,DISTRACTED_DRIVING,1051493,783,86590,17301,73947,29430,673788,45441699.04,3135,19213,5470,3148,0,INTERIOR_MINISTRY_STATS,FIRST,2025-01-24
2012,LU,SK612,SEATBELT_ENFORCEMENT,1466814,74,26064,18447,24192,27715,387947,17565687.05,6649,1725,14420,5243,0,TRANSPORT_INSPECTORATE,SECOND,2024-12-11
2013,RO,RO933,DUI_ENFORCEMENT,655678,1355,65221,2489,3396,4902,243569,9694757.19,3243,19149,26196,2433,1,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2025-08-21
2014,AT,BG2,SPEED_ENFORCEMENT,609411,3219,51562,3884,7564,15141,128368,12261303.71,1408,3324,12021,1257,1,ROAD_POLICING_AGENCY,FLASH,2025-05-23
2015,CZ,BE4,ROADWORTHINESS_INSPECTIONS,580803,1084,7175,10829,10930,14208,134031,19244980.4,3857,16081,113459,3294,0,INTERIOR_MINISTRY_STATS,FIRST,2025-06-06
2016,DE,BE850,COMMERCIAL_VEHICLE_CHECKS,1230079,1369,129746,23917,17891,25705,547261,32946860.18,13676,4528,15481,35042,0,TRANSPORT_INSPECTORATE,SECOND,2026-02-25
2017,LV,AT21,DISTRACTED_DRIVING,2952610,231,706305,55752,68791,66782,2657416,172535314.48,50162,3412,159285,7169,0,AUTOMATED_ENFORCEMENT_SYSTEM,BENCHMARK,2024-09-05
2018,PL,SK94,SEATBELT_ENFORCEMENT,298351,1380,29348,4482,5435,14869,155265,10468660.57,3443,840,7892,1204,0,ROAD_POLICING_AGENCY,FLASH,2024-12-10
