care_coverage_coverage_year,care_coverage_state_ut_code,care_coverage_district_lgd_code,care_coverage_scheme_type_code,care_coverage_pmjay_beneficiary_count,care_coverage_abha_id_linked_share_pct,care_coverage_premium_benchmark_inr,care_coverage_deductible_individual_inr,care_coverage_oop_max_individual_inr,care_coverage_network_tier_type,care_coverage_covered_lives_count,care_coverage_uninsured_rate_estimate,care_coverage_esic_enrollment,care_coverage_cghs_enrollment,care_coverage_employer_covered_share_pct,care_coverage_subsidy_eligible_share_pct,care_coverage_plan_switch_rate_pct,care_coverage_special_enrollment_count,care_coverage_rate_review_status,care_coverage_data_source_agency
2024,IN-CH,LGD-D-2539059,CommunityBased,422726,72.29,32523.07,5600.34,3755.42,Preferred,7644638,7.19,2526874,238452,49.58,51.63,14.65,45642,Approved,ESIC
2025,IN-AN,LGD-D-6885629,ESIC,138068,12.22,2967.04,6954.58,44623.39,Restricted,8471959,7.06,4955398,515203,30.05,39.04,28.17,134505,PendingDocs,CGHS
2019,IN-HR,LGD-D-4096689,ESIC,2195595,89.72,20136.3,20140.94,79563.44,EHS_Network,7991367,33.53,3450953,148114,13.34,11.8,23.4,99921,Rejected,CGHS
2022,IN-TN,LGD-D-1970916,ESIC,2644672,28.34,20339.81,18401.44,99691.26,EHS_Network,10640940,1.45,318647,679118,51.88,10.21,27.02,20560,Rejected,ESIC
2019,IN-LD,LGD-D-9268063,CGHS,2557414,90.03,8715.74,14429.06,9853.67,Tiered,11329221,6.56,1891423,147889,37.12,49.53,12.61,78408,Rejected,ESIC
2016,IN-DH,LGD-D-7344412,Mixed,2061870,30.44,21331.58,1207.71,48243.79,Restricted,3788877,30.77,5260187,691960,44.06,35.69,12.56,84207,Approved,ESIC
2025,IN-MP,LGD-D-1922661,PrivateGroup,427814,68.59,15216.12,8189.23,74404.01,Restricted,1870660,25.63,2578757,178042,20.05,70.94,5.31,126403,NotApplicable,NIC
2017,IN-TR,LGD-D-6415495,CommunityBased,2610848,48.15,16592.3,23993.81,113257.99,EHS_Network,606234,2.32,1839488,403997,37.14,45.15,30.94,17645,PendingDocs,ESIC
2019,IN-MN,LGD-D-5197822,ESIC,3027558,88.59,15577.29,8237.75,1379.95,Tiered,2779599,1.17,5416936,633086,43.93,29.66,29.65,42911,UnderReview,MoHFW
2017,IN-NL,LGD-D-3002017,ESIC,798012,49.3,28292.41,12883.74,9591.16,Restricted,3842955,30.18,1965327,28175,52.99,28.48,33.29,211362,UnderReview,ESIC
2016,IN-TS,LGD-D-1741906,CommunityBased,2305731,1.02,16884.6,12751.71,66795.17,Tiered,2269224,7.28,5485964,632719,49.94,55.49,26.49,60158,UnderReview,MoHFW
2021,IN-LA,LGD-D-9032367,CommunityBased,1602807,22.0,4776.72,7821.94,53199.95,Tiered,3905237,33.63,2645778,664798,45.04,68.19,24.42,193610,Rejected,CGHS
2025,IN-UP,LGD-D-1223391,Mixed,1198993,76.03,4210.39,24432.6,17491.5,Tiered,3274619,27.34,3925925,281247,26.65,36.32,10.54,46248,Rejected,MoHFW
2020,IN-HP,LGD-D-5339076,Mixed,1681635,28.76,32523.44,8639.21,115416.82,EHS_Network,8263295,27.13,4135445,428659,35.08,8.67,10.01,73729,NotApplicable,CGHS
2016,IN-DL,LGD-D-9350212,StateScheme,2717586,60.24,26868.73,2767.97,75570.75,EHS_Network,11753313,34.87,3923601,434511,30.93,68.68,16.72,13808,NotApplicable,NHA
2022,IN-SK,LGD-D-1007698,CommunityBased,2379438,77.83,11742.84,7262.73,24077.12,Open,1569443,1.66,1569388,565581,15.94,2.55,19.4,42970,PendingDocs,StateHealthDept
2021,IN-TN,LGD-D-3159403,Mixed,232933,89.29,5423.15,13951.29,110429.77,Tiered,1228053,14.84,5428769,65241,35.83,74.2,19.53,215822,UnderReview,NIC
2019,IN-DH,LGD-D-9740901,ESIC,3336770,14.86,5884.65,22527.31,57184.67,Tiered,5767329,28.45,5569999,337943,22.69,43.34,14.23,161149,NotApplicable,MoHFW
2025,IN-MH,LGD-D-1346536,PrivateGroup,1243405,85.9,28073.96,23077.71,99023.76,Open,8834199,3.11,1169871,604586,53.43,9.45,32.76,56006,Rejected,NIC
2020,IN-LA,LGD-D-9739451,StateScheme,812742,74.76,6693.94,4368.82,69893.04,Restricted,3272768,22.3,582757,166849,10.22,34.76,1.43,84196,NotApplicable,MoHFW
2021,IN-BR,LGD-D-4636882,PMJAY,3419553,41.39,14824.42,2417.41,106819.24,Open,8667959,15.27,1977601,260691,53.76,53.21,10.79,150456,NotApplicable,StateHealthDept
2018,IN-DH,LGD-D-7559305,PMJAY,2025,76.07,10298.0,1515.12,136665.06,Preferred,11770443,23.11,3050761,417818,43.44,33.95,14.33,199369,Approved,IRDAI
2025,IN-UP,LGD-D-5608681,Mixed,2776890,45.45,31382.97,439.53,127239.22,Preferred,3483156,7.03,1279841,49409,43.38,60.53,21.89,84678,NotApplicable,NIC
2021,IN-AP,LGD-D-5105794,PMJAY,2366337,0.67,20822.52,8298.58,85766.0,EHS_Network,2985899,1.21,967073,690181,33.16,54.11,6.84,24471,PendingDocs,NHA
2019,IN-DH,LGD-D-8967559,StateScheme,2273084,17.93,29109.85,9857.72,136049.25,Preferred,7491708,20.29,5362360,86540,34.8,3.59,8.85,129993,UnderReview,NHA
2021,IN-AR,LGD-D-6546570,CGHS,2687205,91.28,16040.83,5630.9,74007.64,Tiered,11078717,30.6,2429585,116117,3.26,44.97,26.88,124227,NotApplicable,MoHFW
2018,IN-AR,LGD-D-9741675,StateScheme,588157,38.86,23658.58,5204.82,2310.13,Restricted,4668407,19.87,2044464,311743,49.38,4.27,9.85,108354,UnderReview,NHA
2016,IN-LA,LGD-D-9306507,ESIC,1171592,45.1,26212.96,569.3,114344.5,Restricted,426260,24.26,5507811,337514,5.21,19.49,33.17,227241,Rejected,ESIC
2021,IN-SK,LGD-D-3981433,CommunityBased,2583239,40.27,33671.36,10312.59,40986.13,Restricted,3932212,8.89,1320097,421026,13.34,32.46,1.81,48272,Approved,StateHealthDept
2017,IN-PB,LGD-D-2807199,CGHS,1333425,72.08,1308.84,12382.1,70515.77,Preferred,8403861,19.22,1798945,252167,49.35,36.19,10.1,189695,Rejected,MoHFW
2025,IN-UP,LGD-D-1443057,ESIC,2974297,74.1,33519.83,15374.71,94739.85,Open,10160998,27.96,4025513,648611,39.1,82.9,24.18,227489,PendingDocs,MoHFW
2023,IN-DH,LGD-D-2217034,Mixed,2891916,1.86,16660.6,10496.73,89105.42,Preferred,1323267,10.64,3500644,48114,28.02,34.86,15.08,230638,Rejected,NHA
2019,IN-JH,LGD-D-8992557,ESIC,1206527,15.41,8454.44,39.36,64524.87,Open,11390234,2.23,5821168,514762,21.47,59.29,16.56,193771,UnderReview,NHA
2022,IN-AR,LGD-D-6248269,Mixed,3072889,15.25,27035.29,5811.95,38558.22,Open,10650638,24.33,3558491,117845,18.7,21.93,22.04,115557,UnderReview,NIC
2025,IN-AR,LGD-D-8977999,Mixed,1799461,92.78,12963.77,20538.26,83361.99,Restricted,7274721,9.73,1492015,459581,32.54,24.72,2.44,64488,NotApplicable,StateHealthDept
2023,IN-GA,LGD-D-8347125,CGHS,1876244,37.44,20561.27,10655.3,77282.77,Preferred,2357765,26.0,1806142,475480,42.21,57.12,16.87,31712,UnderReview,MoHFW
2025,IN-JH,LGD-D-1565106,ESIC,3238022,1.73,10301.52,8240.23,15264.97,EHS_Network,1039488,19.16,3589230,620804,47.29,55.34,5.62,21797,Rejected,NHA
2021,IN-KA,LGD-D-1910512,CommunityBased,3097445,5.04,29699.1,11316.1,98767.34,Open,2732400,28.43,4368028,312291,29.96,64.16,1.0,120925,PendingDocs,StateHealthDept
2020,IN-TN,LGD-D-4587231,PMJAY,2352951,0.0,15176.55,19579.54,56188.77,Open,9342391,10.52,1204534,430210,20.9,17.68,32.72,151399,Rejected,NIC
2021,IN-CH,LGD-D-6609591,CommunityBased,2562263,39.74,28591.02,8750.41,72150.87,EHS_Network,8363181,10.13,3350000,77366,13.65,79.61,27.55,139646,NotApplicable,NHA
2021,IN-GA,LGD-D-4994666,CGHS,2158002,40.26,26414.26,3508.0,30086.47,Tiered,2160220,30.19,2887755,586538,24.54,22.32,3.76,80661,Approved,NIC
2018,IN-GA,LGD-D-6041831,PMJAY,2794407,1.39,28129.41,959.13,63066.46,Open,753537,32.9,23550,466814,32.21,33.76,26.43,235581,Rejected,MoHFW
2017,IN-TN,LGD-D-5843240,CommunityBased,2464948,3.15,23792.93,19181.12,146156.92,EHS_Network,784436,3.72,1933241,190745,3.72,72.82,1.32,4453,NotApplicable,NHA
2025,IN-AR,LGD-D-7576683,PMJAY,1317751,9.54,17918.68,21502.18,32395.39,Restricted,11163622,2.03,1437943,572502,21.12,14.67,22.36,65409,PendingDocs,NHA
2022,IN-TS,LGD-D-7263855,Mixed,1820180,41.15,21048.26,6386.28,68312.34,Open,10697040,3.52,3482494,185509,16.04,64.18,25.53,227916,NotApplicable,MoHFW
2021,IN-WB,LGD-D-1861292,PrivateGroup,1667354,34.78,33455.72,12974.55,148848.33,Open,3687826,11.91,999013,164979,45.75,27.62,17.49,141882,UnderReview,NIC
2019,IN-HR,LGD-D-6827355,Mixed,3149977,61.91,30368.55,8930.43,33982.8,Restricted,6060075,25.95,239510,543977,32.88,72.59,13.84,248759,NotApplicable,StateHealthDept
2020,IN-LD,LGD-D-6810755,PrivateGroup,1623547,81.71,29402.95,20902.8,86229.32,Preferred,3328634,24.43,4112161,380573,50.52,0.9,8.3,108007,Approved,ESIC
2016,IN-DL,LGD-D-5532795,CommunityBased,831205,85.92,8294.05,11354.66,130197.07,Tiered,8141314,29.41,4556008,320963,44.41,61.41,12.04,156432,NotApplicable,NIC
2021,IN-AR,LGD-D-6826891,Mixed,2938458,85.91,30852.7,21664.76,147961.61,Preferred,2461479,13.46,1925594,523682,19.72,61.41,6.06,25970,Rejected,StateHealthDept
2022,IN-PB,LGD-D-8431014,StateScheme,3639,3.83,24317.5,13417.47,73646.2,EHS_Network,7520034,30.27,543784,366927,13.65,33.49,13.68,164153,Approved,ESIC
2021,IN-KL,LGD-D-8639505,StateScheme,3305419,88.66,9660.27,20976.61,100608.67,Preferred,2618434,32.21,1021049,411420,40.63,38.98,18.3,51438,PendingDocs,MoHFW
2016,IN-AS,LGD-D-1714165,CGHS,913022,75.29,12012.56,5914.56,117770.46,Restricted,9588574,13.82,456977,189358,31.02,1.81,14.31,219504,PendingDocs,ESIC
2017,IN-AP,LGD-D-7218837,ESIC,1989010,1.16,7322.18,14373.46,113044.38,Tiered,6660209,18.01,2426206,158330,3.52,38.38,26.57,82590,NotApplicable,NHA
2019,IN-MH,LGD-D-3739209,CommunityBased,2530146,4.85,25121.16,4133.51,85393.07,Restricted,6309757,22.02,603480,604527,36.79,61.01,22.68,183159,UnderReview,NIC
2024,IN-LD,LGD-D-6376003,Mixed,2837367,96.95,7368.24,18870.64,11172.9,Open,4482190,9.53,780868,503353,29.56,80.45,15.62,194023,UnderReview,StateHealthDept
2021,IN-UK,LGD-D-1307475,StateScheme,29809,51.33,6887.27,3104.98,22488.62,Open,10174306,1.89,1675634,587437,28.24,7.96,20.26,143727,PendingDocs,MoHFW
2021,IN-PY,LGD-D-9418864,ESIC,2953183,27.07,24805.96,22617.51,141887.65,Tiered,10085576,25.45,3121690,315670,38.5,70.59,2.63,159024,Approved,ESIC
2019,IN-TS,LGD-D-6150168,CommunityBased,1990886,0.52,32904.43,18981.83,38575.52,EHS_Network,1655030,12.28,4740167,572619,17.31,60.53,17.66,23268,Approved,ESIC
2019,IN-BR,LGD-D-6526886,StateScheme,178935,65.69,31908.88,11660.6,6898.61,Restricted,8187982,34.77,4900948,404915,52.27,67.65,21.95,19557,NotApplicable,NIC
2023,IN-WB,LGD-D-7520727,CommunityBased,793025,12.78,17388.35,23158.75,16980.74,Preferred,5097320,15.45,3207022,594369,33.26,42.72,8.6,108135,UnderReview,MoHFW
2018,IN-MP,LGD-D-4550011,CommunityBased,231388,41.28,7826.11,10046.46,77673.56,Restricted,3484585,23.12,3301404,35844,36.71,40.51,20.23,75835,UnderReview,ESIC
2017,IN-NL,LGD-D-4396106,StateScheme,1900384,25.3,8902.86,8814.25,98117.54,Preferred,6090185,28.55,1388863,186120,3.18,69.48,23.79,194559,Approved,IRDAI
2019,IN-MP,LGD-D-6215824,ESIC,1279782,85.48,9023.1,20823.88,121429.16,Restricted,2938114,33.43,2454840,662568,21.78,28.43,28.21,142632,PendingDocs,ESIC
2022,IN-GA,LGD-D-1534941,StateScheme,3352252,20.7,20317.77,9551.58,10323.36,Open,1933090,26.07,455789,486621,33.01,12.74,23.27,59888,UnderReview,ESIC
2021,IN-MZ,LGD-D-9017787,PMJAY,2419287,61.71,31753.65,10242.64,142230.75,Open,2435200,30.48,1636933,497005,18.11,31.91,31.24,18988,NotApplicable,ESIC
2024,IN-GA,LGD-D-6577454,ESIC,123170,94.7,17646.03,18063.28,70697.33,EHS_Network,7322242,21.08,294492,92735,45.18,58.08,30.58,246477,UnderReview,MoHFW
2017,IN-OD,LGD-D-8617971,StateScheme,202629,56.77,13609.79,3707.66,97910.58,Restricted,4272199,11.59,202269,318862,33.64,3.57,2.42,68004,PendingDocs,ESIC
2024,IN-RJ,LGD-D-8470055,PrivateGroup,512064,97.92,4531.19,18038.36,42802.31,Restricted,2190816,26.06,3732475,184554,30.89,53.94,17.19,128692,PendingDocs,NIC
2020,IN-PY,LGD-D-4595133,Mixed,2013956,51.99,31254.77,13631.43,133984.13,Open,11299757,32.23,198803,185404,2.94,21.72,18.58,204345,NotApplicable,StateHealthDept
2018,IN-NL,LGD-D-4245535,CGHS,1583098,34.66,22263.37,15181.85,145929.31,Preferred,1438701,21.92,1150313,435652,30.94,68.68,20.78,227159,Rejected,ESIC
2019,IN-PY,LGD-D-4344107,Mixed,251465,69.76,3859.51,13492.26,142139.91,Preferred,590917,17.09,3150518,190157,28.73,60.29,4.3,238689,PendingDocs,NIC
2023,IN-DL,LGD-D-4573249,CommunityBased,41409,58.15,12533.67,12683.25,60847.71,Restricted,2039729,10.65,4068689,676765,30.83,37.05,19.21,112245,Rejected,NIC
2022,IN-GA,LGD-D-4195613,CGHS,1521624,46.26,9971.86,15835.15,113537.25,EHS_Network,6854844,9.46,3099922,586,0.55,82.53,31.45,197769,UnderReview,NIC
2020,IN-HR,LGD-D-3429051,CGHS,433461,90.54,5478.56,4543.16,46984.0,Preferred,6345061,2.4,54139,320463,6.71,54.73,29.06,154033,Approved,StateHealthDept
2016,IN-TR,LGD-D-9540193,PMJAY,464172,47.65,29789.93,9021.46,138390.34,Restricted,4318983,26.83,2169607,581022,4.0,43.59,24.8,53969,Rejected,NIC
2021,IN-AS,LGD-D-3717354,ESIC,2011230,31.0,11308.86,10933.43,41494.51,Restricted,3844785,1.5,4388147,486288,0.16,39.06,17.21,166813,PendingDocs,CGHS
2020,IN-ML,LGD-D-1697555,CGHS,3332339,56.08,26095.53,5287.09,64723.05,EHS_Network,6645664,1.34,3181866,43779,43.56,39.64,2.57,230872,NotApplicable,ESIC
2018,IN-JK,LGD-D-5647987,CGHS,535202,92.85,17995.1,7988.36,45197.88,Preferred,6902821,23.26,1870878,357692,16.55,49.37,14.44,36764,Approved,NIC
2023,IN-UP,LGD-D-1436103,Mixed,774571,57.83,24240.07,8426.33,122326.77,Open,9776322,2.46,944301,61080,24.73,64.08,33.7,11382,NotApplicable,NHA
2025,IN-WB,LGD-D-1760973,PrivateGroup,3206534,52.38,15560.02,8650.88,15895.88,Preferred,92291,28.52,3778518,619747,24.21,59.08,19.16,115197,PendingDocs,NHA
2020,IN-CH,LGD-D-9113911,PrivateGroup,801167,78.03,10738.6,10591.64,10600.97,Tiered,6311957,10.35,1705097,161100,46.05,0.14,18.62,213027,NotApplicable,IRDAI
2025,IN-GA,LGD-D-6431259,PrivateGroup,2640331,35.21,28001.74,14440.08,30579.34,Tiered,6446527,11.13,3436764,229845,3.12,81.33,14.35,179858,Approved,StateHealthDept
2016,IN-KA,LGD-D-6201614,CommunityBased,1186268,43.53,14606.78,24275.59,126477.67,Open,453777,9.84,2520652,660429,26.93,52.11,28.31,247981,PendingDocs,CGHS
2017,IN-BR,LGD-D-2405775,ESIC,379310,21.88,12906.16,9099.34,36989.73,Restricted,4455762,8.53,280536,421695,39.71,10.08,15.19,161992,UnderReview,StateHealthDept
2025,IN-TS,LGD-D-8734982,CommunityBased,1591775,78.79,31134.9,15599.41,108510.61,Open,4803677,14.23,3714481,628223,52.45,84.25,1.0,73187,PendingDocs,MoHFW
2021,IN-MH,LGD-D-5280465,CGHS,2203671,40.82,21590.64,4980.05,145309.94,Open,11935644,15.63,5465664,399577,13.96,0.91,33.99,9236,Approved,ESIC
2025,IN-GJ,LGD-D-8866828,ESIC,2760898,96.91,15857.63,24893.88,10555.34,Open,10720940,0.95,2150587,491683,21.43,14.09,11.27,215376,NotApplicable,IRDAI
2020,IN-PB,LGD-D-3554658,StateScheme,2307159,39.67,22381.73,22546.22,143414.81,Tiered,8032597,22.04,661703,353182,34.56,76.81,15.17,150102,NotApplicable,StateHealthDept
2024,IN-AS,LGD-D-6317700,Mixed,3137796,57.43,6189.45,6538.26,91809.7,EHS_Network,3659503,6.3,3008386,198697,32.39,70.89,4.46,2678,Rejected,NHA
2017,IN-MZ,LGD-D-2576799,Mixed,2017857,95.06,9916.86,18842.57,134329.99,EHS_Network,4934641,6.51,4629400,286372,50.17,76.95,21.19,127148,UnderReview,NIC
2019,IN-PB,LGD-D-3078887,ESIC,2992750,76.86,7597.53,13872.87,10811.72,Tiered,1729538,34.87,2971750,341009,27.73,36.18,34.0,5209,Approved,CGHS
2018,IN-TR,LGD-D-3656647,PMJAY,916873,19.85,22612.74,253.73,85915.08,Restricted,8289369,11.66,5337340,542116,7.29,0.67,20.12,172592,UnderReview,IRDAI
2020,IN-TN,LGD-D-2294506,CommunityBased,1245735,12.17,6139.37,19810.84,63471.15,Restricted,11405850,0.89,2767140,446965,2.33,20.58,33.48,178211,Approved,NIC
2020,IN-AP,LGD-D-3208300,CommunityBased,2854606,15.08,15778.81,19010.23,66387.13,Restricted,4086294,1.68,1917627,210816,1.16,51.8,30.66,209843,Rejected,IRDAI
2019,IN-AN,LGD-D-9825127,ESIC,2350002,18.88,22569.75,5614.85,131601.46,EHS_Network,6246780,31.64,5150463,498982,24.71,83.35,30.34,58766,Rejected,NHA
2022,IN-JK,LGD-D-1652084,PrivateGroup,2218307,89.82,3298.09,15529.85,44364.44,Preferred,1398943,6.58,2068390,53744,2.59,0.53,13.97,92467,UnderReview,IRDAI
2024,IN-KA,LGD-D-7319522,Mixed,3003503,55.13,20848.79,8435.95,89529.87,Open,4487110,23.25,2327344,59722,30.62,29.57,15.52,106958,NotApplicable,NHA
2018,IN-OD,LGD-D-1549955,PMJAY,219257,63.08,20499.35,5385.7,141673.49,Tiered,9265396,3.4,1803487,5209,17.55,17.26,31.81,219285,PendingDocs,NHA
2020,IN-CH,LGD-D-7555707,CGHS,2945539,1.14,18479.74,22025.67,104301.4,Tiered,9777867,2.61,5161900,674432,7.92,10.07,34.39,28297,NotApplicable,ESIC
2019,IN-KL,LGD-D-8684805,CommunityBased,867997,54.48,19417.95,15229.28,109116.38,Preferred,6894056,22.07,2859854,113921,35.21,55.42,34.36,141412,Rejected,NHA
2019,IN-RJ,LGD-D-7970236,PMJAY,2000805,59.98,26646.5,15623.9,23484.04,Preferred,1874901,5.15,5156059,569789,22.44,83.32,1.25,203111,Approved,MoHFW
2022,IN-RJ,LGD-D-6606502,ESIC,147862,20.28,1472.36,9978.72,149911.57,Tiered,3743034,16.16,244270,31199,30.85,58.44,16.23,235095,NotApplicable,CGHS
2021,IN-HP,LGD-D-7305881,StateScheme,3485118,79.97,4574.73,14167.48,31222.96,Restricted,4946017,32.22,1264714,62100,39.86,76.03,31.85,81931,Approved,NHA
2018,IN-WB,LGD-D-9394638,PMJAY,962601,54.87,2365.42,9723.51,51976.69,Open,4969500,27.97,5414462,429924,2.31,47.7,22.86,239402,PendingDocs,IRDAI
2021,IN-PB,LGD-D-6229127,CGHS,2250014,38.96,27016.41,24756.07,130176.2,Restricted,1620538,31.05,4910100,561267,23.32,73.89,29.84,106475,Rejected,IRDAI
2020,IN-BR,LGD-D-1137309,CGHS,3173738,13.3,11711.18,22272.88,37545.65,Tiered,8663716,29.9,2901353,578883,35.8,34.38,27.92,45082,Rejected,CGHS
2021,IN-RJ,LGD-D-4327454,PMJAY,527168,25.22,16111.25,14342.65,25056.14,Open,7842036,33.54,793707,4302,35.73,28.04,30.0,141095,Approved,NIC
2024,IN-MZ,LGD-D-6573385,Mixed,2757935,40.19,16607.3,4857.67,63909.78,Tiered,67247,12.37,3676951,419747,3.67,29.4,27.92,196158,Approved,CGHS
2024,IN-MP,LGD-D-2101273,Mixed,3476476,36.1,16553.06,23576.13,137360.44,EHS_Network,5604720,31.23,1373782,634925,19.55,74.85,5.78,98602,Rejected,StateHealthDept
2025,IN-AP,LGD-D-8116044,CommunityBased,456093,80.89,9536.94,22907.33,24837.72,Tiered,5768595,15.86,3769920,360689,23.86,11.15,7.68,32386,NotApplicable,NIC
2017,IN-LA,LGD-D-5826488,CommunityBased,3383338,79.61,3047.69,942.64,120185.87,Open,9350560,9.01,5789831,60938,28.51,66.68,27.47,72176,Approved,CGHS
2024,IN-GA,LGD-D-9630392,StateScheme,1466735,10.19,17530.21,3540.06,81374.18,Restricted,3933431,8.86,3037954,448685,29.46,57.75,28.13,245444,Approved,CGHS
2018,IN-KL,LGD-D-2195512,ESIC,2187977,11.27,34932.69,2446.26,68684.39,Preferred,1170629,6.76,4456431,104580,31.63,25.36,9.13,14783,NotApplicable,NHA
2018,IN-TR,LGD-D-3744369,PrivateGroup,306078,80.54,7219.79,11909.25,101369.02,EHS_Network,11191541,23.13,2197660,444397,30.02,53.43,15.74,64117,Rejected,ESIC
2020,IN-CH,LGD-D-2609317,PrivateGroup,3059626,81.73,21165.06,6737.88,54116.51,Open,5152413,18.93,76017,203121,25.33,82.85,18.97,208776,Approved,NIC
2016,IN-GA,LGD-D-2158840,StateScheme,126068,14.14,20971.23,14752.86,3579.14,EHS_Network,354631,20.36,5658410,498811,11.09,61.78,27.42,132367,NotApplicable,MoHFW
2020,IN-GA,LGD-D-1463656,Mixed,679165,6.28,24057.92,20084.61,41743.19,Open,9129764,23.62,5169139,489052,17.54,8.8,17.66,130536,PendingDocs,MoHFW
2019,IN-KL,LGD-D-7666284,Mixed,799190,37.97,31424.66,13691.62,110586.12,Preferred,4305817,17.85,4789853,429524,43.69,46.03,29.86,71856,NotApplicable,MoHFW
2024,IN-DH,LGD-D-5535567,CommunityBased,1423640,21.81,13657.48,17281.83,49463.85,Tiered,114027,6.25,4193897,462870,46.87,52.59,24.54,236305,Approved,IRDAI
2022,IN-CG,LGD-D-4611821,Mixed,3387680,88.86,12177.65,14754.78,12535.11,EHS_Network,3246560,20.24,3847598,156110,30.3,35.24,11.72,232685,UnderReview,StateHealthDept
2020,IN-NL,LGD-D-4784934,StateScheme,2011413,29.89,14551.39,11527.87,54889.27,Preferred,5630880,21.27,5608174,694885,50.15,12.66,22.93,177781,NotApplicable,NHA
2020,IN-CH,LGD-D-6335945,Mixed,572732,65.9,8717.36,8478.18,75326.11,Restricted,9723289,16.64,1248721,206028,43.77,38.97,5.29,129814,UnderReview,NIC
2019,IN-NL,LGD-D-5988475,StateScheme,1931273,21.89,12077.52,24807.43,50180.08,Restricted,7798567,12.05,559212,106773,46.39,58.99,9.92,89187,Approved,StateHealthDept
2016,IN-GA,LGD-D-8596716,CGHS,626259,71.11,22467.24,23760.5,112127.04,Restricted,1854317,26.73,2045389,24555,0.83,28.79,23.39,35126,Rejected,MoHFW
2018,IN-JK,LGD-D-7171652,CGHS,3060122,95.03,18846.2,14712.65,12346.77,EHS_Network,7011586,26.18,3678613,520056,11.57,63.12,10.83,1920,Approved,MoHFW
2016,IN-MP,LGD-D-2473329,PrivateGroup,1635455,50.26,5608.07,19476.53,13195.89,Restricted,8916086,13.79,5227694,400183,15.55,66.59,14.81,216036,PendingDocs,StateHealthDept
2019,IN-BR,LGD-D-6016138,StateScheme,2767835,3.97,6502.14,22639.85,115766.9,Restricted,9865264,32.11,4387007,274467,50.07,35.52,12.24,36543,Approved,MoHFW
2021,IN-LD,LGD-D-7638831,PrivateGroup,687671,74.21,33453.12,6834.69,33044.65,Restricted,11201484,10.57,1531599,655904,5.01,12.89,8.95,219658,PendingDocs,StateHealthDept
2017,IN-WB,LGD-D-5195439,PrivateGroup,693580,10.13,30729.89,4513.6,114783.22,Restricted,11240209,34.22,2211198,355059,15.18,41.58,10.11,110897,NotApplicable,MoHFW
2019,IN-DH,LGD-D-1733720,StateScheme,2358749,61.51,28794.48,5865.4,57207.73,Restricted,5798007,25.86,5536715,177698,22.11,65.99,22.19,69407,PendingDocs,ESIC
2016,IN-GA,LGD-D-5473390,StateScheme,474560,1.66,22242.9,2609.78,48903.76,Open,10612635,20.41,609072,127949,6.84,63.21,30.89,114678,Rejected,IRDAI
2024,IN-MZ,LGD-D-1472091,CGHS,482797,57.71,29372.15,14780.82,148587.76,EHS_Network,10992111,19.51,1799193,202995,32.44,23.46,6.65,171295,NotApplicable,ESIC
2017,IN-DL,LGD-D-1234102,PMJAY,3198071,6.97,34200.84,2591.41,139479.41,Restricted,8762207,22.81,1734939,211152,14.17,43.43,15.8,11323,Approved,MoHFW
2024,IN-GA,LGD-D-5796604,ESIC,2154535,15.19,19094.8,20698.57,9757.56,Open,9766196,19.25,3658829,446292,50.71,25.04,8.4,249629,PendingDocs,MoHFW
2018,IN-UP,LGD-D-7481511,StateScheme,3248391,38.77,34120.18,18234.21,68172.94,Open,3027818,20.02,731876,274285,24.63,11.39,11.03,205135,UnderReview,NIC
2021,IN-LA,LGD-D-3298172,StateScheme,1872955,60.65,34078.07,3047.76,82947.49,Preferred,2221336,12.2,5243964,181705,19.35,15.11,33.71,124540,NotApplicable,ESIC
2023,IN-WB,LGD-D-8841162,PrivateGroup,2304652,74.74,18642.87,4070.74,127893.96,EHS_Network,11863152,27.94,3379167,271070,35.2,75.87,21.47,184824,NotApplicable,MoHFW
2018,IN-HP,LGD-D-5442108,ESIC,1333549,83.85,28939.45,10507.7,13479.67,EHS_Network,1051866,29.92,5909390,239426,34.35,70.82,24.19,20368,UnderReview,StateHealthDept
2025,IN-MP,LGD-D-7552883,StateScheme,3074151,78.06,1369.9,9840.49,127747.88,Restricted,10518526,34.52,258564,96267,31.46,36.11,26.17,117683,UnderReview,StateHealthDept
2022,IN-AN,LGD-D-3299721,CGHS,3271644,5.51,18467.27,2556.87,114793.99,Restricted,8728661,0.62,3933757,27286,51.22,63.08,16.55,153369,PendingDocs,CGHS
2020,IN-HR,LGD-D-3424894,CommunityBased,649287,2.32,5348.63,21869.5,66061.61,Tiered,9196412,34.01,2612497,177966,27.08,27.52,9.86,179026,PendingDocs,CGHS
2019,IN-TR,LGD-D-9878366,Mixed,2533709,93.81,27330.3,12767.69,89570.88,Preferred,6950249,28.47,1108515,166770,5.45,28.72,1.48,145897,Approved,ESIC
2021,IN-WB,LGD-D-5962081,PMJAY,892957,62.37,28623.75,17624.5,88324.22,Open,6553820,16.31,4192642,262592,3.72,77.72,29.73,207315,PendingDocs,NHA
2019,IN-TS,LGD-D-2973285,Mixed,311504,66.88,19985.45,13138.4,71371.18,Tiered,7565963,0.52,5889906,581190,23.7,69.68,3.12,6559,UnderReview,NHA
2023,IN-MZ,LGD-D-7294142,CGHS,1580256,50.71,22795.4,8356.54,117641.33,Preferred,4545262,29.66,184352,444092,13.13,29.85,30.39,29908,PendingDocs,IRDAI
