safe_terror_reference_year,safe_terror_country_iso2,safe_terror_attack_type_code,safe_terror_attack_count,safe_terror_fatalities_count,safe_terror_injuries_count,safe_terror_arrests_count,safe_terror_plot_disrupted_count,safe_terror_radicalisation_channel_code,safe_terror_online_propaganda_takedowns_count,safe_terror_foreign_fighter_returnees_count,safe_terror_financing_case_count,safe_terror_ct_policy_measure_code,safe_terror_public_alert_level_code,safe_terror_critical_infrastructure_threat_flag,safe_terror_cross_border_cooperation_flag,safe_terror_eu_agency_dataset,safe_terror_data_source,safe_terror_revision_round,safe_terror_data_extract_date
2025,PT,ATTACK_COMPLETED,4,2,29,209,24,FAMILY_PEER,2164,24,50,ONLINE_CONTENT_ACTION,GUARDED,0,0,FRA_DATA,COURT_CASES_REGISTER,FIRST,2024-01-22
2006,SE,VEHICLE_ATTACK,3,6,1,113,33,TRAVEL_RELATED,3928,21,40,DERADICALISATION_PROGRAM,LOW,0,0,EUROPOL_TE_SAT,EUROPOL_TE_SAT,FLASH,2026-02-24
2007,CY,SABOTAGE,9,19,28,226,31,UNKNOWN,13,56,10,BORDER_SCREENING,SEVERE,0,0,ENISA_SECTOR_NOTE,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-07-14
2008,FR,ARSON,6,5,35,7,3,ONLINE,2610,6,51,CRITICAL_INFRA_PROTECTION,HIGH,0,1,EU_INTEL_SITCEN,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-10-14
2009,IT,EXPLOSIVE_DEVICE,5,10,41,137,22,PRISON,921,23,86,CT_STRATEGY_UPDATE,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,COURT_CASES_REGISTER,FIRST,2024-09-24
2010,NL,ATTACK_ATTEMPTED,9,15,9,90,10,IN_PERSON_NETWORK,1129,49,8,FINANCIAL_SANCTIONS,GUARDED,1,0,FRA_DATA,EUROPOL_TE_SAT,FLASH,2025-02-06
2011,SI,STABBING,3,2,18,20,24,FAMILY_PEER,3287,63,60,INTELLIGENCE_SHARING,LOW,0,1,EUROPOL_TE_SAT,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-10-14
2012,BG,FIREARM,2,2,8,151,16,TRAVEL_RELATED,471,24,50,ONLINE_CONTENT_ACTION,SEVERE,0,1,ENISA_SECTOR_NOTE,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-08-12
2013,EE,ATTACK_COMPLETED,7,13,18,223,28,UNKNOWN,1005,7,59,DERADICALISATION_PROGRAM,HIGH,0,0,EU_INTEL_SITCEN,COURT_CASES_REGISTER,FIRST,2024-01-09
2014,HU,VEHICLE_ATTACK,1,2,8,79,6,ONLINE,2981,67,14,BORDER_SCREENING,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,EUROPOL_TE_SAT,FLASH,2024-02-24
2015,LU,SABOTAGE,8,6,12,175,11,PRISON,3145,36,61,CRITICAL_INFRA_PROTECTION,GUARDED,0,1,FRA_DATA,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-10-02
2016,RO,ARSON,8,2,11,40,3,IN_PERSON_NETWORK,4015,29,54,CT_STRATEGY_UPDATE,LOW,0,1,EUROPOL_TE_SAT,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-11-14
2017,AT,EXPLOSIVE_DEVICE,7,23,57,21,1,FAMILY_PEER,3359,1,89,FINANCIAL_SANCTIONS,SEVERE,0,1,ENISA_SECTOR_NOTE,COURT_CASES_REGISTER,FIRST,2025-09-05
2018,CZ,ATTACK_ATTEMPTED,0,0,0,75,21,TRAVEL_RELATED,4187,8,3,INTELLIGENCE_SHARING,HIGH,1,1,EU_INTEL_SITCEN,EUROPOL_TE_SAT,FLASH,2025-05-10
2019,DE,STABBING,2,1,1,102,12,UNKNOWN,347,54,36,ONLINE_CONTENT_ACTION,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-08-25
2020,LV,FIREARM,8,30,41,28,2,ONLINE,11230,75,9,DERADICALISATION_PROGRAM,GUARDED,0,1,FRA_DATA,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-04-30
2021,PL,ATTACK_COMPLETED,5,3,33,3,17,PRISON,2416,30,6,BORDER_SCREENING,LOW,1,1,EUROPOL_TE_SAT,COURT_CASES_REGISTER,FIRST,2025-08-18
2022,ES,VEHICLE_ATTACK,10,16,70,58,16,IN_PERSON_NETWORK,861,4,54,CRITICAL_INFRA_PROTECTION,SEVERE,0,1,ENISA_SECTOR_NOTE,EUROPOL_TE_SAT,FLASH,2026-01-09
2023,HR,SABOTAGE,9,0,15,157,6,FAMILY_PEER,3888,40,54,CT_STRATEGY_UPDATE,HIGH,0,0,EU_INTEL_SITCEN,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-11-18
2024,FI,ARSON,2,1,8,152,8,TRAVEL_RELATED,2678,40,35,FINANCIAL_SANCTIONS,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-04-22
2025,IE,EXPLOSIVE_DEVICE,10,40,17,185,17,UNKNOWN,718,0,63,INTELLIGENCE_SHARING,GUARDED,0,0,FRA_DATA,COURT_CASES_REGISTER,FIRST,2024-04-20
2006,MT,ATTACK_ATTEMPTED,5,1,39,113,2,ONLINE,10206,33,36,ONLINE_CONTENT_ACTION,LOW,0,0,EUROPOL_TE_SAT,EUROPOL_TE_SAT,FLASH,2024-02-27
2007,SK,STABBING,11,12,33,129,19,PRISON,3963,53,2,DERADICALISATION_PROGRAM,SEVERE,0,1,ENISA_SECTOR_NOTE,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-10-12
2008,BE,FIREARM,8,11,66,39,13,IN_PERSON_NETWORK,2834,61,1,BORDER_SCREENING,HIGH,0,1,EU_INTEL_SITCEN,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-06-08
2009,DK,ATTACK_COMPLETED,4,4,6,40,18,FAMILY_PEER,3199,73,47,CRITICAL_INFRA_PROTECTION,ELEVATED,1,1,FRONTEX_RISK_ANALYSIS,COURT_CASES_REGISTER,FIRST,2024-06-11
2010,GR,VEHICLE_ATTACK,9,9,86,201,12,TRAVEL_RELATED,4018,64,12,CT_STRATEGY_UPDATE,GUARDED,0,1,FRA_DATA,EUROPOL_TE_SAT,FLASH,2025-07-04
2011,LT,SABOTAGE,5,1,29,9,5,UNKNOWN,951,38,41,FINANCIAL_SANCTIONS,LOW,0,0,EUROPOL_TE_SAT,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-02-09
2012,PT,ARSON,5,5,7,213,20,ONLINE,3041,28,50,INTELLIGENCE_SHARING,SEVERE,0,0,ENISA_SECTOR_NOTE,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-12-01
2013,SE,EXPLOSIVE_DEVICE,5,7,60,168,10,PRISON,3701,44,51,ONLINE_CONTENT_ACTION,HIGH,0,1,EU_INTEL_SITCEN,COURT_CASES_REGISTER,FIRST,2025-04-03
2014,CY,ATTACK_ATTEMPTED,8,6,34,242,35,IN_PERSON_NETWORK,1389,26,11,DERADICALISATION_PROGRAM,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,EUROPOL_TE_SAT,FLASH,2024-10-29
2015,FR,STABBING,8,4,20,62,27,FAMILY_PEER,3602,32,15,BORDER_SCREENING,GUARDED,0,0,FRA_DATA,NATIONAL_SECURITY_SERVICE,BENCHMARK,2026-01-16
2016,IT,FIREARM,9,22,61,72,3,TRAVEL_RELATED,2854,10,63,CRITICAL_INFRA_PROTECTION,LOW,0,1,EUROPOL_TE_SAT,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-02-15
2017,NL,ATTACK_COMPLETED,11,18,52,56,4,UNKNOWN,437,41,53,CT_STRATEGY_UPDATE,SEVERE,0,1,ENISA_SECTOR_NOTE,COURT_CASES_REGISTER,FIRST,2024-09-14
2018,SI,VEHICLE_ATTACK,7,29,58,173,11,ONLINE,63,49,7,FINANCIAL_SANCTIONS,HIGH,1,0,EU_INTEL_SITCEN,EUROPOL_TE_SAT,FLASH,2025-12-28
2019,BG,SABOTAGE,6,1,29,183,6,PRISON,2789,40,62,INTELLIGENCE_SHARING,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-07-19
2020,EE,ARSON,5,5,33,100,17,IN_PERSON_NETWORK,4007,10,67,ONLINE_CONTENT_ACTION,GUARDED,1,0,FRA_DATA,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-06-20
2021,HU,EXPLOSIVE_DEVICE,1,2,14,128,16,FAMILY_PEER,3056,14,44,DERADICALISATION_PROGRAM,LOW,1,1,EUROPOL_TE_SAT,COURT_CASES_REGISTER,FIRST,2024-03-16
2022,LU,ATTACK_ATTEMPTED,8,11,14,84,36,TRAVEL_RELATED,3755,25,20,BORDER_SCREENING,SEVERE,0,0,ENISA_SECTOR_NOTE,EUROPOL_TE_SAT,FLASH,2024-11-18
2023,RO,STABBING,7,1,21,236,38,UNKNOWN,4035,15,81,CRITICAL_INFRA_PROTECTION,HIGH,0,0,EU_INTEL_SITCEN,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-06-03
2024,AT,FIREARM,7,27,49,191,21,ONLINE,2075,33,48,CT_STRATEGY_UPDATE,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-02-13
2025,CZ,ATTACK_COMPLETED,6,1,29,171,5,PRISON,2692,38,12,FINANCIAL_SANCTIONS,GUARDED,0,0,FRA_DATA,COURT_CASES_REGISTER,FIRST,2024-05-21
2006,DE,VEHICLE_ATTACK,7,2,87,77,33,IN_PERSON_NETWORK,3287,45,44,INTELLIGENCE_SHARING,LOW,1,0,EUROPOL_TE_SAT,EUROPOL_TE_SAT,FLASH,2025-05-20
2007,LV,SABOTAGE,11,0,79,248,0,FAMILY_PEER,2165,21,63,ONLINE_CONTENT_ACTION,SEVERE,0,0,ENISA_SECTOR_NOTE,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-10-10
2008,PL,ARSON,1,1,8,164,16,TRAVEL_RELATED,3822,27,84,DERADICALISATION_PROGRAM,HIGH,0,1,EU_INTEL_SITCEN,INTERIOR_MINISTRY_BRIEFING,SECOND,2026-01-06
2009,ES,EXPLOSIVE_DEVICE,10,17,29,203,38,UNKNOWN,2354,68,95,BORDER_SCREENING,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,COURT_CASES_REGISTER,FIRST,2025-12-09
2010,HR,ATTACK_ATTEMPTED,9,19,47,8,11,ONLINE,8681,53,31,CRITICAL_INFRA_PROTECTION,GUARDED,0,0,FRA_DATA,EUROPOL_TE_SAT,FLASH,2025-12-09
2011,FI,STABBING,6,0,12,40,15,PRISON,3395,50,33,CT_STRATEGY_UPDATE,LOW,1,1,EUROPOL_TE_SAT,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-11-13
2012,IE,FIREARM,3,7,13,129,7,IN_PERSON_NETWORK,123,64,53,FINANCIAL_SANCTIONS,SEVERE,0,0,ENISA_SECTOR_NOTE,INTERIOR_MINISTRY_BRIEFING,SECOND,2026-02-22
2013,MT,ATTACK_COMPLETED,3,0,19,178,31,FAMILY_PEER,1807,43,52,INTELLIGENCE_SHARING,HIGH,0,1,EU_INTEL_SITCEN,COURT_CASES_REGISTER,FIRST,2024-07-26
2014,SK,VEHICLE_ATTACK,1,3,3,150,35,TRAVEL_RELATED,32,62,5,ONLINE_CONTENT_ACTION,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,EUROPOL_TE_SAT,FLASH,2024-03-22
2015,BE,SABOTAGE,3,2,18,84,10,UNKNOWN,2183,0,55,DERADICALISATION_PROGRAM,GUARDED,0,0,FRA_DATA,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-05-29
2016,DK,ARSON,6,10,40,225,35,ONLINE,1712,34,4,BORDER_SCREENING,LOW,0,0,EUROPOL_TE_SAT,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-04-06
2017,GR,EXPLOSIVE_DEVICE,0,0,0,123,3,PRISON,3646,59,48,CRITICAL_INFRA_PROTECTION,SEVERE,0,0,ENISA_SECTOR_NOTE,COURT_CASES_REGISTER,FIRST,2025-11-03
2018,LT,ATTACK_ATTEMPTED,7,10,61,97,4,IN_PERSON_NETWORK,1018,55,56,CT_STRATEGY_UPDATE,HIGH,1,0,EU_INTEL_SITCEN,EUROPOL_TE_SAT,FLASH,2025-11-13
2019,PT,STABBING,8,15,49,118,40,FAMILY_PEER,2013,37,7,FINANCIAL_SANCTIONS,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-02-29
2020,SE,FIREARM,6,5,49,101,5,TRAVEL_RELATED,2469,10,64,INTELLIGENCE_SHARING,GUARDED,0,1,FRA_DATA,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-12-31
2021,CY,ATTACK_COMPLETED,4,1,37,77,32,UNKNOWN,1273,1,50,ONLINE_CONTENT_ACTION,LOW,0,0,EUROPOL_TE_SAT,COURT_CASES_REGISTER,FIRST,2024-03-11
2022,FR,VEHICLE_ATTACK,4,10,51,4,9,ONLINE,9247,1,0,DERADICALISATION_PROGRAM,SEVERE,0,1,ENISA_SECTOR_NOTE,EUROPOL_TE_SAT,FLASH,2026-01-27
2023,IT,SABOTAGE,10,10,95,22,12,PRISON,1414,12,21,BORDER_SCREENING,HIGH,0,1,EU_INTEL_SITCEN,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-10-25
2024,NL,ARSON,8,5,51,99,15,IN_PERSON_NETWORK,342,19,46,CRITICAL_INFRA_PROTECTION,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-02-22
2025,SI,EXPLOSIVE_DEVICE,7,7,89,157,21,FAMILY_PEER,1753,7,15,CT_STRATEGY_UPDATE,GUARDED,0,0,FRA_DATA,COURT_CASES_REGISTER,FIRST,2025-05-02
2006,BG,ATTACK_ATTEMPTED,11,21,21,22,3,TRAVEL_RELATED,2544,54,55,FINANCIAL_SANCTIONS,LOW,0,1,EUROPOL_TE_SAT,EUROPOL_TE_SAT,FLASH,2024-05-12
2007,EE,STABBING,7,0,25,89,11,UNKNOWN,1906,34,33,INTELLIGENCE_SHARING,SEVERE,0,1,ENISA_SECTOR_NOTE,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-01-07
2008,HU,FIREARM,10,1,81,115,11,ONLINE,8950,14,51,ONLINE_CONTENT_ACTION,HIGH,0,1,EU_INTEL_SITCEN,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-03-07
2009,LU,ATTACK_COMPLETED,10,15,81,252,30,PRISON,1387,75,39,DERADICALISATION_PROGRAM,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,COURT_CASES_REGISTER,FIRST,2024-10-07
2010,RO,VEHICLE_ATTACK,10,21,4,15,8,IN_PERSON_NETWORK,3510,6,26,BORDER_SCREENING,GUARDED,0,0,FRA_DATA,EUROPOL_TE_SAT,FLASH,2025-03-27
2011,AT,SABOTAGE,9,17,36,147,15,FAMILY_PEER,2967,37,48,CRITICAL_INFRA_PROTECTION,LOW,0,1,EUROPOL_TE_SAT,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-10-07
2012,CZ,ARSON,8,11,39,150,19,TRAVEL_RELATED,3174,18,9,CT_STRATEGY_UPDATE,SEVERE,0,0,ENISA_SECTOR_NOTE,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-04-15
2013,DE,EXPLOSIVE_DEVICE,11,26,95,24,22,UNKNOWN,2072,1,60,FINANCIAL_SANCTIONS,HIGH,0,0,EU_INTEL_SITCEN,COURT_CASES_REGISTER,FIRST,2024-03-10
2014,LV,ATTACK_ATTEMPTED,1,0,0,181,11,ONLINE,8118,28,16,INTELLIGENCE_SHARING,ELEVATED,1,1,FRONTEX_RISK_ANALYSIS,EUROPOL_TE_SAT,FLASH,2024-03-08
2015,PL,STABBING,10,10,19,171,36,PRISON,364,8,56,ONLINE_CONTENT_ACTION,GUARDED,0,0,FRA_DATA,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-10-29
2016,ES,FIREARM,1,1,8,87,42,IN_PERSON_NETWORK,640,48,34,DERADICALISATION_PROGRAM,LOW,1,1,EUROPOL_TE_SAT,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-11-25
2017,HR,ATTACK_COMPLETED,6,1,47,110,3,FAMILY_PEER,2402,38,18,BORDER_SCREENING,SEVERE,0,1,ENISA_SECTOR_NOTE,COURT_CASES_REGISTER,FIRST,2024-09-12
2018,FI,VEHICLE_ATTACK,4,5,52,98,26,TRAVEL_RELATED,1140,58,52,CRITICAL_INFRA_PROTECTION,HIGH,0,1,EU_INTEL_SITCEN,EUROPOL_TE_SAT,FLASH,2025-09-30
2019,IE,SABOTAGE,10,16,34,203,19,UNKNOWN,2504,29,2,CT_STRATEGY_UPDATE,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-04-26
2020,MT,ARSON,5,8,26,69,34,ONLINE,12383,65,97,FINANCIAL_SANCTIONS,GUARDED,0,0,FRA_DATA,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-11-23
2021,SK,EXPLOSIVE_DEVICE,11,13,137,193,17,PRISON,1170,11,50,INTELLIGENCE_SHARING,LOW,0,0,EUROPOL_TE_SAT,COURT_CASES_REGISTER,FIRST,2024-07-28
2022,BE,ATTACK_ATTEMPTED,6,2,16,45,0,IN_PERSON_NETWORK,2663,33,19,ONLINE_CONTENT_ACTION,SEVERE,0,1,ENISA_SECTOR_NOTE,EUROPOL_TE_SAT,FLASH,2024-12-30
2023,DK,STABBING,6,10,38,144,27,FAMILY_PEER,1444,2,21,DERADICALISATION_PROGRAM,HIGH,0,0,EU_INTEL_SITCEN,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-05-28
2024,GR,FIREARM,2,8,4,213,34,TRAVEL_RELATED,334,18,68,BORDER_SCREENING,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-10-07
2025,LT,ATTACK_COMPLETED,4,6,25,28,1,UNKNOWN,4086,13,49,CRITICAL_INFRA_PROTECTION,GUARDED,0,0,FRA_DATA,COURT_CASES_REGISTER,FIRST,2026-02-11
2006,PT,VEHICLE_ATTACK,9,20,82,188,5,ONLINE,3391,73,61,CT_STRATEGY_UPDATE,LOW,0,1,EUROPOL_TE_SAT,EUROPOL_TE_SAT,FLASH,2024-01-06
2007,SE,SABOTAGE,7,7,30,22,22,PRISON,3800,39,79,FINANCIAL_SANCTIONS,SEVERE,0,1,ENISA_SECTOR_NOTE,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-01-21
2008,CY,ARSON,7,1,1,124,25,IN_PERSON_NETWORK,942,30,5,INTELLIGENCE_SHARING,HIGH,0,1,EU_INTEL_SITCEN,INTERIOR_MINISTRY_BRIEFING,SECOND,2026-01-14
2009,FR,EXPLOSIVE_DEVICE,8,2,15,222,0,FAMILY_PEER,2537,58,78,ONLINE_CONTENT_ACTION,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,COURT_CASES_REGISTER,FIRST,2025-10-10
2010,IT,ATTACK_ATTEMPTED,2,2,5,125,33,TRAVEL_RELATED,712,35,58,DERADICALISATION_PROGRAM,GUARDED,0,1,FRA_DATA,EUROPOL_TE_SAT,FLASH,2024-11-24
2011,NL,STABBING,1,1,9,50,39,UNKNOWN,1086,16,58,BORDER_SCREENING,LOW,1,0,EUROPOL_TE_SAT,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-08-25
2012,SI,FIREARM,8,0,16,216,39,ONLINE,9073,49,14,CRITICAL_INFRA_PROTECTION,SEVERE,0,1,ENISA_SECTOR_NOTE,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-05-07
2013,BG,ATTACK_COMPLETED,0,0,0,8,25,PRISON,3473,29,42,CT_STRATEGY_UPDATE,HIGH,0,1,EU_INTEL_SITCEN,COURT_CASES_REGISTER,FIRST,2026-01-16
2014,EE,VEHICLE_ATTACK,4,17,41,184,15,IN_PERSON_NETWORK,2231,22,67,FINANCIAL_SANCTIONS,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,EUROPOL_TE_SAT,FLASH,2024-07-15
2015,HU,SABOTAGE,3,1,8,169,34,FAMILY_PEER,3305,72,26,INTELLIGENCE_SHARING,GUARDED,0,1,FRA_DATA,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-08-07
2016,LU,ARSON,6,1,47,39,21,TRAVEL_RELATED,3910,57,53,ONLINE_CONTENT_ACTION,LOW,0,0,EUROPOL_TE_SAT,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-01-17
2017,RO,EXPLOSIVE_DEVICE,1,0,3,11,22,UNKNOWN,567,60,27,DERADICALISATION_PROGRAM,SEVERE,0,1,ENISA_SECTOR_NOTE,COURT_CASES_REGISTER,FIRST,2024-02-09
2018,AT,ATTACK_ATTEMPTED,10,21,46,163,7,ONLINE,9772,36,32,BORDER_SCREENING,HIGH,0,1,EU_INTEL_SITCEN,EUROPOL_TE_SAT,FLASH,2025-07-26
2019,CZ,STABBING,2,1,15,206,42,PRISON,1515,5,54,CRITICAL_INFRA_PROTECTION,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-03-22
2020,DE,FIREARM,11,23,16,240,14,IN_PERSON_NETWORK,1397,38,5,CT_STRATEGY_UPDATE,GUARDED,0,0,FRA_DATA,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-10-07
2021,LV,ATTACK_COMPLETED,11,19,43,54,4,FAMILY_PEER,3009,13,57,FINANCIAL_SANCTIONS,LOW,0,0,EUROPOL_TE_SAT,COURT_CASES_REGISTER,FIRST,2024-05-09
2022,PL,VEHICLE_ATTACK,7,19,22,61,3,TRAVEL_RELATED,723,18,56,INTELLIGENCE_SHARING,SEVERE,0,0,ENISA_SECTOR_NOTE,EUROPOL_TE_SAT,FLASH,2025-05-28
2023,ES,SABOTAGE,6,4,14,245,40,UNKNOWN,758,32,40,ONLINE_CONTENT_ACTION,HIGH,0,1,EU_INTEL_SITCEN,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-09-29
2024,HR,ARSON,2,0,16,215,5,ONLINE,6662,7,3,DERADICALISATION_PROGRAM,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-12-21
2025,FI,EXPLOSIVE_DEVICE,11,44,170,11,1,PRISON,3407,39,4,BORDER_SCREENING,GUARDED,0,1,FRA_DATA,COURT_CASES_REGISTER,FIRST,2025-03-14
2006,IE,ATTACK_ATTEMPTED,4,2,8,160,25,IN_PERSON_NETWORK,4094,6,6,CRITICAL_INFRA_PROTECTION,LOW,0,1,EUROPOL_TE_SAT,EUROPOL_TE_SAT,FLASH,2025-08-18
2007,MT,STABBING,8,2,64,200,39,FAMILY_PEER,3129,47,52,CT_STRATEGY_UPDATE,SEVERE,1,0,ENISA_SECTOR_NOTE,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-11-04
2008,SK,FIREARM,1,3,5,226,35,TRAVEL_RELATED,1797,56,53,FINANCIAL_SANCTIONS,HIGH,0,0,EU_INTEL_SITCEN,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-09-03
2009,BE,ATTACK_COMPLETED,2,3,17,194,5,UNKNOWN,2752,71,53,INTELLIGENCE_SHARING,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,COURT_CASES_REGISTER,FIRST,2025-05-25
2010,DK,VEHICLE_ATTACK,0,0,0,162,20,ONLINE,2503,9,44,ONLINE_CONTENT_ACTION,GUARDED,0,1,FRA_DATA,EUROPOL_TE_SAT,FLASH,2024-07-27
2011,GR,SABOTAGE,8,7,14,192,6,PRISON,1250,28,20,DERADICALISATION_PROGRAM,LOW,0,0,EUROPOL_TE_SAT,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-08-07
2012,LT,ARSON,7,3,51,95,32,IN_PERSON_NETWORK,2953,7,52,BORDER_SCREENING,SEVERE,0,0,ENISA_SECTOR_NOTE,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-09-21
2013,PT,EXPLOSIVE_DEVICE,10,10,24,99,30,FAMILY_PEER,3414,18,51,CRITICAL_INFRA_PROTECTION,HIGH,0,1,EU_INTEL_SITCEN,COURT_CASES_REGISTER,FIRST,2025-11-15
2014,SE,ATTACK_ATTEMPTED,11,18,87,117,1,TRAVEL_RELATED,1506,52,13,CT_STRATEGY_UPDATE,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,EUROPOL_TE_SAT,FLASH,2024-03-24
2015,CY,STABBING,8,3,41,164,24,UNKNOWN,2167,29,31,FINANCIAL_SANCTIONS,GUARDED,0,1,FRA_DATA,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-07-07
2016,FR,FIREARM,6,7,29,109,28,ONLINE,152,3,41,INTELLIGENCE_SHARING,LOW,0,0,EUROPOL_TE_SAT,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-07-23
2017,IT,ATTACK_COMPLETED,11,3,39,15,16,PRISON,3835,1,64,ONLINE_CONTENT_ACTION,SEVERE,0,1,ENISA_SECTOR_NOTE,COURT_CASES_REGISTER,FIRST,2024-03-30
2018,NL,VEHICLE_ATTACK,0,0,0,134,42,IN_PERSON_NETWORK,3913,29,62,DERADICALISATION_PROGRAM,HIGH,0,0,EU_INTEL_SITCEN,EUROPOL_TE_SAT,FLASH,2024-01-01
2019,SI,SABOTAGE,2,4,5,200,29,FAMILY_PEER,4161,59,64,BORDER_SCREENING,ELEVATED,1,1,FRONTEX_RISK_ANALYSIS,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-11-29
2020,BG,ARSON,2,4,2,78,13,TRAVEL_RELATED,2699,37,39,CRITICAL_INFRA_PROTECTION,GUARDED,0,1,FRA_DATA,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-01-22
2021,EE,EXPLOSIVE_DEVICE,2,1,11,236,13,UNKNOWN,1096,22,64,CT_STRATEGY_UPDATE,LOW,0,1,EUROPOL_TE_SAT,COURT_CASES_REGISTER,FIRST,2025-11-02
2022,HU,ATTACK_ATTEMPTED,3,0,10,83,15,ONLINE,5247,29,25,FINANCIAL_SANCTIONS,SEVERE,0,0,ENISA_SECTOR_NOTE,EUROPOL_TE_SAT,FLASH,2025-11-10
2023,LU,STABBING,3,1,25,145,35,PRISON,2998,29,14,INTELLIGENCE_SHARING,HIGH,0,1,EU_INTEL_SITCEN,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-03-27
2024,RO,FIREARM,3,7,6,99,6,IN_PERSON_NETWORK,1355,40,42,ONLINE_CONTENT_ACTION,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-08-04
2025,AT,ATTACK_COMPLETED,6,1,55,108,18,FAMILY_PEER,905,6,54,DERADICALISATION_PROGRAM,GUARDED,0,0,FRA_DATA,COURT_CASES_REGISTER,FIRST,2025-04-16
2006,CZ,VEHICLE_ATTACK,6,12,17,142,11,TRAVEL_RELATED,377,58,64,BORDER_SCREENING,LOW,0,0,EUROPOL_TE_SAT,EUROPOL_TE_SAT,FLASH,2024-01-07
2007,DE,SABOTAGE,9,7,28,86,20,UNKNOWN,1519,41,54,CRITICAL_INFRA_PROTECTION,SEVERE,0,0,ENISA_SECTOR_NOTE,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-04-10
