tax_env_reference_year,tax_env_country_iso2,tax_env_tax_type_code,tax_env_tax_base_unit,tax_env_tax_rate_value,tax_env_tax_revenue_eur,tax_env_tax_revenue_pct_gdp,tax_env_ets_auction_revenue_eur,tax_env_ets_allowances_auctioned_count,tax_env_cbam_revenue_eur,tax_env_energy_tax_revenue_eur,tax_env_transport_tax_revenue_eur,tax_env_pollution_tax_revenue_eur,tax_env_resource_tax_revenue_eur,tax_env_revenue_recycled_to_households_flag,tax_env_green_budget_tagging_flag,tax_env_fossil_fuel_subsidy_eur,tax_env_policy_reference_fit55_flag,tax_env_data_source,tax_env_data_extract_date
2021,IE,POLLUTION,EUR_PER_MWH,36.6237,1423255.48,0.0004,671014165.16,21088962,23104094.61,152710.07,134759.09,428584.03,707202.29,0,1,1175071850.2,1,ETS_AUCTION_PLATFORM,2025-05-02
2022,MT,CARBON,EUR_PER_LITRE,128.1683,132909035.1,0.0408,2764117924.9,21113205,48486165.14,52482951.37,22887007.85,16713647.99,40825427.89,1,1,1169346384.28,1,NATIONAL_ENV_MINISTRY,2024-04-17
2023,SK,TRANSPORT,EUR_PER_TONNE,32.012,14551602.1,0.0044,1059716901.37,21027290,758963537.54,1521239.84,6383056.71,983588.91,5663716.64,1,1,5573462245.09,1,BUDGET_REPORTING,2025-06-08
2024,BE,RESOURCE,EUR_PER_VEHICLE,56.286,39264681.42,0.0119,1731708701.28,21168979,393503051.88,9413065.97,7701794.51,1966184.09,20183636.85,0,0,1633201225.57,0,EUROSTAT_ENV_TAX,2025-08-12
2025,DK,ENERGY,EUR_PER_TCO2,89.1112,54489990.65,0.0163,2193572307.02,21269053,86021910.08,19336079.08,5829785.07,3436728.9,25887397.6,1,1,3614175596.36,1,ETS_AUCTION_PLATFORM,2024-07-03
2026,GR,POLLUTION,EUR_PER_MWH,67.7303,30404208.6,0.009,844542092.71,21184792,298292645.03,6454998.2,3980803.14,10552695.87,9415711.39,1,0,1821200747.14,1,NATIONAL_ENV_MINISTRY,2024-08-22
2010,LT,CARBON,EUR_PER_LITRE,161.0567,125963836.91,0.0372,3364412328.3,21241472,39419059.88,72841518.6,16134574.02,3028560.03,33959184.26,1,1,1617012645.69,0,BUDGET_REPORTING,2025-08-17
2011,PT,TRANSPORT,EUR_PER_TONNE,14.8735,3946454.76,0.0012,1461092217.9,21352284,25994571.49,553565.51,1330014.86,485365.7,1577508.69,0,1,1833525984.52,0,EUROSTAT_ENV_TAX,2024-09-21
2012,SE,RESOURCE,EUR_PER_VEHICLE,10.2824,12662659.6,0.0037,2231366450.11,21429712,47333735.5,813493.94,1329928.7,1248392.67,9270844.29,0,0,2138205310.7,0,ETS_AUCTION_PLATFORM,2024-04-16
2013,CY,ENERGY,EUR_PER_TCO2,16.3997,17309933.99,0.005,2657598309.44,21389356,183511659.28,7485301.88,2014256.53,590938.82,7219436.76,1,1,1416231150.65,0,NATIONAL_ENV_MINISTRY,2024-01-06
2014,FR,POLLUTION,EUR_PER_MWH,140.9513,107041709.22,0.0307,1563222053.8,21479814,202901830.03,12181854.56,8878954.44,21151252.02,64829648.2,1,0,1549754281.77,0,BUDGET_REPORTING,2025-01-09
2015,IT,CARBON,EUR_PER_LITRE,135.7651,232051060.79,0.066,2242887310.68,21528037,34014197.11,117342445.61,36846637.62,20947957.35,56914020.21,1,1,6002355145.86,0,EUROSTAT_ENV_TAX,2025-02-07
2016,NL,TRANSPORT,EUR_PER_TONNE,75.883,108849657.48,0.0308,2491216910.97,21480247,98323240.97,16592449.29,25322399.86,15400636.07,51534172.26,1,1,2422189497.96,1,ETS_AUCTION_PLATFORM,2024-03-12
2017,SI,RESOURCE,EUR_PER_VEHICLE,54.7172,78021367.04,0.0219,2116988511.87,21652190,47727970.16,6414763.52,9031047.7,7660217.06,54915338.76,0,1,2919628445.03,0,NATIONAL_ENV_MINISTRY,2025-06-16
2018,BG,ENERGY,EUR_PER_TCO2,26.0909,45041010.41,0.0125,2364700153.32,21690388,67169217.22,22348948.06,8064325.81,5315197.68,9312538.86,0,0,885105155.23,0,BUDGET_REPORTING,2024-03-03
2019,EE,POLLUTION,EUR_PER_MWH,94.8985,112478087.81,0.0311,1324119728.05,21618839,183153417.07,16423566.99,21980776.14,16739453.41,57334291.27,1,1,3167497176.69,0,EUROSTAT_ENV_TAX,2025-06-18
2020,HU,CARBON,EUR_PER_LITRE,22.728,5025672.47,0.0014,3296506707.69,21607142,187006134.7,1537289.17,979129.23,212392.58,2296861.49,1,0,544996261.26,1,ETS_AUCTION_PLATFORM,2025-02-04
2021,LU,TRANSPORT,EUR_PER_TONNE,68.3404,10547922.07,0.0029,2869311225.07,21676464,208291646.73,1667994.45,3970840.97,1409071.1,3500015.55,0,1,5497711910.03,0,NATIONAL_ENV_MINISTRY,2025-03-27
2022,RO,RESOURCE,EUR_PER_VEHICLE,12.7103,8801631.67,0.0024,493119328.81,21733217,157232098.12,1518411.17,1289852.53,462302.62,5531065.35,1,1,2074811647.96,1,BUDGET_REPORTING,2024-06-02
2023,AT,ENERGY,EUR_PER_TCO2,63.1511,36767457.8,0.0099,2027334211.68,21875835,621640911.84,22056612.82,3068054.83,3850166.06,7792624.09,0,1,3325220834.29,1,EUROSTAT_ENV_TAX,2025-08-22
2024,CZ,POLLUTION,EUR_PER_MWH,113.6806,132945078.01,0.0354,1427510276.28,21781022,816927289.7,13648540.88,19074232.63,15176834.76,85045469.74,1,0,2028377057.7,1,ETS_AUCTION_PLATFORM,2024-01-09
2025,DE,CARBON,EUR_PER_LITRE,25.4331,8921989.77,0.0024,1194447828.43,21892943,467424594.0,4888840.95,1341980.76,793420.28,1897747.78,0,0,1775008594.98,1,NATIONAL_ENV_MINISTRY,2024-11-02
2026,LV,TRANSPORT,EUR_PER_TONNE,166.7765,314333914.88,0.0827,3034091944.18,21908144,15543072.36,74520656.51,140165474.03,35193751.88,64454032.46,0,1,3124529809.06,0,BUDGET_REPORTING,2025-09-06
2010,PL,RESOURCE,EUR_PER_VEHICLE,99.9187,61917001.07,0.0162,1418192745.08,21978127,111196765.9,12054729.0,3999673.87,8062846.59,37799751.61,1,1,4603479624.24,0,EUROSTAT_ENV_TAX,2025-08-05
2011,ES,ENERGY,EUR_PER_TCO2,109.1551,17619155.74,0.0046,654842819.49,22012511,210573328.32,11067552.74,3008561.29,2413613.65,1129428.06,0,0,259633860.14,0,ETS_AUCTION_PLATFORM,2024-10-17
2012,HR,POLLUTION,EUR_PER_MWH,82.0793,30184188.4,0.0078,1688886069.74,22025693,71122041.28,6224421.3,2989332.04,10130272.89,10840162.17,1,1,802781240.35,0,NATIONAL_ENV_MINISTRY,2025-05-03
2013,FI,CARBON,EUR_PER_LITRE,162.6069,83992815.39,0.0216,2617809291.08,22150322,66466875.81,36958393.53,9898185.79,8623595.05,28512641.02,1,1,6364797299.01,0,BUDGET_REPORTING,2024-03-20
2014,IE,TRANSPORT,EUR_PER_TONNE,32.731,29013123.56,0.0074,1709545173.2,22204650,205220716.8,4002285.25,8057684.88,2516515.83,14436637.6,1,0,5795486696.3,1,EUROSTAT_ENV_TAX,2024-12-06
2015,MT,RESOURCE,EUR_PER_VEHICLE,103.7739,7294419.57,0.0018,373750568.65,22151818,57111902.63,989404.15,780810.57,607821.32,4916383.53,1,1,5976338564.18,0,ETS_AUCTION_PLATFORM,2024-12-05
2016,SK,ENERGY,EUR_PER_TCO2,9.1621,6065828.05,0.0015,4245544537.59,22166348,122050122.12,3393968.66,1198264.17,786614.13,686981.09,1,1,2425436710.2,0,NATIONAL_ENV_MINISTRY,2026-02-02
2017,BE,POLLUTION,EUR_PER_MWH,113.8992,52962654.06,0.0132,3175840678.4,22278119,54982193.49,12207690.59,9636642.55,12168155.23,18950165.69,0,1,2444124995.45,0,BUDGET_REPORTING,2025-09-23
2018,DK,CARBON,EUR_PER_LITRE,26.4614,32411817.69,0.0081,3137460004.88,22183766,116371408.7,15235457.9,6176512.58,2256858.12,8742989.09,1,0,2005422063.57,0,EUROSTAT_ENV_TAX,2025-03-18
2019,GR,TRANSPORT,EUR_PER_TONNE,128.4466,19068408.82,0.0047,2375219366.28,22409666,132657517.69,3820115.42,2877669.61,2133877.65,10236746.14,1,0,3653561711.7,1,ETS_AUCTION_PLATFORM,2024-05-31
2020,LT,RESOURCE,EUR_PER_VEHICLE,26.9975,9698234.14,0.0024,328933011.78,22397169,211125759.66,1223518.52,1578853.18,1140071.61,5755790.83,1,0,1493910056.12,1,NATIONAL_ENV_MINISTRY,2025-03-25
2021,PT,ENERGY,EUR_PER_TCO2,42.2508,64891201.24,0.0158,3195932489.37,22306646,3977046.73,35891500.92,9546142.98,8413126.97,11040430.37,0,1,2713017706.52,0,BUDGET_REPORTING,2024-09-03
2022,SE,POLLUTION,EUR_PER_MWH,98.3515,51349711.61,0.0124,3474916702.36,22536323,186063498.4,11994062.26,3299059.51,9112716.81,26943873.03,1,1,1392673940.36,1,EUROSTAT_ENV_TAX,2024-02-03
2023,CY,CARBON,EUR_PER_LITRE,142.7626,129037181.81,0.031,1358452768.62,22572309,761178358.56,32670499.35,17432661.11,6333544.02,72600477.33,0,0,780542540.93,0,ETS_AUCTION_PLATFORM,2025-01-31
2024,FR,TRANSPORT,EUR_PER_TONNE,1.9189,572475.71,0.0001,2610115450.42,22429800,736581180.7,134772.52,144144.85,22615.95,270942.39,0,0,6459656161.24,0,NATIONAL_ENV_MINISTRY,2024-04-17
2025,IT,RESOURCE,EUR_PER_VEHICLE,66.8352,108740714.04,0.0258,675068611.93,22631433,546573002.17,14907263.07,10529838.21,4492625.68,78810987.08,1,0,3778110737.49,1,BUDGET_REPORTING,2024-11-22
2026,NL,ENERGY,EUR_PER_TCO2,5.0893,5463354.3,0.0013,3118110715.22,22652733,579662928.01,2954747.54,350521.69,514047.72,1644037.35,0,1,592226399.23,1,EUROSTAT_ENV_TAX,2024-01-28
2010,SI,POLLUTION,EUR_PER_MWH,56.9291,104680730.49,0.0246,2718851287.52,22609312,18705600.26,25114472.87,8184352.23,15475428.87,55906476.52,0,1,3119709903.68,0,ETS_AUCTION_PLATFORM,2025-10-02
2011,BG,CARBON,EUR_PER_LITRE,156.97,146418215.76,0.0341,1583392588.57,22650698,3847362.05,70168499.3,7838071.93,12469640.17,55942004.36,0,1,2426116795.22,1,NATIONAL_ENV_MINISTRY,2025-07-28
2012,EE,TRANSPORT,EUR_PER_TONNE,107.0272,76953906.6,0.0178,201559086.42,22677152,2498321.27,8890418.97,21918307.49,1802708.45,44342471.69,1,0,372929840.25,0,BUDGET_REPORTING,2024-10-02
2013,HU,RESOURCE,EUR_PER_VEHICLE,66.9516,7798703.47,0.0018,2859887614.07,22833436,80339131.71,1538220.8,793932.55,217036.58,5249513.54,0,0,479283863.05,0,EUROSTAT_ENV_TAX,2026-01-01
2014,LU,ENERGY,EUR_PER_TCO2,3.5739,1218723.01,0.0003,1319634302.79,22843954,188500074.85,537783.43,179094.02,74172.62,427672.94,1,0,619123824.0,0,ETS_AUCTION_PLATFORM,2024-09-29
2015,RO,POLLUTION,EUR_PER_MWH,53.9541,18787148.04,0.0043,2072483220.81,22819355,212438559.54,4003452.43,1373415.7,2964076.4,10446203.51,1,0,5519814876.42,0,NATIONAL_ENV_MINISTRY,2024-01-29
2016,AT,CARBON,EUR_PER_LITRE,101.5877,78257511.45,0.0177,1194029212.3,22807375,144991017.85,22363960.15,14697257.62,3853509.5,37342784.18,1,1,4347860414.95,0,BUDGET_REPORTING,2025-05-19
2017,CZ,TRANSPORT,EUR_PER_TONNE,157.964,38459204.38,0.0086,303996917.95,22867963,175620296.91,5893374.13,11441723.57,1687348.45,19436758.23,0,1,3699670920.42,0,EUROSTAT_ENV_TAX,2025-04-27
2018,DE,RESOURCE,EUR_PER_VEHICLE,115.7521,42523635.17,0.0095,1803641343.62,22999682,158963729.47,3049904.68,7664485.97,5625817.35,26183427.17,1,1,7127933149.28,0,ETS_AUCTION_PLATFORM,2025-09-02
2019,LV,ENERGY,EUR_PER_TCO2,118.1347,130706434.42,0.029,3335866085.32,23005172,139119876.49,45500868.97,16805098.5,16252759.86,52147707.09,0,0,2043402806.86,0,NATIONAL_ENV_MINISTRY,2024-09-28
2020,PL,POLLUTION,EUR_PER_MWH,5.9824,7380262.55,0.0016,137521744.64,22962188,67415701.69,1354663.86,750731.5,1271496.39,4003370.8,1,0,5534129793.1,1,BUDGET_REPORTING,2024-09-08
2021,ES,CARBON,EUR_PER_LITRE,37.6308,27157882.22,0.006,718954871.05,23160783,12528130.61,13765376.09,3247961.99,948334.3,9196209.84,0,1,5172395219.31,1,EUROSTAT_ENV_TAX,2025-08-21
2022,HR,TRANSPORT,EUR_PER_TONNE,147.3252,166110624.25,0.0363,479937674.87,23020674,32307987.19,26608620.97,68298959.9,7840901.0,63362142.38,0,0,1329205381.63,1,ETS_AUCTION_PLATFORM,2024-11-29
2023,FI,RESOURCE,EUR_PER_VEHICLE,5.3796,6187217.45,0.0013,686267517.15,23240933,354846016.58,672504.65,1029286.82,127349.57,4358076.41,0,1,572645369.53,1,NATIONAL_ENV_MINISTRY,2024-07-08
2024,IE,ENERGY,EUR_PER_TCO2,75.6058,69894401.01,0.0151,796330410.27,23233840,306527570.67,27707378.22,11215513.49,5650086.16,25321423.14,0,0,2953880337.17,1,BUDGET_REPORTING,2024-09-24
2025,MT,POLLUTION,EUR_PER_MWH,92.9662,43823262.83,0.0094,4728465903.9,23331548,701909969.27,8048770.44,5672511.55,12892515.28,17209465.56,0,1,7574502038.85,1,EUROSTAT_ENV_TAX,2025-03-02
2026,SK,CARBON,EUR_PER_LITRE,174.7487,198133244.26,0.0423,2971187503.13,23252126,588136345.82,114946357.08,18043213.71,15176007.96,49967665.51,1,1,635233055.63,0,ETS_AUCTION_PLATFORM,2024-04-03
2010,BE,TRANSPORT,EUR_PER_TONNE,57.6874,35660989.65,0.0076,2758033490.05,23238524,96763392.93,6540920.97,6692314.94,3102229.35,19325524.39,0,1,3553203257.08,0,NATIONAL_ENV_MINISTRY,2025-09-06
2011,DK,RESOURCE,EUR_PER_VEHICLE,124.6538,150813900.59,0.0319,2279671127.56,23442266,28295304.57,10196546.46,15057667.99,17296795.32,108262890.82,1,1,850440684.52,1,BUDGET_REPORTING,2025-09-09
2012,GR,ENERGY,EUR_PER_TCO2,114.3872,162545383.52,0.0341,2189311128.87,23435180,82720273.23,63170460.02,14526491.48,6155359.63,78693072.39,0,1,3015134707.53,1,EUROSTAT_ENV_TAX,2024-01-28
2013,LT,POLLUTION,EUR_PER_MWH,115.6188,166288740.42,0.0348,3441593434.7,23531109,168543101.96,15244176.23,28839116.78,28878909.96,93326537.45,0,1,5284355800.51,0,ETS_AUCTION_PLATFORM,2025-12-19
2014,PT,CARBON,EUR_PER_LITRE,119.7703,115689277.0,0.024,278458595.71,23451298,62996323.18,67218744.9,20309965.95,10463608.98,17696957.17,1,1,2160089958.91,0,NATIONAL_ENV_MINISTRY,2025-11-10
2015,SE,TRANSPORT,EUR_PER_TONNE,131.6787,119410667.62,0.0247,1056145315.11,23497792,209000995.21,28369929.78,19710053.15,7412718.43,63917966.26,0,1,7594341951.4,0,BUDGET_REPORTING,2024-09-16
2016,CY,RESOURCE,EUR_PER_VEHICLE,70.2103,67739513.7,0.0139,3620724139.94,23494082,125025836.11,13684600.67,11934912.12,3088095.33,39031905.58,0,0,6668291935.76,0,EUROSTAT_ENV_TAX,2025-04-09
2017,FR,ENERGY,EUR_PER_TCO2,91.9685,139010602.31,0.0285,2586767144.98,23517885,27767940.41,40116964.65,10082104.8,3496714.29,85314818.57,0,1,329293187.27,0,ETS_AUCTION_PLATFORM,2024-06-20
2018,IT,POLLUTION,EUR_PER_MWH,93.1372,127429414.83,0.026,735605518.96,23593812,91932344.02,7072000.01,17849675.48,29020678.95,73487060.39,0,0,4283820353.23,1,NATIONAL_ENV_MINISTRY,2024-02-20
2019,NL,CARBON,EUR_PER_LITRE,149.179,51821159.39,0.0105,1790183866.53,23597315,59494642.77,16039005.41,7875556.35,5494526.04,22412071.59,0,0,3273501346.22,1,BUDGET_REPORTING,2024-07-14
2020,SI,TRANSPORT,EUR_PER_TONNE,141.7795,151448009.56,0.0305,2164492263.62,23670281,194822459.74,10682071.07,39635912.95,15664075.82,85465949.72,1,0,1231245020.54,1,EUROSTAT_ENV_TAX,2024-05-31
2021,BG,RESOURCE,EUR_PER_VEHICLE,170.3838,231066126.84,0.0462,2610166586.96,23714060,122490394.25,29801570.71,35225829.99,17158317.37,148880408.77,1,0,4331128213.51,1,ETS_AUCTION_PLATFORM,2025-07-05
2022,EE,ENERGY,EUR_PER_TCO2,17.4063,39803083.98,0.0079,1653271295.34,23726209,156211806.67,25828742.68,3084088.12,4610708.88,6279544.3,1,1,3577154885.29,0,NATIONAL_ENV_MINISTRY,2024-08-26
2023,HU,POLLUTION,EUR_PER_MWH,30.6618,17769436.91,0.0035,204682984.18,23821141,833867250.49,2619791.38,1346609.74,4928406.74,8874629.05,0,0,352874115.39,1,BUDGET_REPORTING,2025-10-19
2024,LU,CARBON,EUR_PER_LITRE,115.2325,36135453.22,0.0071,1773596658.66,23904757,654535720.62,17659950.58,1864073.42,1830977.43,14780451.79,0,0,2920147875.01,1,EUROSTAT_ENV_TAX,2024-12-15
2025,RO,TRANSPORT,EUR_PER_TONNE,68.6994,38753676.54,0.0076,667872161.93,23978702,329298252.48,4407255.69,11115600.88,5698475.51,17532344.46,1,0,920725426.25,1,ETS_AUCTION_PLATFORM,2024-03-10
2026,AT,RESOURCE,EUR_PER_VEHICLE,81.44,1389893.24,0.0003,600772635.5,23964918,134125021.15,129862.57,175570.87,183986.16,900473.64,0,1,2670610753.15,1,NATIONAL_ENV_MINISTRY,2026-01-16
2010,CZ,ENERGY,EUR_PER_TCO2,111.9982,171258475.85,0.0332,3364251260.72,24097303,174153174.12,107193313.93,22907318.11,25528311.86,15629531.95,0,1,6193436720.41,0,BUDGET_REPORTING,2024-02-18
2011,DE,POLLUTION,EUR_PER_MWH,68.0122,61340675.72,0.0118,2322083029.58,23991246,134559945.03,12819239.6,9690693.59,17068918.84,21761823.69,1,1,2815203024.17,0,EUROSTAT_ENV_TAX,2024-12-14
2012,LV,CARBON,EUR_PER_LITRE,2.6267,2797367.6,0.0005,1339440674.57,24026038,77436313.15,1355048.84,228809.45,336291.1,877218.21,0,1,2377273587.72,0,ETS_AUCTION_PLATFORM,2025-10-05
2013,PL,TRANSPORT,EUR_PER_TONNE,58.1653,33243279.93,0.0064,1652448651.04,24080415,151009126.67,6335359.17,9547823.97,2601002.45,14759094.34,0,0,582474172.66,0,NATIONAL_ENV_MINISTRY,2025-04-30
2014,ES,RESOURCE,EUR_PER_VEHICLE,92.6369,29461778.97,0.0056,352954766.02,24193016,209302670.91,3103575.98,3052679.07,1416002.03,21889521.89,0,0,3803145231.06,0,BUDGET_REPORTING,2025-10-25
2015,HR,ENERGY,EUR_PER_TCO2,114.4584,35351638.35,0.0067,432083390.9,24169263,73065342.51,10711166.9,5053093.04,2367276.35,17220102.06,0,1,5847042429.63,1,EUROSTAT_ENV_TAX,2024-10-28
2016,FI,POLLUTION,EUR_PER_MWH,175.2673,246813337.29,0.0465,1506996868.54,24298513,132425350.82,25663751.96,36051137.74,46419431.37,138679016.22,0,1,1386958814.6,0,ETS_AUCTION_PLATFORM,2025-04-13
2017,IE,CARBON,EUR_PER_LITRE,168.2839,90310040.05,0.0169,1275132357.26,24324876,65586962.79,50977401.88,6659097.77,3236862.78,29436677.62,1,0,1351228373.07,0,NATIONAL_ENV_MINISTRY,2025-10-02
2018,MT,TRANSPORT,EUR_PER_TONNE,10.6857,2197629.9,0.0004,1142987446.61,24410571,75203638.02,310227.31,260892.26,129422.54,1497087.79,0,0,5556246370.67,0,BUDGET_REPORTING,2025-09-03
2019,SK,RESOURCE,EUR_PER_VEHICLE,120.7911,131892729.82,0.0245,218883011.3,24422751,197664342.23,20250135.53,7189279.69,17002675.89,87450638.71,1,1,3147806468.3,0,EUROSTAT_ENV_TAX,2024-09-03
2020,BE,ENERGY,EUR_PER_TCO2,113.7117,51075217.01,0.0095,3466610414.23,24444886,157454681.2,18946312.05,6361809.41,1784219.82,23982875.73,1,1,1632772803.02,1,ETS_AUCTION_PLATFORM,2024-09-30
2021,DK,POLLUTION,EUR_PER_MWH,47.0384,42906712.21,0.0079,2085654746.28,24343474,198980926.63,5840492.31,4028478.95,9032419.31,24005321.64,0,1,4028900056.95,1,NATIONAL_ENV_MINISTRY,2025-12-28
2022,GR,CARBON,EUR_PER_LITRE,48.8301,18746385.38,0.0034,990106283.61,24399863,142412174.92,7633254.47,1637501.31,855408.75,8620220.85,1,1,1191433918.95,1,BUDGET_REPORTING,2025-04-28
2023,LT,TRANSPORT,EUR_PER_TONNE,58.909,31855379.8,0.0058,1273892782.65,24534511,24732982.37,5313114.45,8508077.77,2841022.4,15193165.18,0,0,5378246201.28,1,EUROSTAT_ENV_TAX,2026-01-09
2024,PT,RESOURCE,EUR_PER_VEHICLE,25.1357,24848619.01,0.0045,355764059.0,24535884,327792889.62,3719662.87,4634446.58,1381671.55,15112838.01,0,1,169692620.11,1,ETS_AUCTION_PLATFORM,2026-01-16
2025,SE,ENERGY,EUR_PER_TCO2,36.8471,1819194.38,0.0003,548768160.16,24567476,511252465.71,921760.67,322748.71,272622.82,302062.18,0,0,4126093943.51,1,NATIONAL_ENV_MINISTRY,2024-11-11
2026,CY,POLLUTION,EUR_PER_MWH,107.5764,33997298.45,0.0061,3989769125.48,24579689,137770712.15,7419784.95,5488768.98,6615265.54,14473478.98,0,0,5156040386.0,0,BUDGET_REPORTING,2025-05-23
2010,FR,CARBON,EUR_PER_LITRE,123.3507,63299691.47,0.0113,4258314405.07,24586444,75364065.56,34256703.01,8013591.81,8739772.03,12289624.62,0,0,1834499949.32,0,EUROSTAT_ENV_TAX,2025-08-05
2011,IT,TRANSPORT,EUR_PER_TONNE,48.3704,54693391.61,0.0097,4347290500.93,24707274,117946033.88,8868803.7,15371333.08,4726668.49,25726586.34,0,1,6324714583.0,0,ETS_AUCTION_PLATFORM,2025-02-20
2012,NL,RESOURCE,EUR_PER_VEHICLE,10.8468,5481139.98,0.001,1626553670.14,24777937,4458233.67,766950.22,380728.4,346575.74,3986885.62,1,0,402043140.61,0,NATIONAL_ENV_MINISTRY,2025-12-13
2013,SI,ENERGY,EUR_PER_TCO2,124.8712,19647797.97,0.0035,485068749.47,24866926,48571570.75,5317030.97,1358594.79,2692153.24,10280018.97,0,0,5499921129.72,0,BUDGET_REPORTING,2024-05-30
2014,BG,POLLUTION,EUR_PER_MWH,21.4742,25581094.51,0.0045,960495871.03,24879338,45726287.6,2996759.05,4831260.47,4543944.4,13209130.59,0,1,5088219077.07,1,EUROSTAT_ENV_TAX,2025-09-24
2015,EE,CARBON,EUR_PER_LITRE,73.2781,15315842.26,0.0027,688543111.39,24790257,157088934.72,8136583.06,1764431.45,1564702.13,3850125.62,0,0,2909498206.27,0,ETS_AUCTION_PLATFORM,2024-08-04
2016,HU,TRANSPORT,EUR_PER_TONNE,71.2144,31085046.7,0.0054,50790457.11,24843403,193269102.78,3076601.79,4482776.99,4167332.53,19358335.39,1,0,1518863921.76,0,NATIONAL_ENV_MINISTRY,2024-02-15
2017,LU,RESOURCE,EUR_PER_VEHICLE,106.7347,78426648.55,0.0136,529225650.05,24985736,47697395.28,9582669.99,14961854.67,1572436.31,52309687.58,1,0,4857118671.87,0,BUDGET_REPORTING,2024-12-22
2018,RO,ENERGY,EUR_PER_TCO2,11.619,5202321.72,0.0009,2466359707.2,24962555,125441327.42,2455230.36,463027.76,378719.3,1905344.3,1,0,16141214.67,0,EUROSTAT_ENV_TAX,2025-12-03
2019,AT,POLLUTION,EUR_PER_MWH,107.5914,125968402.17,0.0216,3413000.91,25072130,145186648.14,29757746.99,15937525.21,39045441.42,41227688.55,1,1,4571302898.74,1,ETS_AUCTION_PLATFORM,2025-10-25
2020,CZ,CARBON,EUR_PER_LITRE,129.9267,142864814.44,0.0244,23024708.81,25041652,80737037.51,88151141.12,9081532.27,10604276.08,35027864.97,1,0,7191772038.72,1,NATIONAL_ENV_MINISTRY,2025-10-05
2021,DE,TRANSPORT,EUR_PER_TONNE,3.214,224424.87,0.0,4113039470.14,25187096,58764003.71,35009.77,85292.31,12413.74,91709.05,0,1,4308057039.14,0,BUDGET_REPORTING,2025-07-15
2022,LV,RESOURCE,EUR_PER_VEHICLE,77.5265,2036105.58,0.0003,1439495449.12,25249646,150319813.35,131981.44,351763.95,232012.49,1320347.7,1,1,2673338526.11,0,EUROSTAT_ENV_TAX,2025-06-18
2023,PL,ENERGY,EUR_PER_TCO2,107.1832,245739245.27,0.0415,906380864.73,25251268,618648023.74,158770633.88,30913740.16,14916267.4,41138603.83,1,1,417389862.47,0,ETS_AUCTION_PLATFORM,2024-08-08
2024,ES,POLLUTION,EUR_PER_MWH,76.0987,88396032.48,0.0148,2904794332.42,25337944,767091901.88,20198423.8,10227959.18,9454981.77,48514667.73,0,1,121552399.61,0,NATIONAL_ENV_MINISTRY,2024-02-11
2025,HR,CARBON,EUR_PER_LITRE,35.9043,19469747.91,0.0033,2483866282.36,25344291,167787550.19,11833900.37,2892629.26,1248504.6,3494713.68,0,1,4400628699.17,0,BUDGET_REPORTING,2024-01-24
2026,FI,TRANSPORT,EUR_PER_TONNE,111.797,156637957.25,0.0261,1270964876.93,25377052,553413461.43,33083457.22,32154517.62,9469188.48,81930793.93,0,1,4351675583.63,1,EUROSTAT_ENV_TAX,2024-08-31
2010,IE,RESOURCE,EUR_PER_VEHICLE,10.9077,10803039.49,0.0018,1837829137.88,25400038,158247621.87,2647585.3,1993039.04,602545.6,5559869.55,0,1,1972912077.17,0,ETS_AUCTION_PLATFORM,2025-07-16
2011,MT,ENERGY,EUR_PER_TCO2,102.1722,22072165.54,0.0036,3953373913.67,25468706,166707016.28,5658834.1,2595810.17,1934599.16,11882922.11,1,1,3295118709.05,0,NATIONAL_ENV_MINISTRY,2025-12-11
2012,SK,POLLUTION,EUR_PER_MWH,166.3033,200770991.68,0.033,1204259749.71,25514617,151712451.54,46481096.31,16014647.95,66984009.78,71291237.64,1,1,4506229823.57,0,BUDGET_REPORTING,2025-03-25
2013,BE,CARBON,EUR_PER_LITRE,58.3851,60866729.95,0.01,1681621017.47,25404517,178601739.58,20953648.0,10818504.41,4542064.78,24552512.76,1,1,2685697482.63,0,EUROSTAT_ENV_TAX,2025-12-26
2014,DK,TRANSPORT,EUR_PER_TONNE,29.7084,23812909.54,0.0039,2616148994.95,25483006,164817347.58,1998185.62,9894259.25,517865.17,11402599.5,0,1,1508340205.62,0,ETS_AUCTION_PLATFORM,2025-08-24
2015,GR,RESOURCE,EUR_PER_VEHICLE,50.1119,27474627.68,0.0045,2406190406.16,25470743,45888928.79,2807371.55,3067985.17,2132390.72,19466880.24,0,1,2046153543.15,0,NATIONAL_ENV_MINISTRY,2025-03-31
2016,LT,ENERGY,EUR_PER_TCO2,61.7132,35915284.06,0.0058,2472340058.5,25526943,46746220.79,19238069.52,4015678.05,2613718.23,10047818.26,1,1,2911626045.53,0,BUDGET_REPORTING,2025-01-12
2017,PT,POLLUTION,EUR_PER_MWH,171.5992,32257701.59,0.0052,2457402622.47,25719273,148313797.01,4958077.36,2358580.1,5227232.32,19713811.81,0,1,4750977822.74,1,EUROSTAT_ENV_TAX,2024-05-13
2018,SE,CARBON,EUR_PER_LITRE,69.8911,48899342.37,0.0078,2546682713.13,25721406,63086966.17,17867578.78,6595631.28,7122668.25,17313464.06,0,0,1710599758.33,0,ETS_AUCTION_PLATFORM,2026-01-25
