tax_property_assessment_year,tax_property_parcel_geocode,tax_property_property_class_code,tax_property_assessed_value_total,tax_property_market_value_estimate,tax_property_tax_rate_millage,tax_property_tax_bill_amount_usd,tax_property_homestead_exemption_flag,tax_property_senior_exemption_flag,tax_property_disabled_exemption_flag,tax_property_appeal_filed_flag,tax_property_appeal_outcome_code,tax_property_assessment_ratio,tax_property_equalization_factor,tax_property_delinquency_rate_pct,tax_property_foreclosure_initiation_flag,tax_property_tax_increment_district_flag,tax_property_school_levy_share_pct,tax_property_municipal_levy_share_pct,tax_property_payment_plan_enrolled_flag
2024,PARCEL0000000498,RES_SF,100856549.01,109124042.81,1.1602,113714.83,1,1,0,1,UPHELD,1.0432,1.0293,12.24,0,0,0.232,0.6219,0
2023,PARCEL0000000499,RES_SF,122445047.57,128933723.92,43.9899,5339901.42,0,0,0,0,NONE,1.0903,1.0348,3.52,0,0,0.2871,0.4795,0
2012,PARCEL0000000500,COMM,13900082.87,16250436.04,8.6571,122123.21,0,1,0,0,PENDING,1.165,1.021,14.9,0,0,0.2469,0.4979,0
2010,PARCEL0000000501,RES_SF,73186847.13,67752257.49,6.1548,415359.18,0,1,0,1,NONE,0.8147,1.0931,12.54,0,0,0.5508,0.3734,0
2016,PARCEL0000000502,IND,110205566.67,121760752.83,44.2977,5185193.33,1,1,0,0,REDUCED,0.9007,1.0546,6.78,0,0,0.5071,0.2968,0
2018,PARCEL0000000503,MIXED,88635600.07,98919596.49,30.2013,2854539.71,1,0,0,0,NONE,0.7539,1.1026,8.46,0,0,0.4493,0.3168,1
2006,PARCEL0000000504,VACANT,139691766.41,145670883.37,26.5615,3950699.0,0,0,0,0,PENDING,0.8225,1.2167,6.08,0,0,0.3111,0.3131,0
2021,PARCEL0000000505,RES_SF,232547789.16,218969856.86,33.8587,8013663.6,0,0,0,0,NONE,0.6751,0.8952,15.59,1,0,0.6389,0.1532,0
2022,PARCEL0000000506,RES_MF,18223048.04,15628633.71,26.3982,471911.78,0,0,0,0,REDUCED,0.5483,1.1978,3.41,0,0,0.196,0.752,0
2006,PARCEL0000000507,RES_SF,196171491.89,169168575.85,6.635,1370669.04,0,0,0,0,NONE,1.1303,1.2188,3.53,0,0,0.22,0.6787,0
2020,PARCEL0000000508,AG,3526356.8,3171648.66,20.2615,71134.89,0,0,0,0,NONE,1.1856,1.0538,14.18,0,0,0.1735,0.6622,0
2023,PARCEL0000000509,RES_SF,207485047.93,180760961.28,18.897,3891964.44,0,0,0,0,NONE,0.825,1.1576,0.4,0,0,0.2256,0.3994,1
2014,PARCEL0000000510,RES_MF,214941407.12,197110728.87,25.3212,5080349.78,0,0,0,0,PENDING,0.7714,0.9509,8.81,0,0,0.409,0.3889,1
2006,PARCEL0000000511,COMM,239449775.2,261858620.4,8.8809,2101712.82,1,0,0,0,REDUCED,0.851,1.1213,1.83,0,1,0.2293,0.4196,0
2016,PARCEL0000000512,RES_SF,223870322.66,224234462.78,43.5702,9210583.54,1,0,0,0,UPHELD,1.0699,1.0023,5.84,0,0,0.2626,0.4171,0
2019,PARCEL0000000513,MIXED,134885629.22,136268836.39,17.8608,2240928.8,1,0,0,0,NONE,0.5254,1.0355,15.79,0,1,0.3327,0.3141,0
2016,PARCEL0000000514,RES_SF,154225246.69,151080585.95,34.0896,4997964.85,1,0,0,1,REDUCED,0.9922,0.8921,15.02,0,0,0.5905,0.2532,0
2007,PARCEL0000000515,COMM,88359249.67,102330078.96,32.1601,2842061.73,1,0,0,0,UPHELD,0.9342,0.9485,17.46,0,0,0.6539,0.1718,0
2010,PARCEL0000000516,RES_MF,217605326.33,200933389.02,40.0826,9141027.73,1,1,0,0,NONE,1.1214,0.9257,15.16,0,0,0.3059,0.6134,0
2015,PARCEL0000000517,RES_MF,166167378.94,162027134.71,40.2247,6299108.15,1,0,0,1,NONE,0.7219,1.2289,16.56,0,1,0.502,0.4005,1
2023,PARCEL0000000518,AG,47225768.22,47985339.0,7.7788,353451.55,1,0,0,0,REDUCED,0.6036,1.1749,7.75,0,1,0.5569,0.2528,1
2018,PARCEL0000000519,COMM,240925391.7,225757890.47,19.7741,4604145.25,0,1,0,0,NONE,1.0497,0.9955,12.21,0,0,0.3534,0.6092,1
2024,PARCEL0000000520,RES_SF,34359376.45,43216903.05,39.1724,1442729.58,1,0,0,0,REDUCED,0.514,1.0131,2.46,0,0,0.1639,0.7337,0
2025,PARCEL0000000521,COMM,81159276.15,77561424.51,38.5592,2896290.73,1,0,0,0,NONE,0.9084,1.2121,17.91,0,0,0.1708,0.4182,0
2009,PARCEL0000000522,RES_SF,96599070.15,124892606.99,3.1104,307923.64,0,0,0,0,WITHDRAWN,0.6398,1.191,1.41,0,0,0.3457,0.4459,0
2025,PARCEL0000000523,RES_SF,12094763.77,12215114.34,31.7712,380775.31,1,0,0,0,REDUCED,0.6047,0.9359,17.8,0,0,0.5419,0.2685,0
2017,PARCEL0000000524,COMM,177056981.1,227198548.26,38.9109,7131114.38,0,0,0,0,NONE,0.876,1.0828,12.45,0,0,0.6243,0.2052,0
2018,PARCEL0000000525,IND,169007932.42,212248233.98,11.4146,1952862.12,1,0,0,0,NONE,1.108,0.9329,9.47,0,0,0.593,0.2406,0
2012,PARCEL0000000526,RES_SF,492007.75,556178.08,37.6716,19344.54,0,0,0,0,INCREASED,0.693,0.9417,9.35,0,1,0.6795,0.2663,1
2020,PARCEL0000000527,RES_MF,195903775.04,226362617.73,22.7087,4732168.17,1,0,0,0,REDUCED,1.0751,0.9682,13.82,1,0,0.3669,0.3689,0
2021,PARCEL0000000528,RES_MF,157162042.0,137643596.22,38.1896,5747391.13,0,0,0,0,UPHELD,0.9383,1.023,0.98,0,1,0.2326,0.6557,0
2023,PARCEL0000000529,RES_MF,16436595.15,22065614.28,4.8546,76841.0,0,0,0,0,REDUCED,1.0243,1.1448,9.19,0,0,0.5761,0.4021,0
2023,PARCEL0000000530,VACANT,16378422.98,15997819.2,34.5732,596563.52,0,0,0,0,UPHELD,0.6281,1.0571,10.91,0,0,0.6883,0.1396,0
2020,PARCEL0000000531,RES_SF,2415782.0,2502112.73,34.9022,83496.37,1,1,0,0,REDUCED,1.1852,0.9397,2.55,0,0,0.461,0.3734,0
2008,PARCEL0000000532,COMM,191567913.24,235217239.75,30.1176,5900956.1,1,0,0,1,NONE,0.5557,1.0446,0.32,0,1,0.6322,0.2347,0
2020,PARCEL0000000533,IND,171470888.08,211770508.63,18.0148,2882553.24,1,0,0,0,INCREASED,0.5696,0.9166,7.5,0,1,0.1803,0.7293,0
2010,PARCEL0000000534,RES_MF,173101575.56,216699900.49,26.973,4875232.05,1,0,0,1,NONE,1.0513,0.9098,4.0,0,1,0.4806,0.2078,0
2013,PARCEL0000000535,RES_SF,219728049.89,215897877.18,9.6352,2217458.26,1,0,0,0,UPHELD,0.8688,0.8763,5.2,0,0,0.6785,0.2889,0
2021,PARCEL0000000536,IND,127577426.06,133704722.69,22.0544,2828117.06,1,0,0,0,PENDING,0.5149,1.0575,14.86,0,0,0.5912,0.1979,0
2019,PARCEL0000000537,RES_MF,6883397.55,6401424.46,22.9512,156820.58,1,0,0,1,PENDING,0.8116,1.1489,6.99,0,0,0.2225,0.6005,0
2008,PARCEL0000000538,RES_MF,231318486.36,240163771.03,37.7385,8803680.92,1,1,0,0,UPHELD,0.6333,1.2067,11.61,0,0,0.1843,0.5281,0
2008,PARCEL0000000539,COMM,24613197.79,32038969.44,39.4641,972771.27,0,0,0,1,NONE,1.0599,0.9428,6.85,0,0,0.6024,0.1711,0
2010,PARCEL0000000540,RES_SF,118830233.0,125583308.09,42.9642,5480688.6,1,0,0,0,NONE,0.8046,1.245,13.12,0,0,0.413,0.4765,0
2023,PARCEL0000000541,AG,182602943.04,213211208.2,7.0636,1385215.86,1,0,0,0,UPHELD,0.8114,0.9031,2.36,0,0,0.4634,0.4876,0
2023,PARCEL0000000542,RES_SF,166526710.86,184875172.38,29.4544,5038911.88,0,0,0,0,UPHELD,0.7133,0.8995,4.35,0,0,0.1801,0.702,0
2006,PARCEL0000000543,RES_MF,91432601.92,108036563.52,4.7565,407637.74,1,0,0,0,UPHELD,0.7959,0.8875,1.16,0,0,0.2813,0.6669,0
2011,PARCEL0000000544,IND,23339903.51,22853995.38,1.8669,41371.43,1,0,0,0,UPHELD,0.5839,1.1706,15.08,0,1,0.2159,0.4942,1
2020,PARCEL0000000545,COMM,190300356.01,256693576.22,29.3969,5181044.13,1,0,0,0,REDUCED,1.0292,0.9008,14.25,0,1,0.6176,0.2113,0
2021,PARCEL0000000546,RES_SF,221993243.31,239820565.04,19.371,4141480.97,0,0,0,0,NONE,0.701,1.1102,12.34,0,0,0.3384,0.4656,0
2016,PARCEL0000000547,IND,219598650.19,234640633.01,29.8108,6394873.34,1,0,0,1,UPHELD,1.0389,1.1725,10.33,0,0,0.5172,0.2871,1
2006,PARCEL0000000548,RES_SF,205287161.89,201257344.08,36.7208,7600612.12,1,0,0,0,REDUCED,0.8721,1.1859,4.09,0,0,0.2316,0.4984,1
2019,PARCEL0000000549,RES_SF,14353380.15,17228424.32,13.8264,189267.65,1,1,0,0,PENDING,0.8519,0.8752,16.79,0,0,0.2446,0.4396,0
2025,PARCEL0000000550,RES_MF,212824729.74,203931090.46,31.5429,6496422.32,1,0,0,0,NONE,0.5626,0.8932,17.94,0,0,0.3083,0.5088,0
2019,PARCEL0000000551,RES_SF,35509727.31,42662152.72,31.198,1131268.84,0,0,0,0,NONE,0.6998,1.0244,11.6,0,0,0.4866,0.3135,0
2022,PARCEL0000000552,RES_MF,166046198.09,215130282.45,26.0835,4541467.93,1,0,0,1,NONE,0.7023,1.0516,3.95,0,0,0.2358,0.5683,0
2006,PARCEL0000000553,IND,245387801.07,299228876.82,39.7512,10152770.77,1,1,0,1,PENDING,1.048,0.8961,5.54,0,0,0.4405,0.3166,0
2024,PARCEL0000000554,COMM,242618465.54,236531039.6,32.2774,7237520.3,1,1,0,1,UPHELD,0.9418,1.0762,14.91,0,0,0.2712,0.6422,0
2008,PARCEL0000000555,AG,206752005.59,259572304.12,15.1058,3309135.41,1,0,0,1,NONE,0.72,1.1931,0.17,0,0,0.2779,0.3197,1
2024,PARCEL0000000556,AG,80635199.71,77392520.69,40.328,3509906.64,1,0,0,0,NONE,0.6138,0.926,12.42,0,0,0.3643,0.4054,0
2014,PARCEL0000000557,COMM,75304104.9,69276571.66,25.0935,1825848.78,1,0,0,0,WITHDRAWN,0.5446,1.0326,8.18,0,1,0.7445,0.2008,0
2018,PARCEL0000000558,MIXED,18761859.37,23426895.55,15.5932,313098.01,1,0,0,0,NONE,0.6745,1.1428,4.46,1,0,0.7495,0.1205,0
2017,PARCEL0000000559,COMM,21311789.26,20360344.97,12.2755,269796.57,0,0,0,1,REDUCED,0.9535,0.945,0.71,0,1,0.1691,0.5782,0
2007,PARCEL0000000560,RES_MF,161469485.7,166474893.86,39.3184,6631594.63,0,0,0,0,NONE,0.6706,0.8979,7.29,0,0,0.5204,0.3463,1
2021,PARCEL0000000561,IND,7848308.17,9729065.91,30.8887,240828.69,0,1,0,0,NONE,1.0115,1.0019,11.04,0,1,0.748,0.1018,0
2021,PARCEL0000000562,AG,31126926.59,39292779.78,30.4454,979653.33,0,0,0,0,UPHELD,1.094,0.8602,17.9,1,0,0.3031,0.4337,1
2024,PARCEL0000000563,AG,198525318.6,227712171.0,44.6087,9435744.27,0,0,0,0,NONE,0.5486,0.9066,13.51,0,0,0.1783,0.5124,0
2015,PARCEL0000000564,COMM,64804379.97,68934427.91,22.4883,1417991.27,1,0,0,0,REDUCED,0.6911,0.9603,13.2,0,0,0.1717,0.5187,0
2014,PARCEL0000000565,RES_SF,21427863.84,19454208.58,19.0445,429962.74,1,0,1,0,UPHELD,0.8315,0.9902,10.83,0,0,0.1509,0.452,1
2019,PARCEL0000000566,COMM,86278076.05,84290700.93,12.5934,1024837.56,1,1,0,0,NONE,0.9742,0.9514,12.47,0,0,0.2525,0.3841,0
2013,PARCEL0000000567,COMM,159574954.83,204750424.21,32.6592,5244789.41,1,0,0,0,UPHELD,0.5632,1.0441,6.71,0,0,0.4557,0.3654,0
2019,PARCEL0000000568,RES_SF,90090548.79,85090309.99,8.0562,670009.48,0,0,0,1,REDUCED,0.562,0.9774,0.34,0,0,0.2998,0.3078,0
2012,PARCEL0000000569,COMM,118575526.17,104481187.42,14.0643,1653227.33,1,1,0,0,NONE,0.9605,1.2322,15.71,0,0,0.2148,0.7087,0
2017,PARCEL0000000570,RES_SF,160549911.59,186694341.93,38.3646,6025570.26,1,0,0,1,NONE,0.8087,0.8697,15.09,0,0,0.5449,0.2306,0
2018,PARCEL0000000571,RES_SF,239204456.31,235355864.05,3.8664,914186.66,0,0,0,0,PENDING,0.9218,0.9885,15.83,0,1,0.4499,0.2668,0
2016,PARCEL0000000572,RES_SF,23172396.9,27014980.92,41.3611,905405.89,1,1,0,0,NONE,0.6942,0.9901,4.28,0,0,0.5775,0.2922,0
2016,PARCEL0000000573,COMM,18967627.47,22457676.67,30.1692,550346.73,1,0,1,0,NONE,0.6559,1.2296,7.01,0,0,0.7352,0.1541,0
2012,PARCEL0000000574,RES_SF,229406572.49,217450528.34,44.0255,9688434.98,1,0,0,0,REDUCED,0.9303,0.865,4.97,0,1,0.2734,0.5336,0
2009,PARCEL0000000575,COMM,138195470.92,174413995.7,12.5015,1612791.01,1,0,0,1,REDUCED,0.717,1.2133,12.92,0,0,0.6132,0.3363,0
2022,PARCEL0000000576,RES_MF,235719607.15,236355659.84,3.4969,798308.44,0,0,0,0,PENDING,1.0596,1.0235,10.26,0,0,0.3382,0.5705,0
2006,PARCEL0000000577,AG,128522440.05,124205689.86,29.4923,3631058.78,0,0,0,0,NONE,0.7361,1.058,16.38,0,0,0.2681,0.5308,1
2021,PARCEL0000000578,RES_SF,237747870.88,250531560.76,8.1496,1813483.33,1,0,0,0,PENDING,1.1158,1.2186,2.25,0,0,0.3618,0.3959,0
2020,PARCEL0000000579,RES_SF,206169135.83,212820396.73,9.2592,1906668.39,0,0,0,0,PENDING,0.6313,1.1529,17.06,0,0,0.2387,0.3611,0
2017,PARCEL0000000580,AG,224032666.28,269849725.97,37.9999,8683415.67,1,0,0,0,INCREASED,0.9592,0.8863,13.61,0,1,0.6551,0.3026,0
2007,PARCEL0000000581,RES_SF,109799041.74,107669942.77,14.9892,1662921.07,0,0,0,0,NONE,1.1315,1.0677,11.32,0,0,0.3559,0.5967,0
2023,PARCEL0000000582,RES_SF,118445124.54,123131479.37,34.7018,3995505.61,1,0,0,0,UPHELD,0.9725,0.9889,10.53,1,0,0.7189,0.2198,0
2012,PARCEL0000000583,VACANT,132271883.2,176409190.48,23.8794,3042871.33,0,1,0,0,PENDING,1.1184,1.0757,5.14,1,0,0.184,0.6115,0
2023,PARCEL0000000584,RES_MF,126403835.14,160733875.96,22.073,2698512.51,1,0,0,0,NONE,1.1504,1.16,12.66,0,0,0.7109,0.1312,0
2014,PARCEL0000000585,COMM,21072717.23,24243670.32,18.4468,381293.85,1,1,0,0,PENDING,0.6172,0.9805,10.07,0,1,0.1811,0.5979,1
2013,PARCEL0000000586,RES_MF,173242419.56,165397873.21,16.3312,2896160.52,0,0,0,0,NONE,0.8878,1.0363,13.48,0,0,0.4725,0.2681,0
2023,PARCEL0000000587,COMM,188939450.19,202287881.55,37.0473,6608513.65,1,0,0,1,NONE,0.9399,0.9153,7.44,0,0,0.56,0.3293,0
2013,PARCEL0000000588,AG,179402703.2,179630901.58,10.3921,1732057.41,1,0,0,1,UPHELD,0.9434,1.1113,9.72,0,0,0.6076,0.3657,0
2013,PARCEL0000000589,AG,64723639.51,85299344.0,34.1056,2237163.46,1,1,0,0,NONE,0.9425,1.1481,11.42,0,1,0.5893,0.2357,1
2019,PARCEL0000000590,COMM,209666322.4,260587670.67,41.6903,9222050.36,1,0,0,0,UPHELD,0.63,0.9798,13.4,0,0,0.6534,0.228,0
2022,PARCEL0000000591,IND,69690959.8,64281666.07,31.8157,2126667.71,1,0,0,1,REDUCED,0.9598,0.9411,9.15,0,0,0.6979,0.2732,1
2015,PARCEL0000000592,RES_SF,225114808.82,274077577.03,27.1014,6191981.69,0,0,0,0,NONE,1.1011,1.1612,9.32,0,0,0.6484,0.256,0
2025,PARCEL0000000593,AG,82410429.38,71591895.44,1.3241,114781.16,1,0,0,1,NONE,0.6471,1.104,0.13,1,0,0.5287,0.1956,0
2018,PARCEL0000000594,VACANT,145934920.48,139889333.29,35.0479,5245857.04,1,1,0,0,NONE,1.142,0.8666,14.56,0,0,0.2471,0.6983,0
2024,PARCEL0000000595,RES_MF,104220556.15,106915247.12,26.2923,2850943.61,0,0,0,0,UPHELD,0.5249,1.0745,6.62,0,0,0.152,0.7296,0
2023,PARCEL0000000596,COMM,58808161.0,66775917.07,26.1541,1590699.13,1,0,0,0,WITHDRAWN,0.5942,1.2093,15.64,0,0,0.3882,0.3339,0
2006,PARCEL0000000597,COMM,114065574.41,115144779.76,4.4142,509905.75,0,1,0,0,NONE,1.0633,1.2094,8.82,0,0,0.4728,0.4301,0
2015,PARCEL0000000598,RES_SF,245565578.93,267172756.96,6.1864,1482577.13,0,0,0,1,NONE,0.5093,1.0781,6.3,0,0,0.5942,0.3499,0
2016,PARCEL0000000599,RES_SF,143111367.21,183045546.72,16.2472,2288175.4,1,0,0,0,REDUCED,0.8458,0.9613,1.41,0,0,0.6163,0.2014,1
2016,PARCEL0000000600,RES_SF,29999150.46,35466570.09,37.5385,1155465.69,0,0,0,1,PENDING,1.0685,0.8943,9.46,0,1,0.7226,0.1587,0
2020,PARCEL0000000601,RES_MF,154574111.67,198750441.85,26.3508,3932440.73,1,1,0,0,PENDING,0.7279,0.8847,12.5,0,0,0.6617,0.1532,0
2006,PARCEL0000000602,RES_SF,16171001.66,21620973.78,28.8026,429424.9,1,0,0,0,REDUCED,0.7797,1.221,14.43,0,0,0.5819,0.2925,0
2009,PARCEL0000000603,RES_SF,156375499.06,159139804.8,25.5344,3971552.29,0,0,1,0,NONE,0.519,1.1452,9.47,0,0,0.2188,0.3513,0
2008,PARCEL0000000604,VACANT,25038832.49,28233433.14,18.7204,487196.82,1,1,0,0,REDUCED,1.1943,0.9709,14.14,0,0,0.2065,0.5008,0
2024,PARCEL0000000605,RES_SF,137647804.33,135919503.64,39.0246,5331463.61,0,0,0,0,UPHELD,1.0516,1.0718,10.38,0,1,0.353,0.5792,0
2010,PARCEL0000000606,RES_SF,78373523.83,77306265.02,36.0191,2724135.63,1,0,0,0,REDUCED,1.1807,1.0997,7.36,0,0,0.1774,0.7428,0
2016,PARCEL0000000607,COMM,202338097.88,178521408.41,32.5754,7021608.6,1,0,0,0,REDUCED,0.5639,0.9272,15.38,0,0,0.2343,0.5555,0
2011,PARCEL0000000608,VACANT,41544795.84,52983431.35,4.0766,162960.82,0,0,0,1,UPHELD,1.0332,1.1751,12.34,0,0,0.164,0.5493,0
2015,PARCEL0000000609,VACANT,186986163.15,232168720.68,29.6361,5108562.09,1,1,0,0,UPHELD,0.9645,1.0987,12.33,0,0,0.5525,0.3575,0
2019,PARCEL0000000610,RES_SF,97434688.55,91096087.52,18.6405,1902217.01,1,0,0,0,WITHDRAWN,0.8719,0.8507,4.86,0,0,0.4708,0.4749,0
2014,PARCEL0000000611,RES_MF,234946778.76,234764264.32,21.0171,4697690.07,1,1,0,1,UPHELD,1.1392,1.0267,8.27,0,0,0.3428,0.4299,0
2023,PARCEL0000000612,RES_SF,182211116.84,220659496.19,8.0151,1415753.82,1,0,0,1,NONE,0.8775,0.9809,4.22,0,0,0.4502,0.3675,0
2024,PARCEL0000000613,COMM,91022879.63,108289575.09,38.4934,3569038.54,1,0,0,1,UPHELD,0.6255,1.053,7.82,0,0,0.3483,0.4614,0
2015,PARCEL0000000614,IND,10281748.18,10923057.24,11.1004,106961.65,1,0,1,1,UPHELD,0.7797,1.0952,6.78,0,0,0.528,0.2472,0
2007,PARCEL0000000615,IND,243925289.92,209725314.05,27.6022,6730395.23,1,0,0,0,NONE,0.7628,1.2367,5.78,0,0,0.2059,0.5537,0
2014,PARCEL0000000616,AG,62565294.12,67243350.0,33.678,1970460.58,0,0,0,0,UPHELD,0.7889,1.0368,16.87,0,0,0.539,0.2778,0
2012,PARCEL0000000617,RES_SF,214385928.0,250210831.4,44.8199,9269519.97,0,0,0,0,PENDING,0.8468,1.1995,17.54,0,1,0.3077,0.2836,0
2018,PARCEL0000000618,RES_SF,54078093.14,58887780.1,32.9642,1829693.75,1,0,0,0,NONE,0.9184,1.0566,15.07,0,1,0.3194,0.3549,0
2013,PARCEL0000000619,RES_SF,4381593.89,4082031.16,27.2417,127664.44,0,0,0,0,PENDING,0.9496,1.1337,14.27,0,0,0.4249,0.471,0
2010,PARCEL0000000620,RES_SF,106733772.57,141004764.19,41.8046,4153905.81,1,0,0,0,UPHELD,0.6929,0.9619,8.66,0,0,0.4299,0.5401,0
2018,PARCEL0000000621,RES_SF,63379354.03,81145407.3,17.3357,1036671.99,1,0,0,0,UPHELD,0.9202,1.0156,9.79,0,0,0.5797,0.228,0
2018,PARCEL0000000622,RES_SF,125862608.25,154070033.13,26.5646,3406579.33,1,0,0,0,WITHDRAWN,0.8508,1.2483,0.44,0,0,0.3062,0.3575,0
2024,PARCEL0000000623,COMM,249161617.27,323402690.91,10.9077,2701274.46,1,1,0,1,UPHELD,0.7004,0.8706,7.83,0,1,0.5267,0.2727,0
2022,PARCEL0000000624,RES_SF,51541485.62,49444570.62,33.7649,1688314.41,1,0,0,0,UPHELD,0.9861,1.1776,17.23,0,1,0.5947,0.2537,1
2016,PARCEL0000000625,MIXED,200258722.43,177769938.06,3.8192,730751.26,1,1,0,0,NONE,0.6133,0.888,14.97,0,0,0.488,0.4321,1
2021,PARCEL0000000626,VACANT,246519680.1,262979420.04,9.1531,2076392.55,0,0,0,0,UPHELD,0.626,0.9702,13.85,0,0,0.5008,0.2217,0
2014,PARCEL0000000627,RES_SF,88615430.07,80208613.25,14.8056,1339407.21,1,0,0,0,UPHELD,0.7581,0.9538,4.79,0,0,0.6761,0.1643,0
2020,PARCEL0000000628,COMM,130380126.78,146111446.98,6.7864,862745.85,1,0,0,0,UPHELD,0.6172,1.2231,12.02,0,1,0.2002,0.3506,0
2007,PARCEL0000000629,RES_SF,124553748.18,119798416.68,12.7773,1598680.37,1,0,1,0,NONE,0.6309,1.1754,9.82,0,0,0.3836,0.5848,0
2024,PARCEL0000000630,RES_MF,45060309.29,52008466.11,5.661,251820.29,0,0,0,0,NONE,0.8217,0.9035,9.68,0,1,0.3343,0.5777,0
2011,PARCEL0000000631,RES_SF,61211156.79,80182080.4,43.6349,2662879.3,1,0,0,0,REDUCED,0.5532,1.2499,11.1,0,1,0.185,0.376,0
2014,PARCEL0000000632,RES_MF,119598218.29,145882743.96,36.9042,4096657.42,1,0,0,1,REDUCED,0.5323,1.0935,1.02,0,1,0.6275,0.2059,0
2017,PARCEL0000000633,RES_SF,246768277.05,288377797.06,3.4753,870389.1,1,0,0,0,UPHELD,0.9536,0.8619,16.35,0,1,0.5844,0.1666,0
2024,PARCEL0000000634,RES_SF,130583508.21,150599762.86,17.2429,2147180.7,0,0,0,1,NONE,1.1604,0.9544,13.82,0,1,0.4062,0.3743,0
2017,PARCEL0000000635,RES_SF,148061674.19,171978629.01,17.8633,2481681.35,1,0,0,1,UPHELD,0.9902,1.2163,5.48,0,0,0.6532,0.2011,1
2022,PARCEL0000000636,IND,67969585.17,59041548.66,31.3184,2188019.03,1,0,0,1,NONE,0.5749,0.8748,16.52,0,0,0.7398,0.202,0
2022,PARCEL0000000637,RES_SF,15329781.44,18747667.08,22.8826,342600.5,0,0,0,0,UPHELD,1.0978,0.8683,1.64,0,0,0.4917,0.3181,0
2015,PARCEL0000000638,COMM,152685372.81,130031458.71,23.9351,3540815.79,1,0,1,0,REDUCED,0.5203,1.128,0.59,0,0,0.3253,0.4158,0
2011,PARCEL0000000639,RES_SF,158992484.58,152303455.88,9.849,1531426.5,1,0,0,1,NONE,0.5677,1.198,14.84,0,0,0.7183,0.215,0
2019,PARCEL0000000640,RES_SF,71841503.42,63437082.03,17.4011,1158640.38,1,0,0,0,NONE,0.7304,0.8503,6.08,0,0,0.384,0.4267,1
2024,PARCEL0000000641,RES_MF,34209132.42,37592810.72,28.089,1027111.88,1,0,0,0,REDUCED,0.937,1.1064,17.09,0,1,0.359,0.2884,0
2012,PARCEL0000000642,VACANT,62546644.23,55571438.67,19.7282,1322273.56,1,0,0,0,REDUCED,0.654,1.1179,16.41,0,0,0.4946,0.2949,0
2006,PARCEL0000000643,AG,31840258.25,27249110.9,2.0417,69603.82,1,0,0,0,UPHELD,0.8057,0.9947,12.26,0,1,0.5949,0.2357,0
2015,PARCEL0000000644,COMM,118423531.89,152525448.54,1.5176,192895.95,1,0,0,0,NONE,0.8701,1.142,7.42,0,1,0.1926,0.3997,0
2007,PARCEL0000000645,IND,177525282.99,160662000.27,14.7877,2602395.07,1,0,0,1,NONE,1.0561,1.1132,9.42,0,0,0.5206,0.3763,0
2012,PARCEL0000000646,RES_SF,31263785.28,34700698.78,14.1885,452665.4,0,0,1,0,REDUCED,0.7524,1.1839,5.86,0,0,0.1681,0.7266,0
2009,PARCEL0000000647,RES_SF,50483666.58,64105247.4,41.1411,2221347.79,1,0,0,0,REDUCED,0.9907,1.1236,11.87,0,0,0.2537,0.7015,0
2017,PARCEL0000000648,RES_MF,61270401.55,79016488.82,7.0136,404861.28,1,0,0,1,PENDING,0.6696,1.1684,5.11,0,0,0.268,0.4471,0
2019,PARCEL0000000649,AG,129243802.73,155489137.05,1.6756,206412.35,1,0,0,0,NONE,0.8811,1.1394,8.37,0,0,0.5364,0.4107,0
2009,PARCEL0000000650,IND,151334463.11,172187073.56,25.4836,3900884.54,1,1,0,0,PENDING,1.0838,1.0965,2.07,0,0,0.2688,0.6565,0
2024,PARCEL0000000651,RES_SF,35632751.93,30695881.36,10.3695,391145.45,1,1,0,0,PENDING,0.9367,1.1332,15.62,0,0,0.3097,0.3159,0
2025,PARCEL0000000652,COMM,147889775.37,143754127.94,8.2437,1207804.0,0,0,0,0,NONE,0.598,1.1011,8.33,0,0,0.341,0.5792,0
2011,PARCEL0000000653,RES_SF,20779689.15,18972489.37,28.4905,624348.31,1,0,1,0,NONE,0.5859,1.1133,14.98,0,1,0.652,0.1815,0
2016,PARCEL0000000654,COMM,130714381.34,153231230.49,23.7012,3279407.72,1,0,0,1,NONE,0.6467,1.1937,16.27,0,0,0.5366,0.2955,0
2008,PARCEL0000000655,RES_MF,133695171.7,121234529.86,43.1445,5629106.27,0,0,0,0,NONE,1.0188,0.8833,15.65,0,1,0.4369,0.3182,0
2021,PARCEL0000000656,RES_MF,198704055.72,268099645.41,26.0406,5505667.15,0,1,0,1,REDUCED,0.7687,1.1367,3.87,1,1,0.3109,0.4085,1
2022,PARCEL0000000657,RES_SF,122984801.23,160078793.54,34.3288,3986173.77,1,0,0,0,INCREASED,1.1655,0.9726,0.72,0,0,0.6923,0.1746,0
2024,PARCEL0000000658,RES_SF,175443220.1,229462972.15,39.1566,6509138.26,0,0,1,0,NONE,0.7814,1.1489,5.5,0,0,0.5102,0.2221,0
2022,PARCEL0000000659,COMM,90423152.5,96004177.74,17.5745,1654023.08,1,0,0,0,NONE,0.6019,1.162,14.26,0,0,0.4179,0.4442,0
2020,PARCEL0000000660,COMM,122679746.61,104325033.44,30.6634,3573561.96,0,0,0,0,UPHELD,1.1356,1.2048,1.26,0,0,0.6999,0.2659,0
2015,PARCEL0000000661,RES_SF,71407980.65,82805493.02,37.8286,2544478.03,1,0,0,1,NONE,0.6989,1.0484,12.54,0,0,0.7067,0.2157,0
