biz_output_reporting_quarter,biz_output_industry_cluster_code,biz_output_shipment_value_usd,biz_output_new_orders_value_usd,biz_output_capacity_utilization_pct,biz_output_unit_labor_cost_index,biz_output_export_share_pct,biz_output_import_penetration_pct,biz_output_domestic_market_share_pct,biz_output_price_competitiveness_index,biz_output_innovation_intensity_score,biz_output_capital_investment_usd,biz_output_r_and_d_spend_usd,biz_output_automation_adoption_index,biz_output_supply_chain_concentration_index,biz_output_supplier_risk_score,biz_output_customer_concentration_index,biz_output_energy_intensity_btu_output,biz_output_carbon_intensity_tons_output,biz_output_benchmark_peer_group
2094Q4,CL000332,9029473915.58,7258785636.75,90.64,110.61,74.07,37.03,76.64,112.53,65.94,59786547820.93,30442051466.13,0.7583,0.3,31.52,0.1725,29556.09,125.7972,PEER_F
2095Q1,CL000333,509671615.39,400556344.04,71.12,130.88,36.21,22.41,89.61,115.68,62.77,78053242783.2,58282828568.81,0.2103,0.1271,86.49,0.0622,36754.56,113.2911,PEER_F
2095Q2,CL000334,355469278695.8,358008659648.69,89.79,109.29,23.49,28.18,75.02,122.4,54.99,96950566543.68,15214359199.84,0.6854,0.4777,78.99,0.2703,13379.88,210.2288,PEER_E
2095Q3,CL000335,33443543213.95,23807156031.48,33.39,158.61,52.54,13.66,88.97,73.38,36.55,79690103106.48,24247572270.92,0.9344,0.3217,21.53,0.0885,42949.7,126.4287,PEER_C
2095Q4,CL000336,384987285080.6,420117944086.49,52.69,154.59,23.41,64.99,44.39,129.61,71.69,79641947114.75,29995092869.43,0.1468,0.258,59.75,0.409,4516.41,12.4845,PEER_F
2096Q1,CL000337,19666101876.97,20391143785.48,75.98,146.28,5.94,55.98,74.78,96.78,55.93,31582906757.45,29373727657.89,0.3969,0.4359,47.56,0.2015,6300.09,181.4802,PEER_B
2096Q2,CL000338,317015133981.9,260932129096.33,42.48,155.59,72.32,49.8,75.54,118.36,59.31,75610480896.22,22590753091.01,0.257,0.0133,86.28,0.8364,24265.31,81.2567,PEER_D
2096Q3,CL000339,113528497606.17,93909936959.0,43.08,93.59,64.12,60.27,67.89,135.55,82.06,93898593304.47,9271762509.32,0.6021,0.5287,83.23,0.0897,13217.44,157.5983,PEER_E
2096Q4,CL000340,355397552124.99,307401174077.59,86.25,103.79,15.22,47.64,58.92,114.94,67.15,64899339324.73,16231482187.29,0.7932,0.0831,61.19,0.2195,4258.85,228.8588,PEER_C
2097Q1,CL000341,331237327857.81,257072625860.38,53.68,87.6,81.1,7.31,96.34,130.59,84.65,103918051302.07,42198989745.97,0.2388,0.6336,53.88,0.522,296.61,201.2286,PEER_F
2097Q2,CL000342,94406978745.41,66475821980.01,63.36,129.1,70.52,9.27,96.87,76.34,98.25,111635462267.77,54154429132.62,0.326,0.7206,93.92,0.5834,13027.82,129.7361,PEER_A
2097Q3,CL000343,381451535753.29,432713994814.61,51.28,155.29,55.15,6.88,95.2,92.11,22.42,110730970804.51,46823203114.54,0.2935,0.4486,23.88,0.9849,18614.23,48.4556,PEER_E
2097Q4,CL000344,268303494654.99,301354985942.94,40.75,76.51,34.05,65.26,49.44,118.68,33.22,115037684362.01,58441530598.82,0.2923,0.2545,7.89,0.33,15446.39,41.4756,PEER_E
2098Q1,CL000345,135521027168.32,149339273610.31,34.03,108.57,84.18,51.6,54.42,98.96,48.78,77871946148.71,29814906989.48,0.1,0.4334,72.97,0.312,1071.45,61.9822,PEER_B
2098Q2,CL000346,159340723715.81,172617481147.78,50.32,116.39,3.64,47.81,60.89,76.86,6.33,80938892724.37,31972597107.27,0.8836,0.4539,62.63,0.8482,22627.98,5.7002,PEER_A
2098Q3,CL000347,56053979997.57,40725450991.37,34.77,152.85,32.92,79.42,33.56,60.48,0.13,100812194837.54,57510121043.0,0.2947,0.2508,72.32,0.2546,12450.07,249.4525,PEER_A
2098Q4,CL000348,333503649105.34,247951712022.25,43.85,139.69,61.26,48.92,83.2,81.54,80.31,14816352572.5,31000188784.24,0.4147,0.3027,56.47,0.4953,23796.77,58.3216,PEER_A
2099Q1,CL000349,444645523533.28,506608970173.48,41.57,135.36,4.65,68.13,64.56,86.95,47.48,83962710208.13,10770597893.55,0.6573,0.853,81.94,0.2065,33464.75,193.9824,PEER_E
2099Q2,CL000350,270243592035.21,217848820195.74,73.17,99.27,51.48,59.8,55.54,132.25,5.09,39497698807.3,2965940882.74,0.2852,0.6972,9.19,0.7945,1755.66,82.7378,PEER_B
2099Q3,CL000351,436122432493.36,404336154133.82,74.26,90.58,59.71,43.53,84.76,112.01,55.78,54849449618.06,24006411576.26,0.066,0.5927,19.48,0.4197,41185.7,150.1968,PEER_A
2099Q4,CL000352,399817313412.14,393159899329.18,71.42,112.36,78.76,28.93,77.31,132.4,21.58,105756931695.28,7465089624.96,0.6826,0.8969,19.6,0.0083,41799.23,137.1733,PEER_B
2100Q1,CL000353,104363064266.69,84984436203.4,82.65,143.62,47.69,82.01,46.29,78.39,75.18,19657831765.52,10574838229.34,0.4407,0.6648,44.32,0.9384,49371.18,64.0758,PEER_C
2100Q2,CL000354,177268078609.63,120040138490.8,41.34,155.99,79.57,55.42,62.4,68.08,22.03,12716970993.69,13320079992.65,0.8693,0.8009,85.44,0.7096,11801.14,92.1954,PEER_F
2100Q3,CL000355,242751398909.48,238909211594.91,46.66,140.92,58.35,68.83,64.12,131.19,91.24,34248583932.17,32198119431.53,0.3231,0.3447,83.3,0.0081,48037.51,78.3616,PEER_C
2100Q4,CL000356,421774102314.11,390938580397.26,90.99,141.82,1.04,59.21,76.87,84.03,73.2,96746418762.0,58739337040.86,0.2076,0.7704,43.67,0.4984,49305.1,28.7447,PEER_A
2101Q1,CL000357,116337064900.17,118935458455.23,67.39,85.24,47.47,39.47,87.89,132.27,87.01,74985917693.91,56247338457.12,0.6361,0.9215,60.2,0.0099,7966.21,75.2746,PEER_B
2101Q2,CL000358,378930733516.23,328063329449.05,84.47,135.14,21.46,16.67,94.94,61.42,21.65,105456351314.13,33205618138.73,0.1362,0.7883,54.25,0.2706,25769.66,182.3769,PEER_D
2101Q3,CL000359,98333828775.25,78187213886.18,23.03,129.12,52.81,6.2,95.08,126.04,22.2,113222474577.63,10998759461.14,0.6698,0.3728,79.63,0.0486,10857.6,33.3434,PEER_C
2101Q4,CL000360,40279047049.82,42570171529.56,85.26,150.87,78.07,9.44,92.22,102.36,7.42,88136439206.27,30055033516.26,0.4311,0.3551,47.88,0.6934,47675.6,72.2093,PEER_C
2102Q1,CL000361,145310413930.74,103223935274.41,96.94,106.63,71.23,45.3,66.03,84.16,78.0,37854324527.41,25123420281.56,0.6678,0.8972,27.26,0.6553,22304.67,117.4281,PEER_F
2102Q2,CL000362,56786960503.27,45666123624.35,45.04,117.99,39.81,81.78,60.65,87.82,45.06,76598390733.99,16649210687.41,0.4673,0.0258,35.04,0.6214,35574.51,27.1252,PEER_E
2102Q3,CL000363,68617648396.37,56841307530.27,25.17,79.37,71.36,36.07,79.37,96.36,22.45,95706583270.21,37793065210.59,0.5128,0.5914,79.48,0.2328,27547.7,82.6588,PEER_F
2102Q4,CL000364,304438939787.47,199664406023.52,68.12,124.05,20.11,56.77,60.36,83.8,1.2,70757230312.44,37208173205.94,0.1629,0.514,33.7,0.4133,19127.07,103.9161,PEER_E
2103Q1,CL000365,333057861301.24,342751967840.39,67.64,147.38,80.69,8.29,94.13,129.27,5.12,52904278439.42,41420418453.03,0.5403,0.1572,13.59,0.5247,46037.23,118.8663,PEER_D
2103Q2,CL000366,159322666254.89,168892401701.19,90.12,80.9,49.12,22.98,92.29,124.45,93.82,109040024126.61,2376061923.66,0.0542,0.457,40.72,0.8126,27046.74,47.0592,PEER_C
2103Q3,CL000367,234491658490.59,212602443062.56,84.22,130.66,0.24,45.55,70.85,117.21,55.37,13237810850.29,24686848575.85,0.7194,0.1032,10.1,0.76,21729.58,9.3293,PEER_B
2103Q4,CL000368,134283342166.61,137803401703.82,28.0,149.78,25.93,69.4,46.18,122.3,89.29,49075160700.43,43872328878.8,0.7019,0.8779,60.09,0.6049,44737.71,237.0326,PEER_C
2104Q1,CL000369,392613418057.89,317006714447.45,39.82,143.75,34.44,67.11,46.23,65.67,15.93,12851546483.43,26309673779.11,0.2838,0.5905,58.93,0.3967,32738.39,21.9897,PEER_B
2104Q2,CL000370,418118758030.09,294012684327.18,65.2,146.33,7.47,46.42,66.5,123.87,72.41,84926146034.05,14404084862.49,0.7036,0.647,21.21,0.1476,44982.28,86.8141,PEER_C
2104Q3,CL000371,9823519847.57,6386918827.78,55.45,61.8,0.26,25.54,78.12,130.22,52.96,52334983476.83,47991428038.8,0.0008,0.4259,42.7,0.7873,40935.91,54.3219,PEER_A
2104Q4,CL000372,41943258961.03,36273069506.08,35.39,89.61,24.05,7.88,93.26,128.17,20.65,95645529293.36,6015564188.41,0.0489,0.8284,67.61,0.1965,37378.73,120.7568,PEER_F
2105Q1,CL000373,197718037691.93,136672476485.4,48.14,124.65,7.87,62.39,71.64,112.29,36.09,113034269409.99,55545270157.58,0.9373,0.3998,32.46,0.2553,37720.0,109.1743,PEER_C
2105Q2,CL000374,245568643442.92,169646387699.49,63.45,101.51,44.8,47.28,80.09,135.92,51.45,18933272019.21,43782720959.99,0.9269,0.6983,24.69,0.9883,11368.75,31.8766,PEER_E
2105Q3,CL000375,418626638308.99,284820762636.84,88.05,139.11,2.95,23.88,83.93,111.04,97.19,108824555059.15,57585530811.72,0.8672,0.1655,66.36,0.9369,7726.51,217.0095,PEER_F
2105Q4,CL000376,2719784452.22,2429943508.32,97.56,134.33,39.25,47.62,70.68,117.94,2.56,65674857855.47,16264267003.4,0.1724,0.0589,43.43,0.2793,19515.46,247.1319,PEER_A
2106Q1,CL000377,246873800809.97,228175322814.99,97.18,100.68,57.63,78.44,57.22,70.95,12.87,39935474956.32,45976674903.73,0.9351,0.3618,88.69,0.0102,48671.69,157.5755,PEER_C
2106Q2,CL000378,42379188305.73,31640757215.61,80.18,128.74,57.68,20.76,92.73,134.93,59.83,72769263526.65,27367063293.11,0.9096,0.9767,22.9,0.2647,28545.96,36.3796,PEER_F
2106Q3,CL000379,297654974472.08,326490713126.68,52.31,132.66,27.18,14.36,93.84,94.08,25.54,68017802698.46,10449953904.92,0.1434,0.9289,91.04,0.9449,36616.81,168.7281,PEER_B
2106Q4,CL000380,208295663781.52,162639180611.14,66.4,69.73,32.12,12.3,94.32,80.26,18.73,103242324228.84,57425378515.98,0.0282,0.8212,39.97,0.7978,28578.74,208.024,PEER_E
2107Q1,CL000381,361912260565.45,238763082651.89,52.33,127.16,40.1,14.67,95.54,133.89,2.89,62647555379.12,26489056791.99,0.2017,0.3927,27.96,0.3726,6904.94,173.3706,PEER_C
2107Q2,CL000382,106136924131.18,81301885502.26,87.41,91.86,80.1,46.57,76.99,68.04,42.74,22988054110.29,19212572710.72,0.231,0.5011,81.15,0.7004,50.16,58.1588,PEER_B
2107Q3,CL000383,327898734237.92,340963605470.49,80.22,86.92,48.92,57.05,59.12,99.83,39.23,13257792518.7,22309404934.84,0.7921,0.1231,28.78,0.2057,45570.71,3.208,PEER_C
2107Q4,CL000384,227940195233.19,212510082285.52,63.71,144.75,8.11,52.88,66.22,117.97,7.55,31250741367.78,46961914870.23,0.0028,0.9269,96.07,0.278,40674.94,146.4836,PEER_E
2108Q1,CL000385,266399856665.68,215788372483.28,40.77,63.16,66.0,57.29,63.03,96.52,99.35,74819872287.47,49101542250.93,0.1756,0.0959,5.72,0.8485,43777.41,230.4853,PEER_D
2108Q2,CL000386,300254092142.05,311170962851.82,78.99,129.53,17.26,36.74,83.33,95.22,15.09,26534405361.61,12958528313.6,0.6735,0.0636,61.19,0.1152,14485.05,88.3935,PEER_F
2108Q3,CL000387,100386881460.52,68566943316.85,97.58,137.65,40.23,56.15,81.44,69.39,10.15,71270171957.09,47731276989.72,0.6148,0.7178,68.68,0.3353,15138.88,195.4926,PEER_E
2108Q4,CL000388,414955626443.82,351804293317.77,58.5,107.32,77.94,38.45,69.14,91.24,39.1,11076908002.56,6542184605.08,0.0025,0.5954,72.11,0.5744,48124.52,34.432,PEER_E
2109Q1,CL000389,285430810859.08,315001489897.62,64.08,101.46,36.05,69.28,48.05,85.93,92.58,119754423405.25,36815253795.8,0.3405,0.4567,19.56,0.776,39307.32,103.0925,PEER_E
2109Q2,CL000390,244462292303.78,194790511113.53,58.64,144.57,15.72,1.36,99.42,120.58,47.64,12537385517.73,21961461682.24,0.4956,0.8498,62.03,0.5994,45482.93,25.9377,PEER_D
2109Q3,CL000391,184599368453.53,156694528268.45,27.58,69.95,23.11,68.83,56.48,104.87,90.57,94091308451.98,15426101130.39,0.0401,0.913,21.12,0.843,40138.04,205.9831,PEER_E
2109Q4,CL000392,249061049110.77,182843146294.8,74.72,67.08,59.82,59.45,64.47,86.02,11.3,112903312124.67,8733202946.49,0.8124,0.7371,94.72,0.8374,31263.31,201.901,PEER_F
2110Q1,CL000393,245940743839.01,260122868270.4,77.06,98.96,21.42,78.81,48.67,90.33,53.33,49002932601.87,10207090055.4,0.4621,0.4161,7.49,0.2622,30354.99,71.001,PEER_C
2110Q2,CL000394,29762380762.26,21911739974.19,57.4,150.26,72.19,17.15,88.93,120.65,10.07,4549868453.06,34712255221.35,0.3565,0.6898,89.55,0.6182,36668.14,0.1528,PEER_B
2110Q3,CL000395,316519891322.52,212500684587.37,34.56,158.5,36.0,40.44,79.68,61.13,37.91,44108735853.75,43770871973.95,0.2598,0.4712,63.72,0.2497,18637.18,221.8991,PEER_A
2110Q4,CL000396,226809226624.73,191572544490.79,65.55,134.0,65.17,0.75,99.37,136.57,6.24,101447458329.02,27322739400.75,0.0089,0.4246,32.12,0.5226,42605.51,22.4058,PEER_B
2111Q1,CL000397,252446619538.6,169499386887.54,65.3,84.64,28.61,2.07,98.32,106.85,94.24,119435364529.15,45630682630.99,0.533,0.9795,96.71,0.6977,22064.14,185.18,PEER_B
2111Q2,CL000398,287643582535.17,223570086553.24,56.25,122.63,38.92,16.2,94.07,112.0,95.92,92131187085.02,6474475235.82,0.3991,0.8155,72.71,0.111,42900.94,206.5814,PEER_C
2111Q3,CL000399,224280716170.39,226691583813.33,51.26,69.1,84.06,65.2,52.32,68.92,73.16,86552641333.24,57168920643.36,0.8725,0.5158,8.93,0.6188,26036.42,166.9832,PEER_F
2111Q4,CL000400,85127720882.98,71449280716.02,71.92,72.34,40.1,60.52,58.4,91.86,51.46,53716324687.66,30154116264.96,0.4566,0.7001,98.93,0.7741,11133.84,187.8251,PEER_F
2112Q1,CL000401,420120471004.68,290291409022.12,51.0,63.95,0.56,3.62,97.77,112.09,25.63,42545424841.29,51680601020.02,0.3301,0.5541,6.98,0.5462,6392.98,9.119,PEER_E
2112Q2,CL000402,293360975467.65,319643995664.29,82.79,129.81,32.42,35.54,82.54,91.25,53.89,87286449746.27,89077019.2,0.1156,0.7656,88.6,0.4298,18014.7,105.2409,PEER_F
2112Q3,CL000403,416945959447.04,276690609630.47,94.03,79.68,29.25,12.47,96.1,66.75,14.38,110026485907.6,33090043018.81,0.4613,0.6344,80.94,0.7631,14516.56,155.51,PEER_E
2112Q4,CL000404,444992789652.35,407642378697.06,20.33,77.66,52.95,45.01,73.6,98.78,95.19,107343222523.36,22692752617.46,0.5479,0.5353,16.88,0.922,47178.27,78.4284,PEER_E
2113Q1,CL000405,95186756426.41,82209596446.82,50.05,94.72,71.08,68.14,76.76,99.17,94.08,5839502987.72,13915293067.56,0.4393,0.418,39.74,0.5522,7472.54,72.9586,PEER_F
2113Q2,CL000406,400240859873.61,403443191362.12,83.75,63.42,54.67,36.33,85.14,60.93,73.71,72059350676.8,2917857835.67,0.2327,0.9422,27.39,0.9997,36857.27,101.81,PEER_C
2113Q3,CL000407,129614246394.71,130978189805.74,87.37,61.26,34.42,89.36,57.54,133.96,30.45,12582309570.18,6076815072.66,0.4978,0.4055,30.16,0.3634,31552.41,240.4919,PEER_C
2113Q4,CL000408,211742578327.61,170553521169.44,76.81,67.78,80.63,61.13,58.85,89.27,13.34,59816047055.85,2319376875.21,0.2915,0.443,82.03,0.8902,9673.59,232.7182,PEER_B
2114Q1,CL000409,216600512942.52,241925940303.13,46.86,70.61,13.47,51.09,63.42,106.45,1.89,84974035427.97,34600155391.73,0.3627,0.9654,37.71,0.6286,31661.69,59.8063,PEER_C
2114Q2,CL000410,90933455923.11,72340232238.88,31.06,122.82,79.95,68.53,47.9,66.9,25.71,75497916322.52,27291083741.08,0.9035,0.6647,98.68,0.8329,49992.34,181.4663,PEER_D
2114Q3,CL000411,144834091170.2,106956935586.88,91.47,145.3,49.32,13.78,95.23,134.48,1.92,19372383311.25,39126120160.11,0.4889,0.0333,29.76,0.1996,35500.68,240.8112,PEER_B
2114Q4,CL000412,344058938937.24,257695730963.94,33.89,152.5,7.17,28.64,86.74,129.18,80.02,116059002736.23,1744293373.09,0.5854,0.1097,14.2,0.8335,19895.23,77.5854,PEER_B
2115Q1,CL000413,189602396701.86,217059089469.81,70.02,103.56,63.24,74.76,67.32,80.1,7.67,65031119363.19,40244385869.03,0.8066,0.0414,64.76,0.4806,40096.55,5.6674,PEER_E
2115Q2,CL000414,439581325622.2,329202028076.77,41.67,85.38,45.62,78.55,72.83,74.46,66.63,57824937157.51,32108112661.77,0.217,0.3575,51.2,0.9673,13838.75,242.3969,PEER_E
2115Q3,CL000415,77862130949.64,71664699668.05,20.8,77.35,63.54,41.71,74.89,104.91,99.05,46092922479.78,43064647661.95,0.0249,0.0918,14.97,0.3666,14346.38,136.6486,PEER_D
2115Q4,CL000416,46130096188.21,40091952069.55,54.21,118.53,57.25,17.68,91.28,69.44,35.62,4481558070.81,446097902.8,0.4071,0.9157,27.7,0.6066,22209.1,193.428,PEER_A
2116Q1,CL000417,278367376596.9,198172455350.67,31.36,145.89,31.6,28.96,86.46,60.68,86.13,94637839386.97,47329068193.74,0.6578,0.2207,3.42,0.4161,47500.94,9.8738,PEER_A
2116Q2,CL000418,73358918438.17,75792557864.88,82.96,79.27,54.72,38.59,74.14,68.36,12.5,67067348055.98,18557198022.68,0.8173,0.5372,10.96,0.492,30653.56,158.902,PEER_B
2116Q3,CL000419,251800618787.12,285721841586.25,38.1,92.08,7.18,24.26,90.17,66.46,11.79,30408953949.86,48854790462.21,0.8198,0.3968,27.1,0.6974,26568.89,179.4842,PEER_F
2116Q4,CL000420,113450973861.05,109178578338.85,75.65,86.28,37.73,54.0,56.59,130.23,75.23,30689727676.85,8589721172.56,0.5095,0.2231,24.35,0.2667,15773.53,138.5818,PEER_A
2117Q1,CL000421,183772251062.01,204924093944.35,53.05,79.71,30.39,8.88,93.2,133.86,3.65,36865783377.74,7645156481.24,0.9454,0.0427,71.06,0.5079,10953.12,72.2123,PEER_E
2117Q2,CL000422,360512934113.92,363944844299.11,64.57,80.06,23.01,47.42,64.0,110.84,8.95,112439793559.72,27523004567.93,0.6706,0.6496,88.09,0.1341,43737.74,12.0767,PEER_A
2117Q3,CL000423,167183610379.73,189892277823.95,20.22,69.3,50.29,89.98,64.6,70.23,84.21,90311154323.73,24993920067.5,0.318,0.9295,75.23,0.272,9038.81,234.1837,PEER_F
2117Q4,CL000424,262045057864.13,241930360835.56,46.23,157.0,24.32,82.91,68.63,124.59,24.1,48225252262.9,20060447609.1,0.9395,0.5805,84.66,0.8313,13707.29,131.6988,PEER_A
2118Q1,CL000425,352779775736.08,334556392528.06,85.68,126.51,0.49,19.55,90.61,134.21,82.69,56217886779.11,20798757751.61,0.0321,0.7102,92.31,0.3862,3094.09,145.4731,PEER_C
2118Q2,CL000426,108098579282.1,102293698653.57,28.89,64.63,46.34,39.35,87.84,67.35,18.96,112582174285.24,9567883048.13,0.3734,0.9219,57.53,0.3226,46902.86,62.5011,PEER_C
2118Q3,CL000427,420282530472.73,390951091424.84,27.45,60.27,45.19,34.8,81.88,86.92,41.43,13687541903.1,7481695690.81,0.5478,0.1133,54.96,0.8469,12958.35,34.9029,PEER_F
2118Q4,CL000428,256753455253.46,208819633283.6,58.64,127.51,40.62,6.35,97.07,75.75,15.55,28777139514.25,30098154415.66,0.6472,0.7627,43.02,0.4087,34256.7,70.146,PEER_A
2119Q1,CL000429,164213211081.28,112923599983.91,23.56,122.06,81.74,5.05,96.19,65.35,19.4,16043744413.31,53110969437.89,0.1042,0.6691,66.62,0.5714,41585.46,163.4506,PEER_E
2119Q2,CL000430,335425518040.33,219313059495.95,51.06,72.7,28.52,27.24,90.46,78.72,56.18,112515530646.57,13110762833.61,0.4698,0.395,86.47,0.6452,48431.64,93.5611,PEER_F
2119Q3,CL000431,211132715133.75,139900303713.91,75.08,97.53,81.3,86.78,41.52,62.05,12.7,5740613041.2,20679509961.37,0.6291,0.2747,53.83,0.1209,19298.1,146.2747,PEER_E
2119Q4,CL000432,113108165643.88,77937343314.04,79.6,150.35,10.26,67.8,72.51,124.39,21.22,833779414.77,59710629469.52,0.8674,0.6579,52.44,0.2815,20537.4,29.191,PEER_B
2120Q1,CL000433,179095240989.22,117806257067.17,75.64,132.71,8.84,67.48,59.16,83.57,21.8,115519130968.84,57194810843.61,0.4172,0.688,64.99,0.4531,15423.05,219.0453,PEER_C
2120Q2,CL000434,99919950716.12,65447240332.78,21.62,93.69,59.54,17.66,93.74,62.82,36.01,100537523777.13,22462883374.22,0.3064,0.6117,86.27,0.5108,40990.06,161.6989,PEER_A
2120Q3,CL000435,92915906215.95,61322501932.85,62.14,76.43,8.65,86.58,64.06,85.8,66.61,52389646960.48,56341549210.14,0.746,0.6037,62.44,0.9152,21349.44,142.9114,PEER_C
2120Q4,CL000436,407289089314.28,333941955018.4,75.6,110.8,64.88,45.78,65.6,78.15,17.4,32053835788.01,34757125015.56,0.3251,0.5777,18.68,0.4526,24256.92,153.211,PEER_B
2121Q1,CL000437,268427854818.9,239298931654.44,70.45,135.88,61.48,10.27,95.97,123.99,74.8,66797817007.34,5161241537.5,0.9722,0.7094,77.85,0.8294,7712.22,90.8023,PEER_B
2121Q2,CL000438,143262384481.61,161282107900.11,47.94,63.27,73.83,42.46,77.7,107.5,97.23,115477711101.93,40860933252.04,0.8604,0.1928,6.76,0.7053,30077.81,130.2076,PEER_A
2121Q3,CL000439,224728896151.0,172417970559.9,84.1,145.45,15.62,26.88,79.56,89.53,13.97,62892128690.79,14887817495.25,0.8539,0.9106,88.68,0.3422,10592.69,134.4795,PEER_F
2121Q4,CL000440,339516779355.47,339195966739.79,40.36,130.91,43.18,48.12,73.84,116.69,71.69,37989004655.21,4892429092.62,0.3392,0.5666,84.63,0.6416,18188.08,89.5974,PEER_D
2122Q1,CL000441,8026833911.08,9057932561.88,85.62,127.95,57.75,67.17,51.7,137.84,58.86,94821304445.29,16205680909.87,0.8438,0.2692,88.06,0.2037,43705.35,117.5724,PEER_C
2122Q2,CL000442,320226433405.83,300835873582.61,37.92,135.46,41.98,3.86,98.76,116.16,20.09,18795730372.47,29430756547.39,0.3281,0.7899,54.68,0.1719,37357.34,110.7472,PEER_A
2122Q3,CL000443,435023592592.4,297180214547.41,47.59,92.11,38.55,49.89,66.17,113.41,64.89,86176551851.38,59818562745.86,0.8454,0.7681,12.56,0.4901,47540.43,183.2552,PEER_C
2122Q4,CL000444,289259181860.68,206803467611.51,91.0,158.93,43.43,84.46,32.98,110.33,35.37,31315581143.16,27573106228.57,0.7219,0.3917,43.47,0.3397,41241.23,171.0474,PEER_F
2123Q1,CL000445,258448013773.56,255449052974.75,89.13,75.5,81.58,36.83,80.44,124.4,86.43,45150610280.1,36249733432.64,0.6137,0.2607,10.49,0.8721,2783.22,148.7488,PEER_F
2123Q2,CL000446,126341729629.18,87672673796.94,48.64,117.66,66.67,18.17,89.91,120.88,65.72,82772058600.23,76821320.56,0.8999,0.6434,5.16,0.3474,4643.99,125.5563,PEER_C
2123Q3,CL000447,395395695638.6,398938980036.57,36.52,123.91,16.3,84.31,40.46,86.91,58.22,40569373674.81,34077393458.76,0.3412,0.3434,48.87,0.9247,25222.57,28.652,PEER_C
2123Q4,CL000448,317923740281.22,266707348664.95,57.53,140.22,66.64,57.34,74.36,102.51,31.7,51537035423.72,36518774164.05,0.8264,0.9593,6.98,0.3464,20906.13,172.0042,PEER_D
2124Q1,CL000449,238782323696.85,262020985570.79,94.56,82.76,36.66,5.69,96.33,100.49,23.43,66518485957.48,34921843689.4,0.2945,0.3901,82.73,0.3598,833.25,106.3852,PEER_E
2124Q2,CL000450,24794395174.65,21897138330.63,20.15,86.44,16.82,17.07,94.72,125.91,44.05,49311628678.47,43780185970.72,0.5245,0.9831,23.61,0.6622,15507.29,139.9321,PEER_A
2124Q3,CL000451,36596989298.55,34817437945.54,77.65,114.65,30.11,28.5,90.27,107.7,9.68,75393828098.34,5746509695.55,0.1678,0.2195,4.19,0.2926,29085.95,225.0873,PEER_A
2124Q4,CL000452,132025581334.6,97297231616.33,53.98,154.13,76.07,44.73,66.47,120.01,43.01,54486091128.42,8023188006.92,0.8153,0.1091,79.06,0.0376,37300.83,213.6614,PEER_A
2125Q1,CL000453,101024520418.8,91423950069.46,83.68,144.04,64.33,84.13,54.6,91.18,35.91,36091569445.0,24909681964.03,0.4741,0.0329,81.34,0.1075,39215.95,80.5524,PEER_C
2125Q2,CL000454,293680305344.07,279954497048.73,61.19,86.16,66.18,47.8,82.47,75.27,73.64,29620502729.61,6048773747.52,0.7865,0.9489,82.28,0.5122,21227.27,215.7604,PEER_B
2125Q3,CL000455,120662294648.27,103380353922.94,20.7,104.64,61.75,12.46,94.76,70.97,12.61,97047861930.96,35484847085.11,0.0045,0.052,63.85,0.1683,8255.96,196.1052,PEER_D
2125Q4,CL000456,323290431319.73,231248482332.72,33.43,90.2,7.05,17.29,85.9,95.56,19.35,114207512951.72,38571576823.75,0.3277,0.1474,48.72,0.1263,45160.39,83.463,PEER_F
2126Q1,CL000457,292645356468.66,299601404518.18,37.5,105.11,57.4,15.73,95.22,89.38,84.54,50974654548.15,46862626521.56,0.7413,0.1056,54.4,0.6731,8419.9,12.1107,PEER_E
2126Q2,CL000458,371761172436.11,408343889736.72,67.92,117.91,32.43,68.65,66.24,98.35,78.65,69284930440.95,41543200781.46,0.6796,0.7476,50.85,0.9947,32538.38,7.7816,PEER_A
2126Q3,CL000459,232593678691.32,238902553758.69,29.36,143.3,1.83,36.43,75.89,68.78,63.21,101298032310.32,26533325759.62,0.5663,0.0762,51.54,0.3762,36202.39,209.1934,PEER_F
2126Q4,CL000460,427209115091.62,462226752525.72,48.16,100.9,55.46,29.59,90.17,72.61,12.11,99168397747.58,27231690485.74,0.7277,0.7135,8.74,0.9753,7304.16,174.1639,PEER_B
2127Q1,CL000461,90343230774.83,74499457642.23,26.42,92.99,15.72,60.42,62.11,126.55,53.55,108611466317.59,25209681119.97,0.7971,0.98,95.52,0.0854,7243.13,64.4007,PEER_D
2127Q2,CL000462,258708302844.35,225073161725.29,28.44,61.9,14.35,57.33,70.94,131.98,44.79,14930875408.98,33950763159.59,0.8242,0.9907,26.25,0.568,8590.67,189.7498,PEER_C
2127Q3,CL000463,372236619064.92,246006686860.75,86.93,123.66,44.03,50.63,65.76,105.12,24.46,76399483882.02,17816602271.35,0.6612,0.8487,90.28,0.6457,3554.84,74.7516,PEER_B
2127Q4,CL000464,107099395780.46,98000886067.38,44.74,85.14,8.74,32.95,89.37,102.13,78.32,601067529.84,12496787928.91,0.0486,0.152,18.43,0.0882,13039.4,31.7673,PEER_B
2128Q1,CL000465,337763818053.01,275751850699.21,68.93,63.18,33.02,73.35,37.78,77.28,84.9,98500335498.09,5596881563.31,0.7137,0.983,87.57,0.1562,45404.63,213.1608,PEER_A
