energy_renew_reference_year,energy_renew_country_iso2,energy_renew_sector_code,energy_renew_share_pct,energy_renew_target_2030_pct,energy_renew_fit55_alignment_flag,energy_renew_installed_capacity_mw,energy_renew_new_installations_mw,energy_renew_permitting_time_months_median,energy_renew_grid_connection_queue_count,energy_renew_curtailment_rate_pct,energy_renew_storage_capacity_mwh,energy_renew_hydrogen_production_tonnes,energy_renew_rfnsbo_compliance_flag,energy_renew_renewable_guarantees_of_origin_count,energy_renew_support_scheme_code,energy_renew_support_amount_eur,energy_renew_repower_eu_flag,energy_renew_data_source,energy_renew_data_extract_date
2009,LV,INDUSTRY,66.56,57.59,1,254217.0,19815.46,47.16,9328,5.24,362017.81,52107.92,0,12135035,CAPEX_GRANT,5800400821.73,0,ENTSOE_RENEWABLES,2024-10-06
2010,PL,TRANSPORT,70.5,52.62,1,91726.31,5767.15,17.37,8328,8.4,334515.39,104193.73,0,3996508,FEED_IN_TARIFF,5370963055.2,0,COMMISSION_PROGRESS_REPORT,2024-05-28
2011,ES,HEATING_COOLING,53.3,50.73,0,47183.41,1649.92,38.11,21,2.86,469395.7,70169.72,0,2398336,TAX_CREDIT,4512073225.79,0,GO_REGISTRY,2025-06-22
2012,HR,ELECTRICITY,11.99,58.39,0,177174.16,3913.16,14.53,324,12.37,210233.47,101694.86,0,4330190,FEED_IN_PREMIUM,2092712987.09,0,NATIONAL_ENERGY_STAT,2024-03-17
2013,FI,INDUSTRY,83.47,51.22,1,14298.62,729.12,25.38,5610,3.85,212167.74,37469.59,0,11070607,NET_METERING,4543630777.68,0,ENTSOE_RENEWABLES,2025-08-11
2014,IE,TRANSPORT,72.39,46.52,1,6270.19,204.98,22.33,10377,6.6,242919.83,30670.0,0,842641,AUCTION_CFD,1749083509.93,0,COMMISSION_PROGRESS_REPORT,2025-11-19
2015,MT,HEATING_COOLING,49.13,39.77,1,288371.34,893.59,49.0,9376,5.39,290110.81,87954.19,0,3572606,CONTRACTS_FOR_DIFFERENCE,112848606.85,0,GO_REGISTRY,2025-04-07
2016,SK,ELECTRICITY,31.75,51.37,1,289933.83,24454.43,15.84,6538,1.12,156888.95,41095.77,0,29359384,CAPEX_GRANT,7469133461.19,0,NATIONAL_ENERGY_STAT,2025-07-06
2017,BE,INDUSTRY,64.22,56.2,1,294445.62,7024.13,35.37,7169,1.75,437854.27,86468.34,0,12174450,FEED_IN_TARIFF,3086182344.57,0,ENTSOE_RENEWABLES,2026-01-01
2018,DK,TRANSPORT,70.34,57.84,1,34898.59,2046.52,54.61,4619,11.82,230946.09,29486.45,0,13007852,TAX_CREDIT,3926325474.09,0,COMMISSION_PROGRESS_REPORT,2024-12-24
2019,GR,HEATING_COOLING,36.56,46.74,1,119883.85,484.5,39.06,2880,0.41,163610.65,10082.16,0,7440534,FEED_IN_PREMIUM,3415040049.04,0,GO_REGISTRY,2024-10-13
2020,LT,ELECTRICITY,75.98,32.12,1,114141.66,5372.13,12.22,10693,10.48,14403.04,239409.9,0,17823173,NET_METERING,1868610384.69,0,NATIONAL_ENERGY_STAT,2025-11-18
2021,PT,INDUSTRY,5.21,57.48,1,222888.78,9953.61,23.12,2667,12.47,495621.38,124776.05,0,10859917,AUCTION_CFD,130088492.32,0,ENTSOE_RENEWABLES,2026-01-14
2022,SE,TRANSPORT,15.37,36.28,0,226342.75,7934.74,18.26,7013,1.97,53732.47,145644.53,0,3888467,CONTRACTS_FOR_DIFFERENCE,2261803693.46,1,COMMISSION_PROGRESS_REPORT,2025-01-20
2023,CY,HEATING_COOLING,38.61,50.66,1,135141.61,7948.27,5.85,11444,6.53,478684.14,365347.74,0,8616011,CAPEX_GRANT,6014899379.85,0,GO_REGISTRY,2025-06-05
2024,FR,ELECTRICITY,36.68,35.89,1,207988.88,8055.75,17.3,8629,2.54,488926.09,269836.9,1,286400,FEED_IN_TARIFF,5239282259.58,1,NATIONAL_ENERGY_STAT,2024-07-01
2025,IT,INDUSTRY,30.87,48.11,0,73526.04,1099.8,39.54,6399,10.66,20361.03,340364.03,1,9680256,TAX_CREDIT,1230026464.22,0,ENTSOE_RENEWABLES,2024-04-24
2004,NL,TRANSPORT,41.28,56.91,0,270546.87,16115.33,25.18,9579,11.32,361699.53,97475.17,0,13261558,FEED_IN_PREMIUM,1742581448.41,0,COMMISSION_PROGRESS_REPORT,2025-10-06
2005,SI,HEATING_COOLING,51.7,37.23,1,30969.52,458.31,6.64,8737,11.72,191155.01,55406.69,0,5800610,NET_METERING,5168492551.77,0,GO_REGISTRY,2025-05-04
2006,BG,ELECTRICITY,39.74,51.61,1,37781.25,1907.02,9.43,9761,1.74,822740.72,58155.29,0,16215822,AUCTION_CFD,3183025983.88,0,NATIONAL_ENERGY_STAT,2024-05-30
2007,EE,INDUSTRY,33.28,57.47,0,22833.67,1262.71,19.51,11768,11.07,126796.67,17018.97,0,5068443,CONTRACTS_FOR_DIFFERENCE,5914033520.64,0,ENTSOE_RENEWABLES,2025-11-25
2008,HU,TRANSPORT,32.86,49.41,0,190834.57,15872.23,33.68,854,12.18,498979.14,86338.45,0,6282164,CAPEX_GRANT,3285635032.23,0,COMMISSION_PROGRESS_REPORT,2024-10-18
2009,LU,HEATING_COOLING,54.01,42.53,1,168327.78,11115.73,53.4,5703,2.24,361455.11,23251.77,0,1816922,FEED_IN_TARIFF,3873089191.87,0,GO_REGISTRY,2025-11-13
2010,RO,ELECTRICITY,47.11,40.54,1,269661.75,21499.84,52.17,10170,12.15,597200.92,76220.55,0,25788839,TAX_CREDIT,7060969742.75,0,NATIONAL_ENERGY_STAT,2024-02-19
2011,AT,INDUSTRY,49.67,36.05,1,22410.83,595.56,13.79,970,6.71,300169.12,69841.25,0,5070783,FEED_IN_PREMIUM,3052955990.52,0,ENTSOE_RENEWABLES,2025-08-09
2012,CZ,TRANSPORT,59.43,52.6,1,194345.52,495.19,50.42,8135,8.47,118255.76,20944.99,0,13498202,NET_METERING,771283981.17,0,COMMISSION_PROGRESS_REPORT,2024-02-04
2013,DE,HEATING_COOLING,56.55,42.33,0,277252.92,5994.21,14.62,5294,9.11,240512.41,37331.15,0,1513084,AUCTION_CFD,4646909587.96,0,GO_REGISTRY,2025-11-07
2014,LV,ELECTRICITY,23.85,40.53,0,266992.14,9043.0,19.36,8105,1.43,112489.18,24306.25,0,29386991,CONTRACTS_FOR_DIFFERENCE,3266915577.75,0,NATIONAL_ENERGY_STAT,2024-12-11
2015,PL,INDUSTRY,37.88,32.32,0,197077.64,16585.76,52.01,9715,4.87,352279.65,7898.28,0,8360869,CAPEX_GRANT,9031773799.65,0,ENTSOE_RENEWABLES,2024-03-05
2016,ES,TRANSPORT,18.78,53.03,1,258549.69,12348.82,16.22,7918,9.49,407065.44,61056.41,0,11096142,FEED_IN_TARIFF,3939423341.08,0,COMMISSION_PROGRESS_REPORT,2024-10-31
2017,HR,HEATING_COOLING,16.95,57.44,0,299640.23,21824.92,22.38,11948,4.2,148554.02,28274.92,0,3468771,TAX_CREDIT,4269481079.03,0,GO_REGISTRY,2025-07-24
2018,FI,ELECTRICITY,4.23,59.21,1,129654.35,3034.11,42.51,127,7.67,203070.56,50692.98,0,16587435,FEED_IN_PREMIUM,6731708385.42,0,NATIONAL_ENERGY_STAT,2025-11-03
2019,IE,INDUSTRY,69.49,58.02,1,317846.87,6561.91,31.66,2124,10.14,381930.03,52426.43,0,2416889,NET_METERING,10097486303.79,0,ENTSOE_RENEWABLES,2026-01-20
2020,MT,TRANSPORT,4.1,52.46,1,25539.26,1986.65,20.94,3496,8.74,324479.73,62181.42,0,9360838,AUCTION_CFD,653621120.15,1,COMMISSION_PROGRESS_REPORT,2025-06-16
2021,SK,HEATING_COOLING,65.95,56.81,0,113736.27,8102.49,24.99,1723,5.94,84504.11,26101.57,0,11394307,CONTRACTS_FOR_DIFFERENCE,3016178167.69,1,GO_REGISTRY,2024-01-20
2022,BE,ELECTRICITY,19.08,45.69,0,275878.73,14232.59,22.83,12781,2.47,791491.96,205100.44,0,742088,CAPEX_GRANT,3737898417.02,0,NATIONAL_ENERGY_STAT,2025-01-27
2023,DK,INDUSTRY,72.8,53.42,1,174922.77,13642.0,24.59,9294,11.17,5634.65,92553.74,0,6752789,FEED_IN_TARIFF,357847770.04,1,ENTSOE_RENEWABLES,2024-02-10
2024,GR,TRANSPORT,37.48,43.86,1,308919.94,11882.55,33.38,10876,3.82,448582.57,377332.99,1,10313604,TAX_CREDIT,2394331926.78,1,COMMISSION_PROGRESS_REPORT,2024-06-20
2025,LT,HEATING_COOLING,9.94,34.86,1,184367.98,11925.91,36.42,8693,11.88,206382.45,32297.11,1,9123754,FEED_IN_PREMIUM,5726740628.57,1,GO_REGISTRY,2024-05-16
2004,PT,ELECTRICITY,24.1,49.8,0,46141.42,859.4,26.75,11260,9.58,97276.64,34086.74,0,15949406,NET_METERING,2923224388.91,0,NATIONAL_ENERGY_STAT,2024-01-20
2005,SE,INDUSTRY,60.2,58.23,1,216734.96,15562.32,32.15,1860,3.83,396079.91,111576.56,0,4452728,AUCTION_CFD,4832535714.01,0,ENTSOE_RENEWABLES,2025-01-05
2006,CY,TRANSPORT,40.4,43.17,1,205555.06,4411.43,17.07,5138,11.82,383211.34,6940.81,0,5461672,CONTRACTS_FOR_DIFFERENCE,4883330.33,0,COMMISSION_PROGRESS_REPORT,2025-08-10
2007,FR,HEATING_COOLING,23.0,47.3,0,111602.53,9935.18,27.5,2911,8.94,1720.02,57365.22,0,7146252,CAPEX_GRANT,4501386854.44,0,GO_REGISTRY,2025-04-07
2008,IT,ELECTRICITY,68.79,46.25,1,275884.33,3801.41,13.75,4546,3.25,472375.11,71133.81,0,20543586,FEED_IN_TARIFF,1263478443.99,0,NATIONAL_ENERGY_STAT,2024-03-07
2009,NL,INDUSTRY,63.89,53.26,1,68754.65,1208.58,26.38,1282,10.34,3190.64,30063.6,0,12010868,TAX_CREDIT,5293356170.71,1,ENTSOE_RENEWABLES,2024-07-13
2010,SI,TRANSPORT,4.49,50.28,1,162870.08,7689.92,28.38,1301,10.33,9572.01,2354.74,0,4384581,FEED_IN_PREMIUM,4327240688.21,0,COMMISSION_PROGRESS_REPORT,2024-01-29
2011,BG,HEATING_COOLING,7.51,38.23,0,6272.87,252.95,10.62,11556,1.42,503883.63,94379.8,0,9252135,NET_METERING,10556402175.41,0,GO_REGISTRY,2026-01-17
2012,EE,ELECTRICITY,22.03,47.33,0,362090.88,10157.1,24.11,2348,2.74,482377.15,110246.2,0,24138450,AUCTION_CFD,1479981674.09,0,NATIONAL_ENERGY_STAT,2025-02-21
2013,HU,INDUSTRY,55.99,41.84,1,284523.32,24432.19,52.15,8253,0.13,166355.56,65206.74,0,1646691,CONTRACTS_FOR_DIFFERENCE,5756470993.79,0,ENTSOE_RENEWABLES,2024-06-07
2014,LU,TRANSPORT,72.19,47.13,0,209271.95,18591.55,28.1,11047,10.38,36896.26,85615.79,0,8088753,CAPEX_GRANT,2802009948.33,0,COMMISSION_PROGRESS_REPORT,2025-04-11
2015,RO,HEATING_COOLING,17.84,36.95,0,156349.26,7021.09,23.02,5887,9.97,64956.9,66619.18,0,13624074,FEED_IN_TARIFF,6450747164.84,0,GO_REGISTRY,2025-04-02
2016,AT,ELECTRICITY,64.22,43.3,1,171021.64,10677.45,27.06,726,0.56,408693.9,62075.7,0,28114955,TAX_CREDIT,2287692928.56,0,NATIONAL_ENERGY_STAT,2025-11-10
2017,CZ,INDUSTRY,33.02,40.04,1,127882.36,1934.2,16.09,4793,6.59,212566.86,4058.35,0,10397390,FEED_IN_PREMIUM,5635668744.72,0,ENTSOE_RENEWABLES,2026-02-03
2018,DE,TRANSPORT,77.44,35.64,1,287283.69,4823.25,52.86,7929,4.69,113857.19,48244.99,0,10213002,NET_METERING,7410634015.52,0,COMMISSION_PROGRESS_REPORT,2024-08-09
2019,LV,HEATING_COOLING,13.08,41.99,0,169165.61,7087.9,29.42,6945,12.34,58969.75,87840.25,0,7366920,AUCTION_CFD,1242449622.12,0,GO_REGISTRY,2024-06-08
2020,PL,ELECTRICITY,79.61,45.52,1,209910.26,5034.31,20.79,6715,10.01,554521.0,63630.17,0,27786399,CONTRACTS_FOR_DIFFERENCE,6913551368.61,0,NATIONAL_ENERGY_STAT,2024-11-18
2021,ES,INDUSTRY,13.87,38.62,0,202511.92,7063.36,7.85,10866,8.92,9012.84,177749.08,0,3881968,CAPEX_GRANT,730171069.39,0,ENTSOE_RENEWABLES,2024-06-03
2022,HR,TRANSPORT,59.05,35.5,1,219604.09,6447.18,17.4,6285,6.0,473930.37,77141.45,0,6480072,FEED_IN_TARIFF,6739944835.13,1,COMMISSION_PROGRESS_REPORT,2025-05-27
2023,FI,HEATING_COOLING,82.83,50.54,1,181150.09,3276.88,34.19,6412,2.79,65656.52,83349.33,0,7017337,TAX_CREDIT,9127802072.52,1,GO_REGISTRY,2024-02-22
2024,IE,ELECTRICITY,6.31,49.21,1,230292.27,17711.66,39.31,7968,4.38,315961.54,232029.47,0,3576812,FEED_IN_PREMIUM,3175028348.29,1,NATIONAL_ENERGY_STAT,2025-05-04
2025,MT,INDUSTRY,42.29,51.75,1,126216.27,7219.14,36.01,11067,3.29,489571.85,137099.04,0,7278053,NET_METERING,7274566260.71,1,ENTSOE_RENEWABLES,2025-06-25
2004,SK,TRANSPORT,24.69,37.59,0,151407.71,686.73,9.89,10062,1.75,381859.19,104866.83,0,9087293,AUCTION_CFD,7241087945.99,0,COMMISSION_PROGRESS_REPORT,2025-01-29
2005,BE,HEATING_COOLING,11.38,36.93,0,238269.2,13139.48,12.22,5971,1.21,191072.76,42221.69,0,2378304,CONTRACTS_FOR_DIFFERENCE,1383353786.24,0,GO_REGISTRY,2026-02-15
2006,DK,ELECTRICITY,29.62,40.17,0,21610.83,498.86,11.32,2373,4.58,454205.35,92290.25,0,2417214,CAPEX_GRANT,3412847137.8,1,NATIONAL_ENERGY_STAT,2025-10-28
2007,GR,INDUSTRY,46.32,37.7,0,355558.17,4696.3,38.93,8753,2.42,458036.96,9764.55,0,5117926,FEED_IN_TARIFF,305751104.08,0,ENTSOE_RENEWABLES,2025-06-07
2008,LT,TRANSPORT,5.81,39.93,0,51351.24,1450.08,22.63,6671,9.53,351800.93,94335.66,0,5138578,TAX_CREDIT,7597679194.77,0,COMMISSION_PROGRESS_REPORT,2025-07-13
2009,PT,HEATING_COOLING,78.97,51.92,1,375583.61,25485.58,48.54,9297,8.7,93462.3,90675.81,0,11538648,FEED_IN_PREMIUM,7594445993.8,0,GO_REGISTRY,2025-04-13
2010,SE,ELECTRICITY,36.56,58.28,0,271753.35,14058.71,42.65,3387,5.87,517309.24,286.53,0,24795873,NET_METERING,9600410107.69,0,NATIONAL_ENERGY_STAT,2024-09-19
2011,CY,INDUSTRY,70.01,32.88,1,206348.49,18425.15,52.91,2753,0.03,419853.32,12627.01,0,8922573,AUCTION_CFD,6508914133.4,1,ENTSOE_RENEWABLES,2024-11-13
2012,FR,TRANSPORT,59.71,36.32,1,88996.92,1140.55,34.39,2937,7.83,365931.21,1062.78,0,9398438,CONTRACTS_FOR_DIFFERENCE,1197595762.32,1,COMMISSION_PROGRESS_REPORT,2025-10-28
2013,IT,HEATING_COOLING,41.72,45.35,1,343296.73,23263.01,17.9,10906,9.44,132382.34,12409.08,0,604951,CAPEX_GRANT,983446474.99,0,GO_REGISTRY,2025-02-15
2014,NL,ELECTRICITY,26.68,35.12,0,225772.95,12633.68,6.67,4357,2.41,500422.08,95587.04,0,24658928,FEED_IN_TARIFF,37836.6,0,NATIONAL_ENERGY_STAT,2025-06-18
2015,SI,INDUSTRY,25.49,32.52,1,232515.44,17370.91,41.71,7476,3.21,106237.81,81937.3,0,13178125,TAX_CREDIT,1584505635.11,0,ENTSOE_RENEWABLES,2025-11-16
2016,BG,TRANSPORT,50.28,39.82,1,140866.01,11120.25,48.75,6375,3.23,19606.6,58554.65,0,1304311,FEED_IN_PREMIUM,6844934980.59,0,COMMISSION_PROGRESS_REPORT,2025-07-11
2017,EE,HEATING_COOLING,57.47,35.24,1,316426.94,22476.72,16.04,6300,4.55,364947.84,111492.99,0,10737363,NET_METERING,5486883768.55,0,GO_REGISTRY,2025-07-07
2018,HU,ELECTRICITY,17.91,44.34,0,53725.63,701.81,36.73,9139,11.95,1015611.48,46650.68,0,30268276,AUCTION_CFD,8709800795.05,0,NATIONAL_ENERGY_STAT,2025-04-27
2019,LU,INDUSTRY,82.7,39.65,0,159988.69,13314.03,27.06,4178,1.84,305404.41,23685.88,0,11231804,CONTRACTS_FOR_DIFFERENCE,3060081678.69,0,ENTSOE_RENEWABLES,2024-10-20
2020,RO,TRANSPORT,27.46,49.81,1,224011.08,14687.2,19.99,9385,1.12,328931.08,89022.14,0,4676662,CAPEX_GRANT,2296161865.6,0,COMMISSION_PROGRESS_REPORT,2026-01-24
2021,AT,HEATING_COOLING,33.89,40.37,1,285906.71,18676.43,12.72,11410,7.47,477710.57,306764.24,0,720385,FEED_IN_TARIFF,1212331706.44,0,GO_REGISTRY,2025-07-13
2022,CZ,ELECTRICITY,8.82,37.56,0,12258.35,916.13,28.82,7143,5.55,677199.84,12219.78,0,20855014,TAX_CREDIT,3382329633.66,0,NATIONAL_ENERGY_STAT,2024-08-23
2023,DE,INDUSTRY,71.01,39.43,1,83639.08,6871.24,20.25,7815,3.84,452455.43,309971.82,1,11284366,FEED_IN_PREMIUM,6552186246.74,0,ENTSOE_RENEWABLES,2025-02-28
2024,LV,TRANSPORT,55.71,43.61,1,152594.15,9815.32,10.36,4564,3.58,350903.81,298285.07,1,3784050,NET_METERING,1781095605.96,1,COMMISSION_PROGRESS_REPORT,2025-06-30
2025,PL,HEATING_COOLING,21.23,35.54,0,133731.88,8862.73,17.4,8106,7.16,58687.58,27838.44,1,5990527,AUCTION_CFD,1029490800.17,1,GO_REGISTRY,2026-01-09
2004,ES,ELECTRICITY,72.72,39.37,1,103004.28,8211.85,22.77,2931,1.74,330603.5,45385.4,0,14603898,CONTRACTS_FOR_DIFFERENCE,6623446177.84,0,NATIONAL_ENERGY_STAT,2026-01-21
2005,HR,INDUSTRY,7.0,59.6,0,254012.64,7299.93,28.72,9140,4.28,77161.48,34981.31,0,4426585,CAPEX_GRANT,4304959537.81,0,ENTSOE_RENEWABLES,2025-03-31
2006,FI,TRANSPORT,57.77,39.36,1,128498.7,6020.97,35.62,1646,5.69,38698.85,103103.42,0,2110734,FEED_IN_TARIFF,7648381530.03,0,COMMISSION_PROGRESS_REPORT,2024-11-24
2007,IE,HEATING_COOLING,77.66,53.66,1,58492.35,361.29,10.49,968,0.06,494165.49,58362.28,0,9318102,TAX_CREDIT,2346524986.7,0,GO_REGISTRY,2025-11-08
2008,MT,ELECTRICITY,55.1,33.31,1,147988.21,334.83,42.87,4643,4.9,667264.56,92970.2,0,16263200,FEED_IN_PREMIUM,6344062859.17,0,NATIONAL_ENERGY_STAT,2025-06-28
2009,SK,INDUSTRY,52.6,41.28,1,7490.16,587.51,20.91,7463,10.7,331035.2,54045.07,0,6814980,NET_METERING,2784076007.62,1,ENTSOE_RENEWABLES,2024-11-29
2010,BE,TRANSPORT,30.86,51.52,1,168512.91,7835.31,44.33,5744,8.41,62300.52,59797.38,0,8124309,AUCTION_CFD,1562430547.36,0,COMMISSION_PROGRESS_REPORT,2024-07-31
2011,DK,HEATING_COOLING,40.36,48.43,1,347222.44,29920.91,9.04,272,4.19,504900.73,97424.53,0,642341,CONTRACTS_FOR_DIFFERENCE,7705559455.28,0,GO_REGISTRY,2024-01-23
2012,GR,ELECTRICITY,5.25,52.63,0,244045.4,12900.89,5.39,630,4.33,959486.29,1254.49,0,22267585,CAPEX_GRANT,5501374776.84,1,NATIONAL_ENERGY_STAT,2025-04-11
2013,LT,INDUSTRY,65.59,32.47,1,222374.07,3129.38,45.09,3256,2.72,200191.93,27542.64,0,5079901,FEED_IN_TARIFF,2575598067.41,0,ENTSOE_RENEWABLES,2024-11-27
2014,PT,TRANSPORT,7.24,54.83,0,297874.83,6529.22,43.47,2658,7.46,80073.21,44562.21,0,11350210,TAX_CREDIT,1748156435.94,0,COMMISSION_PROGRESS_REPORT,2025-02-24
2015,SE,HEATING_COOLING,15.37,46.59,1,81057.34,1341.74,51.82,3574,2.8,80920.88,72867.03,0,4846978,FEED_IN_PREMIUM,1670604187.3,0,GO_REGISTRY,2025-08-02
2016,CY,ELECTRICITY,14.58,51.72,0,189117.6,6136.52,47.18,3622,1.58,946043.62,86028.87,0,25921567,NET_METERING,509776968.02,0,NATIONAL_ENERGY_STAT,2026-02-09
2017,FR,INDUSTRY,23.92,51.7,0,345066.75,19281.9,7.66,1879,6.7,296418.57,72218.94,0,4719897,AUCTION_CFD,8754595253.39,0,ENTSOE_RENEWABLES,2025-08-29
2018,IT,TRANSPORT,26.56,43.15,0,114955.81,1741.81,43.18,5062,9.73,105575.03,94123.14,0,3992143,CONTRACTS_FOR_DIFFERENCE,1585773618.39,0,COMMISSION_PROGRESS_REPORT,2024-12-22
2019,NL,HEATING_COOLING,6.71,58.99,0,17165.14,60.95,23.03,10345,3.67,508478.81,30910.0,0,12714653,CAPEX_GRANT,1780863524.02,0,GO_REGISTRY,2025-04-12
2020,SI,ELECTRICITY,6.24,50.52,0,191955.65,10005.59,9.69,3546,0.99,285924.23,244821.72,0,26276841,FEED_IN_TARIFF,5261574257.39,0,NATIONAL_ENERGY_STAT,2024-05-24
2021,BG,INDUSTRY,53.72,40.75,0,133803.74,9295.85,11.08,6589,8.77,444830.39,317418.67,0,11765854,TAX_CREDIT,1082464385.09,0,ENTSOE_RENEWABLES,2024-11-18
2022,EE,TRANSPORT,62.8,59.07,1,210708.46,4626.48,31.75,9189,10.98,344233.3,105404.95,0,2345077,FEED_IN_PREMIUM,3836131147.62,1,COMMISSION_PROGRESS_REPORT,2025-03-14
2023,HU,HEATING_COOLING,10.46,46.19,0,8190.76,568.73,37.09,375,6.92,275983.23,50230.71,0,6660108,NET_METERING,3094187756.55,1,GO_REGISTRY,2025-01-07
2024,LU,ELECTRICITY,22.07,54.22,0,33048.84,2815.37,16.11,7310,9.13,3101.75,136477.54,0,21692729,AUCTION_CFD,234597188.37,1,NATIONAL_ENERGY_STAT,2025-10-21
2025,RO,INDUSTRY,34.84,38.32,0,155718.76,3606.01,42.12,4582,4.37,471331.93,83711.85,1,3992859,CONTRACTS_FOR_DIFFERENCE,315254140.21,0,ENTSOE_RENEWABLES,2024-05-11
2004,AT,TRANSPORT,33.52,56.86,0,299197.31,25757.16,12.81,4248,1.56,189331.81,4772.29,0,3636482,CAPEX_GRANT,1647434559.23,0,COMMISSION_PROGRESS_REPORT,2025-08-25
2005,CZ,HEATING_COOLING,20.78,32.45,0,254829.71,7959.96,26.66,1228,9.61,119381.79,68669.74,0,6341277,FEED_IN_TARIFF,9020014653.9,0,GO_REGISTRY,2025-08-10
2006,DE,ELECTRICITY,28.41,39.13,0,204861.55,4776.55,32.55,10245,5.85,723969.93,46889.57,0,11764540,TAX_CREDIT,1379171775.65,0,NATIONAL_ENERGY_STAT,2024-12-10
2007,LV,INDUSTRY,59.76,38.29,0,236613.62,19327.72,41.32,3967,7.31,77947.96,74405.85,0,13641072,FEED_IN_PREMIUM,6108510477.0,0,ENTSOE_RENEWABLES,2026-01-30
2008,PL,TRANSPORT,79.07,43.76,1,205138.68,5972.06,39.25,6217,4.15,474147.67,11634.87,0,1865935,NET_METERING,1510560544.85,0,COMMISSION_PROGRESS_REPORT,2025-01-18
2009,ES,HEATING_COOLING,34.97,41.73,1,333176.24,1851.69,30.6,2373,2.69,512339.84,23764.2,0,6824541,AUCTION_CFD,7923310362.94,0,GO_REGISTRY,2024-05-21
2010,HR,ELECTRICITY,80.87,52.1,1,188002.78,1685.39,32.03,5837,3.31,151286.27,98775.62,0,17575641,CONTRACTS_FOR_DIFFERENCE,2054839673.94,0,NATIONAL_ENERGY_STAT,2025-10-08
2011,FI,INDUSTRY,12.67,47.49,0,283750.59,16656.4,26.67,9227,4.35,43193.71,2623.55,0,6774579,CAPEX_GRANT,3097519219.11,1,ENTSOE_RENEWABLES,2024-06-04
2012,IE,TRANSPORT,8.5,51.97,0,19889.3,350.8,46.37,18,11.55,27064.08,43973.44,0,8510074,FEED_IN_TARIFF,7450829933.18,0,COMMISSION_PROGRESS_REPORT,2024-12-20
2013,MT,HEATING_COOLING,82.18,59.05,1,186487.38,5644.56,51.27,9030,1.71,217685.17,110900.87,0,5354153,TAX_CREDIT,4981244966.02,1,GO_REGISTRY,2025-05-21
2014,SK,ELECTRICITY,52.48,33.84,0,212717.67,1161.77,15.53,10267,5.92,318428.92,106656.54,0,8546560,FEED_IN_PREMIUM,3786438662.84,0,NATIONAL_ENERGY_STAT,2025-11-23
2015,BE,INDUSTRY,12.19,50.4,0,14678.99,891.54,11.41,3696,12.18,18922.64,67262.51,0,4901474,NET_METERING,7596770784.71,0,ENTSOE_RENEWABLES,2024-06-06
2016,DK,TRANSPORT,44.07,38.9,1,233159.15,3380.23,35.06,6697,6.19,130221.81,16118.18,0,4791491,AUCTION_CFD,197449056.01,0,COMMISSION_PROGRESS_REPORT,2024-03-26
2017,GR,HEATING_COOLING,69.99,48.8,0,98613.65,3916.14,10.28,10322,10.18,265318.91,82924.9,0,13643916,CONTRACTS_FOR_DIFFERENCE,2998703533.54,0,GO_REGISTRY,2025-02-28
2018,LT,ELECTRICITY,57.62,50.68,1,50695.23,980.65,30.97,3140,3.5,219624.58,6242.67,0,15409017,CAPEX_GRANT,6458345478.54,0,NATIONAL_ENERGY_STAT,2025-11-20
2019,PT,INDUSTRY,77.52,59.0,1,406543.25,20901.38,12.07,9192,9.1,177955.37,49038.03,0,6024598,FEED_IN_TARIFF,7739779561.81,0,ENTSOE_RENEWABLES,2025-04-04
2020,SE,TRANSPORT,46.14,56.8,1,177141.19,13470.21,32.62,11437,3.78,91051.07,77778.27,0,12203096,TAX_CREDIT,1538938288.14,0,COMMISSION_PROGRESS_REPORT,2025-01-21
2021,CY,HEATING_COOLING,23.62,40.19,0,180044.46,14100.91,27.0,6321,6.71,332368.18,263619.23,0,11716403,FEED_IN_PREMIUM,27170494.96,0,GO_REGISTRY,2024-11-22
2022,FR,ELECTRICITY,20.76,47.15,0,115765.35,2551.77,26.37,8103,11.78,690864.7,262532.24,0,950202,NET_METERING,1874561667.57,1,NATIONAL_ENERGY_STAT,2024-12-30
2023,IT,INDUSTRY,24.61,32.51,0,21416.84,1546.58,9.29,3313,2.14,375590.77,270336.13,0,3619756,AUCTION_CFD,5535420511.31,0,ENTSOE_RENEWABLES,2025-09-07
2024,NL,TRANSPORT,62.98,50.57,1,38845.99,2492.85,27.31,5976,11.11,143749.82,358074.81,1,7708143,CONTRACTS_FOR_DIFFERENCE,4772076743.44,0,COMMISSION_PROGRESS_REPORT,2024-02-26
2025,SI,HEATING_COOLING,39.15,41.02,1,180910.38,10040.12,15.38,8695,9.98,135534.81,330690.64,0,2085514,CAPEX_GRANT,1439538287.77,1,GO_REGISTRY,2024-08-08
2004,BG,ELECTRICITY,29.75,47.5,0,73273.66,2035.83,24.11,1851,3.06,67667.71,63901.74,0,506981,FEED_IN_TARIFF,2764358059.47,0,NATIONAL_ENERGY_STAT,2024-07-30
2005,EE,INDUSTRY,50.31,33.01,1,207958.77,14125.31,30.81,11526,1.04,338063.91,7881.18,0,12283313,TAX_CREDIT,8063396053.79,0,ENTSOE_RENEWABLES,2025-01-15
2006,HU,TRANSPORT,60.74,58.0,1,24571.37,820.04,29.9,10352,5.01,103421.89,28235.62,0,12896810,FEED_IN_PREMIUM,6033307074.93,0,COMMISSION_PROGRESS_REPORT,2025-07-05
