qol_cult_reference_year,qol_cult_country_iso2,qol_cult_region_nuts_code,qol_cult_cultural_venue_type_code,qol_cult_visits_per_capita,qol_cult_participation_rate_pct,qol_cult_public_spend_culture_eur_per_capita,qol_cult_employment_cultural_sector_pct,qol_cult_creative_industries_turnover_eur,qol_cult_libraries_per_100k,qol_cult_museums_per_100k,qol_cult_cinema_admissions_per_capita,qol_cult_festival_events_count,qol_cult_european_capital_of_culture_flag,qol_cult_cross_border_cultural_projects_count,qol_cult_digital_culture_consumption_pct,qol_cult_copyright_collecting_society_revenues_eur,qol_cult_data_source,qol_cult_methodology_version,qol_cult_data_extract_date
2025,EE,RO8,THEATRE,10.57,62.36,183.23,3.08,13151738376.66,10.09,6.1,2.38,98,0,51,27.64,140037309.2,EUROSTAT_CULT,CULT_V3,2024-01-31
2006,IT,FI431,CONCERT_HALL,11.52,45.65,261.56,3.56,9158807181.6,8.07,11.31,3.66,20,0,132,63.81,508107109.1,CULTURE_STATS_SURVEY,CULT_V2,2024-03-25
2007,PT,RO966,HERITAGE_SITE,3.75,31.01,150.95,3.6,4664867132.76,20.64,10.54,4.23,161,0,5,67.45,325243730.2,CREATIVE_ECON_ACCOUNTS,CULT_V1,2026-01-16
2008,BE,DE933,CINEMA,12.19,55.97,140.05,2.68,4814511092.58,11.11,4.31,2.92,303,0,43,41.37,264241397.52,NATIONAL_CULTURE_MINISTRY,CULT_V3,2024-12-30
2009,FI,FR736,CULTURAL_CENTRE,3.57,30.32,216.1,2.6,18354774853.42,14.37,10.92,5.36,205,0,61,48.22,404902677.42,EUROSTAT_CULT,CULT_V2,2024-06-23
2010,LV,HR336,MUSEUM,9.54,25.89,84.83,3.34,21108676175.6,23.84,4.9,2.27,297,0,112,37.65,456613326.28,CULTURE_STATS_SURVEY,CULT_V1,2024-02-01
2011,RO,SE73,LIBRARY,9.15,47.29,189.95,1.58,1124996015.42,11.58,13.78,3.56,122,0,105,46.21,777490441.52,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-02-02
2012,BG,DE8,FESTIVAL_SITE,4.42,46.42,172.89,3.09,738058893.68,14.55,7.39,4.7,248,0,75,42.12,348230995.28,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-09-08
2013,FR,SI8,THEATRE,3.66,56.52,234.3,4.03,30740320929.37,7.83,5.48,1.31,43,1,138,47.03,1511074638.65,EUROSTAT_CULT,CULT_V1,2024-04-30
2014,LT,HR666,CONCERT_HALL,3.64,73.55,165.83,1.85,14935559443.1,13.64,3.24,5.87,306,0,16,50.68,488193883.58,CULTURE_STATS_SURVEY,CULT_V3,2025-09-10
2015,SK,HR642,HERITAGE_SITE,9.73,26.1,190.06,2.5,19929233013.17,27.74,12.48,1.24,277,0,91,50.74,818527667.99,CREATIVE_ECON_ACCOUNTS,CULT_V2,2024-12-09
2016,HR,HU80,CINEMA,7.14,54.78,217.49,3.78,12022491195.63,20.34,8.52,5.81,230,0,32,90.34,786714643.96,NATIONAL_CULTURE_MINISTRY,CULT_V1,2025-03-06
2017,DE,EE245,CULTURAL_CENTRE,5.56,51.06,221.01,3.0,10965337539.57,14.26,8.2,1.97,22,0,78,56.82,543809348.54,EUROSTAT_CULT,CULT_V3,2025-01-06
2018,LU,RO605,MUSEUM,3.97,57.16,63.84,2.8,18421948320.62,18.64,8.2,1.14,61,0,76,29.95,708920581.74,CULTURE_STATS_SURVEY,CULT_V2,2025-06-04
2019,SI,EE701,LIBRARY,5.54,62.65,208.59,2.84,13348519864.99,15.96,4.31,2.67,181,0,88,81.32,63562336.07,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-06-27
2020,CY,HU3,FESTIVAL_SITE,4.45,44.47,53.7,2.46,10947665828.36,16.23,3.73,2.47,73,0,4,85.58,299135178.45,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-02-27
2021,GR,MT17,THEATRE,1.09,69.38,232.75,2.57,1193538652.6,21.4,8.9,2.89,41,0,24,32.74,915729400.48,EUROSTAT_CULT,CULT_V2,2025-04-16
2022,MT,HU5,CONCERT_HALL,9.66,70.97,148.15,2.31,27770960552.37,15.42,10.4,4.34,143,0,20,54.21,299971833.56,CULTURE_STATS_SURVEY,CULT_V1,2024-12-12
2023,ES,BG54,HERITAGE_SITE,7.38,28.21,152.78,3.54,30018623423.92,18.31,10.62,6.03,245,0,103,71.37,1442116804.52,CREATIVE_ECON_ACCOUNTS,CULT_V3,2024-02-29
2024,CZ,EE41,CINEMA,1.12,37.19,210.42,2.94,27778192648.18,24.85,6.66,4.45,5,0,106,34.44,790786021.01,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-02-18
2025,HU,RO20,CULTURAL_CENTRE,10.19,49.32,220.8,2.93,21719702448.13,25.96,11.93,6.2,260,0,116,33.8,773865225.42,EUROSTAT_CULT,CULT_V1,2024-01-20
2006,NL,DE390,MUSEUM,10.02,61.13,225.02,2.77,3192553129.8,33.06,8.63,3.83,57,0,4,38.91,664326076.85,CULTURE_STATS_SURVEY,CULT_V3,2024-11-03
2007,SE,SE9,LIBRARY,6.94,24.33,199.07,2.83,9651004878.88,25.33,13.54,4.66,265,0,9,51.39,1081434650.27,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-02-26
2008,DK,IE909,FESTIVAL_SITE,9.6,32.94,137.11,1.99,4522921805.7,30.61,12.17,3.6,140,0,38,49.48,939972325.2,NATIONAL_CULTURE_MINISTRY,CULT_V1,2025-01-11
2009,IE,EE4,THEATRE,8.97,61.58,140.77,2.21,8212130527.9,22.99,11.93,1.8,143,0,45,30.19,168512083.23,EUROSTAT_CULT,CULT_V3,2024-07-16
2010,PL,CZ782,CONCERT_HALL,4.09,52.66,92.08,3.01,9872808699.92,17.76,14.71,3.6,197,1,83,37.93,323960717.71,CULTURE_STATS_SURVEY,CULT_V2,2026-02-11
2011,AT,BG24,HERITAGE_SITE,14.2,49.52,197.91,2.39,2934575694.93,20.88,19.04,1.39,27,0,88,62.25,224164607.62,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-10-04
2012,EE,PL2,CINEMA,9.11,67.72,177.93,3.58,15320954322.58,20.07,7.19,3.43,234,0,117,38.88,615851539.53,NATIONAL_CULTURE_MINISTRY,CULT_V3,2024-09-30
2013,IT,FI96,CULTURAL_CENTRE,8.87,56.86,67.92,3.47,15734692023.7,15.28,3.48,1.33,202,0,40,32.63,640821696.19,EUROSTAT_CULT,CULT_V2,2025-07-03
2014,PT,HR548,MUSEUM,5.53,71.05,158.57,2.89,1705922963.22,15.54,6.27,2.98,249,0,84,52.2,630037461.78,CULTURE_STATS_SURVEY,CULT_V1,2025-05-23
2015,BE,SI317,LIBRARY,6.18,82.64,75.18,2.28,7216831977.88,25.86,13.96,5.79,242,0,137,67.75,162270230.67,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-03-18
2016,FI,SK232,FESTIVAL_SITE,9.69,42.47,92.6,1.49,8205813111.82,16.62,2.26,4.33,238,0,89,92.17,691151626.07,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-08-31
2017,LV,AT535,THEATRE,9.32,31.56,68.74,2.37,5692473941.75,18.21,6.48,3.33,217,0,18,66.34,685459770.09,EUROSTAT_CULT,CULT_V1,2024-12-01
2018,RO,IE175,CONCERT_HALL,2.9,43.47,116.68,2.02,2043882858.9,12.16,10.49,3.14,342,0,132,88.44,268630175.79,CULTURE_STATS_SURVEY,CULT_V3,2025-03-19
2019,BG,ES6,HERITAGE_SITE,4.04,26.8,228.03,2.99,25014722879.77,18.49,4.08,5.56,330,0,68,54.37,587295479.5,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-11-10
2020,FR,CY300,CINEMA,5.92,66.75,123.71,1.76,17637164542.22,24.26,3.26,3.13,157,0,53,98.97,1242088197.6,NATIONAL_CULTURE_MINISTRY,CULT_V1,2026-02-01
2021,LT,HU1,CULTURAL_CENTRE,4.51,52.01,129.84,2.64,11072913638.11,21.48,4.44,1.26,159,0,129,37.88,685515673.48,EUROSTAT_CULT,CULT_V3,2025-05-22
2022,SK,GR9,MUSEUM,8.69,55.85,99.13,1.4,11337221799.22,27.54,8.16,4.83,296,0,9,87.74,780753282.06,CULTURE_STATS_SURVEY,CULT_V2,2024-12-12
2023,HR,LV4,LIBRARY,5.5,45.59,130.34,3.05,2047706391.95,24.68,7.59,3.14,356,0,98,29.26,455487477.74,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-04-18
2024,DE,LU8,FESTIVAL_SITE,12.07,63.33,121.15,1.65,31517365265.79,8.45,3.3,3.28,129,0,130,80.02,228235591.47,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-10-30
2025,LU,BE7,THEATRE,4.44,44.95,176.9,3.68,19905033489.06,28.22,12.63,3.75,357,0,102,73.55,774267255.92,EUROSTAT_CULT,CULT_V2,2024-08-23
2006,SI,LT7,CONCERT_HALL,4.34,61.85,166.13,2.78,17032978102.0,12.05,14.07,6.4,83,0,128,55.41,206352473.19,CULTURE_STATS_SURVEY,CULT_V1,2024-09-09
2007,CY,DE63,HERITAGE_SITE,10.1,35.93,206.87,2.7,8941071023.85,10.37,11.9,5.75,337,0,14,51.32,358294966.43,CREATIVE_ECON_ACCOUNTS,CULT_V3,2024-05-01
2008,GR,HR75,CINEMA,8.08,60.53,100.29,1.78,17294350719.96,26.05,5.02,5.19,53,0,119,26.93,32872280.25,NATIONAL_CULTURE_MINISTRY,CULT_V2,2026-02-20
2009,MT,DE5,CULTURAL_CENTRE,2.25,37.61,71.75,1.68,2675546101.63,24.26,3.39,4.57,64,0,34,62.92,367641970.63,EUROSTAT_CULT,CULT_V1,2024-06-13
2010,ES,RO699,MUSEUM,4.19,33.24,131.75,2.78,8759181928.73,29.8,5.63,5.44,412,1,113,23.13,1282273096.31,CULTURE_STATS_SURVEY,CULT_V3,2024-06-29
2011,CZ,BE106,LIBRARY,5.5,58.14,195.62,1.21,8687039741.38,12.27,7.39,1.23,162,0,122,46.32,359614754.41,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-06-30
2012,HU,CY80,FESTIVAL_SITE,3.71,47.98,85.16,1.76,15925139489.37,22.62,10.03,4.08,269,0,36,32.53,739149929.42,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-11-12
2013,NL,AT5,THEATRE,11.38,82.51,72.54,1.51,7254721296.46,21.41,11.58,5.52,347,0,169,67.77,70773230.66,EUROSTAT_CULT,CULT_V3,2024-05-13
2014,SE,HU483,CONCERT_HALL,2.36,72.67,205.32,2.56,16318134235.81,24.68,16.55,5.01,89,0,63,50.37,377932385.59,CULTURE_STATS_SURVEY,CULT_V2,2024-05-15
2015,DK,SE14,HERITAGE_SITE,8.84,64.85,154.56,1.33,20869658952.78,24.63,9.19,4.13,213,0,28,55.25,165535251.66,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-10-09
2016,IE,PT7,CINEMA,10.01,46.97,94.81,1.65,4015236691.44,17.59,11.31,5.21,65,0,118,36.28,77274397.78,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-03-13
2017,PL,HR480,CULTURAL_CENTRE,2.25,46.45,185.14,1.69,2655551221.42,10.77,14.06,1.57,5,0,82,56.77,32730118.39,EUROSTAT_CULT,CULT_V2,2025-02-28
2018,AT,IE964,MUSEUM,12.68,78.65,67.86,2.18,2287206291.77,20.76,4.44,3.89,89,0,24,89.68,402984047.83,CULTURE_STATS_SURVEY,CULT_V1,2025-12-05
2019,EE,NL82,LIBRARY,1.3,29.47,118.63,1.22,11098307623.75,22.17,5.14,1.63,157,1,122,23.16,630353541.87,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-07-27
2020,IT,IE4,FESTIVAL_SITE,11.37,49.68,91.44,2.69,9152782404.69,11.84,17.37,2.81,216,0,118,37.94,1100859949.01,NATIONAL_CULTURE_MINISTRY,CULT_V2,2024-07-27
2021,PT,PT53,THEATRE,6.8,54.7,169.31,1.48,21536541267.8,17.09,13.5,4.34,353,0,64,58.04,399570856.66,EUROSTAT_CULT,CULT_V1,2026-02-11
2022,BE,LU771,CONCERT_HALL,11.83,81.79,183.83,4.43,2415109282.96,26.53,18.14,3.87,114,0,165,83.47,361604371.72,CULTURE_STATS_SURVEY,CULT_V3,2024-10-09
2023,FI,LU993,HERITAGE_SITE,9.08,24.56,125.18,2.41,1660771317.52,14.46,10.58,2.48,321,0,134,60.73,952923462.18,CREATIVE_ECON_ACCOUNTS,CULT_V2,2024-09-12
2024,LV,SE398,CINEMA,2.79,70.91,187.58,1.41,21812560014.87,11.38,3.22,3.98,64,0,38,44.89,205596783.64,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-10-02
2025,RO,SI76,CULTURAL_CENTRE,3.71,50.09,117.09,3.43,26349834774.03,11.2,4.82,2.22,338,0,79,49.26,487900862.58,EUROSTAT_CULT,CULT_V3,2024-03-23
2006,BG,IE2,MUSEUM,5.29,65.42,67.32,2.58,288070934.12,12.58,15.52,3.84,326,0,14,63.91,241223373.74,CULTURE_STATS_SURVEY,CULT_V2,2024-12-27
2007,FR,EE13,LIBRARY,10.75,35.76,76.11,3.71,28146863604.98,13.85,7.55,1.47,407,0,136,49.5,1285719850.89,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-10-09
2008,LT,FR89,FESTIVAL_SITE,5.15,70.55,130.54,2.43,5404461910.57,9.97,2.86,3.28,253,0,71,22.66,291048841.29,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-11-07
2009,SK,DE9,THEATRE,4.8,53.56,87.68,3.57,2639440167.87,14.79,13.48,4.78,36,0,51,65.86,411456243.4,EUROSTAT_CULT,CULT_V2,2025-11-15
2010,HR,LV96,CONCERT_HALL,7.47,47.31,208.45,1.51,19430565352.45,19.87,10.29,1.21,14,1,57,47.12,325677741.66,CULTURE_STATS_SURVEY,CULT_V1,2024-01-15
2011,DE,PL334,HERITAGE_SITE,4.34,32.65,271.7,3.32,6869380160.72,12.82,2.45,6.41,79,0,34,66.43,1002127824.61,CREATIVE_ECON_ACCOUNTS,CULT_V3,2024-10-17
2012,LU,EE9,CINEMA,5.94,73.83,211.92,1.18,7166826615.11,12.37,10.34,2.5,213,0,79,43.88,914017934.15,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-06-13
2013,SI,BE804,CULTURAL_CENTRE,9.52,69.73,180.2,1.94,20451569698.54,27.7,8.3,6.11,62,0,25,68.0,719120647.81,EUROSTAT_CULT,CULT_V1,2025-01-16
2014,CY,BG296,MUSEUM,4.78,47.14,218.82,2.63,11842729294.96,8.46,6.21,5.8,318,0,68,58.67,447258391.01,CULTURE_STATS_SURVEY,CULT_V3,2024-07-01
2015,GR,CY239,LIBRARY,7.13,45.56,73.38,3.73,5898787461.2,21.7,9.74,4.49,137,0,11,64.1,609917495.84,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-01-11
2016,MT,ES66,FESTIVAL_SITE,1.14,53.76,84.16,3.65,8755016299.52,18.14,12.79,3.17,188,0,68,24.41,65374404.29,NATIONAL_CULTURE_MINISTRY,CULT_V1,2026-02-09
2017,ES,MT8,THEATRE,10.03,82.61,236.34,2.23,28052420502.76,9.62,9.35,1.64,151,0,87,69.77,377083980.64,EUROSTAT_CULT,CULT_V3,2025-07-27
2018,CZ,AT29,CONCERT_HALL,5.73,57.57,133.26,2.86,19934065416.49,15.27,11.98,2.42,15,0,57,89.2,593027443.52,CULTURE_STATS_SURVEY,CULT_V2,2025-04-30
2019,HU,LV540,HERITAGE_SITE,3.03,32.16,87.87,3.08,10474656410.91,27.52,11.72,1.68,216,0,122,68.49,75338171.28,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-02-18
2020,NL,LU6,CINEMA,4.4,57.62,241.1,2.31,32418435326.71,11.15,18.91,2.07,316,0,174,66.38,764462524.97,NATIONAL_CULTURE_MINISTRY,CULT_V3,2024-02-02
2021,SE,LV636,CULTURAL_CENTRE,8.42,68.59,143.23,1.52,17405665864.33,29.35,3.97,4.81,184,0,129,27.17,52672068.64,EUROSTAT_CULT,CULT_V2,2024-05-10
2022,DK,BG62,MUSEUM,10.56,31.26,222.41,2.46,3304287739.47,9.55,14.03,3.1,241,0,121,73.34,766123864.46,CULTURE_STATS_SURVEY,CULT_V1,2024-09-02
2023,IE,SK7,LIBRARY,3.02,46.37,61.22,2.48,25138396290.72,27.18,14.02,3.29,174,0,95,65.33,905344502.35,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-07-04
2024,PL,EE185,FESTIVAL_SITE,5.27,32.0,166.84,1.59,12481832890.12,29.4,7.28,1.18,166,0,9,74.56,702955057.6,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-07-24
2025,AT,PL329,THEATRE,11.05,50.53,101.45,3.47,1384503203.2,17.72,4.07,3.53,41,0,32,77.4,717682073.05,EUROSTAT_CULT,CULT_V1,2025-06-18
2006,EE,SE651,CONCERT_HALL,10.59,39.95,190.19,3.38,13713658276.0,8.96,2.89,3.07,309,0,130,49.79,29291907.21,CULTURE_STATS_SURVEY,CULT_V3,2024-01-24
2007,IT,IE41,HERITAGE_SITE,11.14,47.0,121.03,2.04,27933425040.27,12.24,5.91,5.02,302,0,108,42.32,1334462166.05,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-04-03
2008,PT,GR651,CINEMA,7.52,47.71,161.07,3.84,6203247760.34,29.87,8.15,3.39,13,0,60,19.71,193420205.41,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-02-21
2009,BE,AT638,CULTURAL_CENTRE,7.96,58.18,187.1,3.5,2862841913.49,21.48,10.39,5.38,478,0,167,21.69,263519424.41,EUROSTAT_CULT,CULT_V3,2025-01-25
2010,FI,CZ11,MUSEUM,3.18,58.36,232.1,2.29,6110616130.27,31.98,7.56,5.9,60,0,40,43.72,689702759.19,CULTURE_STATS_SURVEY,CULT_V2,2025-04-02
2011,LV,PT383,LIBRARY,6.29,64.49,224.27,3.88,19780289384.5,16.61,6.64,4.21,18,0,100,52.04,746215253.9,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-12-06
2012,RO,LT246,FESTIVAL_SITE,7.95,40.72,226.95,2.3,13336304365.77,9.84,9.39,3.71,60,0,15,53.78,788305268.52,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-06-10
2013,BG,IE11,THEATRE,5.47,48.04,226.23,3.04,2859667319.47,18.4,11.69,3.79,115,0,76,52.27,772549709.81,EUROSTAT_CULT,CULT_V2,2024-12-12
2014,FR,LT3,CONCERT_HALL,3.74,77.81,205.19,3.85,4608914630.39,24.15,13.85,3.74,202,1,16,27.43,415870110.79,CULTURE_STATS_SURVEY,CULT_V1,2025-10-01
2015,LT,BE627,HERITAGE_SITE,6.53,52.85,143.23,1.84,9138945092.2,29.14,13.71,4.13,28,0,22,53.55,557727058.09,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-08-30
2016,SK,IT855,CINEMA,2.82,55.3,61.22,1.93,364377052.47,8.22,16.62,1.79,219,0,149,76.3,916924784.53,NATIONAL_CULTURE_MINISTRY,CULT_V2,2024-02-01
2017,HR,FR77,CULTURAL_CENTRE,2.09,60.25,184.23,3.7,2310993847.49,17.06,11.56,4.74,258,0,112,59.99,99540352.36,EUROSTAT_CULT,CULT_V1,2024-06-23
2018,DE,DE7,MUSEUM,6.06,45.97,273.15,1.88,29433786596.66,11.65,7.87,1.64,391,0,83,42.76,476827710.94,CULTURE_STATS_SURVEY,CULT_V3,2025-10-12
2019,LU,GR48,LIBRARY,7.34,40.87,102.02,2.75,13241500281.18,27.68,14.2,1.7,272,0,21,87.28,324040052.38,CREATIVE_ECON_ACCOUNTS,CULT_V2,2026-02-24
2020,SI,HU12,FESTIVAL_SITE,3.73,35.66,236.78,2.32,14883558355.59,11.66,10.04,1.83,116,0,129,26.37,341662198.65,NATIONAL_CULTURE_MINISTRY,CULT_V1,2026-01-27
2021,CY,SI9,THEATRE,1.75,36.95,193.73,3.51,11335301007.21,12.86,11.28,5.09,366,0,0,73.5,284105519.76,EUROSTAT_CULT,CULT_V3,2024-01-12
2022,GR,LU61,CONCERT_HALL,4.28,41.4,230.72,2.44,21722332703.65,16.65,14.88,3.74,259,0,46,75.18,935459163.45,CULTURE_STATS_SURVEY,CULT_V2,2024-01-21
2023,MT,NL323,HERITAGE_SITE,2.05,53.7,147.93,1.36,17419312566.23,19.89,13.54,1.01,142,0,6,45.6,880758851.03,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-04-02
2024,ES,BE82,CINEMA,8.16,27.88,201.14,2.87,28206331632.89,16.8,11.4,3.81,358,0,120,78.03,705819813.39,NATIONAL_CULTURE_MINISTRY,CULT_V3,2026-01-21
2025,CZ,IT3,CULTURAL_CENTRE,7.07,58.92,146.81,3.75,4634060871.65,28.43,17.01,2.35,357,0,60,37.37,282005328.95,EUROSTAT_CULT,CULT_V2,2025-03-10
2006,HU,FI692,MUSEUM,4.76,45.91,57.07,3.52,8741608984.5,28.86,14.46,5.92,332,0,31,20.83,269896588.38,CULTURE_STATS_SURVEY,CULT_V1,2025-11-16
2007,NL,MT305,LIBRARY,12.01,77.4,220.06,4.3,25241161008.91,16.53,5.41,6.36,86,1,33,43.98,1189493636.34,CREATIVE_ECON_ACCOUNTS,CULT_V3,2024-10-01
2008,SE,IT858,FESTIVAL_SITE,10.19,28.61,177.15,3.2,13923107493.53,30.31,5.39,4.69,115,0,67,41.61,1207809279.17,NATIONAL_CULTURE_MINISTRY,CULT_V2,2024-03-26
2009,DK,IE84,THEATRE,1.92,28.49,139.46,2.44,11892429185.35,25.83,13.33,3.04,187,0,5,60.77,493880846.37,EUROSTAT_CULT,CULT_V1,2024-05-28
2010,IE,PL757,CONCERT_HALL,1.16,66.64,228.28,2.98,14286164611.23,12.8,15.08,5.06,329,1,59,20.95,178774143.96,CULTURE_STATS_SURVEY,CULT_V3,2025-02-02
2011,PL,ES9,HERITAGE_SITE,6.85,43.47,195.21,2.68,13828093883.22,23.73,9.66,2.42,309,0,75,66.55,959867329.5,CREATIVE_ECON_ACCOUNTS,CULT_V2,2024-06-27
2012,AT,DK81,CINEMA,11.01,84.24,102.95,1.74,969045371.64,19.84,7.52,6.26,410,0,37,57.71,284595674.96,NATIONAL_CULTURE_MINISTRY,CULT_V1,2026-01-25
2013,EE,CY489,CULTURAL_CENTRE,3.65,45.62,61.0,1.36,12373729433.88,29.02,16.22,6.42,23,0,10,54.94,340152980.39,EUROSTAT_CULT,CULT_V3,2025-01-19
2014,IT,DK205,MUSEUM,9.19,39.89,175.25,1.67,26310606582.37,16.39,15.41,3.57,308,0,105,28.52,642511358.44,CULTURE_STATS_SURVEY,CULT_V2,2025-04-23
2015,PT,BE46,LIBRARY,6.86,44.64,125.4,2.74,19315680639.19,8.78,3.97,6.15,287,0,20,42.01,21342635.73,CREATIVE_ECON_ACCOUNTS,CULT_V1,2025-09-14
2016,BE,SE5,FESTIVAL_SITE,10.22,38.96,70.74,1.43,9111675125.35,14.12,7.58,6.0,267,0,124,90.12,566174903.89,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-12-27
2017,FI,IE380,THEATRE,4.62,42.91,164.16,1.86,16755274507.97,14.37,11.24,1.88,112,0,20,82.06,396547035.73,EUROSTAT_CULT,CULT_V2,2026-01-14
2018,LV,EE62,CONCERT_HALL,2.98,24.07,156.09,3.27,17404826136.42,13.69,2.53,5.42,123,0,99,50.31,91141675.63,CULTURE_STATS_SURVEY,CULT_V1,2024-11-10
2019,RO,SI58,HERITAGE_SITE,12.11,64.41,100.47,2.17,24928002923.38,15.96,1.91,3.91,34,0,35,79.09,351569556.74,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-03-02
2020,BG,FI585,CINEMA,1.79,29.88,89.31,3.36,10324985216.87,16.45,13.6,0.96,55,1,67,28.13,690520388.59,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-04-28
2021,FR,LU386,CULTURAL_CENTRE,11.29,72.64,265.91,4.13,16803615234.91,25.4,8.39,4.82,365,0,107,86.08,1509672419.61,EUROSTAT_CULT,CULT_V1,2025-07-26
2022,LT,BE90,MUSEUM,2.36,29.15,115.18,2.73,6924367830.84,20.76,13.91,1.41,140,0,128,34.01,709764448.43,CULTURE_STATS_SURVEY,CULT_V3,2025-07-28
2023,SK,BG551,LIBRARY,1.56,46.94,60.2,1.61,5561939478.43,15.88,9.56,2.21,144,0,41,33.89,859377454.64,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-03-21
2024,HR,CY920,FESTIVAL_SITE,3.17,58.41,170.18,1.57,29113016236.91,8.49,15.08,4.11,301,0,56,41.16,185533979.07,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-07-05
2025,DE,BG78,THEATRE,1.94,53.81,174.02,4.18,10291412171.73,13.22,18.12,2.35,83,0,44,53.76,793113531.31,EUROSTAT_CULT,CULT_V3,2025-02-11
2006,LU,ES316,CONCERT_HALL,8.74,45.16,170.55,3.53,11721039387.48,22.09,12.62,1.36,260,0,66,31.48,238467878.83,CULTURE_STATS_SURVEY,CULT_V2,2025-07-26
2007,SI,SI380,HERITAGE_SITE,5.41,61.46,189.39,3.49,9078571278.32,9.28,4.29,2.59,370,0,21,23.19,751770095.89,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-06-03
2008,CY,RO9,CINEMA,9.62,25.87,233.48,1.47,5446894060.63,21.19,11.99,4.85,53,0,97,46.79,516577713.16,NATIONAL_CULTURE_MINISTRY,CULT_V3,2024-05-23
2009,GR,CY8,CULTURAL_CENTRE,5.43,67.53,80.68,3.11,3733278370.82,17.93,2.86,2.04,313,0,76,42.73,140042982.73,EUROSTAT_CULT,CULT_V2,2025-11-10
2010,MT,SI415,MUSEUM,10.82,70.34,86.27,1.56,7461219926.96,15.27,2.37,6.17,140,0,70,23.62,211256635.84,CULTURE_STATS_SURVEY,CULT_V1,2025-12-22
2011,ES,SK30,LIBRARY,1.66,72.42,174.11,1.98,26760808387.54,15.88,17.06,2.95,416,0,122,24.58,934709650.05,CREATIVE_ECON_ACCOUNTS,CULT_V3,2024-01-29
2012,CZ,LV30,FESTIVAL_SITE,6.18,39.89,107.91,1.95,7081688360.79,22.45,15.98,1.13,365,0,175,25.2,525088479.84,NATIONAL_CULTURE_MINISTRY,CULT_V2,2026-01-09
2013,HU,IT317,THEATRE,4.54,73.81,154.96,2.55,6784048841.08,15.75,4.14,2.46,98,0,88,50.82,380233631.03,EUROSTAT_CULT,CULT_V1,2024-03-23
2014,NL,CZ520,CONCERT_HALL,11.92,35.22,280.55,4.43,8218949554.32,30.26,9.1,3.22,289,0,87,65.08,355720706.36,CULTURE_STATS_SURVEY,CULT_V3,2024-05-09
2015,SE,LU332,HERITAGE_SITE,11.92,66.79,170.91,3.21,2531863966.63,9.07,13.98,4.53,316,0,135,45.86,1419268117.18,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-09-04
2016,DK,BE25,CINEMA,4.68,39.18,70.12,2.3,4366522218.77,23.61,14.8,5.82,357,0,62,64.18,592326963.35,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-09-07
2017,IE,BE342,CULTURAL_CENTRE,7.22,36.71,187.91,2.32,7590757822.26,28.33,5.52,1.39,166,0,97,79.46,86751055.73,EUROSTAT_CULT,CULT_V3,2025-03-05
2018,PL,CY42,MUSEUM,1.71,45.51,180.12,2.27,22064947918.72,28.82,5.3,3.89,370,0,125,30.65,491114621.03,CULTURE_STATS_SURVEY,CULT_V2,2024-12-07
2019,AT,LT8,LIBRARY,3.13,82.64,121.54,3.55,9749332645.05,12.68,14.35,1.37,356,0,167,78.86,147200092.35,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-11-09
