edu_credential_reporting_quarter,edu_credential_training_provider_id,edu_credential_credential_type,edu_credential_credential_framework_level,edu_credential_program_duration_hours,edu_credential_tuition_cost_usd,edu_credential_completion_count,edu_credential_completion_rate_pct,edu_credential_employment_placement_rate,edu_credential_median_wage_post_training,edu_credential_industry_alignment_naics,edu_credential_occupation_alignment_soc,edu_credential_work_based_learning_flag,edu_credential_apprenticeship_registered_flag,edu_credential_license_required_flag,edu_credential_exam_pass_rate_pct,edu_credential_recredentialing_interval_months,edu_credential_stackable_credential_flag,edu_credential_online_delivery_flag,edu_credential_equity_access_index
2022Q2,TP100468,APPRENTICESHIP,LEVEL_5,1533,12655,1495,90.03,76.87,54750,445,391468,0,1,0,95.61,47,1,0,0.7884
2025Q4,TP100469,LICENSE,LEVEL_1,1614,18497,452,97.56,58.5,116262,445,401469,0,0,1,44.23,61,0,1,0.6078
2024Q4,TP100470,MICROCREDENTIAL,LEVEL_7,2128,1607,1176,38.21,67.33,67166,611,411470,1,0,1,46.52,120,0,0,0.183
2015Q4,TP100471,APPRENTICESHIP,LEVEL_7,1998,27617,1727,39.74,82.49,103852,621,421471,0,0,1,54.88,97,1,1,0.3019
2022Q2,TP100472,CEU,LEVEL_2,708,14723,1072,68.95,90.34,138006,445,431472,0,0,1,93.05,78,1,0,0.5118
2025Q2,TP100473,CERTIFICATE,LEVEL_1,2108,17831,1166,37.62,83.24,27888,531,441473,0,0,0,72.95,73,0,0,0.6636
2025Q4,TP100474,APPRENTICESHIP,LEVEL_6,440,16340,1653,41.02,81.12,128242,445,451474,1,0,0,50.61,67,1,0,0.4217
2015Q3,TP100475,ASSOCIATE,LEVEL_4,1938,5395,1832,68.1,42.02,51017,423,461475,0,0,0,51.57,61,1,1,0.7334
2016Q3,TP100476,LICENSE,LEVEL_4,174,31119,258,73.11,36.26,24852,722,471476,1,0,1,55.52,31,0,0,0.443
2023Q4,TP100477,MICROCREDENTIAL,LEVEL_2,2172,26548,1584,69.13,74.03,38226,623,481477,0,0,0,83.65,10,1,1,0.7218
2015Q4,TP100478,MICROCREDENTIAL,LEVEL_6,89,25283,2240,70.25,91.1,105793,611,491478,0,0,0,75.87,113,1,0,0.2863
2018Q4,TP100479,CEU,LEVEL_6,1732,21585,1193,43.44,38.13,123723,561,501479,0,0,0,64.25,62,1,0,0.2098
2023Q2,TP100480,CERTIFICATE,LEVEL_7,1369,12789,307,90.92,50.8,137964,112,511480,1,0,0,74.26,70,1,1,0.5036
2024Q1,TP100481,CERTIFICATE,LEVEL_5,350,2647,2370,88.79,66.15,102571,522,521481,1,0,1,87.3,87,0,1,0.4508
2022Q4,TP100482,LICENSE,LEVEL_3,1366,5743,776,81.29,90.01,88872,445,531482,0,0,0,81.07,86,0,0,0.1629
2014Q1,TP100483,BOOTCAMP_BADGE,LEVEL_2,1289,9006,1825,75.02,94.77,87384,211,541483,0,0,1,96.12,78,0,1,0.12
2022Q4,TP100484,LICENSE,LEVEL_2,1966,26817,2389,75.19,79.46,30605,611,111484,0,0,0,99.28,88,0,1,0.444
2015Q2,TP100485,MICROCREDENTIAL,LEVEL_4,1200,22832,2385,93.3,33.55,42849,611,121485,1,0,0,57.57,105,0,1,0.464
2022Q1,TP100486,LICENSE,LEVEL_4,1048,8241,1488,72.03,52.92,83566,561,131486,1,0,1,97.14,79,1,0,0.14
2020Q3,TP100487,BOOTCAMP_BADGE,LEVEL_4,452,14375,2392,41.83,88.67,80042,511,141487,0,0,1,41.55,74,0,1,0.3355
2024Q3,TP100488,MICROCREDENTIAL,LEVEL_7,1637,18618,1990,68.09,29.26,56649,517,151488,1,0,1,59.1,73,0,0,0.3733
2024Q4,TP100489,ASSOCIATE,LEVEL_7,495,7952,1272,89.75,77.56,87846,112,161489,1,0,0,82.04,92,1,1,0.1654
2015Q1,TP100490,MICROCREDENTIAL,LEVEL_3,579,20523,2329,95.8,95.62,40371,623,171490,0,0,0,46.89,44,1,0,0.5485
2018Q3,TP100491,LICENSE,LEVEL_6,888,7669,140,42.0,77.71,74251,511,181491,1,0,0,94.63,42,0,0,0.4954
2014Q3,TP100492,CERTIFICATE,LEVEL_1,2186,7535,2292,92.8,79.49,138271,722,191492,0,0,0,44.85,107,1,0,0.8123
2020Q4,TP100493,LICENSE,LEVEL_3,1489,19066,1217,54.51,72.35,27580,623,201493,1,1,0,78.98,53,0,0,0.8368
2016Q3,TP100494,CEU,LEVEL_2,1624,19707,1020,74.77,35.43,122928,811,211494,0,0,0,80.59,83,1,0,0.9318
2016Q2,TP100495,ASSOCIATE,LEVEL_7,776,5591,466,60.5,88.74,27102,611,221495,1,0,1,85.21,115,1,1,0.696
2023Q1,TP100496,ASSOCIATE,LEVEL_7,1418,8675,1361,39.07,52.49,84634,112,231496,0,0,0,40.63,74,1,1,0.7923
2021Q4,TP100497,BOOTCAMP_BADGE,LEVEL_1,28,9029,798,54.11,64.73,42792,522,241497,0,0,1,86.56,102,1,1,0.75
2022Q2,TP100498,BOOTCAMP_BADGE,LEVEL_1,1549,9356,1585,85.87,94.98,114450,522,251498,0,0,0,82.47,17,1,1,0.8532
2025Q3,TP100499,BOOTCAMP_BADGE,LEVEL_5,938,18990,1097,44.17,40.74,73501,236,261499,1,0,0,76.3,78,0,1,0.045
2016Q1,TP100500,CERTIFICATE,LEVEL_2,188,19963,2379,92.62,83.04,53350,561,271500,0,0,0,92.33,55,1,1,0.7053
2025Q1,TP100501,ASSOCIATE,LEVEL_3,1514,30982,1157,59.8,27.79,80458,811,281501,0,0,0,92.07,72,0,1,0.7366
2019Q4,TP100502,CEU,LEVEL_2,402,24840,2398,86.85,89.03,98199,236,291502,0,0,0,70.05,91,0,1,0.8841
2025Q2,TP100503,LICENSE,LEVEL_1,2160,30574,1144,69.65,60.03,131994,311,301503,0,0,1,40.86,69,0,0,0.0742
2019Q4,TP100504,CEU,LEVEL_1,724,30784,1524,79.64,48.91,133429,561,311504,1,0,1,74.52,120,1,1,0.1127
2019Q2,TP100505,MICROCREDENTIAL,LEVEL_2,94,26547,842,86.93,42.6,49438,211,321505,1,0,0,63.58,54,1,0,0.7073
2019Q2,TP100506,CEU,LEVEL_7,1914,17243,478,86.16,50.39,37531,611,331506,0,0,0,79.53,4,0,0,0.3149
2020Q4,TP100507,ASSOCIATE,LEVEL_2,629,31681,663,55.45,60.16,62362,811,341507,0,1,0,65.8,100,0,0,0.7537
2022Q1,TP100508,CERTIFICATE,LEVEL_1,1865,26006,1071,81.17,73.07,113800,445,351508,0,0,0,48.87,51,0,0,0.3194
2021Q2,TP100509,CERTIFICATE,LEVEL_2,967,22960,120,97.09,52.13,85607,211,361509,0,0,0,83.95,104,0,0,0.4328
2025Q1,TP100510,MICROCREDENTIAL,LEVEL_1,520,13621,538,53.39,72.25,67690,522,371510,1,0,0,81.09,18,1,1,0.391
2014Q3,TP100511,BOOTCAMP_BADGE,LEVEL_1,86,21089,1387,91.17,45.27,57797,445,381511,0,0,0,66.04,45,1,1,0.0413
2018Q3,TP100512,LICENSE,LEVEL_2,1317,29151,793,65.09,45.91,128948,811,391512,0,0,1,55.46,8,1,0,0.3265
2015Q1,TP100513,CERTIFICATE,LEVEL_6,118,30399,325,80.42,91.4,27456,541,401513,1,0,0,97.23,119,0,0,0.95
2025Q2,TP100514,ASSOCIATE,LEVEL_1,148,24015,377,36.0,56.64,101767,221,411514,1,0,0,51.3,16,0,0,0.9047
2022Q2,TP100515,CERTIFICATE,LEVEL_2,2033,15307,1437,93.44,55.24,41793,621,421515,0,0,1,67.31,1,0,1,0.05
2022Q1,TP100516,LICENSE,LEVEL_5,697,13835,1280,48.43,67.38,86846,531,431516,0,0,0,72.06,48,0,1,0.7987
2020Q2,TP100517,APPRENTICESHIP,LEVEL_6,21,5693,1683,89.52,75.43,137734,221,441517,0,0,1,97.99,36,1,0,0.8839
2015Q3,TP100518,BOOTCAMP_BADGE,LEVEL_1,201,29373,15,50.48,34.59,58157,561,451518,1,1,0,60.48,18,1,1,0.1425
2022Q2,TP100519,ASSOCIATE,LEVEL_7,1779,31902,1941,39.52,93.16,69830,811,461519,1,0,1,97.08,104,1,1,0.1875
2015Q4,TP100520,MICROCREDENTIAL,LEVEL_5,115,30846,84,71.49,79.49,47642,511,471520,0,0,0,97.16,78,0,0,0.2699
2021Q1,TP100521,MICROCREDENTIAL,LEVEL_5,2088,21474,1769,41.39,55.46,16830,621,481521,1,0,0,93.83,57,1,1,0.1262
2018Q2,TP100522,CERTIFICATE,LEVEL_1,173,12335,1363,94.82,76.8,56216,921,491522,1,0,1,48.35,77,0,0,0.3289
2024Q2,TP100523,CERTIFICATE,LEVEL_5,223,26401,1287,59.91,95.34,80846,561,501523,0,0,0,71.14,2,1,0,0.699
2022Q4,TP100524,CERTIFICATE,LEVEL_7,2134,25264,695,97.89,48.37,111764,811,511524,0,0,0,92.49,86,1,0,0.1112
2019Q2,TP100525,CERTIFICATE,LEVEL_5,2172,11294,1720,90.09,30.29,93339,541,521525,0,0,0,63.6,55,1,1,0.74
2022Q4,TP100526,APPRENTICESHIP,LEVEL_3,1722,19975,1203,37.6,55.07,42442,531,531526,0,0,0,87.25,27,0,0,0.3353
2016Q3,TP100527,BOOTCAMP_BADGE,LEVEL_2,236,31419,1862,37.6,77.01,126005,722,541527,0,0,0,43.63,79,1,1,0.3359
2016Q1,TP100528,CEU,LEVEL_7,212,25013,1407,53.14,77.82,95909,531,111528,0,1,0,95.23,62,0,0,0.0724
2020Q2,TP100529,APPRENTICESHIP,LEVEL_6,755,6054,2088,43.37,37.76,136084,531,121529,0,0,0,74.81,23,1,1,0.9074
2015Q2,TP100530,CERTIFICATE,LEVEL_3,36,15543,667,75.64,27.45,42029,531,131530,1,1,0,88.04,61,1,0,0.5578
2019Q4,TP100531,CEU,LEVEL_5,1160,655,353,48.1,79.6,16012,236,141531,1,0,0,83.19,32,0,1,0.1896
2014Q4,TP100532,CEU,LEVEL_2,321,6561,353,67.24,59.61,98602,112,151532,1,0,0,76.63,63,1,1,0.5391
2017Q4,TP100533,CEU,LEVEL_3,682,9539,33,61.0,86.88,86167,484,161533,0,0,0,98.46,20,0,0,0.539
2015Q3,TP100534,BOOTCAMP_BADGE,LEVEL_3,425,16640,340,74.36,69.52,24298,561,171534,1,0,0,62.55,0,0,1,0.8233
2025Q2,TP100535,MICROCREDENTIAL,LEVEL_7,1261,27248,1548,80.72,91.27,64922,311,181535,0,0,0,99.42,74,0,0,0.0146
2018Q1,TP100536,BOOTCAMP_BADGE,LEVEL_3,1787,4115,29,74.31,33.22,107697,423,191536,0,0,1,45.04,113,0,1,0.1055
2023Q4,TP100537,CEU,LEVEL_5,2117,17358,2381,95.77,36.61,31429,311,201537,1,1,0,58.52,1,0,1,0.3831
2015Q3,TP100538,CEU,LEVEL_6,82,8240,762,77.74,80.44,28891,112,211538,0,1,0,87.42,118,0,1,0.9228
2025Q4,TP100539,LICENSE,LEVEL_3,1240,4808,815,39.92,30.14,45256,111,221539,1,0,0,94.34,74,0,1,0.1076
2022Q2,TP100540,BOOTCAMP_BADGE,LEVEL_6,2149,22445,384,58.35,95.77,87913,221,231540,1,0,0,47.38,43,0,1,0.0258
2018Q1,TP100541,LICENSE,LEVEL_6,2194,7491,967,81.0,78.59,65754,621,241541,0,0,1,69.35,47,0,1,0.8742
2020Q1,TP100542,ASSOCIATE,LEVEL_3,835,25421,2291,96.18,94.56,110067,722,251542,1,1,0,85.65,61,1,1,0.1459
2014Q4,TP100543,BOOTCAMP_BADGE,LEVEL_2,219,3073,1932,64.34,47.07,40555,611,261543,0,0,0,74.3,23,1,1,0.825
2020Q1,TP100544,LICENSE,LEVEL_7,1657,9006,1019,60.46,64.69,51938,531,271544,1,0,1,40.05,63,1,1,0.3265
2016Q1,TP100545,ASSOCIATE,LEVEL_2,1772,15781,5,65.16,51.43,123743,541,281545,1,0,1,53.89,24,0,1,0.2603
2023Q4,TP100546,APPRENTICESHIP,LEVEL_4,1499,24773,299,43.97,64.61,32557,111,291546,0,0,1,46.45,76,1,1,0.9983
2015Q4,TP100547,APPRENTICESHIP,LEVEL_5,190,12077,890,77.16,73.13,87900,621,301547,0,0,0,89.99,36,0,1,0.9608
2018Q4,TP100548,APPRENTICESHIP,LEVEL_2,1136,5771,2222,92.52,71.76,26308,623,311548,0,0,0,45.37,62,1,1,0.5514
2025Q4,TP100549,APPRENTICESHIP,LEVEL_7,434,17300,431,64.79,63.37,74558,111,321549,0,0,0,47.85,42,0,0,0.5031
2017Q1,TP100550,ASSOCIATE,LEVEL_1,1486,9599,1780,91.07,51.09,132363,423,331550,1,0,0,54.39,85,0,1,0.584
2017Q1,TP100551,CEU,LEVEL_7,1525,27367,1107,88.82,39.92,40895,423,341551,0,0,0,83.84,34,0,1,0.252
2022Q3,TP100552,LICENSE,LEVEL_2,2152,8690,1828,47.08,77.69,15487,921,351552,0,0,1,47.49,66,0,0,0.7591
2014Q3,TP100553,BOOTCAMP_BADGE,LEVEL_3,404,7496,1536,70.34,83.55,94857,611,361553,0,0,0,45.1,6,0,0,0.7169
2022Q1,TP100554,ASSOCIATE,LEVEL_3,934,31778,1624,41.13,35.35,17091,484,371554,0,0,1,49.55,115,1,0,0.1186
2014Q2,TP100555,BOOTCAMP_BADGE,LEVEL_7,1454,1872,83,78.46,59.74,46507,111,381555,0,0,0,76.83,10,0,1,0.3527
2024Q3,TP100556,CERTIFICATE,LEVEL_7,2154,23247,2290,72.73,36.55,42325,531,391556,1,1,0,71.64,68,1,1,0.8057
2025Q1,TP100557,CEU,LEVEL_2,82,375,1771,51.32,37.96,86881,561,401557,0,0,0,60.44,25,0,1,0.1439
2025Q3,TP100558,BOOTCAMP_BADGE,LEVEL_4,94,31817,683,65.35,69.87,58237,622,411558,1,1,0,88.35,14,1,0,0.5651
2016Q4,TP100559,MICROCREDENTIAL,LEVEL_7,1447,24958,2378,61.01,93.96,34245,541,421559,1,1,0,67.85,71,1,0,0.9747
2017Q1,TP100560,CERTIFICATE,LEVEL_4,2018,3191,826,86.31,88.07,119306,722,431560,1,0,0,43.81,17,1,1,0.701
2020Q2,TP100561,MICROCREDENTIAL,LEVEL_5,654,21232,1009,52.35,35.37,134687,811,441561,1,0,0,50.11,33,0,0,0.4532
2020Q2,TP100562,CEU,LEVEL_1,814,15322,2313,91.52,31.13,37907,211,451562,0,0,0,66.48,102,1,0,0.3352
2021Q2,TP100563,ASSOCIATE,LEVEL_2,352,17695,1936,52.76,35.51,76972,921,461563,0,0,1,84.36,3,1,0,0.2037
2018Q1,TP100564,BOOTCAMP_BADGE,LEVEL_2,559,2157,1214,91.64,48.12,69396,111,471564,0,0,1,49.16,66,0,1,0.5981
2021Q3,TP100565,BOOTCAMP_BADGE,LEVEL_1,1221,11847,1584,43.12,56.67,75532,484,481565,1,0,0,73.17,62,0,1,0.4273
2014Q1,TP100566,LICENSE,LEVEL_3,323,24759,1775,67.25,75.29,61895,623,491566,1,0,0,48.28,99,0,0,0.9662
2019Q3,TP100567,ASSOCIATE,LEVEL_5,1153,8385,1420,49.8,64.76,63042,221,501567,0,1,0,61.8,98,0,0,0.4279
2017Q4,TP100568,MICROCREDENTIAL,LEVEL_1,473,11899,828,75.57,36.1,62727,511,511568,0,0,0,84.79,65,0,0,0.6288
2022Q2,TP100569,LICENSE,LEVEL_6,1749,23307,1428,42.54,66.19,103069,811,521569,0,0,0,88.18,73,0,0,0.1815
2024Q1,TP100570,CERTIFICATE,LEVEL_2,2200,1615,2309,46.13,55.12,74147,623,531570,0,0,0,57.33,53,0,1,0.8379
2024Q2,TP100571,APPRENTICESHIP,LEVEL_7,1556,24291,655,64.37,83.49,93932,484,541571,0,0,0,69.57,48,0,0,0.7323
2021Q1,TP100572,LICENSE,LEVEL_5,142,4084,925,46.07,29.39,75841,211,111572,1,0,0,93.9,17,0,1,0.2384
2019Q2,TP100573,ASSOCIATE,LEVEL_5,1938,16887,1371,52.57,50.12,120539,541,121573,1,0,0,49.43,58,1,1,0.9525
2017Q1,TP100574,MICROCREDENTIAL,LEVEL_5,1924,22339,823,95.78,70.39,64888,611,131574,0,0,1,51.67,58,0,0,0.8409
2020Q3,TP100575,CEU,LEVEL_3,938,16206,1136,50.81,74.75,98755,522,141575,1,0,0,55.16,94,0,0,0.4625
2015Q1,TP100576,BOOTCAMP_BADGE,LEVEL_1,369,25690,2210,68.32,43.92,87903,112,151576,0,0,0,96.6,25,1,1,0.4784
2020Q2,TP100577,CERTIFICATE,LEVEL_1,1510,7637,2350,71.99,53.98,111135,423,161577,0,0,1,78.86,53,1,1,0.7557
2021Q1,TP100578,CEU,LEVEL_5,1893,7074,1240,38.7,40.65,79429,511,171578,0,0,0,98.2,79,0,1,0.699
2021Q3,TP100579,BOOTCAMP_BADGE,LEVEL_2,505,17292,1319,40.96,42.94,50875,621,181579,1,0,0,76.64,10,0,1,0.2671
2023Q1,TP100580,MICROCREDENTIAL,LEVEL_4,820,1694,605,37.13,54.59,130094,621,191580,1,0,0,79.9,93,1,1,0.3543
2024Q4,TP100581,APPRENTICESHIP,LEVEL_4,1471,13752,2050,40.07,59.34,95182,531,201581,0,1,0,85.22,94,0,1,0.0009
2015Q1,TP100582,LICENSE,LEVEL_1,468,12466,410,57.28,63.93,59329,423,211582,0,0,0,63.94,44,0,0,0.8426
2024Q2,TP100583,CEU,LEVEL_2,76,10928,4,47.35,63.66,33846,611,221583,1,0,1,76.46,120,0,0,0.7397
2022Q2,TP100584,CERTIFICATE,LEVEL_6,569,12186,42,62.55,62.27,106194,445,231584,0,1,0,68.46,19,0,1,0.432
2023Q4,TP100585,APPRENTICESHIP,LEVEL_3,1736,30307,709,69.09,30.18,31806,811,241585,0,0,0,83.97,106,0,0,0.9769
2019Q3,TP100586,CEU,LEVEL_1,1984,15895,1542,40.53,63.18,82614,621,251586,0,0,1,80.78,4,0,0,0.2301
2014Q3,TP100587,BOOTCAMP_BADGE,LEVEL_3,1197,8361,1355,46.82,51.52,58784,722,261587,0,0,0,60.08,104,0,0,0.9313
2019Q2,TP100588,LICENSE,LEVEL_7,282,17472,1391,85.93,80.64,72980,112,271588,0,0,1,72.4,68,1,0,0.9156
2015Q2,TP100589,BOOTCAMP_BADGE,LEVEL_5,877,13868,1971,69.66,81.93,130903,517,281589,1,0,0,42.24,21,0,0,0.9752
2021Q2,TP100590,CEU,LEVEL_5,834,16547,2250,40.42,37.11,88268,423,291590,1,1,1,40.7,102,1,1,0.1836
2025Q2,TP100591,LICENSE,LEVEL_5,1612,30548,257,90.86,75.14,73667,484,301591,1,0,1,71.66,24,0,1,0.6166
2020Q4,TP100592,CEU,LEVEL_7,1224,24547,511,51.0,41.02,35956,921,311592,1,0,0,40.6,74,0,1,0.8605
2023Q4,TP100593,ASSOCIATE,LEVEL_5,2161,11647,1749,50.96,44.02,66991,423,321593,0,0,0,43.92,70,0,0,0.8378
2018Q2,TP100594,LICENSE,LEVEL_3,569,20340,1214,85.24,93.08,104952,517,331594,1,0,0,51.11,13,0,0,0.2753
2018Q4,TP100595,CERTIFICATE,LEVEL_1,499,25527,821,43.11,26.32,48679,522,341595,1,0,0,66.71,64,1,1,0.6114
2020Q3,TP100596,LICENSE,LEVEL_4,1035,10880,754,92.5,26.59,73669,221,351596,1,0,1,78.86,43,0,1,0.1742
2023Q3,TP100597,CEU,LEVEL_3,116,28571,514,49.31,69.54,59994,621,361597,0,0,0,42.41,74,0,1,0.6011
2018Q1,TP100598,MICROCREDENTIAL,LEVEL_3,720,12057,1471,78.17,88.4,111113,236,371598,0,0,1,92.43,116,0,1,0.9479
2015Q3,TP100599,LICENSE,LEVEL_4,889,7562,20,61.21,35.57,40315,921,381599,0,0,0,65.38,83,0,1,0.6032
2020Q4,TP100600,CERTIFICATE,LEVEL_1,414,9881,1413,76.24,26.85,34981,622,391600,0,0,1,62.14,17,0,1,0.3046
2024Q2,TP100601,MICROCREDENTIAL,LEVEL_6,2036,10390,1443,70.77,50.3,58982,921,401601,1,0,0,85.02,33,0,0,0.8999
2024Q4,TP100602,ASSOCIATE,LEVEL_3,780,1041,1584,66.05,84.45,76246,541,411602,0,1,1,75.07,57,0,1,0.2396
2022Q3,TP100603,LICENSE,LEVEL_2,702,14355,2071,90.33,84.08,55569,522,421603,0,0,0,82.37,103,1,1,0.571
2017Q1,TP100604,ASSOCIATE,LEVEL_1,316,20099,2379,62.05,88.89,86729,522,431604,0,0,0,54.3,105,0,1,0.6533
2018Q3,TP100605,ASSOCIATE,LEVEL_4,600,18939,1342,59.59,50.65,128930,921,441605,1,0,1,49.68,58,0,1,0.5823
2015Q4,TP100606,BOOTCAMP_BADGE,LEVEL_1,1450,9175,1247,91.72,65.81,100872,311,451606,0,0,0,46.9,58,0,0,0.0404
2023Q4,TP100607,ASSOCIATE,LEVEL_5,42,26953,1936,40.93,80.04,70868,112,461607,1,0,1,66.79,18,0,1,0.6632
2019Q4,TP100608,MICROCREDENTIAL,LEVEL_1,1300,27723,317,83.3,39.64,107964,445,471608,0,0,0,83.5,70,1,1,0.2235
2015Q1,TP100609,LICENSE,LEVEL_1,2173,29743,2285,91.49,72.19,111576,561,481609,0,0,1,46.99,47,1,0,0.9898
2016Q4,TP100610,CEU,LEVEL_7,1053,28994,1066,92.21,73.21,55657,511,491610,1,0,0,93.12,48,1,0,0.1217
2020Q3,TP100611,CEU,LEVEL_7,1950,29924,2143,72.74,67.55,129046,522,501611,1,0,0,77.42,108,0,1,0.7865
2014Q1,TP100612,ASSOCIATE,LEVEL_7,922,5480,1713,71.56,66.01,88165,611,511612,1,1,0,67.14,105,1,0,0.5087
2022Q3,TP100613,LICENSE,LEVEL_5,1720,16518,1456,62.6,57.62,67494,112,521613,1,0,0,50.51,116,0,0,0.3329
2021Q3,TP100614,LICENSE,LEVEL_4,1225,3804,27,69.38,45.15,51252,531,531614,1,0,0,40.06,112,0,0,0.9672
2025Q3,TP100615,MICROCREDENTIAL,LEVEL_1,1026,26368,68,48.5,80.17,22542,511,541615,0,0,0,66.93,55,0,1,0.7086
2021Q2,TP100616,CEU,LEVEL_7,1560,30188,1807,72.17,53.33,89544,522,111616,0,0,0,63.91,119,0,1,0.1062
2018Q2,TP100617,APPRENTICESHIP,LEVEL_6,1383,11570,559,86.73,45.18,73920,623,121617,0,0,1,91.73,97,0,1,0.102
2025Q4,TP100618,BOOTCAMP_BADGE,LEVEL_4,1581,2585,216,83.52,39.11,22692,561,131618,0,0,1,64.91,107,0,0,0.8127
2017Q2,TP100619,APPRENTICESHIP,LEVEL_1,632,4975,155,60.05,87.54,49069,522,141619,0,0,1,69.22,31,0,0,0.0372
2020Q4,TP100620,LICENSE,LEVEL_1,1230,23971,1718,82.24,41.01,30249,517,151620,1,0,0,62.51,111,0,1,0.3462
2020Q2,TP100621,LICENSE,LEVEL_3,668,720,2353,60.66,55.16,94240,511,161621,0,0,0,67.55,118,0,1,0.8147
2021Q1,TP100622,BOOTCAMP_BADGE,LEVEL_4,220,1494,432,92.1,68.19,75131,561,171622,1,0,1,87.75,102,0,0,0.7624
2014Q4,TP100623,CERTIFICATE,LEVEL_3,2063,30746,566,69.82,85.23,122944,511,181623,1,0,0,60.17,78,0,0,0.3642
2017Q1,TP100624,CERTIFICATE,LEVEL_1,1264,22031,1521,82.88,73.15,68134,517,191624,1,0,0,62.73,95,0,1,0.529
2014Q2,TP100625,BOOTCAMP_BADGE,LEVEL_1,1975,11252,1718,41.33,29.05,45697,622,201625,1,0,0,57.05,97,0,1,0.3682
2018Q1,TP100626,CEU,LEVEL_2,2021,20307,834,66.97,68.99,125259,561,211626,0,0,1,76.87,7,0,1,0.4138
2021Q1,TP100627,APPRENTICESHIP,LEVEL_7,837,2675,564,50.92,28.17,137997,445,221627,0,0,0,98.07,116,0,0,0.5215
2016Q3,TP100628,CERTIFICATE,LEVEL_4,2112,8904,1149,45.03,93.9,109263,111,231628,1,0,0,88.17,35,0,1,0.3677
2023Q3,TP100629,CERTIFICATE,LEVEL_7,2096,7852,1527,35.91,43.08,57482,531,241629,0,0,0,89.63,20,1,1,0.5886
2022Q1,TP100630,CEU,LEVEL_6,611,27860,1282,68.32,54.53,103665,221,251630,1,0,1,98.65,112,0,0,0.6875
2015Q1,TP100631,BOOTCAMP_BADGE,LEVEL_5,2049,28246,1216,87.33,62.3,39404,611,261631,1,0,1,92.91,2,1,1,0.393
2015Q2,TP100632,LICENSE,LEVEL_1,587,28565,273,81.65,75.52,48443,211,271632,0,0,0,98.22,48,1,1,0.3522
2019Q1,TP100633,ASSOCIATE,LEVEL_6,1351,9687,646,78.77,94.93,121374,211,281633,0,0,0,51.26,105,0,0,0.8133
2025Q1,TP100634,BOOTCAMP_BADGE,LEVEL_6,763,7903,2337,42.67,85.98,122769,811,291634,1,0,0,46.5,87,0,1,0.1222
2021Q4,TP100635,BOOTCAMP_BADGE,LEVEL_7,1092,15934,908,59.89,51.88,110233,621,301635,0,0,1,56.2,65,1,1,0.183
2018Q4,TP100636,LICENSE,LEVEL_3,1006,4224,341,74.25,60.43,50028,622,311636,0,0,0,81.61,74,1,1,0.1108
2025Q1,TP100637,MICROCREDENTIAL,LEVEL_7,1996,30052,1434,63.41,36.66,15225,622,321637,0,0,1,93.48,107,1,0,0.0902
2025Q1,TP100638,APPRENTICESHIP,LEVEL_5,1272,16446,1322,67.84,95.65,68770,511,331638,0,1,1,77.82,60,0,0,0.1757
2022Q3,TP100639,CEU,LEVEL_3,87,19343,1750,38.98,49.57,122598,445,341639,0,0,0,42.16,50,1,0,0.7936
2020Q3,TP100640,ASSOCIATE,LEVEL_1,1424,10453,2220,44.93,34.92,75589,561,351640,0,1,0,92.57,19,1,0,0.8292
2017Q2,TP100641,ASSOCIATE,LEVEL_3,1651,28796,214,42.4,46.96,45690,484,361641,1,0,0,81.54,13,0,1,0.93
2014Q4,TP100642,MICROCREDENTIAL,LEVEL_2,637,23530,1588,67.8,55.14,48760,311,371642,1,1,0,60.57,85,0,0,0.8804
2023Q4,TP100643,BOOTCAMP_BADGE,LEVEL_6,932,3504,2040,66.46,37.89,82472,811,381643,0,0,0,60.68,88,0,1,0.3819
2018Q3,TP100644,LICENSE,LEVEL_5,2103,18774,634,92.74,57.23,82045,211,391644,1,0,0,88.81,96,1,0,0.4373
2014Q4,TP100645,CEU,LEVEL_6,1174,5980,920,43.83,56.06,61789,311,401645,1,0,0,43.9,39,0,0,0.6342
2014Q4,TP100646,APPRENTICESHIP,LEVEL_2,551,17675,2257,78.6,75.74,109475,517,411646,1,0,1,59.93,44,1,1,0.4944
2015Q1,TP100647,LICENSE,LEVEL_5,1812,10170,100,80.34,45.59,54893,722,421647,0,1,0,72.1,72,1,0,0.3037
2015Q4,TP100648,LICENSE,LEVEL_5,618,27994,798,94.19,61.12,128162,445,431648,1,0,0,91.68,77,1,0,0.4757
2025Q3,TP100649,ASSOCIATE,LEVEL_2,1762,27377,111,90.56,44.03,103039,484,441649,1,0,0,88.22,44,0,0,0.9349
2025Q3,TP100650,BOOTCAMP_BADGE,LEVEL_5,1789,26152,1573,53.63,34.58,51543,236,451650,1,0,0,78.67,74,1,0,0.3624
2016Q2,TP100651,LICENSE,LEVEL_5,1236,28833,1745,85.8,33.88,103775,112,461651,0,0,1,47.76,53,0,0,0.3842
2020Q4,TP100652,CERTIFICATE,LEVEL_4,1470,10212,2375,96.21,85.78,69882,423,471652,1,0,0,90.38,94,1,0,0.6689
2022Q2,TP100653,LICENSE,LEVEL_1,2051,23273,724,46.86,63.46,127362,561,481653,0,1,0,98.99,18,0,0,0.6826
2022Q4,TP100654,CERTIFICATE,LEVEL_1,247,24316,2164,44.08,84.41,37751,561,491654,0,0,0,44.88,10,0,0,0.778
