lab_lfs_reference_quarter,lab_lfs_country_iso2,lab_lfs_region_nuts_code,lab_lfs_age_group,lab_lfs_sex,lab_lfs_employment_status_code,lab_lfs_employed_count,lab_lfs_unemployed_count,lab_lfs_inactive_count,lab_lfs_unemployment_rate_pct,lab_lfs_long_term_unemployment_rate_pct,lab_lfs_youth_unemployment_rate_pct,lab_lfs_participation_rate_pct,lab_lfs_hours_worked_mean,lab_lfs_part_time_share_pct,lab_lfs_temporary_contract_share_pct,lab_lfs_self_employment_share_pct,lab_lfs_telework_share_pct,lab_lfs_eurostat_table_code,lab_lfs_data_extract_date
2018-Q2,HR,FR89,45_54,F,EMP,2245337,163822,623136,6.8,2.82,4.51,79.45,24.97,18.15,19.83,6.53,9.54,lfsa_egan_q,2024-05-28
2018-Q3,DE,FI837,35_44,M,INA,2431816,66453,346168,2.66,0.92,2.59,87.83,28.85,24.46,23.85,7.07,5.62,lfsi_part_q,2024-06-13
2018-Q4,LU,EE163,25_34,X,UNE,1988538,259667,590796,11.55,1.52,10.02,79.19,18.14,26.59,13.11,7.18,17.46,lfsi_unemp_q,2025-10-20
2019-Q1,SI,BG52,15_24,F,EMP,665007,177627,774706,21.08,10.22,32.67,52.1,29.57,41.43,16.41,18.36,4.75,lfsi_emp_q,2025-08-18
2019-Q2,CY,IT27,65_74,M,INA,506874,33618,1391909,6.22,1.14,6.17,27.97,36.03,31.54,17.94,19.17,6.96,lfsa_egan_q,2025-10-20
2019-Q3,GR,EE692,55_64,X,UNE,840121,64207,722453,7.1,2.79,5.85,55.59,34.26,21.87,14.19,20.27,15.67,lfsi_part_q,2025-11-30
2019-Q4,MT,RO59,45_54,F,EMP,240580,10809,52919,4.3,1.74,2.72,82.61,26.15,40.29,23.49,6.97,19.8,lfsi_unemp_q,2025-04-10
2020-Q1,ES,LU99,35_44,M,INA,433179,54635,155231,11.2,5.12,10.19,75.86,31.15,19.66,19.6,15.12,19.63,lfsi_emp_q,2024-09-18
2020-Q2,CZ,CZ3,25_34,X,UNE,1022180,160898,305632,13.6,5.58,10.14,79.47,19.07,31.62,13.39,11.24,3.56,lfsa_egan_q,2025-03-22
2020-Q3,HU,AT97,15_24,F,EMP,236243,51682,559162,17.95,2.43,27.82,33.99,13.84,28.81,19.95,8.94,3.62,lfsi_part_q,2024-05-09
2020-Q4,NL,FI64,65_74,M,INA,148942,3787,834531,2.48,0.6,1.94,15.47,28.13,40.35,15.79,14.31,29.2,lfsi_unemp_q,2024-05-07
2021-Q1,SE,ES934,55_64,X,UNE,1195527,107499,642951,8.25,1.45,6.76,66.96,27.82,22.77,14.23,14.47,35.88,lfsi_emp_q,2024-03-12
2021-Q2,DK,IE252,45_54,F,EMP,614800,17580,127966,2.78,1.65,2.73,83.17,30.49,33.8,19.69,6.29,10.28,lfsa_egan_q,2025-03-27
2021-Q3,IE,SI96,35_44,M,INA,198367,10704,38116,5.12,1.58,3.08,84.58,30.63,11.21,15.85,13.39,30.24,lfsi_part_q,2025-07-15
2021-Q4,PL,ES73,25_34,X,UNE,1910929,155610,521163,7.53,2.16,6.11,79.86,39.55,19.53,18.96,9.69,12.28,lfsi_unemp_q,2026-01-13
2022-Q1,AT,RO77,15_24,F,EMP,515912,214530,1196845,29.37,10.84,45.52,37.9,24.61,31.56,28.3,12.0,10.63,lfsi_emp_q,2025-06-11
2022-Q2,EE,GR4,65_74,M,INA,266495,3045,721053,1.13,0.49,0.93,27.21,19.61,32.67,7.79,8.78,25.01,lfsa_egan_q,2026-01-24
2022-Q3,IT,SE43,55_64,X,UNE,808386,82790,768678,9.29,1.31,7.3,53.69,19.31,23.19,23.72,19.15,4.2,lfsi_part_q,2025-02-22
2022-Q4,PT,EE96,45_54,F,EMP,1883735,112592,837352,5.64,1.99,3.39,70.45,26.76,26.35,9.05,17.79,13.93,lfsi_unemp_q,2025-02-12
2023-Q1,BE,CY783,35_44,M,INA,1196778,76932,258664,6.04,2.83,3.7,83.12,30.98,29.57,21.51,18.77,17.32,lfsi_emp_q,2024-11-01
2023-Q2,FI,HR76,25_34,X,UNE,531821,51252,236771,8.79,2.31,7.1,71.12,30.1,23.45,19.46,15.19,19.62,lfsa_egan_q,2025-06-04
2023-Q3,LV,LU595,15_24,F,EMP,453779,52501,685528,10.37,3.04,16.07,42.48,19.94,13.77,8.81,12.19,19.48,lfsi_part_q,2025-10-15
2023-Q4,RO,RO9,65_74,M,INA,484367,7675,1348057,1.56,0.23,1.46,26.74,30.14,17.3,20.93,7.37,9.67,lfsi_unemp_q,2025-08-30
2024-Q1,BG,LT13,55_64,X,UNE,718168,52563,699008,6.82,2.54,4.43,52.44,40.05,22.87,19.95,7.22,6.57,lfsi_emp_q,2026-02-04
2024-Q2,FR,RO486,45_54,F,EMP,1598248,75485,366658,4.51,1.01,3.11,82.03,30.08,21.27,17.66,15.83,12.96,lfsa_egan_q,2025-01-22
2024-Q3,LT,PL168,35_44,M,INA,858737,92983,284761,9.77,2.62,8.88,76.97,31.17,12.9,11.34,19.5,9.27,lfsi_part_q,2024-06-04
2024-Q4,SK,FR794,25_34,X,UNE,551315,17402,298229,3.06,0.88,2.95,65.6,36.04,22.51,19.29,7.38,2.01,lfsi_unemp_q,2025-08-18
2025-Q1,HR,SE66,15_24,F,EMP,553006,86085,843031,13.47,3.07,20.88,43.12,16.05,24.87,25.85,14.08,6.79,lfsi_emp_q,2025-11-18
2025-Q2,DE,DK642,65_74,M,INA,373672,12233,1239643,3.17,1.0,3.12,23.74,41.6,33.79,20.42,19.19,8.62,lfsa_egan_q,2025-02-22
2025-Q3,LU,RO534,55_64,X,UNE,767351,68907,350260,8.24,2.83,6.17,70.48,28.57,12.85,24.98,8.82,8.42,lfsi_part_q,2024-09-04
2025-Q4,SI,BG32,45_54,F,EMP,171397,17137,61411,9.09,3.17,9.17,75.43,22.32,15.02,24.87,5.77,7.48,lfsi_unemp_q,2024-06-20
2026-Q1,CY,CY31,35_44,M,INA,420498,38811,68996,8.45,3.11,5.15,86.94,30.88,11.81,19.87,10.63,21.19,lfsi_emp_q,2025-12-15
2026-Q2,GR,GR778,25_34,X,UNE,992334,40594,240405,3.93,1.22,3.8,81.12,39.92,24.57,11.1,9.78,3.67,lfsa_egan_q,2024-06-07
2026-Q3,MT,LU468,15_24,F,EMP,909990,342921,988833,27.37,3.8,42.42,55.89,13.25,34.08,18.03,14.14,21.73,lfsi_part_q,2024-03-19
2026-Q4,ES,DK727,65_74,M,INA,273813,14775,1763958,5.12,0.87,4.09,14.06,25.79,20.55,8.47,10.63,2.52,lfsi_unemp_q,2026-01-13
2013-Q1,CZ,CZ453,55_64,X,UNE,365830,15282,279967,4.01,2.13,4.06,57.65,21.64,32.56,21.04,12.3,14.86,lfsi_emp_q,2024-09-26
2013-Q2,HU,PT76,45_54,F,EMP,1683502,102517,650901,5.74,0.87,3.48,73.29,23.5,38.16,10.19,14.0,11.81,lfsa_egan_q,2025-02-07
2013-Q3,NL,DK936,35_44,M,INA,79168,6105,19756,7.16,2.14,6.62,81.19,30.48,14.03,6.49,18.32,29.33,lfsi_part_q,2025-03-10
2013-Q4,SE,CY653,25_34,X,UNE,1175555,116973,498173,9.05,3.06,6.86,72.18,23.78,16.72,16.52,9.41,21.68,lfsi_unemp_q,2025-07-29
2014-Q1,DK,BG93,15_24,F,EMP,312910,60580,595356,16.22,7.35,25.14,38.55,13.75,15.11,20.3,17.39,20.13,lfsi_emp_q,2025-05-20
2014-Q2,IE,PT22,65_74,M,INA,410245,13518,1099468,3.19,0.78,2.85,27.82,20.55,26.9,24.8,22.84,18.2,lfsa_egan_q,2024-03-17
2014-Q3,PL,ES916,55_64,X,UNE,365799,19252,254356,5.0,1.69,3.95,60.22,26.12,35.46,18.2,10.94,21.59,lfsi_part_q,2024-12-21
2014-Q4,AT,DE330,45_54,F,EMP,1539363,53685,597913,3.37,1.06,3.33,72.71,40.18,36.78,16.55,6.86,12.6,lfsi_unemp_q,2025-01-01
2015-Q1,EE,LU762,35_44,M,INA,135417,8261,37963,5.75,0.86,5.8,79.1,40.48,25.37,12.2,13.18,7.45,lfsi_emp_q,2024-06-22
2015-Q2,IT,BE281,25_34,X,UNE,137801,26953,69905,16.36,3.16,16.51,70.21,32.39,11.91,17.6,15.24,14.06,lfsa_egan_q,2024-10-13
2015-Q3,PT,FI898,15_24,F,EMP,649373,278170,1351433,29.99,14.27,46.48,40.7,28.18,42.48,16.69,14.14,11.01,lfsi_part_q,2025-08-16
2015-Q4,BE,LV377,65_74,M,INA,146097,7851,648284,5.1,0.64,3.69,19.19,30.86,21.64,19.15,6.36,5.57,lfsi_unemp_q,2025-03-09
2016-Q1,FI,NL849,55_64,X,UNE,38071,936,22703,2.4,1.37,1.52,63.21,30.29,20.34,13.23,15.37,15.73,lfsi_emp_q,2025-06-16
2016-Q2,LV,AT47,45_54,F,EMP,1667859,43467,380759,2.54,1.52,2.02,81.8,37.79,33.18,5.79,16.46,24.73,lfsa_egan_q,2024-08-23
2016-Q3,RO,CY19,35_44,M,INA,301739,21668,99402,6.7,0.9,6.19,76.49,25.21,32.83,21.13,12.87,9.65,lfsi_part_q,2025-01-11
2016-Q4,BG,AT3,25_34,X,UNE,1429012,72682,486778,4.84,1.52,4.68,75.52,29.36,16.87,9.3,14.91,10.48,lfsi_unemp_q,2025-01-23
2017-Q1,FR,AT5,15_24,F,EMP,293202,114533,257738,28.09,3.64,43.54,61.27,14.61,32.76,30.11,20.79,3.73,lfsi_emp_q,2025-10-01
2017-Q2,LT,ES121,65_74,M,INA,214266,9137,949934,4.09,1.93,4.03,19.04,30.34,8.36,24.85,7.37,15.67,lfsa_egan_q,2024-04-19
2017-Q3,SK,GR5,55_64,X,UNE,247950,13325,111176,5.1,1.98,3.1,70.15,34.79,28.7,17.79,7.48,15.04,lfsi_part_q,2024-07-15
2017-Q4,HR,BE505,45_54,F,EMP,521945,38803,169678,6.92,3.77,6.46,76.77,26.75,15.5,9.74,20.67,15.66,lfsi_unemp_q,2024-05-09
2018-Q1,DE,CY531,35_44,M,INA,1394939,71873,177043,4.9,1.94,4.9,89.23,20.28,10.17,21.02,7.9,15.34,lfsi_emp_q,2024-08-19
2018-Q2,LU,IT454,25_34,X,UNE,1374537,98865,289040,6.71,1.78,6.41,83.6,39.22,24.37,6.6,17.12,2.25,lfsa_egan_q,2024-07-07
2018-Q3,SI,FR8,15_24,F,EMP,376908,54189,475141,12.57,4.8,19.48,47.57,17.54,25.82,31.19,11.39,23.7,lfsi_part_q,2025-10-24
2018-Q4,CY,NL6,65_74,M,INA,379485,15770,1464770,3.99,0.47,4.17,21.25,38.16,25.28,25.21,8.52,19.87,lfsi_unemp_q,2024-03-16
2019-Q1,GR,RO893,55_64,X,UNE,39892,1936,30853,4.63,2.76,4.75,57.55,34.87,16.38,12.36,22.17,11.02,lfsi_emp_q,2025-11-10
2019-Q2,MT,AT149,45_54,F,EMP,1197483,107533,375190,8.24,2.61,7.93,77.67,37.26,36.77,22.96,9.35,21.03,lfsa_egan_q,2025-08-20
2019-Q3,ES,PL4,35_44,M,INA,1902590,79687,396836,4.02,1.57,2.67,83.32,30.56,11.67,28.22,9.09,9.37,lfsi_part_q,2024-07-04
2019-Q4,CZ,RO40,25_34,X,UNE,271559,15957,113426,5.55,1.91,4.92,71.71,33.21,22.05,12.86,12.03,9.64,lfsi_unemp_q,2026-02-05
2020-Q1,HU,SI163,15_24,F,EMP,452997,95492,694405,17.41,4.5,26.99,44.13,20.82,12.45,11.64,9.54,4.68,lfsi_emp_q,2024-05-04
2020-Q2,NL,AT463,65_74,M,INA,13885,329,46688,2.32,0.39,1.93,23.34,22.67,38.77,21.65,13.69,7.55,lfsa_egan_q,2024-02-19
2020-Q3,SE,DK531,55_64,X,UNE,190825,10127,138322,5.04,2.44,4.53,59.23,33.01,22.46,20.78,19.04,42.22,lfsi_part_q,2024-06-21
2020-Q4,DK,LU955,45_54,F,EMP,1435955,134424,272356,8.56,3.74,6.8,85.22,38.07,41.12,17.64,9.51,10.68,lfsi_unemp_q,2024-08-24
2021-Q1,IE,HU2,35_44,M,INA,2022588,226481,391613,10.07,2.73,7.6,85.17,37.88,8.21,23.64,22.98,21.21,lfsi_emp_q,2025-05-08
2021-Q2,PL,RO30,25_34,X,UNE,188487,22395,37535,10.62,2.01,6.98,84.89,30.8,25.22,19.72,20.41,22.71,lfsa_egan_q,2025-11-07
2021-Q3,AT,RO2,15_24,F,EMP,387966,161950,853648,29.45,13.05,45.65,39.18,19.81,39.52,27.92,20.37,11.33,lfsi_part_q,2025-07-22
2021-Q4,EE,NL33,65_74,M,INA,446268,17338,1266914,3.74,1.14,3.65,26.79,39.49,18.44,24.57,10.93,11.85,lfsi_unemp_q,2024-05-22
2022-Q1,IT,LU1,55_64,X,UNE,1286253,124576,916503,8.83,4.64,6.03,60.62,26.67,30.69,14.16,14.76,24.22,lfsi_emp_q,2024-03-13
2022-Q2,PT,HR32,45_54,F,EMP,2415939,131445,489192,5.16,2.99,5.29,83.89,29.5,38.61,6.63,11.55,9.36,lfsa_egan_q,2025-05-05
2022-Q3,BE,IT76,35_44,M,INA,2046965,76442,511093,3.6,1.7,2.44,80.6,19.78,13.14,9.53,7.89,20.29,lfsi_part_q,2025-08-23
2022-Q4,FI,PT671,25_34,X,UNE,2196221,358415,587597,14.03,5.33,13.19,81.3,21.64,12.7,4.58,9.15,29.28,lfsi_unemp_q,2024-02-28
2023-Q1,LV,AT58,15_24,F,EMP,253530,62119,444768,19.68,5.84,30.5,41.51,19.22,30.36,16.07,12.8,19.46,lfsi_emp_q,2024-12-08
2023-Q2,RO,GR254,65_74,M,INA,287602,6259,841616,2.13,0.28,1.81,25.88,24.21,13.44,6.01,7.1,15.39,lfsa_egan_q,2025-01-30
2023-Q3,BG,DE819,55_64,X,UNE,1435021,48051,814839,3.24,1.28,2.83,64.54,36.47,30.79,12.28,10.85,17.34,lfsi_part_q,2024-09-23
2023-Q4,FR,DK51,45_54,F,EMP,720062,38376,163675,5.06,2.8,3.77,82.25,23.66,31.62,22.15,10.78,25.19,lfsi_unemp_q,2024-10-17
2024-Q1,LT,LU59,35_44,M,INA,948952,58748,284554,5.83,0.99,5.27,77.98,20.01,22.33,17.87,16.56,13.35,lfsi_emp_q,2024-04-12
2024-Q2,SK,MT232,25_34,X,UNE,1837243,126882,275214,6.46,0.72,6.71,87.71,38.53,8.73,7.97,17.78,23.74,lfsa_egan_q,2025-12-23
2024-Q3,HR,ES2,15_24,F,EMP,990687,320092,1040816,24.42,11.55,37.85,55.74,29.55,43.06,14.89,19.4,23.41,lfsi_part_q,2025-09-19
2024-Q4,DE,LV66,65_74,M,INA,44546,793,283921,1.75,0.68,1.18,13.77,35.44,27.29,9.45,17.04,16.31,lfsi_unemp_q,2025-06-25
2025-Q1,LU,PT17,55_64,X,UNE,357604,33177,173849,8.49,1.67,5.87,69.21,20.18,14.52,13.46,9.23,19.1,lfsi_emp_q,2026-02-22
2025-Q2,SI,EE601,45_54,F,EMP,1251262,116536,546009,8.52,5.19,8.37,71.47,29.87,29.0,13.87,13.43,8.18,lfsa_egan_q,2024-11-12
2025-Q3,CY,AT83,35_44,M,INA,1894873,72804,449913,3.7,1.19,3.61,81.39,37.17,8.28,20.64,12.3,3.17,lfsi_part_q,2025-09-23
2025-Q4,GR,SE3,25_34,X,UNE,920153,118746,286734,11.43,4.09,11.84,78.37,18.79,30.92,5.98,18.71,3.08,lfsi_unemp_q,2024-01-30
2026-Q1,MT,FI207,15_24,F,EMP,733939,144924,1303022,16.49,3.13,25.56,40.28,28.35,35.82,26.55,13.95,4.15,lfsi_emp_q,2024-01-25
2026-Q2,ES,LT5,65_74,M,INA,615554,13975,1535289,2.22,0.27,1.46,29.08,28.76,25.33,29.17,12.71,21.53,lfsa_egan_q,2024-06-22
2026-Q3,CZ,CZ4,55_64,X,UNE,472538,18206,242256,3.71,2.33,3.04,66.95,31.67,34.94,25.23,11.3,14.28,lfsi_part_q,2025-12-17
2026-Q4,HU,MT109,45_54,F,EMP,1031208,31454,516330,2.96,1.73,2.42,67.3,26.86,15.98,9.63,6.52,16.96,lfsi_unemp_q,2024-01-08
2013-Q1,NL,SK9,35_44,M,INA,2677807,104908,431695,3.77,1.25,2.75,86.57,39.26,35.21,24.58,10.33,28.2,lfsi_emp_q,2024-04-15
2013-Q2,SE,SE90,25_34,X,UNE,1132135,92854,504977,7.58,1.47,5.75,70.81,24.72,29.54,9.32,16.74,13.02,lfsa_egan_q,2025-07-29
2013-Q3,DK,SI88,15_24,F,EMP,359338,113413,467860,23.99,7.34,37.18,50.26,22.32,37.69,21.65,8.51,5.27,lfsi_part_q,2025-01-06
2013-Q4,IE,GR828,65_74,M,INA,220006,12829,1292953,5.51,1.86,4.47,15.26,23.21,25.1,10.91,6.98,12.51,lfsi_unemp_q,2025-08-30
2014-Q1,PL,CY5,55_64,X,UNE,1147728,88914,976389,7.19,3.76,4.33,55.88,35.54,30.35,12.65,8.72,5.54,lfsi_emp_q,2024-09-20
2014-Q2,AT,SK4,45_54,F,EMP,1237899,89748,345506,6.76,3.84,5.52,79.35,32.77,19.4,8.47,13.7,8.15,lfsa_egan_q,2025-03-24
2014-Q3,EE,IE89,35_44,M,INA,210755,18850,23766,8.21,3.29,5.26,90.62,25.22,36.13,8.37,11.13,20.67,lfsi_part_q,2025-12-04
2014-Q4,IT,NL970,25_34,X,UNE,1325370,142208,526414,9.69,1.92,6.06,73.6,34.2,33.43,12.21,23.94,22.92,lfsi_unemp_q,2024-09-06
2015-Q1,PT,SK45,15_24,F,EMP,604793,232406,753527,27.76,10.3,43.03,52.63,15.7,14.3,14.53,9.65,18.88,lfsi_emp_q,2025-07-13
2015-Q2,BE,NL8,65_74,M,INA,35320,1602,168089,4.34,0.92,4.16,18.01,25.45,22.18,14.17,8.52,3.64,lfsa_egan_q,2024-12-01
2015-Q3,FI,FR22,55_64,X,UNE,1192395,54358,433054,4.36,0.95,2.68,74.22,32.57,8.3,23.83,13.44,27.76,lfsi_part_q,2025-01-28
2015-Q4,LV,BG3,45_54,F,EMP,1831210,91118,581681,4.74,1.83,3.75,76.77,37.75,24.81,15.09,18.42,13.5,lfsi_unemp_q,2024-08-11
2016-Q1,RO,BG96,35_44,M,INA,1090747,23397,345688,2.1,1.01,2.01,76.32,34.53,12.8,15.19,13.8,23.99,lfsi_emp_q,2024-06-15
2016-Q2,BG,HU465,25_34,X,UNE,896934,96568,288932,9.72,2.19,6.75,77.47,22.59,19.64,8.37,10.96,7.39,lfsa_egan_q,2025-12-24
2016-Q3,FR,HR29,15_24,F,EMP,920438,168064,1236860,15.44,4.69,23.93,46.81,20.35,31.79,27.65,14.82,14.36,lfsi_part_q,2025-10-12
2016-Q4,LT,BE7,65_74,M,INA,418196,25277,1337543,5.7,1.52,4.42,24.9,41.16,12.91,9.16,18.45,24.28,lfsi_unemp_q,2025-01-07
2017-Q1,SK,BE87,55_64,X,UNE,742122,43940,488978,5.59,1.8,4.31,61.65,23.62,33.47,8.57,15.49,2.02,lfsi_emp_q,2024-03-19
2017-Q2,HR,HR81,45_54,F,EMP,294646,27090,74295,8.42,2.21,6.29,81.24,34.46,20.43,21.01,20.71,13.4,lfsa_egan_q,2024-11-10
2017-Q3,DE,AT816,35_44,M,INA,734639,60080,135865,7.56,3.57,4.86,85.4,34.38,25.32,22.21,17.18,18.84,lfsi_part_q,2025-04-29
2017-Q4,LU,MT937,25_34,X,UNE,2005925,146817,757549,6.82,1.08,5.89,73.97,35.47,7.31,18.48,18.83,16.82,lfsi_unemp_q,2024-04-14
2018-Q1,SI,AT431,15_24,F,EMP,115381,27824,124768,19.43,4.19,30.12,53.44,19.94,42.32,32.21,9.55,18.59,lfsi_emp_q,2025-08-07
2018-Q2,CY,GR848,65_74,M,INA,498278,18018,1785516,3.49,0.4,3.37,22.43,36.17,20.9,12.06,18.56,24.07,lfsa_egan_q,2024-04-06
2018-Q3,GR,SK69,55_64,X,UNE,934519,47634,511616,4.85,0.67,3.3,65.75,30.29,26.43,17.79,20.79,8.51,lfsi_part_q,2025-01-13
2018-Q4,MT,HU326,45_54,F,EMP,976811,93666,384173,8.75,1.75,5.84,73.59,37.21,22.7,13.73,16.96,18.37,lfsi_unemp_q,2026-02-17
2019-Q1,ES,SE619,35_44,M,INA,2178618,314079,712932,12.6,1.81,12.71,77.76,39.76,25.16,27.83,18.94,24.59,lfsi_emp_q,2024-03-21
2019-Q2,CZ,HR8,25_34,X,UNE,952074,86854,186222,8.36,2.75,8.15,84.8,39.27,10.12,17.05,7.6,21.83,lfsa_egan_q,2024-05-28
2019-Q3,HU,PL42,15_24,F,EMP,217193,83336,369845,27.73,4.52,42.98,44.83,13.49,22.96,15.86,20.56,9.35,lfsi_part_q,2025-01-01
2019-Q4,NL,BG365,65_74,M,INA,210396,8766,609427,4.0,1.31,3.49,26.45,21.62,24.68,20.52,12.91,21.93,lfsi_unemp_q,2025-04-12
2020-Q1,SE,CZ5,55_64,X,UNE,442190,56277,410481,11.29,4.86,10.88,54.84,18.63,21.01,21.46,10.85,37.47,lfsi_emp_q,2024-01-22
2020-Q2,DK,LV533,45_54,F,EMP,163535,12422,70654,7.06,2.41,4.62,71.35,27.25,35.52,24.83,11.2,25.9,lfsa_egan_q,2025-02-08
2020-Q3,IE,IT885,35_44,M,INA,1187675,140226,113433,10.56,2.55,7.97,92.13,26.44,18.11,18.3,19.5,36.38,lfsi_part_q,2025-05-10
2020-Q4,PL,PT359,25_34,X,UNE,911714,92265,165069,9.19,2.48,8.73,85.88,35.11,16.89,23.86,7.5,18.5,lfsi_unemp_q,2025-05-25
2021-Q1,AT,HR19,15_24,F,EMP,189823,42774,201434,18.39,6.46,28.5,53.59,16.06,33.48,9.08,14.66,23.05,lfsi_emp_q,2024-04-25
2021-Q2,EE,CZ1,65_74,M,INA,248892,12659,812581,4.84,1.78,4.32,24.35,24.15,30.14,17.65,8.42,37.38,lfsa_egan_q,2025-05-10
2021-Q3,IT,FR28,55_64,X,UNE,616759,72511,337498,10.52,3.68,10.36,67.13,27.31,32.21,16.7,16.33,26.06,lfsi_part_q,2025-05-31
2021-Q4,PT,LU3,45_54,F,EMP,1618052,164728,717612,9.24,5.2,7.73,71.3,26.36,11.64,20.59,22.7,8.45,lfsi_unemp_q,2024-04-10
2022-Q1,BE,CY864,35_44,M,INA,1565331,167571,125437,9.67,1.82,8.41,93.25,30.15,9.32,22.07,7.51,24.96,lfsi_emp_q,2024-08-18
2022-Q2,FI,AT662,25_34,X,UNE,1702636,230639,707450,11.93,3.58,9.26,73.21,22.34,36.51,20.53,19.94,14.81,lfsa_egan_q,2025-06-28
2022-Q3,LV,EE73,15_24,F,EMP,961974,166838,1084545,14.78,7.19,22.91,51.0,21.1,41.75,24.73,14.99,11.34,lfsi_part_q,2024-07-19
2022-Q4,RO,PL73,65_74,M,INA,32417,1088,154623,3.25,1.47,2.92,17.81,36.64,14.34,21.93,19.99,10.65,lfsi_unemp_q,2025-04-10
2023-Q1,BG,LV61,55_64,X,UNE,1551983,99062,483467,6.0,2.58,6.16,77.35,20.62,22.53,20.43,17.54,25.09,lfsi_emp_q,2024-09-05
2023-Q2,FR,LV729,45_54,F,EMP,510819,20233,137863,3.81,1.18,3.6,79.39,29.96,10.8,19.22,14.94,15.05,lfsa_egan_q,2024-07-29
2023-Q3,LT,SK36,35_44,M,INA,166184,7994,10371,4.59,1.55,3.82,94.38,32.14,30.55,13.89,20.84,15.43,lfsi_part_q,2025-11-19
2023-Q4,SK,MT37,25_34,X,UNE,466677,58564,198830,11.15,4.08,11.31,72.54,35.83,34.31,4.98,6.02,25.08,lfsi_unemp_q,2025-05-09
2024-Q1,HR,ES67,15_24,F,EMP,129353,29051,100977,18.34,7.62,28.43,61.07,22.0,42.47,20.8,8.61,2.44,lfsi_emp_q,2025-03-02
2024-Q2,DE,FR4,65_74,M,INA,253019,4140,745410,1.61,0.37,1.56,25.65,31.67,22.22,7.56,17.27,8.97,lfsa_egan_q,2024-07-19
2024-Q3,LU,MT773,55_64,X,UNE,793025,43675,271805,5.22,1.07,4.12,75.48,38.82,17.16,14.37,12.34,11.82,lfsi_part_q,2024-11-24
2024-Q4,SI,BG1,45_54,F,EMP,271506,13121,125026,4.61,1.59,4.73,69.48,26.43,29.75,12.73,9.79,11.73,lfsi_unemp_q,2026-02-18
2025-Q1,CY,DE7,35_44,M,INA,358550,28987,104636,7.48,1.93,4.99,78.74,22.32,32.18,19.3,13.33,11.24,lfsi_emp_q,2024-08-01
2025-Q2,GR,IE8,25_34,X,UNE,1735439,259318,898711,13.0,5.71,10.11,68.94,23.27,10.23,17.72,20.41,20.0,lfsa_egan_q,2025-08-19
2025-Q3,MT,SE59,15_24,F,EMP,284534,34736,233100,10.88,4.39,16.86,57.8,28.43,33.95,23.35,12.39,13.9,lfsi_part_q,2025-09-06
2025-Q4,ES,HR51,65_74,M,INA,105912,4435,380958,4.02,1.16,2.5,22.46,42.73,20.81,14.95,15.32,12.46,lfsi_unemp_q,2024-11-08
2026-Q1,CZ,PT53,55_64,X,UNE,144400,15919,123331,9.93,5.19,9.68,56.52,32.41,7.51,14.16,9.32,4.6,lfsi_emp_q,2025-05-11
2026-Q2,HU,PT125,45_54,F,EMP,1994510,61685,657537,3.0,1.41,1.87,75.77,32.22,23.25,12.85,13.82,16.38,lfsa_egan_q,2024-05-10
2026-Q3,NL,IE80,35_44,M,INA,1780793,147724,686776,7.66,1.83,5.98,73.74,19.42,11.26,16.13,14.96,19.13,lfsi_part_q,2024-10-06
2026-Q4,SE,BG9,25_34,X,UNE,422947,29790,110789,6.58,1.2,6.3,80.34,38.84,32.18,13.51,10.3,22.65,lfsi_unemp_q,2025-03-14
2013-Q1,DK,HR844,15_24,F,EMP,72776,13268,170805,15.42,6.19,23.9,33.5,24.6,24.73,9.28,20.58,13.75,lfsi_emp_q,2025-02-17
2013-Q2,IE,DK95,65_74,M,INA,440758,21107,1768289,4.57,1.23,3.33,20.71,38.85,10.33,14.19,8.03,9.88,lfsa_egan_q,2025-03-17
2013-Q3,PL,EE6,55_64,X,UNE,1158092,65201,721220,5.33,1.94,3.86,62.91,21.39,25.22,15.95,17.74,16.93,lfsi_part_q,2025-07-01
2013-Q4,AT,BE6,45_54,F,EMP,1919128,181953,479465,8.66,1.65,8.99,81.42,20.7,15.26,20.22,8.45,13.46,lfsi_unemp_q,2025-09-12
2014-Q1,EE,NL89,35_44,M,INA,973051,49491,322023,4.84,1.47,3.05,76.05,39.38,32.49,9.23,16.65,21.19,lfsi_emp_q,2025-10-15
2014-Q2,IT,BE542,25_34,X,UNE,1856651,152711,508951,7.6,3.71,6.63,79.79,20.19,34.12,18.52,18.98,11.4,lfsa_egan_q,2024-05-13
2014-Q3,PT,BG76,15_24,F,EMP,134733,36792,155626,21.45,5.38,33.25,52.43,24.85,33.92,22.52,20.4,6.59,lfsi_part_q,2025-07-17
2014-Q4,BE,FI7,65_74,M,INA,158307,9657,428711,5.75,1.2,4.94,28.15,21.46,18.53,6.1,15.51,8.79,lfsi_unemp_q,2024-11-06
2015-Q1,FI,PL21,55_64,X,UNE,69696,7658,20401,9.9,2.82,7.5,79.13,19.68,30.27,14.14,7.63,6.55,lfsi_emp_q,2025-05-10
2015-Q2,LV,BE423,45_54,F,EMP,2634862,65344,495682,2.42,1.24,2.22,84.49,35.55,19.73,16.57,7.14,18.33,lfsa_egan_q,2024-02-05
2015-Q3,RO,PT607,35_44,M,INA,355400,14307,83531,3.87,1.19,3.46,81.57,25.47,32.23,22.93,9.93,11.86,lfsi_part_q,2025-08-18
