health_cap_reference_year,health_cap_country_iso2,health_cap_region_nuts_code,health_cap_hospital_type_code,health_cap_hospitals_count,health_cap_beds_total,health_cap_icu_beds_total,health_cap_doctors_per_1000,health_cap_nurses_per_1000,health_cap_gps_per_1000,health_cap_specialists_per_1000,health_cap_occupancy_rate_pct,health_cap_avg_length_of_stay_days,health_cap_surgery_wait_time_days_median,health_cap_emergency_wait_time_minutes_median,health_cap_staff_vacancy_rate_pct,health_cap_cross_border_patient_flows_count,health_cap_data_source,health_cap_revision_round,health_cap_data_extract_date
2014,SE,CY47,SPECIALISED,260,108137,4630,3.17,3.35,1.3,2.87,79.9,6.34,72.2,167.09,14.28,173952,OECD_HEALTH_STAT,FLASH,2024-12-17
2015,CY,CY57,UNIVERSITY,110,40285,2237,3.32,3.7,0.52,2.31,66.16,5.41,188.91,52.67,3.4,109811,EUROSTAT_HEALTH,FIRST,2025-08-25
2016,FR,AT167,GENERAL_ACUTE,83,4582,108,2.64,11.44,2.04,1.2,73.7,4.7,80.14,186.49,7.36,94835,NATIONAL_HEALTH_MINISTRY,SECOND,2025-08-10
2017,IT,LV779,DAY_SURGERY,161,8383,112,5.72,5.28,0.86,5.33,82.14,9.58,57.89,30.14,4.81,22771,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-08-25
2018,NL,HR5,PSYCHIATRIC,144,64714,2441,3.22,4.58,0.49,3.59,55.36,4.14,197.94,43.2,11.11,75951,OECD_HEALTH_STAT,FLASH,2024-09-30
2019,SI,LT52,REHABILITATION,5,670,49,2.97,4.47,1.13,2.19,75.69,11.13,140.74,132.06,3.15,4069,EUROSTAT_HEALTH,FIRST,2025-10-08
2020,BG,DE768,SPECIALISED,212,31573,1276,5.98,7.31,0.83,4.77,57.52,5.24,24.97,82.21,12.06,28334,NATIONAL_HEALTH_MINISTRY,SECOND,2025-03-01
2021,EE,LT7,UNIVERSITY,10,1822,52,3.82,13.44,1.33,2.27,82.06,10.79,54.61,85.84,2.67,49414,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-03-01
2022,HU,FR176,GENERAL_ACUTE,231,12660,186,5.83,11.9,1.46,3.85,65.42,8.68,30.23,104.63,15.64,71485,OECD_HEALTH_STAT,FLASH,2026-01-27
2023,LU,LU87,DAY_SURGERY,163,28092,1398,3.46,13.72,1.14,3.55,83.94,6.68,59.39,184.01,4.33,193610,EUROSTAT_HEALTH,FIRST,2025-05-20
2024,RO,SI714,PSYCHIATRIC,135,38261,1026,5.52,12.24,1.6,3.54,76.95,3.69,67.86,112.78,11.99,93071,NATIONAL_HEALTH_MINISTRY,SECOND,2025-05-24
2025,AT,CY995,REHABILITATION,26,6016,480,2.11,4.72,0.62,2.5,66.55,15.91,99.77,7.38,4.69,112792,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-09-20
2006,CZ,SI26,SPECIALISED,163,83915,4464,1.97,10.16,1.84,0.6,70.21,8.7,98.89,94.57,13.15,1259,OECD_HEALTH_STAT,FLASH,2025-08-10
2007,DE,CY29,UNIVERSITY,103,45655,2956,2.91,5.43,2.12,0.6,53.73,10.5,186.21,96.57,7.59,111149,EUROSTAT_HEALTH,FIRST,2024-12-10
2008,LV,FR223,GENERAL_ACUTE,267,27716,725,3.63,8.22,0.89,4.12,74.52,9.25,78.85,59.45,11.06,65082,NATIONAL_HEALTH_MINISTRY,SECOND,2025-03-14
2009,PL,DE88,DAY_SURGERY,40,5416,333,4.22,10.71,1.0,3.13,53.46,5.41,124.71,157.05,5.29,64781,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-09-19
2010,ES,HU654,PSYCHIATRIC,36,16219,293,5.52,13.06,0.97,5.43,68.8,5.44,97.91,80.46,13.46,30662,OECD_HEALTH_STAT,FLASH,2025-03-17
2011,HR,AT371,REHABILITATION,29,3752,222,3.02,3.47,1.25,2.3,62.1,11.74,65.66,174.13,10.33,52530,EUROSTAT_HEALTH,FIRST,2026-01-26
2012,FI,IE92,SPECIALISED,172,22450,1309,3.73,6.32,0.47,2.69,83.17,4.48,198.96,158.29,4.05,102943,NATIONAL_HEALTH_MINISTRY,SECOND,2026-02-06
2013,IE,IE61,UNIVERSITY,113,17001,453,3.72,6.44,1.52,2.19,81.98,12.07,97.33,169.07,11.09,8578,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-08-31
2014,MT,BG412,GENERAL_ACUTE,11,2382,180,5.44,12.51,1.59,3.57,80.63,5.31,208.25,27.67,13.62,73277,OECD_HEALTH_STAT,FLASH,2025-04-03
2015,SK,FI27,DAY_SURGERY,83,18114,1430,3.46,5.15,1.18,3.3,64.72,4.76,84.34,15.2,9.6,12933,EUROSTAT_HEALTH,FIRST,2024-09-20
2016,BE,BG68,PSYCHIATRIC,19,9420,197,4.71,4.46,1.75,2.43,70.62,4.8,92.0,161.5,2.81,165655,NATIONAL_HEALTH_MINISTRY,SECOND,2026-01-13
2017,DK,SE7,REHABILITATION,120,36327,941,2.39,6.14,0.91,2.39,73.52,16.15,138.81,150.87,9.5,145810,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-08-10
2018,GR,FR138,SPECIALISED,132,64816,2465,5.91,6.39,0.86,6.09,63.13,4.9,133.33,47.37,1.27,3934,OECD_HEALTH_STAT,FLASH,2025-12-28
2019,LT,GR18,UNIVERSITY,55,27670,2220,2.98,5.62,1.08,1.56,77.29,2.86,59.88,111.85,9.05,9948,EUROSTAT_HEALTH,FIRST,2025-06-29
2020,PT,GR74,GENERAL_ACUTE,22,3810,134,2.55,9.97,1.09,1.85,93.3,7.14,103.55,149.44,14.77,74504,NATIONAL_HEALTH_MINISTRY,SECOND,2025-11-20
2021,SE,CZ804,DAY_SURGERY,22,1282,66,5.7,3.55,1.15,4.19,67.28,11.4,43.47,116.82,11.04,21958,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-02-26
2022,CY,SE5,PSYCHIATRIC,135,40582,416,3.24,9.71,1.53,2.75,78.93,15.66,198.38,40.93,12.8,111467,OECD_HEALTH_STAT,FLASH,2026-01-25
2023,FR,HR525,REHABILITATION,132,25622,475,2.28,5.36,2.14,0.6,68.92,9.4,47.05,89.89,6.02,45269,EUROSTAT_HEALTH,FIRST,2025-08-20
2024,IT,IT74,SPECIALISED,73,12828,855,4.69,11.38,0.9,5.13,59.24,8.09,195.93,179.41,16.07,124338,NATIONAL_HEALTH_MINISTRY,SECOND,2025-04-13
2025,NL,HU89,UNIVERSITY,80,36915,1445,6.25,12.84,1.58,4.67,61.99,5.82,62.71,84.31,15.45,137280,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-09-29
2006,SI,LV74,GENERAL_ACUTE,185,16110,717,5.3,12.66,0.75,4.51,91.46,9.56,18.91,198.67,7.66,53076,OECD_HEALTH_STAT,FLASH,2025-03-15
2007,BG,PT709,DAY_SURGERY,57,7362,498,3.59,11.25,1.82,2.16,63.08,4.15,90.13,47.65,7.77,6220,EUROSTAT_HEALTH,FIRST,2026-01-12
2008,EE,DK939,PSYCHIATRIC,126,58814,3806,1.98,3.39,1.18,0.65,73.45,9.38,19.95,28.19,5.34,86227,NATIONAL_HEALTH_MINISTRY,SECOND,2024-10-14
2009,HU,SK146,REHABILITATION,24,1458,77,4.72,8.52,1.05,4.56,72.13,5.38,74.08,74.51,4.2,109333,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-12-12
2010,LU,LV478,SPECIALISED,229,52934,1502,1.89,11.41,1.5,0.6,64.87,5.32,139.08,124.47,8.6,129968,OECD_HEALTH_STAT,FLASH,2025-03-15
2011,RO,MT21,UNIVERSITY,63,21972,1104,5.98,4.65,1.16,4.94,78.05,9.33,186.85,70.43,14.29,53583,EUROSTAT_HEALTH,FIRST,2025-09-18
2012,AT,SE30,GENERAL_ACUTE,272,122926,9827,3.79,12.33,0.41,3.09,82.41,12.1,84.68,173.67,9.92,151225,NATIONAL_HEALTH_MINISTRY,SECOND,2025-10-06
2013,CZ,IE345,DAY_SURGERY,142,43980,1201,6.08,5.87,1.74,4.3,79.75,4.93,94.88,112.8,12.67,56710,HOSPITAL_ADMIN_REPORT,BENCHMARK,2026-02-16
2014,DE,NL928,PSYCHIATRIC,48,16826,1375,3.3,9.2,1.61,2.87,78.23,14.33,81.05,142.29,10.08,56613,OECD_HEALTH_STAT,FLASH,2026-01-26
2015,LV,DE172,REHABILITATION,62,20840,1493,3.06,6.07,0.5,3.89,65.68,5.98,127.17,16.5,9.36,62625,EUROSTAT_HEALTH,FIRST,2025-05-27
2016,PL,RO399,SPECIALISED,224,61346,2995,4.94,14.35,1.78,3.56,70.13,8.67,46.97,181.3,11.09,107729,NATIONAL_HEALTH_MINISTRY,SECOND,2025-08-12
2017,ES,LU92,UNIVERSITY,58,2964,119,1.82,3.2,1.44,0.95,81.22,7.27,98.06,15.3,10.31,75875,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-05-24
2018,HR,LU282,GENERAL_ACUTE,270,122064,7116,4.09,12.77,2.16,2.93,79.99,5.94,122.06,149.17,1.54,12888,OECD_HEALTH_STAT,FLASH,2025-05-21
2019,FI,LV628,DAY_SURGERY,150,66829,5398,4.17,9.21,0.78,4.5,72.49,4.29,56.66,125.14,12.7,100200,EUROSTAT_HEALTH,FIRST,2024-10-13
2020,IE,IE91,PSYCHIATRIC,145,74769,4694,4.29,3.72,1.4,3.34,58.18,12.48,77.25,142.56,2.44,5303,NATIONAL_HEALTH_MINISTRY,SECOND,2024-05-28
2021,MT,DK76,REHABILITATION,108,4824,340,6.2,5.05,0.68,6.19,70.16,8.36,45.34,81.5,15.42,96564,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-11-13
2022,SK,RO115,SPECIALISED,30,3427,144,4.65,3.57,2.01,3.24,74.74,2.77,96.47,57.09,18.01,90412,OECD_HEALTH_STAT,FLASH,2024-04-29
2023,BE,ES4,UNIVERSITY,98,50791,2173,3.55,8.47,2.16,1.82,64.9,9.7,179.25,73.86,9.19,169307,EUROSTAT_HEALTH,FIRST,2025-02-19
2024,DK,BE4,GENERAL_ACUTE,71,9827,509,2.1,3.35,2.13,0.66,86.61,7.68,113.46,167.29,21.24,53215,NATIONAL_HEALTH_MINISTRY,SECOND,2026-01-29
2025,GR,RO890,DAY_SURGERY,1,491,36,5.98,6.51,1.7,4.32,74.35,5.37,117.63,59.85,11.78,105000,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-08-07
2006,LT,HR82,PSYCHIATRIC,157,6409,207,2.55,13.32,1.26,1.65,67.91,12.42,85.32,145.89,12.67,123450,OECD_HEALTH_STAT,FLASH,2025-05-14
2007,PT,CZ819,REHABILITATION,158,55565,1833,4.72,7.46,1.85,3.35,84.58,4.47,54.19,38.72,1.05,36938,EUROSTAT_HEALTH,FIRST,2025-04-27
2008,SE,FR867,SPECIALISED,125,52489,3057,5.64,9.82,0.79,5.34,64.5,2.74,138.37,75.25,1.2,83494,NATIONAL_HEALTH_MINISTRY,SECOND,2025-10-28
2009,CY,PL60,UNIVERSITY,99,19791,1775,3.15,5.53,1.82,1.3,87.35,12.11,134.82,179.79,8.76,10372,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-12-31
2010,FR,LU28,GENERAL_ACUTE,118,40310,3308,2.39,6.67,1.27,2.17,78.52,11.92,23.75,29.83,12.38,213548,OECD_HEALTH_STAT,FLASH,2024-12-06
2011,IT,NL78,DAY_SURGERY,118,58551,2482,4.53,11.07,1.67,3.97,79.16,9.17,180.16,128.94,14.32,17453,EUROSTAT_HEALTH,FIRST,2025-03-26
2012,NL,RO99,PSYCHIATRIC,112,6440,121,4.7,10.39,0.99,4.63,85.64,12.32,14.33,60.44,5.89,28767,NATIONAL_HEALTH_MINISTRY,SECOND,2025-12-30
2013,SI,BG396,REHABILITATION,105,43969,3670,3.86,6.82,1.47,2.86,81.67,5.29,144.99,65.42,15.25,2994,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-02-25
2014,BG,LV344,SPECIALISED,264,53492,3919,6.28,7.98,0.58,6.08,86.48,4.1,116.85,36.5,1.18,90635,OECD_HEALTH_STAT,FLASH,2024-10-30
2015,EE,FI91,UNIVERSITY,161,54705,4315,4.3,10.03,1.23,3.43,81.72,3.53,181.27,126.66,5.02,6619,EUROSTAT_HEALTH,FIRST,2025-12-24
2016,HU,PL18,GENERAL_ACUTE,171,58838,2475,5.53,3.11,1.2,4.81,91.3,6.18,194.2,180.47,7.15,17152,NATIONAL_HEALTH_MINISTRY,SECOND,2026-02-12
2017,LU,SI319,DAY_SURGERY,94,32378,2592,3.92,12.66,0.53,3.11,72.4,9.39,96.56,160.2,12.22,91908,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-01-18
2018,RO,LV158,PSYCHIATRIC,62,24111,1825,3.14,8.99,0.4,4.12,81.09,14.39,58.8,144.02,12.29,38262,OECD_HEALTH_STAT,FLASH,2025-12-17
2019,AT,RO8,REHABILITATION,158,44090,2837,4.6,11.92,1.91,2.22,67.04,4.77,48.89,155.19,1.65,137505,EUROSTAT_HEALTH,FIRST,2024-07-25
2020,CZ,CZ357,SPECIALISED,107,32806,489,2.46,4.57,1.46,1.84,76.07,9.42,245.06,123.46,2.12,83594,NATIONAL_HEALTH_MINISTRY,SECOND,2024-06-27
2021,DE,FI399,UNIVERSITY,88,19546,1659,4.68,4.62,0.71,3.87,61.16,9.03,150.36,157.83,15.88,199452,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-09-04
2022,LV,SK553,GENERAL_ACUTE,223,90873,3595,4.9,5.41,0.66,5.54,78.82,3.03,57.92,50.25,15.86,36598,OECD_HEALTH_STAT,FLASH,2024-03-20
2023,PL,BE32,DAY_SURGERY,29,11564,165,4.02,12.83,1.64,2.11,85.56,10.16,123.23,171.3,10.28,106843,EUROSTAT_HEALTH,FIRST,2025-02-11
2024,ES,ES348,PSYCHIATRIC,69,30910,1000,3.48,11.55,1.29,1.69,55.75,5.44,127.92,156.0,5.42,110560,NATIONAL_HEALTH_MINISTRY,SECOND,2024-03-21
2025,HR,HR794,REHABILITATION,40,4183,199,1.98,10.7,1.08,2.14,84.42,3.83,24.27,163.31,17.71,8999,HOSPITAL_ADMIN_REPORT,BENCHMARK,2026-01-12
2006,FI,SK380,SPECIALISED,254,108364,1445,5.43,12.9,1.82,4.12,66.65,4.5,84.97,36.09,14.88,55240,OECD_HEALTH_STAT,FLASH,2025-09-12
2007,IE,LV802,UNIVERSITY,49,21593,1148,1.71,7.41,0.88,0.62,80.78,3.67,59.22,147.28,1.33,55776,EUROSTAT_HEALTH,FIRST,2024-08-21
2008,MT,PT55,GENERAL_ACUTE,121,45200,2158,3.09,3.61,2.16,1.03,76.02,9.6,99.77,42.88,12.79,103241,NATIONAL_HEALTH_MINISTRY,SECOND,2026-01-03
2009,SK,BE944,DAY_SURGERY,155,51899,2156,2.5,7.11,0.53,1.79,76.47,10.81,20.1,84.12,6.93,112837,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-01-31
2010,BE,ES39,PSYCHIATRIC,85,37852,2813,5.0,3.61,1.25,3.5,53.79,12.53,24.13,12.39,7.39,128850,OECD_HEALTH_STAT,FLASH,2024-07-13
2011,DK,HU192,REHABILITATION,137,47028,3882,5.21,13.56,1.28,3.48,71.99,16.36,52.74,119.87,13.61,152616,EUROSTAT_HEALTH,FIRST,2024-06-24
2012,GR,IT491,SPECIALISED,114,10938,117,2.66,8.63,1.68,1.03,71.33,5.01,188.24,118.59,3.29,49124,NATIONAL_HEALTH_MINISTRY,SECOND,2024-11-07
2013,LT,RO9,UNIVERSITY,84,43330,877,5.15,7.62,0.66,4.37,72.28,2.89,147.04,115.79,4.86,26581,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-06-04
2014,PT,HU8,GENERAL_ACUTE,222,36181,489,5.08,5.76,2.13,3.8,66.17,3.54,182.45,127.11,0.92,39596,OECD_HEALTH_STAT,FLASH,2025-01-30
2015,SE,DE9,DAY_SURGERY,62,2664,225,1.77,14.34,0.61,1.62,54.54,11.63,11.2,125.99,0.81,212220,EUROSTAT_HEALTH,FIRST,2024-03-22
2016,CY,AT47,PSYCHIATRIC,27,1196,79,3.34,6.19,0.86,2.19,54.09,5.72,96.06,11.86,1.35,15216,NATIONAL_HEALTH_MINISTRY,SECOND,2025-07-16
2017,FR,SI19,REHABILITATION,45,4407,256,2.04,7.06,1.71,0.6,78.27,8.84,75.35,75.43,2.89,145470,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-01-06
2018,IT,MT723,SPECIALISED,116,35192,1153,5.7,9.79,1.65,5.39,76.52,2.96,148.75,168.44,14.08,58155,OECD_HEALTH_STAT,FLASH,2024-04-07
2019,NL,FI678,UNIVERSITY,25,4926,219,6.01,12.43,0.97,4.75,58.55,9.79,151.03,142.34,8.68,62848,EUROSTAT_HEALTH,FIRST,2026-02-01
2020,SI,MT150,GENERAL_ACUTE,32,10717,719,3.53,12.76,1.3,3.23,76.61,5.35,223.77,113.67,20.67,77754,NATIONAL_HEALTH_MINISTRY,SECOND,2025-09-03
2021,BG,ES9,DAY_SURGERY,47,4528,272,5.56,11.69,0.79,4.96,62.65,11.81,52.47,175.94,6.53,30085,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-03-06
2022,EE,CY174,PSYCHIATRIC,61,16414,271,3.05,6.21,1.2,1.89,55.16,15.45,156.89,54.99,18.87,61797,OECD_HEALTH_STAT,FLASH,2024-03-21
2023,HU,IT681,REHABILITATION,102,9167,698,4.13,13.39,0.56,3.51,67.77,8.51,136.03,12.59,10.04,70411,EUROSTAT_HEALTH,FIRST,2024-04-10
2024,LU,HR58,SPECIALISED,74,21820,1702,1.85,5.16,1.48,0.84,59.12,3.04,28.41,182.79,1.08,143429,NATIONAL_HEALTH_MINISTRY,SECOND,2024-11-14
2025,RO,PL115,UNIVERSITY,133,37758,825,5.12,4.55,1.6,4.77,65.92,12.3,25.83,49.6,13.6,49665,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-05-22
2006,AT,LT63,GENERAL_ACUTE,117,23040,823,5.1,11.57,1.02,5.04,77.06,6.77,63.36,12.91,1.48,49185,OECD_HEALTH_STAT,FLASH,2024-10-07
2007,CZ,FI9,DAY_SURGERY,142,11124,684,5.59,3.76,1.79,5.17,76.73,5.61,207.98,36.21,2.54,23284,EUROSTAT_HEALTH,FIRST,2024-06-01
2008,DE,SK601,PSYCHIATRIC,86,36471,2801,3.67,12.37,1.49,2.7,77.35,8.01,78.19,85.25,8.54,170530,NATIONAL_HEALTH_MINISTRY,SECOND,2025-02-08
2009,LV,BG17,REHABILITATION,89,10509,825,1.72,14.28,0.69,0.91,83.21,8.81,90.66,161.79,2.55,6580,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-02-15
2010,PL,GR4,SPECIALISED,67,24552,1643,5.33,9.72,1.66,5.01,71.06,6.72,25.42,59.48,13.54,71686,OECD_HEALTH_STAT,FLASH,2025-10-21
2011,ES,MT83,UNIVERSITY,70,12652,628,5.01,11.82,2.12,2.62,71.53,9.52,107.63,8.98,7.32,9299,EUROSTAT_HEALTH,FIRST,2024-01-28
2012,HR,SK99,GENERAL_ACUTE,105,4507,294,2.5,6.82,2.01,0.99,69.04,3.7,205.0,83.92,14.82,19423,NATIONAL_HEALTH_MINISTRY,SECOND,2024-02-15
2013,FI,SK466,DAY_SURGERY,45,6980,86,5.72,13.76,1.07,5.74,63.13,4.19,17.34,95.09,8.8,79807,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-01-16
2014,IE,SI75,PSYCHIATRIC,73,16202,481,1.81,7.14,1.01,0.9,55.89,3.76,89.16,164.35,13.95,79239,OECD_HEALTH_STAT,FLASH,2024-01-03
2015,MT,DE11,REHABILITATION,3,289,16,4.24,10.58,1.93,1.74,52.47,5.81,92.31,108.04,12.2,87655,EUROSTAT_HEALTH,FIRST,2025-05-21
2016,SK,PT32,SPECIALISED,121,10639,834,4.28,9.08,1.09,4.46,67.16,3.13,53.7,153.01,2.11,106133,NATIONAL_HEALTH_MINISTRY,SECOND,2024-04-19
2017,BE,BG1,UNIVERSITY,151,25235,2070,5.26,10.23,1.16,3.88,62.53,4.29,116.08,91.09,13.43,18699,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-09-07
2018,DK,FI72,GENERAL_ACUTE,229,60738,2931,2.72,7.78,0.48,3.06,65.66,11.97,132.49,72.04,10.02,110146,OECD_HEALTH_STAT,FLASH,2025-08-03
2019,GR,HU2,DAY_SURGERY,119,43969,1638,2.55,13.72,0.49,2.41,85.64,3.74,189.89,187.52,14.77,6954,EUROSTAT_HEALTH,FIRST,2025-11-26
2020,LT,MT1,PSYCHIATRIC,74,14300,1094,2.13,7.09,0.89,2.18,54.73,11.97,107.84,73.49,1.84,91772,NATIONAL_HEALTH_MINISTRY,SECOND,2025-08-16
2021,PT,RO54,REHABILITATION,64,31564,2309,1.83,9.32,1.58,0.6,77.48,10.47,38.09,112.23,10.46,79092,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-03-02
2022,SE,ES51,SPECIALISED,47,7478,145,6.4,8.89,0.72,5.91,85.79,5.36,50.78,221.54,22.29,19030,OECD_HEALTH_STAT,FLASH,2025-05-11
2023,CY,EE435,UNIVERSITY,131,23083,601,3.83,10.29,0.73,3.61,87.35,9.23,158.29,76.14,17.28,66838,EUROSTAT_HEALTH,FIRST,2026-01-22
2024,FR,FI6,GENERAL_ACUTE,221,33279,1597,2.13,10.15,1.25,2.04,82.26,7.66,58.41,120.31,19.35,198966,NATIONAL_HEALTH_MINISTRY,SECOND,2025-03-22
2025,IT,FI1,DAY_SURGERY,151,55598,1471,3.95,9.25,2.15,2.5,83.77,4.01,92.29,68.39,5.01,62141,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-12-24
2006,NL,LV739,PSYCHIATRIC,54,15880,408,2.5,9.22,1.06,2.18,58.79,10.25,177.38,67.38,10.58,151594,OECD_HEALTH_STAT,FLASH,2026-02-13
2007,SI,AT946,REHABILITATION,136,55184,1438,4.2,14.37,1.4,3.24,87.23,8.9,84.37,224.4,8.58,86941,EUROSTAT_HEALTH,FIRST,2024-02-07
2008,BG,ES72,SPECIALISED,56,18536,393,4.95,6.54,0.58,4.64,83.38,11.4,139.36,173.99,14.51,123252,NATIONAL_HEALTH_MINISTRY,SECOND,2024-09-02
2009,EE,LT106,UNIVERSITY,123,48283,3436,5.49,3.08,1.37,5.01,85.59,9.46,200.97,120.72,13.56,56539,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-10-01
2010,HU,LT586,GENERAL_ACUTE,200,60432,3566,4.88,13.82,1.15,4.17,96.46,8.19,63.17,112.45,5.66,37588,OECD_HEALTH_STAT,FLASH,2024-04-09
2011,LU,ES16,DAY_SURGERY,153,42001,865,4.99,4.56,1.47,3.62,70.68,7.92,90.27,101.65,11.07,42446,EUROSTAT_HEALTH,FIRST,2025-03-23
2012,RO,SI51,PSYCHIATRIC,66,9935,395,4.44,13.86,2.0,3.28,86.19,11.25,54.23,35.68,13.47,101784,NATIONAL_HEALTH_MINISTRY,SECOND,2024-04-02
2013,AT,HR62,REHABILITATION,75,31187,1964,4.35,11.55,1.95,3.06,64.48,14.51,117.19,90.7,2.05,56296,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-08-18
2014,CZ,LV6,SPECIALISED,24,7236,160,4.51,5.1,1.0,3.65,86.43,7.79,126.68,188.87,3.58,83853,OECD_HEALTH_STAT,FLASH,2024-05-24
2015,DE,FI81,UNIVERSITY,19,4432,79,5.69,9.9,1.56,4.04,53.44,7.0,166.91,88.26,2.36,151767,EUROSTAT_HEALTH,FIRST,2025-09-08
2016,LV,PT487,GENERAL_ACUTE,5,539,7,3.97,5.46,0.88,3.43,82.38,5.85,62.18,8.16,14.45,54658,NATIONAL_HEALTH_MINISTRY,SECOND,2025-06-09
2017,PL,DE94,DAY_SURGERY,150,35999,1679,6.3,12.05,0.9,4.8,82.98,6.83,46.53,11.06,10.55,62796,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-11-20
2018,ES,GR44,PSYCHIATRIC,143,31212,1473,2.82,12.6,0.72,1.53,59.54,9.34,129.26,164.07,10.24,57084,OECD_HEALTH_STAT,FLASH,2025-05-23
2019,HR,AT611,REHABILITATION,159,31043,2427,3.71,13.58,0.53,2.62,56.63,4.21,122.84,183.97,6.3,115340,EUROSTAT_HEALTH,FIRST,2025-09-21
2020,FI,BG4,SPECIALISED,264,88476,6970,4.69,4.2,1.2,4.04,82.14,12.23,131.82,45.45,17.88,61461,NATIONAL_HEALTH_MINISTRY,SECOND,2024-08-13
2021,IE,BG3,UNIVERSITY,154,21131,1825,3.55,9.03,0.47,2.95,69.26,9.4,74.01,136.04,8.63,115768,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-12-25
2022,MT,CY1,GENERAL_ACUTE,238,45937,3977,4.76,9.73,1.86,3.6,73.51,5.04,36.69,52.71,7.81,2086,OECD_HEALTH_STAT,FLASH,2026-02-05
2023,SK,SE43,DAY_SURGERY,30,5140,276,5.36,12.7,1.3,3.52,85.97,7.71,203.35,142.35,2.86,73435,EUROSTAT_HEALTH,FIRST,2025-01-14
2024,BE,SK34,PSYCHIATRIC,27,6989,104,2.39,13.88,0.86,1.58,67.81,5.82,133.6,114.44,15.94,148328,NATIONAL_HEALTH_MINISTRY,SECOND,2025-10-17
2025,DK,NL80,REHABILITATION,164,55421,980,5.48,11.99,1.53,5.15,66.14,9.59,6.85,164.76,6.53,172658,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-09-09
2006,GR,FI935,SPECIALISED,267,112911,3293,5.98,10.53,1.02,5.82,87.23,4.25,86.03,239.99,3.76,29611,OECD_HEALTH_STAT,FLASH,2024-12-14
2007,LT,PT27,UNIVERSITY,47,5954,450,3.69,12.07,1.38,3.34,85.22,11.56,81.94,117.42,8.26,95100,EUROSTAT_HEALTH,FIRST,2024-10-26
2008,PT,GR47,GENERAL_ACUTE,38,17031,1358,4.72,5.97,0.88,3.94,78.48,9.36,60.66,22.09,8.75,19058,NATIONAL_HEALTH_MINISTRY,SECOND,2024-09-18
2009,SE,MT148,DAY_SURGERY,107,38123,2562,3.21,13.33,1.42,2.14,81.01,6.91,127.46,62.85,13.22,65010,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-02-14
2010,CY,CY87,PSYCHIATRIC,95,15940,223,3.25,13.58,2.02,2.48,63.25,9.93,49.55,67.3,2.48,37139,OECD_HEALTH_STAT,FLASH,2025-01-10
2011,FR,NL87,REHABILITATION,27,4068,290,2.03,10.56,0.87,2.34,86.28,16.6,93.27,214.68,14.82,153571,EUROSTAT_HEALTH,FIRST,2025-10-10
2012,IT,BG628,SPECIALISED,153,40579,2500,1.77,3.78,1.79,0.6,77.09,6.19,124.82,63.2,1.49,17884,NATIONAL_HEALTH_MINISTRY,SECOND,2025-08-04
2013,NL,PL29,UNIVERSITY,88,16087,1400,2.99,9.89,1.15,1.7,57.5,6.25,186.03,150.84,7.78,125946,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-12-21
2014,SI,ES148,GENERAL_ACUTE,222,101027,3302,6.17,5.3,1.68,5.46,61.11,3.6,60.15,71.02,13.29,30442,OECD_HEALTH_STAT,FLASH,2024-05-20
2015,BG,SK7,DAY_SURGERY,115,36753,2649,4.13,4.95,2.18,2.93,72.94,7.79,34.93,147.03,4.2,79636,EUROSTAT_HEALTH,FIRST,2025-07-05
2016,EE,AT515,PSYCHIATRIC,141,24448,876,4.73,6.56,1.39,4.53,70.66,8.86,135.44,111.51,12.98,52203,NATIONAL_HEALTH_MINISTRY,SECOND,2024-07-23
