labor_wage_wage_survey_year,labor_wage_occupation_soc_6,labor_wage_industry_naics_3,labor_wage_pay_period_type,labor_wage_wage_p10,labor_wage_wage_p25,labor_wage_wage_median,labor_wage_wage_p75,labor_wage_wage_p90,labor_wage_annualized_wage_mean,labor_wage_overtime_share_pct,labor_wage_bonus_share_pct,labor_wage_benefits_cost_share_pct,labor_wage_union_coverage_rate_pct,labor_wage_gender_pay_gap_pct,labor_wage_race_pay_gap_pct,labor_wage_education_premium_pct,labor_wage_experience_premium_pct,labor_wage_cost_adjusted_wage_index,labor_wage_sampling_error_margin
2019,361431,518,MONTHLY,29.42,37.97,46.13,54.04,64.1,56150,7.22,9.75,16.22,5.13,9.13,23.4,40.6,10.01,91.05,6.04
2023,371432,111,WEEKLY,18.57,22.78,26.81,40.65,63.93,77161,10.17,4.0,33.13,17.36,-3.22,10.32,44.63,9.14,125.1,4.9
2018,381433,112,BIWEEKLY,31.94,41.41,49.86,54.67,65.66,88822,9.42,15.38,23.66,13.79,-2.54,21.27,54.71,1.63,79.01,3.78
2016,391434,517,BIWEEKLY,23.56,28.22,29.8,49.31,51.9,174223,9.53,8.21,32.39,18.99,15.19,0.96,47.13,28.2,109.62,1.98
2017,401435,236,BIWEEKLY,31.71,39.96,48.31,51.44,54.49,145443,9.65,8.55,21.1,32.13,-6.47,2.21,17.29,14.48,91.08,2.75
2024,411436,445,WEEKLY,15.39,25.16,35.18,54.31,65.49,40698,5.61,7.58,10.8,38.42,5.36,4.67,38.69,3.69,110.08,5.46
2024,421437,522,ANNUAL,10.37,19.31,25.11,29.7,43.5,161101,4.52,10.76,11.97,20.74,-5.83,8.14,14.17,11.47,83.54,6.29
2023,431438,311,MONTHLY,28.14,32.26,40.2,46.55,58.0,112861,1.38,3.64,30.34,19.41,-6.97,18.8,52.0,0.03,85.51,0.7
2023,441439,484,BIWEEKLY,27.53,28.68,32.89,45.16,67.76,152118,10.04,10.96,19.53,11.21,3.05,16.99,33.75,32.96,89.18,2.99
2015,451440,481,ANNUAL,28.59,37.67,49.2,66.15,83.65,55521,10.68,13.66,24.4,40.16,9.97,19.85,14.67,30.13,81.83,4.54
2022,461441,621,HOURLY,30.52,38.33,45.28,59.16,65.46,89442,5.78,7.91,15.23,38.98,4.26,5.26,14.04,25.9,138.38,2.73
2018,471442,561,BIWEEKLY,34.94,39.38,49.78,54.17,66.47,166200,6.1,3.16,34.09,17.47,1.72,4.33,41.54,17.27,76.48,3.51
2023,481443,517,HOURLY,9.15,12.24,14.64,34.25,52.51,101664,6.47,3.22,30.15,2.93,-6.94,31.79,16.25,0.07,101.04,6.04
2017,491444,339,ANNUAL,13.47,19.21,33.1,40.0,53.19,67298,7.73,5.13,11.29,27.82,-8.4,-8.37,47.84,4.08,127.33,2.94
2019,501445,311,ANNUAL,34.52,37.15,51.39,69.53,76.01,189621,10.78,13.96,21.68,17.87,-5.21,30.62,2.81,22.75,127.0,3.33
2025,511446,481,MONTHLY,25.86,33.76,39.12,45.38,52.79,168294,8.5,3.59,24.45,38.51,-0.04,18.5,12.72,35.68,132.93,1.46
2022,521447,424,WEEKLY,29.41,32.0,46.58,62.98,80.29,154587,7.17,7.32,10.94,17.89,20.31,-1.34,26.78,35.37,77.0,5.4
2023,531448,711,BIWEEKLY,26.56,34.55,44.45,49.48,52.44,183437,9.5,8.77,26.85,39.64,-1.4,11.66,25.63,34.03,86.27,3.16
2016,541449,484,HOURLY,13.39,15.82,16.94,20.08,22.57,202644,11.89,15.46,26.91,31.95,2.96,14.88,1.32,27.09,78.47,2.12
2015,101450,315,MONTHLY,26.17,32.32,47.28,52.14,70.48,46528,6.58,17.16,17.87,10.01,24.35,30.42,21.63,26.56,125.52,2.05
2023,111451,517,BIWEEKLY,31.85,41.34,54.7,60.43,70.27,149025,10.73,8.9,33.1,29.46,5.85,30.27,43.15,34.53,116.85,4.93
2021,121452,311,MONTHLY,28.48,36.83,43.33,58.43,80.77,147919,3.97,3.28,32.01,21.69,-5.09,-0.64,3.6,14.26,111.79,1.58
2023,131453,314,ANNUAL,13.56,22.64,34.88,41.8,66.06,129021,5.43,16.99,23.99,44.58,22.73,28.52,49.92,6.77,102.24,3.82
2017,141454,314,WEEKLY,11.2,14.0,26.11,30.44,50.22,73016,6.66,3.5,31.63,39.94,22.88,-4.38,33.3,20.34,93.02,3.68
2024,151455,236,MONTHLY,33.49,38.61,51.09,53.25,77.5,101963,5.32,5.16,15.15,29.08,11.13,27.43,45.74,5.52,93.84,2.44
2025,161456,335,BIWEEKLY,21.29,28.7,42.0,45.36,57.97,193076,5.25,2.27,11.44,21.97,25.9,-6.16,53.95,4.27,134.59,5.43
2021,171457,311,WEEKLY,21.61,28.11,40.85,59.07,76.47,107991,2.67,3.45,31.09,6.44,-4.67,1.37,5.72,32.5,89.73,1.73
2019,181458,518,WEEKLY,10.95,15.85,27.31,32.07,35.34,189248,3.39,3.59,14.49,42.39,5.86,-11.78,53.9,29.84,117.69,4.11
2023,191459,561,ANNUAL,28.61,30.09,41.37,45.4,54.76,167544,0.8,3.63,25.19,31.82,-0.23,26.51,30.53,6.08,101.56,2.31
2020,201460,424,ANNUAL,30.81,40.38,54.42,66.68,73.76,178053,7.79,0.29,10.49,11.04,20.32,8.01,34.4,34.08,119.9,1.46
2024,211461,311,HOURLY,17.02,25.61,30.02,38.15,42.47,139476,5.31,14.87,17.97,21.93,21.72,9.52,21.93,5.73,71.43,3.08
2015,221462,452,HOURLY,13.47,14.69,25.77,41.35,57.91,127590,6.31,3.07,20.08,35.25,15.15,31.93,10.58,10.87,98.81,3.21
2018,231463,492,HOURLY,19.94,22.97,34.54,38.28,56.0,117003,4.77,16.46,34.06,11.03,2.6,-0.56,43.26,23.09,98.05,5.51
2019,241464,811,BIWEEKLY,18.4,27.47,37.9,42.56,58.77,66137,8.55,1.83,10.2,26.36,25.62,-4.74,10.69,22.41,86.91,1.45
2020,251465,492,HOURLY,31.46,35.75,47.86,67.26,84.68,149627,4.51,12.4,13.41,1.2,-8.17,7.83,13.37,34.72,116.95,4.54
2020,261466,517,HOURLY,11.02,16.65,25.57,33.71,55.88,124155,1.3,6.53,13.61,26.12,-5.65,31.83,39.88,9.39,138.3,3.54
2018,271467,531,WEEKLY,9.97,19.38,26.24,29.69,38.38,190281,4.41,3.55,21.84,12.04,13.93,30.72,4.71,17.63,72.21,6.12
2019,281468,424,MONTHLY,9.63,14.73,16.25,31.55,41.92,191148,10.99,15.78,28.02,31.09,19.39,6.32,34.89,23.04,79.37,2.42
2024,291469,623,HOURLY,9.59,16.73,31.41,39.51,64.41,199494,7.87,0.4,17.9,17.08,18.3,26.85,44.63,2.43,103.91,3.52
2021,301470,315,WEEKLY,29.77,38.68,43.02,48.27,66.99,119356,10.15,11.5,19.98,30.86,16.42,22.51,40.04,19.6,91.6,3.48
2020,311471,111,BIWEEKLY,9.46,16.66,31.41,41.92,49.33,91905,3.0,6.79,23.41,1.58,15.5,10.41,3.06,28.44,105.23,2.56
2019,321472,811,BIWEEKLY,33.33,35.82,44.63,53.22,66.3,113831,2.88,15.25,28.5,24.44,26.01,-3.44,9.58,13.11,89.16,4.93
2020,331473,327,ANNUAL,21.23,23.27,35.2,38.1,53.98,138781,5.14,11.41,22.12,15.55,18.03,19.55,6.91,16.3,98.36,2.83
2025,341474,312,HOURLY,15.28,18.43,22.93,34.08,46.99,185653,3.44,11.99,19.0,20.86,7.49,20.0,16.72,19.58,99.6,5.59
2018,351475,331,WEEKLY,34.56,38.75,46.74,54.49,68.26,126892,4.67,0.48,33.25,9.83,26.18,27.15,39.78,8.74,113.47,2.42
2020,361476,424,BIWEEKLY,31.13,38.33,41.83,61.53,81.31,195220,8.75,0.57,14.66,6.72,25.69,-2.74,43.0,24.11,93.58,2.21
2021,371477,313,WEEKLY,29.79,34.25,46.27,64.96,85.85,193900,11.71,15.0,16.34,22.66,23.28,30.82,1.27,29.26,79.55,1.93
2017,381478,441,HOURLY,17.48,21.32,23.46,31.66,37.83,197253,9.38,2.43,30.67,42.83,-3.14,0.94,27.93,26.98,73.63,3.76
2024,391479,531,MONTHLY,10.55,17.22,18.89,32.54,40.29,107994,9.24,4.04,20.89,41.45,24.29,21.41,0.58,36.02,121.82,3.79
2017,401480,325,WEEKLY,27.12,34.61,45.04,61.37,77.74,166437,6.77,15.57,29.33,14.58,24.43,8.93,46.82,15.28,80.2,3.54
2016,411481,332,MONTHLY,21.35,29.66,36.65,45.55,65.18,86767,10.63,4.17,12.44,25.47,20.72,-0.85,33.52,25.19,130.74,3.65
2023,421482,211,BIWEEKLY,15.57,18.57,29.89,32.18,41.5,121812,9.69,6.35,33.88,22.61,10.78,2.94,28.02,15.76,129.67,3.99
2020,431483,333,MONTHLY,11.35,20.67,22.7,37.53,55.09,30977,1.13,17.81,26.91,39.98,-1.2,12.18,12.48,28.88,89.76,6.39
2022,441484,811,ANNUAL,30.08,31.98,43.26,47.09,65.6,149224,1.2,7.69,27.18,18.96,8.85,27.97,52.24,5.56,113.26,0.46
2021,451485,331,BIWEEKLY,31.03,39.74,45.27,48.66,62.13,78109,10.95,3.86,14.68,19.3,2.59,23.22,3.16,15.54,103.29,4.64
2019,461486,523,MONTHLY,31.61,38.95,43.28,51.68,66.54,41732,8.99,4.32,31.4,41.9,1.55,-5.04,43.48,33.73,102.2,4.6
2022,471487,331,HOURLY,22.95,31.14,34.19,42.14,47.59,172241,3.61,12.56,34.14,21.12,9.15,27.83,5.92,27.95,96.81,6.0
2019,481488,332,ANNUAL,28.27,34.68,42.19,58.36,62.36,125734,2.09,2.8,28.85,36.73,5.3,-0.98,0.5,26.38,79.9,0.54
2018,491489,237,MONTHLY,9.13,18.74,20.69,35.45,54.63,146889,8.37,6.67,13.07,11.48,-4.56,12.18,25.92,11.4,132.45,0.42
2016,501490,236,WEEKLY,32.24,40.83,48.93,59.89,80.8,189667,5.3,14.5,12.57,3.64,-7.44,20.2,38.75,1.83,75.72,4.94
2019,511491,326,ANNUAL,9.38,16.91,24.7,32.51,44.95,184387,7.48,4.02,8.7,41.1,23.4,0.95,7.7,28.47,125.5,3.59
2022,521492,517,MONTHLY,29.98,39.39,53.24,66.07,73.65,55658,7.69,13.7,8.35,41.29,26.52,23.94,39.14,38.62,95.19,0.75
2022,531493,314,WEEKLY,23.17,30.78,43.54,47.12,64.39,92008,3.73,15.74,32.0,42.82,12.43,27.03,2.02,5.82,134.94,2.73
2018,541494,445,ANNUAL,31.76,34.49,42.97,62.66,76.08,70605,1.85,17.16,28.85,17.09,-1.51,-8.71,24.31,29.62,110.84,3.88
2020,101495,333,BIWEEKLY,9.73,17.83,25.72,31.8,43.41,86431,5.21,0.99,19.18,4.61,9.13,3.66,35.2,1.08,138.98,3.28
2021,111496,112,MONTHLY,29.05,32.03,43.37,58.4,78.06,120917,5.2,1.3,18.85,35.12,9.15,12.65,7.67,24.78,133.72,5.47
2025,121497,323,WEEKLY,20.34,29.15,31.07,39.57,59.04,33442,11.75,9.11,27.29,43.71,22.0,30.8,12.94,38.13,84.17,4.77
2025,131498,339,MONTHLY,14.22,15.33,20.38,37.63,53.48,167527,3.51,5.47,16.78,33.84,21.09,28.27,48.23,32.0,137.15,3.18
2022,141499,488,MONTHLY,16.92,22.58,37.06,54.32,70.24,53732,11.45,5.92,11.27,44.54,5.48,-4.84,29.17,37.35,124.82,5.7
2018,151500,333,ANNUAL,16.46,20.51,33.2,42.76,55.95,63643,6.01,6.07,8.02,2.41,15.05,19.95,26.49,27.35,121.36,5.26
2016,161501,211,BIWEEKLY,10.97,14.25,20.07,30.58,33.63,70384,7.04,3.93,24.82,1.36,-9.04,6.76,45.57,35.67,122.73,0.71
2018,171502,327,WEEKLY,10.1,13.14,19.59,32.61,42.0,97477,5.21,14.67,26.41,2.63,0.52,2.69,26.71,36.09,90.4,1.87
2020,181503,517,MONTHLY,14.91,18.97,33.35,50.16,70.87,86886,10.8,16.61,19.95,10.71,-8.66,-1.69,5.0,17.85,119.51,3.23
2023,191504,921,WEEKLY,14.86,20.9,34.54,41.48,55.42,139758,11.02,7.82,18.39,23.81,11.63,11.86,30.07,39.73,75.42,2.78
2020,201505,811,MONTHLY,29.59,35.43,41.38,43.48,56.37,62940,6.65,11.52,12.68,34.5,-4.59,-8.52,45.28,13.96,104.98,5.19
2019,211506,236,MONTHLY,14.49,16.94,20.23,23.68,44.88,133253,6.0,12.33,29.2,40.53,12.73,10.62,26.76,27.17,74.7,1.01
2019,221507,622,BIWEEKLY,33.99,42.07,52.36,70.63,93.52,151556,11.48,13.74,21.63,1.28,7.43,1.62,37.14,1.26,113.81,5.31
2016,231508,315,WEEKLY,9.91,15.72,20.88,36.43,47.26,136891,3.07,14.04,21.01,41.59,9.54,-1.31,25.25,21.2,121.99,4.39
2018,241509,322,BIWEEKLY,21.58,25.81,33.42,48.62,63.65,118229,0.46,15.26,10.47,29.43,25.45,17.03,54.57,12.49,103.84,3.7
2021,251510,524,MONTHLY,23.61,26.29,38.21,55.32,62.19,108116,7.67,6.83,13.44,6.43,-3.45,-9.88,49.27,5.33,120.74,4.36
2017,261511,424,WEEKLY,19.73,28.47,34.68,45.3,49.73,126363,5.32,0.84,21.13,25.62,10.56,29.42,5.7,24.81,70.78,4.33
2018,271512,481,WEEKLY,31.76,38.86,52.68,72.55,75.89,198215,4.74,13.86,32.33,41.17,16.61,-7.16,27.21,24.73,129.87,1.54
2023,281513,921,MONTHLY,19.36,23.2,35.53,46.7,55.09,203798,8.22,0.39,9.75,33.5,-0.78,19.17,1.55,17.82,80.3,2.65
2015,291514,316,BIWEEKLY,29.58,31.25,32.87,43.28,48.93,105549,10.65,6.26,31.87,13.32,-6.05,-1.77,17.39,16.64,102.61,3.73
2018,301515,335,MONTHLY,13.3,18.29,29.11,40.64,51.08,56200,2.61,13.59,32.29,6.12,11.07,4.75,52.2,0.79,127.78,3.99
2015,311516,238,ANNUAL,22.6,32.48,36.03,49.81,63.94,209083,2.58,17.96,8.21,19.0,11.55,1.16,15.18,15.03,109.33,6.08
2022,321517,331,MONTHLY,26.08,31.13,34.65,50.79,57.22,186917,4.11,10.84,24.16,25.45,-9.18,3.14,0.15,2.39,106.06,3.76
2025,331518,523,HOURLY,25.71,35.11,43.39,62.46,65.97,202561,0.47,13.99,24.28,32.16,12.42,11.62,20.03,6.35,87.23,3.21
2021,341519,523,WEEKLY,10.19,18.32,20.17,23.82,36.24,209840,4.95,13.38,8.39,18.36,-5.02,16.87,49.86,22.4,112.51,2.12
2021,351520,322,BIWEEKLY,29.06,38.72,42.36,58.43,71.33,180157,2.17,7.75,13.51,9.64,12.63,4.86,0.06,38.5,123.79,0.98
2019,361521,811,MONTHLY,17.56,23.73,30.11,39.84,63.75,205088,2.68,7.19,30.95,25.12,2.04,28.18,18.55,4.15,132.84,2.04
2024,371522,522,BIWEEKLY,29.6,34.8,48.17,62.69,65.37,177190,8.95,5.56,30.09,13.17,6.19,0.66,48.89,25.99,98.14,1.15
2022,381523,523,HOURLY,26.1,28.05,40.2,45.68,52.3,109855,6.32,17.54,19.27,41.55,14.23,17.38,22.01,13.12,91.41,1.24
2020,391524,339,WEEKLY,33.51,42.11,55.81,58.94,83.77,101269,4.95,17.69,15.37,43.24,-4.73,16.93,51.26,22.9,123.13,1.91
2024,401525,213,BIWEEKLY,16.55,19.75,28.74,44.01,51.2,41563,10.41,17.34,27.77,25.36,17.08,2.77,52.88,13.99,123.24,5.28
2015,411526,711,MONTHLY,33.01,37.7,47.21,51.73,71.92,179041,8.51,12.66,19.48,17.96,23.12,18.51,41.05,29.6,135.66,5.62
2024,421527,334,HOURLY,10.23,11.51,19.45,34.35,53.57,121093,9.43,16.29,21.55,27.97,27.18,22.29,47.2,18.71,97.62,5.43
2015,431528,238,WEEKLY,15.65,23.79,33.71,44.41,49.2,108055,7.4,10.2,22.05,1.55,0.86,31.82,21.73,18.55,78.35,2.12
2018,441529,425,ANNUAL,19.13,26.2,34.6,42.12,57.17,133535,0.93,2.14,17.95,32.0,-2.07,8.76,30.42,5.84,75.5,3.64
2015,451530,334,MONTHLY,28.84,30.41,31.54,33.61,44.31,208855,3.61,7.51,34.74,22.21,23.25,-11.24,48.39,18.92,109.92,5.24
2023,461531,331,WEEKLY,10.2,17.59,20.01,27.25,42.95,151606,6.49,1.26,29.14,38.06,-0.87,12.53,12.8,24.67,117.08,5.05
2025,471532,492,HOURLY,33.95,35.65,39.13,55.06,66.83,96875,3.54,16.6,26.06,36.97,9.85,-9.58,24.93,28.29,132.7,4.92
2021,481533,332,MONTHLY,29.47,35.54,40.72,59.01,79.32,186241,5.55,12.96,22.64,36.43,15.08,24.08,34.24,38.44,106.45,3.26
2025,491534,313,HOURLY,30.51,37.75,46.92,61.58,85.02,120851,2.9,2.26,33.32,43.44,-1.08,24.52,40.14,38.5,128.22,3.61
2024,501535,339,ANNUAL,18.74,24.54,34.35,53.38,71.38,178972,11.18,4.09,12.45,15.34,9.45,-8.4,53.63,6.75,121.77,2.9
2018,511536,315,ANNUAL,12.95,15.4,20.78,27.9,43.95,29933,9.25,11.57,12.37,3.16,26.77,-11.11,16.26,3.15,105.04,1.5
2018,521537,237,MONTHLY,9.78,17.24,29.67,46.88,56.01,136154,3.12,7.97,31.84,30.87,-2.5,13.68,7.29,4.18,133.03,5.56
2022,531538,811,BIWEEKLY,18.19,26.75,33.04,46.81,62.82,126382,11.91,13.71,10.97,43.05,0.84,9.79,3.68,35.68,81.09,2.81
2019,541539,311,HOURLY,12.62,17.58,19.94,27.87,29.98,179382,1.34,3.91,32.9,28.41,0.04,-10.55,9.03,31.05,128.86,4.83
2019,101540,311,BIWEEKLY,32.8,38.69,41.33,60.09,82.18,43466,7.41,15.28,8.3,20.79,-1.36,2.77,9.03,38.9,84.22,6.34
2019,111541,331,MONTHLY,14.09,20.85,35.5,42.51,57.81,39044,0.27,8.86,32.51,38.77,19.29,-7.76,13.21,13.18,112.49,3.09
2019,121542,611,HOURLY,12.55,21.07,24.98,38.21,57.6,149383,6.41,1.55,23.26,9.1,6.43,-2.84,29.18,21.59,80.41,1.02
2016,131543,811,BIWEEKLY,21.72,29.14,40.4,43.26,46.49,44762,4.71,15.33,16.14,40.27,18.06,10.73,28.16,27.57,118.53,5.44
2015,141544,524,WEEKLY,25.53,32.03,35.41,52.1,71.28,96599,7.49,2.45,29.08,39.87,4.37,11.45,41.27,37.8,74.19,2.15
2015,151545,445,ANNUAL,24.7,26.11,28.37,41.74,49.63,133952,0.51,13.52,28.03,22.28,25.19,23.28,33.84,17.92,91.68,3.23
2022,161546,335,ANNUAL,15.49,19.96,25.48,37.84,58.77,129314,5.0,9.33,19.75,27.54,-0.81,15.47,27.23,2.22,112.32,3.14
2016,171547,111,ANNUAL,31.52,33.07,39.3,47.21,55.05,89429,0.62,6.44,13.83,13.31,7.81,0.5,24.38,23.68,80.97,6.38
2017,181548,423,ANNUAL,23.0,24.82,33.06,36.35,54.11,35877,3.42,5.91,14.09,7.0,13.05,17.65,3.08,28.61,136.85,4.7
2024,191549,335,WEEKLY,16.04,25.1,34.99,50.18,73.7,206214,1.7,9.87,22.51,5.19,19.14,-4.57,0.1,30.9,73.09,2.21
2017,201550,921,BIWEEKLY,13.07,15.07,18.22,35.69,38.38,81754,11.55,4.99,23.26,39.34,21.87,30.22,50.86,29.35,87.84,5.04
2021,211551,921,BIWEEKLY,9.13,15.6,26.19,38.47,53.94,121292,9.74,7.65,14.71,35.72,12.35,22.41,27.48,39.79,72.02,4.65
2016,221552,518,WEEKLY,20.97,27.51,35.16,53.87,66.95,65162,1.61,1.37,31.75,29.59,27.16,-5.34,49.01,22.42,93.52,1.32
2023,231553,423,ANNUAL,11.85,16.45,29.98,45.94,65.19,172633,2.53,5.62,28.55,41.71,-5.91,-5.23,41.96,37.83,112.01,1.95
2017,241554,523,WEEKLY,31.17,33.41,46.27,62.09,71.86,125151,5.42,14.87,30.78,26.06,9.43,27.71,43.14,21.84,99.03,3.27
2018,251555,517,WEEKLY,25.12,26.89,29.57,42.42,56.15,186410,0.78,17.8,15.64,2.06,19.06,9.17,33.19,15.89,96.78,2.5
2025,261556,519,HOURLY,25.03,33.22,40.15,52.43,68.36,65506,8.94,8.11,13.73,8.11,21.05,-8.35,30.64,9.48,131.76,5.67
2020,271557,238,HOURLY,13.15,14.86,28.11,33.5,40.11,159456,10.9,8.6,19.32,17.57,26.17,17.44,42.7,15.51,112.31,4.14
2017,281558,324,WEEKLY,23.9,25.07,38.01,52.51,57.45,108900,10.55,2.57,29.37,29.32,1.66,20.95,27.78,37.58,74.28,5.39
2018,291559,112,BIWEEKLY,20.19,27.24,41.24,60.17,69.23,56268,5.25,4.24,21.52,39.05,20.97,-9.92,22.83,37.95,116.67,5.8
2020,301560,522,BIWEEKLY,11.9,21.31,25.43,38.61,41.6,121480,11.61,1.12,13.73,25.35,-1.29,14.42,5.68,29.27,118.6,2.62
2016,311561,336,ANNUAL,11.14,15.98,29.86,33.66,48.91,99520,10.44,14.71,22.18,29.73,12.24,-1.54,47.65,30.27,93.85,6.38
2024,321562,221,BIWEEKLY,33.25,34.92,48.87,64.54,68.5,62918,11.92,7.62,11.9,25.34,24.58,8.12,8.81,39.52,110.25,1.61
2021,331563,921,ANNUAL,14.11,17.21,27.2,43.72,64.87,28734,3.53,0.46,25.14,10.59,-3.02,18.52,6.69,24.85,85.79,6.03
2023,341564,313,MONTHLY,27.25,33.71,35.45,39.29,47.45,152311,2.8,0.01,13.72,6.72,8.37,-5.42,44.72,8.28,73.94,6.02
2022,351565,611,ANNUAL,12.17,19.43,27.25,29.66,48.87,158039,3.63,7.7,25.73,42.02,-9.24,5.61,25.07,12.59,98.86,3.2
2015,361566,517,MONTHLY,14.75,19.1,32.69,40.66,55.28,150325,11.18,6.3,27.41,39.89,-4.99,7.36,12.57,24.09,87.94,6.11
2023,371567,325,WEEKLY,25.45,30.58,41.93,45.45,62.37,108752,5.91,4.93,28.16,22.84,8.77,21.39,10.02,37.06,75.65,4.42
2017,381568,316,HOURLY,30.69,37.88,47.84,62.26,73.68,137157,3.77,15.87,10.41,14.31,5.72,25.71,36.96,11.24,108.08,5.06
2019,391569,523,WEEKLY,10.15,11.38,18.02,34.63,47.62,192361,6.42,2.94,16.88,17.21,11.37,12.2,11.91,27.56,72.75,5.02
2018,401570,441,ANNUAL,21.5,29.7,43.77,49.25,55.75,125666,9.25,0.38,21.32,39.33,-8.74,-5.53,47.25,38.98,123.96,0.49
2016,411571,531,BIWEEKLY,25.52,33.81,41.17,54.03,70.97,169863,3.19,12.31,20.74,22.88,-9.76,6.54,4.96,17.82,139.54,1.58
2023,421572,236,ANNUAL,16.67,22.39,27.59,38.95,63.48,123629,1.89,8.17,25.19,20.13,7.21,-3.1,6.0,20.46,70.29,3.4
2019,431573,424,ANNUAL,31.09,34.06,45.24,63.34,81.36,128424,8.99,1.95,30.42,29.54,24.71,27.63,53.96,4.08,88.94,2.5
2016,441574,331,MONTHLY,28.27,34.35,45.99,57.33,60.32,34483,10.98,7.94,9.85,19.1,-9.83,29.79,40.37,14.33,76.2,2.81
2022,451575,722,ANNUAL,10.96,17.27,20.51,31.79,51.12,169836,9.35,10.44,17.7,41.31,5.76,29.44,48.05,23.02,135.44,2.97
2018,461576,112,WEEKLY,31.43,36.73,45.23,63.32,79.05,174340,3.04,4.49,33.58,43.98,21.56,-10.22,16.25,17.86,105.15,2.99
2020,471577,488,MONTHLY,15.67,19.4,28.46,46.9,64.03,60987,8.04,8.63,31.8,18.91,-8.96,30.52,40.82,8.65,130.58,1.37
2022,481578,511,MONTHLY,14.15,19.11,22.03,24.67,40.88,175302,8.78,13.83,29.5,12.83,-3.14,4.88,6.03,21.02,115.52,1.93
2021,491579,711,WEEKLY,16.37,18.83,19.92,32.67,53.01,129147,11.54,2.62,25.21,12.0,24.95,27.66,35.35,21.43,95.64,2.89
2018,501580,312,HOURLY,31.43,36.58,39.62,51.4,55.95,64673,4.38,12.21,22.3,36.99,1.39,23.39,6.65,34.8,138.31,4.61
2022,511581,452,WEEKLY,30.98,32.62,37.54,41.4,57.83,170056,0.06,5.19,19.73,3.97,16.87,8.65,39.96,31.14,138.96,6.17
2022,521582,561,MONTHLY,21.04,25.06,32.2,40.86,58.92,71010,1.61,4.66,18.03,36.35,3.57,22.68,20.52,16.99,120.35,2.51
2024,531583,488,HOURLY,12.52,21.32,24.12,43.3,52.49,85820,8.41,14.84,30.94,4.97,-4.52,30.37,29.57,27.82,93.2,4.28
2019,541584,111,HOURLY,29.13,33.67,47.56,53.86,76.87,192440,0.77,4.4,20.9,0.32,13.71,1.23,42.29,38.88,130.14,3.23
2016,101585,492,ANNUAL,12.47,18.77,29.21,33.95,39.3,105068,8.01,11.14,27.63,19.17,15.68,7.71,32.28,3.71,125.28,2.56
2022,111586,811,ANNUAL,26.45,33.53,39.61,53.39,66.44,187774,1.55,15.14,22.67,28.82,23.4,-9.23,51.44,19.59,137.96,3.54
2016,121587,441,HOURLY,9.57,12.16,15.54,23.12,27.56,137482,10.17,16.79,25.82,25.87,16.89,-6.91,25.46,29.75,127.93,2.28
2024,131588,332,HOURLY,31.22,40.21,42.72,59.4,81.83,96564,7.28,5.64,32.87,4.78,27.82,17.17,51.09,19.63,97.94,3.33
2022,141589,622,ANNUAL,26.29,30.9,34.25,43.1,63.4,116141,7.08,7.26,34.27,8.6,19.67,25.61,52.1,16.68,127.42,2.67
2025,151590,326,HOURLY,13.42,15.26,21.06,23.33,26.92,173705,3.17,7.17,23.23,17.24,13.27,11.99,54.84,32.59,81.08,1.64
2023,161591,323,MONTHLY,22.51,27.74,33.9,44.29,56.52,92935,10.29,6.8,17.1,41.01,0.05,-1.82,19.4,4.16,97.52,1.15
2017,171592,323,WEEKLY,14.94,22.99,25.42,34.41,47.76,50598,11.49,3.88,32.11,43.47,-8.39,-1.9,4.49,5.55,109.09,6.02
2022,181593,311,BIWEEKLY,27.89,37.47,47.39,66.02,85.61,84335,0.47,0.5,20.85,15.62,25.26,-6.99,52.57,25.33,91.53,5.74
2020,191594,332,ANNUAL,11.73,19.88,23.66,33.44,52.58,137560,3.79,13.73,8.9,37.65,20.87,31.76,20.88,9.42,94.31,1.84
2015,201595,337,MONTHLY,33.93,37.14,44.8,51.19,74.15,116648,3.5,15.2,24.85,22.83,21.77,4.07,48.11,39.41,118.73,4.82
2015,211596,315,ANNUAL,17.87,21.02,26.11,45.53,68.34,101153,6.75,9.31,22.64,43.13,25.38,21.72,4.62,15.39,109.37,1.34
2024,221597,314,WEEKLY,19.13,27.97,35.3,49.92,72.76,50898,3.6,0.84,20.44,8.89,-4.83,18.01,5.57,31.43,104.2,5.12
2020,231598,316,BIWEEKLY,9.58,18.13,33.04,47.23,55.44,123528,11.71,17.54,25.69,23.55,14.92,-5.5,17.8,34.37,104.26,2.42
2020,241599,339,BIWEEKLY,21.2,30.9,37.5,48.52,54.26,174682,2.12,17.71,14.33,43.87,13.32,13.8,9.08,2.51,136.08,6.11
2022,251600,488,BIWEEKLY,31.6,40.41,53.34,59.94,69.01,35729,6.6,17.59,32.91,25.76,14.48,2.31,23.95,16.89,136.32,5.83
2022,261601,921,WEEKLY,30.63,35.38,45.07,53.1,60.96,44124,8.3,5.26,17.04,37.64,-5.08,5.95,10.9,38.34,96.74,2.15
2024,271602,324,BIWEEKLY,28.44,35.83,45.16,63.79,79.28,99745,4.07,0.87,14.7,8.61,20.32,12.11,11.57,14.5,88.01,0.87
2023,281603,311,HOURLY,15.2,24.75,29.2,34.84,53.55,84500,1.85,5.53,15.79,22.72,22.59,-0.67,15.88,16.51,97.09,3.82
