gov_rrf_reference_year,gov_rrf_member_state_iso2,gov_rrf_plan_component_code,gov_rrf_measure_id,gov_rrf_milestone_id,gov_rrf_target_id,gov_rrf_milestone_due_date,gov_rrf_milestone_status_code,gov_rrf_payment_request_date,gov_rrf_payment_disbursed_eur,gov_rrf_total_allocation_eur,gov_rrf_green_share_pct,gov_rrf_digital_share_pct,gov_rrf_reforms_flag,gov_rrf_investments_flag,gov_rrf_procurement_linked_flag,gov_rrf_state_aid_compliance_flag,gov_rrf_audit_findings_count,gov_rrf_data_source,gov_rrf_data_extract_date
2020,CY,C09,CY_C09_M037,CY_C09_M037_MS37,CY_C09_M037_T27,2023-05-20,COMPLETED,2025-05-19,1897699794.71,41151689368.51,46.83,15.46,1,0,0,0,16,RRF_SCOREBOARD,2024-06-25
2021,FR,C10,FR_C10_M038,FR_C10_M038_MS38,FR_C10_M038_T28,2021-02-07,DELAYED,,143880450.78,3687930092.84,51.69,23.59,1,1,1,0,48,ECA_AUDIT_SUMMARY,2025-01-05
2022,IT,C11,IT_C11_M039,IT_C11_M039_MS39,IT_C11_M039_T29,2022-02-14,CANCELLED,2021-07-08,1378605558.32,29866239307.04,39.98,30.59,1,0,0,0,40,COMMISSION_IMPLEMENTING_DECISIONS,2025-05-21
2023,NL,C12,NL_C12_M040,NL_C12_M040_MS40,NL_C12_M040_T30,2023-10-19,REVISED,,695563850.44,17257241066.64,32.04,34.44,1,1,1,1,0,NATIONAL_RRF_REPORT,2024-09-24
2024,SI,C13,SI_C13_M041,SI_C13_M041_MS01,SI_C13_M041_T01,2024-11-19,PLANNED,,263743324.12,17742439561.26,23.76,31.43,1,1,1,1,53,RRF_SCOREBOARD,2024-09-29
2025,BG,C14,BG_C14_M042,BG_C14_M042_MS02,BG_C14_M042_T02,2025-01-31,IN_PROGRESS,,604655813.27,15484296724.68,54.08,32.8,1,0,0,1,24,ECA_AUDIT_SUMMARY,2025-05-14
2026,EE,C15,EE_C15_M043,EE_C15_M043_MS03,EE_C15_M043_T03,2026-02-15,COMPLETED,2025-03-18,5101790403.49,43364383790.06,48.24,23.46,1,1,1,1,10,COMMISSION_IMPLEMENTING_DECISIONS,2024-07-04
2020,HU,C16,HU_C16_M044,HU_C16_M044_MS04,HU_C16_M044_T04,2025-09-05,DELAYED,,156279282.61,15541393946.1,50.15,15.76,1,1,1,1,41,NATIONAL_RRF_REPORT,2025-06-17
2021,LU,C17,LU_C17_M045,LU_C17_M045_MS05,LU_C17_M045_T05,2021-06-24,CANCELLED,2022-12-19,97927350.69,28277620536.07,43.58,39.42,1,1,1,0,37,RRF_SCOREBOARD,2024-05-17
2022,RO,C18,RO_C18_M046,RO_C18_M046_MS06,RO_C18_M046_T06,2025-05-03,REVISED,,47879591.32,14099983618.14,24.69,33.44,1,1,1,1,24,ECA_AUDIT_SUMMARY,2024-12-11
2023,AT,C01,AT_C01_M047,AT_C01_M047_MS07,AT_C01_M047_T07,2024-06-08,PLANNED,,1062458406.71,30754382421.94,22.53,31.93,1,0,0,0,54,COMMISSION_IMPLEMENTING_DECISIONS,2025-04-09
2024,CZ,C02,CZ_C02_M048,CZ_C02_M048_MS08,CZ_C02_M048_T08,2025-07-26,IN_PROGRESS,2023-02-05,8919549.08,2632219349.84,37.61,30.24,1,1,0,1,24,NATIONAL_RRF_REPORT,2025-02-11
2025,DE,C03,DE_C03_M049,DE_C03_M049_MS09,DE_C03_M049_T09,2025-11-01,COMPLETED,,513245620.51,17244611150.54,26.75,26.51,0,0,1,0,54,RRF_SCOREBOARD,2024-09-14
2026,LV,C04,LV_C04_M050,LV_C04_M050_MS10,LV_C04_M050_T10,2026-01-25,DELAYED,,42379649.94,1140818112.08,44.39,15.85,1,1,1,1,39,ECA_AUDIT_SUMMARY,2026-01-11
2020,PL,C05,PL_C05_M051,PL_C05_M051_MS11,PL_C05_M051_T11,2021-11-03,CANCELLED,,967399394.45,21981411596.49,21.34,37.53,1,1,1,0,44,COMMISSION_IMPLEMENTING_DECISIONS,2025-12-21
2021,ES,C06,ES_C06_M052,ES_C06_M052_MS12,ES_C06_M052_T12,2021-02-04,REVISED,,208219640.03,31719639104.08,33.96,17.03,0,1,1,0,25,NATIONAL_RRF_REPORT,2025-04-27
2022,HR,C07,HR_C07_M053,HR_C07_M053_MS13,HR_C07_M053_T13,2024-05-25,PLANNED,,535006730.65,17648394067.65,52.26,20.85,0,1,0,1,22,RRF_SCOREBOARD,2024-01-30
2023,FI,C08,FI_C08_M054,FI_C08_M054_MS14,FI_C08_M054_T14,2025-03-14,IN_PROGRESS,2020-03-09,168358723.59,5427851319.56,54.24,23.71,1,1,0,1,3,ECA_AUDIT_SUMMARY,2025-10-02
2024,IE,C09,IE_C09_M055,IE_C09_M055_MS15,IE_C09_M055_T15,2025-10-17,COMPLETED,2025-12-08,2567424072.17,40866880370.55,50.97,33.81,0,1,1,0,26,COMMISSION_IMPLEMENTING_DECISIONS,2025-09-07
2025,MT,C10,MT_C10_M056,MT_C10_M056_MS16,MT_C10_M056_T16,2025-09-29,DELAYED,2024-11-25,49195301.46,9714483473.98,25.9,38.46,1,1,0,0,59,NATIONAL_RRF_REPORT,2024-04-02
2026,SK,C11,SK_C11_M057,SK_C11_M057_MS17,SK_C11_M057_T17,2026-01-22,CANCELLED,,214401864.5,25487019379.39,26.49,19.66,0,1,0,1,51,RRF_SCOREBOARD,2025-04-07
2020,BE,C12,BE_C12_M058,BE_C12_M058_MS18,BE_C12_M058_T18,2021-10-16,REVISED,,1126308741.46,24060603136.77,24.67,15.78,0,1,0,1,38,ECA_AUDIT_SUMMARY,2026-02-18
2021,DK,C13,DK_C13_M059,DK_C13_M059_MS19,DK_C13_M059_T19,2025-05-03,PLANNED,,1013913095.85,42263357810.7,27.88,18.76,0,1,1,1,11,COMMISSION_IMPLEMENTING_DECISIONS,2024-09-13
2022,GR,C14,GR_C14_M060,GR_C14_M060_MS20,GR_C14_M060_T20,2024-07-01,IN_PROGRESS,2020-11-25,459579917.23,16399507557.15,26.56,29.9,1,1,0,0,21,NATIONAL_RRF_REPORT,2025-04-06
2023,LT,C15,LT_C15_M061,LT_C15_M061_MS21,LT_C15_M061_T21,2024-01-26,COMPLETED,,783841863.11,8531537048.6,48.36,32.13,0,1,1,0,53,RRF_SCOREBOARD,2025-03-03
2024,PT,C16,PT_C16_M062,PT_C16_M062_MS22,PT_C16_M062_T22,2025-08-31,DELAYED,,255069803.92,40238189683.37,31.53,32.99,1,1,0,0,36,ECA_AUDIT_SUMMARY,2024-11-07
2025,SE,C17,SE_C17_M063,SE_C17_M063_MS23,SE_C17_M063_T23,2025-05-26,CANCELLED,2021-12-28,70145000.8,1478297907.29,36.41,37.45,0,1,1,1,54,COMMISSION_IMPLEMENTING_DECISIONS,2025-12-01
2026,CY,C18,CY_C18_M064,CY_C18_M064_MS24,CY_C18_M064_T24,2026-02-13,REVISED,2025-02-03,681141305.13,15632089704.23,28.13,30.62,0,1,1,0,22,NATIONAL_RRF_REPORT,2026-02-17
2020,FR,C01,FR_C01_M065,FR_C01_M065_MS25,FR_C01_M065_T25,2023-04-02,PLANNED,2025-04-14,396056815.08,17644541833.01,44.44,39.68,0,1,0,0,35,RRF_SCOREBOARD,2024-11-13
2021,IT,C02,IT_C02_M066,IT_C02_M066_MS26,IT_C02_M066_T26,2021-04-15,IN_PROGRESS,,269548371.29,11736626574.08,23.02,33.17,1,0,0,1,35,ECA_AUDIT_SUMMARY,2024-03-19
2022,NL,C03,NL_C03_M067,NL_C03_M067_MS27,NL_C03_M067_T27,2024-04-20,COMPLETED,2025-07-03,1887702204.28,25665518673.23,38.16,15.6,1,1,0,1,14,COMMISSION_IMPLEMENTING_DECISIONS,2025-06-22
2023,SI,C04,SI_C04_M068,SI_C04_M068_MS28,SI_C04_M068_T28,2024-06-27,DELAYED,,135697355.35,31097476654.01,47.53,19.56,0,1,1,0,5,NATIONAL_RRF_REPORT,2025-12-06
2024,BG,C05,BG_C05_M069,BG_C05_M069_MS29,BG_C05_M069_T29,2025-11-21,CANCELLED,,611704358.35,13750545712.45,29.27,34.47,1,1,1,1,7,RRF_SCOREBOARD,2024-12-23
2025,EE,C06,EE_C06_M070,EE_C06_M070_MS30,EE_C06_M070_T30,2025-12-29,REVISED,,29124016.18,42643875246.35,50.7,15.45,1,1,0,1,0,ECA_AUDIT_SUMMARY,2026-01-09
2026,HU,C07,HU_C07_M071,HU_C07_M071_MS31,HU_C07_M071_T01,2026-02-21,PLANNED,2022-08-06,12510926.0,5423522034.28,29.22,34.07,1,1,0,0,2,COMMISSION_IMPLEMENTING_DECISIONS,2025-04-07
2020,LU,C08,LU_C08_M072,LU_C08_M072_MS32,LU_C08_M072_T02,2020-08-01,IN_PROGRESS,,806736988.61,21595054339.7,40.91,18.73,1,1,1,1,10,NATIONAL_RRF_REPORT,2024-06-12
2021,RO,C09,RO_C09_M073,RO_C09_M073_MS33,RO_C09_M073_T03,2024-10-25,COMPLETED,,191554606.32,36607451469.8,21.76,23.36,1,1,0,0,5,RRF_SCOREBOARD,2024-12-14
2022,AT,C10,AT_C10_M074,AT_C10_M074_MS34,AT_C10_M074_T04,2022-04-05,DELAYED,2025-11-28,113139125.36,3148933453.39,37.02,18.65,1,1,1,1,37,ECA_AUDIT_SUMMARY,2026-01-30
2023,CZ,C11,CZ_C11_M075,CZ_C11_M075_MS35,CZ_C11_M075_T05,2025-06-21,CANCELLED,2021-11-10,140436144.86,10305240240.42,43.69,39.04,1,1,1,0,6,COMMISSION_IMPLEMENTING_DECISIONS,2024-08-21
2024,DE,C12,DE_C12_M076,DE_C12_M076_MS36,DE_C12_M076_T06,2026-02-22,REVISED,2020-05-30,61703048.11,15040554545.08,37.45,22.24,0,1,0,0,42,NATIONAL_RRF_REPORT,2024-01-23
2025,LV,C13,LV_C13_M077,LV_C13_M077_MS37,LV_C13_M077_T07,2025-04-24,PLANNED,2025-09-28,1018184137.15,28196939585.1,51.72,19.13,1,1,1,0,5,RRF_SCOREBOARD,2025-04-21
2026,PL,C14,PL_C14_M078,PL_C14_M078_MS38,PL_C14_M078_T08,2026-01-04,IN_PROGRESS,,1444461556.11,34764404471.39,42.74,17.73,0,1,1,0,19,ECA_AUDIT_SUMMARY,2024-12-29
2020,ES,C15,ES_C15_M079,ES_C15_M079_MS39,ES_C15_M079_T09,2023-04-12,COMPLETED,2024-06-22,2783713540.1,33904810619.09,53.98,35.09,0,0,0,0,22,COMMISSION_IMPLEMENTING_DECISIONS,2025-03-28
2021,HR,C16,HR_C16_M080,HR_C16_M080_MS40,HR_C16_M080_T10,2025-04-29,DELAYED,2024-12-03,756986533.39,34743665784.2,23.77,32.26,0,1,0,1,42,NATIONAL_RRF_REPORT,2025-02-16
2022,FI,C17,FI_C17_M081,FI_C17_M081_MS01,FI_C17_M081_T11,2023-07-13,CANCELLED,,221916197.81,7145834957.4,46.46,19.97,1,0,1,1,23,RRF_SCOREBOARD,2025-01-07
2023,IE,C18,IE_C18_M082,IE_C18_M082_MS02,IE_C18_M082_T12,2024-05-07,REVISED,,455477543.1,24615757980.07,30.85,23.27,0,1,1,1,28,ECA_AUDIT_SUMMARY,2024-02-15
2024,MT,C01,MT_C01_M083,MT_C01_M083_MS03,MT_C01_M083_T13,2024-05-13,PLANNED,2025-08-09,10586438.48,4250292214.18,39.47,37.66,1,1,0,1,27,COMMISSION_IMPLEMENTING_DECISIONS,2024-02-08
2025,SK,C02,SK_C02_M084,SK_C02_M084_MS04,SK_C02_M084_T14,2025-08-02,IN_PROGRESS,,46404326.91,6752498089.53,35.25,16.07,0,0,0,0,55,NATIONAL_RRF_REPORT,2025-02-05
2026,BE,C03,BE_C03_M085,BE_C03_M085_MS05,BE_C03_M085_T15,2026-02-25,COMPLETED,2026-02-25,1406175842.11,21272074773.92,27.59,21.33,0,1,0,1,16,RRF_SCOREBOARD,2025-12-11
2020,DK,C04,DK_C04_M086,DK_C04_M086_MS06,DK_C04_M086_T16,2023-06-27,DELAYED,,476278279.98,25355451319.51,21.88,16.91,1,1,1,0,53,ECA_AUDIT_SUMMARY,2024-10-09
2021,GR,C05,GR_C05_M087,GR_C05_M087_MS07,GR_C05_M087_T17,2025-10-11,CANCELLED,2025-05-19,268234470.5,6895554548.98,28.53,23.26,0,1,1,0,25,COMMISSION_IMPLEMENTING_DECISIONS,2024-07-27
2022,LT,C06,LT_C06_M088,LT_C06_M088_MS08,LT_C06_M088_T18,2023-06-29,REVISED,,452206471.83,36153888070.58,31.81,38.57,0,1,1,1,6,NATIONAL_RRF_REPORT,2024-11-09
2023,PT,C07,PT_C07_M089,PT_C07_M089_MS09,PT_C07_M089_T19,2024-08-04,PLANNED,,1075883632.94,33171270835.92,22.52,36.61,0,1,1,1,21,RRF_SCOREBOARD,2025-05-11
2024,SE,C08,SE_C08_M090,SE_C08_M090_MS10,SE_C08_M090_T20,2025-08-31,IN_PROGRESS,2020-08-08,398738132.31,27600916884.79,39.63,29.52,1,0,0,1,11,ECA_AUDIT_SUMMARY,2025-01-07
2025,CY,C09,CY_C09_M091,CY_C09_M091_MS11,CY_C09_M091_T21,2025-07-29,COMPLETED,2025-12-29,1699123192.74,41622586481.32,44.36,37.18,0,1,1,0,46,COMMISSION_IMPLEMENTING_DECISIONS,2025-05-10
2026,FR,C10,FR_C10_M092,FR_C10_M092_MS12,FR_C10_M092_T22,2026-02-22,DELAYED,2023-01-20,1148365495.83,37588930423.66,54.84,22.45,0,1,0,1,8,NATIONAL_RRF_REPORT,2025-01-25
2020,IT,C11,IT_C11_M093,IT_C11_M093_MS13,IT_C11_M093_T23,2025-11-16,CANCELLED,,256678024.71,10601512800.46,38.07,39.23,1,1,1,0,44,RRF_SCOREBOARD,2024-01-01
2021,NL,C12,NL_C12_M094,NL_C12_M094_MS14,NL_C12_M094_T24,2026-02-16,REVISED,,124452110.39,20641378383.06,52.14,27.35,0,1,1,1,21,ECA_AUDIT_SUMMARY,2024-09-21
2022,SI,C13,SI_C13_M095,SI_C13_M095_MS15,SI_C13_M095_T25,2022-08-18,PLANNED,2020-06-10,1078271359.32,49431813276.98,39.1,19.41,0,1,1,1,26,COMMISSION_IMPLEMENTING_DECISIONS,2025-08-01
2023,BG,C14,BG_C14_M096,BG_C14_M096_MS16,BG_C14_M096_T26,2025-04-29,IN_PROGRESS,2025-09-22,310455997.1,48852397685.04,33.66,28.16,1,1,0,0,48,NATIONAL_RRF_REPORT,2026-01-07
2024,EE,C15,EE_C15_M097,EE_C15_M097_MS17,EE_C15_M097_T27,2025-03-28,COMPLETED,2025-07-21,862893803.84,27836737062.74,41.47,25.52,0,1,1,0,27,RRF_SCOREBOARD,2024-06-06
2025,HU,C16,HU_C16_M098,HU_C16_M098_MS18,HU_C16_M098_T28,2025-03-02,DELAYED,,62275861.5,38847854009.34,34.46,31.65,1,0,0,0,33,ECA_AUDIT_SUMMARY,2024-06-12
2026,LU,C17,LU_C17_M099,LU_C17_M099_MS19,LU_C17_M099_T29,2026-01-10,CANCELLED,,319010200.7,38033788979.42,52.24,27.01,1,1,0,1,17,COMMISSION_IMPLEMENTING_DECISIONS,2024-04-05
2020,RO,C18,RO_C18_M100,RO_C18_M100_MS20,RO_C18_M100_T30,2025-07-17,REVISED,2023-10-07,673960650.48,20516807985.98,54.41,34.9,1,1,1,1,13,NATIONAL_RRF_REPORT,2024-04-07
2021,AT,C01,AT_C01_M101,AT_C01_M101_MS21,AT_C01_M101_T01,2021-07-29,PLANNED,2023-11-06,64819679.19,4047189561.91,26.91,39.89,1,1,0,1,50,RRF_SCOREBOARD,2025-06-19
2022,CZ,C02,CZ_C02_M102,CZ_C02_M102_MS22,CZ_C02_M102_T02,2025-04-07,IN_PROGRESS,2020-01-02,493318690.9,34404378114.89,38.68,16.05,1,0,0,0,28,ECA_AUDIT_SUMMARY,2025-12-18
2023,DE,C03,DE_C03_M103,DE_C03_M103_MS23,DE_C03_M103_T03,2023-04-05,COMPLETED,2023-05-11,753431162.51,11214521606.89,36.31,29.41,0,0,1,0,18,COMMISSION_IMPLEMENTING_DECISIONS,2025-04-14
2024,LV,C04,LV_C04_M104,LV_C04_M104_MS24,LV_C04_M104_T04,2024-10-27,DELAYED,,990010998.65,20043764127.37,23.45,38.83,1,0,0,1,19,NATIONAL_RRF_REPORT,2025-09-18
2025,PL,C05,PL_C05_M105,PL_C05_M105_MS25,PL_C05_M105_T05,2026-01-22,CANCELLED,,266624370.92,8222470072.96,33.21,25.77,1,0,0,0,17,RRF_SCOREBOARD,2025-12-21
2026,ES,C06,ES_C06_M106,ES_C06_M106_MS26,ES_C06_M106_T06,2026-02-21,REVISED,,236940968.64,9189938215.97,51.48,29.92,1,1,1,1,13,ECA_AUDIT_SUMMARY,2024-03-08
2020,HR,C07,HR_C07_M107,HR_C07_M107_MS27,HR_C07_M107_T07,2022-12-31,PLANNED,2022-12-04,219511158.65,4521573750.77,21.81,18.43,1,1,1,0,35,COMMISSION_IMPLEMENTING_DECISIONS,2025-05-02
2021,FI,C08,FI_C08_M108,FI_C08_M108_MS28,FI_C08_M108_T08,2025-01-08,IN_PROGRESS,,214327487.95,7745938606.6,32.37,36.84,1,1,0,1,6,NATIONAL_RRF_REPORT,2024-05-13
2022,IE,C09,IE_C09_M109,IE_C09_M109_MS29,IE_C09_M109_T09,2025-09-24,COMPLETED,2026-01-12,865255307.19,24134674774.24,51.52,32.76,1,1,1,0,44,RRF_SCOREBOARD,2024-09-03
2023,MT,C10,MT_C10_M110,MT_C10_M110_MS30,MT_C10_M110_T10,2025-08-21,DELAYED,,424877636.3,9660717018.23,24.86,27.61,0,1,0,1,5,ECA_AUDIT_SUMMARY,2026-02-12
2024,SK,C11,SK_C11_M111,SK_C11_M111_MS31,SK_C11_M111_T11,2024-04-18,CANCELLED,,285026434.12,32165747776.68,51.47,32.09,0,1,1,1,16,COMMISSION_IMPLEMENTING_DECISIONS,2025-03-02
2025,BE,C12,BE_C12_M112,BE_C12_M112_MS32,BE_C12_M112_T12,2025-04-23,REVISED,,1157832378.57,25531506261.0,45.73,31.54,0,1,1,0,2,NATIONAL_RRF_REPORT,2025-10-07
2026,DK,C13,DK_C13_M113,DK_C13_M113_MS33,DK_C13_M113_T13,2026-01-09,PLANNED,,1035284102.78,38577207108.22,26.06,20.58,1,1,1,1,18,RRF_SCOREBOARD,2024-11-25
2020,GR,C14,GR_C14_M114,GR_C14_M114_MS34,GR_C14_M114_T14,2021-01-05,IN_PROGRESS,2025-10-18,28466826.01,16129711079.2,20.9,37.54,0,1,1,0,4,ECA_AUDIT_SUMMARY,2025-09-25
2021,LT,C15,LT_C15_M115,LT_C15_M115_MS35,LT_C15_M115_T15,2021-08-08,COMPLETED,2025-03-23,2079606388.42,30791820687.65,37.65,35.92,0,1,1,1,35,COMMISSION_IMPLEMENTING_DECISIONS,2025-09-01
2022,PT,C16,PT_C16_M116,PT_C16_M116_MS36,PT_C16_M116_T16,2026-01-17,DELAYED,,696300223.78,24987716720.74,54.95,39.54,0,1,1,1,38,NATIONAL_RRF_REPORT,2025-08-14
2023,SE,C17,SE_C17_M117,SE_C17_M117_MS37,SE_C17_M117_T17,2024-09-15,CANCELLED,,216917767.51,17329996393.01,25.76,28.92,0,1,1,0,42,RRF_SCOREBOARD,2025-04-05
2024,CY,C18,CY_C18_M118,CY_C18_M118_MS38,CY_C18_M118_T18,2025-12-05,REVISED,2022-03-02,315525834.32,16640081661.55,52.86,16.62,0,1,1,0,9,ECA_AUDIT_SUMMARY,2024-10-17
2025,FR,C01,FR_C01_M119,FR_C01_M119_MS39,FR_C01_M119_T19,2025-10-15,PLANNED,2022-01-08,1365145267.24,27761101869.51,48.34,34.72,1,0,0,1,50,COMMISSION_IMPLEMENTING_DECISIONS,2024-07-28
2026,IT,C02,IT_C02_M120,IT_C02_M120_MS40,IT_C02_M120_T20,2026-01-09,IN_PROGRESS,2022-11-08,416662313.5,12950648534.22,53.34,22.16,1,1,0,1,30,NATIONAL_RRF_REPORT,2025-01-10
2020,NL,C03,NL_C03_M121,NL_C03_M121_MS01,NL_C03_M121_T21,2020-11-04,COMPLETED,2023-03-20,45229080.39,28763389072.04,42.31,21.5,1,1,0,1,43,RRF_SCOREBOARD,2024-05-15
2021,SI,C04,SI_C04_M122,SI_C04_M122_MS02,SI_C04_M122_T22,2024-10-31,DELAYED,2024-01-04,174133092.26,10620135192.39,38.45,20.58,1,1,1,0,20,ECA_AUDIT_SUMMARY,2025-09-29
2022,BG,C05,BG_C05_M123,BG_C05_M123_MS03,BG_C05_M123_T23,2025-11-05,CANCELLED,,1334318791.64,38831002451.16,37.92,30.43,1,1,0,0,33,COMMISSION_IMPLEMENTING_DECISIONS,2025-04-30
2023,EE,C06,EE_C06_M124,EE_C06_M124_MS04,EE_C06_M124_T24,2024-10-06,REVISED,,165936577.85,5509240565.97,53.52,15.74,1,1,1,0,37,NATIONAL_RRF_REPORT,2024-06-03
2024,HU,C07,HU_C07_M125,HU_C07_M125_MS05,HU_C07_M125_T25,2024-07-26,PLANNED,,298721993.8,9868151666.45,45.52,18.95,1,1,1,1,21,RRF_SCOREBOARD,2024-07-12
2025,LU,C08,LU_C08_M126,LU_C08_M126_MS06,LU_C08_M126_T26,2025-11-08,IN_PROGRESS,2020-01-27,284131207.17,5883526092.84,46.23,33.79,1,1,1,0,38,ECA_AUDIT_SUMMARY,2024-02-14
2026,RO,C09,RO_C09_M127,RO_C09_M127_MS07,RO_C09_M127_T27,2026-02-24,COMPLETED,2026-02-24,539273606.87,8781937469.68,21.28,35.0,0,0,1,0,6,COMMISSION_IMPLEMENTING_DECISIONS,2025-05-27
2020,AT,C10,AT_C10_M128,AT_C10_M128_MS08,AT_C10_M128_T28,2023-10-01,DELAYED,2021-05-06,287902233.21,26512528611.93,31.67,35.02,0,1,1,1,8,NATIONAL_RRF_REPORT,2025-06-18
2021,CZ,C11,CZ_C11_M129,CZ_C11_M129_MS09,CZ_C11_M129_T29,2023-02-27,CANCELLED,2022-08-08,1591537605.36,39375008596.59,26.84,18.12,1,0,0,1,18,RRF_SCOREBOARD,2025-07-03
2022,DE,C12,DE_C12_M130,DE_C12_M130_MS10,DE_C12_M130_T30,2024-01-17,REVISED,,455763935.78,18589418033.25,24.34,34.76,0,1,1,1,36,ECA_AUDIT_SUMMARY,2026-01-18
2023,LV,C13,LV_C13_M131,LV_C13_M131_MS11,LV_C13_M131_T01,2024-12-10,PLANNED,,314073775.9,23555533042.73,54.38,38.73,0,1,1,1,25,COMMISSION_IMPLEMENTING_DECISIONS,2024-08-26
2024,PL,C14,PL_C14_M132,PL_C14_M132_MS12,PL_C14_M132_T02,2025-02-19,IN_PROGRESS,,1191313540.46,42944599734.28,35.89,24.19,0,1,1,0,12,NATIONAL_RRF_REPORT,2025-05-09
2025,ES,C15,ES_C15_M133,ES_C15_M133_MS13,ES_C15_M133_T03,2026-02-24,COMPLETED,2026-02-24,460837665.32,7288770128.63,46.06,31.06,0,1,1,0,47,RRF_SCOREBOARD,2024-03-10
2026,HR,C16,HR_C16_M134,HR_C16_M134_MS14,HR_C16_M134_T04,2026-01-20,DELAYED,2025-09-27,308827113.03,25444347707.9,28.29,26.88,1,1,0,1,54,ECA_AUDIT_SUMMARY,2024-06-02
2020,FI,C17,FI_C17_M135,FI_C17_M135_MS15,FI_C17_M135_T05,2022-02-08,CANCELLED,2022-07-25,335348371.53,28301155727.03,28.84,35.16,0,1,1,0,29,COMMISSION_IMPLEMENTING_DECISIONS,2025-09-24
2021,IE,C18,IE_C18_M136,IE_C18_M136_MS16,IE_C18_M136_T06,2023-05-05,REVISED,2024-06-22,486481256.32,28363139410.32,28.03,37.37,1,0,0,1,52,NATIONAL_RRF_REPORT,2026-01-31
2022,MT,C01,MT_C01_M137,MT_C01_M137_MS17,MT_C01_M137_T07,2026-01-26,PLANNED,2021-08-26,1859390070.06,38093884548.15,41.91,29.16,0,1,0,0,0,RRF_SCOREBOARD,2025-08-11
2023,SK,C02,SK_C02_M138,SK_C02_M138_MS18,SK_C02_M138_T08,2024-06-11,IN_PROGRESS,,1864005993.48,41215424172.37,49.3,31.52,1,1,1,0,2,ECA_AUDIT_SUMMARY,2024-04-28
2024,BE,C03,BE_C03_M139,BE_C03_M139_MS19,BE_C03_M139_T09,2025-04-08,COMPLETED,,658933289.6,7157282712.81,30.76,31.96,0,1,1,1,43,COMMISSION_IMPLEMENTING_DECISIONS,2025-07-17
2025,DK,C04,DK_C04_M140,DK_C04_M140_MS20,DK_C04_M140_T10,2025-04-27,DELAYED,2025-07-08,438596836.44,19986292445.4,26.91,24.17,0,1,1,1,52,NATIONAL_RRF_REPORT,2026-01-25
2026,GR,C05,GR_C05_M141,GR_C05_M141_MS21,GR_C05_M141_T11,2026-02-24,CANCELLED,2020-03-31,2000971090.96,42485897419.24,29.28,33.48,1,1,1,0,37,RRF_SCOREBOARD,2025-07-06
2020,LT,C06,LT_C06_M142,LT_C06_M142_MS22,LT_C06_M142_T12,2021-08-23,REVISED,2021-02-20,1439167207.28,34794387714.8,20.51,19.64,0,1,1,1,43,ECA_AUDIT_SUMMARY,2025-09-12
2021,PT,C07,PT_C07_M143,PT_C07_M143_MS23,PT_C07_M143_T13,2021-07-25,PLANNED,,39021667.61,2333460196.25,53.69,19.32,1,1,1,0,23,COMMISSION_IMPLEMENTING_DECISIONS,2026-01-31
2022,SE,C08,SE_C08_M144,SE_C08_M144_MS24,SE_C08_M144_T14,2024-02-22,IN_PROGRESS,2024-03-24,113400380.11,2410612735.51,22.45,37.55,1,1,1,1,14,NATIONAL_RRF_REPORT,2024-10-14
2023,CY,C09,CY_C09_M145,CY_C09_M145_MS25,CY_C09_M145_T15,2024-10-11,COMPLETED,,1362312152.08,24543457076.21,32.81,28.21,1,1,0,0,8,RRF_SCOREBOARD,2024-06-13
2024,FR,C10,FR_C10_M146,FR_C10_M146_MS26,FR_C10_M146_T16,2024-03-16,DELAYED,,35423873.35,873251539.47,28.43,24.18,0,1,1,1,45,ECA_AUDIT_SUMMARY,2025-05-25
2025,IT,C11,IT_C11_M147,IT_C11_M147_MS27,IT_C11_M147_T17,2025-05-08,CANCELLED,,71288289.26,2689595479.86,45.07,23.21,0,1,1,1,51,COMMISSION_IMPLEMENTING_DECISIONS,2024-01-12
2026,NL,C12,NL_C12_M148,NL_C12_M148_MS28,NL_C12_M148_T18,2026-02-12,REVISED,,580369573.94,21349238721.17,20.37,24.97,1,0,0,0,46,NATIONAL_RRF_REPORT,2026-01-11
2020,SI,C13,SI_C13_M149,SI_C13_M149_MS29,SI_C13_M149_T19,2022-09-16,PLANNED,2024-08-04,421216377.39,17809744836.65,31.85,18.28,0,1,1,1,52,RRF_SCOREBOARD,2025-06-18
2021,BG,C14,BG_C14_M150,BG_C14_M150_MS30,BG_C14_M150_T20,2023-10-18,IN_PROGRESS,2021-01-25,154430924.24,26366008684.24,54.38,29.91,1,1,1,0,42,ECA_AUDIT_SUMMARY,2026-01-24
2022,EE,C15,EE_C15_M151,EE_C15_M151_MS31,EE_C15_M151_T21,2022-03-14,COMPLETED,2023-02-26,4159409761.17,38894657456.95,37.01,36.63,0,1,1,1,22,COMMISSION_IMPLEMENTING_DECISIONS,2024-06-03
2023,HU,C16,HU_C16_M152,HU_C16_M152_MS32,HU_C16_M152_T22,2024-01-07,DELAYED,,95614066.88,11861539096.1,54.89,16.86,1,1,1,0,46,NATIONAL_RRF_REPORT,2025-05-11
2024,LU,C17,LU_C17_M153,LU_C17_M153_MS33,LU_C17_M153_T23,2025-05-02,CANCELLED,,1863948947.28,43487981300.07,26.03,30.1,1,1,1,1,45,RRF_SCOREBOARD,2024-09-27
