ph_mental_reference_year,ph_mental_country_iso2,ph_mental_region_nuts_code,ph_mental_age_group,ph_mental_sex,ph_mental_depressive_symptoms_rate_pct,ph_mental_anxiety_rate_pct,ph_mental_wellbeing_index_score,ph_mental_self_harm_rate_per_100k,ph_mental_suicide_rate_per_100k,ph_mental_psych_services_access_rate_pct,ph_mental_waiting_time_days_median,ph_mental_antidepressant_use_did,ph_mental_sick_leave_due_to_mental_health_days,ph_mental_work_stress_index,ph_mental_loneliness_rate_pct,ph_mental_mental_health_strategy_flag,ph_mental_ehis_table_code,ph_mental_survey_weight,ph_mental_data_extract_date
2015,SE,PL117,75_PLUS,X,7.41,6.9,48.85,47.26,14.01,38.47,11.88,83.1,11354,63.5,17.29,1,HLTH_EHIS_MH2,3.2404,2024-07-23
2016,DK,FR308,45_54,F,16.1,5.23,36.63,26.35,5.07,60.23,129.13,105.56,12609,19.81,15.4,1,HLTH_EHIS_MH3,2.7109,2025-07-30
2017,IE,GR355,15_24,M,19.07,13.47,38.5,59.61,22.54,59.33,80.56,82.19,13568,37.0,14.11,1,HLTH_EHIS_MH4,2.6377,2024-05-07
2018,PL,ES674,55_64,X,13.03,24.41,33.56,45.54,15.97,38.99,112.75,184.51,2470,65.73,35.05,1,HLTH_EHIS_MH1,2.189,2026-01-08
2019,AT,FR431,25_34,F,11.03,11.58,58.24,20.31,12.63,43.25,56.13,123.78,9262,19.85,20.28,1,HLTH_EHIS_MH2,4.2321,2024-07-12
2020,EE,SK21,65_74,M,15.68,21.78,36.45,28.44,14.63,31.21,65.66,173.13,13788,66.83,8.74,1,HLTH_EHIS_MH3,3.8914,2025-05-17
2021,IT,SI475,35_44,X,6.56,9.03,76.65,92.98,16.1,24.79,49.16,109.2,12094,30.13,18.42,1,HLTH_EHIS_MH4,2.6978,2025-06-14
2022,PT,SI64,75_PLUS,F,21.5,17.05,40.33,60.41,8.35,42.66,72.46,45.9,11612,24.82,19.09,1,HLTH_EHIS_MH1,2.639,2026-02-14
2023,BE,NL387,45_54,M,15.71,23.1,54.68,82.42,28.28,37.7,45.13,107.5,4834,43.23,10.8,1,HLTH_EHIS_MH2,0.6878,2024-05-31
2024,FI,SI9,15_24,X,14.9,24.46,51.57,38.93,5.0,68.69,55.84,42.3,3575,18.9,14.47,0,HLTH_EHIS_MH3,1.4448,2024-04-04
2025,LV,BE659,55_64,F,15.91,24.4,56.76,18.31,6.51,53.17,33.61,78.45,9587,50.91,18.49,1,HLTH_EHIS_MH4,1.4458,2025-11-05
2006,RO,ES369,25_34,M,6.23,17.19,58.08,69.29,20.04,64.11,69.9,62.6,7049,37.23,33.86,0,HLTH_EHIS_MH1,4.0211,2024-12-18
2007,BG,HU25,65_74,X,18.81,16.29,47.23,30.45,8.77,62.36,99.07,82.59,10641,26.39,19.64,0,HLTH_EHIS_MH2,1.3308,2024-11-22
2008,FR,NL291,35_44,F,7.75,10.78,60.24,8.5,13.74,44.63,165.63,25.41,13534,44.32,11.78,1,HLTH_EHIS_MH3,2.9819,2025-09-01
2009,LT,DK89,75_PLUS,M,21.03,19.39,32.45,33.8,27.9,76.18,16.35,101.5,10219,77.1,43.68,0,HLTH_EHIS_MH4,3.9679,2024-11-17
2010,SK,HU228,45_54,X,12.81,9.96,57.37,20.32,11.1,59.07,43.76,117.08,4752,70.97,14.08,0,HLTH_EHIS_MH1,4.3344,2025-09-10
2011,HR,HR130,15_24,F,16.1,28.51,40.33,30.06,4.7,40.43,130.75,121.41,15824,71.72,35.14,0,HLTH_EHIS_MH2,0.5769,2025-11-16
2012,DE,BE1,55_64,M,12.71,23.72,30.93,57.82,28.3,61.01,56.12,67.21,1869,33.61,19.81,0,HLTH_EHIS_MH3,1.7705,2025-04-26
2013,LU,EE27,25_34,X,11.02,18.52,65.24,35.01,10.33,67.19,74.3,96.07,9858,57.42,11.3,0,HLTH_EHIS_MH4,3.929,2024-03-22
2014,SI,FR455,65_74,F,24.31,24.85,43.09,72.15,17.21,27.22,63.4,151.55,15374,46.55,11.09,1,HLTH_EHIS_MH1,1.3961,2025-06-25
2015,CY,LV233,35_44,M,13.95,18.18,38.42,45.06,6.75,69.21,33.92,132.0,18088,61.56,24.97,1,HLTH_EHIS_MH2,0.8747,2025-05-23
2016,GR,SE293,75_PLUS,X,16.96,8.14,45.6,73.21,20.04,23.64,120.68,154.52,12343,74.95,8.81,0,HLTH_EHIS_MH3,1.855,2024-11-28
2017,MT,GR982,45_54,F,6.71,8.46,61.29,39.44,8.57,51.82,36.12,84.73,10604,31.86,20.31,1,HLTH_EHIS_MH4,1.1077,2026-02-09
2018,ES,BG310,15_24,M,13.53,21.76,62.8,26.82,18.96,77.45,67.04,100.1,6271,64.93,33.31,0,HLTH_EHIS_MH1,2.7995,2025-01-10
2019,CZ,NL438,55_64,X,16.95,9.52,52.05,46.09,5.45,68.1,31.88,23.71,12728,27.37,21.53,1,HLTH_EHIS_MH2,1.9833,2024-04-17
2020,HU,FI133,25_34,F,29.7,17.4,31.05,109.21,4.31,82.93,44.03,28.03,3301,37.54,30.3,0,HLTH_EHIS_MH3,3.5125,2024-06-29
2021,NL,EE943,65_74,M,15.5,13.0,35.46,11.38,25.13,89.63,156.25,28.66,15408,37.02,12.76,1,HLTH_EHIS_MH4,2.6509,2025-02-20
2022,SE,FR26,35_44,X,11.2,19.02,46.43,45.69,10.26,90.95,32.04,131.2,3978,49.91,28.61,0,HLTH_EHIS_MH1,0.5722,2024-09-01
2023,DK,PT62,75_PLUS,F,8.2,9.07,70.22,64.5,20.22,80.59,51.85,63.65,10866,29.99,33.82,0,HLTH_EHIS_MH2,0.7547,2025-01-16
2024,IE,IT42,45_54,M,17.97,6.71,61.94,22.82,8.18,69.86,77.09,36.05,2406,78.55,9.77,1,HLTH_EHIS_MH3,0.9656,2025-01-13
2025,PL,CY564,15_24,X,22.3,14.15,32.58,67.51,15.72,23.63,95.05,72.58,14695,31.92,10.14,1,HLTH_EHIS_MH4,2.5538,2024-03-02
2006,AT,PL9,55_64,F,6.2,22.25,42.08,46.57,6.76,80.54,25.95,36.24,4171,61.85,31.63,0,HLTH_EHIS_MH1,2.899,2026-02-24
2007,EE,RO78,25_34,M,16.23,16.74,48.96,61.33,8.74,22.97,105.49,83.1,15760,70.5,9.43,0,HLTH_EHIS_MH2,2.7378,2025-02-23
2008,IT,CZ713,65_74,X,9.46,7.96,60.85,24.64,13.46,32.25,153.15,54.67,8348,26.81,34.25,0,HLTH_EHIS_MH3,0.8534,2024-07-24
2009,PT,FR535,35_44,F,6.87,13.21,62.84,66.47,15.06,36.24,19.59,120.46,8026,48.48,14.39,0,HLTH_EHIS_MH4,1.3208,2024-09-08
2010,BE,EE89,75_PLUS,M,7.81,21.71,49.78,50.65,17.28,76.59,14.31,128.36,3817,54.9,35.49,0,HLTH_EHIS_MH1,1.8348,2024-07-15
2011,FI,AT65,45_54,X,13.88,21.25,48.8,39.85,14.36,63.49,96.52,52.92,16856,27.55,27.58,1,HLTH_EHIS_MH2,4.5108,2025-01-06
2012,LV,CY29,15_24,F,6.44,12.16,46.56,93.5,15.56,80.23,78.48,39.29,1170,57.13,17.29,0,HLTH_EHIS_MH3,1.4609,2024-11-21
2013,RO,ES713,55_64,M,20.22,24.72,31.56,36.03,9.3,45.73,112.89,112.62,12557,29.48,29.2,0,HLTH_EHIS_MH4,0.6631,2026-01-20
2014,BG,FI75,25_34,X,15.78,15.75,53.45,108.28,13.59,22.05,100.5,127.33,4304,41.25,11.91,0,HLTH_EHIS_MH1,2.2931,2024-05-20
2015,FR,CY27,65_74,F,19.01,26.66,66.64,15.75,18.44,26.75,127.56,104.87,9052,64.65,32.49,1,HLTH_EHIS_MH2,3.6179,2024-10-30
2016,LT,LT72,35_44,M,19.18,20.43,32.04,32.58,17.1,51.54,20.75,137.61,3638,72.87,23.47,1,HLTH_EHIS_MH3,3.2341,2024-03-14
2017,SK,DK23,75_PLUS,X,6.12,19.33,57.65,67.95,18.88,58.11,13.05,168.2,9736,45.82,39.4,1,HLTH_EHIS_MH4,1.268,2025-01-16
2018,HR,EE980,45_54,F,6.43,12.29,57.79,44.47,12.86,49.72,10.98,98.04,10847,62.59,26.01,1,HLTH_EHIS_MH1,2.9813,2024-09-18
2019,DE,HR4,15_24,M,21.45,18.73,50.67,57.28,8.6,51.78,135.56,63.74,7519,18.9,6.5,1,HLTH_EHIS_MH2,0.248,2026-02-01
2020,LU,LV298,55_64,X,15.8,29.81,52.17,22.26,10.07,35.3,164.24,82.42,18485,88.65,29.09,1,HLTH_EHIS_MH3,0.7648,2025-08-19
2021,SI,ES88,25_34,F,13.83,12.42,50.09,140.34,15.97,23.38,144.53,71.54,2548,57.87,24.17,1,HLTH_EHIS_MH4,0.8803,2024-06-12
2022,CY,BG66,65_74,M,5.0,21.01,46.83,28.29,11.73,34.63,165.91,101.3,12132,54.63,23.97,1,HLTH_EHIS_MH1,0.502,2024-12-05
2023,GR,AT91,35_44,X,20.51,14.42,47.18,42.41,15.0,67.42,120.47,29.32,5455,32.16,15.9,1,HLTH_EHIS_MH2,1.5828,2025-06-13
2024,MT,CZ8,75_PLUS,F,23.5,9.96,38.67,37.81,7.85,48.74,67.07,187.18,8935,65.06,14.04,1,HLTH_EHIS_MH3,3.1542,2025-08-19
2025,ES,PL575,45_54,M,8.17,15.45,58.59,65.15,21.1,76.45,23.51,99.22,12740,32.41,17.59,1,HLTH_EHIS_MH4,1.9174,2024-05-09
2006,CZ,CY365,15_24,X,21.72,12.43,63.35,76.26,10.64,83.22,117.87,74.28,6048,68.65,6.51,0,HLTH_EHIS_MH1,1.9041,2024-01-07
2007,HU,FR998,55_64,F,9.31,22.03,37.78,18.99,20.26,25.85,59.26,90.87,880,69.67,12.26,0,HLTH_EHIS_MH2,0.5459,2024-08-25
2008,NL,BG205,25_34,M,15.79,14.73,55.18,103.07,5.99,75.08,87.78,27.44,114,48.89,14.28,0,HLTH_EHIS_MH3,1.9777,2025-01-06
2009,SE,DE40,65_74,X,11.86,6.35,38.12,83.35,7.0,89.67,89.56,110.23,7242,45.78,14.15,0,HLTH_EHIS_MH4,4.4458,2024-05-30
2010,DK,DK542,35_44,F,5.0,25.26,37.23,48.76,10.2,75.72,12.34,87.19,2981,29.4,11.21,0,HLTH_EHIS_MH1,0.6504,2024-04-04
2011,IE,LT6,75_PLUS,M,8.62,22.29,70.22,31.95,17.02,67.37,51.97,180.74,11894,52.67,25.38,0,HLTH_EHIS_MH2,3.7658,2024-02-02
2012,PL,IT401,45_54,X,10.88,12.24,55.69,57.38,5.44,74.18,134.31,49.56,76,85.9,12.24,0,HLTH_EHIS_MH3,1.4149,2024-10-24
2013,AT,EE318,15_24,F,10.84,7.2,57.11,104.73,11.25,65.25,109.89,18.02,806,61.63,15.76,0,HLTH_EHIS_MH4,0.3986,2024-05-07
2014,EE,GR36,55_64,M,9.09,23.57,52.13,26.01,10.82,62.69,130.35,112.83,8135,66.36,18.48,1,HLTH_EHIS_MH1,4.298,2026-01-18
2015,IT,ES966,25_34,X,18.16,22.01,33.07,46.88,10.52,28.81,44.57,111.83,17543,74.1,18.22,0,HLTH_EHIS_MH2,0.208,2024-03-02
2016,PT,AT879,65_74,F,17.89,24.65,37.54,48.57,12.51,29.72,156.7,139.62,16765,43.41,8.36,1,HLTH_EHIS_MH3,4.214,2025-09-29
2017,BE,SK9,35_44,M,20.65,16.12,28.53,33.86,4.69,56.28,38.12,42.24,14602,35.03,27.0,1,HLTH_EHIS_MH4,2.7148,2025-09-07
2018,FI,CZ60,75_PLUS,X,6.75,5.24,55.36,43.74,4.89,67.25,125.93,154.5,9204,44.07,25.74,1,HLTH_EHIS_MH1,4.745,2024-11-08
2019,LV,RO207,45_54,F,21.79,26.58,28.82,63.66,19.91,81.12,85.23,88.49,2581,63.58,9.05,0,HLTH_EHIS_MH2,0.79,2025-07-27
2020,RO,LT84,15_24,M,13.42,29.75,51.99,57.97,11.6,55.46,75.23,38.4,7812,29.58,23.47,1,HLTH_EHIS_MH3,1.3031,2024-07-23
2021,BG,CZ1,55_64,X,23.47,20.06,42.01,64.75,8.19,78.71,135.77,47.86,840,92.7,34.68,0,HLTH_EHIS_MH4,1.2153,2026-01-23
2022,FR,LT83,25_34,F,7.84,20.37,34.2,22.04,11.99,47.81,29.68,95.16,2106,82.54,28.41,1,HLTH_EHIS_MH1,1.302,2024-11-02
2023,LT,BG6,65_74,M,11.42,12.84,62.78,25.79,19.97,44.21,15.48,121.15,3865,18.54,32.58,1,HLTH_EHIS_MH2,1.6234,2024-10-15
2024,SK,HR22,35_44,X,11.4,15.14,55.28,70.57,16.69,61.86,10.94,119.51,13817,66.98,16.6,1,HLTH_EHIS_MH3,2.386,2025-08-01
2025,HR,DK138,75_PLUS,F,11.57,13.95,44.37,73.45,5.46,28.66,163.79,147.99,3301,62.76,42.4,0,HLTH_EHIS_MH4,2.627,2024-07-09
2006,DE,IT7,45_54,M,7.15,22.26,49.33,27.46,9.09,52.0,8.76,24.9,3775,71.75,17.74,0,HLTH_EHIS_MH1,1.0566,2025-02-13
2007,LU,LT4,15_24,X,9.2,11.49,45.58,113.79,12.22,49.79,75.23,79.78,1618,22.87,32.19,0,HLTH_EHIS_MH2,0.5939,2025-06-14
2008,SI,RO77,55_64,F,8.66,8.89,39.46,33.57,14.17,62.83,102.72,118.86,12610,24.36,17.97,0,HLTH_EHIS_MH3,4.7031,2025-11-06
2009,CY,CZ64,25_34,M,11.83,21.13,60.0,75.63,19.78,27.84,83.3,135.76,12105,43.76,23.22,0,HLTH_EHIS_MH4,3.6312,2025-03-08
2010,GR,BE167,65_74,X,22.0,13.64,40.53,36.61,9.88,66.16,104.02,80.83,16685,45.52,25.09,0,HLTH_EHIS_MH1,3.5517,2024-05-23
2011,MT,RO8,35_44,F,21.77,16.61,37.79,33.35,6.65,59.99,123.53,37.92,8077,47.04,6.83,0,HLTH_EHIS_MH2,2.7414,2025-07-07
2012,ES,HU99,75_PLUS,M,6.95,15.97,54.8,23.14,19.27,60.57,57.8,157.66,13241,54.14,10.53,0,HLTH_EHIS_MH3,4.0989,2024-08-29
2013,CZ,SE45,45_54,X,15.89,11.98,51.46,82.43,19.89,23.85,12.82,113.73,13037,54.72,15.6,0,HLTH_EHIS_MH4,2.2588,2025-08-06
2014,HU,DE4,15_24,F,12.24,24.03,35.58,113.6,16.06,27.74,113.35,105.9,401,20.84,23.66,1,HLTH_EHIS_MH1,3.9343,2025-05-24
2015,NL,IT808,55_64,M,15.49,17.37,39.11,17.98,11.73,54.03,44.36,88.25,9993,61.45,24.49,0,HLTH_EHIS_MH2,3.7484,2025-06-14
2016,SE,IE107,25_34,X,6.33,24.15,63.55,49.93,10.13,40.02,158.87,27.68,4387,50.19,12.35,1,HLTH_EHIS_MH3,4.3155,2025-12-18
2017,DK,DK29,65_74,F,12.62,13.48,42.33,49.76,4.92,87.02,37.65,85.23,15491,56.72,33.01,1,HLTH_EHIS_MH4,1.9624,2024-11-26
2018,IE,SK3,35_44,M,13.01,5.49,64.91,42.82,8.15,54.92,50.92,39.17,16721,33.09,35.47,1,HLTH_EHIS_MH1,1.3509,2025-11-12
2019,PL,IE5,75_PLUS,X,5.97,15.21,40.6,34.02,12.83,42.02,75.86,81.14,10672,48.87,21.15,1,HLTH_EHIS_MH2,3.0188,2025-07-10
2020,AT,DE88,45_54,F,22.36,31.86,46.51,87.28,17.56,28.97,195.12,65.54,10251,90.04,40.89,1,HLTH_EHIS_MH3,4.7424,2026-01-15
2021,EE,EE32,15_24,M,12.55,25.04,37.85,99.39,18.86,43.29,12.77,45.67,20998,79.18,20.71,1,HLTH_EHIS_MH4,3.6305,2024-05-26
2022,IT,CY31,55_64,X,9.96,20.01,59.85,43.24,9.98,78.89,38.62,134.44,480,27.31,19.92,0,HLTH_EHIS_MH1,1.3873,2024-01-19
2023,PT,PT9,25_34,F,14.3,23.78,59.29,15.99,12.6,55.7,135.45,24.9,8775,77.43,29.63,1,HLTH_EHIS_MH2,3.0334,2025-07-26
2024,BE,SE4,65_74,M,9.33,12.53,41.74,27.57,11.17,55.24,99.62,80.28,7543,57.53,40.06,0,HLTH_EHIS_MH3,2.7819,2024-10-18
2025,FI,DK13,35_44,X,5.61,13.8,52.16,75.21,3.71,38.27,56.44,132.45,13989,62.75,15.18,0,HLTH_EHIS_MH4,4.1813,2025-09-24
2006,LV,LT174,75_PLUS,F,19.12,24.05,44.6,13.47,7.28,53.28,115.29,49.64,11140,20.61,13.9,0,HLTH_EHIS_MH1,4.1774,2024-07-20
2007,RO,CY36,45_54,M,17.75,8.05,62.69,33.61,21.42,63.42,77.27,26.94,13776,58.62,27.78,1,HLTH_EHIS_MH2,1.0731,2024-01-06
2008,BG,IE457,15_24,X,19.5,25.48,44.22,109.13,8.81,22.08,123.56,65.44,11308,52.8,24.45,1,HLTH_EHIS_MH3,0.3298,2024-03-28
2009,FR,AT653,55_64,F,8.49,6.83,44.21,15.11,16.0,61.25,122.71,83.38,3727,43.1,30.38,1,HLTH_EHIS_MH4,2.8357,2025-06-12
2010,LT,FI91,25_34,M,19.02,12.7,32.89,103.59,20.64,44.86,116.22,30.16,2113,29.31,22.66,0,HLTH_EHIS_MH1,2.5166,2024-01-14
2011,SK,LU815,65_74,X,15.53,21.93,38.16,39.85,15.46,44.73,96.13,151.4,6176,76.55,43.54,0,HLTH_EHIS_MH2,0.5803,2024-12-23
2012,HR,FI152,35_44,F,18.39,12.15,62.79,39.03,3.29,51.0,67.21,102.17,17092,53.54,26.01,0,HLTH_EHIS_MH3,1.0797,2024-03-19
2013,DE,BG68,75_PLUS,M,20.29,11.06,43.56,71.16,9.58,23.91,149.94,164.59,2430,61.58,38.67,0,HLTH_EHIS_MH4,3.8925,2024-07-05
2014,LU,BG14,45_54,X,8.22,15.95,33.3,82.83,11.24,31.1,71.46,45.8,4736,37.34,28.24,1,HLTH_EHIS_MH1,1.26,2024-10-22
2015,SI,RO5,15_24,F,17.71,23.5,44.95,13.83,3.43,34.58,42.25,87.76,9632,47.3,23.7,1,HLTH_EHIS_MH2,4.418,2026-02-11
2016,CY,HR9,55_64,M,16.49,9.82,39.85,19.34,19.1,59.7,18.69,125.43,5424,31.34,31.58,1,HLTH_EHIS_MH3,4.6463,2024-08-09
2017,GR,RO701,25_34,X,16.32,15.58,47.38,60.94,14.42,31.81,142.96,70.93,16449,57.78,31.54,0,HLTH_EHIS_MH4,0.216,2024-06-23
2018,MT,ES781,65_74,F,16.06,19.87,65.98,49.69,6.05,78.05,135.45,126.5,9866,23.6,15.82,0,HLTH_EHIS_MH1,2.0193,2024-01-14
2019,ES,PT49,35_44,M,5.73,17.61,72.1,85.15,7.4,40.1,25.28,102.24,10281,63.79,7.21,0,HLTH_EHIS_MH2,1.5076,2025-05-25
2020,CZ,GR429,75_PLUS,X,9.63,9.22,50.73,48.05,8.62,26.19,67.35,90.78,14963,37.45,33.0,1,HLTH_EHIS_MH3,3.3465,2024-03-25
2021,HU,LV82,45_54,F,21.29,12.79,28.27,54.94,10.75,40.82,195.39,120.8,9100,76.2,9.79,1,HLTH_EHIS_MH4,1.2434,2025-11-14
2022,NL,PT99,15_24,M,8.25,11.95,40.21,22.53,21.24,43.06,70.55,107.7,3620,30.0,22.63,1,HLTH_EHIS_MH1,1.9918,2024-11-17
2023,SE,NL72,55_64,X,19.53,22.44,65.94,72.64,12.04,32.49,158.81,126.49,17712,77.85,8.82,1,HLTH_EHIS_MH2,3.9712,2025-02-06
2024,DK,IE9,25_34,F,18.38,7.84,62.79,109.05,14.46,30.73,63.66,44.47,994,41.26,15.32,1,HLTH_EHIS_MH3,0.2326,2024-11-09
2025,IE,LU675,65_74,M,14.06,22.06,43.4,44.17,5.62,64.24,23.86,101.52,15238,26.96,14.43,0,HLTH_EHIS_MH4,3.0954,2024-11-03
2006,PL,SE3,35_44,X,20.09,24.12,37.2,43.97,12.96,57.5,54.98,17.99,6296,51.62,30.39,0,HLTH_EHIS_MH1,1.1072,2025-04-28
2007,AT,LV19,75_PLUS,F,11.77,23.16,62.16,14.65,12.88,59.47,25.3,80.26,9148,73.85,11.82,0,HLTH_EHIS_MH2,1.7471,2024-07-22
2008,EE,SE97,45_54,M,14.67,16.12,44.55,35.77,15.14,63.86,85.2,99.67,12549,75.91,19.71,0,HLTH_EHIS_MH3,0.7402,2025-09-27
2009,IT,DK68,15_24,X,20.57,20.51,33.36,10.64,6.87,68.15,81.57,48.65,12554,38.35,29.76,0,HLTH_EHIS_MH4,1.2186,2024-05-29
2010,PT,LU83,55_64,F,8.08,26.74,42.18,61.54,8.85,29.89,113.21,52.05,9207,45.37,31.0,0,HLTH_EHIS_MH1,0.715,2025-07-05
2011,BE,HU580,25_34,M,15.49,18.24,54.53,95.49,19.07,51.14,82.65,87.94,1304,20.73,32.79,0,HLTH_EHIS_MH2,2.3796,2024-09-26
2012,FI,SK723,65_74,X,20.98,18.79,29.01,50.3,18.41,56.16,130.25,46.2,14240,76.92,16.62,0,HLTH_EHIS_MH3,2.8443,2025-12-28
2013,LV,LU41,35_44,F,20.11,20.83,36.06,63.55,16.49,67.02,61.29,16.76,2816,20.24,8.91,0,HLTH_EHIS_MH4,2.6097,2025-05-04
2014,RO,HU43,75_PLUS,M,5.7,25.52,66.43,85.09,10.94,69.46,71.94,88.71,11296,28.71,38.93,1,HLTH_EHIS_MH1,2.7577,2024-10-25
2015,BG,HR94,45_54,X,16.14,5.31,36.84,46.8,17.7,80.29,10.52,86.76,16732,32.65,17.45,1,HLTH_EHIS_MH2,3.7675,2024-07-24
2016,FR,DK5,15_24,F,19.95,12.95,51.04,60.73,6.21,33.7,9.75,117.13,2502,19.35,6.24,0,HLTH_EHIS_MH3,4.733,2025-05-16
2017,LT,IT2,55_64,M,4.89,8.14,47.69,13.11,6.35,80.83,51.99,29.4,3038,22.19,30.68,1,HLTH_EHIS_MH4,4.1044,2025-08-08
2018,SK,ES27,25_34,X,21.02,9.38,42.26,115.98,15.69,65.55,44.07,16.47,5414,74.86,10.58,1,HLTH_EHIS_MH1,1.5913,2025-10-07
2019,HR,CY2,65_74,F,10.8,9.83,55.31,38.84,15.3,51.66,39.74,75.96,5281,37.02,23.02,1,HLTH_EHIS_MH2,1.9347,2024-03-04
2020,DE,MT524,35_44,M,9.64,21.72,56.89,93.92,16.82,39.14,97.75,49.61,4018,53.75,26.31,1,HLTH_EHIS_MH3,2.0394,2025-03-06
2021,LU,LV13,75_PLUS,X,12.03,30.4,60.03,56.62,17.93,30.74,75.99,43.06,10130,39.73,17.28,0,HLTH_EHIS_MH4,0.7943,2025-11-28
2022,SI,BG77,45_54,F,4.8,13.69,71.83,40.16,16.16,83.18,40.72,14.37,8126,64.42,14.88,1,HLTH_EHIS_MH1,1.6608,2025-01-13
2023,CY,SE205,15_24,M,6.22,17.13,44.5,61.88,4.44,28.98,109.72,71.52,4612,64.57,15.41,0,HLTH_EHIS_MH2,3.9629,2025-06-30
2024,GR,LU965,55_64,X,6.51,22.88,56.45,69.39,5.32,36.83,155.22,104.67,9431,72.5,28.7,1,HLTH_EHIS_MH3,4.3892,2024-03-15
2025,MT,ES39,25_34,F,13.58,23.06,47.7,13.61,13.82,27.15,159.59,127.43,17896,43.91,14.71,0,HLTH_EHIS_MH4,4.2516,2024-06-29
2006,ES,ES421,65_74,M,21.38,24.71,48.4,80.92,17.73,26.86,56.24,119.98,8033,44.51,16.89,0,HLTH_EHIS_MH1,4.6715,2024-12-26
2007,CZ,AT559,35_44,X,5.51,17.76,64.12,70.25,7.66,60.72,133.82,25.78,11267,32.58,30.3,0,HLTH_EHIS_MH2,0.7075,2025-04-05
2008,HU,EE519,75_PLUS,F,22.27,29.39,44.29,12.96,6.27,48.07,83.89,117.98,10429,17.58,23.16,0,HLTH_EHIS_MH3,3.074,2025-12-23
2009,NL,CZ4,45_54,M,15.5,14.73,55.82,56.1,8.18,72.85,77.11,122.73,1734,19.1,29.75,0,HLTH_EHIS_MH4,4.1154,2024-02-19
2010,SE,NL67,15_24,X,21.1,20.89,53.18,109.41,6.75,65.96,18.8,137.91,15168,67.3,28.15,0,HLTH_EHIS_MH1,3.9339,2024-05-23
2011,DK,DE97,55_64,F,15.98,25.6,37.45,37.75,12.56,83.85,51.48,81.33,14588,50.16,23.28,0,HLTH_EHIS_MH2,1.7921,2025-03-31
2012,IE,HU34,25_34,M,11.52,8.27,56.94,103.6,16.45,22.5,141.23,132.76,12142,32.35,28.32,0,HLTH_EHIS_MH3,2.8395,2024-02-21
2013,PL,DK113,65_74,X,11.49,13.39,67.66,74.28,7.37,61.93,51.36,176.62,12531,34.85,17.99,0,HLTH_EHIS_MH4,4.5269,2025-03-12
2014,AT,LT9,35_44,F,19.53,14.09,42.76,57.08,8.65,40.55,89.62,74.8,12088,45.55,26.94,1,HLTH_EHIS_MH1,0.7667,2025-10-09
2015,EE,GR1,75_PLUS,M,16.27,14.59,48.19,9.94,7.2,36.02,69.64,150.93,8519,47.07,36.56,1,HLTH_EHIS_MH2,2.4653,2024-12-01
2016,IT,HU344,45_54,X,17.63,21.58,48.47,39.88,4.5,46.89,75.25,14.17,3675,49.65,20.45,1,HLTH_EHIS_MH3,0.6567,2024-06-25
2017,PT,LT3,15_24,F,14.05,23.37,47.18,106.7,15.72,43.55,53.74,77.95,4344,51.66,21.69,1,HLTH_EHIS_MH4,2.5066,2025-06-03
2018,BE,SK20,55_64,M,20.15,20.91,44.38,19.45,16.23,41.93,134.17,111.98,11318,67.66,35.04,1,HLTH_EHIS_MH1,4.1403,2024-06-10
2019,FI,FI92,25_34,X,6.35,22.11,35.85,46.8,3.59,78.98,115.01,65.59,131,30.86,25.53,0,HLTH_EHIS_MH2,1.3222,2024-01-15
2020,LV,PL82,65_74,F,16.62,31.87,54.16,34.9,18.98,46.92,98.57,25.34,7556,35.71,30.32,1,HLTH_EHIS_MH3,2.0301,2025-06-29
2021,RO,IT558,35_44,M,15.24,27.55,53.72,43.65,16.97,64.9,104.15,113.43,14735,71.09,39.16,1,HLTH_EHIS_MH4,3.2106,2024-06-22
2022,BG,PL43,75_PLUS,X,19.93,18.52,43.79,24.83,11.98,22.17,67.91,106.16,12944,50.07,13.72,1,HLTH_EHIS_MH1,3.9784,2026-01-24
2023,FR,FI90,45_54,F,10.01,13.76,35.08,71.89,5.98,39.55,162.53,88.09,1162,42.05,22.38,1,HLTH_EHIS_MH2,0.7035,2024-03-01
2024,LT,HU50,15_24,M,14.36,12.73,51.38,77.56,5.95,28.68,164.96,22.5,10932,21.87,18.77,0,HLTH_EHIS_MH3,2.7688,2026-02-23
2025,SK,DE993,55_64,X,14.54,11.03,60.78,31.27,14.7,42.03,70.0,146.42,5702,22.07,19.19,1,HLTH_EHIS_MH4,2.752,2024-06-03
2006,HR,PL15,25_34,F,13.85,8.99,45.75,90.52,10.79,34.21,68.11,122.28,7931,20.18,6.47,0,HLTH_EHIS_MH1,1.8692,2025-07-11
2007,DE,FR89,65_74,M,13.19,7.75,47.89,32.27,27.3,76.57,53.26,70.23,8452,53.87,33.55,0,HLTH_EHIS_MH2,1.1158,2024-03-27
2008,LU,CZ54,35_44,X,5.09,17.09,49.91,67.5,3.48,25.12,43.12,115.73,612,53.3,8.68,0,HLTH_EHIS_MH3,0.9382,2024-04-30
2009,SI,LV2,75_PLUS,F,7.16,26.19,53.05,29.81,19.84,31.23,69.9,90.73,7062,24.35,8.03,0,HLTH_EHIS_MH4,2.9695,2024-04-17
2010,CY,PL6,45_54,M,5.94,7.5,55.98,34.77,22.46,50.15,76.78,134.78,8479,77.4,31.42,0,HLTH_EHIS_MH1,3.5105,2025-07-29
