gov_budget_budget_fiscal_year,gov_budget_government_unit_id,gov_budget_fund_type_code,gov_budget_revenue_taxes_total,gov_budget_revenue_fees_total,gov_budget_revenue_intergov_total,gov_budget_revenue_charges_services,gov_budget_expenditure_public_safety,gov_budget_expenditure_education,gov_budget_expenditure_health,gov_budget_expenditure_transport,gov_budget_expenditure_housing,gov_budget_expenditure_general_gov,gov_budget_capital_outlay_total,gov_budget_debt_service_total,gov_budget_pension_contribution_total,gov_budget_rainy_day_fund_balance,gov_budget_general_fund_balance,gov_budget_audit_opinion_code,gov_budget_cash_flow_stress_index
2015,GOV97400521,GOVSK3HN,50091923,56276328,29443995,514398,18529,4531214,3562005,5861647,7356080,1034269200,59040,val_974e_00521,val_974e_00521,83344,725637657,GOVR27LI,15.72
2011,GOV97400522,GOV97O66,88672,11266521,98768385,36278601,10330,166639172,5469894,2717558,524478845,75668953,52777369,val_974e_00522,val_974e_00522,468575844,404326869,GOV5F55J,31.28
2016,GOV97400523,GOVYX766,84120611,43084789,45762,3364046,55405,759011607,51326,625966848,45466,60119667,32930,val_974e_00523,val_974e_00523,37490457,656793242,GOVZMZOO,6.71
2017,GOV97400524,GOVUEDO4,1570837,7142648,480730131,876838050,6191469,516293378,6591301,45819888,18893286,19660,765559857,val_974e_00524,val_974e_00524,90114,792765232,GOVBHWH1,86.81
2026,GOV97400525,GOVIY8FF,63237446,390108,34992,29540,378604,623278,59139,6839940,46422653,43036,6614069,val_974e_00525,val_974e_00525,326053929,37824,GOV80XMY,27.49
2020,GOV97400526,GOV5J1I4,46518,38892871,439656276,46353,109111139,63522,17636616,230068039,241261,53767915,213145584,val_974e_00526,val_974e_00526,11313206,54214130,GOV72F7Z,25.73
2017,GOV97400527,GOVGG1CZ,479528570,66809144,209605808,7305594,203351,55981186,58631835,39955681,35309977,720841895,80440974,val_974e_00527,val_974e_00527,563925,728179994,GOV0V501,84.34
2025,GOV97400528,GOV6RH3W,4364260,17838,3706409,23752,4603066,71306,49241,275087,37209747,35507455,3335953,val_974e_00528,val_974e_00528,62256,5609961,GOVDJJFL,55.17
2017,GOV97400529,GOVESIL5,716349128,180672,4118628,4735425,40422,243608917,149652570,33294,559618,186753,5241238,val_974e_00529,val_974e_00529,824156679,357158,GOVI23Q3,75.36
2025,GOV97400530,GOV7GBFN,4444248,35786,63835,3862571,36498269,7519061,38004,598386,413401556,309820,54930,val_974e_00530,val_974e_00530,6635857,498327613,GOVF9PC8,22.58
2014,GOV97400531,GOVN9OPI,28191305,62175546,32091621,699872,5556733,58926561,46905,683172,68026335,8395670,43608611,val_974e_00531,val_974e_00531,300804622,83671912,GOVJZULB,43.19
2012,GOV97400532,GOVTFRGN,6223674,3402250,7574077,64676263,74314,53012,54871,441831687,485127548,164067,53015990,val_974e_00532,val_974e_00532,417948577,329528,GOVMEQXK,8.9
2012,GOV97400533,GOVN7XZP,3688986,1072245,687901371,5452995,6292402,726027503,465105,8126673,44713974,26640266,4962190,val_974e_00533,val_974e_00533,41945,332856606,GOV2B86Y,20.06
2014,GOV97400534,GOVAJWEQ,5328109,721130,61476,94443,81647,46253719,2193851,77961,49483428,251410,37030243,val_974e_00534,val_974e_00534,43701,18000,GOVO4P0T,59.73
2023,GOV97400535,GOV3RUO2,728510293,34160,32632,27956059,83377,21869007,23208422,51500276,28736060,860272,82423844,val_974e_00535,val_974e_00535,2840988,732366269,GOV98N7X,74.26
2025,GOV97400536,GOV93ECJ,41935780,509762,595188,60499032,5166341,46558,32980805,714300,7838018,6495751,48253084,val_974e_00536,val_974e_00536,87960045,689850,GOVW65GV,27.42
2017,GOV97400537,GOVV4PHX,4575132,59328,452267,6126634,39852059,70312489,2002482,619434951,848965,570856,500609514,val_974e_00537,val_974e_00537,683674,59671,GOV3ICHR,36.81
2023,GOV97400538,GOV5VZ4O,5354470,64297502,4707594,4713001,30299,47313319,32475,45569,59725,64407277,8576854,val_974e_00538,val_974e_00538,6055726,73563524,GOVXKZA6,22.68
2025,GOV97400539,GOV5L9DA,76019,46858,7479950,494588,291504516,64938700,2983640,418183,4432866,2203461,366317395,val_974e_00539,val_974e_00539,9102199,621180,GOVI2YPV,26.71
2025,GOV97400540,GOVBUJGC,39465761,4194991,60358,545322698,802867,409006,5804061,2815297,487995490,52891,4800416,val_974e_00540,val_974e_00540,340076,34642,GOVDE01F,54.84
2017,GOV97400541,GOV2ALVS,3930065,160038,776388,651193,68302064,39844503,3966822,37563,706365991,530159,683461,val_974e_00541,val_974e_00541,69472,283133,GOVBEBEI,56.19
2014,GOV97400542,GOVCIUBA,42117,6169130,92163026,47407,565490221,378606,83910779,37954922,3799000,60795224,3886063,val_974e_00542,val_974e_00542,70380,81823384,GOVOTHM4,45.68
2024,GOV97400543,GOVGPDUK,58326926,749134323,5775674,593117,18378,30221723,550929707,36949,593342,29590059,48909,val_974e_00543,val_974e_00543,382897627,5682365,GOV3SWVA,54.72
2015,GOV97400544,GOVD6W7S,845303162,58764,58743,9858328,65554,684157,44500276,5892121,357984795,309284736,944463,val_974e_00544,val_974e_00544,290747646,79509,GOVA9KF1,98.98
2016,GOV97400545,GOVUWDRR,402106,40213,51154,431162,70333,60324574,407765066,53633103,703467187,3728763,71709871,val_974e_00545,val_974e_00545,5179184,756442,GOVCJOLN,43.29
2011,GOV97400546,GOVCZKPU,30666219,453992492,44859,34865,7718324,4302604,320942,723863242,270197760,278007634,626549035,val_974e_00546,val_974e_00546,11760,556019143,GOVLW8RP,65.7
2013,GOV97400547,GOV0QWS5,59305352,46220,271473,30875,56879315,5060156,353715228,42969188,5667294,638461760,657043,val_974e_00547,val_974e_00547,12788,516246372,GOVRH9S7,33.14
2017,GOV97400548,GOVV83YA,44609307,38960,4531679,492869,6555338,687333,39210,83645,488471,52056003,53501,val_974e_00548,val_974e_00548,70872,37056151,GOVNGVWS,32.25
2012,GOV97400549,GOV0IH52,5639811,368226660,6002340,61151,7008053,61095,574222,465886500,71431797,325078130,35392,val_974e_00549,val_974e_00549,509464,5044239,GOVIFXXN,68.01
2010,GOV97400550,GOVC049T,706437696,77384564,358056459,474587870,27274,710553,654575,40603039,5446860,67414287,90056,val_974e_00550,val_974e_00550,52083276,451128,GOV2NBWP,99.46
2025,GOV97400551,GOVQ7QI4,294960331,696182,86854,40070881,31092,53658385,5357408,425898,626982,882205,52723,val_974e_00551,val_974e_00551,58401516,53353940,GOVCCVE8,61.58
2019,GOV97400552,GOV80L2Z,564469501,5403999,661844,145895400,29716982,671779,44885876,282463668,1046059476,50944791,310367,val_974e_00552,val_974e_00552,390738,49160,GOVMFYG0,95.47
2020,GOV97400553,GOV4ACQB,65541,5365776,33063,5426007,533152,3721152,25286,45930,627581,78277111,366032683,val_974e_00553,val_974e_00553,99425,398945,GOVZPY50,39.95
2013,GOV97400554,GOVXFUB6,252664,29661,52816073,589690954,22625640,760126,458995727,809490,8196799,6507735,419480,val_974e_00554,val_974e_00554,164387232,4025704,GOV0DPBW,95.86
2022,GOV97400555,GOVA0MAJ,537609,125767,6100820,3785021,3287742,6519190,423286430,662392,56443,330518326,37062,val_974e_00555,val_974e_00555,77075,681723927,GOVFW651,84.9
2015,GOV97400556,GOVFL4CN,391088424,370695470,35762,58417,5409064,5588898,42114,50155087,7141354,65322362,565160,val_974e_00556,val_974e_00556,95553712,4589690,GOVSGAUN,20.09
2022,GOV97400557,GOV0N0ZN,719380440,35884065,5693188,42162511,23216,26353948,505617194,47425902,911184,623068,4779406,val_974e_00557,val_974e_00557,4214253,599409351,GOV3OZP0,31.77
2013,GOV97400558,GOV1BA5T,51952173,61644,251627946,21250,450550,46820,51317471,207975,3517883,58971,488002,val_974e_00558,val_974e_00558,4523171,4021831,GOVAXI24,73.65
2020,GOV97400559,GOV09TK5,62209797,301211,47052,68952,6471196,492636,28427708,4791639,5997602,62304,68071,val_974e_00559,val_974e_00559,532129401,416713,GOVW4GZU,51.75
2017,GOV97400560,GOVER4E4,64070,50352,282931,405196,73946425,865632,478903,7354957,3082736,553086,696780,val_974e_00560,val_974e_00560,843569,60517656,GOVT14Z8,66.36
2021,GOV97400561,GOV6NW4K,27992,349848825,63543,6080629,65588,26132,135222949,685272,1971110,42665814,4300985,val_974e_00561,val_974e_00561,5135380,246832101,GOVWTOC1,4.55
2011,GOV97400562,GOVVCU0O,53933057,701487729,8724257,97115947,4834194,493776914,32271794,27098,799654,710087371,528757645,val_974e_00562,val_974e_00562,657395702,606471,GOVGFP38,74.2
2017,GOV97400563,GOV0S7AR,755815,6849601,628262,48015,588019282,84727,7179989,662205759,403591,4869176,6198455,val_974e_00563,val_974e_00563,529576951,597491,GOV5IR77,44.27
2014,GOV97400564,GOVM2RL7,7015321,368188,79235,745169701,3978234,35807,704972598,316326,638164,376351,9604012,val_974e_00564,val_974e_00564,40547957,676313702,GOV8QAN7,49.77
2015,GOV97400565,GOV7J7QZ,48535297,3215965,6250538,385563929,4351644,62438,2071612,35694,639489618,73239610,3803595,val_974e_00565,val_974e_00565,17357,3733442,GOVIFSOW,90.05
2020,GOV97400566,GOVGE4SY,293553,487091783,469316,33255962,264565,57364496,543071645,91277999,67631,209945,5854092,val_974e_00566,val_974e_00566,31221,421783900,GOVYQ0QY,42.7
2021,GOV97400567,GOVSGNEY,21155216,48709563,4365524,54998,7776445,41837,2800457,38916,207074718,360266,50544,val_974e_00567,val_974e_00567,1964826,9714982,GOV2YGVL,50.86
2012,GOV97400568,GOVY8PGB,3958637,369680,70934,203877979,50950544,585705,5618881,428541,6117269,59647,32295815,val_974e_00568,val_974e_00568,43290,660577,GOVCADFD,82.35
2010,GOV97400569,GOV7POEV,753265473,7046778,579538,715570704,37380884,627347,51940076,33217,561895,574825,33714496,val_974e_00569,val_974e_00569,549271,496447020,GOVBYFTT,92.77
2012,GOV97400570,GOVM7H8H,42627886,313784,2908759,523159,608071,726784441,39362956,39090637,381705,2918188,3439940,val_974e_00570,val_974e_00570,3039478,39915111,GOV0TZ58,2.72
2016,GOV97400571,GOVKLYNZ,410562944,44799,48768,460497583,571042698,49634,292170,672767,4494822,262855,518616,val_974e_00571,val_974e_00571,720595,6551316,GOVAZO62,28.88
2016,GOV97400572,GOVUL2WR,447117,97912,55187007,46203,1905166,5856329,34479,27087020,58892785,43445,424043311,val_974e_00572,val_974e_00572,47709,35774,GOVSZ4CK,77.36
2023,GOV97400573,GOVKNYR9,64141,524697766,421473,5559968,34720447,67619,63448,822528091,491248408,287872,6764970,val_974e_00573,val_974e_00573,265876014,360944,GOVGRWK1,50.59
2024,GOV97400574,GOVAS62E,6425200,8590726,70252964,56419,469610624,31686,3483236,66519,76838708,4891959,470970875,val_974e_00574,val_974e_00574,6095155,555113,GOVZCGT2,51.38
2014,GOV97400575,GOV1O5C7,1474673,52107411,4304058,884247,437682771,565119,9696734,1047506,5721993,532081,387664,val_974e_00575,val_974e_00575,56054978,96041,GOVR04GO,47.0
2013,GOV97400576,GOVTTP5M,47157666,621324,49215877,35561,4667073,677988,46301107,70482,431245,4079049,3926584,val_974e_00576,val_974e_00576,54683382,4380444,GOV830SQ,79.17
2012,GOV97400577,GOVYA73I,5107983,74199169,79694,411798472,97171,840222,365058,5290517,238629639,638970,508940,val_974e_00577,val_974e_00577,76769483,419653,GOVX7A9G,71.54
2020,GOV97400578,GOVXVO4C,62595803,81902046,5605205,76107310,591553,545562113,502844,71822,7674963,535118,8316038,val_974e_00578,val_974e_00578,59435612,40468,GOVNHVA2,57.01
2012,GOV97400579,GOVGD6UG,574648,409906660,28836,77679,303054789,19405,270239,524929,324956044,572910492,64058,val_974e_00579,val_974e_00579,37823668,521893276,GOVAZCZN,9.58
2022,GOV97400580,GOVTLRIT,8505974,38555,2314721,661196,267724,39358835,354700817,414430,440897071,57909248,3995709,val_974e_00580,val_974e_00580,496400,643352113,GOVKN8JI,45.6
2024,GOV97400581,GOVWWXY6,2114596,283441,22209,492138098,48594,837800,5233505,567201,566751,403824,6011131,val_974e_00581,val_974e_00581,1614825,433679778,GOV8VU73,91.19
2015,GOV97400582,GOVC7KOM,41536957,53993159,52094,15468860,632709502,50739,585144948,5824,49183188,301138,553948379,val_974e_00582,val_974e_00582,23516,2694998,GOVSQLWG,26.04
2021,GOV97400583,GOVEHXXK,340541625,4998272,119291367,439257,5732928,3530932,515865790,28217,29461286,29323,549476,val_974e_00583,val_974e_00583,669738,57794693,GOV74R8V,35.04
2025,GOV97400584,GOVDC8C0,247920383,34484981,4771652,43749,529902,542660,25406,70286,34883,61005453,76595962,val_974e_00584,val_974e_00584,665746407,25094,GOVNBJT5,62.59
2013,GOV97400585,GOVFFL7E,676210135,7272386,745134,971577014,87334680,340228578,11699614,533309,612756776,422288694,634934,val_974e_00585,val_974e_00585,65388,329108,GOVY17Z2,84.2
2010,GOV97400586,GOVSGSSF,618082,8250885,634918866,81429,47166844,266173,64040044,554730314,37615,66370,25640,val_974e_00586,val_974e_00586,998148885,482326,GOV92H5J,66.02
2017,GOV97400587,GOVBW6CC,4420045,723085,40788,89917245,775700134,6264186,39362,1049525,39831,519465,21675,val_974e_00587,val_974e_00587,36910327,42447,GOVIS6RI,0.01
2023,GOV97400588,GOVCOR3G,45930340,68710434,21691874,432092,60915,53216057,1818,575194175,72299,18948569,498003463,val_974e_00588,val_974e_00588,84712,60291,GOVI8G1M,79.76
2021,GOV97400589,GOVA4LGZ,493817099,49800260,6230516,831911,55635103,2850180,762784292,652947557,36176,608304830,65988,val_974e_00589,val_974e_00589,645781350,2883289,GOV5P8KT,64.29
2010,GOV97400590,GOV4E33E,68202,64131,41904,75334,41389760,47850,57549,29116,304354899,280803754,89152072,val_974e_00590,val_974e_00590,11200590,475214,GOVUY9JB,56.15
2024,GOV97400591,GOV303WO,590746,472471774,59743,905444227,2451333,592208,483973,6636828,4663374,51412004,471394015,val_974e_00591,val_974e_00591,49510533,543511095,GOVN1II7,35.03
2013,GOV97400592,GOVBR8P8,245503,53141,7085916,511308,6789626,456730,44913546,325416001,163577,45876680,55844,val_974e_00592,val_974e_00592,72705976,55110,GOVJPTMB,24.57
2017,GOV97400593,GOVXT87A,6817661,257945303,7938263,7928505,47693116,722608,22162,670311,314980,768578,66009,val_974e_00593,val_974e_00593,48962,656151,GOVZYBWA,47.7
2010,GOV97400594,GOV3KCAZ,5530035,40183070,7266105,580092,43402260,56818776,549140537,3462638,25516024,74766,517496233,val_974e_00594,val_974e_00594,6022277,17169956,GOV66TQB,62.72
2026,GOV97400595,GOV61U2X,457910473,5017360,50142,4383428,64388213,60106,70921086,4773944,601207365,791955375,318300,val_974e_00595,val_974e_00595,39728081,5398800,GOVKAMGD,96.68
2026,GOV97400596,GOVJ80XW,65867710,214053511,506316799,564610526,58565,38105021,67469619,49024,6088846,200706,3927477,val_974e_00596,val_974e_00596,102236587,70885,GOVVGNCW,72.22
2019,GOV97400597,GOV0F7MM,886497,44388729,3756868,40104,4422739,4459439,2280985,46077,340087005,620797795,54029,val_974e_00597,val_974e_00597,3521352,446669,GOVARDLL,29.88
2017,GOV97400598,GOVBU53G,63012940,34656704,653188162,4383149,11896,525976,59651105,381931049,18210,52494,63166,val_974e_00598,val_974e_00598,453044,487179,GOVTN0HI,22.88
2016,GOV97400599,GOVZ2LWG,39415373,4081987,3643295,694438,396475073,11322,28054,94927664,18063,61041815,902372309,val_974e_00599,val_974e_00599,49177504,636978851,GOVOPH85,24.38
2024,GOV97400600,GOVXYU1N,526684926,5150152,401280061,638710,36382,185482,443621,42176,601154,79925681,910481,val_974e_00600,val_974e_00600,754333158,81324160,GOV36O26,49.0
2013,GOV97400601,GOVNVSAN,17191639,98391,476301629,86139684,389446,8169214,763581,40808,1266589737,882814941,2580249,val_974e_00601,val_974e_00601,43089738,3756178,GOVQH482,27.44
2013,GOV97400602,GOVB6RQB,6001462,7136407,118175,4174495,17769,589874,303025,2323181,8383132,5894968,2863659,val_974e_00602,val_974e_00602,6090569,335268,GOVMJ5KH,52.71
2013,GOV97400603,GOVZG0EG,683261,69156709,561751806,33224,78363,38534839,31051695,21653,652191399,46281,5684027,val_974e_00603,val_974e_00603,54700401,41929060,GOV082MJ,24.94
2022,GOV97400604,GOV4RLMJ,25897135,293810,45551,337927,463699642,310891,47837804,675342,51225,5907516,440442,val_974e_00604,val_974e_00604,490420,586607593,GOVTES5O,78.46
2019,GOV97400605,GOVV0G3G,535338,74246,455239,652893362,32208,519547046,65316,260035,50525256,7298369,47741565,val_974e_00605,val_974e_00605,540175,847962,GOVMRRAV,28.21
2013,GOV97400606,GOVPVTSY,73146038,413029,108009523,5788191,60033380,74033,207947,668652260,341210552,49895,436691,val_974e_00606,val_974e_00606,49594,2270083,GOVH1C8D,85.34
2024,GOV97400607,GOVLVVNO,60617246,40594,38085744,6050,453814701,378781,730501,59108,39259331,431610,525000421,val_974e_00607,val_974e_00607,742542549,525231740,GOVOAJQL,85.5
2025,GOV97400608,GOVU02XF,32673985,56549,882808421,475562,457074,3822,25595,645772,227599,227384146,605704,val_974e_00608,val_974e_00608,574078703,47788829,GOVTNDUO,32.17
2025,GOV97400609,GOVJJPBE,746210267,65016,87997,25591316,324751690,1674714,8598621,59525,3309067,247060,488471,val_974e_00609,val_974e_00609,3841054,53930654,GOVEGCN2,11.26
2016,GOV97400610,GOV8P76H,6796206,50178346,35523764,60022,977552,49095,267102,666183,243250,29871,536379429,val_974e_00610,val_974e_00610,58500,159304,GOVHIHWQ,15.36
2015,GOV97400611,GOVDSSM8,35038261,1370750,50453,6513910,415120,12025,392229785,776238100,64612,691549,5634842,val_974e_00611,val_974e_00611,658924,4396981,GOVVQOUR,51.01
2018,GOV97400612,GOVUY6A5,2879265,64767,471892,68967,429473895,569027,8913392,540330,396350214,475142450,265153,val_974e_00612,val_974e_00612,274768,34282437,GOV22T2U,45.98
2024,GOV97400613,GOVD30C5,34880,5267203,805941,75941579,238514451,494512,7089502,432394333,4659654,816161923,45435308,val_974e_00613,val_974e_00613,8285659,5186110,GOVB0ZU5,84.56
2016,GOV97400614,GOVG2YF4,41528101,261760,33045,310563,6702856,373440528,6394225,898270437,520530,25118510,468693,val_974e_00614,val_974e_00614,492879,119863839,GOVYOP8U,37.91
2023,GOV97400615,GOVRSOTG,890728,75854923,40493000,496578,34926,4312545,415144,1582043,219115,416590780,5278209,val_974e_00615,val_974e_00615,51001593,459157074,GOV0AGDB,87.32
2017,GOV97400616,GOVSJEWK,442660,22300,4986599,34774,33366,425726,9935983,14977552,533683192,51373,83276789,val_974e_00616,val_974e_00616,11404,60389,GOV0MK3N,50.92
2025,GOV97400617,GOV9SYPB,363459005,4173692,457103401,6422709,51944,450691969,62187,5319100,25596514,48103437,818946,val_974e_00617,val_974e_00617,830272,3569119,GOVOPP2T,7.46
2015,GOV97400618,GOVN31TZ,207554,4120443,1841344,6750233,650161,7802490,424312,23480,732216824,54880123,714184995,val_974e_00618,val_974e_00618,720254193,67211,GOVHMCCW,8.71
2023,GOV97400619,GOVJ0ETP,307516,368764,55935466,313902431,554880,16444268,7540568,222500590,74014,669077,96788,val_974e_00619,val_974e_00619,526896,63953,GOV8IZW3,95.39
2014,GOV97400620,GOV8YEA1,49174242,48733131,406573397,6705003,554356599,86607545,8426526,485443721,12236,6797892,242206442,val_974e_00620,val_974e_00620,506634708,29396,GOVGHY2D,1.67
2022,GOV97400621,GOVMDNEX,275332158,16253136,47925087,32470820,53387,56521369,47333155,170159,3264551,45730872,411144,val_974e_00621,val_974e_00621,5720489,64452,GOVT3CQO,32.74
2014,GOV97400622,GOVXYMXQ,6153481,556611119,104795381,415135382,500344611,218405518,57322,221366,37051,5076418,2082521,val_974e_00622,val_974e_00622,15592525,5033660,GOV1KFT9,77.8
2019,GOV97400623,GOVUN45W,59904,623919,6764025,6806738,641263,339137159,526663445,61014238,58423,16916,6787402,val_974e_00623,val_974e_00623,39678207,12331722,GOVIDN3M,80.98
2017,GOV97400624,GOVS03BS,343744,249009,39914,323915,5506349,535987,58076,85913,13667,89786,46436420,val_974e_00624,val_974e_00624,44608,28614,GOV1WE38,26.09
2025,GOV97400625,GOV0UUPB,432542063,468290810,41041631,191899436,36524460,402095,344576,610059,63733299,45979851,612184085,val_974e_00625,val_974e_00625,32287888,8040734,GOVNHL7U,64.73
2019,GOV97400626,GOV9BAPU,84401600,753247,15031631,459272,447623,4650948,44716499,36494604,30986176,54579360,58953,val_974e_00626,val_974e_00626,48252,41541,GOV67SAQ,33.65
2014,GOV97400627,GOV2TPK5,44189033,397015,56574,2889056,42633,217974,54310910,518314,7449111,3943085,589357,val_974e_00627,val_974e_00627,20213284,445825662,GOVATXXZ,71.58
2026,GOV97400628,GOV07ADQ,328040,398236125,790914,3713683,348494,2570643,33328572,564169,712090284,4713500,88151,val_974e_00628,val_974e_00628,3136307,36743524,GOVSPHFC,57.21
2010,GOV97400629,GOV8XKSL,6908063,18919346,23040031,3559958,25737464,506329257,132400365,18544402,40718,4000220,11208167,val_974e_00629,val_974e_00629,456150,501037091,GOV944L3,47.59
2014,GOV97400630,GOVQ5FSN,366373,61609571,530428606,6556847,45089,77246,50508866,64894,3626199,75626,71088,val_974e_00630,val_974e_00630,455411,35065,GOVLPI5C,2.0
2022,GOV97400631,GOV5KPES,48362,7102435,4562224,58922,45343,5677989,6964523,3614887,585410373,4212946,915440,val_974e_00631,val_974e_00631,51193,72469006,GOVLUT5S,71.49
2012,GOV97400632,GOV1P6TU,5847660,44693050,102644,64451,51768,43912,115962,17972,4591886,463770678,583893,val_974e_00632,val_974e_00632,493500825,83005527,GOV8WYXA,56.3
2018,GOV97400633,GOVY6A5W,3546121,513425465,4511570,45451986,45558400,5856401,337217556,5276265,790455956,47216322,4536651,val_974e_00633,val_974e_00633,86800102,390058,GOVNJMKB,83.6
2025,GOV97400634,GOVBM3MM,48009,6657936,40510,433315,50887608,4372185,56758289,59748,2963685,423449,334097,val_974e_00634,val_974e_00634,3048093,26674,GOV999TQ,35.68
2025,GOV97400635,GOV41QSN,669159682,800583122,2718,63051,535951041,7783,375207243,2353468,485419349,30029,639525663,val_974e_00635,val_974e_00635,574858,522849,GOVRRS5E,19.34
2016,GOV97400636,GOVFA7A1,845432034,622075,397819,369847,668769929,6008555,68815849,595311921,56242,1830755,4536462,val_974e_00636,val_974e_00636,6338442,71693096,GOV3NST5,8.09
2013,GOV97400637,GOV8SK17,3453902,234784,404157430,325904,733697,578406,76463700,664554,226922850,453498,684989220,val_974e_00637,val_974e_00637,527276,855789124,GOVZS5OL,52.18
2024,GOV97400638,GOV3VAN5,5226530,57318974,4700904,101766,687347263,36999,30494308,489107,267498680,119417007,49148610,val_974e_00638,val_974e_00638,34519,28869,GOV7L4SM,73.33
2022,GOV97400639,GOVUNJRL,5589382,4820607,20774,507056823,161040536,35327,52015479,801257636,49898,43629,568793360,val_974e_00639,val_974e_00639,83396209,71362255,GOVO73VA,11.61
2022,GOV97400640,GOVY8BMT,52460505,7931830,206706,728297624,153627652,805828285,31793226,618341719,787758,54285810,52308,val_974e_00640,val_974e_00640,483264174,4470965,GOV2QHWJ,35.54
2026,GOV97400641,GOVMMVYW,154109,7793667,44655,53930142,409386420,431124,6366433,4859466,218858,523836,30642053,val_974e_00641,val_974e_00641,757616,7607414,GOVJ8T04,94.68
2010,GOV97400642,GOV2PGVU,747611798,57333847,32523,44168,52757,1791108,14259719,59199791,523363,39065069,1459169,val_974e_00642,val_974e_00642,114311847,4717358,GOVHIEIM,98.47
2020,GOV97400643,GOVB7SNF,32862208,672679102,7491370,365937,638952,79153021,699824,1832084,5801193,143241,71818040,val_974e_00643,val_974e_00643,3058314,162106408,GOVARUXB,65.3
2011,GOV97400644,GOVBDM9V,145182,1762776,120471556,430823067,37403,33001,70481,35546,64622107,35370,49332189,val_974e_00644,val_974e_00644,73056,740921737,GOVXWFV5,8.41
2020,GOV97400645,GOVIHPRQ,3351917,36355,6955771,56055538,40876,449406,5925084,6855376,40978,68108,40034,val_974e_00645,val_974e_00645,30924,2992572,GOVUS5CQ,3.21
2023,GOV97400646,GOVOETW2,28834402,473964,48192,2386039,58511088,62721,508714,287446,266295249,724796,27343986,val_974e_00646,val_974e_00646,47045504,97620,GOVL4O47,61.86
2019,GOV97400647,GOVJ8E8M,44691,59065615,2438386,37565,40320,49137631,325577765,557838621,433007,4823041,583870,val_974e_00647,val_974e_00647,4440792,82147967,GOVVF4P2,83.64
2013,GOV97400648,GOVF0DPK,724490,50684,38828083,52175353,6879308,65770,406921734,66923,45075176,56303,6276197,val_974e_00648,val_974e_00648,5105294,2809589,GOVN6E9P,46.55
2023,GOV97400649,GOVKMUZ9,327677,55588,58547,5284009,72018973,7444709,40492212,6744927,4183018,87539,38024836,val_974e_00649,val_974e_00649,6768331,56218,GOVTRJMU,16.25
2024,GOV97400650,GOVEZV0A,17988407,90503,40285723,293385,73274127,7637702,5159134,59939,8786427,47867310,29916,val_974e_00650,val_974e_00650,61839,665146,GOVZ5B43,82.85
2025,GOV97400651,GOV8NTKO,52014,454891,55792,9525611,4576392,38962447,490051,33904,425421232,801432,3762724,val_974e_00651,val_974e_00651,735478,686232575,GOV78QR4,10.52
2011,GOV97400652,GOVGV6O3,584271,235561,56089713,58953482,5806807,29009008,231796,39299,31227,235590,53028967,val_974e_00652,val_974e_00652,45213464,47971,GOV2DPMY,60.02
2025,GOV97400653,GOVSOQ5B,4246451,49356,653218385,22933,6952891,5761834,7681554,43174188,35712,23373456,45837,val_974e_00653,val_974e_00653,23521536,82285,GOVYZO91,25.76
2018,GOV97400654,GOVUBZCJ,66230000,45073052,35324,9266297,32151,498017,3042765,791320,169774,1894167,54728,val_974e_00654,val_974e_00654,2656186,80388247,GOV24QIV,7.71
2012,GOV97400655,GOVSMW86,10129,9334117,6504178,62466041,4779967,624308,22288846,76244,427975,8926496,751332274,val_974e_00655,val_974e_00655,58327,28890609,GOVR5VGX,12.07
2018,GOV97400656,GOVCT5VG,18452,551062642,325447015,467098794,2372179,840733,375765770,431554291,56066444,398715686,4410861,val_974e_00656,val_974e_00656,78424528,23542,GOVF3TQ1,2.67
2025,GOV97400657,GOVM4ZXH,4766756,507370542,46351875,3247067,701077707,491645,66028655,31210359,47497,49474,578778,val_974e_00657,val_974e_00657,51420,71696987,GOVPZWV6,16.1
2023,GOV97400658,GOVNKYGQ,251836,506484459,878472,2990309,29637091,385357746,72718,69115770,45117201,41780465,45610490,val_974e_00658,val_974e_00658,44118608,60906,GOV3CJ2U,88.33
2012,GOV97400659,GOVWPFCV,70035074,605765815,3909257,582416986,274346,728523842,1498935,3569025,619660591,61552,1997,val_974e_00659,val_974e_00659,56727,24131005,GOVT06JY,3.75
2016,GOV97400660,GOVQD0FQ,503587,552731,675413292,4035671,562130,55487918,480149,11259,3056159,5482588,220163,val_974e_00660,val_974e_00660,779206,594625766,GOV4QICE,13.2
2014,GOV97400661,GOVA35YY,43104433,352371,378243,649217637,704182,4510917,3957383,607975329,454462910,114204692,41449366,val_974e_00661,val_974e_00661,5756762,228052224,GOV7PN42,35.9
2025,GOV97400662,GOV0L584,68284447,307262,33085,6210,4017672,42775,2601326,756666,466769,770727704,839546,val_974e_00662,val_974e_00662,60805,33404,GOVDSQ57,35.22
2019,GOV97400663,GOVUHNV8,404828903,6079162,752329105,491578,6131003,1565022,579751,4766495,859148872,47991,693051,val_974e_00663,val_974e_00663,4879598,88563,GOV6HH6J,86.55
2017,GOV97400664,GOVYWE5V,377475,26349304,43914788,639221353,74274142,413201,481306,48072,800142520,5620546,59508,val_974e_00664,val_974e_00664,628041,720196937,GOVG1821,96.42
2014,GOV97400665,GOV08SEP,751067,124313,175589,103664,622902547,8675241,687552,40488,19515004,753355,6766939,val_974e_00665,val_974e_00665,456695,54386459,GOV65SUO,74.97
