labor_indmix_establishment_year,labor_indmix_county_business_pattern_code,labor_indmix_industry_naics_4,labor_indmix_establishment_size_class,labor_indmix_employment_march,labor_indmix_employment_annual_avg,labor_indmix_payroll_q1,labor_indmix_payroll_annual,labor_indmix_average_weekly_wage,labor_indmix_job_creation_count,labor_indmix_job_destruction_count,labor_indmix_churn_rate_pct,labor_indmix_new_establishment_count,labor_indmix_closures_count,labor_indmix_multiunit_share_pct,labor_indmix_women_owned_share_pct,labor_indmix_minority_owned_share_pct,labor_indmix_veteran_owned_share_pct,labor_indmix_rural_urban_class,labor_indmix_confidentiality_flag
2018,CBP100446,7221,1000_PLUS,62230,63650,1190576192,4494359851,2590.53,3181,4621,50.95,1609,1511,81.0,12.27,69.98,13.36,SUBURBAN,0
2020,CBP100447,3331,100_249,39770,37550,805977573,3249669576,805.25,8862,3747,15.14,941,214,6.72,1.66,51.84,6.64,URBAN_CORE,0
2014,CBP100448,4241,20_49,53139,52755,401794526,1375941974,1355.01,10238,11874,18.95,1157,1735,29.06,31.95,2.48,5.89,RURAL,0
2016,CBP100449,3241,250_499,27189,25131,464596084,1903456047,2169.08,10287,3994,6.23,1326,110,42.31,12.76,44.68,27.5,RURAL,0
2023,CBP100450,6111,1000_PLUS,10396,11322,156986613,542325625,795.92,1843,877,34.08,913,1493,56.41,30.78,56.78,6.16,RURAL,0
2020,CBP100451,1121,500_999,74618,68845,550279452,2273046421,1359.2,3521,6604,40.13,213,563,36.58,37.51,52.57,24.69,RURAL,0
2010,CBP100452,3141,10_19,55609,55591,368047917,1438812937,1459.56,10258,3634,2.61,900,1740,47.58,52.85,20.81,7.42,SMALL_TOWN,0
2017,CBP100453,5231,20_49,49816,44806,837298091,3196034982,2270.93,8521,1951,17.41,420,21,56.41,35.24,14.92,22.16,RURAL,0
2023,CBP100454,5611,1_4,64382,64345,1205040863,4366656591,1296.47,9319,10667,12.27,319,119,29.31,23.77,2.5,33.48,URBAN_CORE,0
2014,CBP100455,3231,250_499,10752,9476,159702254,656472127,741.07,9100,2410,47.4,498,758,21.96,53.74,1.06,3.72,SMALL_TOWN,0
2017,CBP100456,1111,1_4,21403,21549,240608692,855497307,815.71,3060,7307,17.61,1071,150,76.23,4.91,33.08,5.21,URBAN_CORE,0
2018,CBP100457,3131,1_4,15486,15010,198893947,772732300,953.92,7909,6886,44.14,29,534,47.95,3.03,50.82,6.42,SUBURBAN,0
2010,CBP100458,7221,1_4,50231,49419,1022797251,3995546424,1551.4,10056,8475,12.43,1784,375,79.3,30.87,66.88,18.32,SUBURBAN,0
2022,CBP100459,4521,10_19,552,489,11645220,44680769,1094.36,5552,4352,43.59,474,336,47.69,37.41,32.9,2.18,SUBURBAN,0
2017,CBP100460,1121,10_19,42971,47439,585105440,2376053417,1250.11,5412,5514,20.38,305,231,22.99,37.53,18.5,4.62,URBAN_CORE,0
2013,CBP100461,4241,500_999,10619,11666,233465840,876220122,751.91,9006,5455,39.68,1434,741,53.57,15.62,71.71,13.68,SUBURBAN,0
2015,CBP100462,5191,100_249,67211,59402,732987988,2959470268,2069.01,7536,4400,14.01,1614,1421,63.01,12.58,38.57,28.03,URBAN_CORE,0
2012,CBP100463,4811,20_49,18773,16523,177324050,712790843,1463.04,343,7786,48.68,1009,154,54.52,32.01,31.32,5.83,SUBURBAN,0
2023,CBP100464,4451,500_999,46986,46391,990811589,4027366763,472.48,8619,584,20.53,1213,1407,2.74,49.19,13.32,14.36,SUBURBAN,0
2020,CBP100465,2371,50_99,68701,71786,1527135847,5929171799,1948.62,2517,1050,12.86,1663,462,11.33,61.65,18.46,21.34,SMALL_TOWN,0
2011,CBP100466,3141,1_4,32857,30228,280277210,964499983,913.91,1944,5667,7.57,1618,1723,75.95,30.06,50.21,19.48,URBAN_CORE,0
2017,CBP100467,5181,500_999,3752,3725,42430661,157930210,1078.28,5457,9879,34.04,1662,1571,9.02,9.6,24.19,18.55,RURAL,0
2017,CBP100468,5611,20_49,23169,21521,443342506,1583468784,836.76,1217,11249,9.01,327,1135,74.4,39.63,26.41,6.99,URBAN_CORE,0
2012,CBP100469,1121,500_999,50668,45834,957977559,3485409104,584.75,3779,2460,2.69,1778,181,1.27,64.97,47.16,12.29,RURAL,0
2022,CBP100470,6221,1_4,46551,40741,543078558,1980690813,1090.41,744,6133,25.37,483,1681,10.97,62.16,1.59,25.79,URBAN_CORE,1
2015,CBP100471,3341,10_19,32947,29821,223620678,851479025,1543.96,923,954,14.83,1220,1523,68.19,59.5,31.87,18.04,RURAL,0
2018,CBP100472,3241,250_499,71799,74832,1502068481,5224108529,1393.92,8836,2977,20.79,1530,114,48.91,23.71,22.84,26.62,SUBURBAN,0
2013,CBP100473,6221,250_499,66986,72281,458601837,1723037253,873.18,2397,4586,44.23,604,791,7.26,54.64,17.35,31.94,URBAN_CORE,0
2014,CBP100474,5411,500_999,66580,63522,541302768,2142468215,1904.2,2410,4265,48.14,137,1018,71.21,22.58,41.9,12.35,RURAL,0
2020,CBP100475,2211,10_19,23840,22433,271428583,975207003,922.97,10415,6662,2.52,1540,949,63.63,38.74,48.34,23.99,RURAL,0
2020,CBP100476,3151,250_499,34025,37702,797148600,3333531280,790.38,5337,10325,11.93,1723,1548,19.08,43.78,58.03,25.38,RURAL,0
2023,CBP100477,1112,100_249,35855,32306,531413843,2130671222,1413.61,9040,10263,47.85,1000,1493,3.07,63.29,63.35,13.86,URBAN_CORE,0
2022,CBP100478,3111,5_9,51607,57724,833067481,3166959775,2008.33,2252,1133,38.83,733,662,64.62,22.69,28.14,17.8,URBAN_CORE,0
2012,CBP100479,5311,1_4,13066,12602,163452044,679125876,1501.36,8362,8665,32.02,1028,666,11.34,62.56,30.98,25.83,RURAL,0
2019,CBP100480,2111,500_999,11609,11954,170560638,694069532,605.58,3779,3397,49.92,1351,191,57.37,6.13,72.41,7.58,URBAN_CORE,0
2018,CBP100481,3241,1_4,20865,18134,203264525,753849114,2385.26,785,9393,1.33,1369,1132,18.01,13.0,32.2,26.07,SMALL_TOWN,0
2014,CBP100482,5241,1000_PLUS,19733,21092,275061638,1123784706,800.05,4395,8920,52.64,19,1195,73.86,63.15,9.03,32.11,SMALL_TOWN,0
2012,CBP100483,8111,1_4,24561,25624,530672969,1917652025,2044.77,3839,9336,23.86,784,92,35.33,29.62,56.91,22.07,SMALL_TOWN,0
2023,CBP100484,5191,100_249,61096,67101,1562640005,6460622166,2150.35,4708,1446,25.73,1440,1356,20.53,43.66,70.34,26.53,URBAN_CORE,0
2025,CBP100485,3251,5_9,20648,20960,277425587,981381898,879.21,9928,1848,27.7,1644,1043,82.19,5.88,74.08,28.64,RURAL,0
2021,CBP100486,8111,500_999,67704,61059,805957715,3366458727,981.58,704,5305,30.36,1791,546,59.93,10.55,61.28,20.18,SUBURBAN,0
2020,CBP100487,1112,500_999,32171,33635,663594410,2530006801,916.41,10245,9664,22.56,1144,459,0.1,47.12,10.05,20.41,SMALL_TOWN,0
2010,CBP100488,8111,50_99,42322,43293,344176984,1308553500,2578.54,9326,4472,40.55,1086,944,8.87,50.56,45.69,0.86,SUBURBAN,0
2020,CBP100489,3321,100_249,42219,40696,441070934,1516030209,1610.8,6141,7474,37.85,1787,996,30.07,51.49,55.2,11.51,RURAL,0
2019,CBP100490,3341,500_999,45303,43907,321772869,1277998679,2021.37,1139,9982,52.39,713,1431,27.19,13.86,16.28,30.36,SMALL_TOWN,0
2019,CBP100491,5311,100_249,29432,25368,448410318,1599353315,2052.16,3605,11084,17.82,825,907,4.31,23.97,68.29,14.99,SUBURBAN,0
2023,CBP100492,4521,1_4,39946,36968,522544353,2074738381,1440.5,11496,9837,33.74,619,235,37.1,5.85,1.38,32.48,RURAL,0
2013,CBP100493,3331,250_499,61917,53706,1190352514,4829617555,472.99,6977,7974,20.32,1466,315,77.39,56.49,27.38,5.12,SMALL_TOWN,0
2019,CBP100494,3391,5_9,22560,24836,307858309,1196201313,2501.23,9234,9356,15.67,563,409,26.35,55.68,61.98,31.68,SUBURBAN,0
2018,CBP100495,3231,1_4,59976,61502,893550123,3633232902,1207.77,2769,7191,11.04,1342,273,33.2,17.45,25.64,31.55,RURAL,0
2025,CBP100496,4451,20_49,38499,41396,914006227,3651150063,2357.73,11645,11743,25.53,942,400,75.68,17.72,15.0,9.23,RURAL,0
2013,CBP100497,3251,1_4,46983,47208,528481908,1973575785,2160.44,8184,7444,46.45,1652,1571,25.15,11.72,34.16,21.81,RURAL,0
2010,CBP100498,5241,5_9,31071,31346,433263245,1772870169,1279.62,7492,5459,52.06,1612,1033,1.85,19.98,59.83,17.53,SMALL_TOWN,0
2019,CBP100499,5191,500_999,44267,42252,854937299,3419640743,724.64,6605,7724,16.71,1072,1743,66.01,54.03,74.09,22.56,URBAN_CORE,0
2017,CBP100500,3241,50_99,62254,69477,1297587419,4671376004,1809.92,1898,9683,11.82,424,458,67.05,5.74,59.51,29.28,RURAL,0
2015,CBP100501,3241,5_9,56741,53273,772583649,3065708380,805.86,7884,7746,54.81,1240,170,45.57,63.77,40.4,22.24,RURAL,0
2016,CBP100502,5191,250_499,23399,21103,337203703,1301178229,2218.69,11029,8535,43.72,1699,307,2.48,23.23,65.25,34.19,URBAN_CORE,0
2023,CBP100503,3231,250_499,13590,12344,113939713,450251808,957.73,7268,1333,9.64,1666,1610,18.13,61.18,59.84,21.76,SMALL_TOWN,0
2018,CBP100504,7221,1000_PLUS,13455,14460,306409455,1283670125,602.94,806,2299,1.75,1745,489,36.52,11.11,50.83,13.63,RURAL,0
2018,CBP100505,3341,5_9,74759,81760,1804534386,6167528283,1265.67,3889,7686,32.61,1405,4,78.34,41.53,2.45,19.43,SMALL_TOWN,0
2014,CBP100506,3131,50_99,70915,76125,695830347,2513113733,1337.85,7386,978,27.19,152,1447,54.25,5.45,48.0,1.57,URBAN_CORE,0
2022,CBP100507,2111,100_249,72728,62256,1422672520,4838490484,2547.03,4085,6008,51.85,787,681,74.09,47.17,2.87,2.03,SUBURBAN,0
2011,CBP100508,3271,10_19,23962,24883,412822794,1521549638,1948.67,6954,985,45.97,1547,1685,57.02,45.08,63.52,16.96,SUBURBAN,0
2012,CBP100509,5241,10_19,18539,20670,426822290,1463190282,1157.51,6948,5936,43.89,554,769,55.23,51.43,12.22,1.56,SMALL_TOWN,0
2012,CBP100510,3311,1_4,54727,59161,1319130792,5438657980,1128.75,10501,4561,50.37,1680,1142,65.09,58.92,4.83,14.19,SMALL_TOWN,0
2017,CBP100511,2371,10_19,1624,1662,39443444,135676494,689.17,1500,5870,38.02,91,488,22.57,25.19,4.66,4.12,SMALL_TOWN,0
2014,CBP100512,2111,100_249,37505,31965,654610082,2652096390,2072.85,91,537,0.86,1666,1142,29.79,55.46,54.58,22.17,URBAN_CORE,0
2019,CBP100513,4231,1_4,62478,69826,1040691170,4094166371,1571.65,8390,3393,18.37,1501,1350,54.25,30.67,46.65,0.7,SMALL_TOWN,0
2025,CBP100514,4521,50_99,71731,61775,1012171895,3970841099,1021.79,75,11577,50.57,721,773,84.1,20.58,59.44,0.66,URBAN_CORE,0
2013,CBP100515,4811,1_4,7399,8080,64943686,270962326,575.66,7060,4713,18.81,1141,632,22.33,0.66,57.06,13.1,SUBURBAN,0
2014,CBP100516,3111,50_99,43462,39952,372899210,1322554852,2133.04,5242,2873,28.34,196,815,29.29,15.77,8.89,25.14,SMALL_TOWN,0
2015,CBP100517,3311,50_99,7648,6996,105741456,387921286,1627.48,3747,10358,49.63,1136,1639,52.69,46.53,40.87,16.3,RURAL,0
2019,CBP100518,5191,50_99,34456,38097,540740587,2210544459,974.45,2247,6646,5.54,793,2,59.5,60.16,70.11,31.46,URBAN_CORE,0
2015,CBP100519,4841,1000_PLUS,63663,70665,1536097348,5336149145,571.34,3954,290,0.47,560,434,83.07,17.47,3.9,1.31,URBAN_CORE,0
2016,CBP100520,2371,20_49,4947,4893,92781677,322516055,940.38,5094,9131,28.47,1549,737,9.48,41.84,28.08,15.6,SMALL_TOWN,0
2018,CBP100521,5231,100_249,33760,29472,364757157,1516722432,486.82,6641,1512,54.48,1376,1147,43.91,51.96,36.4,25.96,SUBURBAN,0
2015,CBP100522,3391,10_19,73393,78023,869930003,2966082282,1337.6,6203,7004,26.39,572,286,77.69,39.49,39.69,14.69,URBAN_CORE,0
2012,CBP100523,3141,500_999,50414,54323,785666566,2772878687,1503.6,7104,4817,7.84,1515,301,64.15,5.86,72.91,24.17,RURAL,0
2016,CBP100524,5411,1_4,30148,29557,578160372,2260462450,2186.66,9793,5948,6.0,1497,1233,75.8,57.87,11.65,21.48,SMALL_TOWN,0
2024,CBP100525,4241,1_4,18477,16972,294932526,1100287839,2559.73,8286,5214,53.73,1343,1566,38.05,34.09,12.83,26.96,SUBURBAN,0
2019,CBP100526,5411,5_9,67339,74026,1461546552,4987648357,1082.31,2497,5633,11.24,832,1533,6.71,52.12,28.97,3.01,SUBURBAN,0
2020,CBP100527,2371,10_19,42226,43655,281114552,1114483921,1627.8,3740,4524,6.96,1522,752,84.79,36.51,25.68,32.87,URBAN_CORE,0
2017,CBP100528,3351,50_99,29921,28457,265093405,1046177852,1019.91,5792,5597,3.29,1564,1764,78.48,41.16,6.12,6.62,URBAN_CORE,0
2024,CBP100529,4451,250_499,44331,45677,508305621,1776043068,879.01,9622,7293,15.6,1502,1335,50.56,3.92,0.48,8.94,SUBURBAN,0
2011,CBP100530,3131,1000_PLUS,21112,22766,505031026,1837530672,1851.32,3201,2294,44.13,802,1744,23.25,13.04,4.01,14.95,SMALL_TOWN,0
2017,CBP100531,5411,20_49,72688,70821,1404586717,5803652044,1069.28,2054,6386,35.63,1795,627,48.85,0.98,14.0,10.05,SUBURBAN,0
2022,CBP100532,5311,500_999,16911,16729,199616748,736291099,1646.54,5887,2941,7.88,872,729,5.8,30.85,45.14,21.77,SUBURBAN,0
2010,CBP100533,4521,500_999,4562,4717,36782798,149315333,670.3,7187,2577,14.85,544,765,15.98,41.26,68.03,34.06,RURAL,0
2019,CBP100534,5231,100_249,26272,27495,253153280,1054434106,1325.3,8714,3263,13.39,633,1497,22.35,50.19,71.6,34.95,URBAN_CORE,0
2014,CBP100535,3321,250_499,10045,9322,190301308,670915685,1047.75,9372,8112,43.78,1401,1431,45.08,54.44,21.12,30.95,SUBURBAN,0
2020,CBP100536,4451,10_19,10178,11199,171390537,712605882,1525.14,10872,8990,5.1,651,1720,78.51,46.52,57.87,23.07,RURAL,0
2024,CBP100537,3151,1_4,33211,37052,738376375,2512052198,1172.06,11896,2856,5.87,724,507,23.36,5.16,10.26,32.64,SUBURBAN,0
2015,CBP100538,6111,100_249,44789,46910,990018145,3398651665,2368.43,1806,4459,18.18,1491,77,35.28,4.54,15.23,18.22,RURAL,0
2010,CBP100539,4231,500_999,10755,10283,187160376,713411120,486.78,10614,11198,33.4,1438,775,37.86,36.06,47.92,30.21,RURAL,0
2021,CBP100540,3341,1_4,50687,51926,460252102,1930422130,946.23,9288,5099,48.88,1251,411,70.82,22.9,13.69,4.05,SUBURBAN,0
2010,CBP100541,8111,50_99,54131,51344,932434298,3171110028,780.54,3382,3062,41.36,892,1176,2.84,54.89,39.85,24.81,SUBURBAN,0
2010,CBP100542,3361,20_49,68979,61319,452848411,1803007480,2219.16,11294,5544,41.47,27,673,17.57,7.67,73.14,3.62,URBAN_CORE,0
2014,CBP100543,3241,100_249,38552,38467,832375397,3457005915,1029.95,10730,1758,10.08,1386,1472,48.32,3.91,55.9,2.21,URBAN_CORE,0
2018,CBP100544,6221,50_99,2609,2367,24039877,98918547,1100.36,5864,3878,39.56,379,1466,8.01,59.95,54.62,25.24,SMALL_TOWN,0
2021,CBP100545,4451,5_9,1194,1015,17361945,68938667,1758.02,3431,4835,21.07,1416,422,61.77,2.46,19.18,0.09,SMALL_TOWN,0
2010,CBP100546,8111,100_249,70576,78027,1278929300,4480140018,1137.43,4451,2904,8.77,946,263,8.26,42.21,40.34,9.53,URBAN_CORE,1
2017,CBP100547,4841,10_19,59548,59296,716389411,2955432914,1875.29,2390,9862,16.45,1797,1345,68.25,11.36,63.06,29.45,RURAL,0
2020,CBP100548,3131,5_9,35834,39423,660911898,2386410114,489.2,4485,6290,2.89,506,65,79.0,26.74,4.55,34.99,SUBURBAN,0
2014,CBP100549,4231,1_4,66673,67774,1185665152,4589257234,1671.19,6097,7784,20.59,1413,231,82.86,30.91,16.36,27.62,SUBURBAN,0
2022,CBP100550,2211,20_49,31231,29697,336222066,1145680346,1267.24,10324,2720,12.45,1061,1283,83.55,41.51,61.47,18.05,SUBURBAN,0
2025,CBP100551,2211,1000_PLUS,65689,68639,623760326,2511230718,840.36,3656,8398,23.66,1064,803,83.62,63.8,37.45,0.66,RURAL,0
2015,CBP100552,3371,100_249,21718,23829,519346809,2176366448,825.4,3110,6769,43.73,1176,1019,2.16,35.51,7.73,22.39,SUBURBAN,0
2019,CBP100553,4411,1_4,2425,2080,38980971,139323195,2486.11,2332,9219,15.75,1494,1061,46.13,11.35,16.95,22.83,SMALL_TOWN,0
2019,CBP100554,4841,100_249,71712,63214,1223926004,4438919366,1696.75,692,2446,27.01,1236,208,25.53,57.41,69.15,13.19,RURAL,0
2025,CBP100555,4841,1_4,15010,15484,170846583,682006760,1654.27,10230,11903,9.97,1706,151,21.14,30.21,32.48,28.89,RURAL,0
2013,CBP100556,1112,500_999,1087,1035,17449233,67226769,2242.83,10149,4236,10.82,1464,582,84.34,52.69,71.35,15.26,SMALL_TOWN,0
2012,CBP100557,6211,10_19,65907,66308,858999075,3429045312,1497.37,3036,4463,24.66,1117,228,79.67,37.86,36.59,6.44,RURAL,0
2019,CBP100558,5611,50_99,33613,36122,513750952,2134850055,1293.41,9946,2484,50.19,162,1133,6.73,32.75,56.86,24.15,URBAN_CORE,0
2010,CBP100559,3131,250_499,18224,19391,309101429,1112608002,2291.68,5926,5683,4.04,1499,836,44.26,24.61,2.74,6.0,URBAN_CORE,0
2020,CBP100560,3341,100_249,51205,51781,832698234,3150136227,1147.37,2440,6679,45.33,875,1499,60.06,25.38,29.88,32.05,RURAL,1
2013,CBP100561,4841,1000_PLUS,69338,77268,1316112744,4563864052,1108.47,10410,9340,10.65,5,1561,49.32,39.26,51.29,17.53,RURAL,1
2019,CBP100562,5241,10_19,63239,62639,1501019516,5146841881,627.4,10217,118,23.42,509,1014,17.93,19.76,16.23,24.51,URBAN_CORE,1
2025,CBP100563,3351,1_4,2599,2720,63084835,235679522,2389.65,8172,7,18.65,775,28,64.04,11.12,60.05,7.67,SMALL_TOWN,0
2024,CBP100564,4241,100_249,15126,15328,209554686,862410246,1883.36,9614,10076,5.72,1355,1307,1.35,43.25,3.25,31.69,SMALL_TOWN,0
2025,CBP100565,3311,1000_PLUS,25977,23909,520343266,1888930464,1238.06,4869,7978,48.76,331,813,10.28,5.13,19.34,20.78,SMALL_TOWN,0
2025,CBP100566,3341,10_19,66184,59864,421755179,1754859908,894.93,6475,3745,27.25,63,1029,48.72,51.75,63.39,2.49,SUBURBAN,0
2013,CBP100567,5171,500_999,50379,53050,1076898936,4498000120,2556.11,110,7273,5.16,1147,644,40.08,19.72,38.94,15.3,SUBURBAN,0
2015,CBP100568,3111,1000_PLUS,26920,24419,487826465,1830313597,2040.37,214,6622,51.78,1628,308,21.4,15.05,30.62,23.88,SUBURBAN,0
2024,CBP100569,5181,50_99,40485,44128,1018775661,4054167022,1901.14,3719,2571,22.6,66,1379,59.26,33.48,64.77,34.91,SMALL_TOWN,0
2023,CBP100570,2111,1000_PLUS,67610,65758,409540923,1678890438,838.69,5590,204,18.78,658,1502,28.53,21.92,54.99,33.62,SMALL_TOWN,0
2015,CBP100571,3311,500_999,13218,11858,131938398,497224566,2566.15,1529,8669,37.34,1450,1357,36.13,34.22,73.2,11.24,RURAL,0
2023,CBP100572,1112,1_4,67505,74173,1678025578,6692756390,1240.41,3438,8045,42.35,676,645,23.68,35.56,52.04,10.34,SMALL_TOWN,0
2022,CBP100573,3121,1000_PLUS,13842,13073,248348022,931294636,2076.23,4089,10768,49.05,415,107,60.64,36.63,7.78,34.78,SMALL_TOWN,0
2024,CBP100574,3361,5_9,18178,19730,442865750,1721336346,1784.19,2705,6472,27.71,1117,346,2.67,0.37,32.67,1.23,URBAN_CORE,0
2010,CBP100575,3221,250_499,5195,5761,67682670,245679586,663.48,6562,11614,9.16,688,1057,26.71,41.86,37.67,12.94,RURAL,0
2011,CBP100576,1121,100_249,51664,54210,586911441,2357405667,791.98,3662,2717,34.39,126,746,9.71,37.41,26.66,13.3,RURAL,0
2023,CBP100577,5191,100_249,19815,20001,450901910,1688346641,1446.64,9850,4802,24.5,1387,1375,72.87,37.25,41.77,7.01,SMALL_TOWN,0
2013,CBP100578,2111,20_49,65460,61342,1198683550,4964301646,1263.85,4854,5494,35.96,85,57,52.27,53.69,25.2,6.0,SMALL_TOWN,0
2020,CBP100579,3231,1000_PLUS,73652,67793,1003924798,3741365221,596.47,3606,7351,30.02,1597,344,59.22,45.82,71.89,29.37,SUBURBAN,0
2024,CBP100580,3311,500_999,41811,42429,669627338,2643974488,2263.42,2734,2730,37.17,150,54,27.81,47.13,55.22,8.58,SMALL_TOWN,0
2019,CBP100581,2371,250_499,40071,38468,415761046,1721398726,1208.34,4752,6027,22.76,227,1145,62.57,11.63,33.3,1.17,SUBURBAN,0
2023,CBP100582,4231,1000_PLUS,62530,57148,735759688,2970757583,2504.84,7274,2332,24.13,386,1040,27.19,11.52,20.51,29.92,RURAL,1
2020,CBP100583,4241,1000_PLUS,42731,46855,376885023,1502375048,2005.59,3793,8016,36.13,723,314,28.86,50.07,67.09,1.99,RURAL,0
2010,CBP100584,4921,10_19,55812,58969,1033637935,3888339487,733.59,3664,9865,29.54,1788,1588,46.96,45.26,44.07,20.57,URBAN_CORE,0
2016,CBP100585,3391,20_49,33316,33505,272163520,1089128765,2468.53,4982,8288,27.57,984,1688,60.77,36.63,71.73,5.38,SMALL_TOWN,0
2025,CBP100586,5231,100_249,26973,23372,153970865,568379479,1388.06,5666,4059,32.13,1113,683,23.11,31.56,52.66,23.95,URBAN_CORE,0
2014,CBP100587,2111,10_19,53750,54984,1304354442,4929912918,886.68,3566,10631,26.48,1266,284,77.54,52.12,58.83,5.7,SUBURBAN,0
2024,CBP100588,4811,1000_PLUS,33496,37334,869849447,3145542939,2168.41,7801,5119,14.03,1402,1747,64.37,13.0,67.55,27.38,SUBURBAN,0
2025,CBP100589,7221,1_4,41240,43662,722005608,2659190533,1517.58,10168,8204,37.7,692,1575,57.1,52.25,74.9,20.61,URBAN_CORE,0
2023,CBP100590,5111,20_49,37340,35776,765590232,2784182980,849.26,7640,3395,40.11,1350,175,39.79,0.2,22.37,18.8,RURAL,0
2015,CBP100591,8111,50_99,13687,14839,258413850,1024950172,1393.99,9912,1117,51.71,421,443,38.57,39.5,10.21,5.67,URBAN_CORE,0
2022,CBP100592,1112,1000_PLUS,13280,14472,186798502,648458837,2224.78,3679,9929,13.3,299,27,0.27,24.46,42.66,1.83,RURAL,0
2025,CBP100593,2361,20_49,39688,37232,433343274,1686197625,1131.03,9180,3526,24.57,737,1322,72.9,35.06,50.09,8.66,RURAL,0
2022,CBP100594,4411,1000_PLUS,69228,61115,490031588,1950468512,474.28,1377,5411,15.86,1410,433,55.59,17.05,23.23,31.65,RURAL,0
2025,CBP100595,3261,500_999,56253,49658,924368492,3413590888,2092.89,2886,1415,39.63,1436,324,10.91,37.31,31.87,17.61,URBAN_CORE,0
2013,CBP100596,4241,10_19,20491,18973,232756140,925299905,2168.34,9645,1823,47.47,1503,1264,25.59,2.22,12.96,13.05,SUBURBAN,0
2014,CBP100597,4451,1_4,65498,64322,921388882,3141550251,1124.16,8080,7566,13.8,1136,1169,4.87,25.78,39.99,28.52,URBAN_CORE,0
2024,CBP100598,6221,1000_PLUS,30428,26305,369029081,1257479050,2122.38,5009,7543,9.85,987,1190,78.03,19.81,57.86,24.94,SMALL_TOWN,0
2024,CBP100599,4241,50_99,47994,46673,996150684,4150568472,657.74,9967,10270,25.9,561,1686,71.59,30.98,18.86,24.1,RURAL,0
2019,CBP100600,8111,250_499,67799,60102,779725097,2983463478,1138.95,8427,11848,9.63,804,1627,81.41,7.21,54.25,33.39,SUBURBAN,0
2020,CBP100601,3141,20_49,63360,60412,1158469845,4374605996,1698.5,133,4477,32.6,220,1235,52.5,14.52,56.06,4.53,SMALL_TOWN,0
2015,CBP100602,2371,5_9,21621,20461,200659664,752735944,732.92,9796,4181,53.22,482,1416,2.58,23.81,29.86,31.67,URBAN_CORE,0
2021,CBP100603,3151,1000_PLUS,68436,60037,561463702,2012805713,1635.59,7712,5511,46.19,1283,1145,83.65,3.39,33.4,19.12,SMALL_TOWN,0
2014,CBP100604,3131,500_999,7583,7600,130498928,486564273,1283.1,161,8214,52.13,601,1267,62.94,5.11,62.01,17.01,SUBURBAN,0
2016,CBP100605,5221,50_99,43026,42287,603658466,2246712647,2454.08,11493,11542,13.77,1190,259,40.36,25.19,58.35,32.09,URBAN_CORE,0
2014,CBP100606,5221,5_9,38486,37221,302811940,1265430808,2572.77,1328,2529,48.55,248,132,39.71,36.67,52.43,2.39,SUBURBAN,0
2014,CBP100607,2381,100_249,48584,51977,739570400,2891481271,802.71,4558,10341,10.47,710,448,23.32,11.76,2.45,29.32,RURAL,0
2023,CBP100608,3351,100_249,42239,36776,808955345,3305704053,1511.84,554,10470,5.21,820,1296,79.58,61.4,43.34,13.79,RURAL,0
2014,CBP100609,4411,250_499,26477,26956,303932340,1254212885,1048.7,2297,437,18.7,1658,963,47.71,46.12,58.84,14.16,URBAN_CORE,0
2025,CBP100610,5181,5_9,10446,9021,120991985,454925090,2171.66,5572,7120,27.24,708,812,56.25,13.65,11.36,25.75,RURAL,0
2015,CBP100611,3341,250_499,65590,60196,487616636,1797023217,1576.92,8826,7231,11.87,779,1688,81.38,42.84,27.09,32.52,RURAL,0
2014,CBP100612,5221,20_49,60677,66334,425412829,1781143204,680.48,11892,2077,28.41,1661,798,23.9,38.59,65.26,21.35,RURAL,0
2024,CBP100613,6111,5_9,25514,25602,341328820,1281983016,1607.36,11737,11639,32.87,567,1766,73.55,1.01,57.82,31.61,SMALL_TOWN,0
2012,CBP100614,3131,250_499,46493,48111,953122162,3714434400,2421.14,2101,6550,18.59,1687,1217,4.93,64.86,27.32,29.05,SUBURBAN,0
2022,CBP100615,3261,500_999,43025,44922,313772575,1307910364,1032.52,11654,3837,46.98,1045,1250,59.07,20.21,54.07,16.15,SMALL_TOWN,0
2021,CBP100616,3221,20_49,29872,29826,651277064,2425285578,1492.77,10339,8298,10.31,993,144,1.89,57.04,57.19,1.89,URBAN_CORE,0
2025,CBP100617,4451,1000_PLUS,59221,64808,872975216,3470816631,2084.81,10611,7275,3.32,1053,255,35.7,22.68,22.84,2.09,SUBURBAN,0
2014,CBP100618,8111,10_19,54368,50850,353286537,1359530526,1226.05,610,9283,50.83,783,632,51.06,32.8,17.03,18.97,RURAL,0
2020,CBP100619,4411,20_49,13860,13002,191211669,725374563,1876.37,10078,10512,34.36,10,1337,9.72,38.84,6.2,5.79,RURAL,0
2010,CBP100620,2211,1_4,34044,31843,708420433,2882137342,1183.61,6789,7336,4.02,860,312,52.22,17.33,28.29,3.54,RURAL,0
2012,CBP100621,3351,1000_PLUS,37607,41167,500503925,1803126205,552.59,6456,4781,4.9,267,321,69.71,33.95,8.75,29.94,RURAL,0
2020,CBP100622,2361,5_9,18315,19075,279378134,1093989917,981.39,2673,4873,29.24,1183,891,51.24,54.49,6.99,0.66,SMALL_TOWN,0
2017,CBP100623,5231,5_9,29747,26089,241573996,864378628,2022.21,3163,3788,52.08,985,600,10.12,33.83,2.22,0.09,SMALL_TOWN,0
