demo_nativity_estimate_year,demo_nativity_subdistrict_lgd_code,demo_nativity_nativity_category,demo_nativity_country_of_birth,demo_nativity_year_of_arrival,demo_nativity_citizenship_class,demo_nativity_english_proficiency_level,demo_nativity_primary_language,demo_nativity_secondary_language,demo_nativity_ancestry_first,demo_nativity_ancestry_second,demo_nativity_language_isolates_count,demo_nativity_foreign_language_speaker_count,demo_nativity_limited_english_households,demo_nativity_naturalization_rate_estimate,demo_nativity_visa_class_at_entry,demo_nativity_refugee_admission_flag,demo_nativity_remittance_sending_flag,demo_nativity_translation_need_indicator,demo_nativity_cultural_linguistic_diversity_index
2025,72945366,Interstate_migrant,Sri_Lanka,1991,Resident,Basic,Bengali,Tamil,Kannada,Other,0,37428,3459,0.965,Refugee,Y,Y,Y,0.335
2021,98443600,International_migrant,India,2006,Resident,Basic,Punjabi,Hindi,Telugu,Bengali,6,125006,13234,0.186,Tourist,N,N,Y,0.072
2019,67484064,Native,Bangladesh,2016,Resident,Advanced,Other,Marathi,Bengali,Assamese,2,197317,34157,0.735,Refugee,Y,Y,N,0.211
2018,86375581,Interstate_migrant,Other,2024,Other,Intermediate,Assamese,Other,Telugu,Assamese,3,34161,23193,0.461,Family,N,Y,N,0.926
2018,31271858,Interstate_migrant,Other,2020,Other,Intermediate,Hindi,Punjabi,Kannada,Hindi,0,171973,38824,0.11,Other,Y,N,Y,0.131
2019,95767843,Native,Bangladesh,1994,Resident,Basic,Punjabi,Gujarati,Marathi,Assamese,0,44720,25610,0.462,Family,Y,Y,N,0.076
2018,83724562,Native,Bhutan,2009,Citizen,Basic,Tamil,Telugu,Other,Gujarati,8,59145,28611,0.914,Refugee,Y,Y,N,0.652
2025,50280940,International_migrant,Nepal,2017,Citizen,Intermediate,Punjabi,Telugu,Odia,Odia,6,99481,6127,0.148,Tourist,N,N,Y,0.057
2024,43222564,Interstate_migrant,Sri_Lanka,1992,Resident,Intermediate,Gujarati,Bengali,Urdu,Malayalam,6,54967,36187,0.906,Tourist,Y,N,Y,0.322
2019,38608962,International_migrant,Bangladesh,2020,Citizen,Intermediate,Gujarati,Assamese,Bengali,Malayalam,6,56463,15066,0.46,Work,N,Y,Y,0.46
2022,80175256,Native,Bhutan,2020,Other,Basic,Telugu,Odia,Other,Malayalam,10,191408,5774,0.969,Tourist,Y,Y,N,0.422
2019,26855700,Interstate_migrant,India,2005,Resident,None,Gujarati,Marathi,Bengali,Bengali,0,114591,4253,0.033,Study,Y,N,N,0.156
2020,27338019,International_migrant,Pakistan,2013,Resident,Advanced,Urdu,Assamese,Urdu,Urdu,0,77718,29427,0.425,Refugee,Y,N,N,0.461
2024,57048807,Interstate_migrant,Bhutan,2021,OCI,Advanced,Gujarati,Punjabi,Tamil,Odia,4,57149,7267,0.943,Refugee,Y,N,Y,0.101
2025,65805477,Native,Other,1993,Resident,Advanced,Odia,Other,Punjabi,Bengali,2,145176,32146,0.674,Work,Y,N,N,0.635
2022,75573262,Native,Other,2012,Citizen,Intermediate,Kannada,Assamese,Bengali,Kannada,6,26423,1093,0.013,Other,N,N,Y,0.897
2023,94629866,Native,Bhutan,2009,Resident,None,Odia,Punjabi,Odia,Punjabi,1,59594,8048,0.092,Family,N,N,Y,0.645
2024,23953978,Interstate_migrant,Pakistan,2015,OCI,Basic,Kannada,Tamil,Bengali,Other,7,99150,26197,0.186,Refugee,Y,Y,N,0.215
2022,29408254,International_migrant,Sri_Lanka,1992,Resident,None,Tamil,Gujarati,Malayalam,Hindi,3,78398,18435,0.362,Other,Y,N,Y,0.542
2022,11921599,Native,Myanmar,2000,OCI,Basic,Kannada,Hindi,Marathi,Malayalam,6,78793,11640,0.072,Family,Y,Y,N,0.097
2024,75548879,Native,India,1998,Citizen,Basic,Kannada,Malayalam,Gujarati,Gujarati,3,33671,12310,0.684,Study,N,N,Y,0.62
2025,39753263,Native,India,1996,Other,None,Malayalam,Tamil,Gujarati,Odia,9,143145,21505,0.189,Study,Y,Y,Y,0.771
2023,70325926,Interstate_migrant,Bangladesh,2019,Resident,None,Other,Punjabi,Telugu,Marathi,6,23941,25132,0.964,Study,Y,Y,N,0.69
2025,65554275,Native,India,2024,OCI,Advanced,Bengali,Assamese,Bengali,Gujarati,9,114268,33683,0.258,Tourist,Y,Y,Y,0.276
2021,53225010,Interstate_migrant,Myanmar,2025,Resident,Intermediate,Marathi,Assamese,Gujarati,Telugu,3,106219,18052,0.192,Tourist,N,N,N,0.166
2023,28091884,International_migrant,Pakistan,2023,Citizen,Basic,Tamil,Other,Malayalam,Urdu,1,156596,29778,0.231,Other,Y,Y,N,0.7
2019,12629359,International_migrant,Other,1993,Resident,None,Kannada,Punjabi,Hindi,Odia,8,69161,31431,0.857,Family,N,N,N,0.866
2018,90060737,Interstate_migrant,Myanmar,2021,OCI,Intermediate,Punjabi,Assamese,Gujarati,Other,3,141458,10236,0.062,Study,N,N,N,0.243
2023,36201867,Native,India,2006,Citizen,Advanced,Assamese,Marathi,Urdu,Other,2,53206,16354,0.91,Study,N,N,N,0.065
2020,39691865,International_migrant,Myanmar,1990,Citizen,Advanced,Bengali,Malayalam,Marathi,Assamese,1,23290,8799,0.506,Family,Y,Y,N,0.696
2022,47541961,Native,India,2020,Other,Advanced,Assamese,Urdu,Bengali,Other,7,132962,27314,0.488,Tourist,Y,N,N,0.715
2025,87068299,Interstate_migrant,Other,2014,Citizen,Intermediate,Bengali,Hindi,Malayalam,Tamil,0,3779,33499,0.563,Study,N,Y,Y,0.618
2022,59553007,International_migrant,Sri_Lanka,2002,OCI,None,Marathi,Bengali,Kannada,Hindi,0,4974,27628,0.635,Other,Y,Y,N,0.49
2020,29645191,Interstate_migrant,Bangladesh,2004,Other,Advanced,Urdu,Kannada,Bengali,Urdu,6,95820,25684,0.178,Study,Y,Y,Y,0.63
2023,19612248,International_migrant,Bangladesh,1993,OCI,None,Assamese,Punjabi,Other,Punjabi,7,18060,925,0.171,Other,N,N,N,0.826
2020,56822900,International_migrant,Nepal,1990,OCI,Intermediate,Assamese,Tamil,Hindi,Other,0,194481,13209,0.028,Study,Y,N,Y,0.0
2022,50908806,Interstate_migrant,Bangladesh,2004,Citizen,Advanced,Malayalam,Tamil,Gujarati,Marathi,6,130371,15910,0.965,Study,N,N,N,0.425
2024,51105593,Native,Sri_Lanka,1991,Other,None,Assamese,Odia,Marathi,Malayalam,6,149195,7659,0.004,Family,Y,N,Y,0.943
2019,70679844,Native,Bhutan,1990,Other,None,Kannada,Tamil,Assamese,Telugu,4,18889,21664,0.088,Study,N,Y,Y,0.273
2021,55124728,Interstate_migrant,Bhutan,2005,Resident,Advanced,Odia,Marathi,Gujarati,Punjabi,1,11545,4931,0.902,Tourist,N,N,N,0.594
2021,99291899,International_migrant,Other,2017,OCI,Intermediate,Marathi,Hindi,Bengali,Odia,2,115942,14942,0.75,Refugee,N,Y,Y,0.043
2025,58305236,International_migrant,Sri_Lanka,2023,Resident,Advanced,Odia,Malayalam,Kannada,Hindi,4,9109,26306,0.003,Tourist,N,Y,N,0.206
2018,97174454,Native,Bhutan,2024,Other,Basic,Gujarati,Punjabi,Gujarati,Urdu,6,19355,28359,0.441,Family,N,Y,Y,0.959
2019,11939758,Native,Sri_Lanka,2012,Citizen,Advanced,Tamil,Urdu,Bengali,Odia,4,52461,9785,0.811,Family,Y,Y,Y,0.058
2022,28043308,Native,Nepal,2014,Citizen,Advanced,Urdu,Bengali,Kannada,Gujarati,2,23549,21812,0.686,Study,N,N,N,0.426
2023,12700511,Native,Sri_Lanka,2017,OCI,Basic,Other,Kannada,Other,Marathi,10,159356,30405,0.087,Tourist,N,N,Y,0.394
2022,74238210,International_migrant,Other,2003,Other,Basic,Odia,Telugu,Malayalam,Assamese,0,59949,35356,0.493,Tourist,N,N,N,0.178
2021,88696003,International_migrant,Sri_Lanka,2015,Citizen,Intermediate,Hindi,Assamese,Telugu,Bengali,3,138410,11458,0.974,Work,Y,Y,N,0.944
2024,73830436,International_migrant,Sri_Lanka,2004,OCI,Basic,Marathi,Urdu,Bengali,Urdu,4,53454,11332,0.512,Other,N,N,N,0.264
2025,50380992,Native,Bangladesh,2022,Other,Basic,Assamese,Gujarati,Marathi,Punjabi,5,53693,19270,0.885,Other,N,N,Y,0.758
2022,36696597,Native,Sri_Lanka,1993,OCI,Intermediate,Gujarati,Bengali,Gujarati,Other,4,65132,36837,0.115,Tourist,N,Y,Y,0.503
2023,14757899,Native,Bangladesh,1994,Other,Advanced,Marathi,Odia,Marathi,Telugu,4,14537,18928,0.297,Refugee,N,N,N,0.916
2021,29211489,International_migrant,Sri_Lanka,2017,OCI,Basic,Punjabi,Assamese,Hindi,Bengali,4,184651,13848,0.354,Refugee,Y,Y,N,0.103
2023,12232314,Native,Myanmar,1995,Resident,Advanced,Urdu,Kannada,Bengali,Punjabi,8,130903,22077,0.649,Family,Y,Y,N,0.615
2018,17360438,Native,Bangladesh,2019,Other,Intermediate,Kannada,Punjabi,Malayalam,Tamil,7,120436,22156,0.143,Study,Y,N,N,0.265
2023,80598621,Interstate_migrant,Myanmar,2012,Resident,Intermediate,Punjabi,Marathi,Urdu,Kannada,7,35435,37972,0.186,Family,N,N,N,0.477
2024,25663802,International_migrant,Other,2004,Other,Advanced,Malayalam,Hindi,Kannada,Urdu,1,110374,32419,0.616,Work,Y,Y,Y,0.962
2018,94303080,Interstate_migrant,India,2000,Other,None,Tamil,Marathi,Assamese,Marathi,0,48488,12714,0.935,Study,N,N,N,0.964
2019,69205229,Interstate_migrant,India,2020,Other,Advanced,Tamil,Bengali,Punjabi,Malayalam,0,149100,35648,0.586,Work,N,N,Y,0.248
2019,65664181,Interstate_migrant,Other,2000,Resident,Basic,Punjabi,Urdu,Kannada,Telugu,5,51154,38953,0.209,Family,Y,Y,Y,0.778
2025,40395672,Native,Bangladesh,1995,Resident,Basic,Assamese,Kannada,Hindi,Odia,5,192590,2547,0.399,Family,Y,Y,N,0.017
2023,20948166,Interstate_migrant,Myanmar,2011,Citizen,None,Hindi,Odia,Marathi,Telugu,5,150659,25815,0.155,Family,Y,Y,Y,0.74
2022,86708662,Interstate_migrant,Myanmar,2017,Citizen,Intermediate,Telugu,Marathi,Odia,Punjabi,0,21022,29151,0.809,Refugee,N,N,Y,0.126
2019,84084398,Native,Bhutan,1991,Citizen,Basic,Urdu,Other,Tamil,Odia,0,103498,1981,0.613,Other,N,Y,N,0.949
2023,91282239,Native,Other,2001,Other,Intermediate,Bengali,Telugu,Gujarati,Marathi,5,29038,8370,0.189,Refugee,Y,N,N,0.365
2024,43162202,Native,Pakistan,2025,OCI,Intermediate,Marathi,Urdu,Urdu,Assamese,4,124032,32425,0.434,Refugee,N,N,N,0.712
2018,85210389,Interstate_migrant,Other,2007,Citizen,Advanced,Odia,Kannada,Kannada,Assamese,6,102411,33837,0.135,Other,N,Y,Y,0.228
2025,94769146,Native,Nepal,2007,Other,Advanced,Tamil,Odia,Gujarati,Other,7,76586,32194,0.968,Other,N,Y,Y,0.171
2020,20840646,Native,Sri_Lanka,2021,Other,Advanced,Assamese,Odia,Urdu,Malayalam,9,76311,20583,0.76,Refugee,N,N,N,0.292
2020,82155516,International_migrant,Bhutan,1994,Resident,None,Malayalam,Tamil,Punjabi,Urdu,9,176290,15446,0.937,Other,Y,Y,N,0.153
2025,47756881,International_migrant,Pakistan,1996,OCI,Advanced,Gujarati,Punjabi,Assamese,Telugu,10,58791,4440,0.056,Tourist,N,N,Y,0.248
2018,14515629,International_migrant,Sri_Lanka,2009,Citizen,Basic,Gujarati,Other,Kannada,Gujarati,7,144322,4143,0.366,Other,N,Y,Y,0.3
2022,43109863,International_migrant,Myanmar,2020,Resident,Advanced,Kannada,Bengali,Gujarati,Gujarati,4,10643,29201,0.858,Family,Y,Y,Y,0.228
2025,61887166,Interstate_migrant,Myanmar,2009,OCI,None,Marathi,Malayalam,Other,Punjabi,5,123293,12696,0.631,Refugee,N,N,Y,0.912
2020,37281026,International_migrant,Pakistan,2002,Other,None,Hindi,Marathi,Urdu,Odia,8,182540,25009,0.317,Work,N,Y,Y,0.623
2021,58634679,Native,Other,2011,OCI,Basic,Marathi,Odia,Urdu,Marathi,10,7761,5484,0.737,Family,Y,N,N,0.876
2019,59319175,International_migrant,Bhutan,2001,OCI,Basic,Urdu,Bengali,Telugu,Urdu,5,176364,4312,0.818,Family,Y,Y,N,0.476
2020,74663376,Interstate_migrant,Bhutan,2006,Citizen,None,Malayalam,Tamil,Malayalam,Urdu,7,117424,4468,0.024,Refugee,Y,Y,N,0.165
2018,83807572,Native,Myanmar,2012,Other,Advanced,Other,Tamil,Bengali,Bengali,4,172294,8717,0.698,Study,Y,Y,N,0.37
2020,31202594,Interstate_migrant,Bhutan,2021,OCI,Intermediate,Punjabi,Telugu,Urdu,Kannada,7,81973,11840,0.617,Refugee,Y,N,N,0.28
2024,78440694,Native,Bhutan,2014,Other,Intermediate,Punjabi,Gujarati,Urdu,Bengali,2,189419,34785,0.649,Other,N,Y,N,0.239
2024,30166947,Native,Sri_Lanka,2006,OCI,Intermediate,Tamil,Gujarati,Marathi,Gujarati,10,27465,3168,0.938,Family,Y,N,N,0.057
2024,83072107,Interstate_migrant,Nepal,1991,OCI,Basic,Gujarati,Marathi,Malayalam,Other,10,187480,30733,0.699,Work,Y,N,N,0.085
2025,12634773,Interstate_migrant,Sri_Lanka,1999,Citizen,Basic,Telugu,Hindi,Assamese,Bengali,3,56153,32678,0.975,Refugee,N,N,Y,0.604
2020,18073585,International_migrant,Myanmar,1993,Citizen,Advanced,Marathi,Other,Bengali,Hindi,10,48514,16203,0.813,Study,Y,N,N,0.998
2018,25035752,Native,Nepal,2022,OCI,Basic,Gujarati,Hindi,Assamese,Other,10,126398,21388,0.945,Study,Y,N,Y,0.578
2023,54076451,Interstate_migrant,Bangladesh,2025,Other,Advanced,Punjabi,Gujarati,Punjabi,Tamil,10,25810,16667,0.047,Refugee,N,N,N,0.031
2019,66363186,Interstate_migrant,Bangladesh,1994,OCI,Intermediate,Odia,Gujarati,Marathi,Other,5,43099,24293,0.42,Tourist,N,Y,Y,0.605
2019,63487377,Interstate_migrant,Sri_Lanka,2023,Other,Intermediate,Urdu,Tamil,Urdu,Marathi,7,93308,12418,0.226,Other,Y,N,N,0.237
2023,91884343,Interstate_migrant,Pakistan,1992,Other,None,Marathi,Bengali,Odia,Punjabi,5,195421,15596,0.198,Work,Y,Y,N,0.379
2021,17529455,Interstate_migrant,India,2022,Citizen,Advanced,Kannada,Punjabi,Assamese,Telugu,4,197412,4428,0.069,Tourist,Y,N,N,0.316
2022,94239190,International_migrant,Pakistan,2001,Citizen,Intermediate,Marathi,Tamil,Bengali,Odia,2,10375,38038,0.034,Family,N,Y,Y,0.306
2019,12832233,Native,Myanmar,2023,Resident,Basic,Kannada,Tamil,Assamese,Other,8,71541,36520,0.28,Tourist,Y,N,N,0.673
2021,78558302,Interstate_migrant,India,1993,OCI,Intermediate,Marathi,Tamil,Kannada,Malayalam,2,104081,9947,0.25,Refugee,N,N,N,0.307
2024,98998092,International_migrant,Pakistan,1996,Citizen,Basic,Hindi,Marathi,Marathi,Telugu,6,173890,34445,0.664,Other,Y,N,Y,0.292
2019,16434780,Interstate_migrant,Bangladesh,2025,OCI,Advanced,Punjabi,Assamese,Punjabi,Odia,6,151372,35158,0.852,Other,N,N,N,0.841
2022,69808194,Interstate_migrant,Bangladesh,1995,Other,None,Gujarati,Hindi,Assamese,Hindi,7,58891,16661,0.819,Other,Y,N,N,0.704
2019,71190253,Interstate_migrant,Myanmar,2008,Resident,Intermediate,Kannada,Punjabi,Other,Punjabi,9,75422,35997,0.516,Tourist,Y,N,Y,0.67
2019,41375579,Native,Bhutan,2023,Other,Intermediate,Urdu,Marathi,Other,Urdu,3,165629,31683,0.702,Work,Y,Y,Y,0.046
2019,65728031,Interstate_migrant,Sri_Lanka,1991,OCI,Intermediate,Bengali,Punjabi,Telugu,Kannada,7,16298,18558,0.557,Work,N,N,Y,0.187
2023,84291355,Interstate_migrant,Nepal,2006,Other,Basic,Malayalam,Telugu,Malayalam,Urdu,7,151744,1666,0.898,Other,N,Y,Y,0.81
2023,93001520,Interstate_migrant,Bhutan,2007,Other,Basic,Odia,Tamil,Hindi,Gujarati,6,146657,19319,0.413,Other,N,N,N,0.386
2024,14312083,Interstate_migrant,Sri_Lanka,2020,Citizen,None,Kannada,Tamil,Odia,Marathi,8,17082,22500,0.01,Work,Y,Y,Y,0.371
2025,89212479,Interstate_migrant,Myanmar,2005,Resident,None,Urdu,Punjabi,Kannada,Hindi,5,104353,4229,0.648,Work,Y,N,N,0.846
2018,81012737,Native,Bangladesh,2008,Other,Basic,Telugu,Malayalam,Malayalam,Hindi,2,157817,34332,0.449,Tourist,Y,Y,N,0.574
2019,76760824,Native,Sri_Lanka,1994,Other,Basic,Urdu,Hindi,Punjabi,Hindi,4,69688,1484,0.496,Study,Y,Y,N,0.595
2020,99098049,International_migrant,Nepal,2005,Resident,Basic,Odia,Kannada,Hindi,Kannada,3,187984,1629,0.165,Work,N,Y,N,0.642
2018,16120165,International_migrant,Other,2022,Citizen,None,Hindi,Marathi,Assamese,Kannada,7,14324,7807,0.225,Tourist,Y,N,Y,0.92
2018,63970452,International_migrant,India,2023,Citizen,Advanced,Kannada,Tamil,Marathi,Odia,6,124022,26668,0.044,Refugee,N,N,Y,0.391
2024,82809143,Native,Pakistan,1990,Other,Advanced,Malayalam,Tamil,Bengali,Kannada,8,163612,12985,0.668,Family,Y,Y,Y,0.031
2019,39971303,International_migrant,Bangladesh,1990,Resident,None,Marathi,Urdu,Marathi,Assamese,0,108783,25720,0.25,Tourist,N,Y,N,0.597
2019,25430502,Interstate_migrant,Other,2025,Resident,Advanced,Urdu,Odia,Urdu,Urdu,7,47548,28895,0.917,Family,N,Y,Y,0.251
2025,87444595,Native,Myanmar,1997,Resident,Advanced,Bengali,Kannada,Bengali,Punjabi,3,168624,18036,0.435,Study,N,Y,Y,0.228
2019,41937232,International_migrant,Pakistan,1997,Citizen,Advanced,Assamese,Malayalam,Other,Odia,0,118585,19985,0.308,Work,N,N,Y,0.51
2023,30247463,Interstate_migrant,Pakistan,2023,Other,Basic,Assamese,Kannada,Urdu,Bengali,2,44944,21109,0.184,Refugee,Y,N,Y,0.074
2023,23174551,Interstate_migrant,Sri_Lanka,2014,Citizen,None,Marathi,Odia,Assamese,Bengali,4,98833,32718,0.94,Family,Y,N,Y,0.085
2021,63756090,Interstate_migrant,India,2025,Other,Advanced,Other,Odia,Assamese,Tamil,1,47219,23994,0.95,Tourist,Y,N,Y,0.124
2020,94118800,Native,Bhutan,1990,OCI,Basic,Marathi,Urdu,Kannada,Urdu,10,184742,9564,0.22,Family,N,Y,N,0.361
2018,26562331,Interstate_migrant,Bangladesh,2023,OCI,Advanced,Kannada,Urdu,Malayalam,Bengali,6,87941,38768,0.686,Family,Y,N,Y,0.612
2023,85586731,Native,Sri_Lanka,2022,Resident,Intermediate,Assamese,Hindi,Odia,Odia,2,80954,37682,0.067,Family,Y,Y,Y,0.761
2020,80677228,International_migrant,Other,2001,Other,Basic,Gujarati,Assamese,Assamese,Tamil,1,147038,34025,0.297,Work,Y,Y,N,0.547
2025,90769340,Interstate_migrant,Nepal,1991,Other,None,Kannada,Punjabi,Odia,Malayalam,7,187023,10210,0.95,Work,Y,Y,N,0.972
2025,64780747,Native,Bangladesh,2015,Resident,Basic,Kannada,Other,Odia,Telugu,6,56641,5202,0.51,Family,N,N,Y,0.432
2020,86169873,International_migrant,India,2002,Other,None,Punjabi,Other,Malayalam,Odia,4,142462,6067,0.131,Other,N,Y,Y,0.149
2022,63937957,Native,Nepal,1992,Resident,Basic,Bengali,Other,Assamese,Hindi,0,136176,22941,0.985,Other,Y,N,N,0.969
2023,51632273,Interstate_migrant,Bhutan,2005,Citizen,Advanced,Other,Malayalam,Punjabi,Assamese,2,77067,15533,0.424,Refugee,N,N,N,0.954
2023,43415486,Native,India,2021,Other,Intermediate,Telugu,Hindi,Gujarati,Assamese,3,90847,11908,0.831,Study,N,Y,N,0.322
2022,94670969,Interstate_migrant,Nepal,2010,Citizen,Basic,Other,Punjabi,Marathi,Kannada,7,163230,6715,0.048,Refugee,N,Y,Y,0.966
2024,89936632,International_migrant,India,1998,Other,Intermediate,Malayalam,Other,Urdu,Tamil,5,12417,38092,0.281,Family,N,Y,N,0.815
2020,94296219,Interstate_migrant,Nepal,1990,Citizen,Basic,Assamese,Tamil,Bengali,Marathi,7,98988,15468,0.194,Tourist,Y,Y,N,0.158
2022,82148588,International_migrant,Other,2004,Citizen,Basic,Malayalam,Telugu,Malayalam,Telugu,0,92145,16767,0.072,Refugee,N,Y,N,0.068
2019,10179843,Interstate_migrant,Bangladesh,2016,Resident,Basic,Punjabi,Urdu,Punjabi,Odia,0,197742,19192,0.576,Tourist,Y,Y,N,0.174
2020,27369104,Interstate_migrant,India,2025,Resident,Advanced,Kannada,Assamese,Hindi,Telugu,10,20018,24347,0.497,Tourist,N,Y,Y,0.841
2020,44208911,International_migrant,Myanmar,2008,OCI,Basic,Gujarati,Other,Marathi,Assamese,2,148004,28812,0.551,Refugee,N,N,Y,0.944
2021,36828551,International_migrant,Nepal,2015,Citizen,Intermediate,Tamil,Bengali,Urdu,Telugu,3,198469,13210,0.574,Refugee,N,N,Y,0.464
2025,17504651,International_migrant,Nepal,2006,Resident,Advanced,Telugu,Tamil,Bengali,Gujarati,7,31138,20123,0.325,Refugee,Y,Y,Y,0.413
2018,69061997,International_migrant,Bhutan,1999,OCI,Advanced,Punjabi,Odia,Gujarati,Telugu,1,72585,31896,0.323,Family,Y,N,N,0.936
2018,71966391,Interstate_migrant,Bangladesh,2023,Resident,Intermediate,Bengali,Other,Punjabi,Other,9,136072,25377,0.702,Other,Y,N,N,0.7
2021,38933262,International_migrant,India,1991,OCI,Basic,Other,Bengali,Bengali,Assamese,5,175333,30607,0.779,Study,Y,N,N,0.377
2018,76698886,International_migrant,Myanmar,2018,Citizen,Basic,Odia,Hindi,Other,Tamil,9,104160,23185,0.461,Tourist,N,N,N,0.752
2023,31600994,Native,India,2019,OCI,Intermediate,Odia,Other,Punjabi,Assamese,3,179304,30726,0.342,Work,Y,N,Y,0.551
2025,55577167,Interstate_migrant,Pakistan,2024,OCI,None,Urdu,Hindi,Telugu,Urdu,5,78242,27097,0.532,Work,N,N,N,0.518
2024,81927429,Interstate_migrant,Nepal,2014,OCI,None,Bengali,Other,Marathi,Bengali,5,37788,22583,0.588,Study,N,Y,Y,0.696
2023,87825058,Native,Bangladesh,2019,Other,Advanced,Tamil,Bengali,Kannada,Tamil,1,155488,11027,0.96,Other,N,N,Y,0.7
2024,30723211,International_migrant,India,1990,Other,Intermediate,Punjabi,Malayalam,Hindi,Gujarati,2,132607,24110,0.447,Tourist,Y,N,Y,0.752
2024,83140874,International_migrant,Nepal,2017,Citizen,Intermediate,Hindi,Malayalam,Malayalam,Telugu,2,25892,3681,0.783,Study,N,N,N,0.005
2018,37109928,International_migrant,Sri_Lanka,1994,Other,Intermediate,Marathi,Odia,Hindi,Urdu,3,84249,35613,0.571,Tourist,N,N,Y,0.127
2022,63564517,Interstate_migrant,Bangladesh,2018,Citizen,Advanced,Tamil,Marathi,Hindi,Urdu,3,26451,11076,0.267,Tourist,Y,Y,N,0.732
2025,16192776,International_migrant,Bangladesh,2012,Citizen,Intermediate,Urdu,Punjabi,Malayalam,Bengali,7,118643,23350,0.705,Family,Y,N,Y,0.193
2018,21189475,International_migrant,Other,1996,Other,Basic,Other,Odia,Other,Urdu,6,38647,22780,0.412,Tourist,N,N,N,0.877
2023,15176541,Interstate_migrant,Myanmar,2009,Resident,Basic,Odia,Other,Urdu,Marathi,1,11798,36422,0.427,Work,N,N,Y,0.042
2018,15524844,Native,Other,2004,Other,None,Tamil,Marathi,Odia,Telugu,0,23132,36678,0.991,Other,Y,Y,N,0.611
2024,25561068,International_migrant,Myanmar,2008,Other,Basic,Telugu,Other,Malayalam,Telugu,2,191915,37832,0.585,Other,N,N,Y,0.087
2018,84864016,Interstate_migrant,India,1993,Other,None,Marathi,Urdu,Telugu,Assamese,7,85922,13627,0.016,Work,Y,Y,N,0.989
2024,80141206,Interstate_migrant,India,2019,Citizen,Basic,Telugu,Urdu,Urdu,Other,5,47886,10213,0.398,Family,N,Y,Y,0.132
2025,72103367,Interstate_migrant,Bangladesh,1998,OCI,Basic,Punjabi,Marathi,Hindi,Marathi,8,157717,34311,0.049,Other,Y,N,N,0.671
2020,52453980,Native,Myanmar,2011,Citizen,Advanced,Urdu,Other,Punjabi,Tamil,8,1172,28385,0.252,Other,N,N,N,0.68
2022,33037524,Interstate_migrant,Bhutan,2001,Citizen,None,Urdu,Malayalam,Urdu,Punjabi,0,57592,16691,0.797,Tourist,N,N,Y,0.005
2024,87023001,Native,India,2009,Resident,Advanced,Malayalam,Marathi,Malayalam,Tamil,0,135591,13617,0.59,Work,N,Y,Y,0.382
2022,28613845,Interstate_migrant,Other,1991,OCI,None,Hindi,Malayalam,Other,Punjabi,8,63478,27234,0.755,Family,N,Y,N,0.504
2023,29036163,Interstate_migrant,Nepal,2000,OCI,Intermediate,Odia,Bengali,Telugu,Malayalam,1,52922,21821,0.901,Study,Y,N,Y,0.841
2019,65159987,Native,Other,2012,Resident,Intermediate,Punjabi,Malayalam,Other,Telugu,8,26442,8399,0.723,Tourist,Y,N,N,0.824
2022,40853413,Interstate_migrant,Sri_Lanka,1996,OCI,Basic,Assamese,Gujarati,Telugu,Odia,5,158163,1427,0.372,Family,Y,Y,N,0.454
2024,18864063,Interstate_migrant,Myanmar,1993,Other,Advanced,Gujarati,Bengali,Urdu,Marathi,9,59785,34409,0.859,Other,Y,N,Y,0.285
2024,97534789,Interstate_migrant,Pakistan,2002,OCI,Advanced,Punjabi,Marathi,Punjabi,Odia,8,97752,15016,0.583,Tourist,Y,N,N,0.633
2021,87576243,Interstate_migrant,India,2008,Resident,Advanced,Kannada,Bengali,Other,Telugu,9,36975,6007,0.416,Refugee,Y,N,N,0.917
2024,97346692,International_migrant,Bangladesh,1999,OCI,Intermediate,Assamese,Bengali,Urdu,Kannada,8,17087,28716,0.57,Study,Y,Y,Y,0.197
2023,76292003,International_migrant,Bhutan,1994,Other,None,Malayalam,Urdu,Bengali,Bengali,9,22076,28992,0.303,Refugee,N,N,Y,0.58
2025,33445791,Native,India,2012,Resident,None,Other,Gujarati,Kannada,Urdu,5,85015,28164,0.564,Work,N,N,Y,0.315
2020,20317769,Native,Pakistan,2009,Resident,None,Tamil,Kannada,Bengali,Bengali,7,191210,38898,0.258,Work,N,N,N,0.35
2024,18286502,Interstate_migrant,Nepal,1992,Other,Advanced,Hindi,Marathi,Punjabi,Tamil,6,184535,6776,0.486,Family,Y,N,Y,0.206
2021,43094910,Native,Bhutan,2017,Resident,None,Tamil,Punjabi,Gujarati,Hindi,10,19915,25835,0.854,Family,N,N,Y,0.859
2021,77440386,International_migrant,Bhutan,2023,Citizen,None,Telugu,Hindi,Kannada,Telugu,3,112298,1576,0.326,Family,N,N,N,0.076
2020,42345495,International_migrant,India,1997,OCI,None,Urdu,Hindi,Malayalam,Odia,8,79221,26695,0.547,Family,Y,N,Y,0.721
2024,90252297,Native,Nepal,2001,Citizen,Advanced,Other,Punjabi,Marathi,Telugu,4,25470,36950,0.167,Refugee,Y,Y,Y,0.371
2023,55099811,Interstate_migrant,Bangladesh,2020,Citizen,None,Malayalam,Odia,Telugu,Assamese,9,106018,38223,0.074,Tourist,Y,N,N,0.257
2018,98568461,International_migrant,Sri_Lanka,2001,Resident,Basic,Other,Punjabi,Assamese,Assamese,7,439,5034,0.241,Other,Y,N,N,0.244
