econ_consumer_transaction_week,econ_consumer_merchant_category_code,econ_consumer_payment_channel_type,econ_consumer_spend_amount_inr,econ_consumer_transaction_count,econ_consumer_unique_cardholders,econ_consumer_median_ticket_size,econ_consumer_share_online_pct,econ_consumer_share_instore_pct,econ_consumer_refund_rate_pct,econ_consumer_chargeback_rate_pct,econ_consumer_new_customer_share_pct,econ_consumer_repeat_customer_share_pct,econ_consumer_income_segment,econ_consumer_age_segment,econ_consumer_device_type,econ_consumer_daypart_peak,econ_consumer_holiday_effect_flag,econ_consumer_weather_sensitivity_score,econ_consumer_privacy_aggregation_level
2020-W19,5812,Wallet,1783105.76,12052,41110,288.8,77.91,22.09,8.83,0.112,19.51,56.99,Lower_Middle,65_plus,iOS,Midday,Y,0.5442,District
2023-W35,5541,NetBanking,15122544.2,125580,12075,1918.39,64.21,35.79,11.94,0.202,7.11,90.85,Middle,55_64,FeaturePhone,Evening,Y,0.6026,PinCodeCluster
2019-W49,5541,CashOnDelivery,15204218.69,37189,69232,3761.57,53.4,46.6,11.45,0.674,39.12,54.31,Lower_Middle,65_plus,iOS,Midday,Y,0.4103,PinCodeCluster
2020-W51,5411,BNPL,2632719.19,230976,110293,3510.42,50.32,49.68,10.9,1.352,15.39,97.59,Upper_Middle,35_44,Web,Morning,Y,0.684,District
2024-W45,4111,UPI,13570110.43,204955,8183,2229.99,49.22,50.78,0.99,0.378,7.5,68.03,High,18_24,FeaturePhone,Night,Y,0.3055,National
2019-W23,5732,BNPL,51862850.96,115416,116867,451.9,40.85,59.15,5.58,2.585,17.72,18.36,Middle,65_plus,FeaturePhone,Midday,N,0.4697,State
2021-W15,4111,CashOnDelivery,12986600.88,112714,58823,1825.89,31.42,68.58,4.28,1.206,17.92,37.45,Lower_Middle,25_34,FeaturePhone,Evening,Y,0.9145,National
2020-W01,5812,CashOnDelivery,32810482.12,30619,89297,578.69,51.9,48.1,3.1,0.616,27.22,19.47,Low,35_44,Web,Evening,N,0.7069,PinCodeCluster
2020-W23,4814,BNPL,47793787.97,11143,110031,2454.65,44.97,55.03,8.11,2.067,1.91,22.22,Upper_Middle,55_64,Android,Midday,Y,0.3894,City
2019-W21,4814,Card,12743799.58,82356,118721,740.99,75.21,24.79,4.28,2.277,27.58,31.16,Low,55_64,POS,Evening,Y,0.7688,PinCodeCluster
2019-W52,4900,UPI,37987912.49,239900,30182,1361.25,88.55,11.45,7.33,0.617,3.97,32.73,Lower_Middle,35_44,FeaturePhone,Night,Y,0.6037,National
2025-W39,5732,Card,51478361.29,217798,33006,999.17,76.4,23.6,6.09,2.119,13.84,97.34,Lower_Middle,25_34,Web,Morning,N,0.4987,District
2020-W29,5812,UPI,15410491.17,113735,4373,2972.86,56.71,43.29,5.83,1.638,34.96,82.17,Upper_Middle,65_plus,FeaturePhone,Night,N,0.2135,PinCodeCluster
2023-W26,5912,NetBanking,25538454.42,181061,32572,1688.49,29.5,70.5,4.36,0.77,2.14,56.16,High,55_64,FeaturePhone,Morning,N,0.4251,State
2021-W46,4789,UPI,23571014.85,64696,52665,958.8,62.06,37.94,9.4,2.441,8.07,65.17,Low,35_44,POS,Midday,Y,0.2163,PinCodeCluster
2019-W17,5912,UPI,7835156.96,10040,110829,3788.37,22.59,77.41,0.63,0.242,23.42,68.1,Low,65_plus,iOS,Morning,Y,0.575,District
2023-W35,5732,UPI,10171104.08,65709,66667,3800.25,21.33,78.67,4.25,1.14,9.31,63.06,Lower_Middle,45_54,POS,Night,Y,0.0053,District
2024-W18,4789,Wallet,55677203.52,194630,95511,1150.71,72.98,27.02,1.99,1.908,29.03,43.77,Lower_Middle,18_24,FeaturePhone,Evening,N,0.7859,District
2021-W02,4111,Card,6358965.98,227077,116420,2754.87,49.32,50.68,11.63,0.965,5.35,23.87,Lower_Middle,25_34,FeaturePhone,Midday,N,0.5114,City
2020-W21,4814,BNPL,52853994.08,89861,75852,2948.83,61.76,38.24,5.89,2.299,24.09,64.44,Middle,65_plus,Web,Night,Y,0.078,National
2024-W50,4722,CashOnDelivery,58457527.07,14527,77477,1780.98,78.71,21.29,8.77,2.069,8.63,93.58,Low,55_64,Android,Evening,N,0.4449,PinCodeCluster
2021-W10,5812,Card,59134404.09,219786,47455,3676.91,28.54,71.46,0.62,0.235,19.98,59.43,Low,25_34,Android,Night,Y,0.6262,National
2025-W36,8062,CashOnDelivery,16158637.7,37122,104136,3940.03,5.84,94.16,2.05,1.684,7.16,18.12,Middle,65_plus,POS,Night,N,0.3876,PinCodeCluster
2024-W19,4722,Wallet,2891066.4,2176,108506,4275.36,65.5,34.5,6.31,2.842,7.93,65.17,Lower_Middle,65_plus,iOS,Morning,Y,0.6533,District
2024-W32,5311,BNPL,12864944.93,146550,6828,1032.55,58.94,41.06,7.62,0.805,24.88,93.17,Lower_Middle,35_44,Web,Night,N,0.2798,National
2020-W13,5411,CashOnDelivery,2750631.69,131175,84531,4241.87,73.14,26.86,7.05,0.654,21.41,62.51,Middle,35_44,Android,Evening,N,0.5722,PinCodeCluster
2022-W25,4111,Card,14462851.37,128965,44040,1102.85,70.28,29.72,7.7,1.185,3.41,44.39,Low,35_44,iOS,Morning,Y,0.319,State
2024-W43,4111,NetBanking,14071380.41,63751,14102,2090.88,46.65,53.35,0.1,0.27,3.31,65.62,Lower_Middle,25_34,Android,Morning,Y,0.1638,PinCodeCluster
2023-W18,5812,NetBanking,46643076.92,239598,117994,3523.77,4.43,95.57,7.03,0.956,23.86,50.96,Lower_Middle,65_plus,Android,Morning,N,0.8292,National
2021-W08,5732,CashOnDelivery,14679528.65,118949,93140,4139.53,50.34,49.66,10.89,0.232,35.95,43.64,Middle,55_64,POS,Midday,N,0.8455,PinCodeCluster
2023-W38,4789,UPI,52053840.27,114439,73523,243.49,27.79,72.21,10.67,2.224,38.42,24.02,Lower_Middle,45_54,FeaturePhone,Night,Y,0.2275,State
2020-W32,4511,CashOnDelivery,10153732.19,87322,35890,347.95,6.33,93.67,9.12,0.466,32.85,69.94,Middle,55_64,Android,Evening,Y,0.2176,National
2025-W11,5912,NetBanking,27009949.91,16564,10456,834.88,95.84,4.16,10.58,2.667,4.31,52.49,Low,35_44,Android,Evening,N,0.149,District
2022-W01,4900,BNPL,10438853.34,39925,37068,2207.66,37.96,62.04,7.21,0.229,7.59,73.81,Lower_Middle,45_54,FeaturePhone,Night,Y,0.6661,State
2019-W49,5912,NetBanking,53152335.06,197723,43315,3972.07,78.27,21.73,4.57,1.727,26.51,83.22,Upper_Middle,35_44,POS,Evening,N,0.3646,District
2024-W29,4511,CashOnDelivery,43705231.85,105743,3196,3328.25,53.84,46.16,5.04,2.411,16.56,89.94,Low,55_64,Web,Morning,Y,0.5917,City
2023-W07,5311,Wallet,10582373.13,156721,62371,876.11,6.46,93.54,4.23,1.023,29.28,81.94,Upper_Middle,45_54,POS,Evening,Y,0.7316,National
2021-W02,5812,Card,38802605.85,149802,8783,314.9,54.54,45.46,10.44,0.238,35.28,16.58,Lower_Middle,25_34,Android,Evening,Y,0.2837,PinCodeCluster
2024-W40,5912,Card,35461164.9,106113,59731,2890.74,74.71,25.29,4.74,1.634,3.76,37.15,Upper_Middle,35_44,Web,Midday,N,0.0653,District
2024-W25,5732,CashOnDelivery,59055453.44,167293,95196,537.73,84.87,15.13,3.67,0.252,23.0,75.36,Low,65_plus,POS,Night,Y,0.1146,District
2020-W46,8062,NetBanking,26094028.87,165238,23764,590.2,68.29,31.71,1.36,2.378,10.76,95.25,Middle,55_64,FeaturePhone,Evening,Y,0.0463,National
2021-W22,4814,BNPL,17582866.15,237604,88270,2452.36,49.7,50.3,9.29,0.679,21.94,43.62,High,55_64,iOS,Evening,N,0.4509,National
2019-W51,5732,Card,25599767.54,81328,13383,1633.84,33.38,66.62,10.94,0.253,38.12,20.52,Low,25_34,FeaturePhone,Morning,Y,0.0778,City
2025-W46,8062,UPI,32192571.53,9355,27429,2963.02,51.71,48.29,6.93,1.196,29.86,90.96,High,18_24,FeaturePhone,Morning,N,0.5575,State
2022-W38,5732,CashOnDelivery,39545504.32,136439,23748,1210.47,29.92,70.08,4.47,2.872,25.13,66.88,High,65_plus,POS,Midday,Y,0.6837,District
2021-W13,4722,UPI,53924778.37,157440,72100,3710.04,52.13,47.87,9.76,1.539,2.21,82.57,High,25_34,Android,Midday,N,0.6853,PinCodeCluster
2024-W17,4722,CashOnDelivery,21367317.29,5435,103074,704.78,90.76,9.24,6.91,1.774,28.29,24.95,High,45_54,Web,Night,N,0.85,State
2022-W20,4511,NetBanking,284443.66,197887,108993,3114.29,58.24,41.76,6.86,0.197,32.63,83.79,Middle,25_34,POS,Morning,N,0.9913,District
2024-W12,8062,NetBanking,31255455.4,224471,91217,697.37,33.52,66.48,0.16,1.471,22.91,22.18,Lower_Middle,65_plus,iOS,Morning,Y,0.1538,State
2025-W34,4900,CashOnDelivery,29451447.43,4719,53220,1214.12,22.98,77.02,11.45,2.885,1.83,94.37,Low,55_64,POS,Night,Y,0.9999,State
2022-W46,5812,Wallet,17656189.17,113786,65790,1823.75,63.04,36.96,11.75,2.46,33.17,60.82,Upper_Middle,18_24,iOS,Morning,Y,0.9995,State
2024-W30,8062,Card,36513092.2,171810,62446,523.03,6.86,93.14,8.37,1.727,7.94,77.64,Upper_Middle,55_64,iOS,Midday,Y,0.9933,State
2025-W19,5732,Card,40169600.77,125916,20287,2479.6,47.68,52.32,8.66,2.133,27.02,22.98,Lower_Middle,25_34,POS,Evening,N,0.9188,City
2021-W28,4789,Wallet,39308862.85,189648,111505,2554.15,32.36,67.64,9.01,1.925,19.69,45.74,High,18_24,iOS,Night,N,0.5799,District
2021-W01,4111,BNPL,34792188.02,38602,10504,2337.35,49.94,50.06,3.27,2.868,18.32,74.05,Middle,45_54,Web,Night,Y,0.9857,National
2024-W52,4722,NetBanking,40283448.92,225354,8798,3253.51,70.35,29.65,10.13,1.137,24.07,32.95,Upper_Middle,35_44,Web,Evening,N,0.1153,City
2020-W06,4789,UPI,21295280.54,133836,112497,3843.84,26.72,73.28,8.71,2.929,27.95,72.43,Low,35_44,FeaturePhone,Evening,Y,0.5165,State
2022-W22,5311,BNPL,40720305.19,205382,6290,4341.31,13.27,86.73,4.37,0.908,22.01,14.81,Low,55_64,Web,Midday,N,0.8462,State
2019-W51,4900,Wallet,17243475.3,227190,78507,4299.65,27.29,72.71,6.91,0.135,31.96,60.47,High,18_24,POS,Night,N,0.9379,City
2020-W19,4722,NetBanking,13492100.38,238541,47338,4049.5,20.8,79.2,2.73,2.488,23.08,72.49,Middle,18_24,FeaturePhone,Morning,Y,0.07,PinCodeCluster
2022-W44,4814,NetBanking,32674121.79,224042,104200,2196.4,28.18,71.82,7.65,1.869,26.21,69.82,High,55_64,iOS,Night,N,0.1304,State
2024-W38,5541,Card,44649848.59,63843,98585,1604.84,49.65,50.35,3.5,0.651,30.58,17.86,Middle,35_44,Android,Morning,Y,0.836,City
2019-W37,4814,Card,44184932.16,122512,10981,2976.9,50.4,49.6,7.22,2.25,14.84,76.09,Upper_Middle,65_plus,iOS,Midday,Y,0.6624,PinCodeCluster
2024-W39,5541,CashOnDelivery,26553307.81,97611,39861,1897.2,58.06,41.94,8.34,0.7,22.53,70.14,Lower_Middle,25_34,iOS,Evening,N,0.8474,State
2019-W25,4789,UPI,37760205.87,89459,40058,3877.51,92.39,7.61,7.41,0.085,6.34,33.01,Lower_Middle,55_64,Android,Midday,Y,0.3756,City
2023-W42,4900,NetBanking,9110118.0,52961,44559,2142.35,72.71,27.29,7.67,0.165,16.29,62.47,Lower_Middle,65_plus,POS,Morning,N,0.9638,PinCodeCluster
2019-W41,5411,Card,42929617.95,77118,71268,2089.54,93.11,6.89,1.43,1.362,39.33,52.16,Low,55_64,iOS,Night,N,0.3265,City
2023-W05,5999,Card,10982834.6,212859,100995,2748.67,82.02,17.98,11.78,1.533,11.77,45.1,Low,25_34,iOS,Morning,N,0.8554,National
2020-W08,8062,Card,10151765.38,141960,101271,1259.68,93.93,6.07,0.79,0.057,34.01,83.61,Middle,25_34,FeaturePhone,Midday,Y,0.5284,National
2020-W21,5311,CashOnDelivery,32573919.42,241329,43926,2674.88,85.77,14.23,3.57,2.935,24.8,29.94,Upper_Middle,35_44,FeaturePhone,Night,Y,0.253,National
2022-W43,4814,UPI,53449586.96,102895,46776,1741.27,62.45,37.55,10.15,1.761,37.16,18.78,Lower_Middle,55_64,Web,Night,Y,0.0374,National
2023-W22,4900,NetBanking,6575767.2,40377,99724,267.93,41.92,58.08,9.74,0.391,13.97,24.25,Middle,18_24,Android,Morning,N,0.9445,District
2019-W40,5732,UPI,13232494.96,7091,88272,3908.14,12.38,87.62,1.56,0.061,21.7,91.89,Low,65_plus,FeaturePhone,Midday,Y,0.8514,State
2023-W14,5812,Card,34878663.72,50748,81423,1196.7,44.92,55.08,9.3,1.992,31.02,15.47,High,35_44,iOS,Night,Y,0.9063,City
2025-W35,4900,NetBanking,16629353.87,165311,69443,3800.52,51.66,48.34,9.02,1.554,15.84,83.18,Upper_Middle,18_24,iOS,Evening,N,0.0716,National
2023-W14,5411,UPI,7022912.9,240146,42485,1200.52,31.0,69.0,1.29,2.997,36.09,16.44,Upper_Middle,18_24,Android,Evening,N,0.8251,National
2020-W49,5411,Wallet,49596556.76,218071,13836,1439.83,20.14,79.86,10.79,2.847,34.07,92.55,Low,18_24,POS,Evening,N,0.4964,State
2025-W26,4511,Card,40113688.39,210850,119952,3007.37,73.94,26.06,11.33,2.826,37.21,77.14,Middle,45_54,Web,Morning,N,0.522,National
2019-W20,5999,Card,49654287.13,164444,35198,1023.61,29.4,70.6,3.94,0.315,14.25,82.8,Low,55_64,Android,Evening,Y,0.1939,National
2021-W22,5812,Card,49292798.71,141530,8321,1132.83,95.09,4.91,2.83,0.394,32.21,75.55,Low,18_24,Web,Evening,Y,0.2941,State
2024-W12,5541,Wallet,56472723.3,74627,37440,4454.63,67.92,32.08,4.05,1.928,37.22,47.57,High,25_34,Android,Night,Y,0.4559,District
2024-W48,5311,UPI,9043244.58,137502,61832,1824.56,31.8,68.2,2.17,2.036,2.54,82.44,Low,35_44,POS,Night,N,0.247,State
2020-W37,5541,BNPL,21353368.92,141699,112745,3365.87,84.37,15.63,4.4,1.527,18.63,63.2,Low,65_plus,iOS,Night,N,0.1861,City
2019-W20,4789,UPI,20937202.82,72230,52161,3317.61,13.99,86.01,10.99,0.683,27.39,44.19,Lower_Middle,35_44,Android,Midday,N,0.6795,PinCodeCluster
2020-W53,4511,Card,56077409.8,90735,35842,1023.92,33.95,66.05,8.67,0.29,7.15,56.48,Lower_Middle,65_plus,FeaturePhone,Evening,Y,0.5634,State
2020-W46,4111,Card,10291297.52,199690,9936,899.02,17.95,82.05,11.47,2.123,20.1,19.74,High,45_54,POS,Night,Y,0.983,City
2023-W13,5912,NetBanking,9926342.33,168930,8585,2644.02,42.97,57.03,4.01,0.348,2.06,94.94,Middle,35_44,FeaturePhone,Evening,Y,0.235,National
2020-W18,8062,UPI,7250358.72,210434,16780,2724.26,10.47,89.53,9.66,2.766,0.44,64.6,Upper_Middle,45_54,iOS,Night,N,0.1264,National
2021-W17,5732,Wallet,40369055.81,135229,27065,2709.43,29.05,70.95,10.1,2.747,6.53,77.3,Lower_Middle,55_64,POS,Midday,Y,0.2645,National
2024-W05,8062,UPI,24094576.54,148208,77446,3062.61,17.28,82.72,8.28,1.448,33.24,50.26,Middle,55_64,FeaturePhone,Morning,N,0.2509,PinCodeCluster
2021-W43,4111,Card,9098259.58,139960,82833,4244.14,39.24,60.76,5.4,0.385,22.73,95.17,Middle,35_44,POS,Night,N,0.1382,National
2023-W03,5732,NetBanking,53369397.21,40309,42877,2678.48,22.25,77.75,4.21,2.477,25.25,60.29,Low,65_plus,iOS,Midday,N,0.0394,District
2023-W17,4900,BNPL,12430046.85,82764,18,1442.19,25.9,74.1,10.66,1.099,33.91,48.35,Low,65_plus,iOS,Evening,N,0.7745,State
2025-W40,4722,CashOnDelivery,27812237.5,51238,90113,3140.83,48.87,51.13,0.34,2.937,23.09,73.8,Lower_Middle,65_plus,FeaturePhone,Evening,N,0.0233,PinCodeCluster
2019-W33,5311,Card,15172400.15,211904,104000,4188.15,30.03,69.97,2.76,0.383,36.48,49.26,High,18_24,POS,Midday,Y,0.197,City
2021-W25,5411,BNPL,54803008.56,168437,33761,2379.19,3.79,96.21,10.22,0.551,1.49,30.75,Middle,18_24,POS,Morning,Y,0.4687,City
2019-W10,4789,UPI,45683459.47,219137,116207,1490.51,51.19,48.81,1.66,0.779,32.78,48.27,Middle,25_34,POS,Midday,N,0.5046,National
2020-W11,5411,BNPL,53282610.23,80170,94103,3902.22,66.41,33.59,0.06,0.376,6.4,83.08,Lower_Middle,65_plus,Web,Evening,N,0.2963,State
2022-W52,4111,Card,37212727.15,209525,115733,3756.24,23.3,76.7,3.96,0.901,33.99,65.63,High,65_plus,FeaturePhone,Midday,N,0.5592,District
2025-W29,4789,Wallet,21990428.71,186263,27333,2948.6,42.56,57.44,8.66,1.84,29.46,73.02,Middle,45_54,FeaturePhone,Morning,N,0.9957,District
2021-W37,5999,NetBanking,37635544.05,178903,19064,3413.02,60.74,39.26,0.45,1.44,16.73,73.63,Middle,55_64,POS,Morning,N,0.3696,PinCodeCluster
2025-W47,4789,Card,33866101.72,79782,27827,3517.93,23.61,76.39,8.74,2.0,25.54,76.44,Lower_Middle,35_44,Web,Evening,Y,0.4895,National
2019-W33,5732,Card,23306419.44,215337,73098,3051.37,5.26,94.74,7.44,1.375,38.33,92.96,Lower_Middle,65_plus,FeaturePhone,Evening,N,0.8957,PinCodeCluster
2020-W26,4789,Wallet,12937604.88,117873,10597,2791.8,85.38,14.62,11.22,0.419,30.64,21.72,Low,65_plus,FeaturePhone,Night,Y,0.7694,National
2024-W45,5411,NetBanking,9932464.14,164250,15666,4215.9,36.45,63.55,10.7,1.207,35.27,79.31,Low,18_24,iOS,Evening,Y,0.1946,City
2022-W50,4900,Card,42322349.0,94835,68581,4428.91,79.35,20.65,4.09,0.077,26.32,64.73,Low,65_plus,iOS,Morning,Y,0.7974,National
2019-W05,5999,UPI,15553839.16,87816,105431,4482.88,40.19,59.81,9.0,1.841,31.02,80.83,Lower_Middle,25_34,FeaturePhone,Morning,Y,0.5817,National
2021-W03,5999,Wallet,2456794.81,48450,115967,3890.11,30.88,69.12,1.18,1.72,6.91,46.13,Upper_Middle,35_44,iOS,Night,Y,0.8575,District
2019-W21,5812,Card,51138033.98,200184,7203,1648.77,32.81,67.19,7.04,0.828,24.69,91.98,Lower_Middle,65_plus,iOS,Night,N,0.198,District
2020-W17,4789,BNPL,29626689.46,129177,18894,3372.75,72.66,27.34,8.95,0.169,25.1,65.28,Upper_Middle,35_44,POS,Midday,N,0.8922,District
2021-W42,5732,Card,15988126.93,109823,92676,449.04,27.0,73.0,9.76,2.346,2.3,19.74,Low,35_44,Web,Midday,Y,0.2506,City
2023-W48,8062,UPI,34267337.93,237636,32129,815.87,71.22,28.78,10.82,2.7,20.53,44.66,High,18_24,iOS,Midday,N,0.6283,District
2020-W42,5732,CashOnDelivery,39973514.73,144388,27489,835.45,42.17,57.83,10.18,1.527,22.93,22.56,Low,25_34,Android,Morning,Y,0.1025,City
2023-W50,4722,Card,666119.08,138048,63111,2687.11,55.82,44.18,1.41,1.792,3.63,80.62,Upper_Middle,45_54,FeaturePhone,Morning,N,0.7795,National
2024-W13,4814,BNPL,47942511.47,46343,5149,3243.87,49.54,50.46,10.87,2.081,18.11,11.01,High,25_34,POS,Midday,N,0.1759,National
2022-W38,4789,Wallet,46095421.62,230878,43324,3579.05,20.59,79.41,6.47,0.382,32.54,63.18,Upper_Middle,18_24,FeaturePhone,Morning,N,0.6421,State
2024-W09,4111,UPI,22874751.21,61773,75454,2160.27,48.08,51.92,1.13,1.072,0.41,16.51,High,35_44,POS,Night,Y,0.7872,District
2025-W43,5311,NetBanking,29195437.7,36969,84865,1124.38,46.1,53.9,6.94,2.148,2.09,30.11,Low,18_24,FeaturePhone,Night,Y,0.0759,PinCodeCluster
2025-W03,4511,UPI,46128776.32,53064,45724,2841.17,50.9,49.1,8.3,0.124,13.08,16.04,High,55_64,Web,Evening,N,0.4573,District
2022-W35,8062,Wallet,16140217.22,79711,63105,1349.06,91.49,8.51,2.16,1.212,37.8,41.48,Low,25_34,POS,Morning,N,0.5686,PinCodeCluster
2021-W20,4511,Wallet,29458079.43,79341,21170,2755.98,22.15,77.85,10.07,2.137,3.48,21.49,Lower_Middle,65_plus,POS,Midday,Y,0.8906,City
2019-W50,5732,BNPL,27852248.53,4221,37260,556.49,61.35,38.65,6.04,2.412,31.21,41.65,Upper_Middle,18_24,POS,Night,N,0.6018,City
2025-W31,4814,UPI,54456296.08,210591,100226,3319.4,79.34,20.66,7.63,2.679,21.06,78.32,Lower_Middle,25_34,Android,Night,Y,0.7693,PinCodeCluster
2019-W52,5912,Card,50816371.47,190882,75507,4247.59,44.68,55.32,9.93,1.673,11.12,42.72,High,55_64,iOS,Morning,N,0.0895,National
2019-W50,5311,Wallet,18704438.51,52586,79169,4071.78,18.2,81.8,5.31,0.146,8.09,65.97,Low,35_44,POS,Morning,N,0.6448,District
2023-W52,4814,Card,779293.97,90675,86630,2228.43,64.92,35.08,0.37,0.428,33.43,86.5,High,65_plus,POS,Morning,N,0.0484,National
2023-W44,4111,UPI,36854787.96,22623,7173,1231.12,56.77,43.23,0.14,2.632,35.04,20.58,Upper_Middle,55_64,iOS,Evening,N,0.3034,City
2025-W20,5411,UPI,122397.16,151510,44212,3118.68,44.61,55.39,6.5,2.186,7.52,77.67,Middle,25_34,POS,Midday,N,0.2797,State
2023-W37,5999,CashOnDelivery,10722304.17,93369,79416,2961.83,65.79,34.21,3.78,2.894,11.04,24.07,Middle,55_64,Web,Morning,N,0.3012,National
2023-W17,4722,CashOnDelivery,54459772.77,25550,80695,2116.15,12.84,87.16,4.35,0.67,4.91,28.78,Low,65_plus,iOS,Evening,Y,0.7372,City
2023-W16,5311,CashOnDelivery,56086995.53,38015,88751,3337.69,63.84,36.16,3.83,0.61,24.64,58.97,High,35_44,Android,Evening,N,0.0306,City
2024-W05,5732,CashOnDelivery,33526294.15,114425,92793,587.85,83.28,16.72,2.72,1.644,39.51,47.83,High,35_44,iOS,Night,Y,0.8775,State
2024-W48,5999,UPI,20008381.86,43831,16321,2809.37,36.97,63.03,7.3,1.561,24.49,50.03,Upper_Middle,65_plus,Android,Morning,Y,0.7609,PinCodeCluster
2021-W43,4814,Wallet,46714348.92,222538,107640,1046.22,94.62,5.38,0.21,0.353,15.72,37.78,High,65_plus,iOS,Night,Y,0.9194,City
2019-W09,5311,Wallet,37337784.88,70537,44982,3826.82,13.21,86.79,8.94,2.653,35.8,35.94,Low,55_64,iOS,Night,Y,0.9878,District
2025-W16,4722,Card,29168627.35,5584,56455,1701.69,89.65,10.35,5.84,2.436,10.0,16.71,Low,18_24,Web,Evening,Y,0.5801,National
2023-W14,5732,UPI,17839738.43,3973,32923,2565.61,73.58,26.42,5.51,2.285,39.78,29.0,Middle,35_44,Android,Midday,Y,0.1694,PinCodeCluster
2023-W44,5311,BNPL,7563266.01,68108,33182,2756.64,90.38,9.62,8.91,2.476,34.32,88.18,Upper_Middle,25_34,iOS,Night,N,0.5771,State
2025-W47,4789,Card,32286524.71,3044,16794,1605.52,51.11,48.89,1.61,1.466,10.79,15.14,Low,35_44,Android,Night,Y,0.2981,State
2024-W24,4511,Wallet,9202668.97,211261,88171,3466.82,28.42,71.58,10.83,2.393,6.0,91.35,Middle,35_44,Web,Morning,Y,0.5243,District
2023-W38,5732,Wallet,38951400.72,45468,10269,4364.55,15.17,84.83,2.55,2.469,3.86,75.86,High,55_64,Web,Midday,Y,0.1954,PinCodeCluster
2019-W02,5411,CashOnDelivery,47605486.33,108727,78929,2339.46,51.75,48.25,2.65,1.539,7.15,53.25,High,45_54,Android,Midday,Y,0.1043,National
2021-W16,5411,CashOnDelivery,3453709.42,215485,82845,568.87,6.52,93.48,5.93,0.457,4.2,15.95,Lower_Middle,25_34,FeaturePhone,Night,N,0.8305,PinCodeCluster
2023-W34,5411,Card,42783940.11,9094,18503,3419.59,2.97,97.03,11.97,0.588,8.52,95.2,Low,45_54,POS,Morning,N,0.2874,State
2021-W35,4789,BNPL,38539034.2,102446,65589,4206.18,32.94,67.06,10.94,0.159,22.35,29.94,Low,45_54,POS,Night,Y,0.3443,City
2023-W50,8062,BNPL,3980709.75,9339,52951,2183.83,30.71,69.29,1.59,1.054,18.08,76.82,Middle,18_24,iOS,Morning,N,0.3924,State
2023-W32,4814,Wallet,42560559.0,211651,88886,2516.62,65.67,34.33,1.18,1.767,18.67,54.57,Low,55_64,FeaturePhone,Midday,N,0.1282,City
2022-W30,4722,NetBanking,54065446.55,211939,48533,4317.92,70.18,29.82,5.73,1.837,33.75,84.64,Low,55_64,iOS,Midday,N,0.6143,National
2024-W31,5541,BNPL,28329093.02,218128,59928,430.54,57.16,42.84,6.53,1.13,25.62,78.83,Middle,65_plus,Web,Evening,Y,0.8619,National
2021-W24,5812,UPI,34974444.02,53383,86641,2610.48,31.41,68.59,7.28,1.862,9.12,84.42,High,45_54,FeaturePhone,Morning,Y,0.147,PinCodeCluster
2025-W09,5812,CashOnDelivery,55363147.77,180984,43427,714.33,23.86,76.14,8.33,0.912,32.02,83.44,Lower_Middle,65_plus,iOS,Evening,N,0.7131,City
2022-W15,4722,UPI,24480365.12,248099,52778,2191.34,57.53,42.47,3.66,2.285,7.91,74.9,Low,55_64,iOS,Night,N,0.6766,PinCodeCluster
2022-W26,4722,Card,45157545.99,236821,91797,3403.02,46.78,53.22,6.72,1.616,19.71,92.28,High,65_plus,FeaturePhone,Morning,N,0.289,National
2022-W03,5411,Card,9022345.2,162420,103640,3773.81,9.4,90.6,0.65,2.463,34.98,14.42,Upper_Middle,55_64,Android,Midday,N,0.3021,National
2021-W49,4722,BNPL,14856692.78,9350,32280,1909.48,79.01,20.99,11.52,0.672,8.12,67.49,Middle,45_54,Android,Morning,N,0.3138,PinCodeCluster
2024-W40,5999,NetBanking,4639880.32,170278,31846,882.07,92.14,7.86,0.44,1.559,31.58,75.65,Upper_Middle,25_34,Android,Night,N,0.5873,State
2023-W17,5311,NetBanking,2872924.59,58454,29524,3545.69,59.85,40.15,10.77,1.486,26.43,54.07,Lower_Middle,45_54,FeaturePhone,Morning,N,0.6485,District
2025-W33,5411,Card,31024882.85,150472,35183,1056.24,23.19,76.81,0.56,2.868,24.78,83.9,Middle,45_54,POS,Morning,N,0.7967,PinCodeCluster
2023-W50,4789,NetBanking,43064544.66,140441,114390,4393.55,34.3,65.7,5.25,2.684,30.15,47.29,Low,18_24,iOS,Night,Y,0.8261,City
2022-W43,4511,CashOnDelivery,23869787.58,8010,109343,3524.16,83.95,16.05,1.57,0.494,12.79,64.32,Lower_Middle,18_24,iOS,Evening,N,0.6686,State
2019-W46,5912,CashOnDelivery,12304015.64,88438,88482,1709.36,46.88,53.12,1.02,2.333,29.51,96.1,High,65_plus,FeaturePhone,Midday,N,0.6703,PinCodeCluster
2021-W37,5999,BNPL,14675842.02,25699,48224,927.96,54.41,45.59,3.08,0.469,7.64,44.19,Lower_Middle,55_64,Android,Night,Y,0.7079,State
2022-W31,8062,Wallet,52485686.55,226698,82207,1744.35,46.27,53.73,6.9,1.192,35.04,82.99,Lower_Middle,65_plus,iOS,Evening,N,0.9632,PinCodeCluster
2022-W31,5912,CashOnDelivery,36792279.38,73056,62590,481.08,57.69,42.31,3.79,1.078,6.61,60.52,High,55_64,FeaturePhone,Evening,N,0.0334,District
